   Spandakārikā, prathamo niḥṣyandaḥ	Spanda-kArikA, praTamaH niHzyandaH
   'pyabhīṣṭān evāṇavaśāktaśāmbhavasamāveśādīn anyān api	api-aBIzwAn eva-aNava-SAkta-SAmBava-sam-AveSa-AdIn anyAn api
   samāveśābhyāsarasonmṛṣṭamatimukurasya jijñāsitān arthān avaśyaṃ	samAveSa-aByAsa-rasa-unmRzwa-m-ati-mukurasya jijQAsitAn arTAn avaSyam
   prakaṭīkaroti nāsya yoginaḥ svapnasuṣuptayor vyāmoho bhavatītyarthaḥ ||	prakawIkaroti na-asya yoginaH svapna-suzuptayoH vyAmohaH Bavati-iti-arTaH ||
   VSpkC_3.1-2:7	VSpkC_3.1-2:7
   * svapnena sauṣuptam apyupalakṣitam || VSpkC_3.1-2:8	* svapnena sOzuptam api-upalakzitam || VSpkC_3.1-2:8
   * atrābhīṣṭārthaprakāśe āvṛttyā ayameva hetuḥ praṇayasya prārthanāyā	* atra-aBIzwa-arTa-prakASe AvRttyA ayam-eva hetuH praNayasya prArTanAyA
   antarmukhasvarūpapariśīlanopāsāsaṃpādyasya māyākāluṣyopaśamalakṣaṇasya	antarmuKa-svarUpa-pariSIlana-upAsA-saMpAdyasya mAyA-kAluzya-upaSama-lakzaNasya
   prasādasya bhagavatānatikramāt || VSpkC_3.1-2:9	prasAdasya BagavatA-anatikramAt || VSpkC_3.1-2:9
   * parameśvaro hi cidātmā yady antarmukhocitasevākrameṇārthyate tat tat	* parameSvaraH hi cit-AtmA yadi antar-muKa-ucita-sevA-krameNa-arTyate tat tat-
   saṃpādayata eva jāgrataḥ iti paratattve jāgarūkasya jāgarāvasthāsthasya	saMpAdayataH eva jAgrataH iti para-tattve jAgarUkasya jAgara-avasTA-sTasya
   ceti śleṣoktyā vyākhyeyam || VSpkC_3.1-2:10	ca-iti Sleza-uktyA vyAKyeyam || VSpkC_3.1-2:10
   * yadi punarevaṃ sāvadhāno na bhavati tadā nāsya yogitetyāha ||	* yadi punar-evam sa-avaDAnaH na Bavati tadA na-asya yogitA-iti-Aha ||
   VSpkC_3.1-2:11]	VSpkC_3.1-2:11]
   anyathā tu svatantrā syāt sṛṣṭis taddharmakatvataḥ /	anyaTA tu svatantrA syAt sRzwiH tad-Darmaka-tvataH /
   satataṃ laukikasyeva jāgratsvapnapadadvaye // VSpk_3.3 //	satatam lOkikasya-iva jAgrat-svapna-pada-dvaye // VSpc-_3.3 //
   * yadyuktayuktyā nityaṃ nārādhyate dhātā tadā svasvarūpasthityabhāve	* yadi-ukta-yuktyA nityam na-ArADyate DAtA tadA sva-svarUpa-sTiti-aBAve
   satataṃ pratyahaṃ laukikasyeva cāsya yogino 'pi jāgarāyāṃ svapne ca	satatam pratyaham lOkikasya-iva ca-asya yoginaH api jAgarAyAm svapne ca
   sādhāraṇāsādhāraṇārthaprakāśanatanniścayanādisvabhāvā pārameśvarī sṛṣṭiḥ	sADAraNA-sADAraNa-arTa-prakASana-tad-niScayana-Adi-svaBAvA pArameSvarI sRzwiH
   svatantrā syāllaukikavadyoginam api saṃsārāvaṭa evāsau pātayed ityarthaḥ	svatantrA syAt-lOkika-vat-yoginam api saMsAra-avawaH eva-asO pAtayet iti-arTaH
   || VSpkC_3.3:1	|| VSpkC_3.3:1
   * yathoktam /	* yaToktam /
   * pravṛttir bhūtānāmaiśvarī /	* pravRttiH BUtAnAm-ESvarI /
   * iti || VSpkC_3.3:2	* iti || VSpkC_3.3:2
   * taddharmakatvataḥ iti svapnajāgarādipadaprakāśane bhagavatsṛṣṭeḥ	* tad-Darmaka-tvataH iti svapna-jAgara-Adi-pada-prakASane Bagavat-sRzweH
   svātantryasvabhāvād ityarthaḥ || VSpkC_3.3:3	svAtantrya-svaBAvAt iti-arTaH || VSpkS_3.3:3
   * evaṃ svapnasauṣuptanirdalanopāyaṃ svaprabuddhatāyai saṃsādhya	* evam svapna-sOzupta-nirdalana-upAyam svaprabudDa-tAyE saMsADya
   spandatattvasamāveśopāyaṃ suprabuddhasya dṛṣṭāntayuktipūrvakaṃ nirūpayati	spanda-tattva-samAveSa-upAyam su-prabudDasya dRzwAnta-yukti-pUrvakam nirUpayati
   jijñāsitārthajñaptir apītthaṃ bhavatītyādiśati || VSpkC_3.3:4]	jijQAsita-arTa-jQaptiH api-itTam Bavati-iti-AdiSati || VSpkC_3.3:4]
   yathā hy artho 'sphuṭo dṛṣṭaḥ sāvadhāne'pi cetasi /	yaTA hi arTaH asPuwaH dRzwaH sAvaDAne-api cetasi /
   bhūyaḥ sphuṭataro bhāti svabalodyogabhāvitaḥ // VSpk_3.4 //	BUyas sPuwataraH BAti sva-bala-udyoga-BAvitaH // VSpc-_3.4 //
   tathā yatparamārthena yena yatra yathā sthitam /	taTA yat-parama-arTena yena yatra yaTA sTitam /
   tattathā balamākramya na cirāt sampravartate // VSpk_3.5 //	tat-taTA balam-Akramya na cirAt sampravartate // VSpc-_3.5 //
   * hiśabdaḥ kilaśabdārthe || VSpkC_3.4-5:1	* hi-SabdaH kila-Sabda-arTe || VSpkC_3.4-5:1
   * sāvadhāne'pi cetasi dūratvādidoṣair yathā kilārtho 'sphuṭo dṛṣṭo bhūyo	* sAvaDAne-api cetasi dUra-tva-Adi-dozEH yaTA kila-arTaH asPuwaH dRzwaH BUyo
   'dhyakṣanirīkṣaṇātmanā svabalodyogena bhāvito bhṛśam ālokito na kevalaṃ	aDyakza-nirIkzaNa-AtmanA sva-bala-udyogena BAvitaH BRSam AlokitaH na kevalam
   sphuṭo yāvat sphuṭataro'pi bhāti tathā yatspandatattvātmakaṃ balaṃ	sPuwaH yAvat sPuwataraH-api BAti taTA yat-spanda-tattva-Atmakam balam
   yenānandaghanatātmanā paramārthena yatreti śaṃkarātmani svasvabhāve	yena-Ananda-Gana-tA-AtmanA parama-arTena yatra-iti SaMkara-Atmani sva-svaBAve
   yatheti abhedavyāptyā sthitaṃ tatkartṛ tatheti svabalodyogena	yaTA-iti aBeda-vyAptyA sTitam tad-kartR taTA-iti sva-bala-udyogena
   antarmukhatadekātmatāpariśīlanaprayatnena saṃbhāvitaṃ śīghrameva	antar-muKa-tad-eka-Atma-tA-pariSIlana-prayatnena saMBAvitam SIGram-eva
   sphuṭataratvena pravartate abhivyajyate || VSpkC_3.4-5:2	sPuwatara-tvena pravartate aBivyajyate || VSpkS_3.4-5:2
   * kathamākramyārādhakasya kalpitadehādipramātṛbhūmiṃ svātmanyeva nimagnāṃ	* kaTam-Akramya-ArADakasya kalpita-deha-Adi-pramAtR-BUmim sva-Atmani-eva nimagnAm
   kṛtvātha ca spandātmakaṃ balamākramya sthitasya	kRtvA-aTa ca spanda-Atmakam balam-Akramya sTitasya
   kalpitadehabuddhipramātṛbhūmim asakṛd uttejayataḥ sādhakasya yogino	kalpita-deha-budDi-pramAtR-BUmim asakRt uttejayataH sADakasya yoginaH-
   yajjijñāsitaṃ nidhānādi yatra deśādau yena hemādinā paramārthena yathā	yat-jijQAsitam niDAna-Adi yatra deSa-AdO yena hema-AdinA parama-arTena yaTA
   saṃniveśena sthitaṃ tathā tadacirād eva prakāśate || VSpkC_3.4-5:3	saMniveSena sTitam taTA tad-acirAt eva prakASate || VSpkC_3.4-5:3
   * kartṛśaktyādir apyamuta eva balāt prādurbhavatītyāha || VSpkC_3.4-5:4]	* kartR-Sakti-AdiH api-amutas eva balAt prAdurBavati-iti-Aha || VSpkC_3.4-5:4]
   durbalo'pi tadākramya yataḥ kārye pravartate /	durbalaH-api tat-Akramya yatas kArye pravartate /
   ācchādayedbubhukṣāṃ ca tathā yo 'tibubhukṣitaḥ // VSpk_3.6 //	AcCAdayet-buBukzAm ca taTA yaH ati-buBukzitaH // VSpc-_3.6 //
   * yathā kṣīṇadhātur ṛṣiprāyaḥ so 'pi spandātmakaṃ balam ākramya	* yaTA kzINa-DAtuH Rzi-prAyaH saH api spanda-Atmakam balam Akramya
   spandasamāveśabalena prāṇapramātṛbhūmim asakṛd uttejya kārye	spanda-samAveSa-balena prANa-pramAtR-BUmim asakRt uttejya kArye
   'vaśyakartavye karmaṇi pravartate aśakyam api vastu tadbalākramaṇenaiva	avaSya-kartavye karmaNi pravartate aSakyam api vastu tad-bala-AkramaNena-eva
   karotītyarthaḥ || VSpkC_3.6:1	karoti-iti-arTaH || VSpkS_3.6:1
   * tathā yo 'pyatibubhukṣitaḥ so 'pi tadbalākrāntyā kṣutpipāsādi śamayati	* taTA yaH api-atibuBukzitaH saH api tad-bala-AkrAntyA kzuD-pipAsA-Adi Samayati
   || VSpkC_3.6:2	|| VSpkC_3.6:2
   * na hi cidghanāṃ bhūmim anupraviṣṭasya dvaṃdvābhibhavaḥ kaścit	* na hi cit-GanAm BUmim anupravizwasya dvaMdva-aBiBavaH kaScid-
   prāṇādibhuva eva tadāśrayatvāttasyāś ceha cidbhūmau nimagnatvāt ||	prANa-Adi-BuvaH eva tad-ASraya-tvAt-tasyAH ca-iha cit-BUmO nimagna-tvAt ||
   VSpkC_3.6:3	VSpkC_3.6:3
   * yata evam uktasūtropapattikramānusāreṇedṛk siddhisamudāyo 'smād	* yatas evam ukta-sUtra-upapatti-krama-anusAreNa-IdRS sidDi-samudAyaH asmAt-
   bhavatītyataḥ || VSpkC_3.6:4]	Bavati-iti-atas || VSpkC_3.6:4]
   anenādhiṣṭhite dehe yathā sarvajñatādayaḥ /	anena-aDizWite dehe yaTA sarvajQa-tA-AdayaH /
   tathā svātmanyadhiṣṭhānāt sarvatraivaṃ bhaviṣyati // VSpk_3.7 //	taTA sva-Atmani-aDizWAnAt sarvatra-evam Bavizyati // VSpc-_3.7 //
   * anena svasvabhāvātmanā spandatattvenādhiṣṭhite vyāpte dehe sati yathā	* anena sva-svaBAva-AtmanA spanda-tattvena-aDizWite vyApte dehe sati yaTA
   tadavasthocitārthānubhavakaraṇādirūpāḥ sarvajñatāsarvakartṛtādayo dharmā	tad-avasTA-ucita-arTa-anuBava-karaNa-Adi-rUpAH sarvajQa-tA-sarva-kartRta-AdayaH DarmA
   āvirbhavanti dehinaḥ tathā yadyayaṃ kūrmāṅgasaṃkocavat sarvopasaṃhāreṇa	AvirBavanti dehinaH taTA yadi-ayam kUrma-aFga-saMkoca-vat sarva-upasaMhAreNa
   mahāvikāsayuktyā vā svasminnanapāyinyātmani cidrūpe adhiṣṭhānaṃ karoti	mahA-vikAsa-yuktyA vA svasmin=-anapAyinI-Atmani cit-rUpe aDizWAnam karoti
   uktābhijñānapratyabhijñāte tatraiva samāveśasthitiṃ badhnāti tadā	ukta-aBijQAna-pratyaBijQAte tatra-eva samAveSa-sTitim baDnAti tadA
   sarvatreti śivādau kṣityante evam iti	sarvatra-iti Siva-AdO kziti-ante evam iti
   śaṃkarataducitasarvajñatāsarvakartṛtādirūpo bhaviṣyati || VSpkC_3.7:1	SaMkara-taducita-sarvajQa-tA-sarva-kartRtA-Adi-rUpaH Bavizyati || VSpkC_3.7:1
   * idam apyetatprasādenetyāha || VSpkC_3.7:2]	* idam api-etad-prasAdena-iti-Aha || VSpkS_3.7:2]
   glānir viluṇṭhikā dehe tasyāścājñānataḥ sṛtiḥ /	glAniH viluNWikAH dehe tasyAH-ca-ajQAnataH sRtiH /
   tadunmeṣaviluptaṃ cet kutaḥ sā syādahetukā // VSpk_3.8 //	tad-unmeza-viluptam ced kutas sA syAt-ahetukAH // VSpc-_3.8 //
   * mnā sarvakeśānāmāspadaṃ tataśca dehe yā glāniḥ arthāddehābhimāninaḥ	* mnA sarva-keSAnAm-Aspadam tatas-ca dehe yA glAniH arTAt-deha-aBimAninaH
   puṃso yo harṣakṣayo'sau viluṇṭhikā parasaṃviddraviṇāpahāreṇa	puMsaH yaH harza-kzayaH-asO viluNWikA para-saMvid-draviNa-apahAreNa
   pārimityadaurgatyapradā tasyāśca glāner ajñānataś	pArimitya-dOrgatya-pradA tasyAH-ca glAneH ajQAnataH-
   cidānandaghanasvasvarūpāpratyabhijñānāt sṛtir udbhavo 'vasthitiśca ||	cit-Ananda-Gana-sva-svarUpa-apratyaBijQAnAt sRtiH udBavaH avasTitiH-ca ||
   VSpkC_3.8:1	VSpkC_3.8:1
   * tadajñānaṃ pradarśayiṣyamāṇasvarūpeṇonmeṣarūpeṇa cedviluptaṃ nikṛttaṃ	* tad-ajQAnam pradarSayizyamANa-svarUpeNa-unmeza-rUpeNa ced-viluptam nikRttam
   tadāsau glānirajñānātmano hetorabhāvāt kutaḥ syānna bhaved ityarthaḥ ||	tadA-asO glAniH-ajQAna-AtmanaH hetoH-aBAvAt kutas syAt-na Bavet iti-arTaH ||
   VSpkC_3.8:2	VSpkC_3.8:2
   * glānyabhāve ca dehe 'vaśyambhāvinyo vyādhyādisaṃtāpāvasthā api yathā	* glAni-aBAve ca dehe avaSyamBAvinyaH vyADi-Adi-saMtApa-avasTA api yaTA
   yathā yogino 'pakṛṣyante tathā tathā hemna ivātitāpyamānasya kālikāpagame	yaTA yoginaH apakRzyante taTA taTA hemnaH iva-atitApyamAnasya kAlikA-apagame
   svasvarūpaṃ dedīpyata eva || VSpkC_3.8:3	sva-svarUpam dedIpyate eva || VSpkC_3.8:3
   * evaṃ ca dehāvasthitasyāpi sarvadā glānyabhāva eva parayogino vibhūtiḥ ||	* evam ca deha-avasTitasya-api sarvadA glAni-aBAvaH eva para-yoginaH viBUtiH ||
   VSpkC_3.8:4	VSpkC_3.8:4
   * yathoktaṃ paramayoginyā madālasayā bāladārakān prayogīkurvatyā /	* yaToktam parama-yoginyAH mada-alasayA bAla-dArakAn prayogIkurvatyA /
   * tvaṃ kañcuke śīryamāṇe nije'smin dehe heye mūḍhatāṃ mā vrajethāḥ /	* tvam kaQcuke SIryamANe nije-asmin dehe heye mUXa-tAm mA vrajeTAH /
   * śubhāśubhaiḥ karmabhir dehametanmadādibhiḥ kañcukaste nibaddhaḥ ||	* SuBa-aSuBEH karmaBiH deham-etat-mada-AdiBiH kaQcukaH-te nibadDaH ||
   VSpkC_3.8:5	VSpkC_3.8:5
   * iti mitasiddhyabhilāṣiṇo yoginaḥ samāveśābhyāsarasena dehaṃ vidhyato	* iti mita-sidDi-aBilAziNaH yoginaH samAveSa-aByAsa-rasena deham viDyataH-
   valīpalitādivyādhijayo bhavatītyapi bhaṅgyānena pratipāditam ||	valI-palita-Adi-vyADi-jayaH Bavati-iti-api BaFgyA-anena pratipAditam ||
   VSpkC_3.8:6	VSpkC_3.8:6
   * atha yo 'yam unmeṣaḥ sa kiṃsvarūpaḥ kim upāyalabhyaś cety ākāṅkṣāyām āha	* aTa yaH ayam unmezaH sa kiMsvarUpaH kim upAya-laByaH ca-iti AkAFkzAyAm Aha
   || VSpkC_3.8:7]	|| VSpkC_3.8:7]
   ekacintāprasaktasya yataḥ syād aparodayaḥ /	eka-cintA-prasaktasya yatas syAt apara-udayaH /
   unmeṣaḥ sa tu vijñeyaḥ svayaṃ tamupalakṣayet // VSpk_3.9 //	unmezaH sa tu vijQeyaH svayam tam-upalakzayet // VSpc-_3.9 //
   * bhāve tyakte niruddhā cinnaiva bhāvāntaraṃ vrajet /	* BAve tyakte nirudDA cit-na-eva BAva-antaram vrajet /
   * tadā tanmadhyabhāvena vikasatyatibhāvanā || VSpkC_3.9:1	* tadA tad-maDya-BAvena vikasati-ati-BAvanA || VSpkS_3.9:1
   * iti nītyā ekasyāṃ kasyāṃcid ālambanaviśeṣanibhṛtavikārātmikāyāṃ cintāyāṃ	* iti nItyE ekasyAm kasyAMcid Alambana-viSeza-niBRta-vikAra-AtmikAyAm cintAyAm
   prasaktasya ekāgrībhūtasya yogino yata iti	prasaktasya ekAgrIBUtasya yoginaH yatas iti
   tadekāgratāprakarṣollasatsaṃvitsphāratas tadālambananimīlanājjhaṭiti	tad-ekAgra-tA-prakarza-ullasat-saMvid-sPArataH tad-Alambana-nimIlanAt-Jawiti
   grastasamastacintāsaṃtater agnīṣomāvibhedātmanaḥ spandatattvādapara	grasta-samasta-cintA-saMtateH agnIzomA-viBeda-AtmanaH spanda-tattvAt-apara
   evodayaściccamatkārātmānya eva lokottara ullāsaḥ syāt sa	eva-udayaH-cit-camatkAra-AtmA-anyaH eva lokottaraH ullAsaH syAt sa
   taccamatkāronmeṣakatvād evonmeṣo vijñātavyo 'nveṣaṇīyaḥ ittham eva yoginā	tad-camatkAra-unmezaka-tvAt eva-unmezaH vijQAtavyaH anvezaNIyaH itTam eva yoginA
   jñātuṃ śakyaḥ tataśca svayamiti idaṃtāviṣayatvābhāvād	jQAtum SakyaH tatas-ca svayam-iti idaMtA-vizaya-tva-aBAvAt-
   akṛtakaprayatnātmanāvadhānenāhaṃtayaivopetyātmani lakṣayet asādhāraṇena	akRtaka-prayatna-AtmanA-avaDAnena-ahaMtayA-eva-upetya-Atmani lakzayet asADAraNena
   camatkārātmanā pratyabhijānīyāt || VSpkC_3.9:2	camatkAra-AtmanA pratyaBijAnIyAt || VSpkC_3.9:2
   * yata ekasyāṃ viṣayavicārādicintāyāṃ prasaktasya aparasyāś cintāyā	* yatas ekasyAm vizaya-vicAra-Adi-cintAyAm prasaktasya aparasyAH cintAyAH-
   jhaṭityudayaḥ syāt sa cintādvayavyāpaka unmeṣaḥ ityanye || VSpkC_3.9:3	Jawiti-udayaH syAt sa cintA-dvaya-vyApakaH unmezaH iti-anye || VSpkC_3.9:3
   * idānīṃ mitayogijanaprayatnasādhyāsvapi tāsu tāsu	* idAnIm mita-yogi-jana-prayatna-sADyAsu-api tAsu tAsu
   siddhiṣūnmeṣaṇapariśīlanamātroditāsu parayogino heyatvam eva mantavyam	sidDizu-unmezaNa-pariSIlana-mAtra-uditAsu para-yoginaH heya-tvam eva mantavyam
   ityādiśati || VSpkC_3.9:4]	iti-AdiSati || VSpkC_3.9:4]
   ato bindur ato nādo rūpam asmād ato rasaḥ /	atas binduH atas nAdaH rUpam asmAt atas rasaH /
   pravartante 'cireṇaiva kṣobhakatvena dehinaḥ // VSpk_3.10 //	pravartante acireNa-eva kzoBaka-tvena dehinaH // VSpc-_3.10 //
   * ata unmeṣād upalakṣyamāṇād apralīyamānasthūlasūkṣmādidehāhambhāvasya	* atas unmezAt upalakzyamANAt apralIyamAna-sTUla-sUkzma-Adi-deha-ahamBAvasya
   yogino 'cireṇaiva bhrūmadhyādau tārakāprakāśarūpo bindur	yoginaH acireNa-eva BrU-maDya-AdO tArakA-prakASa-rUpaH binduH-
   aśeṣavedyasāmānyaprakāśātmā nādaḥ sakalavācakāvibhediśabdanarūpo	aSeza-vedya-sAmAnya-prakASa-AtmA nAdaH sakala-vAcakA-viBedi-Sabdana-rUpaH-
   'nāhatadhvanirūpo rūpamandhakāre 'pi prakāśanaṃ tejaḥ rasaśca rasanāgre	anAhata-Dvani-rUpaH rUpam-anDakAre api prakASanam tejaH rasaH-ca rasanA-agre
   lokottara āsvādaḥ kṣobhakatvena	loka-uttaraH AsvAdaH kzoBaka-tvena
   spandatattvasamāsādanavighnabhūtatāvatsaṃtoṣapradatvena vartante ||	spanda-tattva-samAsAdana-viGna-BUta-tAvat-saMtoza-pradatvena vartante ||
   VSpkC_3.10:1	VSpkC_3.10:1
   * yadāhuḥ /	* yat-AhuH /
   * te samādhāv upasargā vyutthāne siddhayaḥ /	* te samADO upasargAH vyutTAne sidDayaH /
   * iti || VSpkC_3.10:2	* iti || VSpkC_3.10:2
   * evamunmeṣanibhālanodyuktasyāpi dehātmamānino yogino bindunādādayaḥ	* evam-unmeza-niBAlana-udyuktasya-api deha-Atma-mAninaH yoginaH bindu-nAda-AdayaH
   kṣobhakā bhavantītyuktam || VSpkC_3.10:3	kzoBakAH Bavanti-iti-uktam || VSpkC_3.10:3
   * idānīmatronmeṣātmani svabhāve dehapramātṛtāṃ nimajjayati tadākārāmapi	* idAnIm-atra-unmeza-Atmani svaBAve deha-pramAtR-tAm nimajjayati tad-AkArAm-api
   parapramātṛtāṃ labhata ityāha || VSpkC_3.10:4]	para-pramAtR-tAm laBate iti-Aha || VSpkC_3.10:4]
   didṛkṣayeva sarvārthān yadā vyāpyāvatiṣṭhate /	didRkzayA-iva sarva-arTAn yadA vyApya-avatizWate /
   tadā kiṃ bahunoktena svayam evāvabhotsyate // VSpk_3.11 //	tadA kim bahunA-uktena svayam eva-avaBotsyate // VSpc-_3.11 //
   * yathā paśyantīrūpāvikalpakadidṛkṣāvasare didṛkṣito 'rtho 'ntarabhedena	* yaTA paSyantI-rUpa-avikalpaka-didRkzA-avasare didRkzitaH arTaH antara-Bedena
   sphurati tathaiva svacchandādyadhvaprakriyoktān dharādiśivāntāntarbhāvino	sPurati taTA-eva svacCanda-Adi-aDva-prakriyA-uktAn DarA-Adi-Siva-anta-antarBAvinaH-
   'śeṣānarthān vyāpyeti sarvam aham iti sadāśivavat	aSezAn-arTAn vyApya-iti sarvam aham iti sadASiva-vat-
   svavikalpānusaṃdhānapūrvakam avikalpāntam	sva-vikalpa-anusaMDAna-pUrvakam avikalpa-antam
   abhedavimarśāntaḥkroḍīkāreṇācchādya yadāvatiṣṭhate asyāḥ samāpatterna	aBeda-vimarSa-antar-kroxIkAreNa-AcCAdya yadA-avatizWate asyAH samApatteH-na
   vicalati tāvad	vicalati tAvat-
   aśeṣavedyaikīkāreṇonmiṣattāvadvedyagrāsīkārimahāpramātṛtāsamāveśacamatkārarūpaṃ	aSeza-vedya-ekIkAreNa-unmizat-tAvat-vedya-grAsI-kAri-mahA-pramAtR-tA-sam-AveSa-camatkAra-rUpam
   yat phalaṃ tat svayam evāvabhotsyate svasaṃvidevānubhaviṣyati kim atra	yat Palam tat svayam eva-avaBotsyate sva-saMvid-eva-anuBavizyati kim atra
   bahunā pratipāditena || VSpkC_3.11:1	bahunA pratipAditena || VSpkC_3.11:1
   * tasyopalabdhiḥ satatam iti pratijñāya tadanantaram upapāditam upāyajātaṃ	* tasya-upalabDiH satatam iti pratijQAya tad-anantaram upapAditam upAya-jAtam
   pariśīlayataḥ satataṃ spandatattvasamāviṣṭatvaṃ suprabuddhasya bhavatīti	pariSIlayataH satatam spanda-tattva-samAvizwa-tvam suprabudDasya Bavati-iti
   tadanantaprameyasaṃbhinnatvād upadeśyahṛdaye smārayann	tad-ananta-prameya-saMBinna-tvAt upadeSya-hRdaye smArayat-=-
   anupraveśayuktyupasaṃhārabhaṅgyāha || VSpkC_3.11:2]	anupraveSa-yukti-upasaMhAra-BaFgi-Aha || VSpkC_3.11:2]
   prabuddhaḥ sarvadā tiṣṭhejjñānenālokya gocaram /	prabudDaH sarvadA tizWet-jQAnena-Alokya gocaram /
   ekatrāropayetsarvaṃ tato 'nyena na pīḍyate // VSpk_3.12 //	ekatra-Aropayet-sarvam tatas anyena na pIxyate // VSpc-_3.12 //
   * sarvadā jāgarāsvapnasuṣuptasaṃvidādimadhyāntapadeṣu prabuddhas tiṣṭhet	* sarvadA jAgarA-svapna-suzupta-saMvid-Adi-maDya-anta-padezu prabudDaH tizWet-
   unmīlitaspandatattvāvaṣṭambhadivyadṛṣṭiḥ suprabuddhatām eva bhajeta ||	unmIlita-spanda-tattva-avazwamBa-divya-dRzwiH suprabudDa-tAm eva Bajeta ||
   VSpkC_3.12:1	VSpkC_3.12:1
   * kathaṃ jñānena bahirmukhenāvabhāsena sarvaṃ gocaraṃ nīlasukhādirūpaṃ	* kaTam jQAnena bahirmuKena-avaBAsena sarvam gocaram nIla-suKa-Adi-rUpam
   viṣayam ālokya /	vizayam Alokya /
   * tasmācchabdārthacintāsu na sāvasthā na yā śivaḥ /	* tasmAt-Sabda-arTa-cintAsu na sA-avasTA na yA SivaH /
   * ityupapāditadṛśā vimṛśya ekatra sraṣṭari śaṃkarātmani svabhāve sarvam	* iti-upapAdita-dRSA vimRSya ekatra srazwari SaMkara-Atmani svaBAve sarvam
   āropayet nimīlanonmīlanadaśayos tadabhedena jānīyāt	Aropayet nimIlana-unmIlana-daSayoH tad-aBedena jAnIyAt-
   pūrvāparakoṭyavaṣṭambhadārḍhyān madhyabhūmim api cidrasāśyānatārūpatayaiva	pUrva-apara-kowi-avazwamBa-dArXyAt maDya-BUmim api cit-ra-sASya-Ana-tA-rUpa-tayA-eva
   paśyed ityarthaḥ || VSpkC_3.12:2	paSyet iti-arTaH || VSpkS_3.12:2
   * evaṃ ca na kenacid anyena vyatiriktena vastunā bādhyate sarvasmin	* evam ca na kenacid anyena vyatiriktena vastunA bADyate sarvasmin
   svātmanaḥ svīkṛtatvāt || VSpkC_3.12:3	sva-AtmanaH svIkRta-tvAt || VSpkC_3.12:3
   * yathoktaṃ śrīpratyabhijñākāreṇa /	* yaToktam SrI-pratyaBijQA-AkAreNa /
   * yo 'vikalpam idam artham aṇḍajaṃ paśyatīśa nikhilaṃ bhavadvapuḥ /	* yaH avikalpam idam arTam aNxa-jam paSyati-ISa niKilam Bavat-vapuH /
   * svātmapakṣaparipūrite jagatyasya nityasukhinaḥ kuto bhayam /	* sva-Atma-pakza-paripUrite jagati-asya nitya-suKinaH kutas Bayam /
   * iti || VSpkC_3.12:4	* iti || VSpkC_3.12:4
   * tato 'nyena na pīḍyate iti yaduktaṃ tatra ko 'sāv anyaḥ pīḍakaḥ kaś ca	* tatas anyena na pIxyate iti yat-uktam tatra kaH asO anyaH pIxakaH kaH ca
   pīḍyo yataḥ śivātmakam eva viśvamuktam ityāśaṅkya pāśānāṃ paśośca svarūpaṃ	pIxyaH yatas Siva-Atmakam eva viSvam-uktam iti-ASaFkya pASAnAm paSoH-ca svarUpam
   nirṇetum āha || VSpkC_3.12:5]	nirNetum Aha || VSpkC_3.12:5]
   śabdarāśisamutthasya śaktivargasya bhogyatām /	Sabda-rASi-samutTasya Sakti-vargasya Bogya-tAm /
   kalāviluptavibhavo gataḥ sansa paśuḥ smṛtaḥ // VSpk_3.13 //	kalA-vilupta-viBavaH gataH san-sa paSuH smRtaH // VSpc-_3.13 //
   * iha yo 'yaṃ prakāśātmā svasvabhāvaḥ śāṃkara uktaḥ asau /	* iha yaH ayam prakASa-AtmA sva-svaBAvaH SAMkaraH uktaH asO /
   * vyavasthitaḥ karotyeṣa viśvakāraṇam īśvaraḥ /	* vyavasTitaH karoti-eza viSva-kAraNam ISvaraH /
   * sṛṣṭiṃ sthitiṃ ca saṃhāraṃ tirodhānamanugraham || VSpkC_3.13:1	* sRzwim sTitim ca saMhAram tiroDAnam-anugraham || VSpkC_3.13:1
   * iti śrīsvacchandaśāstradṛṣṭyā nijaśaktyāśliṣṭaḥ sadā pañcavidhakṛtyakārī	* iti SrI-svacCandaSAstra-dRzwyA nija-Sakti-ASlizwaH sadA paQcaviDa-kRtya-kArI
   svatantraḥ spandalaliteśvarādiśabdair āgameṣūdghoṣyate || VSpkC_3.13:2	svatantraH spanda-lalita-ISvara-Adi-SabdEH Agamezu-udGozyate || VSpkS_3.13:2
   * svātantryaśaktir evāsya sanātanī pūrṇāhaṃtārūpā parā matsyodarī	* svAtantrya-SaktiH eva-asya sanAtanI pUrNa-ahaMtA-rUpA parA matsya-udarI
   mahāsattā sphurattormiḥ sāraṃ hṛdayaṃ bhairavī devī śikhā ityādibhir	mahAsattA sPurat-tA-UrmiH sAram hRdayam BEravI devI SiKA ityAdiBiH-
   asaṃkhyaiḥ prakārais tatra tatra nirucyate || VSpkC_3.13:3	asaMKyEH prakArEH tatra tatra nirucyate || VSpkS_3.13:3
   * pūrṇāhaṃtaiva	* pUrNa-ahaMtA-eva
   cāsyānuttarānāhataśaktisaṃpuṭīkārasvīkṛtādikṣāntavarṇabhaṭṭārikā tata eva	ca-asya-anuttarAnAhata-Sakti-saMpuwI-kAra-svIkRta-Adi-kzAnta-varNa-BawwArikA tatas eva
