   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   sacivo malayānilaḥ Pnc_6.4d	sacivaH malaya anilaH Pn= _6.4d
   sa jagāda ramāṅgadam Pnc_2.45d	sa jagAda ramAFgadam Pn= _2.45d
   sajaṭāpallavaṃ śiraḥ Pnc_11.97b	sa jawA pallavam SiraH Pnd _11.97b
   sajalāṃśukāntiviśadāṅga  Pnc_15.34a	sa jala aMSu kAnti viSada aFga Pn= _15.34a
   sajṛmbham unmīlayati sma locane Pnc_13.1b	sa jRmBam unmIlayati sma locane Pnd _13.1b
   sañcarantam itas tataḥ Pnc_2.34b	saQcarantam itas tatas Pn= _2.34b
   sa tatkṣanān manmathajātavedasaṃ Pnc_4.3c	sa tad kzanAt manmaTa jAtavedasam Pn= _4.3c
   satamaḥ paśya mahendradiṅmukham Pnc_12.48b	satamaH paSya mahA indra diFmuKam Pnc_12.48b
   sa tava śrutim āpta eva tāvat Pnc_5.7a	sa tava Srutim AptaH eva tAvat Pnd _5.7a
   sa tasyāṃ dūravikṣipta  Pnc_2.78a	sa tasyAm dUra vikzipta Pn= _2.78a
   satārahāreṇa bhujāntareṇa ca Pnc_4.30b	sa tAra hAreNa BujAntareNa ca Pnd _4.30b
   sa teṣāṃ sahajodagra  Pnc_2.28a	sa tezAm sahaja udagra Pn= _2.28a
   satkāram āyatananiślathamauliratnau Pnc_18.65b	satkAram Ayatana niSlaTa mOli ratnO Pnd _18.65b
   satkriyāṃ racayituṃ tavātither Pnc_8.74a	satkriyAm racayitum tava atiTeH Pn= _8.74a
   sattveṣu vyathitā iva Pnc_2.59b	sattvezu vyaTitAH iva Pnc_2.59b
   sattveṣv anaparādhiṣu Pnc_2.32b	sattvezu anaparADizu Pnd _2.32b
   satpatrāvalicāruṇā Pnc_6.97b	sat patra Avali cAruNA Pnc_6.97b
   satpuṣkarānañjanapuñjabhāsas Pnc_17.8a	sat puzkara anaQjana puQja BAsaH Pn= _17.8a
   satpuṣkaroddyotitaraṅgaśobhi  Pnc_1.54a	sat puzkara uddyoti taraFga SoBi Pn= _1.54a
   satyaṃ kāmo 'sya kiṅkaraḥ Pnc_6.57b	satyam kAmaH asya kiFkaraH Pnc_6.57b
   satyaṃ yadantaraṅgeṇa Pnc_6.37c	satyam yad antaraFgeNa Pn= _6.37c
   sa dakṣiṇena sphuratā ca bahunā Pnc_4.8b	sa dakziNena sPuratA ca bahunA Pnc_4.8b
   sa darśitapremalave vilocane Pnc_4.2d	sa darSita prema lave vilocane Pn= _4.2d
   sadā kalpitahāṭakeśvarākhyaḥ Pnc_5.20b	sadA kalpita hAwakeSvara AKyaH Pnc_5.20b
   sadāgatipravṛttena Pnc_11.77a	sadAgati pravRttena Pn= _11.77a
   sadā priyas tiṣṭhati kaṇṭhalagnaḥ Pnc_1.41d	sadA priyaH tizWati kaNWa lagnaH Pn= _1.41d
   sadā sadācārapareti vārtayā Pnc_7.46a	sadA sat AcAra para iti vArtayA Pn= _7.46a
   sadā samakarasyāsya Pnc_11.101a	sadA sa makarasya asya Pn= _11.101a
   sadṛśaṃ jātam udañcatā nabhaḥ Pnc_12.35b	sadRSam jAtam udaQcatA naBaH Pn= _12.35b
   sadaiva darbhāṅkuralālitair mṛgaiḥ Pnc_13.11b	sadA eva darBa aFkura lAlitEH mRgEH Pn= _13.11b
   sadyaḥ karasparśam avāpya citraṃ Pnc_1.62a	sadyas kara sparSam avApya citram Pn= _1.62a
   sa na kasyānṛjucetaso janaḥ? Pnc_5.74d	sa na kasya anRju cetasaH janaH? Pn= _5.74d
   sanaye nṛpatāv akhaṇḍitājñe Pnc_5.49a	sanaye nRpatO aKaNxita ajQe Pn= _5.49a
   sanāgavīrair asurendrasainyam Pnc_17.25d	sa nAga vIrEH asura indra sEnyam Pn= _17.25d
   sanāthatāṃ nīta ivopari sphuṭam Pnc_13.44c	sanATa tAm nItaH iva upari sPuwam Pn= _13.44c
   sanāthatīrorunitambabimbā Pnc_14.79d	sa nATa tIra uru nitamba bimbA Pn= _14.79d
   sanāthavāmetarapāṇipaṅkajaṃ Pnc_13.10c	sa nATa vAma itara pANi paFkajam Pn= _13.10c
   sa nārpyate kiṃ karabhoru sāyakaḥ Pnc_7.57d	sa na arpyate kim karaBa Uru sAyakaH Pn= _7.57d
   sa nārmadaṃ sīyakarājanandanaḥ Pnc_13.59d	sa nArmadam sIyaka rAja nandanaH Pn= _13.59d
   sa nirgacchan patiḥ śriyaḥ Pnc_11.2b	sa nirgacCan patiH SriyaH Pnc_11.2b
   sa nṛpaḥ pannagavāmalocanāyāḥ Pnc_5.79b	sa nRpaH pannaga vAma locanAyAH Pnc_5.79b
   santataiḥ saḥ prayāṇakaiḥ Pnc_16.64b	santatEH saH prayANakEH Pnd _16.64b
   santānakathayaitayā Pnc_11.114b	santAna kaTayA etayA Pn= _11.114b
   santānaniryanmadaveṇikṛṣṇā Pnc_14.81b	santAna niryad ma daveNi kRzNA Pnc_14.81b
   santānaḥ svastimān abhūt Pnc_2.29d	santAnaH svastimAn aBUt Pn= _2.29d
   sandeśena tavādhunā Pnc_16.45b	sandeSena tava aDunA Pnc_16.45b
   sandrahemarajasā mahaujasām Pnc_8.48a	sandra hema rajasA mahA ojasAm Pnd _8.48a
   sandhyayā kṛtapadaṃ kva cit kva cit Pnc_8.64d	sanDyayA kRta padam kva cit kva cit Pn= _8.64d
   sandhyātapeneva sadā vibhāti Pnc_1.36d	sanDi A Atapena iva sadA viBAti Pn= _1.36d
   sandhyāpraṇāmaviṣamāñjalaye namas te Pnc_18.17d	sanDyA praNAma vizama aQjalaye namaH te Pn= _18.17d
   sandhyābhrakapiśā jaṭāḥ Pnc_11.32b	sanDyA aBrakapiSAH jawAH Pn= _11.32b
   sannaddhasya manobhuvaḥ Pnc_6.3d	sannadDasya manoBuvaH Pn= _6.3d
   sannābhibimbena mahājilakṣmyā Pnc_17.38a	sanna aBibimbena mahA jilakzmyA Pn= _17.38a
   sa patir matsarād iva Pnc_2.23b	sa patiH matsarAt iva Pnd _2.23b
   sapadi vyālavilāsinīsamūhaḥ Pnc_5.15b	sapadi vyAla vilAsinI samUhaH Pnc_5.15b
   saparāge viśaśrāma Pnc_2.87a	sa parAge viSaSrAma Pn= _2.87a
   sapuṣpasalilāñjaliḥ Pnc_2.82b	sa puzpa salila aQjaliH Pnc_2.82b
   saptatantuparamparaḥ Pnc_11.72b	sapta tantu paramparaH Pn= _11.72b
   sabāṇacakrīkṛtakārmukāni Pnc_17.46b	sa bANa cakrIkRta kArmukAni Pnd _17.46b
   sabāṣpaleśā iva khaḍgalekhāḥ Pnc_17.29d	sa bAzpa leSAH iva Kaxga leKAH Pn= _17.29d
   sa bhārgava ivāparaḥ Pnc_2.10d	sa BArgavaH iva aparaH Pn= _2.10d
   sa bhūpatir vaktum iti pracakrame Pnc_13.15d	sa BUpatiH vaktum iti pracakrame Pn= _13.15d
   samagaṃsta jagatpūjyaḥ Pnc_16.61c	sama gaMsta jagat pUjyaH Pn= _16.61c
   samagrapuṣpāharaṇodyatābhyaḥ Pnc_14.34b	samagra puzpA haraNa udyatAByaH Pn= _14.34b
   samajani nākatalādhidevateyam Pnc_3.70b	samajani nAka tala aDidevatA iyam Pnd _3.70b
   samajani bhṛśam āyato 'sya panthās Pnc_3.42c	samajani BRSam AyataH asya panTAH Pn= _3.42c
   samaṇistambham agre 'tha Pnc_11.105a	sa maNi stamBam agre aTa Pnd _11.105a
   samatsare cetasi durjanānāṃ Pnc_1.12a	sa matsare cetasi durjanAnAm Pn= _1.12a
   samadakroḍadaṃṣṭrābhiḥ Pnc_2.30a	sa mada kroxa daMzwrABiH Pn= _2.30a
   samadakroḍasanāthapalvalāsu Pnc_5.38b	sa mada kroxasa nATa palvalAsu Pnc_5.38b
   samantrām āhutiṃ dadau Pnc_11.67b	sa mantrAm Ahutim dadO Pnc_11.67b
   samam adriguhāmukhasthitais Pnc_12.29c	samam adri guhA muKa sTitEH Pn= _12.29c
   samam iṣubhiḥ sa ramāṅgade narendras Pnc_3.41b	samam izuBiH sa ramAFgade narendraH Pnd _3.41b
   samam evāhikanyānāṃ Pnc_6.32c	samam eva ahi kanyAnAm Pn= _6.32c
   sa mayā na taṭeṣu nirjharāṇāṃ Pnc_5.39a	sa mayA na tawezu nirJarANAm Pn= _5.39a
   samaraśramābhyuditagharmabindunā Pnc_10.20b	samara Srama aByudita Garma bindunA Pnc_10.20b
   samarāṅgaṇavartini Pnc_16.113b	samara aFgaNa vartini Pnd _16.113b
   samarpitā pārthiva puṣpaketunā Pnc_7.73a	samarpitA pArTiva puzpaketunA Pn= _7.73a
   samaviṣameṇa pathā puraḥ pratasthe Pnc_3.2d	sama vizameNa paTA puras pratasTe Pn= _3.2d
   samaṃ vidyādharānīkair Pnc_16.117c	samam vidyADara anIkEH Pn= _16.117c
   samaṃ vimuktā nayanatribhāgaiḥ Pnc_14.12b	samam vimuktAH nayana tri BAgEH Pn= _14.12b
   samāgamaṃ svapnajam abjalocanaḥ Pnc_13.7d	samAgamam svapna jam abja locanaH Pn= _13.7d
   samānabhāvais tribhir eva manye Pnc_9.7a	samAna BAvEH triBiH eva manye Pnd _9.7a
   samāpatan kunda ivālipaṅktayaḥ Pnc_7.30d	samApatan kundaH iva ali paFktayaH Pn= _7.30d
   samāhṛteyaṃ kabarī yathā tathā Pnc_4.21b	samAhRtA iyam kabarI yaTA taTA Pn= _4.21b
   samāhṛtyeva tadbhartṛ  Pnc_11.100c	samAhRtya iva tad BartR Pn= _11.100c
   samāḥ sahasraṃ vasato rasātale Pnc_13.60b	samAH sahasram vasataH rasAtale Pnc_13.60b
   samidhaś ca padāni ca Pnc_11.20d	samiDaH ca padAni ca Pn= _11.20d
   samīpam etyopari kaṅkayūtham Pnc_17.23b	samIpam etya upari kaFka yUTam Pnc_17.23b
   samīravellattaṭahemavalli  Pnc_14.80a	samIra vellat tawa hema valli Pn= _14.80a
   samīrās taṃ siṣevire Pnc_11.4b	samIrAH tam sizevire Pnc_11.4b
   samuccaran nūpurasinncitaiḥ padair Pnc_4.41a	samuccaran nUpura sinncitEH padEH Pnd _4.41a
   samutkayantī kalahaṃsayūtham Pnc_9.13c	samutkayantI kalahaMsa yUTam Pn= _9.13c
   samudgatāny ājimukhe yaśāṃsi Pnc_1.71d	samudgatAni Aji muKe yaSAMsi Pn= _1.71d
   samudyato dātum ivāṃśumāline Pnc_13.36d	samudyataH dAtum iva aMSu mAline Pn= _13.36d
   samudranemivasudhā dhṛteyam Pnc_9.7b	samudra nemi vasuDA DRtA iyam Pnd _9.7b
   samudraraśanā mahī Pnc_2.84d	samudra raSanA mahI Pn= _2.84d
   samudvahantī sravadañjanāśru  Pnc_10.65a	samudvahantI sravat aQjana aSru Pn= _10.65a
   sa muner nāma cārthavat Pnc_11.71b	sa muneH nAma ca arTavat Pnc_11.71b
   samunmiṣatsvedalave vilumpati Pnc_4.4b	samunmizat sveda lave vilumpati Pnd _4.4b
   samunmiṣanti śramavāribindavo Pnc_4.50c	samunmizanti Srama vAri bindavaH Pnc_4.50c
   samupaiti sanāthatāṃ kim anyat Pnc_5.48a	samupEti sanATa tAm kim anyat Pn= _5.48a
   samupaiti spṛhaṇīyatāṃ janaḥ Pnc_12.61b	samupEti spRhaNIyatAm janaH Pn= _12.61b
   samupoḍhapraṇayaṃ yaśobhaṭena Pnc_4.61b	samupoXa praNayam yaSaH Bawena Pn= _4.61b
   samullasatsāndrayaśaḥprasūnā Pnc_1.77b	samullasat sAndra yaSaH prasUnA Pn= _1.77b
   samullasatsvedalavāṅkitastanī Pnc_7.78b	samullasat sveda lava aFkita stanI Pnc_7.78b
   sa mṛgavyāvinodena Pnc_2.1c	sa mRgavyAvinodena Pn= _2.1c
   sa mṛgas tasya cetasi Pnc_2.92b	sa mRgaH tasya cetasi Pnd _2.92b
   samedhitaśrīr abhitas talotthitaiḥ Pnc_13.39a	sameDita SrIH aBitas tala utTitEH Pn= _13.39a
   samedhitasyābjabhuvā vareṇa Pnc_9.52c	sameDitasya abja BuvA vareNa Pn= _9.52c
   same 'pi mārge dadatī padāni Pnc_9.14d	same api mArge dadatI padAni Pn= _9.14d
   samauliratnā iva pannagendrāḥ Pnc_17.20d	sa mOli ratnAH iva pannaga indrAH Pn= _17.20d
   sampraty avaimi prathitā yadātaḥ Pnc_9.47a	samprati avEmi praTitA yadA ataH Pn= _9.47a
   sampraty ahaṃ paśyata! digvadhūnāṃ Pnc_1.16c	samprati aham paSyata! diS vaDUnAm Pn= _1.16c
   sambhavaty amarādrau vā Pnc_2.49c	samBavati amara adrO vA Pn= _2.49c
   sambhāvanābhāramaho nidhatse Pnc_9.31b	samBAvanA BAram aho niDatse Pnc_9.31b
   sambhāvyase me nṛpate tvam eva Pnc_9.59d	samBAvyase me nRpate tvam eva Pn= _9.59d
   sambhāṣaṇaṃ vidadhatīm iva pauramukta  Pnc_18.58c	samBAzaNam vidaDatIm iva pOra mukta Pn= _18.58c
   sambhāṣya tān smitamukhaḥ saha tair jagāma Pnc_18.60b	samBAzya tAn smita muKaH saha tEH jagAma Pnc_18.60b
   sambhrameṇa galitaṃ natabhruvaḥ Pnc_8.25c	samBrameNa galitam nata BruvaH Pn= _8.25c
   sambhramottānite kare Pnc_16.20d	samBrama uttAnite kare Pn= _16.20d
   sammarjanībhiḥ parataḥ kriyante Pnc_1.27c	sammarjanIBiH paratas kriyante Pn= _1.27c
   sammohanāstrasphuritaṃ niveśya Pnc_1.32b	sammohana astra sPuritam niveSya Pn= _1.32b
   samrāṭ tataḥ saḥ katham apy urarīcakāra Pnc_13.67d	samrAj tatas saH kaTam api urarIcakAra Pn= _13.67d
   sayaṃ ca kampaḥ kucayor vadhūr iyaṃ Pnc_4.21c	sayam ca kampaH kucayoH vaDUH iyam Pn= _4.21c
   sa yāvad āpraṣṭum iyeṣa pārthivaḥ Pnc_13.17d	sa yAvat Aprazwum iyeza pArTivaH Pn= _13.17d
   sa yena mukto nijanāmalāñchitaḥ Pnc_4.34c	sa yena muktaH nija nAma lAQCitaH Pn= _4.34c
   sa yoganidrāmukule mukundaḥ Pnc_9.8d	sa yoga nidrA mukule mukundaH Pn= _9.8d
   saratnakāñcīvalayair vilāsa  Pnc_14.17a	sa ratna kAQcI valayEH vilAsa Pn= _14.17a
   sa ramāṅgadaṃ nṛpatir ity avocat Pnc_10.1d	sa ramAFgadam nRpatiH iti avocat Pn= _10.1d
   sarale jaṭhity uditakārśyadorlatā  Pnc_10.60a	sarale jaWiti udita kArSya dos latA Pn= _10.60a
   sarale saha vārijaśriyā Pnc_12.34a	sarale saha vArija SriyA Pn= _12.34a
   sarasakanakajambūpallavaprastareṣu Pnc_15.70d	sarasa kanaka jambU pallava prastarezu Pn= _15.70d
   sarasaḥ saḥ saikataśilātale nṛpaḥ Pnc_3.73d	sarasaH saH sEkata SilA tale nRpaH Pn= _3.73d
   sarasāgaseva ramaṇena Pnc_15.45a	sarasAgasA iva ramaNena Pn= _15.45a
   sarasāṃ nāpsu na puṇḍarīkaṣaṇḍe Pnc_5.39b	sarasAm na apsu na puNxarIka zaNxe Pnc_5.39b
   sarasijasanāthapāṇibhiḥ Pnc_15.33b	sarasija sanATa pANiBiH Pnd _15.33b
   sarasi dhavalite tataḥ samantād Pnc_3.50a	sarasi Davalite tatas samantAt Pn= _3.50a
   sarasīm avagāhataḥ Pnc_2.77b	sarasIm avagAhataH Pn= _2.77b
   sarasīṣv api nāyatormilekhā Pnc_5.39c	sarasIzu api na Ayata Urmi leKA Pn= _5.39c
   sarasī suptahaṃseva Pnc_6.100c	sarasI supta haMsA iva Pn= _6.100c
   saraso 'sya vimuñca tīralekhām Pnc_5.78a	sarasaH asya vimuQca tIra leKAm Pnc_5.78a
   Sarasvatīkalpalataikakandaṃ Pnc_1.7a	SarasvatI kalpa latA eka kandam Pn= _1.7a
   sa raṃhasā saṃmukham āpatantam Pnc_17.34b	sa raMhasA saMmuKam Apatantam Pnc_17.34b
   sarāga iva ṣaṭpadaḥ Pnc_6.2d	sa rAgaH iva zawpadaH Pn= _6.2d
   sarāgabimbauṣṭhagalatpravālayā Pnc_7.2b	sa rAga bimba ozWa galat pravAlayA Pn= _7.2b
   sarāgavaty utkalikābhir ākule Pnc_7.33a	sa rAgavati utkalikABiH Akule Pn= _7.33a
   sa rājacūḍāmaṇim ity apṛcchata Pnc_13.14d	sa rAjacUxAmaNim iti apRcCata Pn= _13.14d
   sa rājahaṃso 'pi viveśa mānasam Pnc_7.42b	sa rAjahaMsaH api viveSa mAnasam Pnc_7.42b
   saritam iva vanāntare samīraḥ Pnc_3.69c	saritam iva vana antare samIraH Pn= _3.69c
   saritaḥ śriyam īrṣyayeva tasyāḥ Pnc_5.16c	saritaH Sriyam IrzyayA iva tasyAH Pn= _5.16c
   saritaḥ sālabhañjikā Pnc_11.49d	saritaH sAlaBaQjikA Pn= _11.49d
   saritāsi vaṅkumunidarśanaṃ prati Pnc_10.36b	saritA asi vaFkumuni darSanam prati Pnd _10.36b
   saritpayāṃsīva niśakarāṃśu  Pnc_17.30c	sarit payAMsi iva niSakara aMSu Pn= _17.30c
   sarit saphenā nidhim ambhasām iva Pnc_4.40d	sarit sa PenAH niDim amBasAm iva Pn= _4.40d
   sarid api sāsya puras tirobabhūva Pnc_9.67d	sarit api sA asya puras tirobaBUva Pn= _9.67d
   saridgṛhītaikamṛṇālayor iva Pnc_7.19d	sarit gRhIta eka mRNAlayoH iva Pn= _7.19d
   sa reje meghanirmuktaḥ Pnc_2.74c	sa reje meGa nirmuktaH Pn= _2.74c
   sarojinīva haṃsībhir Pnc_6.116a	sarojinI iva haMsIBiH Pnd _6.116a
   sarvaṛtur lakṣmīnibiḍopagūḍhe Pnc_14.38b	sarva RtuH lakzmI nibixa upagUXe Pnc_14.38b
   sarvataḥ sas tamasāvile bile Pnc_8.46b	sarvatas saH tamasA Avile bile Pnc_8.46b
   sarvathā te kariṣyanti Pnc_6.85c	sarvaTA te karizyanti Pn= _6.85c
   sarvathā vasudhātale Pnc_2.49b	sarvaTA vasuDA tale Pnc_2.49b
   salilagatadhiyātha tena dūrāt Pnc_3.46a	salila gata DiyA aTa tena dUrAt Pnd _3.46a
   salilaṃ kirantam avalokya Pnc_15.15a	salilam kirantam avalokya Pn= _15.15a
   salilāhatitruṭitahāra  Pnc_15.27a	salila Ahati truwita hAra Pn= _15.27a
   salile nimaṅktum asitekṣaṇājanaḥ Pnc_15.1d	salile nimaFktum asita IkzaNA janaH Pn= _15.1d
   salīlam astaḥ kabarībhare karaḥ Pnc_7.12d	sa lIlam astaH kabarIBare karaH Pn= _7.12d
   salīlam āvartayituṃ pracakrame Pnc_4.5b	sa lIlam Avartayitum pracakrame Pnc_4.5b
   salīlam utkampini yat kucadvaye Pnc_7.20d	sa lIlam utkampini yat kuca dvaye Pn= _7.20d
   salīlam uddhūlakulācaleyaṃ Pnc_9.29c	sa lIlam udDUla kula acaleyam Pn= _9.29c
   salīlam evaṃ vadati smitānane Pnc_7.58a	sa lIlam evam vadati smita Anane Pn= _7.58a
   sa vaktum upacakrame Pnc_11.39d	sa vaktum upacakrame Pn= _11.39d
   sa vajrāṅkuśam aikṣata Pnc_16.76d	sa vajra aFkuSam Ekzata Pn= _16.76d
   savapur vilocanapathaṃ yadāvayor Pnc_10.2c	sa vapuH vilocana paTam yadA AvayoH Pn= _10.2c
   savaśena niṣevyate Pnc_2.62d	sa vaSena nizevyate Pn= _2.62d
   sa vaḥ śaśī śaṅkaramauliratnam Pnc_1.2b	sa vaH SaSI SaFkara mOli ratnam Pnc_1.2b
   sa vāladhibhir ujjvalam Pnc_2.19b	sa vAlaDiBiH ujjvalam Pnc_2.19b
   savikriyaṃ śuktipuṭād iva udakam Pnc_13.4d	sa vikriyam Sukti puwAt iva udakam Pn= _13.4d
   sa vidyādharayoṣitām Pnc_16.53b	sa vidyADara yozitAm Pnc_16.53b
   savidhe niṣasāda sā Pnc_16.8d	saviDe nizasAda sA Pn= _16.8d
   savilāsam udastahastamuktair Pnc_5.10a	sa vilAsam udasta hasta muktEH Pnd _5.10a
   sa vismayasyāgramahīm anīyata Pnc_13.26b	sa vismayasya agra mahIm anIyata Pnc_13.26b
   savismayaṃ nāgapurāṅganābhir Pnc_14.25c	sa vismayam nAgapura aFganABiH Pn= _14.25c
   savismayo locanamārgam āptayā Pnc_7.3a	sa vismayaH locana mArgam AptayA Pn= _7.3a
   sa vismito madhyamalokavāsavaḥ Pnc_13.21b	sa vismitaH maDyama loka vAsavaH Pnc_13.21b
   savegavelānilavellitāḥ kva cin Pnc_13.43a	sa vega vela anila vellitAH kva cit Pn= _13.43a
   saśaṅka iva bhūpālān Pnc_2.98c	sa SaFkaH iva BUpAlAn Pn= _2.98c
   saśabdajambūnadamekhaleva Pnc_1.18d	sa Sabda jambUnada meKalA iva Pn= _1.18d
   saśaraṃ cāpam ādade Pnc_2.73d	sa Saram cApam Adade Pn= _2.73d
   sa śarān puṇḍarīkeṣu Pnc_2.21c	sa SarAn puNxarIkezu Pn= _2.21c
   saśiṣyam abhyāgatam aṅganāntike Pnc_13.11c	sa Sizyam aByAgatam aFganA antike Pn= _13.11c
   saśīkara ivodasto Pnc_11.52c	sa SIkaraH iva udastaH Pn= _11.52c
   saś ca tām āttasaṃbhramaḥ Pnc_16.5b	saH ca tAm Atta saMBramaH Pnc_16.5b
   saś ca trijagataḥ sāram Pnc_16.66a	saH ca trijagataH sAram Pnc_16.66a
   saś ca hāraḥ stanacandanāṅkitaḥ Pnc_12.5d	saH ca hAraH stana candana aFkitaH Pn= _12.5d
   saś cādbhutaprābhṛtatoṣitaḥ kare Pnc_13.27a	saH ca adButa prABRta tozitaH kare Pn= _13.27a
   saś cāntaraṃ dīdhitimān ivodadher Pnc_13.47c	saH ca antaram dIDitimAn iva udaDeH Pn= _13.47c
   saś cāsanatvaṃ tadanujñayānayan Pnc_13.13c	saH ca Asana tvam tat anujQayA Anayan Pn= _13.13c
   saś cchāyām atha mahasā hasan himāṃśoḥ Pnc_6.119c	saH cCAyAm aTa mahasA hasan himAMSoH Pn= _6.119c
   saṣaṭpadaṃ padmam ivāravindinī Pnc_7.24d	sa zawpadam padmam iva aravindinI Pn= _7.24d
   sa samaṃ rājasūnubhiḥ Pnc_2.2b	sa samam rAja sUnuBiH Pnd _2.2b
   sasaṃbhramam ayaṃ śukaḥ Pnc_11.27d	sa saMBramam ayam SukaH Pn= _11.27d
   sasaṃbhramaṃ ko 'pi mahātapā muniḥ Pnc_13.52b	sa saMBramam kaH api mahA tapAH muniH Pnd _13.52b
   sasaṃbhramaṃ pauravilāsinīṣu Pnc_1.52b	sa saMBramam pOra vilAsinIzu Pnd _1.52b
   sasaṃbhramottaṃbhitakarṇatālam Pnc_14.2a	sa saMBrama uttaMBita karNa tAlam Pnc_14.2a
   sasādhvasenāvirataṃ mayā tvam Pnc_10.68c	sa sADvasena aviratam mayA tvam Pn= _10.68c
   sas takṣakāpāditakaṇṭhabhūṣo Pnc_9.55c	saH takzaka ApAdita kaNWa BUzaH Pn= _9.55c
   sas tadvayasyānihitāv amanyata Pnc_7.32d	saH tad vayasya anihitO amanyata Pn= _7.32d
   sas tasyopayānīcakre Pnc_16.62a	saH tasya upayAnI cakre Pn= _16.62a
   sas tāta śailendrabharakṣamaḥ kṣaṇāt Pnc_13.35c	saH tAta SElendra Bara kzamaH kzaNAt Pn= _13.35c
   sas tām anāptekṣaṇasaṃstavāṃ purā Pnc_4.6c	saH tAm anApta IkzaNa saMstavAm purA Pn= _4.6c
   sas tāṃ laṅkām ivāṅgadaḥ Pnc_16.67d	saH tAm laFkAm iva aFgadaH Pn= _16.67d
   sas tīvrakopasphuritādharo 'vadad Pnc_13.54c	saH tIvra kopa sPurita aDaraH avadat Pn= _13.54c
   sas tena reje bhṛśam ātmanā yathā Pnc_13.22d	saH tena reje BRSam AtmanA yaTA Pn= _13.22d
   sahakāranavāṅkurāḥ Pnc_6.77d	sahakAra nava aFkurAH Pn= _6.77d
   sahajaś candramarīcipakṣapātaḥ Pnc_5.14d	sahajaH candra marIci pakzapAtaH Pn= _5.14d
   sahate nṛpatau naiva Pnc_16.97a	sahate nRpatO na eva Pn= _16.97a
   sahabhuvam ivekṣituṃ śriyam Pnc_15.25b	sahaBuvam iva Ikzitum Sriyam Pnc_15.25b
   saha medhāvini kas tvayā vivādaḥ Pnc_5.61b	saha meDAvini kaH tvayA vivAdaH Pnd _5.61b
   saha ramaṇair amarāṅganā ramante Pnc_3.45d	saha ramaNEH amara aFganAH ramante Pn= _3.45d
   sahasā na jagāda lajjayā nu Pnc_4.61c	sahasA na jagAda lajjayA nu Pn= _4.61c
   sahasānyathā rahasi mantribodhitaḥ Pnc_10.31c	sahasA anyaTA rahasi mantri boDitaH Pn= _10.31c
   sahasā vārivihaṅgamāvaluptam Pnc_5.67b	sahasA vAri vihaFgama avaluptam Pnc_5.67b
   sahasā vihāya kalahaṃsapaṅktayaḥ Pnc_15.6d	sahasA vihAya kalahaMsa paFktayaH Pn= _15.6d
   sahasā sundari yad yad ujjhitam Pnc_12.29b	sahasA sundari yat yat ujJitam Pnc_12.29b
   sahasā sundari sandhyayā gatam Pnc_12.39d	sahasA sundari sanDyayA gatam Pn= _12.39d
   sahasā suvarṇasikatāṅkite pathi Pnc_10.59d	sahasA suvarNa sikata aFkite paTi Pn= _10.59d
   sahasā hṛdaye tasyā Pnc_6.2a	sahasA hRdaye tasyAH Pn= _6.2a
   sahase nāvinayāṃśam ity avaimi Pnc_5.71b	sahase na avinaya aMSam iti avEmi Pnd _5.71b
   sahasaiva nilīyate Pnc_2.60d	sahasA eva nilIyate Pn= _2.60d
   sahasaiva phaṇabhṛtāṃ praviṣṭā Pnc_5.22c	sahasA eva PaNaBRtAm pravizwA Pn= _5.22c
   sahasaiva hemaśatapatravārtayā Pnc_10.55d	sahasA eva hema Satapatra vArtayA Pn= _10.55d
   sahasaivātithiḥ prāptaḥ Pnc_11.27a	sahasA eva atiTiH prAptaH Pn= _11.27a
   sahasrakīrṇeva raṇāṅgaṇorvī Pnc_17.18d	sahasra kIrNA iva raNa aFgaNa urvI Pn= _17.18d
   sahasraraśmer iva vālakhilyā Pnc_14.7c	sahasraraSmeH iva vAlaKilyA Pn= _14.7c
   sahasraśaḥ khe calitāni paśyan Pnc_14.6c	sahasraSas Ke calitAni paSyan Pn= _14.6c
   sahasraśaḥ śastrabhṛtāṃ śirāṃsi Pnc_17.22b	sahasraSas SastraBRtAm SirAMsi Pnd _17.22b
   sahasraśaḥ śoṇitaśīkarārdrāḥ Pnc_17.19b	sahasraSas SoNita SIkara ArdrAH Pnc_17.19b
   sahāmunā kiṃcidupāntavartinā Pnc_4.39a	saha amunA kiMcid upAnta vartinA Pnc_4.39a
   sa hiraṇyamayam āsanam Pnc_16.77b	sa hiraNya mayam Asanam Pnc_16.77b
   sahemakavacaḥ pumān Pnc_11.68d	sa hema kavacaH pumAn Pn= _11.68d
   sahemaśṛṅkhalāḥ śvānaḥ Pnc_2.14a	sa hema SRFKalAH SvAnaH Pn= _2.14a
   sahelam abhyuddharatā dharitrīṃ Pnc_1.60a	sa helam aByudDa ratA DaritrIm Pn= _1.60a
   sahyā malayavāyavaḥ Pnc_6.69d	sahyAH malaya vAyavaH Pn= _6.69d
   saṃchāditaṃ kim api pāṇitale dadhānaḥ Pnc_18.49b	saMCAditam kim api pANi tale daDAnaH Pnc_18.49b
   saṃdadhe dhanuṣi yāvad īśvaraḥ Pnc_8.51b	saMdaDe Danuzi yAvat ISvaraH Pnc_8.51b
   saṃdhyeva divākaraḥ Pnc_11.26d	saMDyA iva divAkaraH Pn= _11.26d
