   akaros tvaṃ pratāpena RmUD_*6.34c	akaroH tvam pratApena RmUD_*6.34c
   sa māṃ rakṣatu cinmayaḥ RmUD_156*7.9d	sa mAm rakzatu cit-mayaH RmUD_156*7.9d
   samīkṣya nipuṇaiḥ sadbhiḥ RmUD_154*7.8c	samIkzya nipuNEH sadBiH RmUD_154*7.8c
   sarvalokabhayaṅkaram RmUD_*6.49b	sarva-loka-BayaFkaram RmUD_*6.49b
   sarvāsāṃ vānarīṇāṃ ca RmUD_*6.63a	sarvAsAm vAnarINAm ca RmUD_*6.63a
   sarveṣāṃ mohanāya vai RmUD_*6.19d	sarvezAm mohanAya vE RmUD_*6.19d
   sa samullaṅghya mainākaṃ RmUD_110*5.2a	sa samullaFGya mEnAkam RmUD_110*5.2a
   sasītaḥ sahalakṣmaṇaḥ RmUD_140b	sa-sItaH sahalakzmaNaH RmUD_140b
   sa sutasya vadhaṃ śrutvā RmUD_*6.31a	sa sutasya vaDam SrutvA RmUD_*6.31a
   saha mitrair jagatpatiḥ RmUD_*6.52b	saha mitrEH jagatpatiH RmUD_*6.52b
   sahānugaṃ kumbhakarṇaṃ RmUD_131c	saha-anugam kumBakarNam RmUD_131c
   sahānujo gṛdhrarājaṃ RmUD_83*3.23c	sahAnujaH gRDra-rAjam RmUD_83*3.23c
   sahitā mantribhiś cakrur RmUD_*6.60c	sahitAH mantriBiH cakruH RmUD_*6.60c
   saṃtatāra ca jāhnavīm RmUD_49*2.9d	saMtatAra ca jAhnavIm RmUD_49*2.9d
   saṃtoṣavivaśenātha RmUD_*6.56c	saMtoza-vivaSena-aTa RmUD_*6.56c
   saṃtyajya svagṛhān sarve RmUD_46*2.6c	saMtyajya sva-gRhAn sarve RmUD_46*2.6c
   saṃdiṣṭaḥ saha rākṣasaiḥ RmUD_*6.47b	saMdizwaH saha rAkzasEH RmUD_*6.47b
   saṃdiṣṭo devavṛndaiś ca RmUD_*6.48c	saMdizwaH deva-vRndEH ca RmUD_*6.48c
   saṃyuge taṃ jaghāna ca RmUD_134d	saMyuge tam jaGAna ca RmUD_134d
   saṃvardhito mahendrādrim RmUD_108*4.20c	saMvarDitaH mahA-indra-adrim RmUD_108*4.20c
   saṃśodhya parigṛhyatām RmUD_154*7.8d	saMSoDya parigRhyatAm RmUD_154*7.8d
   saṃskārādi cakārāsya RmUD_54*2.14c	saMskAra-Adi cakAra-asyaH RmUD_54*2.14c
   saṃsthāpya janakātmajām RmUD_81*3.21b	saMsTApya janakAtmajAm RmUD_81*3.21b
   sākaṃ devagaṇair iti RmUD_14*1.14d	sAkam deva-gaNEH iti RmUD_14*1.14d
   sā tu gatvā janasthānaṃ RmUD_69*3.9c	sA tu gatvA janasTAnam RmUD_69*3.9c
   sā tu taṃ mṛgam āhartuṃ RmUD_74*3.14c	sA tu tam mRgam Ahartum RmUD_74*3.14c
   sā tu lakṣmīr bhavān svabhūḥ RmUD_*6.49d	sA tu lakzmIH BavAn svaBUH RmUD_*6.49d
   sānujaṃ ca raghūttamam RmUD_132b	sa-anujam ca raGUttamam RmUD_132b
   sānujaḥ sasuhṛdgaṇaḥ RmUD_*6.56b	sa-anujaH sa-suhRd-gaNaH RmUD_*6.56b
   sāntvayann idam abravīt RmUD_*6.23d	sAntvayan idam abravIt RmUD_*6.23d
   sāntvayitvāmarādhipam RmUD_*6.35b	sAntvayitvA-amara-aDipam RmUD_*6.35b
   sārathiṃ saṃnimantryāsau RmUD_49*2.9a	sAraTim saMnimantrya-asO RmUD_49*2.9a
   sārdhaṃ tasyānuśaṅkayā RmUD_94*4.6d	sArDam tasya-anuSaFkayA RmUD_94*4.6d
   sālān sapta raghūttamaḥ RmUD_94*4.6b	sAlAn sapta raGUttamaH RmUD_94*4.6b
   sāhāyye tam acodayat RmUD_73*3.13d	sAhAyye tam acodayat RmUD_73*3.13d
   sītayā sahitaś ciram RmUD_144d	sItayA sahitaH ciram RmUD_144d
   sītayā sahitaṃ rāmam RmUD_143c	sItayA sahitam rAmam RmUD_143c
   sītayā sahitaḥ sukham RmUD_40*1.40d	sItayA sahitaH suKam RmUD_40*1.40d
   sītayā sahitaḥ sukham RmUD_66*3.6d	sItayA sahitaH suKam RmUD_66*3.6d
   sītayā hanumān mudam RmUD_*6.62b	sItayA hanumAn mudam RmUD_*6.62b
   sītākutūhalāt puṣpaṃ RmUD_*6.53c	sItA-kutUhalAt puzpam RmUD_*6.53c
   sītādyāḥ kanyakā dadau RmUD_37*1.37d	sItA-AdyAH kanyakA dadO RmUD_37*1.37d
   sītānimittam ānītaṃ RmUD_36*1.36c	sItA-nimittam AnItam RmUD_36*1.36c
   sītām abhyadravad ruṣā RmUD_68*3.8d	sItAm aByadravat ruzA RmUD_68*3.8d
   sītāyāḥ pramukhe 'carat RmUD_74*3.14b	sItAyAH pramuKe acarat RmUD_74*3.14b
   sītālakṣmaṇasaṃyutaḥ RmUD_49*2.9b	sItA-lakzmaNa-saMyutaH RmUD_49*2.9b
   sītālakṣmaṇasaṃyutaḥ RmUD_60*2.20d	sItA-lakzmaNa-saMyutaH RmUD_60*2.20d
   sītāvārttāṃ ca śuśruvuḥ RmUD_106*4.18d	sItA-vArttAm ca SuSruvuH RmUD_106*4.18d
   sītāvirahaduḥkhitaḥ RmUD_101*4.13d	sItA-viraha-duHKitaH RmUD_101*4.13d
   sītāharaṇajāt kopād RmUD_*6.44c	sItA-AharaNa-jAt kopAt RmUD_*6.44c
   sītāṃ gṛhītvā prayayau RmUD_78*3.18c	sItAm gRhItvA prayayO RmUD_78*3.18c
   sītāṃ vicinvann adrākṣīn RmUD_111*5.3c	sItAm vicinvan adrAkzIn RmUD_111*5.3c
   sīteyam iti tarkayan RmUD_113*5.5d	sItA-iyam iti tarkayan RmUD_113*5.5d
   sukhenāvasthitaṃ tava RmUD_*6.39d	suKena-avasTitam tava RmUD_*6.39d
   sugrīvapramukhaiḥ saha RmUD_123*6.1b	sugrIva-pramuKEH saha RmUD_123*6.1b
   sugrīvam api mārtāṇḍo RmUD_19*1.19c	sugrIvam api mArtANxaH RmUD_19*1.19c
   sugrīvam ṛṣyamūkasthaṃ RmUD_87*3.27c	sugrIvam RzyamUka-sTam RmUD_87*3.27c
   sugrīvaś ca hanūmāṃś ca RmUD_128*6.6a	sugrIvaH ca hanUmAn ca RmUD_128*6.6a
   sugrīvādiplavaṅgamāḥ RmUD_*6.64b	sugrIva-Adi-plavaFgamAH RmUD_*6.64b
   sugrīvādyāḥ kapīśvarāḥ RmUD_*6.61b	sugrIva-AdyAH kapi-ISvarAH RmUD_*6.61b
   sugrīvāya nivedya saḥ RmUD_90*4.2b	sugrIvAya nivedya saH RmUD_90*4.2b
   sugrīveṇa pradarśitam RmUD_93*4.5b	sugrIveNa pradarSitam RmUD_93*4.5b
   sugrīveṇātha rāmāya RmUD_92*4.4a	sugrIveNa-aTa rAmAya RmUD_92*4.4a
   sugrīvo rāghavaṃ dṛṣṭvā RmUD_103*4.15a	sugrIvaH rAGavam dRzwvA RmUD_103*4.15a
   sudūraṃ preṣayām āsa RmUD_93*4.5c	su-dUram prezayAm AsaH RmUD_93*4.5c
   subāhupramukhān hatvā RmUD_34*1.34c	subAhu-pramuKAn hatvA RmUD_34*1.34c
   sumantraḥ śokavihvalaḥ RmUD_51*2.11b	sumantraH Soka-vihvalaH RmUD_51*2.11b
   sumitrājījanat sutau RmUD_27*1.27b	sumitrA-ajIjanat sutO RmUD_27*1.27b
   surasām abhivandya ca RmUD_110*5.2b	surasAm aBivandya ca RmUD_110*5.2b
   suvelaṃ prāpa parvatam RmUD_125*6.3d	suvelam prApa parvatam RmUD_125*6.3d
   sūryavaṃśe 'tha pārthivaḥ RmUD_22*1.22b	sUrya-vaMSe aTa pArTivaH RmUD_22*1.22b
   so 'pi rāma iti jñātvā RmUD_99*4.11c	saH api rAmaH iti jQAtvA RmUD_99*4.11c
   so 'pi saṃbhagnasarvāṅgaḥ RmUD_96*4.8c	saH api saMBagna-sarva-aFgaH RmUD_96*4.8c
   so 'pi svarṇamṛgo bhūtvā RmUD_74*3.14a	saH api svarNa-mRgaH BUtvA RmUD_74*3.14a
   saumitriḥ savibhīṣaṇaḥ RmUD_134b	sOmitriH sa-viBIzaNaH RmUD_134b
   sthāpayitvā tu laṅkāyām RmUD_11*1.11c	sTApayitvA tu laFkAyAm RmUD_11*1.11c
   snigdhāś catvāra eva te RmUD_28*1.28b	snigDAH catvAraH eva te RmUD_28*1.28b
   sraggandhāmbarabhūṣaṇaiḥ RmUD_*6.61d	sraj-ganDa-ambara-BUzaNEH RmUD_*6.61d
   svakaṃ rūpaṃ samāviśat RmUD_151d	svakam rUpam samAviSat RmUD_151d
   svaprabhāvapraśaṃsābhis RmUD_108*4.20a	sva-praBAva-praSaMsABiH RmUD_108*4.20a
   svargatiṃ tasya vīkṣya saḥ RmUD_62*3.2b	svargatim tasya vIkzya saH RmUD_62*3.2b
   hatam indrajitaṃ raṇe RmUD_*6.32d	hatam indrajitam raNe RmUD_*6.32d
   hatvā tvāṃ neṣyatīty enām RmUD_118*5.10c	hatvA tvAm na-izyati-iti enAm RmUD_118*5.10c
   hatvā rāmas tu mārīcam RmUD_82*3.22a	hatvA rAmaH tu mArIcam RmUD_82*3.22a
   hatvā viprasya kasyāpi RmUD_148c	hatvA viprasya kasya-api RmUD_148c
   haniṣyāmi daśānanam RmUD_16*1.16d	hanizyAmi daSAnanam RmUD_16*1.16d
   haniṣyāmīti vālinam RmUD_91*4.3b	hanizyAmi-iti vAlinam RmUD_91*4.3b
   hanumantaṃ ca mārutaḥ RmUD_19*1.19d	hanumantam ca mArutaH RmUD_19*1.19d
   hanūmatpramukheṣu ca RmUD_*6.20b	hanUmat-pramuKezu ca RmUD_*6.20b
   hanūmatpramukhair girim RmUD_102*4.14d	hanUmat-pramuKEH girim RmUD_102*4.14d
   hanūmadaṅgadābhyāṃ tu RmUD_*6.10c	hanUmat-aFgadAByAm tu RmUD_*6.10c
   hanūmān atha sugrīva- RmUD_89*4.1a	hanUmAn aTa sugrIva RmUD_89*4.1a
   hanūmān nikhilaṃ tadā RmUD_*6.22b	hanUmAn niKilam tadA RmUD_*6.22b
   harantam avadhīt tadā RmUD_61*3.1d	harantam avaDIt tadA RmUD_61*3.1d
   hartuṃ kṛtamatis tadā RmUD_73*3.13b	hartum kRtamatiH tadA RmUD_73*3.13b
   harṣayan viṣṭaraśravāḥ RmUD_15*1.15d	harzayan vizwaraSravAH RmUD_15*1.15d
   hā sīte lakṣmaṇety evaṃ RmUD_76*3.16c	hA sIte lakzmaNa-iti evam RmUD_76*3.16c
   hṛtvā tatrāvasat sukham RmUD_6*1.6d	hRtvA tatra-avasat suKam RmUD_6*1.6d
   hṛṣṭā rāvaṇanigrahāt RmUD_137b	hRzwA rAvaNa-nigrahAt RmUD_137b
   hemamālī tato vālī RmUD_98*4.10a	hemamAlI tatas vAlI RmUD_98*4.10a
