   Rājanighaṇṭu, Maṅgalācaraṇa	RAjani GaNwu, MaFgala AcaraNa
   niśācarī citrapakṣī jalaśāyī sucetanā // Rajni_19.126	niSAcarI citrapakzI jalaSAyI su cetanA // Rajni_19.126
   jalakukkuṭakaścānyo jalaśāyī jalasthitaḥ // Rajni_19.127	jalakukkuwakaH ca anyaH jalaSAyI jala sTitaH // Rajni_19.127
   ṭhikaḥ pāśagaḍaṣ ṭhikko jalasāryatilāśayaḥ // Rajni_19.128	WikaH pASa gaxaH WikkaH jala sArya tila ASayaH // Rajni_19.128
   jalapakṣī mahāpakṣī jalasāghativāsakaḥ // Rajni_19.129	jalapakzI mahApakzI jalasAGativAsakaH // Rajni_19.129
   jalaśāyī maṇḍalīno mandagaḥ śleṣmalo'viṣī /	jalaSAyI maNxa lInaH manda gaH SlezmalaH avizI /
   sarājī rājimantaśca jalasarpaḥ sa dundubhiḥ // Rajni_19.130	sa rAjI rAjimantaH ca jalasarpaH sa dunduBiH // Rajni_19.130
   dvivigoḍo nisaś caiva citrī śalpī ca gomukhaḥ // Rajni_19.131	dvivigoxaH nisaH ca eva citrI SalpI ca gomuKaH // Rajni_19.131
   anye ca plavagā ye ye te sarve kṣudrasārasāḥ /	anye ca plavagAH ye ye te sarve kzudra sArasAH /
   śvetāścitrāśca dhūmrādyā nānāvarṇānugāhvayāḥ // Rajni_19.132	SvetAH citrAH ca DUmra AdyAH nAnA varNa anuga AhvayAH // Rajni_19.132
   haṃso dhavalapakṣī syāt cakrāṅgo mānasālayaḥ // Rajni_19.133	haMsaH Davala pakzI syAt cakrAFgaH mAnasa AlayaH // Rajni_19.133
   kalahaṃsastu kādambaḥ kalanādo marālakaḥ // Rajni_19.134	kalahaMsaH tu kAdambaH kalanAdaH marAlakaH // Rajni_19.134
   eteṣu cañcucaraṇeṣvaruṇeṣu rājahaṃso'pi dhūsaratareṣu ca mallikākṣaḥ /	etezu caQcu caraNezu aruNezu rAjahaMsaH api DUsaratarezu ca mallikA akzaH /
   kāleṣu teṣu dhavalaḥ kila dhārtarāṣṭraḥ so 'pyeṣa dhūsaratanustu bhaved	kAlezu tezu DavalaH kila DArtarAzwraH saH api eza DUsara tanuH tu Bavet 
   abhavyaḥ // Rajni_19.135	aBavyaH // Rajni_19.135
   haṃsī tu varaṭā jñeyā varalā vāralā ca sā /	haMsI tu varawA jQeyA varalA vAralA ca sA /
   marālī mañjugamanā cakrāṅgī mṛdugāminī // Rajni_19.136	marAlI maQjugamanA cakrAFgI mRdu gAminI // Rajni_19.136
   kukkuṭastāmracūḍaḥ syāt kālajñaś caraṇāyudhaḥ /	kukkuwaH tAmracUxaH syAt kAla jQaH caraNAyuDaH /
   niyoddhā kṛkavākuśca viṣkiro nakharāyudhaḥ // Rajni_19.137	niyodDA kRkavAkuH ca vizkiraH naKara AyuDaH // Rajni_19.137
   syātkapotaḥ kokadevo dhūsaro dhūmralocanaḥ /	syAt kapotaH kokadevaH DUsaraH DUmra locanaH /
   dahano'gnisahāyaśca bhīṣaṇo gṛhanāśanaḥ // Rajni_19.138	dahanaH agni sahAyaH ca BIzaNaH gRha nASanaH // Rajni_19.138
   pārāvataḥ kalaravo'ruṇalocanaśca pārāpato madanakākuravaśca kāmī /	pArAvataH kalaravaH aruNa locanaH ca pArApataH madanakA kuravaH ca kAmI /
   raktekṣaṇo madanamohanavāgvilāsī kaṇṭhīravo gṛhakapotaka eṣa uktaḥ //	rakta IkzaNaH madanamohana vAgvilAsI kaNWIravaH gRhakapotakaH ezaH uktaH //
   Rajni_19.139	Rajni_19.139
   pārāvato'nyadeśīyaḥ kāmuko ghullusāravaḥ // Rajni_19.140	pArAvataH anya deSIyaH kAmukaH GullusAravaH // Rajni_19.140
   jalapārāvataḥ kāmī jñeyo galaravaśca saḥ // Rajni_19.141	jala pArAvataH kAmI jQeyaH galaravaH ca saH // Rajni_19.141
   kokilaḥ parapuṣṭaḥ syāt kālaḥ parabhṛtaḥ pikaḥ /	kokilaH parapuzwaH syAt kAlaH paraBRtaH pikaH /
   vasantadūtastāmrākṣo gandharvo madhugāyanaḥ // Rajni_19.142	vasanta dUtaH tAmra akzaH ganDarvaH maDugAyanaH // Rajni_19.142
   vāsantaḥ kalakaṇṭhaśca kāmāndhaḥ kākalīravaḥ /	vAsantaH kalakaNWaH ca kAma anDaH kAkalI ravaH /
   kuhūravo'nyapuṣṭaśca matto madanapāṭhakaḥ // Rajni_19.143	kuhUravaH anya puzwaH ca mattaH madana pAWakaH // Rajni_19.143
   kokilā tv anyapuṣṭā syānmattā parabhṛtā ca sā /	kokilA tu anyapuzwA syAt mattA paraBRtA ca sA /
   sukaṇṭhī madhurālāpā kalakaṇṭhī madhūdayā // Rajni_19.144	sukaNWI maDura AlApA kalakaNWI maDu udayA // Rajni_19.144
   vasantadūtī tāmrākṣī pikī sā ca kuhūravā /	vasantadUtI tAmrAkzI pikI sA ca kuhUravA /
   vāsantī kāmagā caiva gandharvā vanabhūṣaṇī // Rajni_19.145	vAsantI kAmagA ca eva ganDarvAH vana BUzaNI // Rajni_19.145
   śukaḥ kīro raktatuṇḍo medhāvī mañjupāṭhakaḥ // Rajni_19.146	SukaH kIraH raktatuNxaH meDAvI maQjupAWakaH // Rajni_19.146
   anyo rājaśukaḥ prājñaḥ śatapattro nṛpapriyaḥ // Rajni_19.147	anyaH rAja SukaH prAjQaH SatapattraH nRpapriyaH // Rajni_19.147
   sārikā madhurālāpā dūtī medhāvinī ca sā /	sArikA maDura AlApA dUtI meDAvinI ca sA /
   kavarī kutsitāṅgī ca kaṣkalāṅgī ca śārikā // Rajni_19.148	kavarI kutsita aFgI ca kazkala aFgI ca SArikAH // Rajni_19.148
   pītapādā hy ujjvalākṣī raktacañcuśca sārikā /	pItapAdA hi ujjvala akzI raktacaQcuH ca sArikAH /
   paṭhantī pāṭhavārtā ca buddhimatī bhūsārikā // Rajni_19.149	paWantI pAWa vArtA ca budDimatI BU sArikA // Rajni_19.149
   gorāṇṭikā gokirāṭī gorikā kalahapriyā // Rajni_19.150	gorANwikA gokirAwI gorikA kalaha priyA // Rajni_19.150
   cakoraścandrikāpāyī kaumudījīvano'pi saḥ /	cakoraH candrikA pAyI kOmudIjIvanaH api saH /
   cātakastokakaḥ so 'pi sāraṅgo meghajīvanaḥ // Rajni_19.151	cAtaka stokakaH saH api sAraFgaH meGa jIvanaH // Rajni_19.151
   hārītakastu hārītas tejalaśca kapiñjalaḥ // Rajni_19.152	hArItakaH tu hArItaH tejalaH ca kapiQjalaH // Rajni_19.152
   dhūsarī piṅgalā sūcī bhairavī yoginī jayā /	DUsarI piFgalA sUcI BEravI yoginI jayA /
   kumārī suvicitrā ca mātā koṭaravāsinī // Rajni_19.153	kumArI suvicitrA ca mAtA kowara vAsinI // Rajni_19.153
   tailapā tu paroṣṇī syājjatukājinapattrikā // Rajni_19.154	tElapA tu parozNI syAt jatukA ajina pattrikA // Rajni_19.154
   bhṛṅgaḥ kuliṅgo dhūmyāṭo dārvāghātaḥ śatacchadaḥ // Rajni_19.155	BRFgaH kuliFgaH DUmyAwaH dAru AGAtaH SatacCadaH // Rajni_19.155
   vyāghrāṭaḥ syādbharadvājaḥ khañjanaḥ khañjarīṭakaḥ /	vyAGrAwaH syAt BaradvAjaH KaQjanaH KaQjarIwakaH /
   samantabhadraḥ kṛṣṇastu svalpakṛṣṇaḥ subhadrakaḥ // Rajni_19.156	samantaBadraH kRzNaH tu su alpa kRzNaH suBadrakaH // Rajni_19.156
   dvīpavāsī muniścaiva cāturmāsyavidarśanaḥ /	dvIpavAsI muniH ca eva cAturmAsyavidarSanaH /
   cāṣaḥ kikīdiviḥ prokto nīlāṅgaḥ puṇyadarśanaḥ // Rajni_19.157	cAzaH kikIdiviH proktaH nIla aFgaH puNya darSanaH // Rajni_19.157
   vartako vartiko vartir gāñjikāyaśca kathyate // Rajni_19.158	vartakaH vartikaH vartiH gAQjikAyaH ca kaTyate // Rajni_19.158
   kalaviṅkastu caṭakaḥ kāmuko nīlakaṇṭhakaḥ // Rajni_19.159	kalaviFkaH tu cawakaH kAmukaH nIlakaNWakaH // Rajni_19.159
   caṭakā kalaviṅkī syāt cāṭakairastu tatsutaḥ // Rajni_19.160	cawakA kalaviFkI syAt cAwakEH aH tu tad sutaH // Rajni_19.160
   dhūsaro 'raṇyacaṭakaḥ kujo bhūmiśayaśca saḥ /	DUsaraH araNyacawakaH kujaH BUmiSayaH ca saH /
   bhārīṭaḥ śyāmacaṭakaḥ śaiśiraḥ kaṇabhakṣakaḥ // Rajni_19.161	BArIwaH SyAma cawakaH SESiraH kaNaBakzakaH // Rajni_19.161
   dhūsaro 'nyo 'tisūkṣmaḥ syāt caṭako dhānyabhakṣakaḥ /	DUsaraH anyaH ati sUkzmaH syAt cawakaH DAnya BakzakaH /
   gṛhakṛtyakṣamo bhīruḥ kṛṣidviṣṭaḥ kaṇapriyaḥ // Rajni_19.162	gRha kRtya kzamaH BIruH kRzi dvizwaH kaNapriyaH // Rajni_19.162
   lāvā tu lāvakaḥ prokto lāvaḥ sa ca lavaḥ smṛtaḥ // Rajni_19.163	lAvA tu lAvakaH proktaH lAvaH sa ca lavaH smRtaH // Rajni_19.163
   tittiris tittiraś caiva taittiro yājuṣo giriḥ // Rajni_19.164	tittiriH tittiraH ca eva tEttiraH yAjuzaH giriH // Rajni_19.164
   kṛṣṇo 'nyas tittiriḥ śūraḥ subhūtiḥ paripālakaḥ // Rajni_19.165	kRzNaH anyaH tittiriH SUraH suBUtiH paripAlakaH // Rajni_19.165
   gotradveṣī bhūripakṣaḥ śatāyuḥ siddhikārakaḥ /	gotra dvezI BUri pakzaH SatAyuH sidDikArakaH /
   kṣudrolūkaḥ śākuneyaḥ piṅgalo ḍuṇḍulaśca saḥ /	kzudrolUkaH SAkuneyaH piFgalaH xuNxulaH ca saH /
   vṛkṣāśrayī bṛhadrāvaḥ piṅgalākṣo bhayaṃkaraḥ // Rajni_19.166	vRkza ASrayI bRhadrAvaH piFgala akzaH BayaMkaraH // Rajni_19.166
   śyāmā varāhī śakunī kumārī durgā ca devī caṭakā ca kṛṣṇā /	SyAmA varAhI SakunI kumArI durgA ca devI cawakA ca kRzNA /
   syātpotakī pāṇḍavikā ca vāmā sā kālikā syāt sitabimbinī ca // Rajni_19.167	syAt potakI pANxavikA ca vAmA sA kAlikA syAt sita bimbinI ca // Rajni_19.167
   prabhākīṭastu khadyotaḥ khajyotir upasūryakaḥ // Rajni_19.168	praBAkIwaH tu KadyotaH KajyotiH upasUryakaH // Rajni_19.168
   tailinī tailakīṭaḥ syāt ṣaḍbimbā dadrunāśinī // Rajni_19.169	tElinI tElakIwaH syAt zaxbimbA dadru nASinI // Rajni_19.169
   śakragopastu varṣābhū raktavarṇendragopakau // Rajni_19.170	SakragopaH tu varzABuH rakta varNa indragopakO // Rajni_19.170
   bhramaraḥ ṣaṭpado bhṛṅgaḥ kalālāpaḥ śilīmukhaḥ /	BramaraH zawpadaH BRFgaH kalA AlApaH SilImuKaH /
   puṣpaṃdhayo dvirepho 'lir madhukṛnmadhupo dvibhaḥ // Rajni_19.171	puzpaMDayaH dvirePaH aliH maDukRt maDupaH dvi BaH // Rajni_19.171
   bhasaraś cañcarīko 'liḥ jhaṅkārī madhulolupaḥ /	BasaraH caQcarIkaH aliH JaFkArI maDu lolupaH /
   indīndiraśca madhuliṭ matto ghumughumāravaḥ // Rajni_19.172	indIndiraH ca maDulih mattaH GumuGumAravaH // Rajni_19.172
   varvaṇā makṣikā nīlā saraghā madhumakṣikā // Rajni_19.173	varvaNA makzikA nIlA saraGAH maDumakzikAH // Rajni_19.173
   gandholī varaṭā kṣudrā krūrā syāt kṣudravarvaṇā /	ganDolI varawA kzudrA krUrA syAt kzudra varvaNAH /
   raṃrikaś chatrakārī ca tīkṣṇadaṃṣṭro mahāviṣaḥ /	raMrikaH Catra kArI ca tIkzNa daMzwraH mahA vizaH /
   pītavarṇo dīrghapādo matsaryaḥ krūradaṃṣṭrakaḥ // Rajni_19.174	pIta varNaH dIrGapAdaH matsaryaH krUradaMzwrakaH // Rajni_19.174
   daṃśo duṣṭamukhaḥ krūraḥ kṣudrikā vanamakṣikā // Rajni_19.175	daMSaH duzwamuKaH krUraH kzudrikA vanamakzikA // Rajni_19.175
   makṣikā tv amṛtotpannā vamanī cāpalā ca sā // Rajni_19.176	makzikA tu amRta utpannA vamanI cApalA ca sA // Rajni_19.176
   maśako vajratuṇḍaśca sūcyāsyaḥ sūkṣmamakṣikā /	maSakaH vajratuNxaH ca sUcI AsyaH sUkzma makzikA /
   rātrijāgarado dhūmro nīlābhras tv anyajātayaḥ // Rajni_19.177	rAtri jAgara daH DUmraH nIlABraH tu anya jAtayaH // Rajni_19.177
   aṣṭāṅghrir aṣṭapādaśca gṛhavāsī ca kṛṣṇakaḥ // Rajni_19.178	azwAFGriH azwapAdaH ca gRhavAsI ca kRzNakaH // Rajni_19.178
   kālikaḥ kokilaḥ proktaḥ kāluñcaḥ kṛṣṇadaṃṣṭrakaḥ /	kAlikaH kokilaH proktaH kAluQcaH kRzNadaMzwrakaH /
   kasārikā dīrghamūrchā gṛhavāsā bilāśayī // Rajni_19.179	kasArikA dIrGa mUrCA gRha vAsAH bilASayI // Rajni_19.179
   yūkā tu keśakīṭaḥ syāt svedajaḥ ṣaṭpadaḥ smṛtaḥ // Rajni_19.180	yUkA tu keSa kIwaH syAt sveda jaH zawpadaH smRtaH // Rajni_19.180
   pakṣmajā pakṣmayūkā syātsūkṣmā ṣaṭcaraṇāpi sā // Rajni_19.181	pakzma jA pakzmayUkA syAt sUkzmA zawcaraNA api sA // Rajni_19.181
   śvetayūkāṅgavastrotthā likṣā yūkāṅgavastrake // Rajni_19.182	Sveta yUka aFga vastra utTAH likzA yUka aFga vastrake // Rajni_19.182
   kathiteṣveṣu yo jīvaḥ kṣodīyān vṛścikādikaḥ /	kaTitezu ezu yaH jIvaH kzodIyAn vRScika AdikaH /
   tatra tatra budhairjñeyaḥ sa sarvaḥ kīṭasaṃjñakaḥ // Rajni_19.183	tatra tatra buDEH jQeyaH sa sarvaH kIwa saMjQakaH // Rajni_19.183
   kīṭikā caṭikā proktā vajradaṃṣṭrā bahuprajā /	kIwikA cawikA proktA vajra daMzwrA bahu prajAH /
   kṛśāṅgī tāmasī śūrā kīribhārā mahābalā // Rajni_19.184	kRSa aFgI tAmasI SUrA kIri BArA mahA balAH // Rajni_19.184
   maṅkoro maṅkaṭaḥ kṛṣṇastīkṣṇadaṃṣṭro viśālukaḥ /	maFkoraH maFkawaH kRzNaH tIkzNa daMzwraH viSAlukaH /
   ṣaṭpādakastu mātsaryo mākoṭas tūrdhvaguhyakaḥ // Rajni_19.185	zawpAdakaH tu mAtsaryaH mAkowaH tu UrDva guhyakaH // Rajni_19.185
   ṣaḍbindur bindukīṭastu dīrghakīṭastu pādataḥ // Rajni_19.186	zaxbinduH bindukIwaH tu dIrGakIwaH tu pAdataH // Rajni_19.186
   prasahanavilambitadrutaśayapratudāśca viṣkiraḥ /	prasahana vilambita druta Saya pratudAH ca vizkiraH /
   kīṭā iti kathitāḥ navadhātra tiryañcaḥ // Rajni_19.187	kIwAH iti kaTitAH navaDA atra tiryaQcaH // Rajni_19.187
   itthaṃ nānātiryagākhyāprapañcavyākhyāpūrṇaṃ vargamenaṃ viditvā /	itTam nAnA tiryak AKyA prapaQca vyAKyA pUrNam vargam enam viditvA /
   buddhyā samyak cābhisaṃdhāya dhīmān vaidyaḥ kuryānmāṃsavargaprayogam //	budDyA samyak ca aBisaMDAya DImAn vEdyaH kuryAt mAMsa varga prayogam //
   Rajni_19.188	Rajni_19.188
   yenebhāsyapitā mṛgāṅkamukuṭaḥ śārdūlacarmāmbaraḥ sarpālaṃkaraṇaḥ	yena iBa Asya pitA mRgAFka mukuwaH SArdUla carma ambaraH sarpa alaMkaraNaH
   supuṅgavagatiḥ pañcānano'bhyarcyate /	supuFgava gatiH paQcAnanaH aByarcyate /
   tasya śrīnṛharīśituḥ khalu kṛtāv ekonaviṃśo 'bhidhācūḍāpīṭhamaṇāv agād	tasya SrI nRhari ISituH Kalu kRtO ekonaviMSaH aBiDA cUxA pIWa maNO agAd
   avasitiṃ siṃhādivargo mahān // Rajni_19.189	avasitim siMha Adi vargaH mahAn // Rajni_19.189
   Rājanighaṇṭu, Rogādivarga	RAjani GaNwu, RogAdi varga
   gado rujā vyādhir apāṭavāmarogāmayātaṅkabhayopaghātāḥ /	gadaH rujA vyADiH apAwa vAma roga Amaya AtaFka Baya upaGAtAH /
   ruṅmāndyabhaṅgārtitamovikāraglānikṣayānārjavamṛtyubhṛtyāḥ // Rajni_20.1	ruj mAndya BaFga Arti tamaH vikAra glAni kzaya anArjava mRtyu BRtyAH // Rajni_20.1
   rājayakṣmā kṣayo yakṣmā rogarājo gadāgraṇīḥ /	rAjayakzmA kzayaH yakzmAH rogarAjaH gadAgraNIH /
   uṣmā śoṣo'tirogaśca rogādhīśo nṛpāmayaḥ // Rajni_20.2	uzmA SozaH atirogaH ca roga aDISaH nRpa AmayaH // Rajni_20.2
   pāṇḍurogastu pāṇḍuḥ syāt visarpaḥ sacivāmayaḥ /	pANxu rogaH tu pANxuH syAt visarpaH saciva AmayaH /
   śophaḥ śothastu śvayathuḥ kāsaḥ kṣavathurucyate // Rajni_20.3	SoPaH SoTaH tu SvayaTuH kAsaH kzavaTuH ucyate // Rajni_20.3
   kṣutaṃ tu kṣavathuḥ kṣucca pratiśyāyastu pīnasaḥ /	kzutam tu kzavaTuH kzut ca pratiSyAyaH tu pInasaH /
   netrāmayo netrarogo mukharogo mukhāmayaḥ // Rajni_20.4	netra AmayaH netra rogaH muKa rogaH muKa AmayaH // Rajni_20.4
   duścarmā maṇḍalaṃ koṭhastvagdoṣaścarmadūṣikā /	duScarmA maNxalam koWaH tvagdozaH carmadUzikA /
   kuṣṭhaṃ tu puṇḍarīkaḥ syāt śvitraṃ tu carmacitrakam // Rajni_20.5	kuzWam tu puNxarIkaH syAt Svitram tu carma citrakam // Rajni_20.5
   kilāsasidhme ca śikhī śvāsaḥ pāmā vicarcikā /	kilAsa siDme ca SiKI SvAsaH pAmA vicarcikA /
   kaṇḍūḥ kaṇḍūtikaṇḍūyākharjūkaṇḍūyanāni ca // Rajni_20.6	kaNxUH kaNxUti kaNxUyA KarjU kaNxUyanAni ca // Rajni_20.6
   saṃcārī śuṇḍikāsphoṭe pāmapāme vicarcikā /	saMcArI SuNxikA sPowe pAma pAme vicarcikA /
   pītasphoṭe tu pāmā ca kṣudrasphoṭe tu kañcikā // Rajni_20.7	pItasPowe tu pAmA ca kzudrasPowe tu kaQcikA // Rajni_20.7
   piṭakā piṭikā proktā masūrābhā masūrikā /	piwakA piwikA proktA masUra ABA masUrikA /
   visphoṭaḥ sphoṭakaḥ sphoṭaḥ keśaghnas tv indraluptakaḥ // Rajni_20.8	visPowaH sPowakaH sPowaH keSaGnaH tu indraluptakaH // Rajni_20.8
   galaśuṇḍī tu śuṇḍā syād galagaṇḍo galastanaḥ /	galaSuNxI tu SuNxA syAt galagaNxaH galastanaH /
   dantārbudo dantamūlaṃ dantaśotho dvijavraṇaḥ // Rajni_20.9	dantArbudaH danta mUlam danta SoTaH dvija vraNaH // Rajni_20.9
   gulmastu jāṭharagranthiḥ pṛṣṭhagranthau gaḍurbhavet /	gulmaH tu jAWara granTiH pRzWa granTO gaxuH Bavet /
   paktiśūlaṃ tu śūlaṃ syāt pākajaṃ pariṇāmajam // Rajni_20.10	pakti SUlam tu SUlam syAt pAka jam pariNAma jam // Rajni_20.10
   lūtā carmavraṇo vṛkkaṃ nāḍī nāḍīvraṇo bhavet /	lUtA carmavraNaH vRkkam nAxI nAxI vraNaH Bavet /
   ślīpadaṃ pādavalmīkaṃ pādasphoṭo vipādikā // Rajni_20.11	SlIpadam pAda valmIkam pAdasPowaH vipAdikA // Rajni_20.11
   viṣṭambhastu vibandhaḥ syādānāho malarodhanam /	vizwamBaH tu vibanDaH syAt AnAhaH mala roDanam /
   arśāṃsi gudakīlāḥ syur durnāmāni gudāṅkurāḥ // Rajni_20.12	arSAMsi gudakIlAH syuH durnAmAni gudAFkurAH // Rajni_20.12
   malavegastvatīsāro grahaṇīruk pravāhikā /	mala vegaH tu atIsAraH grahaNI ruj pravAhikA /
   vamathurvāntirudgāraśchardirvicchardikā vamiḥ // Rajni_20.13	vamaTuH vAntiH udgAraH CardiH vicCardikA vamiH // Rajni_20.13
   hṛdrogo hṛdgado hṛdrug utprāṇaḥ śvāsa ucyate /	hRd rogaH hRd gadaH hRdruj utprANaH SvAsaH ucyate /
   jvarastu sa jvarātaṅko rogaśreṣṭho mahāgadaḥ // Rajni_20.14	jvaraH tu sa jvara AtaFkaH roga SrezWaH mahA gadaH // Rajni_20.14
   dvaṃdvajā dvaṃdvadoṣotthāḥ śītādyā viṣamajvarāḥ /	dvaMdva jAH dvaMdva doza utTAH SIta AdyAH vizamajvarAH /
   atītyāgantavaste dvyaikāhikatryāhikādayaḥ // Rajni_20.15	ati itya AgantavaH te dvi EkAhika tryAhika AdayaH // Rajni_20.15
   raktapittaṃ pittaraktaṃ pittāsraṃ pittaśoṇitam /	raktapittam pittaraktam pittAsram pitta SoNitam /
   ityevaṃ raktavātādidvaṃdvadoṣam udāharet // Rajni_20.16	iti evam rakta vAta Adi dvaMdva dozam udAharet // Rajni_20.16
   tṛṣṇodanyā pipāsā tṛṇmadātaṅko madātyayaḥ /	tRzNA udanyA pipAsA tRz mada AtaFkaH madAtyayaH /
   pānātyayo madavyādhir madas tūdriktacittatā // Rajni_20.17	pAnAtyayaH mada vyADiH madaH tu udrikta citta tA // Rajni_20.17
   mūrchā tu moho mūḍhiś ca svarasādaḥ svarakṣayaḥ /	mUrCA tu mohaH mUXiH ca svara sAdaH svara kzayaH /
   aśraddhānabhilāṣaḥ syādaruciścāpyarocakaḥ // Rajni_20.18	aSradDA anaBilAzaH syAt aruciH ca api arocakaH // Rajni_20.18
   mūtradoṣastu vijñeyaḥ prameho meha ityapi /	mUtra dozaH tu vijQeyaH pramehaH mehaH iti api /
   kṛcchraṃ tu mūtrakṛcchraṃ syāt mūtrarodho 'śmarī ca sā // Rajni_20.19	kRcCram tu mUtrakRcCram syAt mUtra roDaH aSmarI ca sA // Rajni_20.19
   vātavyādhiścalātaṅko vātarogo'nilāmayaḥ /	vAta vyADiH cala AtaFkaH vAta rogaH anila AmayaH /
   kampastu vepanaṃ vepaḥ kampanaṃ vepathustathā // Rajni_20.20	kampaH tu vepanam vepaH kampanam vepaTuH taTA // Rajni_20.20
   jṛmbhā tu jṛmbhikā jambhā jṛmbhaṇaṃ jambhikā ca sā /	jRmBA tu jRmBikA jamBA jRmBaNam jamBikA ca sA /
   ālasyaṃ mandatā māndyaṃ kāryapradveṣa ityapi // Rajni_20.21	Alasyam manda tA mAndyam kArya pradvezaH iti api // Rajni_20.21
   tundaḥ sthaviṣṭha ityukto jaṭharaghno jalodaraḥ /	tundaH sTavizWaH iti uktaH jaWara GnaH jalodaraH /
   āmo malasya vaiṣamyādraktārtiḥ śoṇitāmayaḥ // Rajni_20.22	AmaH malasya vEzamyAt rakta ArtiH SoNita AmayaH // Rajni_20.22
   jālagardabhakaḥ prokto jālarāsabhakāmayaḥ /	jAlagardaBakaH proktaH jAla rAsaBakAmayaH /
   jālakharagado jñeyaḥ sa gardabhagadastathā // Rajni_20.23	jAlaKara gadaH jQeyaH sa gardaBa gadaH taTA // Rajni_20.23
   vidradhiḥ syādvidaraṇaṃ hṛdgranthir hṛdvraṇaś ca saḥ /	vidraDiH syAt vidaraNam hRd granTiH hRdvraNaH ca saH /
   vraṇo bhagapradeśe yaḥ sa bhagaṃdaranāmakaḥ // Rajni_20.24	vraNaH Baga pradeSe yaH sa BagaMdara nAmakaH // Rajni_20.24
   śiraḥśūlādayo jñeyās tattadaṅgābhidhānakāḥ /	SiraH SUla AdayaH jQeyAH tad tad aFga aBiDAnakAH /
   ittham anye'pi boddhavyā bhiṣagbhir dehato gadāḥ // Rajni_20.25	itTam anye api bodDavyAH BizagBiH dehataH gadAH // Rajni_20.25
   saṃtāpaḥ saṃjvarastāpaḥ śoṣa uṣmā ca kathyate /	saMtApaH saMjvaraH tApaH SozaH uzmA ca kaTyate /
   yaścāpi koṣṭhasaṃtāpaḥ so 'ntardāha iti smṛtaḥ // Rajni_20.26	yaH ca api kozWa saMtApaH saH antar dAhaH iti smRtaH // Rajni_20.26
   sa dāho mukhatālvoṣṭhe davathuścakṣurādiṣu /	sa dAhaH muKa tAlu ozWe davaTuH cakzuH Adizu /
   pāṇipādāṃsamūleṣu śākhāpittaṃ taducyate // Rajni_20.27	pANi pAda aMsa mUlezu SAKA pittam tat ucyate // Rajni_20.27
   tandrā tu viṣayājñānaṃ pramīlā tandrikā ca sā /	tandrA tu vizaya ajQAnam pramIlA tandrikA ca sA /
   pralayastvindriyasvāpaś ceṣṭānāśaḥ pralīnatā // Rajni_20.28	pralayaH tu indriya svApaH ca izwA nASaH pralInatA // Rajni_20.28
   unmādo mativibhrāntir unmanāyitam ityapi /	unmAdaH mati viBrAntiH unmanAyitam iti api /
   āveśo bhūtasaṃcāro bhūtakrāntirgrahāgamaḥ // Rajni_20.29	AveSaH BUta saMcAraH BUta krAntiH graha AgamaH // Rajni_20.29
   apasmāro 'ṅgavikṛtir lolāṅgo bhūtavikriyā /	apasmAraH aFga vikRtiH lola aFgaH BUta vikriyA /
   staimityaṃ jaḍatā jāḍyaṃ śītalatvamapāṭavam // Rajni_20.30	stEmityam jaxa tA jAxyam SItala tvam apAwavam // Rajni_20.30
   vātiko vātajo vyādhiḥ paittikaḥ pittasambhavaḥ /	vAtikaH vAta jaH vyADiH pEttikaH pitta samBavaH /
   ślaiṣmikaḥ śleṣmasambhūtaḥ samūhaḥ sāṃnipātikaḥ // Rajni_20.31	SlEzmikaH Slezma samBUtaH samUhaH sAMnipAtikaH // Rajni_20.31
   vyādhito vikṛto glāsnurglāno mandastathāturaḥ /	vyADitaH vikRtaH glAsnuH glAnaH mandaH taTA AturaH /
   abhyānto'bhyamito rugnaś cāmayāvyapaṭuś ca saḥ // Rajni_20.32	aByAntaH aByamitaH rugnaH ca Amaya avyapawuH ca saH // Rajni_20.32
   tadviśeṣāstu vijñeyās tanmatvarthīyayogataḥ /	tad viSezAH tu vijQeyAH tad matu arTIya yogataH /
   yathā jvaritakaṇḍūlavātakakṣayadadruṇāḥ // Rajni_20.33	yaTA jvarita kaNxUla vAtaka kzaya dadruNAH // Rajni_20.33
   utsāhī dvijadevabheṣajabhiṣagbhakto'pi pathye rato dhīro dharmaparāyaṇaḥ	utsAhI dvija deva Bezaja Bizaj BaktaH api paTye rataH DIraH Darma parAyaNaH
   priyavacā mānī mṛdurmānadaḥ /	priyavacA mAnI mRduH mAnadaH /
   viśvāsī ṛjur āstikaḥ sucarito dātā dayāluḥ śucir yaḥ syāt kāmam avañcakaḥ	viSvAsI RjuH AstikaH su caritaH dAtA dayAluH SuciH yaH syAt kAmam avaQcakaH
   sa vikṛto mucyeta mṛtyorapi // Rajni_20.34	sa vikRtaH mucyeta mRtyoH api // Rajni_20.34
   upacārastūpacaryā cikitsā rukpratikriyā /	upacAraH tu upacaryA cikitsA ruj pratikriyA /
   nigraho vedanāniṣṭhā kriyā copakramaḥ samāḥ // Rajni_20.35	nigrahaH vedanA nizWA kriyA ca upakramaH samAH // Rajni_20.35
   bhaiṣajyaṃ bheṣajaṃ jaitramagado jāyurauṣadham /	BEzajyam Bezajam jEtram agadaH jAyuH OzaDam /
   āyuryogo gadārātir amṛtaṃ ca taducyate // Rajni_20.36	AyuH yogaH gadArAtiH amRtam ca tat ucyate // Rajni_20.36
