   mahāyānasūtrālaṃkāraḥ	mahAyAna sUtra alaMkAraH
   deśāntarasaṃkrāntilakṣaṇā gatirnāma kācit kriyā yujyate | sā hyutpannā vā	deSa antara saMkrAnti lakzaNA gatiH nAma kAcid kriyA yujyate | sA hi utpannA vA
   saṃskāraṃ deśāntaraṃ gamayedanutpannā vā | yadyutpannā tena gatikāle na	saMskAram deSa antaram gamayet anutpannA vA | yadi utpannA tena gati kAle na
   kaṃcidgata iti sthitasyaiva gamanaṃ nopapadyate | athānutpannā tenāsatyāṃ	kaMcid gataH iti sTitasya eva gamanam na upapadyate | aTa anutpannA tena asatyAm
   gatau gata iti na yujyate | sā ca kriyā yadi taddeśastha eva saṃskāre	gatO gataH iti na yujyate | sA ca kriyA yadi tad deSa sTaH eva saMskAre
   kāritraṃ karoti na yujyate | sthitasyānyadeśāprāpteḥ | athānyadeśasthe na	kAritram karoti na yujyate | sTitasya anya deSa aprApteH | aTa anya deSa sTe na
   yujyate | vinā kriyayānyadeśāprāpteḥ | na ca kriyā tatra vā anyatra vā	yujyate | vinA kriyayA anya deSa aprApteH | na ca kriyA tatra vA anyatra vA
   deśe sthitā saṃskārādanyopalabhyate | tasmānnāsti saṃskārāṇāṃ	deSe sTitA saMskArAt anya upalaByate | tasmAt na asti saMskArANAm
   deśāntarasaṃtatyutpādādanyā gatiḥ | tadabhāvācca siddhaṃ kṣaṇikatvaṃ |	deSa antara saMtati utpAdAt anyA gatiH | tad aBAvAt ca sidDam kzaNika tvam |
   deśāntaranirantarotpattilakṣaṇā gatirvibhavadbhiḥ kāraṇairveditavyā | asti	deSa antara nirantara utpatti lakzaNA gatiH viBavadBiH kAraNEH veditavyA | asti
   cittavaśena yathā caṅkramaṇādyavasthāsu | asti pūrvakarmāvedhena	citta vaSena yaTA caFkramaNa Adi avasTAsu | asti pUrva karma AveDena
   yathāntarābhavaḥ | astyabhidhāta[astyākṣipta]vaśena yathā kṣiptasyeṣoḥ |	yaTA antara aBavaH | asti aBiDAta [asti Akzipta] vaSena yaTA kziptasya izoH |
   asti saṃbandhavaśena yathā yānanadīplavārūḍhānāṃ | asti nodanavaśena yathā	asti saMbanDa vaSena yaTA yAna nadI plava ArUXAnAm | asti nodana vaSena yaTA
   vāyupreritānāṃ tṛṇādīnām | asti svabhāvavaśena yathā	vAyu preritAnAm tRNa AdInAm | asti svaBAva vaSena yaTA
   vāyostiryaggamanamagnerūrdhvaṃ jvalanamapāṃ nimne syandanaṃ |	vAyoH tiryak gamanam agneH UrDvam jvalanam apAm nimne syandanam |
   astyanubhāvena yathā mantrauṣadhānubhāvena |	asti anuBAvena yaTA mantra OzaDa anuBAvena |
   keṣāṃcidayaskāntānubhāvenāyasāṃ | ṛddhyanubhāvena ṛddhimatāṃ |	kezAMcid ayaskAnta anuBAvena AyasAm | RdDi anuBAvena RdDimatAm |
   sabījābījabhāvenotpattau kṣaṇikatvaṃ veditavyaṃ	sa bIjA bIja BAvena utpattO kzaNika tvam veditavyam
   sthitāyogāccaramāsaṃbhavācca | na hi pratikṣaṇaṃ hetubhāvamantareṇa	sTita ayogAt carama asaMBavAt ca | na hi pratikzaNam hetu BAvam antareNa
   tathāsthitasyānyasminkāle punarbījabhāvo yujyate | nirbījatvaṃ vā carame	taTA sTitasya anyasmin kAle punar bIja BAvaH yujyate | nirbIja tvam vA carame
   kṣaṇe | na ca śakyaṃ (MSA_Bagchi 147) pūrvaṃ sabījatvaṃ carame kṣaṇe	kzaNe | na ca Sakyam (MSA_BagCi 147) pUrvam sa bIja tvam carame kzaNe
   nirbījatvamabhyupagantuṃ | tadabhāve caramatvāsaṃbhavāt | tathā hi	nirbIja tvam aByupagantum | tad aBAve carama tva asaMBavAt | taTA hi
   caramatvameva na saṃbhavati | pratibimbotpattau kṣaṇikatvaṃ cittānuvṛttito	carama tvam eva na saMBavati | pratibimba utpattO kzaNika tvam citta anuvRtti taH 
   veditavyaṃ | pratikṣaṇaṃ cittavaśena tadutpādāt | ekāntāt[evaṃ	veditavyam | pratikzaNam citta vaSena tad utpAdAt | ekAnta at[evam
   tāvat]sādhitamādhyātmikaṃ sarvasaṃskṛtaṃ kṣaṇikamiti |	tAvat] sADitam ADyAtmikam sarva saMskRtam kzaNikam iti |
   bāhyasyedānīṃ kṣaṇikatvaṃ tribhiḥ ślokaiḥ sādhayati |	bAhyasya idAnIm kzaNika tvam triBiH SlokEH sADayati |
   bhūtānāṃ ṣaḍivadhārthasya kṣaṇikatvaṃ vidhīyate |	BUtAnAm zaxivaDA arTasya kzaNika tvam viDIyate |
   śoṣavṛddheḥ prakṛtyā ca calatvād vṛddhihānitaḥ || Msa_18.89 ||	Soza vRdDeH prakRtyA ca cala tvAt vRdDi hAnitaH || Msa_18.89 ||
   tatsaṃbhavātpṛthivyāśca pariṇāmacatuṣṭayāt |	tad saMBavAt pRTivyAH ca pariNAma catuzwayAt |
   varṇagandharasasparśatulyatvācca tathaiva tat || Msa_18.90 ||	varNa ganDa rasa sparSa tulya tvAt ca taTA eva tat || Msa_18.90 ||
   indhanādhīnavṛttitvāttāratamyopalabdhitaḥ |	inDana aDIna vRtti tvAt tAratamya upalabDitaH |
   cittānuvṛtteḥ pṛcchātaḥ kṣaṇikaṃ bāhyamapyataḥ || Msa_18.91 ||	citta anuvRtteH pRcCAtaH kzaNikam bAhyam api atas || Msa_18.91 ||
   kiṃ punastadbāhyaṃ | catvāri mahābhūtāni | ṣaḍivadhaścārthaḥ |	kim punar tat bAhyam | catvAri mahABUtAni | zaxivaDas ca arTaH |
   varṇagandharasasparśaśabdā dharmāyatanikaṃ ca rūpam | ato bhūtānāṃ	varNa ganDa rasa sparSa SabdAH Darma Ayatanikam ca rUpam | atas BUtAnAm
   ṣaḍivadhārthasya ca kṣaṇikatvaṃ vidhīyate | kathaṃ vidhīyate | apāṃ	zaxivaDA arTasya ca kzaNika tvam viDIyate | kaTam viDIyate | apAm
   tāvacchoṣavṛddheḥ | utsasarastaṭāgādiṣvapāṃ krameṇa vṛddhiḥ	tAvat Soza vRdDeH | utsasaraH tawAga Adizu apAm krameNa vRdDiH
   śoṣaścopalabhyate | taccobhayamantareṇa pratikṣaṇaṃ pariṇāmaṃ na	SozaH ca upalaByate | tat ca uBayam antareNa pratikzaNam pariNAmam na
   syātpaścādviśeṣakāraṇābhāvāt | vāyoḥ prakṛtyā calatvād vṛddhihānitaśca |	syAt paScAt viSeza kAraNa aBAvAt | vAyoH prakRtyA cala tvAt vRdDi hAnitaH ca |
   na hyavasthitasya calatvaṃ syāttatsvābhāvāditi[gatyabhāvāditi]	na hi avasTitasya cala tvam syAt tat svABAvAt iti[gati aBAvAt iti]
   prasādhitametat | na ca vṛddhihāsau tathaivāvasthitatvāt |	prasADitam etat | na ca vRdDi hAsO taTA eva avasTita tvAt |
   pṛthivyāstatsaṃbhavāt pariṇāmacatuṣṭayācca | tacchabdenāpaśca gṛhyante	pRTivyAH tad saMBavAt pariNAma catuzwayAt ca | tad Sabdena apaH ca gRhyante
   vāyuśca | adbhyo hi vāyusahitābhyaḥ pṛthivī saṃbhūtā vivartakāle |	vAyuH ca | adByaH hi vAyu sahitAByaH pRTivI saMBUtAH vivarta kAle |
   tasmāttatphalatvāt sāpi kṣaṇikā veditavyā | caturvidhaśca pariṇāmaḥ	tasmAt tad Pala tvAt sA api kzaNikAH veditavyA | caturviDaH ca pariNAmaH
   pṛthivyā upalabhyate | karmakṛtaḥ sattvānāṃ karmaviśeṣāt | upakramakṛtaḥ	pRTivyAH upalaByate | karma kRtaH sattvAnAm karma viSezAt | upakrama kRtaH
   prahādibhiḥ | bhūtakṛto 'gnyādibhiḥ | kālakṛtaḥ	prahAdiBiH | BUta kRtaH agni AdiBiH | kAla kRtaH
   kālāntarapariṇāmataḥ[vāsataḥ] | sa cāntareṇa pratikṣaṇamanyotpattiṃ na	kAla antara pariNAmataH[ vAsataH] | sa ca antareNa pratikzaNam anya utpattim na
   yujyate vināśakāraṇābhāvāt | varṇagandharasasparśānāṃ	yujyate vinASa kAraNa aBAvAt | varNa ganDa rasa sparSAnAm
   pṛthivyādibhistulyakāraṇatvāt tathaiva kṣaṇikatvaṃ veditavyaṃ | tejasaḥ	pRTivI AdiBiH tulya kAraNa tvAt taTA eva kzaNika tvam veditavyam | tejasaH
   punaḥ kṣaṇikatvamindhanādhīnavṛttitvāt |	punar kzaNika tvam inDana aDIna vRtti tvAt |
   na hi tejasyutpanne tejaḥ sahotpannamindhanaṃ tathaivāvatiṣṭhate | na ca	na hi tejasi utpanne tejaH saha utpannam inDanam taTA eva avatizWate | na ca
   dagdhendhanaṃ tejaḥ sthātuṃ samarthaṃ | mā bhūdante	dagDa inDanam tejaH sTAtum samarTam | mA BUt ante
   'pyanindhanasyāvasthānamiti | ślokabandhānurodhādvarṇādīnāṃ	api aninDanasya avasTAnam iti | Sloka banDa anuroDAt varNa AdInAm
   pūrvamabhidhānaṃ paścāttejasaḥ | śabdaḥ punaryo 'pi kālāntaramupalabhyate	pUrvam aBiDAnam paScAt tejasaH | SabdaH punar yaH api kAla antaram upalaByate
   ghaṇṭādīnāṃ tasyāpi kṣaṇikatvaṃ veditavyaṃ tāratamyopalabdheḥ | na hyasati	GaNwA AdInAm tasya api kzaNika tvam veditavyam tAratamya upalabDeH | na hi asati
   kṣaṇikatve pratikṣaṇamandataratamopalabdhiḥ syāt | dharmāyatanikasyāpi	kzaNika tve pratikzaNa mandataratama upalabDiH syAt | Darma Ayatanikasya api
   rūpasya kṣaṇikatvaṃ prasiddhameva cittānuvṛtteryathā pūrvamuktaṃ |	rUpasya kzaNika tvam prasidDam eva citta anuvRtteH yaTA pUrvam uktam |
   tasmādvāhyamapi kṣaṇikaṃ prasiddhaṃ | pṛcchrayate khalvapi	tasmAt vAhyam api kzaNikam prasidDam | pRcCrayate Kalu api
   sarvasaṃskārāṇāṃ kṣaṇikatvaṃ sidhyati (MSA_Bagchi 148) kathaṃ kṛtvā | idaṃ	sarva saMskArANAm kzaNika tvam siDyati (MSA_BagCi 148) kaTam kRtvA | idam
   tāvadayamakṣaṇikavādī praṣṭavyaḥ | kasmādbhavānanityatvamicchati na [?]	tAvat ayam akzaNika vAdI prazwavyaH | kasmAt BavAn anitya tvam icCati na [?]
   saṃskārāṇāṃ kṣaṇikatvaṃ necchatīti | yadyevaṃ vadet	saMskArANAm kzaNika tvam na icCati iti | yadi evam vadet 
   pratikṣaṇamanya[nitya]tvasyāgrahaṇāditi sa idaṃ syādvacanīyaḥ |	pratikzaNam anya[ nitya]tvasya agrahaNAt iti saH idam syAt vacanIyaH |
   prasiddhakṣaṇikabhāveṣvapi pradīpādiṣu niścalāvasthāyāṃ	prasidDa kzaNika BAvezu api pradIpa Adizu niScala avasTAyAm
   tadagrahaṇādakṣaṇikatvaṃ kasmānneṣyate | yadyevaṃ vadet	tad agrahaNAdakzaNika tvam kasmAt na izyate | yadi evam vadet 
   pūrvavatpaścādagrahaṇāditi | sa idaṃ syādvacanīyaḥ | saṃskārāṇāmapi	pUrvavat paScAt agrahaNAt iti | saH idam syAt vacanIyaH | saMskArANAm api
   kasmādevaṃ neṣyate | yadyevaṃ vadet vilakṣaṇatvāt	kasmAt evam na izyate | yadi evam vadet vilakzaNa tvAt 
   pradīpāditadanyasaṃskārāṇāmiti | sa idaṃ syādvacanīyaḥ | dvividhaṃ hi	pradIpa Adi tad anya saMskArANAm iti | saH idam syAt vacanIyaH | dviviDam hi
   vailakṣaṇyaṃ svabhāvavailakṣaṇyaṃ vṛttivailakṣaṇyaṃ ca | tadyadi tāvat	vElakzaNyam svaBAva vElakzaNyam vRtti vElakzaNyam ca | tat yadi tAvat 
   svabhāvavailakṣaṇyamabhipretamata eva dṛṣṭāntatvaṃ yujyate | na hi	svaBAva vElakzaNyam aBipretam atas eva dRzwAnta tvam yujyate | na hi
   tatsvabhāva eva tasya dṛṣṭānto bhavati yathā pradīpaḥ pradīpasya gaurvā	tad svaBAvaH eva tasya dRzwAntaH Bavati yaTA pradIpaH pradIpasya gOH vA
   goriti | atha vṛttivailakṣaṇyamata eva dṛṣṭāntatvaṃ pradīpādīnāṃ	goH iti | aTa vRtti vElakzaNyam atas eva dRzwAnta tvam pradIpa AdInAm
   prasiddhatvāt | kṣaṇikatvānuvṛtteḥ punaḥ sa idaṃ praṣṭavyaḥ |	prasidDa tvAt | kzaNika tva anuvRtteH punar saH idam prazwavyaH |
   kaccidicchasi yāne tiṣṭhati yānārūḍho gacchediti | yadi no hīti vadet | sa	kaccit icCasi yAne tizWati yAna ArUXaH gacCet iti | yadi no hi iti vadet | sa
   idaṃ syādvacanīyaḥ | cakṣurādiṣu tiṣṭhatsu tadāśritaṃ vijñānaṃ prabandhena	idam syAt vacanIyaH | cakzuH Adizu tizWatsu tad ASritam vijQAnam prabanDena
   gacchatīti na yujyate | yadyevaṃ vadet nanu ca dṛṣṭaṃ vartisaṃniśrite	gacCati iti na yujyate | yadi evam vadet nanu ca dRzwam varti saMniSrite
   pradīpe prabandhena gacchati vartyā avasthānamiti | sa idaṃ syādvacanīyaḥ	pradIpe prabanDena gacCati vartyAH avasTAnam iti | saH idam syAt vacanIyaH
   | na dṛṣṭaṃ tatprabandhena vartyāḥ pratikṣaṇaṃ vikārotpatteriti | yadyevaṃ	| na dRzwam tad prabanDena vartyAH pratikzaNam vikAra utpatteH iti | yadi evam
   vadet sati kṣaṇikattve saṃskārāṇāṃ kasmātpradīpādiva kṣaṇiakatvaṃ na	vadet sati kzaNikattve saMskArANAm kasmAt pradIpAt iva kzaNiaka tvam na
   siddhamiti | sa idaṃ syādvacanīyaḥ viparyāsavastutvāt |	sidDam iti | saH idam syAt vacanIyaH viparyAsa vastu tvAt |
   sadṛśasaṃtatiprabandhavṛttyā hi kṣaṇikatvameṣāṃ na prajñāyate | yataḥ	sadRSa saMtati prabanDa vRttyA hi kzaNika tvam ezAm na prajQAyate | yatas 
   satyapyaparāparatve tadevedamiti viparyāso jāyate | itarathā hi	sati api apara aparatve tat eva idam iti viparyAsaH jAyate | itaraTAH hi
   anityanityaviparyāso na syāttadabhāve saṃkleśo na syāt kutaḥ	anitya nitya viparyAsaH na syAt tad aBAve saMkleSaH na syAt kutas 
   punarvyavadānamityevaṃ paryanuyogato 'pi kṣaṇikatvaṃ sarvasaṃskārāṇāṃ	punar vyavadAnam iti evam paryanuyogataH api kzaNika tvam sarva saMskArANAm
   prasiddhaṃ |	prasidDam |
   pudgalanairātmyaprasādhanārthaṃ nairātmyavibhāge dvādaśa ślokāḥ |	pudgala nErAtmya prasADana arTam nErAtmya viBAge dvAdaSa SlokAH |
   prajñaptyastitayā vācyaḥ pudgalo dravyato na tu |	prajQapti astitayA vAcyaH pudgalaH dravyataH na tu |
   nopalambhādviparyāsāt saṃkleśāt kliṣṭahetutaḥ || Msa_18.92 ||	na upalamBAt viparyAsAt saMkleSAt klizwa hetutaH || Msa_18.92 ||
   ekatvānyatvatovācyastasmāddoṣadvayādasau |	ekatva anyatvatA uvAcyaH tasmAt doza dvayAt asO |
   skandhātmatvaprasaṅgācca taddravyatvaprasaṅgataḥ || Msa_18.93 ||	skanDa Atma tva prasaFgAt ca tad dravya tva prasaFgataH || Msa_18.93 ||
   dravyasan yadyavācyaśca vacanīyaṃ prayojanaṃ |	dravya san yadi avAcyaH ca vacanIyam prayojanam |
   ekatvānyatvato 'vācyo na yukto niṣprayojanaḥ || Msa_18.94 ||	ekatva anyatvataH avAcyaH na yuktaH nizprayojanaH || Msa_18.94 ||
   lakṣaṇāllokadṛṣṭācca śāstrato 'pi na yujyate |	lakzaNAt loka dRzwAt ca SAstrataH api na yujyate |
   indhanāgnyoravācyatvamupalabdherdvayena hi || Msa_18.95 ||	inDana agnyoH avAcya tvam upalabDeH dvayena hi || Msa_18.95 ||
   dvaye sati ca vijñānasaṃbhavātpratyayo na saḥ |	dvaye sati ca vijQAna saMBavAt pratyayaH na saH |
   nairarthakyādato draṣṭā yāvanmoktā na yujyate || Msa_18.96 ||	nErarTakyAdataH drazwA yAvat moktA na yujyate || Msa_18.96 ||
   (MSA_Bagchi 149)	(MSA_BagCi 149)
   svāmitve sati cānityamaniṣṭaṃ na pravartayet |	svAmi tve sati ca anityam anizwam na pravartayet |
   tatkarmalakṣaṇaṃ sādhyaṃ saṃbodho bādhyate tridhā || Msa_18.97 ||	tad karma lakzaNam sADyam saMboDaH bADyate triDA || Msa_18.97 ||
   darśanādau ca tadyatnaḥ svayaṃbhūrna trayādapi |	darSana AdO ca tat yatnaH svayaMBUH na trayAt api |
   tadyatnapratyayatvaṃ ca niryatnaṃ darśanādikaṃ || Msa_18.98 ||	tad yatna pratyaya tvam ca niryatnam darSana Adikam || Msa_18.98 ||
   akartṛtvādanityatvātsakṛnnityapravṛttitaḥ |	akartR tvAt anitya tvAt sakRt nitya pravRttitaH |
   darśanādiṣu yatnasya svayaṃbhūtvaṃ na yujyate || Msa_18.99 ||	darSana Adizu yatnasya svayaMBU tvam na yujyate || Msa_18.99 ||
   tathā sthitasya naṣṭasya prāgabhāvādanityataḥ |	taTA sTitasya nazwasya prAc aBAvAt anityatas |
   tṛtīyapakṣābhāvācca pratyayatvaṃ na yujyate || Msa_18.100 ||	tRtIya pakza aBAvAt ca pratyaya tvam na yujyate || Msa_18.100 ||
   sarvadharmā anātmānaḥ paramārthena śūnyatā |	sarva DarmAH anAtmAnaH parama arTena SUnyatA |
   ātmopalambhe doṣaśca deśito yata eva ca || Msa_18.101 ||	Atma upalamBe dozaH ca deSitaH yatas eva ca || Msa_18.101 ||
   saṃkleśavyavadāne ca avasthācchedabhinnake |	saMkleSa vyavadAne ca avasTA AcCeda Binnake |
   vṛttisaṃtānabhedo hi pudgalenopadarśitaḥ || Msa_18.102 ||	vRtti saMtAna BedaH hi pudgalena upadarSitaH || MsaH _18.102 ||
   ātmadṛṣṭiranutpādyā abhyāso 'nādikālikaḥ |	Atma dRzwiH anutpAdyAH aByAsaH anAdi kAlikaH |
   ayatnamokṣaḥ sarveṣāṃ na mokṣaḥ pudgalo 'sti vā || Msa_18.103 ||	ayatna mokzaH sarvezAm na mokzaH pudgalaH asti vA || MsaH _18.103 ||
   pudgala kimastīti vaktavyo nāstīti vaktavyaḥ | āha |	pudgala kim asti iti vaktavyaH na asti iti vaktavyaH | Aha |
   prajñaptyastitayā vācyaḥ pudgalo dravyato na tu |	prajQapti astitayA vAcyaH pudgalaH dravyataH na tu |
   yataśca prajñaptito 'stīti vaktavyo dravyato nāstīti vaktavyaḥ |	yatas ca prajQaptitaH asti iti vaktavyaH dravyataH na asti iti vaktavyaH |
   evamanekāṃśavādaparigrahe naivāstitve doṣāvakāśo na nāstitve | sa	evam aneka aMSa vAda parigrahe na eva astitve doza avakASaH na na astitve | sa
   punardravyato nāstīti kathaṃ veditavyaḥ | nopalambhāt | na hi sa dravyata	punar dravyataH na asti iti kaTam veditavyaH | na upalamBAt | na hi sa dravyata
   upalabhyate rūpādivat | upalabdhirhi nāma buddhyā pratipattiḥ | na ca	upalaByate rUpa Adi vat | upalabDiH hi nAma budDyA pratipattiH | na ca
   pudgalaṃ buddhyā na pratipadyante pudgalavādinaḥ | uktaṃ ca bhagavatā |	pudgalam budDyA na pratipadyante pudgala vAdinaH | uktam ca BagavatA |
   dṛṣṭa eva dharme ātmānamupalabhate prajñāpayatīti kathaṃ nopalabdho	dRzwaH eva Darme AtmAnam upalaBate prajQApayati iti kaTam na upalabDaH 
   bhavati | na sa evamupalabhyamāno dravyata upalabdho bhavati | kiṃ kāraṇaṃ	Bavati | na saH evam upalaByamAnaH dravyataH upalabDaH Bavati | kim kAraNam
   | viparyāsāt tathā hyanātmanyātmeti viparyāsa ukto bhagavatā | tasmādya	| viparyAsAt taTA hi anAtmani AtmA iti viparyAsaH uktaH BagavatA | tasmAt ya
   evaṃ pudgalagrāho viparyāsaḥ saḥ | kathamidaṃ gamyate | saṃkleśāt |	evam pudgala grAhaH viparyAsaH saH | kaTam idam gamyate | saMkleSAt |
   satkāyadṛṣṭikleśalakṣaṇo hyeṣa saṃkleśo yaduta ahaṃ mameti | na ca [cā]	sat kAya dRzwi kleSa lakzaNaH hi eza saMkleSaH yat uta aham mama iti | na ca [cA]
   viparyāsaḥ saṃkleśo bhavitumarhati | na[sa] caiṣa saṃkleśa iti kathaṃ	viparyAsaH saMkleSaH Bavitum arhati | na[sa] ca eza saMkleSaH iti kaTam
   veditavyaṃ | kliṣṭahetutaḥ | tathāhi taddhetukāḥ kliṣṭā rāgādaya	veditavyam | klizwa hetutaH | taTA hi tad hetukAH klizwAH rAga Adaya
   utpadyante | yatra punarvastuni rūpādisaṃjñakeprajñaptiḥ pudgala iti	utpadyante | yatra punarvastuni rUpa Adi saMjQakeprajQaptiH pudgalaH iti
   tasmātkimekatvena pudgalo vaktavya āhosvidanyetvena | āha |	tasmAt kim eka tvena pudgalaH vaktavyaH Ahosvit anyetvena | Aha |
   ekatvānyatvato 'vācyastasmādasau |	ekatva anyatvataH avAcyaH tasmAt asO |
   kiṃ kāraṇaṃ | doṣadvayāt | katamasmāddoṣadvayāt |	kim kAraNam | doza dvayAt | katamasmAt doza dvayAt |
   (MSA_Bagchi 150)	(MSA_BagCi 150)
   skandhātmatvaprasaṅgācca taddravyatvaprasaṅgataḥ |	skanDa Atma tva prasaFgAt ca tad dravya tva prasaFgataH |
   ekatve hi skandhānāmātmatvaṃ prasajyate pudgalasya ca dravyasattvaṃ |	eka tve hi skanDAnAm Atma tvam prasajyate pudgalasya ca dravya sattvam |
   athānyatve pudgalasya dravyasattvaṃ | evaṃ hi pudgalasya prajñaptito	aTa anya tve pudgalasya dravya sattvam | evam hi pudgalasya prajQaptitaH 
   'stitvādavaktavyatvaṃ yuktaṃ | tenāvyākṛtavastusiddhiḥ | ye punaḥ śāstuḥ	astitvAt avaktavya tvam yuktam | tena avyAkRta vastu sidDiH | ye punar SAstuH
   śāsanamatikramya pudgalasya dravyato 'stitvamicchanti ta idaṃ	SAsanam atikramya pudgalasya dravyataH astitvam icCanti te idam
   syurvacanīyāḥ |	syuH vacanIyAH |
   dravyasanyadyavācyaśca vacanīyaṃ prayojanaṃ |	dravya sanyadI avAcyaH ca vacanIyam prayojanam |
   kiṃ kāraṇaṃ |	kim kAraNam |
   ekatvānyatvato 'vācyo na yukto niṣprayojanaḥ |	ekatva anyatvataH avAcyaH na yuktaH nizprayojanaH |
   atha dṛṣṭāntamātrāt pudgalasyāvaktavyatvamiccheyuḥ |	aTa dRzwAnta mAtrAt pudgalasya avaktavya tvam icCeyuH |
   yathāgnirindhanānnānyo nānanyo vaktavya iti | ta idaṃ syurvacanīyāḥ |	yaTA agniH inDanAt na anyaH na ananyaH vaktavyaH iti | te idam syuH vacanIyAH |
   lakṣaṇāllokadṛṣṭācca śāstrato 'pi na yujyate |	lakzaNAt loka dRzwAt ca SAstrataH api na yujyate |
   indhanāgnyoravācyatvamupalabdherdvayena hi |	inDana agnyoH avAcya tvam upalabDeH dvayena hi |
   ekatvenānyatvena ca agnirhi nāma tejodhāturindhanaṃ śeṣāṇi bhūtāni | teṣāṃ	eka tvena anya tvena ca agniH hi nAma tejaH DAtuH inDanam SezANi BUtAni | tezAm
   ca bhinnaṃ lakṣaṇamityanya evāgnirindhanāt | loke ca vināpyagninā	ca Binnam lakzaNam iti anyaH eva agniH inDanAt | loke ca vinA api agninA
   dṛṣṭamindhanaṃ kāṣṭhādi vināpi cendhanenāgniriti siddhamanyatvaṃ | śāstre	dRzwam inDanam kAzWa Adi vinA api ca inDanena agniH iti sidDam anya tvam | SAstre
   ca bhagavatā na kvacidagnīndhanayoravācyatvamuktamityayuktametat | vina	ca BagavatA na kvacid agni in DanayoH avAcya tvam uktam iti ayuktam etat | vina
   punarindhanenāgnirastīti kathamidaṃ vijñāyate | upalabdhestathā hi vāyunā	punar inDanena agniH asti iti kaTam idam vijQAyate | upalabDeH taTA hi vAyunA
   vikṣiptaṃ dūramapi jvalatparaiti | athāpi syādvānustatrendhanamiti ata	vikziptam dUram api jvalat parEti | aTa api syAt vA anuH tatra inDanam iti ata
   evāgnīndhanayoranyatvamiti siddhiḥ | kutaḥ | dvayena hi upalabdheriti	eva agni in DanayoH anyatvam iti sidDiH | kutas | dvayena hi upalabDeH iti
   prakṛtaṃ | dvayaṃ hi tatropalabhyate arcirvāyuścendhanatvena | astyeva	prakRtam | dvayam hi tatra upalaByate arciH vAyuH ca inDana tvena | asti eva
   pudgalo ya eṣa draṣṭā yāvadvijñātā kartā bhoktā jñātā moktā ca | na sa	pudgalaH yaH eza drazwA yAvat vijQAtA kartA BoktA jQAtA moktA ca | na sa
   draṣṭā yujyate | nāpi yāvanmoktā | sa hi darśānādisaṃjñakānāṃ vijñānānāṃ	drazwA yujyate | na api yAvat moktA | sa hi darSAnAdi saMjQakAnAm vijQAnAnAm
   pratyayabhāvena vā kartā bhavet svāmitvena vā | tatra tāvat |	pratyaya BAvena vA kartA Bavet svAmi tvena vA | tatra tAvat |
   dvayaṃ pratītya vijñānasaṃbhavātpratyayo na saḥ |	dvayam pratItya vijQAna saMBavAt pratyayaH na saH |
   kiṃ kāraṇaṃ | nairarthakyāt | na hi tasya tatra kiṃcitsāmarthyaṃ dṛṣṭaṃ |	kim kAraNam | nErarTakyAt | na hi tasya tatra kiMcid sAmarTyam dRzwam |
   svāmitve sati vānityamaniṣṭaṃ na pravartayet ||	svAmi tve sati vA anityam anizwam na pravartayet ||
   sa hi vijñānapravṛttau svāmībhavannani[bhavanni]ṣṭaṃ vijñānamanityaṃ na	sa hi vijQAna pravRttO svAmIBavan= ani[Bavat ni]zwam vijQAnam anityam na
   pravartayet | aniṣṭaṃ ca | naiva tasmādubhayathāpyasaṃbhavāt | asau draṣṭā	pravartayet | anizwam ca | na eva tasmAt uBayaTA api asaMBavAt | asO drazwA
   yāvanmoktā na yujyate | api khalu yadi dravyataḥ pudgalo 'sti |	yAvat moktA na yujyate | api Kalu yadi dravyataH pudgalaH asti |
   tatkarmalakṣaṇaṃ sādhyaṃ	tad karma lakzaNam sADyam
   (MSA_Bagchi 151)	(MSA_BagCi 151)
   yadi dravyato 'stitasya karmāpyupalabhyate | yathā cakṣurādīnāṃ	yadi dravyataH astitasya karma api upalaByate | yaTA cakzuH AdInAm
   darśanādilakṣaṇaṃ ca rūpaprasādādi | na caivaṃ pudgalasya | tasmānna so	darSana Adi lakzaNam ca rUpa prasAda Adi | na ca evam pudgalasya | tasmAt na saH 
   'sti dravyataḥ | tasmiṃśca dravyata iṣyamāṇe buddhasya bhagavataḥ |	asti dravyataH | tasmin= ca dravyate izyamANe budDasya BagavataH |
   saṃbodho bādhyate tridhā |	saMboDaH bADyate triDA |
   gambhīrābhisaṃbodhaḥ | asādhāraṇābhisaṃbodhaḥ | lokottarābhisaṃbodhaśca |	gamBIra aBisaMboDaH | asADAraNa aBisaMboDaH | loka uttara aBisaMboDaH ca |
   na hi pudgalābhisaṃbodhe kiṃcidgambhīramabhisaṃbuddhaṃ bhavati | na	na hi pudgala aBisaMboDe kiMcid gamBIram aBisaMbudDam Bavati | na
   tīrthyāsādhāraṇaṃ | na lokānucittaṃ | tathā hyeṣa grāhaḥ sarvalokagamyaḥ |	tIrTya asADAraNam | na loka anucittam | taTA hi eza grAhaH sarva loka gamyaH |
   tīrthyābhiniviṣṭaḥ | dirghasaṃsārocittaśca | api khalu pudgalo draṣṭā	tIrTya aBinivizwaH | dirGa saMsAra ucittaH ca | api Kalu pudgalaH drazwA
   bhavan yāvadvijñātā darśanādiṣu saprayatno vā bhavenniṣprayatno vā |	Bavan yAvat vijQAtA darSana Adizu sa prayatnaH vA Bavet nizprayatnaH vA |
