   Mahāsāhasrapramardanī	MahAsAhasra-pramardanI
   bhiṣajjñāneṣu śikṣito naikarājasyārthāya naikasatvasyārthāya loka	Bizat-jQAnezu SikzitaH na-eka-rAjasya-arTAya na-eka-satvasya-arTAya loka
   utpadyante / evam eva buddhā bhagavanto loka utpadyante / tat kasya hetoḥ	utpadyante / evam eva budDAH BagavantaH loke utpadyante / tat kasya hetoH
   / yasyāṃ diśi buddhā bhagavanto viharanti / na tatra manuṣyāmanuṣyān	/ yasyAm diSi budDAH BagavantaH viharanti / na tatra manuzya-amanuzyAn
   viheṭhayitavyān manyate / pañcāhaṃ yena vaiśālī mahānagarī	viheWayitavyAn manyate / paQca-aham yena vESAlI mahA-nagarI
   tenopasaṃkrāmeyam / evaṃ mayā vaiśālyāṃ mahānagaryāṃ mahājanakāyasyārthāya	tena-upasaMkrAmeyam / evam mayA vESAlyAm mahA-nagaryAm mahA-jana-kAyasya-arTAya
   kṛto bhaviṣyati buddhakāryaṃ ca //	kRtaH Bavizyati budDa-kAryam ca //
   atha khalu bhagavān pūrvāhṇakālasamaye nivāsya pātracīvaram	aTa Kalu BagavAn pUrvAhNa-kAla-samaye nivAsya pAtra-cIvaram
   ādāyārdhatrayodaśabhir bhikṣuśataiḥ sārdhaṃ gṛdhrakūṭāt parvatād avatīrṇaḥ	AdAya-arDa-trayodaSaBiH Bikzu-SatEH sArDam gRDra-kUwAt parvatAt avatIrNaH
   atha brahmā sahāpatiḥ pañcamātrāṇi divyāni chatraśatāny ādāya bhagavato	aTa brahmA sahApatiH paQca-mAtrANi divyAni Catra-SatAni AdAya BagavataH-
   dakṣiṇeṇopanāmitavān / upanāmya bhagavantam (Msp 22) eva vijayamānaḥ	dakziNeNa-upanAmitavAn / upanAmya Bagavantam (Msc 22) eva vijayamAnaH
   sthito 'bhūt //	sTitaH aBUt //
   śakro 'pi devānām indraḥ pañcamātrāṇi chatraśatāny ādāya bhagavato	SakraH api devAnAm indraH paQca-mAtrANi Catra-SatAni AdAya BagavataH-
   vāmenopanāmitavān / upanāmya bhagavantam eva vijayamānaḥ sthitaḥ //	vAmena-upanAmitavAn / upanAmya Bagavantam eva vijayamAnaH sTitaH //
   catvāro 'pi mahārājānaḥ ekaiko 'pi divyāni pañcamātrāṇi chatraśatāny ādāya	catvAraH api mahA-rAjAnaH ekEkaH api divyAni paQca-mAtrANi Catra-SatAni AdAya
   bhagavataḥ pṛṣṭhata upanāmitavanta upanāmya bhagavantam eva vijayamānaḥ	BagavataH pRzWatas upanAmitavantaH upanAmya Bagavantam eva vijayamAnaH
   sthitaḥ //	sTitaH //
   maheśvaro 'pi devaputro 'ṣṭāviṃśatiś ca mahāyakṣasenāpatayo dvātriṃśac ca	maheSvaraH api deva-putraH azwAviMSatiH ca mahA-yakza-senApatayaH dvAtriMSat ca
   mahāyakṣanagnā hārītī ca saputrikā saparivārā śrāvakānāṃ pratyekaṃ divyaṃ	mahAyakza-nagnA hArItI ca sa-putrikA sa-parivArA SrAvakAnAm pratyekam divyam
   chatram upanāmitavatī vijayantī ca sthitā //	Catram upanAmitavatI vijayantI ca sTitAH //
   evaṃrūpayośolābhasatkārāgraprāpto bhagavān sabhikṣusaṃgho gṛdhrakūṭāt	evaMrUpayoSaH-lABa-satkAra-agra-prAptaH BagavAn sa-Bikzu-saMGaH gRDrakUwAt-
   parvatād avatīrya yena vaiśālī mahānagarī tenopasaṃkrāntaḥ / adrakṣuḥ	parvatAt avatIrya yena vESAlI mahA-nagarI tena-upasaMkrAntaH / adrakzuH
   khalu punar vaiśālikā licchavayo bhagavantaṃ dūrata evāgacchantaṃ	Kalu punar vESAlikAH licCavayaH Bagavantam dUratas eva-AgacCantam
   prāsādikaṃ prāsādanīyaṃ śāntendriyaṃ śāntamānasaṃ dāntendriyaṃ	prAsAdikam prAsAdanIyam SAnta-indriyam SAnta-mAnasam dAnta-indriyam
   dāntamānasaṃ paramottamadamaśamathaprāptaṃ jitendriyaṃ nāgam iva sudāntaṃ	dAnta-mAnasam parama-uttama-dama-SamaTa-prAptam jita-indriyam nAgam iva su-dAntam
   hradam ivācchaṃ viprasannam anāvilaṃ dvātriṃśadbhir mahāpuruṣalakṣaṇaiḥ	hradam iva-acCam viprasannam anAvilam dvAtriMSadBiH mahApuruza-lakzaNEH
   samalaṃkṛtagātram aśītibhiś cānuvyañjanaiḥ saṃkusumitaṃ vicitritaṃ gātraṃ	samalaMkRta-gAtram aSItiBiH ca-anuvyaQjanEH saMkusumitam vicitritam gAtram
   tathāgatasya śarīraṃ śālarājeva supuṣpitaḥ sūryo vā divā	taTAgatasya SarIram SAlarAjA-iva su-puzpitaH sUryaH vA divA
   pramuktaraśmijālaḥ / rātrau cāndhakāratamiśrāyāṃ giriśikharagataḥ /	pramukta-raSmi-jAlaH / rAtrO ca-anDakArata-miSrAyAm giri-SiKara-gataH /
   prajvālan mahān agniskandhaḥ / mahān iva cāmīkarācaladharaḥ / evam eva	prajvAlan mahAn agni-skanDaH / mahAn iva cAmIkara-acala-DaraH / evam eva
   bhagavān bhāṣate tapati virocate sahadarśanād eva vaiśālikā licchavayo	BagavAn BAzate tapati virocate saha-darSanAt eva vESAlikAH licCavayaH-
   bhagavato 'ntike cetāṃsi prasādayāmāsuḥ //	BagavataH antike cetAMsi prasAdayAmAsuH //
   te prasannacittā yena mārgeṇa bhagavān vaiśālīṃ mahānagarīṃ praviśati taṃ	te prasanna-cittAH yena mArgeNa BagavAn vESAlIm mahA-nagarIm praviSati tam
   mārgaṃ śodhayanti sma / saṃmārjayanti sma / puṣpāvakīrṇaṃ ca vareṇyaṃ	mArgam SoDayanti sma / saMmArjayanti sma / puzpa-avakIrNam ca vareNyam
   kurvanti sma /	kurvanti sma /
   ucchritavicitrapaṭṭadāmaghaṇṭāchatradhvajapatākānānāgandhāni dhūpitaṃ	ucCrita-vicitra-pawwa-dAma-GaNwA-Catra-Dvaja-patAkA-nAnAganDAni DUpitam
   kṛtvā yena bhagavāṃs tenopasaṃkrāmanti sma / upasaṃkramya bhagavataḥ	kRtvA yena BagavAn tena-upasaMkrAmanti sma / upasaMkramya BagavataH
   pādayoḥ śirāṃsi nipātayanti //	pAdayoH SirAMsi nipAtayanti //
   (Msp 23)	(Msp 23)
   atha bhagavān sahasrāracakraruciracaraṇavilikhitatalena	aTa BagavAn sahasrAra-cakra-rucira-caraNa-viliKita-talena
   padmabimbagarbhasūkumāreṇa pūrvasucaritalakṣaṇopacitena	padma-bimba-garBa-sUkumAreNa pUrva-su-carita-lakzaNa-upacitena
   taruṇadivākarakiraṇātirekaprabheṇa / prasṛtabahuraśmiśatasahasranirmalena	taruNa-divAkara-kiraNa-atireka-praBeNa / prasRta-bahu-raSmi-Sata-sahasra-nirmalena
   kareṇa teṣāṃ licchavīnāṃ śirāṃśi parimārjyotthāpya samanuśāsayati sma //	kareNa tezAm licCavInAm SirAMSi parimArjya-utTApya samanuSAsayati sma //
   mā bhaiṣṭha mā bhaiṣṭha āryā ethāham abhyāgato yuṣmākam evānukaṃpām	mA BEzWa mA BEzWaH AryAH eTa-aham aByAgataH yuzmAkam eva-anukaMpAm
   upādāya anuttaraṃ jñānam abhisaṃbuddho 'smi / sarvasatvānāṃ ca hitāya	upAdAya anuttaram jQAnam aBisaMbudDaH asmi / sarva-satvAnAm ca hitAya
   sukhāya //	suKAya //
   atha bhagavān vaiśālīm mahānagarīṃ praviśya madhyame yāme indrakīlam	aTa BagavAn vESAlIm mahA-nagarIm praviSya maDyame yAme indrakIlam
   avaṣṭabhya caturdiśam avalokya suvarṇavarṇabāhuṃ prasāryottarāsaṅgaṃ	avazwaBya caturdiSam avalokya suvarNa-varNa-bAhum prasArya-uttarAsaFgam
   vicaritvovāca / ye kecit paścime kāle paścime samaye sarṣapaphalamātraṃ	vicaritvA-uvAca / ye kecid paScime kAle paScime samaye sarzapa-Pala-mAtram
   tathāgatasya śarīradhātuṃ pūjayiṣyanti / imāṃ ca mahāsāhasrapramardanīṃ	taTAgatasya SarIra-DAtum pUjayizyanti / imAm ca mahA-sAhasra-pramardanIm
   vidyārājñīṃ sarvagrahaparimocanīyaṃ dharmaparyāyaṃ gaṅgāsikatāprakhyānāṃ	vidyA-rAjQIm sarva-graha-parimocanIyam Darma-paryAyam gaFgA-sikatA-praKyAnAm
   tathāgatānām arhatāṃ samyaksaṃbuddhānāṃ buddhamudrāṃ	taTAgatAnAm arhatAm samyaksaMbudDAnAm budDa-mudrAm
   bhikṣubhikṣuṇyupāsakopāsikā udgṛhīṣyanti dhārayiṣyanti vācayiṣyanti	Bikzu-BikzuNI-upAsa-ka-upAsikAH udgRhIzyanti DArayizyanti vAcayizyanti
   deśayiṣyanti paryavāpsyanti / teṣāṃ sarvatra iti	deSayizyanti paryavApsyanti / tezAm sarvatra iti
   bhayopadravopasargopāyāsāvairakalikalahabandhanavigrahavivādā antaśaḥ	Baya-upadrava-upasarga-upAyAsA-vEra-kalika-laha-banDana-vigraha-vivAdAH antaSas-
   paiśūnyapāpakā akuśalā duḥkhadharmā na kramiṣyanti / ajayāś ca bhaviṣyanti	pESUnya-pApakAH akuSalAH duHKa-DarmAH na kramizyanti / ajayAH ca Bavizyanti
   sarvaviheṭhakebhyaḥ //	sarva-viheWakeByaH //
   evam ukte brahmā sahāpatir bhagavantam etad avocat /	evam ukte brahmA sahApatiH Bagavantam etat avocat /
   katamā ca sā bhadanta bhagavan mahāsāhasrapramardanī nāma vidyārājñī	katamA ca sA Badanta Bagavat mahAsAhasrapramardanI nAma vidyA-rAjQI
   sarvagrahaparimocanīyaṃ dharmaparyāyaṃ gaṅgāsikatāprakhyānāṃ tathāgatānāṃ	sarva-graha-parimocanIyam Darma-paryAyam gaFgA-sikatA-praKyAnAm taTAgatAnAm
   arhatāṃ samyaksaṃbuddhānāṃ buddhamudrā //	arhatAm samyaksaMbudDAnAm budDa-mudrA //
   evam ukte bhagavān brahmāṇaṃ sahāpatim etad avocat /	evam ukte BagavAn brahmANam sahApatim etat avocat /
   tena hi tvaṃ brahman śṛṇu sādhu ca suṣṭhu ca manasi kuru bhāṣiṣya hanta /	tena hi tvam brahman SRNu sADu ca suzWu ca manasi kuru BAzizya hanta /
   eva bhadanteti brahmā sahāpatir bhagavataḥ pratyaśrauṣīd bhagavāṃs	eva Badanta-iti brahmA sahApatiH BagavataH pratyaSrOzIt BagavAn=-
   tasyaitad avocat /	tasya-etat avocat /
   syād yathedaṃ /	syAt yaTA-idam /
   (Msp 24)	(Msp 24)
   acale macale / sāramacale / prakṛtivarṇa / prakṛtinirghoṣe / samantamukhe	acale macale / sAram-acale / prakRti-varNaH / prakRti-nirGoze / samanta-muKe
   / sthire sthāvare / vighuṣṭaśabde / pragalane / pāraṅgame / sāravarṇe /	/ sTire sTAvare / viGuzwa-Sabde / pragalane / pAraFgame / sAra-varNe /
   sāraṅgavate / bale / mahābale / mahānirbhāse svāhā //	sAraFgavate / bale / mahA-bale / mahAnirBAse svAhA //
   tatredam ucyate kāyagatānusmṛtiḥ śamathavipaśyane / trayaḥ samādhayaḥ /	tatra-idam ucyate kAya-gata-anusmRtiH SamaTa-vipaSyane / trayaH samADayaH /
   catvāro ṛddhipādāḥ / catvāri samyakprahāṇāni / catvāri smṛtyupasthānāni /	catvAraH RdDi-pAdAH / catvAri samyak-prahANAni / catvAri smRti-upasTAnAni /
   catvāri dhyānāni / catvāry āryasatyāni / pañcendriyāṇi / pañcabalāni /	catvAri DyAnAni / catvAri Arya-satyAni / paQca-indriyANi / paQca-balAni /
   ṣaḍanusmṛtayaḥ / saptabodhyaṅgāni / āryāṣṭāṅgā mārgāḥ /	zaz-anusmRtayaH / sapta-boDi-aFgAni / Arya-azwa-aFgAH mArgAH /
   navānupūrvavihārasamāpattayaḥ / daśatathāgatabalāni /	nava-anupUrva-vihAra-samApattayaH / daSa-taTAgata-balAni /
   ekādaśavimuktāyatanāni / dvādaśāṅgapratītyasamutpādaḥ /	ekAdaSa-vimukta-AyatanAni / dvAdaSa-aFga-pratItyasamutpAdaH /
   dvādaśakāradharmacakram / ṣoḍaśākāra anāyānānusmṛtiḥ /	dvAdaSa-kAra-Darma-cakram / zoxaSa-AkAra anAyAna-anusmRtiH /
   aṣṭādaśāveṇikābuddhadharmāḥ / dvācatvāriṃśadakṣarāṇi / iyaṃ sā brahman	azwAdaSa-aveNikA-budDa-DarmAH / dvAcatvAriMSat-akzarANi / iyam sA brahman
   mahāsāhasrapramardanī nāma mahāvidyārājñī sarvagrahaparimocanīyaṃ sūtraṃ	mahAsAhasrapramardanI nAma mahAvidyA-rAjQI sarva-graha-parimocanIyam sUtram
   gaṅgāsikatāprakhyānāṃ tathāgatānāṃ arhatāṃ samyaksaṃbuddhānāṃ buddhamudrā	gaFgA-sikatA-praKyAnAm taTAgatAnAm arhatAm samyaksaMbudDAnAm budDamudrA
   / buddhanirhāraḥ / dharmanirhāraḥ / saṃghanirhāraḥ / brahmanirhāraḥ /	/ budDa-nirhAraH / Darma-nirhAraH / saMGa-nirhAraH / brahma-nirhAraH /
   indranirhāraḥ / lokapālanirhāraḥ / īśvaranirhāraḥ / satyanirhāraḥ /	indra-nirhAraH / lokapAla-nirhAraH / ISvara-nirhAraH / satya-nirhAraH /
   mārganirhāraḥ / pratītyasamutpādanirhāraḥ / candranirhāraḥ / sūryanirhāraḥ	mArga-nirhAraH / pratItyasamutpAda-nirhAraH / candra-nirhAraH / sUrya-nirhAraH
   / grahanakṣatranirhāraḥ //	/ graha-nakzatra-nirhAraH //
   syād yathedam /	syAt yaTA-idam /
   śāle kasine / vidharaṇi / varāgrasāre / amarṣaṇi / amoghavate / secane	SAle kasine / viDaraNi / vara-agra-sAre / amarzaNi / amoGavate / secane
   nakāli / kāsivare / bharaṇe / karakasakhe / samantaprāpte / sāraprāpte /	na-kAli / kAsi-vare / BaraNe / karaka-saKe / samanta-prApte / sAra-prApte /
   stambhaprāpte / vajradhare svāhā //	stamBa-prApte / vajraDare svAhA //
   atha bhagavāṃs tasyāṃ velāyām imāṃ gāthām abhāṣata /	aTa BagavAn tasyAm velAyAm imAm gATAm aBAzata /
   imasmin lokeṣv imasmin vā punaḥ svargeṣu vā ratnavarāṇi santi /	imasmin lokezu imasmin vA punar svargezu vA ratna-varANi santi /
   samo 'sti naiveha tathāgatena devātidevena narottamena //	samaH asti na-eva-iha taTAgatena deva-atidevena nara-uttamena //
   tasmād idaṃ ratnavaraṃ praṇītam etena satyena ihāstu svasti /	tasmAt idam ratna-varam praNItam etena satyena iha-astu svasti /
   kṣayo virāgo hy amṛtaṃ tv asaṃskṛtam ājñāya sauśākyamuniprabhāvitaḥ //	kzayaH virAgaH hi amRtam tu asaMskRtam AjQAya sOSAkya-muni-praBAvitaH //
   dharmeṇa tena na samo 'sti kaścid amṛtena śāntena asaṃśkṛtena /	DarmeNa tena na samaH asti kaScid amRtena SAntena asanSkRtena /
   (Msp 25)	(Msp 25)
   tasmād idaṃ ratnavaraṃ praṇītam etena satyena ihāstu svasti //	tasmAt idam ratna-varam praNItam etena satyena iha-astu svasti //
   yac chreṣṭham iṣṭaṃ vidhivatprakāśitaṃ śāstā sadānuttarayogavāhakam /	yat SrezWam izwam viDivat-prakASitam SAstA sadA-anuttara-yogavAhakam /
   samādhinā tena samo na vidyate vajropamenādvayamārgadarśinā //	samADinA tena samaH na vidyate vajra-upamena-advaya-mArga-darSinA //
   tasmād idaṃ ratnavaraṃ praṇītam etena satyena ihāstu svasti /	tasmAt idam ratna-varam praNItam etena satyena iha-astu svasti /
   aṣṭau mahāpudgalaye praśastāḥ khyātāni catvāri yugāni caiva //	azwO mahA-pudgalaye praSastAH KyAtAni catvAri yugAni ca-eva //
   te dakṣiṇīyā sugatena gītā maharṣiṇā hy apratipudgalena /	te dakziNIyA sugatena gItAH mahA-RziNA hi apratipudgalena /
   ebhyaḥ pradānaṃ bhavate mahāphalaṃ bījāni nyastāni yathā sukṣetre //	eByaH pradAnam Bavate mahA-Palam bIjAni nyastAni yaTA su-kzetre //
   idaṃ praṇītaṃ varasaṃgharatnam etena satyena ihāstu svasti /	idam praNItam vara-saMGa-ratnam etena satyena iha-astu svasti /
   ye suprasannāmanasā dṛḍhena upasaṃkramī gautamaśāsanaṃ hi //	ye su-prasanna-AmanasA dRXena upasaMkramI gOtama-SAsanam hi //
   te prāptiprāptā amṛtaṃ vigāhya tamonudā nirvṛtim āpnuvanti /	te prApti-prAptAH amRtam vigAhya tamonudAH nirvRtim Apnuvanti /
   idaṃ praṇītaṃ varasaṃgharatnam etena satyena ihāstu svasti //	idam praNItam vara-saMGa-ratnam etena satyena iha-astu svasti //
   sahasrayogād iha darśanasya trayaḥ prahīṇā yugapat kileśāḥ /	sahasra-yogAt iha darSanasya trayaH prahINAH yugapad kila-ISAH /
   satkāyadṛṣṭir vicikitsā ca śīlaṃ vrataṃ darśanam āryatā ca //	satkAya-dRzwiH vicikitsA ca SIlam vratam darSanam Arya-tA ca //
   idaṃ praṇītaṃ varasaṃgharatnam etena satyena ihāstu svasti /	idam praNItam vara-saMGa-ratnam etena satyena iha-astu svasti /
   na jātu kuryāt trividhaṃ hi pādaṃ kāyena vācā manasātha vāpi //	na jAtu kuryAt triviDam hi pAdam kAyena vAcA manasA-aTa vA-api //
   prachādanīyaṃ sahasā na kṛtvā yathā na dṛṣṭir grahaṇena teṣām /	praCAdanIyam sahasA na kRtvA yaTA na dRzwiH grahaNena tezAm /
   idaṃ praṇītaṃ varasaṃgharatnam etena satyena ihāstu svasti //	idam praNItam vara-saMGa-ratnam etena satyena iha-astu svasti //
   yathendrakīlapṛthivīpratiṣṭhitā caturdiśaṃ vāyubhir apy akampya /	yaTA-indrakIla-pRTivI-pratizWitA caturdiSam vAyuBiH api akampya /
   tathopamā pudgalāḥ santi saṃghe yā āryamārgasya darśinaḥ //	taTA-upamA pudgalAH santi saMGe yAH Arya-mArgasya darSinaH //
   idaṃ praṇītaṃ varasaṃgharatnam etena satyena ihāstu svasti /	idam praNItam vara-saMGa-ratnam etena satyena iha-astu svasti /
   ya āryasatyāni vibhāvayanti gambhīraprajñena sudeśitāni //	yaH Arya-satyAni viBAvayanti gamBIra-prajQena su-deSitAni //
   kāyapradānaṃ ca manasy akṛtvā na te bhayaṃ kaṣṭam avāpnuvanti /	kAya-pradAnam ca manasi akRtvA na te Bayam kazwam avApnuvanti /
   (Msp 26)	(Msp 26)
   idaṃ praṇītaṃ varasaṃgharatnam etena satyena ihāstu svasti //	idam praNItam vara-saMGa-ratnam etena satyena iha-astu svasti //
   arcir yathā vāyuvaśād vinaṣṭā astaṃgatā naiva upeti saṃkṣā /	arciH yaTA vAyu-vaSAt vinazwAH astaMgatA na-eva upa-iti saMkzAH /
   tathaiva samyojanaviprayuktā adarśanaṃ yānti hi buddhaputrā //	taTA-eva samyojana-viprayuktAH adarSanam yAnti hi budDa-putrAH //
   idaṃ praṇītaṃ varasaṃgharatnam etena satyena ihāstu svasti /	idam praNItam vara-saMGa-ratnam etena satyena iha-astu svasti /
   ye jaṅgamāś cātra tathaiva sthāvarās te sarvasatvāḥ sukhino bhavantu //	ye jaFgamAH ca-atra taTA-eva sTAvarAH te sarva-satvAH suKinaH Bavantu //
   śāstāram agryaṃ naradevapūjyaṃ buddhaṃ namasyetha ihāstu svasti /	SAstAram agryam naradeva-pUjyam budDam namasyeTa iha-astu svasti /
   ye jaṅgamāś cātra tathaiva sthāvarās te sarvasatvāḥ sukhino bhavantu //	ye jaFgamAH ca-atra taTA-eva sTAvarAH te sarva-satvAH suKinaH Bavantu //
   śāntaṃ virāgaṃ naradevapūjyaṃ dharmaṃ namasyetha ihāstu svasti /	SAntam virAgam naradeva-pUjyam Darmam namasyeTa iha-astu svasti /
   ye jaṅgamāś cātra tathaiva sthāvarās te sarvasatvāḥ sukhino bhavantu //	ye jaFgamAH ca-atra taTA-eva sTAvarAH te sarva-satvAH suKinaH Bavantu //
   gaṇānam agryaṃ naradevapūjyaṃ saṃghaṃ namasyetha ihāstu svasti /	gaNAnam agryam naradeva-pUjyam saMGam namasyeTa iha-astu svasti /
   yānīha bhūtāni samāgatāni sthitāni bhūmāv atha vāntarīkṣe //	yAni-iha BUtAni samAgatAni sTitAni BUmO aTa vA-antarIkze //
   kurvantu maitrī satataṃ prajāsu divā ca rātrau ca carantu dharmam /	kurvantu mEtrI satatam prajAsu divA ca rAtrO ca carantu Darmam /
   yenaiva satyena jino jitāriḥ sa satyavādī ripus tasya nāsti //	yena-eva satyena jinaH jita-ariH sa satya-vAdI ripuH tasya na-asti //
   tenaiva satyena ihāstu svasti mucyantu sarve 'dya mahābhayebhyaḥ svāhā //	tena-eva satyena iha-astu svasti mucyantu sarve adya mahA-BayeByaH svAhA //
   syād yathedam //	syAt yaTA-idam //
   dhire dhidhire / balanirghoṣe / balasāre / sāravate / stute /	Dire DiDire / bala-nirGoze / balasAre / sAravate / stute /
   prabhūtaprāpte / āradhe / āraghoṣe / sāravati / acyute / balavate /	praBUta-prApte / AraDe / Ara-Goze / sAravati / acyute / balavate /
   śūraprāpte / sāraṃgame / sūryagame / sūryanirghoṣe svāhā //	SUra-prApte / sAraMgame / sUrya-game / sUrya-nirGoze svAhA //
   iyaṃ sā mahābrahman mahāsāhasrapramardanī nāma vidyārājñī	iyam sA mahA-brahman mahAsAhasrapramardanI nAma vidyA-rAjQI
   sarvagrahaparimocanīyaṃ sūtraṃ gaṅgāsikatāprakhyānāṃ tathāgatānām arhatāṃ	sarva-graha-parimocanIyam sUtram gaFgA-sikatA-praKyAnAm taTAgatAnAm arhatAm
   samyaksaṃbuddhānāṃ buddhamudrā / buddhapadā / dharmapadā / saṃghapadā /	samyaksaMbudDAnAm budDa-mudrA / budDa-padA / Darma-padA / saMGapadA /
   brahmapadā / indrapadā / lokapālapadā / (Msp 27) īśvarapadā / mahārṣipadā	brahma-padAH / indra-padAH / lokapAla-padA / (Msp 27) ISvara-padA / mahA-rzipadA
   / paryarthipadā / āyatipadā / akṣipadā / hetupadā / pradeśapadā /	/ paryarTi-padA / Ayati-padAH / akzipadA / hetu-padA / pradeSa-padAH /
   nirdeśapadā / abhisaṃbuddhapadā / samyaksaṃbuddhaiś ca pratyekabuddhaiś ca	nirdeSa-padA / aBisaMbudDa-padA / samyaksaMbudDEH ca pratyekabudDEH ca
   sparśitā / śrāvakair adhiṣṭhitā / brahmabhiḥ praśaṃsitā / indreṇa pūjitā /	sparSitA / SrAvakEH aDizWitA / brahmaBiH praSaMsitA / indreNa pUjitAH /
   lokapālair namaskṛtā / īśvareṇa pūjitā / sarvadevair varṇitā / yogācārair	lokapAlEH namaskRtA / ISvareNa pUjitA / sarva-devEH varNitA / yoga-AcArEH-
   abhinanditā / ṛṣibhir alaṃkṛtā / brahmabhir abistutā / devatābhiś cintitā	aBinanditA / RziBiH alaMkRtA / brahmaBiH abistutA / devatABiH cintitA
   / snātakaiḥ praśaṃsitā / cāturvarṇena lokena / gocaraḥ sarvabuddhānām /	/ snAtakEH praSaMsitA / cAturvarNena lokena / gocaraH sarva-budDAnAm /
   udyānaṃ pratyekabuddhānām / niryāṇaṃ śrāvakānām / āśrayo yogācārāṇām /	udyAnam pratyekabudDAnAm / niryANam SrAvakAnAm / ASrayaH yoga-AcArANAm /
   ākaro bodhipakṣāṇāṃ dharmāṇām / pravāhanaṃ saṃkleśānām / utpāṭanam	AkaraH boDi-pakzANAm DarmANAm / pravAhanam saMkleSAnAm / utpAwanam
   anuśayaśalyānām / saṃdarśanaṃ mokṣadvārāṇām / bhedanaṃ satkāyadṛṣṭīnām /	anuSaya-SalyAnAm / saMdarSanam mokza-dvArANAm / Bedanam sat-kAya-dRzwInAm /
   prapātanaṃ mānaparvatasya / vivaraṇam āryamārgasya / pithanaṃ	prapAtanam mAna-parvatasya / vivaraNam Arya-mArgasya / piTanam
   mokṣadvārāṇām / saṃśoṣaṇaṃ saṃsārasamudrasya / uccālanaṃ	mokza-dvArANAm / saMSozaNam saMsAra-samudrasya / uccAlanam
   sarvasaṃsārapatitānām asthiparvatānām / cchedanī mārapāśasya / uttrāsanī	sarva-saMsAra-patitAnAm asTi-parvatAnAm / cCedanI mAra-pASasya / uttrAsanI
   māraparṣadaḥ / udgilanī mārabaḍiśasya / uttrāsanī kleśasaṃgrāmāt /	mAra-parzadaH / udgilanI mAra-baxiSasya / uttrAsanI kleSa-saMgrAmAt /
   praveśanī nirvāṇanagare / niṣkrāmaṇī saṃsāragṛhād iti //	praveSanI nirvANa-nagare / nizkrAmaNI saMsAra-gRhAt iti //
   syād yathedam /	syAt yaTA-idam /
   khaṅge / khaṅgaghoṣe / uṣodhane / sārathiprabhede / vipulaprabhe /	KaFge / KaFga-Goze / uzoDane / sAraTi-praBede / vipula-praBe /
   saṃkarṣaṇi / vikarṣaṇi / viṣāgravati / śuddhasādhane / varuṇavate / vāśane	saMkarzaNi / vikarzaNi / viza-agravati / SudDa-sADane / varuNavate / vA-aSane
   / vibhūṣaṇi / viṣaṃgame / paśupati / puṣpagarbhe / svasty astu mama	/ viBUzaNi / vizaMgame / paSupati / puzpa-garBe / svasti astu mama
   sarvasatvānāṃ ca sarvabhayopadravopasargopāyāsebhyaḥ svāhā //	sarva-satvAnAm ca sarva-Baya-upadrava-upasarga-upAyAseByaH svAhA //
   iyaṃ sā mahābrahman mahāsāhasrapramardanī nāma vidyārājñī	iyam sA mahA-brahman mahAsAhasrapramardanI nAma vidyA-rAjQI
   sarvagrahapramocanīyaṃ sūtraṃ gaṅgāsikatāprakhyānāṃ tathāgatānām arhatāṃ	sarva-graha-pramocanIyam sUtram gaFgA-sikatA-praKyAnAm taTAgatAnAm arhatAm
   samyaksaṃbuddhānāṃ buddhamudrā / yayā mudrayā mudritaḥ sadevamānuṣāsuro	samyaksaMbudDAnAm budDa-mudrA / yayA mudrayA mudritaH sa-deva-mAnuza-asuraH-
   loko 'nuttaranirvāṇapuraṃ praviṣṭaḥ / yasya cārthāya gaṅgāsikatāprakhyaiḥ	lokaH anuttara-nirvANa-puram pravizwaH / yasya ca-arTAya gaFgA-sikatA-praKyEH
   samyaksaṃbuddaiḥ pratyekabuddhaiḥ śrāvakaiś ca pūrvābhisaṃbuddhaiḥ	samyaksaMbuddEH pratyekabudDEH SrAvakEH ca pUrva-aBisaMbudDEH
   samyaksaṃbuddhāḥ pratyekabuddhāḥ śrāvakāś ca mātāpitṛdakṣiṇīyā	samyaksaMbudDAH pratyekabudDAH SrAvakAH ca mAtA-pitR-dakziNIyA
   gurusthānīyāḥ paryupāsitā brahmacaryaṃ cīrṇaṃ śīlaṃ rakṣitaṃ (Msp 28)	guru-sTAnIyAH paryupAsitAH brahmacaryam cIrNam SIlam rakzitam (MsB 28)
   dānaṃ dattaṃ kṛpā pāramitā paripūriḥ / sādhitā bodhisatvacaryā sādhitā	dAnam dattam kRpA pAramitA paripUriH / sADitA boDisatva-caryA sADitA
   bodhiprāptiprāptā sarvajñatā parājito māraḥ //	boDi-prApti-prAptA sarvajQa-tA parAjitaH mAraH //
   atha brahmā sahāpatiḥ śakraś ca devānām indraś catvāraś ca mahārājāna	aTa brahmA sahApatiH SakraH ca devAnAm indraH catvAraH ca mahA-rAjAna
   ekavāgekamataikasvarā bhagavantaṃ namasyamānā ūcuḥ //	eka-vAc-eka-mata-eka-svarAH Bagavantam namasyamAnAH UcuH //
   aho vidyā mahāvidyā mahāsāhasrapramardanī //	aho vidyA mahAvidyA mahA-sAhasra-pramardanI //
   ārakṣā sarvasatvānāṃ buddhamudrāś caturdiśam /	ArakzA sarva-satvAnAm budDa-mudrAH caturdiSam /
   mudrāṃ vayaṃ pradāsyāmaḥ sūtre sāhasrapramardane //	mudrAm vayam pradAsyAmaH sUtre sAhasra-pramardane //
