   akarod bhayajid rājā NCit_1.39c	akarot Baya-jit rAjA NCit-_1.39c
   bhaved dvādaśakāṅgulam NCit_3.57f	Bavet dvAdaSaka-aFgulam NCit-_3.57f
   bhāṣite tu dvijenaivaṃ NCit_1.25a	BAzite tu dvijena-evam NCit-_1.25a
   bhūtānāṃ śikṣako yathā NCit_3.123d	BUtAnAm SikzakaH yaTA NCit-_3.123d
   bhūpatiṃ prāha sattamaḥ NCit_1.59d	BUpatim prAha sattamaH NCit-_1.59d
   bhūpatonāṃ tatastathā NCit_3.3b	BUpatA-UnAm tatas-taTA NCit-_3.3b
   bhūpena sarvathā naṣṭā NCit_1.42c	BUpena sarvaTA nazwA NCit-_1.42c
   bhūsparśau jālavṛddhau ca NCit_3.63c	BU-sparSO jAla-vRdDO ca NCit-_3.63c
   bhṛśaṃ vikaśitā bhavet NCit_3.140b	BRSam vikaSitA Bavet NCit-_3.140b
   bhramarāñjanasannibhāḥ NCit_3.111d	Bramara-aQjana-sanniBAH NCit-_3.111d
   bhrupṛṣṭhakarṇayostathā NCit_3.16b	BrupRzWa-karNayoH-taTA NCit-_3.16b
   bhruvorucchrāya āroho NCit_3.17c	BruvoH-ucCrAyaH ArohaH NCit-_3.17c
   bhruḥsyānnavaśaśāṅkavat NCit_3.18b	BruHsyAt-na-vaSa-SAFka-vat NCit-_3.18b
   bhrūmadhyāt keśaparyantaṃ NCit_3.20c	BrU-maDyAt keSa-paryantam NCit-_3.20c
   bhrūvaḥ prabhṛti bhālāntaṃ NCit_3.21a	BrUvaH praBRti BAla-antam NCit-_3.21a
   bhrūvoḥ kaṇṭhasya bhālasya NCit_3.127e	BrUvoH kaNWasya BAlasya NCit-_3.127e
   bhrūvau dīptau sadā jñeyau NCit_3.129e	BrUvO dIptO sadA jQeyO NCit-_3.129e
   maṅgalaśropradāyakaṃ NCit_1.78c	maFgala-SropradAyakam NCit-_1.78c
   maṇiputrasamākhyaspa NCit_1.18c	maNi-putra-samAKyaspa NCit-_1.18c
   maṇḍalānvitanimnagam NCit_3.100d	maNxala-anvita-nimnagam NCit-_3.100d
   maṇḍalo dvayaṅgulo vāsaḥ NCit_3.52a	maNxalaH dvayaFgulaH vAsaH NCit-_3.52a
   matiritthaṃ babhūva ha NCit_2.6b	matiH-itTam baBUva ha NCit-_2.6b
   matiṃ cakre nṛpālakaḥ NCit_1.25d	matim cakre nRpAlakaH NCit-_1.25d
   mattaḥ śrutvā ca lakṣaṇam NCit_2.19b	mattaH SrutvA ca lakzaNam NCit-_2.19b
   matprasādāt prapūjyatām NCit_1.52d	mad-prasAdAt prapUjyatAm NCit-_1.52d
   matprārthanāvaśād deva NCit_1.35c	mad-prArTanA-vaSAt deva NCit-_1.35c
   matsyodarasunetrasya NCit_3.24c	matsya-udara-sunetrasya NCit-_3.24c
   madīyavaṃśarakṣākṛt NCit_1.22a	madIya-vaMSa-rakzA-kRt NCit-_1.22a
   madgṛhaṃ pratipadyātha NCit_1.33a	mad-gRham pratipadya-aTa NCit-_1.33a
   madhyasya dvayaṅgulāyāmaḥ NCit_3.99a	maDyasya dvayaFgula-AyAmaH NCit-_3.99a
   madhyāṅguleḥ samucchrāyaḥ NCit_3.74a	maDya-aFguleH samucCrAyaH NCit-_3.74a
   manasā ca mahipate NCit_3.47d	manasA ca mahipate NCit-_3.47d
   manuṣyeṣu ca yo nāma NCit_2.13c	manuzyezu ca yaH nAma NCit-_2.13c
   manoramaṃ surupaṃ ca NCit_2.8c	manoramam surupam ca NCit-_2.8c
   manorogavivarjitāḥ NCit_1.11b	manaH-roga-vivarjitAH NCit-_1.11b
   mama prasādād rājendra NCit_1.74c	mama prasAdAt rAja-indra NCit-_1.74c
   mameyaṃ vacanena ca NCit_1.79b	mama-iyam vacanena ca NCit-_1.79b
   mayā naiva pragṛhyate NCit_1.32d	mayA na-eva pragRhyate NCit-_1.32d
   mayā proktaṃ sucintitam NCit_3.72f	mayA proktam su-cintitam NCit-_3.72f
   mayūrakaṇṭharomābhāḥ NCit_3.112a	mayUra-kaNWa-roma-ABAH NCit-_3.112a
   marālagātasaṃyutaḥ NCit_3.138b	marAla-gAta-saMyutaH NCit-_3.138b
   mahādevāya devāya NCit_1.3a	mahAdevAya devAya NCit-_1.3a
   mahāprabhāvaśālibhiḥ NCit_1.41b	mahA-praBAva-SAliBiH NCit-_1.41b
   mahābhāgasya devānāṃ NCit_1.17c	mahABAgasya devAnAm NCit-_1.17c
   mahābhūto 'pi sarvataḥ NCit_1.46b	mahABUtaH api sarvatas NCit-_1.46b
   mahendro devavṛndake NCit_1.95b	mahA-indraH deva-vRndake NCit-_1.95b
   mānamaṣṭayavaṃ bhavet NCit_3.24d	mAnam-azwa-yavam Bavet NCit-_3.24d
   mānamaṣṭāṅgulaṃ matam NCit_3.57d	mAnam-azwa-aFgulam matam NCit-_3.57d
   mānamidaṃ pravartate NCit_3.3d	mAnam-idam pravartate NCit-_3.3d
   mānavaṃ syāccaturyavam NCit_3.34d	mAnavam syAt-caturyavam NCit-_3.34d
   mānavāṅgeṣu yatnataḥ NCit_3.143b	mAnava-aFgezu yatnatas NCit-_3.143b
   mānaṃ kuryād yathāvidhi NCit_3.88b	mAnam kuryAt yaTAviDi NCit-_3.88b
   mānaṃ ca dahiṇāvarttaṃ NCit_3.51c	mAnam ca dahiNAvarttam NCit-_3.51c
   mānaṃ tu kramikaṃ matam NCit_3.163b	mAnam tu kramikam matam NCit-_3.163b
   mānaṃ daśayavaṃ bhavet NCit_3.25d	mAnam daSa-yavam Bavet NCit-_3.25d
   mānaṃ dvyardhāṅgulaṃ matam NCit_3.20d	mAnam dvi-arDa-aFgulam matam NCit-_3.20d
   mānaṃ pañcāṅgulaṃ matam NCit_3.60b	mAnam paQca-aFgulam matam NCit-_3.60b
   mānaṃ brūhi prajāsu ca NCit_3.1d	mAnam brUhi prajAsu ca NCit-_3.1d
   mānaṃ vā kīdṛśaṃ bhavet NCit_1.85b	mAnam vA kIdRSam Bavet NCit-_1.85b
   mānaṃ sarvatra karmaṇi NCit_3.144d	mAnam sarvatra karmaNi NCit-_3.144d
   mānaṃ syāccaturaṅgulam NCit_3.21b	mAnam syAt-catur-aFgulam NCit-_3.21b
   mānaṃ syāccaturaṅgulam NCit_3.55d	mAnam syAt-catur-aFgulam NCit-_3.55d
   mānena ca tathāyutam NCit_3.164b	mAnena ca taTA-ayutam NCit-_3.164b
   mālavasya tathocchrāyaś NCit_3.158c	mAlavasya taTA-ucCrAyaH NCit-_3.158c
   mālavyaścaturaṅguliḥ NCit_3.150b	mAlavyaH-catur-aFguliH NCit-_3.150b
   māsāgrasya samucchrāyau NCit_3.33c	mAsa-agrasya samucCrAyO NCit-_3.33c
   māṃsapurṇaṃ bhaved vakṣaḥ NCit_3.132a	mAMsa-purNam Bavet vakzaH NCit-_3.132a
   māṃsapeśyalpasaṃyutaḥ NCit_3.99e	mAMsa-peSI-alpa-saMyutaH NCit-_3.99e
   miśritena ca varṇena NCit_2.9c	miSritena ca varNena NCit-_2.9c
   mukhamānasusammatā NCit_3.22d	muKa-mAna-su-sammatA NCit-_3.22d
   mukhasya mānamīdṛśam NCit_3.46d	muKasya mAnam-IdRSam NCit-_3.46d
   mukhaṃ candradṛśaṃ śvetaṃ NCit_3.127a	muKam candradRSam Svetam NCit-_3.127a
   mukhaṃ cāru manoharam NCit_3.141b	muKam cAru manoharam NCit-_3.141b
   mukhaṃ vilikhayed yadi NCit_3.44b	muKam viliKayet yadi NCit-_3.44b
   mukhādīnāṃ parimāṇaṃ NCit_3.11a	muKa-AdInAm parimANam NCit-_3.11a
   mukhe vai vitato bhavet NCit_3.109f	muKe vE vitataH Bavet NCit-_3.109f
   mukhe śmaśru na roma ca NCit_3.116b	muKe SmaSru na roma ca NCit-_3.116b
   mukheṣu connatā jñeyā NCit_3.135c	muKezu ca-unnatA jQeyA NCit-_3.135c
   munināgāsurāṇāṃ ca NCit_1.109a	muninAga-asurANAm ca NCit-_1.109a
   mūrttadharmasya bodhinaḥ NCit_1.18b	mUrtta-Darmasya boDinaH NCit-_1.18b
   mṛgarājagatisthairyaṃ NCit_3.121c	mRgarAja-gati-sTEryam NCit-_3.121c
   mṛtyupatermahātmanaḥ NCit_1.50b	mRtyupateH-mahAtmanaH NCit-_1.50b
   mṛdu karikarākāraṃ NCit_3.58c	mRdu kari-kara-AkAram NCit-_3.58c
   mṛdu mṛṇālatantuvat NCit_3.108d	mRdu mRNAla-tantu-vat NCit-_3.108d
   mṛdusūkṣmaistathā snigdhair NCit_3.115a	mRdu-sUkzmEH-taTA snigDEH NCit-_3.115a
   meghato vārivarṣavat NCit_1.40b	meGataH vAri-varza-vat NCit-_1.40b
   megharavasya gambhīrā NCit_3.110c	meGa-ravasya gamBIrA NCit-_3.110c
   medaṃ ṣaḍaṅgulaṃ proktam NCit_3.54a	medam zaz-aFgulam proktam NCit-_3.54a
   yatnād buddhimatā tvayā NCit_1.108b	yatnAt budDimatA tvayA NCit-_1.108b
   yatra sevā satāṃ nāsti NCit_1.61a	yatra sevA satAm na-asti NCit-_1.61a
   yat sthānaṃ kaṭideśasya NCit_3.48a	yat sTAnam kawi-deSasya NCit-_3.48a
   yathājñākāriṇaṃ daṇḍaṃ NCit_1.44c	yaTA-AjQA-kAriNam daNxam NCit-_1.44c
   yathājñānaṃ yathāśakti NCit_1.6c	yaTAjQAnam yaTASakti NCit-_1.6c
   yathā nareṣu bhūpendras NCit_1.92c	yaTA narezu BUpa-indraH NCit-_1.92c
   yathāśāstramudīritam NCit_3.32b	yaTASAstram-udIritam NCit-_3.32b
   yathāśāstramupanyastaḥ NCit_3.80c	yaTASAstram-upanyastaH NCit-_3.80c
   yathā syāt netralakṣaṇam NCit_3.30d	yaTA syAt netra-lakzaNam NCit-_3.30d
   yathecchaṃ vai vibhaktavyaṃ NCit_3.148c	yaTecCam vE viBaktavyam NCit-_3.148c
   yathoktaṃ brahmaṇā pūrvam NCit_2.1a	yaTA-uktam brahmaNA pUrvam NCit-_2.1a
   yad bhavettasya mānaṃ syād NCit_3.23c	yat Bavet-tasya mAnam syAt NCit-_3.23c
   yama āha punaḥ punaḥ NCit_1.36b	yamaH Aha punar punar NCit-_1.36b
   yamadāsaiḥ sadā viśvaṃ NCit_1.70c	yama-dAsEH sadA viSvam NCit-_1.70c
   yamadutā jitāḥ śaktyā NCit_1.57c	yama-dutAH jitAH SaktyA NCit-_1.57c
   yamadūtavinirgatāḥ NCit_1.42b	yama-dUta-vinirgatAH NCit-_1.42b
   yamadūtāṃścadevāstraiḥ NCit_1.41c	yama-dUtAn=-ca-deva-astrEH NCit-_1.41c
   yamasyāpi tato nṛpa NCit_1.67d	yamasya-api tatas nRpa NCit-_1.67d
   yamasyopari sarvataḥ NCit_1.39d	yamasya-upari sarvatas NCit-_1.39d
   yamo 'pi praṇipatyātha NCit_1.49a	yamaH api praNipatya-aTa NCit-_1.49a
   yamo 'pi prītimāpanno NCit_1.69a	yamaH api prItim-ApannaH NCit-_1.69a
   yamo vipraśca nagnajit NCit_1.80b	yamaH vipraH-ca nagnajit NCit-_1.80b
   yavatrayapramāṇakam NCit_3.23d	yava-traya-pramANakam NCit-_3.23d
   yavadvayasamāyutaḥ NCit_3.34f	yava-dvaya-samAyutaH NCit-_3.34f
   yavamānena pūritāḥ NCit_3.70d	yava-mAnena pUritAH NCit-_3.70d
   yavaikaṃ cucukaṃ smṛtam NCit_3.51d	yava-ekam cucukam smRtam NCit-_3.51d
   yaśasvī tvaṃ bhaviṣyasi NCit_1.74f	yaSasvI tvam Bavizyasi NCit-_1.74f
   yaśorāśivivardhakam NCit_2.23d	yaSaH-rASi-vivarDakam NCit-_2.23d
   yaśovṛddhirbhaved viśve NCit_2.15c	yaSaH-vRdDiH-Bavet viSve NCit-_2.15c
   yasmād deśāt samāpannas NCit_1.83c	yasmAt deSAt samApannaH NCit-_1.83c
   yāni purvaṃ na coktāni NCit_3.95c	yAni purvam na ca-uktAni NCit-_3.95c
   yāme aṅgulakaṃ matam NCit_3.79b	yAme aFgulakam matam NCit-_3.79b
   yuṣmākaṃ paripūjanāt NCit_2.15d	yuzmAkam paripUjanAt NCit-_2.15d
   yuṣmākaṃ pratimāsu ca NCit_2.12d	yuzmAkam pratimAsu ca NCit-_2.12d
   ye bhavanti ca teṣāṃ vai NCit_3.3a	ye Bavanti ca tezAm vE NCit-_3.3a
   yogināṃ cāpasannibhaṃ NCit_3.26d	yoginAm cApa-sanniBam NCit-_3.26d
   yojayāmāsa jīvitam NCit_1.54f	yojayAmAsa jIvitam NCit-_1.54f
   raktapadmāgrasādṛśyaṃ NCit_3.61c	rakta-padma-agra-sAdRSyam NCit-_3.61c
   raktavarṇaṃ suśobhanam NCit_3.83d	rakta-varNam su-SoBanam NCit-_3.83d
   raktaṃ pādatalaṃ smṛtam NCit_3.61b	raktam pAda-talam smRtam NCit-_3.61b
   raktāntaṃ kṛṣṇatārakam NCit_3.29b	rakta-antam kRzNa-tArakam NCit-_3.29b
   raktimāḥ snigdhavarṇakāḥ NCit_3.69b	raktimAH snigDa-varNakAH NCit-_3.69b
   rakṣoghnaṃ śatrunāśanam NCit_1.78d	rakzaH-Gnam Satru-nASanam NCit-_1.78d
   rakṣohānirbhaved dhruvam NCit_2.15b	rakzohA-nirBavet Druvam NCit-_2.15b
   randhramardhāṅgalaṃ matam NCit_3.15d	ranDram-arDAFgalam matam NCit-_3.15d
   rahasyaṃ saprakārakam NCit_1.100d	rahasyam sa-prakArakam NCit-_1.100d
   rājannetat vijānīyād NCit_3.30c	rAjan=-etat vijAnIyAt NCit-_3.30c
   rājahaṃsagatistathā NCit_3.142d	rAjahaMsa-gatiH-taTA NCit-_3.142d
   rājātha dharmarājaṃ taṃ NCit_1.82a	rAjA-aTa DarmarAjam tam NCit-_1.82a
   rājā lekhyaḥ kṛśaḥ sadā NCit_3.125d	rAjA leKyaH kRSaH sadA NCit-_3.125d
   rājāha viśvakarman bho NCit_1.99a	rAjA-Aha viSvakarman Bo NCit-_1.99a
   rājñātiśuddhacetasā NCit_1.15b	rAjQA-ati-SudDa-cetasA NCit-_1.15b
   rājñā namaskṛtastathā NCit_1.98b	rAjQA namaskRtaH-taTA NCit-_1.98b
   rājñāpi prārthitaḥ punaḥ NCit_1.36d	rAjQA-api prArTitaH punar NCit-_1.36d
   rājñāṃ nyagrodhavṛkṣavat NCit_3.8b	rAjQAm nyagroDa-vRkza-vat NCit-_3.8b
   rājñāṃ yathā pradarśitaṃ NCit_3.164a	rAjQAm yaTA pradarSitam NCit-_3.164a
   rājñe so 'dadadāsanam NCit_1.98d	rAjQe saH adadat-Asanam NCit-_1.98d
   rāmo manusutastathā NCit_3.149b	rAmaH manu-sutaH-taTA NCit-_3.149b
   rucakasya samucchrāyaḥ NCit_3.158a	rucakasya samucCrAyaH NCit-_3.158a
   rucako 'ṣṭāṅgulinyūnaḥ NCit_3.150c	rucakaH azwa-aFguli-nyUnaH NCit-_3.150c
   rudan vipro 'tiduḥkhitaḥ NCit_1.19b	rudan vipraH ati-duHKitaH NCit-_1.19b
   rupamālikha bho rājan NCit_1.53c	rupam-AliKa Bo rAjan NCit-_1.53c
   rupasaṃjñādayastadā NCit_2.4b	rupa-saMjQA-AdayaH-tadA NCit-_2.4b
   rekhātrayaṃ kare proktaṃ NCit_3.83c	reKA-trayam kare proktam NCit-_3.83c
   romakoṣasamāvṛtaḥ NCit_3.20b	romakoza-samAvRtaH NCit-_3.20b
   romabhiḥ parivarjitaḥ NCit_3.117b	romaBiH parivarjitaH NCit-_3.117b
   lakṣaṇajñairudāhṛtam NCit_3.54d	lakzaNa-jQEH-udAhRtam NCit-_3.54d
   lakṣaṇamagra ucyate NCit_3.32d	lakzaNam-agraH ucyate NCit-_3.32d
   lakṣaṇamanusṛtyaica NCit_1.7c	lakzaNam-anusRtya-eca NCit-_1.7c
   lakṣaṇamākṛti tathā NCit_1.107b	lakzaNam-AkRti taTA NCit-_1.107b
   lakṣaṇavidhimānaṃ ca NCit_1.96c	lakzaNa-viDi-mAnam ca NCit-_1.96c
   lakṣaṇaṃ kathitaṃ mayā NCit_3.148b	lakzaNam kaTitam mayA NCit-_3.148b
   lakṣaṇaṃ kathitaṃ mayā NCit_3.156b	lakzaNam kaTitam mayA NCit-_3.156b
   lakṣaṇaṃ cakravarttinaḥ NCit_3.124d	lakzaNam cakravarttinaH NCit-_3.124d
   lakṣaṇaṃ cakravarttinaḥ NCit_3.126d	lakzaNam cakravarttinaH NCit-_3.126d
   lakṣaṇaṃ tadudāhṛtam NCit_3.139d	lakzaNam tat-udAhRtam NCit-_3.139d
   lakṣaṇaṃ śāstrasammatam NCit_3.103b	lakzaNam SAstra-sammatam NCit-_3.103b
   lakṣaṇākṛtisundaraḥ NCit_1.22b	lakzaNa-AkRti-sundaraH NCit-_1.22b
   lakṣaṇāni śubhāni vai NCit_3.95b	lakzaNAni SuBAni vE NCit-_3.95b
   lakṣaṇeṣu prajāpatiḥ NCit_3.154b	lakzaNezu prajApatiH NCit-_3.154b
   lakṣmaṇaṃ cakravarttinaḥ NCit_3.120d	lakzmaNam cakravarttinaH NCit-_3.120d
   lakṣmaṇaṃ cakravarttinaḥ NCit_3.121d	lakzmaNam cakravarttinaH NCit-_3.121d
   laṭikaṇṭhopajānunām NCit_3.162b	lawi-kaNWa-upajAnunAm NCit-_3.162b
   labdhañca maraṇaṃ śīghra NCit_1.51c	labDaQca maraNam SIGra NCit-_1.51c
   lākṣārasasamāyutam NCit_3.61d	lAkzA-rasa-samAyutam NCit-_3.61d
   likṣā yūko yavo 'ṅguliḥ NCit_3.4b	likzA yUkaH yavaH aFguliH NCit-_3.4b
   likhanādividhiṃ samyak NCit_2.1c	liKana-Adi-viDim samyak NCit-_2.1c
   likhitvādau hyupāharat NCit_1.104d	liKitvA-AdO hi-upAharat NCit-_1.104d
   likhitvā vividhaṃ samyak NCit_1.109e	liKitvA viviDam samyak NCit-_1.109e
   liṅgakoṣaśca sundaraḥ NCit_3.134b	liFgakozaH-ca sundaraH NCit-_3.134b
   lekhyaṃ citramaninditaṃ NCit_3.165c	leKyam citram-aninditam NCit-_3.165c
   lokapitāmahaḥ svayam NCit_2.3b	lokapitAmahaH svayam NCit-_2.3b
   lokapūjāvyavasthāyai NCit_2.16a	loka-pUjA-vyavasTAyE NCit-_2.16a
   lokaśraddhāspadaṃ mahyaṃ NCit_1.104c	loka-SradDA-Aspadam mahyam NCit-_1.104c
   lokasya kāyamānaṃ māṃ NCit_3.1a	lokasya kAyamAnam mAm NCit-_3.1a
   lokānāṃ hitasādhanāt NCit_1.77a	lokAnAm hita-sADanAt NCit-_1.77a
   vakratāyāḥ puṭasyāpi NCit_3.34a	vakratAyAH puwasya-api NCit-_3.34a
   vakṣastu dviguṇaṃ smṛtam NCit_3.48f	vakzaH-tu dviguNam smRtam NCit-_3.48f
   vakṣasthalaṃ nṛpāṇāṃ ca NCit_3.115e	vakzasTalam nRpANAm ca NCit-_3.115e
   vacobhirmadhurairbhṛśam NCit_1.59b	vacoBiH-maDurEH-BRSam NCit-_1.59b
   vadanaṃ siṃhavad rāja- NCit_3.122c	vadanam siMha-vat rAja NCit-_3.122c
   varadāṃ ca mayā natvā NCit_1.1c	varadAm ca mayA natvA NCit-_1.1c
   varāṭakanibhaṃ sadā NCit_3.28d	varAwaka-niBam sadA NCit-_3.28d
   varāṭakābhanetrasya NCit_3.25c	varAwaka-ABa-netrasya NCit-_3.25c
   varā bahuvidhā prāptā NCit_1.15c	varA bahuviDA prAptA NCit-_1.15c
   varuṇaṃ marutaṃ tathā NCit_1.4d	varuNam marutam taTA NCit-_1.4d
   varṇanoyāḥ kṣitau narāḥ NCit_3.7f	varNanoyAH kzitO narAH NCit-_3.7f
   varṇarasasametāni NCit_1.12c	varNa-rasa-sametAni NCit-_1.12c
   varṇasya lakṣaṇaṃ caiva NCit_3.104c	varNasya lakzaNam ca-eva NCit-_3.104c
   varṇaṃ ca citrakarmātha NCit_1.6a	varNam ca citrakarmA-aTa NCit-_1.6a
   varṇādīnāṃ samāyogaiḥ NCit_1.53a	varNa-AdInAm samAyogEH NCit-_1.53a
   varṇāśramā hi catvāro NCit_1.13a	varNa-ASramAH hi catvAraH NCit-_1.13a
   varṇopāyau yathāyatham NCit_1.102d	varNa-upAyO yaTAyaTam NCit-_1.102d
   valiḥ sūryo dāśarathiḥ NCit_3.149a	valiH sUryaH dASaraTiH NCit-_3.149a
   vasanti tvarita tathā NCit_3.147b	vasanti tvarita taTA NCit-_3.147b
   vāṇī proktā sulakṣaṇā NCit_3.110d	vANI proktA su-lakzaNA NCit-_3.110d
   vāyuḥ supravahaścaiva NCit_1.12a	vAyuH su-pravahaH-ca-eva NCit-_1.12a
   vālāgrāṣṭau ca likṣā sā NCit_3.5c	vAla-agra-azwO ca likzA sA NCit-_3.5c
   vāsibhiste prapūjitāḥ NCit_2.18f	vAsiBiH-te prapUjitAH NCit-_2.18f
   vāsteyastu ṣaḍaṅgulaḥ NCit_3.53b	vAsteyaH-tu zaz-aFgulaH NCit-_3.53b
   vikacotpalacakṣuṣmān NCit_1.55a	vikaca-utpala-cakzuzmAn NCit-_1.55a
   vikhyātaṃ citrakarmaṇi NCit_3.56b	viKyAtam citrakarmaNi NCit-_3.56b
   vijānīhi kṣitīndra tvaṃ NCit_2.23c	vijAnIhi kziti-indra tvam NCit-_2.23c
   vijñeyā ca sadā nṛṇām NCit_1.34d	vijQeyA ca sadA nRNAm NCit-_1.34d
   viduṣāṃ sudhiyāṃ punaḥ NCit_1.7d	viduzAm suDiyAm punar NCit-_1.7d
   vidyādharāśca nāgendrāḥ NCit_3.2c	vidyADarAH-ca nAga-indrAH NCit-_3.2c
   vidyottamā ca lakṣaṇam NCit_2.20b	vidyA-uttamA ca lakzaNam NCit-_2.20b
   vidvabhyo guṇayuktebhyaḥ NCit_1.108d	vidvaByaH guNa-yukteByaH NCit-_1.108d
   vidhinā kīdṛśena vā NCit_1.87b	viDinA kIdRSena vA NCit-_1.87b
   vidhinā parimāṇena NCit_3.145c	viDinA parimANena NCit-_3.145c
   vidhiyaṃ naiva kāryaṃ hi NCit_1.67c	viDiyam na-eva kAryam hi NCit-_1.67c
   vidhirvā parimāṇaṃ vā NCit_1.100a	viDiH-vA parimANam vA NCit-_1.100a
   vidhivat kakṣaṇādikam NCit_1.109d	viDivat kakzaNa-Adikam NCit-_1.109d
   vidhivat parimāṇañca NCit_3.156c	viDivat parimANaQca NCit-_3.156c
   vilikhayet tathā dhīmān NCit_3.31e	viliKayet taTA DImAn NCit-_3.31e
   vilokya tāni citrāṇi NCit_2.10a	vilokya tAni citrANi NCit-_2.10a
   vividhaṃ lakṣaṇānvitam NCit_1.106d	viviDam lakzaNa-anvitam NCit-_1.106d
   viśālo varttulākāraḥ NCit_3.90c	viSAlaH varttula-AkAraH NCit-_3.90c
   viśeṣaṇa samādaraḥ NCit_1.64b	viSezaNa samAdaraH NCit-_1.64b
   viśruto bhayajinnāmnā NCit_1.9e	viSrutaH Baya-jit-nAmnA NCit-_1.9e
   viśvakarman dvijanmane NCit_1.29c	viSvakarman dvijanmane NCit-_1.29c
   viśvakarmaprajāpatī NCit_1.5b	viSvakarma-prajApatI NCit-_1.5b
   viśvakarma samīpataḥ NCit_1.96b	viSvakarma samIpatas NCit-_1.96b
   viśvakarmasamīpe tu NCit_1.97c	viSvakarma-samIpe tu NCit-_1.97c
   viśvakarmā mudānvitaḥ NCit_1.101b	viSvakarmA mudA-anvitaH NCit-_1.101b
   viśvakṛnnagnajiddeva- NCit_1.7a	viSvakRt-nagnajit-deva NCit-_1.7a
   viṣayastasya śatrubhir NCit_1.16a	vizayaH-tasya SatruBiH NCit-_1.16a
   viṣṇoḥ śivasya cātmanaḥ NCit_2.7b	vizNoH Sivasya ca-AtmanaH NCit-_2.7b
   viṣṇvindrau sūryamagniṃ ca NCit_1.4c	vizNu-indrO sUryam-agnim ca NCit-_1.4c
   viṣmayo ya itaḥ pūrvaṃ NCit_1.21c	vizmayaH yaH itas pUrvam NCit-_1.21c
   vistaraṃ bravīmi te NCit_3.152d	vistaram bravImi te NCit-_3.152d
   vistārasya yathaivārtha NCit_3.7a	vistArasya yaTA-eva-arTa NCit-_3.7a
   vistāraḥ pañcakāṅguliḥ NCit_3.73d	vistAraH paQcaka-aFguliH NCit-_3.73d
   vistāro bhavati dhruvam NCit_3.153b	vistAraH Bavati Druvam NCit-_3.153b
   vistṛtaścakravartināṃ NCit_3.8c	vistRtaH-cakravartinAm NCit-_3.8c
   vījamūlaphalāni ca NCit_1.12d	vIja-mUla-PalAni ca NCit-_1.12d
   vṛddhiḥ kāryā vicārayan NCit_3.108b	vRdDiH kAryA vicArayan NCit-_3.108b
   vṛṣapucchānupūrviyau NCit_3.137a	vRza-pucCa-AnupUrviyO NCit-_3.137a
   vṛṣarājapadonnatiḥ NCit_3.121b	vRza-rAja-pada-unnatiH NCit-_3.121b
   vṛṣavadānanaṃ kharam NCit_3.122b	vRza-vat-Ananam Karam NCit-_3.122b
   vedajño vrataniṣṭhaśca NCit_1.75a	veda-jQaH vrata-nizWaH-ca NCit-_1.75a
   vedavidyāśca kalpanā NCit_2.3d	veda-vidyAH-ca kalpanA NCit-_2.3d
   vedāccitraṃ prajātaṃ vai NCit_1.90c	vedAt-citram prajAtam vE NCit-_1.90c
   vedā yajñāśca bhūpate NCit_1.89b	vedAH yajQAH-ca BUpate NCit-_1.89b
   veśadṛśāṃ gatiṃ cātha NCit_3.123a	veSa-dRSAm gatim ca-aTa NCit-_3.123a
   vaiklavyakāraṇani ca NCit_1.49c	vEklavya-kAraNani ca NCit-_1.49c
   vyavasthā kramaśo yathā NCit_3.104b	vyavasTA kramaSas yaTA NCit-_3.104b
   vyākulau tī mahāyuddhe NCit_1.37c	vyAkulO tI mahA-yudDe NCit-_1.37c
   śaktiman guṇavan nṛpa NCit_1.24b	Saktiman guNavat nRpa NCit-_1.24b
   śakrasya sarvadevānāṃ NCit_2.7c	Sakrasya sarva-devAnAm NCit-_2.7c
   śakraḥ suvarṣakastathā NCit_1.12b	SakraH suvarzakaH-taTA NCit-_1.12b
   śatasahasravarṣāṇi NCit_1.10c	Sata-sahasra-varzANi NCit-_1.10c
   śatasaṃkhyānvito bhavet NCit_3.158b	Sata-saMKyA-anvitaH Bavet NCit-_3.158b
   śarīraṃ cedasundaram NCit_3.151d	SarIram ced-asundaram NCit-_3.151d
   śarīraṃ taddhi kathyate NCit_3.117d	SarIram tat-hi kaTyate NCit-_3.117d
   śarīraṃ yasya rājendra NCit_3.126c	SarIram yasya rAja-indra NCit-_3.126c
   śarīraṃ snigdhavarṇakam NCit_3.142b	SarIram snigDa-varNakam NCit-_3.142b
   śarīrāṅgavibhūṣaṇau NCit_3.130d	SarIra-aFga-viBUzaNO NCit-_3.130d
   śarīrī na nivartate NCit_1.33b	SarIrI na nivartate NCit-_1.33b
   śaśakaśca daśāṅguliḥ NCit_3.150d	SaSakaH-ca daSa-aFguliH NCit-_3.150d
   śaśakasya samucchrāye NCit_3.159a	SaSakasya samucCrAye NCit-_3.159a
   śāntikāmi mukhaṃ yat syād NCit_3.45a	SAntikAmi muKam yat syAt NCit-_3.45a
   śāstrānusāratastathā NCit_1.6b	SAstra-anusArataH-taTA NCit-_1.6b
   śāssīdaṃ nṛpa niścitam NCit_1.21b	SAssi-idam nRpa niScitam NCit-_1.21b
   śiro 'laṃkaraṇaṃ gatāḥ NCit_3.111b	SiraH alaMkaraNam gatAH NCit-_3.111b
   śīrṣakaṣṭabhujadvandaṃ NCit_3.143c	SIrza-kazwa-Buja-dvandam NCit-_3.143c
