   oṃ namo bhāratyai ||	om namaH BAratyE ||
   ivā[kṣahṛdayā]jñānahṛtakṣamāḥ, kecid bṛhatkathābandhino guṇāḍhyāḥ, kecit	iva-a[kza-hRdayA]-jQAna-hRta-kzamAH, kecid bRhat-kaTA-banDinaH guNa-AXyAH, kecid-
   tiryaggatayo gandhavāhāḥ, kecit kauravasainikā iva droṇāśāsūcakāḥ, kecit	tiryak-gatayaH ganDa-vAhAH, kecid kOrava-sEnikAH iva droNa-ASA-sUcakAH, kecid-
   kumudākarā ivāsoḍhabhāsaḥ kṣaṇam evaṃ sthitā rājaputrāḥ | sā ca	kumuda-AkarAH iva-AsoXa-BAsaH kzaNam evam sTitAH rAja-putrAH | sA ca
   kṣaṇenaikaikaśaḥ samavalokya kumārikā ta(s)māt karṇīrathād avatatāra |	kzaNena-eka-ekaSas samavalokya kumArikA ta(-s)mAt karNIraTAt avatatAra |
   24) atha sā tasyām eva rātrau svapne vālinam ivāṅgadopaśobhitaṃ,	24) aTa sA tasyAm eva rAtrO svapne vAlinam iva-aFgada-upaSoBitaM,
   kuhūmukham iva hārikaṇṭhaṃ, kanakamṛgam iva rāmākarṣaṇanipuṇaṃ, jayantam	kuhUmuKam iva hAri-kaNWaM, kanaka-mRgam iva rAma-AkarzaNa-nipuNaM, jayantam
   iva vacanāmṛtānanditavṛddhaśravasaṃ, kṛṣṇam iva kaṃ saharṣaṃ na kurvantaṃ,	iva vacana-amRta-Anandita-vRdDa-SravasaM, kRzNam iva kam sa-harzam na kurvantaM,
   mahāmegham iva vilasatkarakaṃ, [samudram iva] mahāsattvaṃ, mālinyā	mahA-meGam iva vilasat-karakaM, [samudram iva] mahAsattvan, mAlinyA
   kabarikayā, tuṅgabhadrayā nāsikayā, śoṇenādhareṇa, narmadayā vācā, godayā	kabarikayA, tuFgaBadrayA nAsikayA, SoNena-aDareNa, narmadayA vAcA, godayA
   bhujayā svarvāhinyā kīrtyā ca puṇyamayam iva, ādikandaṃ śṛṅgārapādapasya,	BujayA svarvAhinyA kIrtyA ca puNya-mayam iva, Adi-kandam SRFgAra-pAdapasya,
   rohaṇagiriṃ sakalaguṇaratnasamūhasya, prabhavaśailaṃ sundarakathānadīnāṃ,	rohaNa-girim sakala-guNa-ratna-samUhasya, praBava-SElam sundara-kaTA-nadInAM,
   surabhimāsaṃ vaidagdhyasahakārasya, ādarśatalaṃ saujanyamukhasya,	suraBi-mAsam vEdagDya-sahakArasya, AdarSa-talam sOjanya-muKasya,
   ādikandaṃ vidyālatānāṃ, svayaṃvarapatiṃ sarasvatyāḥ, spardhāgṛhaṃ	Adi-kandam vidyA-latAnAM, svayaMvara-patim sarasvatyAH, sparDA-gRham
   kīrtilakṣmyoḥ, ādigṛhaṃ śīlasaṃpadāṃ, kośam iva mahāsaundaryasya	kIrti-lakzmyoH, Adi-gRham SIla-saMpadAM, koSam iva mahA-sOndaryasya
   tribhuvanalobhanīyākṛtiṃ yuvānaṃ dadarśa |	triBuvana-loBanIya-AkRtim yuvAnam dadarSa |
   25) "sa Cintāmaṇināmno rājñas tanayaḥ Kandarpaketur nāmeti" sā svapna eva	25) "sa CintAmaNi-nAmnaH rAjQaH tanayaH KandarpaketuH nAma-iti" sA svapne eva
   nāmādikam aśrauṣīt | anantaraṃ "aho prajāpate rūpanirmāṇakauśalam idaṃ,	nAma-Adikam aSrOzIt | anantaram "aho prajApate rUpa-nirmANa-kOSalam idaM,
   manye svasyaiva naipuṇyasya saundaryadarśanotsukamanasā kamalabhuvā	manye svasya-eva nEpuNyasya sOndarya-darSana-utsuka-manasA kamala-BuvA
   jagattrayasamavāye rūpaparamāṇūn ādādya viracito 'yam anyathā katham ayam	jagattraya-samavAye rUpa-paramANUn AdAdya viracitaH ayam anyaTA kaTam ayam
   asya kāntiviśeṣa" iti, "vṛthaiva damayantī nalasya kṛte vana[vāsa]vaiśasam	asya kAnti-viSeza" iti, "vRTA-eva damayantI nalasya kRte vana[vAsa]-vESasam
   avāpa, mudhaivendumatī mahiṣy apy ajānurāgiṇī babhūva, aphalam iva	avApa, muDA-eva-indumatI mahizI api aja-anurAgiNI baBUva, aPalam iva
   duṣyantasya kṛte śakuntalāpi durvāsasaḥ śāpam anubabhūva, nirarthakam iva	duzyantasya kRte SakuntalA-api durvAsasaH SApam anubaBUva, nirarTakam iva
   madanamañjukā naravāhanadattaṃ cakame, niṣkāraṇam	madanamaQjukAH naravAhanadattam cakame, nizkAraNam
   evorugarimanirjitarambhā[rambhā] nalakūbaram acīkamata, viphalam eva	eva-uru-j-arima-nirjita-ramBA[ramBA] nalakUbaram acIkamata, viPalam eva
   dhūmorṇā svayaṃvarārthagatadevagrahagandharvasahasreṣu dharmarājam	DUmorNA svayaMvara-arTa-gata-deva-graha-ganDarva-sahasrezu DarmarAjam
   akāṅkṣateti" bahudhiyā cintayantī virahamurmuramadhyam ārūḍheva	akAFkzata-iti" bahu-DiyA cintayantI viraham-urmura-maDyam ArUXA-iva
   vāḍavāgniśikhā[kavaliteva], kālāgnirudrapāvakagrasteva,	vAxava-agni-SiKA[ka-valitA-iva], kAlAgni-rudra-pAvaka-graH-teva,
   pātālaguhāpraviṣṭeva, [śūnyakaraṇa]grāmālikhitam iva, utkīrṇam iva,	pAtAla-guhA-pravizwA-iva, [SUnya-karaNa-]grAma-AliKitam iva, utkIrNam iva,
   nigalitam iva, vajralepaghaṭitam iva, astipañjarapraviṣṭam iva,	nigalitam iva, vajra-lepa-Gawitam iva, asti-paQjara-pravizwam iva,
   marmāntarāsthitam iva, [majjārasaśabalitam iva], prāṇaparītam iva,	marma-antara-AsTitam iva, [majjA-rasa-Sabalitam iva], prANa-parItam iva,
   antarātmānam adhiṣṭhitam iva, rudhirāśayadravībhūtam iva,	antarAtmAnam aDizWitam iva, ruDira-ASaya-dravIBUtam iva,
   palalasaṃvibhaktam iva Kandarpaketuṃ manyamānā, unmatteva, badhireva,	palala-saMviBaktam iva Kandarpa-ketum manyamAnA, unmattA-iva, baDirA-iva,
   mūkeva, śūnyeva, nirastakaraṇagrāmeva, mūrcchāgṛhīteva, grahagrasteva,	mUkA-iva, SUni-eva, nirasta-karaNa-grAmA-iva, mUrcCA-gRhIta-iva, graha-grastA-iva,
   yauvanasāgarataraṅgaparamparāparigateva, rāgarajjubhir apavāriteva,	yOvana-sAgara-taraFga-paramparA-parigatA-iva, rAga-rajjuBiH apavAritA-iva,
   kandarpakusumabāṇaiḥ kīliteva, śṛṅgāraviṣaghūrṇiteva,	kandarpa-kusuma-bANEH kIlitA-iva, SRFgAra-viza-GUrNitA-iva,
   rūpaparibhāvanaśalyakhilliteva, malayānilāhatajīviteva "priyasakhy	rUpa-pariBAvana-Salya-KillitA-iva, malaya-anila-Ahata-jIvitA-iva "priya-saKy
   Anaṅgalekhe vitara[me] hṛdaye pāṇipādaṃ duḥsaho virahasantāpaḥ, mugdhe	AnaFga-leKe vitara[me] hRdaye pANi-pAdam duHsahaH viraha-santApaH, mugDe
   Madanamañjari siñca candanodakena, sarale Vasantasene saṃvṛṇu	MadanamaQjari siQca candana-udakena, sarale Vasantasene saMvRNu
   keśakalāpapāśam, tarale Lavaṅgavati vikira ketakadhūliṃ, Mālini alaṃ	keSa-kalApa-pASam, tarale La-vaFgavati vikira ketaka-DUliM, MAlini alam
   śaivaladalena, capale Citralekhe likha citre cittacoraṃ janaṃ, bhāmini	SEvala-dalena, capale Citra-leKe liKa citre citta-coram janaM, BAmini
   Vilāsavati vikṣipa muktācūrṇanikaram, rāgiṇi Rāgalekhe sthagaya	VilAsavati vikzipa muktA-cUrNa-nikaram, rAgiNi RAga-leKe sTagaya
   nalinīdalasamūhena payodharabharam, sukānte Kāntimati mandaṃ mandam	nalinI-dala-samUhena payoDara-Baram, sukAnte KAntimati mandam mandam
   apanaya bāṣpabindūn, yū(thi)kālaṅkṛte Yū(thi)ke sañcāraya	apanaya bAzpa-bindUn, yU(Ti)ka-alaFkRte YU(Ti)ke saQcAraya
   nalinīdalārdravātān, ehi bhagavati nidre anugṛhāṇa mām, dhig indriyair	nalinI-dala-Ardra-vAtAn, ehi Bagavati nidre anugRhANa mAm, Dik indriyEH-
   aparaiḥ, kim iti locanamayāni mamāṅgāni vidhinā na kṛtāni, bhagavan	aparEH, kim iti locana-mayAni mama-aFgAni viDinA na kRtAni, Bagavan
   kusumāyudha tavāyam añjalir anucaro, bhava bhāvavati tādṛśe jane,	kusumAyuDa tava-ayam aQjaliH anucaro, Bava BAvavati tAdRSe jane,
   [malayānila] suratotkaṇṭhadīkṣāguro vaha yatheccham" iti bahuvidhaṃ	[malayA-anila] surata-utkaNWa-dIkzA-guro vaha yaTecCam" iti bahuviDam
   bhāṣamāṇā Vāsavadattā sakhījanena samaṃ mumūrccha |	BAzamANA VAsavadattA saKI-janena samam mumUrcCa |
   26) anantaraṃ parijanaprayatnocchvāsitajīvitā ca, kṣanam	26) anantaram parijana-prayatna-ucCvAsita-jIvitA ca, kzanam
   atiśiśiraghanasārarajonimnagākūlapuline, kṣanam atituhinajaḍamalayarajasaḥ	ati-SiSira-GanasAra-rajaH-nimnagA-kUla-puline, kzanam ati-tuhina-jaxa-malaya-rajasaH
   saritparisare, kṣaṇam aravindakānanaparivāritasarastaṭaviṭapacchāyāsu,	sarit-parisare, kzaNam aravinda-kAnana-parivArita-saraH-tawa-viwapa=-CAyAsu,
   kṣaṇam anilollāsitadaleṣu kadalīkānaneṣu, kṣaṇaṃ kusumaśayyāsu, kṣaṇaṃ	kzaNam anila-ullAsita-dalezu kadalI-kAnanezu, kzaNam kusuma-SayyA-asu, kzaNam
   nalinīdalasrastareṣu, kṣaṇaṃ tuṣārasaṃghātaśiśiritaśilātaleṣu parijanena	nalinI-dala-srastarezu, kzaNam tuzAra-saMGAta-SiSirita-SilA-talezu parijanena
   nīyamānā, pralayakāloditadvādaśaravikiraṇakalāpatīvravirahāgnidahyamānā	nIyamAnA, pralaya-kAla-udita-dvAdaSa-ra-vikiraNa-kalApa-tIvra-viraha-agni-dahyamAnA
   satī, atikṛśāṃ viprāṇām iva tanuṃ bibhratī,	satI, ati-kRSAm viprANAm iva tanum biBratI,
   pracaladamandamandarāndolitaduḥkhasindhutaralatarataraṅgacchaṭādhavalahāsacchuritādharapallavaṃ	pracalat-amanda-mandara-andolita-duHKa-sinDu-taralatara-taraFga=-CawA-Dava-la-hAsa=-Curita-aDara-pallavam
   tanmukhāravindaṃ, dvijakulam iva śrutipraṇayi tadīkṣaṇayugalaṃ,	tad-muKa-aravindan, dvija-kulam iva Sruti-praNayi tad-IkzaNa-yugalaM,
   sahajasurabhimukhaparimalāmodam āghrātukāmā sudūranirgatanāsāvaṃśalakṣmīḥ,	sahaja-suraBi-muKa-parimala-Amodam AGrAtu-kAmA sudUra-nirgata-nAsA-vaMSa-lakzmIH,
   kalaṅkamuktendukalākomalā, pīyūṣaphenapaṭalapāṇdurāsyadvijapaṅktiḥ,	kalaFka-muktA-indu-kalA-komalA, pIyUza-Pena-pawala-pANdurAsya-dvija-paFktiH,
   tadadṛṣṭacaram anaṅgam atiśayānaṃ rūpaṃ, dhanyāni tāni [sthānāni] te ca	tat-adRzwa-caram anaFgam atiSayAnam rUpaM, DanyAni tAni [sTAna-ani] te ca
   janapadāḥ, puṇyanāmākṣarāṇi ca tāni sukṛtabhāñji yāny amunā pariṣkṛtānīti	janapadAH, puNya-nAma-akzarANi ca tAni su-kRta-BAQji yAni amunA parizkRtAni-iti
   muhur muhuḥ paribhāvayantī, dikṣu vilikhitam iva, nabhasy utkīrṇam iva,	muhur muhur pariBAvayantI, dikzu viliKitam iva, naBasi utkIrNam iva,
   locane pratibimbitam iva, citrapaṭalikhitam iva, puro darśitam ivetas tato	locane pratibimbitam iva, citra-pawaliKitam iva, puras darSitam iva-itas tatas-
   vilokayantī vyatiṣṭhata |	vilokayantI vyatizWata |
   27) atha tasyāḥ sārikā Tamālikā nāma tatsakhībhiḥ sahālocya Kandarpaketor	27) aTa tasyAH sArikA TamAlikA nAma tad-saKIBiH saha-Alocya Kandarpa-ketoH-
   bhāvam ākalayituṃ [pra]sthitā | āgatā ca mayaiva sārdham atraiva taror	BAvam Akalayitum [pra]sTitA | AgatA ca mayA-eva sArDam atra-eva taroH-
   adhas tiṣṭhatīty" uktvā virarāma |	aDas tizWati-iti-" uktvA virarAma |
   28) atha saharṣam utthāya Makarando viditavṛttāntāṃ Tamālikām akarot | sā	28) aTa saharzam utTAya MakarandaH vidita-vRttAntAm Ta-mAlikAm akarot | sA
   ca kṛtapraṇāmā Kandarpaketave patrikām upānayata | atha sa tāṃ svayam	ca kRta-praNAmA Kandarpa-ketave patrikAm upAnayata | aTa sa tAm svayam
   avācayata |	avAcayata |
        pratyakṣadṛṣṭabhāvāpy asthirahṛdayā hi kāminī bhavati /	pratyakza-dRzwa-BAvA-api asTira-hRdayA hi kAminI Bavati /
        svapnānubhūtabhāvā draḍhayati na pratyayaṃ yuvatiḥ // SuVas_19 //	svapna-anuBUta-BAvA draXayati na pratyayam yuvatiH // SuVaH-_19 //
   29) tac chrutvā Kandarpaketur amṛtārṇavamagnam iva sarvānandānām upari	29) tat SrutvA Kandarpa-ketuH amRta-arNava-magnam iva sarva-AnandAnAm upari
   vartamāno mandaṃ mandam utthāya prasāritabāhuyugalas tām āliliṅga | atha	vartamAnaH mandam mandam utTAya prasArita-bAhu-yugalaH tAm AliliFga | aTa
   tayaiva sārdhaṃ samāsīnaḥ "kiṃ vadati, kiṃ karoti, katham āsta" ityādi	tayA-eva sArDam samAsInaH "kim vadati, kim karoti, kaTam Asta" ityAdi
   sakalaṃ vṛttāntaṃ pṛcchaṃs tāṃ niśāṃ dinam apy ativāhya cacāla	sakalam vRttAntam pRcCan tAm niSAm dinam api ativAhya cacAla
   Kandarpaketuḥ | atrāntare bhagavān api marīcimālī enaṃ vṛttāntam iva	KandarpaketuH | atra-antare BagavAn api marIci-mAlI enam vRttAntam iva
   kathayituṃ madhyamaṃ lokam avātarat |	kaTayitum maDyamam lokam avAtarat |
   30) atha vāsaratāmracūḍacakrākāraḥ cakravākacakrasaṅkramitasantāpatayeva	30) aTa vAsara-tAmra-cUxa-cakra-AkAraH cakravAka-cakra-saFkramita-santApatayA-iva
   mandimānam udvahanmandārastabakasundaraḥ,	mandimAnam udvahan-mandAra-stabakasundaraH,
   sindūrāhatasuragajakumbhavibhramaṃ bibhrāṇaḥ,	sindUra-Ahata-suragaja-kumBa-viBramam biBrANaH,
   tāṇḍavacaṇḍavegocchalitadhūrjaṭijaṭājūṭakūṭabandhabandhuravikaṭavāsukibhogamaṇitāṭaṅkasaṅkāśanābhimaṇḍalaḥ,	tANxava-caNxa-vega-ucCalita-DUrjawi-jawA-jUwa-kUwa-banDa-banDura-vikawa-vAsuki-Boga-maNita-AwaFka-saFkASa-nABi-maNxalaH,
   sandhyāsandhinīsarasayāvakapaṭacāruḥ, vāruṇivāravilāsinīmaṇikuntalakāntiḥ,	sanDyA-sanDinI-sarasa-yAvaka-pawa-cAruH, vAruNi-vAra-vilAsinI-maNi-kuntala-kAntiH,
   dinakaracchinnavāsarakabandhacakrākaraḥ, madhupūrṇakapāla iva	dinakara=-Cinna-vAsaraka-banDa-cakra-AkaraH, maDu-pUrNa-kapAlaH iva
   kālakapālinaḥ, amlānakusumastabaka iva śriyaḥ, gaganāśokatarustabakaḥ	kAlakapAlinaH, amlAna-kusuma-stabakaH iva SriyaH, gagana-aSoka-taru-stabakaH
   [iva], kanakadarpaṇa iva pratīcīvilāsinyāḥ, balabhadra iva vāruṇīsaṅgataḥ	[iva], kanaka-darpaNaH iva pratIcIvilAsinyAH, balaBadraH iva vAruNI-saFgataH
   sarāgaś ca, durvidha iva parityaktavasuḥ saviṣādaś ca, śā(kya) iva	sa-rAgaH ca, durviDaH iva parityakta-vasuH sa-vizAdaH ca, SA(kya) iva
   raktāṃśukadharaḥ, saṃjñopeto bhagavān caramārṇavapayasi	rakta-aMSuka-DaraH, saMjQA-upetaH BagavAn carama-arNava-payasi
   taralataraṅgavegocchalitavidrumavikaṭākṛtir mamajja |	tarala-taraFga-vega-ucCalita-vidruma-vikawa-AkRtiH mamajja |
   31) krameṇa ca	31) krameNa ca
   rajoluṭhitotthitakulāyārthikalahavikalakalaviṅkakulakalakalavācālitaśikhareṣu	rajaH-luWita-utTita-kulAya-arTi-kalaha-vikala-kalaviFka-kula-kala-kalava-AcAlita-SiKarezu
   śikhariṣu, vasatisākāṅkṣeṣu dhvāṅkṣeṣu,	SiKarizu, vasati-sAkAFkzezu DvAFkzezu,
   anavaratadahyamānakālāgurudhūpaparimalodgāreṣu vāsāgāreṣu,	anavarata-dahyamAna-kAlAguru-DUpa-parimala-udgArezu vAsa-AgArezu,
   dūrvānvitataṭinībaddhagoṣṭhīkavidagdhajanaprastūyamānakathāśravaṇotsukaśiśujanakalakalanivāraṇakupitaśraddheṣu	dUrvA-anvita-tawinI-badDa-gozWIka-vidagDa-jana-prastUyamAna-kaTA-SravaNa-utsuka-SiSujana-kalakala-nivAraNa-kupita-SradDezu
   vṛddheṣu, ālolikātaralarasanābhiḥ kathitakathābhir jaratībhir	vRdDa-izu, AlolikA-tarala-rasa-nABiH kaTita-kaTABiH jaratIBiH-
   atilaghukaratāḍanajanitasukhe, śiśayiṣamāṇaśiśujane,	ati-laGu-kara-tAxana-janita-suKe, SiSayizamANa-SiSu-jane,
   viracitakandarpamudrāsu kṣudrāsu,	viracita-kandarpa-mudrAsu kzudrAsu,
   kāmukajanānubaddhyamānadāsījanavividhāślīlavacanaśrutivirasīkṛtasandhyāvandanopaviṣṭeṣu	kAmuka-jana-anubadDyamAna-dAsI-jana-viviDa-aSlIla-vacana-Sruti-virasIkRta-sanDyA-vandana-upavizwezu
   śiṣṭeṣu,	Sizwa-izu,
   romanthamantharakuraṅgakuṭumbakādhyāsyamānamradiṣṭhagauṣṭhīnapṛṣṭhāsv	romanTa-manTara-kuraFga-kuwumbaka-aDyAsya-mAnamra-dizWa-gOzWIna-pRzWAsu-
   araṇyasthalīṣu, nidrāvinidrāṇadroṇakulakalitakulāyeṣv ārāmataruṣu,	araNya-sTalIzu, nidrA-vinidrANa-droNa-kula-kalita-kulAyezu ArAma-taruzu,
   nirjigamiṣati jarattarukoṭarakuṭīrakuṭumbini kauśikakule,	nirjigamizati jarat-taru-kowara-kuwIra-kuwumbini kOSika-kule,
   timiratarjananirgatāsu dahanapraviṣṭadinakarakiraṇāsv iva sphurantīṣu	timira-tarjana-nirgatAsu dahana-pravizwa-dinakara-kiraNAsu iva sPurantIzu
   dīpalekhāsu, mukharitadhanuṣi varṣati śaranikaram anavaratam	dIpa-leKA-asu, muKarita-Danuzi varzati Sara-nikaram anavaratam
   aśeṣasaṃsāraśemuṣīmuṣi makaradhvaje, suratārambhākalpaśobhini,	aSeza-saMsAra-SemuzI-muzi makaraDvaje, surata-AramBa-Akalpa-SoBini,
   śambhalībhāṣitabhāji bhajati bhuṣāṃ bhujiṣyajane,	SamBalI-BAzita-BAji Bajati BuzAm Bujizyajane,
   sairandhrībadhyamānaraśanājālajalpākajaghanāsu janīṣu,	sEranDrI-baDyamAna-raSanA-jAla-jalpAka-jaGanAsu janIzu,
   viśrāntakathānubandhatayā pravartamānakathakajanagṛhagamanatvareṣu	viSrAnta-kaTA-anubanDa-tayA pravartamAna-kaTaka-jana-gRha-gamana-tvarezu
   catvareṣu, samāvāsitakukk(u)ṭeṣu niṣkuṭeṣu, kṛtayaṣṭisamārohaṇeṣu	catvara-izu, samAvAsita-kukk(u)wezu nizkuwezu, kRta-yazwi-samArohaNezu
   barhiṇeṣu, vihitasandhyāsamayavyavasthiteṣu gṛhasthaleṣu,	barhiNezu, vihita-sanDyA-samaya-vyavasTitezu gRhasTalezu,
   saṅkocodañcaduccakesarakoṭisaṅkaṭakuśeśayakośakoṭarakuṭhīraśāyini	saFkoca-udaQcat-ucca-kesara-kowi-saFkawa-kuSeSaya-koSa-kowara-kuWIra-SAyini
   ṣaṭcaraṇacakre, athānena pravartatā [vartmanā] bhagavatā bhānunā	zaz-caraNa-cakre, aTa-anena pravartatA [vartmanA] BagavatA BAnunA
   [ā]gantavyam iti sarvapaṭṭamayair vasanair iva maṇikuṭṭimābhir	[A]gantavyam iti sarva-pawwa-mayEH vasanEH iva maNi-kuwwimABiH-
   viracitavaruṇena, bhagavatā kālena kṛttasya divasamahiṣasya	viracita-varuNena, BagavatA kAlena kRttasya divasa-mahizasya
   rudhi(ra)dhāreva, vidrumalatevāmbaramahārṇavasya, raktakamalinīva	ruDi(ra)DArA-iva, vidrumala-tA-iva-ambara-mahA-arNavasya, rakta-kamalinI-iva
   gaganataḍākasya, kāñcanasetur iva kandarpasya, mañjiṣṭhārāgāruṇapatākeva	gagana-taxAkasya, kAQcana-setuH iva kandarpasya, maQjizWA-rAga-aruNa-patAkA-iva
   gaganaharmyatalasya, lakṣmīr iva svayaṃvaragṛhītapītāmbarasya, bhikṣukīva	gagana-harmya-talasya, lakzmIH iva svayaMvara-gRhIta-pIta-ambarasya, BikzukI-iva
   tārānurāgaraktā, raktāmbaradhāriṇīva bhagavatī sandhyā samadṛśyata |	tAra-anurAga-raktA, rakta-ambara-DAriNI-iva BagavatI sanDyA samadRSyata |
   32) kṣaṇena ca kṣaṇadārāgaracanācaturāsu sandhyāśiṣyāsv iva veśyāsu	32) kzaNena ca kzaNadA-rAga-racanA-caturAsu sanDyA-SizyAsu iva veSyAsu
   tulādhāraśūnyāyāṃ paṇyavīthyām iva divi, ghanaghanāyamānadalapuṭāsu	tulADAra-SUnyAyAm paNya-vITyAm iva divi, Gana-GanAyamAna-dala-puwAsu
   puṭakinīṣu, timirapratihasteṣv iva tata itaḥ (pa)ribhramatsu kamalasarasi	puwakinIzu, timira-pratihastezu iva tatas itas (pa)riBramatsu kamala-sarasi
   madhukareṣu, vikalakurarīrutacchalena ravivirahavidhurāsu vilapantīṣv iva	maDukarezu, vikala-kurarIruta=-Calena ravi-viraha-viDurAsu vilapantIzu iva
   sarojinīṣu, kamalinīsandhyārāgarajyamānasalilasthitāsu pativināśahṛtpīḍyā	sarojinIzu, kamalinI-sanDyA-rAga-rajyamAna-salila-sTitAsu pati-vinASa-hRt-pIxyA
   dahanapraviṣṭāsv iva kamalinīṣu, gaṇaka iva nakṣatrasūcake pradoṣasamaye,	dahana-pravizwAsu iva kamalinIzu, gaNakaH iva nakzatra-sUcake pradoza-samaye,
   harakaṇṭhakāṇḍakālimasanābhi, daityabalam iva prakaṭatārakaṃ,	hara-kaNWa-kANxa-ka-ali-masanABi, dEtya-balam iva prakawa-tArakaM,
   bhāratasamaram iva vardhamānolūkakalakalaṃ, dhṛṣṭadyumnavīryam iva	BArata-samaram iva varDamAna-ulUka-kalakalaM, DRzwadyumna-vIryam iva
   kuṇṭhitadroṇaprabhāvaṃ, nandanavanam iva saṃcaratkauśikaṃ,	kuNWita-droNa-praBAvan, nandana-vanam iva saMcarat-kOSikaM,
   kṛṣṇavartmevākhilakāṣṭhāpahārakaṃ, sagarbham iva ghanatarapāṣāṇakarkaśāsu	kRzNavartmA-iva-aKila-kAzWa-apahArakaM, sa-garBam iva Ganatara-pAzANa-karkaSAsu
   giritaṭīṣu, sacakṣur iva suptasiṃhanayanacchavicchaṭākapilikeṣu sānuṣu,	giri-tawIzu, sa-cakzuH iva supta-siMha-nayana=-Cavi=-CawA-kapilikezu sAnuzu,
   sajīvam iva tamomaṇibhiḥ, saṃvardhitam ivāgnihotradhūmalekhābhir māsalitam	sa-jIvam iva tamaH-maNiBiH, saMvarDitam iva-agnihotra-DUma-leKABiH mAsalitam
   iva kāminīkeśapāśasaṃskāradhūpapaṭalaiḥ, uddīpitam iva	iva kAminI-keSa-pASa-saMskAra-DUpa-pawalEH, uddIpitam iva
   ghanataralīnamadhukarapaṭalamecakitapecakikapolataladānadhārāśīkaraiḥ,	Gana-tara-lIna-maDukara-pawala-mecakita-pecaki-kapola-tala-dAna-DArA-SIkarEH,
   puñjīkṛtam iva vitatamālatamālakānanacchāyāsu, līyamānam iva	puQjIkRtam iva vitatamAla-tamAlakAnana=-CAyAsu, lIyamAnam iva
   kajjalarasaśyāmabhogibhogeṣu, prāvaraṇam iva rajanīpāṃsulāyāḥ,	kajjala-rasa-SyAma-Bogi-Boga-izu, prAvaraNam iva rajanI-pAMsulAyAH,
   palitauṣadham iva vṛddhavārayoṣitām, apatyam iva rajanyāḥ, suhṛd iva	palita-OzaDam iva vRdDa-vAra-yozitAm, apatyam iva rajanyAH, suhRd iva
   kalikālasya, mitram iva durjanahṛdayānāṃ, bauddhasiddhāntam iva	kalikA-Alasya, mitram iva durjana-hRdayAnAM, bOdDa-sidDAntam iva
   pratyakṣadravyam apahnuvānaṃ timiram ajṛmbhata |	pratyakza-dravyam apahnuvAnam timiram ajRmBata |
   33) muditam ivātimattamātaṅgamaṇḍalamanoharagaṇḍamaṇḍale, phalitam	33) muditam iva-ati-matta-mAtaFga-maNxala-manohara-gaNxa-maNxale, Palitam
   ivātisāndrabahalacchadavitatatamālakānane, sphuritam	iva-ati-sAndra-bahala=-Cada-vitata-tamAlaka-Anane, sPuritam
   ivātikāntakāntājanaghanatarakeśasaṃhatau, malitam	iva-atikAnta-kAntA-jana-Ganatara-keSa-saMhatO, malitam
   ivendranīlamaṇiraśmibhiḥ, atiśayamāṃsalaṃ tamo 'vaṭataṭāṭavīṣu, sāṭopam	iva-indranIla-maNi-raSmiBiH, atiSaya-mAMsalam tamaH avawa-tawa-awavIzu, sa-Awopam
   atisphuṭapāṭavotkaṭaprakaṭaviśaṅkaṭaikaviṭapotkaṭavinaṭitaṣaṭpadāliṣu,	ati-sPuwa-pAwava-utkawa-prakawa-viSaFkawa-eka-viwapa-utkawa-vinawita-zawpadAlizu,
   ghanataraghoraṃ, atighasmaraviṣadharabhogabhāsuraṃ,	Ganatara-GoraM, ati-Ga-smara-viza-Dara-Boga-BAsuraM,
   madabharamattadantidantadyutitarjanajarjaram | tato niśākarārambhasamaya	mada-Bara-matta-d-anti-danta-dyuti-tarjana-jarjaram | tatas niSAkara-AramBa-samaya
   iva saṃkucatkuvalayavyājaviracitāñjalipuṭe namati tamitimire, kṣaṇena ca	iva saMkucat-kuvalaya-vyAja-viracita-aQjali-puwe namati tam-itimire, kzaNena ca
   sandhyātāṇḍavaḍambarocchalitamahānaṭajaṭājūṭakūṭakuṭilavivaravartijahanukanyāvāridhārābindava	sanDyA-tANxava-xambara-ucCalita-mahA-nawa-jawA-jUwa-kUwa-kuwila-vivara-varti-ja-hanu-kanyA-vAri-DArA-bindava
   iva vikīrṇāḥ,	iva vikIrNAH,
   durdharadharaṇibhārabhugnabhīmadiṅmātaṅgamaṇḍalāmuktaśīkaracchaṭā	durDara-DaraNi-BAra-Bugna-BIma-diS-mAtaFga-maNxala-amukta-SIkara=-CawA
   ivātitatāḥ,	iva-atitatAH,
   atidavīyonabhastalabhramaṇakhinnadinakaraturagavisaravāntaphenastabakā iva	atidavIyaH-naBastala-BramaNa-Kinna-dinakara-turaga-visara-va-anta-Pena-stabakAH iva
   [vistīrṇāḥ], gaganamahāsaraḥkumudakānanasandehadāyinaḥ, viśvaṃ	[vistIrNAH], gagana-mahA-saraH-kumuda-kAnana-sandeha-dAyinaH, viSvam
   gaṇayatovidhātuḥ śaśikamaṭhinīkhaṇḍena tamomaṣīśyāme 'jina iva viyati	gaNayataH-viDAtuH SaSika-maWinI-KaNxena tamaH-mazI-SyAme ajinaH iva viyati
   saṃsārasyātiśūnyatvāc chūnyabindava iva vitatāḥ,	saMsArasya-ati-SUnya-tvAt SUnya-bindavaH iva vitatAH,
