   caturthaḥ paricchedaḥ	caturTaH paricCedaH
   mathnāmītyuktirbādhitārthā /	maTnAmi-iti-uktiH-bADita-arTAH /
        ato nañaḥ śiraścālanasahakṛtā kākuḥ pratīyate /	atas naQaH SiraH-cAlana-sahakRtA kAkuH pratIyate /
        tayā vyañjanayā aparanañor'thopasthāpanāt na mathnāmītyartho labhyate	tayA vyaQjanayA apara-naQor-aTa-upasTApanAt na maTnAmi-iti-arTaH laByate
        tacca mathanāyogavyavacchedarūpam /	tat-ca maTana-ayoga-vyavacCeda-rUpam /
        tadāha---atra mathnāmyeveti /	tat-A-aha---atra maTnAmi-eva-iti /
        ādipadāt pibāmyeva ityādikaṃ bodhyam /	Adi-padAt pibAmi-eva iti-Adikam boDyam /
        ityādi vyaṅgyamiti---ityādi ekadeśarūpaṃ vyaṅgyamityevārthaḥ /	ityAdi vyaFgyam-iti----ityAdi eka-deSa-rUpam vyaFgyam-iti-eva-arTaH /
        evakārārthaka nañdvaye ekanañarthasyaiva vyaṅgyatvāt /	eva-kAra-arTaka nan-dvaye ekanaQarTasya-eva vyaFgya-tvAt /
        Locanā:	LocanA:
        (lo, o) sahabhāvenaiva sthitamityanena dhvanitvanirāsaḥ /	(lo, o) sahaBAvena-eva sTitam-iti-anena Dvani-tva-nirAsaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "dīpayan rodasīrandhrameṣa jvalati sarvataḥ /	"dIpayan rodasI-ranDram-eza jvalati sarvatas /
   pratāpastava rājendra ! vairivaṃśadavānalaḥ" //	pratApaH-tava rAja-indra ! vEri-vaMSa-dava-analaH" //
   atrānvayasya veṇutvāropaṇarūpo vyaṅgyaḥ pratāpasya	atra-anvayasya veNu-tva-AropaNa-rUpaH vyaFgyaH pratApasya
   dāvānalatvāropasiddhyaṅgam /	dAva-anala-tvAra-upasidDi-aFgam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ca) vācyasiddhyaṅgamudāharati---anupannasya vācyārthasya yad	(vi, ca) vAcya-sidDi-aFgam-udAha-rati---anupannasya vAcya-arTasya yat-
   vyaṅgyānvayenaiva siddhiḥ tādṛśaṃ vyaṅgyaṃ vācyasiddhyaṅgam /	vyaFgya-anvayena-eva sidDiH tAdRSam vyaFgyam vAcya-sidDi-aFgam /
        dīpayanniti---ropasīrandhraṃ dyāvāpṛthivyorantarālam /	dIpayan=-iti---ra-upasI-ranDram dyAvApRTivyoH-antarAlam /
        atreti /	atra-iti /
        anvayasāya vairikulasya vaṃśapadavācyasya veṇutvaropaṇarūpo vyaṅgaya	anvayasAya vEri-kulasya vaMSa-pada-vAcyasya veNu-tva-ropaNa-rUpaH vyaFgaya
   iti kulaveṇudvayārthakasya vaṃśapadasya prakaraṇāt kule niyantraṇena veṇo	iti kula-veNu-dvaya-arTakasya vaMSapadasya prakaraNAt kule niyantraNena veNaH-
   stad vyaṅgyatvena tadrūpaṇasyāpi vyaṅgyatvāt davānalatvāropasiddhyaṅgamiti	stat vyaFgya-tvena tad-rUpaNasya-api vyaFgya-tvAt dava-anala-tva-Ara-upasidDi-aFgam-iti
   kule davā nalavādhena veṇāveda tad bādhāt /	kule davA nala-vADena veNa-aveda tat bADAt /
        atredamavadheyam /	atra-idam-avaDeyam /
        yadi prakaraṇavaśāt anekārthasya vaṃśapadasya prathamaṃ	yadi prakaraNa-vaSAt aneka-arTasya vaMSapadasya praTamam
   kulabodhakatvam; tadaiva veṇurūpor'tho vyaṅgyo bhavati tadeva tu na;	kula-boDaka-tvam; tadA-eva veNu-rUpor-aTo vyaFgyaH Bavati tat-eva tu na;
   davānalasya kule bhādhāt /	dava-analasya kule BADAt /
        kintu kulaveṇyorubhayorekadā eva davānalānvayārthaṃ tātparyyād	kintu kula-veNyoH-uBayoH-ekadA eva dava-anala-anvaya-arTam tAtparyyAt-
   vaṃśayorupasthityā arthadvayameva vācyam /	vaMSayoH-upasTityE arTa-dvayam-eva vAcyam /
        natu veṇurūpor'tho vyaṅgyastathā ca paramparitarūpamevedaṃ	na-tu veNu-rUpor-aTo vyaFgyaH-taTA ca paramparita-rUpam-eva-idam
   veṇutvarūpaṇasya davānalarūpaṇakāraṇatvāt tad vakṣyati svayameva--- "yatra	veNu-tva-rUpaNasya dava-anala-rUpaNa-kAraNa-tvAt tat vakzyati svayam-eva-- "yatra
   kasyacidāropaḥ parāropasya kāraṇam /	kasyacid-AropaH parAropasya kAraNam /
        tat paramparitam /	tat paramparitam /
        iti /	iti /
        udāhariṣyati ca--- "āhave jagaduddaṇḍarājamaṇḍalarāhave /	udAharizyati ca-- "a-Ahave jagat-uddaNxa-rAja-maNxala-rAhave /
        śrīnṛsiṃhamahīpāla ! svaststu tava bāhave //	SrI-nRsiMha-mahIpAla ! svastH-tu tava bAhave //
        "iti atra hi rājamaṇḍalasya grāsakarūpasambandhitayā rāhuvādhāt bāhau	"iti atra hi rAja-maNxalasya grAsaka-rUpa-sambanDi-tayA rAhu-vADAt bAhO
   rāhurūpaṇamanupapannamato nṛpamaṇḍale candramaṇḍalatvasyāropo bāhau	rAhu-rUpaNam-anupapannam-atas nRpa-maNxale candra-maNxalatvasya-AropaH bAhO
   rāhurupaṇakāraṇamiti /	rAhuH-upaNa-kAraNam-iti /
        ata eva kāvyaprakāśakṛtāpi sadvaṃśamuktāmaṇirityatra rājño	atas eva kAvya-prakASa-kRtA-api sat-vaMSa-muktA-maNiH-iti-atra rAjQaH-
   muktāmaṇyāropaṇasya satkule bādhāt satkule saha veṇuropaṇaṃ	muktAmaNya-AropaNasya sat-kule bADAt sat-kule saha veNu-ropaNam
   tatkāraṇamityuktam /	tad-kAraNam-iti-uktam /
        ato dīpayan rodasīrandhramityādikaṃ paramparitarūpakodāharaṇameva, na	atas dIpayan rodasI-ranDram-iti-Adikam paramparita-rUpaka-udAharaNam-eva, na
   vācyasiddhyaṅgodāharaṇam /	vAcya-sidDi-aFga-udAharaNam /
        anyathā svokteḥ kāvyaprakāśakṛdukteśca virodhāpatteḥ /	anyaTA sva-ukteH kAvya-prakASa-kRt-ukteH-ca viroDa-ApatteH /
        na hi dīpayan ityādau āhave jagaduddaṇḍetyādau ca ekasya	na hi dIpayan ityAdO Ahave jagat-uddaNxa-iti-AdO ca ekasya
   vācyasiddhyaṅgatvamanyasya paramparitarūpakatvamityatravinigamakaṃ nāsti /	vAcya-sidDi-aFga-tvam-anyasya paramparita-rUpaka-tvam-iti-atra-vinigamakam na-asti /
        vācyasiddhyaṅgodāharaṇaṃ tu-- "gacchāmyacyuta ! darśanena bhavataḥ	vAcya-sidDi-aFga-udAharaNam tu- "gacCAmi-acyuta ! darSanena BavataH
   kiṃ tṛptirutpadyate kintvevaṃ vijanasthagrerhatajanaḥ sambhāvayatyanyathā	kim tRptiH-utpadyate kintu-evam vijana-sTagreH-hata-janaH samBAvayati-anyaTA
        ityāmantraṇabhaṅgisūcitavṛthāvasthānakhedāhasā-- māśliṣyan	iti-AmantraNa-BaFgi-sUcita-vRTa-avasTAna-Keda-ahasA- mASlizyan
   pulakotkarāñcitatanugopī hariḥ pātu vāḥ //	pulaka-utkara-AQcita-tanu-gopI hariH pAtu vAH //
        "iti kāvyaprakāśakṛdbhirdattamevānveṣṭavyam /	"iti kAvya-prakASa-kRdBiH-dattam-eva-anvezwavyam /
        tathā hi ityāmantraṇetyādirvācyārthaḥ /	taTA hi iti-AmantraNa-ityAdiH-vAcya-arTaH /
        pūrvārddhāmantraṇetyādivākyārthasya apratītikāle	pUrva-ardDAmantraNA-ityAdi-vAkya-arTasya apratIti-kAle
   asiddhestad-vyaṅgyārthasya he acyuta ! madvidhanāyikādarśanenāpi	asidDeH-tat--vyaFgya-arTasya he acyuta ! madviDa-nAyikA-darSanena-api
   dhairyyacyutarahita ityevaṃvidhāyāḥ bhaṅgyāḥ pratītyaiva siddhayati /	DEryya-cyuta-rahitaH iti-evaMviDAyAH BaFgyAH pratItya-eva sidDayati /
        na ca nṛpamaṇḍale candramaṇḍalāropaṇamapi vyaṅgyaṃ sadevālaṅkāraḥ /	na ca nRpa-maNxale candra-maNxala-AropaNam-api vyaFgyam sa-deva-alaFkAraH /
        tathā ca paramparitarūpakālaṅkāravācyasiddhyaṅgayoḥ saṃkara eveti	taTA ca paramparita-rUpakAlaFkAra-vAcya-sidDi-aFgayoH saMkaraH eva-iti
   vācyam /	vAcyam /
        vyaṅgyatve 'laṅkāratvābhāvasya brahmaṇaśramaṇetyādinā eva uktatvāt /	vyaFgya-tve alaFkAra-tva-aBAvasya brahmaNa-SramaNa-ityAdinA eva ukta-tvAt /
        prathamaṃ nṛpamaṇḍale rāhoranvayāsambhāvena rājamaṇḍalapadādekadaiva	praTamam nRpa-maNxale rAhoH-anvayA-samBAvena rAja-maNxala-padAt-ekadA-eva
   nṛpacandramaṇaaḍalayoḥ upasthityā drayorapi vācyatvācca /	nRpa-candra-maNa-a-xalayoH upasTityA drayoH-api vAcya-tvAt-ca /
        nanu tatkatham--- bhramimaratimalasahṛdayatāṃ praṇayaṃ mūrcchāṃ tamaḥ	nanu tat-kaTam--- Bramim-arati-mala-sahRdaya-tAm praNayam mUrcCAm tamaH
   śarīrasādam /	SarIra-sAdam /
        maraṇaṃ ca jaladadabhujagajaṃ prasahya kurute viṣaṃ viyoginīnām /	maraNam ca jaladada-Buja-ga-jam prasahya kurute vizam viyoginInAm /
        "ityatra viśeṣajale rūpetaṃ halāhalaṃ vyaṅgyaṃ	"iti-atra viSeza-jale rUpetam halAhalam vyaFgyam
   bhujagarupaṇasiddhikṛdityuktyā halāhalasya vyaṅgyatvamuktvā	Bujagaru-paNa-sidDi-kRt-iti-uktyA halAhalasya vyaFgya-tvam-uktvA
   kāvyaprakāśakṛtā vācyasiddhyaṅgodāharaṇatvena taduktamiti cenna /	kAvya-prakASa-kRtA vAcya-sidDi-aFga-udAharaNa-tvena tat-uktam-iti ced-na /
        tatra uddīpakatayā prākaraṇikamanekārthasya viṣaśabdasyārtho jalam	tatra uddIpaka-tayA prAkaraNikam-aneka-arTasya viza-Sabdasya-arTaH jalam
   ityato 'prākaraṇikaṃ halāhalaṃ vyaṅgyamityuktam /	iti-atas aprAkaraNikam halAhalam vyaFgyam-iti-uktam /
        na ca dīpayannityatrāpi prākaraṇikatvena vaṃśapadārthakulavācyaṃ	na ca dIpayan=-iti-atra-api prAkaraNika-tvena vaMSa-padArTa-kula-vAcyam
   veṇustu aprākaraṇiko vyaṅgya eveti vācyam /	veNuH-tu aprAkaraNikaH vyaFgyaH eva-iti vAcyam /
        davānalarūpaṇasyāpi tātparyyaviṣayatvena tasya kule bādhena	dava-anala-rUpaNasya-api tAtparyya-vizaya-tvena tasya kule bADena
   tadupapādanatayā veṇorapi prākaraṇikatvāt /	tad-upapAdana-tayA veNoH-api prAkaraNika-tvAt /
        anyathā "āhave jagaduddaṇda"ityādāvapi paramparitarūpakaṃ na syāt /	anyaTA "Ahave jagat-uddaNda"-iti-AdO=-api paramparita-rUpakam na syAt /
        kintu vācyasiddhyahgameva tadapi syāt /	kintu vAcya-sidDi-ahgam-eva tat-api syAt /
        bhramimaratimityādau tu jalade bhujagarūpaṇaṃ śyāmatvenāpakāritvena	Bramim-aratim-ityAdO tu jalade Bujaga-rUpaNam SyAma-tvena-apakAri-tvena
   ca jale halāhalarūpaṇaṃ vināpi āpātataḥ siddhatyeveti	ca jale halAhala-rUpaNam vinA-api ApAtataH sidDati-eva-iti
   halāhalamaprākaraṇikamityato vyaṅgyameva /	halAha-lam-aprAkaraNikam-iti-atas vyaFgyam-eva /
        parantu praṇidhāne sati jalasya bhujagajanyatvāsambhavena	parantu praNiDAne sati jalasya Bujaga-janya-tva-asamBavena
   bhajagarūpaṇāsiddhyā tatsiddhikāritvena paścājjale halāhalarūpaṇamiti /	Bajaga-rUpaNA-sidDyA tad-sidDi-kAri-tvena paScAt-jale halAhala-rUpaNam-iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "harastu kiṃcitparivṛttadhairyaḥ--" ityādau ((22.pṛ dṛ)	"haraH-tu kiMcid-parivRtta-DEryaH--" ityAdO ((22.pR dR)
   vilocanavyapāralāṣayoḥ prādhānye saṃdehaḥ /	vilocana-vyapAra-lAzayoH prADAnye saMdehaH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, cha) saṃdigdhaprādhānyamāha---harastviti /	(vi, Ca) saMdigDa-prADAnyam-Aha----haraH-tu-iti /
        prādhānyaṃ rasavyañjakatayā vyajyate rase /	prADAnyam rasa-vyaQjaka-tayA vyajyate rase /
        kiṃ vācyārthena kiṃ vā vyaṅgyārthena vyañjito 'yaṃ ityevaṃ	kim vAcya-arTena kim vA vyaFgya-arTena vyaQjitaH ayam iti-evam
   sandehaviṣayatvaṃ tattvam /	sandeha-vizaya-tvam tattvam /
        halastviti kumārasambhave ākālike vasante jāte sarveṣāmeva kāmodreke	halaH-tu-iti kumAra-samBave AkAlike vasante jAte sarvezAm-eva kAma-udreke
   sati halasyāpi kiñcit tathātvavarṇanamidam /	sati halasya-api kiQcid taTA-Atva-varNanam-idam /
        candrodayasyārambhe natu candrasyodaye	candra-udayasya-AramBe na-tu candrasya-udaye
   tadānīmevāmburāśerdheryyaparivṛtteḥ kiñcittvāt /	tadAnIm-eva-amburASeH-Deryya-parivRtteH kiQcid-tvAt /
        atreti---prādhānyasandeho harasya śṛṅgāravyañjakatāsandehaḥ /	atra-iti----prADAnya-sandehaH harasya SRFgAra-vyaQjaka-tA-sandehaH /
        vilocanavyāpāro hi vācyaḥ /	vilocana-vyApAraH hi vAcyaH /
        cumbanābhilāṣastu vyaṅgyaḥ taddvayamapi śṛṅgāranubhāvastat kena raso	cumbana-aBilAzaH-tu vyaFgyaH tad-dvayam-api SRFgAranuBAvaH-tat kena rasaH-
   vyañjita iti sandehāt /	vyaQjitaH iti sandehAt /
        na ca dvābhyāmeva vyajyatāṃ, tathā ca tulyaprādhānyodāharaṇameva	na ca dvAByAm-eva vyajyatAn, taTA ca tulya-prADAnya-udAharaNam-eva
   hadamastviti vācyam /	hadam-aH-tu-iti vAcyam /
        dhairyyaparivṛtteḥ kiñcittvena cumbanābhilāṣo jāto na vā; iti	DEryya-parivRtteH kiQcit-tvena cumbana-aBilAzaH jAtaH na vA; iti
   sandehena nadīyarasavyañjakatāyā api tadadhīnasandehāt ata eva vācyārthena	sandehena nadIya-rasa-vyaQjaka-tAyAH api tad-aDIna-sandehAt atas eva vAcya-arTena
   tadvyañjanamapi saṃdigdhameva /	tad-vyaQjanam-api saMdigDam-eva /
        Locanā:	LocanA:
        (lo, au) sandehaḥ--dvayorapi rasābhivyañjakatvāviśeṣāt /	(lo, O) sandehaH--dvayoH-api rasa-aBivyaQjaka-tva-aviSezAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   brāhmaṇātikramatyāgo bhavatāmeva bhūtaye /	brAhmaNa-atikrama-tyAgaH BavatAm-eva BUtaye /
   jāmadagnayaśca vo mittramanyathā durmanāyate" //	jAmadagnayaH-ca vaH mittram-anyaTA durmanAyate" //
   atra paraśurāmo rakṣaḥkulakṣayaṃ kariṣyatīti vyaṅgyasya vācyasya ca	atra paraSurAmaH rakzaH-kula-kzayam karizyati-iti vyaFgyasya vAcyasya ca
   samaṃprādhānyam /	samaMprADAnyam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ja) tulyaprādhānyamāha---brāhmaṇeti---digvijaye paraśurāmaṃ	(vi, ja) tulya-prADAnyam-Aha----brAhmaNa-iti---digvijaye paraSurAmam
   jigīṣuṃ rāvaṇaṃ prati tadamātyasya tattrāsakavākyamidam /	jigIzum rAvaNam prati tat-amAtyasya tat-trAsaka-vAkyam-idam /
        bhavatāmeva bhūtaye na tu svārtha bravīmītyarthaḥ /	BavatAm-eva BUtaye na tu sva-arTa bravImi-iti-arTaH /
        tatheti---brāhmaṇa ityarthaḥ /	taTA-iti---brAhmaNaH iti-arTaH /
        mitrāmityatra cārtho gamyaḥ mitraṃ cetyarthaḥ /	mitrAm-iti-atra ca-arTaH gamyaH mitram ca-iti-arTaH /
        anyatheti atikrame ityarthaḥ /	anyaTA-iti atikrame iti-arTaH /
        durmanāyata ityatra bhaviṣyatsāmīpye varttamānā /	durmanAyate iti-atra Bavizyat-sAmIpye varttamAnAH /
        samaṃprādhānyamiti--yathoktavyaṅgyārthasyāpyatra niṃścitatvena	samaMprADAnyam-iti--yaTA-ukta-vyaFgyA-arTasya-api-atra niMScita-tvena
   dvayorapi rāvaṇatrāsarūpavyabhicāribhāve vyañjakatvāt /	dvayoH-api rAvaNa-trAsa-rUpa-vyaBicAri-BAve vyaQjaka-tvAt /
        vācyeṃna brāhmaṇātikrameṇāpi śāpato bhasmīkaraṇasambhāvanayā trāsāt /	vAcyeMna brAhmaNa-atikrameNa-api SApataH BasmIkaraNa-samBOvanayA trAsAt /
        Locanā:	LocanA:
        (lo, a) vrāhmaṇeti--rāvaṇaṃ prati paraśurāmadūtasya vākyamidam /	(lo, a) vrAhmaNa-iti--rAvaNam prati paraSurAma-dUtasya vAkyam-idam /
        bhavatāṃ rakṣasāṃ mitre janmaprabhṛti nikhilarahasyavedī /	BavatAm rakzasAm mitre janma-praBRti niKila-rahasya-vedI /
        atreti--atra vācyavyaṅgyayoḥ sāmadaṇḍayostulyatayaiva vairamocane	atra-iti--atra vAci-avyaFgyayoH sAma-daNxayoH-tulya-tayA-eva vEra-mocane
   paryyāptātvādaprastutapraśaṃsāvat parasparānapekṣayā camatkārāspadatvāt	paryyAptA-tvAt-aprastuta-praSaMsA-vat paraspara-anapekzayA camatkAra-Aspada-tvAt
   dvayorapi samaṃ prādhānyam /	dvayoH-api samam prADAnyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "sandhau sarvasvaharaṇaṃ vigrahe prāṇanigrahaḥ /	"sanDO sarva-sva-haraNam vigrahe prANa-nigrahaH /
   allāvadīnanṛpatau na sandhirna ca vigrahaḥ" //	alla-avadIna-nRpatO na sanDiH-na ca vigrahaH" //
   atrāllāvadīnākhye nṛpatau dānasāmādimantareṇa nānyaḥ praśamopāya iti	atra-AllO=-adIna-AKye nRpatO dAna-sAmAdim-antareNa na-anyaH praSama-upAyaH iti
   vyaṅgyaṃ vyutpannānāmapi jhaṭityasphuṭam /	vyaFgyam vyutpannAnAm-api Jawiti-asPuwam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, jha) asphuṭamāha sandhāviti---vidagdhānāmapi kaṣṭagmyaṃ	(vi, Ja) asPuwam-Aha sanDO=-iti----vidagDAnAm-api kazwagmyam
   vyaṅgyamasphuṭam /	vyaFgyam-asPuwam /
        jhaṭityasphuṭamiti tat praśamopāyo nāstyeva iti hi vyaṅgyamāpātataḥ	Jawiti-asPuwam-iti tat praSama-upAyaH na-asti-eva iti hi vyaFgyam-ApAtatas-
   pratibhāti /	pratiBAti /
        yathoktaṃ vyaṅgyaṃ tu kṛchragamyam /	yaTA-uktam vyaFgyam tu kRCra-gamyam /
        taddhi jīvanarakṣārthaṃ sarvasvadānenāpi sandhikaraṇīya ityevaṃrūpam	tat-hi jIvana-rakzA-arTam sarva-sva-dAnena-api sanDi-karaNIyaH iti-evaMrUpam
        Locanā:	LocanA:
        (lo, ā) pūrvatra sandahālaṅkāravat saṃdigdhatvam /	(lo, A) pUrvatra sanda-hAlaFkAra-vat saMdigDa-tvam /
        nānya upaśamopāya iti vyaṅgyam /	na-anyaH upaSama-upAyaH iti vyaFgyam /
        prāṇanigrahe prāpte dhanatyāgādeḥ īṣatkaratvābhiprāyoṇetyarthaḥ /	prANa-nigrahe prApte Dana-tyAga-AdeH Izat-karatva-aBiprAyoNa-iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "anena lokaguruṇā satāṃ dharmopadeśinā /	"anena lokaguruNA satAm Darma-upadeSinA /
   ahaṃ vratavatī svairamuktena kimataḥ param" //	aham vratavatI svEra-muktena kim-atas param" //
   atra pratīyamāno 'pi śākyamunestiryagyoṣiti bālātkāropabhogaḥ sphuṭatayā	atra pratIyamAnaH api SAkya-muneH-tiryagyoziti bAlAtkAra-upaBogaH sPuwa-tayA
   vācyāyamāna ityagūḍham /	vAcyAyamAnaH iti-agUXam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ña) agūḍhamāha---aneneti /	(vi, Qa) agUXa-m-Aha---anena-iti /
        śākyamuninā balādupabhoktumupakramyamāṇāyāḥ tairthikayoṣita uktiriyam	SAkya-muninA balAt-upaBoktum-upakramyamANAyAH tErTika-yozitaH uktiH-iyam
        ahaṃ vratavatīti dharmopadeśinaḥ asya upabhogo mama vratabhaṅgāya no	aham vratavatI-iti Darma-upadeSinaH asya upaBogaH mama vrata-BaFgAya no
   bhaviṣyatītyato 'haṃ vratavatyeva ityarthaḥ /	Bavizyati-iti-atas aham vratavati-eva iti-arTaH /
        svairaṃ svacchandam ataḥ param uktena kiṃ prayojanamityarthaḥ /	svEram svacCandam atas param uktena kim prayojanam-iti-arTaH /
        atreti--pratīyamāno 'pi vyajyamāno 'pi /	atra-iti--pratIyamAnaH api vyajyamAnaH api /
        pratīyamānasya prāyaśo 'sphuṭatvena sphuṭatve tad virodhe 'trāpikāraḥ	pratIyamAnasya prAyaSas asPuwa-tvena sPuwa-tve tat viroDe atra-apikAraH
   sphuṭatayeti---prabandhaślokātprakaraṇavaśād balātkaropabhogajñānāt	sPuwa-tayA-iti-----prabanDa-SlokAt-prakaraNa-vaSAt balAt-kara-upaBoga-jQAnAt
   sphuṭatā /	sPuwa-tA /
        Locanā:	LocanA:
        (lo, i) anenetyādau arthaśaktimūlānuraṇanarūpavyaṅgyasyāgūḍhatvam /	(lo, i) anena-ityAdO arTa-Sakti-mUla-anuraNana-rUpa-vyaFgyasya-agUXa-tvam /
        atyantatiraskṛtavācyasyāgūḍhatvaṃ yathā---	atyanta-tiraskRta-vAcyasya-agUXa-tvam yaTA---
        "etad vibhāti caramācalacūlacumbī hiṇḍīrapiṇḍaruciśītamarīcibimbam /	"etat viBAti caramAcala-cUla-cumbI hiNxIra-piNxa-ruci-SIta-marIci-bimbam /
        prajjvālitasya rajanīṃ madanānalasya dhūmaṃ dadhat	prajjvAlitasya rajanIm madana-analasya DUmam daDat-
   prakaṭalāñchanakaitavena" /	prakawa-lAQCana-kEtavena" /
        atra cumbīti pade vadanasaṃsargarūpasāyarthasyāsambhavāt	atra cumbI-iti pade vadana-saMsarga-rUpa-sAyarTasya-asamBavAt
   saṃsargamātraṃ lakṣyaṃta tadatiśayaścābhidheyavat sphuṭaṃ pratīyate /	saMsarga-mAtram lakzyaMta tat-atiSayaH-ca-aBiDeya-vat sPuwam pratIyate /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "vāṇīrakuḍaṅguḍḍīṇasauṇikolāhaṇaṃ suṇantīe /	"vANIra-kuxaFguxxINa-sONikolAhaNam suNantIe /
   gharakammavāvaḍāe bahue sīanti āṅgāiṃ" //	Garakam-mavAvaxAe bahue sIanti AFgAiM" //
   atra dattasaṃketaḥ jaścillatāgṛhaṃ praviṣṭa iti vyaṅgyāt "sīdantyaṅgani"	atra datta-saMketaH jaScit-latA-gRham pravizwaH iti vyaFgyAt "sIdanti-aFgani"
   iti vācyasya camatkāraḥ sahṛdayasaṃvedya ityasundaram /	iti vAcyasya camatkAraH sahRdaya-saMvedyaH iti-asundaram /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṭa) asundaramāha--vāṇīreti /	(vi, wa) asundara-mAha--vANIra-iti /
        vācyārthānnyūnacamatkārivyaṅgyamasundaram /	vAcya-arTAn-nyUna-camatkAri-vyaFgyam-a-sundaram /
        "vānīrakuñjoḍḍīnaśakunikolāhalaṃ śṛṇvantyāḥ /	"vAnIra-kuQja-uxxIna-Sakuni-kolAhalam SRNvantyAH /
        gṛhakarmavyāpṛtāyā vadhvāḥ sīdantyaṅgāni" //	gRha-karma-vyApRtAyAH vaDvAH sIdanti-aFgAni" //
        iti saṃskṛtam /	iti saMskRtam /
        vānīrakuñje kṛtasaṃketāyā gṛhakarmavyāpārāt tatra gantumaśaktāyā	vAnIra-kuQje kRta-saMketAyAH gRha-karma-vyApArAt tatra gantum-aSaktAyAH-
   vadhvā aṅgāvasādavarṇanamidam /	vaDvAH aFga-avasAda-varNanam-idam /
        atreti--praviṣṭa ityantamātraṃ na vyaṅgyaṃ vadhvāstatrāgamanasyāpi	atra-iti---pravizwaH iti-anta-mAtram na vyaFgyam vaDvAH-tatra-Agamanasya-api
   tadīyapakṣikolāhalaśravaṇādhīnāṅgāvasādena vyaṅgyatvāt /	tadIya-pakzi-kolAhala-SravaNa-aDIna-aFga-avasAdena vyaFgya-tvAt /
        tathā ceti--vyaṅgyādityatra ityādi vyaṅgyādityarthaḥ vācyasya	taTA ca-iti---vyaFgyAt-ityatre ityAdi vyaFgyAt-iti-arTaH vAcyasya
   camatkāra iti vadhvā vipralambhavyañjakatvena hyatra camatkāraḥ /	camatkAraH iti vaDvAH vipralamBa-vyaQjaka-tvena hi-atra camatkAraH /
        sa cātroddīpakaśakunikolāhalaśravaṇādhīnāvasādasya vipralambhaṃ vinā	sa ca-atra-uddIpaka-Sakuni-kolAhala-SravaNa-aDIna-avasAdasya vipralamBam vinA
   anyato 'sambhavāt tatpratītyavaśyambhāvena saṃketasthale vadhvā	anyatas asamBavAt tad-pratItya-vaSyam-BAvena saMketa-sTale vaDvA
   agamanāduktāṅgāvasādasahakāraṃ vinā na vipralambhapratītyavaśyambhāvaḥ /	agamanAt-ukta-aFga-avasAda-sahakAram vinA na vipralamBa-pratIti-avaSyamBAvaH /
        vadhvā īdṛśakāryyatyāgenāpi tatrāgamanasambhavādṛte	vaDvAH IdRSa-kAryya-tyAgena-api tatra-Agamana-samBavAt-Rte
   vācyāṅgāvasādamukhaprekṣatvena tasya nyūnacamatkāritetyarthaḥ /	vAcya-aFga-avasAda-muKa-prekza-tvena tasya nyUna-camatkAritA-iti-arTaH /
        Locanā:	LocanA:
        (lo, ī) vānīreti---vānīrakuñjoḍḍīnaśakunikolāhalaṃ śṛṇvantyāḥ /	(lo, I) vAnIra-iti---vAnIra-kuQja-uxxIna-Sakuni-kolAhalam SRNvantyAH /
        gṛhakarmavyāpṛtāyā vadhvāḥ sīdantyaṅgāni //	gRha-karma-vyApRtAyAH vaDvAH sIdanti-aFgAni //
        vācyasya camatkāraḥ pradhānapratyāsatteradhikatvāt /	vAcyasya camatkAraH praDAna-pratyAsatteH-aDika-tvAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   kiñca yo dīpakatulyayogitādiṣūpamādyalaṅkāro vyaṅgyaḥ sa guṇībhūtavyaṅgya	kiQca yaH dIpaka-tulya-yogita-Adizu-upama-Adi-alaFkAraH vyaFgyaH sa guNIBUta-vyaFgya
   eva /	eva /
   kāvyasya dīpakādimukhenaiva camatkāravidhāyitvāt /	kAvyasya dIpaka-Adi-muKena-eva camatkAra-viDAyi-tvAt /
   taduktaṃ dhvanikṛtā--	tat-uktam Dvani-kRtA--
   "alaṅkārāntarasyāpi pratītau yatra bhāsate /	"alaFkAra-antarasya-api pratItO yatra BAsate /
   tatparatvaṃ na kāvyasya nāsau mārgo dhvanermataḥ" //	tad-paratvam na kAvyasya na-asO mArgaH DvaneH-mataH" //
