   sāṃkhyasaptatiṭīkā jayamaṅgalā //	sAMKya-saptatiwIkA jaya-maFgalAH //
   kaścidviparītabhāgadheyo 'stīti tasmāccaturthādupadeśāt tuṣṭo yo	kaScid-viparIta-BAgaDeyaH asti-iti tasmAt-caturTAt-upadeSAt tuzwaH yaH-
   bhāgyāpekṣī sthitastasya caturthī vṛṣṭirityucyate / etāścatasra	BAgya-apekzI sTitaH-tasya caturTI vRzwiH-iti-ucyate / etAH-catasra
   ātmānamadhikṛtya bhavantītyādhyātmikāḥ ātmanā moktavyamiti kṛtvā //	AtmAnam-aDikRtya Bavanti-iti-ADyAtmikAH AtmanA moktavyam-iti kRtvA //
   'bāhyaviṣayoparamācca'; iti / śabdādibhyo vyāvṛttiruparamaṇaṃ pañcadhā	abAhya-vizaya-uparamAt-ca-a; iti / Sabda-AdiByaH vyAvRttiH-uparamaNam paQcaDA
   bhavati / ārjanarakṣaṇakṣayasaṅgahiṃsādoṣadarśanāt / tatra viṣayārjane	Bavati / Arjana-rakzaNa-kzaya-saFga-hiMsA-doza-darSanAt / tatra vizaya-arjane
   mahadduḥkhaṃ tadalpaviṣayebhya ityārjanadoṣadarśanānnivṛttasya tuṣṭiriyaṃ	mahat-duHKam tad-alpa-vizayeByaH iti-Arjana-doza-darSanAt-nivRttasya tuzwiH-iyam
   pañcamī sutāramityucyate //	paQcamI sutAram-iti-ucyate //
   viṣayā ārjituṃ śakyāḥ, rakṣaṇaṃ tu duḥkhaṃ bahubhiḥ tajjanyamānānāṃ (?)	vizayAH Arjitum SakyAH, rakzaNam tu duHKam bahuBiH tad-janyamAnAnAm (?)
   syāditi rakṣaṇadarśanānnivṛtasya tuṣṭiriyaṃ ṣaṣṭhī supāramityucyate //	syAt-iti rakzaNa-darSanAt-nivRtasya tuzwiH-iyam zazWI supAram-iti-ucyate //
   viṣayā ārjituṃ rakṣituṃ kṣaye ca pratividhātuṃ śakyāḥ, kintūpabhujyamānā	vizayAH Arjitum rakzitum kzaye ca prativiDAtum SakyAH, kintu-upa-BujyamAnA
   mahatīmātmasaktiṃ kurvanti, tadaprāptau ca mahadduḥkhamiti	mahatIm-Atma-saktim kurvanti, tad-aprAptO ca mahat-duHKam-iti
   saṅgadoṣadarśanāduparastasyāṣṭamī tuṣṭiranuttamāmbha ityucyate //	saFga-doza-darSanAt-uparaH-tasya-azwamI tuzwiH-anuttama-amBaH iti-ucyate //
   sarvaṃ śakyaṃ kintvanupahatya bhūtāni na bhogaḥ sambhavati /	sarvam Sakyam kintu-anupahatya BUtAni na BogaH samBavati /
   bhūtopaghātānmahadaniṣṭaphalamiti hiṃsādoṣadarśanāduparatasya tuṣṭiriyaṃ	BUta-upaGAtAt-mahat-anizwa-Palam-iti hiMsA-doza-darSanAt-uparatasya tuzwiH-iyam
   navamī uttamāmbha ityucyate / etāḥ pañca viṣayadvāreṇeti bhavantīti bāhyāḥ	navamI uttamAmBaH iti-ucyate / etAH paQca vizaya-dvAreNa-iti Bavanti-iti bAhyAH
   / tatpūrvikāścādhyātmikāḥ, viṣaye tatparasyādhyātmikatuṣṭyasambhavāt //	/ tad-pUrvikAH-ca-ADyAtmikAH, vizaye tad-parasya-ADyAtmika-tuzwi-asamBavAt //
   tatra prakṛtyupādānakālā na mokṣopāyā ityupadiṣṭamapi yo vaimukhyānna	tatra prakRti-upAdAna-kAlAH na mokza-upAyAH iti-upadizwam-api yaH vEmuKyAn-na
   pratipadyate tasyādhyātmikāścatasraḥ, viṣayoparamācca bāhyāḥ pañceti nava	pratipadyate tasya-ADyAtmikAH-catasraH, vizaya-uparamAt-ca bAhyAH paQca-iti nava
   tuṣṭayaḥ / tā buddhivadhā ityucante / teṣāṃ śakterantarbhavati [?] / tāsāṃ	tuzwayaH / tAH budDi-vaDAH iti-ucante / tezAm SakteH-antar-Bavati [?] / tAsAm
   catuṣṣaṣṭīnāṃ mahatprabhṛtayo viparyayeṇa saṃjñā / tadubhayamapi	catuzzazwInAm mahat-praBRtayaH viparyayeNa saMjQA / tat-uBayam-api
   buddhāvantarbhūtaṃ tatsargatvāt // 50 //	budDO=-antarBUtam tad-sarga-tvAt // 50 //
   kārikā 51	kArikA 51
   katibhedā jñānājñānalakṣaṇā siddhirityāha-	kati-BedAH jQAna-ajQAna-lakzaNA sidDiH-iti-Aha-
   ūhaḥ śabdo 'dhyayanaṃ duḥkhavighātāstrayaḥ suhṛtprāptiḥ /	UhaH SabdaH aDyayanam duHKa-viGAtAH-trayaH suhRd-prAptiH /
   dānaṃ ca siddhayo 'ṣṭau, siddheḥ pūrvo 'ṅkuśastrividhaḥ // ISk_51 //	dAnam ca sidDayaH azwO, sidDeH pUrvaH aFkuSaH-triviDaH // ISc-_51 //
   'ūhaḥ śabdo 'dhyayanam'; ityādi / siddhirjñānaprāptiḥ, tasyā bhedā	aUhaH SabdaH aDyayanam-a; ityAdi / sidDiH-jQAna-prAptiH, tasyAH BedA
   upāyabhedāt / ūha iti / janmāntarasaṃskṛtadhiyo yasya	upAya-BedAt / UhaH iti / janma-antara-saMskRta-DiyaH yasya
   bandhamokṣakāraṇamutprekṣamāṇasya pradhānapuruṣāntarajñānamutpadyate tasya	banDa-mokza-kAraNam-utprekzamANasya praDAna-puruza-antara-jQAnam-utpadyate tasya
   siddhirūhahetukā prathamā tāramityucyate //	sidDirUha-hetukA praTamA tAram-iti-ucyate //
   yasya sāṃkhyaśāstrapāṭhamanyadīyamākarṇya tattvajñānamutpadyate, sā	yasya sAMKya-SAstra-pAWam-anyadIyam-AkarNya tattva-jQAnam-utpadyate, sA
   siddhiḥ śabdahetukā dvitīyā sutāramityucyate //	sidDiH Sabda-hetukA dvitIyA sutAram-iti-ucyate //
   yasya śiṣyācāryasambandhena sāṃkhyaśāstraṃ śabdato 'rthataścādhītya	yasya Sizya-AcArya-sambanDena sAMKya-SAstram SabdataH arTataH-ca-aDItya
   jñānamutpadyate, tasyādhyayanahetukā / adhyayanena hi tatparijñānāt / eṣā	jQAnam-utpadyate, tasya-aDyayana-hetukAH / aDyayanena hi tad-parijQAnAt / ezA
   tṛtīyā tāravi ityucyate //	tRtIyA tAravi iti-ucyate //
   'duḥkhavighātāstrayaḥ'; iti / yo 'pyādhyātmikenādhibhautikenādhidaivikena	aduHKa-viGAtAH-trayaH-a; iti / yaH api-ADyAtmikena-ADiBOtikena-aDidEvikena
   vā bhāvitastadvighātārthaṃ jñānaṃ paryeṣyati, ūhena śabdenādhyayanena vā,	vA BAvitaH-tad-viGAta-arTam jQAnam paryezyati, Uhena Sabdena-aDyayanena vA,
   tasya tadvighātahetukāḥ pramādapramuditamodanākhyāstisraḥ, upāyasya	tasya tad-viGAta-hetukAH pramAda-pramuditam-odana-AKyAH-tisraH, upAyasya
   tritvāditi / pūrvā yāstisraḥ siddhyayastā na duḥkhahetukā iti boddhavyāḥ	tri-tvAt-iti / pUrvAH yAH-tisraH sidDyayaH-tAH na duHKa-hetukAH iti bodDavyAH
   'suhṛtprāptiḥ'; iti / yo 'dhigatatattvaḥ suhṛdaṃ prāpya	asuhRd-prAptiH-a; iti / yaH aDigata-tattvaH suhRdam prApya
   jñānamadhigacchati, tasya suhṛtprāptipūrvikā / mitraṃ hi snehāt jñānaṃ	jQAnam-aDigacCati, tasya suhRd-prApti-pUrvikA / mitram hi snehAt jQAnam
   prakāśayati / iyaṃ saptamī ramyakamityucyate //	prakASayati / iyam saptamI ramyakam-iti-ucyate //
   dānaṃ ca siddhihetuḥ / dānena hyārādhito jñānī jñānaṃ prayacchati /	dAnam ca sidDi-hetuH / dAnena hi-ArADitaH jQAnI jQAnam prayacCati /
   iyamaṣṭamī sadāpramuditamityucyate //	iyam-azwamI sadA-apramuditam-iti-ucyate //
   tadviparītā asiddhayaḥ / mandabuddhitvānnohate yastasyānūhahetukā asiddhiḥ	tad-viparItAH asidDayaH / manda-budDi-tvAt-na-uhate yaH-tasya-anUha-hetukA asidDiH
   / yaḥ śakto 'pi sāṃkhyaśāstraṃ śṛṇvannapi buddhidaurbalyānna buddhyati	/ yaH SaktaH api sAMKya-SAstram SRNvan=-api budDi-dOrbalyAt-na budDi-ati
   tasya śabdahetukā asiddhiḥ / buddhidoṣa evāyam / yasya gurupūrvakaṃ	tasya Sabda-hetukAH asidDiH / budDi-dozaH eva-ayam / yasya guru-pUrvakam
   nādhyayanaṃ buddhidoṣādeva tasyānadhyayanahetukā asiddhiḥ / na yatra	na-aDyayanam budDi-dozAt-eva tasya-anaDyayana-hetukAH asidDiH / na yatra
   mitrasaṃgraho na ca dānamityaṣṭāvasiddhayo buddhivadhā aśaktāvantarbhūtāḥ	mitra-saMgrahaH na ca dAnam-iti-azwO=-asidDayaH budDi-vaDAH aSaktO=-antarBUtAH
   / tāsāṃ cāsiddhīnāṃ moṣamuṣṇāmānoramityādyāḥ [?] saṃjñāḥ /	/ tAsAm ca-asidDInAm mozam-uzNA-mAnoram-iti-AdyAH [?] saMjQAH /
   buddhāvantarbhūtaṃ tatsargatvāt //	budDO=-antarBUtam tad-sarga-tvAt //
   'siddheḥ pūrvo 'ṅkuśastrividhaḥ'; iti / tasyā aṣṭavidhāyāḥ siddheryaḥ	asidDeH pUrvaH aFkuSaH-triviDaH-a; iti / tasyAH azwaviDAyAH sidDeH-yaH
   pūrvo viparyayāśaktituṣṭyākhyastrividha uktaḥ so 'ṅkuśa ivetyaṅkuśa uktaḥ	pUrvaH viparyaya-aSakti-tuzwi-AKyaH-triviDaH uktaH saH aFkuSaH iva-iti-aFkuSaH uktaH
   / tena hyasvatantrīkṛto lokaḥ saṃsāracakre 'vatiṣṭhate / tatra	/ tena hi-asvatantrIkRtaH lokaH saMsAra-cakre avatizWate / tatra
   viparyayādiṣyate bandha iti vacanāt pañcavidhamajñānamaṅkuśaḥ / aśaktiḥ	viparyayAt-izyate banDaH iti vacanAt paQcaviDam-ajQAnam-aFkuSaH / aSaktiH
   karaṇavaikalyam, tato hi jñānāprāptirityaṅkuśaḥ / tuṣṭirapyaṅkuśaḥ / tadā	karaNa-vEkalyam, tatas hi jQAna-aprAptiH-iti-aFkuSaH / tuzwiH-api-aFkuSaH / tadA
   prakṛtyupādānakālabhāgyā mokṣopāyā iti, viṣayoparamācca mukta	prakRti-upAdAna-kAla-BAgyA mokza-upAyAH iti, vizaya-uparamAt-ca mukta
   ityetāvanmātrādupadeśāt tuṣṭo na jñānaṃ paryeṣyati / yadā tu paryeṣyati	iti-etAvat-mAtrAt-upadeSAt tuzwaH na jQAnam paryezyati / yadA tu paryezyati
   tadā 'naṅkuśa ityarthaḥ / ete pratyayasargabhedāḥ pañcāśat padārthāḥ,	tadA anaFkuSaH iti-arTaH / ete pratyaya-sarga-BedAH paQcASat padArTAH,
   astitvādayaśca daśa / te cāsyāmeva saptatyāṃ nirdiṣṭāḥ / tathā cāha	astitva-AdayaH-ca daSa / te ca-asyAm-eva saptatyAm nirdizwAH / taTA ca-Aha
   saṃgrahakāraḥ-	saMgraha-kAraH-
   astitvamekatvamathārthavattvaṃ pārārthyamanyatvamakartṛbhāvaḥ /	astitvam-eka-tvam-aTa-arTavat-tvam pArArTyam-anya-tvam-akartR-BAvaH /
   yogo viyogo bahavaḥ pumāṃsaḥ sthitiḥ śarīrasya ca śeṣavṛttiḥ // iti //	yogaH viyogaH bahavaH pumAMsaH sTitiH SarIrasya ca Seza-vRttiH // iti //
   ekatvamarthavattvaṃ pārārthyaṃ ceti pradhānamadhikṛtyoktam /	eka-tvam-arTavat-tvam pArArTyam ca-iti praDAnam-aDikRtya-uktam /
   anyatvamakartṛtvaṃ bahutvaṃ ceti puruṣamadhikṛtya / astitvaṃ yogo	anya-tvam-akartR-tvam bahu-tvam ca-iti puruzam-aDikRtya / astitvam yogaH-
   viyogaścetyubhayamadhikṛtya / sthitirmūlasūkṣmamadhikṛtya / vakṣyati-	viyogaH-ca-iti-uBayam-aDikRtya / sTitiH-mUla-sUkzmam-aDikRtya / vakzyati-
   'tiṣṭhati saṃskāravaśāt'; iti / ete ṣaṣṭi padārthāḥ, tadarthaṃ śāstraṃ	atizWati saMskAra-vaSAt-a; iti / ete zazwi padArTAH, tad-arTam SAstram
   ṣaṣṭitantramityucyate // 51 //	zazwitantram-iti-ucyate // 51 //
   kārikā 52	kArikA 52
   pūrvotpannaṃ liṅgaṃ bhāvairadhivāsitaṃ saṃsaratītyuktam, tatra kiṃ bhāvā	pUrva-utpannam liFgam BAvEH-aDivAsitam saMsarati-iti-uktam, tatra kim BAvA
   api pūrvamutpannāḥ kiṃ liṅgamevetyatrāha-	api pUrvam-utpannAH kim liFgam-eva-iti-atra-Aha-
   na vinā bhāvairliṅgam, na vinā liṅgena bhāvaniṣpattiḥ /	na vinA BAvEH-liFgam, na vinA liFgena BAva-nizpattiH /
   liṅgākhyo bhāvākhyastasmāddvividhaḥ pravartate sargaḥ // ISk_52 //	liFga-AKyaH BAva-AKyaH-tasmAt-dviviDaH pravartate sargaH // ISc-_52 //
   'na vinā'; ityādi / yadi bhāvā na pūrvotpannāstairvinā liṅgamapi nāsti /	ana vinA-a; ityAdi / yadi BAvAH na pUrva-utpannAH-tEH-vinA liFgam-api na-asti /
   saṃsaraṇārthaṃ liṅgaṃ saṃsāranimittaṃ ca bhāvāḥ //	saMsaraNa-arTam liFgam saMsAra-nimittam ca BAvAH //
   'na vinā liṅgena bhāvaniṣpattiḥ'; iti / liṅgaṃ vinā na bhāvāniṣpattiḥ,	ana vinA liFgena BAva-nizpattiH-a; iti / liFgam vinA na BAva-anizpattiH,
   liṅgāśritatvādbhāvānām / yasmādevaṃ tasmāt liṅgākhyo bhāvākhyaśca	liFga-ASrita-tvAt-BAvAnAm / yasmAt-evam tasmAt liFga-AKyaH BAva-AKyaH-ca
   dviprakāraḥ pradhānatvāt sargo bhavatīti / sṛjyata iti sargaḥ // 52 //	dvi-prakAraH praDAna-tvAt sargaH Bavati-iti / sRjyate iti sargaH // 52 //
   kārikā 53	kArikA 53
   yathā dvāvetau pūrvotpannau tatha bhūtasargo 'pīti darśayannāha-	yaTA dvO=-etO pUrva-utpannO taTa BUta-sargaH api-iti darSayan=-Aha-
   aṣṭavikalpa daivastairyagyonyaśca pañcadhā bhavati /	azwa-vikalpa dEvaH-tEryagyonyaH-ca paQcaDA Bavati /
   mānuṣyacaikavidhaḥ, samāsato bhautikaḥ sargaḥ // ISk_53 //	mAnuzya-cEkaviDaH, samAsatas BOtikaH sargaH // ISc-_53 //
   'aṣṭavikalpaḥ'; ityādi / devānāmayaṃ daivaḥ / so 'ṣṭavidhaḥ / tadyathā	aazwa-vikalpaH-a; ityAdi / devAn-Am-ayam dEvaH / saH azwaviDaH / tat-yaTA
   brāhmaḥ, prājāpatyaḥ, sauraḥ, āsuraḥ, gāndharvaḥ, yākṣaḥ, rākṣasaḥ,	brAhmaH, prAjApatyaH, sOraH, AsuraH, gAnDarvaH, yAkzaH, rAkzasaH,
   paiśācaśceti //	pESAcaH-ca-iti //
   'tairyagyonyaśca pañcadhā bhavati'; iti / tiryagyonīnāmayaṃ tairyagyonyaḥ	atEryagyonyaH-ca paQcaDA Bavati-a; iti / tiryagyonInAm-ayam tEryagyonyaH
   / paśumṛgapakṣisarīsṛpasthāvarabhedāt pañcavidhaḥ / tatra gavādyā	/ paSu-mRga-pakzi-sarIsRpa-sTAvara-BedAt paQcaviDaH / tatra gavA-AdyA
   rāsabhāntāḥ paśavaḥ / siṃhādyā biḍālāntā mṛgāḥ / haṃsādyā maśakāntāḥ	rAsaBa-antAH paSavaH / siMha-AdyAH bixAlAntAH mRgAH / haMsa-AdyAH maSakAntAH
   pakṣiṇaḥ / sarpādayaḥ kṛmyantāḥ sarīsṛpāḥ / vṛkṣādayaḥ sthūṇāntāḥ sthāvarā	pakziNaH / sarpa-AdayaH kRmyantAH sarIsRpAH / vRkza-AdayaH sTUNA-antAH sTAvarA
   iti //	iti //
   'mānuṣyaścaikavidhaḥ'; iti / manuṣyāṇāmayaṃ mānuṣyaḥ /	amAnuzyaH-ca-ekaviDaH-a; iti / manuzyANAm-ayam mAnuzyaH /
   evaṃvidhasaṃsthānasyaikavidhatvāt / brāhmādibhedo 'pi sattvarajastamasāṃ	evaMviDa-saMsTAnasya-ekaviDa-tvAt / brAhma-Adi-BedaH api sattva-rajaH-tamasAm
   vikalpāt kālavyavahāranimittam //	vikalpAt kAla-vyavahAra-nimittam //
   'samāsataḥ'; iti / saṃkṣepeṇa / vistaraṃ...tastasyaiva (?) -	asamAsataH-a; iti / saMkzepeNa / vistaraM...taH-tasya-eva (?) -
   jarāyujāṇḍajoṣmajodbhijjākhyāścatvāro bhedāḥ śāstrāntare draṣṭavyāḥ /	jarAyu-jANxa-ja-Uzma-ja-udBid-ja-AKyAH-catvAraH BedAH SAstra-antare drazwavyAH /
   udbhijjāḥ sthāvarāḥ //	udBid-jAH sTAvarAH //
   'bhautikaḥ sargaḥ'; iti / bhūteṣu bhavo bhautikaḥ, lokotpāda ityarthaḥ /	aBOtikaH sargaH-a; iti / BUtezu BavaH BOtikaH, loka-utpAdaH iti-arTaH /
   sa ca dvividhaḥ // 53 //	sa ca dviviDaH // 53 //
   kārikā 53	kArikA 53
   sthūlaśarīre sattvayi kaścideva kvacidadhikyena vartata iti darśayannāha-	sTUla-SarIre sattvayi kaScid-eva kvacid-aDikyena vartate iti darSayan=-Aha-
   ūrdhvaṃ sattvaviśālastamoviśālaśca mūlataḥ sargaḥ /	UrDvam sattva-viSAlaH-tamaH-viSAlaH-ca mUlataH sargaH /
   madhye rajoviśālo, brahmādistambaparyantaḥ // ISk_54 //	maDye rajaH-viSAlo, brahma-Adi-stamba-paryantaH // ISc-_54 //
   'ūrdhvam'; ityādi / brahmā ādiryasya sargasya stambaśca	aUrDvam-a; ityAdi / brahmA AdiH-yasya sargasya stambaH-ca
   tṛṇaviṭapaparyantaḥ, sa brahmādistambaparyantaḥ sargaḥ / sa ūrdhvaḥ	tRNa-viwapa-paryantaH, sa brahma-Adi-stamba-paryantaH sargaH / saH UrDvaH
   sattvaviśālaḥ / ūrdhvaṃ devalokastasyotkṛṣṭatvāt tatra sāttvika ityarthaḥ	sattva-viSAlaH / UrDvam deva-lokaH-tasya-utkRzwa-tvAt tatra sAttvikaH iti-arTaH
   / devalokasya sattvabahulatvāt //	/ deva-lokasya sattva-bahula-tvAt //
   'tamoviśālaśca mūlataḥ sargaḥ'; iti / tairyagyono mūlam, tasyādhamatvāt /	atamaH-viSAlaH-ca mUlataH sargaH-a; iti / tEryagyonaH mUlam, tasya-aDama-tvAt /
   tasmin mūle tamo 'dhikaṃ tamobahulatvāt //	tasmin mUle tamaH aDikam tamaH-bahula-tvAt //
   'madhye rajoviśālaḥ'; iti / manuṣyaloke madhye / uttarādharabhāvāt tatra	amaDye rajaH-viSAlaH-a; iti / manuzya-loke maDye / uttara-aDara-BAvAt tatra
   duḥkhabahulatvāt // 54 //	duHKa-bahula-tvAt // 54 //
   kārikā 55	kArikA 55
   yadi triṣu lokeṣu liṅgaṃ saṃsarati, tadeva tarhi sāṃsārikaṃ sukhaṃ duḥkhaṃ	yadi trizu lokezu liFgam saMsarati, tat-eva tarhi sAMsArikam suKam duHKam
   vāpnoti, tasyaiva sāṃsārikatvādityāha-	vA-Apnoti, tasya-eva sAMsArika-tvAt-iti-Aha-
   tatra jarāmaraṇakṛtaṃ duḥkhaṃ prāpnoti cetanaḥ puruṣaḥ /	tatra jarA-maraNa-kRtam duHKam prApnoti cetanaH puruzaH /
   liṅgasyāvinivṛttestasmād duḥkhaṃ svabhāvena // ISk_55 //	liFgasya-avinivRtteH-tasmAt duHKam svaBAvena // ISc-_55 //
   'tatra'; ityādi / teṣu lokeṣu jarāmaraṇakṛtamiti caturduḥkhopalakṣaṇārtham	atatra-a; ityAdi / tezu lokezu jarA-maraNa-kRtam-iti catur-duHKa-upalakzaNa-arTam
   / garbhaduḥkham, janmaduḥkham, jarāduḥkham, maraṇaduḥkhamiti / tatra mātuḥ	/ garBa-duHKam, janma-duHKam, jarA-duHKam, maraNa-duHKam-iti / tatra mAtuH
   kukṣau andhatamasīva praviṣṭasya saṅkucanaprasāraṇaduḥkhaṃ garbhaduḥkham /	kukzO anDatamasi-iva pravizwasya saFkucana-prasAraNa-duHKam garBa-duHKam /
   jāyamānasya māturudarānnirgacchato janmaduḥkham /	jAyamAnasya mAtuH-udarAt-nirgacCataH janma-duHKam /
   va.....pālataskhalanādiduḥkhaṃ jarāduḥkham / maraṇāvasthāyāṃ sthūlaśarīraṃ	va.....pAlata-sKalana-Adi-duHKam jarA-duHKam / maraNa-avasTAyAm sTUla-SarIram
   tyajato maraṇaduḥkham / etattvādhyātmikaṃ duḥkhe 'ntarbhūtamaprītaduḥkhaṃ	tyajataH maraNa-duHKam / etat-tvADyAtmikam duHKe antar-BUtam-aprIta-duHKam
   buddhyādhyavasitaṃ puruṣaḥ prāpnoti tasya cetanatvāt, na tu	budDyA-aDyavasitam puruzaH prApnoti tasya cetana-tvAt, na tu
   liṅgamacetanatvāditi bhāvaḥ //	liFgam-acetana-tvAt-iti BAvaH //
   kiyantaṃ kālamityāha- 'liṅgasyāvinivṛtteḥ'; iti /	kiyantam kAlam-iti-Aha aliFgasya-avinivRtteH-a; iti /
   yāvalliṅgasyāvinivṛttistāvadityarthaḥ / tasya ca nivṛttiḥ	yAvat-liFgasya-avinivRttiH-tAvat-iti-arTaH / tasya ca nivRttiH
   pradhānapuruṣāntarajñānāt / yataścaivaṃ tasmādduḥkhaṃ svabhāvena /	praDAna-puruza-antara-jQAnAt / yatas-ca-evam tasmAt-duHKam svaBAvena /
   liṅgagarbhādyavasthāsu svabhāvato duḥkhamityarthaḥ / lokatraye sukhamapi	liFga-garBa-Adi-avasTAsu svaBAvataH duHKam-iti-arTaH / lokatraye suKam-api
   prāpnoti, tannoktaṃ tasyāniyatatvāt / jarādiduḥkhaṃ tu niyatamiti // 55 //	prApnoti, tat-na-uktam tasya-aniyata-tvAt / jarA-Adi-duHKam tu niyatam-iti // 55 //
   kārikā 56	kArikA 56
   yo 'yaṃ bhāvaliṅgabhūtatatsargaḥ sa kimīśvarāt, yathocyate-	yaH ayam BAva-liFga-BUta-tad-sargaH sa kim-ISvarAt, yaTA-ucyate-
   īśvaraprerito gacchet svargaṃ vā śvabhrameva vā /	ISvara-preritaH gacCet svargam vA SvaBram-eva vA /
   iti, kiṃ vā puruṣāt, yathocyate-	iti, kim vA puruzAt, yaTA-ucyate-
   puruṣa evedaṃ sarvaṃ yadbhūtaṃ yacca bhavyam /	puruzaH eva-idam sarvam yat-BUtam yat-ca Bavyam /
   iti, kiṃ vā svabhāvāt, yathocyate-	iti, kim vA svaBAva-at, yaTA-ucyate-
   svabhāvikamevedaṃ sarvaṃ jagannahi marudādayaḥ kenacit kriyante /	sva-BAvikam-eva-idam sarvam jagat-nahi marut-AdayaH kenacid kriyante /
   ityatrāha-	iti-atra-Aha-
   ityeṣa prakṛtikṛto mahadādiviśeṣabhūtaparyantaḥ /	iti-eza prakRti-kRtaH mahat-Adi-viSeza-BUta-paryantaH /
   pratipuruṣavimokṣārthaṃ svārtha iva parārtha ārambhaḥ // ISk_56 //	prati-puruza-vimokza-arTam sva-arTaH iva para-arTe AramBaH // ISc-_56 //
   'ityeṣa prakṛtikṛtaḥ'; ityādi / ārabhyata ityārambhaḥ / prakṛtikṛta iti	aiti-eza prakRti-kRtaH-a; ityAdi / AraByate iti-AramBaH / prakRti-kRtaH iti
   pradhānakṛtaḥ, neśvarādikṛta ityarthaḥ / lokatrayaṃ triguṇātmakaṃ bhavati,	praDAna-kRtaH, na-ISvara-Adi-kRtaH iti-arTaH / lokatrayam triguNa-Atmakam Bavati,
   tacca triguṇāyā eva prakṛterutpadyate / napai svabhāvikam,	tat-ca triguNAyAH eva prakRteH-utpadyate / napE sva-BAvikam,
   viparītaguṇadoṣaprasaṅgāddeśāniyamayogācca //	viparIta-guNa-doza-prasaFgAt-deSa-aniyama-yogAt-ca //
   sa kiṃsvarūpa ityāha- 'mahadādiviśeṣabhūtaparyantaḥ'; iti /	sa kiMsvarUpaH iti-Aha amahat-Adi-viSeza-BUta-paryantaH-a; iti /
   buddhirādiryasyārambhasya / bhūtāni lokatraye yānyabhinnasaṃsthānāni	budDiH-AdiH-yasya-AramBasya / BUtAni lokatraye yAni-aBinna-saMsTAnAni
   sthūlaśarīrākhyāni / viṣayāśca / bāhyāśca viṣayāḥ sūkṣmāḥ sthūlāḥ / te	sTUla-SarIra-AKyAni / vizayAH-ca / bAhyAH-ca vizayAH sUkzmAH sTUlAH / te
   paryante 'vasāne yasya sa tathoktaḥ / anena bhāvaliṅgabhūtasargākhyāstraya	paryante avasAne yasya sa taTA-uktaH / anena BAva-liFga-BUta-sarga-AKyAH-traya
   ākhyātāḥ //	AKyAtAH //
   kimarthamayaṃ pradhānasyārambha ityatrāha- 'pratipuruṣavimokṣārtham'; iti	kimarTa-mayam praDAnasya-AramBaH iti-atra-aha aprati-puruza-vimokza-arTam-a; iti
   / ekaikasya puruṣasya puruṣasya vimuktyarthamārambhaḥ, puruṣāṇāṃ bahutvāt	/ ekEkasya puruzasya puruzasya vimukti-arTam-AramBaH, puruzANAm bahu-tvAt-
   / bhāvasarge bhūtasarge cāneka iti darśayati / tathāhi mokṣārthaṃ	/ BAva-sarge BUta-sarge ca-anekaH iti darSayati / taTA-hi mokza-arTam
   viṣayopabhogārthaṃ cāyamārambha iti draṣṭavyam / pradhānena hi puruṣārthaḥ	vizaya-upaBoga-arTam ca-ayam-AramBaH iti drazwavyam / praDAnena hi puruza-arTaH
   kartavyaḥ / sa ca dvividhaḥ / viṣayopabhogaḥ kaivalyaṃ ca / tadubhayaṃ	kartavyaH / sa ca dviviDaH / vizaya-upaBogaH kEvalyam ca / tad-uBayam
   kṛtvā nivartata iti //	kRtvA nivartate iti //
   'svārthaḥ'; iti / yaḥ kaścit devadattasvārtha eva parārtho rahititaṃ	asva-arTaH-a; iti / yaH kaScid devadatta-sva-arTaH eva para-arTaH rahititam
   pravartate na parastapastakaroti (?) tathā pradhānamapītyarthaḥ // 56 //	pravartate na paraH-tapaH-takaroti (?) taTA praDAnam-api-iti-arTaH // 56 //
   kārikā 57	kArikA 57
   nanu ca sacetanasya buddhipūrvikā pravṛttirbhavati,	nanu ca sa-cetanasya budDi-pUrvikA pravRttiH-Bavati,
   pradhānasyācetanatvātkathaṃ lokatraye puruṣaṃ viṣayaiḥ saṃyojya dhyānena	praDAnasya-acetana-tvAt-kaTam lokatraye puruzam vizayEH saMyojya DyAnena
   vipramocya nivarteta / kathamevaṃvidhā pravṛttiḥ / nāyaṃ niyamaḥ,	vipramocya nivarteta / kaTam-evaMviDA pravRttiH / na-ayam niyamaH,
   acetanānāmapi loke pravṛttidarśanāt / yadāha-	acetanAnAm-api loke pravRtti-darSanAt / yat-A-aha-
   vatsavivṛddhinimittaṃ kṣīrasya yathā pravṛttirajñasya /	vatsa-vivRdDi-nimittam kzIrasya yaTA pravRttiH-ajQasya /
   puruṣavimokṣanimittaṃ tathā pravṛttiḥ pradhānasya // ISk_57 //	puruza-vimokza-nimittam taTA pravRttiH praDAnasya // ISc-_57 //
   'vatsavivṛddhinimittam'; ityādi / vatsasya vivṛddhiḥ puṣṭiḥ / tasyā	avatsa-vivRdDi-nimittam-a; ityAdi / vatsasya vivRdDiH puzwiH / tasyAH-
   nimittam //	nimittam //
   'kṣīrasya yathā pravṛttirajñasya'; iti / acetanasya / yathā	akzIrasya yaTA pravRttiH-ajQasya-a; iti / acetanasya / yaTA
   tṛṇadikamacetanaṃ gavāśitaṃ pītaṃ ca, vatsasya puṣṭiḥ kartavyeti,	tRNadikam-acetanam gavASitam pItam ca, vatsasya puzwiH kartavyA-iti,
