   caturtha uddyotaḥ	caturTaH uddyotaH
   pratipāditam /	pratipAditam /
   guṇībhūtvayaṅgyasyāpi tribhedavyaṅgyāpekṣayā ye prakārāstatsamāśrayeṇāpi	guNIBU-tvaI-aFgyasya-api tri-Beda-vyaFgyA-apekzayA ye prakArAH-tad-samASrayeNa-api
   kāvyavastūnāṃ navatvaṃ bhavatyeva /	kAvya-vastUnAm nava-tvam Bavati-eva /
   tattvativistārakārīti nodāhṛtaṃ sahṛdayaiḥ svayamutprekṣaṇīyam /	tattu-ati-vistAra-kArI-iti na-udAhRtam sahRdayEH svayam-utprekzaNIyam /
   locanam darśayati--na cetyādinā /	locanam darSayati--na ca-ityAdinA /
   rathyāyāntulāgreṇa kākatālīyena pratilagnassā mukhyena sa pārśvo 'dyāpi	raTyAyAntula-agreNa kAkatAlIyena pratilagnassA muKyena sa pArSvaH adya-api
   subhaga tasyā yenāsyatikrāntaḥ /	suBaga tasyAH yena-asi-atikrAntaH /
   rasapratītiriti /	rasa-pratItiH-iti /
   parasparahetukaśṛṅgārapratītiḥ /	paraspara-hetuka-SRFgAra-pratItiH /
   asyārthasya rasānuguṇatvaṃ vyatirekadvāreṇa draḍhayati--sā tvāmityādinā /	asya-arTasya rasa-anuguNa-tvam vyatireka-dvAreNa draXayati--sA tvAm-ityAdinA /
   'dhvaneryassaguṇībhūtavyaṅgyasyādhvā pradarśita' ityudyotārambhe yaḥ	aDvaneH-yassa-guNIBUta-vyaFgyasya-aDvA pradarSita-a iti-udyotA-AramBe yaH
   ślokaḥ tatra dhvaneradhvanā kavīnāṃ pratibhāguṇo 'nanto bhavatotyeṣa bhāgo	SlokaH tatra DvaneH-aDvanA kavInAm pratiBA-guNaH anantaH BavatA-uti-eza BAgaH-
   vyākhyāta ityupasaṃharati--tadevamityādinā /	vyAKyAtaH iti-upasaMharati--tadevam-ityAdinA /
   saguṇībhūtavyaṅgyasyetyamuṃ bhāgaṃ vyācaṣṭe--guṇībhūtetyāhinā /	sa-guNIBUta-vyaFgyasya-iti-amum BAgam vyAcazwe---guNIBUta-iti-AhinA /
   triprabhedo vastvalaṅkārarasātmanā yo vyaṅgyaḥ tasya yāpekṣā	tri-praBedaH vastu-alaFkAra-rasa-AtmanA yaH vyaFgyaH tasya yA-apekzA
   vācyeguṇībhāvaḥ tayetyarthaḥ /	vAci-eguNI-BAvaH tayA-iti-arTaH /
   tatra sarve ye dhvanibhedāsteṣāṃ guṇībhāvādānantyamiti	tatra sarve ye Dvani-BedAH-tezAm guNIBAvAt-Anantyam-iti
   tadāha--ativistareti /	tadA-aha--ati-vistara-iti /
   svayamiti /	svayam-iti /
   tatra vastunā vyaṅgyena guṇībhūtena navatvaṃ satyapa purāṇārthasparśe	tatra vastunA vyaFgyena guNIBUtena nava-tvam satyapa purANa-arTa-sparSe
   yathā mamaiva-- bhaavihalarakhkhaṇekakamallasaraṇāgaāṇaaththāṇa /	yaTA mama-eva- Baa-vihala-raKKaNeka-kamalla-saraNa-AgaANa-aTTANa /
   khaṇamattaṃ viṇa diṇṇā vissāmakahetti juttamiṇam // //	KaNa-mattam viNa diNNA vissAmaka-hetti juttamiNam // //
   atra tvamanavaratamarthāstyajasīti audāryalakṣaṇaṃ vastu dhvanyamānaṃ	atra tvam-anavaratam-arTa-astyajasi-iti OdArya-lakzaNam vastu DvanyamAnam
   vācyasyopaskārakaṃ bālapriyā	vAcyasya-upaskArakam bAlapriyA
   tribhedavyaṅgyāpekṣayetyetadvyācaṣṭe--triprabheda ityādi /	tri-Beda-vyaFgyA-apekzayA-iti-etat-vyAcazwe--tri-praBedaH ityAdi /
   bhaavahaleti /	Baavahala-iti /
   bhayavihvalarakṣaṇaikamallaśaraṇāgatānāmarthānām /	Baya-vihvala-rakzaNa-eka-malla-SaraNa-AgatAnAm-arTAnAm /
   kṣaṇamātramātramapi na dattā viśrāmakatheti yuktamidam // //	kzaNa-mAtra-mAtram-api na dattA viSrAma-kaTA-iti yuktam-idam // //
   itichāyā /	itiCAyA /
   itīdaṃyuktamityatra kākvā ityetanna yuktamityarthaḥ /	iti-idaMyuktam-iti-atra kA-akvAH iti-etat-na yuktam-iti-arTaH /
   cāiaṇeti /	cAiaNa-iti /
   locanam navatvandadāti, satyapi purāṇakavispṛṣṭe 'rthe /	locanam nava-tvanda-dAti, sati-api purANaka-vi-spRzwe arTe /
   tathāhi purāṇīgāthā--- cāiaṇakaraparamparasañcāraṇakhe aṇissahasasarīrā /	taTA-hi purANI-gATA-- cAiaNa-kara-parampara-saQcAraNa-Ke aNi-ssahasa-sarIrAH /
   aththā kivaṇadharanththā sathnāpaththāsvavantīva //	aTTA kivaNa-DaranTTA saTnApaTTAsvavantI-iva //
   alaṅkāreṇa vyaṅgyena vācyopaskāre navatvaṃ yathā mamaiva--	alaFkAreNa vyaFgyena vAcya-upaskAre nava-tvam yaTA mama-eva--
   vasantamattāliparamparopamāḥ kacāstavāsan kala rāgavṛddhaye /	vasanta-mat-tAli-parampara-upamAH kacAH-tava-Asan kala rAga-vRdDaye /
   śmaśānabhūbhāgaparāgabhāsurāḥ kathantadetena manāgviraktaye // //	SmaSAna-BU-BAga-parAga-BAsurAH kaTantat-etena manAk-viraktaye // //
   atra hyākṣepeṇa vibhāvanayā ca dhvanyamānābhyāṃ vācyamupaskṛtamiti	atra hi-AkzepeNa viBAvanayA ca DvanyamAnAByAm vAcyam-upaskRtam-iti
   navatvaṃ satyapi purāṇārthayogitve /	nava-tvam sati-api purANa-arTa-yogi-tve /
   tathāhi purāṇaślokaḥ--- kṣuttṛṣṇākāmamātsaryaṃ maraṇācca mahadbhayam /	taTA-hi purANaSlokaH-- kzut-tRzNA-kAma-mAtsaryam maraNAt-ca mahat-Bayam /
   pañcaitāni vivardhante vārdhake viduṣāmapi //	paQca-etAni vivarDante vA-arDake viduzAm-api //
   iti /	iti /
   vyaṅgyena rasena guṇībhūtena vācyopaskāreṇa navatvaṃ yathā mameva-- jarā	vyaFgyena rasena guNIBUtena vAcya-upaskAreNa nava-tvam yaTA mama-iva- jarA
   neyaṃ mūrdhni dhruvamayamasau kālabhujagaḥ krudhāndhaḥ phūtkāraiḥ	na-iyam mUrDni Druvam-ayam-asO kAla-BujagaH kruDa-anDaH PUtkArEH
   sphuṭagaralaphenān prakirati // //	sPuwa-garala-PenAn prakirati // //
   tadenaṃ saṃpaśyatyatha ca sukhitammanyahṛdayaḥ śivo pāyannecchan bata bata	tat-enam saMpaSyati-aTa ca suKitam-manya-hRdayaH SivaH pAyanna-icCan bata bata
   sudhīraḥ khalu janaḥ //	suDIraH Kalu janaH //
   bālapriyā tyāgijanakaraparamparāsañcāraṇakhedanissahaśarīrāḥ /	bAla-priyA tyAgi-jana-kara-paramparA-saQcAraNa-Keda-nissaha-SarIrAH /
   arthāḥ kṛpaṇagṛhasthāḥ svasthāvasthāḥ svapantīva // //	arTAH kRpaNa-gRhasTAH svasTa-avasTAH svapanti-iva // //
   iti chāyā /	iti CAyA /
   arthaḥspaṣṭaḥ /	arTaH-spazwaH /
   vasanteti /	vasanta-iti /
   kañcana mitraṃ prati kasyaciduktiḥ /	kaQcana mitram prati kasyacid-uktiH /
   vasante vasantena vā mattā ye alayo bhṛṅgāstatparamparopamāḥ teṣāṃ	vasante vasantena vA mattAH ye alayaH BRFgAH-tad-parampara-upamAH tezAm
   paramparayā tulyāḥ atinīlasnigdhā iti yāvat /	paramparayA tulyAH ati-nIla-snigDAH iti yAvat /
   tathābhūtāḥ kacā ityanena yauvanadaśā pradarśitā /	taTABUtAH kacAH iti-anena yOvana-daSA pradarSitA /
   tava rāgasya vṛddhaye āsan kila /	tava rAgasya vRdDaye Asan kila /
   śmaśānabhūbhāge ye parāgāḥ bhasmareṇavaste iva bhāsurāḥ śubhrāḥ jarayā	SmaSAna-BU-BAge ye parAgAH Basma-reNavaH-te iva BAsurAH SuBrAH jarayA
   śuklā iti yāvat /	SuklAH iti yAvat /
   ete kacāḥ /	ete kacAH /
   rāgasya vairāgyasya coddīpakatvāttattadupamānamupāttam /	rAgasya vErAgyasya ca-uddIpaka-tvAt-tat-tad-upamAnam-upAttam /
   tava manāgīṣadupi viraktaye vairāgyāya na bhavanti /	tava manAgIzat-upi viraktaye vErAgyAya na Bavanti /
   tat tathaṃ vairāgyasya kāraṇe satyapi tadajananaṃ kuta ityarthaḥ /	tat taTam vErAgyasya kAraNe sati-api tat-ajananam kutas iti-arTaH /
   anena pratyuta kāraṇābhāve 'pi kāma eva vardhanta ityarthasya kāmasya	anena pratyuta kAraNa-aBAve api kAmaH eva varDantaH iti-arTasya kAmasya
   mahimā varṇayitumaśakya ityarthasya ca prakāśanādvibhāvanākṣepau vyajyete,	mahimA varNayitum-aSakyaH iti-arTasya ca prakASanAt-viBAvana-AkzepO vyajyete,
   tābhyāṃ ca vācyamupaskriyata ityāha--atra hītyādi // //	tAByAm ca vAcyam-upaskriyate iti-Aha--atra hi-ityAdi // //
   kṣuttṛṇṇetyādisamāhāradvandvaḥ /	kzut-tRNNA-ityAdi-samAhAra-dvandvaH /
   jareti /	jarA-iti /
   jarājīrṇa kañciduśyoktiḥ /	jarA-jIrNa kaQciduSyoktiH /
   mūrdhni iyaṃ dṛśyamānā jarā na bhavati /	mUrDni iyam dRSyamAnA jarA na Bavati /
   ayamasau kradhāndhaḥ /	ayam-asO kraDa-anDaH /
   kālabhujagaḥ kṛṇṇasarpaḥ /	kAla-BujagaH kRNNasarpaH /
   atha ca antakarūpo bhujagaḥ /	aTa ca antaka-rUpaH BujagaH /
   phūtkāraiḥ sphuṭaṃ garalaṃ yeṣu tathābhūtān phenān prakirati varṣati /	PUtkArEH sPuwam garalam yezu taTABUtAn PenAn prakirati varzati /
   iyaṃ na jarā, kintu śirasthakālabhujagābhivṛṣṭaḥ phenanikara	iyam na jarA, kintu Sira-sTa-kAla-Bujaga-aBivRzwaH Pena-nikara
   dhvaner itthaṃ guṇībhūta-vyaṅgyasya ca samāśrayāt /	DvaneH itTam guNIBUta-vyaFgyasya ca samASrayAt /
   na kāvyārtha-virāmo 'sti yadi syāt pratibhā-guṇaḥ // DhvK_4.6 //	na kAvya-arTa-virAmaH asti yadi syAt pratiBA--guNaH // DhvK_4.6 //
   dhvaneritthaṃ guṇībhūtavyaṅgyasya ca samāśrayāt /	DvaneH-itTam guNIBUta-vyaFgyasya ca samASrayAt /
   na kāvyārthavirāmo 'sti yadi syātpratibhāguṇaḥ // 6 //	na kAvya-arTa-virAmaH asti yadi syAt-pratiBA-guNaH // 6 //
   satsvapi purātanakaviprabandheṣu yadi syātpratibhāguṇaḥ, tasmiṃstvasati na	satsu-api purAtanaka-vipra-banDezu yadi syAt-pratiBA-guNaH, tasmin=-tu-asati na
   kiñcideva kavervastvasti /	kiQcid-eva kaveH-vastu-asti /
   bandhacchāyāpyarthadvayānurūpaśabdasanniveśo 'rthapratibhānābhāve	banDa=-CAyA-api-arTa-dvaya-anurUpa-Sabda-sanniveSaH arTa-pratiBAna-aBAve
   kathamupapadyate /	kaTam-upapadyate /
   anapekṣitārthaviśeṣākṣapapatanaina bandhacchāyeti nedaṃ nedīyaḥ	anapekzita-arTa-viSeza-akzapa-patana-ena banDa=-CAyA-iti na-idam nedIyaH
   sahṛdayānām /	sahRdayAnAm /
   evaṃ hi satyarthānapekṣacaturamadhuravacanaracanāyāmapi locanam	evam hi sati-arTa-anapekza-catura-maDura-vacana-racanAyAm-api locanam
   atrādbhutena vyaṅgyena vācyamupaskṛtaṃ śāntarasapratipatyaṅgatvāccāru	atra-adButena vyaFgyena vAcyam-upaskRtam SAnta-rasa-pratipati-aFga-tvAt-cAru
   bhavatīti navatvaṃ satyapyasmin purāṇaśloke jarājīrṇaśarīrasya vairāgyaṃ	Bavati-iti nava-tvam sati-api-asmin purANa-Sloke jarA-jIrNa-SarIrasya vErAgyam
   yanna jāyate, tannunaṃ hṛdaye mṛtyurdṛḍhannāstīti niścayaḥ // 5 // // //	yat-na jAyate, tat-nunam hRdaye mRtyuH-dRXannA-asti-iti niScayaH // 5 // // //
   satsvapītyādi kārikāyā upaskāraḥ /	satsu-api-ityAdi kArikAyAH upaskAraH /
   trīn pādān spaṣṭānmatvā turyaṃ pādaṃ vyākhyātuṃ paṭhati--yadīti /	trIn pAdAn spazwAn-matvA turyam pAdam vyAKyAtum paWati--yadi-iti /
   vidyamāno hyasau pratibhāgaṇa uktarītyā bhūyān bhavati, na	vidyamAnaH hi-asO pratiBA-gaNaH ukta-rItyA BUyAn Bavati, na
   tvatyantāsannevetyarthaḥ /	tu-atyanta-Asan=-eva-iti-arTaH /
   tasminniti /	tasmin=-iti /
   anantībhūte pratibhāguṇe /	anantIBUte pratiBA-guNe /
   na kiñcideveti /	na kiQcid-eva-iti /
   sarva hi purāṇakavinaiva spṛṣṭamiti kimidānīṃ varṇyaṃ, yatra	sarva hi purANa-kavinA-eva spRzwam-iti kim-idAnIm varNyan, yatra
   kavervarṇanāvyāpārassyāt /	kaveH-varNanA-vya-apAra-ssyAt /
   nanu yadyapi varṇyamapūrvannāsti,	nanu yadi-api varNyam-apUrvat-nAsti,
   tathāpyuktiparipākagumbhaghaṭanādyaparaparyāyabandhacchāyā navanavā	taTA-api-ukti-paripAka-gumBa-Gawana-Adi-apara-paryAya-banDa=-CAyA nava-navA
   bhaviṣyati /	Bavizyati /
   yannaveśane kāvyāntarāṇāṃ saṃrambha ityāśaṅkyāha---bandhacchāyāpīti /	yat-na-veSane kAvya-antarANAm saMramBaH iti-ASaFkya-aha---banDa=-CAyA-api-iti /
   arthadvayaṃ guṇībhūtavyaṅgyaṃ pradhānabhūtaṃ vyaṅgyaṃ ca /	arTa-dvayam guNIBUta-vyaFgyam praDAna-BUtam vyaFgyam ca /
   nedīya iti /	nedIyaH iti /
   nikaṭataraṃ hṛdayānupraveśi na bhavatītyarthaḥ /	nikawataram hRdaya-anupraveSi na Bavati-iti-arTaH /
   atra hetumāha--evaṃ hi satīti /	atra hetumAha--evam hi sati-iti /
   bālapriyā ityarthaḥ /	bAla-priyAH iti-arTaH /
   dhruvamityutprekṣāyām /	Druvam-iti-utprekzAyAm /
   taditi janaḥ /	tat-iti janaH /
   tadenān tathābhūtān phenān /	tad-enAn taTABUtAn PenAn /
   phenamiti tadenamiti vā pāṭhaḥ /	Penam-iti tat-enam-iti vA pAWaH /
   sampaśyati atha ca sukhitamanyahṛdayaḥ śivopāyaṃ necchaṃśca /	sampaSyati aTa ca suKitam-anya-hRdayaH Siva-upAyam na-icCan=-ca /
   ataḥ sudhīraḥ khalvityanvayaḥ /	atas suDIraH Kalu-iti-anvayaH /
   batetyadbhute /	bata-iti-adBute /
   jareti /	jarA-iti /
   taditi tasmādityarthaḥ /	tat-iti tasmAt-iti-arTaH /
   mṛtyurnāstīti viścayaḥ hṛdayedṛḍhamasti nūnamityanvayaḥ // 5 // // //	mRtyuH-na-asti-iti viScayaH hRdayedRXam-asti nUnam-iti-anvayaH // 5 // // //
   upaskāra iti /	upaskAraH iti /
   satsvapītyādeḥ na kāvyārthavirāmo 'stītyanenānvaya iti bhāvaḥ /	satsu-api-iti-AdeH na kAvya-arTa-virAmaH asti-iti-anena-anvayaH iti BAvaH /
   yadītyāderbhāvaṃ vivṛṇoti--vidyamāna ityādi /	yadi-iti-AdeH-BAvam vivRNoti--vidyamAnaH ityAdi /
   vṛttau 'bandhacchāye'tyasya vivaraṇam--'arthadvayānurūpaśabdasanniveśa'iti	vRttO abanDa=-CAye-atyasya vivaraNam---aarTa-dvaya-anurUpa-Sabda-sanniveSa-aiti
   tadrūpā bandhacchāyetyarthaḥ /	tad-rUpA banDa=-CAyA-iti-arTaH /
   'anapekṣite'tyādiśaṅkāgranthaḥ /	aanapekzite-ati-Adi-SaFkA-granTaH /
   itīdaṃ sahṛdayānāṃ na nedīya iti sambandhaḥ /	iti-idam sahRdayAnAm na nedIyaH iti sambanDaH /
   punaśśaṅkate--'śabdārthayo'rityādi /	punar-SaFkate---aSabda-arTayaH-arityAdi /
   'kāvyatva' iti nimitte saptamī /	akAvya-tva-a iti nimitte saptamI /
   śabdārthayoḥ sahitayoḥ kāvyatvena hetunetyarthaḥ /	Sabda-arTayoH sahitayoH kAvya-tvena hetunA-iti-arTaH /
   'tathāvidha' iti /	ataTAviDa-a iti /
   arthānapekṣacaturamadhuravacanaracana ityarthaḥ /	arTa-anapekza-catura-maDura-vacana-racanaH iti-arTaH /
   'kavyavyavasthe'ti /	akavya-vyavasTe-ati /
   kāvyavyapadeśa ityarthaḥ /	kAvya-vyapadeSaH iti-arTaH /
   samādhatte---'pare'tyādi /	samADatte----apare-atyAdi /
   'tatkāvyatve'ti tatpadena paraḥ parāmṛśyate /	atad-kAvya-tve-ati tad-padena paraH parAmRSyate /
   'kāvyasandarbhāṇām' iti /	akAvya-san-darBANAm-a iti /
   tatkāvyatvavyavahāra ityanuṣajyate /	tad-kAvya-tva-vyavahAraH iti-anuzajyate /
   kāvyavyapadeśaḥ pravarteta /	kAvya-vyapadeSaH pravarteta /
   śabdārthayoḥ sāhityena kāvyatve kathaṃ tathāvidhe viṣaye kāvyavyavastheti	Sabda-arTayoH sAhityena kAvya-tve kaTam taTAviDe vizaye kAvya-vyavasTA-iti
   cet---paropanibaddhārthaviracane yathā tatkāvyatvavyavahārastathā	cet---para-upanibadDa-arTa-viracane yaTA tad-kAvya-tva-vyavahAraH-taTA
   tathāvidhānāṃ kāvyasandarbhāṇām /	taTAviDAnAm kAvya-sandarBANAm /
   na cārthānantyaṃ vyaṅgyārthāpekṣayaiva yāvadvācyārthāpekṣayāpīti	na ca-arTa-Anantyam vyaFgya-arTa-apekzayA-eva yAvat-vAcya-arTa-apekzayA-api-iti
   pratipādayitumucyate--	pratipAdayitum-ucyate--
   avasthādeśa-kālādi-viśeṣair api jāyate /	avasTA-deSa--kAla-Adi--viSezEH api jAyate /
   ānantyam eva vācyasya śuddhasyāpi svabhāvataḥ // DhvK_4.7 //	Anantyam eva vAcyasya SudDasya-api svaBAvataH // DhvK_4.7 //
   avasthādeśakālādiviśeṣairapi jāyate /	avasTA-deSa-kAla-Adi-viSezEH-api jAyate /
   ānantyameva vācyasya śuddhasyāpi svabhāvataḥ // 7 //	Anantyam-eva vAcyasya SudDasya-api svaBAvataH // 7 //
   śuddhasyānapekṣitavyaṅgyasyāpi vācyasyānantyameva jāyate svabhāvataḥ /	SudDasya-anapekzita-vyaFgyasya-api vAcyasya-Anantyam-eva jAyate svaBAvataH /
   svabhāvo hyayaṃ vācyānāṃ cetanānāmacetanānāṃ ca	svaBAvaH hi-ayam vAcyAnAm cetanAnAm-acetanAnAm ca
   yadavasthābhedāddeśabhedātkālabhedātsvālakṣaṇyabhedāccānantatā bhavati /	yad-avasTA-BedAt-deSa-BedAt-kAla-BedAt-svAlakzaNya-BedAt-ca-ananta-tA Bavati /
   taiśca tathāvyavasthitaiḥ sadbhiḥ prasiddhānekasvabhāvānusaraṇarūpayā	tEH-ca taTA-avyavasTitEH sadBiH prasidDa-aneka-svaBAva-anusaraNa-rUpayA
   svabhāvoktyāpi tāvadupanibadhyamānairniravadhiḥ locanam caturatvaṃ	svaBAva-uktyA-api tAvat-upanibaDyamAnEH-niravaDiH locanam catura-tvam
   samāsasaṅghaṭanā /	samAsa-saFGawanA /
   madhuratvamapāruṣyam /	maDura-tvam-apAruzyam /
   tathāvidhānāmiti /	taTAviDAnAm-iti /
   apūrvabandhacchāyāyuktānāmapi paropanibaddhārthanibandhane	apUrva-banDa=-CAyA-yuktAnAm-api para-upanibadDa-arTa-nibanDane
   parakṛtakāvyatvavyavahāra eva syādityarthasyāpūrvatvamāśrayaṇīyam /	para-kRta-kAvya-tva-vyavahAraH eva syAt-iti-arTasya-apUrva-tvam-ASrayaNIyam /
   kavanīyaṃ kāvyaṃ tasya bhāvaḥ kāvyatvaṃ, na tvayaṃ bhāvapratyayāntāt	kavanIyam kAvyam tasya BAvaH kAvya-tvaM, na tu-ayam BAva-pratyaya-antAt-
   bhāvapratyaya iti śaṅkitavyam // 6 // // //	BAva-pratyayaH iti SaFkitavyam // 6 // // //
   pratipādayitumiti /	pratipAdayitum-iti /
   prasaṅgāditi śeṣaḥ /	prasaFgAt-iti SezaH /
   yadi vā vācyantābadvividhavyaṅgyopayogi tadeva cedanantaṃ tadbalādeva	yadi vA vAcyantA-badviviDa-vyaFgyA-upayogi tat-eva ced-anantam tat-balAt-eva
   vyaṅgyānantyaṃ bhavatītyabhiprāyeṇedaṃ prakṛtamevocyate /	vyaFgya-Anantyam Bavati-iti-aBiprAyeNa-idam prakRtam-eva-ucyate /
   śuddhasyeti /	SudDasya-iti /
   vyaṅgyaviṣayo yo vyāpāraḥ tatsparśaṃ vināpyānantyaṃ svarūpamātreṇaiva	vyaFgya-vizayaH yaH vyApAraH tad-sparSam vinA-api-Anantyam sva-rUpa-mAtreNa-eva
   paścāttu tathā svarūpeṇānantaṃ sadvyaṅgyaṃ vyanaktīti bhāvaḥ /	paScAt-tu taTA sva-rUpeNa-anantam sat-vyaFgyam vyanakti-iti BAvaH /
   na tu sarvathā tatra vyaṅgyaṃ nāstīti mantavyamātmabhūtatadrūpābhāve	na tu sarvaTA tatra vyaFgyam na-asti-iti mantavyam-Atma-BUta-tad-rUpa-aBAve
   kāvyavyavahārahāneḥ; tathā codāharaṇeṣu rasadhvanessadbhāvo 'styeva /	kAvya-vyavahAra-hAneH; taTA ca-udAharaNezu rasa-DvaneH-sadBAvaH asti-eva /
   ādigrahaṇaṃ vyācaṣṭe---svālakṣeyeti /	Adi-grahaNam vyAcazwe---svAlakzeya-iti /
   svarūpetyarthaḥ /	svarUpA-iti-arTaH /
   yathārūpasparśayostīvraikāvasthayorekadravyaniṣṭhayorekakālayośca /	yaTArUpa-sparSayoH-tIvra-eka-avasTayoH-eka-dravya-nizWayoH-eka-kAlayoH-ca /
   bālapriyā syāditi śeṣaḥ /	bAlapriyA syAt-iti SezaH /
   locane bhāvaṃ vivṛṇoti---apūrvabandhetyādi /	locane BAvam vivRNoti---a-pUrva-banDa-ityAdi /
   kāvyatvamityasya vyutpattiṃ darśayati---kavanīyamityādi // 6 // // //	kAvya-tvam-iti-asya vyutpattim darSayati---kavanIyam-ityAdi // 6 // // //
   kārikāsthaṃ śuddhasyeti padamanyathāpratipattiparihārāya	kArikA-sTam SudDasya-iti padam-anyaTA-pratipatti-parihArAya
   vyācaṣṭe--vyaṅgyetyādi /	vyAcazwe---vyaFgyA-ityAdi /
   vyāpāra iti /	vyApAraH iti /
   vācyasyeti śeṣaḥ /	vAcyasya-iti SezaH /
   ātmeti /	AtmA-iti /
   ātmabhūtasya vyaṅgyasyābhāva ityarthaḥ /	Atma-BUtasya vyaFgyasya-aBAvaH iti-arTaH /
   hāniḥ abhāvaḥ /	hAniH aBAvaH /
   nanu kīdṛśaṃ vyaṅgyaṃ tatra bhavatītyatrāha---tathācetyādi /	nanu kIdRSam vyaFgyam tatra Bavati-iti-atra-Aha---taTAca-ityAdi /
   vṛttau'anapekṣitavyaṅgyasye'tyetadapyuktarītyā vyākhyeyam /	vRttO-aanapekzita-vyaFgyasye-ati-etat-api-ukta-rItyA vyAKyeyam /
   'taiśce'ti /	atEH-ce-ati /
   'taiḥ' vācyārthaiḥ /	atEH-a vAcya-arTEH /
   'prathamameve'ti /	apraTamam-eve-ati /
   kāvyārthaḥ sampadyate /	kAvya-arTaH sampadyate /
   tathā hyavasthābhedānnavatvaṃ yathā---bhagavatīpārvatī kumārasambhave	taTA hi-avasTA-BedAt-nava-tvam yaTA---BagavatI-pArvatI kumAra-samBave
   'sarvopamādravyasamuccayena' ityādibhiruktibhiḥ prathamameva	asarva-upamA-dravya-samuccayena-a iti-AdiBiH-uktiBiH praTamam-eva
   parisamāpitarūpavarṇanāpi punarbhagavataḥ śambhorlocanagocaramāyāntī	parisamApita-rUpa-varNanA-api punar-BagavataH SamBoH-locana-gocaram-AyAntI
   'vasantapuṣpābharaṇaṃ vahantī' manmathopakaraṇabhūtena	avasanta-puzpa-ABaraNam vahantI-a manmaTa-upakaraNa-BUtena
   bhaṅgyantareṇopavarṇitā /	BaFgi-antareNa-upavarNitA /
   saiva ca punarnavodvāhasamaye prasādhyamānā 'tāṃ prāṅmukhīṃ tatra niveśya	sA-eva ca punarnavA-udvAha-samaye prasADyamAnAH atAm prAFmuKIm tatra niveSya
   tanvīm' ityādyuktirbhirnavenaiva prakāreṇa nirūpitarūpasauṣṭhavā /	tanvIma ityAt-yuktirBiH-navena-eva prakAreNa nirUpita-rUpa-sOzWavAH /
   na ca te tasya kaverekatraivāsakṛtkṛtā varṇanaprakārā apunaruktatvena vā	na ca te tasya kaveH-ekatra-eva-asakRt-kRtA varNana-prakArAH apunarukta-tvena vA
   navanavārthanirbharatvena vā pratibhāsante /	nava-nava-arTa-nirBara-tvena vA pratiBAsante /
   darśitameva caitadviṣamabāṇalīlāyām--- ṇa a tāṇa ghaḍai ohī ṇa a te	darSitam-eva ca-etat-vizama-bANa-lIlAyAm-- Na a tANa GaxEH ohI Na a te
   dīsanti kaha vi punaruttā /	dIsanti kaha vi punar-uttAH /
   je vibbhamā piāṇaṃ atthā vā sukaivāṇīṇam // //	je vibBamA piANam atTAH vA sukEvANINam // //
   ayamaparaścāvasthābhedaprakāro yadacetanānāṃ sarveṣāṃ cetanaṃ dvitīyaṃ	ayam-aparaH-ca-avasTA-Beda-prakAraH yat-acetanAnAm sarvezAm cetanam dvitIyam
   rūpamabhimānitvaprasiddhaṃ himavadgaṅgādīnām /	rUpam-aBimAni-tva-prasidDam himavat-gaFgA-AdInAm /
   taccocitacetanabiṣayasvarūpayojanayopanibadhyamānamanyadeva sampadyate /	tad-ca-ucita-cetana-bizaya-svarUpa-yojanayA-upanibaDyamAnam-anyat-eva sampadyate /
   yathā kumārasambhava eva parvatasvarūpasya himavato varṇanaṃ, punaḥ	yaTA kumAra-samBavaH eva parvata-svarUpasya himavataH varNanaM, punar-
   saptarṣipriyoktiṣu cetanatassvarūpāpekṣayā pradarśitaṃ tadapūrvameva	saptarzi-priya-uktizu cetanatassvarUpa-apekzayA pradarSitam tat-apUrvam-eva
   pratibhāti /	pratiBAti /
   prasiddhaścāyaṃ satkavīnāṃ mārgaḥ /	prasidDaH-ca-ayam sat-kavInAm mArgaH /
   idaṃ locanam na ca teṣāṃ ghaṭate 'vadhiḥ, na ca te dṛśyante kathamapi	idam locanam na ca tezAm Gawate avaDiH, na ca te dRSyante kaTam-api
   punaruktāḥ /	punaruktAH /
   ye vibhramāḥ priyāṇāmarthā vā sukavivāṇīnām // //	ye viBramAH priyANAm-arTAH vA su-kavi-vANInAm // //
   cakārābhyāmativismayassūcyate /	cakArAByAm-ati-vismayassUcyate /
   kathamapīti /	kaTam-api-iti /
   prayatnenāpi vicāryamāṇaṃ paunaruktyaṃ na labhyamiti yāvat /	prayatnena-api vicAryamANam pOnaruktyam na laByam-iti yAvat /
   priyāṇāmiti /	priyANAm-iti /
   bahuvallabho hi subhago rādhāvallabhaprāyastāstāḥ kāminīḥ	bahu-vallaBaH hi suBagaH rADAvallaBa-prAyaH-tAH-tAH kAminIH
   paribhogasubhagamupabhuñjāno 'pi na vibhramapaunaruktyaṃ paśyati tadā /	pariBoga-suBagam-upaBuQjAnaH api na viBrama-pOnaruktyam paSyati tadA /
   etadeva priyātvamucyate, yadāha-- bālapriyā prathamasarga ityarthaḥ /	etat-eva priyA-tvam-ucyate, yat-A-aha- bAla-priyA praTama-sargaH iti-arTaH /
   'upavarṇite'ti /	aupavarNite-ati /
   tṛtīyasarga iti śeṣaḥ /	tRtIya-sargaH iti SezaH /
   'nirūpitarūpasauṣṭhave'ti /	anirUpita-rUpa-sOzWave-ati /
