   prastāvanā /	prastAvanA /
   tasyodāharaṇam----	tasya-udAharaNam-----
   yadyapyatyantamucito varenduste na labhyate /	yadi-api-atyantam-ucitaH vara-induH-te na laByate /
   tathāpi vacmi kutrāpi kriyatāmādaro nare // UKss_5.*10 //	taTA-api vacmi kutra-api kriyatAm-AdaraH nare // UKsH-_5.*10 //
   atra varenduriti vara eva induḥ, vara induriveti	atra vara-induH-iti varaH eva induH, varaH induH-iva-iti
   rūpakasamāsopamayordvayoralaṅkārayorullekhaḥ /	rUpaka-samAsa-upamayoH-dvayoH-alaFkArayoH-ulleKaH /
   na ca tasyānekasyālaṅkārasya yugapadvṛttiḥ saṃbhavati /	na ca tasya-anekasya-alaFkArasya yugapad-vRttiH saMBavati /
   ekālaṅkārasaṃśrayeṇaivālaṅkārasya kṛtakṛtyātvāt /	eka-alaFkAra-saMSrayeNa-eva-alaFkArasya kRtakRtyA-tvAt /
   na cātra dvayormadhyādekatarasya grahaṇāya sādhakabādhakapramāṇayogaḥ.	na ca-atra dvayoH-maDyAt-ekatarasya grahaNAya sADaka-bADaka-pramANa-yogaH.
   sādhakaṃ hi pramāṇaṃ vidyamānaṃ vidhimukhenālaṅkāraṃ jñāpayet /	sADakam hi pramANam vidyamAnam viDi-muKena-alaFkAram jQApayet /
   tathā bādhakamapi prahātavyālaṅkāraniṣedhamukhenopādeyamalaṅkāraṃ	taTA bADakam-api prahAtavya-alaFkAra-nizeDa-muKena-upAdeyam-alaFkAram
   pūrvollikhitaṃ pāriśeṣyādupādeyatayā pratipādayati /	pUrva-ulliKitam pAriSezyAt-upAdeya-tayA pratipAdayati /
   atra tu dvayoḥ sādhakabādhakapramāṇayorabhāvātsaṃdehaḥ /	atra tu dvayoH sADaka-bADaka-pramANayoH-aBAvAt-saMdehaH /
   tena saṃkaro 'laṅkāraḥ /	tena saMkaraH alaFkAraH /
   śabdārthavartyalaṅkārastu-----	Sabda-arTa-varti-alaFkAraH-tu-----
   śabdārthavartyalaṅkārā vākya ekatra bhāsinaḥ /	Sabda-arTa-varti-alaFkArAH vAkyaH ekatra BAsinaH /
   saṃkaro vā	saMkaraH vA
   yatraikasminvākye śabdavartinor'thavartinaścālaṅkārāḥ saṃsargamupayānti sa	yatra-ekasmin-vAkye Sabda-vartinor-aTa-vartinaH-ca-alaFkArAH saMsargam-upayAnti sa
   śabdārthālaṅkāraḥ /	Sabda-arTa-alaFkAraH /
   tasyodāharaṇam----	tasya-udAharaNam-----
   itthaṃ sthitirvarārthā cenmā kṛthā vyarthamarthitām /	itTam sTitiH-vara-arTA ced-mA kRTAH vyarTam-arTitAm /
   rūpeṇa te yuvā sarvaḥ pādabaddho hi kiṅkaraḥ // UKss_5.*11 //	rUpeNa te yuvA sarvaH pAda-badDaH hi kiFkaraH // UKsH-_5.*11 //
   varārthā bhartrarthā /	vara-arTAH BartR-arTAH /
   kiṅkaro dāsaḥ /	kiFkaraH dAsaH /
   atra thakāropanibaddho 'nuprāsātmakaḥ śabdālaṅkāraḥ /	atra TakAra-upanibadDaH anuprAsa-AtmakaH Sabda-alaFkAraH /
   arthālaṅkāraścārthāntaranyāso vidyate /	arTa-alaFkAraH-ca-arTa-antaranyAsaH vidyate /
   tathāhi---atra mākṛthā vyarthamarthitāmityupāditsiter'the	taTA-ahi---atra mA-AkRTAH vyarTam-arTitAm-iti-upAditsiter-aTe
   'rthitvasyākaraṇaṃ yadupanibaddhaṃ tadanupapadyamānatayā saṃbhāvya	arTi-tvasya-akaraNam yat-upanibadDam tad-anupapadyamAna-tayA saMBAvya
   tatsamarthanāyoktaṃ 'rūpeṇa te yuvā sarvaḥ pādabaddho hi kiṅkara'iti /	tad-samarTanAya-uktam arUpeNa te yuvA sarvaH pAda-badDaH hi kiFkara-aiti /
   yo guṇotkarṣaśālī sa nārthayate, apitvarthyate yathā ratnādi /	yaH guNa-utkarza-SAlI sa na-arTayate, apitvarTyate yaTA ratna-Adi /
   tvaṃ ca rūpavattvādguṇotkarṣaśālinī /	tvam ca rUpavat-tvAt-guNa-utkarza-SAlinI /
   tasmādupāditsiter'the	tasmAt-upAditsiter-aTe
   tavārthitvamayuktamiti /	tava-arTi-tvam-ayuktam-iti /
   tenāyaṃ śabdārthavartyalaṅkārasaṃkaraḥ //	tena-ayam Sabda-arTa-varti-alaFkAra-saMkaraH //
   ekaśabdābhidhānasaṃkarastu /	eka-Sabda-aBiDAna-saMkaraH-tu /
   ekavākyāṃśapraveśādvābhidhīyate // UKss_5.12 //	eka-vAkya-aMSa-praveSAt-vA-aBiDIyate // UKsH-_5.12 //
   ekasminvākyāṃśe vākyaikadeśe yatrānekasyālaṅkārasyānupraveśaḥ sa	ekasmin-vAkya-aMSe vAkya-eka-deSe yatra-anekasya-alaFkArasya-anupraveSaH sa
   ekaśabdābhidhānasaṃkaraḥ /	eka-Sabda-aBiDAna-saMkaraH /
   tasyodāharaṇam----	tasya-udAharaNam-----
   maivamevāssva sacchāyavarṇikā cārukarṇikā /	mA-evam-eva-Assva sacCAyavarNikA cAru-karNikA /
   ambhojinī citrasthā dṛṣṭimātrasukhapradā // UKss_5.*12 //	amBojinI citra-sTA dRzwi-mAtra-suKa-pradA // UKsH-_5.*12 //
   atropamālaṅkāra upamāpratibhotpattihetubhūtaśca śleṣa ityetau	atra-upama-alaFkAraH upamA-pratiBA-utpatti-hetu-BUtaH-ca SlezaH iti-etO
   dvāvalaṅkārāvekasminvākyāṃśe ivaśabde 'nupraviṣṭau /	dvO=-alaFkArO=-ekasmin-vAkya-aMSe iva-Sabde anupravizwO /
   tathāhi---ambhojinī upamānam, gaurī upameyā, dṛṣṭimātrasukhapradatvaṃ	taTA-hi---amBojinI upamAnam, gOrI upameyA, dRzwi-mAtra-suKa-prada-tvam
   sādhāraṇo dharmaḥ ityupamā /	sADAraNaH DarmaH iti-upamA /
   sacchāyavarṇikā cārukarṇiketi śleṣaḥ /	sa=-CAyavarNikA cArukarNikA-iti SlezaH /
   ambhojinyāṃ hi varṇā rājavartādayaḥ gauryāṃ tu gauratvam /	amBojinyAm hi varNAH rAjavarta-AdayaH gOryAm tu gOra-tvam /
   ambhojinyāṃ karṇikā kamalamadhvarttibījakośaḥ /	amBojinyAm karNikA kamalam-aDu-artti-bIja-koSaH /
   gauryāṃ tu cārū karṇau /	gOryAm tu cArU karNO /
   kapūcātra samāsāntaḥ /	kapUcA-atra samAsa-antaH /
   tenāyaṃ śleṣaḥ /	tena-ayam SlezaH /
   etau ca dvāvalaṅkārā vekasminvākyāṃśe ivaśabde 'nupraviṣṭau /	etO ca dvO=-alaFkArAH vekasmin-vAkya-aMSe iva-Sabde anupravizwO /
   tenāyamekaśabdābhidhānasaṃkaraḥ //	tena-ayam-eka-Sabda-aBiDAna-saMkaraH //
   anugrāhyānugrāhakasaṃkarastu----	anugrAhya-anugrAhaka-saMkaraH-tu----
   parasparopakāreṇa yatrālaṅkṛtayaḥ sthitāḥ /	paraspara-upakAreNa yatra-alaFkRtayaH sTitAH /
   svātantryeṇātmalābhaṃ no labhante so 'pi saṃkaraḥ // UKss_5.13 //	svAtantryeNa-Atma-lABam naH laBante saH api saMkaraH // UKsH-_5.13 //
   yatrobhayorupamānopameyayoḥ parasparamupamānopameyabhāvastatropameyopamā /	yatra-uBayoH-upamAna-upameyayoH parasparam-upamAna-upameya-BAvaH-tatra-upameya-upamA /
   upameyenopamānasyopamānāt /	upameyena-upamAnasya-upamAnAt /
   nanu ca prākaraṇikaṃ sāmyābhidhānasaṃbandhi upameyaṃ /	nanu ca prAkaraNikam sAmya-aBiDAna-saMbanDi upameyam /
   aprākaraṇikaṃ upamānaṃ /	aprAkaraNikam upamAnam /
   yadi cātropameyasyopamānatvamabhidhīyate, evaṃ	yadi ca-atra-upameyasya-upamAna-tvam-aBiDIyate, evam
   sati tasya prākaraṇikatvaṃ vyāhanyate	sati tasya prAkaraNika-tvam vyAhanyate
   ityāśaṅkyoktam---pakṣāntarahānigāmiti /	iti-ASaFkya-uktam----pakza-antara-hAni-gAm-iti /
   nātropamānopameyabhāve tātparyaṃ kintu etadeva dvayamevaṃvidhaṃ vidyate,	na-atra-upamAna-upameya-BAve tAtparyam kintu etat-eva dvayam-evaMviDam vidyate,
   na tvanyadetayoḥ sadṛśaṃ vastvantaraṃ vidyate iti /	na tu-anyat-etayoH sadRSam vastu-antaram vidyate iti /
   ataśca etatpakṣadvitayavyatiriktasya pakṣāntarasyātra hānervivakṣitatvāt	atas-ca etad-pakza-dvitaya-vyatiriktasya pakza-antarasya-atra hAneH-vivakzita-tvAt-
   parasparamupamānopameyabhāvo na duṣyatīti tasya pakṣāntarahānau	parasparam-upamAna-upameya-BAvaH na duzyati-iti tasya pakza-antara-hAnO
   pratapādyāyāmavāntaravākyārthatvenāvasthānāt, varaṃ viṣaṃ bhakṣaya mā	pratapAt-yAyAm-avAntara-vAkya-arTa-tvena-avasTAnAt, varam vizam Bakzaya mA
   cārasya gṛhe bhuṅkthāḥ itivat /	cArasya gRhe BuFkTAH iti-vat /
   atra hi viṣabhakṣaṇaṃ na vidhīyate /	atra hi viza-BakzaNam na viDIyate /
   durjanagṛhe bhojanaparivarjanatātparyāt /	durjana-gRhe Bojana-parivarjana-tAtparyAt /
   evamihāpyupamānopameyabhāvasyāvivakṣāpakṣāntarahānau tātparyāt /	evam-iha-api-upamAna-upameya-BAvasya-avivakzA-pakza-antara-hAnO tAtparyAt /
   tasyā udāharaṇam---	tasyAH udAharaNam---
   hareṇeva smaravyādhastvayānaṅgīkṛto 'pi san /	hareNa-iva smara-vyADaH-tvayA-anaFgIkRtaH api san /
   tvadvapuḥ kṣaṇamapyeṣa dhārṣṭyādiva na muñcati // UKss_5.*13 //	tvad-vapuH kzaNam-api-eza DArzwyAt-iva na muQcati // UKsH-_5.*13 //
   atra dhārṣṭyādi na muñcatīti yāsāvutprekṣā sā hareṇeva	atra DArzwya-Adi na muQcati-iti yA-asO=-utprekzA sA hareNa-iva
   smaravyādhastvayānaṅgīkṛto 'pi sannityupamāpratibhotpattihetuśleṣavaśena	smara-vyADaH-tvayA-anaFgIkRtaH api san=-ityu-pama-apratiBA-utpatti-hetu-Sleza-vaSena
   svarūpaṃ pratilabhate /	sva-rUpam pratilaBate /
   anaṅgīkṛto hi anaṅgatvamaśarīratvamāpāditaḥ anūrīkṛtaśca /	anaFgIkRtaH hi anaFga-tvam-aSarIra-tvam-ApAditaH anUrIkRtaH-ca /
   yaścānūrīkṛtaḥ kṣaṇamapi na muñcati tatra dhārṣṭyaṃ hetutayotprekṣituṃ	yaH-ca-anUrIkRtaH kzaNam-api na muQcati tatra DArzwyam hetutayA-utprekzitum
   śakyate /	Sakyate /
   tena śleṣavaśenātrotpreksā āsāditasvabhāvā /	tena Sleza-vaSena-atra-utpreksA AsAdita-svaBAvAH /
   atoyamanugrāhyānugrāhakasaṃkaraḥ /	atoyam-anugrAhya-anugrAhaka-saMkaraH /
   evamayaṃ caturvidhaḥ saṃkaro	evam-ayam caturviDaH saMkaraH-
   nānālaṃkāragatavikalpavyavasthāsamuccayāṅgāṅgibhāvasamāśrayaṇenābhihitaḥ /	nAnA-alaMkAra-gata-vikalpa-vyavasTA-samuccaya-aFga-aFgi-BAva-samASrayaNena-aBihitaH /
   tatrānekālaṃkāravikalpātsaṃdehasaṃkaraḥ /	tatra-aneka-alaMkAra-vikalpAt-saMdeha-saMkaraH /
   nibhinnādhāratvena śabdārthavartinolaṃkārayoravasthānādvyavasthāsamāśrayaḥ	niBinna-ADAra-tvena Sabda-arTa-vartinA-ulaMkArayoH-avasTAnAt-vyavasTA-samASrayaH
   śabdārthavartyalaṃkārasaṃkaraḥ /	Sabda-arTa-varti-alaMkAra-saMkaraH /
   ekaśabdābhidhānasaṃkare tu samuccayenānekolaṃkāra ekasminvākyāṃśe	eka-Sabda-aBiDAna-saMkare tu samuccayena-aneka-ulaMkAraH ekasmin-vAkya-aMSe
   ivādāvanupraviśati /	iva-AdO=-anupraviSati /
   anugrāhyānugrāhakasaṃkare tvanakasyālaṃkārasyāṅgāṅgibhāvaḥ /	anugrAhya-anugrAhaka-saMkare tu-anakasya-alaMkArasya-aFga-aFgi-BAvaH /
   ato vikalpa-vyavasthā-samuccayāṅgāṅgibhāvasaṃśrayā ete catvāraḥ	atas vikalpa--vyavasTA--samuccaya-aFga-aFgi-BAva-saMSrayAH ete catvAraH
   saṃkarabhedāḥ /	saMkara-BedAH /
   upameyopamā---	upameya-upamA---
   anyonyameva yatra syādupamānopameyatā /	anyonyam-eva yatra syAt-upamAna-upameya-tA /
   upameyopamāmāhustāṃ pakṣāntarahānigām // UKss_5.14 //	upameya-upamAm-AhuH-tAm pakza-antara-hAni-gAm // UKsH-_5.14 //
   yatrobhayorupamānopameyayoḥ parasparamupamānopameyabhāvas tatropameyopamā	yatra-uBayoH-upamAna-upameyayoH parasparam-upamAna-upameya-BAvaH tatra-upameya-upamA
   upameyenopamānasyopamānāt /	upameyena-upamAnasya-upamAnAt /
   nanu ca prākaraṇikaṃ sāmyābhidhānasaṃbandhi upameyam aprakaraṇikamupamānam	nanu ca prAkaraNikam sAmya-aBiDAna-saMbanDi upameyam aprakaraNikam-upamAnam
   yadi cātropameyasyopamānatvam abhidhīyate evaṃ sati tasya prākaraṇikatvam	yadi ca-atra-upameyasya-upamAna-tvam aBiDIyate evam sati tasya prAkaraNika-tvam
   vyāhanyate ityāśaṅkyoktam -- pakṣāntarahānigāmiti /	vyAhanyate iti-ASaFkya-uktam - pakza-antara-hAni-gAm-iti /
   nātropamānopameyabhāve tātparyaṃ kiṃtu etadeva dvayamevaṃvidhaṃ vidyate na	na-atra-upamAna-upameya-BAve tAtparyam kiMtu etat-eva dvayam-evaMviDam vidyate na
   tvanyadetayoḥ sadṛśaṃ vastvantaraṃ vidyata iti /	tu-anyat-etayoH sadRSam vastu-antaram vidyate iti /
   ataśca etat pakṣadvitayavyatiriktasya pakṣāntarasyātra hānervivakṣitatvāt	atas-ca etat pakza-dvitaya-vyatiriktasya pakza-antarasya-atra hAneH-vivakzita-tvAt-
   parasparamupamānopameyabhāvo na duṣyatīti /	parasparam-upamAna-upameya-BAvaH na duzyati-iti /
   tasya pakṣāntarahānau pratipādyāyāmavāntaravākyārthatvenāvasthānāt --	tasya pakza-antara-hAnO pratipAdyAyAm-avAntara-vAkya-arTa-tvena-avasTAnAt --
   varaṃ viṣaṃ bhakṣaya mā cāsya gṛhe bhuktvā -- itivat /	varam vizam Bakzaya mA ca-asya gRhe BuktvA - iti-vat /
   atra hi viṣabhakṣaṇaṃ na vidhīyate durjanagṛhe bhojanaparivarjanatātparyāt	atra hi viza-BakzaNam na viDIyate durjana-gRhe Bojana-parivarjana-tAtparyAt-
   evamihāpyupamānopameyabhāvasyāvivakṣā pakṣāntarahānau tātparyāt /	evam-iha-api-upamAna-upameya-BAvasya-avivakzA pakza-antara-hAnO tAtparyAt /
   śirāṃsi paṅkajānīva vegotpātayato dviṣām /	SirAMsi paFkajAni-iva vega-utpAtayataH dvizAm /
   ājau karopamaṃ cakraṃ yasya cakropamaḥ karaḥ // UKss_5.*14 //	AjO kara-upamam cakram yasya cakra-upamaH karaH // UKsH-_5.*14 //
   atra yasyetyupāttsya tvatkṛte so 'pi vaikuṇṭha ityatra	atra yasya-iti-upAttsya tvad-kRte saH api vEkuNWaH iti-atra
   tacchabdasamanvayenā kāṅkṣāvicchedo bhaviṣyate /	tad-Sabda-samanvayenA kAFkzA-vicCedaH Bavizyate /
   uttareṣvapi ca ślekeṣu tenaiva yacchabdārtho nirākāṅkṣī kāryaḥ /	uttarezu-api ca Slekezu tena-eva yat-Sabda-arTaH nirAkAFkzI kAryaH /
   atra karacakrayoḥ parasparamupamānopameyabhāvaḥ /	atra kara-cakrayoH parasparam-upamAna-upameya-BAvaH /
   sādhāraṇaścātra dharmaḥ atitvaritatvena śatruśiro 'vakartanam /	sADAraNaH-ca-atra DarmaH ati-tvarita-tvena Satru-SiraH avakartanam /
   eṣa cātropamānopameyabhāvaḥ upamānāntarābhāve paryavasitaḥ /	eza ca-atra-upamAna-upameya-BAvaH upamAna-antara-aBAve paryavasitaH /
   yadi parametayoreva parasparamupamānopameyabhāvaḥ syādanyatve	yadi parametayoH-eva parasparam-upamAna-upameya-BAvaH syAt-anya-tve
   tayorupamānaṃ nāstīti //	tayoH-upamAnam na-asti-iti //
   sahoktiḥ---	sahoktiH---
   tulyakāle kriye yatra vastudvayasamāśrite /	tulya-kAle kriye yatra vastu-dvaya-samASrite /
   padenaikena kathyete sā sahoktirmatā satām // UKss_5.15 //	padena-ekena kaTyete sA saha-uktiH-matA satAm // UKsH-_5.15 //
   yatra vastudvayasamavete dve kriye padenaikena tantravṛttyā kathyete tatra	yatra vastu-dvaya-samavete dve kriye padena-ekena tantra-vRttyA kaTyete tatra
   sahoktirnāmālaṅkāro bhavati /	saha-uktiH-nAma-alaFkAraH Bavati /
   nanu 'saṃjahāra śaratkālaḥ'ityādāvapi dīpake padenaikena	nanu asaMjahAra Sarad-kAlaH-aityAdO=-api dIpake padena-ekena
   vastudvayasamavete dve kriye kathyete /	vastu-dvaya-samavete dve kriye kaTyete /
   ataśca tatrāpi sahoktitvaṃ prāpnotīti āsaṅkyoktam---tulyakāle iti /	atas-ca tatra-api saha-ukti-tvam prApnoti-iti AsaFkya-uktam----tulya-kAle iti /
   yatra sahādinā padena tulyakālatāmavagamya vastudvitayasamāśrite dve kriye	yatra saha-AdinA padena tulya-kAla-tAm-avagamya vastu-dvitaya-samASrite dve kriye
   kathyete tatra sahoktitvam /	kaTyete tatra saha-ukti-tvam /
   na caivaṃ dīpaka iti nātivyāptiḥ /	na ca-evam dIpakaH iti na-ati-vyAptiH /
   sahādinā ca śabdena yugapatkālatāyāmavadyotyamānāyāṃ dvaya gatiḥ /	saha-AdinA ca Sabdena yugapad-kAla-tAyAm-avadyotyamAnAyAm dvaya gatiH /
   kadācitkhalu yayoḥ kriyayostulyakālatā te kriye tulyakakṣatayā	kadAcid-Kalu yayoH kriyayoH-tulya-kAlatA te kriye tulya-kakzatayA
   svāśrayaviśrāntatvenābhidhīyete, yatā devadattyajñadattau saha bhuñjāte	sva-ASraya-viSrAnta-tvena-aBiDIyete, yatA devadattyajQadattO saha BuQjAte
   iti kadācittvekāśrayaviśrāntāyāṃ kriyāyāmabhihitāyāṃ	iti kadAcid-tveka-ASraya-viSrAntAyAm kriyAyAm-aBihitAyAm
   sahādyarthaparyālocanāsāmarthyādaparasyāśrayasya kriyāsaṃbandho	saha-Adi-arTa-paryAlocana-asAmarTyAt-aparasya-ASrayasya kriyA-saMbanDaH-
   'vagamyate, yathā devadatto yajñadattena saha bhūṅkta iti /	avagamyate, yaTA devadattaH yajQadattena saha BUFktaH iti /
   tatreha dvitīyā gatirāśrīyate /	tatra-iha dvitIyA gatiH-ASrIyate /
   śābdena rūpeṇaikatra kriyāsaṃbandhasya pratītasyāparatrārthena	SAbdena rUpeNa-ekatra kriyA-saMbanDasya pratItasya-aparatra-arTena
   rūpeṇonnīyamānatvena vakrabhaṇite sadbhāvāt /	rUpeNa-unnIyamAna-tvena vakra-BaNite sadBAvAt /
   evaṃvidhasya yatraiva śobhātiśayavidhāyitvaṃ tatraiva sahokteralaṅkāratā	evaMviDasya yatra-eva SoBA-atiSaya-viDAyi-tvam tatra-eva saha-ukteH-alaFkAra-tA
   na sarvatreti draṣṭavyam /	na sarvatra-iti drazwavyam /
   tasyā udāharaṇam----	tasyAH udAharaNam-----
   dyujano mṛtyunā sārdhaṃ yasyājau tārakāmaye /	dyujanaH mRtyunA sArDam yasya-AjO tArakA-maye /
   cakre cakrābhidhānena praiṣyeṇāptamanorathaḥ // UKss_5.*15 //	cakre cakra-aBiDAnena prEzyeNa-Apta-manoraTaH // UKsH-_5.*15 //
   yasya praiṣyeṇa iti saṃbandhaḥ /	yasya prEzyeNa iti saMbanDaH /
   atra mṛtyordyujanasya ca manorathāvāptikaraṇalakṣaṇe dve kriye	atra mRtyoH-dyujanasya ca manoraTa-avApti-karaNa-lakzaNe dve kriye
   padenaikenokte cakre 'vāptamanoratha iti /	padena-ekena-ukte cakre avApta-manoraTaH iti /
   yadyapyavāptamanoratha iti cakra iti ca suptiḍantatvabhedena padadvitvaṃ	yadi-api-avApta-manoraTaH iti cakraH iti ca supti-xanta-tva-Bedena pada-dvi-tvam
   tathāpi kriyāpadadvitayopādānavyāvṛttervavakṣitatvātpadenaikeneti na	taTA-api kriyA-pada-dvitaya-upAdAna-vyAvRtteH-vavakzita-tvAt-padena-ekena-iti na
   virudhyate /	viruDyate /
   athavā cakre iti karoti kriyā sāmānyabhūtā viśeṣamantareṇāparyavasyantī	aTavA cakre iti karoti kriyA sAmAnya-BUtA viSezam-antareNa-aparyavasyantI
   manorathāvāptilakṣaṇaṃ viśeṣaṃ garbhīkaroti /	manoraTa-avApti-lakzaNam viSezam garBIkaroti /
   ataścātra satyapyanekapadatve ekapadībhāva iva prakāśate /	atas-ca-atra sati-api-aneka-pada-tve ekapadIBAvaH iva prakASate /
   tena ekena padenetyuktam /	tena ekena padena-iti-uktam /
   sārdhaṃ śabdaścātra tulyakālatāmavadyotayati /	sArDam SabdaH-ca-atra tulya-kAla-tAm-avat-yotayati /
   yasya praiṣyeṇājñākāriṇā cakrasaṃjñakena kartṛbhūtena mṛtyunā	yasya prEzyeNa-AjQA-kAriNA cakra-saMjQakena kartR-BUtena mRtyunA
   sārdhamapṛthakkālatayā dyujana āptamanorathaḥ kṛta iti /	sArDam-apRTak-kAla-tayA dyujanaH Apta-manoraTaH kRtaH iti /
   anekalokakavalīkaraṇānmṛtyormanorathāvāptiḥ, dyujanasya ca śatruvināśāt //	aneka-loka-kavalIkaraNAt-mRtyoH-manoraTa-avAptiH, dyujanasya ca Satru-vinASAt //
   parivṛttiḥ-----	parivRttiH-----
   samanyūnaviśeṣṭaistu kasyacitparivartanam /	sama-nyUna-viSezwEH-tu kasyacid-parivartanam /
   arthānarthasvabhāvaṃ yatparivṛttirabhāṇi sā // UKss_5.16 //	arTa-anarTa-svaBAvam yat-parivRttiH-aBANi sA // UKsH-_5.16 //
   kasyacidvastuno vastvantareṇa parivartanaṃ parivṛttiḥ /	kasyacid-vastunaH vastu-antareNa parivartanam parivRttiH /
   sā ca trividhā /	sA ca triviDA /
   parivartanakārakāṇāṃ parivartanīyena saha samatvānnyūnatvādadhikatvācca /	parivartana-kArakANAm parivartanIyena saha samatvAt-nyUna-tvAt-aDika-tvAt-ca /
   tadidamuktam--samanyūnaviśiṣṭairiti /	tad-idam-uktam----samanyUna-viSizwEH-iti /
   tatra yasyāḥ samor'thaḥ parivartyate tasyā anarthasvabhāvatā /	tatra yasyAH samoH-aTaH parivartyate tasyAH anarTa-svaBAva-tA /
   arthaśabdena hi upādeyo 'ptho 'bhidhīyater,'thyate 'sāviti kṛtvā /	arTa-Sabdena hi upAdeyaH apTaH aBiDIyateH-,-aTyate asO=-iti kRtvA /
   yatra ca sāmyaṃ tabhārthanīyatvaṃ nāsti /	yatra ca sAmyam taBArTanIya-tvam na-asti /
   tenārthyatvābhāvānugamāttatrānarthatvamabhidhīyate /	tena-arTyatva-aBAva-anugamAt-tatra-anarTa-tvam-aBiDIyate /
   atastatrānarthasvabhāvaṃ parivartanam /	atas-tatra-anarTa-svaBAvam parivartanam /
   yatrāpa ca nikṛṣṭaparigraheṇotkṛṣṭaparityāgaḥ kriyate,	yatra-apa ca nikRzwa-parigraheNa-utkRzwa-parityAgaH kriyate,
   tatrāpyanarthasvabhāvatā /	tatra-api-anarTa-svaBAva-tA /
   upādeyaviparītasyopādānāt /	upAdeya-viparItasya-upAdAnAt /
   arthapratipakṣo hyatrānarthaḥ /	arTa-pratipakzaH hi-atra-anarTaH /
   adharmānṛtavat /	aDarma-anRta-vat /
   yatā hyadharmānṛtaśabdābhyāṃ nottarapadārthrābhāvamātramabhidhīyate,	yatA hi-aDarma-anRta-SabdAByAm na-uttara-padArTra-aBAva-mAtram-aBiDIyate,
   nāpyuttarapadārthatulyor'thaḥ, kiṃ tarhi etatpratipakṣasyaivābhidhānaṃ,	na-api-uttara-padArTa-tulyor-aTaH, kim tarhi etad-pratipakzasya-eva-aBiDAnaM,
   evamihāpyanarthaśabdena arthapratipakṣasyaivābhidhanam /	evam-iha-api-anarTa-Sabdena arTa-pratipakzasya-eva-aBiDanam /
   yathā anartho vairiṇāmāpatita ityevamādau /	yaTA anarTaH vEriNAm-ApatitaH iti-evamAdO /
   tena yatrotkṛṣṭena nikṛṣṭaḥ parigṛhyate tatra	tena yatra-utkRzwena nikRzwaH parigRhyate tatra
   duḥkhahetutvādarahthapratipakṣatvenānarthakhabhāvatā /	duHKa-hetu-tvAt-arahTa-pratipakza-tvena-anarTaKa-BAva-tA /
   yatra tu nikṛṣṭenotkṛṣṭaḥ parigṛhyate tatrotkṛṣṭasya	yatra tu nikRzwena-utkRzwaH parigRhyate tatra-utkRzwasya
   sukhahetutvenopādeyatvādarthasvabhāvatā /	suKa-hetu-tvena-upAdeya-tvAt-arTa-svaBAva-tA /
   tadidamuktam---arthānarthasvabhāvamiti /	tat-idam-uktam----arTa-anarTa-svaBAvam-iti /
   tatra samaparivṛtterudāharaṇam---	tatra sama-parivRtteH-udAharaNam----
   uro datvāmarārīṇāṃ yena yuddheṣvagṛhyata /	uraH datvA-amarArINAm yena yudDezu-agRhyata /
   hiraṇyākṣavadhādyeṣu yaśaḥ sākaṃ jayaśriyā // UKss_5.*16 //	hiraNyAkza-vaDa-Adyezu yaSaH sAkam jaya-SriyA // UKsH-_5.*16 //
   atra urodānena utsāho lakṣyate yaścātra	atra uraH-dAnena utsAhaH lakzyate yaH-ca-atra
   lakṣyamāṇāsyārthasyotsāhasyopāyatayā pratīyate /	lakzyamANA-asya-arTasya-utsAhasya-upAya-tayA pratIyate /
   abhidheyor'tho vakṣaso dānaṃ nāma yo hi yatra vakṣa udyamayati sa	aBiDeyor-aTo vakzasaH dAnam nAma yaH hi yatra vakzaH udyamayati sa
   tatrotsahata iti tatpratibhāvacchāditasyotasāhasya pratitiḥ tadapekṣayā	tatra-utsahate iti tad-pratiBAva=-CAditasya-UtasA-ahasya pratitiH tad-apekzayA
   samena samasya parivartanam /	samena samasya parivartanam /
   uroyaśasoḥ samatvāt /	uraH-yaSasoH sama-tvAt /
   nyūnaparivṛttestūdāharaṇam----	nyUna-parivRtteH-tu-udAharaNam-----
   netroragabalabhrāmyanmandarādriśiraścyutaiḥ /	netra-uraga-bala-BrAmyat-mandara-adri-SiraH-cyutEH /
   ratnairāpūrya dugdhārbdhi yaḥ samādatta kaustubham // UKss_5.*17 //	ratnEH-ApUrya dugDa-arbDi yaH samAdatta kOstuBam // UKsH-_5.*17 //
   netrabhūta urago vāsukiḥ /	netra-BUtaH uragaH vAsukiH /
   atra--kaustubhasyotkṛṣṭasya nikṛṣṭaratnaparatyāgena	atra--kOstuBasya-utkRzwasya nikRzwa-ratna-para-tyAgena
   grahaṇānnikṛṣṭenotkṛṣṭasya parivartanam /	grahaNAt-nikRzwena-utkRzwasya parivartanam /
   viśeṣṭaparivṛttestūdāharaṇam----	viSezwa-parivRtteH-tu-udAharaNam-----
   yo balau vyāptabhūsīmna makhena dyāṃ jigīṣati /	yaH balO vyApta-BU-sImna maKena dyAm jigIzati /
   abhayaṃ svargasadmabhyo datvā jagrāha kharvatam // UKss_5.*18 //	aBayam svarga-sadmaByaH datvA jagrAha Karvatam // UKsH-_5.*18 //
   bhūsīmā pṛthivyā avadhiḥ /	BU-sImA pRTivyAH avaDiH /
   makho yajñaḥ /	maKaH yajQaH /
