   akrodhādyāś ca niyamāḥ SUp_7.101c	akroDa-AdyAH ca niyamAH SUp_7.101c
   liṅgaṃ maṇijam arcayet SUp_3.9d	liFgam maNijam arcayet SUp_3.9d
   liṅge saṃpūjitaḥ śivaḥ SUp_7.73b	liFge saMpUjitaH SivaH SUp_7.73b
   lokakautūhalaṃ pāpaṃ SUp_7.59c	loka-kOtUhalam pApam SUp_7.59c
   loke bhogān avāpnuyāt SUp_6.47b	loke BogAn avApnuyAt SUp_6.47b
   loṣṭakāṣṭhaiḥ kareṇa vā SUp_7.54b	lozwa-kAzWEH kareNa vA SUp_7.54b
   lohaṃ tripādikaṃ dattvā SUp_6.269c	loham tripAdikam dattvA SUp_6.269c
   lohādyaṃ śivayogine SUp_6.235b	loha-Adyam Siva-yogine SUp_6.235b
   lohādyāṃ śivayogine SUp_6.234b	loha-AdyAm Siva-yogine SUp_6.234b
   lohe vā parikalpite SUp_7.49b	lohe vA parikalpite SUp_7.49b
   lohopakaraṇaṃ mahat SUp_6.241b	loha-upakaraNam mahat SUp_6.241b
   lohopakaraṇe bhavet SUp_6.242b	loha-upakaraNe Bavet SUp_6.242b
   vajrendranīlavaiḍūrya- SUp_6.90a	vajra-indranIla-vExUrya SUp_6.90a
   vaṭam aśvatthakapilāṃ SUp_7.88c	vawam aSvatTa-kapilAm SUp_7.88c
   vane yatnāt prayacchati SUp_7.96b	vane yatnAt prayacCati SUp_7.96b
   varadābhayadāyikāṃ SUp_6.117b	varadA-Baya-dAyikAm SUp_6.117b
   varam iṣṭaṃ ca labhate SUp_3.12a	varam izwam ca laBate SUp_3.12a
   varaṃ karma kṛtaṃ param SUp_7.126b	varam karma kRtam param SUp_7.126b
   varaṃ kleśo vimuktaye SUp_7.119d	varam kleSaH vimuktaye SUp_7.119d
   varjayec cāpi niryāsaṃ SUp_7.91c	varjayet ca-api niryAsam SUp_7.91c
   varṇakair vā paṭe likhet SUp_6.121b	varNakEH vA pawe liKet SUp_6.121b
   varṇakaiḥ kuṅkumādyaiś ca SUp_6.148a	varNakEH kuFkuma-AdyEH ca SUp_6.148a
   vardhate nāsti kevalam SUp_7.80b	varDate na-asti kevalam SUp_7.80b
   vardhayed vā kanīyasīm SUp_6.170b	varDayet vA kanIyasIm SUp_6.170b
   varṣakoṭidvayaṃ bhogair SUp_4.35c	varza-kowi-dvayam BogEH SUp_4.35c
   varṣakoṭidvayaṃ svarge SUp_6.87c	varza-kowi-dvayam svarge SUp_6.87c
   varṣakoṭiṃ mahābhāgaiḥ SUp_6.62a	varza-kowim mahABAgEH SUp_6.62a
   varṣakoṭiṃ mahābhogaiḥ SUp_6.28a	varza-kowim mahA-BogEH SUp_6.28a
   varṣakoṭiṃ mahābhogaiḥ SUp_6.53a	varza-kowim mahA-BogEH SUp_6.53a
   varṣakoṭiṃ mahābhogaiḥ SUp_6.232c	varza-kowim mahA-BogEH SUp_6.232c
   varṣakoṭiṃ mahābhogaiḥ SUp_6.235c	varza-kowim mahA-BogEH SUp_6.235c
   varṣakoṭiṃ vased divi SUp_6.102d	varza-kowim vaset divi SUp_6.102d
   varṣakoṭīś caturdaśa SUp_6.55b	varzakowIH caturdaSa SUp_6.55b
   varṣakoṭyaṣṭakaṃ bhogaiḥ SUp_6.54a	varza-kowI-azwakam BogEH SUp_6.54a
   varṣakoṭyaṣṭakaṃ bhogaiḥ SUp_6.244c	varza-kowI-azwakam BogEH SUp_6.244c
   varṣalakṣacatuṣṭayam SUp_6.240d	varza-lakza-catuzwayam SUp_6.240d
   varṣalakṣaphalapradāḥ SUp_4.46b	varza-lakza-Pala-pradAH SUp_4.46b
   varṣalakṣaṃ tu yatnataḥ SUp_6.51d	varza-lakzam tu yatnatas SUp_6.51d
   varṣalakṣaṃ mahābhogair SUp_6.18c	varza-lakzam mahA-BogEH SUp_6.18c
   varṣalakṣaṃ mahābhogaiḥ SUp_6.5c	varza-lakzam mahA-BogEH SUp_6.5c
   varṣalakṣaṃ mahābhogaiḥ SUp_6.7c	varza-lakzam mahA-BogEH SUp_6.7c
   varṣalakṣaṃ mahābhogaiḥ SUp_6.15c	varza-lakzam mahA-BogEH SUp_6.15c
   varṣalakṣaṃ mahābhogaiḥ SUp_6.233c	varza-lakzam mahA-BogEH SUp_6.233c
   varṣalakṣaṃ mahābhogaiḥ SUp_6.237c	varza-lakzam mahA-BogEH SUp_6.237c
   varṣalakṣaṃ mahābhogaiḥ SUp_6.238c	varza-lakzam mahA-BogEH SUp_6.238c
   varṣalakṣaṃ sa tāvac ca SUp_6.246c	varza-lakzam sa tAvat ca SUp_6.246c
   varṣalakṣaṃ sa lakṣārdhaṃ SUp_6.236c	varza-lakzam sa lakza-arDam SUp_6.236c
   varṣalokaṃ pramodate SUp_6.26d	varza-lokam pramodate SUp_6.26d
   varṣāṇām ayutaṃ sāgraṃ SUp_6.4c	varzANAm ayutam sAgram SUp_6.4c
   varṣāṇām yutaṃ bhogaiḥ SUp_6.6c	varzANAm yutam BogEH SUp_6.6c
   varṣāsu jīrṇakaṭavat SUp_7.124c	varzAsu jIrNa-kawa-vat SUp_7.124c
   vaśe satatanamraḥ syāt SUp_7.67a	vaSe satata-namraH syAt SUp_7.67a
   vasec chivapure naraḥ SUp_6.64b	vaset Siva-pure naraH SUp_6.64b
   vastūni vinivedayet SUp_6.276d	vastUni vinivedayet SUp_6.276d
   vastraparṇādikalpitam SUp_6.272d	vastra-parNa-Adi-kalpitam SUp_6.272d
   vastrapūtaṃ samācaret SUp_6.36d	vastra-pUtam samAcaret SUp_6.36d
   vastram āsanabhūṣaṇam SUp_7.12b	vastram Asana-BUzaNam SUp_7.12b
   vastraśayyāsanaṃ guroḥ SUp_7.27b	vastra-SayyA-Asanam guroH SUp_7.27b
   vaṃśakāṣṭhīkavīraṇaiḥ SUp_7.56d	vaMSa-kAzWIka-vIraNEH SUp_7.56d
   vaṃśajaṃ dārujaṃ vāpi SUp_6.271a	vaMSa-jam dAru-jam vA-api SUp_6.271a
   vaṃśajānāṃ nivedane SUp_6.264d	vaMSa-jAnAm nivedane SUp_6.264d
   vaṃśajārdhasamaṃ puṇyaṃ SUp_6.265c	vaMSa-ja-arDa-samam puNyam SUp_6.265c
   vaṃśatālādisaṃbhūtaṃ SUp_6.60c	vaMSa-tAla-Adi-saMBUtam SUp_6.60c
   vaṃśamaṅgalakāṣṭhitām SUp_7.52d	vaMSa-maFgala-kAzWitAm SUp_7.52d
   vaṃśamaṇḍalinā dṛḍham SUp_6.146d	vaMSa-maNxalinA dRXam SUp_6.146d
   vaṃśālābusamutthāni SUp_6.58a	vaMSa-alAbu-samutTAni SUp_6.58a
   vaṃśair navaiḥ supakvaiś ca SUp_6.145a	vaMSEH navEH su-pakvEH ca SUp_6.145a
   vācayīta ca parvasu SUp_7.78b	vAcayIta ca parvasu SUp_7.78b
   vāditradhvajavāhakān SUp_6.173d	vAditra-Dvaja-vAhakAn SUp_6.173d
   vādyārambhopacāreṇa SUp_6.153c	vAdya-AramBa-upacAreNa SUp_6.153c
   vānijye kṛṣikarmaṇi SUp_7.119b	vAnijye kRzi-karmaNi SUp_7.119b
   vāmapāṇitale tīrtham SUp_5.48a	vAma-pANi-tale tIrTam SUp_5.48a
   vāyavyaṃ tv aindrapañcamam SUp_5.31b	vAyavyam tu Endra-paQcamam SUp_5.31b
   vāyavyāṃ nimbakaṃ phalam SUp_6.80b	vAyavyAm nimbakam Palam SUp_6.80b
   vāyavye kṛṣṇajīrakam SUp_6.74d	vAyavye kRzNajIrakam SUp_6.74d
   vārāṇasyāṃ mahālaye SUp_6.189b	vArANasyAm mahAlaye SUp_6.189b
   vāruṇaṃ sarvadehinām SUp_5.15b	vAruNam sarva-dehinAm SUp_5.15b
   vāruṇād adhikaṃ smṛtam SUp_5.13b	vAruNAt aDikam smRtam SUp_5.13b
   vāruṇyāṃ varuṇālayam SUp_2.18d	vAruNyAm varuNAlayam SUp_2.18d
   vālukātrapusādīni SUp_6.19a	vAlukA-trapusa-AdIni SUp_6.19a
   vāsāṃsi malināni ca SUp_7.50d	vAsAMsi malinAni ca SUp_7.50d
   vāstuvidyāvinirmitam SUp_4.21d	vAstu-vidyA-vinirmitam SUp_4.21d
   vikacair iva paṅkajaiḥ SUp_7.137d	vikacEH iva paFkajEH SUp_7.137d
   vikṛśāḥ pūrvakarmabhiḥ SUp_7.125d	vikRSAH pUrva-karmaBiH SUp_7.125d
   vicārād yāti vistāraṃ SUp_1.17c	vicArAt yAti vistAram SUp_1.17c
   vicitrapuṣpasragdāmnā SUp_6.152a	vicitra-puzpa-sraj-dAmnA SUp_6.152a
   vijitya ca ripuṃ tathā SUp_7.10d	vijitya ca ripum taTA SUp_7.10d
   vijñeyam anurūpataḥ SUp_3.14b	vijQeyam anurUpatas SUp_3.14b
   vijñeyaḥ sa śivaḥ śānto SUp_1.23a	vijQeyaH sa SivaH SAntaH SUp_1.23a
   vijñeyaḥ sūryaraśmivat SUp_5.41d	vijQeyaH sUrya-raSmi-vat SUp_5.41d
   vidyāt kanīyas traihastaṃ SUp_2.7c	vidyAt kanIyaH trEhastam SUp_2.7c
   vidyādānaṃ ca kurvīta SUp_1.35c	vidyA-dAnam ca kurvIta SUp_1.35c
   vidyā saṃkīrtanīyā hi SUp_1.34a	vidyA saMkIrtanIyAH hi SUp_1.34a
   vidhavānāthavṛddhānāṃ SUp_6.227a	viDavAnATa-vRdDAnAm SUp_6.227a
   vidhūyāśeṣasaṅgāṃś ca SUp_7.116c	viDUya-aSeza-saFgAn ca SUp_7.116c
   vinayavratadānāni SUp_6.229a	vinaya-vrata-dAnAni SUp_6.229a
   vinivedya maheśvare SUp_6.13b	vinivedya maheSvare SUp_6.13b
   vinyāsārthaṃ prakalpayet SUp_3.7d	vinyAsa-arTam prakalpayet SUp_3.7d
   viprasya dakṣiṇe pāṇāv SUp_4.64a	viprasya dakziNe pANO SUp_4.64a
   vibhajeta tridhā punaḥ SUp_2.9b	viBajeta triDA punar SUp_2.9b
   vimānam atiśobhitam SUp_6.134d	vimAnam ati-SoBitam SUp_6.134d
   vimānayānaiḥ śrīmadbhiḥ SUp_6.64c	vimAna-yAnEH SrImadBiH SUp_6.64c
   vimānasthāṃ rathasthāṃ vā SUp_6.118c	vimAna-sTAm raTa-sTAm vA SUp_6.118c
   vimānānāṃ sahasreṇa SUp_6.207a	vimAnAnAm sahasreNa SUp_6.207a
   vimāne mahati sthitaḥ SUp_6.271d	vimAne mahati sTitaH SUp_6.271d
   vimānaiḥ sārvakāmikaiḥ SUp_4.27b	vimAnEH sArvakAmikEH SUp_4.27b
   vimānaiḥ sārvakāmikaiḥ SUp_6.176b	vimAnEH sArvakAmikEH SUp_6.176b
   vimānaiḥ sārvakāmikaiḥ SUp_6.203b	vimAnEH sArvakAmikEH SUp_6.203b
   vimānaiḥ sārvakāmikaiḥ SUp_6.205b	vimAnEH sArvakAmikEH SUp_6.205b
   vimānaiḥ sārvakāmikaiḥ SUp_6.214b	vimAnEH sArvakAmikEH SUp_6.214b
   vimānaiḥ sārvakāmikaiḥ SUp_7.98b	vimAnEH sArvakAmikEH SUp_7.98b
   vimucya pāpakalilaṃ SUp_2.31c	vimucya pApa-kalilam SUp_2.31c
   vivikte vijane ramye SUp_7.128a	vivikte vijane ramye SUp_7.128a
   vivekinaḥ praśāntasya SUp_7.130a	vivekinaH praSAntasya SUp_7.130a
   viśuddhaṃ duritāpaham SUp_5.2d	viSudDam durita-apaham SUp_5.2d
   vistareṇānupūrvāc ca SUp_7.131c	vistareNa-AnupUrvAt ca SUp_7.131c
   vistīrṇāṃ dviguṇena ca SUp_3.9b	vistIrNAm dviguNena ca SUp_3.9b
   vihāyābhiratā grāme SUp_7.129c	vihAya-aBiratA grAme SUp_7.129c
   vṛttaṃ dviguṇadīrghaṃ ca SUp_6.145c	vRttam dviguNa-dIrGam ca SUp_6.145c
   vṛttaṃ hastapramāṇataḥ SUp_4.8b	vRttam hasta-pramANataH SUp_4.8b
   vṛntākaṃ paścime nyaset SUp_6.78d	vRntAkam paScime nyaset SUp_6.78d
   vṛṣasthānaṃ ca kartavyaṃ SUp_4.17c	vRza-sTAnam ca kartavyam SUp_4.17c
   vṛṣasthānaṃ samucchritam SUp_2.14d	vRza-sTAnam samucCritam SUp_2.14d
   vṛṣasthāṃ vā samucchritām SUp_6.118b	vRza-sTAm vA samucCritAm SUp_6.118b
   vṛṣaḥ kāryaś ca paścime SUp_4.18b	vRzaH kAryaH ca paScime SUp_4.18b
   vedim anyāṃ savartulām SUp_3.8d	vedim anyAm sa-vartulAm SUp_3.8d
   vedisthāṃ vā prabhānvitām SUp_6.118d	vedi-sTAm vA praBA-anvitAm SUp_6.118d
   vedīṃ vāthābhyapadyanta SUp_6.115c	vedIm vA-aTa-aByapadyanta SUp_6.115c
   vedy anyā sarvabhūtānāṃ SUp_4.17a	vedI anyA sarva-BUtAnAm SUp_4.17a
   vaikaṅkataphalāni ca SUp_6.16d	vEkaFkata-PalAni ca SUp_6.16d
   vairāgyaṃ candanaṃ smṛtam SUp_1.26b	vErAgyam candanam smRtam SUp_1.26b
   vyabhre 'rke varṣati snānaṃ SUp_5.35a	vyaBre arke varzati snAnam SUp_5.35a
   vyākhyādhyayanasaṃsadi SUp_7.66b	vyAKyA-aDyayana-saMsadi SUp_7.66b
   vyākhyāne tatsamāptau ca SUp_7.7a	vyAKyAne tad-samAptO ca SUp_7.7a
   vyāptaṃ jñānasaraḥ śārvaṃ SUp_7.137c	vyAptam jQAna-saraH SArvam SUp_7.137c
   vyomnaś cādhas trigarbhaṃ syāt SUp_4.18c	vyomnaH ca-aDas trigarBam syAt SUp_4.18c
   vrajed yaḥ śivatīrthāni SUp_6.194a	vrajet yaH Siva-tIrTAni SUp_6.194a
   vratasyāpūritena ca SUp_4.51b	vratasya-ApUritena ca SUp_4.51b
   śaktitaḥ svāśrame kāryaṃ SUp_3.1c	Saktitas sva-ASrame kAryam SUp_3.1c
   śaṅkukarṇe sthaleśvare SUp_6.190b	SaFkukarNe sTaleSvare SUp_6.190b
   śaṅkhakundenduvarṇābham SUp_5.8c	SaFKa-kunda-indu-varNa-ABam SUp_5.8c
   śaṅkhatulyaphalaṃ smṛtam SUp_6.263d	SaFKa-tulya-Palam smRtam SUp_6.263d
   śaṅkhapātraṃ tu vistīrṇaṃ SUp_6.260c	SaFKa-pAtram tu vistIrNam SUp_6.260c
   śaṅkhārdhena phalaṃ labhet SUp_6.263b	SaFKa-arDena Palam laBet SUp_6.263b
   śamīndhanakuśasthānam SUp_2.19a	SamI-inDana-kuSa-sTAnam SUp_2.19a
   śamīndhanatṛṇādīnāṃ SUp_6.240a	SamI-inDana-tRNa-AdInAm SUp_6.240a
   śamīsamitphalaṃ deyam SUp_4.43a	SamI-samiD-Palam deyam SUp_4.43a
   śamyardhaphalavaccheṣāḥ SUp_4.43c	SamI-arDa-Pala-vat-SezAH SUp_4.43c
   śayānaṃ na prabodhayet SUp_7.31b	SayAnam na praboDayet SUp_7.31b
   śayyāsanasamāyuktaṃ SUp_4.21c	SayyA-Asana-samAyuktam SUp_4.21c
   śarair vaṃśaiś ca kalpayet SUp_4.62b	SarEH vaMSEH ca kalpayet SUp_4.62b
   śarkarāpāṃsunirmuktam SUp_5.6c	SarkarA-pAMsu-nirmuktam SUp_5.6c
   śarkarāyā nivedane SUp_6.31b	SarkarAyAH nivedane SUp_6.31b
   śarvaloke sa pūjyate SUp_6.112d	Sarva-loke sa pUjyate SUp_6.112d
   śalyān ākoṭya yatnataḥ SUp_3.2d	SalyAn Akowya yatnatas SUp_3.2d
   śaṃkarāya nivedayet SUp_6.31d	SaMkarAya nivedayet SUp_6.31d
   śākamūlaphalāni ca SUp_6.21d	SAka-mUla-PalAni ca SUp_6.21d
   śātakumbhamayīṃ vāpi SUp_6.116a	SAtakumBa-mayIm vA-api SUp_6.116a
   śāntaṃ nirvāṇam āpnuyāt SUp_4.29d	SAntam nirvANam ApnuyAt SUp_4.29d
   śāntiś ca salilaṃ param SUp_1.25d	SAntiH ca salilam param SUp_1.25d
   śālitaṇḍulakalpitam SUp_6.66d	SAli-taNxula-kalpitam SUp_6.66d
   śikyabhāṇḍasamāśrayam SUp_6.275d	Sikya-BANxa-samASrayam SUp_6.275d
   śibikāṃ parikalpayet SUp_6.206b	SibikAm parikalpayet SUp_6.206b
   śirolalāṭe hṛdbāhvor SUp_5.22c	SirolalAwe hRd-bAhvoH SUp_5.22c
   śiva ity akṣaradvayam SUp_1.17b	SivaH iti akzara-dvayam SUp_1.17b
   śiva ity akṣaradvayam SUp_1.18b	SivaH iti akzara-dvayam SUp_1.18b
   śivakṣetreṣu ye mṛtāḥ SUp_6.191b	Siva-kzetrezu ye mRtAH SUp_6.191b
   śivagoṣṭhopayogārthaṃ SUp_6.277a	Siva-gozWa-upayoga-arTam SUp_6.277a
   śivajāpī tapo'dhikaḥ SUp_1.36b	Siva-jApI tapaH-aDikaH SUp_1.36b
   śivajñānam anāpnuyāt SUp_4.31b	Siva-jQAnam anApnuyAt SUp_4.31b
   śivajñānamahodadhim SUp_7.132b	Siva-jQAna-mahA-udaDim SUp_7.132b
   śivajñānavidaṃ tasmāt SUp_1.35a	Siva-jQAna-vidam tasmAt SUp_1.35a
   śivajñānasya cārambhe SUp_7.9c	Siva-jQAnasya ca-AramBe SUp_7.9c
   śivajñānasya pustakam SUp_7.35b	Siva-jQAnasya pustakam SUp_7.35b
   śivajñānaṃ paraṃ brahma SUp_7.62a	Siva-jQAnam param brahma SUp_7.62a
   śivajñānaṃ samabhyaset SUp_7.61d	Siva-jQAnam samaByaset SUp_7.61d
   śivajñānātmahastena SUp_7.41c	Siva-jQAna-Atma-hastena SUp_7.41c
   śivajñānārthatattvajñaḥ SUp_7.4a	Siva-jQAna-arTa-tattva-jQaH SUp_7.4a
   śivatīrthaṃ pratiṣṭhitam SUp_5.47d	SivatIrTam pratizWitam SUp_5.47d
   śivatulyaparākramaḥ SUp_6.93b	Siva-tulya-parAkramaH SUp_6.93b
   śivatulyaḥ prajāyate SUp_6.89d	Siva-tulyaH prajAyate SUp_6.89d
   śivadakṣiṇataḥ kāryaṃ SUp_4.21a	Siva-dakziNatas kAryam SUp_4.21a
   śivadevagṛhaṃ kāryam SUp_3.3a	Siva-deva-gRham kAryam SUp_3.3a
   śivadharmapravaktṛbhiḥ SUp_7.137b	Siva-Darma-pravaktRBiH SUp_7.137b
   śivadharmavratārambhe SUp_7.10a	Siva-Darma-vrata-AramBe SUp_7.10a
   śivadharmasya cottare SUp_7.133b	Siva-Darmasya ca-uttare SUp_7.133b
   śivadharmasya bhājakaḥ SUp_6.163d	Siva-Darmasya BAjakaH SUp_6.163d
   śivadharmaṃ dine dine SUp_7.139b	Siva-Darmam dine dine SUp_7.139b
   śivadharmaṃ śivārthinām SUp_7.138b	Siva-Darmam Siva-arTinAm SUp_7.138b
   śivadharmāc chivajñānaṃ SUp_1.30c	Siva-DarmAt Siva-jQAnam SUp_1.30c
   śivadharmāḥ sanātanāḥ SUp_1.5b	Siva-DarmAH sanAtanAH SUp_1.5b
   śivadharmāḥ samāsataḥ SUp_7.136b	Siva-DarmAH samAsatas SUp_7.136b
   śivadharme mahāśāstre SUp_7.133a	Siva-Darme mahA-SAstre SUp_7.133a
   śivapustakavācanam SUp_7.87d	Siva-pustaka-vAcanam SUp_7.87d
   śivapūrṇāhutiṃ vahnau SUp_4.55a	Siva-pUrNAhutim vahnO SUp_4.55a
   śivabhaktas tridhā vedyāṃ SUp_5.21a	Siva-BaktaH triDA vedyAm SUp_5.21a
   śivabhakto 'sya mahataḥ SUp_6.223c	Siva-BaktaH asya mahataH SUp_6.223c
   śivabhasmani yāvantaḥ SUp_5.24a	Siva-Basmani yAvantaH SUp_5.24a
   śivabhasma prakīrtitam SUp_5.10d	Siva-Basma prakIrtitam SUp_5.10d
   śivamantraṃ samuccārya SUp_7.63c	Siva-mantram samuccArya SUp_7.63c
   śivamantreṇa kalpayet SUp_6.229d	Siva-mantreNa kalpayet SUp_6.229d
   śivamantreṇa bhāvitaḥ SUp_5.45d	Siva-mantreNa BAvitaH SUp_5.45d
   śivam astu nṛpāṇāṃ ca SUp_6.156c	Sivam astu nRpANAm ca SUp_6.156c
   śivamālāṃ samādāya SUp_6.161a	Siva-mAlAm samAdAya SUp_6.161a
   śivayajñamahāvedyā SUp_4.57a	Siva-yajQa-mahA-vedyA SUp_4.57a
   śivayajñopayogārthaṃ SUp_6.284a	Siva-yajQa-upayoga-arTam SUp_6.284a
   śivayogapravṛttasya SUp_6.217c	Siva-yoga-pravRttasya SUp_6.217c
   śivayogaprasiddhaye SUp_7.102d	Siva-yoga-prasidDaye SUp_7.102d
   śivayogī śivajñānī SUp_1.36a	Siva-yogI Siva-jQAnI SUp_1.36a
   śivayogy ācaret snānam SUp_5.17c	Siva-yogI Acaret snAnam SUp_5.17c
   śivarātre prayatnataḥ SUp_6.195b	SivarAtre prayatnataH SUp_6.195b
   śivalokam avāpnuyāt SUp_4.50b	Siva-lokam avApnuyAt SUp_4.50b
   śivalokam avāpnuyāt SUp_6.212d	Siva-lokam avApnuyAt SUp_6.212d
   śivalokam avāpnuyāt SUp_6.256b	Siva-lokam avApnuyAt SUp_6.256b
   śivalokam avāpnoti SUp_6.175c	Siva-lokam avApnoti SUp_6.175c
   śivalokaṃ na saṃśayaḥ SUp_6.188d	Siva-lokam na saMSayaH SUp_6.188d
   śivalokaṃ vrajanti te SUp_6.191d	Siva-lokam vrajanti te SUp_6.191d
   śivalokaṃ vrajen naraḥ SUp_2.31d	Siva-lokam vrajet naraH SUp_2.31d
   śivalokaṃ sa gacchati SUp_6.168d	Siva-lokam sa gacCati SUp_6.168d
   śivaloke naraḥ prāpya SUp_6.132c	Siva-loke naraH prApya SUp_6.132c
   śivaloke pramodate SUp_6.246d	Siva-loke pramodate SUp_6.246d
   śivaloke mahīyate SUp_4.36d	Siva-loke mahIyate SUp_4.36d
   śivaloke mahīyate SUp_4.41d	Siva-loke mahIyate SUp_4.41d
   śivaloke mahīyate SUp_5.24d	Siva-loke mahIyate SUp_5.24d
   śivaloke mahīyate SUp_6.5d	Siva-loke mahIyate SUp_6.5d
   śivaloke mahīyate SUp_6.7d	Siva-loke mahIyate SUp_6.7d
   śivaloke mahīyate SUp_6.9d	Siva-loke mahIyate SUp_6.9d
   śivaloke mahīyate SUp_6.15d	Siva-loke mahIyate SUp_6.15d
   śivaloke mahīyate SUp_6.28b	Siva-loke mahIyate SUp_6.28b
   śivaloke mahīyate SUp_6.32b	Siva-loke mahIyate SUp_6.32b
   śivaloke mahīyate SUp_6.38b	Siva-loke mahIyate SUp_6.38b
   śivaloke mahīyate SUp_6.48b	Siva-loke mahIyate SUp_6.48b
   śivaloke mahīyate SUp_6.53b	Siva-loke mahIyate SUp_6.53b
   śivaloke mahīyate SUp_6.54b	Siva-loke mahIyate SUp_6.54b
   śivaloke mahīyate SUp_6.57b	Siva-loke mahIyate SUp_6.57b
   śivaloke mahīyate SUp_6.62b	Siva-loke mahIyate SUp_6.62b
   śivaloke mahīyate SUp_6.92d	Siva-loke mahIyate SUp_6.92d
   śivaloke mahīyate SUp_6.213d	Siva-loke mahIyate SUp_6.213d
   śivaloke mahīyate SUp_6.215d	Siva-loke mahIyate SUp_6.215d
   śivaloke mahīyate SUp_6.232d	Siva-loke mahIyate SUp_6.232d
   śivaloke mahīyate SUp_6.233b	Siva-loke mahIyate SUp_6.233b
   śivaloke mahīyate SUp_6.233d	Siva-loke mahIyate SUp_6.233d
   śivaloke mahīyate SUp_6.235d	Siva-loke mahIyate SUp_6.235d
   śivaloke mahīyate SUp_6.236d	Siva-loke mahIyate SUp_6.236d
   śivaloke mahīyate SUp_6.238d	Siva-loke mahIyate SUp_6.238d
   śivaloke mahīyate SUp_6.242d	Siva-loke mahIyate SUp_6.242d
   śivaloke mahīyate SUp_6.244d	Siva-loke mahIyate SUp_6.244d
   śivaloke mahīyate SUp_6.260b	Siva-loke mahIyate SUp_6.260b
   śivaloke mahīyate SUp_6.262b	Siva-loke mahIyate SUp_6.262b
   śivaloke mahīyate SUp_6.278b	Siva-loke mahIyate SUp_6.278b
   śivaloke mahīyate SUp_7.94d	Siva-loke mahIyate SUp_7.94d
   śivaloke vyavasthitaḥ SUp_4.52d	Siva-loke vyavasTitaH SUp_4.52d
   śivaloke vyavasthitaḥ SUp_6.35d	Siva-loke vyavasTitaH SUp_6.35d
   śivaloke sa gacchati SUp_6.60b	Siva-loke sa gacCati SUp_6.60b
   śivaloke sukhī bhavet SUp_6.231d	Siva-loke suKI Bavet SUp_6.231d
   śivavediṃ suśobhanām SUp_3.5b	Siva-vedim su-SoBanAm SUp_3.5b
   śivavratadharaṃ dṛṣṭvā SUp_7.72a	Siva-vrata-Daram dRzwvA SUp_7.72a
   śivavratasya śāntasya SUp_5.12a	Siva-vratasya SAntasya SUp_5.12a
   śivaśāntigṛhadvayam SUp_3.1d	Siva-SAnti-gRha-dvayam SUp_3.1d
   śivaśeṣā mahīyasī SUp_6.171b	Siva-SezA mahIyasI SUp_6.171b
   śivasthaṇḍilam ity etac SUp_3.7a	Siva-sTaNxilam iti etat SUp_3.7a
   śivasya āyatanaṃ param SUp_1.24b	Sivasya Ayatanam param SUp_1.24b
   śivasya paramātmanaḥ SUp_6.133b	Sivasya paramAtmanaH SUp_6.133b
   śivasya bahurūpiṇaḥ SUp_6.124d	Sivasya bahu-rUpiNaH SUp_6.124d
   śivasya rathayātrāyām SUp_6.181a	Sivasya raTa-yAtrAyAm SUp_6.181a
   śivasya rathayātrāyāṃ SUp_6.125c	Sivasya raTa-yAtrAyAm SUp_6.125c
   śivasya rathayātrāṃ tu SUp_6.185a	Sivasya raTa-yAtrAm tu SUp_6.185a
   śivasyāyatane yāvat SUp_2.20c	Sivasya-Ayatane yAvat SUp_2.20c
   śivasyāśeṣapātakaiḥ SUp_1.20b	Sivasya-aSeza-pAtakEH SUp_1.20b
   śivasyāṣṭaśataṃ hutvā SUp_2.24c	Sivasya-azwaSatam hutvA SUp_2.24c
   śivaṃ gobrāhmaṇasya ca SUp_6.156b	Sivam go-brAhmaNasya ca SUp_6.156b
   śivaṃ tu sarvajagataḥ SUp_6.156a	Sivam tu sarva-jagataH SUp_6.156a
   śivaḥ śiva ime śānta- SUp_1.9a	SivaH SivaH ime SAnta SUp_1.9a
   śivaḥ śivaṃ samāsthāya SUp_7.4c	SivaH Sivam samAsTAya SUp_7.4c
   śivaḥ śivāya bhūtānāṃ SUp_1.16c	SivaH SivAya BUtAnAm SUp_1.16c
   śivaḥ śivāya bhūtānāṃ SUp_7.2a	SivaH SivAya BUtAnAm SUp_7.2a
   śivaḥ sarvajagatpatiḥ SUp_1.14d	SivaH sarva-jagat-patiH SUp_1.14d
   śivāgnidhūmasaṃspṛṣṭā SUp_4.56a	Siva-agni-DUma-saMspRzwA SUp_4.56a
   śivāgnihotrakuṇḍaṃ ca SUp_4.8a	Siva-agnihotra-kuNxam ca SUp_4.8a
   śivāgnihotraśaraṇaṃ SUp_4.9c	Siva-agnihotra-SaraNam SUp_4.9c
   śivāgnihotraśaraṇaṃ SUp_4.12c	Siva-agnihotra-SaraNam SUp_4.12c
   śivāgnau saṃkhyayā hutā SUp_4.34b	Siva-agnO saMKyayA hutA SUp_4.34b
   śivācāram anuttamam SUp_7.1d	Siva-AcAram anuttamam SUp_7.1d
   śivācāraḥ prakīrtitaḥ SUp_7.102b	Siva-AcAraH prakIrtitaH SUp_7.102b
   śivātmakaṃ śivāyaiva SUp_6.247c	Siva-Atmakam SivAya-eva SUp_6.247c
   śivātmakaṃ śivāyaiva SUp_6.250c	Siva-Atmakam SivAya-eva SUp_6.250c
