   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   pūrve tu vāsudevāya namaskuryācca dakṣiṇe /	pUrve tu vAsudevAya namaskuryAt ca dakziNe /
   saṃkarṣaṇāya devāya pradyumnāya ca paścime // GarP_3,24.105 //	saMkarzaNAya devAya pradyumnAya ca paScime // GarP_3,24.105 //
   uttare hyaniruddhyā namaskuryādatandritaḥ /	uttare hi anirudDyA namaskuryAt atandritaH /
   āgneye ca namaskuryātkanye māyāṃ sadā śubhe // GarP_3,24.106 //	Agneye ca namaskuryAt kanye mAyAm sadA SuBe // GarP_3,24.106 //
   jayāyai ca namaskuryānnairṛtye cāpi vāyave /	jayAyE ca namaskuryAt nErRtye ca api vAyave /
   kṛtye caiva namaskuryādīśānye śāntisaṃjñakām // GarP_3,24.107 //	kRtye ca eva namaskuryAt ISa anye SAnti saMjQakAm // GarP_3,24.107 //
   keśavāya namaḥ pūrve tathā nārāyaṇāya ca /	keSavAya namaH pUrve taTA nArAyaNAya ca /
   mādhavāya namaskuryānnairṛtye cāpi vāyave // GarP_3,24.108 //	mADavAya namaskuryAt nErRtye ca api vAyave // GarP_3,24.108 //
   āgneye kanyake nityaṃ bhaktyā tu prayataḥ śubhe /	Agneye kanyake nityam BaktyA tu prayataH SuBe /
   govindāya namaskuryāddakṣiṇe viṣṇave tathā // GarP_3,24.109 //	govindAya namaskuryAt dakziNe vizNave taTA // GarP_3,24.109 //
   madhusūdanāya bhoḥ kanye namaskuryāttu nairṛtau /	maDusUdanAya BoH kanye namaskuryAt tu nErRtO /
   paścime trivikramāya vāmanāya tathaiva ca // GarP_3,24.110 //	paScime trivikramAya vAmanAya taTA eva ca // GarP_3,24.110 //
   viṣṇave śrīdharāyātha namaskuryācca bhāmiti /	vizNave SrIDarAya aTa namaskuryAt ca BAm iti /
   uttare tu mahākanye hṛṣīkeśāya vai namaḥ // GarP_3,24.111 //	uttare tu mahA kanye hRzIkeSAya vE namaH // GarP_3,24.111 //
   tathā vai padmanābhāya namaskuryādatandritaḥ /	taTA vE padmanABAya namaskuryAt atandritaH /
   dāmodarāya caiśānye namaskuryācca bhāmini // GarP_3,24.112 //	dAmodarAya ca ESAnye namaskuryAt ca BAmini // GarP_3,24.112 //
   caturthāvaraṇe pūrve mahākūrmāya vai namaḥ /	caturTa AvaraNe pUrve mahA kUrmAya vE namaH /
   varāhāya namaskuryādāgneye kanyake śubhe // GarP_3,24.113 //	varAhAya namaskuryAt Agneye kanyake SuBe // GarP_3,24.113 //
   dakṣiṇe nārasiṃhāya vāmanāya namonamaḥ /	dakziNe nArasiMhAya vAmanAya namaH namaH /
   bhārgavāya namaskuryānnairṛtye śuddhacetasā // GarP_3,24.114 //	BArgavAya namaskuryAt nErRtye SudDa cetasA // GarP_3,24.114 //
   paścime mādhavāyātha tathā kṛṣṇāya vai namaḥ /	paScime mADavAya aTa taTA kRzNAya vE namaH /
   buddhāya ca namaskuryādvāyavye kanyake śubhe // GarP_3,24.115 //	budDAya ca namaskuryAt vAyavye kanyake SuBe // GarP_3,24.115 //
   uttare hyulkarūpāya anantāya namostu te /	uttare hi ulka rUpAya anantAya namoH tu te /
   īśānye viśvarūpāya namaskuryādatandritaḥ // GarP_3,24.116 //	ISAnye viSvarUpAya namaskuryAt atandritaH // GarP_3,24.116 //
   āgneye vāruṇīṃ caiva gāyatrīṃ caiva nairṛte /	Agneye vAruNIm ca eva gAyatrIm ca eva nErRte /
   vāyavye bhāratīṃ caiva īśānye girijāṃ namet // GarP_3,24.117 //	vAyavye BAratIm ca eva ISAnye girijAm namet // GarP_3,24.117 //
   girijāṃ vāmabhāge tu sauparṇai caiva saṃnamet /	girijAm vAma BAge tu sOparNE ca eva saMnamet /
   prāgindrāya namaskuryātsāyudhāya tathaiva ca // GarP_3,24.118 //	prAk indrAya namaskuryAt sa AyuDAya taTA eva ca // GarP_3,24.118 //
   sa parigrahāya śrīviṣṇoḥ pārṣadāya namonamaḥ /	sa parigrahAya SrI vizNoH pArzadAya namaH namaH /
   āgneyetyagnaye tubhyaṃ sāyudhāyeti pūrvavat // GarP_3,24.119 //	Agneya iti agnaye tuByam sa AyuDAya iti pUrvavat // GarP_3,24.119 //
   dakṣiṇe tu yamāyaiva nairṛtyāṃ nirṛtiṃ yajet /	dakziNe tu yamAya eva nErRtyAm nirRtim yajet /
   paścime varuṇāyaiva vāyavye vāyave namaḥ // GarP_3,24.120 //	paScime varuNAya eva vAyavye vAyave namaH // GarP_3,24.120 //
   uttare ca kuberāya īśānye ca śivāya ca /	uttare ca kuberAya ISAnye ca SivAya ca /
   īśānaśakrayormadhye brahmaṇe sāyudhāya ca // GarP_3,24.121 //	ISAna SakrayoH maDye brahmaNe sa AyuDAya ca // GarP_3,24.121 //
   nirṛtyapyatimadhye tu śeṣāya ca namonamaḥ /	nirRti api ati maDye tu SezAya ca namaH namaH /
   evaṃ kṛtvā namaskāraṃ praṇamecca punaḥ punaḥ // GarP_3,24.122 //	evam kRtvA namaskAram praNamet ca punar punar // GarP_3,24.122 //
   ityetatsarvamākhyātaṃ vidhipūrvaṃ tu darśanam /	iti etat sarvam AKyAtam viDi pUrvam tu darSanam /
   itaḥ parantu gantavyaṃ darśanārthaṃ ramāpate // GarP_3,24.123 //	itas parantu gantavyam darSana arTam ramApate // GarP_3,24.123 //
   evamuktvā tu sā devī taiḥ sārdhaṃ tu yayau mudā /	evam uktvA tu sA devI tEH sArDam tu yayO mudA /
   yaduktaḥ śrīnivāsasya darśanasya vidhiḥ khaga /	yat uktaH SrInivAsasya darSanasya viDiH Kaga /
   kasyacinnaiva vaktavyo gopyatvācca kadācana // GarP_3,24.124 //	kasyacid na eva vaktavyaH gopya tvAt ca kadAcana // GarP_3,24.124 //
   samāgamo durghaṭa eva vīndra satāṃ ca sattattvavibodhakānām /	samAgamaH durGawaH eva vIndra satAm ca sat tattva viboDakAnAm /
   anekajanmārjitapuṇyasaṃcayādabhūdguroḥ saṃgama eva tasya // GarP_3,24.125	aneka janma arjita puNya saMcayAt aBUt guroH saMgamaH eva tasya // GarP_3,24.125
   payo vikāraṃ ca nijaṃ jahāti śeṣasya śeṣaṃ nalinasya ṣaṅkajam /	payaH vikAram ca nijam jahAti Sezasya Sezam nalinasya zaFkajam /
   bhāvaṃ calaṃ paṅkajanābhayogātsatsaṃgayogādaśubhāni na syuḥ //	BAvam calam paFkajanABa yogAt sat saMga yogAt aSuBAni na syuH //
   GarP_3,24.126 //	GarP_3,24.126 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe tṛtīyāṃśe brahmakāṇḍe	iti SrI gAruxe mahApurANe uttara KaNxe tRtIya aMSe brahma kANxe
   śrīveṅkaṭeśagiryārohaṇakramatadbhaktatatparvatanāmādinirūpaṇaṃ nāma	SrIveFkaweSagiryArohaNakramatadBaktatatparvatanAmAdinirUpaNam nAma
   caturviśo 'dhyāyaḥ	caturviSaH aDyAyaH
   śrīgaruḍamahāpurāṇam  25	SrI garuxa mahApurANam 25
   sā dvāradeśe śrīnivāsasya devī svāmipuṣkariṇīṃ dadṛśe kaiśca sārdham /	sA dvAra deSe SrInivAsasya devI svAmi puzkariNIm dadRSe kEH ca sArDam /
   svāminhare śrīnivāseti sā taṃ brahmādīnāṃ tārakaṃ sampradadhyau //	svAmin hare SrInivAsa iti sA tam brahma AdInAm tArakam sampradaDyO //
   GarP_3,25.1 //	GarP_3,25.1 //
   devaiḥ sārdhaṃ pālanārthaṃ ca viṣṇurastyeva nityaṃ puṣkariṇyāṃ jaleṣu /	devEH sArDam pAlana arTam ca vizNuH asti eva nityam puzkariNyAm jalezu /
   ataḥ svāmipuṣkariṇīti cāhustatra snānaṃ kanyakānyāśca cakruḥ //	atas svAmi puzkariNI iti ca AhuH tatra snAnam kanyakA anyAH ca cakruH //
   GarP_3,25.2 //	GarP_3,25.2 //
   śucirbhūtvā śrīnivāsaṃ ca devāstuptuṃ viviśuḥ śuddhabhaktyā khagendra /	SuciH BUtvA SrInivAsam ca devAH tuptum viviSuH SudDa BaktyA Kaga indra /
   yathopadiṣṭaṃ guruṇā tathaiva cakre kanyāśca sarvaṃ khagendra //	yaTA upadizwam guruNA taTA eva cakre kanyAH ca sarvam Kaga indra //
   GarP_3,25.3 //	GarP_3,25.3 //
   tadā hariṃ darśayāmāsa tasyai svakaṃ rūpaṃ supratīke supūrṇam /	tadA harim darSayAmAsa tasyE svakam rUpam supratIke su pUrNam /
   sā kanyakā śrīnivāsasya rūpaṃ dadarśa bhaktyā svamanobhirāmam //	sA kanyakA SrInivAsasya rUpam dadarSa BaktyA sva manoBirAmam //
   GarP_3,25.4 //	GarP_3,25.4 //
   suvarṇacitraṃ vasanaṃ vasānaṃ soṣṇīṣakaṃ kañcukaṃ saṃdadhānam //	suvarNa citram vasanam vasAnam sa uzNIzakam kaQcukam saMdaDAnam //
   GarP_3,25.5 //	GarP_3,25.5 //
   mṛgotthamadagandhena surabhīkṛtadiṅmukham /	mRga utTa mada ganDena suraBIkRta diFmuKam /
   puṇḍarīkaviśālākṣaṃ kaṃbugrīvaṃ mahābhujam // GarP_3,25.6 //	puNxarIka viSAla akzam kaMbu grIvam mahA Bujam // GarP_3,25.6 //
   hemayajñopavītāṅgaṃ sākṣātkandarpasannibham /	hema yajQopavIta aFgam sAkzAt kandarpa sanniBam /
   jaganmohanasaindaryaṃ komalāṅgaṃ manoharam // GarP_3,25.7 //	jagat mohana sEndaryam komala aFgam manoharam // GarP_3,25.7 //
   dṛṣṭvā ca kanyā mumude romāñcitasugātrakā // GarP_3,25.8 //	dRzwvA ca kanyA mumude roma AQcita sugAtrakAH // GarP_3,25.8 //
   taddarśanāhlādapariplutāśayā premṇātha romāśrukulākulekṣaṇā /	tad darSana AhlAda paripluta ASayA premNA aTa roma aSru kula Akula IkzaNA /
   nanarta devī puratastasya viṣṇoḥ sā dhvastadoṣā paramādareṇa /	nanarta devI puratas tasya vizNoH sA Dvasta dozA parama AdareNa /
   ānanda māṃ pāhi sukhaṃ ca dattvā mukundā māṃ pāhi vimuktidānāt //	Ananda mAm pAhi suKam ca dattvA mukundAH mAm pAhi vimukti dAnAt //
   GarP_3,25.9 //	GarP_3,25.9 //
   māṃ pāhi nityaṃ hyaravindanetra prasannadṛṣṭyā karuṇāsudhārdra /	mAm pAhi nityam hi aravinda netra prasanna dRzwyA karuNA suDA Ardra /
   govinda govinda suduḥ khitāṃ māṃ jñānādidānena hi pāhi nityam //	govinda govinda su duH KitAm mAm jQAna Adi dAnena hi pAhi nityam //
   GarP_3,25.10 //	GarP_3,25.10 //
   janārdana tvaṃ hi suduṣṭasaṃgānkāmādirūpānsatataṃ varjayitvā /	janArdana tvam hi su duzwa saMgAn kAma Adi rUpAn satatam varjayitvA /
   hare hare māṃ satataṃ pāhi daityānsamāhṛtya prabalānvighnarūpān //	hare hare mAm satatam pAhi dEtyAn samAhRtya prabalAn viGna rUpAn //
   GarP_3,25.11 //	GarP_3,25.11 //
   rameśa māṃ pāhi caturmukheśa viśveśa māṃ pāhi sarasvatīśa /	rameSa mAm pAhi catur muKa ISa viSveSa mAm pAhi sarasvati ISa /
   rameśa māṃ pāhi nidānamūrte vṛndāravṛndairvanditapādapadma // GarP_3,25.12	rameSa mAm pAhi nidAna mUrte vRndAra vRndEH vandita pAda padma // GarP_3,25.12
   evaṃ tu natvā paramādareṇa tuṣṭāva viṣṇuṃ paramaṃ purāṇam /	evam tu natvA parama AdareNa tuzwAva vizNum paramam purANam /
   lakṣmyā sadā ye 'viditā guṇāśca asaṃkhyātāḥ saṃti viṣṇau ca vīśa //	lakzmyA sadA ye aviditAH guNAH ca asaMKyAtAH saMti vizNO ca vISa //
   GarP_3,25.13 //	GarP_3,25.13 //
   teṣāṃ sakāśādatibāhulyasaṃkhyā guṇā harau te 'viditā vai ramāyāḥ /	tezAm sakASAt ati bAhulya saMKyAH guNAH harO te aviditAH vE ramAyAH /
   ato hare stavane kvāsti śaktistathāpi yatnaṃ stavane te kariṣye //	atas hare stavane kva asti SaktiH taTA api yatnam stavane te karizye //
   GarP_3,25.14 //	GarP_3,25.14 //
   tava prasādācca ramāprasādādvidhiprasādātbhāratīśaprasādāt /	tava prasAdAt ca rama aprasAdAt viDi prasAdAt BArati ISa prasAdAt /
   rudraprasādātstavanaṃ te kariṣye tathāpi viṣṇo mayi śāntiṃ kuruṣva //	rudra prasAdAt stavanam te karizye taTA api vizNo mayi SAntim kuruzva //
   GarP_3,25.15 //	GarP_3,25.15 //
   yadi prasannosi mayi tvamīśa tvatpādamūle dehi bhaktiṃ sadaiva /	yadi prasanna Usi mayi tvam ISa tvad pAda mUle dehi Baktim sadA eva /
   tvaddarśanāddeva śubhāśubhaṃ ca naṣṭaṃ madīyaṃ hyaśubhaṃ ca nityam //	tvad darSanAt deva SuBa aSuBam ca nazwam madIyam hi aSuBam ca nityam //
   GarP_3,25.16 //	GarP_3,25.16 //
   tvanmāyayā naṣṭamimaṃ ca lokaṃ madena mattaṃ badhiraṃ cāndhabhūtam /	tvad mAyayA nazwam imam ca lokam madena mattam baDiram ca anDa BUtam /
   aiśvaryayogena ca yo hi mūko jātaḥ sadā dīnāgurvādikeṣu // GarP_3,25.17 //	ESvarya yogena ca yaH hi mUkaH jAtaH sadA dInA guru Adikezu // GarP_3,25.17 //
   mā dehi aiśvaryamanuttamaṃ tvatpādāravindasya viruddhabhūtam /	mA dehi ESvaryam anuttamam tvad pAda aravindasya virudDa BUtam /
   tvaṃ deva me dehi satāṃ ca saṃgaṃ tava svarūpapratipādakānām //	tvam deva me dehi satAm ca saMgam tava svarUpa pratipAdakAnAm //
   GarP_3,25.18 //	GarP_3,25.18 //
   putrādīnāmaihikaṃ vāsudeva dagdhvā ca me dehi pādāravinde /	putra AdInAm Ehikam vAsudeva dagDvA ca me dehi pAda aravinde /
   sadvaṣṇave kriyamāṇaṃ ca kopaṃ dagdhvā ca me dehi pādaravinde //	sat vazNave kriyamANam ca kopam dagDvA ca me dehi pAda ravinde //
   GarP_3,25.19 //	GarP_3,25.19 //
   dravyādike kriyamāṇaṃ ca lobhaṃ dagdhvā vai me dehi pādābjamūle /	dravya Adike kriyamANam ca loBam dagDvA vE me dehi pAda abja mUle /
   putrādike kriyamāṇaṃ ca mohaṃ dagdhvā ca me dehi pādābjamūle //	putra Adike kriyamANam ca moham dagDvA ca me dehi pAda abja mUle //
   GarP_3,25.20 //	GarP_3,25.20 //
   vidyāṃ putraṃ dravyajātaṃ madaṃ ca dagdhvā ca me dehi pādābjamūle /	vidyAm putram dravya jAtam madam ca dagDvA ca me dehi pAda abja mUle /
   sadvaiṣṇavāsahamānasvarūpaṃ dagdhvā mātsaryaṃ pāhi māṃ veṅkaṭeśa //	sat vEzNava asahamAna svarUpam dagDvA mAtsaryam pAhi mAm veFkaweSaH //
   GarP_3,25.21 //	GarP_3,25.21 //
   mantraṃ ca me dehi nidānamūrte yenaiva me syāttava saṃgaśca bhūyaḥ /	mantram ca me dehi nidAna mUrte yena eva me syAt tava saMgaH ca BUyas /
   nānyaṃ vṛṇe tava pādābjasaṃgāttadeva me dehi mama prasannaḥ //	na anyam vRNe tava pAda abja saMgAt tat eva me dehi mama prasannaH //
   GarP_3,25.22 //	GarP_3,25.22 //
   itīritaḥ śrīnivāsaḥ prasanna uvāca devo hyamṛtastravaṃ ca /	iti IritaH SrInivAsaH prasannaH uvAca devaH hi amRta stravam ca /
   atraiva kanye prajapasva mantraṃ sugopyarūpaṃ paramādareṇa // GarP_3,25.23	atra eva kanye prajapasva mantram su gopya rUpam parama AdareNa // GarP_3,25.23
   vakṣyāmi mantraṃ paramādareṇa śṛṇvadya bhaktyā paramādareṇa /	vakzyAmi mantram parama AdareNa SRNu adya BaktyA parama AdareNa /
   antaḥ sthamantyaṃ hyādyasaṃyuktameva sabindu tadvatsparśakādyena yuktam //	antar sTamantyam hi Adya saMyuktam eva sa bindu tadvat sparSaka Adyena yuktam //
   GarP_3,25.24 //	GarP_3,25.24 //
   ekārayuktaṃ prathamāntaḥ sthayuktaṃ samatrikoṇe coṣmaṇā saṃyutaṃ ca /	ekAra yuktam praTama antaH sTa yuktam samatri koNe ca UzmaNA saMyutam ca /
   takārasaktaṃ svarśamantaḥ sthayuktamādyanta oṃkārasamanvitaṃ ca //	takAra saktam svarSamantaH sTa yuktam Adyante oMkAra samanvitam ca //
   GarP_3,25.25 //	GarP_3,25.25 //
   anena mantreṇa tavepsitaṃ ca bhaveddhi kanye nāntra vicāryamasti /	anena mantreNa tava Ipsitam ca Bavet hi kanye na antra vicAryam asti /
   evaṃ sa uktvā śrīnivāso haristu pratīkavaddarśayāmāsa rūpam //	evam saH uktvA SrInivAsaH hariH tu pratIka vat darSayAmAsa rUpam //
   GarP_3,25.26 //	GarP_3,25.26 //
   natvā tu sā śrīnivāsaṃ ca devī uvāsa ha svāmisaraḥ samīpe /	natvA tu sA SrInivAsam ca devI uvAsa ha svAmisaraH samIpe /
   tasmindine brāhmaṇādīṃśca sarvānsaṃtarpayāmāsa ca ṣaḍrasānnaiḥ //	tasmin dine brAhmaNa AdIn= ca sarvAn saMtarpayAmAsa ca zaz rasa annEH //
   GarP_3,25.27 //	GarP_3,25.27 //
   sāyaṅkāle śrīnivāsasya dṛṣṭvā utsāharūpaiḥ śrīnivāsapratīkaiḥ /	sAyaFkAle SrInivAsasya dRzwvA utsAha rUpEH SrI nivAsa pratIkEH /
   sākaṃ bhaktyā saṃpraṇamyātha devī pradakṣiṇaṃ śrīnivāsasya suṣṭhu //	sAkam BaktyA saMpraNamya aTa devI pradakziNam SrInivAsasya suzWu //
   GarP_3,25.28 //	GarP_3,25.28 //
   nanarta devī supratīkasya cāgre lajjāṃ tyaktvā jaya deveti coktvā /	nanarta devI supratIkasya ca agre lajjAm tyaktvA jaya deva iti ca uktvA /
   ānṛttakāle ca hareśca vaktraṃ dṛṣṭvā ca dṛṣṭyā tu paraṃ nanarta //	AnRtta kAle ca hareH ca vaktram dRzwvA ca dRzwyA tu param nanarta //
   GarP_3,25.29 //	GarP_3,25.29 //
   mamādya gātraṃ pāvitaṃ śrīnivāsa mamādya netraṃ saphalaṃ saṃbabhūva /	mama adya gAtram pAvitam SrInivAsa mama adya netram saPalam saMbaBUva /
   mamādya pādau sārthakau caiva jātau pradakṣiṇaṃ śrīnivāseśa kṛtvā //	mama adya pAdO sArTakO ca eva jAtO pradakziNam SrInivAsa ISa kRtvA //
   GarP_3,25.30 //	GarP_3,25.30 //
   hastau ca me sārthakāvadya jātau agre kṛtvā hastaśabdaṃ murāreḥ /	hastO ca me sArTakO= adya jAtO agre kRtvA hasta Sabdam murAreH /
   evaṃ vadantī prīṇayantī ca devaṃ jagāmasā stotravacaḥ kadambaiḥ //	evam vadantI prINayantI ca devam jagAmasA stotra vacaH kadambEH //
   GarP_3,25.31 //	GarP_3,25.31 //
   devāstadā dunduṃbhayo vinedire tanmastake puṣpavṛṣṭiṃ ca cakruḥ /	devAH tadA dunduMBayaH vinedire tad mastake puzpa vRzwim ca cakruH /
   tasminkāle ubhayoḥ pārśvayośca nṛtyaṃ cakrurdevatāvāranāryaḥ //	tasmin kAle uBayoH pArSvayoH ca nRtyam cakruH devatA vAra nAryaH //
   GarP_3,25.32 //	GarP_3,25.32 //
   tathaiva tāstalaśabdaṃ ca kṛtvā tadā sarvā namanaṃ cāpi cakruḥ /	taTA eva tAH tala Sabdam ca kRtvA tadA sarvAH namanam ca api cakruH /
   ānandaśaile sarvadā tvitthameva sā sarvadā nartayantī ca vīndra //	Ananda SEle sarvadA tu itTam eva sA sarvadA nartayantI ca vi indra //
   GarP_3,25.33 //	GarP_3,25.33 //
   ānandamagnā sāpi devī jagāma svamāśramaṃ jaigiṣavyeṇa sārdham /	Ananda magnA sA api devI jagAma svam ASramam jEgizavyeNa sArDam /
   yātrāmevaṃ ye na kurvanti vīndra teṣāṃ ca sarvaṃ niṣphalaṃ cāhurāryāḥ //	yAtrAm evam ye na kurvanti vi indra tezAm ca sarvam nizPalam ca AhuH AryAH //
   GarP_3,25.34 //	GarP_3,25.34 //
   gatvāśramaṃ jaigiṣavyeṇa sārdhaṃ guruṃ tvapṛcchadveṅkaṭeśasya mantram /	gatvA ASramam jEgizavyeNa sArDam gurum tu apRcCat veFkawa ISasya mantram /
   mantrasyārthaṃ brūhi me jaigiṣavya mantrāvṛttiṃ kurvatāṃ vai phalāya //	mantrasya arTam brUhi me jEgizavya mantra AvRttim kurvatAm vE PalAya //
   GarP_3,25.35 //	GarP_3,25.35 //
   jaigīṣvya uvāca /	jEgIzvyaH uvAca /
   śṛṇuṣva bhadre veṅkaṭe śasya nāmnastvarthaṃ śrutvā hṛdaye saṃnidhatsva //	SRNuzva Badre veFkawe Sasya nAmnaH tu arTam SrutvA hRdaye saMniDatsva //
   GarP_3,25.36 //	GarP_3,25.36 //
   viti hyuttamavācī syādyeti jñānamudāhṛtam /	viti hi uttama vAcI syAt yA iti jQAnam udAhRtam /
   kakāraḥ sukhavācī syāṭṭeti cittamudāhṛtam // GarP_3,25.37 //	kakAraH suKa vAcI syAwwA iti cittam udAhRtam // GarP_3,25.37 //
   īśatvamātmavāci syādevaṃ jñeyaṃ tu kanyake /	ISa tvam Atma vAci syAt evam jQeyam tu kanyake /
   pūrṇajñānaṃ sukhaṃ vittaṃ vyāptatvādvyaṅkaṭābhidhaḥ // GarP_3,25.38 //	pUrNa jQAnam suKam vittam vyApta tvAt vyaFkawa aBiDaH // GarP_3,25.38 //
   vya (ve) mindriyādikaṃ proktaṃ vyaṅgabhūtaṃ harau yataḥ /	vyaH (ve) mindriya Adikam proktam vyaFga BUtam harO yatas /
   kaṭaśca samudāyārtho vyaṃ (veṃ) kaṭaścendriyaughakaḥ // GarP_3,25.39 //	kawaH ca samudAya arTaH vyam (veM) kawaH ca indriya oGakaH // GarP_3,25.39 //
   svasminprerayate yasmāttasmādvyaṅkaṭanāmakaḥ /	svasmin prerayate yasmAt tasmAt vyaFkawa nAmakaH /
   viṣaye preṣayennityamato vyaṅkaṭanāmakaḥ // GarP_3,25.40 //	vizaye prezayet nityam atas vyaFkawa nAmakaH // GarP_3,25.40 //
   viśiṣṭajñānarūpatvādvyeti muktāḥ sadā smṛtāḥ /	viSizwa jQAna rUpa tvAt vyeti muktAH sadA smRtAH /
   muktānāṃ ca samūhastu vyaṅkaṭeti prakīrtitaḥ // GarP_3,25.41 //	muktAnAm ca samUhaH tu vyaFkawa iti prakIrtitaH // GarP_3,25.41 //
   sadā muktasamūhānāmīśatvādvyaṅkaṭābhidhaḥ /	sadA mukta samUhAnAm ISa tvAt vyaFkawa aBiDaH /
   liṅgadehamato jīvo vyaṅkaṭeti samāhṛtaḥ // GarP_3,25.42 //	liFga deham atas jIvaH vyaFkawa iti samAhRtaH // GarP_3,25.42 //
   liṅgānāṃ caiva svāmitvādvyaṅkaṭeśeti saṃjñitaḥ /	liFgAnAm ca eva svAmi tvAt vyaFkawa ISa iti saMjQitaH /
   daityānāṃ ca samūhāstu jñānādividhurā yataḥ /	dEtyAnAm ca samUhAH tu jQAna Adi viDurAH yatas /
   ato daityasamūhastu vyaṅkaṭeti prakīrtitaḥ // GarP_3,25.43 //	atas dEtya samUhaH tu vyaFkawa iti prakIrtitaH // GarP_3,25.43 //
   teṣāṃ saṃharaṇe īśastvato vyaṅkaṭanāmakaḥ /	tezAm saMharaNe ISaH tu atas vyaFkawa nAmakaH /
   ānandasya viruddhatvātkāmakrodhādayo guṇāḥ // GarP_3,25.44 //	Anandasya virudDa tvAt kAma kroDa AdayaH guNAH // GarP_3,25.44 //
   vyaṅkaṭā iti saṃproktāsteṣāṃ nāśayitā prabhuḥ /	vyaFkawAH iti saMproktAH tezAm nASayitA praBuH /
   atastu vyaṅkaṭeśākhya evaṃ jñātvā japaṃ kuru // GarP_3,25.45 //	atas tu vyaFkawa ISa AKyaH evam jQAtvA japam kuru // GarP_3,25.45 //
   evaṃ vyaṅkaṭāmāhātmyaṃ śrutvā devī khageśvara /	evam vyaFkawa AmAhAtmyam SrutvA devI KageSvara /
   nidrāṃ cakāra tatraiva rātrau pitrā sahaiva ca /	nidrAm cakAra tatra eva rAtrO pitrA saha eva ca /
   brāhme muhūrte cotthayi hṛdi sasmāra kanyakā // GarP_3,25.46 //	brAhme muhUrte ca utTayi hRdi sasmAra kanyakA // GarP_3,25.46 //
   (vyaṅkaṭeśasya prātaḥ stutiḥ) /	(vyaFkawa ISasya prAtar stutiH) /
   śrīvyaṅkaṭeśaśca nṛsiṃhamūrtiḥ śrīvaradarājaśca varāhamūrtiḥ /	SrI vyaFkawa ISaH ca nRsiMha mUrtiH SrIvarada rAjaH ca varAha mUrtiH /
   śrīraṅgaśāyī ca anantaśāyī kurvantu sarve mama suprabhātam // GarP_3,25.47	SrIraFga SAyI ca ananta SAyI kurvantu sarve mama su praBAtam // GarP_3,25.47
   śrīkṛṣṇamūrtiśca gadādharaśca śrīviṣṇupādastu prayāgavāsaḥ /	SrI kRzNa mUrtiH ca gadADaraH ca SrI vizNu pAdaH tu prayAga vAsaH /
   nārāyaṇaḥ śrībadarīnivāsaḥ kurvantu sarve mama suprabhātam // GarP_3,25.48	nArAyaNaH SrI badarI nivAsaH kurvantu sarve mama su praBAtam // GarP_3,25.48
   dāmodaro vai trijagannivāsaḥ śrīpāṇḍuraṅgaśca nṛsiṃhadevaḥ /	dAmodaraH vE trijagannivAsaH SrI pANxuH aFgaH ca nRsiMhadevaH /
   śrīrāmadevaśca amoghavāsaḥ kudṛ // GarP_3,25.49 //	SrI rAmadevaH ca amoGa vAsaH kudR // GarP_3,25.49 //
   śrīdharmaputraśca nṛsiṃhamūrtiḥ śrīpippalasthaśca muhallavāsaḥ /	SrI Darma putraH ca nRsiMha mUrtiH SrI pippala sTaH ca muhallavAsaH /
   kolānṛsiṃhaḥ śūrpakārastha siṃhaḥ kurvantudṛ // GarP_3,25.50 //	kolAn RsiMhaH SUrpa kAra sTa siMhaH kurvantu dR // GarP_3,25.50 //
   caturmukhaścārusarasvatī ca svabhāratī śarvasuparṇaśeṣāḥ /	caturmuKaH cAru sarasvatI ca svaBAratI Sarva suparNa SezAH /
   amāmahedraśca śacīmukhāstāḥ kurvantu dṛ // GarP_3,25.51 //	amAmahedraH ca SacI muKAH tAH kurvantu dR // GarP_3,25.51 //
   dvārāvatī kāśikāvantikā ca prayāgakāñcyau mathurāpurī ca /	dvArAvatI kASikAvantikA ca prayAga kAQcyO maTurA purI ca /
   māyāvatī hastimatī purī ca kurvantu sa dṛ // GarP_3,25.52 //	mAyAvatI hastimatI purI ca kurvantu sa dR // GarP_3,25.52 //
   bhāgīrathī caiva sarasvatī ca godāvarī siṃdhukṛṣṇa ca veṇī /	BAgIraTI ca eva sarasvatI ca godAvarI siMDukRzNa ca veNI /
   kalindakanyā yamunā ca narmadā kurva dṛ // GarP_3,25.53 //	kalinda kanyA yamunA ca narmadA kurva dR // GarP_3,25.53 //
   vitastikāverisatuṅgabhadrāḥ suvañjarā bhīmarathī vipāśā /	vitastikA veri sa tuFgaBadrAH suvaQjarA BImaraTI vipASA /
   sutāmraparṇī ca pinākinī ca ku dṛ // GarP_3,25.54 //	sutAmraparNI ca pinAkinI ca ku dR // GarP_3,25.54 //
   svāmipuṣkariṇī caiva suvarṇamukharī tathā /	svAmipuzkariNI ca eva suvarNa muKarI taTA /
   śrīpāṇḍavī taubaruśca kapilā pāpanāśanī // GarP_3,25.55 //	SrI pANxavI tObaruH ca kapilA pApa nASanI // GarP_3,25.55 //
   gururvasiṣṭhaḥ kraturaṅgirāśca manuḥ pulastyaḥ pulahaśca gautamaḥ /	guruH vasizWaH kratuH aFgirAH ca manuH pulastyaH pulahaH ca gOtamaH /
