   sāṅkhyasāraḥ /	sAFKya-sAraH /
   asti sarvagataṃ śāntaṃ paramātmaghanaṃ śuci /	asti sarva-gatam SAntam paramAtma-Ganam Suci /
   acintyacinmātravapuḥ paramākāśamātatam // ViSs_2,2.18 //	acintya-cit-mAtra-vapuH parama-AkASam-Atatam // ViSH-_2,2.18 //
   tatsarvagaṃ sarvaśakti sarvaṃ sarvātmakaṃ svayam /	tat-sarvagam sarva-Sakti sarvam sarva-Atmakam svayam /
   yatra yatra yathodeti yathā '; 'ste tatra tatra vai // ViSs_2,2.19 //	yatra yatra yaTA-udeti yaTA a; aste tatra tatra vE // ViSH-_2,2.19 //
   āvirbhāvatirobhāvamayāstribhuvanormayaḥ /	AvirBAva-tiroBAva-mayAH-triBuvana-UrmayaH /
   sphurantyatitate yasmin marāviva marīcayaḥ // ViSs_2,2.20 //	sPuranti-atitate yasmin marO=-iva marIcayaH // ViSH-_2,2.20 //
   asateva satī toyanadyeva laharī calā /	asatA-iva satI toyanadI-eva laharI calAH /
   manasevendrajālaśrīrjāgatī pravitanyate // ViSs_2,2.21 //	manasA-iva-indrajAla-SrIH-jAgatI pravitanyate // ViSH-_2,2.21 //
   brahmaṇā tanyate viśvaṃ manasaiva svayambhuvā /	brahmaNA tanyate viSvam manasA-eva svayamBuvA /
   manomayamato viśvaṃ yannāma paridṛśyate // ViSs_2,2.22 //	manaH-mayam-atas viSvam yat-nAma paridRSyate // ViSH-_2,2.22 //
   yo hyaśuddhamatirmūḍho rūḍho na vitate pade /	yaH hi-aSudDa-matiH-mUXaH rUXaH na vitate pade /
   vajrasāramidaṃ tasya jagadastyasadeva sat // ViSs_2,2.23 //	vajra-sAram-idam tasya jagat-asti-asat-eva sat // ViSH-_2,2.23 //
   avyutpannasya kanake kānake kaṭake yathā /	avyutpannasya kanake kAnake kawake yaTA /
   kaṭakajñaptirevāsti na manāgapi hemadhīḥ // ViSs_2,2.24 //	kawaka-jQaptiH-eva-asti na manAk-api hema-DIH // ViSH-_2,2.24 //
   tathā 'jñasya purāgāranaganāgendrabhāsurā /	taTA ajQasya purA-AgAra-naga-nAga-indra-BAsurAH /
   iyaṃ dṛśyadṛgevāsti na tvanyā paramārthadṛk // ViSs_2,2.25 //	iyam dRSya-dRS-eva-asti na tu-anyA parama-arTa-dRS // ViSH-_2,2.25 //
   ityādivākyairvāsiṣṭhe nātyantāsatyatoditā /	ityAdi-vAkyEH-vAsizWe na-atyanta-asati-atoditA /
   jagato 'paravākyairhi satkāryaṃ prākṛtaṃ matam // ViSs_2,2.26 //	jagataH apara-vAkyEH-hi satkAryam prAkRtam matam // ViSH-_2,2.26 //
   nāmarūpavinirmuktaṃ yasmin santiṣṭhate jagat /	nAma-rUpa-vinirmuktam yasmin santizWate jagat /
   tamāhuṃ prakṛtiṃ kecin māyāmeke 'pare tvaṇūn // ViSs_2,2.27 //	tam-Ahum prakRtim kecid mAyAm-eke apare tu-aNUn // ViSH-_2,2.27 //
   suṣuptāvasthayā cakrapadmarekhāśilodare /	suzupta-avasTayA cakra-padma-reKA-SilA-udare /
   yathā sthitā citerantastatheyaṃ jagadāvalī // ViSs_2,2.28 //	yaTA sTitA citeH-antar-taTA-iyam jagat-AvalI // ViSH-_2,2.28 //
   prakṛtivratatirvyomni jātā brahmāṇḍasatphalā /	prakRti-vratatiH-vyomni jAtAH brahmANxa-sat-PalA /
   ityādivākyaiḥ sāṅkhyīyasatkāryādyupavarṇanāt // ViSs_2,2.29 //	ityAdi-vAkyEH sAFKyIya-sat-kArya-Adi-upavarNanAt // ViSH-_2,2.29 //
   iti śrīvijñānabhikṣuviracite sāṅkhyasāre ātmānātmanoḥ	iti SrI-vijQAna-Bikzu-viracite sAFKya-sAre AtmAnAtmanoH
   satyatvāsatyatvavaidharmyaparicchedaḥ // * //	satya-tva-asatya-tva-vEDarmya-paricCedaH // * //
   atha tṛtīyaḥ paricchedaḥ //	aTa tRtIyaH paricCedaH //
   tadevātmanaḥ sattā darśitā 'nyavilakṣaṇā /	tat-eva-AtmanaH sattA darSitA anya-vilakzaNAH /
   atha cidrūpatāṃ vakṣye buddhivṛttivilakṣaṇām // ViSs_2,3.1 //	aTa cit-rUpa-tAm vakzye budDi-vRtti-vilakzaNAm // ViSH-_2,3.1 //
   anubhūtiścitirbodho vedanaṃ cocyate pumān /	anuBUtiH-citiH-boDaH vedanam ca-ucyate pumAn /
   vedyaṃ jaḍaṃ tamo 'jñānaṃ pradhānādikamucyate // ViSs_2,3.2 //	vedyam jaxam tamaH ajQAnam praDAna-Adikam-ucyate // ViSH-_2,3.2 //
   vedanaṃ vedyasambandhādeva vettrabhidhīyate /	vedanam vedya-sambanDAt-eva vettR-aBiDIyate /
   yathā prakāśyasambandhāt prakāśo 'pi prakāśakaḥ // ViSs_2,3.3 //	yaTA prakASya-sambanDAt prakASaH api prakASakaH // ViSH-_2,3.3 //
   yathā vā 'rthoparāgeṇa bhānamarthasya bhāsakam /	yaTA vA arTa-uparAgeNa BAnam-arTasya BAsakam /
   evaṃ vedyoparaktasyāsvāṃśasyādhāratāṃ 'śini // ViSs_2,3.4 //	evam vedya-uparaktasya-asva-aMSasya-ADAra-tAm aSini // ViSH-_2,3.4 //
   asaṅgāyāṃ citau vedyoparāgo 'yaṃ na dhīṣviva /	asaFgAyAm citO vedya-uparAgaH ayam na DIzu-iva /
   kintu sākṣāddvārato vā citi tatpratibimbanam // ViSs_2,3.5 //	kintu sAkzAt-dvArataH vA citi tad-pratibimbanam // ViSH-_2,3.5 //
   bāhyaṃ vṛttyākhyakaraṇābhāvādanuparāgataḥ /	bAhyam vRtti-AKya-karaNa-aBAvAt-anupara-AgataH /
   citirnaivekṣate cetyaṃ vibhutve 'pi ca sarvataḥ // ViSs_2,3.6 //	citiH-nEva-Ikzate ca-ityam viBu-tve api ca sarvatas // ViSH-_2,3.6 //
   tathā cidapi vṛttyākhyakaraṇābhāvato 'rthavat /	taTA cit-api vRtti-AKya-karaNa-aBAvataH arTavat /
   svagocarāṃ vṛttimṛte tiṣṭhatyajñātasattayā // ViSs_2,3.7 //	sva-gocarAm vRtti-mRte tizWati-ajQAta-sattayA // ViSH-_2,3.7 //
   tadevaṃ cinnirākārā prakāśākāśarūpiṇī /	tat-evam cit-nirAkArA prakASa-AkASa-rUpiNI /
   tiṣṭhatyavyaktarūpā ca mokṣādau vṛttyabhāvataḥ // ViSs_2,3.8 //	tizWati-avyakta-rUpA ca mokza-AdO vRtti-aBAvataH // ViSH-_2,3.8 //
   buddhivṛttistu sākārā paricchinnā ca dīpavat /	budDi-vRttiH-tu sa-AkArA paricCinnA ca dIpa-vat /
   vyaktā ca sarvadā tadvadasaṅkhyā kṣaṇabhaṅgurā // ViSs_2,3.9 //	vyaktA ca sarvadA tadvat-asaFKyA kzaNa-BaFgurAH // ViSH-_2,3.9 //
   jaḍā ca paradṛśyatvādghaṭadīpādivan matā /	jaxA ca para-dRSya-tvAt-Gawa-dIpa-Adi-vat matA /
   vṛtteḥ prakāśatā tvarthākāratvādakṣataiva hi // ViSs_2,3.10 //	vRtteH prakASa-tA tu-arTa-AkAra-tvAt-akzatA-eva hi // ViSH-_2,3.10 //
   yathā 'syākāratārhatvādādarśastatprakāśakaḥ /	yaTA asi-a-AkAra-tA-arha-tvAt-AdarSaH-tad-prakASakaH /
   sarvākāratvayogyatvāt saivaṃ sarvaprakāśikā // ViSs_2,3.11 //	sarva-AkAra-tva-yogya-tvAt sA-evam sarva-prakASikAH // ViSH-_2,3.11 //
   na punarvṛttidraṣṭṛtvaṃ citastadbhinnadraṣṭṛtā /	na punar-vRtti-drazwR-tvam citaH-tad-Binna-drazwR-tA /
   vṛtteryato gauravaṃ syāddvayorjñātṛtvakalpane // ViSs_2,3.12 //	vRtteH-yatas gOravam syAt-dvayoH-jQAtR-tva-kalpane // ViSH-_2,3.12 //
   buddhyārūḍhaṃ tvanyavastu taddvārā pratibimbitam /	budDi-ArUXam tu-anyavastu tad-dvArA pratibimbitam /
   paśyatyanubhavo nānyo draṣṭā buddhyādiko 'khilaḥ // ViSs_2,3.13 //	paSyati-anuBavaH na-anyaH drazwA budDi-AdikaH aKilaH // ViSH-_2,3.13 //
   ityevaṃ buddhivṛttibhyo vailakṣaṇyaṃ citīritam /	iti-evam budDi-vRttiByaH vElakzaNyam citi-Iritam /
   cidacittvākhyavaidharmyaṃ dehādibhyaḥ sphuṭantvidam // ViSs_2,3.14 //	cit-acittvA-AKya-vEDarmyam deha-AdiByaH sPuwantu-idam // ViSH-_2,3.14 //
   anyonyapratibimbena sārūpyādvṛtibodhayoḥ /	anyonya-pratibimbena sArUpyAt-vRti-boDayoH /
   bodhavyavahṛtirvṛttau lohe 'gnivyavahāravat // ViSs_2,3.15 //	boDa-vyavahRtiH-vRttO lohe agni-vyavahAra-vat // ViSH-_2,3.15 //
   naivālpabuddhyāśakyo 'yaṃ viveko vṛttibodhayoḥ /	na-eva-alpa-budDyA-aSakyaH ayam vivekaH vRtti-boDayoH /
   tārkikā yatra sammūḍhāḥ sāṅkhyānāṃ śreṣṭhatā yataḥ // ViSs_2,3.16 //	tArkikAH yatra sammUXAH sAFKyAnAm SrezWa-tA yatas // ViSH-_2,3.16 //
   vijñānavādino bauddhā vṛttibodhāvivekataḥ /	vijQAna-vAdinaH bOdDA vRtti-boDa-avivekatas /
   jñātātmatvaśrutau mūḍhā menire kṣaṇikāṃ citim // ViSs_2,3.17 //	jQAta-Atma-tva-SrutO mUXAH menire kzaNikAm citim // ViSH-_2,3.17 //
   sattvapuṃso viveko 'yaṃ vṛttitadbodharūpayoḥ /	sattva-puMsaH vivekaH ayam vRtti-tad-boDa-rUpayoH /
   nāśakyaḥ sudhiyāṃ yadvaddhaṃsānāṃ kṣīranīrayoḥ // ViSs_2,3.18 //	na-aSakyaH suDiyAm yadvat-haMsAnAm kzIra-nIrayoH // ViSH-_2,3.18 //
   etadantaśca saṃsāro mokṣāstatraiva saṃsthitaḥ /	etat-antar-ca saMsAraH mokzAH-tatra-eva saMsTitaH /
   yadvṛttibhyo vivekena tadbodhasyāvadhāraṇam // ViSs_2,3.19 //	yat-vRttiByaH vivekena tat-boDasya-avaDAraNam // ViSH-_2,3.19 //
   sarvo 'pyanubhavaṃ veda na kaścidapi vedatām /	sarvaH api-anuBavam veda na kaScid-api veda-tAm /
   vivekamātramasmin hi bhāsamāne 'pyapekṣate // ViSs_2,3.20 //	viveka-mAtram-asmin hi BAsamAne api-apekzate // ViSH-_2,3.20 //
   ātmā vivektuṃ bāhyārthe na śakyo vṛtimiśraṇāt /	AtmA vivektum bAhya-arTe na SakyaH vRti-miSraNAt /
   ato vṛttau vivektavyo vṛttibodhatayaiva saḥ // ViSs_2,3.21 //	atas vRttO vivektavyaH vRtti-boDa-tayA-eva saH // ViSH-_2,3.21 //
   yathā buddhyā vivekārho nāgniraṅgāramiśraṇāt /	yaTA budDyA viveka-arhaH na-agniH-aFgAra-miSraNAt /
   so 'ṅgāre tu vivekārho kāṣṭhadagdhṛtayā sphuṭam // ViSs_2,3.22 //	saH aFgAre tu viveka-arhaH kAzWa-dagDR-tayA sPuwam // ViSH-_2,3.22 //
   ataeva śrutau svapne dṛśyavṛttivivekataḥ /	ataeva SrutO svapne dRSya-vRtti-vivekataH /
   svayaṃjyotiḥsvarūpeṇa tasyā draṣṭā pradarśitaḥ // ViSs_2,3.23 //	svayaMjyotiH-svarUpeNa tasyAH drazwA pradarSitaH // ViSH-_2,3.23 //
   sākṣāt prakāśo yo yasya sa tadbhinno mato budhaiḥ /	sAkzAt prakASaH yaH yasya sa tat-BinnaH mataH buDEH /
   ghaṭādibhyo yathā '; 'loka ālokāccāpi vṛttayaḥ // ViSs_2,3.24 //	Gawa-AdiByaH yaTA a; aloke AlokAt-ca-api vRttayaH // ViSH-_2,3.24 //
   vṛtteḥ sākṣāt prakāśatvādato 'nubhavarūpakaḥ /	vRtteH sAkzAt prakASa-tvAt-atas anuBava-rUpakaH /
   vṛttibhyo bhinna ātmeti śīghro mārgaḥ svadarśane // ViSs_2,3.25 //	vRttiByaH BinnaH AtmA-iti SIGraH mArgaH sva-darSane // ViSH-_2,3.25 //
   evamādiprakāreṇa buddhisattvaprakāśataḥ /	evamAdi-prakAreNa budDi-sattva-prakASataH /
   vilakṣaṇatayā siddhaścitprakāśo 'sya bhāsakaḥ // ViSs_2,3.26 //	vilakzaNa-tayA sidDaH-cit-prakASaH asya BAsakaH // ViSH-_2,3.26 //
   svapnadehādidṛṣṭāntaistasmācchrutyādidarśitaiḥ /	svapna-deha-Adi-dRzwAntEH-tasmAt-Sruti-Adi-darSitEH /
   jāgraddehendriyārthebhyaścitirbhinnatayā matā // ViSs_2,3.27 //	jAgrat-deha-indriya-arTeByaH-citiH-Binna-tayA matAH // ViSH-_2,3.27 //
   svapne dehādikaṃ sarvaṃ cidbhinnaṃ citi bhāsate /	svapne deha-Adikam sarvam cit-Binnam citi BAsate /
   jāgratyevaṃ viśeṣastu yadbāhyamapi bhāsate // ViSs_2,3.28 //	jAgrati-evam viSezaH-tu yat-bAhyam-api BAsate // ViSH-_2,3.28 //
   svapne manomayatvācca sākṣāccidviṣayo 'khilam /	svapne manaH-maya-tvAt-ca sAkzAt-cid-vizayaH aKilam /
   karaṇadvārato bāhyaṃ cito jāgrati gocaraḥ // ViSs_2,3.29 //	karaNa-dvArataH bAhyam citaH jAgrati gocaraH // ViSH-_2,3.29 //
   sarvaṃ dehādikaṃ svapnajāgratorekarūpataḥ /	sarvam deha-Adikam svapna-ja-agratoH-eka-rUpataH /
   bhāti cidvyomni nātrārthabāhyāntarbhedato bhidā // ViSs_2,3.30 //	BAti cit-vyomni na-atra-arTa-bAhya-antar-BedataH BidAH // ViSH-_2,3.30 //
   cidvyomni vāsanāto dhīḥ pramāṇādvā 'rtharūpiṇī /	cit-vyomni vAsanAtas DIH pramANAt-vA arTa-rUpiNI /
   tataścito 'rthabhānaṃ yat tat samaṃ svapnajāgratoḥ // ViSs_2,3.31 //	tatas-citaH arTa-BAnam yat tat samam svapna-jAgratoH // ViSH-_2,3.31 //
   tadidaṃ svānubhūtyaiva procyate na parokṣataḥ /	tat-idam sva-anuBUtyA-eva procyate na parokzataH /
   svapnadṛṣṭāntasadṛśo nopāyo 'styātmadarśane // ViSs_2,3.32 //	svapna-dRzwAnta-sadRSaH na-upAyaH asti-Atma-darSane // ViSH-_2,3.32 //
   suṣuptau hi yathā svapne svātmanyevekṣate 'khilam /	suzuptO hi yaTA svapne sva-Atmani-eva-Ikzate aKilam /
   ātmānaṃ caikadeśasthaṃ manyate jāgare tathā // ViSs_2,3.33 //	AtmAnam ca-eka-deSa-sTam manyate jAgare taTA // ViSH-_2,3.33 //
   suṣuptirātmanastattvaṃ svarūpāvasthitestadā /	suzuptiH-AtmanaH-tattvam svarUpa-avasTiteH-tadA /
   jāgratsvapnau māyikau tu mṛṣāsārūpyato dhiyā // ViSs_2,3.34 //	jAgrat-svapnO mAyikO tu mRzAsArUpi-ataH DiyA // ViSH-_2,3.34 //
   buddheḥ suṣuptistamasā '; 'varaṇaṃ tadvilakṣaṇā /	budDeH suzuptiH-tamasA a; avaraNam tad-vilakzaNA /
   citeḥ suṣuptirvṛttyākhyadṛśyāvaraṇaśūnyatā // ViSs_2,3.35 //	citeH suzuptiH-vRtti-AKya-dRSya-AvaraNa-SUnyatA // ViSH-_2,3.35 //
   pūrṇaḥ kūṭasthanityaśca svasvadhīmātravṛttidṛk /	pUrNaH kUwasTa-nityaH-ca sva-svaDI-mAtra-vRtti-dRS /
   vṛttyākhyadṛśyavirahāt sarvadā nekṣate pumān // ViSs_2,3.36 //	vRtti-AKya-dRSya-virahAt sarvadA na-Ikzate pumAn // ViSH-_2,3.36 //
   vṛttideśe yathā bodhastathā sarvatra sarvadā /	vRtti-deSe yaTA boDaH-taTA sarvatra sarvadA /
   vṛthaiva tapyate mūḍhairvyayanāśādinā '; 'tmanaḥ // ViSs_2,3.37 //	vRTA-eva tapyate mUXEH-vyaya-nASa-AdinA a; atmanaH // ViSH-_2,3.37 //
   duḥkhabhogamahāroganidānaṃ dehagehinī /	duHKa-Boga-mahA-roga-nidAnam deha-gehinI /
   buddhirna tyajyate mūḍhairmahānidrāsukhaṃ yataḥ // ViSs_2,3.38 //	budDiH-na tyajyate mUXEH-mahAnidrA-suKam yatas // ViSH-_2,3.38 //
   anādibuddhigārhasthyaṃ vivekastyajyate na cet /	anAdi-budDi-gArhasTyam vivekaH-tyajyate na ced /
   na mokṣo bāhyasannyāsādihāmutrāsukhaṃ param // ViSs_2,3.39 //	na mokzaH bAhya-sannyAsAt-iha-amutra-asuKam param // ViSH-_2,3.39 //
   samacinmātrarūpeṣu svaparātmasu sarvadā /	sama-cit-mAtra-rUpezu sva-para-Atmasu sarvadA /
   buddhimātravivekena svaparādibhidā mṛṣā // ViSs_2,3.40 //	budDi-mAtra-vivekena sva-para-Adi-BidAH mRzA // ViSH-_2,3.40 //
   cinmātre nirguṇe svāminyāropyaivātmakartṛtām /	cit-mAtre nirguNe svAmini-Aropya-eva-Atma-kartRtAm /
   svāmyavajñāparādhena vadhyate dhīḥ svakarmabhiḥ // ViSs_2,3.41 //	svAmI-avajQa-aparADena vaDyate DIH sva-karmaBiH // ViSH-_2,3.41 //
   sādhvī tu dhīḥ patiṃ dṛṣṭvā yāthātathyena tatparā /	sADvI tu DIH patim dRzwvA yATAtaTyena tad-parA /
   ihānandamayī cānte patidehe layaṃ vrajet // ViSs_2,3.42 //	iha-Ananda-mayI ca-ante pati-dehe layam vrajet // ViSH-_2,3.42 //
   nāhaṃ kartā sukhī duḥkhī cinmātrākāśarūpakaḥ /	na-aham kartA suKI duHKI cit-mAtra-AkASa-rUpakaH /
   evaṃ nāthaṃ cintayantī na patyurduḥkhabhogadā // ViSs_2,3.43 //	evam nATam cintayantI na patyuH-duHKa-Boga-dAH // ViSH-_2,3.43 //
   iti śrīvijñānabhikṣuviracite sāṅkhyasāre	iti SrI-vijQAna-Bikzu-viracite sAFKya-sAre
   ātmānātmanościdacittvavaidharmyaparicchedaḥ // * //	AtmAnAtmanoH-cit-acittva-vEDarmya-paricCedaH // * //
   atha caturthaḥ paricchedaḥ //	aTa caturTaH paricCedaH //
   ityevamātmanaḥ prokto buddhyādibhyo vilakṣaṇaḥ /	iti-evam-AtmanaH proktaH budDi-AdiByaH vilakzaNaH /
   citprakāśo 'dhunā '; 'nandarūpatā vakṣyate tathā // ViSs_2,4.1 //	cit-prakASaH aDunA a; ananda-rUpa-tA vakzyate taTA // ViSH-_2,4.1 //
   duḥkhaṃ kāmasukhāpekṣā sukhaṃ duḥkhasukhātyayaḥ /	duHKam kAma-suKa-apekzA suKam duHKa-suKa-atyayaH /
   iti smṛteḥ sukhātmatvaṃ nityanirduḥkhatā '; 'tmanaḥ // ViSs_2,4.2 //	iti smRteH suKa-Atma-tvam nitya-nirduHKa-tA a; atmanaH // ViSH-_2,4.2 //
   paribhāṣābalādrūḍhibādhaḥ sarvatra sammataḥ /	pariBAzA-balAt-rUXi-bADaH sarvatra sammataH /
   anyathā paribhāṣeyaṃ mokṣaśāstre bhavedvṛthā // ViSs_2,4.3 //	anyaTA pariBAzeyam mokza-SAstre Bavet-vRTAH // ViSH-_2,4.3 //
   yadvā parokṣavādena paramapriyatāptaye /	yat-vA parokza-vAdena parama-priya-tA-Aptaye /
   rūpikā sukhagīḥ puṃsi vibhutvāptyai svaśabdavat // ViSs_2,4.4 //	rUpikA suKa-gIH puMsi viBu-tva-AptyE sva-Sabda-vat // ViSH-_2,4.4 //
   nānandaṃ na nirānandamityādiśrutibhiḥ sphuṭam /	na-Anandam na nirAnandam-iti-Adi-SrutiBiH sPuwam /
   ātmanyānandarūpatvaniṣedhādyuktisaṃyutāt // ViSs_2,4.5 //	Atmani-Ananda-rUpa-tva-nizeDAt-i-ukti-saMyutAt // ViSH-_2,4.5 //
   upāsādyarthaśūnyatvānneti neti śrutestathā /	upAsA-Adi-arTa-SUnya-tvAt-na-iti na-iti SruteH-taTA /
   niṣedhavākyaṃ balavadvidhivākyāditi sthitiḥ // ViSs_2,4.6 //	nizeDa-vAkyam balavat-viDi-vAkyAt-iti sTitiH // ViSH-_2,4.6 //
   nirnirānandamiti ca svopādhyānandabhoktṛtām /	nirnirAnandam-iti ca sva-upADi-Ananda-BoktR-tAm /
   svāmitvarūpiṇīṃ vakti na nirdhana itīva hi // ViSs_2,4.7 //	svAmi-tva-rUpiNIm vakti na nirDanaH iti-iva hi // ViSH-_2,4.7 //
   preyo 'nyasmācca sarvasmāditi śrutyā sukhādapi /	preyaH anyasmAt-ca sarvasmAt-iti SrutyA suKAt-api /
   ukta ātmā priyastasya sukhatvoktiśca nocitā // ViSs_2,4.8 //	uktaH AtmA priyaH-tasya suKa-tva-uktiH-ca na-ucitAH // ViSH-_2,4.8 //
   ānandādyāḥ pradhānasya iti vedāntasūtrataḥ /	Ananda-AdyAH praDAnasya iti vedAnta-sUtrataH /
   vedānte 'pi na siddhānta ātmanaḥ sukharūpatā // ViSs_2,4.9 //	vedAnte api na sidDAnte AtmanaH suKa-rUpa-tA // ViSH-_2,4.9 //
   vistārādbrahmamīmāṃsābhāṣye 'smābhiḥ parīkṣitam /	vistArAt-brahma-mImAMsA-BAzye asmABiH parIkzitam /
   citerasukharūpatvaṃ premā vyākhyāyate 'dhunā // ViSs_2,4.10 //	citeH-asuKa-rUpa-tvam premA vyAKyAyate aDunA // ViSH-_2,4.10 //
   mā na bhūvamahaṃ śaśvadbhūyāsamiti rūpakaḥ /	mA na BUvam-aham SaSvat-BUyAsam-iti rUpakaH /
   nirnimitto 'nurāgo yaḥ sa premā paramaściti // ViSs_2,4.11 //	nirnimittaH anurAgaH yaH sa premA paramaH-citi // ViSH-_2,4.11 //
   anyāśeṣatayā buddheḥ sneho 'yaṃ na sukheṣvapi /	anya-aSeza-tayA budDeH snehaH ayam na suKezu-api /
   ataḥ priyatamaḥ svātmā nānyo 'to hyadhikaḥ priyaḥ // ViSs_2,4.12 //	atas priyatamaH sva-AtmA na-anyaH atas hi-aDikaH priyaH // ViSH-_2,4.12 //
   ātmatvenātmani premā na sukhatvādyapekṣate /	Atma-tvena-Atmani premAH na suKa-tva-Adi-apekzate /
   ahaṃ syāmiti cedyasmāt sukhaṃ syāmiti neṣyate // ViSs_2,4.13 //	aham syAm-iti ced-yasmAt suKam syAm-iti na-izyate // ViSH-_2,4.13 //
   tathā ca sukhatāduḥkhābhāvate vā '; 'tmatā 'pi ca /	taTA ca suKa-tA-duHKa-aBAvate vA a; atma-tA api ca /
   premṇi prayojikā siddhā svataḥpremātmataiva tu // ViSs_2,4.14 //	premNi prayojikA sidDA svatas-prema-Atma-tA-eva tu // ViSH-_2,4.14 //
   tasmādvastuta ātmaiva priyo naipādhikatvataḥ /	tasmAt-vastutas AtmA-eva priyaH na-epa-aDika-tvataH /
   aupādhikītaraprītirasthiratvānna tāttvikī // ViSs_2,4.15 //	OpADikItara-prItiH-asTira-tvAt-na tAttvikI // ViSH-_2,4.15 //
   prītiranyatra cānityāvivekādyaiḥ sukhādiṣu /	prItiH-anyatra ca-anitya-aviveka-AdyEH suKa-Adizu /
   ātmaprītistu nityā 'to nityānandaḥ pumān mataḥ // ViSs_2,4.16 //	Atma-prItiH-tu nityAH atas nitya-AnandaH pumAn mataH // ViSH-_2,4.16 //
   ātmanaḥ priyatāṃ buddhiryadi paśyet samāhitā /	AtmanaH priya-tAm budDiH-yadi paSyet samAhitAH /
   sarvātiśāyinīṃ tarhi sukhābdhau kiṃ na majjati // ViSs_2,4.17 //	sarva-atiSAyinIm tarhi suKa-abDO kim na majjati // ViSH-_2,4.17 //
   priyadarśanato buddheḥ sukhaṃ lokeṣu dṛśyate /	priya-darSanataH budDeH suKam lokezu dRSyate /
   ato 'numeyaṃ paramapriyadṛṣṭyā paraṃ sukham // ViSs_2,4.18 //	atas anumeyam parama-priya-dRzwyA param suKam // ViSH-_2,4.18 //
   ātmārthatvena sarvatra prītirātmā svataḥ priyaḥ /	Atma-arTa-tvena sarvatra prItiH-AtmA svatas priyaH /
   iti śaśvacchrutiḥ prāha ātmadṛṣṭividhitsayā // ViSs_2,4.19 //	iti SaSvat-SrutiH prAha Atma-dRzwi-viDitsayAH // ViSH-_2,4.19 //
   tato 'pyanupamaṃ jñeyaṃ priyātmekṣaṇataḥ sukham /	tatas api-anupamam jQeyam priya-Atma-IkzaNataH suKam /
   bhuñjate tat sukhaṃ dhīrā jīvanmuktā mahādhiyaḥ // ViSs_2,4.20 //	BuQjate tat suKam DIrAH jIvanmuktAH mahA-ADiyaH // ViSH-_2,4.20 //
   antarātmasukhaṃ satyamavisaṃvādi yoginam /	antarAtma-suKam satyam-avisaMvAdi yoginam /
   apaśyan kṛpaṇo bāhyasukhārthī vañcito janaḥ // ViSs_2,4.21 //	apaSyan kRpaNaH bAhya-suKa-arTI vaQcitaH janaH // ViSH-_2,4.21 //
   sukhāśayā bahiḥ paśyan dehī hīndriyarandhrakaiḥ /	suKa-ASayAH bahis paSyan dehI hi-indriya-ranDrakEH /
   vātāyanairgṛhītvā 'ntaḥ sukhaṃ vetti na bāhyadṛk // ViSs_2,4.22 //	vAtAyanEH-gRhItvA antar suKam vetti na bAhya-dRS // ViSH-_2,4.22 //
   dukhalabhyān duḥkhamayān pariṇāme 'tiduḥkhadān /	duKa-laByAn duHKa-mayAn pariNAme ati-duHKa-dAn /
   viṣayotthān sukhābhāsān dhik svātmasukharodhakān // ViSs_2,4.23 //	vizaya-utTAn suKa-ABAsAn Dik sva-Atma-suKa-roDakAn // ViSH-_2,4.23 //
   iti śrīvijñānabhikṣuviracite sāṅkhyasāre ātmānātmanoḥ	iti SrI-vijQAna-Bikzu-viracite sAFKya-sAre AtmAnAtmanoH
   priyāpriyatvavaidharmyaparicchedaḥ // * //	priya-apriya-tva-vEDarmya-paricCedaH // * //
   atha pañcamaḥ paricchedaḥ /	aTa paQcamaH paricCedaH /
   paricchedatrayeṇoktaṃ saccidānandarūpakam /	paricCeda-trayeNa-uktam saccidAnanda-rUpakam /
   gīyamānaṃ śrutismṛtyorātmano lakṣaṇatrayam // ViSs_2,5.1 //	gIyamAnam Sruti-smRtyoH-AtmanaH lakzaNa-trayam // ViSH-_2,5.1 //
   tadvaiparītyamanyeṣāṃ lakṣaṇaṃ ceritaṃ sphuṭam /	tad-vEparIti-am-anyezAm lakzaNam ca-Iritam sPuwam /
   ābhyāṃ tu guṇadoṣābhyāṃ viveko doṣahṛt paraḥ // ViSs_2,5.2 //	AByAm tu guNa-dozAByAm vivekaH doza-hRt paraH // ViSH-_2,5.2 //
   nairguṇyasaguṇatvādivaidharmyāṇyaparāṇyapi /	nErguNya-sa-guNa-tva-Adi-vEDarmyANi-aparANi-api /
   bahūni vakṣye saṅkṣepāt pumprakṛtyorataḥ param // ViSs_2,5.3 //	bahUni vakzye saFkzepAt pumprakRtyoratas param // ViSH-_2,5.3 //
   dhiyo 'rthākārayā vṛttyā janitatvāt sukhādayaḥ /	DiyaH arTa-AkArayA vRttyA janita-tvAt suKa-AdayaH /
   sāmānādhikaraṇyena kalpyante lāghavād dhiyām // ViSs_2,5.4 //	sAmAnADikaraNyena kalpyante lAGavAt DiyAm // ViSH-_2,5.4 //
   mahadāderjaḍatvena taddhetuśca jaḍo mataḥ /	mahat-AdeH-jaxa-tvena tat-hetuH-ca jaxaH mataH /
   kāryakāraṇasājātyaṃ dṛṣṭaṃ loke hi sarvataḥ // ViSs_2,5.5 //	kArya-kAraNa-sAjAtyam dRzwam loke hi sarvatas // ViSH-_2,5.5 //
   ata ātmā bodhamātratayā sidhyati lāghavāt /	atas AtmA boDa-mAtra-tayA siDyati lAGavAt /
