   namaḥ sarvajñāya //	namaH sarvajQAya //
   Pāy.20 (PrMoSū_Mū-Banerjee) mahāntaṃ bhikṣuṇā vihāraṃ kārayitvā yāvad	PAy.20 (PrMoSU_MU-BaneH-jee) mahAntam BikzuNA vihAram kArayitvA yAvat-
   dvārakośārgalasthānād ālokasaṃjñinā bhūmiparikarmopādāya dvau vā trayo vā	dvArakoSa-argala-sTAnAt Aloka-saMjQinA BUmi-parikarma-upAdAya dvO vA trayaH vA
   chedanaparyāyāḥ saharitāḥ adhiṣṭhātavyāḥ tata uttari adhitiṣṭhet pāyantikā	Cedana-paryAyAH sa-haritAH aDizWAtavyAH tatas uttari aDitizWet pAyantikA
   Pāy.21 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur asaṃmataḥ saṃghena bhikṣuṇīr	PAy.21 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH asaMmataH saMGena BikzuNIH-
   avavadet tadrūpadharmasamanvāgamāt pāyantikā /	avavadet tad-rUpa-Darma-samanvAgamAt pAyantikA /
   Pāy.22 (PrMoSū_Mū-Banerjee) saṃmataś cāpi bhikṣur saṃghena yāvat	PAy.22 (PrMoSU_MU-BaneH-jee) saMmataH ca-api BikzuH saMGena yAvat-
   sūryāstagamanakālasamayāt pāyantikā /	sUrya-asta-gamana-kAla-samayAt pAyantikA /
   Pāy.23 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur bhikṣum evaṃ vaded	PAy.23 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH Bikzum evam vadet-
   āmiṣakiṃcithetor bhikṣavo bhikṣuṇīr avadantīti pāyantikā /	Amiza-kiMciTetoH BikzavaH BikzuNIH avadanti-iti pAyantikA /
   Pāy.24 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur ajñātikāyai bhikṣuṇyai	PAy.24 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH ajQAtikAyE BikzuNyE
   cīvaraṃ dadyād anyatra parivartakāt pāyantikā /	cIvaram dadyAt anyatra parivartakAt pAyantikA /
   Pāy.25 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur ajñātikāyā bhikṣuṇyāś	PAy.25 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH ajQAtikAyAH BikzuNyAS
   cīvaraṃ kuryāt pāyantikā /	cIvaram kuryAt pAyantikA /
   Pāy.26 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur bhikṣuṇīsārtheṇa sārdham	PAy.26 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH BikzuNI-sArTeNa sArDam
   adhvānamārgaṃ pratipadyeta ato grāmāntaram api pāyantikā / tatrāyaṃ	aDvAna-mArgam pratipadyeta atas grAma-antaram api pAyantikA / tatra-ayam
   samayaḥ sārthagamanīyo mārgo bhavati sāśaṅkasaṃmataḥ sabhayasaṃmataḥ	samayaH sArTa-gamanIyaH mArgaH Bavati sa-ASaFka-saMmataH sa-Baya-saMmataH
   sapratibhayabhairavasaṃmato 'yaṃ tatra samayaḥ /	sa-pratiBaya-BErava-saMmataH ayam tatra samayaH /
   Pāy.27 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur bhikṣuṇīsārtheṇa sārdhaṃ	PAy.27 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH BikzuNI-sArTeNa sArDam
   saṃvidhāya ekanāvam abhirohed ūrdhvagāminīṃ vā adhogāminīṃ vānyatra	saMviDAya eka-nAvam aBirohet UrDva-gAminIm vE aDas-gAminIm vA-anyatra
   tīryakpārasantaraṇāt pātayantikā /	tIryakpAra-santaraNAt pAtayantikA /
   Pāy.28 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur mātṛgrāmena sārdham eka	PAy.28 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH mAtR-grAmena sArDam eka
   ekayā rahasi praticchanne āsane niṣadyāṃ kalpayet pāyantikā /	ekayA rahasi praticCanne Asane nizadyAm kalpayet pAyantikA /
   Pāy.29 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur bhikṣuṇyā sārdham eka	PAy.29 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH BikzuNyA sArDam eka
   ekikayā rahasi praticchanne tiṣṭhet pāyantikā /	ekikayA rahasi praticCanne tizWet pAyantikA /
   Pāy.30 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur jānan bhikṣuṇīparipācitaṃ	PAy.30 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH jAnan BikzuNI-paripAcitam
   piṇḍapātaṃ paribhuṃjītānyatra pūrvaṃ gṛhisamāraṃbhāt pāyantikā /	piNxa-pAtam pariBuMjIta-anyatra pUrvam gRhi-samAraMBAt pAyantikA /
   Pāy.31 (PrMoSū_Mū-Banerjee) paraṃparabhojanād anyatra samayāt pāyantikā /	PAy.31 (PrMoSU_MU-BaneH-jee) paraMpara-BojanAt anyatra samayAt pAyantikA /
   tatrāyaṃ samayo glānasamayaḥ karmasamayaḥ adhvānamārgasamayaḥ	tatra-ayam samayaH glAna-samayaH karma-samayaH aDvAna-mArga-samayaH
   cīvaradānakālasamayaḥ /	cIvara-dAna-kAla-samayaH /
   Pāy.32 (PrMoSū_Mū-Banerjee) ekāvasathoṣitena bhikṣuṇā	PAy.32 (PrMoSU_MU--BaneH-jee) eka-AvasaTa-uzitena BikzuNA
   aglānenaikapiṇḍapātaḥ paribhoktavyas tataḥ uttari paribhuṃjīta pāyantikā /	aglAn-ena-eka-piNxapAtaH pariBoktavyaH tatas uttari pariBuMjIta pAyantikA /
   Pāy.33 (PrMoSū_Mū-Banerjee) bhikṣavaḥ khalu saṃbahulāḥ kulāni saṃkrāmeyus	PAy.33 (PrMoSU_MU-BaneH-jee) BikzavaH Kalu saMbahulAH kulAni saMkrAmeyuH-
   tāṃś cec chrāddhā brāhmaṇagṛhapatayas tv arthaṃ pravārayeyur maṇḍaiś	tAn ced SrAdDAH brAhmaNa-gRhapatayaH tu arTam pravArayeyuH maNxEH-
   cāpūpaiś cākāṃkṣibhis tair bhikṣubhir dvau trayo vā pātrapūrāḥ	ca-apUpEH ca-akAMkziBiH tEH BikzuBiH dvO trayaH vA pAtra-pUrAH
   pratigrahītavyāḥ tata uttari pratigṛhṇīyuḥ pāyantikā / dvau trīn vā	pratigrahItavyAH tatas uttari pratigRhNIyuH pAyantikA / dvO trIn vA
   pātrapūrān pratigṛhya tair bhikṣubhir bahirārāmaṃ gatvā santo bhikṣavaḥ	pAtra-pUrAn pratigRhya tEH BikzuBiH bahis-ArAmam gatvA santaH BikzavaH
   saṃvibhaktavyā ātmanā ca paribhoktavyam ayaṃ tatra samayaḥ /	saMviBaktavyA AtmanA ca pariBoktavyam ayam tatra samayaH /
   Pāy.34 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur bhuktavān pravāritaḥ	PAy.34 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH BuktavAn pravAritaH
   akṛtātiriktaṃ khādanīyabhojanīyaṃ khāded bhuñjīta vā pāyantikā /	akRta-atiriktam KAdanIya-BojanIyam KAdet BuQjIta vA pAyantikA /
   Pāy.35 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur jānan bhikṣuṃ bhuktavantaṃ	PAy.35 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH jAnan Bikzum Buktavantam
   akṛtātirikte khādanīyabhojanīyenetyarthaṃ pravārayed idam āyuṣman khāda	akRta-atirikte KAdanIya-BojanIyena-iti-arTam pravArayet idam Ayuzman KAda
   idaṃ bhuṃkṣva ity āsvādanaprekṣī kaścid eṣa bhikṣur āsvādito bhaviṣyati	idam BuMkzvaH iti AsvAdana-prekzI kaScid eza BikzuH AsvAditaH Bavizyati
   ity etad eva pratyayaṃ kṛtvā pāyantikā /	iti etat eva pratyayam kRtvA pAyantikA /
   Pāy.36 (PrMoSū_Mū-Banerjee) gaṇabhojanād anyatra samayāt pāyantikā /	PAy.36 (PrMoSU_MU-BaneH-jee) gaNa-BojanAt anyatra samayAt pAyantikA /
   tatrāyaṃ samayaḥ glānasamayaḥ karmasamayo 'dhvānamārgasamayo	tatra-ayam samayaH glAna-samayaH karma-samayaH aDvAna-mArga-samayaH-
   nāvādhirohaṇaṃ mahāsamājaḥ śramaṇabhaktasamayo 'yaṃ tatra samayaḥ /	nAvA-aDirohaNam mahA-samAjaH SramaNa-Bakta-samayaH ayam tatra samayaH /
   Pāy.37 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur akāle khādanīyabhojanīyaṃ	PAy.37 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH akAle KAdanIya-BojanIyam
   khāded bhuñjīta vā pāyantikā /	KAdet BuQjIta vA pAyantikA /
   Pāy.38 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ saṃnihitaṃ	PAy.38 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH saMnihitam
   khādanīyabhojanīyaṃ khāded bhuñjīta vā pāyantikā /	KAdanIya-BojanIyam KAdet BuQjIta vA pAyantikA /
   Pāy.39 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur adattaṃ mukhadvārāhāram	PAy.39 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH adattam muKa-dvAra-AhAram
   āhared anyatrodakadantakāṣṭhāt pāyantikā /	Aharet anyatra-udaka-danta-kAzWAt pAyantikA /
   Pāy.40 (PrMoSū_Mū-Banerjee) yāni tāni bhagavatā bhikṣūṇāṃ praṇītabhojanāny	PAy.40 (PrMoSU_MU-BaneH-jee) yAni tAni BagavatA BikzUNAm praNIta-BojanAni-
   akhyātāni tadyathā kṣīraṃ dadhi navanītaṃ matsyo māṃsaṃ vallūrī yaḥ punar	aKyAtAni tat-yaTA kzIram daDi navanItam matsyaH mAMsam vallUrI yaH punar-
   bhikṣuḥ evaṃrūpāṇi praṇītabhojanāni ātmārtham aglānaḥ parakulebhyo	BikzuH evaMrUpANi praNIta-BojanAni Atma-arTam aglAnaH para-kuleByaH-
   vijñāpya khāded bhuñjītā vā pāyantikā /	vijQApya KAdet BuQjItA vA pAyantikA /
   Pāy.41 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur jānan saprāṇakam udakaṃ	PAy.41 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH jAnan sa-prANakam udakam
   paribhuñjīta pāyantikā /	pariBuQjIta pAyantikA /
   Pāy.42 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur jānan sabhojane kule	PAy.42 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH jAnan sa-Bojane kule
   anupraskandyāsane niṣadyāṃ kalpayet pāyantikā /	anupraskandi-a-Asane nizadyAm kalpayet pAyantikA /
   Pāy.43 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur jānan sabhojane kule	PAy.43 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH jAnan sa-Bojane kule
   praticchanne tiṣṭhet pāyantikā /	praticCanne tizWet pAyantikA /
   Pāy.44 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur acelakāya vā acelikāyai vā	PAy.44 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH acelakAya vA acelikAyE vA
   parivrājakāya vā svahastaṃ khādanīyabhojanīyaṃ dadyāt pāyantikā /	parivrAjakAya vA sva-hastam KAdanIya-BojanIyam dadyAt pAyantikA /
   Pāy.45 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur udyuktāṃ senāṃ	PAy.45 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH udyuktAm senAm
   darśanāyopasaṃkrāmet pāyantikā /	darSanAya-upasaMkrAmet pAyantikA /
   Pāy.46 (PrMoSū_Mū-Banerjee) syād bhikṣos tadrūpaḥ pratyayaḥ udyuktāṃ senāṃ	PAy.46 (PrMoSU_MU-BaneH-jee) syAt BikzoH tad-rUpaH pratyayaH udyuktAm senAm
   darśanāya upasaṃkramituṃ dvirātraparamaṃ tena bhikṣuṇā tasyāṃ senāyāṃ	darSanAya upasaMkramitum dvi-rAtra-paramam tena BikzuNA tasyAm senAyAm
   vipravastavyaṃ tata uttari vipravaset pāyantikā /	vipra-vastavyam tatas uttari vipravaset pAyantikA /
   Pāy.47 (PrMoSū_Mū-Banerjee) dvirātraparamam api ced bhikṣus tasyāṃ senāyāṃ	PAy.47 (PrMoSU_MU-BaneH-jee) dvi-rAtra-paramam api ced BikzuH tasyAm senAyAm
   vipravasāṃ udyūṣikāṃ vā gacched dhvajāgraṃ vā balāgraṃ vā senāvyūham	vipravasAm udyUzikAm vA gacCet Dvaja-agram vA bala-agram vA senA-vyUham
   anīkadarśanaṃ vā pratyanubhavet pāyantikā /	anIka-darSanam vA pratyanuBavet pAyantikA /
   Pāy.48 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ kupitaś caṇḍībhūto	PAy.48 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH kupitaH caNxIBUtaH-
   'nāttamanā bhikṣoḥ prahāraṃ dadyāt pāyantikā /	anAtta-manAH BikzoH prahAram dadyAt pAyantikA /
   Pāy.49 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur abhiṣaktaḥ kupitaś	PAy.49 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH aBizaktaH kupitaS
   caṇḍībhūto 'nāttamanā bhikṣoḥ prahāram upadarśayet* antatas talaśaktikam	caNxIBUtaH anAtta-manAH BikzoH prahAram upadarSayet* antatas tala-Saktikam
   api pāyantikā /	api pAyantikA /
   Pāy.50 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur jānan bhikṣoḥ duṣṭhulām	PAy.50 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH jAnan BikzoH duzWulAm
   āpattiṃ praticchādayet pāyantikā /	Apattim praticCAdayet pAyantikA /
   Pāy.51 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur bhikṣum evaṃ vaded ehy	PAy.51 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH Bikzum evam vadet ehi-
   āyuṣman kulāny upasaṃkramāvas tatra te dāpayiṣyāmi khādanīyabhojanīyaṃ	Ayuzman kulAni upasaMkramAvaH tatra te dApayizyAmi KAdanIya-BojanIyam
   yāvadāptaṃ / sa tasya dāpayitvā praṇītaṃ khādanīyabhojanīyaṃ yāvadāptaṃ	yAvat-Aptam / sa tasya dApayitvA praNItam KAdanIya-BojanIyam yAvat-Aptam
   tataḥ paścād evaṃ vaded gaccha tvam āyuṣman na mama tvayā sārdhaṃ sparśo	tatas paScAt evam vadet gacCa tvam Ayuzmat na mama tvayA sArDam sparSaH-
   'pi tu ekākina eva me sparśo bhavati kathāyāṃ vā niṣadyāyāṃ vā ity	api tu ekAkinaH eva me sparSaH Bavati kaTAyAm vA nizadyAyAm vA iti-
   udyojanaprekṣī kaścid eṣa bhikṣur udyojito bhaviṣyatīty etad eva pratyayaṃ	udyojana-prekzI kaScid eza BikzuH udyojitaH Bavizyati-iti etat eva pratyayam
   kṛtvā pāyantikā /	kRtvA pAyantikA /
   Pāy.52 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur ātmārtham aglāno	PAy.52 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH Atma-arTam aglAnaH-
   vitapanaprekṣī jyotiḥ samavadhavyāt samavadhāpayed vā pāyantikā /	vitapana-prekzI jyotiH samavaDavyAt samavaDApayet vA pAyantikA /
   Pāy.53 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur dhārmikasaṃghakaraṇīye	PAy.53 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH DArmika-saMGa-karaNIye
   bhikṣoś chandaṃ datvā paścād abhiṣaktaḥ kupitaś caṇḍībhūto nāttamanā	BikzoH Candam datvA paScAt aBizaktaH kupitaH caNxIBUtaH na-Atta-manA
   kṣepadharmam āpadyeta / āhara bhikṣoś chandaṃ na te dadāmīti pāyantikā /	kzepa-Darmam Apadyeta / Ahara BikzoH Candam na te dadAmi-iti pAyantikA /
   Pāy.54 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur anupasaṃpannena pudgalena	PAy.54 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH anupasaMpannena pudgalena
   sārdhaṃ dvirātrād ūrdhvaṃ sahāgāraśayyāṃ kalpayet pāyantikā /	sArDam dvi-rAtrAt UrDvam saha-AgAra-SayyAm kalpayet pAyantikA /
   Pāy.55 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur evaṃ vadet tathāhaṃ	PAy.55 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH evam vadet taTA-aham
   bhagavato dharmaṃ deśitam ājānāmi yathā ye antarāyikā dharmā uktā	BagavataH Darmam deSitam AjAnAmi yaTA ye antarAyikA DarmAH uktA
   bhagavatā te pratisevyamānā nālam antarāyāyeti / so bhikṣur bhikṣubhir	BagavatA te pratisevyamAnA na-alam antarAyAya-iti / saH BikzuH BikzuBiH-
   idaṃ syād vacanīyo mā tvam āyuṣmann evaṃ vocas tathāhaṃ bhagavato dharmaṃ	idam syAt vacanIyaH mA tvam Ayuzman evam vocaH taTA-aham BagavataH Darmam
   deśitam ājānāmi yathā ye antarāyikā dharmā uktā bhagavatā te ca	deSitam AjAnAmi yaTA ye antarAyikA DarmAH uktA BagavatA te ca
   pratisevyamānā nālam antarāyāya iti / mā bhagavantam abhyācakṣuḥ na sādhu	pratisevyamAnAH na-alam antarAyAya iti / mA Bagavantam aByAcakzuH na sADu
   bhavati bhagavato 'bhyākhyānaṃ na ca punar bhagavān evam āha	Bavati BagavataH aByAKyAnam na ca punar BagavAn evam Aha
   anekaparyāyeṇa āyuṣmann antarāyikā dharmāḥ santaḥ antarāyikā evoktā	aneka-paryAyeNa Ayuzman antarAyikAH DarmAH santaH antarAyikA eva-uktA
   bhagavatā te ca pratisevyamānā alam antarāyāyeti niḥsṛja tvam āyuṣmann	BagavatA te ca pratisevyamAnA alam antarAyAya-iti niHsRja tvam Ayuzmat-=-
   evaṃrūpaṃ pāpakaṃ dṛṣṭigataṃ / so bhikṣur bhikṣubhir ucyamānas tad vastu	evaMrUpam pApakam dRzwi-gatam / saH BikzuH BikzuBiH ucyamAnaH tat vastu
   pratiniḥsṛjed ity evaṃ kuśalaṃ no cet pratiniḥsṛjed dvir api trir api	pratiniHsRjet iti evam kuSalam no ced pratiniHsRjet dvis api tris api
   samanuyoktavyaḥ samanuśāsitavyas tasya pratiniḥsargāya dvir api trir api	samanuyoktavyaH samanuSAsitavyaH tasya pratiniHsargAya dvis api tris api
   samanuyujyamānaḥ samanuśiṣyamānas tad vastu pratiniḥsṛjed ity evaṃ kuśalaṃ	samanuyujyamAnaH samanuSizyamAnaH tat vastu pratiniHsRjet iti evam kuSalam
   no cet pratiniḥsṛjet pāyantikā /	no ced pratiniHsRjet pAyantikA /
   Pāy.56 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur jānaṃs tathāvādinaṃ pudgalam	PAy.56 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH jAnan taTAvAdinam pudgalam
   akṛtānudharmāṇam apratiniḥsṛṣṭe tasmin pāpake dṛṣṭigate ālāpayet saṃlapet	akRta-anuDarmANam apratiniHsRzwe tasmin pApake dRzwi-gate AlApayet saMlapet-
   tena sārdhaṃ saṃvaset saṃbhuṃjīta sahāgāraśayyām api kalpayet pāyantikā /	tena sArDam saMvaset saMBuMjIta saha-AgAra-SayyAm api kalpayet pAyantikA /
   Pāy.57 (PrMoSū_Mū-Banerjee) śramaṇoddeśaś cāpy evaṃ vadet tathāhaṃ	PAy.57 (PrMoSU_MU-BaneH-jee) SramaNa-uddeSaH ca-api evam vadet taTA-aham
   bhagavato dharmaṃ deśitam ājānāmi yathā ye antarāyikā dharmā uktā	BagavataH Darmam deSitam AjAnAmi yaTA ye antarAyikA DarmAH uktA
   bhagavatā te ca pratisevyamānā nālam antarāyāyeti / sa śramaṇoddeśo	BagavatA te ca pratisevyamAnA na-alam antarAyAya-iti / sa SramaNa-uddeSaH-
   bhikṣubhir idaṃ syād vacanīyo mā tvam āyuṣman śramaṇoddeśa evaṃ vocaḥ	BikzuBiH idam syAt vacanIyaH mA tvam Ayuzman SramaNa-uddeSaH evam vocaH
   tathāhaṃ bhagavato dharmaṃ deśitam ājānāmi yathā ye antarāyikā dharmā uktā	taTA-aham BagavataH Darmam deSitam AjAnAmi yaTA ye antarAyikA DarmAH uktA
   bhagavatā te ca pratisevyamānā nālam antarāyāyeti / mā bhagavantam	BagavatA te ca pratisevyamAnA na-alam antarAyAya-iti / mA Bagavantam
   abhyācakṣuḥ na sādhu bhavati bhagavato 'bhyākhyānaṃ na ca punar bhagavān	aByAcakzuH na sADu Bavati BagavataH aByAKyAnam na ca punar BagavAn
   evāha anekaparyāyeṇa śramaṇoddeśa antarāyikā dhamāḥ santaḥ antarāyikā	eva-Aha aneka-paryAyeNa SramaNa-uddeSa antarAyikAH DamAH santaH antarAyikA
   evoktā bhagavatā te ca pratisevyamānā alam antarāyāyeti / niḥsṛja tvam*	eva-uktA BagavatA te ca pratisevyamAnA alam antarAyAya-iti / niHsRja tvam*
   śramaṇoddeśa evaṃrūpaṃ dṛṣṭigatam* / sa śramaṇoddeśo bhikṣubhir ucyamānas	SramaNa-uddeSaH evaMrUpam dRzwi-gatam* / sa SramaNa-uddeSaH BikzuBiH ucyamAnas
   tad vastu cet pratiniḥsṛjed ity evaṃ kuśalaṃ no cet pratiniḥsṛjed dvir api	tat vastu ced pratiniHsRjet iti evam kuSalam no ced pratiniHsRjet dvis api
   trir api samanuyoktavyaḥ samanuśāsitavyas tasya vastunaḥ pratiniḥsargāya	tris api samanuyoktavyaH samanuSAsitavyaH tasya vastunaH pratiniHsargAya
   dvir api trir api samanuyujyamānaḥ samanuśiṣyamānas tad vastu	dvis api tris api samanuyujyamAnaH samanuSizyamAnaH tat vastu
   pratiniḥsṛjed ity evaṃ kuśalaṃ no cet pratiniḥsṛjet sa śramaṇoddeśo	pratiniHsRjet iti evam kuSalam no ced pratiniHsRjet sa SramaNa-uddeSaH-
   bhikṣubhir idaṃ syād vacanīyo 'dyāgreṇāyuṣman śramaṇoddeśa nāsau bhagavāṃs	BikzuBiH idam syAt vacanIyaH adya-agreNa-Ayuzman SramaNa-uddeSa na-asO BagavAn=-
   tathāgataḥ arhan samyaksaṃbuddhaḥ śāstā / evaṃrūpasyānyatamānyatmasya	taTAgataH arhan samyaksaMbudDaH SAstA / evaMrUpasya-anyatama-anyatmasya
   brahmacāriṇaḥ pṛṣṭataḥ mā samanubadhāna yāvad apy anye śramaṇoddeśāḥ	brahmacAriNaH pRzwataH mA samanubaDAna yAvat api anye SramaNa-uddeSAH
   labhante bhikṣubhiḥ sārdhaṃ dvirātraparamaṃ sahāgāraśayyāṃ sāpi te	laBante BikzuBiH sArDam dvi-rAtra-paramam saha-AgAra-SayyAm sA-api te
   adyāgreṇa nāsti cara careṇa mohapuruṣa naśyati / yaḥ punar bhikṣur jānan	adya-agreNa na-asti cara careNa moha-puruza naSyati / yaH punar BikzuH jAnan
   tathānāśitaṃ śramaṇoddeśam upasthāpayed vā upalālayed vā tena vā sārdhaṃ	taTA-anASitam SramaNa-uddeSam upasTApayet vA upalAlayet vA tena vA sArDam
   sahāgāraśayyāṃ kalpayet pāyantikā /	saha-AgAra-SayyAm kalpayet pAyantikA /
   Pāy.58 (PrMoSū_Mū-Banerjee) navaṃ khalu bhikṣuṇā cīvaraṃ pratilabhya	PAy.58 (PrMoSU_MU-BaneH-jee) navam Kalu BikzuNA cIvaram pratilaBya
   trayāṇāṃ durvarṇīkaraṇānām anyatamānyatamaḥ nīlo vā lohito vā pīto vā	trayANAm durvarNIkaraNAnAm anyatama-anyatamaH nIlaH vA lohitaH vA pItaH vA
   durvarṇīkaraṇāya ādātavyo 'nādāya ced bhikṣus trayāṇāṃ durvarṇīkaraṇānām	durvarNIkaraNAya AdAtavyaH anAdAya ced BikzuH trayANAm durvarNIkaraNAnAm
   anyatamānyatamaṃ durvaṇīkaraṇaṃ nīlaṃ vā lohitaṃ vā pītaṃ vā navaṃ cīvaraṃ	anyatama-anyatamam durvaNIkaraNam nIlam vA lohitam vA pItam vA navam cIvaram
   paribhuṃjīta pāyantikā /	pariBuMjIta pAyantikA /
   Pāy.59 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣu ratnaṃ vā ratnasaṃmataṃ vā	PAy.59 (PrMoSU_MU-BaneH-jee) yaH punar Bikzu ratnam vA ratna-saMmatam vA
   svahastena udgṛhṇīyād udgrāhayed vānyatrādhyārāmagatād vādhyāvāsagatād vā	sva-hastena udgRhNIyAt udgrAhayet vA-anyatra-aDyArAma-gatAt vA-aDyAvAsa-gatAt vA
   pāyantikā / bhikṣuṇādhyārāmagataṃ vādhyāvāsagataṃ vā ratnaṃ ratnasaṃmataṃ	pAyantikA / BikzuNA-aDyArAma-gatam vA-aDyAvAsa-gatam vA ratnam ratna-saMmatam
   vā udgrahītavyaṃ yasyedaṃ bhaviṣyati so hariṣyati ity evaṃ manasikṛtvā /	vE udgrahItavyam yasya-idam Bavizyati saH harizyati iti evam manasikRtvA /
   ayaṃ tatra samayaḥ /	ayam tatra samayaH /
   Pāy.60 (PrMoSū_Mū-Banerjee) bhagavatā deśitam anvardhamāsaṃ snāyād anyatra	PAy.60 (PrMoSU_MU-BaneH-jee) BagavatA deSitam anvarDa-mAsam snAyAt anyatra
   samayāt tadatikramāt pāyantikā / ayaṃ tatra samayaḥ -- adhyardho māsaḥ	samayAt tad-atikramAt pAyantikA / ayam tatra samayaH - aDyarDaH mAsaH
   śeṣo grīṣmāṇāṃ pūrvo māso varṣāṇāṃ ity ete ardhatṛtīyamāsā uṣṇasamayo	SezaH grIzmANAm pUrvaH mAsaH varzANAm iti ete arDa-tRtIya-mAsAH uzNa-samayaH-
   'vaśiṣṭaṃ glānasamayaḥ karmasamayo vṛṣṭisamayo vātavṛṣṭisamayo 'yaṃ tatra	avaSizwam glAna-samayaH karma-samayaH vRzwi-samayaH vAta-vRzwi-samayaH ayam tatra
   samayaḥ /	samayaH /
   Pāy.61 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ saṃcintya tīryagyonigataṃ	PAy.61 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH saMcintya tIryagyoni-gatam
   prāṇinaṃ jīvitād vyaparopayet pāyantikā /	prANinam jIvitAt vyaparopayet pAyantikA /
   Pāy.62 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ saṃcintya kaccid asya	PAy.62 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH saMcintya kaccit asya
   bhikṣor muhūrtam api tāvad aphāṣaṃ sparśaṃ bhaved etad eva pratyayaṃ kṛtvā	BikzoH muhUrtam api tAvat aPAzam sparSam Bavet etat eva pratyayam kRtvA
   bhikṣoḥ kaukṛtyam upasaṃharet pātayantikā /	BikzoH kOkRtyam upasaMharet pAtayantikA /
   Pāy.63 (PrMoSū_Mū-Banerjee) aṅgulipratodanāt pāyantikā /	PAy.63 (PrMoSU_MU-BaneH-jee) aFguli-pratodanAt pAyantikA /
   Pāy.64 (PrMoSū_Mū-Banerjee) udakaharṣaṇāt pāyantikā /	PAy.64 (PrMoSU_MU-BaneH-jee) udaka-harzaNAt pAyantikA /
   Pāy.65 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur mātṛgrāmeṇa sārdhaṃ	PAy.65 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH mAtR-grAmeNa sArDam
   sahāgāraśayyāṃ kalpayet pāyantikā /	saha-AgAra-SayyAm kalpayet pAyantikA /
