   akarod dharmato rājyaṃ NsP_52.124e	akarot DarmataH rAjyam NsP_52.124e
   saṃsakaṇṭakatādhuram NsP_42.6b	saMsakaNwaka tADuram NsP_42.6b
   saṃsarantīha satataṃ NsP_15.9a	saMsaranti iha satatam NsP_15.9a
   saṃsāraghoraviṣasaṃharaṇāya mantraḥ NsP_17.30b	saMsAra Gora viza saMharaNAya mantraH NsP_17.30b
   saṃsāratarulakṣaṇam NsP_15.3d	saMsAra taru lakzaNam NsP_15.3d
   saṃsāraduḥkhāt sarveṣāṃ NsP_17.1c	saMsAra duHKAt sarvezAm NsP_17.1c
   saṃsāraduḥkhopahatā narā ye NsP_63.24a	saMsAra duHKa upahatAH narAH ye NsP_63.24a
   saṃsārabandhanān muktim NsP_16.33a	saMsAra banDanAt muktim NsP_16.33a
   saṃsāravṛkṣam āruhya NsP_16.1a	saMsAra vRkzam Aruhya NsP_16.1a
   saṃsāravṛkṣalakṣaṇam NsP_15.8b	saMsAra vRkza lakzaNam NsP_15.8b
   saṃsāravṛkṣasya vināśanaṃ paraṃ NsP_14.16c	saMsAra vRkzasya vinASanam param NsP_14.16c
   saṃsāravṛkṣaṃ ca nihatya bandhanaṃ NsP_13.63c	saMsAra vRkzam ca nihatya banDanam NsP_13.63c
   saṃsāravṛkṣaṃ vakṣyāmi NsP_15.4c	saMsAra vRkzam vakzyAmi NsP_15.4c
   saṃsāravṛkṣaṃ sakalaṃ NsP_15.1c	saMsAra vRkzam sakalam NsP_15.1c
   saṃsārasāgaram apetabhayās taranti NsP_17.36d	saMsAra sAgaram apeta BayAH taranti NsP_17.36d
   saṃsārasumahāpaṅke NsP_16.14c	saMsAra su mahA paFke NsP_16.14c
   saṃsārārṇavamagnānāṃ NsP_11.49c	saMsAra arNava magnAnAm NsP_11.49c
   saṃsāroccāralakṣaṇam NsP_15.2d	saMsAra uccAra lakzaNam NsP_15.2d
   saṃsoḍhuṃ nṛpa śakyate NsP_40.26b	saMsoXum nRpa Sakyate NsP_40.26b
   saṃskāraṃ munisaṃskṛtam NsP_47.41d	saMskAram muni saMskRtam NsP_47.41d
   saṃskāraṃ lambhayām_asa NsP_48.127a	saMskAram lamBayAm_asa NsP_48.127a
   saṃskāreṇa ca sa dvijaḥ NsP_64.102d	saMskAreNa ca sa dvijaH NsP_64.102d
   saṃskṛtāṃ paricakṣate NsP_12.32d	saMskRtAm paricakzate NsP_12.32d
   saṃstuto madhusūdanaḥ NsP_37.21d	saMstutaH maDusUdanaH NsP_37.21d
   saṃstuto madhusūdanaḥ NsP_40.53cdb	saMstutaH maDusUdanaH NsP_40.53cdb
   saṃstuto 'haṃ bhavena ca NsP_40.57d	saMstutaH aham Bavena ca NsP_40.57d
   saṃsthāpya dharmaṃ divam āruroha NsP_54.5d	saMsTApya Darmam divam Aruroha NsP_54.5d
   saṃsthāpya parvatān sarvān NsP_39.17c	saMsTApya parvatAn sarvAn NsP_39.17c
   saṃsthāpya bhaktyā vidhivac ca pūjayet NsP_32.21c	saMsTApya BaktyA viDivat ca pUjayet NsP_32.21c
   saṃsthāpya lakṣmaṇaṃ tatra NsP_49.55c	saMsTApya lakzmaNam tatra NsP_49.55c
   saṃsthāpya viṣṇusūktena NsP_56.35a	saMsTApya vizNusUktena NsP_56.35a
   saṃsthāpya viṣṇuṃ vidhinā hy anena NsP_56.50b	saMsTApya vizNum viDinA hi anena NsP_56.50b
   saṃsthāpya sthitavān vīro NsP_47.108a	saMsTApya sTitavAn vIraH NsP_47.108a
   saṃsthāpyārādhayām_asa NsP_25.64a	saMsTA apya ArADayAm_asa NsP_25.64a
   saṃsmaran praviśej jalam NsP_58.69d	saMsmaran praviSet jalam NsP_58.69d
   saṃsmared udaraṃ spṛśan NsP_58.105b	saMsmaret udaram spRSan NsP_58.105b
   saṃhṛtā yāti duṣṭena NsP_33.43c	saMhRtA yAti duzwena NsP_33.43c
   saṃhṛtya śete harir ādidevaḥ NsP_2.28d	saMhRtya Sete hariH AdidevaH NsP_2.28d
   saṃhriyante ca pūrvavat NsP_2.17d	saMhriyante ca pUrvavat NsP_2.17d
   sākaṃ tayā mandarakandarāsu NsP_63.38b	sAkam tayA mandara kandarAsu NsP_63.38b
   sākāraṃ vyāharan muhuḥ NsP_64.65d	sa AkAram vyAharan muhur NsP_64.65d
   sā kṛṣṇavadanābhavat NsP_63.87d	sA kRzNa vadanAH Bavat NsP_63.87d
   sākṣādādityasaṃnibhaḥ NsP_64.37d	sAkzAt Aditya saMniBaH NsP_64.37d
   sākṣād ivābjanayanaṃ dadṛśe hṛdīśam NsP_31.73b	sAkzAt iva abja nayanam dadRSe hRdISam NsP_31.73b
   sākṣād dharmaparāyaṇaḥ NsP_50.101d	sAkzAt Darma parAyaNaH NsP_50.101d
   sākṣād brahmasuto yathā NsP_64.12d	sAkzAt brahma sutaH yaTA NsP_64.12d
   sākṣād viṣṇus tu te gṛhe NsP_47.143d	sAkzAt vizNuH tu te gRhe NsP_47.143d
   sā gatvā kharadūṣaṇau NsP_49.50b	sA gatvA Kara dUzaNO NsP_49.50b
   sāgarasya taṭe ramye NsP_52.2a	sAgarasya tawe ramye NsP_52.2a
   sāgaraṃ pavanātmajaḥ NsP_51.10d	sAgaram pavanAtmajaH NsP_51.10d
   sāgaraṃ vīkṣya te sarve NsP_50.158a	sAgaram vIkzya te sarve NsP_50.158a
   sāgaraṃ saritaś caiva NsP_51.3a	sAgaram saritaH ca eva NsP_51.3a
   sāgareṇa pracoditah NsP_51.7d	sAgareNa pracoditah NsP_51.7d
   sāgaro goṣpadāyate NsP_51.40b	sAgaraH gozpadAyate NsP_51.40b
   sāgarottaraṇe kiṃtu NsP_50.161c	sAgara uttaraNe kiMtu NsP_50.161c
   sāgaro 'bhyetya mūrtimān NsP_52.15b	sAgaraH aByetya mUrtimAn NsP_52.15b
   sā gṛhītvā tu tatpatraṃ NsP_49.45a	sA gRhItvA tu tad patram NsP_49.45a
   sā ca kena hṛtā loke NsP_63.66a	sA ca kena hRtA loke NsP_63.66a
   sā ca tān āgatān dṛṣṭvā NsP_50.140a	sA ca tAn AgatAn dRzwvA NsP_50.140a
   sā jihvā yā hariṃ stauti NsP_11.52a	sA jihvA yA harim stOti NsP_11.52a
   sātapyat paramaṃ tapaḥ NsP_45.4b	sAtapyat paramam tapaH NsP_45.4b
   sāttvikaḥ samavartata NsP_3.20b	sAttvikaH samavartata NsP_3.20b
   sāttviko ya udāhṛtaḥ NsP_3.26d	sAttvikaH yaH udAhRtaH NsP_3.26d
   sāttviko rājasaś caiva NsP_1.41c	sAttvikaH rAjasaH ca eva NsP_1.41c
   sā tvaṃ samāgaccha bhajasva māṃ cirān NsP_63.36a	sA tvam samAgacCa Bajasva mAm cirAt NsP_63.36a
   sādhayitvā pratijñāṃ tāṃ NsP_52.21a	sADayitvA pratijQAm tAm NsP_52.21a
   sādhikā hy ekasaptatiḥ NsP_2.18b	sa aDikA hi ekasaptatiH NsP_2.18b
   sādhubhiḥ preritaḥ punaḥ NsP_13.16d	sADuBiH preritaH punar NsP_13.16d
   sādhu śādhi sutaṃ mama NsP_41.63d	sADu SADi sutam mama NsP_41.63d
   sādhu sādhv ity athābruvan NsP_40.31b	sADu sADu iti aTa abruvan NsP_40.31b
   sādhu sādhv ity athābruvan NsP_64.118b	sADu sADu iti aTa abruvan NsP_64.118b
   sādhyāś ca bahavaḥ proktās NsP_5.48a	sADyAH ca bahavaH proktAH NsP_5.48a
   sādhyā sādhyān asūyata NsP_5.42d	sADyA sADyAn asUyata NsP_5.42d
   sādhv ajñānanidher bālyān NsP_42.4a	sADu ajQAna niDeH bAlyAn NsP_42.4a
   sādhvasāvanato dvijaḥ NsP_64.109d	sADvasa avanataH dvijaH NsP_64.109d
   sādhvīṃ kāntāṃ ca vallabhām NsP_33.42b	sADvIm kAntAm ca vallaBAm NsP_33.42b
   sānujaṃ rāmam avyayam NsP_52.111b	sa anujam rAmam avyayam NsP_52.111b
   sāntvayitvā sunītis taṃ NsP_31.16c	sAntvayitvA sunItiH tam NsP_31.16c
   sāndhakāram athābravīt NsP_48.31d	sa anDakAram aTa abravIt NsP_48.31d
   sāpatnyād duḥkhitā bhṛśam NsP_48.22b	sApatnyAt duHKitA BRSam NsP_48.22b
   sā papāta mamāra ca NsP_47.84d	sA papAta mamAra ca NsP_47.84d
   sāpy enaṃ pūjayitvā tu NsP_49.135c	sA api enam pUjayitvA tu NsP_49.135c
   sā prasūtā sutaṃ tv ekaṃ NsP_13.10c	sA prasUtA sutam tu ekam NsP_13.10c
   sāmantayogyāni śubhāni rājan NsP_46.8c	sAmanta yogyAni SuBAni rAjan NsP_46.8c
   sāmavedapriyaḥ samaḥ NsP_40.49b	sAmaveda priyaH samaH NsP_40.49b
   sāmnāṃ mūrtis tvam evādya NsP_37.15c	sAmnAm mUrtiH tvam eva adya NsP_37.15c
   sāmbhalākhye mahāgrāme NsP_54.3c	sa amBalA AKye mahA grAme NsP_54.3c
   sāyaṃ prātar upāsīta NsP_57.25c	sAyam prAtar upAsIta NsP_57.25c
   sāyaṃ prātar dvijaḥ sadā NsP_58.56d	sAyam prAtar dvijaH sadA NsP_58.56d
   sāyaṃ prātar dvijātīnām NsP_58.107a	sAyam prAtar dvijAtInAm NsP_58.107a
   sāyaṃprātar mahābhāga NsP_13.5a	sAyaMprAtar mahABAga NsP_13.5a
   sāyaṃ prātar hutāśanam NsP_64.11d	sAyam prAtar hutASanam NsP_64.11d
   sāyaṃ prātaś cared bhaikṣaṃ NsP_58.23a	sAyam prAtar caret BEkzam NsP_58.23a
   sāyaṃ prātas taveritam NsP_11.61b	sAyam prAtar tava Iritam NsP_11.61b
   sāyaṃ mantravad ācamya NsP_58.57c	sAyam mantravat Acamya NsP_58.57c
   sāyāhnakāle viprāṇāṃ NsP_60.12c	sAyAhna kAle viprANAm NsP_60.12c
   sāyujyam adhigachati NsP_62.15b	sAyujyam aDigaCati NsP_62.15b
   sāyujyaṃ nātra saṃśayaḥ NsP_64.81b	sAyujyam na atra saMSayaH NsP_64.81b
   sāyudhas tvām ṛte janaḥ NsP_49.98b	sa AyuDaH tvAm Rte janaH NsP_49.98b
   sāra eṣa samuddhṛtaḥ NsP_17.11d	sAraH eza samudDRtaH NsP_17.11d
   sārathir devasevitam NsP_28.30d	sAraTiH deva sevitam NsP_28.30d
   sārathiḥ sāttvikaḥ svāmī NsP_40.49a	sAraTiH sAttvikaH svAmI NsP_40.49a
   sā rāmā mandare cāsti NsP_63.81cda	sA rAmA mandare ca asti NsP_63.81cda
   sārdham etair mahābalaiḥ NsP_52.66b	sArDam etEH mahA balEH NsP_52.66b
   sārdhaṃ bhrātā mahābalaḥ NsP_52.121b	sArDam BrAtA mahA balaH NsP_52.121b
   sārdhaṃ sa munipuṃgavaḥ NsP_41.13d	sArDam sa muni puMgavaH NsP_41.13d
   sārdhaṃ saṃbhāramaṇḍape NsP_48.28d	sArDam saMBAra maNxape NsP_48.28d
   sāvanaḥ sāhasī sattvaḥ NsP_40.49c	sAvanaH sAhasI sattvaH NsP_40.49c
   sāvitraṃ lokam āsādya NsP_34.16a	sAvitram lokam AsAdya NsP_34.16a
   sāvitrī tu nirīkṣyaivaṃ NsP_13.29e	sAvitrI tu nirIkzya evam NsP_13.29e
   sāvitrī tu pativratā NsP_13.34d	sAvitrI tu pativratA NsP_13.34d
   sāvitrī nāma nāmataḥ NsP_13.6b	sAvitrI nAma nAmataH NsP_13.6b
   sāvitrīṃ tanmanā dvijaḥ NsP_58.85d	sAvitrIm tad manAH dvijaH NsP_58.85d
   sāvitrīṃ tu kṣamāpayan NsP_13.51b	sAvitrIm tu kzamApayan NsP_13.51b
   sāvitryam īśaṃ hṛdaye smaran harim NsP_14.11d	sAvitryam ISam hRdaye smaran harim NsP_14.11d
   sāśvaṃ sasārathiṃ hatvā NsP_51.45a	sa aSvam sa sAraTim hatvA NsP_51.45a
   sāhasaṃ kiṃ kṛtaṃ duṣṭe NsP_48.112c	sAhasam kim kRtam duzwe NsP_48.112c
   sāhāyyaṃ te karomīti NsP_50.45a	sAhAyyam te karomi iti NsP_50.45a
   sāṃkhyatattvārthavedinaḥ NsP_64.4d	sAMKya tattva arTa vedinaH NsP_64.4d
   sāṃkhyaṃ kecit praśaṃsanti NsP_64.1c	sAMKyam kecid praSaMsanti NsP_64.1c
   sāṃprataṃ kuru me vacaḥ NsP_25.48b	sAMpratam kuru me vacaH NsP_25.48b
   sāṃprataṃ tava darśanāt NsP_10.44b	sAMpratam tava darSanAt NsP_10.44b
   sāṃprataṃ tava darśanāt NsP_32.6b	sAMpratam tava darSanAt NsP_32.6b
   sāṃprataṃ tyaktavān vratam NsP_41.22d	sAMpratam tyaktavAn vratam NsP_41.22d
   sāṃprataṃ devadevasya NsP_56.1a	sAMpratam devadevasya NsP_56.1a
   sāṃprataṃ nārasiṃhaṃ tu NsP_40.1c	sAMpratam nArasiMham tu NsP_40.1c
   sāṃprataṃ nārasiṃhākhyāṃ NsP_1.16a	sAMpratam nArasiMha AKyAm NsP_1.16a
   sāṃprataṃ mārutotpattiṃ NsP_20.1a	sAMpratam mAruta utpattim NsP_20.1a
   sāṃprataṃ munibhiḥ saha NsP_15.1b	sAMpratam muniBiH saha NsP_15.1b
   sāṃprataṃ raghunandana NsP_50.30b	sAMpratam raGunandana NsP_50.30b
   sāṃprataṃ śrotum icchāmi NsP_32.1c	sAMpratam Srotum icCAmi NsP_32.1c
   sāṃprataṃ hantum icchasi NsP_48.133d	sAMpratam hantum icCasi NsP_48.133d
   sitakṛṣṇe ca macchaktī NsP_53.32c	sita kRzNe ca mad SaktI NsP_53.32c
   sitakṛṣṇe svake nṛpa NsP_53.34d	sita kRzNe svake nRpa NsP_53.34d
   sitapuṣpākṣatair yutam NsP_67.13b	sitapuzpa akzatEH yutam NsP_67.13b
   siddhagandharvasevitaḥ NsP_6.16b	sidDa ganDarva sevitaH NsP_6.16b
   siddhadvijagaṇānvitam NsP_25.57b	sidDa dvija gaNa anvitam NsP_25.57b
   siddhayo 'ṣṭau nṛpātmaja NsP_31.63b	sidDayaH azwO nRpa Atmaja NsP_31.63b
   siddhāyā vacanād dvija NsP_50.153d	sidDAyAH vacanAt dvija NsP_50.153d
   siddhārtho 'smy amba yady asti NsP_31.31a	sidDArTaH asmi amba yadi asti NsP_31.31a
   siddhā vidyādharāś caiva NsP_47.11c	sidDAH vidyADarAH ca eva NsP_47.11c
   siddhās tv asurarākṣasāḥ NsP_17.28d	sidDAH tu asura rAkzasAH NsP_17.28d
   siddhir bhaviṣyati yathā NsP_6.39c	sidDiH Bavizyati yaTA NsP_6.39c
   siddhiś ceyaṃ hi gor nṛpa NsP_46.18d	sidDiH ca iyam hi goH nRpa NsP_46.18d
   siddhiḥ kīrtis trayodaśī NsP_5.24b	sidDiH kIrtiH trayodaSI NsP_5.24b
   siddhebhyaḥ satataṃ śrutam NsP_8.25d	sidDeByaH satatam Srutam NsP_8.25d
   siddhair anyaiś ca sahito NsP_18.2c	sidDEH anyEH ca sahitaH NsP_18.2c
   siddhais tu munibhiḥ śūnyam NsP_49.133c	sidDEH tu muniBiH SUnyam NsP_49.133c
   siddho mantraḥ sanātanaḥ NsP_17.8f	sidDaH mantraH sanAtanaH NsP_17.8f
   sinīvālī kuhūs caiva NsP_5.30c	sinIvAlI kuhUH ca eva NsP_5.30c
   sindhumadhye samāhitaḥ NsP_43.35d	sinDu maDye samAhitaH NsP_43.35d
   sindhurāś ca madotkaṭāḥ NsP_31.27d	sinDurAH ca mada utkawAH NsP_31.27d
   sisṛkṣur vividhāḥ prajāḥ NsP_5.39b	sisRkzuH viviDAH prajAH NsP_5.39b
   siṃhanādaṃ nanāda ca NsP_52.96d	siMhanAdam nanAda ca NsP_52.96d
   siṃhavatsūkṣmamadhyāṅgī NsP_6.29a	siMha vat sUkzma maDya aFgI NsP_6.29a
   siṃhavyāghrās tathānye 'pi NsP_64.104a	siMha vyAGrAH taTA anye api NsP_64.104a
   siṃhaśārdūlanāditaḥ NsP_6.15d	siMha SArdUla nAditaH NsP_6.15d
   siṃhikāsyaṃ mahākapiḥ NsP_51.9b	siMhikA Asyam mahA kapiH NsP_51.9b
   siṃhoṣṭramakarānanān NsP_5.13d	siMha uzwra makara AnanAn NsP_5.13d
   sītayā saha bhāryayā NsP_50.12b	sItayA saha BAryayA NsP_50.12b
   sītayā saha rāghavam NsP_48.66d	sItayA saha rAGavam NsP_48.66d
   sītayā saha sundaram NsP_49.33d	sItayA saha sundaram NsP_49.33d
   sītā ca duḥkhitā tatra NsP_49.107c	sItA ca duHKitA tatra NsP_49.107c
   sītā ca mātā vilalāpa duḥkhitā NsP_49.121d	sItA ca mAtA vilalApa duHKitA NsP_49.121d
   sītā ca mātṛtulyā me NsP_48.121a	sItA ca mAtR tulyAH me NsP_48.121a
   sītā ca mālam ādāya NsP_47.119c	sItA ca mAlam AdAya NsP_47.119c
   sītā ca yatra vaidehī NsP_48.116a	sItA ca yatra vEdehI NsP_48.116a
   sītā caiva pativratā NsP_48.69d	sItA ca eva pativratA NsP_48.69d
   sītā dakṣiṇadigbhāge NsP_50.133c	sItA dakziNa digBAge NsP_50.133c
   sītādarśanam āvedya NsP_51.47c	sItA darSanam Avedya NsP_51.47c
   sītā duḥkhaparāyaṇā NsP_50.95b	sItA duHKa parAyaNA NsP_50.95b
   sītā dṛṣṭā mayeti vai NsP_51.51b	sItA dRzwA mayA iti vE NsP_51.51b
   sītādevī tava prabho NsP_50.69b	sItA devI tava praBo NsP_50.69b
   sītā devī suduḥkhitā NsP_51.51d	sItA devI su duHKitA NsP_51.51d
   sītānveṣaṇakarmaṇi NsP_50.59d	sItA anvezaNa karmaNi NsP_50.59d
   sītānveṣaṇakarmaṇi NsP_50.80d	sItA anvezaNa karmaNi NsP_50.80d
   sītānveṣaṇakarmaṇi NsP_50.83b	sItA anvezaNa karmaNi NsP_50.83b
   sītānveṣaṇakarmaṇi NsP_50.89b	sItA anvezaNa karmaNi NsP_50.89b
   sītānveṣaṇakarmaṇi NsP_50.142b	sItA anvezaNa karmaNi NsP_50.142b
   sītānveṣaṇakarmaṇi NsP_50.152d	sItA anvezaNa karmaNi NsP_50.152d
   sītānveṣanam ācara NsP_50.73d	sItA anvezanam Acara NsP_50.73d
   sītāpaharaṇaṃ viddhi NsP_49.98c	sItA apaharaNam vidDi NsP_49.98c
   sītāpārśvaṃ visṛjya tāḥ NsP_51.33d	sItA pArSvam visRjya tAH NsP_51.33d
   sītāpārśve sthiro bhava NsP_48.146d	sItA pArSve sTiraH Bava NsP_48.146d
   sītā prāha kṛtāñjaliḥ NsP_48.84b	sItA prAha kRtAQjaliH NsP_48.84b
   sītābhimukham abhyetya NsP_49.4a	sItA aBimuKam aByetya NsP_49.4a
   sītām anviṣya dāsyāmi NsP_50.43a	sItAm anvizya dAsyAmi NsP_50.43a
   sītām anveṣayan vīro NsP_50.14a	sItAm anvezayan vIraH NsP_50.14a
   sītām anveṣituṃ rājan NsP_50.46c	sItAm anvezitum rAjan NsP_50.46c
   sītām apaśyan duḥkhārtaḥ NsP_49.112a	sItAm apaSyan duHKa ArtaH NsP_49.112a
   sītām arpaya rājānaṃ NsP_48.79c	sItAm arpaya rAjAnam NsP_48.79c
   sītām āhāñjanīsutaḥ NsP_51.34b	sItAm Aha aQjanI sutaH NsP_51.34b
   sītāyā rakṣaṇaṃ prati NsP_49.55d	sItAyAH rakzaNam prati NsP_49.55d
   sītāyās ca patipradaḥ NsP_51.33b	sItAyAH ca pati pradaH NsP_51.33b
   sītāyās tan mahat svanam NsP_49.92b	sItAyAH tat mahat svanam NsP_49.92b
   sītāyās tava devyās tu NsP_50.118c	sItAyAH tava devyAH tu NsP_50.118c
   sītāyāḥ kenacid bhuvi NsP_50.77d	sItAyAH kenacid Buvi NsP_50.77d
   sītāyāḥ parimārgaṇam NsP_51.1b	sItAyAH parimArgaNam NsP_51.1b
   sītāyāḥ pradadau vasu NsP_47.133f	sItAyAH pradadO vasu NsP_47.133f
   sītā lakṣmaṇam abravīt NsP_49.76b	sItA lakzmaNam abravIt NsP_49.76b
   sītālakṣmaṇasaṃyukto NsP_48.101a	sItA lakzmaNa saMyuktaH NsP_48.101a
   sītāvacas tac chubhabhūṣaṇaṃ ca NsP_51.59b	sItA vacaH tat SuBa BUzaNam ca NsP_51.59b
   sītāviyogād vyathitaḥ NsP_50.34c	sItA viyogAt vyaTitaH NsP_50.34c
   sītāviyogena ca sadā NsP_50.71c	sItA viyogena ca sadA NsP_50.71c
   sītā sarvāṅgaśobhanā NsP_47.105b	sItA sarva aFga SoBanA NsP_47.105b
   sītā suddheti kīrtayan NsP_52.119b	sItA sudDA iti kIrtayan NsP_52.119b
   sītāsthānaṃ tu jānāti NsP_50.146a	sItA sTAnam tu jAnAti NsP_50.146a
   sītāsthānaṃ mahābhāga NsP_50.154a	sItA sTAnam mahABAga NsP_50.154a
   sītāharaṇakarmaṇi NsP_49.60b	sItA AharaNa karmaNi NsP_49.60b
   sītāṃ tām āha rāghavaḥ NsP_48.82b	sItAm tAm Aha rAGavaH NsP_48.82b
   sītāṃ tvaṃ prāpsyasīty uktvā NsP_49.136a	sItAm tvam prApsyasi iti uktvA NsP_49.136a
   sītāṃ dṛṣṭvā sa laṅkāyām NsP_50.155a	sItAm dRzwvA sa laFkAyAm NsP_50.155a
   sītāṃ nirīkṣya vṛkṣāgre NsP_51.21a	sItAm nirIkzya vRkza agre NsP_51.21a
   sītāṃ māṃ bhaja śobhanam NsP_49.40d	sItAm mAm Baja SoBanam NsP_49.40d
   sītāṃ mṛgayituṃ prabho NsP_49.115b	sItAm mRgayitum praBo NsP_49.115b
   sītāṃ mṛgayituṃ vanam NsP_49.116d	sItAm mRgayitum vanam NsP_49.116d
   sītāṃ rakṣa mahāmate NsP_49.30d	sItAm rakza mahAmate NsP_49.30d
   sītāṃ vimoktuṃ svabalena rāghava NsP_49.122b	sItAm vimoktum sva balena rAGava NsP_49.122b
   sītāṃ samāropya vimānam uttamam NsP_49.121b	sItAm samAropya vimAnam uttamam NsP_49.121b
   sītāṃ suśīlāṃ bahuratnabhūṣitāṃ NsP_47.135a	sItAm su SIlAm bahu ratna BUzitAm NsP_47.135a
   sītāṃ smṛtvā suduḥkhārtaḥ NsP_50.110c	sItAm smRtvA su duHKa ArtaH NsP_50.110c
   sīte gaccha mamādeśāt NsP_48.82c	sIte gacCa mama AdeSAt NsP_48.82c
   sīteyaṃ pravimucyatām iti vaco gatvā daśāsyaṃ vada NsP_52.30b	sItA iyam pravimucyatAm iti vacaH gatvA daSa Asyam vada NsP_52.30b
   sīdantī caturānana NsP_53.4b	sIdantI caturAnana NsP_53.4b
   sīreṇa rāmo yamunāṃ cakarṣa NsP_53.57d	sIreNa rAmaH yamunAm cakarza NsP_53.57d
   sukaṭīṃ ca sujaṅghorūṃ NsP_56.18a	sukawIm ca su jaFGA UrUm NsP_56.18a
   sukapāṭaṃ sucitritam NsP_56.9b	su kapAwam su citritam NsP_56.9b
   sukapolāṃ samāṃ śubhām NsP_56.13b	su kapolAm samAm SuBAm NsP_56.13b
   sukāntam īśaṃ praṇato 'smi śāśvatam NsP_11.51d	sukAntam ISam praNataH asmi SASvatam NsP_11.51d
   sukukṣijaṃ amuṃ paśya NsP_31.10c	su kukzi jam amum paSya NsP_31.10c
   sukukṣiḥ suruciḥ katham NsP_31.21b	sukukziH suruciH kaTam NsP_31.21b
   sukuṭilatanubhis tadagnitaptair NsP_43.5c	su kuwila tanuBiH tad agni taptEH NsP_43.5c
   sukumāram ajaṃ nityaṃ NsP_11.32a	sukumAram ajam nityam NsP_11.32a
   sukṛtaśatena vṛthendriyārthahetoḥ NsP_9.7b	sukRta Satena vRTA indriya arTa hetoH NsP_9.7b
   sukṛtaṃ kiṃ tvayā kṛtam NsP_31.8b	sukRtam kim tvayA kRtam NsP_31.8b
   sukeśāya sunetrāya NsP_47.19a	sukeSAya sunetrAya NsP_47.19a
   suklāṃ kuśatilaiḥ saha NsP_58.63d	suklAm kuSa tilEH saha NsP_58.63d
   sukṣmāt sūkṣmataraṃ dhyāyej NsP_61.5c	sukzmAt sUkzmataram DyAyet NsP_61.5c
   sukhaduḥkhaphalodayaḥ NsP_15.6d	suKa duHKa Pala udayaH NsP_15.6d
   sukhaduḥkhasamanvitāḥ NsP_15.9b	suKa duHKa samanvitAH NsP_15.9b
   sukhalobhādi varjayet NsP_60.5b	suKa loBa Adi varjayet NsP_60.5b
   sukhaṃ vāti surān prati NsP_38.31d	suKam vAti surAn prati NsP_38.31d
   sukhāya parivītāś ca NsP_54.34c	suKAya parivItAH ca NsP_54.34c
   sukhī tiṣṭhati sarvadā NsP_63.87b	suKI tizWati sarvadA NsP_63.87b
   sukhī paśyan śriyaṃ tava NsP_42.6d	suKI paSyan Sriyam tava NsP_42.6d
   sugatim abhilaṣāmi vāsudevād NsP_9.3a	sugatim aBilazAmi vAsudevAt NsP_9.3a
   suguptāṃ dhanadāṅganām NsP_63.104d	su guptAm Danada aFganAm NsP_63.104d
   sugopyāni nivedaya NsP_33.24b	sugopyAni nivedaya NsP_33.24b
   sugrīva kuśalaṃ tava NsP_50.67d	sugrIva kuSalam tava NsP_50.67d
   sugrīvabhṛtyā harayaś NsP_49.109a	sugrIva BRtyAH harayaH NsP_49.109a
   sugrīvasya vayaṃ bhṛtyā NsP_50.141c	sugrIvasya vayam BRtyAH NsP_50.141c
   sugrīvasya viśeṣataḥ NsP_50.112d	sugrIvasya viSezataH NsP_50.112d
   sugrīvaṃ kapināyakam NsP_50.70d	sugrIvam kapinAyakam NsP_50.70d
   sugrīvaṃ ca mahāvīryaṃ NsP_51.46a	sugrIvam ca mahA vIryam NsP_51.46a
   sugrīvaṃ ca viśeṣataḥ NsP_51.50b	sugrIvam ca viSezataH NsP_51.50b
   sugrīvaṃ ca viśeṣeṇa NsP_50.132a	sugrIvam ca viSezeNa NsP_50.132a
   sugrīvaṃ prāha dharmātmā NsP_50.28a	sugrIvam prAha Darma AtmA NsP_50.28a
   sugrīvaṃ prāha pārthivam NsP_50.24b	sugrIvam prAha pArTivam NsP_50.24b
   sugrīvaṃ mārutātmajam NsP_50.88b	sugrIvam mArutAtmajam NsP_50.88b
   sugrīvaṃ vālinaṃ yathā NsP_50.53d	sugrIvam vAlinam yaTA NsP_50.53d
   sugrīvaḥ kapināyakaḥ NsP_50.54d	sugrIvaH kapinAyakaH NsP_50.54d
   sugrīvaḥ kapināyakaḥ NsP_51.36b	sugrIvaH kapinAyakaH NsP_51.36b
   sugrīvaḥ śīghram āgatya NsP_50.65c	sugrIvaH SIGram Agatya NsP_50.65c
   sugrīvaḥ sa tu vīryavān NsP_50.62d	sugrIvaH sa tu vIryavAn NsP_50.62d
   sugrīvaḥ sthāpyate hy atra NsP_50.111c	sugrIvaH sTApyate hi atra NsP_50.111c
   sugrīvāya mahātmane NsP_49.110b	sugrIvAya mahAtmane NsP_49.110b
   sugrīvāyārpitāni ca NsP_50.91d	sugrIvAya arpitAni ca NsP_50.91d
   sugrīvāṃ kārayed budhaḥ NsP_56.13d	sugrIvAm kArayet buDaH NsP_56.13d
   sugrīveṇa tato ruṣā NsP_50.35b	sugrIveNa tatas ruzA NsP_50.35b
   sugrīveṇa mahātmanā NsP_50.108d	sugrIveNa mahAtmanA NsP_50.108d
   sugrīveṇa mahātmanā NsP_50.153b	sugrIveNa mahAtmanA NsP_50.153b
   sugrīveṇa sa lakṣmaṇaḥ NsP_50.60d	sugrIveNa sa lakzmaNaH NsP_50.60d
   sugrīveṇa hataḥ kumbho NsP_52.68c	sugrIveNa hataH kumBaH NsP_52.68c
   sugrīve svaṃ nivedya vai NsP_49.132b	sugrIve svam nivedya vE NsP_49.132b
