   // Saddharmalaṅkāvatārasūtram //	// Sat Darma laFkA avatAra sUtram //
   paścātkāle gate nāthe brūhi ko 'yaṃ dhariṣyati // Lank_10.163 //	paScAt kAle gate nATe brUhi kaH ayam Darizyati // Lank _10.163 //
   nirvṛte sugate paścātkālo 'tīto bhaviṣyati /	nirvRte sugate paScAt kAlaH atItaH Bavizyati /
   mahāmate nibodha tvaṃ yo netrīṃ dhārayiṣyati // Lank_10.164 //	mahAmate niboDa tvam yaH netrIm DArayizyati // Lank _10.164 //
   dakṣiṇāpathavedalyāṃ bhikṣuḥ śrīmān mahāyaśāḥ /	dakziNApaTa vedalyAm BikzuH SrImAn mahA yaSAH /
   nāgāhvayaḥ sa nāmnā tu sadasatpakṣadārakaḥ // Lank_10.165 //	nAgAhvayaH sa nAmnA tu sat asat pakza dArakaH // Lank _10.165 //
   prakāśya loke madyānaṃ mahāyānamanuttaram /	prakASya loke madyAnam mahAyAnam anuttaram /
   āsādya bhūmiṃ muditāṃ yāsyate 'sau sukhāvatīm // Lank_10.166 //	AsAdya BUmim muditAm yAsyate asO suKAvatIm // Lank _10.166 //
   buddhyā vivecyamānānāṃ svabhāvo nāvadhāryate /	budDyA vivecyamAnAnAm svaBAvaH na avaDAryate /
   yasmāttadanabhilāpyāste niḥsvabhāvāśca deśitāḥ // Lank_10.167 //	yasmAt tad anaBilApyAH te niHsvaBAvAH ca deSitAH // Lank _10.167 //
   pratyayotpādite hyarthe nāstyastīti na vidyate /	pratyaya utpAdite hi arTe na asti asti iti na vidyate /
   pratyayāntargataṃ bhāvaṃ ye kalpentyasti nāsti ca /	pratyaya antargatam BAvam ye kalpenti asti na asti ca /
   dūrībhūtā bhavenmanye śāsanāttīrthadṛṣṭayaḥ // Lank_10.168 //	dUrIBUtA Bavet manye SAsanAt tIrTa dRzwayaH // Lank _10.168 //
   abhidhānaṃ sarvabhāvānāṃ janmāntaraśataiḥ sadā /	aBiDAnam sarva BAvAnAm janma antara SatEH sadA /
   abhyastamabhyasantaṃ ca parasparavikalpayā // Lank_10.169 //	aByastam aByasantam ca paraspara vikalpayA // Lank _10.169 //
   akathyamāne saṃmohaṃ sarvaloka āpadyate /	akaTyamAne saMmoham sarva lokaH Apadyate /
   tasmātkriyate nāma saṃmohasya vyudāsārtham // Lank_10.170 //	tasmAt kriyate nAma saMmohasya vyudAsa arTam // Lank _10.170 //
   trividhena vikalpena bālairbhāvā vikalpitāḥ /	triviDena vikalpena bAlEH BAvAH vikalpitAH /
   bhrāntirnāmavikalpena pratyayairjanitena ca // Lank_10.171 //	BrAntiH nAma vikalpena pratyayEH janitena ca // Lank _10.171 //
   aniruddhā hyanutpannāḥ prakṛtyā gaganopamāḥ /	anirudDAH hi anutpannAH prakRtyAH gagana upamAH /
   abhāvasvabhāvā ye tu te vikalpitalakṣaṇāḥ // Lank_10.172 //	aBAva svaBAvAH ye tu te vikalpita lakzaNAH // Lank _10.172 //
   pratibhāsabimbamāyābhamarīcyā supinena tu /	pratiBAsa bimba mAyA ABa marIcyA supinena tu /
   alātacakragandharvapratiśrutkāsamodbhavāḥ // Lank_10.173 //	alAta cakra ganDarva pratiSrutkA sama udBavAH // Lank _10.173 //
   (Vaidya 119)	(VEdyaH 119)
   advayā tathatā śūnyā bhūtakoṣṭiśca dharmatā /	advayA taTatA SUnyA BUtakozwiH ca DarmatA /
   nirvikalpaśca deśemi ye te niṣpannalakṣaṇāḥ // Lank_10.174 //	nirvikalpaH ca deSemi ye te nizpanna lakzaNAH // Lank _10.174 //
   vākcittagocaraṃ mithyā satyaṃ prajñā vikalpitā /	vAc citta gocaram miTyA satyam prajQA vikalpitA /
   dvayāntapatitaṃ cittaṃ tasmātprajñā na kalpitā // Lank_10.175 //	dvaya anta patitam cittam tasmAt prajQA na kalpitAH // Lank _10.175 //
   asti nāsti ca dvāvantau yāvaccittasya gocaraḥ /	asti na asti ca dvO= antO yAvat cittasya gocaraH /
   gocareṇa vidhūtena samyakcittaṃ nirudhyate // Lank_10.176 //	gocareNa viDUtena samyak cittam niruDyate // Lank _10.176 //
   viṣayagrahaṇābhāvānnirodhena ca nāsti ca /	vizaya grahaNa aBAvAt niroDena ca na asti ca /
   vidyate tathatāvasthā āryāṇāṃ gocaro yathā // Lank_10.177 //	vidyate taTatA avasTA AryANAm gocaraH yaTA // Lank _10.177 //
   bālānāṃ na tathā khyāti yathā khyāti manīṣiṇām /	bAlAnAm na taTA KyAti yaTA KyAti manIziNAm /
   manīṣiṇāṃ tathā khyāti sarvadharmā alakṣaṇāḥ // Lank_10.178 //	manIziNAm taTA KyAti sarva DarmAH alakzaNAH // Lank _10.178 //
   hārakūṭaṃ yathā bālaiḥ suvarṇaṃ parikalpyate /	hArakUwam yaTA bAlEH suvarNam parikalpyate /
   asuvarṇaṃ suvarṇābhaṃ tathā dharmāḥ kutārkikaiḥ // Lank_10.179 //	asuvarNam suvarNa ABam taTA DarmAH ku tArkikEH // Lank _10.179 //
   abhūtvā yasya cotpādo bhūtvā cāpi vinaśyati /	aBUtvA yasya ca utpAdaH BUtvA ca api vinaSyati /
   pratyayaiḥ sadasaccāpi na te me śāsane sthitāḥ // Lank_10.180 //	pratyayEH sat asat ca api na te me SAsane sTitAH // Lank _10.180 //
   anādyanidhanābhāvādbhūtalakṣaṇasaṃsthitāḥ /	anAdya niDana aBAvAt BUta lakzaNa saMsTitAH /
   kāraṇakaravalloke na ca budhyanti tārkikāḥ // Lank_10.181 //	kAraNa kara vat loke na ca buDyanti tArkikAH // Lank _10.181 //
   atīto vidyate bhāvo vidyate ca anāgataḥ /	atItaH vidyate BAvaH vidyate ca anAgataH /
   pratyakṣo vidyate yasmāttasmādbhāvā ajātakāḥ // Lank_10.182 //	pratyakzaH vidyate yasmAt tasmAt BAvAH ajAtakAH // Lank _10.182 //
   pariṇāmakālasaṃsthānaṃ bhūtabhāvendriyeṣu ca /	pariNAma kAla saMsTAnam BUta BAva indriyezu ca /
   antarābhavasaṃgrāhaṃ ye kalpanti na te budhāḥ // Lank_10.183 //	antarA aBava saMgrAham ye kalpanti na te buDAH // Lank _10.183 //
   na pratītyasamutpannaṃ lokaṃ varṇanti vai jināḥ /	na pratItyasamutpannam lokam varNanti vE jinAH /
   kiṃ tu pratyayamevāyaṃ loko gandharvasaṃnibhaḥ // Lank_10.184 //	kim tu pratyayam eva ayam lokaH ganDarva saMniBaH // Lank _10.184 //
   dharmasaṃketa evāyaṃ tasmiṃstadidamucyate /	Darma saMketaH eva ayam tasmin= tat idam ucyate /
   saṃketācca pṛthagbhūto na jāto na nirudhyate // Lank_10.185 //	saMketAt ca pRTak BUtaH na jAtaH na niruDyate // Lank _10.185 //
   darpaṇe udake netre bhāṇḍeṣu ca maṇīṣu ca /	darpaNe udake netre BANxezu ca maNIzu ca /
   bimbaṃ hi dṛśyate teṣu na ca bimbo 'sti kutracit // Lank_10.186 //	bimbam hi dRSyate tezu na ca bimbaH asti kutracid // Lank _10.186 //
   bhāvābhāsaṃ tathā cittaṃ mṛgatṛṣṇā yathā nabhe /	BAva ABAsam taTA cittam mRgatRzNA yaTA naBe /
   dṛśyate citrarūpeṇa svapne vandhyauraso yathā // Lank_10.187 //	dRSyate citra rUpeNa svapne vanDyOrasaH yaTA // Lank _10.187 //
   na me yānaṃ mahāyānaṃ na ghoṣo na ca akṣarāḥ /	na me yAnam mahAyAnam na GozaH na ca akzarAH /
   na satyā na vimokṣā vai na nirābhāsagocaram // Lank_10.188 //	na satyA na vimokzAH vE na nirABAsa gocaram // Lank _10.188 //
   kiṃ tu yānaṃ mahāyānaṃ samādhivaśavartitā /	kim tu yAnam mahAyAnam samADi vaSa varti tA /
   kāyaṃ manomayaṃ citraṃ vaśitāpuṣpamaṇḍitam // Lank_10.189 //	kAyam manaH mayam citram vaSitA puzpa maNxitam // Lank _10.189 //
   (Vaidya 120)	(VEdyaH 120)
   ekatvena pṛthaktvena bhāvo vai pratyaye na tu /	eka tvena pRTaktvena BAvaH vE pratyaye na tu /
   janma samāsamevoktaṃ nirodho nāśa eva hi // Lank_10.190 //	janma samAsam eva uktam niroDaH nASaH eva hi // Lank _10.190 //
   ajātaśūnyatā caikamekaṃ jāteṣu śūnyatā /	ajAta SUnyatA ca ekam ekam jAtezu SUnyatA /
   ajātaśūnyatā śreṣṭhā naśyate jātaśūnyatā // Lank_10.191 //	ajAta SUnyatA SrezWA naSyate jAta SUnyatA // Lank _10.191 //
   tathatā śūnyatā koṭī nirvāṇaṃ dharmadhātuvat /	taTatA SUnyatA kowI nirvANam DarmaDAtu vat /
   kāyo manomayaṃ citraṃ paryāyairdeśitaṃ mayā // Lank_10.192 //	kAyaH manaH mayam citram paryAyEH deSitam mayA // Lank _10.192 //
   sūtravinayābhidharmeṇa viśuddhiṃ kalpayanti ye /	sUtra vinaya aBiDarmeNa viSudDim kalpayanti ye /
   granthato na tu arthena na te nairātmyamāśritāḥ // Lank_10.193 //	granTataH na tu arTena na te nErAtmyam ASritAH // Lank _10.193 //
   na tīrthikairna buddhaiśca na mayā na ca kenacit /	na tIrTikEH na budDEH ca na mayA na ca kenacid /
   pratyayaiḥ sādhitāstitvaṃ kathaṃ nāstirbhaviṣyati // Lank_10.194 //	pratyayEH sADita astitvam kaTam na astiH Bavizyati // Lank _10.194 //
   kena prasādhitāstitvaṃ pratyayairyasya nāstitā /	kena prasADita astitvam pratyayEH yasya na astitAH /
   utpādavādadurdṛṣṭyā nāstyastīti vikalpayet // Lank_10.195 //	utpAda vAda durdRzwyA na asti asti iti vikalpayet // Lank _10.195 //
   yasya notpadyate kiṃcinna kiṃcittaṃ nirudhyate /	yasya na utpadyate kiMcid na kiMcid tam niruDyate /
   tasyāstināsti nopaiti viviktaṃ paśyato jagat // Lank_10.196 //	tasyAH tinA asti na upEti viviktam paSyataH jagat // Lank _10.196 //
   dṛśyate śaśaviṣāṇākhyaṃ vikalpo vidyate nṛṇām /	dRSyate SaSavizANa AKyam vikalpaH vidyate nRNAm /
   ye tu kalpenti te bhrāntā mṛgatṛṣṇāṃ yathā mṛgāḥ // Lank_10.197 //	ye tu kalpenti te BrAntAH mRgatRzNAm yaTA mRgAH // Lank _10.197 //
   vikalpābhiniveśena vikalpaḥ saṃpravartate /	vikalpa aBiniveSena vikalpaH saMpravartate /
   nirhetukaṃ vikalpaṃ hi vikalpo 'pi na yujyate // Lank_10.198 //	nirhetukam vikalpam hi vikalpaH api na yujyate // Lank _10.198 //
   ajale ca jalagrāho mṛgatṛṣṇā yathā nabhe /	ajale ca jala grAhaH mRgatRzNA yaTA naBe /
   dṛśyate 'rtho hi bālānāmāryāṇāṃ na viśeṣataḥ // Lank_10.199 //	dRSyate arTaH hi bAlAnAm AryANAm na viSezataH // Lank _10.199 //
   āryāṇāṃ darśanaṃ śuddhaṃ vimokṣatrayasaṃbhavam /	AryANAm darSanam SudDam vimokza traya saMBavam /
   utpādabhaṅganirmuktaṃ nirābhāsapracāriṇam // Lank_10.200 //	utpAda BaFga nirmuktam nirABAsa pracAriNam // Lank _10.200 //
   gāmbhīryodāryavaipulyaṃ jñānaṃ kṣetrān vibhūti ca /	gAmBIryA udArya vEpulyam jQAnam kzetrAn viBUti ca /
   deśemi jinaputrāṇāṃ śrāvakāṇāmanityatām // Lank_10.201 //	deSemi jinaputrANAm SrAvakANAm anitya tAm // Lank _10.201 //
   anityaṃ tribhavaṃ śūnyamātmātmīyavivarjitam /	anityam tri Bavam SUnyam Atma AtmIya vivarjitam /
   śrāvakāṇāṃ ca deśemi tathā sāmānyalakṣaṇam // Lank_10.202 //	SrAvakANAm ca deSemi taTA sAmAnya lakzaNam // Lank _10.202 //
   sarvadharmeṣvasaṃsaktirvivekā hyekacārikā /	sarva Darmezu asaMsaktiH vivekA hi ekacArikA /
   pratyekajinaputrāṇāṃ phalaṃ deśemyatarkikam // Lank_10.203 //	pratyeka jina putrANAm Palam deSemi atarkikam // Lank _10.203 //
   svabhāvakalpitaṃ bāhyaṃ paratantraṃ ca dehinām /	svaBAva kalpitam bAhyam paratantram ca dehinAm /
   apaśyannātmasaṃbhrāntiṃ tataścittaṃ pravartate // Lank_10.204 //	apaSyan= Atma saMBrAntim tatas cittam pravartate // Lank _10.204 //
   (Vaidya 121)	(VEdyaH 121)
   daśamī tu bhavetprathamī prathamī cāṣṭamī bhavet /	daSamI tu Bavet praTamI praTamI ca azwamI Bavet /
   navamī saptamī cāpi saptamī cāṣṭamī bhavet // Lank_10.205 //	navamI saptamI ca api saptamI ca azwamI Bavet // Lank _10.205 //
   dvitīyā tu tṛtīyā syāccaturthī pañcamī bhavet /	dvitIyA tu tRtIyA syAt caturTI paQcamI Bavet /
   tṛtīyā tu bhavetṣaṣṭhī nirābhāse kramaḥ kutaḥ // Lank_10.206 //	tRtIyA tu Bavet zazWI nirABAse kramaH kutas // Lank _10.206 //
   nirābhāso hi bhāvānāmabhāvo nāsti yoginām /	nirABAsaH hi BAvAnAm aBAvaH na asti yoginAm /
   bhāvābhāvasamatvena āryāṇāṃ jāyate phalam // Lank_10.207 //	BAva aBAva sama tvena AryANAm jAyate Palam // Lank _10.207 //
   kathaṃ hyabhāvo bhāvānāṃ kurute samatāṃ katham /	kaTam hi aBAvaH BAvAnAm kurute sama tAm kaTam /
   yadā cittaṃ na jānāti bāhyamadhyātmikaṃ calam /	yadA cittam na jAnAti bAhyam aDyAtmikam calam /
   tadā tu kurute nāśaṃ samatācittadarśanāt // Lank_10.208 //	tadA tu kurute nASam samatA citta darSanAt // Lank _10.208 //
   anādimati saṃsāre bhāvagrāhopagūhitam /	anAdimati saMsAre BAva grAha upagUhitam /
   bālaiḥ kīla yathā kīlaṃ pralobhya vinivartate // Lank_10.209 //	bAlEH kIla yaTA kIlam praloBya vinivartate // Lank _10.209 //
   taddhetukaṃ tadālambyaṃ manogatisamāśrayam /	tad hetukam tad Alambyam manaH gati samASrayam /
   hetuṃ dadāti cittasya vijñānaṃ ca samāśritam // Lank_10.210 //	hetum dadAti cittasya vijQAnam ca samASritam // Lank _10.210 //
   vaipākikādadhiṣṭhānāṃ nikāyagatisaṃbhavāt /	vEpAkikAt aDizWAnAm nikAya gati saMBavAt /
   labhyante yena vai svapne abhijñāśca caturvidhāḥ // Lank_10.211 //	laByante yena vE svapne aBijQAH ca caturviDAH // Lank _10.211 //
   svapne ca labhyate yacca yacca buddhaprasādataḥ /	svapne ca laByate yat ca yat ca budDa prasAdataH /
   nikāyagatigotrā ye te vijñānavipākajāḥ // Lank_10.212 //	nikAya gati gotrAH ye te vijQAna vipAka jAH // Lank _10.212 //
   vāsanairbhāvitaṃ cittaṃ bhāvābhāsaṃ pravartate /	vAsanEH BAvitam cittam BAva ABAsam pravartate /
   bālā yadā na budhyante utpādaṃ deśayettadā // Lank_10.213 //	bAlAH yadA na buDyante utpAdam deSayet tadA // Lank _10.213 //
   yāvadvākyaṃ vikalpeti bhāvaṃ vai lakṣaṇānvitam /	yAvat vAkyam vikalpa iti BAvam vE lakzaNa anvitam /
   tāvadvibudhyate cittamapaśyan hi svavibhramam // Lank_10.214 //	tAvat vibuDyate cittam apaSyan hi sva viBramam // Lank _10.214 //
   utpādo varṇyate kasmātkasmāddṛśyaṃ na varṇyate /	utpAdaH varNyate kasmAt kasmAt dRSyam na varNyate /
   adṛśyaṃ dṛśyamānaṃ hi kasya kiṃ varṇyate kutaḥ // Lank_10.215 //	adRSyam dRSyamAnam hi kasya kim varNyate kutas // Lank _10.215 //
   svacchaṃ cittaṃ svabhāvena manaḥ kaluṣakārakam /	svacCam cittam svaBAvena manaH kaluza kArakam /
   manaśca sahavijñānairvāsanāṃ kṣipate sadā // Lank_10.216 //	manaH ca saha vijQAnEH vAsanAm kzipate sadA // Lank _10.216 //
   ālayo muñcate kāyaṃ manaḥ prārthayate gatim /	AlayaH muQcate kAyam manaH prArTayate gatim /
   vijñānaṃ viṣayābhāsaṃ bhrāntiṃ dṛṣṭvā pralabhyate // Lank_10.217 //	vijQAnam vizaya ABAsam BrAntim dRzwvA pralaByate // Lank _10.217 //
   madīyaṃ dṛśyate cittaṃ bāhyamarthaṃ na vidyate /	madIyam dRSyate cittam bAhyam arTam na vidyate /
   evaṃ vibhāvayedbhrāntiṃ tathatāṃ cāpyanusmaret // Lank_10.218 //	evam viBAvayet BrAntim taTatAm ca api anusmaret // Lank _10.218 //
   dhyāyināṃ viṣayaḥ karma buddhamāhātmyameva ca /	DyAyinAm vizayaH karma budDa mAhAtmyam eva ca /
   etāni trīṇyacintyāni acintyaṃ vijñānagocaram // Lank_10.219 //	etAni trINi acintyAni acintyam vijQAna gocaram // Lank _10.219 //
   (Vaidya 122)	(VEdyaH 122)
   anāgatamatītaṃ ca nirvāṇaṃ pudgalaṃ vacaḥ /	anAgatam atItam ca nirvANam pudgalam vacaH /
   saṃvṛtyā deśayāmyetān paramārthastvanakṣaraḥ // Lank_10.220 //	saMvRtyA deSayAmi etAn parama arTaH tu anakzaraH // Lank _10.220 //
   naikāyikāśca tīrthyāśca dṛṣṭimekāṃśamāśritāḥ /	nEkAyikAH ca tIrTyAH ca dRzwim eka aMSam ASritAH /
   cittamātre visaṃmūḍhā bhāvaṃ kalpenti bāhiram // Lank_10.221 //	cittamAtre visaMmUXAH BAvam kalpenti bAhiram // Lank _10.221 //
   pratyekabodhiṃ buddhatvamarhattvaṃ buddhadarśanam /	pratyeka boDim budDa tvam arhat tvam budDa darSanam /
   gūḍhabījaṃ bhavedbodhau svapne vai sidhyate tu yaḥ // Lank_10.222 //	gUXa bIjam Bavet boDO svapne vE siDyate tu yaH // Lank _10.222 //
   kutra keṣāṃ kathaṃ kasmātkimarthaṃ ca vadāhi me /	kutra kezAm kaTam kasmAt kim arTam ca vadAhi me /
   mayācittamatiśāntaṃ sadasatpakṣadeśanām // Lank_10.223 //	mayA acittam ati SAntam sat asat pakza deSanAm // Lank _10.223 //
   cittamātre vimūḍhānāṃ māyānāstyastideśanām /	cittamAtre vimUXAnAm mAyAnAstyasti deSanAm /
   utpādabhaṅgasaṃyuktaṃ lakṣyalakṣaṇavarjitam // Lank_10.224 //	utpAda BaFga saMyuktam lakzya lakzaNa varjitam // Lank _10.224 //
   vikalpo mano nāma vijñānaiḥ pañcabhiḥ saha /	vikalpaH manaH nAma vijQAnEH paQcaBiH saha /
   bimbaughajalatulyādau cittabījaṃ pravartate // Lank_10.225 //	bimba oGa jala tulya AdO citta bIjam pravartate // Lank _10.225 //
   yadā cittaṃ manaścāpi vijñānaṃ na pravartate /	yadA cittam manaH ca api vijQAnam na pravartate /
   tadā manomayaṃ kāyaṃ labhate buddhabhūmi ca // Lank_10.226 //	tadA manaH mayam kAyam laBate budDa BUmi ca // Lank _10.226 //
   pratyayā dhātavaḥ skandhā dharmāṇāṃ ca svalakṣaṇam /	pratyayAH DAtavaH skanDAH DarmANAm ca sva lakzaNam /
   prajñaptiṃ pudgalaṃ cittaṃ svapnakeśoṇḍukopamāḥ // Lank_10.227 //	prajQaptim pudgalam cittam svapna keSoNxukA upamAH // Lank _10.227 //
   māyāsvapnopamaṃ lokaṃ dṛṣṭvā tattvaṃ samāśrayet /	mAyA svapna upamam lokam dRzwvA tattvam samASrayet /
   tattvaṃ hi lakṣaṇairmuktaṃ yuktihetuvivarjitam // Lank_10.228 //	tattvam hi lakzaNEH muktam yukti hetu vivarjitam // Lank _10.228 //
   pratyātmavedyamāryāṇāṃ vihāraṃ tu smaretsadā /	pratyAtma vedyam AryANAm vihAram tu smaret sadA /
   yuktihetuvisaṃmūḍhaṃ lokaṃ tattve niveśayet // Lank_10.229 //	yukti hetu visaMmUXam lokam tattve niveSayet // Lank _10.229 //
   sarvaprapañcopaśamādbhrānto nābhipravartate /	sarva prapaQca upaSamAt BrAntaH na aBipravartate /
   prajñā yāvadvikalpante bhrāntistāvatpravartate // Lank_10.230 //	prajQA yAvat vikalpante BrAntiH tAvat pravartate // Lank _10.230 //
   naiḥsvabhāvyaṃ ca bhāvaṃ ca śūnyā vai nityānityatā /	nEHsvaBAvyam ca BAvam ca SUnyA vE nitya anitya tA /
   utpādavādināṃ dṛṣṭirna tvanutpādavādinām // Lank_10.231 //	utpAda vAdinAm dRzwiH na tu anutpAda vAdinAm // Lank _10.231 //
   ekatvamanyatvobhayāmīśvarācca yadṛcchayā /	eka tvam anya tva uBayAm ISvarAt ca yadRcCayA /
   kālāpradhānādanyebhiḥ pratyayaiḥ kalpyate jagat // Lank_10.232 //	kAla apraDAnAt anyeBiH pratyayEH kalpyate jagat // Lank _10.232 //
   saṃsārabījaṃ vijñānaṃ sati dṛśye pravartate /	saMsAra bIjam vijQAnam sati dRSye pravartate /
   kuḍye sati yathā citraṃ parijñānānnirudhyate // Lank_10.233 //	kuxye sati yaTA citram parijQAnAt niruDyate // Lank _10.233 //
   māyāpuruṣavannṝṇāṃ mṛtajanma pravartate /	mAyA puruza vat nLNAm mRta janma pravartate /
   mohāttathaiva bālānāṃ bandhamokṣaṃ pravartate // Lank_10.234 //	mohAt taTA eva bAlAnAm banDa mokzam pravartate // Lank _10.234 //
   adhyātmabāhyaṃ dvividhaṃ dharmāśca pratyayāni ca /	aDyAtma bAhyam dviviDam DarmAH ca pratyayAni ca /
   etadvibhāvayan yogī nirābhāse pratiṣṭhate // Lank_10.235 //	etat viBAvayan yogI nirABAse pratizWate // Lank _10.235 //
   (Vaidya 123)	(VEdyaH 123)
   na vāsanairbhidyate cittaṃ na cittaṃ vāsanaiḥ saha /	na vAsanEH Bidyate cittam na cittam vAsanEH saha /
   abhinnalakṣaṇaṃ cittaṃ vāsanaiḥ pariveṣṭitam // Lank_10.236 //	aBinna lakzaNam cittam vAsanEH parivezwitam // Lank _10.236 //
   malavadvāsanā yasya manovijñānasaṃbhavā /	mala vat vAsanA yasya manaH vijQAna saMBavAH /
   paṭaśuklopamaṃ cittaṃ vāsanairna virājate // Lank_10.237 //	pawa Su kla upamam cittam vAsanEH na virAjate // Lank _10.237 //
   yathā na bhāvo nābhāvo gaganaṃ kathyate mayā /	yaTA na BAvaH na aBAvaH gaganam kaTyate mayA /
   ālayaṃ hi tathā kāye bhāvābhāvavivarjitam // Lank_10.238 //	Alayam hi taTA kAye BAva aBAva vivarjitam // Lank _10.238 //
   manovijñānavyāvṛttaṃ cittaṃ kāluṣyavarjitam /	manaH vijQAna vyAvRttam cittam kAluzya varjitam /
   sarvadharmāvabodhena cittaṃ buddhaṃ vadāmyaham // Lank_10.239 //	sarva Darma avaboDena cittam budDam vadAmi aham // Lank _10.239 //
   trisaṃtativyavacchinnaṃ sattāsattāvivarjitam /	tri saMtati vyavacCinnam sattA sattA vivarjitam /
   cātuṣkoṭikayā muktaṃ bhavaṃ māyopamaṃ sadā // Lank_10.240 //	cAtuzkowikayA muktam Bavam mAyA upamam sadA // Lank _10.240 //
   dve svabhāvo bhavetsapta bhūmayaścittasaṃbhavāḥ /	dve svaBAvaH Bavet sapta BUmayaH citta saMBavAH /
   śeṣā bhaveyurniṣpannā bhūmayo buddhabhūmi ca // Lank_10.241 //	SezAH BaveyuH nizpannAH BUmayaH budDa BUmi ca // Lank _10.241 //
   rūpī cārūpyadhātuśca kāmadhātuśca nirvṛtiḥ /	rUpI ca ArUpya DAtuH ca kAmaDAtuH ca nirvRtiH /
   asmin kalevare sarvaṃ kathitaṃ cittagocaram // Lank_10.242 //	asmin kalevare sarvam kaTitam citta gocaram // Lank _10.242 //
   upalabhyate yadā yāvadbhrāntistāvatpravartate /	upalaByate yadA yAvat BrAntiH tAvat pravartate /
   bhrāntiḥ svacittasaṃbodhānna pravartate na nivartate // Lank_10.243 //	BrAntiH sva citta saMboDAt na pravartate na nivartate // Lank _10.243 //
   anutpāde kāraṇābhāvo bhāve saṃsārasaṃgrahaḥ /	anutpAde kAraNa aBAvaH BAve saMsAra saMgrahaH /
   māyādisadṛśaṃ paśyan lakṣaṇaṃ na vikalpayet // Lank_10.244 //	mAyA Adi sadRSam paSyan lakzaNam na vikalpayet // Lank _10.244 //
   triyānamekayānaṃ ca ayānaṃ ca vadāmyaham /	tri yAnam eka yAnam ca ayAnam ca vadAmi aham /
   bālānāṃ mandabuddhīnāmāryāṇāṃ ca viviktatām // Lank_10.245 //	bAlAnAm manda budDInAm AryANAm ca viviktatAm // Lank _10.245 //
   utpattirdvividhā mahyaṃ lakṣaṇādhigamau ca yā /	utpattiH dviviDA mahyam lakzaNa aDigamO ca yA /
   caturvidho nayavidhiḥ siddhāntaṃ yuktideśanā // Lank_10.246 //	caturviDaH naya viDiH sidDAntam yukti deSanA // Lank _10.246 //
   saṃsthānākṛtiviśeṣairbhrāntiṃ dṛṣṭvā vikalpyate /	saMsTAna AkRti viSezEH BrAntim dRzwvA vikalpyate /
   nāmasaṃsthānavirahātsvabhāvamāryagocaram // Lank_10.247 //	nAma saMsTAna virahAt svaBAvam Arya gocaram // Lank _10.247 //
   vikalpena kalpyate yāvattāvatkalpitalakṣaṇam /	vikalpena kalpyate yAvat tAvat kalpita lakzaNam /
   vikalpakalpanābhāvātsvabhāvamāryagocaram // Lank_10.248 //	vikalpa kalpanA BAvAt svaBAvam Arya gocaram // Lank _10.248 //
   nityaṃ ca śāśvataṃ tattvaṃ gotraṃ vastusvabhāvakam /	nityam ca SASvatam tattvam gotram vastu svaBAvakam /
   tathatā cittanirmuktaṃ kalpanaiśca vivarjitam // Lank_10.249 //	taTatA citta nirmuktam kalpanEH ca vivarjitam // Lank _10.249 //
   yadyadvastu na śuddhiḥ syātsaṃkleśo nāpi kasyacit /	yat yat vastu na SudDiH syAt saMkleSaH na api kasyacid /
   yasmācca śuṃdhyate cittaṃ saṃkleśaścāpi dṛśyate /	yasmAt ca SuMDyate cittam saMkleSaH ca api dRSyate /
   tasmāttattvaṃ bhavedvastu viśuddhamāryagocaram // Lank_10.250 //	tasmAt tattvam Bavet vastu viSudDam Arya gocaram // Lank _10.250 //
   (Vaidya 124)	(VEdyaH 124)
   pratyayairjanitaṃ lokaṃ vikalpaiśca vivarjitam /	pratyayEH janitam lokam vikalpEH ca vivarjitam /
   māyādisvapnasadṛśaṃ vipaśyanto vimucyate // Lank_10.251 //	mAyA Adi svapna sadRSam vipaSyantaH vimucyate // Lank _10.251 //
   dauṣṭhulyavāsanāścitrāścittena saha saṃyutāḥ /	dOzWulya vAsanAH citrAH cittena saha saMyutAH /
   bahirdhā dṛśyate nṝṇāṃ na hi cittasya dharmatā // Lank_10.252 //	bahirDA dRSyate nLNAm na hi cittasya DarmatA // Lank _10.252 //
   cittasya dharmatā śuddhā na cittaṃ bhrāntisaṃbhavam /	cittasya DarmatA SudDA na cittam BrAnti saMBavam /
   bhrāntiśca dauṣṭhulyamayī tena cittaṃ na dṛśyate // Lank_10.253 //	BrAntiH ca dOzWulya mayI tena cittam na dRSyate // Lank _10.253 //
   bhrāntimātraṃ bhavettattvaṃ tattvaṃ nānyatra vidyate /	BrAnti mAtram Bavet tattvam tattvam na anyatra vidyate /
   na saṃskāre na cānyatra kiṃ tu saṃskāradarśanāt // Lank_10.254 //	na saMskAre na ca anyatra kim tu saMskAra darSanAt // Lank _10.254 //
   lakṣyalakṣaṇanirmuktaṃ yadā paśyati saṃskṛtam /	lakzya lakzaNa nirmuktam yadA paSyati saMskRtam /
   vidhūtaṃ hi bhavettena svacittaṃ paśyato jagat // Lank_10.255 //	viDUtam hi Bavet tena sva cittam paSyataH jagat // Lank _10.255 //
   cittamātraṃ samāruhya bāhyamarthaṃ na kalpayet /	cittamAtram samAruhya bAhyam arTam na kalpayet /
   tathatālambane sthitvā cittamātramatikramet // Lank_10.256 //	taTatA Alambane sTitvA cittamAtram atikramet // Lank _10.256 //
   cittamātramatikramya nirābhāsamatikramet /	cittamAtram atikramya nirABAsam atikramet /
