   ātmasiddhiḥ /	Atma sidDiH /
   tattadindriyayogyārthenaiva tattadaindriyikajñanasyeti na cākṣuṣādinā	tad tad indriya yogya arTena eva tad tad Endriyika jQanasya iti na cAkzuza AdinA
   rasādeḥ prakāśa iti hārdam / cākṣuṣādijñānasya rasādina saṃbandha eva	rasa AdeH prakASaH iti hArdam / cAkzuza Adi jQAnasya rasa Adina saMbanDaH eva
   nāstīti tu kaścana pakṣaḥ / prāguktapakṣa eva tu yuktaḥ /	na asti iti tu kaScana pakzaH / prAc ukta pakzaH eva tu yuktaH /
   indriyārthabhimukhatayā jñānasya prasaraṇe śrīmadgītāvākyaṃ pramāṇayati '	indriya arTa BimuKa tayA jQAnasya prasaraNe SrImat gItA vAkyam pramANayati a
   tadasye ' ti / " indriyāṇāṃ hi caratāṃ	tat asye a ti / " indriyANAm hi caratAm
   yanmano 'nuvidhīyate " iti pūrvārdham / ātmagrahaṇapravṛttaṃ	yat manaH anuviDIyate " iti pUrva arDam / Atma grahaNa pravRttam
   jñānamindriyārthapravaṇaṃ mana indriyadvārā viṣayābhimukhaṃ nayatītyarthaḥ	jQAnam indriya arTa pravaNam manaH indriya dvArA vizaya aBimuKam nayati iti arTaH
   indriyadvārājñānasya prasaraṇe manorvākyam ' indriyāṇā 'm iti /	indriya dvAra ajQAnasya prasaraNe manoH vAkyam a indriyANAH am iti /
   kṣarati bāhyaviṣayamabhisarati / tenendriyadvāreṇa caitanyamipi nissarati	kzarati  bAhya vizayam aBisarati / tena indriya dvAreNa cEtanyam ipi nissarati
   carmabhastrikācchidradvāreva jalamityarthaḥ /	carma BastrikA acCidra dvArA iva jalam iti arTaH /
   'aprahāyaive' ti / saṅkocavikāśaśālino	aaprahAya eve a ti / saFkoca vikASa SAlinaH 
   jñānasyātmadharmasyāparityajyaivātmasaṃbandhaṃ vikāsāvasthayā	jQAnasya Atma Darmasya aparityajya eva Atma saMbanDam vikAsa avasTayA
   bāhyārthasaṃbandho ghaṭata iti yāvat / guṇasyāpyāśrayādanyatra gamane	bAhya arTa saMbanDaH GawataH iti yAvat / guNasya api ASrayAt anyatra gamane
   nidarśanamāha ' dṛśyanta ' iti /	nidarSanam Aha a dRSyanta a iti /
   dharmyativartitvandharmideśādhikadeśasaṃbandhitvam / guṇatvaṃ	DarmI ati varti tvan Darmi deSa aDika deSa saMbanDi tvam / guNa tvam
   cāyutasiddhaprakāratvalakṣaṇaṃ dravyādravyasādhāraṇamatra vācyam,	ca ayuta sidDa prakAra tva lakzaNam dravya adravya sADAraNam atra vAcyam,
   śabdagandhayoradravyayorālokaprabhayośca dravyayorguṇatvenopādānāt /	Sabda ganDayoH adravyayoH Aloka praBayoH ca dravyayoH guNa tvena upAdAnAt /
   guṇasya gatimattvādi tu āśrayāṃśadvārā / na caivaṃ	guNasya gatimat tva Adi tu ASraya aMSa dvArA / na ca evam
   dharmyativartitvamasiddhamiti vācyam /	DarmI ativarti tvam asidDam iti vAcyam /
   prasiddhāśrayaśaṅkhapuṣpādyativartitve tātparyāt / ' dūrādgandho vātī '	prasidDa ASraya SaFKa puzpa Adi ativarti tve tAtparyAt / a dUrAt ganDaH vAtI a
   tiśrutirgandhasya gatimāha / śabdasya gatimattvaṃ 'śaṅkhanādo 'ya'	tiSrutiH ganDasya gatim Aha / Sabdasya gatimat tvam aSaFKa nAdaH aya a
   mityādyupalabdherdūre 'pi / nanvākāśaguṇatvācchabdasyāśrayadvārāpi	miti Adi upalabDeH dUre api / nanu AkASa guNa tvAt Sabdasya ASraya dvArA api
   gatirnopapadyata ityatrāha ' atisūkṣma ' iti / bhautikaḥ bhūtajanitaḥ /	gatiH na upapadyate iti atra Aha a ati sUkzma a iti / BOtikaH BUta janitaH /
   bherīdaṇḍābhighātādinodbhūte vāyau śabdo jāyate /	BerI daNxa aBiGAta AdinA udBUte vAyO SabdaH jAyate /
   āśrayavāyyaṃśaviśaraṇavaśācca nānādikṣu tasyāpi sambandho ghaṭata iti	ASraya vAyI aMSa viSaraNa vaSAt ca nAnA dikzu tasya api sambanDaH GawataH iti
   bhāvaḥ / atisūkṣmatvāddūragantṛtvaṃ vāyoḥ /	BAvaH / ati sUkzma tvAt dUra gantR tvam vAyoH /
   āśrayadharmaścāśrayayiṇyupacarita iti bodhyam /	ASraya DarmaH ca ASrayayiNI upacaritaH iti boDyam /
   nanvākāśaguṇasya śabdasya vibhutvādeva na gamanāpekṣā / yatkṛte	nanu AkASa guNasya Sabdasya viBu tvAt eva na gamana apekzA / yad kRte
   vāyavīyatvaṃ kalpyeta / vyañjakayogideśa evopalambhaniyamācca na vibhutve	vAyavIya tvam kalpyeta / vyaQjaka yogi deSaH eva upalamBa niyamAt ca na viBu tve
   'pi sarvatropalambhaprasaṅga iti śaṅkate ' nanu nabha ' iti / śabdasya	api sarvatra upalamBa prasaFgaH iti SaFkate a nanu naBa a iti / Sabdasya
   vibhutvaṃ sādhayati ' śabda ' iti / ghaṭākāśasaṃyogādau vyabhicāravāraṇāya	viBu tvam sADayati a SabdaH a iti / Gawa AkASa saMyoga AdO vyaBicAra vAraNAya
   hetau viśeṣaṇadalam / ghaṭādyekatvādau tadvāraṇāya viśeṣyam / etaddūṣayati	hetO viSezaNa dalam / Gawa Adi eka tva AdO tad vAraNAya viSezyam / etat dUzayati
   ' maiva 'm iti / svarūpāsiddhimāha ' atadguṇatvā ' diti /	a mA eva am iti / svarUpa asidDim Aha a atat guNa tvA a diti /
   ākāśaguṇatvābhāvādityarthaḥ / nanvākāśaguṇatvaṃ śabdasya śāstrasiddhaṃ	AkASa guNa tva aBAvAt iti arTaH / nanu AkASa guNa tvam Sabdasya SAstra sidDam
   kathaṃ pratikṣipyata iti cet ; ucyate / āgamānusāre ākāśasyaiva na	kaTam pratikzipyate iti ced ; ucyate / Agama anusAre AkASasya eva na
   vibhutvamiti na tarāṃ tadguṇasya vibhutvam / yuktyā tu kevalayā	viBu tvam iti na tarAm tad guNasya viBu tvam / yuktyA tu kevalayA
   vāyavīyatvameva setsyati śabdasyeti hārdam / yuktimevāha ' vāyavīya ' iti	vAyavIya tvam eva setsyati Sabdasya iti hArdam / yuktim eva Aha a vAyavIya a iti
   / vibhutvaṃ pratikṣipya nityatvamapi śabdasya pratikṣipati	/ viBu tvam pratikzipya nitya tvam api Sabdasya pratikzipati
   mīmāṃsakābhimatam ' utpadyate ce ' ti / anena vāyavīyatvānumāne śabdasya	mImAMsaka aBimatam a utpadyate ce a ti / anena vAyavIyatva anumAne Sabdasya
   hetuviśeṣyāṃśāsiddhirapi parihṛtā / nanu taduttarakālopalabhyatvaṃ	hetu viSezya aMSa asidDiH api parihRtA / nanu tad uttara kAla upalaBya tvam
   tadvyaṅgyatvādapi ghaṭetetyaprayojakatvaṃ hetoriti śaṅkāṃ	tad vyaFgya tvAt api Gaweta iti aprayojaka tvam hetoH iti SaFkAm
   pratikṣipati ' na ce ' ti /	pratikzipati a na ce a ti /
   gauravāt taddhetutvakalpanātastadabhivyaktihetutvakalpanāyāṃ gauravāt /	gOravAt  tad hetu tva kalpanAtaH tad aBivyakti hetu tva kalpanAyAm gOravAt /
   vipakṣe gauravaprasaṅgaḥ svapakṣasyānugrāhakastarka iti hṛdayam /	vipakze gOrava prasaFgaH sva pakzasya anugrAhakaH tarkaH iti hRdayam /
   abhivyaktipakṣe 'nupapattimapyāha ' abhivyañjakāśce ' ti / uccāraṇasya	aBivyakti pakze anupapattim api Aha a aBivyaQjakAH ce a ti / uccAraNasya
   varṇābhivyañjakatve yugapadeva nānāvarṇābhivyaktiprasaṅgaḥ /	varNa aBivyaQjaka tve yugapad eva nAnA varNa aBivyakti prasaFgaH /
   abhivyañjakasyaikadeśasthaikendriya grāhyasarvābhivyañjanasvābhāvyāditi	aBivyaQjakasya eka deSa sTA eka indriya grAhya sarva aBivyaQjana svABAvyAt iti
   bhāvaḥ / varṇābhivyañjakapavane vaijātyaparikalpane	BAvaH / varNa aBivyaQjaka pavane vEjAtya parikalpane
   tvatigauravam vyaktihetutvakalpanam, vyaktivyavasthityai vyañjakai	tu ati gOravam  vyakti hetu tva kalpa nam, vyakti vyavasTityE vyaQjakE
   vaijātyakalpanaṃ cetyapi bodhyam /	vEjAtya kalpanam ca iti api boDyam /
   vyañjakatve doṣamevopapādayati sārdhaślokena ' nityatve ' ti /	vyaQjaka tve dozam eva upapAdayati sArDa Slokena a nitya tve a ti /
   nityatvavādina iti ṣaṣṭhyantam / mate iti śeṣaḥ /	nitya tva vAdinaH iti zazWI antam / mate iti SezaH /
   ekāśrayakatvamekandriyagrāhyatvaṃ ca viśeṣaṇadvayeva sūcitam / tathā	ekASrayaka tvam ekandriya grAhya tvam ca viSezaNa dvayA iva sUcitam / taTA
   caikoccāreṇe sarvavyañjanaprasaṅgo vyañjakatvapakṣe iti nigamayati '	ca eka uccAreNe sarva vyaQjana prasaFgaH vyaQjaka tva pakze iti nigamayati a
   deśaikye ' iti / ' tadabhāvā ' diti / ekavyañjakavyaṅgyatvābhāvāt	deSa Ekye a iti / a tad aBAvAH a diti / eka vyaQjaka vyaFgya tva aBAvAt
   dhvaneḥ varṇasyoccāraṇaprayatnotthitaḥ koṣṭhyamārutastālvādisthāne	DvaneH varNasya uccAraNa prayatna utTitaH kozWya mArutaH tAlu Adi sTAne
   'bhighātaṃ prāpta utpādaka eva tasya tasya varṇasyetyarthaḥ /	aBiGAtam prAptaH utpAdakaH eva tasya tasya varNasya iti arTaH /
   vyaṅgyatvāsaṃbhavādutpādyatvapakṣe prasaktaṃ pratyuccāraṇaṃ	vyaFgya tva asaMBavAt utpAdya tva pakze prasaktam pratyuccAraNam
   gakārāderbhinnatvamapi sammantavyamevetyāha ' ata eve ' ti /	gakAra AdeH Binna tvam api sammantavyam eva iti Aha a atas eve a ti /
   viruddhadharmopalambhādapi bhedaṃ gādeḥ sādhayati ' kiñcodātte ' ti /	virudDa Darma upalamBAt api Bedam gAdeH sADayati a kiQca udAtte a ti /
   ādipadena tāratvamandatvādi grāhyam / ekasyaiva kālabhedena	Adipadena tAra tva manda tva Adi grAhyam / ekasya eva kAla Bedena
   viruddhānvayasambhavādyugapadbhānta ityuktam / bhāntaḥ bhāsamānāḥ /	virudDa anvaya samBavAt yugapad BAntaH iti uktam / BAntaH BAsamAnAH /
   vyañjakatvāsambhavādeva vyañjakadharmā vyaṅgyesamāropyanta ityapi	vyaQjaka tva asamBavAt eva vyaQjaka DarmAH vyaFgyesamAropyante iti api
   durvacamityāśayaḥ / nanu so 'yaṃ gakāra ityādipratyabhijñā kathaṃ	durvacam iti ASayaH / nanu saH ayam gakAraH ityAdi pratyaBijQA kaTam
   pratyuccāraṇaṃ bhede ? tatrāha ' sthānaikye ' ti /	pratyuccAraNam Bede ? tatra Aha a sTAna Ekye a ti /
   sādṛśyamūlatvādbhrāntirūpā seti bhāvaḥ // 35 // 36 //37 // 38 // 39 //	sAdRSya mUla tvAt BrAnti rUpA sA iti BAvaH // 35 // 36 //37 // 38 // 39 //
   bhavatvanubhavādūraṃ dūrādanyadvirodhi vā /	Bavatu anuBava adUram dUrAt anyat viroDi vA /
   tadbhāvaśca prakāśatvaṃ (stu) kimatra bahu jalpyate // 40 //	tad BAvaH ca prakASa tvam (stu) kim atra bahu jalpyate // 40 //
   prakāśata iti pratibhāso 'pi buddhiviprakarṣapratyanīkabodhatatsaṃsṛṣṭa	prakASate iti pratiBAsaH api budDi viprakarza pratyanIka boDa tad saMsRzwa
   padārthasvarūpavimarśa eva, bāhyaprakāśavat /	padArTa svarUpa vimarSaH eva, bAhya prakASa vat /
   tatrāpi hyāloke tadvyāptabhūbhāgādau ca prakaṭādiprakhyopākhye	tatra api hi Aloke tad vyApta BU BAga AdO ca prakawa Adi praKyA upAKye
   ālokādūratvanimitte / yathā ca tatra tannimittā santamasanivṛttiḥ,	AlokAt Ura tva nimitte / yaTA ca tatra tad nimittA santamasani vRttiH,
   evamihāpi jñānadūratvanimittā ajñānanivṛttiḥ / ata eva cānubhūte anubhave	evam iha api jQAna dUra tva nimittA ajQAna nivRttiH / atas eva ca anuBUte anuBave
   cottarakālatulyatsmaraṇam /	ca uttara kAla tulyat smaraNam /
   evaṃ ca caitanyasaṃbandhaviśeṣaviṣayavikalpo 'pyalabdhāvakāśa iti	evam ca cEtanya saMbanDa viSeza vizaya vikalpaH api alabDa avakASaH iti
   niranuyojyānuyoga eva / nairantaryapadaprayāyamatyantasāmīpyamātraṃ ca	niranuyojya anuyogaH eva / nErantarya pada prayAyam atyanta sAmIpya mAtram ca
   saṃyogaḥ / sa eva paratantrāśritaḥ	saMyogaH / saH eva paratantra ASritaH
   samavāyapadaparibhāṣābhūmirvaiśeṣikāṇāmiti nārthāntaratvamūrīkṛtya	samavAya pada pariBAzA BUmiH vESezikANAm iti na arTa antara tva mUrIkRtya
   vikalpaḥ saṃbhavati / yathā ca saṃyogāntarbhāvaḥ samavāyasya, tathā	vikalpaH saMBavati / yaTA ca saMyoga antarBAvaH samavAyasya, taTA
   saṃbandhavimarśe darśayiṣyāmaḥ / jñānādūratva prayukto	saMbanDa vimarSe darSayizyAmaH / jQAnAt Ura tva prayuktaH 
   vyavahārakṣamatālakṣaṇo vā paraḥ prakāśaḥ / sa ca satyapi	vyavahAra kzamata alakzaNaH vA paraH prakASaH / sa ca sati api
   svanimittapauṣkalye pratibandhāt yogyatāvirahādvā	sva nimitta pOzkalye pratibanDAt yogya tA virahAt vA
   vyāpitvasaṅgitvādyātmadharmāntareṣu dehendriyādau ca na sañjāyate,	vyApi tva saFgi tva Adi Atma Darma antarezu deha indriya AdO ca na san jAyate,
   cakṣussannikṛṣṭa iva kālindīpayasi rūparasādayaḥ /	cakzuH sannikRzwaH iva kAlindI payasi rUpa rasa AdayaH /
   evaṃ nityatvavibhutvapratikṣepeṇa vāyavīyaguṇatvaṃ vyavasthāpitaṃ yuktyā	evam nitya tva viBu tva pratikzepeNa vAyavIya guNa tvam vyavasTApitam yuktyA
   śabdasya visṛtvaratvaṃ ca / ātmaguṇasya caitanyasyānyatra saṃbandhamātre	Sabdasya visRtvara tvam ca / Atma guNasya cEtanyasya anyatra saMbanDa mAtre
   dṛṣṭāntaḥ śabdo gandaśca / āśrayamantarānyatra gamane dṛṣṭāntaḥ sūryāloko	dRzwAntaH SabdaH gandaH ca / ASrayam antarA ani atra gamane dRzwAntaH sUryAlokaH 
   maṇiprabhā ca / dravyarūpvādanyatra gamanaṃ saṃbhavati /	maNipraBA ca / dravya rUpvAt anI atra gamanam saMBavati /
   āśrayasaṃbandhāvicchedāttaddharmatvaṃ ca susthitamiti praghaṭṭakārthaḥ /	ASraya saMbanDa avicCedAt tad Darma tvam ca susTitam iti praGawwaka arTaH /
   evamarthasaṃbandhaścaitanyasyoktaḥ / prakāśatevyavahāraśca	evam arTa saMbanDaH cEtanyasya uktaH / prakASa tevyavahAraH ca
   caitanyasaṃbandhaprayukta ityabhipretam / atra prābhākaraḥ śaṅkate '	cEtanya saMbanDa prayuktaH iti aBipretam / atra prABAkaraH SaFkate a
   nanveva 'm iti / caitanyasaṃyogasya prakāśamānatāvyavahāraniyāmakatve	nanu eva am iti / cEtanya saMyogasya prakASamAnatA vyavahAra niyAmaka tve
   caitanye tadāśraye tadāśraye ca tadvyavahārānupapattiḥ /	cEtanye tad ASraye tad ASraye ca tad vyavahAra anupapattiH /
   caitanyasamavāyasya tathātve ca caitanyatadviṣayayostadvyavahārānupapattiḥ	cEtanya samavAyasya taTA tve ca cEtanya tad vizayayoH tad vyavahAra anupapattiH
   / caitanyasaṃbandhamātrasya tathātve cendriyāderapi prakāśaprasaṅgaḥ / ato	/ cEtanya saMbanDa mAtrasya taTA tve ca indriya AdeH api prakASa prasaFgaH / atas 
   nimittaviseṣādeva tattajjñānasya tattadarthavyavahārahetutvaṃ	nimitta visezAt eva tat tad jQAnasya tat tad arTa vyavahAra hetu tvam
   svabhāvataśca	svaBAvataH ca
   svasvāśrayavyavahārahetutvameṣṭavyamityanarthakamartacaitanyasaṃbandhakalpanamiti	svasva ASraya vyavahAra hetu tvam ezwavyam iti anarTakamarta cEtanya saMbanDa kalpanam iti
   samuditāśayaḥ / vibhudvayasya saṃyogo 'stīti pakṣe kriyāyā abhāvāttatra	samudita ASayaH / viBu dvayasya saMyogaH asti iti pakze kriyAyAH aBAvAt tatra
   saṃyogaṃ prakārāntareṇa nirvakti ' akārye ' ti /	saMyogam prakAra antareNa nirvakti a akArye a ti /
   avayavāvayavibhinnayordravyayorantarālāvyavahitasthitiḥ saṃyoga ityarthaḥ	avayava avayavi BinnayoH dravyayoH antarAlA vyavahita sTitiH saMyogaH iti arTaH
   / sa cāvibhau kriyayā / vibhvostu svata eveti bhāvaḥ / arthasaṃbandhasya	/ sa ca aviBO kriyayA / viBvoH tu svatas eva iti BAvaH / arTa saMbanDasya
   nirāsādeva tajjanyadharmāntaraprakāśapakṣo nirastaḥ / dharmāntaraprakāśe	nirAsAt eva tad janya Darma antara prakASa pakzaH nirastaH / Darma antara prakASe
   'nupalabdhibādhamapyāha ' tattvāntare ' ti / ' aparyanuyojya 'm iti /	anupalabDi bADam api Aha a tattva antare a ti / a aparyanuyojya am iti /
   svayameva svasya vyavahārahetuḥ, svāśrayasya svasamavāyāt, viṣayasya tu	svayam eva svasya vyavahAra hetuH, sva ASrayasya sva samavAyAt, vizayasya tu
   svanimittānusāratā iti prayojakavaiṣamyaṃ na dūṣaṇāvahamityarthaḥ /	sva nimitta anusAra tA iti prayojaka vEzamyam na dUzaNa Avaham iti arTaH /
   gurumate 'pyukte doṣamāha vimarśakaḥ ' ucyate ' iti /	guru mate api ukte dozam Aha vimarSakaH a ucyate a iti /
   svanimittakāraṇavatyeva deśe svakāryajanakatvamadṛṣṭamanyatreti	sva nimitta kAraNavatI eva deSe sva kArya janaka tvam adRzwam anyatra iti
   indriyasannikarṣavatyevārthejñānena vyavahāro niṣpādyata iti na	indriya sannikarzavatI A iva arTejQAnena vyavahAraH nizpAdyate iti na
   samyagiti bhāvaḥ / dūṣaṇāntara mapyāha ' vyavahāre ' ti /	samyak iti BAvaH / dUzaNa antara mapi Aha a vyavahAre a ti /
   jñātṛjñeyayoḥsvavyavahārānuguṇajñānakatvalakṣaṇaḥ prakāśaḥ / jñānasya tu	jQAtR jQeyayoH sva vyavahAra anuguNa jQAnaka tva lakzaNaH prakASaH / jQAnasya tu
   svavyavahārānuguṇajñānatvalakṣaṇaḥ sa iti triṣvanugataḥ prakāśapadārtho	sva vyavahAra anuguNa jQAna tva lakzaNaH saH iti trizu anugataH prakASa padArTaH 
   nāstyanugatavyavahāraniyāmaka ityarthaḥ / nanu jñānādhīnaṃ	na asti anugata vyavahAra niyAmakaH iti arTaH / nanu jQAna aDInam
   vyavahārānuguṇyamevāstu prakāśaḥ / sa cānugata ityatrāha ' vyavahārodaye '	vyavahAra anuguNyam eva astu prakASaH / sa ca anugataH iti atra Aha a vyavahAra udaye a
   ti / vyavahārayogyatārūpaprakāśasya vyavahārata evānumeyatayā	ti / vyavahAra yogya tA rUpa prakASasya vyavahArataH eva anumeya tayA
   vyavahārātpūrvameva jāyamānau	vyavahArAt pUrvam eva jAyamAnO
   viditatvapratītivyavahārāvanupapannāvityarthaḥ /	vidita tva pratIti vyavahArO= anupapannO= iti arTaH /
   evaṃ vimarśakena prakāśapadārtha ākṣipte taṭasthaḥ śaṅkate ' yadyeva 'm	evam vimarSakena prakASa padArTaH Akzipte tawa sTaH SaFkate a yadi eva am
   iti / ' na hī ' ti / jñānasaṃbandhamātrasyāprakāśamānārthasādhāraṇyāt	iti / a na hI a ti / jQAna saMbanDa mAtrasya aprakASa mAna arTa sADAraNyAt 
   samavāyādeścānanugatatvādanyūnānatiriktaḥ prakāśatepadārtho durnirūpa	samavAya AdeH ca ananugata tvAt anyUnA anatiriktaH prakASa tepadArTaH durnirUpa
   ityarthaḥ / prakāśatepadārthaḥ prakāśatepadaghaṭakaprakṛtipratyayārthaḥ /	iti arTaH / prakASa tepadArTaH  prakASa tepada Gawaka prakRti pratyaya arTaH /
   siddhāntī samādhatte ' ucyate ' ityādinā / prathamādhikaraṇasyeti	sidDAntI samADatte a ucyate a ityAdinA / praTama aDikaraNasya iti
   śaiṣikaṣaṣṭhī / anubhave smṛtim  anubhavavisayiṇīṃ smṛtim / '	SEzika zazWI / anuBave smRtim  anuBava visayiNIm smRtim / a
   anubhavādūratva 'm iti / viṣayasyevānubhavasyāpyanubhavādūratvamastyeveti	anuBavAdUra tva am iti / vizayasya iva anuBavasya api anuBavAdUra tvam asti eva iti
   smṛtarupapadyata iti yāvat / nanvastu nāmaitat / prakṛta kimāyātam ?	smRtar upapadyate iti yAvat / nanu astu nAma etat / prakRta kim AyAtam ?
   tatrāha ' etadukta 'm iti / saṃvidadūratvaṃ saṃvido 'pyastītyuktaprāyam /	tatra Aha a etat ukta am iti / saMvid adUra tvam saMvidaH api asti iti ukta prAyam /
   tadrūpa eva prakāśapadārthastriṣvanugata ityuktaṃ bhavatītyarthaḥ/	tad rUpaH eva prakASa padArTaH trizu anugataH iti uktam Bavati iti arTaH/
   śaṅkate ' kimida 'm iti / naño nānārthatvātprakṛteta kor'tha iti jijñāsayā	SaFkate a kim ida am iti / naQaH nAnA arTa tvAt prakRteta kor aTa iti jijQAsayA
   śaṅkā / naño yaṃ kañcanāpyarthamabhyupagamya śaṅkāntaraṃ ' tathe ' ti /	SaFkA / naQaH yam kaQcana api arTam aByupagamya SaFkA antaram a taTe a ti /
   dūrabhedādeḥ prakāśapadārthatve dūrajñānāpūrvikayaiva tatpratītyā	dUra Beda AdeH prakASa padArTa tve dUra jQAna ApUrvikayA eva tat pratItyA
   bhavitavyam / na ca tathopalabhyate / tasyopalakṣaṇateve	Bavitavyam / na ca taTA upalaByate / tasya upalakzaNa teve
   tūpalakṣyākārāntaraṃ vācyam / nacatadasti / evaṃ pakṣadvaye	tu upalakzya AkAra antaram vAcyam / nacatat asti / evam pakza dvaye
   'pyanupapattipratītiḥ śaṅkabījam / vikalpāsahatvātsaṃvidadūratvaṃ na	api anupapatti pratItiH SaFkabIjam / vikalpa asaha tvAt saMvid adUra tvam na
   prakāśaḥ syādityākṣepo vā ' ki ' mityādiḥ / pariharati ' ucyate ' iti /	prakASaH syAt iti AkzepaH vA a ki a miti AdiH / pariharati a ucyate a iti /
   prathamavikalpaṃ prativakti ' bhavatvanubhave ' ti / dvitīyakalpaṃ	praTama vikalpam prativakti a Bavatu anuBave a ti / dvitIya kalpam
   prativakti ' tadbhāvaśce ' ti /	prativakti a tad BAvaH ce a ti /
   anubhavadūrabhinnatvamanubhavadūravirodhitvaṃ vā	anuBavadUra Binna tvam anuBava dUra viroDi tvam vA
   prakāśatvam prakāśamānatvam, prakāśapadārtha iti yāvat / atrānubhavapadaṃ	prakASa tvam  prakASa mAna tvam, prakASa padArTaH iti yAvat / atra anuBava padam
   jñānasāmānyārthakam / atredaṃ hārdam śākhā candra	jQAna sAmAnya arTakam / atra idam hArdam SAKA candra
   ityādivadupalakṣyopalakṣaṇayoḥ sāmānādhikaraṇyanirdeśaḥ ' tadbhāvaśca	iti Adi vat upalakzya upalakzaNayoH sAmAnADikaraNya nirdeSaH a tad BAvaH ca
   prakāśatva 'm iti / tathā ca saṃvidadūratvopalakṣito dharmaḥ prakāśa iti	prakASa tva am iti / taTA ca saMvid adUra tva upalakzitaH DarmaH prakASaH iti
   ato yathoktanītyā'tmā svataścaitanyavigrahaḥ/	atas yaTA uktanItyA atmA svatas cEtanya vigrahaH/
   jñā(bhā)nasvabhāva evānyatkaraṇaiḥ pratipadyate //41//	jQA(BA)na svaBAvaH eva anyat karaNEH pratipadyate //41//
   yattu sukhādinidarśanenātmaviśeṣaguṇatayā citerāgantukatvamupapāditam,	yat tu suKa Adi nidarSanena Atma viSeza guNa tayA citeH Agantuka tvam upapAditam,
   tadapi guṇavṛttāparijñānena; yataḥ	tat api guNa vRtta aparijQAnena; yatas 
   prakāśapadārthavicāro vṛttaḥ prāsaṅgikaḥ / viṣayavittivelāyāmevātmano	prakASa padArTa vicAraH vRttaH prAsaFgikaH / vizaya vitti velAyAm eva AtmanaH 
   vittyadhīnaḥ prakāśa iti vādasya nirāsārthaṃ prāg yatsamarthitaṃ	vitti aDInaH prakASaH iti vAdasya nirAsa arTam prAk yat samarTitam
   jñānasvabhāvatvamātmano 'nyāpekṣaprakāśatvaṃ ca, tannigamayati ata iti	jQAna svaBAva tvam AtmanaH anya apekza prakASa tvam ca, tat nigamayati atas iti
   kārikayā / yato jñeyajñānajñātṛsādhāraṇaḥ prakāśo nirvaktuṃ śakyate, ataḥ	kArikayA / yatas jQeya jQAna jQAtR sADAraNaH prakASaH nirvaktum Sakyate, atas 
   pakṣasapakṣānugataprakāśasiddhyā sajātīyetikārikoktayuktayā	pakza sa pakza anugata prakASa sidDyA sa jAtIya iti kArikA ukta yuktayA
   svādhīnasvaprakāśa ātmā siddhaḥ / sa ca jñānasvabhāvaka eva /	svADIna sva prakASaH AtmA sidDaH / sa ca jQAna svaBAvakaH eva /
   natvāgantukamasya jñānam / cakṣurādinā prasṛtācca	natu Agantukam asya jQAnam / cakzuH AdinA prasRtAt ca
   dharmabhūtajñānādarthāntarasyāpi prakāśako bhavatyātmeti kārikārthaḥ /	Darma BUta jQAnAt arTa antarasya api prakASakaH Bavati AtmA iti kArikA arTaH /
   hānasvabhāva iti prācīnamudritapāṭhastu na samīcīnaḥ //41//	hAna svaBAvaH iti prAcIna mudrita pAWaH tu na samIcInaH //41//
   svarūpopādhayo dharmā yāvadāśrayabhāvinaḥ /	svarUpa upADayaH DarmAH yAvat ASraya BAvinaH /
   naivaṃ sukhādi bodhastu svarūpopādhirātmanaḥ //42//	na evam suKa Adi boDaH tu svarUpa upADiH AtmanaH //42//
   yathā ca bodhopādhirātmabhāvaḥ, tathopapāditam / sukhaduḥkhe ca	yaTA ca boDa upADiH Atma BAvaH, taTA upapAditam / suKa duHKe ca
   nātmadharmo, indriyasauṣṭhavanāśayoreva tadbhāvopapādanāt / vyākariṣyate	na Atma Darmo, indriya sOzWava nASayoH eva tad BAva upapAdanAt / vyAkarizyate
   caitadantimapadārthasamarthanāvasara iti sādhanavikalatā ca nidarśanasya /	ca etad antima padArTa samarTana avasaraH iti sADana vikala tA ca nidarSanasya /
   rāgadveṣādayo 'pi manovasthāviśeṣāḥ na sākṣādātmaguṇāḥ / vijñāyate hi	rAga dveza AdayaH api manaH vasTA viSezAH na sAkzAt Atma guNAH / vijQAyate hi
   "kāmaḥ saṅkalpo vicikitsā śraddhāśraddhā	"kAmaH saFkalpaH vicikitsA SradDA aSradDA
   dhṛtiradhṛtirhnīrdhīrbhīrityetatsarvaṃ mana eve"ti / gīyate ca 'icchā	DRtiH aDRtiH hnIH DIH BIH iti etat sarvam manaH eva i"ti / gIyate ca aicCA
   dveṣaḥ sukhaṃ duḥkha'miti / 'cetanādhṛti'riti kṣetralakṣaṇamaikapadyena /	dvezaH suKam duHKa am iti / acetana ADRti ariti kzetra lakzaNam Ekapadyena /
   cetanayā dhriyamāṇaḥ saṅghāto hi dehaḥ / svavṛttyanuguṇacaitanyamātrādeva	cetanayA DriyamANaH saFGAtaH hi dehaH / sva vRtti anuguNa cEtanya mAtrAt eva
   pravartamānaṃ kṣetramiti yāvat / ata eva hyantaryāmibrāhnāṇe 'yasya	pravartamAnam kzetram iti yAvat / atas eva hi antaryAmi brAhnANe ayasya
   pṛthivī śarīram' 'yasyāpaḥ śarīram' 'yasyātmā śarīra'mityādinirdeśaḥ /	pRTivI SarIram a ayasya apaH SarIram a ayasya AtmA SarIra am ityAdi nirdeSaH /
   'tāni sarvāṇi tadūpu'riti ca purāṇe /	atAni sarvANi tadUpu ariti ca purANe /
