   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   sattvaṃ rajas tamaś caiva Yj_3.182a	sattvam rajaH tamaH ca eva Yt _3.182a
   satpātre samanujñātaṃ Ang_2,8.13a	sat pAtre samanujQAtam Ank _2,8.13a
   satpratigraha eva ca Mn_10.115d	sat pratigrahaH eva ca M= _10.115d
   satyadharmaparo nṛpaḥ K_001d	satya Darma paraH nRpaH K_001d
   satyadharmaratau sthitaḥ Nar_20.40b	satya Darma ratO sTitaH Nar_20.40b
   satyadharmāryavṛtteṣu Mn_4.175a	satya Darma Arya vRttezu M= _4.175a
   satyadharme vyavasthitaḥ Yj_2.110b	satya Darme vyavasTitaH Yt _2.110b
   satyanyātanaye tāvan  Ang_1.439a	satya nyAtanaye tAvan Ank _1.439a
   satyapūtāṃ vaded vācaṃ Mn_6.46c	satya pUtAm vadet vAcam M= _6.46c
   satyam arthaṃ ca saṃpaśyed Mn_8.45a	satyam arTam ca saMpaSyet M= _8.45a
   satyam asteyam akrodho Yj_3.66a	satyam asteyam akroDaH Yt _3.66a
   satyam ātmā manuṣyasya Nar_1.204a	satyam AtmA manuzyasya Nar_1.204a
   satyamāhātmyakīrtanaiḥ Nar_1.182b	satya mAhAtmya kIrtanEH Nar_1.182b
   satyam uktvā tu vipreṣu Mn_11.196[195M]a	satyam uktvA tu viprezu M= _11.196[195M]a
   satyam eva paraṃ tapaḥ Nar_1.195b	satyam eva param tapaH Nar_1.195b
   satyam eva paraṃ dānaṃ Nar_1.195a	satyam eva param dAnam Nar_1.195a
   satyameva parā gatiḥ Ang_2,3.2d	satyam eva parA gatiH Ang_2,3.2d
   satyam eva paro dharmo Nar_1.195c	satyam eva paraH DarmaH Nar_1.195c
   satyam eva vadet tataḥ Nar_1.206d	satyam eva vadet tatas Nar_1.206d
   satyam eva viśiṣyate Nar_1.192d	satyam eva viSizyate Nar_1.192d
   satyavrataparāyaṇāḥ Yj_3.185d	satya vrata parAyaNAH Yt _3.185d
   satyasaṃjñikanāmakāḥ Ang_1.671b	satya saMjQika nAmakAH Ank _1.671b
   satyasaṃdhena śucinā Yj_1.355c	satya saMDena SucinA Yt _1.355c
   satyas tadardhikaḥ pāda  Yj_2.208c	satyaH tad arDikaH pAda Yt _2.208c
   satyaṃkārakṛtaṃ dravyaṃ Yj_2.61c	satyaMkAra kRtam dravyam Yt _2.61c
   satyaṃkāraprayojanam K_541d	satyaMkAra prayojanam K_541d
   satyaṃkāravisaṃvāde K_541a	satyaMkAra visaMvAde K_541a
   satyaṃ ca tulayā dhṛtam Nar_1.192b	satyam ca tulayA DRtam Nar_1.192b
   satyaṃ caiva kṛte yuge Mn_1.81b	satyam ca eva kRte yuge M= _1.81b
   satyaṃ caivānṛtena ca Par_1.30b	satyam ca eva anRtena ca Par_1.30b
   satyaṃ tvartena vidhinā Ang_1.824a	satyam tvA Rtena viDinA Ang_1.824a
   satyaṃ devāḥ samāsena Nar_1.196a	satyam devAH samAsena Nar_1.196a
   satyaṃ putraśatād varam Nar_1.193d	satyam putra SatAt varam Nar_1.193d
   satyaṃ brūyāt priyaṃ brūyān Mn_4.138a	satyam brUyAt priyam brUyAt M= _4.138a
   satyaṃ brūyādaśeṣataḥ Ang_2,3.5b	satyam brUyAt aSezatas Ank _2,3.5b
   satyaṃ brūhīti pārthivam Mn_8.88b	satyam brUhi iti pArTivam M= _8.88b
   satyaṃ brūhy anṛtaṃ tyaktvā Nar_1.197a	satyam brUhi anRtam tyaktvA Nar_1.197a
   satyaṃ mithyottaraṃ caiva K_165a	satyam miTyA uttaram ca eva K_165a
   satyaṃ yatrānṛtena ca Mn_8.14b	satyam yatra anRtena ca M= _8.14b
   satyaṃ yatrānṛtena ca K_073b	satyam yatra anRtena ca K_073b
   satyaṃ yatrānṛtena ca Nar_M3.7b	satyam yatra anRtena ca Nar_M3.7b
   satyaṃ vadoddharātmānaṃ Nar_1.201c	satyam vada udDara AtmAnam Nar_1.201c
   satyaṃ vāhanaśastrāṇi Nar_20.2a	satyam vAhana SastrANi Nar_20.2a
   satyaṃ sākṣye bruvan sākṣī Mn_8.81a	satyam sAkzye bruvan sAkzI M= _8.81a
   satyaṃ svargasya sopānaṃ Nar_1.191c	satyam svargasya sopAnam Nar_1.191c
   satyā na bhāṣā bhavati Mn_8.164a	satyA na BAzA Bavati M= _8.164a
   satyānṛtavibhāgasya Nar_20.30a	satya anRta viBAgasya Nar_20.30a
   satyānṛtavibhāvanāḥ Nar_20.7d	satya anRta viBAvanAH Nar_20.7d
   satyānṛtaṃ tu vāṇijyaṃ Mn_4.6a	satya anRtam tu vANijyam M= _4.6a
   satyānṛtābhyām api vā Mn_4.4c	satya anRtAByAm api vA M= _4.4c
   satyā bhāṣā na bhavati Nar_M2.15a	satyA BAzA na Bavati Nar_M2.15a
   satyām anyāṃ savarṇāyāṃ Yj_1.88a	satyAm anyAm savarNAyAm Yt _1.88a
   satyāś cāsatyadarśanāḥ Nar_M1.63b	satyAH ca asatya darSanAH Nar_M1.63b
   satyāsatyānyathāstotrair Yj_2.204a	satya asatyAnyaTA stotrEH Yt _2.204a
   satyena jagataḥ spaśaḥ Mn_8.116d	satyena jagataH spaSaH M= _8.116d
   satyena dyotate raviḥ Ang_2,3.1b	satyena dyotate raviH Ank _2,3.1b
   satyena dyotate rājā Ang_2,3.1a	satyena dyotate rAjA Ank _2,3.1a
   satyena dyotate vahniḥ Ang_2,3.1c	satyena dyotate vahniH Ank _2,3.1c
   satyena pūyate sākṣī Mn_8.83a	satyena pUyate sAkzI M= _8.83a
   satyena bhava me 'mṛtam Yj_2.110d	satyena Bava me amRtam Yt _2.110d
   satyena mābhirakṣa tvaṃ Yj_2.108a	satyena mA aBirakza tvam Yt _2.108a
   satyena vāyuḥ pavate Nar_1.194c	satyena vAyuH pavate Nar_1.194c
   satyena śāpayed vipraṃ Mn_8.113a	satyena SApayet vipram M= _8.113a
   satyena śāpayed vipraṃ Nar_1.181a	satyena SApayet vipram Nar_1.181a
   satyena svargam eṣyasi Nar_1.197b	satyena svargam ezyasi Nar_1.197b
   satyena hy anṛtena ca Yj_3.170d	satyena hi anRtena ca Yt _3.170d
   satyenāpaḥ sravanti ca Nar_1.194d	satyena apaH sravanti ca Nar_1.194d
   satyenāsyāmṛtībhava Nar_20.40d	satyena asya amRtIBava Nar_20.40d
   satyenaiva viśudhyanti Ang_2,3.4a	satyena eva viSuDyanti Ank _2,3.4a
   satyenodeti bhāskaraḥ Nar_1.194b	satyena udeti BAskaraH Nar_1.194b
   satye sarvaṃ pratiṣṭhitam Nar_1.204b	satye sarvam pratizWitam Nar_1.204b
   satye sarvaṃ pratiṣṭhitam Ang_2,3.1d	satye sarvam pratizWitam Ang_2,3.1d
   satyaurase tatsamo 'yaṃ Ang_1.420a	satya Orase tad samaH ayam Ank _1.420a
   satrivratibrahmacāri  Yj_3.28c	sa tri vrati brahmacAri Yt _3.28c
   sa trīṇy ahāny upavased Mn_11.157[156M]c	sa trINi ahAni upavaset M= _11.157[156M]c
   sa trīn etān bibharti hi Mn_6.89d	sa trIn etAn biBarti hi M= _6.89d
   satreṣvevaṃ gataṃ gatam Ang_1.38b	satrezu evam gatam gatam Ank _1.38b
   satvaco 'nagnidūṣitāḥ Mn_2.47d	sa tvacaH anagni dUzitAH M= _2.47d
   sa tv apsu taṃ ghaṭaṃ prāsya Mn_11.187[186M]a	sa tu apsu tam Gawam prAsya M= _11.187[186M]a
   satsu sākṣiṣu vai bhṛguḥ K_231d	satsu sAkzizu vE BRguH K_231d
   satsvauraseṣu mukhyatvāt Ang_1.468a	sat su Orasezu muKya tvAt Ank _1.468a
   sa dagdhavya upetaś ced Yj_3.2c	sa dagDavyaH upetaH ced Yt _3.2c
   sadaṇḍam abhiyogaṃ ca K_454c	sa daNxam aBiyogam ca K_454c
   sa daṇḍaṃ prāpnuyān māṣaṃ Mn_8.319c	sa daNxam prApnuyAt mAzam M= _8.319c
   sa daṇḍyas tatra coravat Nar_12.32d	sa daNxyaH tatra cora vat Nar_12.32d
   sa daṇḍyaḥ kṛṣṇalāny aṣṭau Mn_8.215c	sa daNxyaH kRzNalAni azwO M= _8.215c
   sa daṇḍyaḥ parikīrtitaḥ K_780d	sa daNxyaH parikIrtitaH K_780d
   sa daṇḍyo na tv atikramī K_106d	sa daNxyaH na tu atikramI K_106d
   sa dattvā nirjitāṃ vṛddhiṃ Mn_8.154c	sa dattvA nirjitAm vRdDim M= _8.154c
   sa dadyāt prathamaṃ gobhiḥ Yj_3.299c	sa dadyAt praTamam goBiH Yt _3.299c
   sa darśastādṛśasyānu  Ang_1.624c	sa darSaH tAdRSasya anu Ank _1.624c
   sadā kuryān narādhipaḥ K_241d	sadA kuryAt narADipaH K_241d
   sadācāram atandritaḥ Mn_4.155d	sat AcAram atandritaH M= _4.155d
   sadācārasya viprasya Par_12.61(60)a	sat AcArasya viprasya Par_12.61(60)a
   sadā cittaṃ narendrāṇāṃ K_004c	sadA cittam narendrANAm K_004c
   sadā triṣavaṇaṃ snāyāt Ang_2,12.2a	sadA trizavaNam snAyAt Ank _2,12.2a
   sadā durbala eva vai Ang_1.312d	sadA durbalaH eva vE Ang_1.312d
   sa dānamānasatkāraiḥ Yj_2.189c	sa dAna mAna satkArEH Yt _2.189c
   sadānenaiva kurvīta Ang_1.188a	sa dAnena eva kurvIta Ang_1.188a
   sadāpy asāhasaṃ pūrvaṃ YSS_2.4c	sadA api asAhasam pUrvam YSH _2.4c
   sa dāpyas taddhanaṃ kṛtsnaṃ K_652c	sa dApyaH tad Danam kRtsnam K_652c
   sa dāpyaḥ pūrvasāhasam Mn_9.281d	sa dApyaH pUrva sAhasam M= _9.281d
   sa dāpyaḥ pūrvasāhasam K_671d	sa dApyaH pUrva sAhasam K_671d
   sa dāpyaḥ prathamaṃ damam Yj_2.188d	sa dApyaH praTamam damam Yt _2.188d
   sa dāpyo damam uttamam Yj_2.240d	sa dApyaH damam uttamam Yt _2.240d
   sa dāpyo damam uttamam Yj_2.243d	sa dApyaH damam uttamam Yt _2.243d
   sa dāpyo damam uttamam K_290d	sa dApyaH damam uttamam K_290d
   sa dāpyo damam uttamam K_954d	sa dApyaH damam uttamam K_954d
   sa dāpyo dviguṇaṃ damam Yj_2.231b	sa dApyaH dviguNam damam Yt _2.231b
   sa dāpyo 'ṣṭaguṇaṃ daṇḍaṃ Yj_2.82c	sa dApyaH azwaguNam daNxam Yt _2.82c
   sadā prahṛṣṭayā bhāvyaṃ Mn_5.150[148M]a	sadA prahRzwayA BAvyam M= _5.150[148M]a
   sadā sajjanagarhitaḥ Mn_10.38d	sadA sat jana garhitaH M= _10.38d
   sadā sadbhir anuṣṭhitaḥ Mn_3.147[137M]d	sadA sadBiH anuzWitaH M= _3.147[137M]d
   sadā sūtakitā tasya YS182v_3.13c	sadA sUtakitA tasya YS182u _3.13c
   sadā svastrīṃ nirīkṣayet Par_10.16d	sadA sva strIm nirIkzayet Par_10.16d
   sadā svastho na laṅghayet Ang_1.322b	sadA svasTaH na laFGayet Ank _1.322b
   sa dīrghasyāpi kālasya Mn_8.216c	sa dIrGasya api kAlasya M= _8.216c
   sa duhyād daśato varām Mn_8.231b	sa duhyAt daSataH varAm M= _8.231b
   sadṛśastrīṣu jātānāṃ Mn_9.125a	sadRSa strIzu jAtAnAm M= _9.125a
   sadṛśaṃ tu prakuryād yaṃ Mn_9.169a	sadRSam tu prakuryAt yam M= _9.169a
   sadṛśaṃ prītisaṃyuktaṃ Mn_9.168c	sadRSam prIti saMyuktam M= _9.168c
   sadṛśān eva tān āhur Mn_10.6c	sadRSAn eva tAn AhuH M= _10.6c
   sadṛśenopamantritā Mn_11.177[176M]b	sadRSena upamantritA M= _11.177[176M]b
   sadṛśair eva bhāvayet K_348b	sadRSEH eva BAvayet K_348b
   sadṛśo 'sadṛśo 'pi vā Mn_9.174d	sadRSaH asadRSaH api vA M= _9.174d
   sadevāsuramānavam Yj_1.356b	sa deva asura mAnavam Yt _1.356b
   sadevāsuramānavam Yj_3.118b	sa deva asura mAnavam Yt _3.118b
   sa devāṃs tarpayed dvijaḥ Yj_1.41b	sa devAn tarpayet dvijaH Yt _1.41b
   sadaivābhayadakṣiṇam Mn_8.303d	sadA eva aBaya dakziNam M= _8.303d
   sadaivikāni khyātāni Ang_1.683a	sadA evikAni KyAtAni Ank _1.683a
   sadoṣakaṃ ca sadveṣaṃ Ang_1.743c	sa dozakam ca sa dvezam Ank _1.743c
   sadoṣam api tat krītaṃ K_696c	sa dozam api tat krItam K_696c
   sadoṣam api vikrītaṃ Nar_9.7c	sa dozam api vikrItam Nar_9.7c
   sadoṣaṃ yaḥ prayacchati Nar_8.7b	sa dozam yaH prayacCati Nar_8.7b
   sadoṣaṃ vyāhataṃ pitrā K_554c	sa dozam vyAhatam pitrA K_554c
   sadohaś cāṣṭame 'hani Nar_6.11d	sa dohaH ca azwame ahani Nar_6.11d
   saddānamānasatkārān Yj_1.339c	sat dAna mAna satkArAn Yt _1.339c
   sadbhāgakaraśulkaṃ ca K_947a	sat BAga kara Sulkam ca K_947a
   sadbhāvaṃ divyadṛṣṭena K_231c	sadBAvam divya dRzwena K_231c
   sadbhir ācaritaṃ yat syād Mn_8.46a	sadBiH Acaritam yat syAt M= _8.46a
   sadbhirukto 'thavā gṛṇan Ang_1.1058d	sadBiH uktaH aTavA gRNan Ank _1.1058d
   sadbhir nindita eva ca Mn_3.165[155M]d	sadBiH ninditaH eva ca M= _3.165[155M]d
   sadbhiḥ sādhvīti cocyate Mn_5.165[163M]d	sadBiH sADvI iti ca ucyate M= _5.165[163M]d
   sadbhiḥ sādhvīti cocyate Mn_9.29d	sadBiH sADvI iti ca ucyate M= _9.29d
   sadbhūtaguṇavādinām Par_8.8d	sat BUta guNa vAdinAm Par_8.8d
   sadya eva na saṃśayaḥ Ang_1.882d	sadyas eva na saMSayaH Ang_1.882d
   sadya eva piturdrohī Ang_1.604c	sadyas eva pituH drohI Ang_1.604c
   sadya eva prakartavyam Ang_1.176c	sadyas eva prakartavyam Ank _1.176c
   sadya eva prakartavyaṃ Ang_1.1074a	sadyas eva prakartavyam Ank _1.1074a
   sadya eva pradīyate K_512d	sadyas eva pradIyate K_512d
   sadya eva prahīyate K_199b	sadyas eva prahIyate K_199b
   sadya eva brāhmaṇebhyo Ang_1.550a	sadyas eva brAhmaNeByaH Ank _1.550a
   sadya eva rucikrayaḥ K_711d	sadyas eva ruci krayaH K_711d
   sadya eva vimuktaḥ syāt Ang_1.160a	sadyas eva vimuktaH syAt Ank _1.160a
   sadya eva vivādayet K_151d	sadyas eva vivAdayet K_151d
   sadya eva vivādayet K_153b	sadyas eva vivAdayet K_153b
   sadya eva vivādayet Nar_M1.39d	sadyas eva vivAdayet Nar_M1.39d
   sadya eva viśudhyati Mn_5.78[77M]d	sadyas eva viSuDyati M= _5.78[77M]d
   sadya eva śucirbhavet Ang_2,9.14d	sadyas eva SuciH Bavet Ang_2,9.14d
   sadya eveti vacanāt K_512c	sadyas eva iti vacanAt K_512c
   sadyaścaṇḍālatāṃ vrajet Ang_1.109d	sadyas caNxAla tAm vrajet Ang_1.109d
   sadyaścaṇḍālatāṃ vrajet Ang_1.122d	sadyas caNxAla tAm vrajet Ang_1.122d
   sadyaścaṇḍālatāṃ vrajet Ang_1.211b	sadyas caNxAla tAm vrajet Ank _1.211b
   sadyaścedvamanaṃ tanna Ang_1.175c	sadyas ced vamanam tat naH Ank _1.175c
   sadyas tv apriyavādinī Mn_9.81d	sadyas tu apriya vAdinI M= _9.81d
   sadyaḥ kāryo 'rdhapādikaḥ Mn_8.325d	sadyas kAryaH arDapAdikaH M= _8.325d
   sadyaḥ kṛteṣu kāryeṣu K_153a	sadyas kRtezu kAryezu K_153a
   sadyaḥ kṛte sadya eva K_154a	sadyas kRte sadyas eva K_154a
   sadyaḥ pakvaṃ bhaveddhi vai Ang_1.73d	sadyas pakvam Bavet hi vE Ank _1.73d
   sadyaḥ patati jātitaḥ Mn_10.97d	sadyas patati jAtitaH M= _10.97d
   sadyaḥ patati māṃsena Mn_10.92a	sadyas patati mAMsena M= _10.92a
   sadyaḥ patati varṇataḥ Ang_1.338b	sadyas patati varNataH Ank _1.338b
   sadyaḥ patnyādibhirvṛtaḥ Ang_1.486b	sadyas patnI AdiBiH vRtaH Ank _1.486b
   sadyaḥ putrādhiko bhavet Ang_1.442d	sadyas putra aDikaH Bavet Ang_1.442d
   sadyaḥ prakṣālako vā syān Mn_6.18a	sadyas prakzAlakaH vA syAt M= _6.18a
   sadyaḥ prāṇān parityajet Mn_11.79[78M]b	sadyas prANAn parityajet M= _11.79[78M]b
   sadyaḥ phalati gaur iva Mn_4.172b	sadyas Palati gOH iva M= _4.172b
   sadyaḥ śāpapradānāyod  Ang_1.715a	sadyas SApa pradAna Aya ud Ank _1.715a
   sadyaḥśaucaṃ vidhīyate Mn_5.94[93M]b	sadyaHSOcam viDIyate M= _5.94[93M]b
   sadyaḥ śaucaṃ vidhīyate Yj_3.29d	sadyas SOcam viDIyate Yt _3.29d
   sadyaḥ śaucaṃ vidhīyate Par_3.10d	sadyas SOcam viDIyate Par_3.10d
   sadyaḥśaucaṃ vidhīyate Par_3.40d	sadyaHSOcam viDIyate Par_3.40d
   sadyaḥ śaucāḥ prakīrtitāḥ Par_3.20d	sadyas SOcAH prakIrtitAH Par_3.20d
   sadyaḥ śrāddhāṅgatarpaṇam Ang_1.880b	sadyas SrAdDa aFga tarpaNam Ank _1.880b
   sadyaḥ sabalavāhanam Mn_9.313d	sadyas sa bala vAhanam M= _9.313d
   sadyaḥ saṃtiṣṭhate yajñas Mn_5.98[97M]c	sadyas saMtizWate yajQaH M= _5.98[97M]c
   sadyaḥ stanyarasagrahāt Ang_1.405b	sadyas stanya rasa grahAt Ank _1.405b
   sadyaḥ snātvā śucir bhavet Par_3.11d	sadyas snAtvA SuciH Bavet Par_3.11d
   sadyaḥ snātvā śucir bhavet Par_5.9d	sadyas snAtvA SuciH Bavet Par_5.9d
   sadyaḥ snātvā spṛśed agniṃ YSS_1.4Ac	sadyas snAtvA spRSet agnim YSH _1.4Ac
   sadyaḥ snānena śudhyati YS99v_64d	sadyas snAnena SuDyati YS99u _64d
   sadyaḥ spaṣṭaṃ vivādayet K_341d	sadyas spazwam vivAdayet K_341d
   sadyo deśāntaraṃ vrajet Ang_1.52b	sadyas deSa antaram vrajet Ank _1.52b
   sadyo deśāntare pitroḥ Ang_1.51a	sadyas deSa antare pitroH Ank _1.51a
   sadyo naṣṭā bhaveyurhi Ang_1.833a	sadyas nazwA BaveyuH hi Ank _1.833a
   sadyo niḥsaṃśayaḥ pāpo Ang_2,2.2a	sadyas niHsaMSayaH pApaH Ank _2,2.2a
   sadyo bandhanam arhati K_200b	sadyas banDanam arhati K_200b
   sadyomūlaḥ paṇyamatiḥ Ang_1.526a	sadyomUlaH paNya matiH Ank _1.526a
   sadyo vā kāmajaiś cihnaiḥ Yj_2.283c	sadyas vA kAma jEH cihnEH Yt _2.283c
   sadyo vā sabhikenaiva K_937c	sadyas vA saBikena eva K_937c
   sadyo vilayamāyānti Ang_1.902a	sadyas vilayam AyAnti Ank _1.902a
   sadyo vilayameti vai Ang_1.24d	sadyas vilayam eti vE Ank _1.24d
   sadyo vilayameṣyati Ang_1.99b	sadyas vilayam ezyati Ank _1.99b
   sadyo vaikāhapañcāha  K_146a	sadyas vA ekAha paQca aha K_146a
   sadyo hainyamavāpnoti Ang_1.436a	sadyas hEnyam avApnoti Ank _1.436a
   sadyo hainyaṃ śrutīritam Ang_1.433b	sadyas hEnyam Sruti Iritam Ank _1.433b
   sadravyaḥ saparicchadaḥ Mn_9.241d	sa dravyaH sa paricCadaH M= _9.241d
   sadvṛttānām tu sarveṣām K_959a	sat vRttAnAm tu sarvezAm K_959a
   sa dvau kārṣāpaṇau dadyād Mn_9.282c	sa dvO kArzApaNO dadyAt M= _9.282c
   sa dharmapratirūpakaḥ Mn_11.9[08M]d	sa Darma pratirUpakaH M= _11.9[08M]d
   sa dharmastu kṛto jñeyaḥ Ang_2,1.6a	sa DarmaH tu kRtaH jQeyaH Ank _2,1.6a
   sa dharmaṃ veda netaraḥ Mn_12.106d	sa Darmam veda na itaraH M= _12.106d
   sa dharmaḥ paramaḥ smṛtaḥ Par_8.26d	sa DarmaH paramaH smRtaH Par_8.26d
   sa dharmaḥ syād aśaṅkitaḥ Mn_12.108d	sa DarmaH syAt aSaFkitaH M= _12.108d
   sa dharmeti vijñeyo Par_8.7c	sa Darma iti vijQeyaH Par_8.7c
   sa dharmo vyavahāriṇām Nar_18.19d	sa DarmaH vyavahAriNAm Nar_18.19d
   sadhāmāni prapadyate Yj_3.168d	sa DAmAni prapadyate Yt _3.168d
   sa naraḥ kaṇṭakaiḥ saha Mn_8.95b	sa naraH kaNwakEH saha M= _8.95b
   sa nāṇakaparīkṣī tu Yj_2.241c	sa nANaka parIkzI tu Yt _2.241c
   sa nāpnoti phalaṃ tasya Mn_11.28[27M]c	sa na Apnoti Palam tasya M= _11.28[27M]c
   sanābhibhir bāndhavaiś ca K_335a	sanABiBiH bAnDavEH ca K_335a
   sanābhyo 'py aśucir bhavet Mn_5.84[83M]d	sanAByaH api aSuciH Bavet M= _5.84[83M]d
   sa nigṛhya balād dāpyo K_610c	sa nigRhya balAt dApyaH K_610c
   sanirukte 'ṅgavidbhavet Ang_2,5.4d	sa nirukte aFga vid Bavet Ang_2,5.4d
   sa nirbhājyaḥ svakād aṃśāt Mn_9.207c	sa nirBAjyaH svakAt aMSAt M= _9.207c
   sa niḥśalyo vivādaḥ syāt Nar_M3.16c	sa niHSalyaH vivAdaH syAt Nar_M3.16c
   sa netā śāsitā ca saḥ Mn_7.17b	sa netA SAsitA ca saH M= _7.17b
   sa netuṃ nyāyato 'śakyo Yj_1.355a	sa netum nyAyataH aSakyaH Yt _1.355a
   santataṃ sūtakādinā Ang_1.66d	santatam sUtaka AdinA Ank _1.66d
   santatirdātureva hi Ang_1.340d	santatiH dAtuH eva hi Ank _1.340d
   santatau tatparaṃparām Ang_1.1006d	santatO tad paraMparAm Ank _1.1006d
   santaḥ sukṛtino yathā Mn_8.318d	santaH sukRtinaH yaTA M= _8.318d
   santaḥ sukṛtino yathā Nar_19.55d	santaH sukRtinaH yaTA Nar_19.55d
   santi cānye durātmānaḥ Nar_M1.61c	santi ca anye durAtmAnaH Nar_M1.61c
   santīti manur abravīt Par_12.20d	santi iti manuH abravIt Par_12.20d
   santītyādi yad uttaram K_186b	santi ityAdi yat uttaram K_186b
   santo 'pi na pramāṇaṃ syur Nar_1.82a	santaH api na pramANam syuH Nar_1.82a
   santoṣaṃ na gatas tu yaḥ K_496b	santozam na gataH tu yaH K_496b
   sandhiś ca parivṛttiś ca K_701a	sanDiH ca parivRttiH ca K_701a
   sandhyayoś ca sadā śuciḥ YSS_1.4Ad	sanDyayoH ca sadA SuciH YSH _1.4Ad
   sandhyākāle vivarjayet YS78v_76b	sanDyA kAle vivarjayet YS78u _76b
   sandhyāṃ nopāsate dvijaḥ YSS_2.8d	sanDyAm na upAsate dvijaH YSH _2.8d
   sandhyobhayoś ca sandhyāyāḥ YS78v_64c	sanDyA uBayoH ca sanDyAyAH YS78u _64c
   sann asan sad asac ca yaḥ Yj_3.178d	san asan sat asat ca yaH Yt _3.178d
   sannidadhyād vihāyasi Mn_2.186b	sannidaDyAt vihAyasi M= _2.186b
   sanniyamyendriyagrāmaṃ Mn_2.175c	sanniyamya indriya grAmam M= _2.175c
   sapaṅktau bhojanaṃ tathā Ang_1.219b	sa paFktO Bojanam taTA Ank _1.219b
   sapaṇaś ced vivādaḥ syāt Yj_2.18a	sa paNaH ced vivAdaH syAt Yt _2.18a
   sa paṇaṃ svakṛtaṃ dāpyo Nar_M1.5c	sa paNam sva kRtam dApyaH Nar_M1.5c
   sapatnījananītāto Ang_1.396c	sapatnI jananI tAtaH Ank _1.396c
   sapatnījananī nitya  Ang_1.397a	sapatnI jananI nitya Ank _1.397a
   sapatnīmātureva ca Ang_1.723d	sapatnI mAtuH eva ca Ank _1.723d
   sapatnyā vā 'sapatnyā vā Ang_1.979a	sapatnyAH vA asapatnyA vE Ank _1.979a
   sa paryāyeṇa yātīmān Mn_4.87c	sa paryAyeNa yAti imAn M= _4.87c
   saparyāṃ tāṃ tadācaret Ang_1.886b	saparyAm tAm tadA Acaret Ank _1.886b
   sapavitrakarastathā Ang_1.772d	sa pavitra karaH taTA Ank _1.772d
   sapavitraṃ tilodakam Mn_3.223[213M]b	sa pavitram tila udakam M= _3.223[213M]b
   sapavitrāṃs tilān api Mn_3.210[200M]b	sa pavitrAn tilAn api M= _3.210[200M]b
   sapaśudravyasaṃcayam Mn_7.9d	sa paSu dravya saMcayam M= _7.9d
   sapādaṃ paṇam arhati Mn_8.241b	sa pAdam paNam arhati M= _8.241b
   sapādyārghyagandhadhūpa  Ang_1.685a	sa pAdya arGya ganDa DUpa Ank _1.685a
   sa pāpakṛttamo loke Mn_4.255[256M]c	sa pApa kRttamaH loke M= _4.255[256M]c
   sa pāpātmā pare loke Mn_11.26[25M]c	sa pApa AtmA pare loke M= _11.26[25M]c
   sa pāpiṣṭho vivāhānāṃ Mn_3.34c	sa pApizWaH vivAhAnAm M= _3.34c
   sa pārayann eva śavas Mn_9.178c	sa pArayan eva SavaH M= _9.178c
   sapālaḥ śatadaṇḍārho Mn_8.240c	sa pAlaH Sata daNxa arhaH M= _8.240c
   sapālān vā vipālān vā Mn_8.242c	sa pAlAn vA vipAlAn vA M= _8.242c
   sa pāvayed athātmānam Par_12.77(76)a	sa pAvayet aTa AtmAnam Par_12.77(76)a
   sapiṇḍakamapiṇḍaṃ vā Ang_1.1031c	sapiNxa kam apiNxam vA Ank _1.1031c
   sapiṇḍatā tu puruṣe Mn_5.60a	sapiNxa tA tu puruze M= _5.60a
   sapiṇḍānītarāṇi ca Ang_1.690d	sapiNxAni itarANi ca Ank _1.690d
   sapiṇḍīkaraṇakriyā Ang_1.998d	sapiNxIkaraNa kriyAH Ang_1.998d
   sapiṇḍīkaraṇaṃ yadi Ang_1.879d	sapiNxIkaraNam yadi Ank _1.879d
   sapiṇḍīkaraṇe pituḥ Ang_1.1004d	sapiNxIkaraNe pituH Ank _1.1004d
   sapiṇḍe ca dvivatsaram Ang_1.761d	sapiNxe ca dvi vatsaram Ank _1.761d
   sapiṇḍeṣu ca sarvathā Par_5.11d	sapiNxezu ca sarvaTA Par_5.11d
   sapiṇḍeṣu dvijottamāḥ Mn_5.100[99M]b	sapiNxezu dvijottamAH M= _5.100[99M]b
   sapiṇḍeṣu vidhīyate Mn_5.59b	sapiNxezu viDIyate M= _5.59b
   sapiṇḍeṣu vidhīyate Mn_5.61b	sapiNxezu viDIyate M= _5.61b
   sapiṇḍeṣu sute yadi Ang_1.336d	sapiNxezu sute yadi Ank _1.336d
   sapiṇḍair bāndhavair bahiḥ Mn_11.182[181M]b	sapiNxEH bAnDavEH bahis M= _11.182[181M]b
   sapiṇḍo vā sagotro vā Yj_1.68c	sapiNxaH vA sagotraH vE Yt _1.68c
   sa pītasomapūrvo 'pi Mn_11.8[07M]c	sa pItasoma pUrvaH api M= _11.8[07M]c
   saputrapaśubāndhavāḥ Nar_19.11d	sa putra paSu bAnDavAH Nar_19.11d
   sa putraḥ kṣetrajaḥ smṛtaḥ Mn_9.167d	sa putraH kzetrajaH smRtaH M= _9.167d
   saputraḥ saha bhṛtyaiś ca Par_12.73(72)a	sa putraH saha BRtyEH ca Par_12.73(72)a
   sa putro dattako bhavet Yj_2.130d	sa putraH dattakaH Bavet Yt _2.130d
   sa putro dattako bhavet Par_4.24d	sa putraH dattakaH Bavet Par_4.24d
