   ||śrīḥ||	||SrIH||
   pariṣkṛte veṣṭite tathā mahonnataḥ atyuccaḥ śālaḥ prakāro gopuraṃ	parizkRte vezwite taTA mahA unnataH atyuccaH SAlaH prakAraH gopuram
   bahir dvāraṃ ca yatra tasmin tathā viśālā mahatī vīthikā panthāḥ yatra	bahis  dvAram ca yatra tasmin taTA viSAlA mahatI vITikA panTAH yatra
   tatra karmadhārayaḥ tathā megha sparśi atiśuddha dhavala gṛha vyāpte tathā	tatra karmaDArayaH taTA meGa sparSi ati SudDa Davala gRha  vyApte taTA
   maṇi maya gṛhe vistīrṇāḥ kapāṭāḥ tathā vedikā pariṣkṛta bhūmir yatra tatra	maNi maya gRhe vistIrNAH kapAwAH taTA vedikA parizkRta  BUmiH yatra tatra
   || KrdC_8.62 ||	|| Krdu _8.62 ||
   punaḥ kīdṛśe pure ?	punar kIdRSe pure ?
   dvija bhūpa viṭ caraṇa janmanāṃ gṛhair	dvija  BUpa viw  caraNa  janmanAm gRhEH 
   vividhaiś ca śilpi jana veśmabhis tathā |	viviDEH ca Silpi  jana  veSmaBiH taTA |
   ibhasaptyurabhrakharadhenusairbhac 	iBasapti uraBra Kara Denu sErBac 
   chagalālayaiś ca lasitaiḥ sahasraśaḥ // Krd_8.63 //	Cagala AlayEH ca lasitEH sahasraSas // KrD _8.63 //
   sahasraśo lokair brāhmaṇa kṣatriya vaiśya śūdrāṇāṃ nānā prakāra gṛhaiḥ	sahasraSas lokEH brAhmaNa  kzatriya  vESya  SUdrANAm nAnA  prakAra  gRhEH
   tathā śilpi janānāṃ gṛhas tathā hasty	taTA Silpi janAnAm gRhaH taTA hasti 
   aśvameṣa gardabha dhenu mahiṣa cchagalānāṃ gṛhaiḥ śobhite || KrdC_8.63 ||	aSvameza  garda Ba Denu  mahiza  cCagalAnAm gRhEH SoBite || Krdu _8.63 ||
   punaḥ kīdṛśe ?	punar kIdRSe ?
   vivadhāpaṇāśrita mahājanāhṛta 	vivaDa ApaNa ASrita  mahA jana AhRta 
   kraya vikraya draviṇa sañcayāñcite |	kraya  vikraya  draviNa  saQcaya AQcite |
   janamānasāhṛti vidagdha sundarī 	jana mAnasa AhRti  vidagDa  sundarI 
   jana mandiraiḥ suruciraiś ca maṇḍite // Krd_8.64 //	jana  mandirEH su rucirEH ca maNxite // KrD _8.64 //
   nānā prakāra vipaṇi samāśrite	nAnA  prakAra  vipaNi  samASrite
   mahā janāhṛta kraya vikraya draviṇa saṃcaya vyāpte | punaḥ kīdṛśe ?	mahA a jana AhRta  kraya  vikraya  draviNa  saMcaya  vyApte | punar kIdRSe ?
   janānāṃ cittāpaharaṇe caturāḥ ye veśyā janās teṣāṃ gṛhaiḥ śobhamānair	janAnAm citta apaharaNe caturAH ye veSyA janAH tezAm gRhEH SoBamAnEH 
   alaṅkṛte || KrdC_8.64 ||	alaFkRte || Krdu _8.64 ||
   punaḥ kīdṛśe pure ?	punar kIdRSe pure ?
   pṛthu dīrghakā vimala pāthasi sphurad 	pRTu  dIrGakA  vimala  pATasi sPurat  
   vikacāravinda makaranda lampaṭaiḥ |	vikaca aravinda  makaranda lampawEH |
   vara haṃsa sāras rathāṅganāmabhir	vara  haMsa   sAra s raTa aFga nAmaBiH 
   vihagair vighuṣṭa kakubhi svake pure // Krd_8.65 //	vihagEH viGuzwa ka kuBi svake pure // KrD _8.65 //
   sthūla sarovara nirmalodake	sTUla  saraH vara  nirmala udake
   dedīpyamāna vikasita kamala makarandākhya rasa lolupaiḥ	dedIpyamAna  vikasita kamala makaranda AKya  rasa  lolupEH
   śreṣṭha haṃsa sārasa cakravāka saṃjñakaiḥ pakṣibhir dhvanitā diśo yasmin	SrezWa  haMsa  sArasa  cakravAka  saMjQakEH pakziBiH DvanitAH diSaH yasmin
   || KrdC_8.65 ||	|| Krdu _8.65 ||
   punaḥ kīdṛśe maṇi maṇḍape ?	punar kIdRSe maNi  maNxape ?
   surapādapaiḥ surabhi puṣpa lolupa 	sura pAdapEH suraBi  puzpa  lolupa 
   bhramarākulair vividha kāmadair nṝṇām |	Bramara AkulEH viviDa  kAma dEH nLNAm |
   śiva manda māruta calac chikhair vṛte	Siva manda  mAruta   cala c CiKEH vRte
   maṇi maṇḍape ravi sahasra prabhe // Krd_8.66 //	maNi  maNxape ravi  sahasra  praBe // KrD _8.66 //
   kalpa vṛkṣaiḥ sugandhi puṣpa lubdha bhramara vyāptair manuṣyāṇāṃ	kalpa vRkzEH suganDi  puzpa  lubDa   Bramara  vyAptEH manuzyANAm
   vividha kāmadaiḥ śubha manda māruta calad agra bhāgais tair veṣṭite |	viviDa  kAma dEH SuBa manda mAruta   cala d agra  BAgEH tEH vezwite |
   sūrya sahasra māna prabhe || KrdC_8.66 ||	sUrya  sahasra  mAna  praBe || Krdu _8.66 ||
   punaḥ kīdṛśe ?	punar kIdRSe ?
   maṇi dīpikā nikara dīpitāntare	maNi dIpikA  nikara  dIpita antare
   tanu citra vistṛta vitāna śālini |	tanu  citra  vistRta  vitAna   SAlini |
   lalite pikasvara vicitra dāmabhiḥ	lalite pika svara  vicitra  dAmaBiH
   susugandhi gandha salilokṣita sthale // Krd_8.67 //	su suganDi ganDa  salila ukzita sTale // KrD _8.67 //
   maṇir eva dīpikā tasyāḥ samūhe prakāśita madhya bhāge | punaḥ kīdṛśe ?	maNiH eva dIpikA tasyAH samUhe prakASi ta  maDya  BAge | punar kIdRSe ?
   sūkṣma vicitra vistīrṇa candrātapa yukte | punaḥ kīdṛśe ?	sUkzma  vicitra  vistIrNa  candra Atapa  yukte | punar kIdRSe ?
   vikasita nānā prakāra puṣpa mālābhiḥ śobhite	vikasita nAnA  prakAra  puzpa  mAlABiH SoBite
   atisurabhi salila sikta sthāne || KrdC_8.67 ||	ati suraBi  salila  sikta sTAne || KrdC_8.67 ||
   punaḥ kīdṛśe ?	punar kIdRSe ?
   pramadā śatair mada vighūrṇitekṣaṇair	pramadA SatEH mada  viGUrNita IkzaNEH 
   mada jālasaiḥ kara vilola cāmaraiḥ |	mada  jAlasEH kara  vilola  cAmarEH |
   abhisevite skhalita mañju bhāṣitaiḥ	aBisevite sKalita maQju  BAzitEH
   stana bhāra bhaṅgura kṛśāvalagnakaiḥ // Krd_8.68 //	stana BAra  BaFgura kRSa avalagnakEH // KrD _8.68 //
   strī śatair mada vighūrṇita netrair mada janitālasya sahitaiḥ	strI  SatEH mada  viGUrNita netrEH mad a janita Alasya  sahitEH
   hasta sthita cañcala cāmarair īṣat skhalita manohara vacanaiḥ	hasta  sTita  caQcala  cAmarEH Izat  sKalita  manohara  vacanEH
   stana bhāra namra sūkṣma madhya pradeśaiḥ paritaḥ sevite || KrdC_8.68 ||	stana  BAra  namra  sUkzma  maDya  pradeSEH paritas sevite || Krdu _8.68 ||
   kathambhūtasya surapādapasya ?	kaTamBUtasya sura pAdapasya ?
   avirāma dhāra maṇi varya varṣiṇaḥ	avirAma  DAra  maNi  varya  varziNaH
   śrama hānidāmṛta rasa cyuto 'py adhaḥ |	Srama  hAnida amRta  rasa  cyutaH api aDas |
   sura pādapasya maṇi bhūtalollasat	sura pAdapasya maNi  BU tala ullasat 
   pṛthu siṃha vaktracaraṇāmbujāsane // Krd_8.69 //	pRTu  siMha  vaktra caraNa ambuja Asane // KrD _8.69 //
   aviśrānta maṇi śreṣṭha dhārā varṣiṇaḥ | punaḥ kīdṛśasya ?	aviSrAnta  maNi  SrezWa  DArA  varziNaH | punar kIdRSasya ?
   śrama hānikarāmṛta rasa śrāviṇaḥ || KrdC_8.69 ||	Srama hAni kara amRta  rasa  SrAviNaH || Krdu _8.69 ||
   kīdṛśam acyutam ?	kIdRSam acyutam ?
   abhicintayet sukha niviṣṭam acyutaṃ	aBicintayet suKa  nivizwam acyutam
   nava nīla nīra ruha komala cchavim |	nava  nIla  nIra  ruha  komala = Cavim |
   kuṭilāgra kuntala lasat kirīṭakaṃ	kuwila agra  kuntala lasat  kirIwakam
   smita puṣpa ratna racitāvataṃsakam // Krd_8.70 //	smita puzpa  ratna  racita avataMsakam // KrD _8.70 //
   nūtana nīlotpala ramya kāntim | punaḥ kīdṛśam ? kuṭilāgra keśeṣu sphurat	nUta na  nIlotpala  ramya  kAntim | punar kIdRSam ? kuwila agra keSezu sPurat 
   kirīṭaṃ yasya tam | punaḥ kīdṛśam ? smitam īṣad vikasitaṃ puṣpaṃ ratnāni	kirIwam yasya tam | punar kIdRSam ? smitam Izat vikasitam puzpam ratnAni
   ca te racito 'vataṃso yena tam || KrdC_8.70 ||	ca te racitaH avataMsaH yena tam || Krdu _8.70 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   sulalāṭam unnasamudañcita bhruvaṃ	su lalAwam unnasam udaQcita  Bruvam
   vipulāruṇāyata vilola locanam |	vipula aruNa Ayata  vilola  locanam |
   maṇi kuṇḍalāsra paridīpta gaṇḍakaṃ	maNi  kuNxala asra  paridIpta  gaNxakam
   nava bandhu jīva kusumāruṇādharam // Krd_8.71 //	nava banDu  jIva  kusuma aruNa aDaram // KrD _8.71 //
   tathā śobhamāna lalāṭaṃ tathā ucca nāsikam udgacchad bhrū latākam, tathā	taTA SoBamAna  lalAwam taTA ucca nAsikam udgacCat  BrU  latAkam, taTA
   sthūlāruṇa varṇa dīrgha cañcala nayanaṃ, tathā	sTUla aruNa  varNa  dIrGa  caQcala nayanan, taTA
   maṇi maya kuṇḍala kiraṇa pariśobhita gaṇḍa sthalaṃ yathā	maNi maya  kuNxala kiraNa  pariSoBita  gaNxa  sTalam yaTA
   nūtana bandhu jīva puṣpa sadṛśāruṇādharam || KrdC_8.71 ||	nUtana banDu  jIva  puzpa  sadRSa aruNa aDaram || Krdu _8.71 ||
   punaḥ kīdṛśaṃ parameśvaram ?	punar kIdRSam parameSvaram ?
   smita candrikojjvalita diṅmukhaṃ sphurat	smita  candrikA ujjvalita diFmuKam sPurat 
   pulaka śramāmbu kaṇa maṇḍitānanam |	pulaka  Srama ambu  kaNa  maNxita Ananam |
   sphurad aṃśu ratna gaṇa dīpta bhūṣaṇot 	sPurat  aMSu  ratna  gaNa  dIpta BUzaNa ut 
   tama hāra dāmabhir upaskṛtāṃsakam // Krd_8.72 //	tam a hAra  dAmaBiH upaskRta aMsakam // KrD _8.72 //
   hāsa candra kiraṇa dhavalī kṛta diṅ mukhaṃ tathā	hAsa candra  kiraNa DavalI kRta diF muKam taTA
   sphurad romāñca janya prasveda bindu śobhita vadanam | punaḥ kīdṛśam ?	sPurat  romAQca janya  prasveda  bindu  SoBita  vadanam | punar kIdRSam ?
   sphurad dedīpyamāna kiraṇa ratna samūha prakāśamāna bhūṣaṇa śreṣṭha hāra mālābhiḥ	sPurat  dedIpyamAna  kiraNa  ratna  samUha  prakASa mAna  BUzaNa  SrezWa  hAra  mAlABiH
   śobhita skandham || KrdC_8.72 ||	SoBita  skanDam || Krdu _8.72 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   ghana sāra kuṅkuma vilipta vigrahaṃ	Gana  sAra  kuFkuma  vilipta vigraham
   pṛthu dīrgha ṣaḍ dvaya bhujā virājitam |	pRTu  dIrGa  zaz   dvaya  BujA  virAjitam |
   taruṇābja cāru caraṇābja maṅgalon 	taruNa abja  cAru caraNa abja  maFgalon 
   mathitāṅgam aṅkaga karāmbuja dvayam // Krd_8.73 //	maTita aFgam aFka ga kara ambuja  dvayam // KrD _8.73 //
   punaś candana kuṅkumābhyāṃ parilipta śarīraṃ punaḥ	punar candana  kuFkumAByAm parilipta  SarIram punar 
   sthūla dīrgha dvādaśa hastair virājitaṃ tathā	sTUla dIrGa  dvAdaSa  hastEH virAjitam taTA
   nūtanāruṇa varṇa padma sadṛśa caraṇa padmaṃ punaḥ kāma pīḍita dehaṃ punaḥ	nUtana aruNa  varNa  padma  sadRSa  caraNa  padmam punar kAma  pIxita deham punar 
   svāṅke āropita hasta dvayam || KrdC_8.73 ||	sva aFke Aropita hasta  dvayam || Krdu _8.73 ||
   svāṅka stha bhīṣmaka sutoru yugāntara sthalaṃ	sva aFka  sTa BIzmaka suta Uru  yuga antara  sTalam
   tāṃ tapta hema rucim ātma bhujāmbujābhyām |	tAm tapta  hema rucim Atma  Buja ambujAByAm |
   śliṣyantam ārdra jaghanām upagūhamānām	Slizyantam Ardra  jaGanAm upagUhamAnAm
   ātmānam āyata lasat kara pallavābhyām // Krd_8.74 //	AtmAnam Ayata lasat  kara  pallavAByAm // KrD _8.74 //
   punaḥ svāṅke sthitāyā rukmiṇyā ūru dvayābhyantare vidyamānaṃ | punas tāṃ	punar sva aFke sTitAyAH rukmiNyAH Uru  dvaya aByantare vidyamAnam | punar tAm
   rukmiṇīṃ tapta suvarṇa kāntiṃ svīya hasta padmābhyām āliṅgantam | kīdṛśīṃ	rukmiNIm tapta  suvarNa  kAntim svIya  hasta  padmAByAm AliFgantam | kIdRSIm
   tām ? ārdra jaghanām punar ātmānam śrī kṛṣṇaṃ	tAm ? Ardra  jaGanAm punar AtmAnam SrI  kRzNam
   dīrgha manohara pāṇi pallavābhyāṃ āliṅgantīm || KrdC_8.74 ||	dIrGa  manohara  pANi  pallavAByAm AliFgantIm || KrdC_8.74 ||
   ānandodreka nighnāṃ mukulita nayanendīvarāṃ srasta gātrīṃ	Ananda udreka niGnAm mukulita  nayana indIvarAm srasta gAtrIm
   prodyad romāñca sāndra śrama jala kaṇikā mauktikālaṅkṛtāṅgīm |	prodyat  romAQca  sAndra  Srama  jala  kaNikA  mOktika alaFkRta aFgIm |
   ātmany ālīna bāhyāntara karaṇa gaṇām aṅgakair nistaraṅgair	Atmani AlIna  bAhya antara  karaNa  gaNAm aFgakEH nistaraFgEH 
   majjantīṃ līna nānā matim atula mahānanda sandoha sindhau // Krd_8.75 //	majjantIm lIna nAnA  matim atula  mahAnanda  sandoha  sinDO // KrD _8.75 //
   punaḥ svātmānandodreka vyāptāṃ | punaḥ mudrita nayana nīlotpalāṃ | punaḥ	punar sva Atma Ananda udreka vyAptAm | punar mudrita  nayana  nIlotpalAm | punar 
   prodyat tanu pulaka janya niviḍa prasveda bindu rūpa mauktika śobhita dehāṃ	prodyat  tanu  pulaka janya  nivixa  prasveda  bindu  rUpa mOktika SoBita  dehAn
   | punaḥ ātmani śrī kṛṣṇe samyag vilīna bāhyābhyantarendriya samūhāṃ |	| punar Atmani SrI  kRzNe samyak  vilIna  bAhya aByantara indriya  samUhAm |
   punar vyāpāra rahitaiḥ śarīraāvayavair atiśayita mahānanda samūha sāgare	punar vyApAra  rahitEH SarIraA avayavEH atiSayita  mahAnanda  samUha  sAgare
   nimagnāṃ | punaḥ vigata cañcala matim || KrdC_8.75 ||	nimagnAm | punar vigata caQcala matim || Krdu _8.75 ||
   punaḥ kīdṛśaṃ parameśvaram ?	punar kIdRSam parameSvaram ?
   satyājāmbavatībhyāṃ	satya ajAmbavatIByAm
   divya dukūlānulepanābharaṇābhyām |	divya  dukUla anulepana ABaraNAByAm |
   manmatha śara mathitābhyāṃ	manmaTa  Sara  maTitAByAm
   mukha kamala cañcala locana bhramarābhyām // Krd_8.76 //	muKa  kamala  caQcala  locana  BramarAByAm // KrD _8.76 //
   satyabhhāmā jāmbavatībhyām āliṅganam | kathambhūtābhyām ? utkṛṣṭāni	satyaBhAmA  jAmbavatIByAm AliFganam | kaTamBUtAByAm ? utkRzwAni
   paṭṭa vastrānulepanābharaṇāni yayos tābhyāṃ | punaḥ kāma śara pīḍitābhyāṃ	pawwa vastra anulepana ABaraNAni yayoH tAByAm | punar kAma Sara  pIxitAByAm
   | punaḥ kṛṣṇa mukha viṣayaka cañcala netra bhramarābhyām || KrdC_8.76 ||	| punar kRzNa  muKa  vizaya ka caQcala netra BramarAByAm || KrdC_8.76 ||
   bhujaga yugalāśliṣṭābhyāṃ	Bujaga  yugalA SlizwAByAm
   śyāmāruṇa lalita komalāṅga latābhyām |	SyAma aruNa   lalita  komala aFga  latAByAm |
   āśliṣṭm ātma dakṣiṇa 	ASlizwm Atma dakziNa 
   vāma gatābhyāṃ karollasat kamalābhyām // Krd_8.77 //	vAma  gatAByAm kara ullasat kamalAByAm // KrD _8.77 //
   punaḥ parameśvarasya bhuja yugalenāliṅgitābhyām |	punar parameSvarasya Buja  yugalena AliFgitAByAm |
   yathā krama nīlāruṇa varṇe manohare komale cāṅga late yayos tābhyāṃ |	yaTA krama  nIlA aruNa  varNe manohare komale ca aFga late yayoH tAByAm |
   punaḥ parameśvarasya dakṣiṇa vāma gatābhyāṃ | punaḥ	punar parameSvarasya dakziNa  vAma  gatAByAm | punar 
   pāṇi sphurita padmābhyām || KrdC_8.77 ||	pANi  sPurita  padmAByAm || Krdu _8.77 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   pṛṣṭagayā kalinda sutayā kara kamala yujā	pRzwa gayA kalinda  sutayA kara  kamala  yujA
   samparirabdham añjana rucā madana mathitayā |	samparirabDam aQjana  rucA madana maTitayA |
   padma gadā rathāṅga dara bhṛd bhuja yugalaṃ	padma gadA  raTAFga dara  BRt  Buja  yugalam
   dor dvaya sakta vaṃśa vilasan mukha sarasi ruham // Krd_8.78 //	dor  dvaya  sakta  vaMSa  vilasan  muKa  sarasi  ruham // KrD _8.78 //
   parameśvara pṛṣṭha deśa vartinyā yamunayā hasta dhṛta kamalayā	parameSvara  pRzWa  deSa vartinyA yamunayA hasta  DRta kamalayA
   samāliṅgitam | kimbhūtayā śyāmayā ? punaḥ kāma pīḍitayā | punaḥ kīdṛśaṃ	samAliFgitam | kimBUtayA SyAmayA ? punar kAma  pIxitayA | punar kIdRSam
   parameśvaram ? padma gadā śaṅkha cakra yukta hasta catuṣṭayaṃ	parameSvaram ? padma gadA  SaFKa  cakra  yukta hasta  catuzwayam
   hasta dvaya dhṛta vaṃśa vilasan mukha kamalam || KrdC_8.78 ||	hasta  dvaya  DRta  vaMSa  vilasan  muKa  kamalam || Krdu _8.78 ||
   dikṣu bahiḥ surarṣi yatibhiḥ khecara parivṛḍhair	dikzu bahis sura Rzi  yatiBiH Kecara  parivRXEH 
   bhakti bharāvanamra tanubhiḥ stuti mukhara mukhaiḥ |	Bakti Bara avanamra  tanuBiH stuti  muKara  muKEH |
   santata sevyamānam amanovacana viṣayakam	santata sevyamAnam amanaH vacana  vizayakam
   artha catuṣṭaya pradam amuṃ tribhuvana janakam // Krd_8.79 //	arTa  catuzwaya  pradam amum triBuvana  janakam // KrD _8.79 //
   tṛtīya paṭalokta krameṇety arthaḥ | punaḥ bahir dikṣu devarṣi yatibhiḥ	tRtIya  pawala ukta krameNa iti arTaH | punar bahis dikzu deva Rzi  yatiBiH
   khecara mukhyair bhakty atiśaya namra dehaiḥ | parivṛḍhaiḥ pradhānaiḥ	Kecara  muKyEH Bakti  atiSaya namra  dehEH | parivRXEH praDAnEH
   stutibhiḥ vācāla vadanair nirantaraṃ sevitaṃ punaḥ manaso vācām agocaraṃ	stutiBiH vAcAla  vadanEH nirantaram sevitam punar manasaH vAcAm agocaram
   punar dharmārtha kāma mokṣa phala catuṣṭaya pradaṃ punas trailokya janakam	punar Darma arTa kAma  mokza  Pala  catuzwaya  pradam punar trElokya janakam
   || KrdC_8.79 ||	|| Krdu _8.79 ||
   sāndrānanda mahābdhi magnam amala dhāmni svake 'vasthitaṃ	sAndra Ananda  mahA abDi magnam amala  DAmni svake avasTitam
   dhyātvaivaṃ paramaṃ pumāṃsam anaghāt samprāpya dīkṣāṃ guroḥ |	DyAtvA evam paramam pumAMsam anaGAt samprApya dIkzAm guroH |
   labdhvāmuṃ manum ādareṇa sita dhīr lakṣaṃ japed yoṣitāṃ	labDvA amum manum AdareNa sita DIH lakzam japet yozitAm
   vārtākarṇana darśanādi rahito mantrī gurūṇām api // Krd_8.80 //	vArtA karNana darSana Adi rahitaH mantrI gurUNAm api // KrD _8.80 //
   punar niviḍānanda mahā samudra magnam | svīye nirmale	punar nivixa Ananda  mahA  samudra  magnam | svIye nirmale
   tejasi tad rūpeṇāvasthitam evam ukta rūpaṃ parameśvaraṃ vicintya niṣpāpāt	tejasi  tad   rUpeNa avasTitam evam ukta rUpam parameSvaram vicintya nizpApAt 
   guror dīkṣā mantropadeśa vidhiṃ prāpyāmuṃ mantraṃ labdhvā tīkṣṇa buddhiḥ	guroH dIkzA mantra upadeSa  viDim prApya amum mantram labDvA tIkzNa budDiH
   ādarāt lakṣam ekaṃ japet | kīdṛśaḥ sādhakaḥ ? strīṇāṃ vṛddhānām api	AdarAt lakzam ekam japet | kIdRSaH sADakaH ? strINAm vRdDAnAm api
   kathā śravaṇa nirīkṣaṇa parāṅmukhaḥ || KrdC_8.80 ||	kaTA  SravaNa  nirIkzaNa parAFmuKaH || Krdu _8.80 ||
   homaṃ sevāṃ cāha 	homam sevAm ca Aha 
   juhuyāc ca daśāṃśakaṃ hutāśe	juhuyAt ca daSa aMSakam hutASe
   sasitākṣaudra ghṛtena pāyasena |	sa sitA kzOdra  GRtena pAyasena |
   prathamodita pīṭha varyake 'muṃ	praTama udita   pIWa varyake amum
   paryajen nityam anityatā vimuktaye // Krd_8.81 //	paryajet nityam anitya tA  vimuktaye // KrD _8.81 //
   hutāśe vahnau daśāṃśakaṃ | ayutam ekaṃ śarkarā madhu ghṛta yuktena	hutASe vahnO daSa aMSakam | ayutam ekam SarkarA  maDu  GRta  yuktena
   paramānnena juhuyāt | kiṃ ca pūrvokta daśāṣṭādaśākṣara kathite	parama annena juhuyAt | kim ca pUrva ukta  daSa azwAdaSa akzara  kaTite
   pīṭha śreṣṭhe nityam amuṃ yajet | kim artham ? anityaḥ saṃsāras tasya	pIWa  SrezWe nityam amum yajet | kim arTam ? anityaH saMsAraH tasya
   pariharaṇāya || KrdC_8.81 ||	pariharaNAya || Krdu _8.81 ||
   ārabhyātha vibhūti nyāsa kramataḥ śarāntam abhyarcya |	AraBya aTa viBUti  nyAsa  kramataH Sara antam aByarcya |
   mūrty ādy aṅgāntaṃ cātmānaṃ viṃśaty arṇodita yantra vare // Krd_8.82 //	mUrti  Adi  aFga antam ca AtmAnam viMSati  arNa udita yantra  vare // KrD _8.82 //
   madhya bījaṃ parito varuṇendu yamendra dikṣu saṃlikhya |	maDya bIjam paritas varuNa indu yama indra dikzu saMliKya |
   bīja catuṣkaṃ tad api catvāriṃśadbhir akṣarair dvy adhikaiḥ // Krd_8.83 //	bIja  catuzkam tat api catvAriMSadBiH akzarEH dvi  aDikEH // KrD _8.83 //
   śiṣṭaiḥ praveṣṭya śiva hari vasv ādy aśriṣv atha kramād vilikhet |	SizwEH pravezwya Siva hari vasv Ady a Srizu aTa kramAt viliKet |
   vāṅ māyā śrī mantrās tadvad rakṣo 'mbupānilāśriṣu ca // Krd_8.84 //	vAc  mAyA  SrI  mantrAH tadvat rakzaH ambupa anila aSrizu ca // KrD _8.84 //
   śeṣaṃ pūrvoditavad vidhāya pīṭhaṃ yathāvad abhyarcya |	Sezam pUrva udita vat viDAya pIWam yaTAvat aByarcya |
   saṅkalayya mūrtim atrāvāhyābhyarcayatu madhya bīje tam // Krd_8.85 //	saFkalayya mUrtim atra AvAhya aByarcayatu maDya bIje tam // KrD _8.85 //
   ārabhyety ādi vibhūti pañjaram ārabhya nyāsa krameṇa bāṇa paryantaṃ	AraBya iti Adi viBUti paQjaram AraBya nyAsa krameNa bANa  paryantam
   pūjayitvā mūrti nyāsam ārabhyāṅga nyāsa paryantaṃ cātma rūpaṃ sampūjya	pUjayitvA mUrti nyAsam AraBya aFga nyAsa  paryantam ca Atma  rUpam sampUjya
   pūrvokta viṃśaty akṣara mantroktaṃ	pUrva ukta  viMSati  akzara mantra uktam
   yantra śreṣṭha karṇikā madhya sthita vahni pura yuga madhye	yantra  SrezWa  karNikA  maDya  sTita  vahni  pura  yuga  maDye
   madhyama bīja madhye bījam iti pāṭha svarasāt hal lekhā bījam iti	maDyama bIja  maDye bIjam iti pAWa  svarasAt hal leKA  bIjam iti
   rudradhara govinda miśra prabhṛtayaḥ | parastah madhyama bījam iti pāṭhe	rudra Dara  govinda  miSra  praBRtayaH | parastah maDyama bIjam iti pAWe
   kāma bījaṃ vilikhya tat paritaś ca paścimottara pūrva dakṣiṇa dikṣu	kAma bIjam viliKya tat paritaH ca paScima uttara  pUrva  dakziNa dikzu
   bīja catuṣkaṃ drīṃ trīṃ jīṃ jhrīṃ iti bīja catuṣṭayaṃ vilikhya tad api	bIja  catuzkam drIm trIm jIm JrIm iti bIja  catuzwayam viliKya tat api
   bīja catuṣṭayaṃ dvi catvāriṃśat japādi svāhāntaiḥ śiṣṭair mantrākṣarair	bIja  catuzwayam dvi catvAriMSat japa Adi svAha antEH SizwEH mantra akzarEH 
   upari veṣṭayet | anantaraṃ śiva īśānaḥ harir indraḥ pūrvādi dig ity arthaḥ	upari vezwayet | anantaram SivaH ISAnaH hariH indraH pUrva Adi diS iti arTaH
   | vasur agniḥ āgneyādika evaṃ nairṛtī vāruṇī vāyavī dig eteṣu koṇeṣu	| vasuH agniH Agneya AdikaH evam nErRtI vAruNI vAyavI diS etezu koNezu
   krameṇa vāg bhava bhuvaneśvarī śrī bījāni trir āvṛtya vilikhet |	krameNa vAc  Bava  Buvana ISvarI  SrI  bIjAni tris AvRtya viliKet |
   avaśiṣṭaṃ pīṭha vidhānaṃ pūrvavat samāpya pīṭhaṃ yathāvat pūjayitvā tatra	avaSizwam pIWa  viDAnam pUrvavat samApya pIWam yaTAvat pUjayitvA tatra
   pīṭhe karṇikā madhya sthita kāma bīje rukmiṇī vallabha mūrtiṃ saṅkalpya	pIWe karNikA  maDya  sTita kAma bIje rukmiNI vallaBa  mUrtim saFkalpya
   dhyātvā tam āvāhya pūjayet || KrdC_8.82 85 ||	DyAtvA tam AvAhya pUjayet || KrdC_8.82 85 ||
   mukha dakṣa savya pṛṣṭhaga bījeṣv arcyās tu śaktayaḥ kramaśaḥ |	muKa  dakza  savya  pRzWa ga bIjezu arcyAH tu SaktayaH kramaSas |
   rukmiṇy ādyāḥ ṣaṭsv atha koṇeṣv aṅgāni keśareṣu śarān // Krd_8.86 //	rukmiNy A AdyAH zawsu aTa koNezu aFgAni keSarezu SarAn // KrD _8.86 //
   anantaraṃ devasya san mukha dakṣiṇa vāma pṛṣṭha pradeśa gateṣu	anantaram devasya san muKa  dakziNa  vAma  pRzWa  pradeSa  gatezu
   bīja catuṣṭayeṣu rukmiṇy ādyāḥ śaktayaḥ pūjyāḥ ṣaṭ koṇeṣu aṅgāni keśareṣu	bIja  catuzwayezu rukmiNy A AdyAH SaktayaH pUjyAH zaw  koNezu aFgAni keSarezu
   śarān pūjayet || KrdC_8.86 ||	SarAn pUjayet || Krdu _8.86 ||
   lakṣmy ādyā dala madhyeṣv agny ādiṣu tad bahir dhvaja pramukhān |	lakzmI  A AdyAH dala  maDyezu agni  Adizu tat bahis Dvaja  pramuKAn |
   agre ketuṃ śyāma pṛṣṭhe vipam aruṇam amala rakta rucī // Krd_8.87 //	agre ketum SyAma pRzWe vipam aruNam amala  rakta  rucI // KrD _8.87 //
   pārśva dvaye nidhīśau santata dhārābhivṛṣṭa dhana puñjau |	pArSva  dvaye niDi ISO santata  DArA aBivRzwa  Dana  puQjO |
   heramba śāstṛ durgā viṣvaksenān vidikṣu vahny ādi // Krd_8.88 //	heramba SAstR  durgA  vizvaksenAn vidikzu vahni  Adi // KrD _8.88 //
   vidruma marakata dūrvā svarṇābhān bahir athendra vajrādyān |	vidruma maraka ta dUrvA svarNa ABAn bahis aTa indra  vajra AdyAn |
   yajana vidhānam itīritam āvṛti saptaka yutaṃ mukundasya // Krd_8.89 //	yajana  viDAnam iti Iritam AvRti  saptaka yutam mukundasya // KrD _8.89 //
