   Udīcya Śyāmilaka: Pāḍatāḍitaka	UdIcya ŚyAmilaka: PAxa-tAxitaka
   [p.101] viṣikkha(h?)e daṇḍituṃ homi diṣuvaśoviṣu eka evaṃ ti. aho	[p.101] vizikKa(h?)e daNxitum homi dizu-vaSaH-vizu ekaH evam ti. aho
   deśaveṣabhāṣādākṣiṇyasampadupeto guptakulasya yuvarājasya madanadūtaḥ.	deSa-veza-BAzA-dAkziNya-sampad-upetaH gupta-kulasya yuvarAjasya madana-dUtaH.
   veśa eva vartamāno veśam āpaṇābhidhānena pṛcchati tan na śakyam īdṛśaṃ	veSaH eva vartamAnaH veSam ApaNa-aBiDAnena pRcCati tat na Sakyam IdRSam
   ratnam avabodhya vināśayitum īdṛśa evāstu evaṃ tāvad enaṃ vakṣye bhadra,	ratnam avaboDya vinASayitum IdRSaH eva-astu evam tAvat enam vakzye Badra,
   rājavīthyāṃ lāvaṇikāpaṇeṣu mṛgyatāṃ gaṇikā eṣa praharṣāt praṇipatya gataḥ	rAja-vITyAm lAvaNikA-paNezu mRgyatAm gaNikAH eza praharzAt praNipatya gataH
   ito vayam (parikramya) kva nu khalv idānīṃ dāśerakadarśanāvadhūtaṃ cakṣuḥ	itas vayam (parikramya) kva nu Kalu idAnIm dASeraka-darSana-avaDUtam cakzuH
   prakṣālayeyam (vilokya) bhavatu, dṛṣṭam etad dhi tad asmākaṃ	prakzAlayeyam (vilokya) Bavatu, dRzwam etat Di tat asmAkam
   pūrvapraṇayinyāḥ śūrasenasundaryā niveśanam katham apāvṛtapakṣadvāram eva	pUrva-praNayinyAH SUrasenasundaryAH niveSanam kaTam apAvRta-pakza-dvAram eva
   yāvad etat praviśāmi (praviṣṭakena) kva nu khalv imaṃ pādapracāraśramam	yAvat etat praviSAmi (pravizwakena) kva nu Kalu imam pAda-pracAra-Sramam
   apanayeyam bhavatu, dṛṣṭam iyaṃ khalu priyaṅguvīthikā priyevotsaṅgena	apanayeyam Bavatu, dRzwam iyam Kalu priyaFgu-vITikA priyA-iva-utsaFgena
   śilātalena mām upanimantrayate yāvad atropaviśāmi (vilokya) kim	SilA-talena mAm upanimantrayate yAvat atra-upaviSAmi (vilokya) kim
   ihābhilikhitam (vācayati)	iha-aBiliKitam (vAcayati)
   68 (a) sakhi prathamasaṃgame na kalahāspadaṃ vidyate	68 (a) saKi praTama-saMgame na kalaha-Aspadam vidyate
   (b) na cāsya vimanaskatām aśṛṇavaṃ na vākalyatām	(b) na ca-asya vimanaska-tAm aSRNavam na vAkalyatAm
   (c) yuvānam abhisṛtya taṃ ciramanorathaprārthitaṃ	(c) yuvAnam aBisRtya tam cira-manoraTa-prArTitam
   ( d) kim asy amṛditā ṅgarāgaracanā tathaivāgatā iti	( d) kim asi amRditA Fga-rAga-racanA taTA-eva-AgatAH iti
   (vicintya) kasyāścit khalv iyaṃ kenāpi pratyākhyātapraṇayāyā	(vicintya) kasyAScid Kalu iyam kena-api pratyAKyAta-praNayAyAH-
   daurbhāgyaghoṣaṇā ghuṣyate tat kaṃ nu khalu pṛccheyam	dOrBAgya-GozaNA Guzyate tat kam nu Kalu pRcCeyam
   [p.102] (karṇaṃ dattvā) aye iyaṃ caraṇābharaṇaśabdasūcitā	[p.102] (karNam dattvA) aye iyam caraNa-ABaraNa-Sabda-sUcitA
   śūrasenasundarīta evābhivartate yaiṣā	SUrasena-sundarItaH eva-aBivartate yA-ezA
   69 (a) ālambyaikena kāntaṃ kisalayamṛdunā pāṇinā chattradaṇḍaṃ	69 (a) Alambya-ekena kAntam kisalaya-mRdunA pANinA Cattra-daNxam
   (b) saṃgṛhyaikena nīvīṃ calamaṇiraśanāṃ bhraśyamānāṃśukāntā	(b) saMgRhya-ekena nIvIm cala-maNiH-aSanAm BraSyamAna-aMSu-kAntA
   (c) āyāty abhyutsmayantījvalitataravapur bhūṣaṇānāṃ prabhābhiḥ	(c) AyAti aByutsmayantI-jvalitatara-vapuH BUzaNAnAm praBABiH
   (d) sajyotiṣkā sacandrā savihagavirutā śarvarīdevateva	(d) sa-jyotizkA sa-candrA sa-viha-gavirutA SarvarI-devatA-iva
   bho yat satyam abhyutthāpayatīva mām apy asyās tejasvitā eṣā māṃ	Bo yat satyam aByutTApayati-iva mAm api asyAH tejasvi-tA ezA mAm
   kapotakenopasarpati alam asmān upacāreṇa pratyādeṣṭum kim āha bhavatī -	kapotakena-upasarpati alam asmAn upacAreNa pratyAdezwum kim Aha BavatI -
   cirād api tāvat svāminām upagatānām upacāreṇa tāvad ayaṃ jana ātmānam	cirAt api tAvat svAminAm upagatAnAm upacAreNa tAvat ayam janaH AtmAnam
   anugṛhṇīyād iti alam alam atyupālambhena idam ucitam utsaṅgāsanam	anugRhNIyAt iti alam alam ati-upAlamBena idam ucitam utsaFga-Asanam
   anugṛhyatām eṣā me śirasā pratigṛhītam ity uktvā śilātalārdhaṃ	anugRhyatAm ezA me SirasA pratigRhItam iti uktvA SilA-tala-arDam
   śroṇībimbenākṣipantīvopaviśati aye na khalv atropaveṣṭavyam kim āha	SroNI-bimbena-Akzipanti-iva-upaviSati aye na Kalu atra-upavezwavyam kim Aha
   bhavatī - kimartham iti nanv idaṃ kasyāpi caritaṃ kenāpi	BavatI  kimarTam iti nanu idam kasya-api caritam kena-api
   pratyākhyātapraṇayāyāḥ ślokasaṃjñakam ayaśo 'smābhir dṛṣṭam kathaṃ	pratyAKyAta-praNayAyAH Sloka-saMjQakam ayaSaH asmABiH dRzwam kaTam
   hastābhyāṃ pramārṣṭi cori na śakyam idaṃ pramārṣṭum idaṃ hi me hṛdi	hastAByAm pramArzwi cori na Sakyam idam pramArzwum idam hi me hRdi
   likhitam eṣā kiṃ vārayati kim āha bhavatī - jānīta evāsmatsvāmī	liKitam ezA kim vArayati kim Aha BavatI  jAnItaH eva-asmad-svAmI
   yathāsmatsakhyāḥ kusumāvatikāyāḥ priyavayasyaṃ citrācāryaṃ śivasvāminaṃ	yaTA-asmad-saKyAH kusumAvatikAyAH priya-vayasyam citra-AcAryam SivasvAminam
   prati	prati
   [p.103] mahān madanonmāda iti suṣṭhu jānīmaḥ kiṃ ca tatrabhavatyā	[p.103] mahAn madana-unmAdaH iti suzWu jAnImaH kim ca tatraBavatyA
   kusumāvatikayā tatrabhavān abhigamanenānugṛhītaḥ kim āha bhavatī -	kusumAvatikayA tatraBavAn aBigamanena-anugRhItaH kim Aha BavatI -
   madanaviklavasya strīhṛdayasyāyaṃ svabhāvaḥ kṛtam anayā strīcāpalyam iti	madana-viklavasya strI-hRdayasya-ayam svaBAvaH kRtam anayA strI-cApalyam iti
   citraḥ khalu prastāvaḥ pṛcchāmas tāvad enām bhavati, visrambhaḥ pṛcchati	citraH Kalu prastAvaH pRcCAmaH tAvat enAm Bavati, visramBaH pRcCati
   na pararahasyakutūhalatā tat katham anayoś cirābhilaṣitasamāgamotsavo	na para-rahasya-kutUhala-tA tat kaTam anayoH cira-aBilazita-samAgama-utsavaH-
   nirvṛtto 'bhūt kim āha bhavatī - śrūyatām iti avahito 'smi kim āha bhavatī	nirvRttaH aBUt kim Aha BavatI  SrUyatAm iti avahitaH asmi kim Aha BavatI
   - tasyāṃ kila vāruṇīmadalakṣyeṇa tatrabhavatānugṛhītāyāṃ tatrabhavato	 tasyAm kila vAruNI-mada-lakzyeNa tatraBavatA-anugRhItAyAm tatraBavataH-
   vayasyasya	vayasyasya
   70 (a) gataḥ pūrvo yāmaḥ śrutivirasayā mallakathayā	70 (a) gataH pUrvaH yAmaH Sruti-virasayA malla-kaTayA
   (b) dvitīyo vikṣiptaḥ palalaguḍabāhyavyatikaraiḥ	(b) dvitIyaH vikziptaH palala-guxa-bAhya-vyatikarEH
   (c) tṛtīyo gātrāṇām upacayakathābhir vigalitas	(c) tRtIyaH gAtrANAm upacaya-kaTABiH vigalita-s
   (d) tatas tan nirvṛttaṃ kathayitum alaṃ tvayy api yadi iti	(d) tatas tat nirvRttam kaTayitum alam tvayi api yadi iti
   sundari, kutas tvayaitad upalabdham kim āha bhavatī - tasyaiva sakhyur	sundari, kutas tvayA-etat upalabDam kim Aha BavatI  tasya-eva saKyuH-
   udavasitād āgatāt pratihārapadmapālād upalabdhavṛttāntayā mayaiṣa ślokaḥ	uda-vasitAt AgatAt pratihAra-padma-pAlAt upalabDa-vRttAntayA mayA-eza SlokaH
   sukhaprāśnikahastenānupreṣitaḥ tataḥ sā tenaiva paricārakeṇa saha mām	suKa-prASnika-hastena-anuprezitaH tatas sA tena-eva paricArakeNa saha mAm
   upasthitā lajjāvilakṣam upahasantīva	upasTitAH lajjA-vilakzam upahasantI-iva
   [p.104] mām uktavatī na ca rahasyānākhyānena bhavatīm avakṣeptum arhāmi	[p.104] mAm uktavatI na ca rahasya-anAKyAnena BavatIm avakzeptum arhAmi
   śrūyatām idam apūrvam iti tato 'nayā yathāvṛttaṃ sarvaṃ mahyam ākhyātam	SrUyatAm idam apUrvam iti tatas anayA yaTAvRttam sarvam mahyam AKyAtam
   tena hi tvam apy anena śrotrāmṛtena saṃvibhaktum arhasīti eṣā satalaghātaṃ	tena hi tvam api anena Srotra-amRtena saMviBaktum arhasi-iti ezA sa-tala-GAtam
   prahasya kathayati sundari, kiṃ bravīṣi - śrūyatām idānīṃ yan mama	prahasya kaTayati sundari, kim bravIzi  SrUyatAm idAnIm yat mama
   priyasakhyā kathitam sā hi mām uktavatī: priyasakhi, sa hi mayā	priya-saKyA kaTitam sA hi mAm uktavatI: priya-saKi, sa hi mayA
   71 (a) āliṅgito 'pi bahudhā paricumbito 'pi	71 (a) AliFgitaH api bahuDA paricumbitaH api
   (b) śroṇyarpito 'pi karajair upacodito 'pi	(b) SroNi-arpitaH api karajEH upacoditaH api
   (c) khinnāsmi dārv iva yadā na sa mām upaiti	(c) KinnA-asmi dAru iva yadA na sa mAm upEti
   (d) śayyāṅgam ekam upagūhya tato 'smi suptā iti	(d) SayyA-aFgam ekam upagUhya tatas asmi suptAH iti
   tato mayoktā: kṛcchraṃ batānubhūtavaty asi kim etan nāvagacchāmīti tato	tatas mayA-uktA: kRcCram bata-anuBUtavati asi kim etat na-avagacCAmi-iti tatas-
   niḥśvasya mām uktavatī	niHSvasya mAm uktavatI
   72 (a) yadā sarvopāyaiś caṭubhir upayāto 'pi sa mayā	72 (a) yadA sarva-upAyEH cawuBiH upayAtaH api sa mayA
   (b) na yatnaṃ kurvāṇo mayi manasijecchām alabhata	(b) na yatnam kurvANaH mayi manasija-icCAm alaBata
   (c) tatas tasmin sarvapratihatavidhānāsmi sahasā	(c) tatas tasmin sarva-pratihata-viDAnA-asmi sahasA
   (d) svadaurbhāgyaṃ matvā stanataṭavikampaṃ praruditā	(d) sva-dOrBAgyam matvA stana-tawa-vikampam praruditA
   tataḥ sa māṃ rudatīm utsaṅgam āropya muhur muhur vyarthaiś	tatas sa mAm rudatIm utsaFgam Aropya muhur muhur vyarTa-EH-
   cumbanapariṣvaṅgair āśvāsayan nāma dṛḍham ātmānam āyāsitavān uktaṃ ca mayā	cumbana-parizvaFgEH ASvAsayat nAma dRXam AtmAnam AyAsitavAn uktam ca mayA
   kiṃ te pāṇibhyāṃ spṛṣṭayeti tato	kim te pANiByAm spRzwayA-iti tatas-
   [p.105] vrīḍārjitasādhvasasvedavepathuḥ śuṣyateva mukhena	[p.105] vrIxA-arjita-sADvasa-sveda-vepaTuH SuzyatA-iva muKena
   nātipragalbhākṣaram uktavān	na-ati-pragalBa-akzaram uktavAn
   73 (a) na ninditum anindite subhagatāṃ nijām arhasi	73 (a) na ninditum anindite suBaga-tAm nijAm arhasi
   (b) cyutaṃ hi mama cakṣur etad abhito nidhiṃ paśyataḥ	(b) cyutam hi mama cakzuH etat aBitas niDim paSyataH
   (c) vadhāya kila medaso yad apibaṃ purā gulguluṃ	(c) vaDAya kila medasaH yat apibam purA gulgulum
   (d) tad etad upahanti me vyatikarāmṛtaṃ tvadgatam iti	(d) tat etat upahanti me vyatikara-amRtam tvad-gatam iti
   tato mayā cintitam	tatas mayA cintitam
   74 (a) medaḥkṣayāya pīto	74 (a) medaH-kzayAya pItaH-
   yadi gulgulur indriyakṣayaṃ kurute	yadi gulguluH indriya-kzayam kurute
   (b) dhūpārtho 'pi na kāryo	(b) DUpa-arTaH api na kAryaH-
   gulgulunā kāmayānena iti	gulgulunA kAmayAnena iti
   evam āvayoś ciraprārthitam apārthakaṃ samāgamanaṃ prāptakālam icchatoḥ	evam AvayoH cira-prArTitam apArTakam samAgamanam prApta-kAlam icCatoH
   75 (a) rajanīvyapayānasūcako	75 (a) rajanI-vyapayAna-sUcakaH-
   (b) nṛpater dundubhipāripārśvikaḥ	(b) nRpateH dunduBi-pAripArSvikaH
   (c) apaṭhat stutimaṅgalāny alaṃ	(c) apaWat stuti-maFgalAni alam
   (d) sakhi ghaṇṭām abhihatya ghāṇṭikaḥ	(d) saKi GaNwAm aBihatya GANwikaH
   tatas tenaiva dakṣiṇeneva suhṛdā tasmāt saṃkaṭāt parimocitā kāminā	tatas tena-eva dakziNena-iva suhRdA tasmAt saMkawAt parimocitA kAminA
   savrīḍaṃ muhūrtam anugamya preṣitā svagṛham āgatā	sa-vrIxam muhUrtam anugamya prezitA sva-gRham AgatA
   [p.106] ca tvayā ca sukhaprāśnikābhidhānenopahasitāsmi tad etat te	[p.106] ca tvayA ca suKa-prASnika-aBiDAnena-upahasitA-asmi tat etat te
   sarvam aśeṣataḥ kathitam aham idānīṃ mithyāprajāgaraṃ	sarvam aSezatas kaTitam aham idAnIm miTyA-prajAgaram
   divāsvapnenāpaneṣyāmīty uktvā mayānujñātā gatā tadanantarāgatena svāmināpy	divAsvapnena-apanezyAmi-iti uktvA mayA-anujQAtA gatA tad-anantarA-gatena svAminA-api-
   etac chrutam iti tena hy anenaiva parihāsaplavena tatrabhavataḥ	etat Srutam iti tena hi anena-eva parihAsa-plavena tatraBavataH
   śivadattasya putraṃ śivasvāminaṃ puruṣadambhagambhīrakīrtisāgaram	Sivadattasya putram Siva-svAminam puruza-damBa-gamBIra-kIrti-sAgaram
   avagāhiṣye paśyatu bhavatī	avagAhizye paSyatu BavatI
   76 (a) yo gulguluṃ pibati medasi saṃpravṛddhe	76 (a) yaH gulgulum pibati medasi saMpravRdDe
   (b) tasya kṣayaṃ vrajati caṇḍy acireṇa medaḥ	(b) tasya kzayam vrajati caNxI acireNa medaH
   (c) strīṇāṃ bhavaty atha sa yauvanaśālinīnām	(c) strINAm Bavati aTa sa yOvana-SAlinInAm
   (d) ālekhyayakṣa iva darśanamātraramyaḥ	(d) AleKya-yakzaH iva darSana-mAtra-ramyaH
   eṣā prahasyotthitā yāsyāmīti bhavatv alam añjalinā ito vayam (parikramya)	ezA prahasya-utTitA yAsyAmi-iti Bavatu alam aQjalinA itas vayam (parikramya)
   kiṃ nu khalv imāny uddaṇḍapuṇḍarīkavanaṣaṇḍaśobhānukārīṇy	kim nu Kalu imAni uddaNxa-puNxarIka-vana-zaNxa-SoBA-anukArINi-
   udgrīvavadanapuṇḍarīkāṇi vismayavitatākṣimālāśabalāny urasi	udgrIva-vadana-puNxarIkANi vismaya-vitata-akzi-mAlASa-balAni urasi
   nihitakarapallavāny anyonyasaṃjñāparivartakāni	nihita-kara-pallavAni anyonya-saMjQA-parivartakAni
   nivṛttakandukapiñcholākṛtakaputrakaduhitṛkākrīḍanakāni veśarathyāyāṃ	nivRtta-kandukapiQColA-kRtaka-putra-ka-duhitRkA-krIxanakAni veSa-raTyAyAm
   pratibhavanacchāyāsu veśakanyakāvṛndakāny avalokayanti aye kiṃ nu khalv	pratiBavana=-CAyAsu veSa-kanyakA-vRndakAni avalokayanti aye kim nu Kalu-
   idam	idam
   [p.107] 77 (a) arañjaram idaṃ luṭhaty atha dṛtiḥ samākṛṣyate	[p.107] 77 (a) araQjaram idam luWati aTa dRtiH samAkRzyate
   (b) kabandham idam utthitaṃ vrajati kiṃ kusūladvayam	(b) kabanDam idam utTitam vrajati kim kusUla-dvayam
   (c) bhavet kim idam adbhutaṃ bhavatu sāṃprataṃ lakṣitaṃ	(c) Bavet kim idam adButam Bavatu sAMpratam lakzitam
   (d) tad etad upaguptasaṃjñam udaraṃ samutsarpati	(d) tat etat upagupta-saMjQam udaram samutsarpati
   bhoḥ suṣṭhu khalv idam ucyate dhūrtapariṣatsu	BoH suzWu Kalu idam ucyate DUrta-parizatsu
   78 (a) karabhogair guptagalo	78 (a) kara-BogEH gupta-galaH-
   harikṛṣṇaḥ kṛṣṇa eva vanamahiṣaḥ	hari-kRzNaH kRzNaH eva vana-mahizaH
   (b) gomahiṣo haribhūtir	(b) go-mahizaH hariBUtiH-
   dṛtir upagupto 'nilādhmātaḥ iti	dRtiH upaguptaH anila-ADmAtaH iti
   kathaṃ ca tāvad imaṃ sā tapasvinī gaṅgāyamunayoś cāmaragrāhiṇī	kaTam ca tAvat imam sA tapasvinI gaFgA-yamunayoH cAmara-grAhiNI
   pustakavācikā madayantī priyavayasyaṃ nas tatrabhavantaṃ traividyavṛddhaṃ	pustaka-vAcikA madayantI priya-vayasyam naH tatraBavantam trEvidya-vRdDam
   pustakavācakam utsṛjyopaguptam anuraktā tathā cāsya komalābhyāṃ bhujābhyāṃ	pustaka-vAcakam utsRjya-upaguptam anuraktA taTA ca-asya komalAByAm BujAByAm
   pariṣvajyate athavā na tasyāḥ pariṣvaṅgena prayojanaṃ sā hi tapasvinī	parizvajyate aTavA na tasyAH parizvaFgena prayojanam sA hi tapasvinI
   nivṛttakāmatantrā rajo 'parodhāt kevalaṃ kuṭumbatantrārthaṃ śabdakāmam	nivRtta-kAma-tantrAH rajaH aparoDAt kevalam kuwumba-tantra-arTam Sabda-kAmam
   anuvartate gamyaś cāyam asyāḥ apumāñ śabdakāma iti	anuvartate gamyaH ca-ayam asyAH apumAn Sabda-kAmaH iti
   [p.108] dāttakīyāḥ (vilokya) kiṃ ca tāvad ayam āvigna iva ā jñātam tasyā	[p.108] dAttakIyAH (vilokya) kim ca tAvat ayam AvignaH iva A jQAtam tasyAH-
   eva mātrā paṇārtham adhikaraṇāyākṛṣyata iti veśe mayopalabdham tataḥ	eva mAtrA paNa-arTam aDikaraNAya-akRzyate iti veSe mayA-upalabDam tatas-
   śvaśrvā saha kṛtavivādenānena bhavitavyam mahad idaṃ parihāsavastu na	SvaSrvA saha kRta-vivAdena-anena Bavitavyam mahat idam parihAsa-vastu na
   śakyam asyātikramaṇād ātmānaṃ vañcayitum yāvad en am upasarpāmi (upetya)	Sakyam asya-atikramaNAt AtmAnam vaQcayitum yAvat ed am upasarpAmi (upetya)
   haṇḍe veśavīthīyakṣa, kuto bhavān eṣa pādacārakhedāt	haNxe veSa-vITI-yakza, kutas BavAn eza pAda-cAra-KedAt
   kākocchvāsaśramaviṣamitākṣaram ayam añjalir ity uktvā sthitaḥ svasti	kAka-ucCvAsa-Srama-viza-mita-akzaram ayam aQjaliH iti uktvA sTitaH svasti
   bhavate kiṃ bravīṣi - eṣa khalu tayā vṛddhapuṃścalyā saha vivādārthaṃ	Bavate kim bravIzi  eza Kalu tayA vRdDa-puMScalyA saha vivAda-arTam
   gatvā kumārāmātyādhikaraṇād āgacchāmīti kathaṃ bhavantaṃ jayena	gatvA kumAra-amAtya-aDikaraNAt AgacCAmi-iti kaTam Bavantam jayena
   vardhayāmaḥ utāhosvid daṇḍasāhāyyena saṃbhāvayāmaḥ kim āha bhavān - kuto	varDayAmaH uta-Ahosvit daNxa-sAhAyyena saMBAvayAmaH kim Aha BavAn  kuto
   jayadaṇḍābhyāṃ saha saṃyogaḥ kevalaṃ kleśo 'nubhūyata iti kasmāt kiṃ	jaya-daNxAByAm saha saMyogaH kevalam kleSaH anuBUyate iti kasmAt kim
   bravīṣi -	bravIzi -
   79 (a) pradhyāti viṣṇudāso	79 (a) praDyAti vizNu-dAsaH-
   bhrātrā kila tarjito 'smi koṅkena	BrAtrA kila tarjitaH asmi koFkena
   (b) drāk tenābhihato 'haṃ	(b) drAk tena-aBihataH aham
   krośati viṣṇuḥ svapiti cātra	kroSati vizNuH svapiti ca-atra
   api ca	api ca
   80 (a) mṛgayante tadadhikṛtā	80 (a) mRgayante tad-aDikRtA
   mṛgayante pustapālakāyasthāḥ	mRgayante pustapAla-kAyasTAH
   (b) kāṣṭhakamahattarair api	(b) kAzWaka-mahattarEH api
   [p.109] vidhṛto 'smi ciraṃ mṛgayamānaiḥ	[p.109] viDRtaH asmi ciram mRgayamAnEH
   api ca tato mayāvadhṛtam	api ca tatas mayA-avaDRtam
   81 (a) gaṇikāyāḥ kāyasthān	81 (a) gaNikAyAH kAyasTAn
   kāyasthebhyaś ca vimṛśato gaṇikāḥ	kAyasTeByaH ca vimRSataH gaNikAH
   (b) gaṇikāyai dātavyaṃ	(b) gaNikAyE dAtavyam
   ratir api tāvad bhavaty asyām iti	ratiH api tAvat Bavati asyAm iti
   diṣṭyā kāyasthavāgurātītaṃ bhavantam akṣataṃ paśyāmi sarvathā pratibuddho	dizwyA kAyasTa-vAgurA-atItam Bavantam akzatam paSyAmi sarvaTA pratibudDaH-
   'si idānīm iyam āśīḥ	asi idAnIm iyam ASIH
   82 (a) kalamadhuraraktakaṇṭhī	82 (a) kala-maDura-rakta-kaNWI
   śayane madirālasā samadanā ca	Sayane madirA-alasA sa-madanA ca
   (b) vaktrāparavaktrābhyām	(b) vaktra-apara-vaktrAByAm
   upatiṣṭhatu vāramukhyā tvām	upatizWatu vAramuKyA tvAm
   eṣa satalaghātaṃ prahasya prasthitaḥ ito vayam (parikramya) aye ayam	eza sa-tala-GAtam prahasya prasTitaH itas vayam (parikramya) aye ayam
   aparaḥ	aparaH
   83 (a) srasteṣv aṅgeṣv āḍhakāṃl lāṭabhaktyā	83 (a) srastezu aFgezu AXakAn lAwa-BaktyA
   (b) dattvā citrān ko 'yam āyāti mattaḥ	(b) dattvA citrAn kaH ayam AyAti mattaH
   (c) vibhrāntākṣo gaṇḍavichinnahāso	(c) viBrAnta-akzaH gaNxa-viCinna-hAsaH-
   (d) veśasvargaṃ kiṃkṛte 'yaṃ praviṣṭaḥ	(d) veSasvargam kiMkRte ayam pravizwaH
   bhavatu vijñātam	Bavatu vijQAtam
   84 (a) śarkarapālasya gṛhe	84 (a) SarkarapAlasya gRhe
   jātaḥ kīreṇa carmakāreṇa	jAtaH kIreNa carmakAreNa
   (b) eṣa khalu koṅkaceṭyāṃ	(b) eza Kalu koFka-cewyAm
   [p.110] piśācikāyāṃ tṛṇapiśācaḥ	[p.110] piSAcikAyAm tRNa-piSAcaH
   api ca	api ca
   85 (a) śarkarapālaṃ pitaraṃ	85 (a) SarkarapAlam pitaram
   vyapadiśati bhrātaraṃ ca nirapekṣam	vyapadiSati BrAtaram ca nirapekzam
   (b) prāyeṇa dauṣkuleyāḥ	(b) prAyeNa dOzkuleyAH
   sahaiva dambhena jāyante	saha-eva damBena jAyante
   (parikramya) bhoḥ kiṃ nu khalu pṛccheyam kim asya veśapraveśe prayojanam	(parikramya) BoH kim nu Kalu pRcCeyam kim asya veSa-praveSe prayojanam
   iti aye ayaṃ jaradviṭo bhaṭṭiravidatta ita evābhivartate yāvad enaṃ	iti aye ayam jaradviwaH BawwiH-avidattaH itas eva-aBivartate yAvat enam
   pṛcchāmi aṃgho bhaṭṭiravidatta, kaccij jānīte bhavān asya puruṣavetālasya	pRcCAmi aMGaH BawwiH-avidatta, kaccit jAnIte BavAn asya puruza-vetAlasya
   veśapraveśaprayojanam kiṃ bravīṣi - bhavān eva jānīta iti tad gacchatu	veSa-praveSa-prayojanam kim bravIzi  BavAn eva jAnItaH iti tat gacCatu
   bhavān (parikramya) kva nu khalv idaṃ puruṣakāntārāvagāhanaśrāntaṃ mano	BavAn (parikramya) kva nu Kalu idam puruza-kAntAra-ava-gAhana-SrAntam manaH-
   vinodayeyam bhavatu, dṛṣṭam	vinodayeyam Bavatu, dRzwam
   86 (a) idam aparaṃ priyasuhṛdaḥ	86 (a) idam aparam priya-suhRdaH
   suhṛdbhayād arpitārgalaṃ bhavanam	suhRd-BayAt arpita-argalam Bavanam
   (b) veśyāsuratavimardeṣv	(b) veSyA-surata-vimardezu-
   akṛtavirāmasya rāmasya	akRta-virAmasya rAmasya
   [p.111] tat kathaṃ praviśāmi (karṇaṃ dattvā)	[p.111] tat kaTam praviSAmi (karNam dattvA)
   87 (a) yathā kāñcīśabdaś carati vikalo nūpuraravair	87 (a) yaTA kAQcI-SabdaH carati vikalaH nUpura-ravEH-
   yathā muṣṭyāghātaḥ patati valayodghātapiśunaḥ	yaTA muzwi-AGAtaH patati valaya-udGAta-piSunaH
   (b) yathā niḥśūtkāraṃ śvasitam api cāntargṛhagataṃ	(b) yaTA niHSUtkAram Svasitam api ca-antargRha-gatam
   dhruvaṃ rāmā rāmaṃ yuvativiparītaṃ ramayati	Druvam rAmA rAmam yuvati-viparItam ramayati
   tad alam iha praviṣṭakena kaḥ suratarathākṣabhaṅgaṃ kariṣyati ito vayam	tat alam iha pravizwakena kaH surata-raTa-akza-BaFgam karizyati itas vayam
   (parikramya) aye ayam aparaḥ kaḥ	(parikramya) aye ayam aparaH kaH
   88 (a) dagdhaḥ śālmalivṛkṣaḥ	88 (a) dagDaH SAlmali-vRkzaH
   katipayaviṭapāgraśeṣatanuśākhaḥ	katipaya-viwapa-agra-Seza-tanu-SAKaH
   (b) kṛṣṇaḥ kṛśo viṭabako	(b) kRzNaH kRSaH viwabakaH-
   veśanalinyā marupiśācaḥ	veSa-nalinyAH maru-piSAcaH
   bhavatu vijñātam eṣa hi sauparas tauṇḍikokiḥ sūryanāgaḥ tataḥ kim ihāsya	Bavatu vijQAtam eza hi sOparaH tONxikokiH sUrya-nAgaH tatas kim iha-asya
   prayojanam katham eṣa māṃ dṛṣṭvaivottarīyāvakuṇṭhanena mukham apavārya	prayojanam kaTam eza mAm dRzwvA-eva-uttarIya-avakuNWanena muKam apavArya
   kāmadevāyatanam apasavyaṃ kṛtvā prasthitaḥ bho yadā tāvad adya tṛtīye	kAmadeva-Ayatanam apasavyam kRtvA prasTitaH Bo yadA tAvat adya tRtIye
   'hani bahiḥśivike kuṭaṅkāgāraniketanābhiḥ patākāveśyābhiḥ saṃprayukto	ahani bahis-Sivike kuwaFka-AgAra-niketanABiH patAkA-veSyABiH saMprayuktaH-
   mlecchāśvabandhakair vyavahārārthaṃ śrāvaṇikair adhikaraṇam	mlecCa-aSva-banDakEH vyavahAra-arTam SrAvaNikEH aDikaraNam
   [p.112] upanīyamānaḥ skandakīrtinā baladarśakena svāmino me viṣṇoḥ	[p.112] upanIyamAnaH skanda-kIrtinA bala-darSakena svAminaH me vizNoH
   syālīpatir iti kṛtvā kṛcchrāt pramocita iti vayasyaviṣṇunā me kathitam tat	syAlI-patiH iti kRtvA kRcCrAt pramocitaH iti vayasya-vizNunA me kaTitam tat-
   kim ayam idānīm asmād veśasaṃsargād vrīḍita ivātmānaṃ pariharati	kim ayam idAnIm asmAt veSa-saMsargAt vrIxitaH iva-AtmAnam pariharati
   (vicintya) pārthivakumārasaṃnikarṣa enam anayā pravṛttyā vrīḍayati	(vicintya) pArTiva-kumAra-saMnikarzaH enam anayA pravRttyA vrIxayati
   āścaryam guṇavān khalu guṇavatāṃ saṃnikarṣaḥ yad ayam api nāmaivaṃ	AScaryam guNavAn Kalu guNavatAm saMnikarzaH yat ayam api nAma-evam
   guṇābhimukhaḥ tan na śakyam enam apratyabhijñānena sakāmaṃ kartum yāvad	guNa-aBimuKaH tat na Sakyam enam apratyaBijQAnena sa-kAmam kartum yAvat-
   aham apy āyatanaṃ pradakṣiṇīkurvan nāma saṃmukhīnam enaṃ	aham api Ayatanam pradakziNIkurvan nAma saMmuKInam enam
