   (Tvbh_38)	(TvB_38)
   | ayañ ca kaukṛtyāsparśasaṃniśrayadānakarmakaḥ | (Tvbh_92) dharmataiṣā yad	| ayan ca kOkRtya asparSa saMniSraya dAna karmakaH | (TvB_92) DarmatA ezA yat 
   avadyaṃ pracchādayataḥ kaukṛtyam utpadyate kaukṛtyāc cāvaśyaṃ	avadyam pracCAdayataH kOkRtyam utpadyate kOkRtyAt ca avaSyam
   daurmanasyena saṃprayogād asparśavihāra iti |	dOrmanasyena saMprayogAt asparSa vihAraH iti |
   pradāśaś caṇḍavacodāśitā | caṇḍaṃ vacaḥ pragāḍhaṃ pāruṣyaṃ	pradASaH caNxavacA udASitA | caNxam vacaH pragAXam pAruzyam
   marmaghaṭṭanayogena | daśanaśīlo dāśī | tadbhāvo dāśitā | ayañ ca	marma Gawwana yogena | daSana SIlaH dASI | tad BAvaH dASitA | ayan ca
   bhāvapratyayaḥ svārthikaḥ | caṇḍena vacasā pradaśatīti caṇḍavacodāśitā |	BAva pratyayaH svArTikaH | caNxena vacasA pradaSati iti caNxava cA udASitA |
   ayañ ca krodhopanāhapūrvakaś cetasa āghātasvabhāva iti pratighāṃśika eva	ayan ca kroDa upanAha pUrvakaH cetasaH AGAta svaBAvaH iti pratiGA aMSikaH eva
   na dravyato vidyate | ayañ ca vāgduścaritaprasavakarmakaḥ |	na dravyataH vidyate | ayan ca vAc duScarita prasava karmakaH |
   asparśavihārakarmakaś ca tadvataḥ pudgalasya duḥkhasaṃvāsatvāt |	asparSa vihAra karmakaH ca tadvataH pudgalasya duHKa saMvAsa tvAt |
   īrṣyā parasaṃpattau cetaso vyāroṣaḥ | lābhasatkārādhyavasitasya	IrzyA para saMpattO cetasaH vyArozaH | lABa satkAra aDyavasitasya
   lābhasatkārakulaśīlaśrutādīn guṇaviśeṣān parasyopalabhya dveṣāṃśiko	lABa satkAra kula SIla Sruta AdIn guNa viSezAn parasya upalaBya dveza aMSiko
   'marṣakṛtaś cetaso vyāroṣa īrṣyā | svam āśrayaṃ vyāpya roṣo vyāroṣaḥ |	amarza kRtaH cetasaH vyAroza IrzyA | svam ASrayam vyApya rozaH vyArozaH |
   daurmanasyasaṃprayogāt tatpūrvakaś cāsparśavihāra iti	dOrmanasya saMprayogAt tad pUrvakaH ca asparSa vihAraH iti
   daurmanasyāsparśavihārakarmikocyate |	dOrmanasya asparSa vihAra karmikA ucyate |
   mātsaryaṃ dānavirodhī cetasa āgrahaḥ | upāttaṃ vastu	mAtsaryam dAna viroDI cetasaH AgrahaH | upAttam vastu
   dharmāmiṣakauśalātmakaṃ yena pūjānugrahakāmyayārthine 'narthine vā dīyate	Darma Amiza kOSala Atmakam yena pUjA anugraha kAmyayA arTine anarTine vA dIyate
   tad dānam | tasmin sati dānābhāvāt tadvirodhīty ucyate |	tat dAnam | tasmin sati dAna aBAvAt tat viroDi iti ucyate |
   lābhasatkārādhyavasitasya jīvitopakaraṇeṣu rāgāṃśikaś cetasa āgraho	lABa satkAra aDyavasitasya jIvita upakaraNezu rAga aMSikaH cetasaH AgrahaH 
   'parityāgecchā mātsaryam | idaṃ cāsaṃlekhasaṃniśrayadānakarmakam |	aparityAga icCA mAtsaryam | idam ca asaMleKa saMniSraya dAna karmakam |
   asaṃlekhaḥ punar mātsaryeṇānupayujyamānānām apy upakaraṇānāṃ saṃnicayād	asaMleKaH punar mAtsaryeNa anupayujyamAnAnAm api upakaraNAnAm saMnicayAt 
   veditavyaḥ |	veditavyaH |
   māyā paravañcanāyābhūtārthasaṃdarśanatā | lābhasatkāradhyavasitasya	mAyA para vaQcanAya aBUta arTa saMdarSana tA | lABa satkAra Dyavasitasya
   paravañcanābhiprāyeṇānyathāvasthitasya śīlāder arthasyānyathā prakāśanā |	para vaQcana aBiprAyeNa anyaTA avasTitasya SIla AdeH arTasya anyaTA prakASanA |
   iyañ ca sahitābhyāṃ rāgamohābhyām abhūtān guṇān prakāśayatas tayoḥ	iyan ca sahitAByAm rAga mohAByAm aBUtAn guNAn prakASayataH tayoH
   samuditayoḥ prajñapyata iti krodhādivat prajñaptita eva na dravyata iti	samuditayoH prajQapyate iti kroDa Adi vat prajQaptitaH eva na dravyate iti
   mithyājīvasaṃniśrayadānakarmikā |	miTyA jIva saMniSraya dAna karmikA |
   (Tvbh_94)	(TvB_94)
   śāṭhyaṃ svadoṣapracchādanopāyasaṃgṛhītañ cetasaḥ kauṭilyam |	SAWyam sva doza pracCAdana upAya saMgRhItan cetasaH kOwilyam |
   svadoṣapracchādanopāyaḥ paravyāmohanam | tat punar anyenānyat pratisaran	sva doza pracCAdana upAyaH para vyAmohanam | tat punar anyena anyat pratisaran
   vikṣipaty aparisphuṭaṃ vā pratipadyate | ata eva śāṭhyaṃ mrakṣād bhidyate	vikzipati aparisPuwam vA pratipadyate | atas eva SAWyam mrakzAt Bidyate
   | sa hi sphuṭam eva pracchādayati na kākvā | idam api	| sa hi sPuwam eva pracCAdayati na kA akvA | idam api
   lābhasatkārādhyavasitopāyābhyāṃ rāgamohābhyāṃ svadoṣapracchādanārthaṃ	lABa satkAra aDyavasita upAyAByAm rAga mohAByAm sva doza pracCAdana arTam
   paravyāmohanāya pravartate | tayor eva sahitayoḥ prajñapyate | idañ ca	para vyAmohanAya pravartate | tayoH eva sahitayoH prajQapyate | idan ca
   samyagavavādalābhaparipanthakarmakam | samyagavavādasya yo lābho yoniśo	samyak avavAda lABa paripanTa karmakam | samyak avavAdasya yaH lABaH yoniSas 
   manasikāras tasyāntarāyaṃ karoti |	manasikAraH tasya antarAyam karoti |
   madaḥ svasaṃpattau raktasyoddharṣaś cetasaḥ paryādānam |	madaH sva saMpattO raktasya udDarzaH cetasaH paryAdAnam |
   kulārogyayauvanabalarūpaiśvaryabuddhimedhāprakarṣaḥ svasaṃpattiḥ |	kula Arogya yOvana bala rUpa ESvarya budDi meDA prakarzaH sva saMpattiH |
   uddharṣo harṣaviśeṣaḥ | yena harṣaviśeṣeṇa cittam asvatantrīkriyate tena	udDarzaH harza viSezaH | yena harza viSezeNa cittam asvatantrIkriyate tena
   tadātmatantrīkaraṇāt paryāttaṃ bhavatīty etad uktañ cetasaḥ paryādānam iti	tad Atma tantrIkaraNAt paryAttam Bavati iti etat uktan cetasaH paryAdAnam iti
   | ayañ ca sarvakleśopakleśasaṃniśrayadānakarmakaḥ |	| ayan ca sarva kleSa upakleSa saMniSraya dAna karmakaH |
   vihiṃsā sattvaviheṭhanā | vividhair vadhabandhanatāḍanatarjanādibhiḥ	vihiMsA sattva viheWanA | viviDEH vaDa banDana tAxana tarjana AdiBiH
   sattvānāṃ hiṃsā vihiṃsā | viheṭhyante 'nayā sattvā vadhabandhanādibhir	sattvAnAm hiMsA vihiMsA | viheWI ante anayA sattvAH vaDa banDana AdiBiH 
   duḥkhadaurmanasyotpādanād iti sattvaviheṭhanā | sā punaḥ pratighāṃśikī	duHKa dOrmanasya utpAdanAt iti sattva viheWanA | sA punar pratiGAMSikI
   nirghṛṇatā sattveṣu cittarūkṣatā sattvaviheṭhanakarmikā vihiṃsety ucyate |	nirGRNa tA sattvezu citta rUkza tA sattva viheWana karmikA vihiMsA iti ucyate |
   āhrīkyaṃ svayam avadyenālajjā | tasmin karmaṇyātmānam ayogyaṃ	AhrIkyam svayam avadyena AlajjA | tasmin karmaNi AtmAnam ayogyam
   manyamānasyāpi yāvadyenālajjā sāhrīkyaṃ hrīvipakṣabhūtam |	manyamAnasya api yAvadyena AlajjA sAhrIkyam hrI vipakza BUtam |
   anapatrāpyaṃ parato 'vadyenālajjā | lokaśāstraviruddham etan mayā kriyata	anapatrApyam paratas avadyena AlajjA | loka SAstra virudDam etat mayA kriyata
   ity evam avagacchato 'pi yā tayā pāpakriyayālajjā sāpatrāpyavipakṣabhūtam	iti evam avagacCataH api yA tayA pApa kriyayA alajjA sApatrApya vipakza BUtam
   anapatrāpyam	anapatrApyam
   etac ca dvayam api sarvakleśopakleśasāhāyyakarmakam |	etat ca dvayam api sarva kleSa upakleSa sAhAyya karmakam |
   rāgadveṣamohaprakāreṣu sarvāsatkāryaprabhavahetuṣu rāgadveṣayor	rAga dveza moha prakArezu sarva asat kArya praBava hetuzu rAga dvezayoH 
   ayaugapadyād yathāsaṃbhavaṃ prajñapyate na tu svatantram asti |	ayOgapadyAt yaTAsaMBavam prajQapyate na tu svatantram asti |
   (Tvbh_96)	(TvB_96)
   styānañ cittasyākarmaṇyatā staimityam | stimitasya bhāvaḥ staimityaṃ	styAnan cittasya akarmaNya tA stEmityam | stimitasya BAvaH stEmityam
   yadyogāc cittaṃ jaḍībhavati stimitaṃ bhavati nālambanaṃ pratipattuṃ	yad yogAt cittam jaxIBavati stimitam Bavati na Alambanam pratipattum
   samutsahate | etac ca sarvakleśopakleśasahāyyadānakarmakam | mohāṃśe	samutsahate | etat ca sarva kleSa upakleSa sahAyya dAna karmakam | moha aMSe
   prajñaptatvāc ca mohāṃśikam eva na pṛthag vidyate |	prajQapta tvAt ca moha aMSikam eva na pRTak vidyate |
   auddhatyaṃ cittasyāvyupaśamaḥ | vyupaśamo hi śamathas tadviruddho	OdDatyam cittasya avyupaSamaH | vyupaSamaH hi SamaTaH tad virudDaH 
   'vyupaśamaḥ | sa punar eṣa rāgānukūlaṃ	avyupaSamaH | sa punar eza rAga anukUlam
   pūrvahasitarasitakrīḍitādyanusmarataś cetaso 'vyupaśamahetuḥ	pUrva hasita rasita krIxita Adi anusmarataH cetasaH avyupaSama hetuH
   śamathaparipanthakarmakaḥ |	SamaTa paripanTa karmakaH |
   āśraddhyāṃ karmaphalasatyaratneṣv anabhisaṃpratyayaḥ śraddhāvipakṣaḥ |	ASradDyAm karma Pala satya ratnezu anaBisaMpratyayaH SradDA vipakzaH |
   śraddhā hy astitvaguṇavattvaśakyatveṣv abhisaṃpratyayaḥ prasādo 'bhilāṣaś	SradDA hi astitva guNavat tva Sakya tvezu aBisaMpratyayaH prasAdaH aBilAzaH 
   ca yathākramam | aśraddhā tadviparyeṇāstitvaguṇavattvaśakyatveṣv	ca yaTAkramam | aSradDA tad viparyeNa astitva guNavat tva Sakya tvezu 
   anabhisaṃpratyayo 'prasādo 'nabhilāṣaś ca | kausīdyasaṃniśrayadānakarmakam	anaBisaMpratyayaH aprasAdaH anaBilAzaH ca | kOsIdya saMniSraya dAna karmakam
   | aśraddadhānasya prayogacchandābhāvāt kausīdyasaṃniśrayadānakarmakatvam |	| aSraddaDAnasya prayoga= Canda aBAvAt kOsIdya saMniSraya dAna karmaka tvam |
   kausīdyaṃ kuśale cetaso 'nabhyutsāho vīryavipakṣaḥ | kuśale	kOsIdyam kuSale cetasaH anaByutsAhaH vIrya vipakzaH | kuSale
   kāyavāṅmanaḥkarmaṇi nidrāpārśvaśayanasukham āgamya yo mohāṃśikaś cetaso	kAya vAc manaH karmaNi nidrA pArSva Sayana suKam Agamya yaH moha aMSikaH cetasaH 
   'nabhyutsāhaḥ | etac ca kuśalapakṣaprayogaparipanthakarmakam |	anaByutsAhaH | etat ca kuSala pakza prayoga paripanTa karmakam |
   pramādo yair lobhadveṣamohakausīdyaiḥ kleśād rāgadveṣamohādikāc cittaṃ na	pramAdaH yEH loBa dveza moha kOsIdyEH kleSAt rAga dveza moha AdikAt cittam na
   rakṣati kaśalaṃ ca tatpratipakṣabhūtaṃ na bhāvayati | teṣu	rakzati kaSalam ca tad pratipakza BUtam na BAvayati | tezu
   lobhadveṣamohakausīdyeṣu pramādaḥ prajñapyate | ayañ	loBa dveza moha kOsIdyezu pramAdaH prajQapyate | ayan 
   cākuśalavṛddhikuśalaparihāṇisaṃniśrayadānakarmakaḥ |	ca akuSala vRdDi kuSala parihANi saMniSraya dAna karmakaH |
   muṣitā smṛtiḥ kliṣṭā smṛtiḥ | kliṣṭeti kleśasaṃprayuktā | iyañ ca	muzitA smRtiH klizwA smRtiH | klizwa iti kleSa saMprayuktAH | iyan ca
   vikṣepasaṃniśrayadānakarmikā |	vikzepa saMniSraya dAna karmikA |
   (Tvbh_98)	(TvB_98)
   vikṣepo rāgadveṣamohāṃśikaś cetaso visāraḥ | vividhaṃ kṣipyate 'nena	vikzepaH rAga dveza moha aMSikaH cetasaH visAraH | viviDam kzipyate anena
   cittam iti vikṣepaḥ | yai rāgadveṣamohaiś cittaṃ samādhyālambanād bahiḥ	cittam iti vikzepaH | yEH rAga dveza mohEH cittam samADi AlambanAt bahis 
   kṣipyate teṣu yathāsaṃbhavaṃ vikṣepaḥ prajñapyate | eṣa ca	kzipyate tezu yaTAsaMBavam vikzepaH prajQapyate | eza ca
   vairāgyaparipanthakarmaḥ |	vErAgya paripanTa karmaH |
   asaṃprajanyaṃ kleśasaṃprayuktā prajñā yayāsaṃviditā kāyavākcittacaryā	asaMprajanyam kleSa saMprayuktA prajQA yayA saMviditA kAya vAc citta caryA
   abhikramapratikramādiṣu vartate karaṇīyākaraṇīyājñānāt | etac	aBikrama pratikrama Adizu vartate karaNIyA karaNIyA jQAnAt | etat 
   cāpattisaṃniśrayadānakarmakam |	ca Apatti saMniSraya dAna karmakam |
   kaukṛtyaṃ cetaso vipratisāraḥ | kutsitaṃ kṛtam iti kukṛtam | tadbhāvaḥ	kOkRtyam cetasaH vipratisAraH | kutsitam kRtam iti kukRtam | tad BAvaH
   kaukṛtyam | iha tu kukṛtaviṣayaś cetaso vilekhaḥ kaukṛtyaṃ	kOkRtyam | iha tu kukRta vizayaH cetasaH vileKaH kOkRtyam
   caitasikādhikārāt | etac ca cittasthitiparipanthakarmakam |	cEtasikA aDikArAt | etat ca citta sTiti paripanTa karmakam |
   middham asvatantravṛtticetaso 'bhisaṃkṣepaḥ | vṛttir ālambane pravṛttiḥ |	midDam asvatantra vRtti cetasaH aBisaMkzepaH | vRttiH Alambane pravRttiH |
   sāsvatantrā cetaso yato bhavati tan middham | kāyasandhāraṇāsamarthā vā	sA asvatantrA cetasaH yatas Bavati tat midDam | kAya sanDAraNA samarTA vA
   vṛttiś cetaso 'svatantrā sā yato bhavati tan middham | abhisaṃkṣepaś	vRttiH cetasaH asvatantrA sA yatas Bavati tat midDam | aBisaMkzepaH 
   cetasaś cakṣurādīndriyadvāreṇāpravṛttiḥ | etac ca mohāṃśe prajñapanān	cetasaH cakzuH Adi indriya dvAreNa apravRttiH | etat ca moha aMSe prajQapanAn
   mohāṃśikaṃ kṛtyātipattisaṃniśrayadānakarmakañ ca |	moha aMSikam kRtyA atipatti saMniSraya dAna karmakan ca |
   vitarkaḥ paryeṣako manojalpaḥ prajñācetanāviśeṣaḥ | paryeṣakaḥ kim etad	vitarkaH paryezakaH manaH jalpaH prajQA cetanA viSezaH | paryezakaH kim etat 
   iti nirūpaṇākārapravṛttaḥ | manaso jalpo manojalpaḥ | jalpa iva jalpaḥ |	iti nirUpaNa AkAra pravRttaH | manasaH jalpaH manaH jalpaH | jalpaH iva jalpaH |
   jalpo 'rthakathanam | cetanāprajñāviśeṣa iti cetanāyāś	jalpaH arTa kaTanam | cetanA prajQA viSezaH iti cetanAyAS
   cittaparispandātmakatvāt prajñāyāś ca guṇadoṣavivekākāratvāt | tadvaśena	citta parispanda Atmaka tvAt prajQAyAH ca guNa doza viveka AkAra tvAt | tad vaSena
   cittapravṛtteḥ kadācic cittacetanayor vitarkaḥ prajñaptiḥ kadācit	citta pravRtteH kadAcid citta cetanayoH vitarkaH prajQaptiH kadAcid 
   prajñācetasor yathākramam anabhyūhābhyuhāvasthayoḥ | atha vā	prajQA cetasoH yaTAkramam anaByUha aByuha avasTayoH | aTa vA
   cetanāprajñayor eva vitarkaḥ prajñaptis tadvaśena cittasya	cetanA prajQayoH eva vitarkaH prajQaptiH tad vaSena cittasya
   tathāpravṛttatvāt | sa eva cittasyaudārikatā | audārikateti sthūlatā	taTA apravRtta tvAt | saH eva cittasya OdArika tA | OdArikatA iti sTUla tA
   vastumātraparyeṣaṇākāratvāt |	vastu mAtra paryezaNa AkAra tvAt |
   (Tvbh_100)	(TvB_100)
   eṣa ca nayo vicāre 'pi draṣṭavyaḥ | vicāro 'pi hi cetanāprajñāviśeṣātmakaḥ	eza ca nayaH vicAre api drazwavyaH | vicAraH api hi cetanA prajQA viSeza AtmakaH
   | pratyavekṣako manojalpa eva | idaṃ tad iti pūrvādhigatanirūpaṇāt | ata	| pratyavekzakaH manaH jalpaH eva | idam tat iti pUrva aDigata nirUpaNAt | ata
   eva ca cittasūkṣmatety ucyate |	eva ca citta sUkzma tA iti ucyate |
   etau ca sparśāsparśavihārasaṃniśrayadānakarmakau | anayoś	etO ca sparSa asparSa vihAra saMniSraya dAna karmakO | anayoH 
   caudārikasūkṣmatayā vyavasthāpanāt pṛthakkaraṇam |	ca OdArika sUkzma tayA vyavasTApanAt pRTak karaNam |
   dvaye dvidheti | (14d)	dvaye dviDA iti | (14d)
   dvayañ ca dvayañ ca dvaye | te punaḥ kaukṛtyamiddhe vitarkavicārau ca |	dvayan ca dvayan ca dvaye | te punar kOkRtyam idDe vitarka vicArO ca |
   ete ca catvāro dharmā dvidhā kliṣṭā akliṣṭāś ca |	ete ca catvAraH DarmAH dviDA klizwAH aklizwAH ca |
   tatrākuśalam akṛtvā kuśalañ ca kṛtvā yaś cetaso vilekhas tat saṃkliṣṭaṃ	tatra akuSalam akRtvA kuSalan ca kRtvA yaH cetasaH vileKaH tat saMklizwam
   kaukṛtyam | yat kuśalam akṛtvākuśalañ ca kṛtvā tat kaukṛtyam akliṣṭam |	kOkRtyam | yat kuSalam akRtvA akuSalan ca kRtvA tat kOkRtyam aklizwam |
   middham api kliṣṭacittāviddhaṃ kliṣṭacittasaṃprayuktaṃ ca kliṣṭam |	midDam api klizwa citta AvidDam klizwa citta saMprayuktam ca klizwam |
   akliṣṭacittāviddham akliṣṭacittasaṃprayuktañ cākliṣṭam |	aklizwa citta AvidDam aklizwa citta saMprayuktan ca aklizwam |
   kāmavyāpādavihiṃsādivitarkāḥ kliṣṭāḥ | naiśkramyādivitarkā akliṣṭāḥ | evaṃ	kAma vyApAt avihiMsA Adi vitarkAH klizwAH | na ESkramya Adi vitarkAH aklizwAH | evam
   paropaghātopāyavicāraḥ kliṣṭaḥ | parānugrahopāyavicāro 'kliṣṭaḥ |	para upaGAta upAya vicAraH klizwaH | para anugraha upAya vicAraH aklizwaH |
   tatra ye kaukṛtyamiddhavitarkavicārāḥ kliṣṭās ta evopakleśā netare |	tatra ye kOkRtyam idDa vitarka vicArAH klizwAH te eva upakleSAH na itare |
   tatra yathā rūpaśabdādyupalabdhiḥ ṣaṭprakārā yathāsaṃbhavaṃ sarvaiś	tatra yaTA rUpa Sabda Adi upalabDiH zaz prakArAH yaTAsaMBavam sarva EH 
   caitasikaiḥ saṃprayujyate sarvatragair viniyataiḥ kuśalaiḥ kleśair	cEtasikEH saMprayujyate sarvatragEH viniyatEH kuSalEH kleSEH 
   upakleśaiś ca evaṃ trivedanā tisṛbhiś ca vedanābhiḥ saṃprayujyate sukhayā	upakleSEH ca evam tri vedanA tisRBiH ca vedanABiH saMprayujyate suKayA
   duḥkhayā aduḥkhāsukhayā ca | saumanasyadaurmanasyopekṣāsthānīyeṣu rūpādiṣu	duHKayA aduHKa asuKayA ca | sOmanasya dOrmanasya upekzA sTAnIyezu rUpa Adizu
   tadutpatteḥ kuśalā akuśalā avyākṛtā ca | ālayavijñānan tu sarvatragaiḥ	tad utpatteH kuSalAH akuSalAH avyAkRtA ca | AlayavijQAnan tu sarvatragEH
   pañcabhir eva saṃprayujyate nānyaiḥ | tatra copekṣaiva vedanā	paQcaBiH eva saMprayujyate na anyEH | tatra ca upekzA eva vedanA
   anivṛtāvyakṛtañ ca | kliṣṭaṃ manaḥ sarvatragaiḥ pañcabhiś caturbhiś ca	anivRta avyakRtan ca | klizwam manaH sarvatragEH paQcaBiH caturBiH ca
   kleśair ātmamohādibhiḥ sadā saṃprayujyate | tatropekṣaiva vedanā	kleSEH Atma moha AdiBiH sadA saMprayujyate | tatra upekzA eva vedanA
   nivṛtāvyākṛtañ ceti |	nivRta avyAkRtan ca iti |
   (Tvbh_102)	(TvB_102)
   idam idānīñ cintyate | kiṃ pañcānāñ cakṣurvijñānādīnāṃ yugapad	idam idAnIn cintyate | kim paQcAnAn cakzuH vijQAna AdInAm yugapad 
   ālambanapratyayasānnidhye 'py ālayavijñānād ekasyaivotpattir bhavati na	Alambana pratyaya sAnniDye api Alaya vijQAnAt ekasya eva utpattiH Bavati na
   dvayor na bahūnāṃ vā | yathaike manyante | na dvayor na bahūnāṃ vā yugapat	dvayoH na bahUnAm vA | yaTA eke manyante | na dvayoH na bahUnAm vA yugapad 
   samanantarapratyayābhāvād ekasyaiva vijñānasyotpattir bhavati | na caikaṃ	samanantara pratyaya aBAvAt ekasya eva vijQAnasya utpattiH Bavati | na ca ekam
   vijñānaṃ bahūnāṃ samantarapratyayatvaṃ pratipattum utsahate | utāniyamena	vijQAnam bahUnAm samantara pratyaya tvam pratipattum utsahate | uta aniyamena
   yady ekasyaiva pratyayasāṃnidhyam ekam evotpadyate | evaṃ dvayor bahūnāñ	yadi ekasya eva pratyaya sAMniDyam ekam eva utpadyate | evam dvayoH bahUnAn 
   ca pratyayasāṃnidhye utpattir bhavatīty ata āha |	ca pratyaya sAMniDye utpattiH Bavati iti atas Aha |
   pañcānāṃ mūlavijñāne yathāpratyayam udbhavaḥ |	paQcAnAm mUla vijQAne yaTApratyayam udBavaH |
   vijñānānāṃ saha na vā taraṅgāṇāṃ yathā jale || 15	vijQAnAnAm saha na vA taraFgANAm yaTA jale || 15
   pañcānām iti cakṣurādivijñānānāṃ tadanucaramanovijñānasahitḥnḥm | pañcānāṃ	paQcAnAm iti cakzuH Adi vijQAnAnAm tad anucara manaH vijQAna sahitHnHm | paQcAnAm
   cakṣurādivijñānānāṃ bījāśrayatvāt tadutpatter gatiṣu janmopādānāc	cakzuH Adi vijQAnAnAm bIja ASraya tvAt tad utpatteH gatizu janma upAdAnAt 
   cālayavijñānaṃ mūlavijñānam ity ucyate | yathāpratyayam udbhava iti yasya	cAlaya vijQAnam mUla vijQAnam iti ucyate | yaTApratyayam udBavaH iti yasya
   yasya yaḥ pratyayaḥ saṃnihitas tasya tasya niyamenodbhava ātmalābhaḥ |	yasya yaH pratyayaH saMnihitaH tasya tasya niyamena udBavaH Atma lABaH |
   saha na veti yugapat krameṇa vā | taraṅgāṇāṃ yathā jala ity ālayavijñānāt	saha na vA iti yugapad krameNa vA | taraFgANAm yaTA jalaH iti AlayavijQAnAt 
   pravṛttivijñānānāṃ yugapad ayugapac cotpattau dṛṣṭāntaḥ | yathoktam |	pravRtti vijQAnAnAm yugapad ayugapad ca utpattO dRzwAntaH | yaToktam |
   tadyathā viśālamate mahata udakaughasya vahataḥ saced ekasya	tat yaTA viSAla mate mahataH udaka oGasya vahataH saced ekasya
   taraṅgasyotpattipratyayaḥ pratyupasthito bhavaty ekam eva	taraFgasya utpatti pratyayaH pratyupasTitaH Bavati ekam eva
   taraṅgaṃ pravartate | saced dvayos trayāṇāṃ saṃbahulānāṃ	taraFgam pravartate | saced dvayoH trayANAm saMbahulAnAm
   taraṅgāṇām utpattipratyayaḥ pratyupasthito bhavati yāvat	taraFgANAm utpatti pratyayaH pratyupasTitaH Bavati yAvat 
   saṃbahulāni taraṅgāṇi pravartante | na ca tasyodakaughasya srotasā	saMbahulAni taraFgANi pravartante | na ca tasya udaka oGasya srotasA
   vahataḥ samucchittir bhavati | na paryupayogaḥ prajñāyate |	vahataH samucCittiH Bavati | na paryupayogaH prajQAyate |
   evam eva viśālamate tadoghasthānīyam ālayavijñānaṃ saṃniśritya	evam eva viSAla mate tat oGa sTAnIyam AlayavijQAnam saMniSritya
   pratiṣṭhāya saced ekasya cakṣurvijñānasyotpattipratyayaḥ	pratizWAya saced ekasya cakzuH vijQAnasya utpatti pratyayaH
   pratyupasthito bhavaty ekam eva cakṣurvijñānaṃ pravartate |	pratyupasTitaH Bavati ekam eva cakzuH vijQAnam pravartate |
   saced dvayos trayāṇāṃ sacet pañcānāṃ vijñānānām utpattipratyayaḥ	saced dvayoH trayANAm saced paQcAnAm vijQAnAnAm utpatti pratyayaH
   pratyupasthito bhavati sakṛd yāvat pañcānāṃ pravṛttir bhavati |	pratyupasTitaH Bavati sakRt yAvat paQcAnAm pravRttiH Bavati |
   (Tvbh_104)	(TvB_104)
   atra gāthā |	atra gATAH |
   ādānavijñāna gabhīrasūkṣmo ogho yathā vartati sarvabījo |	AdAna vijQAna gaBIra sUkzmaH oGaH yaTA vartati sarva bIjaH |
   bālāna eṣo mayi na prakāśi mā haiva ātmā parikalpayeyur	bAlAnaH ezaH mayi na prakASi mA ha eva AtmA parikalpayeyuH 
   iti | na hi vijñānapratiniyamenālambanapratyayavat samanantarapratyaya	iti | na hi vijQAna pratiniyamena Alambana pratyaya vat samanantara pratyaya
   iṣyate | sarvavijñānotpattau sarvasya vijñānasya	izyate | sarva vijQAna utpattO sarvasya vijQAnasya
   tatsamanantarapratyayatvābhyupagamāt | ata ekasmād api	tad samanantara pratyaya tva aByupagamAt | atas ekasmAt api
   samanantarapratyayād ālambanapratyayasānnidhye dvayor bahūnāṃ vā	samanantara pratyayAt Alambana pratyaya sAnniDye dvayoH bahUnAm vA
   vijñānānām utpattir na virūdhyate | kiñ cātra kāraṇaṃ yat	vijQAnAnAm utpattiH na virUDyate | kiQ ca atra kAraNam yat 
   samanantarapratyayapratiniyamābhāve	samanantara pratyaya pratiniyama aBAve
   pañcānāñ ca yugapad ālambanapratyayasānnidhya ekenaivotpattavyaṃ na	paQcAnAn ca yugapad Alambana pratyaya sAnniDyaH ekena eva utpattavyam na
   pañcabhir apīti | tasmād alambanasadbhāve pañcānām api cotpattir ity	paQcaBiH api iti | tasmAt alambana sadBAve paQcAnAm api ca utpattiH iti 
   abhyupeyam |	aByupeyam |
   idam īdānīṃ vaktavyam | kiṃ manovijñānaṃ cakṣurādivijñānaiḥ saha	idam IdAnIm vaktavyam | kim manaH vijQAnam cakzuH Adi vijQAnEH saha
   pravartate vinā ca | uta naivety ata āha |	pravartate vinA ca | uta na eva iti atas Aha |
   manovijñānasaṃbhūtiḥ sarvadāsaṃjñikād ṛte |	manaH vijQAna saMBUtiH sarvadA saMjQikAt Rte |
   samāpattidvayān middhān mūrcchanād apy acittakāt || 16	samApatti dvayAt midDAt mUrcCanAt api acittakAt || 16
   iti | sarvadeti sarvakālaṃ cakṣurādivijñānaiḥ saha vinā cety arthaḥ |	iti | sarvadA iti sarvakAlam cakzuH Adi vijQAnEH saha vinA ca iti arTaH |
   asyotsargasyemam apavādam ārabhate |	asya utsargasya imam apavAdam AraBate |
   āsaṃjñikād ṛte	AsaMjQikAt Rte
   samāpattidvayān middhān mūrcchanād apy acittakād iti | (16bd)	samApatti dvayAt midDAt mUrcCanAt api acittakAt iti | (16bd)
   tatrāsaṃjñikam asaṃjñisattveṣu deveṣūpapannasya yaś cittacaitasikānāṃ	tatra asaMjQikam asaMjQi sattvezu devezu upapannasya yaH citta cEtasikAnAm
   dharmāṇāṃ nirodhaḥ |	DarmANAm niroDaH |
   samāpattidvayam asaṃjñisamāpattir nirodhasamāpattiś ca |	samApatti dvayam asaMjQi samApattiH niroDa samApattiH ca |
   (Tvbh_106)	(TvB_106)
   tatrāsaṃjñisamāpattiḥ | tṛtīyād dhyānād vītarāgasyordhvam avītarāgasya	tatra asaMjQi samApattiH | tRtIyAt DyAnAt vIta rAgasya UrDvam avIta rAgasya
   niḥsaraṇasaṃjñāpūrvakeṇa manasikāreṇa manovijñānasya tatsaṃprayuktānāñ ca	niHsaraNa saMjQA pUrvakeNa manasikAreNa manaH vijQAnasya tad saMprayuktAnAn ca
