   śrīmadarcaṭaviracitā	SrImat arcawa viracitA
   brahnaṇāpi tadbhāvasya karttum aśakyatvāt kim aṅga ^3punaḥ śaṣṭhena	brahnaNA api tad BAvasya karttum aSakya tvAt kim aFga ^3punar SazWena
   hetuneti[732]kutaḥ sādhanasya hetoḥ sāmarthyam? | ata [T. 358b.] eva hi	hetunA iti[732]kutaH sADanasya hetoH sAmarTyam? | atas [T. 358b.] eva hi
   bhavadbhir abādhitaviṣayatvaṃ rūpāntaram ucyata iti |	BavadBiH abADita vizaya tvam rUpa antaram ucyate iti |
       atha bādhakapramāṇavṛttau sādhyābhāvo na niyataḥ tadabhāve 'pibhāvād	aTa bADaka pramANa vRttO sADya aBAvaH na niyataH tad aBAve api BAvAt 
   iti dvitīyaḥ pakṣa iṣyate tad apy abādhāyāḥ sāmarthyaviraha iti darśayann	iti dvitIyaH pakzaH izyate tat api abADAyAH sAmarTya virahaH iti darSayan= 
   āha    aniyame bādhakapramāṇavṛttau sādhyābhāvasyeṣyamāṇe satīdam āpatitam	Aha   aniyame bADaka pramANa vRttO sADya aBAvasya izyamANe sati idam Apatitam
   | na ca    bādhakaṃ pramāṇaṃ syāt sādhyābhāvasya ca sambhavaḥ iti na	| na ca   bADakam pramANam syAt sADya aBAvasya ca samBavaH iti na
   sādhyasādhane sāmarthyam abādhāyāḥ satyām api sādhyābhāvasya smbhavād iti	sADya sADane sAmarTyam abADAyAH satyAm api sADya aBAvasya smBavAt iti
   tadyogino 'pi hetvābhāsataiveti |	tad yoginaH api hetvABAsa tA eva iti |
       yad uktam    abādhayaiva sādhyasiddher vyartho hetuḥ iti	yat uktam   abADayA eva sADya sidDeH vyarTaH hetuH iti
   tatrānyathārtham abādhāyā darśayan hetusāmarthyaṃ pratipādayann āhaparaḥ  	tatra anyaTArTam abADAyAH darSayan hetu sAmarTyam pratipAdayan Aha paraH  
   na bādhāyā abhāvo samābādhā 'bhimatā | kiṃ tarhi? | bādhāyā anupalabdhiḥ |	na bADAyAH aBAvaH samAbADA aBimatA | kim tarhi? | bADAyAH anupalabDiH |
   sā ca tadanupalabdhiḥ puruṣasya śaktivaikalyāt kvacid deśādau bādhāyā	sA ca tad anupalabDiH puruzasya Sakti vEkalyAt kvacid deSa AdO bADAyA
   sambhave 'pi syāt | tato bādhā 'nupalabdhimātreṇa sadhyasiddher abhāvāt	samBave api syAt | tatas bADA anupalabDi mAtreNa saDya sidDeH aBAvAt 
   tatsiddhye 'vaśyaṃ [S. 198b.] hetur abhidhānīya iti sa hetuprayogasya	tad sidDye avaSyam [S. 198b.] hetuH aBiDAnIyaH iti sa hetu prayogasya
   viṣayaḥ. tadā hi hetuḥ svasādhyaṃ sādhayan katham asamarthaḥ syād iti.	vizayaH. tadA hi hetuH sva sADyam sADayan kaTam asamarTaH syAt iti.
       siddhāntavādy āha    kiṃ nu vai hetur bādhāyā yā upalabdhis tasyāḥ	sidDAnta vAdi Aha   kim nu vE hetuH bADAyAH yA upalabDiH tasyAH
   bibheti na punar bbādhāyā yena bādhāṃ sambhavantīm apy anādṛtya	biBeti na punar bbADAyAH yena bADAm samBavantIm api anAdRtya
   tadanupalabdhau satyāṃ prayoktavya iṣṭo bhavataḥ |	tad anupalabDO satyAm prayoktavyaH izwaH BavataH |
       kadācitparo brūyāt    kiṃ kariṣyati vidyamānā'pi bādhā tapasvinī, [T.	kadAcid paraH brUyAt   kim karizyati vidyamAnA api bADA tapasvinI, [T.
   359a.] tadupalabdhir eva rākṣasī | tasmāt tata eva hetor bhayaṃ tadabhāve	359a.] tad upalabDiH eva rAkzasI | tasmAt tatas eva hetoH Bayam tad aBAve
   hetuḥ prayoktavya evety ata āha    sa tarhi ityādi | evaṃ tarhi	hetuH prayoktavyaH eva iti atas Aha   sa tarhi ityAdi | evam tarhi
   paramārthena bādhā kim asti nāstīty etadanapekṣya bādhāyā anupalabdhau	parama arTena bADA kim asti na asti iti etat anapekzya bADAyAH anupalabDO
   satyāṃ prayoktavya iti kākvā pṛcchati | kadācit paro brūyāt    uktam	satyAm prayoktavyaH iti kA akvA pRcCati | kadAcid paraH brUyAt   uktam
   evaitat kim arthaṃ pṛccyate? ity āha    kim arthaṃprayujyata iti | bādhā	eva etat kim arTam pRccyate? iti Aha   kim arTaMprayujyate iti | bADA
   'nupalambhe 'pi tatsambhave sādhyasdhanāyogād ity abhiprāyaḥ | paro	anupalamBe api tad samBave sADya sDana ayogAt iti aBiprAyaH | paraH 
   'navagatābhiprāya āha    sādhyasiddhyartham iti bādhakapratyayābhāve	anavagata aBiprAyaH Aha   sADya sidDi arTam iti bADaka pratyaya aBAve
   prāmāṇyasyeṣṭatvāt tataḥ sādhyasiddhir avirūddhaiveti manyate |	prAmANyasya izwa tvAt tatas sADya sidDiH avirUdDA eva iti manyate |
   siddhāntavādī satyāṃ bādhāyāṃ tadanupalambhe 'pi sādhyasiddhim	sidDAnta vAdI satyAm bADAyAm tad anupalamBe api sADya sidDim
   asambhāvayan pṛcchati sa kiṃkvacid ityādi | kiṃ [S. 199a.] punar asau	asamBAvayan pRcCati sa kiMkvacid ityAdi | kim [S. 199a.] punar asO
   hetuḥ satyām api bādhāyāṃ sādhyaṃ sādhayed iti sambhavyate bhavatā yenāsyā	hetuH satyAm api bADAyAm sADyam sADayet iti samBavyate BavatA yena asya a
   bādhāyā abhāva viniścayaṃ prati yatno na kriyate hetuś ca prayujyata iti |	bADAyAH aBAva viniScayam prati yatnaH na kriyate hetuH ca prayujyate iti |
   evam etat iti cet; tathā satyām api bādhāyāṃ sādhyasādhanasāmarthyopagame	evam etat iti cet; taTA satyAm api bADAyAm sADya sADana sAmarTya upagame
   saty abādhitaviṣayatvaṃ na bhavati | kiṃ kāraṇam? | bādhāyām api satyām	sati abADita vizaya tvam na Bavati | kim kAraNam? | bADAyAm api satyAm
   asya hetoḥ sāmarthyāt sāmarthyopagamāt | tad dhi hetor lakṣaṇam ucyate	asya hetoH sAmarTyAt sAmarTya upagamAt | tat Di hetoH lakzaNam ucyate
   yena vinā sādhyaṃ na sādhayed iti |	yena vinA sADyam na sADayet iti |
       {p. 210.1} syan matam    anupalabhyamānabādhatvaṃ hetulakṣaṇaṃ [T.	{p. 210.1} syan matam   anupalaByamAna bADa tvam hetu lakzaNam [T.
   359b.] paramārthena, nābādhitaviṣayatvam ity ata āha    tathāca ityādi |	359b.] parama arTena, na AbADita vizaya tvam iti atas Aha   taTA ca ityAdi |
   evaṃ sati bādhāyāḥ sadbhāvasambhave 'pi tām abhyupagamya	evam sati bADAyAH sadBAva samBave api tAm aByupagamya
   tadanupalambhamātreṇa hetoḥ prayogaḥ prāptaḥ | yadi hi bādhām abhyupagamya	tad anupalamBa mAtreNa hetoH prayogaH prAptaH | yadi hi bADAm aByupagamya
   hetuprayogo nābhimataḥ syāt tadā 'nupalambhamātreṇa bādhāyāṃ saṃśayāt   	hetu prayogaH na aBimataH syAt tadA anupalamBa mAtreNa bADAyAm saMSayAt   
   satām api keśāñcit kathañcidanupalambhasambhavāt    saṃśayitasya	satAm api keSAQcid kaTaQcid anupalamBa samBavAt   saMSayitasya
   hetuprayoge pravṛttir eva na yujyeta | tasmād yo yatsaṃśaye 'pi pravartate	hetu prayoge pravRttiH eva na yujyeta | tasmAt yaH yat saMSaye api pravartate
   sa tasya bhāvapakṣam abhyupetyaiva pravarttate | tathā ca yathā	sa tasya BAva pakzam aByupetya eva pravarttate | taTA ca yaTA
   bādhānupalabdhau tām abhyupagamya hetuḥ prayujyate tathā tadupalabdhāv api	bADa anupalabDO tAm aByupagamya hetuH prayujyate taTA tad upalabDO api
   prayujyatām, bādhāyāḥ sadbhāvābhyupagame sati tadupalambhānupalambhayor	prayujyatAm, bADAyAH sadBAva aByupagame sati tad upalamBAnupalamBayoH 
   viśeṣābhāvād iti nānupalabhyamānabādhatvam api [S. 199b.] hetulakṣaṇaṃ	viSeza aBAvAt iti na anupalaByamAna bADa tvam api [S. 199b.] hetu lakzaNam
   yujyata iti kuto bādhakapratyayavirahe 'py asati pratibandhe prāmāṇyasya	yujyate iti kutas bADaka pratyaya virahe api asati pratibanDe prAmANyasya
   sambhava iti |	samBavaH iti |
       parasya vacanāvakāśam āśaṅkhyāha    na bādhāyām ityādi | naiva hi	parasya vacana avakASam ASaFKyA Aha   na bADAyAm ityAdi | na eva hi
   bādhāyāṃ satyāṃ hetoḥ sāmarthyam iṣyate tat kathaṃ tadupalambhe 'pi	bADAyAm satyAm hetoH sAmarTyam izyate tat kaTam tad upalamBe api
   prayogaḥ syāt? | siddhāntavādy āha    yady evaṃ bādhāyāṃ satyāṃ hetur	prayogaH syAt? | sidDAnta vAdi Aha   yadi evam bADAyAm satyAm hetuH 
   asamartho yadīṣyate tadā 'nirṇīto adhāyā asaṃbhavo yasya hetoḥ sa	asamarTaH yadi izyate tadA anirNItaH aDAyAH asaMBavaH yasya hetoH sa
   tathāvidhaḥ prayogaṃbādhā 'nupalambhamātreṇa nārhati | kiṃ kāraṇam? | mā	taTAviDaH prayogaMbADAH anupalamBa mAtreNa na arhati | kim kAraNam? | mA
   bhūd bādhāyāḥ sambhasvapakṣe prayuktasyāpi hetoḥ sādhyasiddhau	BUt bADAyAH samBasva pakze prayuktasya api hetoH sADya sidDO
   ^1asāmarthyam iti[733]| [T. 360a.] pūrvapakṣavādy āha    bādhānupalambhe	^1a sAmarTyam iti[733]| [T. 360a.] pUrva pakza vAdI Aha   bADa anupalamBe
   sati bādhāyā ābhāvāt[734]sadupalambhakapratyayābhāve[735]saty avaśyam	sati bADAyAH ABAvAt[734]sat upalamBaka pratyaya aBAve[735]sati avaSyam
   arthānām asattvād dhetoḥ sāmathyam iti cen manyase siddhāntavādy āha   	arTAnAm asattvAt DetoH sAmaTyam iti ced manyase sidDAnta vAdi Aha   
   kim upalambho bādhām ityādi | upalambho hy arthānāṃ kāryaṃ, na ca kāryaṃ	kim upalamBaH bADAm ityAdi | upalamBaH hi arTAnAm kAryan, na ca kAryam
   kāraṇaṃ vyāpnoti | na hy 'vaśyaṃ kāraṇāni kāryavanti bhavanti,	kAraNam vyApnoti | na hi avaSyam kAraNAni kAryavanti Bavanti,
   pratibandhavaikalyasambhavāt[736]| tat katham avyāpakasyopalambhasya	pratibanDa vEkalya samBavAt[736]| tat kaTam avyApakasya upalamBasya
   nivṛttau bādhāyā nivṛttiḥ?, yato hetor bbādhāyāḥ sambhavakṛtam asāmarthyaṃ	nivRttO bADAyAH nivRttiH?, yatas hetoH bbADAyAH samBava kRtam asAmarTyam
   na sambhaved iti | etac ca parair apīṣyata eva; [S. 200a.]	na samBavet iti | etat ca parEH api izyate eva; [S. 200a.]
   pramāṇatayopagatasyāpy udayakāle 'nupalabdhabādhasya {p. 211.1}	pramANa tayA upagatasya api udaya kAle anupalabDa bADasya {p. 211.1}
   kālāntareṇa bādhakapratyayotpāde saty aprāmāṇyopagamāt | athāvyāpakasyāpy	kAla antareNa bADaka pratyaya utpAde sati aprAmANya upagamAt | aTa avyApakasya api 
   upalambhasya ivṛttau bādhā nivarttate   	upalamBasya ivRttO bADA nivarttate   
                nivarttate hi mithyātvaṃdośājānādayatnataḥ|| [ŚlV Sū 2.52]	nivarttate hi miTyA tvaMdoSa ajAnAt ayatnataH|| [ŚlV SU 2.52]
       iti anenaiva nyāyena jñānanivṛttyā bādhānivṛtter ity āha    tathāpi	iti anena eva nyAyena jQAna nivRttyA bADA nivRtteH iti Aha   taTA api
   vyartho hetuḥ | kutaḥ? | bādhānupalambhād eva hetupayogarahitāt	vyarTaH hetuH | kutas ? | bADa anupalamBAt eva hetu payoga rahitAt 
   sādhyasiddheḥ | kiṃ kāraṇam? | anupalambhe bādhāyā asambhavāt | tathā hi	sADya sidDeH | kim kAraNam? | anupalamBe bADAyAH asamBavAt | taTA hi
      yatra bādhāyā anupalambhas tatra paramārthata eva sā na vidyata iti	  yatra bADAyAH anupalamBaH tatra paramArTataH eva sA na vidyate iti
   manyase | yatra cāsau paramārthato nāsti, tatra sādhyadharmasyābhāvo 'pi	manyase | yatra ca asO paramArTataH nAsti, tatra sADya Darmasya aBAvaH api
   paramārthenaiva [T. 360b.] nāsti, anyathā paramārthena bādhāyā	parama arTena eva [T. 360b.] nAsti, anyaTA parama arTena bADAyA
   abhāvāyogāt. tataś ca sādhyadharmasyābhāvābhāve sati bhāva iti bhavanmatya	aBAva ayogAt. tatas ca sADya Darmasya aBAva aBAve sati BAvaH iti Bavat matya
   sādhyapratīter vyarthatā hetor iti.	sADya pratIteH vyarTa tA hetoH iti.
       atha mā bhūd yuktivirodha iti nopalambhanivṛttau bādhānivṛttir iṣyate,	aTa mA BUt yukti viroDaH iti na upalamBa nivRttO bADA nivRttiH izyate,
   tatrāha    upalambhasya nivṛttāv api satyāṃ bādhāyā anivṛttāv iṣyamāṇāyāṃ	tatra Aha   upalamBasya nivRttO api satyAm bADAyAH anivRttO izyamANAyAm
   tadavasthaṃ hetor asāmarthyam yadavasthaṃ bādhopalambha iti hetor aprayoga	tad avasTam hetoH asAmarTyam yat avasTam bADa upalamBaH iti hetoH aprayoga
   iti kasyābādhitaviṣayatvaṃ [S. 200b.] rūpāntaraṃ syāt? |	iti kasya AbADita vizaya tvam [S. 200b.] rUpa antaram syAt? |
       etad evopasaṃharann āha    tasmāt svasādhya ityādi. yata evaṃ vyāptya	etat eva upasaMharan Aha   tasmAt sva sADyaH ityAdi. yatas evam vyAptya
   hetoḥ sarvatra sādhyenāvinābhāvābhyupagame bahirvyāptaviṣayamāṇāyāṃ	hetoH sarvatra sADyena AvinA aBAva aByupagame bahis vyApta vizayamANAyAm
   vaiyarthyaṃ hetuprayogasyāpadyate tasmāt	vEyarTyam hetu prayogasya Apadyate tasmAt 
   svasādhyabhāvābhāvābhyāṃanyathā'pi svasādhyabhāve 'py abhavan na 'bhāve	sva sADya BAva aBAvAByAManyaTA api svasADya BAve api aBavat na aBAve
   'pi ca bhavan hetur dharmiṇi kiñcit sādhyaṃ na bhāvayati na sādhayati na	api ca Bavan hetuH DarmiNi kiQcid sADyam na BAvayati na sADayati na
   vibhāvayati tadviparītaṃ na niṣedhayati iti tasya vidhipratiṣedhāvakurvata	viBAvayati tad viparItam na nizeDayati iti tasya viDi pratizeDOvakurvata
   upakṣepaḥ prayogo na samarthaḥ ity avaśyaṃ hetuprayogam icchatā	upakzepaH prayogaH na samarTaH iti avaSyam hetu prayogam icCatA
   svasādhyāvinābhāvaḥ sarvatra hetor abhyupagantavyaḥ | sa ca	sva sADya avinABAvaH sarvatra hetoH aByupagantavyaH | sa ca
   pratibandhanibandhanaḥ | eṣa ca darśanādarśanamātrāyatto yathoktaṃ prak |	pratibanDa nibanDanaH | eza ca darSana adarSana mAtra AyattaH yaToktam prak |
   tasmiṃś cābhyupagate bādhāvinābhāvayor virodhaḥ [T. 361a.] siddha ity	tasmin ca aByupagate bADAvinA BAvayoH viroDaH [T. 361a.] sidDaH iti 
   upasaṃharann āha    tan na ityādi | yata evaṃ tena kāraṇenābādhā	upasaMharan Aha   tat naH ityAdi | yatas evam tena kAraNena AbADA
   rūpāntaraṃ na bhavati |	rUpa antaram na Bavati |
       yadi nāma bādhāvinābhāvayoḥ sahāvasthānābhāvād avinābhāve {p. 212.1}	yadi nAma bADAvinA aBAvayoH saha avasTAna aBAvAt avinA aBAve {p. 212.1}
   saty abādhā gamyate rūpāntaraṃ tu kim iti na bhavati? iti, ata āha    tan	sati abADA gamyate rUpa antaram tu kim iti na Bavati? iti, atas Aha   tan
   nāma ityādi | tad dhi tasmād viśeṣaṇāntaraṃ bhaved vastusthitayā | [S.	nAma ityAdi | tat Di tasmAt viSezaNa antaram Bavet vastu sTitayA | [S.
   201a.] lakṣaṇakāraiś ca rūpāntaratvenopādānam arhati yasya viśeṣaṇasya	201a.] lakzaNa kArEH ca rUpa antara tvena upAdAnam arhati yasya viSezaNasya
   bhave 'pi yasyāparasyābhāvaḥ syāt | yataḥ svabhāve vyabhicāre ca	Bave api yasya aparasya aBAvaH syAt | yatas svaBAve vyaBicAre ca
   viśeṣaṇaviśeśyabhāvo na sambhava eva kevale | udāharaṇam āha    tad yathā	viSezaNa viSeSya BAvaH na samBavaH eva kevale | udAharaNam Aha   tat yaTA
   ityādi | saty api hi śrāvaṇatvādeḥ sapakṣe bhāvo nāsti | saty api ca	ityAdi | sati api hi SrAvaNa tva AdeH sa pakze BAvaH na asti | sati api ca
   cākśuṣatvādeḥ sapakṣe bhāve sādhyadharmiṇi śabde sambandho nāsti | tato	cAkSuza tva AdeH sa pakze BAve sADya DarmiNi Sabde sambanDaH na asti | tatas 
   'nyoḥ sambavavyabhicārayor bhāvād viśeṣaṇaviśeṣyabhāvo lakṣaṇāntaratvena	anyoH sambava vyaBicArayoH BAvAt viSezaNa viSezya BAvaH lakzaNa antara tvena
   copādānam[737]| ihā 'py evaṃ bhaviṣyatīti ced āha    na caitad	ca upAdAnam [737]| ihA api evam Bavizyati iti ced Aha   na ca etat 
   anantaroditam abādhāyā avinābhāve sati sambhavati | saty avinābhāve	anantara uditam abADAyAH avinA aBAve sati samBavati | sati avinA aBAve
   niyamenābādhāyāḥ sambhavād vyabhicārābhāvāt kuto viśeṣaṇaviśeṣyabhāvo	niyamena AbADAyAH samBavAt vyaBicAra aBAvAt kutas viSezaNa viSezya BAvaH 
   lakṣaṇāntaratvena copādānam[738]arhati? iti na hetoḥ sādhyāvinābhāvino	lakzaNa antara tvena ca upAdAnam [738]arhati? iti na hetoH sADyAvinABAvinaH 
   viruddhasya ca sādhyaviparyayāvinābhāvino viṣaye bādhā sambhavati | uktena	virudDasya ca sADya viparyaya avinABAvinaH vizaye bADA samBavati | uktena
   prakāreṇa viparyaye samyagghetur evāviṣaye tu prayogād dhetvābhāsa ucyate	prakAreNa viparyaye samyak hetuH eva avizaye tu prayogAt Detu ABAsaH ucyate
   | yata evam iti tasmān na tadabhāvo bādhāvirahaḥ [T. 361b.]	| yatas evam iti tasmAt na tad aBAvaH bADA virahar [T. 361b.]
   pṛthagavinābhāvād anvayavyatirekātmano 'nayor hetuviruddhayor	pRTak avinA aBAvAt anvaya vyatireka AtmanaH anayoH hetu virudDayoH 
   lakṣaṇāntaratvena vācyaḥ, [S. 201b.] vyabhicārābhāvena rūpāntaratvāyogāt |	lakzaNa antara tvena vAcyaH, [S. 201b.] vyaBicAra aBAvena rUpa antara tva ayogAt |
   yataś cāvinābhāve sati bādhā na sambhavati virodhāt, tasmād dhetor	yatas ca avinA aBAve sati bADA na samBavati viroDAt, tasmAt DetoH 
   yathoktalakṣaṇasya prayoge sati gamyārthāyā api pratijñāyā doṣāṇāṃ	yaTA ukta lakzaNasya prayoge sati gamya arTAyAH api pratijQAyAH dozANAm
   pratyakṣaviruddhādīnāṃ sambhavo nāsti, hetulakṣaṇenaiva teṣāṃ nirastatvāt	pratyakza virudDa AdInAm samBavaH nAsti, hetu lakzaNena eva tezAm nirasta tvAt 
   | tat kathaṃ bādhāviraho heto rūpāntaram ucyate? asambhavināṃ ca teṣāṃ	| tat kaTam bADA virahaH hetoH rUpa antaram ucyate? asamBavinAm ca tezAm
   upavarṇanaṃ niṣphalam ^3ity ākūtam[739]|	upavarNanam nizPalam ^3iti AkUtam [739]|
       kevalāyāḥ prayoge 'sti sambhava iti cet, āha    nāpi ityādi |	kevalAyAH prayoge asti samBavaH iti cet, Aha   na api ityAdi |
   hetuprayoge hy asati kevalā pratijñaiva na prayujyate, hetuviṣayatvena	hetu prayoge hi asati kevalA pratijQA eva na prayujyate, hetu vizaya tvena
   tadabhyupagamāt | tataś caśāstrakārair na pratijñādoṣāḥ	tad aByupagamAt | tatas caSAstrakArEH na pratijQA dozAH
   pratyakṣaviruddhādayo vācyā iti |diṅnāgapādais tu {p. 213.1}	pratyakza virudDa AdayaH vAcyAH iti |diFnAga pAdEH tu {p. 213.1}
   sādhyāsādhyaviparyayeṇa[740]vipratipattidarśanād aprayogārhasyāpi pakṣasya	sADya asADya viparyayeNa [740]vipratipatti darSanAt aprayoga arhasya api pakzasya
   lakṣaṇavidhāne nyāyaprāptam evāpakṣatva na ni( tvaṃ ni)rākṛtapadena	lakzaNa viDAne nyAya prAptam eva apakza tva na ni(  tvam ni)rAkRta padena
   pramāṇaviruddhasyākhyānam, na tv atiprasaktaṃ pakṣalakṣaṇam vyavacchinnam,	pramANa virudDasya AKyAnam, na tu ati prasaktam pakza lakzaNam vyavacCinnam,
   sandigdhasyaiva sādhyatvāt, pramāṇabādhite sādhakapramāṇāvṛtter iti |	sandigDasya eva sADya tva at, pramANa bADite sADaka pramANa AvRtteH iti |
       tad evam abādhitaviṣayatvaṃ nirākṛtya rūpāntaraṃ nirākurvann āha   	tat evam abADita vizaya tvam nirAkRtya rUpa antaram nirAkurvan Aha   
   etena avinābhāve sati bādhāyā [T. 362a.] asambhavadarśanena	etena avinA aBAve sati bADAyAH [T. 362a.] asamBava darSanena
   ekasaṃkhyāvivakṣā'pi viruddhāvyabhicāridoṣavipakṣeṇocyamānā pratyuktā	eka saMKyA vivakzA api virudDa avyaBicAri doza vipakzeNa ucyamAnA pratyuktA
   pratyākhyātā |	pratyAKyAtAH |
       paraḥpṛcchati    katham iti kena prakāreṇa    yathā bādhāvinābhāvayoḥ 	paraHpRcCati   kaTam iti kena prakAreNa   yaTA bADAvinA aBAvayoH
   sahānavasthānaṃ tathā pratihetvavinābhāvayor api?, yenaikasaṃkhyāvivakṣā	saha anavasTAnam taTA pratihetu avinA BAvayoH api?, yena eka saMKyA vivakzA
   tadvad eva pratyākhyāyeta iti |	tadvat eva pratyAKyAyeta iti |
       siddhāntavādī sāmyaṃ darśayann[741]āha    eka ityādi | eko hi hetur	sidDAnta vAdI sAmyam darSayan= [741]Aha   ekaH ityAdi | ekaH hi hetuH 
   lakṣaṇayuktaḥ | svasādhyāvyabhicārī kathaṃ bhavati? | yadi svasādhyabhāva	lakzaNa yuktaH | sva sADya avyaBicArI kaTam Bavati? | yadi svasADya BAva
   eva bhavet, anyathā tallakṣaṇam avinābhāvo nāma hīyeta | atraiva dharmiṇi	eva Bavet, anyaTA tad lakzaNam avinABAvaH nAma hIyeta | atra eva DarmiNi
   sa tallakṣaṇa eko bhavati tatraiva dharmiṇi tasmād anyo 'pi pratihetur	sa tad lakzaNaH ekaH Bavati tatra eva DarmiNi tasmAt anyaH api pratihetuH 
   viruddhastena hetulakṣaṇayuktaḥ kathaṃ bhavati? | ekasya ^3hetor yat	virudDaH tena hetu lakzaNa yuktaH kaTam Bavati? | ekasya ^3hetoH yat 
   sādhyaṃ[742]tadbādhakasya tadviruddhasyāparasya dharmasya bhāva eva	sADyaM[742]tad bADakasya tat virudDasya aparasya Darmasya BAvaH eva
   nābhāve bhāvād avinābhāvād iti bādhayā samānaṃ bādhāsambhavena samānaḥ	na aBAve BAvAt avinA aBAvAt iti bADayA samAnam bADA samBavena samAnaH
   pratihetur iti [S. 202b.] nirasta iti |	pratihetuH iti [S. 202b.] nirastaH iti |
       atraiva dūṣaṇāntaram abhidhātuṃ vikalpayann āha    api ca ityādi |	atra eva dUzaNa antaram aBiDAtum vikalpayan Aha   api ca ityAdi |
   `vastutaḥ` paramārthato yasya pratihetur na sambhavati    kim asau	`vastutaH` paramArTataH yasya pratihetuH na samBavati   kim asO
   samyagjñānasya viparyayasya vopanyastasādhyaviparītajñānasya vā hetur iṣṭo	samyak jQAnasya viparyayasya vA upanyasta sADya viparIta jQAnasya vA hetuH izwaH 
   [T. 362b.] yato vivakṣitaikasaṃkhyatvaṃ tallakṣaṇam ucyate, āhosvid yasya	[T. 362b.] yatas vivakzita eka saMKya tvam tad lakzaNam ucyate, Ahosvit yasya
   pratihetus tatsādhyaviparītasādhako na pradarśitaḥ paramārthataḥ sann	pratihetuH tad sADya viparIta sADakaH na pradarSitaH paramArTataH san= 
   apīti | paro doṣam apaśyann āha    kiñcataḥ ityādi | yadi nāma pūrvo	api iti | paraH dozam apaSyan Aha   kiQcataH ityAdi | yadi nAma pUrvo
   vikalpa uttaro vā tataḥ ko doṣaḥ? iti[743]|	vikalpaH uttaraH vA tatas kaH dozaH? iti[743]|
       {p. 214.1} siddhāntavādy āha    yady asambhavan pratihetur yasya sa	{p. 214.1} sidDAnta vAdi Aha   yadi asamBavan pratihetuH yasya sa
   samyagjñānādihetur iṣyate, tadā 'lakṣaṇam etad vivakṣitaikasaṃkhyatvam |	samyak jQAna Adi hetuH izyate, tadA alakzaNam etat vivakzita eka saMKya tvam |
   kasmāt? aśakyo niścayo yasya vastuto 'sambhavat pratihetutvasya sa	kasmAt? aSakyaH niScayaH yasya vastutas asamBavat pratihetutvasya sa
   tathoktaḥ | paramatāpekṣayā caitad ucyate | paro hi darśanādarśanābhyām	taTA uktaH | parama tApekzayA ca etat ucyate | paraH hi darSana adarSanAByAm
   asaty api pratibandhe 'vinābhāvam icchati | paro hi darśanādarśanābhyām	asati api pratibanDe avinABAvam icCati | paraH hi darSana adarSanAByAm
   asaty api pratibandhe 'vinābhāvam icchati | tatas tasya pratihetor	asati api pratibanDe avinABAvam icCati | tatas tasya pratihetoH 
   evaṃvidhasya sambhavo 'sti | sa cānupalabhyamāno 'pi kadācit syād iti	evaMviDasya samBavaH asti | sa ca anupalaByamAnaH api kadAcid syAt iti
   vastutas tadabhāvo niścīyate | pratibandhanibandhanāvinābhāvavādināṃ tv	vastutas tad aBAvaH niScIyate | pratibanDa nibanDanAvinA aBAva vAdinAm tu 
   asmākaṃ [S. 203a.] pratihetvasambhavaḥ suniścita eva | na hi	asmAkam [S. 203a.] pratihetu asamBavaH su niScitaH eva | na hi
   tādātmyatadutpattilakṣaṇe pratibandhe pramāṇataḥ siddhe	tAdAtmya tad utpatti lakzaNe pratibanDe pramANataH sidDe
   tannimittāvinābhāvitayā ekena hetuna svasādhye sādhite punas tatraiva	tad nimitta avinA BAvitayA ekena hetuna sva sADye sADite punar tatra eva
   dharmiṇi tallakṣaṇasya [T. 363a.] tadviruddhārthasādhakasya pratihetoḥ	DarmiNi tad lakzaNasya [T. 363a.] tad virudDa arTa sADakasya pratihetoH
   sambhavaḥ śaṅkhyate, bhāvānāṃ viruddhasvabhāvadvayāyogād,	samBavaH SaFKyate, BAvAnAm virudDa svaBAva dvaya ayogAt ,
   viruddhadharmasādhakasambhave ca tasyaiva svasādhyāvinābhāvinaḥ	virudDa Darma sADaka samBave ca tasya eva sva sADya avinABAvinaH
   prathamasya tatra pramāṇato bhāvasiddhyayogād iti |	praTamasya tatra pramANataH BAva sidDi ayogAt iti |
       syān matam    yadi nāma prastutaḥ pratihetvasambhavo 'smābhir niścetum	syAt matam   yadi nAma prastutaH pratihetu asamBavaH asmABiH niScetum
   aśakyas tathāpy asambhavat pratihetutvaṃ	aSakyaH taTA api asamBavat pratihetu tvam
   vivakṣittaikasaṃkhyatvapratipāditaṃ hetulakṣaṇaṃ kasmān na bhavati? ity	vivakzitta eka saMKya tva pratipAditam hetu lakzaNam kasmAt na Bavati? iti 
   āha    na hy aniścitātmanaḥ ityādi | pratipādako yo dharmo hetos	Aha   na hi aniScita AtmanaH ityAdi | pratipAdakaH yaH DarmaH hetoH 
   tasyāniścitasvabhāvasya yasmāt tallakṣaṇatvaṃ pratipādakadharmatā na	tasya aniScita svaBAvasya yasmAt tad lakzaNa tvam pratipAdaka Darma tA na
   bhavati | yathā saṃdigdhasya pakṣadharmatvasyeti pūrvakasya sādhanam |	Bavati | yaTA saMdigDasya pakza Darma tvasya iti pUrvakasya sADanam |
   nāpi sandigdhaṃ lakṣaṇaṃ yasya sa hetur bhavatīti na kaściddhetur bhaved	na api sandigDam lakzaNam yasya sa hetuH Bavati iti na kaScid hetuH Bavet 
