   Vārāhagṛhyasūtra, 1	VArAha-gRhya-sUtra, 1
   ūrdhvā vāk samabhavat purā devāsurebhyaḥ /	UrDvA vAc samaBavat purA deva-asureByaH /
   yāṃ tvā viśvasya bhūtasya prāg āyāmy asyā agrataḥ /	yAm tvA viSvasya BUtasya prAk AyAmi asyAH agratas /
   sarasvati predam ava subhage vājinīvati /	sarasvati predam ava suBage vAjinIvati /
   yena bhūtaṃ samabhavad yena viśvamidaṃ jagat tāmadya gāthāṃ gāsyāmo yā	yena BUtam samaBavat yena viSvam-idam jagat tAm-adya gATAm gAsyAmaH yA
   strīṇām uttamaṃ manaḥ /	strINAm uttamam manaH /
   sā tvam asy amo 'ham amo 'hamasmi sā tvam /	sA tvam asi amaH aham amaH aham-asmi sA tvam /
   dyaur ahaṃ pṛthivī tvaṃ bṛhad ahaṃ rathaṃtaraṃ tvam /	dyOH aham pRTivI tvam bRhat aham raTaMtaram tvam /
   reto 'ham asmi retodhṛk tvam /	retaH aham asmi retoDRc tvam /
   sāmāham asmi ṛktvaṃ mano 'hamasmi vāktvam /	sAma-aham asmi Rc-tvam manaH aham-asmi vAc-tvam /
   sā mām anuvratā bhava sā mām anuprajāyasva /	sA mAm anuvratA Bava sA mAm anuprajAyasva /
   prajāṃ sṛjāvahā ubhau puṃse putrāya kartave /	prajAm sRja-AvahAH uBO puMse putrAya kartave /
   śriyai putrāya vethaveha sūnṛte /	SriyE putrAya veTavA-iha sUnRte /
   iti // VGrs_14.13	iti // VGrH-_14.13
   pradakṣiṇamagniṃ pariṇayet // VGrs_14.14	pradakziNam-agnim pariNayet // VGrH-_14.14
   paścād agner darbheṣvaśmānamavasthāpayati ātiṣṭhemam aśmānamaśmeva tvaṃ	paScAt agneH darBezu-aSmAnam-avasTApayati AtizWa-imam aSmAnam-aSmA-iva tvam
   sthirā bhava /	sTirA Bava /
   kṛṇvantu viśve devā āyuṣṭe śaradaḥ śatam /	kRNvantu viSve devAH Ayuzwe SaradaH Satam /
   iti // VGrs_14.15	iti // VGrH-_14.15
   atraivāsyā dvitīyaṃ vāsaḥ prayacchati // VGrs_14.16	atra-eva-asyAH dvitIyam vAsaH prayacCati // VGrH-_14.16
   uparyagnāv añjalau lājān bhrātā brahmacārī vopastīrṇa āvapet // VGrs_14.17	upari-agnO aQjalO lAjAn BrAtA brahmacArI vA-upastIrNaH Avapet // VGrH-_14.17
   tān abhighāritān avicchindatī juhuyāt /	tAn aBiGAritAn avicCindatI juhuyAt /
   kartānumantrayeta /	kartA-anumantrayeta /
   iyaṃ nāry upabrūte lājān āvapantikā /	iyam nArI upabrUte lAjAn AvapantikAH /
   dīrghāyurastu me patir edhantāṃ jñātayo mama /	dIrGa-AyuH-astu me patiH eDantAm jQAtayaH mama /
   aryamaṇaṃ nu devaṃ kanyāgnim ayakṣata /	aryamaNam nu devam kanyA-agnim ayakzata /
   so 'smāndevo 'ryamā preto muñcātu māmuta /	saH asmAn-devaH aryamA pretaH muQcAtu mAm-uta /
   svāhā /	svAhA /
   iti // VGrs_14.18	iti // VGrH-_14.18
   vīrasūr jīvapatnīr bhūyāsam iti sarvatra vācayet // VGrs_14.19	vIrasUH jIva-patnIH BUyAsam iti sarvatra vAcayet // VGrH-_14.19
   tubhyamagre paryaṇayaṃ sūryāṃ vahatunā saha /	tuByam-agre paryaNayam sUryAm vahatunA saha /
   punaḥ patibhyo jāyāṃ dā agne prajayā saha /	punar patiByaH jAyAm dAH agne prajayA saha /
   iti dvitīyaṃ pariṇayet // VGrs_14.20	iti dvitIyam pariNayet // VGrH-_14.20
   evameva tṛtīyam /	evam-eva tRtIyam /
   avasthāpanaprabhṛti samānam /	avasTApana-praBRti samAnam /
   pūṣaṇaṃ nu devam /	pUzaNam nu devam /
   varuṇaṃ nu devamiti homau /	varuNam nu devam-iti homO /
   kanyāgnim ayakṣateti samānam // VGrs_14.21	kanyA-agnim ayakzata-iti samAnam // VGrH-_14.21
   kāmena caturthī pūrayitvā dvir abhighāryottarārdhapūrvārdhe juhuyāt //	kAmena caturTI pUrayitvA dvis aBiGArya-uttara-arDa-pUrva-arDe juhuyAt //
   VGrs_14.22	VGrH-_14.22
   athaināṃ prācīṃ sapta padāni prakramayati ekam iṣe viṣṇustvāṃ nayatu /	aTa-enAm prAcIm sapta padAni prakramayati ekam ize vizNuH-tvAm nayatu /
   dve ūrje /	dve Urje /
   trīṇi rāyaspoṣāya /	trINi rAyaspozAya /
   catvāri māyobhavāya /	catvAri mAyoBavAya /
   pañca prajābhyaḥ /	paQca prajAByaH /
   ṣaḍ ṛtubhyaḥ /	zaw RtuByaH /
   sapta saptabhyo hotrābhyaḥ /	sapta saptaByaH hotrAByaH /
   viṣṇus tvāṃ nayatv iti dvitīyaprabhṛtyanuṣajet /	vizNuH tvAm nayatu iti dvitIya-praBRti-anuzajet /
   sakhī saptapadī bhava sakhyaṃ te gameyaṃ sakhyātte mā riṣam iti saptama	saKI saptapadI Bava saKyam te gameyam saKyAt-te mA rizam iti saptama
   enāṃ prekṣamāṇāṃ samīkṣate // VGrs_14.23	enAm prekzamANAm samIkzate // VGrH-_14.23
   pra tvā muñcātu varuṇasya pāśād yena tvābadhnāt savitā suśevaḥ /	pra tvA muQcAtu varuNasya pASAt yena tu-AbaDnAt savitA suSevaH /
   dhātuśca yonau sukṛtasya loke hṛṣṭā saṃ saha patyā bhūyāsam /	DAtuH-ca yonO sukRtasya loke hRzwA sam saha patyA BUyAsam /
   iti śulvaṃ visraṃsyodakumbhena mārjayante punantu mā pitara ityanuvākena /	iti Sulvam visraMsya-uda-kumBena mArjayante punantu mA pitaraH iti-anuvAkena /
   āpohiṣṭhīyenety eke // VGrs_14.24	ApohizWIyena-iti eke // VGrH-_14.24
   sumaṅgalīr iyaṃ vadhur imāṃ sametya paśyata /	su-maFgalIH iyam vaDuH imAm sametya paSyata /
   saubhāgyamasyai dattvā yathārthaṃ viparetana /	sOBAgyam-asyE dattvA yaTArTam viparetanaH /
   iti // VGrs_14.25	iti // VGrH-_14.25
   sthālīpākena śeṣo vyākhyātaḥ // VGrs_14.26	sTAlI-pAkena SezaH vyAKyAtaH // VGrH-_14.26
   pṛthaktvet /	pRTak-tvet /
   yena dyaur ugrety evaṃprabhṛtaya udvāhe homāḥ syuḥ /	yena dyOH ugra-iti evaMpraBRtayaH udvAhe homAH syuH /
   nāpāṇigrahaṇe lājāḥ /	na-apANigrahaNe lAjAH /
   samānaṃ prakramaṇaṃ mārjanaṃ ca // VGrs_14.27	samAnam prakramaNam mArjanam ca // VGrH-_14.27
   Vārāhagṛhyasūtra, 15	VArAha-gRhya-sUtra, 15
   aṅkau nyaṅkāv abhito rathaṃ ye dhvāntā vātā agram abhi ye saṃpatanti /	aFkO nyaFkO aBitas raTam ye DvAntAH vAtAH agram aBi ye saMpatanti /
   dūrehetiḥ patatrī vājinīvāṃs te no 'gnayaḥ paprayaḥ pārayantu /	dUrehetiH patatrI vAjinIvAn te naH agnayaH paprayaH pArayantu /
   iti cakram abhimantrayate // VGrs_15.1	iti cakram aBimantrayate // VGrH-_15.1
   sukiṃśukaṃ śalmaliṃ viśvarūpaṃ hiraṇyavarṇaṃ sudhuraṃ sucakram /	su-kiMSukam Salmalim viSva-rUpam hiraNya-varNam suDuram su-cakram /
   āroha sūrye amṛtasya panthāṃs tena yāhi gṛhān svasti /	Aroha sUrye amRtasya panTAn tena yAhi gRhAn svasti /
   ityāropayet // VGrs_15.2	iti-Aropayet // VGrH-_15.2
   upa māyantu devatā upa brahma suvīryam /	upa mAyantu devatAH upa brahma su-vIryam /
   upa kṣatraṃ ca yadbalamupa māmaitu yadbalam /	upa kzatram ca yat-balam-upa mAm-Etu yat-balam /
   iti prayāsyan japati // VGrs_15.3	iti prayAsyan japati // VGrH-_15.3
   anu māyantu devatā anu brahma suvīryam /	anu mA-Ayantu devatAH anu brahma su-vIryam /
   anu kṣatraṃ ca yad yaśamanu māmaitu yadyaśam /	anu kzatram ca yat yaSam-anu mAm-Etu yat-yaSam /
   iti prāñcaṃ prayāpya pradakṣiṇamāvṛtya yathārthalakṣaṇyavṛkṣaṃ caityaṃ	iti prAQcam prayApya pradakziNam-AvRtya yaTArTa-lakzaNya-vRkzam cEtyam
   vopatiṣṭheta // VGrs_15.4	vA-upatizWeta // VGrH-_15.4
   namo rudrāyaikavṛkṣasada ityekavṛkṣe japati /	namaH rudrAya-eka-vRkza-sadaH iti-eka-vRkze japati /
   ye vṛkṣeṣu śaṣpiñjarā iti ca // VGrs_15.5	ye vRkzezu SazpiQjarAH iti ca // VGrH-_15.5
   namo rudrāya catuṣpathasada iti catuṣpathe /	namaH rudrAya catuzpaTa-sadaH iti catuzpaTe /
   ye pathāṃ pathirakṣaya iti ca // VGrs_15.6	ye paTAm paTiH-akzayaH iti ca // VGrH-_15.6
   namo rudrāya śmaśānasada iti śmaśāne /	namaH rudrAya SmaSAna-sadaH iti SmaSAne /
   ye bhūtānām adhipataya iti ca // VGrs_15.7	ye BUtAnAm aDipatayaH iti ca // VGrH-_15.7
   namo rudrāya pātrasada iti piban /	namaH rudrAya pAtra-sadaH iti piban /
   ye anneṣu vividhyantīti ca // VGrs_15.8	ye annezu viviDyanti-iti ca // VGrH-_15.8
   ye tīrthānīti tīrthe // VGrs_15.9	ye tIrTAni-iti tIrTe // VGrH-_15.9
   yatrāpas taritavyā āsīd ati samudrāya vayunāya sindhūnāṃ pataye namaḥ /	yatra-apaH taritavyA AsIt ati samudrAya vayunAya sinDUnAm pataye namaH /
   nadīnāṃ sarvāsāṃ pitve juhutā viśvakarmaṇe /	nadInAm sarvAsAm pitve juhutA viSvakarmaNe /
   viśvahādābhyaṃ haviḥ /	viSva-hAda-aByam haviH /
   ity apsūdakāñjalīr juhuyāt // VGrs_15.10	iti apsu-udaka-aQjalIH juhuyAt // VGrH-_15.10
   yāvatāṃ sakhāyānaṃ svastimicchet tāvata udakāñjalīr juhuyāt amṛtam āsye	yAvatAm saKAyAnam svastim-icCet tAvataH udaka-aQjalIH juhuyAt amRtam Asye
   juhomyāyuḥ prāṇe pratidadhāmi amṛtaṃ brahmaṇā saha mṛtyuṃ tarema /	juhomi-AyuH prANe pratidaDAmi amRtam brahmaNA saha mRtyum tarema /
   prāsahād itīṣṭir asyaditir eva mṛtyuṃdhayamiti trir ācāmet // VGrs_15.11	prAsahAt iti-izwiH asi-aditiH eva mRtyuMDayam-iti tris AcAmet // VGrH-_15.11
   dviḥ parimṛjet // VGrs_15.12	dvis parimRjet // VGrH-_15.12
   yadyakṣā śamyāṇir vā riṣyeta tatraivāgnim upasamādhāyāgneyena	yadyakzA SamyANiH vA rizyeta tatra-eva-agnim upasamADAya-Agneyena
   sthālīpākeneṣṭvā jayaprabhṛtibhiś cājyasya pustāt sviṣṭakṛtaḥ //	sTAlIpAkena-izwvA jaya-praBRtiBiH ca-Ajyasya pustAt svizwakRtaH //
   VGrs_15.13	VGrH-_15.13
   aparasyāhnaḥ saṃdhikāle gṛhān prapādayet // VGrs_15.14	aparasya-ahnaH saMDi-kAle gRhAn prapAdayet // VGrH-_15.14
   rathādyaupāsanāt saṃtatāmulaparājīṃ stṛṇāti // VGrs_15.15	raTa-Adi-OpAsanAt saMtatAm-ulapa-rAjIm stRNAti // VGrH-_15.15
   tayābhyupaiti // VGrs_15.16	tayA-aByupEti // VGrH-_15.16
   gṛhānahaṃ sumanasaḥ prapadye 'vīraghnī vīravataḥ suśevā /	gRhAn-aham sumanasaH prapadye avIra-GnI vIravataH su-SevAH /
   irāṃ vahantī ghṛtam ukṣamāṇāṃs teṣv ahaṃ sumanāḥ saṃviśāmi /	irAm vahantI GRtam ukzamANAn tezu aham sumanAH saMviSAmi /
   ity abhyāhitāgniṃ sodakaṃ sauṣadhamāvasathaṃ prapadye /	iti aByAhita-agnim sa-udakam sa-OzaDam-AvasaTam prapadye /
   revatyā rohiṇyā yadvā puṇyoktam // VGrs_15.17	revatyAH rohiNyA yat-vA puNya-uktam // VGrH-_15.17
   ānaḍuhe carmaṇyupaviśya // VGrs_15.18	Anaxuhe carmaNi-upaviSya // VGrH-_15.18
   athāsyā brahmacāriṇaṃ jīvapitṛkaṃ jīvamātṛkam utsaṅgamupaveśayet //	aTa-asyAH brahmacAriNam jIva-pitRkam jIva-mAtRkam utsaFgam-upaveSayet //
   VGrs_15.19	VGrH-_15.19
   phalānāmañjaliṃ pūrayet tilataṇḍulānāṃ vā // VGrs_15.20	PalAnAm-aQjalim pUrayet tila-taNxulAnAm vA // VGrH-_15.20
   acyutā dhruvā dhruvapatnī dhruvaṃ paśyema viśvata iti dhruvaṃ jīvantīṃ	acyutA DruvA Druva-patnI Druvam paSyema viSvatas iti Druvam jIvantIm
   saptarṣīn arundhatīmiti darśayitvā prājāpatyena sthālīpākeneṣṭvā	saptarzIn arunDatIm-iti darSayitvA prAjApatyena sTAlIpAkena-izwvA
   jayaprabhṛtibhiś cājyasya purastāt sviṣṭakṛta ājyaśeṣe dadhyāsicya	jaya-praBRtiBiH ca-Ajyasya purastAt svizwakRtaH Ajya-Seze daDyAsicya
   dadhikrāvṇo akāriṣam iti dadhnaḥ pumāṃstriḥ prāśnāti // VGrs_15.21	daDikrAvNaH akArizam iti daDnaH pumAn=-tris prASnAti // VGrH-_15.21
   cakram ivānaḍuhaḥ padaṃ māmevānvetu te manaḥ /	cakram iva-anaxuhaH padam mAm-eva-anvetu te manaH /
   māṃ ca paśyasi sūryaṃ ca mā cānyeṣu manaskṛthāḥ /	mAm ca paSyasi sUryam ca mA ca-anyezu manaskRTAH /
   cākravākaṃ saṃvasanaṃ tan nau saṃvananaṃ kṛtam /	cAkravAkam saMvasanam tat nO saMvananam kRtam /
   ityavaśiṣṭaṃ jāyāyai prayacchati // VGrs_15.22	iti-avaSizwam jAyAyE prayacCati // VGrH-_15.22
   tūṣṇīṃ sā prāśnāti // VGrs_15.23	tUzNIm sA prASnAti // VGrH-_15.23
   saṃvatsaraṃ mudā tau brahmacaryaṃ carataḥ /	saMvatsaram mudA tO brahmacaryam carataH /
   dvādaśarātraṃ trirātram ekarātraṃ vā // VGrs_15.24	dvAdaSa-rAtram tri-rAtram eka-rAtram vA // VGrH-_15.24
   evameva caturthyāṃ kṛtvā hiraṇyagarbha ityaṣṭābhiḥ sthālīpākasya hutvā	evam-eva caturTyAm kRtvA hiraNyagarBaH iti-azwABiH sTAlIpAkasya hutvA
   jayaprabhṛtibhiścājyasya purastātsviṣṭakṛtaḥ // VGrs_15.25	jaya-praBRtiBiH-ca-Ajyasya purastAt-svizwakRtaH // VGrH-_15.25
   athāsyāḥ savye 'ṃse pūṣā te granthiṃ grathnātv iti vāsaso granthiṃ	aTa-asyAH savye aMse pUzA te granTim graTnAtu iti vAsasaH granTim
   kriyamāṇam anumantrayate // VGrs_15.26	kriyamANam anumantrayate // VGrH-_15.26
   catasro 'vidhavāḥ kurvanti /	catasraH aviDavAH kurvanti /
   tābhyo hiraṇyaṃ dadāti // VGrs_15.27	tAByaH hiraNyam dadAti // VGrH-_15.27
   saṃvatsaraṃ na pravaset /	saMvatsaram na pravaset /
   dvādaśarātraṃ trirātram ekarātraṃ vā // VGrs_15.28	dvAdaSa-rAtram tri-rAtram eka-rAtram vA // VGrH-_15.28
   Vārāhagṛhyasūtra, 16	VArAha-gRhya-sUtra, 16
   tau saṃnipātayataḥ /	tO saMnipAtayataH /
   apaśyaṃ tvā manasā cekitānaṃ tapaso jātaṃ tapaso 'bhibhūtam /	apaSyam tvA manasA cekitAnam tapasaH jAtam tapasaH aBiBUtam /
   iha prajāmiha rayiṃ rarāṇaḥ prajāyasva prajayā putrakāma /	iha prajAm-iha rayim rarANaH prajAyasva prajayA putra-kAmaH /
   apaśyaṃ tvā manasā dīdhyānāṃ svāyāṃ tanūm ṛtviye nādhamānām /	apaSyam tvA manasA dIDyAnAm svAyAm tanUm Rtviye na-aDamAnAm /
   upa mām uccā yuvatir babhūyāt prajāyasva prajayā putrakāme /	upa mAm uccA yuvatiH baBUyAt prajAyasva prajayA putra-kAme /
   prajāpate tanvaṃ me juṣasva tvaṣṭā vīraiḥ sahasāham indraḥ /	prajApate tanvam me juzasva tvazwA vIrEH sahasA-aham indraH /
   indreṇa devairvīrudhaḥ saṃvyayantāṃ bahūnāṃ puṃsāṃ pitarau syāva /	indreNa devEH-vIruDaH saMvyayantAm bahUnAm puMsAm pitarO syAva /
   ahaṃ prajā ajanayaṃ pṛthivyām ahaṃ garbham adadhāmoṣadhīṣu /	aham prajAH ajanayam pRTivyAm aham garBam adaDAma-uzaDIzu /
   ahaṃ viśveṣu bhuvaneṣvantar ahaṃ prajābhyo bibharṣi putrān /	aham viSvezu Buvanezu-antar aham prajAByaH biBarzi putrAn /
   iti stryādivyatyāsaṃ japataḥ // VGrs_16.1	iti stryAdivyatyAsam japataH // VGrH-_16.1
   karad iti bhasadabhimṛśet // VGrs_16.2	karat iti BasadaBimRSet // VGrH-_16.2
   janad ity uparijananam // VGrs_16.3	janat iti upari-jananam // VGrH-_16.3
   bṛhad iti jātaḥ pratiṣṭhitam // VGrs_16.4	bRhat iti jAtaH pratizWitam // VGrH-_16.4
   athāsyāstṛtīye garbhamāse puṃsā nakṣatreṇa yad ahaścandramā na dṛśyeta	aTa-asyAH-tRtIye garBa-mAse puMsA nakzatreNa yat ahar-candramAH na dRSyeta
   tadahar vopoṣyāplāvyāhataṃ vāsa ācchādya nyagrodhāvarohaśuṅgānyudapeṣaṃ	tat-ahar vA-upozya-AplAvya-Ahatam vAsaH AcCAdya nyagroDa-avaroha-SuFgAni-udapezam
   piṣṭvā dakṣiṇāsminnāsikāchidra āsiñcet hiraṇyagarbhaḥ /	pizwvA dakziNA-asminnAsikA-CidraH AsiQcet hiraNyagarBaH /
   adbhyaḥ saṃbhṛta ityetābhyām // VGrs_16.5	adByaH saMBRtaH iti-etAByAm // VGrH-_16.5
   athāsyā dakṣiṇaṃ kukṣim abhimṛśet pumān agniḥ pumānindraḥ pumāndevo	aTa-asyAH dakziNam kukzim aBimRSet pumAn agniH pumAn-indraH pumAn-devaH-
   bṛhaspatiḥ /	bRhaspatiH /
   pumānagniśca vāyuśca pumāngarbhas tavodare /	pumAn-agniH-ca vAyuH-ca pumAn-garBaH tava-udare /
   pumāṃsau mitrāvaruṇau pumāṃsāv aśvināv ubhau /	pumAMsO mitrAvaruNO pumAMsO aSvinO uBO /
   pumāṃsaṃ garbhaṃ jāyasva tvaṃ pumān anujāyatām /	pumAMsam garBam jAyasva tvam pumAn anujAyatAm /
   ityetābhyām // VGrs_16.6	iti-etAByAm // VGrH-_16.6
   athāsyāḥ pañcame ṣaṣṭhe saptame vā garbhamāse maṅgalyaiḥ snāpayitvā	aTa-asyAH paQcame zazWe saptame vA garBa-mAse maFgalyEH snApayitvA
   prājāpatyena sthālīpākeneṣṭvā jayaprabhṛtibhiścājyasya purastātsviṣṭakṛtaḥ	prAjApatyena sTAlIpAkena-izwvA jaya-praBRtiBiH-ca-Ajyasya purastAt-svizwakRtaH
   paścādagnerdarbheṣv āsīnāyāḥ sarvān keśān vipramucya tvamaryamā bhavasi	paScAt-agneH-darBezu AsInAyAH sarvAn keSAn vipramucya tvam-aryamA Bavasi
   yatkanīnāṃ devaḥ svadhāvo guhyaṃ bibharṣi /	yat-kanInAm devaH svaDAvaH guhyam biBarzi /
   añjanti vipraṃ sukṛtaṃ na gobhir yad dampatī sumanasā kṛṇoṣi /	aQjanti vipram sukRtam na goBiH yat dampatI sumanasA kRNozi /
   iti navanītena pāṇī pralipya sarvān keśān saṃprayauti // VGrs_16.7	iti navanItena pANI pralipya sarvAn keSAn saMprayOti // VGrH-_16.7
   indrāṇī cakre kaṅkataṃ sa sīmantaṃ visarpatu iti kaṅkataṃ gṛhṇāti //	indrANI cakre kaFkatam sa sImantam visarpatu iti kaFkatam gRhNAti //
   VGrs_16.8	VGrH-_16.8
   punaḥ patnīmagniriti keśaprasādhanaṃ kuryāt // VGrs_16.9	punar patnIm-agniH-iti keSa-prasADanam kuryAt // VGrH-_16.9
   śalalyā śamīśākhayā sapalāśayā /	SalalyA SamI-SAKayA sa-palASayA /
   antarvatī pumāṃsaṃ dīrghaṃ jīvantaṃ śatāyuṣam /	antarvatI pumAMsam dIrGam jIvantam Sata-Ayuzam /
   dīrghāyur asyā yaḥ patir jīvātu śaradaḥ śatam /	dIrGa-AyuH asyAH yaH patiH jIvAtu SaradaH Satam /
   iti triśvetayā sīmantaṃ karoti // VGrs_16.10	iti tri-SvetayA sImantam karoti // VGrH-_16.10
   athāsyāḥ patir dvedhā keśān badhnāti nīlalohitena sūtreṇa jīvorṇayā vā //	aTa-asyAH patiH dveDA keSAn baDnAti nIlalohitena sUtreNa jIva-UrNayA vA //
   VGrs_16.11	VGrH-_16.11
   Vārāhagṛhyasūtra, 17	VArAha-gRhya-sUtra, 17
   atha vaiśvadevaṃ vyākhyāsyāmaḥ // VGrs_17.1	aTa vESvadevam vyAKyAsyAmaH // VGrH-_17.1
   tatra sāyaṃprātaḥprabhṛtīnām agnihotravat parisamuhya paristīrya paryukṣya	tatra sAyaMprAtar-praBRtInAm agnihotra-vat parisamuhya paristIrya paryukzya
   sāyaṃ prātaḥ syādityeke // VGrs_17.2	sAyam prAtar syAt-iti-eke // VGrH-_17.2
   haviṣyasya vā siddhasya vaiśvadevaḥ // VGrs_17.3	havizyasya vA sidDasya vESvadevaH // VGrH-_17.3
   agnaye somāya prajāpataye dhanvantaraye vāstoṣpataye viśvebhyo devebhyo	agnaye somAya prajApataye Danvantaraye vAstozpataye viSveByaH deveByaH-
   'gnaye sviṣṭakṛte ca juhuyāt // VGrs_17.4	agnaye svizwakRte ca juhuyAt // VGrH-_17.4
   avaśiṣṭasya baliṃ haret // VGrs_17.5	avaSizwasya balim haret // VGrH-_17.5
   dadhimadhumiśrasyāgnaye purastāt yamāya dakṣiṇataḥ somāya paścāt	daDi-maDu-miSrasya-agnaye purastAt yamAya dakziNatas somAya paScAt-
   varuṇāyottarataḥ madhye varuṇāryamabhyāṃ brahmaṇe ca /	varuNAya-uttaratas maDye varuNa-ari-amaByAm brahmaNe ca /
   agnaye pṛthivyai vāyave 'ntarikṣāya sūryāya dive candramase nakṣatrebhya	agnaye pRTivyE vAyave antarikzAya sUryAya dive candramase nakzatreBya
   iti // VGrs_17.6	iti // VGrH-_17.6
   adbhyaḥ kumbhadeśe // VGrs_17.7	adByaH kumBa-deSe // VGrH-_17.7
   oṣadhivanaspatibhyo madhyadeśe // VGrs_17.8	ozaDi-vanaspatiByaH maDyadeSe // VGrH-_17.8
   kāmāya /	kAmAya /
   gṛhapataya iti śayyādeśe // VGrs_17.9	gRhapatayaH iti SayyA-deSe // VGrH-_17.9
   śriyai ca // VGrs_17.10	SriyE ca // VGrH-_17.10
   rakṣojanebhyo 'ntaḥ śaraṇe // VGrs_17.11	rakzaH-janeByaH antar SaraNe // VGrH-_17.11
   ākāśāyeti sthalikāṇḍābhyām // VGrs_17.12	AkASAya-iti sTalikA-aNxAByAm // VGrH-_17.12
   tūṣṇīṃ niṣkramyopari śaraṇe // VGrs_17.13	tUzNIm nizkramya-upari SaraNe // VGrH-_17.13
   kavyaṃ prācyām // VGrs_17.14	kavyam prAcyAm // VGrH-_17.14
   pitṛbhyaḥ svadhetyanuṣajet // VGrs_17.15	pitRByaH svaDA-iti-anuzajet // VGrH-_17.15
   nama ityante ca // VGrs_17.16	namaH iti-ante ca // VGrH-_17.16
   ye brāhmaṇāḥ prācyāṃ diśyarhantu /	ye brAhmaNAH prAcyAm diSi-arhantu /
   ye devā yāni bhūtāni prapadye tāni me svastyayanaṃ kurvantviti /	ye devAH yAni BUtAni prapadye tAni me svastyayanam kurvantu-iti /
   dakṣiṇasyām /	dakziNasyAm /
   pratīcyām /	pratIcyAm /
   uttarasyām /	uttarasyAm /
   ūrdhvāyām /	UrDvAyAm /
   ye brāhmaṇā iti sarvatrānuṣajet // VGrs_17.17	ye brAhmaNAH iti sarvatra-anuza-jet // VGrH-_17.17
   snehavad amāṃsam annaṃ bhojayitvā viduṣo brāhmaṇān arthasiddhiṃ vācayet //	sneha-vat amAMsam annam BojayitvA viduzaH brAhmaNAn arTa-sidDim vAcayet //
   VGrs_17.18	VGrH-_17.18
   baliharaṇasyānte yāmāśiṣam icchet tām āśāsīta // VGrs_17.19	bali-haraNasya-ante yAm-ASizam icCet tAm ASAsIta // VGrH-_17.19
   gṛhapatiḥ oṃ akṣayam annam astv ity āha // VGrs_17.20	gRhapatiH om akzayam annam astu iti Aha // VGrH-_17.20
   bhikṣāṃ pradāya sāyaṃ bhojanameva prātar āśet // VGrs_17.21	BikzAm pradAya sAyam Bojanam-eva prAtar ASet // VGrH-_17.21
   viproṣya gṛhānupatiṣṭhet // VGrs_17.22	viprozya gRhAn-upatizWet // VGrH-_17.22
