   akartṛtvam abhoktṛtvaṃ Avg_18.51a	akartR-tvam aBoktR-tvam Avc-_18.51a
   bhāvya-bhāvanayā sā tu Avg_18.63c	BAvya-BAvanayA sA tu Avk-_18.63c
   bhikṣur vā bhūpatir vāpi Avg_18.91a	BikzuH vA BUpatiH vA-api Avc-_18.91a
   bhūta-grāme catur-vidhe Avg_4.5b	BUta-grAme catur-viDe Avc-_4.5b
   bhūta-mātrān yathārthataḥ Avg_9.7b	BUta--mAtrAn yaTArTataH Avc-_9.7b
   bhṛtyaiḥ putraiḥ kalatraiś ca Avg_18.55a	BRtyEH putrEH kalatrEH ca Avc-_18.55a
   bhoktā kartā na vā bhavān Avg_15.4b	BoktA kartA na vA BavAn Avc-_15.4b
   bhoga-mokṣa-nirākāṅkṣī Avg_17.5c	Boga-mokza--nirAkAFkzI Avc-_17.5c
   bhoga-mokṣa-nirākāṅkṣī Avg_18.68c	Boga-mokza--nirAkAFkzI Avc-_18.68c
   bhogaṃ karma samādhiṃ vā Avg_16.2a	Bogam karma samADim vA Avk-_16.2a
   bhogān āpnoti puṣkalān Avg_18.2b	BogAn Apnoti puzkalAn Avc-_18.2b
   bhramati svānta-vātena Avg_7.1c	Bramati sva-anta--vAtena Avc-_7.1c
   bhrama-bhūtam idaṃ sarvaṃ Avg_18.70a	Brama--BUtam idam sarvam Avk-_18.70a
   bhramāt saṃsāravān iva Avg_1.12d	BramAt saMsAravAn iva Avc-_1.12d
   bhrāntasyeva daśās tās tās Avg_14.4c	BrAntasya-iva daSAH tAH tAH Avc-_14.4c
   bhrānti-mātram idaṃ viśvaṃ Avg_15.17a	BrAnti--mAtram idam viSvam Avc-_15.17a
   bhrāntiḥ śāntā nirāśrayā Avg_2.18b	BrAntiH SAntA nirASrayA Avc-_2.18b
   matto vinirgataṃ viśvaṃ Avg_2.10a	mattaH vinirgatam viSvam Avc-_2.10a
   matveti helayā kiṃcit Avg_8.4c	matvA-iti helayA kiMcid Avc-_8.4c
   mat-svarūpe nirañjane Avg_20.1d	mat--svarUpe niraQjane Avk-_20.1d
   manaḥ kutrāpi tat tyaktvā Avg_13.2c	manaH kutra-api tat tyaktvA Avk-_13.2c
   manaḥ-prakāśa-sammoha- Avg_17.20a	manaH--prakASa--sammoha Avc-_17.20a
   mano-rathān pralāpāṃś ca Avg_18.75c	mano--raTAn pralApAn ca Avc-_18.75c
   mandaḥ prāpnoti mūḍhatām Avg_18.32b	mandaH prApnoti mUXa-tAm Avc-_18.32b
   mandaḥ śrutvāpi tad-vastu Avg_18.76a	mandaH SrutvA-api tat--vastu Avc-_18.76a
   mamatvam anuvartate Avg_3.5d	mamatvam anuvartate Avc-_3.5d
   mayā vyāptaṃ nirantaram Avg_2.6d	mayA vyAptam nirantaram Avc-_2.6d
   mayy ananta-mahāmbhodhav Avg_2.25a	mayi ananta--mahA-amBoDau Avk-_2.25a
   mayy ananta-mahāmbhodhau Avg_2.23c	mayi ananta--mahA-amBoDO Avc-_2.23c
   mayy ananta-mahāmbhodhau Avg_2.24a	mayi ananta--mahA-amBoDO Avc-_2.24a
   mayy ananta-mahāmbhodhau Avg_7.1a	mayi ananta--mahA-amBoDO Avc-_7.1a
   mayy ananta-mahāmbhodhau Avg_7.2a	mayi ananta--mahA-amBoDO Avc-_7.2a
   mayy ananta-mahāmbhodhau Avg_7.3a	mayi ananta--mahA-amBoDO Avc-_7.3a
   mayy eva layam eṣyati Avg_2.10b	mayi eva layam ezyati Avc-_2.10b
   mahad-ādi jagad-dvaitaṃ Avg_18.69a	mahat--Adi jagat--dvEtam Avc-_18.69a
   mahā-kṛṣṇāhi-daṃśitaḥ Avg_1.8b	mahA--kRzNa-ahi-daMSitaH Avc-_1.8b
   mahā-hrada ivākṣobhyo Avg_18.60c	mahA-hrade iva-akzoByaH Avk-_18.60c
   mahodadhir ivāhaṃ sa Avg_6.2a	mahodaDiH iva-aham saH Avk-_6.2a
   mā kiṃcid dhṛdi dhāraya Avg_15.20b	mA kiMcid DRdi DAraya Avc-_15.20b
   mā gamaḥ kṣudra-cittatām Avg_1.16d	mA gamaH kzudra-citta-tAm Avc-_1.16d
   mā gṛhāṇa vimuñca mā Avg_8.4d	mA gRhANa vimuQca mA Avc-_8.4d
   mānasāni na te vibho Avg_1.6b	mAnasAni na te viBo Avk-_1.6b
   māyā-mātram idaṃ viśvaṃ Avg_3.11a	mAyA--mAtram idam viSvam Avc-_3.11a
   māyā-mātraṃ vivartate Avg_18.73b	mAyA--mAtram vivartate Avc-_18.73b
   mālinyam adhigacchati Avg_3.4d	mAlinyam aDigacCati Avc-_3.4d
   mā saṅkalpa-vikalpābhyāṃ Avg_15.19a	mA saFkalpa--vikalpAByAm Avc-_15.19a
   mitra-kṣetra-dhanāgāra- Avg_10.2c	mitra-kzetra-Dana-AgAra Avk-_10.2c
   mukta eva mahāśayaḥ Avg_17.12d	muktaH eva mahA-ASayaH Avc-_17.12d
   mukta eva mahāśayaḥ Avg_17.14d	muktaH eva mahA-ASayaH Avc-_17.14d
   mukta evāsi sarvadā Avg_1.6d	muktaH eva-asi sarvadA Avc-_1.6d
   mukta-prāyo 'si sarvadā Avg_1.7b	mukta--prAyaH asi sarvadA Avc-_1.7b
   muktas tiṣṭhaty avikriyaḥ Avg_18.36d	muktaH tizWati avikriyaH Avc-_18.36d
   muktaḥ sarvatra nīrasaḥ Avg_17.13d	muktaH sarvatra nIrasaH Avc-_17.13d
   muktaḥ sarvatra rājate Avg_17.11d	muktaH sarvatra rAjate Avc-_17.11d
   muktātmano vitṛptasya Avg_18.89c	mukta-AtmanaH vitRptasya Avc-_18.89c
   muktābhimānī mukto hi Avg_1.11a	muktA-aBimAnI muktaH hi Avc-_1.11a
   muktim icchasi cet tāta Avg_1.2a	muktim icCasi ced tAta Avc-_1.2a
   mukto yathā-sthiti-svasthaḥ Avg_18.98a	muktaH yaTA--sTiti--svasTaH Avc-_18.98a
   muner jānata āścaryaṃ Avg_3.5c	muneH jAnataH AScaryam Avc-_3.5c
   mumukṣur api dṛśyate Avg_17.5b	mumukzuH api dRSyate Avc-_17.5b
   mumukṣor buddhir ālambam Avg_18.44a	mumukzoH budDiH Alambam Avc-_18.44a
   mūḍaiḥ saha samānatā Avg_4.1d	mUxEH saha samAna-tA Avc-_4.1d
   mūḍhāḥ saṃsāra-poṣakāḥ Avg_18.38b	mUXAH saMsAra-pozakAH Avc-_18.38b
   mūḍhair abhyasyate bhṛśam Avg_18.33b	mUXEH aByasyate BRSam Avc-_18.33b
   mūḍho nāpnoti tad brahma Avg_18.37a	mUXaH na-Apnoti tat brahma Avk-_18.37a
   mūḍho nāpnoti nirvṛtim Avg_18.34b	mUXaH na-Apnoti nirvRtim Avc-_18.34b
   mūla-cchedaḥ kṛto budhaiḥ Avg_18.38d	mUla-cCedaH kRtaH buDEH Avc-_18.38d
   mṛtaṃ pītvā sukhī bhava Avg_1.8d	mRtam pItvA suKI BavaH Avc-_1.8d
   mṛtyuṃ vā samupasthitam Avg_17.14b	mRtyum vA samupasTitam Avc-_17.14b
   mṛdi kumbho jale vīciḥ Avg_2.10c	mRdi kumBaH jale vIciH Avc-_2.10c
   mokṣād eva vibhīṣikā Avg_3.8d	mokzAt eva viBIzikA Avc-_3.8d
   mokṣārthe 'pi vyavasthitaḥ Avg_3.6b	mokza-arTe api vyavasTitaH Avc-_3.6b
   mokṣo viṣaya-vairasyaṃ Avg_15.2a	mokzaH vizaya-vErasyam Avc-_15.2a
   mohenaiva viḍambitaḥ Avg_2.1d	mohena-eva vixambitaH Avc-_2.1d
   yac cittaṃ na pravarttate Avg_18.31b	yat cittam na pravarttate Avc-_18.31b
   yata ekena tenedaṃ Avg_17.2c	yatas ekena tena-idam Avc-_17.2c
   yataḥ śamitum icchati Avg_18.39b	yatas Samitum icCati Avc-_18.39b
   yato bhavitum icchati Avg_18.37b	yatas Bavitum icCati Avc-_18.37b
   yat tvaṃ paśyasi tatraikas Avg_15.14a	yat tvam paSyasi tatra-ekaH Avc-_15.14a
   yat padaṃ prepsavo dīnāḥ Avg_4.2a	yat padam prepsavaH dInAH Avk-_4.2a
   yatra dvandvāni no nṛṇām Avg_9.4b	yatra dvandvAni naH nRNAm Avc-_9.4b
   yatra yatra bhavet tṛṣṇā, Avg_10.3a	yatra yatra Bavet tRzNA, Avc-_10.3a
   yatra viśvam idaṃ bhāti Avg_1.10a	yatra viSvam idam BAti Avk-_1.10a
   yatrāstamita-śāyinaḥ Avg_18.85d	yatra-astamita--SAyinaH Avc-_18.85d
   yathā-jīvanam eveha Avg_18.13c	yaTA-jIvanam eva-iha Avc-_18.13c
   yathā jīvikayā tasmād Avg_17.7c	yaTA jIvikayA tasmAt Avc-_17.7c
   yathā-tathā yatra-tatra Avg_18.100c	yaTA-taTA yatra-tatra Avc-_18.100c
   yathā-tathopadeśena Avg_15.1a	yaTA-taTA-upadeSena Avc-_15.1a
   yathā na toyato bhinnās Avg_2.4a	yaTA na toyataH BinnAH Avc-_2.4a
   yathā-patita-vartinaḥ Avg_18.85b	yaTA-patita--vartinaH Avc-_18.85b
   yathā prakāśayāmy eko Avg_2.2a	yaTA prakASayAmi ekaH Avk-_2.2a
   yathā rajata-vibhrame Avg_3.2d	yaTA rajata-viBrame Avc-_3.2d
   yathecchasi tathā kuru Avg_15.2d	yaTA-icCasi taTA kuru Avk-_15.2d
   yathaivādarśam adhyasthe Avg_1.19a	yaTA-eva-AdarSam aDyasTe Avc-_1.19a
   yathaivekṣu-rase kḷptā Avg_2.6a	yaTA-eva-ikzu--rase k?ptAH Avc-_2.6a
   yathaivoparamas tathā Avg_12.6b	yaTA-eva-uparamaH taTA Avc-_12.6b
   yadā nāhaṃ tadā mokṣo Avg_8.4a	yadA na-aham tadA mokzaH Avk-_8.4a
   yadā prakāśate viśvaṃ Avg_2.8c	yadA prakASate viSvam Avc-_2.8c
   yadā me galitā spṛhā Avg_14.2d	yadA me galitA spRhA Avc-_14.2d
   yadā yat kartum āyāti Avg_13.3c	yadA yat kartum AyAti Avc-_13.3c
   yadā yat kartum āyāti Avg_18.20c	yadA yat kartum AyAti Avc-_18.20c
   yadā yat kartum āyāti Avg_18.49a	yadA yat kartum AyAti Avc-_18.49a
   yadāhaṃ bandhanaṃ tadā Avg_8.4b	yadA-aham banDanam tadA Avc-_8.4b
   yadi dehaṃ pṛthak kṛtya Avg_1.4a	yadi deham pRTak kRtyaH Avc-_1.4a
   yad-ṛcchay-āgato bhogo Avg_3.14c	yat--RcCay-a-AgataH BogaH Avk-_3.14c
   yad-ṛcchayā varttamānaṃ Avg_4.4c	yat--RcCayA varttamAnam Avc-_4.4c
   yad dṛṣṭam avalambate Avg_18.40b	yat dRzwam avalambate Avc-_18.40b
   yad vāṅ-manasa-gocaram Avg_2.14d	yat vAc--manasa--gocaram Avc-_2.14d
   yad vetti tat sa kurute Avg_4.6c	yat vetti tat sa kurute Avc-_4.6c
   yaś cared bālavan muniḥ Avg_18.64b	yaH caret bAla-vat muniH Avc-_18.64b
   yas tārayati saṃsṛteḥ Avg_9.6d	yaH tArayati saMsRteH Avc-_9.6d
   yas tu bhogeṣu bhukteṣu Avg_17.4a	yaH tu Bogezu Buktezu Avc-_17.4a
   yasya bodhodaye tāvat Avg_18.1a	yasya boDa-udaye tAvat Avc-_18.1a
   yasya me nāsti kiṃcana Avg_2.14b	yasya me na-asti kiMcana Avc-_2.14b
   yasyāntaḥ syād ahaṅkāro Avg_18.29a	yasya-antar syAt ahaFkAraH Avk-_18.29a
   yasyābhimāno mokṣe 'pi Avg_16.10a	yasya-aBimAnaH mokze api Avk-_16.10a
   yā matiḥ sā gatir bhavet Avg_1.11d	yA matiH sA gatiH Bavet Avc-_1.11d
   yāvaj-jīvam anirvṛtāḥ Avg_18.43d	yAvaj-jIvam anirvRtAH Avc-_18.43d
   yena dṛṣṭaṃ paraṃ brahma Avg_18.16a	yena dRzwam param brahma Avc-_18.16a
   yena viśvam idaṃ dṛṣṭaṃ Avg_18.15a	yena viSvam idam dRzwam Avc-_18.15a
   yena viśvaṃ ciraṃ dhṛtam Avg_2.13d	yena viSvam ciram DRtam Avk-_2.13d
   yoga-dṛṣṭyā na kiṃcana Avg_18.80d	yoga-dRzwyA na kiMcana Avc-_18.80d
   yogasya kathayāpy alam Avg_19.8b	yogasya kaTayA-api alam Avc-_19.8b
   yogābhyāsa-phalaṃ tathā Avg_17.1b	yoga-aByAsa--Palam taTA Avc-_17.1b
   yo nirbandhaṃ karoti vai Avg_18.41b	yaH nirbanDam karoti vE Avc-_18.41b
   yo niṣkāmaḥ sa śobhate Avg_18.91b	yaH nizkAmaH sa SoBate Avc-_18.91b
   rajju-sarpa iva vyaktam Avg_5.3c	rajju--sarpaH iva vyaktam Avk-_5.3c
   rajjvajñānād ahir bhāti Avg_2.7c	rajjU-ajQAnAt ahiH BAti Avk-_2.7c
   rāga-dveṣau mano-dharmau Avg_15.5a	rAga--dvezO mano--DarmO Avc-_15.5a
   rāgī duḥkha-jihāsayā Avg_16.9b	rAgI duHKa--jihAsayA Avc-_16.9b
   rāgī viṣaya-lolupaḥ Avg_16.6b	rAgI vizaya-lolupaH Avc-_16.6b
   rājyaṃ sutāḥ kalatrāṇi Avg_10.6a	rAjyam sutAH kalatrANi Avc-_10.6a
   rūpe 'ntaḥ paritas tu saḥ Avg_1.19b	rUpe antar paritas tu saH Avc-_1.19b
   rūpyavad viśva-kalpanā Avg_6.3b	rUpya-vat viSva-kalpanA Avc-_6.3b
   rūpyaṃ śuktau phaṇī rajjau Avg_2.9c	rUpyam SuktO PaNI rajjO Avk-_2.9c
   labdham evātmanaḥ padam Avg_18.5b	labDam eva-AtmanaH padam Avc-_18.5b
   lābhālābhe jane vane Avg_18.11b	lABa-alABe jane vane Avc-_18.11b
   loka-ceṣṭāvalokanāt Avg_9.2b	loka--cezwA-avalokanAt Avc-_9.2b
   loka-dṛṣṭyāpi karma-kṛt Avg_18.77b	loka-dRzwyA-api karma--kRt Avc-_18.77b
   loka-dṛṣṭyā vikurvatā Avg_18.19d	loka--dRzwyA vikurvatA Avc-_18.19d
   lokavad vyavahāriṇaḥ Avg_18.60b	loka-vat vyavahAriNaH Avc-_18.60b
   lokāḥ kvāsya kva laukikam Avg_19.7b	lokAH kva-asya kva lOkikam Avk-_19.7b
   vaktum eva na kiṃcana Avg_18.77d	vaktum eva na kiMcana Avc-_18.77d
   vartate mukta-cetasaḥ Avg_17.10d	vartate mukta--cetasaH Avc-_17.10d
   vartamānam api kva vā Avg_19.3b	vartamAnam api kva vA Avc-_19.3b
   vartī siddhim avāpnuyāt Avg_9.4d	vartI sidDim avApnuyAt Avc-_9.4d
   varttamāno 'pi lokavat Avg_18.18b	varttamAnaH api loka-vat Avc-_18.18b
   vastuto na mayi sthitam Avg_2.18d	vastutas na mayi sTitam Avk-_2.18d
   vastu-śravaṇa-mātreṇa Avg_18.48a	vastu--SravaNa--mAtreNa Avc-_18.48a
   vāgmi-prājña-mahodyogaṃ Avg_15.3a	vAgmi--prAjQa--mahA-udyogam Avc-_15.3a
   vāñchā na viśva-vilaye Avg_17.7a	vAQCA na viSva--vilaye Avc-_17.7a
   vāridher iva budbudaḥ Avg_5.2b	vAriDeH iva budbudaH Avc-_5.2b
   vāri sūryakare yathā Avg_2.9d	vAri sUrya-kare yaTA Avc-_2.9d
   vāsanā eva saṃsāra Avg_9.8a	vAsanAH eva saMsAraH Avc-_9.8a
   vikalaḥ keli-śikṣayā Avg_3.6d	vikalaH keli-SikzayA Avc-_3.6d
   vikalānīndriyāṇi ca Avg_17.9b	vikalAni-indriyANi ca Avc-_17.9b
   vikalpaṃ mama vīkṣyaitair Avg_12.5c	vikalpam mama vIkzya-etEH Avc-_12.5c
   vikṣepe 'pi na vikṣiptaḥ Avg_18.97a	vikzepe api na vikziptaH Avc-_18.97a
   vikṣepaikāgra-hṛdaya Avg_12.2c	vikzepa-ekAgra-hRdayaH Avc-_12.2c
   vicitrair drāk samutthitam Avg_2.23b	vicitrEH drAk samutTitam Avc-_2.23b
   vijñasyaiva hi sāmarthyam Avg_4.5c	vijQasya-eva hi sAmarTyam Avc-_4.5c
   vijñāte sākṣi-puruṣe Avg_14.3a	vijQAte sAkzi-puruze Avc-_14.3a
   vijñāya nirahaṃ-kāro Avg_15.6c	vijQAya nirahaM-kAraH Avc-_15.6c
   videha iva rājate Avg_18.22d	videhaH iva rAjate Avc-_18.22d
   vināśo yasya nāsti me Avg_2.11b	vinASaH yasya na-asti me Avc-_2.11b
   vinirdhūta-rajas-tamaḥ Avg_18.88d	vinirDUta-rajas-tamaH Avc-_18.88d
   vibhāgam iti santyaja Avg_15.15b	viBAgam iti santyajaH Avc-_15.15b
   vimūḍho 'bhyāsa-rūpiṇā Avg_18.36b	vimUXaH aByAsa--rUpiNA Avc-_18.36b
   virakto viṣaya-dveṣṭā Avg_16.6a	viraktaH vizaya-dvezwAH Avc-_16.6a
   viralo hi mahāśāyaḥ Avg_17.5d	viralaH hi mahA-SAyaH Avc-_17.5d
   vilasanti mahābhogair Avg_18.53a	vilasanti mahA-BogEH Avc-_18.53a
   viśanti giri-gahvarān Avg_18.53b	viSanti giri-gahvarAn Avc-_18.53b
   viśanti jhaṭiti kroḍaṃ Avg_18.45c	viSanti Jawiti kroxam Avk-_18.45c
   viśeṣo naiva dhīrasya Avg_17.15c	viSezaH na-eva DIrasya Avc-_17.15c
   viśrāntasya mamātmani Avg_19.8d	viSrAntasya mama-Atmani Avk-_19.8d
   viśrāntasya mahātmanaḥ Avg_18.14d	viSrAntasya mahAtmanaH Avc-_18.14d
   viśva-pota itas-tataḥ Avg_7.1b	viSva-potaH ita-s-tataH Avc-_7.1b
   viśvam ātma-vinirgatam Avg_2.4d	viSvam Atma--vinirgatam Avc-_2.4d
   viśva-vīciḥ sva-bhāvataḥ Avg_15.11b	viSva-vIciH sva-BAvataH Avc-_15.11b
   viśva-sākṣī sukhī bhava Avg_1.5d	viSva-sAkzI suKI BavaH Avc-_1.5d
   viśvaṃ nāma vikalpanā Avg_7.3b	viSvam nAma vikalpanA Avc-_7.3b
   viśvaṃ nāsty amale tvayi Avg_5.3b	viSvam na-asti amale tvayi Avc-_5.3b
   viśvaṃ sphurati yatredaṃ Avg_3.3a	viSvam sPurati yatra-idam Avc-_3.3a
   viṣaya-dvīpino vīkṣya Avg_18.45a	vizaya--dvIpinaH vIkzye Avc-_18.45a
   viṣaya-bhrama-gocare Avg_3.2b	vizaya--Brama-gocare Avc-_3.2b
   viṣayān viṣavat tyaja Avg_1.2b	vizayAn viza-vat tyajaH Avc-_1.2b
   viṣvaṃ sphurati yatredaṃ Avg_15.7a	vizvam sPurati yatra-idam Avc-_15.7a
   vismṛtāśeṣa-saṃsṛteḥ Avg_18.86d	vismRta-aSeza--saMsRteH Avc-_18.86d
   vihasya dhik-kṛto yogī Avg_18.55c	vihasya Dik-kRtaH yogI Avk-_18.55c
   vihāya vairiṇaṃ kāmam Avg_10.1a	vihAya vEriNam kAmam Avc-_10.1a
   vihāya śuddha-bodhasya Avg_18.69c	vihAya SudDa-boDasya Avc-_18.69c
   vīta-tṛṣṇaḥ sukhī bhava Avg_10.3d	vIta-tRzNaH suKI BavaH Avc-_10.3d
   vīta-rāgo hi nirduḥkhas Avg_16.9c	vIta-rAgaH hi nirduHKaH Avc-_16.9c
   vītaśokā virājante Avg_18.6 c	vIta-SokAH virAjante Avc-_18.6 c
   vīta-sokaḥ sukhī bhava Avg_1.9d	vIta-sokaH suKI BavaH Avc-_1.9d
   vairāgyaṃ ca kathaṃ prāptam Avg_1.1c	vErAgyam ca kaTam prAptam Avk-_1.1c
   vyagraḥ sarvatra mūḍhadhīḥ Avg_18.58b	vyagraH sarvatra mUXa-DIH Avc-_18.58b
   vyavahāraḥ samādhaye Avg_12.3 ???b	vyavahAraH samADaye Avc-_12.3 ???b
   vyavahāre 'pi śāntadhīḥ Avg_18.59d	vyavahAre api SAnta-DIH Avc-_18.59d
   vyāpāre khidyate yas tu Avg_16.4a	vyApAre Kidyate yaH tu Avc-_16.4a
   vyāpya viśvam avasthitaḥ Avg_2.12d	vyApya viSvam avasTitaH Avc-_2.12d
   vyāmoha-mātra-viratau Avg_18.6 a	vyAmoha--mAtra--viratO Avc-_18.6 a
   śakrādyāḥ sarva-devatāḥ Avg_4.2b	Sakra-AdyAH sarva-devatAH Avc-_4.2b
   śarīraṃ svarga-narakau Avg_2.20a	SarIram svarga-narakO Avc-_2.20a
   śarīrāṇi sukhāni ca Avg_10.6b	SarIrANi suKAni ca Avc-_10.6b
   śalyoddhāraḥ kṛto mayā Avg_19.1d	Salya-udDAraH kRtaH mayA Avc-_19.1d
   śāntaḥ kvāpi na sajjate Avg_11.2d	SAntaH kvApi na sajjate Avc-_11.2d
   śāntir mūḍhasya kṛtrimā Avg_18.52d	SAntiH mUXasya kRtrimAH Avc-_18.52d
   śītalācchatarātmanaḥ Avg_18.23d	SItala-acCatara-AtmanaH Avc-_18.23d
   śukter ajñānato lobho Avg_3.2c	SukteH ajQAnataH loBaH Avk-_3.2c
   śudddha-buddha-svarūpas tvaṃ, Avg_1.16c	SuddDa-budDa--svarUpaH tvaM, Avc-_1.16c
   śuddha-cin-mātra ātmā ca Avg_2.19c	SudDa-cin--mAtraH AtmA ca Avc-_2.19c
   śuddha-buddhir nirākulaḥ Avg_18.48b	SudDa-budDiH nirAkulaH Avc-_18.48b
   śuddham advayam ātmānaṃ Avg_18.43a	SudDam advayam AtmAnam Avc-_18.43a
   śuddha-sphuraṇa-rūpasya Avg_18.71a	SudDa--sPuraNa---rUpasya Avc-_18.71a
   śuddhaṃ buddhaṃ priyaṃ pūrṇaṃ Avg_18.35a	SudDam budDam priyam pUrNam Avk-_18.35a
   śubhaṃ vāpy aśubhaṃ vāpi Avg_18.49c	SuBam vA-api aSuBam vA-api Avk-_18.49c
   śubhāśubhe vihāyāsmād Avg_13.7c	SuBa-aSuBe vihAya-asmAt Avc-_13.7c
   śūnya-citto na jānāti Avg_17.18c	SUnya--cittaH na jAnAti Avc-_17.18c
   śūnyākārā nirākārā Avg_18.57c	SUnya-AkArAH nirAkArAH Avk-_18.57c
   śūnyā dṛṣṭir vṛthā ceṣṭā Avg_17.9a	SUnyA dRzwiH vRTA cezwAH Avc-_17.9a
   śobhanāśobhanā matiḥ Avg_18.91d	SoBanA-SoBanA matiH Avc-_18.91d
   śraddhatsva tāta śraddhatsva Avg_15.8a	SradDatsva tAta SradDatsva Avk-_15.8a
   śrutvāpi śuddha-caitanyam Avg_3.4a	SrutvA-api SudDa--cEtanyam Avk-_3.4a
   śrotriyaṃ devatāṃ tīrtham Avg_18.54a	Srotriyam devatAm tIrTam Avk-_18.54a
   sa eva dhanya ātma-jñaḥ Avg_18.65a	saH eva DanyaH Atma--jQaH Avk-_18.65a
   sa kiṃ paśyati dhīradhīḥ Avg_3.13d	sa kim paSyati DIra-DIH Avc-_3.13d
   sa kṛtārtho bhaved asau Avg_12.8b	sa kRtArTaH Bavet asO Avk-_12.8b
   sa kṛtārtho bhaved asau Avg_12.8d	sa kRtArTaH Bavet asO Avk-_12.8d
   saktaṃ kāsv api dṛṣṭiṣu Avg_8.3b	saktam kAsu api dRzwizu Avc-_8.3b
   saṅghāta-vilayaṃ kurvann Avg_5.1c	saFGAta--vilayam kurvan Avk-_5.1c
   sa jayaty artha-saṃnyāsī Avg_18.67a	sa jayati arTa--saMnyAsI Avc-_18.67a
   satyaṃ pīyūṣavad bhaja Avg_1.2d	satyam pIyUza-vat BajaH Avc-_1.2d
   sadā sarvatra nīrasaḥ Avg_18.68d	sadA sarvatra nIrasaH Avc-_18.68d
   sa nāstīti karotu vai Avg_18.15b	sa na-asti-iti karotu vE Avc-_18.15b
   santuṣṭo 'pi na santuṣṭaḥ Avg_18.56a	santuzwaH api na santuzwaH Avk-_18.56a
   sabuddhir api nirbuddhiḥ Avg_18.95c	sa-budDiH api nirbudDiH Avk-_18.95c
   sa bodhas tvaṃ sukhaṃ cara Avg_1.10d	sa boDaH tvam suKam caraH Avc-_1.10d
   sama evāvatiṣṭhate Avg_18.100d	samaH eva-avatizWate Avc-_18.100d
   sama-jīvita-mṛtyuḥ sann Avg_5.4c	sama-jIvita-mRtyuH san Avk-_5.4c
   sama-duḥkha-sukhas tṛptaḥ Avg_18.82c	sama--duHKa--suKaH tRptaH Avc-_18.82c
   sama-duḥkha-sukhaḥ pūrṇa Avg_5.4a	sama--duHKa--suKaH pUrNaH Avk-_5.4a
   sama-loṣṭāśma-kāñcanaḥ Avg_18.88b	sama-lozwa-aSma--kAQcanaH Avc-_18.88b
   samasta-vāsanā mukto Avg_17.11c	samasta--vAsanA muktaH Avc-_17.11c
   samastaṃ kalpanā-mātram Avg_18.7a	samastam kalpanA--mAtram Avc-_18.7a
   samastāś citta-vṛttayaḥ Avg_18.51d	samastAH citta-vRttayaH Avc-_18.51d
   samaḥ sarvatra vaitṛṣṇyān Avg_18.98c	samaH sarvatra vEtRzNyAn Avk-_18.98c
   samādhānāsamādhāna- Avg_17.18a	samADAna-asamADAna Avc-_17.18a
   samādhim anutiṣṭhasi Avg_1.15d	samADim anutizWasi Avc-_1.15d
   samādhir yasya vartate Avg_18.67d	samADiH yasya vartate Avc-_18.67d
   samādhau na samādhimān Avg_18.97b	samADO na samADimAn Avk-_18.97b
   sam-ādhyās-ādi-vikṣiptau Avg_12.3 ???a	sam-ADyAs-a-Adi--vikziptO Avc-_12.3 ???a
   sarvatra galita-spṛhaḥ Avg_11.5d	sarvatra galita--spRhaH Avk-_11.5d
   sarvatra dṛśyate sva-sthaḥ Avg_17.11a	sarvatra dRSyate sva-sTaH Avc-_17.11a
   sarvatra vimalāśayaḥ Avg_17.11b	sarvatra vimala-ASayaH Avc-_17.11b
   sarvatra sama-darśinaḥ Avg_17.15d	sarvatra sama-darSinaH Avc-_17.15d
   sarvatrānavadhānasya Avg_18.89a	sarvatra-anavaDAnasya Avc-_18.89a
   sarvatrānādaraṃ kuru Avg_10.1d	sarvatra-anAdaram kuru Avk-_10.1d
   sarvadā niṣkriyasya me Avg_20.9d	sarvadA nizkriyasya me Avc-_20.9d
   sarvadā vimalasya me Avg_20.8d	sarvadA vimalasya me Avc-_20.8d
   sarvadā vimalasya me Avg_20.11d	sarvadA vimalasya me Avc-_20.11d
   sarvadā śānta-mānasaḥ Avg_18.39d	sarvadA SAnta--mAnasaH Avc-_18.39d
   sarvadāsāv akṛtrimaḥ Avg_18.41d	sarvadA-asO akRtrimaH Avc-_18.41d
   sarva-bhāveṣu yaḥ samaḥ Avg_18.65b	sarva--BAvezu yaH samaH Avc-_18.65b
   sarva-bhūta-gaṇe tathā Avg_1.20d	sarva-BUta--gaNe taTA Avc-_1.20d
   sarva-bhūtāni cātmani Avg_3.5b	sarva-BUtAni ca-Atmani Avc-_3.5b
   sarva-bhūtāni cātmani Avg_15.6b	sarva-BUtAni ca-Atmani Avc-_15.6b
   sarva-bhūtāny atho mayi Avg_6.4b	sarva-BUtAni aTo mayi Avc-_6.4b
   sarva-bhūteṣu cātmānaṃ Avg_3.5a	sarva-BUtezu ca-AtmAnam Avc-_3.5a
   sarva-bhūteṣu cātmānaṃ Avg_15.6a	sarva-BUtezu ca-AtmAnam Avc-_15.6a
   sarvam ātmeti niścitya Avg_15.15c	sarvam AtmA-iti niScitya Avc-_15.15c
   sarvam ātmeti niścitya Avg_18.9c	sarvam AtmA-iti niScitya Avc-_18.9c
   sarva-vismaraṇād ṛte Avg_16.1d	sarva--vismaraNAt Rte Avc-_16.1d
   sarva-vismaraṇād ṛte Avg_16.11d	sarva--vismaraNAt Rte Avc-_16.11d
