   akramānantacidrūpaḥ Ipk_1,7.1c	akrama-ananta-cit-rUpaH IpS-_1,7.1c
   svātantryāmuktātmānaṃ Ipk_1,5.16a	svAtantrya-amukta-AtmAnam IpS-_1,5.16a
   svātmaniṣṭhāvirodhinām Ipk_1,7.6b	sva-Atma-nizWA-viroDinAm IpS-_1,7.6b
   svātmaniṣṭhā viviktābhā Ipk_2,2.4a	sva-Atma-nizWAH vivikta-ABAH Ipk-_2,2.4a
   svātmābhedena manyate Ipk_4.13b	sva-Atma-aBedena manyate IpS-_4.13b
   svātmeva svātmanā pūrṇā Ipk_2,1.7c	sva-AtmA-iva sva-AtmanA pUrNAH IpS-_2,1.7c
   svātmaiva sarvajantūnām Ipk_4.1a	sva-AtmA-eva sarva-jantUnAm Ipk-_4.1a
   svābhāso 'bhinavodayaḥ Ipk_2,3.1d	su-ABAsaH aBinava-udayaH IpS-_2,3.1d
   svāminaś cātmasaṃsthasya Ipk_1,5.10a	svAminaH ca-Atma-saMsTasya Ipk-_1,5.10a
   'hantā puryaṣṭakātmikā Ipk_3,2.14d	ahantA puryazwaka-AtmikAH IpS-_3,2.14d
   'haṃtayānātmanīkṣite Ipk_3,1.8b	ahaMtayA-ana-Atmani-Ikzite IpS-_3,1.8b
   hṛdayaṃ parameṣṭhinaḥ Ipk_1,5.14d	hRdayam paramezWinaH IpS-_1,5.14d
   hetutā kartṛtā kriyā Ipk_2,4.21d	hetu-tA kartR-tA kriyAH IpS-_2,4.21d
   hetutā nopapadyate Ipk_2,4.8d	hetu-tA na-upapadyate Ipk-_2,4.8d
   hetutaikapramātṛjā Ipk_1,7.4d	hetu-ta-eka-pramAtR-jAH Ipk-_1,7.4d
   hetuṣv api ca vastuṣu Ipk_1,8.3b	hetuzu api ca vastuzu IpS-_1,8.3b
   heyā trayīyaṃ prāṇādeḥ Ipk_3,2.18a	heyA trayIyam prANa-AdeH IpS-_3,2.18a
