   Bhartrhari: Vakyapadiya	BhartH-hari: Vakya-pad-iya
   vyatikramya vyavasthitāḥ Vp_1.36b	vyatikramya vyavasTitAH Vp_1.36b
   vyatiriktaṃ tad ucyate Vp_3,7.38b	vyatiriktam tat ucyate Vp_3,7.38b
   vyatiriktaṃ na kiṃ ca na Vp_1.73d	vyatiriktam na kim ca na Vp_1.73d
   vyatirekam upāśritya Vp_3,7.15c	vyatirekam upASritya Vp_3,7.15c
   vyatirekasya yo hetur Vp_3,6.2a	vyatirekasya yaH hetuH Vp_3,6.2a
   vyatirekaḥ sa dharmau dvau Vp_3,7.161c	vyatirekaH sa DarmO dvO Vp_3,7.161c
   vyatireko na vidyate Vp_2.195b	vyatirekaH na vidyate Vp_2.195b
   vyatireko 'nugamyate Vp_3,3.85d	vyatirekaH anugamyate Vp_3,3.85d
   vyatireko 'nvaye 'sati Vp_3,7.43b	vyatirekaH anvaye asati Vp_3,7.43b
   vyatītyālokatamasī Vp_1.19c	vyatItya-AlokatamasI Vp_1.19c
   vyapadeśas tam ākāśa- Vp_3,7.152c	vyapadeSaH tam AkASa Vp_3,7.152c
   vyapadeśe padārthānām Vp_3,3.39a	vyapadeSe padArTAnAm Vp_3,3.39a
   vyapadeśe 'rthajātīnāṃ Vp_3,1.8c	vyapadeSe arTa-jAtInAm Vp_3,1.8c
   vyapekṣante parasparam Vp_2.114b	vyapekzante parasparam Vp_2.114b
   vyabhicārī tu saṃbandhas Vp_2.397c	vyaBicArI tu saMbanDaH Vp_2.397c
   vyabhicāre 'pi dṛśyate Vp_2.162b	vyaBicAre api dRSyate Vp_2.162b
   vyabhicāro na dṛśyate Vp_3,7.133d	vyaBicAraH na dRSyate Vp_3,7.133d
   vyabhicāro na vidyate Vp_3,3.2d	vyaBicAraH na vidyate Vp_3,3.2d
   vyavasāyas tathārambhe Vp_3,7.16c	vyavasAyaH taTA-AramBe Vp_3,7.16c
   vyavasāye tv anantarā Vp_3,7.16b	vyavasAye tu anantarA Vp_3,7.16b
   vyavasāyo grahītṝṇām Vp_1.54c	vyavasAyaH grahItLNAm Vp_1.54c
   vyavasthānaṃ dvayor api Vp_2.373d	vyavasTAnam dvayoH api Vp_2.373d
   vyavasthānityatocyate Vp_1.28d	vyavasTA-aniti-atA-ucyate Vp_1.28d
   vyavasthāṃ kartum arhati Vp_1.29b	vyavasTAm kartum arhati Vp_1.29b
   vyavahāranibandhanam Vp_2.12d	vyavahAra-nibanDanam Vp_2.12d
   vyavahāranibandhanī Vp_1.163b	vyavahAra-nibanDanI Vp_1.163b
   vyavahāranibandhane Vp_2.33d	vyavahAra-nibanDane Vp_2.33d
   vyavahāraś ca lokasya Vp_3,3.88a	vyavahAraH ca lokasya Vp_3,3.88a
   vyavahārasya gocaraḥ Vp_3,3.77b	vyavahArasya gocaraH Vp_3,3.77b
   vyavahāraḥ padāśrayaḥ Vp_2.345b	vyavahAraH pada-ASrayaH Vp_2.345b
   vyavahārādidarśane Vp_2.380b	vyavahAra-Adi-darSane VB-_2.380b
   vyavahārānupātinau Vp_3,3.59d	vyavahAra-anupAtinO Vp_3,3.59d
   vyavahārāya niyamaḥ Vp_2.366a	vyavahArAya niyamaH Vp_2.366a
   vyavahārāya manyante Vp_2.232c	vyavahArAya manyante Vp_2.232c
   vyavahāre na so 'sty ataḥ Vp_2.428d	vyavahAre na saH asti atas Vp_2.428d
   vyavahāre padārthānāṃ Vp_2.441c	vyavahAre padArTAnAm Vp_2.441c
   vyavahāre 'vatiṣṭhate Vp_1.89b	vyavahAre avatizWate Vp_1.89b
   vyavahāre samākhyānaṃ Vp_2.142c	vyavahAre samAKyAnam Vp_2.142c
   vyavahāro na kalpate Vp_3,1.95d	vyavahAraH na kalpate Vp_3,1.95d
   vyavahāro na vidyate Vp_3,7.110d	vyavahAraH na vidyate Vp_3,7.110d
   vyavahāro nivartate Vp_3,3.71d	vyavahAraH nivartate Vp_3,3.71d
   vyavahāro 'nugamyate Vp_1.75b	vyavahAraH anugamyate Vp_1.75b
   vyavahāro 'nuvartate Vp_3,3.52d	vyavahAraH anuvartate Vp_3,3.52d
   vyavahāro vidhīyate Vp_3,3.82d	vyavahAraH viDIyate Vp_3,3.82d
   vyavahāro vibhajyate Vp_2.340d	vyavahAraH viBajyate Vp_2.340d
   vyavāyalakṣaṇārthatvād Vp_2.387a	vyavAya-lakzaNa-arTa-tvAt Vp_2.387a
   vyākhyāto rūpyate yataḥ Vp_1.123b	vyAKyAtaH rUpyate yatas Vp_1.123b
   vyāghrādivyapadeśena Vp_2.321a	vyAGra-Adi-vyapadeSena Vp_2.321a
   vyāpārabhedāpekṣāyāṃ Vp_3,7.18c	vyApAra-Beda-apekzAyAm Vp_3,7.18c
   vyāpāralakṣaṇā yasmāt Vp_3,1.11c	vyApAra-lakzaNAH yasmAt Vp_3,1.11c
   vyāpārasyāparo yasmān Vp_3,3.28a	vyApArasya-aparaH yasmAn Vp_3,3.28a
   vyāpāraḥ kāryasiddhaye Vp_3,1.50b	vyApAraH kArya-sidDaye VB-_3,1.50b
   vyāpārāṇāṃ pacādayaḥ Vp_3,7.58b	vyApArANAm paca-AdayaH Vp_3,7.58b
   vyāpāro yaḥ sakarmake Vp_3,7.62b	vyApAraH yaH sa-karmake Vp_3,7.62b
   vyāpāro vyavadhīyate Vp_3,7.94d	vyApAraH vyavaDIyate Vp_3,7.94d
   vyāpīdaṃ guru laghv idam Vp_2.84d	vyApi-idam guru laGu idam Vp_2.84d
   vyāptimāṃś ca laghuś caiva Vp_2.345a	vyAptimAn ca laGuH ca-eva Vp_2.345a
   vyāpnoti dūrāt saṃbuddhau Vp_2.374c	vyApnoti dUrAt saMbudDO Vp_2.374c
   vyāvartinīnāṃ mātrāṇām Vp_2.24c	vyAvartinInAm mAtrANAm Vp_2.24c
   vyāvṛttabhedo yenārtho Vp_2.27c	vyAvRtta-BedaH yena-arTaH Vp_2.27c
   vyāvṛttārthābhidhāyibhiḥ Vp_3,5.4d	vyAvRtta-arTa-aBiDAyiBiH Vp_3,5.4d
   vyāvṛttidharmasāmānyaṃ Vp_3,1.14c	vyAvRtti-Darma-sAmAnyam Vp_3,1.14c
   vyutpādyate na vā sarvaṃ Vp_2.175c	vyutpAdyate na vA sarvam Vp_2.175c
   vyudasyatā punar bhedaḥ Vp_2.102c	vyudasyatA punar BedaH Vp_2.102c
   vyudāso 'sya kriyāntare Vp_2.79d	vyudAsaH asya kriyA-antare Vp_2.79d
   vrajāni devadatteti Vp_2.5c	vrajAni devadattA-iti Vp_2.5c
   vrīhiśabdaḥ prakalpayet Vp_2.66b	vrIhi-SabdaH prakalpayet Vp_2.66b
   vrīhiśrutyā nivarteta Vp_2.65c	vrIhi-SrutyAH nivarteta Vp_2.65c
   śaktayas tās tathāśrayaiḥ Vp_3,7.11d	SaktayaH tAH taTA-ASrayEH Vp_3,7.11d
   śaktayaḥ khalu bhāvānām Vp_3,6.6c	SaktayaH Kalu BAvAnAm Vp_3,6.6c
   śaktayaḥ śaktimantaś ca Vp_3,7.9a	SaktayaH SaktimantaH ca Vp_3,7.9a
   śaktayo na vyavasthitāḥ Vp_2.446b	SaktayaH na vyavasTitAH Vp_2.446b
   śaktayo bhinnalakṣaṇāḥ Vp_3,1.23b	SaktayaH Binna-lakzaNAH Vp_3,1.23b
   śaktaḥ pratinidhīyate Vp_3,1.3d	SaktaH pratiniDIyate Vp_3,1.3d
   śaktibhedasya vā gatiḥ Vp_2.372d	Sakti-Bedasya vA gatiH Vp_2.372d
   śaktibhedaḥ prakalpate Vp_3,6.14d	Sakti-BedaH prakalpate Vp_3,6.14d
   śaktibhedād apoddhṛte Vp_2.88b	Sakti-BedAt apodDRte VB-_2.88b
   śaktimanto rasādayaḥ Vp_3,7.11b	SaktimantaH rasa-AdayaH Vp_3,7.11b
   śaktimā trāsam ūhasya Vp_3,7.2a	SaktimA trAsam Uhasya Vp_3,7.2a
   śaktimān gṛhyate tadā Vp_3,7.31d	SaktimAn gRhyate tadA Vp_3,7.31d
   śaktirūpaḥ prakāśate Vp_2.476d	Sakti-rUpaH prakASate Vp_2.476d
   śaktirūpe padārthānām Vp_3,6.1c	Sakti-rUpe padArTAnAm Vp_3,6.1c
   śaktir guṇāśrayā tatra Vp_3,7.81c	SaktiH guNa-ASrayA tatra Vp_3,7.81c
   śaktir dig iti kathyate Vp_3,6.3d	SaktiH diS iti kaTyate Vp_3,6.3d
   śaktivyāpārabhedo 'smin Vp_2.83a	Sakti-vyApAra-BedaH asmin Vp_2.83a
   śaktihīnaṃ na gṛhyate Vp_3,1.4d	Sakti-hInam na gRhyate Vp_3,1.4d
   śaktīnām api sā śaktir Vp_3,3.5c	SaktInAm api sA SaktiH Vp_3,3.5c
   śaktīnām upakāriṇīm Vp_3,3.10b	SaktInAm upakAriNIm Vp_3,3.10b
   śaktīr ekādhikaraṇe Vp_3,7.33c	SaktIH eka-aDikaraNe Vp_3,7.33c
   śaktyantaraparigrahāt Vp_2.104d	Sakti-antara-parigrahAt Vp_2.104d
   śaktyapoddhāralakṣaṇaḥ Vp_2.445d	Sakti-apa-udDAra-lakzaNaH Vp_2.445d
   śaktyavacchedalakṣaṇaḥ Vp_2.369b	Sakti-avacCeda-lakzaNaH VB-_2.369b
   śaktyādhānāya vā dhātoḥ Vp_2.188c	Sakti-ADAnAya vA DAtoH Vp_2.188c
   śaktyānyatra prayujyate Vp_2.277d	SaktyA-anyatra prayujyate Vp_2.277d
   śaktyāśraye tato liṅgaṃ Vp_3,1.5c	Sakti-ASraye tatas liFgam Vp_3,1.5c
   śakyate vaktum āgame Vp_1.157d	Sakyate vaktum Agame Vp_1.157d
   śataṃ saṅghe 'vatiṣṭhate Vp_2.391d	Satam saFGe avatizWate Vp_2.391d
   śatādānapradhānatvād Vp_2.382a	Sata-AdAna-praDAna-tvAt Vp_2.382a
   śabdajātaya ity atra Vp_3,1.9c	Sabda-jAtayaH iti atra Vp_3,1.9c
   śabdatattvasya sarvadā Vp_2.32d	Sabda-tattvasya sarvadA Vp_2.32d
   śabdatattvaṃ yad akṣaram Vp_1.1b	Sabda-tattvam yat akzaram Vp_1.1b
   śabdatvaṃ neṣyate tayoḥ Vp_2.52d	Sabda-tvam na-izyate tayoH Vp_2.52d
   śabdatvaṃ pratipadyate Vp_1.111d	Sabda-tvam pratipadyate Vp_1.111d
   śabdatvāpattir iṣyate Vp_1.110b	Sabda-tva-ApattiH izyate Vp_1.110b
   śabdatvena vivartate Vp_1.115d	Sabda-tvena vivartate Vp_1.115d
   śabdadharmāv apoddhṛtau Vp_1.59b	Sabda-DarmO apodDRtO Vp_1.59b
   śabdapūrveṇa yogena Vp_1.20c	Sabda-pUrveNa yogena Vp_1.20c
   śabdapramāṇako lokaḥ Vp_3,7.38c	Sabda-pramANakaH lokaH Vp_3,7.38c
   śabdapravṛttidharmāt tu Vp_3,7.154c	Sabda-pravRtti-DarmAt tu Vp_3,7.154c
   śabdabhedānumānaṃ vā Vp_2.372c	Sabda-Beda-anumAnam vA Vp_2.372c
   śabdam antar avasthitam Vp_1.143b	Sabdam antar avasTitam Vp_1.143b
   śabdam anye parīkṣakāḥ Vp_2.250b	Sabdam anye parIkzakAH Vp_2.250b
   śabdamātrāsu niśritāḥ Vp_1.123d	Sabda-mAtrAsu niSritAH Vp_1.123d
   śabdavyavahitā buddhir Vp_2.328a	Sabda-vyavahitA budDiH Vp_2.328a
   śabdavyutpattikarmaṇi Vp_2.283b	Sabda-vyutpatti-karmaNi Vp_2.283b
   śabdavyutpattikarmasu Vp_2.170b	Sabda-vyutpatti-karmasu Vp_2.170b
   śabdas tatrārtharūpātmā Vp_1.45c	SabdaH tatra-arTa-rUpa-AtmA Vp_1.45c
   śabdas tatrāvatiṣṭhate Vp_2.406d	SabdaH tatra-avatizWate Vp_2.406d
   śabdas teṣāṃ na sāṃnidhyaṃ Vp_2.161c	SabdaH tezAm na sAMniDyam Vp_2.161c
   śabdasya grahaṇe hetuḥ Vp_1.78a	Sabdasya grahaNe hetuH Vp_1.78a
   śabdasya na vibhāgo 'sti Vp_2.13a	Sabdasya na viBAgaH asti Vp_2.13a
   śabdasya pariṇāmo 'yam Vp_1.124a	Sabdasya pariNAmaH ayam Vp_1.124a
   śabdasyānekadharmaṇaḥ Vp_2.253b	Sabdasya-aneka-DarmaNaH VB-_2.253b
   śabdasyānyasya saṃnidhiḥ Vp_2.315d	Sabdasya-anyasya saMniDiH Vp_2.315d
   śabdasyārthena taṃ śabdam Vp_2.128c	Sabdasya-arTena tam Sabdam Vp_2.128c
   śabdasyārthena hīyate Vp_2.16d	Sabdasya-arTena hIyate Vp_2.16d
   śabdasyārthe yatas tatra Vp_3,3.37c	Sabdasya-arTe yatas tatra Vp_3,3.37c
   śabdasyety upacaryate Vp_1.77d	Sabdasya-iti upacaryate Vp_1.77d
   śabdasyaivobhayasya vā Vp_1.80b	Sabdasya-eva-uBayasya vA Vp_1.80b
   śabdasyopaiti vācyatām Vp_3,5.3d	Sabdasya-upEti vAcya-tAm Vp_3,5.3d
   śabdasyordhvam abhivyakter Vp_1.79a	Sabdasya-UrDvam aBivyakteH Vp_1.79a
   śabdasvarūpam arthas tu Vp_2.260a	Sabda-svarUpam arTaH tu Vp_2.260a
   śabdaḥ kāraṇam arthasya Vp_3,3.32a	SabdaH kAraNam arTasya Vp_3,3.32a
   śabdaḥ pratyayam āśritaḥ Vp_3,3.54b	SabdaH pratyayam ASritaH Vp_3,3.54b
   śabdaḥ pravartamāno 'pi Vp_2.154c	SabdaH pravartamAnaH api Vp_2.154c
   śabdaḥ śeṣās tv anarthakāḥ Vp_2.245d	SabdaH SezAH tu anarTakAH Vp_2.245d
   śabdaḥ sattvanibandhanaḥ Vp_2.336b	SabdaH sattva-nibanDanaH Vp_2.336b
   śabdaḥ saṃskārahīno yo Vp_1.175a	SabdaH saMskAra-hInaH yaH Vp_1.175a
   śabdaḥ svārthe vyavasthitaḥ Vp_2.255d	SabdaH sva-arTe vyavasTitaH Vp_2.255d
   śabdā eva nibandhanam Vp_1.13b	SabdAH eva nibanDanam Vp_1.13b
   śabdākṛtinibandhanāḥ Vp_1.15b	Sabda-AkRti-nibanDanAH Vp_1.15b
   śabdākhyāḥ paramāṇavaḥ Vp_1.114d	Sabda-AKyAH paramANavaH Vp_1.114d
   śabdā jñeyena vastunā Vp_2.333d	SabdAH jQeyena vastunA Vp_2.333d
   śabdāt kartā pratīyate Vp_3,7.103d	SabdAt kartA pratIyate Vp_3,7.103d
   śabdātmā tair na bhidyate Vp_2.463d	Sabda-AtmA tEH na Bidyate Vp_2.463d
   śabdāt saṃpratyaye sati Vp_2.163b	SabdAt saMpratyaye sati Vp_2.163b
   śabdādibhedaḥ śabdena Vp_1.123a	Sabda-Adi-BedaH Sabdena Vp_1.123a
   śabdād bhinne iva sthite Vp_2.469b	SabdAt Binne iva sTite Vp_2.469b
   śabdādbhedaḥ pratīyate Vp_2.452d	SabdAt-BedaH pratIyate Vp_2.452d
   śabdān astīti manyate Vp_1.87b	SabdAn asti-iti manyate VB-_1.87b
   śabdānām eva sā śaktis Vp_1.153a	SabdAnAm eva sA SaktiH Vp_1.153a
   śabdānām aupacārikīm Vp_3,3.50d	SabdAnAm OpacArikIm Vp_3,3.50d
   śabdānāṃ kramamātre ca Vp_2.50a	SabdAnAm krama-mAtre ca Vp_2.50a
   śabdānāṃ yataśaktitvaṃ Vp_1.6c	SabdAnAm yata-Sakti-tvam Vp_1.6c
   śabdāntaratvaṃ yāntīva Vp_2.104c	Sabda-antara-tvam yAnti-iva Vp_2.104c
   śabdāntaratvān naivāsti Vp_3,7.77c	Sabda-antara-tvAt na-eva-asti Vp_3,7.77c
   śabdāntarābhisaṃbandham Vp_2.329c	Sabda-antara-aBisaMbanDam Vp_2.329c
   śabdāntarābhisaṃbandhād Vp_2.17c	Sabda-antara-aBisaMbanDAt Vp_2.17c
   śabdāntareṇa saṃbandhaḥ Vp_2.269c	Sabda-antareNa saMbanDaH Vp_2.269c
   śabdāntaraiḥ samākhyānaṃ Vp_2.9c	Sabda-antarEH samAKyAnam Vp_2.9c
   śabdārtha iti gamyate Vp_2.124d	Sabda-arTaH iti gamyate Vp_2.124d
   śabdārtha iti gamyate Vp_2.132d	Sabda-arTaH iti gamyate Vp_2.132d
   śabdārthasya prakāśakāḥ Vp_1.177d	Sabda-arTasya prakASakAH Vp_1.177d
   śabdārthasyānavacchede Vp_2.316c	Sabda-arTasya-anavacCede Vp_2.316c
   śabdārthaḥ kaiś cid iṣyate Vp_2.126d	Sabda-arTaH kEH cit izyate Vp_2.126d
   śabdārthaḥ pravibhajyate Vp_2.135d	Sabda-arTaH praviBajyate Vp_2.135d
   śabdārthāv apṛthaksthitau Vp_2.31d	Sabda-arTO apRTak-sTitO Vp_2.31d
   śabdārthāḥ pravibhajyante Vp_2.314c	Sabda-arTAH praviBajyante Vp_2.314c
   śabdā lokanibandhanāḥ Vp_2.297d	SabdAH loka-nibanDanAH Vp_2.297d
   śabdā vākyasya teṣv artho Vp_2.318c	SabdAH vAkyasya tezu arTaH Vp_2.318c
   śabdāś ca na pṛthak tataḥ Vp_3,2.16b	SabdAH ca na pRTak tatas Vp_3,2.16b
   śabdās tathaiva dṛśyante Vp_1.155c	SabdAH taTA-eva dRSyante Vp_1.155c
   śabdās tasmād asatyeṣu Vp_3,3.73c	SabdAH tasmAt asatyezu Vp_3,3.73c
   śabdāḥ prakaraṇādibhiḥ Vp_2.317d	SabdAH prakaraNa-AdiBiH Vp_2.317d
   śabdenārtham upohate Vp_2.215d	Sabdena-arTam upohate Vp_2.215d
   śabdenārthasya saṃskāro Vp_3,3.35a	Sabdena-arTasya saMskAraH Vp_3,3.35a
   śabde 'nyatra vyavasthitaḥ Vp_2.96b	Sabde anyatra vyavasTitaH Vp_2.96b
   śabdebhyo jāyate smṛtiḥ Vp_2.421d	SabdeByaH jAyate smRtiH Vp_2.421d
   śabdebhyo bhinnalakṣaṇā Vp_3,1.10b	SabdeByaH Binna-lakzaNA Vp_3,1.10b
   śabdeṣv atyantam āśritaḥ Vp_2.102d	Sabdezu atyantam ASritaH Vp_2.102d
   śabdeṣv eva pravartate Vp_1.54b	Sabdezu eva pravartate Vp_1.54b
   śabdeṣv evāśritā śaktir Vp_1.122a	Sabdezu eva-ASritA SaktiH Vp_1.122a
   śabdair apekṣyate yasmād Vp_3,1.12c	SabdEH apekzyate yasmAt Vp_3,1.12c
   śabdair uccaritais teṣāṃ Vp_3,3.1c	SabdEH uccaritEH tezAm Vp_3,3.1c
   śabdair eva prakalpitā Vp_2.131b	SabdEH eva prakalpitA Vp_2.131b
   śabdair eva prakāśyate Vp_3,7.66d	SabdEH eva prakASyate Vp_3,7.66d
   śabdair nārthaḥ prakāśyate Vp_1.57b	SabdEH na-arTaH prakASyate Vp_1.57b
   śabdais tadabhidhāyibhiḥ Vp_2.121b	SabdEH tad-aBiDAyiBiH Vp_2.121b
   śabdais tais tair upāśritām Vp_3,3.49d	SabdEH tEH tEH upASritAm Vp_3,3.49d
   śabdaiḥ kartuṃ na śakyate Vp_3,3.38d	SabdEH kartum na Sakyate Vp_3,3.38d
   śabdo dattārthavṛttitvād Vp_2.282c	SabdaH datta-arTa-vRtti-tvAt Vp_2.282c
   śabdo na tasyāvayave Vp_2.155c	SabdaH na tasya-avayave Vp_2.155c
   śabdo niyatatādarthyaḥ Vp_2.277c	SabdaH niyata-tAdarTyaH Vp_2.277c
   śabdopahitarūpāṃś ca Vp_3,7.5a	Sabda-upahita-rUpAn ca Vp_3,7.5a
   śabdo yena prayujyate Vp_2.299b	SabdaH yena prayujyate Vp_2.299b
   śabdo vāpy abhijalpatvam Vp_2.127c	SabdaH vA-api aBijalpa-tvam Vp_2.127c
   śabdau tulyaśrutī punaḥ Vp_2.475b	SabdO tulya-SrutI punar Vp_2.475b
   śabdau śabdavido viduḥ Vp_1.44b	SabdO Sabda-vidaH viduH Vp_1.44b
   śarīrabhede viduṣāṃ Vp_1.127c	SarIra-Bede viduzAm Vp_1.127c
   śarīraṃ tattvam ity api Vp_3,2.1b	SarIram tattvam iti api Vp_3,2.1b
   śāstra evānugamyate Vp_2.37d	SAstre eva-anugamyate Vp_2.37d
   śāstrāt prāptādhikāro 'yaṃ Vp_2.79c	SAstrAt prApta-aDikAraH ayam Vp_2.79c
   śāstrād anumitātmakāḥ Vp_3,4.2b	SAstrAt anumita-AtmakAH Vp_3,4.2b
   śāstrārtha eva varṇānām Vp_2.210a	SAstra-arTaH eva varNAnAm Vp_2.210a
   śāstrārthaprakriyā yataḥ Vp_2.232d	SAstra-arTa-prakriyA yatas Vp_2.232d
   śāstre kva cit prakṛtyarthaḥ Vp_2.229a	SAstre kva cit prakRti-arTaH Vp_2.229a
   śāstreṇa pratiṣiddhe 'rthe Vp_2.322c	SAstreNa pratizidDe arTe Vp_2.322c
   śāstreṇāpratipāditam Vp_2.110b	SAstreNa-apratipAditam Vp_2.110b
   śāstre tūbhayarūpatvaṃ Vp_2.130c	SAstre tu-uBaya-rUpa-tvam Vp_2.130c
   śāstre 'dhikaraṇaṃ smṛtam Vp_3,7.148d	SAstre aDikaraNam smRtam Vp_3,7.148d
   śāstre niyatalakṣaṇam Vp_2.448b	SAstre niyata-lakzaNam Vp_2.448b
   śāstre padārthaḥ kāryārthaṃ Vp_3,3.88c	SAstre padArTaH kArya-arTam Vp_3,3.88c
   śāstre 'pi mahatī saṃjñā Vp_2.371a	SAstre api mahatI saMjQA Vp_2.371a
   śāstre pratyāyakasyāpi Vp_2.98a	SAstre pratyAyakasya-api Vp_2.98a
   śāstre bhedena darśitam Vp_3,7.78b	SAstre Bedena darSitam Vp_3,7.78b
   śāstre yat paribhāṣitam Vp_2.3b	SAstre yat pariBAzitam Vp_2.3b
   śāstre laghvartham āśritaḥ Vp_2.176b	SAstre laGu-arTam ASritaH Vp_2.176b
   śāstre lopādi śiṣyate Vp_2.362d	SAstre lopa-Adi Sizyate Vp_2.362d
   śāstre vibhaktā vākyārthāt Vp_3,4.1c	SAstre viBaktA vAkya-arTAt Vp_3,4.1c
   śāstreṣu prakriyābhedair Vp_2.233a	SAstrezu prakriyA-BedEH Vp_2.233a
   śāstre sādhutvam ucyate Vp_2.108d	SAstre sADu-tvam ucyate Vp_2.108d
   śāstre 'sminn upavarṇitāḥ Vp_1.26b	SAstre asmin upavarNitAH Vp_1.26b
   śāstrais teṣāṃ viśuddhayaḥ Vp_1.174d	SAstrEH tezAm viSudDayaH Vp_1.174d
   śāstraiḥ kaś ca na vidyate Vp_1.150b	SAstrEH kaH ca na vidyate Vp_1.150b
   śāstropāyeva lakṣyate Vp_2.234d	SAstra-upAyA-iva lakzyate Vp_2.234d
   śikṣamāṇo 'pabhāṣate Vp_1.179b	SikzamANaH apaBAzate Vp_1.179b
   śiṣṭebhya āgamāt siddhāḥ Vp_1.27a	SizweByaH AgamAt sidDAH Vp_1.27a
   śiṣṭair nibadhyamānā tu Vp_1.172c	SizwEH nibaDyamAnA tu Vp_1.172c
   śiṣyamāṇapare vākye Vp_3,1.86a	SizyamANa-pare vAkye Vp_3,1.86a
   śuklādayo guṇāḥ santo Vp_2.69a	Sukla-AdayaH guNAH santaH Vp_2.69a
   śuddham evābhidhīyate Vp_3,2.3d	SudDam eva-aBiDIyate Vp_3,2.3d
   śuddham evaiti vācyatām Vp_3,2.4d	SudDam eva-eti vAcya-tAm Vp_3,2.4d
   śuddhasyoccāraṇe svārthaḥ Vp_2.265a	SudDasya-uccAraNe sva-arTaH Vp_2.265a
   śuṣkatarkānusāribhiḥ Vp_2.484b	Suzka-tarka-anusAriBiH Vp_2.484b
   śeṣatvena vyavasthite Vp_3,3.23b	Seza-tvena vyavasTite Vp_3,3.23b
   śeṣatve vāpi kārakam Vp_3,7.130b	Seza-tve vA-api kArakam Vp_3,7.130b
   śeṣabhedas tu saptamī Vp_3,7.44d	Seza-BedaH tu saptamI Vp_3,7.44d
   śeṣalakṣaṇayā ṣaṣṭhyā Vp_3,7.160c	Seza-lakzaNayA zazWyA Vp_3,7.160c
   śeṣas tv anyaḥ pratīyate Vp_2.259d	SezaH tu anyaH pratIyate Vp_2.259d
   śeṣe viśiṣṭasaṃkhye 'pi Vp_3,1.86c	Seze viSizwa-saMKye api Vp_3,1.86c
   śritās trayyantavedinaḥ Vp_3,3.72d	SritAH trayI-anta-vedinaH Vp_3,3.72d
   śrutam anyatra gamyate Vp_2.348d	Srutam anyatra gamyate Vp_2.348d
   śrutāyām aśrutāyāṃ vā Vp_3,7.156c	SrutAyAm aSrutAyAm vA Vp_3,7.156c
   śrutidharmavilakṣaṇaḥ Vp_2.74d	Sruti-Darma-vilakzaNaH Vp_2.74d
   śrutiprāpto hi saṃbandho Vp_3,1.76c	Sruti-prAptaH hi saMbanDaH Vp_3,1.76c
   śrutimātreṇa yatrāsya Vp_2.278a	Sruti-mAtreNa yatra-asya Vp_2.278a
   śrutim āhur akartṛkām Vp_1.172b	Srutim AhuH akartRkAm Vp_1.172b
   śrutirūpaiḥ pṛthagvidhaiḥ Vp_1.118b	Sruti-rUpEH pRTagviDEH Vp_1.118b
   śrutir evānuṣaṅgeṇa Vp_2.73c	SrutiH eva-anuzaFgeNa Vp_2.73c
   śrutir vacanabhinnā vā Vp_2.471c	SrutiH vacana-BinnA vA Vp_2.471c
   śrutisāmye 'pi dṛśyate Vp_3,1.50d	Sruti-sAmye api dRSyate Vp_3,1.50d
   śrutis tv anyanivṛttaye Vp_2.417d	SrutiH tu anya-nivRttaye Vp_2.417d
   śrutismṛtyuditaṃ dharmaṃ Vp_1.149c	Sruti-smRti-uditam Darmam Vp_1.149c
   śrutīnāṃ kāraṇaṃ pṛthak Vp_1.47d	SrutInAm kAraNam pRTak Vp_1.47d
   śruter aśakyā bhedānāṃ Vp_2.454c	SruteH aSakyA BedAnAm Vp_2.454c
   śruter vākyaṃ samāpyate Vp_2.451d	SruteH vAkyam samApyate Vp_2.451d
   śrutyā prakramyate yathā Vp_1.141b	SrutyA prakramyate yaTA Vp_1.141b
   śrūyamāṇakriye punaḥ Vp_3,7.159b	SrUyamANa-kriye punar Vp_3,7.159b
   śrūyamāṇe kriyāśabde Vp_2.197c	SrUyamANe kriyA-Sabde Vp_2.197c
   ṣaṭ karmākhyādibhedena Vp_3,7.44c	zax karma-AKya-Adi-Bedena Vp_3,7.44c
   ṣaṭprabodhāṃ ṣaḍavyayām Vp_1.138b	zaz-praboDAm zaz-avyayAm Vp_1.138b
   ṣaṭ śaktīr nātivartate Vp_3,7.36d	zaw SaktIH na-ativartate Vp_3,7.36d
   ṣaḍ avasthāḥ prapadyate Vp_3,1.36b	zaw avasTAH prapadyate Vp_3,1.36b
   ṣaḍdvārāṃ ṣaḍadhiṣṭhānāṃ Vp_1.138a	zaz-dvArAm zaz-aDizWAnAm Vp_1.138a
   ṣatvādivinivṛttyarthaṃ Vp_2.202c	zatu-Adi-vinivRtti-arTam Vp_2.202c
   ṣaṣṭhyāś ca prathamāyāś ca Vp_1.67c	zazWyAH ca praTamAyAH ca Vp_1.67c
   ṣaṣthī ca pratiṣidhyate Vp_3,7.160b	zazTI ca pratiziDyate Vp_3,7.160b
   ṣoḍhā kartṛtvam evāhus Vp_3,7.37c	zoXA kartR-tvam eva-AhuH Vp_3,7.37c
   sa kadā cit pratīyate Vp_2.435d	sa kadA cit pratIyate Vp_2.435d
   sa karoti prakāśanam Vp_2.298d	sa karoti prakASanam Vp_2.298d
   sa kārakavibhaktibhiḥ Vp_2.200b	sa kAraka-viBaktiBiH Vp_2.200b
   sa kuryāt tāvatāṃ yadi Vp_3,1.84b	sa kuryAt tAvatAm yadi Vp_3,1.84b
