   caturtha ucchvāsaḥ	caturTaH ucCvAsaH
   taruṇībhūtā vatsā rājyaśrīḥ /	taruNIBUtAH vatsAH rAjya-SrIH /
   etadīyā guṇavatteva kṣaṇamapi hṛdayānnāpayāti me cintā /	etadIyAH guNavat-tA-iva kzaNam-api hRdayAt-na-apayAti me cintA /
   yauvanārambha eva ca kanyakānābhindhanībhavanti pitaraḥ saṃtāpānalasya /	yOvana-AramBaH eva ca kanyakAnABinDanIBavanti pitaraH saMtApa-analasya /
   hṛdayamandhakārayati medivasamiva payodharonnatirasyāḥ /	hRdayam-anDakArayati medivasam-iva payoDara-unnatiH-asyAH /
   kenāpi kṛtā dharmyā nābhimatā me sthitireyaṃ	kena-api kRtA DarmyA na-aBimatA me sTitiH-eyam
   yadaṅgasaṃbhūtānyaṅkalālitānyaparityājyānyapatyakānyakāṇḍa	yad-aFga-saMBUtAni-aFka-lAlitAni-aparityAjyAni-apatyakAnya-kANxa
   evāgatyāsaṃstutairnīyante /	eva-Agatya-asaMstutEH-nIyante /
   etāni tāni khalvaṅkanasthānāni saṃsārasya /	etAni tAni Kalu-aFkana-sTAnAni saMsArasya /
   seyaṃ sarvābhibhāvinī śokāgnedahiśaktiryadapatyatve samāne 'pi jātāyāṃ	sA-iyam sarva-aBiBAvinI Soka-agnet-ahi-SaktiH-yat-apatya-tve samAne api jAtAyAm
   duhitari dūyante santaḥ /	duhitari dUyante santaH /
   etadrathaṃ janmakāla eva kanyakābhyaḥ prayacchanti salilamaśrubiḥ sādhavaḥ	etat-raTam janma-kAle eva kanyakAByaH prayacCanti salilam-aSrubiH sADavaH
   eta dbhayādakṛtadāraparigrahāḥ parihṛtagṛhavasatayaḥ	ete dBayAt-akRta-dAra-parigrahAH parihRta-gRha-vasatayaH
   śūnyānyaraṇyānyadhiśerate munayaḥ /	SUnyAni-araNyAni-aDiSerate munayaH /
   ko hi nāma saheta sacetano virahamapatyānām /	kaH hi nAma saheta sa-cetanaH viraham-apatyAnAm /
   yathā yathā samāpatanti dūtā varāṇāṃ varākī lajjamāneva cintā tathā tathā	yaTA yaTA samApatanti dUtA varANAm varAkI lajjamAnA-iva cintA taTA taTA
   nitarāṃ praviśati mehṛdayam /	nitarAm praviSati mehR-dayam /
   kiṃ kriyate /	kim kriyate /
   tathāpi gṛhagatairanugantavyā eva lokavṛttayaḥ /	taTA-api gRha-gatEH-anugantavyAH eva loka-vRttayaH /
   prāyeṇa ca satsvapyanyeṣu varaguṇeṣvabhijanamevānurudhyante dhīmantaḥ /	prAyeNa ca satsu-api-anyezu vara-guNezu-aBijanam-eva-anuruDyante DImantaH /
   dharaṇīdharāṇāṃ ca mūrdhni sthito māheśvarā pādanyāsa iva	DaraNIDarANAm ca mUrDni sTitaH mAheSvarA pAda-nyAsaH iva
   sakalabhuvananamaskṛto maukharo vaṃśaḥ /	sakala-Buvana-namaskRtaH mOKaraH vaMSaH /
   tatrāpi tilakabhūtasyāvantivarmaṇaḥ sūnuragrajo grahavarmā nāma	tatra-api tilaka-BUtasya-avantivarmaNaH sUnuH-agrajaH grahavarmA nAma
   grahapatiriva gāṃ gataḥ pituranyūno guṇairenāṃ prārthayate /	grahapatiH-iva gAm gataH pituH-anyUnaH guNEH-enAm prArTayate /
   yadi bhavatyā api matiranumanyate tatastasmai dātumicchāmi' ityuktavati	yadi BavatyA api matiH-anumanyate tatas-tasmE dAtum-icCAmia iti-uktavati
   bhartari duhitṛsnehakātaratarahadayā sāśrulocanā mahādevī	Bartari duhitR-snehaka-ataratara-hadayA sa-aSru-locanA mahAdevI
   pratyuvāca--āryaputra! saṃvardhanamātropayoginyo dhātrīnirviśeṣā bhavanti	pratyuvAca---Arya-putra! saMvarDana-mAtra-upayoginyaH DAtrI-nirviSezAH Bavanti
   khalu mātaraḥ kanyakānām /	Kalu mAtaraH kanyakAnAm /
   dāne tu pramāṇamāsāṃ pitaraḥ /	dAne tu pramANam-AsAm pitaraH /
   kevalaṃ kṛpākaṭataviśeṣaḥ sudūreṇa tanayasnehādatiricyate duhitṛsneha /	kevalam kRpA-kawata-viSezaH su-dUreNa tanaya-snehAt-atiricyate duhitR-snehaH /
   yathā neyaṃ yāvajjavīvamāvayorārgitāṃ prati padyate tathāryaputra eva	yaTA na-iyam yAvat-javIvamAvayoH-ArgitAm prati padyate taTA-Arya-putraH eva
   jānāti' iti /	jAnAti-a iti /
   rājā tu jātaniścayo duhitṛdānaṃ prati samāhūya sutāvapi viditārthāvakārṣīt	rAjA tu jAta-niScayaH duhitR-dAnam prati samAhUya sutO=-api vidita-arTO=-akArzIt-
   śobhate ca divase grahavarmaṇā kanyāṃ prārthayituṃ preṣitasya	SoBate ca divase grahavarmaNA kanyAm prArTayitum prezitasya
   pūrvāgatasyaiva pradhānadūtapuruṣasya kare sarvarājakulasamakṣaṃ	pUrva-Agatasya-eva praDAna-dUta-puruzasya kare sarva-rAja-kula-samakzam
   duhitṛdānalalamapātayat /	duhitR-dAna-lalam-apAtayat /
   jātamudi kṛtārthe gate ca tasminnāsanneṣu ca	jAta-mudi kRtArTe gate ca tasmin=-Asannezu ca
   vivāhadivaseṣūddāmadīyamānatāmbūlapaṭavāsakusumaprasādhitasarvalokam,	vivAha-divasezu-uddAma-dIyamAna-tAmbUla-pawa-vAsa-kusuma-prasADita-sarva-lokam,
   sakaladeśādiśyamānaśilpisārthāgamanam,	sakala-deSa-AdiSyamAna-Silpi-sArTa-Agamanam,
   avanipālapuruṣagṛhītasamagragrāmīṇānīyamānopakaraṇasaṃbhāram,	avanipAla-puruza-gRhIta-samagra-grAmINa-AnIyamAna-upakaraNa-saMBAram,
   rājadauvārikopanīyamānānekanṛpopāyanam,	rAja-dOvArikA-upanIyamAna-aneka-nRpa-upAyanam,
   upanimantritāgatabandhuvargasaṃvargaṇvayagrarājavallabham,	upanimantrita-Agata-banDu-varga-saMvargaNvayagra-rAja-vallaBam,
   labdhamadhumadapracaṇḍacarmakārakarapuṭollālitakoṇapaṭuvighaṭṭanaraṇanmaṅgalapaṭaham,	labDa-maDu-mada-pracaNxa-carmakAra-kara-puwa-ullAlita-koNa-pawu-viGawwa-na-raNat-maFgala-pawaham,
   piṣṭapañcāṅgulamaṇḍyamānolūkhalamukalaśilādyupakaraṇam,	pizwa-paQca-aFgula-maNxyamAna-ulUKala-mukala-SilA-Adi-upakaraNam,
   aśeṣāśāmukhāvirbhūtacāraṇaparamparāpūryamāṇaprakoṣṭhapratiṣṭhāpyamānendrāṇīdaivatam,	aSeza-ASA-muKa-AvirBUta-cAraNa-paramparA-pUryamANa-prakozWa-pratizWApyamAna-indrANI-dEvatam,
   sitakusumavilepanavasanasatkṛtaiḥ	sita-kusuma-vilepana-vasana-satkRtEH
   sūtradhārairādīyamānavivāhavedīsūtrapātam, utkūrcakakaraiśca	sUtra-DArEH-AdIyamAna-vivAha-vedI-sUtra-pAtam, utkUrcaka-karEH-ca
   sudhākarpūraskandhairadhirohiṇīsamārūḍhairdhavairdhavalīkriyamāṇaprāsādapratolīprākāraśikharam,	suDA-karpUra-skanDEH-aDirohiNI-samArUXEH-DavEH-DavalI-kriyamANa-prAsAda-pratolI-prAkAra-SiKaram,
   kṣuṇṇakṣālyamānakusumbhasaṃbhārāmbhaḥplavapūrarajyamānajanapādapallavam,	kzuNNa-kzAlyamAna-kusumBa-saMBAra-amBaH-plava-pUra-rajya-mAna-jana-pAda-pallavam,
   nirūpyamāṇayautakayogyamātaṅgaturahgataraṅgitāṅganam,	nirUpyamANa-yOtaka-yogya-mAtaFga-turahga-taraFgita-aFganam,
   gaṇanābhiyuktagaṇakagaṇagṛhyamāṇalagnaguṇam,	gaNanA-aBi-yukta-gaNaka-gaNa-gRhyamANa-lagna-guNam,
   gandhodakavāhimakaramukhapraṇālīpūryamāṇakrīḍāvāpīsamūham,	ganDa-udaka-vAhi-makara-muKa-praNAlI-pUryamANa-krIxA-vApI-samUham,
   hemakāracakraprakrāntahāṭakaghaṭanaṭāṅkāravācālitālindakam,	hemakAra-cakra-prakrAnta-hAwaka-Gawa-nawa-aFkAra-vAcAlita-Alindakam,
   uttāpitābhinavabhittipātyamānabahalavālukākaṇṭhakālepākulālepakalokam,	uttApita-aBinava-Bitti-pAtyamAna-bahala-vAlukA-kaNWaka-Alepa-Akula-Alepaka-lokam,
   caturacitrakaracakravālalikhyamānamāṅgalyālekhyam,	catura-citrakara-cakravAla-liKyamAna-mAFgalya-AleKyam,
   lepyakārakadambakakriyamāṇamṛnmayamīnakūrmamakaranārikelakadalīpūgavṛkṣakam,	lepya-kAra-kadambaka-kriyamANa-mRd-maya-mIna-kUrma-makara-nArikela-kadalI-pUgavRkzakam,
   kṣitipālaiśca svayamāvaddhakakṣyaiḥ svāmyarpitakarmaśobhāsaṃpādanākulaiḥ	kzitipAlEH-ca svayam-AvadDa-kakzyEH svAmi-arpita-karma-SoBA-saMpAdana-AkulEH
   sindūrakuṭṭimabhūmīśca	sindUra-kuwwima-BUmIH-ca
   masṛṇayadbhirvinihitasarasātarpaṇahastānvinyastālaktakapāṭalāṃśca	masRNayadBiH-vinihita-sarasa-AtarpaNa-hastAn-vinyasta-alaktaka-pAwalAn=-ca
   cūtāśokapallavalāñchitaśikharānudvāhavitardikāstambhānuttambhayadbhiḥ	cUta-aSoka-pallava-lAQCita-SiKarAn-udvAha-vitardikA-stamBa-an-uttamBayadBiH
   prārabdhavividhavyāpāram, āsūryodayācca praviṣṭābhiḥ satībhiḥ subhagābhiḥ	prArabDa-viviDa-vyApAram, AsUrya-udayAt-ca pravizwABiH satIBiH suBagABiH
   surūpābhiḥ suveśābhiravidha vābhiḥ	surUpABiH su-veSABiH-aviDa vABiH
   sindūrarajorājirājitalalāṭābhirvadhūvarago tragrahaṇagarbhāṇi	sindUra-rajaH-rAji-rAjita-lalAwABiH-vaDU-vara-gaH tra-grahaNa-garBANi
   śrutisubhagāni maṅgalāni	Sruti-suBagAni maFgalAni
   gāyantībhirbahuvidhavarṇakādigdhāṅgulībhirgrīvāsūtrāṇi ca	gAyantIBiH-bahuviDa-varNaka-AdigDa-aFgulIBiH-grIvA-sUtrANi ca
   citrayantībhiscitralatālekhyakuśalābhiḥ kalaśāṃśca	citrayantIBiH-citra-latA-leKya-kuSalABiH kalaSAn=-ca
   dhavalitāñśītalaśārājiraśreṇīśca	DavalitAn-SItala-SAra-ajira-SreNIH-ca
   maṇḍayantībhirabhinnapuṭakarpāsatūlapallavāṃśca	maNxayantIBiH-aBinna-puwa-karpAsa-tUla-pallavAn=-ca
   vaivāhikakaṅkaṇorṇāsūtrasaṃnāhāṃśca	vEvAhika-kaFkaNa-UrNA-sUtra-saMnAhAn=-ca
   rañjayantībhirbalāśanāghṛtaghanīkṛtakuṅkumakalkamiśritāṃścāṅgarāgāṃllāvaṇyaviśeṣakṛnti	raQjayantIBiH-bala-aSana-aGRta-GanIkRta-kuFkuma-kalka-miSritAn=-ca-aFgarAgAn=-lAvaNya-viSeza-kRnti
   ca mukhālepanāni kalpayantībhiḥ kakkolamiśrāḥ sjātīphalāḥ	ca muKa-AlepanAni kalpayantIBiH kakkola-miSrAH sjAtIPalAH
   sphuratsphītasphāṭikakarpūraśakalakhacitāntarālā lavaṅgamālā racayantībhiḥ	sPurat-sPIta-sPAwika-karpUra-Sakala-Ka-cita-antarAlA lavaFga-mAlA racayantIBiH
   samantātsāmantasīmantinībhirvyāptam,	samantAt-sAmanta-sImantinIBiH-vyAptam,
   bahuvidhabhaktinirmāṇanipuṇapurāṇapaurapurandhribadhyamānairbaddhaiścācāracaturāntaḥ	bahuviDa-Bakti-nirmANa-nipuNa-purANa-pOra-puranDri-baDyamAnEH-badDEH-ca-AcAra-caturA-antaH
   purajaratījanitapūjārājamānarajakarajyamānai	pura-jaratI-janita-pUjA-rAjamAna-rajaka-rajyamAnE
   raktaiścobhayapaṭāntalagnaparijanapreṅkholitaiśchāyāsu śoṣyamāṇaiḥ	raktEH-ca-uBaya-pawa-anta-lagna-parijana-preFKA-ulitEH-CAyAsu SozyamANEH
   śuṣkaiśca	SuzkEH-ca
   kuṭilakramarūpakriyamāṇapallavaparabhāgairaparairārabdhakuṅkumapaṅkasthāsakacchuraṇeraparairudbhujabhujiṣyabhajyamānabhaṅgurottarīyaiḥ	kuwila-krama-rUpa-kriyamANa-pallava-para-BAgEH-aparEH-ArabDa-kuFkuma-paFka-sTAsa-kacCuraNeH-aparEH-udBuja-Bujizya-BajyamAna-BaFgura-uttarIyEH
   kṣaumaiśca bādaraiśca dukūlaiśca lālātantujaiścāṃśukaiśca netraisca	kzOmEH-ca bAdarEH-ca dukUlEH-ca lAlA-tantu-jEH-ca-aMSukEH-ca netrEH-ca
   nirmokanibhairakaṭhorarambhāgarbhakomalairniḥśvāsahāryaiḥ	nirmoka-niBEH-akaWora-ramBA-garBa-komalEH-niHSvAsa-hAryEH
   sparśānumeyairvāsobhiḥ sarvataḥ sphuradbhirindrāyudhasahasrairiva	sparSa-anumeyEH-vAsoBiH sarvatas sPuradBiH-indrAyuDa-sahasrEH-iva
   saṃchāditam, ujjvalanicolakāvaguṇṭhyamānahaṃsakulaiśca	saMCAditam, ujjvala-nicolaka-avaguNWyamAna-haMsa-kulEH-ca
   śayanīyaistārāmuktāphalopacīyamānaiśca	SayanIyEH-tArA-muktAPala-upacIyamAnEH-ca
   kañcukairanekopāyogapāṭyamānaiścāparimitaiḥ	kaQcukEH-aneka-upAyoga-pAwyamAnEH-ca-aparimitEH
   paṭṭapaṭīsahasrairabhinavarāgakaumaladukūlarājamānaiśca paṭavitānaiḥ	pawwa-pawI-sahasrEH-aBinava-rAga-kOmala-dukUla-rAjamAnEH-ca pawa-vitAnEH
   stavarakanivahanirantaracchādyamānasamastapaṭalaiśca	stavaraka-nivaha-nirantara=-CAdyamAna-samasta-pawalEH-ca
   maṇḍapairuccitranetrapaṭaveṣṭyamānaiśca stambhairujjvalaṃ ramaṇīyaṃ	maNxapEH-uccitra-netra-pawavezwyamAnEH-ca stamBEH-ujjvalam ramaNIyam
   cautsukyadaṃ ca maṅgalyaṃ cāsīdrājakulam /	ca-Otsukya-dam ca maFgalyam ca-AsIt-rAja-kulam /
   devī tu yaśomatī vivāhotsavaparyākulahṛdayā hṛdayena bhartari, kutūhalena	devI tu yaSomatI vivAha-utsava-paryAkula-hRdayA hRdayena Bartari, kutUhalena
   jāmātari, snehena duhitari, upacāreṇa nimantritastrīṣu, ādeśena parijane,	jAmAtari, snehena duhitari, upacAreNa nimantrita-stri-izu, AdeSena parijane,
   śarīreṇa saṃcaraṇe, cakṣuṣā kṛtākṛtapratyavekṣaṇeṣu, ānandena mahotsave,	SarIreNa saMcaraNe, cakzuzA kRta-akRta-pratyavekzaNa-izu, Anandena mahA-utsave,
   ekāpi bahudhā vibhaktevābhavat /	ekA-api bahuDA viBaktA-iva-aBavat /
   bhūpatirapyuparyupari visarjitoṣṭravāmījanitajāmātṛjoṣaḥ	BUpatiH-api-upari-upari visarjita-uzwra-vAmI-janita-jA-mAtR-jozaH
   satyapyājñāsaṃpādanadakṣe mukhekṣaṇapare parijane samaṃ putrābhyāṃ	sati-api-AjQA-saMpAdana-dakze muKa-IkzaNa-pare parijane samam putrAByAm
   duhitṛsnehavivalavaḥ sarvaṃ svayamakarot /	duhitR-sneha-vivalavaH sarvam svayam-akarot /
   evaṃ ca tasminnavidhavāmaya iva bhavati rājakule, maṅgalamaya iva jāyamāne	evam ca tasmin=-aviDava-AmayaH iva Bavati rAja-kule, maFgala-mayaH iva jAyamAne
   jīvaloke, cāraṇamayeṣviva lakṣyamāṇeṣu diṅmukheṣu, paṭaharavamaya iva kṛte	jIva-loke, cAraNa-mayezu-iva lakzyamANezu diFmuKezu, pawaha-rava-mayaH iva kRte
   'ntarikṣe, bhūṣaṇamaya iva bhramati parijane, bāndhavamaya iva dṛśyamāne	antarikze, BUzaNa-mayaH iva Bramati parijane, bAnDava-mayaH iva dRSyamAne
   sarge, nirvṛtimaya ivopalakṣyamāṇe kāle, lakṣmīmaya iva vijṛmbhamāṇe	sarge, nirvRti-mayaH iva-upalakzyamANe kAle, lakzmI-mayaH iva vijRmBamANe
   mahotsave nidhāna iva sukhasya, phala iva janmanaḥ pariṇāma iva puṇyasya,	mahA-utsave niDAnaH iva suKasya, PalaH iva janmanaH pariNAmaH iva puNyasya,
   yauvana iva vibhūteḥ, yauvarājya iva prīteḥ, siddhikāla iva manorathasya	yOvanaH iva viBUteH, yOvarAjyaH iva prIteH, sidDi-kAle iva manoraTasya
   vartamāne, gaṇyamāna iva janāṅgulobhiḥ, ālokyamāna iva mārgadhvajaiḥ,	vartamAne, gaNyamAnaH iva jana-aFguloBiH, AlokyamAnaH iva mArga-DvajEH,
   pratyudgamyamāna iva maḍgalyavādyapratiśbadakaiḥ, āhūyamāna iva	pratyudgamyamAnaH iva maxgalI-a-vAdya-pratiSbadakEH, AhUyamAnaH iva
   mauhūrtikaiḥ, ākṛṣyamāṇa iva manorathaiḥ, pariṣvajyamāna iva	mOhUrtikEH, AkRzyamANaH iva manoraTEH, parizvajyamAnaH iva
   vadhūsakhīhṛdayairājagāma vivāhadivasaḥ /	vaDU-saKI-hRdayEH-AjagAma vivAha-divasaH /
   prātareva pratīhāraiḥ samutsāritanikhilānibaddhalokaṃ viviktamakriyata	prAtar-eva pratIhArEH samutsArita-niKilA-nibadDa-lokam viviktam-akriyata
   rājakulam /	rAja-kulam /
   atha mahāpratīhāraḥ praviśya nṛpasamīpam "deva!	aTa mahA-pratIhAraH praviSya nRpa-samIpam "deva!
   jāmāturantikāttāmbūladāyakaḥ pārijātakanāmā saṃptāptaḥ' ityabhidhāya	jAmAtuH-antikAt-tAmbUla-dAyakaH pArijAtaka-nAmA saMptAptaH-a iti-aBiDAya
   svākāraṃ yuvānamadarśayat /	su-a-AkAram yuvAnam-adarSayat /
   rājā tu taṃ dūrādeva jāmātṛbahumānāddarśitādaraḥ "bālaka! kaccitkuśalī	rAjA tu tam dUrAt-eva jAmAtR-bahu-mAnAt-darSita-AdaraH "bAlaka! kaccit-kuSalI
   grahavarmā?' iti papraccha /	grahavarmA?-a iti papracCa /
   asau tu samākarmitanarādhipadhvanirdhāvamānaḥ katicitpadānyupasṛtya	asO tu samAkarmita-nara-aDipa-DvaniH-DAvamAnaH katicid-padAni-upasRtya
   prasārya ca bāhū sevācaturaściraṃ vasuṃdharāyāṃ nirdhāya mūrdhānamutthāya	prasArya ca bAhU sevA-caturaH-ciram vasuMDarAyAm nirDAya mUrDAnam-utTAya
   "deva! kuśalau yathājñāpayasyarcayati ca devaṃ namaskāreṇa' iti	"deva! kuSalO yaTA-AjQApayasi-arcayati ca devam namaskAreNa-a iti
   vyajñāpayat /	vyajQApayat /
   āgatajāmātṛnivedanāgataṃ ca taṃ jñātvā kṛtasatkāraṃ rājā "yāminyāḥ	Agata-jA-mAtR-nivedana-Agatam ca tam jQAtvA kRta-satkAram rAjA "yAminyAH
   prathame yāme vivāhakālātyayakṛto yathā na bhavati doṣaḥ' iti saṃdiśya	praTame yAme vivAha-kAla-atyaya-kRtaH yaTA na Bavati dozaHa iti saMdiSya
   pratīpaṃ prāhiṇot /	pratIpam prAhiNot /
   atha sakalakamalavanalakṣmīṃ vadhūmukha iva saṃcārya samavasite vāsare,	aTa sakala-kamala-vana-lakzmIm vaDU-muKaH iva saMcArya samavasite vAsare,
   vivāhadivasaśriyaḥ pādapallava iva rajyamāne savitari,	vivAha-divasa-SriyaH pAda-pallavaH iva rajyamAne savitari,
   vadhūvarānurāgalaghūkṛtapremalajjiteṣviva vighaṭamāneṣu	vaDU-vara-anurAga-laGU-kRta-prema-lajjitezu-iva viGawamAnezu
   cakravākamithuneṣu, saubhāgyadhvaja iva raktāṃ śukasukumāravapuṣi nabhasi	cakravAka-miTuna-izu, sOBAgya-DvajaH iva raktAm Suka-sukumAra-vapuzi naBasi
   sphurati saṃdhyārāge, kapotakaṇṭhakarvure varayātrāgamanarajasīva	sPurati saMDyA-rAge, kapota-kaNWakarvure vara-yAtrA-gamana-rajasi-iva
   kaluṣayati diṅmukhāni timire, lagnasaṃpādanasajja ivojjihāne jyotirgaṇe	kaluzayati diFmuKAni timire, lagna-saMpAdana-sajjaH iva-ujjihAne jyotiH-gaNe
   vivāhamahgalakalaśa ivodayaśikhariṇā samutkṣipyamāṇe	vivAha-mahgala-kalaSaH iva-udaya-SiKariNA samutkzipyamANe
   vardhamānadhavalacchāye tārādhipamaṇḍale,	varDamAna-Davala=-CAye tArADipa-maNxale,
   vadhūvadanalāvaṇyajyotsnāparipītatamasi pradoṣe, vṛthoditamupahasatsviva	vaDU-vadana-lAvaNya-jyotsnA-paripItatamasi pradoze, vRTA-uditam-upahasatsu-iva
   rajanikaramuttānitamukhesu kumudavaneṣvājagāma	rajanikaram-uttAnita-muKesu kumuda-vanezu-AjagAma
   muhurmuhurullāsitasphārasphuritāruṇacāmaraimanorathairivotthitarāgāgrapallavaiḥ	muhur-muhur-ullAsita-sPAra-sPurita-aruNa-cAmarEmanoraTEH-iva-utTita-rAga-agra-pallavEH
   puraudhāvamānaiḥ pādātairutkarṇakaṭakahayapratiheṣitadīyamānasvāgatairiva	purODa-avamAnEH pAdAtEH-utkarNa-kawaka-haya-pratihezita-dIyamAna-svAgatEH-iva
   vājināṃ vṛndairāpūritadigvibhāgaḥ, calakarṇacāmarāṇāṃ cāmīkaramaya	vAjinAm vRndEH-ApUrita-diS-viBAgaH, cala-karNa-cAmarANAm cAmIkara-maya
   sarvopakaraṇānāṃ varṇakalambināṃ balināṃ ghaṇṭāṭāṅkāriṇāṃ kariṇāṃ	sarva-upakaraNAnAm varNa-kalambinAm balinAm GaNwA-AwAFka-ariNAm kariNAm
   ghaṭābhiḥ, ghaṭayanniva punarindūdayavilīnamandhakāram,	GawABiH, Gawayan=-iva punar-indu-udaya-vilInam-anDakAram,
   nakṣatramālāmaṇḍitamukhīṃ kariṇariṃ niśākara iva paurandarīṃ diśamārūḍhaḥ,	nakzatra-mAlA-maNxita-muKIm kariNarim niSAkaraH iva pOrandarIm diSam-ArUXaH,
   prakaṭitavividhavihagavirutaistālāvacaracāraṇaiḥ puraḥsarairbālo vasanta	prakawita-viviDa-vihaga-virutEH-tAla-avacara-cAraNEH puraHsarEH-bAlaH vasanta
   ivopavanaiḥ kriyamāgakolāhalaḥ, gandhatailāvasekasugandhinā	iva-upavanEH kriya-mAga-kolAhalaH, ganDa-tEla-avaseka-suganDinA
   tīpikācakravālālokena kuṅkumapaṭavāsadhūlipaṭaleneva piñjarīkurvansakalaṃ	tIpikA-cakra-vAla-Alokena kuFkuma-pawa-vAsa-DUli-pawalena-iva piQjarIkurvan-sakalam
   lokam, utphullamallikāmuṇḍamālāmadhyādhyāsitakusumaśekhareṇa śirasā	lokam, utPulla-mallikA-muNxa-mAlA-maDya-aDyAsita-kusuma-SeKareNa SirasA
   hasanniva sapariveṣakṣapākara kaumudīpradoṣam,	hasan=-iva sa-pariveza-kzapAkara kOmudI-pradozam,
   ātmarūpanirjitamakaraketukarāpahṛtena nārmukeṇeva kausumena dāmnā	Atma-rUpa-nirjita-makara-ketu-kara-apahRtena nArmukeNa-iva kOsumena dAmnA
   viracitavaikakṣakavilāsaḥ,	viracita-vEkakzaka-vilAsaH,
   kusumasaurabhagarvabhrāntabhramarakulakalakalapralāpasubhagaḥ pārijāta iva	kusuma-sOraBa-garva-BrAnta-Bramara-kula-kalakala-pralApa-suBagaH pArijAtaH iva
   jātaḥ śriyā saha punaravatārito medinīm,	jAtaH SriyA saha punar-avatAritaH medinIm,
   navavadhūvadanāvalokanakutūhaleneva kṛṣyamāṇahṛdayaḥ patanniva mukhena	nava-vaDU-vadana-avalokana-kutUhalena-iva kRzyamANa-hRdayaH patan=-iva muKena
   pratyāsannalagno grahavarmā /	pratyAsanna-lagnaH grahavarmA /
   rājā tu tamupadvāramāgataṃ caraṇābhyāmeva rājacakrānugamyamānaḥ sasutaḥ	rAjA tu tam-upadvAram-Agatam caraNAByAm-eva rAja-cakra-anugamyamAnaH sa-sutaH
   pratyujjagāma /	pratyujjagAma /
   avatīrṇaṃ ca taṃ kṛtanamaskāraṃ manmathamiva mādhavaḥ prasāritabhujo	avatIrNam ca tam kRta-namaskAram manmaTam-iva mADavaH prasArita-BujaH-
   gāḍhamāliliṅga /	gAXam-AliliFgaH /
   yathākramaṃ pariṣvaktarājyavardhanaharṣaṃ ca haste gṛhītvābhyantaraṃ ninye	yaTAkramam parizvakta-rAjya-varDana-harzam ca haste gRhItvA-aByantaram ninye
   svanirviśeṣāsanadānādinā cainamupacāreṇopacacāra /	sva-nirviSeza-Asana-dAna-AdinA ca-enam-upacAreNa-upacacAra /
   na cirācca gambhīranāmā nṛpateḥ praṇayī vidvāndvijanamā	na cirAt-ca gamBIra-nAmA nRpateH praNayI vidvAn-dvija-namA
   grahavarmāṇamuvāca--"tāta! tvāṃ prāpya cirātkhalu rājyaśriyā ghaṭitau	graha-varmANam-uvAca---"tAta! tvAm prApya cirAt-Kalu rAjya-SriyA GawitO
   tejomayau sakalajagadgoyamānabudhakarṇānandakāriguṇagaṇau	tejaH-mayO sakala-jagat-goyamAna-buDa-karNa-Ananda-kAri-guNa-gaNO
   somasūryavaṃśāviva puṣyabhūtimukaravaṃśau /	soma-sUrya-vaMSO=-iva puzya-BUti-mukara-vaMSO /
   prathamameva kaustubhamaṇiriva guṇaiḥ sthito 'si hṛdaye devasya /	praTamam-eva kOstuBa-maNiH-iva guNEH sTitaH asi hRdaye devasya /
   idānīṃ tu śaśīva sirasā parameśvareṇāsi voḍhavyo jātaḥ' iti /	idAnIm tu SaSI-iva sirasA parameSvareNa-asi voXavyaH jAtaHa iti /
   evaṃ vadatyeva tasminnṛpamupasṛtya mauhūrtikāḥ "deva! samāsīdati lagnavelā	evam vadati-eva tasmin-nRpam-upasRtya mOhUrtikAH "deva! samAsIdati lagna-velA
   vrajatu jāmātā kautukagṛham' ityūcuḥ /	vrajatu jAmAtA kOtuka-gRham-a iti-UcuH /
   atha narendreṇa "uttiṣṭha, gaccha' iti gadito grahavarmā praviśyānta puraṃ	aTa narendreNa "uttizWa, gacCa-a iti gaditaH grahavarmA praviSya-anta puram
   jāmātṛdarśanakutūhalinīnāṃ strīṇāṃ patitāni locanasahasrāṇi	jAmAtR-darSana-kutUhalinInAm strINAm patitAni locana-sahasrANi
   vikacanīlakuvalayavanānīva laṅghayannāsasāda kautukagṛhadvāram /	vikaca-nIla-kuvalayavanAni-iva laFGayan=-AsasAda kOtuka-gRha-dvAram /
   nivāritaparijanaśca praviveśa /	nivArita-parijanaH-ca praviveSa /
   atha tatra katipayāptapriyasakhīsvajanapramadāprāyaparivārām,	aTa tatra katipaya-Apta-priya-saKI-sva-jana-pramadA-prAya-parivArAm,
   aruṇāṃśukāvaguṇṭhitamukhīṃ prabātasaṃdhyāmiva svaprabhayā	aruNa-aMSuka-avaguNWita-muKIm prabAta-saMDyAm-iva sva-praBayA
   niṣprabhānpradīpakānkurvāṇām atisaukumāryaśaṅkiteneva yauvanena	nizpraBAn-pradIpakAn-kurvANAm ati-sOkumArya-SaFkitena-iva yOvanena
   nātinirbharamupagūḍhām, sādhvasanirudhya	na-ati-nirBaram-upagUXAm, sADvasa-niruDya
   mānahṛdayadeśaduḥkhamuktairnibhṛtāyataiḥ svasitairapayāntaṃ	mAna-hRdaya-deSa-duHKa-muktEH-niBRta-AyatEH svasitEH-apaya-antam
   kumārabhāvamivānuśocantīm, atyutkampinīṃ patanabhiyeva trapayā niṣpandaṃ	kumAra-BAvam-iva-anuSocantIm, atyutkampinIm patana-BiyA-iva trapayA nizpandam
