   ADHYAYA 1	ADHYAYAH 1
   aniyatāni hi maraṇasya nimittānyasaṃkhyātāni ca /	aniyatAni hi maraNasya nimittAni asaMKyAtAni ca /
   etadapi vairāgyārthameva /	etat api vErAgya arTam eva /
   yasmādayamanekamaraṇanimittavāṃstasmātsarvadā mṛtyorāsye vartata iti /	yasmAt ayam aneka maraNa nimittavAn= tasmAt sarvadA mRtyoH Asye vartate iti /
   bandhanādbadhyate yena vṛntena saha sa bandhanakāraṇo raso yasminvā	banDanAt baDyate yena vRntena saha sa banDana kAraNaH rasaH yasmin vA
   badhyata iti vṛntamevocyate bandhana tasmādrasādvṛntādvā	baDyate iti vRntam eva ucyate banDana tasmAt rasAt vRntAt vA
   bandhanātpramucyate vātādyanekanimitamevamevāyaṃ puruṣo liṅgātmā	banDanAt pramucyate vAta Adi aneka nimitam evam eva ayam puruzaH liFga AtmA
   liṅgopādhirebhyo 'ṅgebhyaścakṣurādidehāvayavebhyaḥ saṃpramucya	liFga upADiH eByaH aFgeByaH cakzuH Adi deha avayaveByaH saMpramucya
   samyaṅnirlepena pramucya /	samyak niH lepena pramucya /
   na suṣuptagamanakāla iva prāṇena rakṣan /	na suzupta gamana kAle iva prANena rakzan /
   kiṃ tarhi saha vāyunopasaṃhṛtya /	kim tarhi saha vAyunA upasaMhRtya /
   punaḥ pratinyāyaṃ punaḥśabandātpūrvamapyayaṃ	punar pratinyAyam punar SabandAt pUrvam api ayam
   dedāddehāntaramasakṛdgatavānyathā svapnabuddhāntau punaḥ purgacchati tathā	dedAt deha antaram asakRt gatavAn yaTA svapna budDa antO punar purgacCati taTA
   punaḥ pratinyāyaṃ pratigamanaṃ yathāgatamityarthaḥ /	punar pratinyAyam pratigamanam yaTAgatam iti arTaH /
   pratiyoni yoniṃ yoni prati karmaśrutādivaśādādravati /	pratiyoni yonim yoni prati karma Sruta Adi vaSAt Adravati /
   kimartham /	kimarTam /
   prāṇāyaiva prāṇavyūhāyaivetyarthaḥ /	prANAya eva prANa vyUhAya eva iti arTaH /
   saprāṇa eva hi gacchati tataḥ prāṇayaiveti viśeṣaṇamanarthakam /	sa prANaH eva hi gacCati tatas prANayA eva iti viSezaNam anarTakam /
   prāṇavyūhāya hi gamanaṃ dehāddehāntaraṃ prati /	prANa vyUhAya hi gamanam dehAt deha antaram prati /
   tena hyasya karmaphalopabhogārthasiddhirna prāṇasattāmātreṇa /	tena hi asya karma Pala upaBoga arTa sidDiH na prANa sattA mAtreNa /
   tasmāttādarthāyarthaṃ yuktaṃ viśeṣaṇaṃ prāṇavyūhāyeti //4,3.36//	tasmAt tAdarTAyarTam yuktam viSezaNam prANa vyUhAya iti //4,3.36//
   START BrhUp 4,3.37	START BrhUp 4,3.37
   tad yathā rājānam āyantam ugrāḥ pratyenasaḥ sūtagrāmaṇyo 'nnaiḥ pānair	tat yaTA rAjAnam Ayantam ugrAH pratyenasaH sUta grAmaNyaH annEH pAnEH 
   avasathaiḥ pratikalpante 'yam āyāty ayam āgacchatīti |	avasaTEH pratikalpante ayam AyAti ayam AgacCati iti |
   evaṃ haivaṃvidaṃ sarvāṇi bhūtāni pratikalpanta idaṃ brahmāyātīdam	evam ha evaMvidam sarvANi BUtAni pratikalpante idam brahmAyAti idam
   āgacchatīti || BrhUp_4,3.37 ||	AgacCati iti || BrhUp_4,3.37 ||
   BrhUpBh_4,3.37 tatrāsyedaṃ śarīraṃ parityajya gacchato nānyasya	Brhu upBh_4,3.37 tatra asya idam SarIram parityajya gacCataH na anyasya
   dehāntarasyopādāne sāmarthyamasti /	deha antarasya upAdAne sAmarTyam asti /
   dehendriyaviyogāt /	deha indriya viyogAt /
   na cānye 'sya bhṛtyasthānīyā gṛhamiva rājñe śarīrāntaraṃ kṛtvā	na ca anye asya BRtya sTAnIyAH gRham iva rAjQe SarIra antaram kRtvA
   pratīkṣamāṇā vidyante /	pratIkzamANAH vidyante /
   athaivaṃ sati kathamasya śarīrāntaropādānamiti /	aTa evam sati kaTam asya SarIra antara upAdAnam iti /
   ucyate sarvaṃ hyasya jagatsvakarmaphalopabhogasādhanatvāyopāttaṃ	ucyate  sarvam hi asya jagat sva karma Pala upaBoga sADana tvAya upAttam
   svakarmaphalopabhogāya cāyaṃ pravṛtto dehāddehāntaraṃ	sva karma Pala upaBogAya ca ayam pravRttaH dehAt deha antaram
   pratipitsustasmātsarvameva jagatsvakarmaṇā prayuktaṃ	pratipitsuH tasmAt sarvam eva jagatsva karmaNA prayuktam
   tatkarmaphalopabhogāyogyaṃ sādhanaṃ kṛtvā pratīkṣata eva /	tad karma Pala upaBoga ayogyam sADanam kRtvA pratIkzate eva /
   "kṛtaṃ lokaṃ puruṣo 'bhijāyate"iti śruteḥ /	"kRtam lokam puruzaH aBijAyate" iti SruteH /
   yathā svapnājjāgaritaṃ pratipitsoḥ /	yaTA svapnAt jAgaritam pratipitsoH /
   tatkathamiti lokaprasiddho dṛṣṭānta ucyate tattatra yathā rājānaṃ	tat kaTam iti loka prasidDaH dRzwAntaH ucyate  tat tatra yaTA rAjAnam
   rājyābhiṣiktamāyāntaṃ svarāṣṭra ugrā jātiviśeṣāḥ krūrakarmaṇo vā	rAjya aBiziktam AyAntam sva rAzwraH ugrAH jAti viSezAH krUra karmaNaH vA
   pratyenasaḥ prati pratenasi pāpakarmaṇi niyuktāḥ	pratyenasaH prati pratenasi pApa karmaNi niyuktAH
   pratyenasastaskarādidaṇḍanādau niyuktāḥ sūtāśca grāmaṇyo grāmanetāraste	pratyenasaH taskara Adi daNxanAdO niyuktAH sUtAH ca grAmaNyaH grAma netAraH te
   pūrvameva rājña āgamanaṃ buddhvānnairbhojyabhakṣyādiprakāraiḥ	pUrvam eva rAjQaH Agamanam budDvA annEH Bojya Bakzya Adi prakArEH
   pānairmadirādibhirāvasathaiśca prāsādādibhiḥ pratikalpante niṣpannaireva	pAnEH madirA AdiBiH AvasaTEH ca prAsAda AdiBiH pratikalpante nizpannEH eva
   pritīkṣante 'yaṃ rājā'yātyayamāgacchatītyevaṃ vadantaḥ /	pritIkzante ayam rAjA ayAtyayam AgacCati iti evam vadantaH /
   yathāyaṃ dṛṣṭānta evaṃ haivaṃvidaṃ karmaphalasya veditāraṃ	yaTA ayam dRzwAntaH evam ha evaMvidam karma Palasya veditAram
   saṃsāriṇamityarthaḥ /	saMsAriNam iti arTaH /
   karmaphalaṃ hi prastutaṃ tadevaṃśabdena parāmṛśyate /	karma Palam hi prastutam tat evaMSabdena parAmRSyate /
   sarvāṇi bhūtāni śarīrakartṝṇi karaṇānugrahītṝṇi cā'dityādīni	sarvANi BUtAni SarIra kartLNi karaNa anugrahItLNi cA aditya AdIni
   tatkarmaprayuktāni kṛtaireva karmaphalobabhogasādhanaiḥ pratīkṣante /	tad karma prayuktAni kRtEH eva karma PalaH baBoga sADanEH pratIkzante /
   idaṃ brahma bhoktṛkartṛ cāsmākamāyāti tathedamāgacchatītyevameva ca kṛtvā	idam brahma BoktR kartR ca asmAkam AyAti taTA idam AgacCati iti evam eva ca kRtvA
   pratīkṣanta ityarthaḥ //4,3.37//	pratIkzante iti arTaH //4,3.37//
   START BrhUp 4,3.38	START BrhUp 4,3.38
   tad yathā rājānaṃ prayiyāsantam ugrāḥ pratyenasaḥ sūtagrāmaṇyo	tat yaTA rAjAnam prayiyAsantam ugrAH pratyenasaH sUta grAmaNyaH 
   'bhisamāyanti |	aBisamAyanti |
   evam evemam ātmānam antakāle sarve prāṇā abhisamāyanti |	evam eva imam AtmAnam antakAle sarve prANAH aBisamAyanti |
   yatraitad ūrdhvocchvāsī bhavati || BrhUp_4,3.38 ||	yatra etat UrDva ucCvAsI Bavati || BrhUp_4,3.38 ||
   BrhUpBh_4,3.38 tameva jigamiṣuṃ ke saha gacchante /	Brhu upBh_4,3.38 tam eva jigamizum ke saha gacCante /
   ye vā gacchanti te kiṃ tatkriyāpraṇunnā āhosvittatkarmavaśātsvayameva	ye vA gacCanti te kim tad kriyA praNunnA Ahosvit tad karma vaSAt svayam eva
   gacchanti paralokaśarīrakartṝṇi ca bhūtānīti /	gacCanti para loka SarIra kartLNi ca BUtAni iti /
   atrocyate dṛṣṭāntaḥ   tatadyathā rājānaṃ prayiyāsantaṃ prakarṣeṇa	atra ucyate dRzwAntaH  tatat yaTA rAjAnam prayiyAsantam prakarzeNa
   yātumicchantamugrāḥ pratyenasaḥ sūtagrāmaṇyastaṃ	yAtum icCantam ugrAH pratyenasaH sUta grAmaNyaH tam
   yathābhisamāyantyābhumikhyena samāyantyekībhāvena tamabhimukhā	yaTA aBisamAyanti ABumiKyena samAyanti ekIBAvena tam aBimuKA
   āyantyanājñaptā eva rājñā kevalaṃ tajjigamiṣābhijñāḥ, evamevemamātmānaṃ	Ayanti anAjQaptAH eva rAjQA kevalam tad jigamiza aBijQAH, evam eva imam AtmAnam
   bhoktāramantakāle maraṇakāle sarve prāṇā vāgādayo 'bhisamāyanti /	BoktAram anta kAle maraNa kAle sarve prANAH vAc AdayaH aBisamAyanti /
   yatrātadūrdhvocchvāsī bhavatīti vyākhyātam //4,3.38//	yatra Atat UrDva ucCvAsI Bavati iti vyAKyAtam //4,3.38//
   iti bṛhadāraṇyakopaniṣadbhāṣye caturthādhyāyasya tṛtīyaṃ brāhmaṇam //	iti bRhat AraNyaka upanizad BAzye caturTa aDyAyasya tRtIyam brAhmaNam //
   START BrhUp 4,4.1	START BrhUp 4,4.1
   sa yatrāyam ātmābalyaṃ nyetya saṃmoham iva nyeti |	sa yatra ayam Atma Abalyam nyetya saMmoham iva nyeti |
   athainam ete prāṇā abhisamāyanti |	aTa enam ete prANAH aBisamAyanti |
   sa etās tejomātrāḥ samabhyādadāno hṛdayam evānvavakrāmati |	saH etAH tejaH mAtrAH samaByAdadAnaH hRdayam eva anvavakrAmati |
   sa yatraiṣa cākṣuṣaḥ puruṣaḥ parāṅ paryāvartate |	sa yatra eza cAkzuzaH puruzaH parAF paryAvartate |
   athārūpajño bhavati || BrhUp_4,4.1 ||	aTa arUpa jQaH Bavati || BrhUp_4,4.1 ||
   BrhUpBh_4,4.1 sa yatrāyamamātmā /	Brhu upBh_4,4.1 sa yatra ayamamAtmA /
   saṃsāropavarṇanaṃ prastutam /	saMsAra upavarNanam prastutam /
   tatrāyaṃ puruṣa ebhyo 'ṅgebhyaḥ saṃpramucyetyuktam /	tatra ayam puruzaH eByaH aFgeByaH saMpramucya iti uktam /
   tatsaṃpramokṣaṇaṃ kasminkāle kathe veti savistaraṃ saṃsaraṇaṃ	tad saMpramokzaNam kasmin kAle kaTe vA iti sa vistaram saMsaraNam
   varṇayitavyamityāpabhyate so 'yamātmā prastuto yatra yasminkāle	varNayitavyam ityApaByate  saH ayam AtmA prastutaH yatra yasmin kAle
   'balyamabalabhāvaṃ ni etya gatvā /	abalyam abala BAvam ni etya gatvA /
   yaddehasya daurbalyaṃ tadātmana eva daurbalyamityuparyate 'balyaṃ nyetyeti	yat dehasya dOrbalyam tad AtmanaH eva dOrbalyam iti uparyate abalyam nyetyeti
   na hyasau svato 'mūrtatvādabalabhāvaṃ gacchati /	na hi asO svatas amUrta tvAt abala BAvam gacCati /
   tathā saṃmohamiva saṃmūṭhatā saṃmoho vivekābhāvaḥ saṃmūḍhatāmiva nyeti	taTA saMmoham iva saMmUWa tA saMmohaH viveka aBAvaH saMmUXa tAm iva nyeti
   nigacchati /	nigacCati /
   na cāsya svataḥ saṃmoho 'saṃmoho vāsti /	na ca asya svatas saMmohaH asaMmohaH vA asti /
   nityacaitanyajyotiḥsvabhāvatvāt /	nitya cEtanya jyotiH svaBAva tvAt /
   tenevaśabdaḥ saṃmohamiva nyetīti /	tena iva SabdaH saMmoham iva nyeti iti /
   utkrāntikālaṃ hi karaṇopasaṃhāranimitto vyākulībhāva ātmana iva lakṣyate	utkrAnti kAlam hi karaNa upasaMhAra nimittaH vyAkulIBAvaH AtmanaH iva lakzyate
   laikikaiḥ /	lEkikEH /
   tathā ca vaktāro bhavanti saṃmūḍhaḥ saṃmūḍho 'yamiti /	taTA ca vaktAraH Bavanti saMmUXaH saMmUXaH ayam iti /
   atha vobhayatrevaśabdaprayogo yojyaḥ /	aTa vA uBayatreva Sabda prayogaH yojyaH /
   abalyamiva nyet saṃmohamiva nyetīti /	abalyam iva nyet saMmoham iva nyeti iti /
   ubhayas paropādhinimittatvāviśeṣāt /	uBayaH para upADi nimitta tva aviSezAt /
   samānakartṛkanirdeśācca /	samAna kartRka nirdeSAt ca /
   athāsminkāla ete prāṇā vāgādaya enamātmanamabhisamāyanti tadāsya	aTa asmin kAle ete prANAH vAc AdayaH enam Atmanam aBisamAyanti tadA asya
   śārīrasyā'tmano 'ṅgebhyaḥ saṃpramo7ṇam /	SArIrasyA atmanaH aFgeByaH saMpramo7Nam /
   kathaṃ punaḥ saṃpramokṣaṇaṃ kena vā prakāreṇā'tmānamabhisamāyantīti /	kaTam punar saMpramokzaNam kena vA prakAreNA atmAnam aBisamAyanti iti /
   ucyate sa ātmaitāstejomātrāstejaso mātrāstejomātrāstejovayavā	ucyate  saH AtmA etAH tejaH mAtrAH tejasaH mAtrAH tejaH mAtrAH tejaH vayavA
   rūpādiprakāśakatvāccakṣurādīni karaṇānītyarthaḥ /	rUpa Adi prakASaka tvAt cakzuH AdIni karaNAni iti arTaH /
   tā etāḥ samabhyādadānaḥ samyaṅnirlepenābhyādadāna ābhimukhyenā /	tAH etAH samaByAdadAnaH samyak nirlepena aByAdadAnaH ABimuKyenA /
   ña'dadānaḥ saṃharamāṇastatsvapnāpekṣayā viśeṣaṇaṃ samiti /	Qa adadAnaH saMharamANaH tad svapna apekzayA viSezaNam samiti /
   na tu svapne nirlepena samyāgādānam /	na tu svapne nirlepena samyAgAdAnam /
   asti tvādānamātram /	asti tu AdAna mAtram /
   'gṛhītā vāggṛhītaṃ cakṣuḥ' 'asya lokasya sarvāvato mātrāmapādāya'	agRhItA vAc gRhItam cakzuHa aasya lokasya sarvAvataH mAtrAm apAdAya a
   'śukramādāye'tyādivākyebhyaḥ /	aSukram AdAye atyAdi vAkyeByaH /
   hṛdayameva puṇḍarīkākāramanvakrāmatyanvāgacchati /	hRdayam eva puNxarIka AkAram anvakrAmati anvAgacCati /
   hṛdaye 'bhivyaktavijñāno bhavatītyarthaḥ /	hRdaye aBivyakta vijQAnaH Bavati iti arTaH /
   buddhyādivikṣepopasaṃhāpe sati /	budDi Adi vikzepa upasaMhApe sati /
   na hi tasya svataścalanaṃ vikṣepopasaṃhārādivikriyā vā /	na hi tasya svatas calanam vikzepa upasaMhAra Adi vikriyA vA /
   dhyāyatīva lelāyatīvetyuktvāt /	DyAyati iva lelAyati iva iti uktvAt /
   buddhyādyupādhidvāraiva hi sarvavikriyā'dhyāropyatetasmin /	budDi Adi upADi dvArA eva hi sarva vikriyA aDyAropyatetasmin /
   kadā punastasya tejomātrābhyādāmiti /	kadA punar tasya tejaH mAtra aByAdAm iti /
   uc.te sa yatraiṣa cakṣuṣi bhavaścākṣuṣa  puruṣa jādityāṃśo bhoktuḥ karmaṇā	uc.te  sa yatra eza cakzuzi BavaH cAkzuza puruza jAditya aMSaH BoktuH karmaNA
   prayukto yādavaddehadhāraṇaṃ tāvaccakṣuṣo 'nugrahaṃ kurvanvartate /	prayuktaH yAdavat deha DAraNam tAvat cakzuzaH anugraham kurvan vartate /
   maraṇakāle tvasya cakṣuranugrahaṃ parityajati svamādityātmānaṃ	maraNa kAle tu asya cakzuH anugraham parityajati svam Aditi AtmAnam
   pratipadyate /	pratipadyate /
   tadetaduktaṃ"yatrāsya puruṣasya mṛtasyāgniṃ vāgapyeti vātaṃ	tat etat uktaM"yatra asya puruzasya mRtasya agnim vAc apyeti vAtam
   prāṇaścakṣurādityāmi"tyādi /	prANaH cakzuH AdityAmi"tyAdi /
   punardehagrahaṇakāle saṃśrayiṣyanti /	punar deha grahaNa kAle saMSrayizyanti /
   tathā svapsyataḥ prabudhyataśca /	taTA svapsyataH prabuDyataH ca /
   tadetadāhi cākṣuṣaḥ puruṣo yatra yasminkāle parāṅparyāvartate	tat etat A ahi cAkzuzaH puruzaH yatra yasmin kAle parAFparya Avartate
   parisamantātparāṅvyāvartata iti /	parisamantAt parAFvyAvartate iti /
   athātrāsminkāle 'rūpajño bhavati mumūrṣū rūpaṃ na jānāti tadāyamātmā	aTa atra asmin kAle arUpajQaH Bavati mumUrzuH rUpam na jAnAti tadA ayam AtmA
   cakṣurāditejomātrāḥ samabhyādadāno bhavati svapnkāla iva //4,4.1//	cakzuH Adi tejaH mAtrAH samaByAdadAnaH Bavati svapnkAlaH iva //4,4.1//
   START BrhUp 4,4.2	START BrhUp 4,4.2
   ekībhavati na paśyatīty āhuḥ |	ekIBavati na paSyati iti AhuH |
   ekībhavati na jighratīty āhuḥ |	ekIBavati na jiGrati iti AhuH |
   ekībhavati na rasayatīty āhuḥ |	ekIBavati na rasayati iti AhuH |
   ekībhavati na vadatīty āhuḥ |	ekIBavati na vadati iti AhuH |
   ekībhavati na śṛṇotīty āhuḥ |	ekIBavati na SRNoti iti AhuH |
   ekībhavati na manuta ity āhuḥ |	ekIBavati na manutaH iti AhuH |
   ekībhavati na spṛśatīty āhuḥ |	ekIBavati na spRSati iti AhuH |
   ekībhavati na vijānātīty āhuḥ |	ekIBavati na vijAnAti iti AhuH |
   tasya haitasya hṛdayasyāgraṃ pradyotate |	tasya ha etasya hRdayasya agram pradyotate |
   tena pradyotenaiṣa ātmā niṣkrāmati |	tena pradyotena ezaH AtmA nizkrAmati |
   cakṣuṣṭo vā mūrdhno vānyebhyo vā śarīradeśebhyaḥ |	cakzuzwaH vA mUrDnaH vA anyeByaH vA SarIra deSeByaH |
   tam utkrāmantaṃ prāṇo 'nūtkrāmati |	tam utkrAmantam prANaH anUtkrAmati |
   prāṇam anūtkrāmantaṃ sarve prāṇā anūtkrāmanti |	prANam anUtkrAmantam sarve prANAH anUtkrAmanti |
   savijñano bhavati |	sa vijQanaH Bavati |
   saṃjānam evānvavakrāmati |	saMjAnam eva anvavakrAmati |
   taṃ vidyākarmaṇī samanvārabhete pūrvaprajñā ca || BrhUp_4,4.2 ||	tam vidyA karmaNI samanvAraBete pUrva prajQA ca || BrhUp_4,4.2 ||
   BrhUpBh_4,4.2 ekībhavati karaṇajātaṃ svena liṅgātmanā /	Brhu upBh_4,4.2 ekIBavati karaNa jAtam svena liFga AtmanA /
   tadaivana pārśvasthā āhurna paśyatīti /	tadA evana pArSva sTA AhuH na paSyati iti /
   tathā ghrāṇadevatānivṛttau ghrāṇamekībhavati liṅgātmanā tadā na	taTA GrANa devatA nivRttO GrANam ekIBavati liFga AtmanA tadA na
   jighratītyāhuḥ /	jiGratI iti AhuH /
   samānamanyat /	samAnam anyat /
   jihvāyāṃ somo varuṇo vā devatā tannivṛtyapekṣayā na rasayata ityāhuḥ /	jihvAyAm somaH varuNaH vA devatA tad nivRti apekzayA na rasayate iti AhuH /
   tathā na vadati na śṛṇoti na manute na spṛśati na vijānātītyāhuḥ /	taTA na vadati na SRNoti na manute na spRSati na vijAnAti iti AhuH /
   tadopalakṣyate devatānivṛttiḥ karaṇānāṃ ca hṛdaya ekībhāvaḥ /	tadA upalakzyate devatA nivRttiH karaNAnAm ca hRdayaH ekIBAvaH /
   tatra hṛdaya upasaṃhṛteṣu karaṇeṣu yo 'ntarvāyapāraḥ sa kathyate tasya	tatra hRdaye upasaMhRtezu karaNezu yaH antarvAya pAraH sa kaTyate tasya
   haitasya prakṛtasya hṛdayasya hṛdayacchidrasyetyetat /	ha etasya prakRtasya hRdayasya hRdaya= Cidrasya iti etat /
   agraṃ nāḍīmukhaṃ nirgamadvāraṃ pradyotate svapnakāla iva svena	agram nAxImuKam nirgama dvAram pradyotate svapna kAle iva svena
   bhāsātejomātrādānakṛtena svonāva jyotiṣā'tmanaiva ca /	BAsA tejaH mAtra AdAna kRtena svonAva jyotizA atmanA eva ca /
   tenā'tmajyotiṣā pradyotena hṛdayāgreṇaiṣa ātmā vijñānamayo	tenA atma jyotizA pradyotena hRdaya agreNa ezaH AtmA vijQAnam ayaH 
   liṅgopādhirnigracchati niṣkramāti /	liFga upADiH nigracCati nizkramAti /
   tathā'tharvaṇe"kasminnvahamutkrānta utkrānto bhaviṣyāmi kasminvā	taTA aTarvaNe" kasmin= vaham utkrAntaH utkrAntaH BavizyAmi kasmin vA
   pratiṣṭhate pratiṣṭhāsyāmīti sa prāṇamasṛjata"iti /	pratizWate pratizWAsyAmi iti sa prANam asRjata"iti /
   tatra cā'tmacaitanyajyotiḥ sarvadābhivyaktataram /	tatra cA atma cEtanya jyotiH sarvadA aBivyaktataram /
   tadupādhidvārā hyātmani janmamaraṇagamanāgamanādisarvavikriyālakṣaṇaḥ	tad upADi dvArA hi Atmani janma maraNa gamana Agamana Adi sarva vikriyA lakzaNaH
   saṃvyavahāraḥ /	saMvyavahAraH /
   tadātmakaṃ hi dvādaśavidhaṃ karaṇaṃ buddhyādi tatsūtraṃ tajjīvanaṃ so	tad Atmakam hi dvAdaSaviDam karaNam budDi Adi tat sUtram tat jIvanam saH 
   'ntarātmā jagatastasthuṣaśca /	antarAtmA jagataH tasTuzaH ca /
   tena pradyotena hṛdayāgraprakāśena niṣkramamāṇaḥ kena mārgeṇa niṣkrāmatīti	tena pradyotena hRdaya agra prakASena nizkramamANaH kena mArgeNa nizkrAmati iti
   ucyate cakṣuṣṭo vā /	ucyate  cakzuzwaH vA /
   ādityalokaprāptinimittaṃ jñānaṃ karma vā yadi syāt /	Aditya loka prApti nimittam jQAnam karma vA yadi syAt /
   mūrdhno vā brahmalokaprāptinimittaṃ cet /	mUrDnaH vA brahma loka prApti nimittam ced /
   anyebhyo vā śarīradeśebhyaḥ śarīrāvayavebhyo yathākarma yathāśrutam /	anyeByaH vA SarIra deSeByaH SarIra avayaveByaH yaTAkarma yaTASrutam /
   taṃ vijñānātmānamutkrāmantaṃ paralokasya prasthitaṃ	tam vijQAna AtmAnam utkrAmantam para lokasya prasTitam
   paralokāyodbhūtākūtamityartha  /	para lokAya udBUta AkUtam iti arTa /
   prāṇaḥ sarvādhikāristhānīyo rājña ivānūtkrāmati /	prANaH sarva aDikAri sTAnIyaH rAjQaH iva anUtkrAmati /
   taṃ ca prāṇamanūtkrāmantaṃ vāgādayaḥ sarve prāṇāṃ anūtkrāmanti /	tam ca prANam anUtkrAmantam vAc AdayaH sarve prANAm anUtkrAmanti /
   yathāpradhānānvācikhyāseyaṃ na tu krameṇa sārthavadgmanamiha vivakṣitam /	yaTA praDAnAn vAci Kya Aseyam na tu krameNa sArTa vat gmanam iha vivakzitam /
   tadaiṣa ātmā savijñāno bhavati svapn iva viśeṣavijñānavānbhavati	tadA ezaH AtmA sa vijQAnaH Bavati svap iva viSeza vijQAnavAn Bavati
   karmavaśānn svatantraḥ svātantryeṇa hi savijñānatve sarvaḥ kṛtakṛtyaḥ syāt	karma vaSAn svatantraH svAtantryeNa hi sa vijQAna tve sarvaH kRtakRtyaH syAt 
   naiva tu tallabhyate /	na eva tu tat laByate /
   ata evā'ha vyāsaḥ"sadā tadbhāvabhāvitaḥ"iti /	atas evA aha vyAsaH "sadA tad BAva BAvitaH" iti /
   karmaṇā	karmaNA
   tūdbhāvyamānenāntaḥkaraṇavṛttiviśeṣāśritavāsanātmakaviśeṣavijñānena sarvo	tu udBAvyamAnena antaHkaraNa vRtti viSeza ASrita vAsanA Atmaka viSeza vijQAnena sarvaH 
   loka etasminkāle savijñāno bhavati /	loke etasmin kAle sa vijQAnaH Bavati /
   savijñānameva ca gantavyamanvavakrāmatyagacchati	sa vijQAnam eva ca gantavyam anvavakrAm atyagacCati
   viśeṣavijñānodbhāsitamevetyarthaḥ /	viSeza vijQAna udBAsitam eva iti arTaH /
   tasmāttatkāle svātantryārthaṃ yogadharmānusevanaṃ parisaṃkhyānābhyāsaśca	tasmAt tad kAle svAtantrya arTam yoga Darma anusevanam parisaMKyAna aByAsaH ca
   viśiṣṭapuṇyopayaśca śraddhadhānaiḥ paralokārthibhirapramattaiḥ kartavya	viSizwa puNya upayaH ca SradDaDAnEH para loka arTiBiH apramattEH kartavya
   iti /	iti /
   sarvaśāstrāṇāṃ yatnato vidheyor'tho duścaritāccoparamaṇam /	sarva SAstrANAm yatnataH viDeyor aTo duScaritAt ca uparamaNam /
   na hi tatkāle śakyate kiñcitsampādayitum /	na hi tad kAle Sakyate kiQcid sampAdayitum /
   karmaṇā nīyamānasya svātantryābhāvāt /	karmaNA nIyamAnasya svAtantrya aBAvAt /
   'puṇyo vai puṇyena karmaṇā bhavati pāpaḥ pāpena'tyuktam /	apuNyaH vE puNyena karmaNA Bavati pApaH pApena atyuktam /
   etasya hyanarthasyopaśamopāyavidhānāyā sarvaśākhopaniṣadaḥ pravṛttāḥ /	etasya hi anarTasya upaSama upAya viDAnAyAH sarva SAKA upanizadaH pravRttAH /
   na hi tadvihitopāyānusevanaṃ muktvā'tyantiko 'syānarthasyopaśamopāyo 'sti	na hi tad vihita upAya anusevanam muktvA atyantikaH asya anarTasya upaSama upAyaH asti
   tasmādatraivopaniṣadvihitopāye yatnaparairbhavitavyamityeṣa prakaraṇārthaḥ	tasmAt atra eva upanizad vihita upAye yatna parEH Bavitavyam iti eza prakaraNa arTaH
   śakaṭavastaṃbhṛsaṃbhāraṃ utsarjanyātītyuktaṃ, kiṃ punastasya paralokāya	SakawavaH taMBR saMBAram utsarja nyAti iti uktan, kim punar tasya para lokAya
   pravṛttasya pathdanaṃ śākaṭikasaṃbhārasthānīyaṃ gatvā vā paralokaṃ	pravRttasya paTdanam SAkawika saMBAra sTAnIyam gatvA vA para lokam
   yadbhuṅkte śarīrādyārambhakaṃ ca yattatkimiti /	yat BuFkte SarIra Adi AramBakam ca yat tat kim iti /
   ucyate taṃ paralokāya gacchantamātmānaṃ vidyākarmaṇī vidyā ca karma ca	ucyate tam para lokAya gacCantam AtmAnam vidyA karmaNI vidyA ca karma ca
   vidyākarmaṇī vidyā sravaprakārā vihitā pratiṣiddhā cāvihitāpratiṣiddhā ca	vidyA karmaNI vidyA srava prakArA vihitA pratizidDA ca avihita apratizidDA ca
   tathā karma vihitaṃ pratiṣiddhaṃ cāvihitapratiṣiddhaṃ ca samanvārabhete	taTA karma vihitam pratizidDam ca avihita pratizidDam ca samanvAraBete
   samyaganvārabhete anvālabhete anugacchataḥ pūrvaprajñā ca	samyak anvAraBete anvAlaBete anugacCataH pUrva prajQA ca
   pūrvānubhūtaviṣayā prajñāpūrvaprajñātītakarmaphalānubhavavāsanetyarthaḥ /	pUrva anuBUta vizayA prajQA pUrva prajQA atIta karma Pala anuBava vAsanA iti arTaH /
   sā ca vāsanāpūrvakarmarambhe karmavipāke cāṅgaṃ bhavati /	sA ca vAsanA pUrva karma ramBe karma vipAke ca aFgam Bavati /
   tenāsāvapyanvāpabhate /	tena asO= api anvApaBate /
   na hi tayā vāsanayā vinā karma kartuṃ phalaṃ copabhoktuṃ śakyate /	na hi tayA vAsanayA vinA karma kartum Palam ca upaBoktum Sakyate /
   na hyanabhyaste viṣaye kauśalamindrayāṇāṃ bhavati /	na hi anaByaste vizaye kOSalam indrayANAm Bavati /
   pūrvānubhavavāsanāpravṛttānāṃ tvindriyāṇāmihābhyāsamanantareṇa	pUrva anuBava vAsanA pravRttAnAm tu indriyANAm iha aByAsam anantareNa
   kauśalamupapadyate /	kOSalam upapadyate /
   dṛśyate ca keṣāñcitkāsucitkriyāsu citrakarmādilakṣaṇāsu vinaivehābhyāsena	dRSyate ca kezAQcid kAsu cid kriyAsu citrakarma Adi lakzaNAsu vinA eva iha aByAsena
