   bhīṣmaparva	BIzma-parva
   tasminsārathinā nīte rathenākulaketunā /	tasmin-sAraTinA nIte raTena-Akula-ketunA /
   dudrāva sainyaṃ tatsarvaṃ paśyatordreṇabhīṣmayoḥ // Bhmj_6.252 //	dudrAva sEnyam tat-sarvam paSyatoH-dreNa-BIzmayoH // Bhmd-_6.252 //
   mahārathairvārite 'pi kīrṇe tasminbalārṇave /	mahA-raTEH-vArite api kIrNe tasmin-bala-arNave /
   pratyudyayau samāśvasya tūrṇaṃ rājā suyodhanaḥ // Bhmj_6.253 //	pratyudyayO samASvasya tUrNam rAjA suyoDanaH // Bhmd-_6.253 //
   pārthasātyakisaubhadraiḥ sa dṛṣṭvā bahuśaścamūm /	pArTa-sAtyaki-sOBadrEH sa dRzwvA bahuSas-camUm /
   vidrāvitāṃ samabhyetya pitāmahamabhāṣata // Bhmj_6.254 //	vidrAvitAm samaByetya pitAmaham-aBAzata // Bhmd-_6.254 //
   dāritaṃ paśya me sainyaṃ labdhalakṣairarātibhiḥ /	dAritam paSya me sEnyam labDa-lakzEH-arAtiBiH /
   pāṇḍuputreṣu kṛpayā tvayi mādhyasthyamāśrite // Bhmj_6.255 //	pANxu-putrezu kRpayA tvayi mADyasTyam-ASrite // Bhmd-_6.255 //
   alaṃ dromasahāyasya paristhātuṃ purastava /	alam droma-sahAyasya parisTAtum puras-tava /
   madabhāgyavaśānna syādyadi pārtheṣu vaḥ kṛpā // Bhmj_6.256 //	mada-BAgya-vaSAt-na syAt-yadi pArTezu vaH kRpA // Bhmd-_6.256 //
   etatsuyodhanenoktaṃ śrutvā surasaritsutaḥ /	etad-suyoDanena-uktam SrutvA surasarit-sutaH /
   īṣatsmitasudhādhautakapolaphalako 'vadat // Bhmj_6.257 //	Izat-smita-suDA-DOta-kapola-PalakaH avadat // Bhmd-_6.257 //
   ukto 'si bahuśo rājannajeyāḥ pāṇḍavā iti /	uktaH asi bahuSas rAjan=-ajeyAH pANxavAH iti /
   yattu śakyaṃ mayā kiṃcidvṛddhenādya karomi kim // Bhmj_6.258 //	yat-tu Sakyam mayA kiMcid-vRdDena-adya karomi kim // Bhmd-_6.258 //
   ityuktvā cāpamākṛṣya tālamātraṃ mahābhujaḥ /	iti-uktvA cApam-AkRzya tAla-mAtram mahA-BujaH /
   mandāyamāne divase samamabhyudyayau parān // Bhmj_6.259 //	mandAyamAne divase samam-aByudyayO parAn // Bhmd-_6.259 //
   tato bhīṣmarathodīrṇaiḥ śaraiḥ sūryakaraprabhaiḥ /	tatas BIzma-raTa-udIrNEH SarEH sUrya-kara-praBEH /
   vidāritānyanekāni tamāṃsīva kṣayaṃ yayuḥ // Bhmj_6.260 //	vidAritAni-anekAni tamAMsi-iva kzayam yayuH // Bhmd-_6.260 //
   tomareṣvātapatreṣu śarīreṣu ca bhūbhujām /	tomarezu-Atapatrezu SarIrezu ca BUBujAm /
   petuḥ punarabhāvāya bhīṣmanāmāṅkitāḥ śarāḥ // Bhmj_6.261 //	petuH punar-aBAvAya BIzma-nAma-aFkitAH SarAH // Bhmd-_6.261 //
   adṛṣṭapuṅkhavadanairghanaśreṇīkṛtairmuhuḥ /	adRzwa-puFKa-vadanEH-Gana-SreNI-kRtEH-muhur /
   tatsāyakairadṛśyābhūtpāṇḍavānāmanīkinī // Bhmj_6.262 //	tad-sAyakEH-adRSyA-aBUt-pANxavAnAm-anIkinI // Bhmd-_6.262 //
   taṃ yudhyamānaṃ dīptāstraṃ varjayanto 'pi saṃgare /	tam yuDyamAnam dIpta-astram varjayantaH api saMgare /
   dikṣu bhīṣmasahasrāṇi dadṛśuḥ sarvapārthivāḥ // Bhmj_6.263 //	dikzu BIzma-sahasrANi dadRSuH sarva-pArTivAH // Bhmd-_6.263 //
   vrajatsu rājacakreṣu bhīṣmānalapataṅgatām /	vrajatsu rAja-cakrezu BIzma-anala-pataFga-tAm /
   ekenaikena bāṇena bhinneṣu triṣu dantiṣu // Bhmj_6.264 //	ekena-ekena bANena Binnezu trizu dantizu // Bhmd-_6.264 //
   yāte sahasradhā sainye pāṇḍavānāṃ tarasvinām /	yAte sahasraDA sEnye pANxavAnAm tarasvinAm /
   anayatphalguṇarathaṃ gāṅgeyāntikamacyutaḥ // Bhmj_6.265 //	anayat-PalguNa-raTam gAFgeya-antikam-acyutaH // Bhmd-_6.265 //
   tato 'bhavadbhīṣmaśarairbhāsvaraiḥ savyasācinaḥ /	tatas aBavat-BIzma-SarEH-BAsvarEH savyasAcinaH /
   kṣaṇaṃ pañcānanasyeva cārukāñcanapañjaraḥ // Bhmj_6.266 //	kzaNam paQcAnanasya-iva cAru-kAQcana-paQjaraH // Bhmd-_6.266 //
   niruddhaśarasaṃcāro yatnena śatamanyujaḥ /	nirudDa-Sara-saMcAraH yatnena Satamanyu-jaH /
   vicitrairvicaranmārgairyuyudhe kṛṣṇasārathiḥ // Bhmj_6.267 //	vicitrEH-vicarat-mArgEH-yuyuDe kRzNasAraTiH // Bhmd-_6.267 //
   tasyātimānuṣaṃ dhairyamāsthitasya pitāmahaḥ /	tasya-atimAnuzam DEryam-AsTitasya pitAmahaH /
   sādhu putreti saṃhṛṣṭaḥ parākramamapūjayat // Bhmj_6.268 //	sADu putra-iti saMhRzwaH parAkramam-apUjayat // Bhmd-_6.268 //
   tatkaṅkapattrinirbhinnau kṛṣṇāvekarathe sthitau /	tad-kaFka-pattri-nirBinnO kRzNO=-eka-raTe sTitO /
   raktāśokāvivotphullau babhatuḥ kṣatajokṣitau // Bhmj_6.269 //	rakta-aSokO=-iva-utPullO baBatuH kzataja-ukzitO // Bhmd-_6.269 //
   tato nirantarairbāṇairbhīṣmakārmukanirgataiḥ /	tatas nirantarEH-bANEH-BIzma-kArmuka-nirgatEH /
   ākrāntabhuvanābhogairnādṛśyanta diśo daśa // Bhmj_6.270 //	AkrAnta-Buvana-ABogEH-na-adRSyanta diSaH daSa // Bhmd-_6.270 //
   bhīṣme pṛthuśarajvāle kālānala ivodyate /	BIzme pRTu-Sara-jvAle kAla-analaH iva-udyate /
   dudrāva pāṇḍavacamūḥ paścādabhisṛtā paraiḥ // Bhmj_6.271 //	dudrAva pANxava-camUH paScAt-aBisRtA parEH // Bhmd-_6.271 //
   bhagneṣu bhaṭamukhyeṣu babhāṣe kaiṭabhāntakaḥ /	Bagnezu Bawa-muKyezu baBAze kEwaBa-antakaH /
   kva nu mānadhanā yūyamapārayaśaso raṇe /	kva nu mAna-DanAH yUyam-apArayaSasaH raNe /
   parityajya kulācāraṃ yātāḥ kātaratāmimām // Bhmj_6.272 //	parityajya kula-AcAram yAtAH kAtara-tAm-imAm // Bhmd-_6.272 //
   ityuktvā tānsamālokya vidrutāneva keśavaḥ /	iti-uktvA tAn-samAlokya vidrutAn-eva keSavaH /
   uvāca sātyakiṃ vīraṃ yudhyamānaṃ prayatnataḥ // Bhmj_6.273 //	uvAca sAtyakim vIram yuDyamAnam prayatnataH // Bhmd-_6.273 //
   tiṣṭhantu yāntu vā sarve sātyake pṛtanāgragāḥ /	tizWantu yAntu vA sarve sAtyake pRtanA-agra-gAH /
   eṣa svayaṃ nihanmyadya sānugaṃ śantanoḥ sutam // Bhmj_6.274 //	eza svayam nihanmi-adya sa-anugam SantanoH sutam // Bhmd-_6.274 //
   ityuktvā caṇḍamārtaṇḍamaṇḍalāgraṃ sudarśanam /	iti-uktvA caNxa-mArtaNxa-maNxala-agram sudarSanam /
   svayamudyamya kaṃsāriḥ syandanāgrādavātarat // Bhmj_6.275 //	svayam-udyamya kaMsAriH syandana-agrAt-avAtarat // Bhmd-_6.275 //
   kruddhasya tasya kalpāntakarālānalarociṣaḥ /	krudDasya tasya kalpa-anta-karAla-anala-rocizaH /
   na rūpaṃ sehire draṣṭuṃ surā api divi sthitāḥ // Bhmj_6.276 //	na rUpam sehire drazwum surAH api divi sTitAH // Bhmd-_6.276 //
   saṃrambhodbhrāntadordaṇḍavilasatpītavāsasā /	saMramBa-udBrAnta-dos-daNxa-vilasat-pIta-vAsasA /
   śobhāṃ bheje sa nīlādreḥ sarpatsaṃdhyābhraśālinaḥ // Bhmj_6.277 //	SoBAm Beje sa nIla-adreH sarpat-saMDyA-aBra-SAlinaH // Bhmd-_6.277 //
   tamantakamivāyāntaṃ jagatsaṃhāradīkṣitam /	tam-antakam-iva-AyAntam jagat-saMhAra-dIkzitam /
   dhīraḥ śāntanavo dṛṣṭvā dhunāno dhanurabhyadhāt // Bhmj_6.278 //	DIraH SAntanavaH dRzwvA DunAnaH DanuH-aByaDAt // Bhmd-_6.278 //
   ehyehi bhagavanviṣṇo jiṣṇo tridaśavidviṣām /	ehi-ehi Bagavan-vizNo jizNo tridaSa-vidvizAm /
   cakreṇa me śiraśchindhi bhavakleśakṛśānunā // Bhmj_6.279 //	cakreNa me SiraH-CinDi Bava-kleSa-kRSAnunA // Bhmd-_6.279 //
   bhavatā nābhijāmbhojasamuddhūtasvayaṃbhuvā /	BavatA nABi-ja-amBoja-samudDUta-svayaMBuvA /
   hato jagannivāsena dhanyatāṃ yātvayaṃ janaḥ // Bhmj_6.280 //	hataH jagannivAsena Danya-tAm yAtu-ayam janaH // Bhmd-_6.280 //
   siddhasindhusuteneti bhāṣite natamaulinā /	sidDa-sinDu-sutena-iti BAzite nata-mOlinA /
   avaruhya radhāttūrṇamarjunaḥ kṛṣṇamanvagāt // Bhmj_6.281 //	avaruhya raDAt-tUrNam-arjunaH kRzNam-anvagAt // Bhmd-_6.281 //
   sa niṣpīḍya balātpādau purastātkāliyadviṣaḥ /	sa nizpIxya balAt-pAdO purastAt-kAliya-dvizaH /
   uvāca saṃhara vibho kopaṃ viśvakṣayocitam // Bhmj_6.282 //	uvAca saMhara viBo kopam viSva-kzaya-ucitam // Bhmd-_6.282 //
   kṣapayāmi ripūnsarvānyudhi satyena te śape /	kzapayAmi ripUn-sarvAn-yuDi satyena te Sape /
   iti prasādya taṃ pārtho rathamāropayatpunaḥ // Bhmj_6.283 //	iti prasAdya tam pArTaH raTam-Aropayat-punar // Bhmd-_6.283 //
   tato gāṇḍīvaghoṣeṇa pāñcajanyaraveṇa ca /	tatas gANxIva-GozeNa pAQcajanya-raveNa ca /
   cakrāte rājacakrāṇāṃ kṛṣṇau kṛṣṇāmbudabhramam // Bhmj_6.284 //	cakrAte rAja-cakrANAm kRzNO kRzNa-ambuda-Bramam // Bhmd-_6.284 //
   tato nirvivarairbāṇaiḥ śalyabhiriśravaḥśalāḥ /	tatas nirvivarEH-bANEH SalyaBiH-iSravaH-SalAH /
   avākiranbhīṣmamukhāḥ phalguṇaṃ śastravṛṣṭibhiḥ // Bhmj_6.285 //	avAkiran-BIzma-muKAH PalguNam Sastra-vRzwiBiH // Bhmd-_6.285 //
   tāmāyudhamahāvṛṣṭiṃ chittvā sapadi pāṇjavaḥ /	tAm-AyuDa-mahA-vRzwim CittvA sapadi pANjavaH /
   māhendramastraṃ vidadhe sarvalokakṣayakṣamam // Bhmj_6.286 //	mAhendram-astram vidaDe sarva-loka-kzaya-kzamam // Bhmd-_6.286 //
   tasminnudīrṇe sahasā mahāstre dīptatejasi /	tasmin=-udIrNe sahasA mahA-astre dIpta-tejasi /
   caṇḍavātavikīrṇeva cakampe kuruvāhinī // Bhmj_6.287 //	caNxa-vAta-vikIrNA-iva cakampe kuru-vAhinI // Bhmd-_6.287 //
   vadhyamāneṣu saineṣu kṣipraṃ gāṇḍīvadhanvanā /	vaDyamAnezu sA-enezu kzipram gANxIvaDanvanA /
   naranāgāśvadehotthā sasarpa rudhirāpagā // Bhmj_6.288 //	nara-nAga-aSva-deha-utTA sasarpa ruDira-ApagA // Bhmd-_6.288 //
   chattrācchaphenapaṭalāṃ calaccāmarasārasām /	Cattra-acCa-Pena-pawalAm calat-ca-amara-sArasAm /
   keśaśevālaśabalāṃ piśācāstāṃ siṣevire // Bhmj_6.289 //	keSa-SevAla-SabalAm piSAcAH-tAm sizevire // Bhmd-_6.289 //
   ghore nṛpakṣaye tasminvartamāne raṇotsave /	Gore nRpa-kzaye tasmin-vartamAne raNa-utsave /
   saṃdhyayā dikṣu jātāsu śoṇitena bhṛtāsviva // Bhmj_6.290 //	saMDyayA dikzu jAtAsu SoNitena BRtAsu-iva // Bhmd-_6.290 //
   yāte 'staṃ caṇḍakiraṇe pratyagrarudhiratviṣi /	yAte astam caNxakiraNe pratyagra-ruDira-tvizi /
   māṃsapiṇḍa iva graste ghoreṇa dhvāntarakṣasā // Bhmj_6.291 //	mAMsa-piNxe iva graste GoreNa DvAnta-rakzasA // Bhmd-_6.291 //
   vidhvastacāpakavacā viprakīrṇarathadhvajāḥ /	viDvasta-cApa-kavacAH viprakIrNa-raTa-DvajAH /
   avahāramakurvanta pāṇḍavāḥ śastravikṣatāḥ // Bhmj_6.292 //	avahAram-akurvanta pANxavAH Sastra-vikzatAH // Bhmd-_6.292 //
   ***** tṛtīyo yuddhadivasaḥ || 22 || *****	***** tRtIyaH yudDa-divasaH || 22 || *****
   punaḥ prabhāte saṃrabdhā niryayuḥ kurupāṇḍavāḥ /	punar praBAte saMrabDAH niryayuH kuru-pANxavAH /
   vinadanto mahotsāhā vyāḍavyūhāgravartinaḥ // Bhmj_6.293 //	vinadantaH mahA-utsAhAH vyAxa-vyUha-agra-vartinaH // Bhmd-_6.293 //
   atha pravṛtte samare pṛthivīkṣayaśaṃsini /	aTa pravRtte samare pRTivI-kzaya-SaMsini /
   saubhadrapramukhā vīrānbhīṣmamukhyānayodhayan // Bhmj_6.294 //	sOBadra-pramuKAH vIrAn-BIzma-muKyAn-ayoDayan // Bhmd-_6.294 //
   tataḥ śaraśatāsārasaṃpūritadigantaraḥ /	tatas Sara-Sata-AsAra-saMpUrita-diS-antaraH /
   mahārathānatītyānyānbhīṣmor'junamupādravat // Bhmj_6.295 //	mahA-raTAn-atItyA-anyAn-BIzmaH-H-ajunam-upAdravat // Bhmd-_6.295 //
   nirviśeṣaṃ tayoḥ kṣipraṃ pīrayoryudhyamānayoḥ /	nirviSezam tayoH kzipram pIrayoH-yuDyamAnayoH /
   eko droṇimukhānvīrānabhimanyurayodhayat // Bhmj_6.296 //	ekaH droNi-muKAn-vIrAn-aBimanyuH-ayoDayat // Bhmd-_6.296 //
   chinnavarmadhvajarathānsa vidhāya mahārathān /	Cinna-varma-Dvaja-raTAn-sa viDAya mahA-raTAn /
   śiraḥprakaramucchinnaṃ rājñāṃ kṣipramapātayat // Bhmj_6.297 //	SiraH-prakaram-ucCinnam rAjQAm kzipram-apAtayat // Bhmd-_6.297 //
   droṇaprabhṛtibhiḥ sarvairdṛṣṭvā saubhadramāvṛtam /	droNa-praBRtiBiH sarvEH-dRzwvA sOBadram-AvRtam /
   dhṛṣṭadyumnaścamūnāthaścakartābhyetya kauravān // Bhmj_6.298 //	DRzwadyumnaH-camU-nATaH-cakartA-aByetya kOravAn // Bhmd-_6.298 //
   sa hatvā cāmaraṃ śūraḥ pauravyatanayaṃ nṛpam /	sa hatvA cAmaram SUraH pOravya-tanayam nRpam /
   śiraḥsaṃyamaneḥ kāyājjahārākulakuṇḍalam // Bhmj_6.299 //	SiraH-saMyamaneH kAyAt-jahAra-Akula-kuNxalam // Bhmd-_6.299 //
   atrāntare gajānīkairvipulaiśca gajādhipaḥ /	atra-antare gaja-anIkEH-vipulEH-ca gaja-aDipaH /
   bhīmaduryodhanādiṣṭo gadāpāṇiḥ samādravat // Bhmj_6.300 //	BIma-duryoDana-AdizwaH gadA-pANiH samAdravat // Bhmd-_6.300 //
   bhīmaseno 'tha rabhasādavaruhya rathādgajān /	BImasenaH aTa raBasAt-avaruhya raTAt-gajAn /
   garjannurugadāghātairjaghāna ghanavikramaḥ // Bhmj_6.301 //	garjat-=-uru-gadA-GAtEH-jaGAna Gana-vikramaH // Bhmd-_6.301 //
   gadāprahārābhihatairvajrabhinnairivācalaiḥ /	gadA-prahAra-aBihatEH-vajra-BinnEH-iva-acalEH /
   patadbhirmattamātaṅgaiścakampe cakiteva bhūḥ // Bhmj_6.302 //	patadBiH-matta-mAtaFgEH-cakampe cakitA-iva BUH // Bhmd-_6.302 //
   nihate kuñjarānīke bhīmena bhayadāyinā /	nihate kuQjara-anIke BImena Baya-dAyinA /
   tamabhyadhāvansaṃkruddhāḥ sarve duryodhanādayaḥ // Bhmj_6.303 //	tam-aByaDAvan-saMkrudDAH sarve duryoDana-AdayaH // Bhmd-_6.303 //
   suyodhanaśarāghātamūrchito 'tha vṛkodaraḥ /	suyoDana-Sara-AGAta-mUrCitaH aTa vRkodaraH /
   samāśvāsya parānīkaṃ rathena kupito 'viśat // Bhmj_6.304 //	samASvAsya para-anIkam raTena kupitaH aviSat // Bhmd-_6.304 //
   viśvasaṃhārasaṃkruddhaṃ taṃ kṛtāntamivotthitam /	viSva-saMhAra-saMkrudDam tam kRtAntam-iva-utTitam /
   prāpyānujāḥ kurupateścaturdaśa yayuḥ kṣayam // Bhmj_6.305 //	prApya-anujAH kuru-pateH-caturdaSa yayuH kzayam // Bhmd-_6.305 //
   senāpatiṃ suṣeṇaṃ ca jayasaṃdhaṃ sulocanam /	senApatim suzeNam ca jayasaMDam su-locanam /
   bhīmamugraṃ bhīmarathaṃ bhīmabāhumalolupam // Bhmj_6.306 //	BImam-ugram BImaraTam BIma-bAhum-alolupam // Bhmd-_6.306 //
   samaṃ vavitsuṃ kaṭakaṃ durmukhaṃ duṣpradarśanam /	samam vavitsum kawakam durmuKam duzpradarSanam /
   hatvaināmakarotsenāṃ kauravāṇāṃ sahasradhā // Bhmj_6.307 //	hatvA-enAm-akarot-senAm kOravANAm sahasraDA // Bhmd-_6.307 //
   tamabhyadhāvanmattena supratīkena dantinā /	tam-aByaDAvat-mattena supratIkena dantinA /
   gambhīraghoraghoṣeṇa bhagadattaḥ sahānugaiḥ // Bhmj_6.308 //	gamBIra-Gora-GozeNa BagadattaH saha-anugEH // Bhmd-_6.308 //
   gajodayācalaraveḥ śaraistīkṣṇairivāṃśubhiḥ /	gaja-udaya-acala-raveH SarEH-tIkzNEH-iva-aMSuBiH /
   pratāpadhāmnastasyārātsa ca kopārivāhinī // Bhmj_6.309 //	pratApa-DAmnaH-tasya-ArAt-sa ca kopa-ari-vAhinI // Bhmd-_6.309 //
   tatsāyakena viddho 'tha hṛdi marmāvabhedinā /	tad-sAyakena vidDaH aTa hRdi marma-avaBedinA /
   dhvajayaṣṭiṃ samālambya tasthau bhīmo 'timūrchitaḥ // Bhmj_6.310 //	Dvaja-yazwim samAlambya tasTO BImaH ati-mUrCitaH // Bhmd-_6.310 //
   tato ghaṭotkacaḥ kruddho dṛṣṭvā janakamākulam /	tatas GawotkacaH krudDaH dRzwvA janakam-Akulam /
   bhagadattamabhidrutya ghorāṃ māyāṃ samādade // Bhmj_6.311 //	Bagadattam-aBidrutya GorAm mAyAm samAdade // Bhmd-_6.311 //
   airāvaṇagataḥ so 'tha prabhinnairdigdvipaiḥ saha /	ErAvaNa-gataH saH aTa praBinnEH-diS-dvipEH saha /
   apīḍayatsupratīkaṃ dīptābhiḥ śastravṛṣṭibhiḥ // Bhmj_6.312 //	apIxayat-supratIkam dIptABiH Sastra-vRzwiBiH // Bhmd-_6.312 //
   tasya nirbhidyamānasya kuñjarendrasya garjataḥ /	tasya nirBidyamAnasya kuQjara-indrasya garjataH /
   śabdena tasthurālīya sarve saṃkucitā gajāḥ // Bhmj_6.313 //	Sabdena tasTuH-AlIya sarve saMkucitAH gajAH // Bhmd-_6.313 //
   ghaṭotkacena saṃsaktaṃ dṛṣṭvā prāgjyotiṣeśvaram /	Gawotkacena saMsaktam dRzwvA prAgjyotiza-ISvaram /
   saha droṇādibhirvīrairbhīṣmastaṃ deśamādravat // Bhmj_6.314 //	saha droNa-AdiBiH-vIrEH-BIzmaH-tam deSam-Adravat // Bhmd-_6.314 //
   ghaṭotkacaṃ kālarūpaṃ nadantaṃ vīkṣya bhairavam /	Gawotkacam kAla-rUpam nadantam vIkzya BEravam /
   saṃdhyāyāṃ durjayaṃ matvā bhīṣmastaṃ bhīmavikramam // Bhmj_6.315 //	saMDyAyAm durjayam matvA BIzmaH-tam BIma-vikramam // Bhmd-_6.315 //
   avahāraṃ susainyānāṃ vidadhe dhīmatāṃ varaḥ /	avahAram su-sEnyAnAm vidaDe DImatAm varaH /
   yenābhavankālavaktrānniṣkrāntā iva kauravāḥ // Bhmj_6.316 //	yena-aBavan-kAla-vaktrAt-nizkrAntAH iva kOravAH // Bhmd-_6.316 //
   ***** caturtho yuddhadivasaḥ || 23 || *****	***** caturTaH yudDa-divasaH || 23 || *****
   tato niśāyāmabhyetya kururājaḥ pitāmaham /	tatas niSAyAm-aByetya kuru-rAjaH pitAmaham /
   papraccha pāṇḍuputrāṇāṃ duḥkhito jayakāraṇam // Bhmj_6.317 //	papracCa pANxu-putrANAm duHKitaH jaya-kAraNam // Bhmd-_6.317 //
   tamabravīcchāntanavo rājannukto 'si sarvadā /	tam-abravIt-SAntanavaH rAjan=-uktaH asi sarvadA /
   devena viṣṇunā guptā na jeyāḥ pāṇḍavā iti // Bhmj_6.318 //	devena vizNunA guptAH na jeyAH pANxavAH iti // Bhmd-_6.318 //
   purā bhūbhāraśāntyarthaṃ svayaṃbhūrmunisaṃsadi /	purA BU-BAra-SAnti-arTam svayaMBUH-muni-saMsadi /
   prādurbhūtaṃ svayaṃ viṣṇuṃ tuṣṭāva sahasāṃ nidhim // Bhmj_6.319 //	prAdurBUtam svayam vizNum tuzwAva sahasAm niDim // Bhmd-_6.319 //
   jaya viśveśa viśvātmanviśvaksena sudhānidhe /	jaya viSveSa viSvAtman-viSvaksena suDA-niDe /
   amandaciddhanānanda saṃvitsamarasadyute // Bhmj_6.320 //	amanda-cit-Dana-Ananda saMvid-sama-rasa-dyute // Bhmd-_6.320 //
   namastubhyaṃ jagatsargasthitisaṃhārakāriṇe /	namaH-tuByam jagat-sarga-sTiti-saMhAra-kAriNe /
   trivikramāya mahate triguṇāya trimūrtaye // Bhmj_6.321 //	trivikramAya mahate triguNAya trimUrtaye // Bhmd-_6.321 //
   namaḥ pracaṇḍacakrāgraprabhābāsurabāhave /	namaH pracaNxa-cakra-agra-praBA-bAsura-bAhave /
   daityāndhakārasaṃhārakāriṇe mohadāriṇe // Bhmj_6.322 //	dEtya-anDakAra-saMhAra-kAriNe moha-dAriNe // Bhmd-_6.322 //
   avatīrṇā bhuvaṃ nātha dānavā ye hatāstvayā /	avatIrNAH Buvam nATa dAnavAH ye hatAH-tvayA /
   teṣāṃ vadhāya dṛptānāṃ mānuṣī tanumāviśa // Bhmj_6.323 //	tezAm vaDAya dRptAnAm mAnuzI tanum-AviSa // Bhmd-_6.323 //
   iti stutāḥ padmabhuvā devo nārāyaṇaḥ prabhuḥ /	iti stutAH padma-BuvA devaH nArAyaNaH praBuH /
   nareṇa sākaṃ bhūbhāraśāntyai kṣitimavātarat // Bhmj_6.324 //	nareNa sAkam BU-BAra-SAntyE kzitim-avAtarat // Bhmd-_6.324 //
   sa eṣa kṛṣṇo bhagavāñjāto yādavanandanaḥ /	saH eza kRzNaH BagavAn-jAtaH yAdava-nandanaH /
   naraśca vijayo dhīraḥ pravaraḥ sarvadhanvinām // Bhmj_6.325 //	naraH-ca vijayaH DIraH pravaraH sarva-DanvinAm // Bhmd-_6.325 //
   devau kṛṣṇārjunāvetau na jeyau tridaśairapi /	devO kRzNa-arjunO=-etO na jeyO tridaSEH-api /
   iti jñātvā śamaḥ putra kriyatāṃ pāṇḍunandanaiḥ // Bhmj_6.326 //	iti jQAtvA SamaH putra kriyatAm pANxu-nandanEH // Bhmd-_6.326 //
   ***** viśvepākhyānam || 25 || *****	***** viSvepa-AKyAnam || 25 || *****
   atha prabhāte makaraśyenavyūhāgravartinaḥ /	aTa praBAte makara-Syena-vyUha-agra-vartinaH /
   bhīṣmabhīmamukhā yuddhaṃ cakrire pāṇḍunandanāḥ // Bhmj_6.327 //	BIzma-BIma-muKAH yudDam cakrire pANxu-nandanAH // Bhmd-_6.327 //
   hatānāṃ hanyamānānāṃ ghnatāṃ ca samare mithaḥ /	hatAnAm hanyamAnAnAm GnatAm ca samare miTas /
   patatāṃ tatra vīrāṇāṃ niḥsvastumulo 'bhavat // Bhmj_6.328 //	patatAm tatra vIrANAm niHsvaH-tumulaH aBavat // Bhmd-_6.328 //
   bhīmaphalguṇasaubhadramatsyasātyakipārṣataiḥ /	BIma-PalguNa-sOBadra-matsya-sAtyaki-pArzatEH /
   bhīṣmamukhyaiśca te sene bhinne saṃśayamāpatuḥ // Bhmj_6.329 //	BIzma-muKyEH-ca te sene Binne saMSayam-ApatuH // Bhmd-_6.329 //
   kabandhatāṇḍavaścaṇḍe mattavetālasaṃkule /	kabanDa-tANxavaH-caNxe matta-vetAla-saMkule /
   tasminnāyodhane ghore bhūtānāmutsavo 'bhavat // Bhmj_6.330 //	tasmin=-AyoDane Gore BUtAnAm-utsavaH aBavat // Bhmd-_6.330 //
   dhanvināṃ śarajālena divamutpatatāṃ muhuḥ /	DanvinAm Sara-jAlena divam-utpatatAm muhur /
   ravau saṃchādite rājñāṃ vyartho 'bhūcchastrasaṃgrahaḥ // Bhmj_6.331 //	ravO saMCAdite rAjQAm vyarTaH aBUt-Sastra-saMgrahaH // Bhmd-_6.331 //
   bīreṇa bhūriśravasā saṃsaktaṃ vīkṣya sātyakim /	bIreNa BUriSravasA saMsaktam vIkzya sAtyakim /
   abhyādrabandhanvinastaṃ deśaṃ sātyakisūnavaḥ // Bhmj_6.332 //	aByAdra-banDan-vinastam deSam sAtyaki-sUnavaH // Bhmd-_6.332 //
   teṣāmāpatatāṃ pūrṇaṃ sṛjatāṃ śaradurdinam /	tezAm-ApatatAm pUrNam sRjatAm Sara-durdinam /
   bhūriśravāḥ śirāṃsyārāduścakarta śitaiḥ śaraiḥ // Bhmj_6.333 //	BUriSravAH SirAMsi-ArAduH-cakarta SitEH SarEH // Bhmd-_6.333 //
   hateṣu teṣu kupitaḥ pradīptāstro dhanaṃjayaḥ /	hatezu tezu kupitaH pradIpta-astraH DanaMjayaH /
   cakāra kurusenānāṃ saṃhāraṃ harisārathiḥ // Bhmj_6.334 //	cakAra kuru-senAnAm saMhAram hari-sAraTiH // Bhmd-_6.334 //
   hate lakṣacaturbhāge bhūbhujāmanivartinām /	hate lakza-catur-BAge BUBujAm-anivartinAm /
   gāmḍīvadhanvanā sainyaṃ vāsarānte nyavartata // Bhmj_6.335 //	gAmxIvaDanvanA sEnyam vAsara-ante nyavartata // Bhmd-_6.335 //
   ***** pañcamo yuddhadivasaḥ || 26 || *****	***** paQcamaH yudDa-divasaH || 26 || *****
   punaḥ prabhāte saṃnaddhā niryayuḥ kurupāṇḍavāḥ /	punar praBAte saMnadDAH niryayuH kuru-pANxavAH /
   alakṣyabhedāvyūhābhyāṃ krauñcena makareṇa ca // Bhmj_6.336 //	alakzya-Beda-avyUhAByAm krOQcena makareNa ca // Bhmd-_6.336 //
   tataḥ pramathya sahasā bhīmaseno 'rivāhinīm /	tatas pramaTya sahasA BImasenaH ari-vAhinIm /
   viveśa bhṛśasaṃkruddhaḥ samaṃ drupadasūnunā // Bhmj_6.337 //	viveSa BRSa-saMkrudDaH samam drupada-sUnunA // Bhmd-_6.337 //
   tābhyāṃ vidārite vyūhe kupitāḥ kurunandanāḥ /	tAByAm vidArite vyUhe kupitAH kuru-nandanAH /
   vimukhaiḥ kuñjarānīkaistau tūrṇaṃ paryavārayan // Bhmj_6.338 //	vimuKEH kuQjara-anIkEH-tO tUrNam paryavArayan // Bhmd-_6.338 //
   bhīmasenagadāghātaniṣpiṣṭavapuṣāṃ raṇe /	BImasena-gadA-GAta-nizpizwa-vapuzAm raNe /
