   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   gurudārābhilāṣī ca kṛkalāso bhaveddhruvam /	guru dAra aBilAzI ca kRkalAsaH Bavet Druvam /
   jalaprastravaṇaṃ yastu bhindyānmatsyo bhavennaraḥ // GarP_2,46.21 //	jala prastravaNam yaH tu BindyAt matsyaH Bavet naraH // GarP_2,46.21 //
   avikreyakrayāccaiva bako gṛdhro bhavennaraḥ /	avikreya krayAt ca eva bakaH gRDraH Bavet naraH /
   ayonigo vṛko hi syādulūkaḥ krayavañcanāt // GarP_2,46.22 //	ayaH nigaH vRkaH hi syAt ulUkaH kraya vaQcanAt // GarP_2,46.22 //
   mṛtasyaikādaśāhe tu bhuñjānaścābhijāyate /	mRtasya ekAdaSa ahe tu BuQjAnaH ca aBijAyate /
   pratiśrutya dvijebhyor'thamadadajjambuko bhavet // GarP_2,46.23 //	pratiSrutya dvijeByor aTam adadat jambukaH Bavet // GarP_2,46.23 //
   rājñariṃ gatvā bhaveddaṃṣṭrī taskaro viṅvarāhakaḥ /	rAjQarim gatvA Bavet daMzwrI taskaraH viFvarAhakaH /
   śārivā phalavikretā vṛṣaśca vṛṣalīpatiḥ // GarP_2,46.24 //	SArivA Pala vikretA vRzaH ca vRzalI patiH // GarP_2,46.24 //
   mārjaro 'gniṃ padā spṛṣṭvā rogavānparamāṃsabhuk /	mArjaraH agnim padA spRzwvA rogavAn para mAMsa Buj /
   udakyāgamanātṣaṇḍo durgandhaśca sugandhahṛt // GarP_2,46.25 //	udakyA gamanAt zaNxaH durganDaH ca suganDa hRt // GarP_2,46.25 //
   yadvā tadvāpi pārakyaṃ svalpaṃ vā harate bahu /	yat vA tat vA api pArakyam su alpam vA harate bahu /
   hṛtvā vai yonimāpnoti tiraścāṃ nātra saṃśayaḥ // GarP_2,46.26 //	hRtvA vE yonim Apnoti tiraScAm na atra saMSayaH // GarP_2,46.26 //
   evamādīni cihnāni anyānyapi khageśvara /	evamAdIni cihnAni anyAni api KageSvara /
   svakarmavitatānyeva? dṛśyante yaistu mānavaiḥ // GarP_2,46.27 //	sva karma vitatAni eva? dRSyante yEH tu mAnavEH // GarP_2,46.27 //
   evaṃ duṣkṛtakarmā hi bhuktvā ca narakānkramāt /	evam duzkRta karmA hi BuktvA ca narakAn kramAt /
   jāyate karmaśeṣeṇa uktāsvetāsu yoniṣu // GarP_2,46.28 //	jAyate karma SezeNa uktAsu etAsu yonizu // GarP_2,46.28 //
   tato janmaśataṃ martye sarvajantuṣu kāśyapa /	tatas janma Satam martye sarva jantuzu kASyapa /
   jāyate nātra sandehaḥ samībhūte śubhāśubhe // GarP_2,46.29 //	jAyate na atra sandehaH samIBUte SuBa aSuBe // GarP_2,46.29 //
   strīpuṃsayo prasaṅgena niruddhe śukrasoṇite /	strI puMsayaH prasaFgena nirudDe Sukra soNite /
   samupetaḥ pañcabhūtairjāyate pāñcabhautikaḥ // GarP_2,46.30 //	samupetaH paQcaBUtEH jAyate pAQcaBOtikaH // GarP_2,46.30 //
   indriyāṇi manaḥ prāṇā jñānamāyuḥ sukhaṃ dhṛtiḥ /	indriyANi manaH prANAH jQAnam AyuH suKam DRtiH /
   dhāraṇā preraṇaṃ duḥ khaṃ mithyāhaṅkāra eva ca // GarP_2,46.31 //	DAraNA preraNam duH Kam miTyA ahaFkAraH eva ca // GarP_2,46.31 //
   prayatākṛtivarṇastu rāgadveṣau bhavābhavau /	prayata AkRti varNaH tu rAga dvezO Bava aBavO /
   tasyedamātmanaḥ sarvamanāderādimicchataḥ // GarP_2,46.32 //	tasya idam AtmanaH sarvam anAdeH Adim icCataH // GarP_2,46.32 //
   svakarma baddhasya tadā garbhavṛddhirbhavediti /	sva karma badDasya tadA garBa vRdDiH Bavet iti /
   purā yathā mayā proktaṃ tava jantorhi lakṣaṇam // GarP_2,46.33 //	purA yaTA mayA proktam tava jantoH hi lakzaNam // GarP_2,46.33 //
   evaṃ pravartitaṃ cakraṃ bhūtagrāme caturvidhe /	evam pravartitam cakram BUta grAme caturviDe /
   samutpattirvināśaśca jāyate tārkṣya dehinām // GarP_2,46.34 //	samutpattiH vinASaH ca jAyate tArkzya dehinAm // GarP_2,46.34 //
   svadharmeṇaivordhvagatiradharmeṇāpyadhogatiḥ /	svaDarmeNa eva UrDva gatiH aDarmeNa api aDogatiH /
   jāyate sarvavarṇānāṃ svadharmacalanāt khaga // GarP_2,46.35 //	jAyate sarva varNAnAm svaDarma calanAt Kaga // GarP_2,46.35 //
   devatve mānuṣatve ca dānabhogādikāḥ kriyāḥ /	deva tve mAnuza tve ca dAna Boga AdikAH kriyAH /
   yā dṛśyante vainateya tatsarvaṃ karmajaṃ phalam // GarP_2,46.36 //	yAH dRSyante vEnateya tat sarvam karma jam Palam // GarP_2,46.36 //
   akarmavihite ghore kāmakrodhārjite 'śubhe /	akarma vihite Gore kAma kroDa arjite aSuBe /
   patedvai narake bhūyo tasyottāro na vidyate // GarP_2,46.37 //	patet vE narake BUyas tasya uttAraH na vidyate // GarP_2,46.37 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe dvitīyāṃśe dharmakāṇḍe pretakalpe	iti SrI gAruxe mahApurANe uttara KaNxe dvitIya aMSe Darma kANxe preta kalpe
   jīvasya śubhāśubhagatinirūpaṇaṃ nāma ṣaṭcatvāriṃśodhyāyaḥ	jIvasya SuBASuBagatinirUpaNam nAma zawcatvAriMSaH DyAyaH
   śrīgaruḍamahāpurāṇam  47	SrI garuxa mahApurANam 47
   garuḍa uvāca /	garuxaH uvAca /
   bhagavandevadeveśa kṛpayā parayā vada /	Bagavan devadeveSa kRpayA parayA vada /
   dānaṃ dānasya māhātmyaṃ vaitaraṇyāḥ pramāṇakam // GarP_2,47.1 //	dAnam dAnasya mAhAtmyam vEtaraNyAH pramANakam // GarP_2,47.1 //
   śrīkṛṣṇa uvāca /	SrI kRzNaH uvAca /
   yā sā vaitaraṇī nāma yamamārge mahāsarit /	yA sA vEtaraNI nAma yama mArge mahA sarit /
   agādhā dustarā pāpairdṛṣṭamātrā bhayāvahā // GarP_2,47.2 //	agADAH dustarA pApEH dRzwa mAtrA Baya AvahAH // GarP_2,47.2 //
   pūyaśoṇitatoyāḍhyā māṃsakardamasakuṃlā /	pUya SoNita toya AXyA mAMsa kardama sa kuMlAH /
   pāpinañcāgatāndṛṣṭvā nānābhayasamāvṛtā // GarP_2,47.3 //	pApinaQca AgatAn dRzwvA nAnA Baya samAvRtAH // GarP_2,47.3 //
   kvāthyate satvaraṃ toyaṃ pātramadhye ghṛtaṃ yathā /	kvATyate sa tvaram toyam pAtra maDye GRtam yaTA /
   krimibhiḥ saṅkulaṃ pūyaṃ vajratuṇḍaiḥ samāvṛtam // GarP_2,47.4 //	krimiBiH saFkulam pUyam vajra tuNxEH samAvRtam // GarP_2,47.4 //
   śiśumāraiśca makarairvajrakartarikāyutaiḥ /	SiSumArEH ca makarEH vajra kartarikA yutEH /
   anyaiśca jalajīvaiśca hiṃsakairmāṃsabhedibhiḥ // GarP_2,47.5 //	anyEH ca jala jIvEH ca hiMsakEH mAMsa BediBiH // GarP_2,47.5 //
   udyānti dvādaśādityāḥ pralayānte tathā hi te /	udyAnti dvAdaSa AdityAH pralaya ante taTA hi te /
   tapanti tatra vai martyāḥ kranda mānāstu pāpinaḥ // GarP_2,47.6 //	tapanti tatra vE martyAH kranda mAnAH tu pApinaH // GarP_2,47.6 //
   hā bhrātaḥ putra tāteti pralapanti muhurmuhuḥ /	hA BrAtar putra tAta iti pralapanti muhur muhur /
   vicaranti nimajjanti glāniṃ gacchanti jantavaḥ // GarP_2,47.7 //	vicaranti nimajjanti glAnim gacCanti jantavaH // GarP_2,47.7 //
   caturvidhaiḥ prāṇigaṇairdṛṣṭā vyāptā mahānadī /	caturviDEH prANi gaNEH dRzwA vyAptA mahA nadI /
   taranti gopradānena tvanyathā ca patanti te // GarP_2,47.8 //	taranti go pradAnena tu anyaTA ca patanti te // GarP_2,47.8 //
   māṃ narā ye 'vamanyante cācāryaṃ gurumeva ca /	mAm narAH ye avamanyante ca AcAryam gurum eva ca /
   vṛddhānanyāṃścāpi mūḍhāsteṣāṃ vāsastu tatra vai // GarP_2,47.9 //	vRdDAn anyAn= ca api mUXAH tezAm vAsaH tu tatra vE // GarP_2,47.9 //
   pativratāṃ sādhuśīlāmūḍhāṃ dharmeṣu niścalām /	pativratAm sADu SIlAmUXAm Darmezu niScalAm /
   parityajanti ye mūḍhāsteṣāṃ vāsastu santatam // GarP_2,47.10 //	parityajanti ye mUXAH tezAm vAsaH tu santatam // GarP_2,47.10 //
   viśvāsapratipannānāṃ svāmimitratapasvinām /	viSvAsa pratipannAnAm svAmi mitra tapasvinAm /
   strībālavikalādīnāṃ vadhaṃ kṛtvā patanti hi /	strI bAla vikala AdInAm vaDam kRtvA patanti hi /
   pacyante tatra madhye tu krandamānāstu pāpinaḥ // GarP_2,47.11 //	pacyante tatra maDye tu krandamAnAH tu pApinaH // GarP_2,47.11 //
   śāntaṃ bubhukṣitaṃ vipraṃyo vighnāyopasarpati /	SAntam buBukzitam vipraMyaH viGnAya upasarpati /
   krimibhirbhakṣyate tatra yāvadābhūtasaṃplavam // GarP_2,47.12 //	krimiBiH Bakzyate tatra yAvat ABUtasaMplavam // GarP_2,47.12 //
   brāhmaṇāya pratīśrutya yamārthaṃ na dadāti tam /	brAhmaNAya pratISrutya yama arTam na dadAti tam /
   āhūya nāsti yo brūyāttasya vāsastu tatra vai // GarP_2,47.13 //	AhUya na asti yaH brUyAt tasya vAsaH tu tatra vE // GarP_2,47.13 //
   agnido garadaścaiva kūṭasākṣī ca madyapaḥ /	agnidaH garadaH ca eva kUwa sAkzI ca madyapaH /
   yajñavidhvaṃsakaścaiva rājñīgāmī ca paiśunaḥ // GarP_2,47.14 //	yajQa viDvaMsakaH ca eva rAjQI gAmI ca pESunaH // GarP_2,47.14 //
   kathābhaṅgakaraścaiva svayandattā pahārakaḥ /	kaTA BaFga karaH ca eva svayan dattA pahArakaH /
   kṣetrasetuvibhedī ca paradārapradharṣakaḥ // GarP_2,47.15 //	kzetra setu viBedI ca para dAra praDarzakaH // GarP_2,47.15 //
   brāhmaṇo rasavikretā tathā yo vṛṣalīpatiḥ /	brAhmaNaH rasa vikretA taTA yaH vRzalI patiH /
   godhanasya tṛṣārtasya vāpyā bhedaṃ karoti yaḥ // GarP_2,47.16 //	go Danasya tRzA Artasya vApyAH Bedam karoti yaH // GarP_2,47.16 //
   kanyāvidūṣakaścaiva dānaṃ dattvānutāpakaḥ /	kanyA vidUzakaH ca eva dAnam dattvA anutApakaH /
   śūbadrastu kapilāpāyī brāhmaṇo māṃsabhojanaḥ // GarP_2,47.17 //	SUbadraH tu kapilA apAyI brAhmaNaH mAMsa BojanaH // GarP_2,47.17 //
   ete vasanti satataṃ mā vicāraṃ kṛthāḥ kvacit /	ete vasanti satatam mA vicAram kRTAH kvacid /
   kṛpaṇo nāstikaḥ kṣudraḥ sa tasyāṃ nivasetkhaga // GarP_2,47.18 //	kRpaNaH nAstikaH kzudraH sa tasyAm nivaset Kaga // GarP_2,47.18 //
   sadāmarṣo sadā krodhī nijavākyapramāṇakṛt /	sadA amarzaH sadA kroDI nija vAkya pramANa kRt /
   paroktyucchedako nityaṃ vaitaraṇyā vasecciram // GarP_2,47.19 //	parokti ucCedakaH nityam vEtaraNyAH vaset ciram // GarP_2,47.19 //
   yastvahaṅkāravānpāpī svavikatthanakārakaḥ /	yaH tu ahaFkAravAn pApI sva vikatTana kArakaH /
   kṛtaghno garbhasantāpī vaitaraṇyāṃ sa majjati // GarP_2,47.20 //	kRtaGnaH garBa santApI vEtaraNyAm sa majjati // GarP_2,47.20 //
   kadāpi bhāgyayogena taraṇecchā bhavedyadi /	kadApi BAgya yogena taraNa icCA Bavet yadi /
   sānukūlā bhavedyena tadākarṇaya kāśyapa // GarP_2,47.21 //	sa anukUlA Bavet yena tat AkarNaya kASyapa // GarP_2,47.21 //
   ayane viṣuve puṇye vyatīpāte dinodaye /	ayane vizuve puNye vyatIpAte dina udaye /
   candrasūryoparāge vā saṃkrāntau darśavāsare // GarP_2,47.22 //	candra sUrya uparAge vA saMkrAntO darSa vAsare // GarP_2,47.22 //
   anyeṣu puṇyakāleṣu dīyate dānamuttamam /	anyezu puNya kAlezu dIyate dAnam uttamam /
   yadā tadā bhavedvāpi śrāddhā dānaṃ prati dhruvam // GarP_2,47.23 //	yadA tadA Bavet vA api SrAdDA dAnam prati Druvam // GarP_2,47.23 //
   tadaiba dānakālaḥ syādyataḥ sampattirasthirā /	tadA eba dAna kAlaH syAt yatas sampattiH asTirAH /
   anityāni śarīrāṇi vibhavo naiva śāśvataḥ // GarP_2,47.24 //	anityAni SarIrANi viBavaH na eva SASvataH // GarP_2,47.24 //
   nityaṃ sannihito mṛtyuḥ kartavyo dharmasaṃgahaḥ /	nityam sannihitaH mRtyuH kartavyaH Darma saMgahaH /
   kṛṣṇāṃ vā pāṭalāṃ vāpi kuryādvaitaraṇīṃ śubhām // GarP_2,47.25 //	kRzNAm vA pAwalAm vA api kuryAt vEtaraNIm SuBAm // GarP_2,47.25 //
   svarṇaśṛṅgīṃ raupyakhurāṃ kāṃsyapātropadohanīm /	svarNa SRFgIm rOpya KurAm kAMsya pAtra upadohanIm /
   kṛṣṇavastrayugācchannāṃ saptadhānyasamanvitām // GarP_2,47.26 //	kRzNa vastra yuga AcCannAm sapta DAnya samanvitAm // GarP_2,47.26 //
   kārpāsadroṇaśikhare āsīnaṃ tāmrabhājane /	kArpAsa droNa SiKare AsInam tAmra BAjane /
   yamaṃ haimaṃ prakurvīta lohadaṇḍasamanvitam /	yamam hEmam prakurvIta loha daNxa samanvitam /
   ikṣudaṇḍamayaṃ baddhvā plavaṃ sudṛḍhabandhanaiḥ // GarP_2,47.27 //	ikzu daNxa mayam badDvA plavam su dRXa banDanEH // GarP_2,47.27 //
   uḍupopari tāṃ dhenuṃ sūryadehasamudbhavām /	uxupa upari tAm Denum sUrya deha samudBavAm /
   kṛtvā prakalpayedvipraśchatropānahasaṃyutam // GarP_2,47.28 //	kRtvA prakalpayet vipraH Catra upAnaha saMyutam // GarP_2,47.28 //
   aṅgulīyakavāsāṃsi brāhmaṇāya nivedayet /	aFgulIyaka vAsAMsi brAhmaNAya nivedayet /
   imamuccārayenmantraṃ saṃgṛhya sajalānkuśān // GarP_2,47.29 //	imam uccArayet mantram saMgRhya sa jalAn kuSAn // GarP_2,47.29 //
   yamadvāre mahāghore śrutvā vaitaraṇīṃ tadīm /	yama dvAre mahA Gore SrutvA vEtaraNIm tadIm /
   tartukāmo dadāmyenāṃ tubhyaṃ vaitaraṇīṃ namaḥ // GarP_2,47.30 //	tartu kAmaH dadAmi enAm tuByam vEtaraNIm namaH // GarP_2,47.30 //
   gāvo me agrataḥ santu gāvo me santu pārśvataḥ /	gAvaH me agratas santu gAvaH me santu pArSvatas /
   gāvo me hṛdaye santu gavāṃ madhye vasāmyaham // GarP_2,47.31 //	gAvaH me hRdaye santu gavAm maDye vasAmi aham // GarP_2,47.31 //
   viṣṇurūpa dvijaśreṣṭha māmuddhara mahīsura /	vizNu rUpa dvijaSrezWa mAm udDara mahIsuraH /
   sadakṣiṇā mayā dattā tubhyaṃ vaitaraṇīnamaḥ // GarP_2,47.32 //	sa dakziNA mayA dattA tuByam vEtaraNI namaH // GarP_2,47.32 //
   dharmarājañca sarveśaṃ vaitaraṇyākhyadhenukām /	DarmarAjaQca sarva ISam vEtaraNya AKya DenukAm /
   sarvaṃ pradakṣiṇīkṛtya brāhmaṇāya nivedayet // GarP_2,47.33 //	sarvam pradakziNIkRtya brAhmaNAya nivedayet // GarP_2,47.33 //
   pucchaṃ saṃgṛhya dhenvāśca agre kṛtvā tu vai vdijam /	pucCam saMgRhya DenvAH ca agre kRtvA tu vE vdijam /
   dhenuke tvaṃ pratīkṣasva yamadvāre mahābhaye // GarP_2,47.34 //	Denuke tvam pratIkzasva yama dvAre mahA Baye // GarP_2,47.34 //
   uttāraṇāya deveśi vaitaraṇye namo 'stu te /	uttAraNAya deveSi vEtaraNye namaH astu te /
   anuvrajettu gacchantaṃ sarvaṃ tasya gṛhaṃ nayet // GarP_2,47.35 //	anuvrajet tu gacCantam sarvam tasya gRham nayet // GarP_2,47.35 //
   evaṃ kṛte vainateya sā saritsutarā bhavet /	evam kRte vEnateya sA sarit sutarA Bavet /
   sarvānkāmānavāpnoti yo dadyādbhuvi mānavaḥ // GarP_2,47.36 //	sarvAn kAmAn avApnoti yaH dadyAt Buvi mAnavaH // GarP_2,47.36 //
   sukṛtasya prabhāveṇa sukhañceha paratra ca /	sukRtasya praBAveNa suKaQca iha paratra ca /
   svasthe sahasraguṇitamāture śatasaṃmitam // GarP_2,47.37 //	svasTe sahasra guNitam Ature Sata saMmitam // GarP_2,47.37 //
   mṛtasyaiva tu yaddānaṃ parokṣe tatsamaṃ smṛtam /	mRtasya eva tu yat dAnam parokze tad samam smRtam /
   svahastena tato deyaṃ mṛte kaḥ kasya dāsyatī // GarP_2,47.38 //	sva hastena tatas deyam mRte kaH kasya dAsyatI // GarP_2,47.38 //
   dānadharmavihīnānāṃ kṛpaṇairjīvetakṣitaiḥ /	dAna Darma vihInAnAm kRpaNEH jIveta kzitEH /
   asthireṇa śarīreṇa sthiraṃ karma samācaret // GarP_2,47.39 //	asTireNa SarIreNa sTiram karma samAcaret // GarP_2,47.39 //
   avaśyameva yāsyanti prāṇāḥ prāghuṇi (ghūrṇi) kā iva // GarP_2,47.40 //	avaSyam eva yAsyanti prANAH prAGuNi (GUrNi) kAH iva // GarP_2,47.40 //
   itīdamuktaṃ tava pakṣirāja viḍambanaṃ jantugaṇasya sarvam /	iti idam uktam tava pakzirAja vixambanam jantu gaNasya sarvam /
   pretasya mokṣāya tadauddhvandaihikaṃ hitāya lokasya carecchubhāya tu //	pretasya mokzAya tat OdDvanda Ehikam hitAya lokasya caret SuBAya tu //
   GarP_2,47.41 //	GarP_2,47.41 //
   sūta uvāca /	sUtaH uvAca /
   evaṃ viprāḥ samāddiṣṭo viṣṇunā prabhaviṣṇunā /	evam viprAH samAddizwaH vizNunA praBavizNunA /
   garuḍa pretacaritaṃ śrutvā santuṣṭimāgataḥ // GarP_2,47.42 //	garuxa preta caritam SrutvA santuzwim AgataH // GarP_2,47.42 //
   vratatīrthādikaṃ sarvaṃ punaḥ papraccha keśavam /	vrata tIrTa Adikam sarvam punar papracCa keSavam /
   dhyātvā manasi sarveśaṃ sarvakāraṇakāraṇam // GarP_2,47.43 //	DyAtvA manasi sarva ISam sarva kAraNa kAraNam // GarP_2,47.43 //
   ṛṣayaḥ sarvamevaitajjantūnāṃ prabhavādikam /	RzayaH sarvam eva etat jantUnAm praBava Adikam /
   maraṇaṃ janma ca tathā pretatvañcaurdhvadaihikam // GarP_2,47.44 //	maraNam janma ca taTA preta tvaQca OrDvadEhikam // GarP_2,47.44 //
   mayā proktaṃ vai muktyai nidānaṃ caiva sarvaśaḥ /	mayA proktam vE muktyE nidAnam ca eva sarvaSas /
   lābhasteṣāṃ jayasteṣāṃ kutasteṣāṃ parājayaḥ /	lABaH tezAm jayaH tezAm kutas tezAm parAjayaH /
   yeṣāmindīvaraśyāmo hṛdayastho janārdanaḥ // GarP_2,47.45 //	yezAm indIvara SyAmaH hRdaya sTaH janArdanaH // GarP_2,47.45 //
   dharmo jayati nādharmaḥ satyaṃ jayati nānṛtam /	DarmaH jayati na aDarmaH satyam jayati na anRtam /
   kṣamā jayati na krodho viṣṇurjayati nāsurāḥ // GarP_2,47.46 //	kzamA jayati na kroDaH vizNuH jayati na asurAH // GarP_2,47.46 //
   viṣṇurmātā pitā viṣṇurviṣṇuḥ svajanabāndhavāḥ /	vizNuH mAtA pitA vizNuH vizNuH sva jana bAnDavAH /
   yeṣāmeva sthirā buddhirna teṣāṃ durgatirbhavet // GarP_2,47.47 //	yezAm eva sTirA budDiH na tezAm durgatiH Bavet // GarP_2,47.47 //
   maṅgalaṃ bhagavānviṣṇurmaṅgalaṃ garuḍadhvajaḥ /	maFgalam BagavAn vizNuH maFgalam garuxaDvajaH /
   maṅgalaṃ puṇḍarīkākṣo maṅgalāyatanaṃ hariḥ // GarP_2,47.48 //	maFgalam puNxarIkAkzaH maFgala Ayatanam hariH // GarP_2,47.48 //
   harirbhāgīrathī viprā viprā bhāgīrathī hariḥ /	hariH BAgIraTI viprAH viprAH BAgIraTI hariH /
   bhāgīrathī harirviprāḥ sārametajjagattraye // GarP_2,47.49 //	BAgIraTI hariH viprAH sAram etat jagattraye // GarP_2,47.49 //
   iti sūtamukhodgīrṇāṃ sarvaśāstrārthamaṇḍitām /	iti sUta muKa udgIrNAm sarva SAstra arTa maNxitAm /
   vaiṣṇaviṃ vāksudhāṃ pītvā ṛṣayastuṣṭimāyayuḥ // GarP_2,47.50 //	vEzNavim vAc suDAm pItvA RzayaH tuzwim AyayuH // GarP_2,47.50 //
   praśaśaṃsustathānyonyaṃ sūtaṃ sarvārthadarśinam /	praSaSaMsuH taTA anyonyam sUtam sarva arTa darSinam /
   praharṣamatulaṃ prāpurmunayaḥ śaunakādayaḥ // GarP_2,47.51 //	praharzam atulam prApuH munayaH SOnaka AdayaH // GarP_2,47.51 //
   apavitraḥ pavitro vā sarvāvasthāṃ gatopi vā /	apavitraH pavitraH vA sarva avasTAm gatopi vA /
   yaḥ smaretpuṇḍarīkākṣaṃ sa bāhyābhyantaraṃ śuciḥ // GarP_2,47.52 //	yaH smaret puNxarIkAkzam sa bAhya aByantaram SuciH // GarP_2,47.52 //
   iti śrīgāruḍe mahāpu  uttarakhaṇḍe dvitīdṛ	iti SrI gAruxe mahApu uttara KaNxe dvitIdR
   dharmakādṛpretadṛśrīkṛṣṇagaruḍasaṃvāde karmavipākādinirūpaṇaṃ nāma	DarmakAdR pretat RSrI kRzNagaruxasaMvAde karmavipAkAdinirUpaNam nAma
   saptacatvāriṃśo 'dhyāyaḥ	saptacatvAriMSaH aDyAyaH
   śrīgaruḍamahāpurāṇam  48	SrI garuxa mahApurANam 48
   tārkṣya uvāca /	tArkzyaH uvAca /
   ye martyaloke nivasanti mānavāste sarvajātau nidhanaṃ prayānti /	ye martya loke nivasanti mAnavAH te sarva jAtO niDanam prayAnti /
   kāle svakīye nijapuṇyasaṃkhyayā vadanti lāka kathasva tanme // GarP_2,48.1	kAle svakIye nija puNya saMKyayA vadanti lAka kaTasva tat me // GarP_2,48.1
   gacchanti mārgeṇa sudustareṇa vidhātṛniṣpāditavartmani sthitāḥ /	gacCanti mArgeNa su dustareNa viDAtR nizpAdita vartmani sTitAH /
   kenaiva puṇyena mudaṃ prayānti tiṣṭhanti kenaiva kulaṃ balaṃ vayaḥ //	kena eva puNyena mudam prayAnti tizWanti kena eva kulam balam vayaH //
   GarP_2,48.2 //	GarP_2,48.2 //
   sūta uvāca /	sUtaH uvAca /
   śrutvātha devo garuḍaṃ tvavocat smṛtvā vapuḥ karmabhayañca rūpam /	SrutvA aTa devaH garuxam tu avocat smRtvA vapuH karma BayaQca rUpam /
   sṛṣṭā dharā yena carācaraṃ jagatsa yena śastā vihito yamo vibhuḥ //	sRzwAH DarA yena carAcaram jagat sa yena SastAH vihitaH yamaH viBuH //
   GarP_2,48.3 //	GarP_2,48.3 //
   śrībhagavānuvāca /	SrI BagavAn uvAca /
   dharmārthakāmaṃ ciramokṣasañcayamanyaṃ dvitīyaṃ yamamārgagāminām /	Darma arTa kAmam cira mokza saQcayam anyam dvitIyam yama mArga gAminAm /
   praviśyacāṅguṣṭhasame sa tatra vai taṃ prāpya dehaṃ svamandiram? //	praviSya ca aFguzWa same sa tatra vE tam prApya deham sva mandiram? //
   GarP_2,48.4 //	GarP_2,48.4 //
   gṛhītapāśo rudate punaḥ punardeśe supuṇye dvija dehasaṃsthitaḥ /	gRhIta pASaH rudate punar punar deSe su puNye dvija deha saMsTitaH /
   devendrapūjā pitṛdevatṛptidaṃ mohānna ceṣṭaṃ na ca puttrasantatiḥ //	deva indra pUjA pitR deva tRpti dam mohAt na ca izwam na ca puttra santatiH //
   GarP_2,48.5 //	GarP_2,48.5 //
   na me 'sti bandhuryamamārgagāmino mayā na kṛtyaṃ dvijadehalipsayā /	na me asti banDuH yama mArga gAminaH mayA na kRtyam dvija deha lipsayA /
   samprāpya vipratvamatīva durlabhaṃ nādhītavānvedapurāṇasaṃhitāḥ /	samprApya vipra tvam atIva durlaBam na aDItavAn veda purANa saMhitAH /
   prāptaṃ suratnaṃ karasaṃsthitaṃ gataṃ dehankvacinnistara yattvayā kṛtam //	prAptam su ratnam kara saMsTitam gatam dehan kvacid nistara yat tvayA kRtam //
   GarP_2,48.6 //	GarP_2,48.6 //
   yaḥ kṣattriyo bāhubalena saṃyuge lalāṭadeśādrudhiraṃ mukhe papau /	yaH kzattriyaH bAhu balena saMyuge lalAwa deSAt ruDiram muKe papO /
   tatsomapānaṃ hi kṛtaṃ mahāmakhe jīvanmṛtaḥ so 'pi hi yāti muktik //	tad soma pAnam hi kRtam mahA maKe jIvan mRtaH saH api hi yAti muktih //
   GarP_2,48.7 //	GarP_2,48.7 //
   sthānānyanekāni kṛtāni tāni pītānyanekānyapi garhitāni /	sTAnAni anekAni kRtAni tAni pItAni anekAni api garhitAni /
   śastraṃ gṛhītvā samare ripūṇāṃ yaḥ saṃmukhaṃ yāti sa muktapāpaḥ //	Sastram gRhItvA samare ripUNAm yaH saMmuKam yAti sa mukta pApaH //
   GarP_2,48.8 //	GarP_2,48.8 //
   kṣattrānvayo vāpi viśonvayo vā śūdrānvayo vāpi hi nīcavarṇaḥ /	kzattra anvayaH vA api viSonvayaH vA SUdra anvayaH vA api hi nIca varNaH /
   saṃgrāmadevadvijabālaghātī strīvṛddhahā dīnatapasvihantā // GarP_2,48.9 //	saMgrAma deva dvija bAla GAtI strI vRdDa hA dIna tapasvi hantA // GarP_2,48.9 //
   upadruteṣveṣu parāṅmukho yaḥ syustasya devāḥ sakalāḥ parāṅmukhāḥ /	upadrutezu ezu parAFmuKaH yaH syuH tasya devAH sakalAH parAFmuKAH /
   tilodakaṃ naiva pibanti pūrve hutaṃ na gṛhṇāti hutāśanopi tat //	tila udakam na eva pibanti pUrve hutam na gRhNAti hutASanopi tat //
   GarP_2,48.10 //	GarP_2,48.10 //
   dveṣādbhayādvā samare samāgate śastraṃ gṛhītvā parasainyasaṃmukhaḥ /	dvezAt BayAt vA samare samAgate Sastram gRhItvA para sEnya saMmuKaH /
   na yāti pakṣīndra mṛśca paścātkṣāttraṃ balaṃ tasya gataṃ tathaiva /	na yAti pakzi indra mRd ca paScAt kzAttram balam tasya gatam taTA eva /
   dvijāya dattvā kanakaṃ mahīmimāṃ bhūyaḥ sa paścādbhavatīha loke //	dvijAya dattvA kanakam mahIm imAm BUyas sa paScAt Bavati iha loke //
   GarP_2,48.11 //	GarP_2,48.11 //
   dānaṃ pradattaṃ grahaṇe dvijendre snānaṃ kṛtaṃ tena sadā sutīrthe /	dAnam pradattam grahaNe dvijendre snAnam kRtam tena sadA sutIrTe /
   gatvā gayāyāṃ pitṛpiṇḍadānaṃ kṛtaṃ sadā yo mriyate tu yuddhe //	gatvA gayAyAm pitR piNxa dAnam kRtam sadA yaH mriyate tu yudDe //
   GarP_2,48.12 //	GarP_2,48.12 //
   yaḥ kṣāttradehantu vihāya śocate raṇāṅgaṇe svāmivadhe ca gograhe /	yaH kzAttra dehantu vihAya Socate raNa aFgaNe svAmi vaDe ca gograhe /
   strībālaghāte pathi sārthahetave mayā svakośaṃ na hataṃ na pātitam //	strI bAla GAte paTi sArTa hetave mayA sva koSam na hatam na pAtitam //
   GarP_2,48.13 //	GarP_2,48.13 //
