   Sandhi markers:	SanDi markeH-s:
   tāmra-cūḍa-yuddha-kolāhalo mahān āsīt |	tAmra--cUxa--yudDa--kolAhalaH mahAn AsIt |
   ahaṃ ca tatra samnihitaḥ kiñ-cid asmeṣi |	aham ca tatra samnihitaH kiQ-cid asmezi |
   samnidhi-niṣaṇṇas tu me vṛddha-viṭaḥ ko 'pi	samniDi-nizaNNaH tu me vRdDa-viwaH kaH api
   brāhmaṇaḥ śanaiḥ smita-hetum apṛcchat |	brAhmaNaH SanEs smita-hetum apRcCat |
   abravaṃ ca - ' katham iva nārikela-jāteḥ	abravam ca  a kaTam iva nArikela--jAteH
   prācya-vāṭa-kukkuṭasya pratīcya-vāṭaḥ puruṣair	prAcI-a-vAwa-kukkuwasya pratIcya-vAwaH puruzEH-
   a-samīkṣya balākā-jātis tāmra-cūḍo	a-samIkzya balAkA-jAtiH tAmra-cUxaH-
   bala-pramāṇā1dhikasyai7va prativisṛṣṭaḥ iti |	bala--pramANa-a1Dikasya-e7va prativisRzwaH iti |
   so 'pi taj-jñaḥ ' kim a-jñair ebhir vyutpāditaiḥ |	saH api taj-jQaH a kim a-jQEH eBiH vyutpAditEH |
   tūṣṇīm āssva ' ity upahastikāyās tāmbūlaṃ	tUzNIm Assva a iti upahastikAyAH tAmbUlam
   karpūra-sahitam uddhṛtya mahyaṃ datvā citrāḥ kathāḥ	karpUra--sahitam udDRtya mahyam datvA citrAH kaTAH
   kathayan kṣaṇam atiṣṭhat |	kaTayan kzaNam atizWat |
   prāyudhyata ca ati-samrabdham	prAyuDyata ca ati-samrabDam
   anuprahāra-pravṛtta-sva-pakṣa-mukta-kaṇṭhīrava-ravaṃ	anuprahAra--pravRtta--sva--pakza--mukta--kaNWIrava-ravam
   vihaṅgama-dvayam |	vihaFgama--dvayam |
   jitaś ca asau pratīcya-vāṭa-kukkuṭaḥ |	jitaH ca asO pratIcya-vAwa--kukkuwaH |
   so 'pi viṭa-brāhmaṇaḥ	saH api viwa-brAhmaNaH
   sva-vāṭa-kukkuṭa-vijaya-hṛṣṭo mayi vayo-viruddhaṃ	sva--vAwa--kukkuwa-vijaya--hRzwaH mayi vayo-virudDam
   sakhyam upetya tad-ahaḥ sva-gṛhae eva snāna-bhojanā3di	saKyam upetya tad--ahaH sva--gRhae eva snAna--BojanA3di
   kārayitvo9ttare-dyuḥ śrāvastīṃ prati yāntaṃ mām	kArayitvA-u9ttare-dyus SrAvastIm prati yAntam mAm
   anugamya ' smartavyo 'si saty arthe iti mitravad	anugamya a smartavyaH asi sati arTe iti mitra-vat-
   visṛjya pratyayāsīt |	visRjya pratyayAsIt |
   ahaṃ ca gatvā śrāvastīm adhva-śrānto bāhyo1dyāne	aham ca gatvA SrAvastIm aDva-SrAntaH bAhyaH-1dyAne
   latā-maṇḍape śayito 'smi |	latA--maNxape SayitaH asmi |
   hamsaka-rava-prabodhitaś co7tthāya kām api	hamsaka-rava--praboDitaH ca-u7tTAya kAm api
   kvaṇita-nūpura-mukharābhyāṃ caraṇābhyāṃ	kvaNita--nUpura--muKarAByAm caraNAByAm
   mad-antikam upasarantīṃ yuvatīm adrākṣam |	mad--antikam upasarantIm yuvatIm adrAkzam |
   sā tv āgatya sva-hasta-vartini citra-paṭe likhitaṃ	sA tu Agatya sva-hasta-vartini citra--pawe liKitam
   mat-sadṛśaṃ kim api puṃ-rūpaṃ māṃ ca paryāyeṇa	mat--sadRSam kim api puM-rUpam mAm ca paryAyeNa
   nirvarṇayantī sa-vismayaṃ sa-vitarkaṃ sa-harṣaṃ ca	nirvarNayantI sa-vismayam sa-vitarkam sa-harzam ca
   kṣaṇam avātiṣṭhata |	kzaNam avAtizWata |
   mayā api tatra citra-paṭe mat-sādṛśyaṃ paśyatā	mayA api tatra citra--pawe mat--sAdRSyam paSyatA
   tad-dṛṣṭi-ceṣṭitam an-ākasmikaṃ manyamānena ' nanu	tat--dRzwi--cezwitam an-Akasmikam manyamAnena a nanu
   sarva-sādhāraṇo 'yaṃ ramaṇīyaḥ	sarva--sADAraNaH ayam ramaNIyaH
   puṇyā3rāma-bhūmi-bhāgaḥ |	puNyA3rAma--BUmi-BAgaH |
   kim iti cira-sthiti-kleśoanubhūyate |	kim iti cira--sTiti-kleSa-uanuBUyate |
   nanū7paveṣṭavyam ' ity abhihitā sā sa-smitam '	nanU7-pavezwavyam a iti aBihitA sA sa--smitam a
   anugṛhītā asmi ' iti nyaṣīdat |	anugRhItAH asmi a iti nyazIdat |
   saṅkathā ca deśa-vārtā2nubaddhā kācanā8vayor	saFkaTA ca deSa-vArtA-2nubadDA kAcana-a8vayoH-
   abhūt |	aBUt |
   kathā-samśritā ca sā ' deśā1tithir asi |	kaTA--samSritA ca sA a deSA1tiTiH asi |
   dṛśyante ca te 'dhva-śrāntānī7va gātrāṇi |	dRSyante ca te aDva--SrAntAnI7va gAtrANi |
   yadi na doṣo mad-gṛhe 'dya viśramitum anugrahaḥ	yadi na dozaH mad--gRhe adya viSramitum anugrahaH
   kriyatām ' ity aśamsat |	kriyatAm a iti aSamsat |
   ahaṃ ca ' ayi mugdhe nai7ṣa doṣo guṇa eva ' iti	aham ca a ayi mugDe nE7za dozaH guNaH eva a iti
   tad-anu-mārga-gāmī tad-gṛha-gato rājā1rheṇa	tad--anu--mArga-gAmI tad--gRha--gataH rAjA-a1rheNa
   snāna-bhojanā3dino9pacaritaḥ sukhaṃ niṣaṇṇo	snAna-BojanA3dina-u9pacaritaH suKam nizaNNaH-
   rahasi paryapṛcchye -- ' mahā-bhāga dig-antarāṇi	rahasi paryapRcCye -- a mahA-BAga diS--antarANi
   bhramatā kac-cid asti kiñ-cid adbhutaṃ	BramatA kac-cit asti kiQ-cid adButam
   bhavato9palabdham ' iti |	BavatA-u9palabDam a iti |
   mama abhavan manasi -- ' mahad idam āśā4spadam |	mama aBavat manasi -- a mahat idam ASA4-spadam |
   eṣā khalu nikhila-parijana-sambādha-samlakṣitāyāḥ	ezA Kalu niKila--parijana--sambADa--samlakzitAyAH
   sakhī rāja-dārikāyāḥ citra-paṭe ca asminn api	saKI rAja--dArikAyAH citra-pawe ca asmin api
   tad-upari-viracita-sita-vitānaṃ harmya-talam tad-gataṃ	tad--upari-viracita--sita-vitAnam harmya-talam tad--gatam
   ca prakāma-vistīrṇaṃ śarad-abhra-paṭala-pāṇḍuraṃ	ca prakAma--vistIrNam Sarad--aBra--pawala--pANxuram
   śayanam tad-adhiśāyinī ca nidrā4līḍha-locanā	Sayanam tad--aDiSAyinI ca nidrA4-lIXa--locanA
   mamai7ve7yaṃ pratikṛtiḥ |	mama-e7ve7yam pratikRtiH |
   ato nūnam an-aṅgena sā api rāja-kanyā tāvatīṃ	atas nUnam an-aFgena sA api rAja-kanyA tAvatIm
   bhūmim āropitā yasyām	BUmim AropitA yasyAm
   a-sahya-madana-jvara-vyathito1nmāditā satī	a-sahya--madana--jvara--vyaTitaH-1nmAditA satI
   sakhī-nirbandha-pṛṣṭa-vikriyā-nimittā	saKI--nirbanDa--pRzwa-vikriyA--nimittA
   cāturyeṇai7tad-rūpa-nirmāṇenai7va samartham uttaraṃ	cAturyeNE7-tad--rUpa--nirmANena-e7va samarTam uttaram
   dattavatī |	dattavatI |
   rūpa-samvādāc ca samśayānayā anayā pṛṣṭo	rUpa-samvAdAt ca samSaya-anayA anayA pRzwaH-
   bhindyām asyāḥ samśayaṃ yathā2nubhava-kathanena '	BindyAm asyAH samSayam yaTA-2nuBava--kaTanena a
   iti jāta-niścayo 'bravam -- ' bhadre dehi citra-paṭam '	iti jAta--niScayaH abravam -- a Badre dehi citra-pawam a
   iti |	iti |
   sā tv arpitavatī mad-dhaste |	sA tu arpitavatI mad--Daste |
   punas tam ādāya tām api vyāja-suptām	punar tam AdAya tAm api vyAja--suptAm
   ullasan-madana-rāga-vihvalāṃ vallabhām ekatrai7va	ullasan--madana--rAga--vihvalAm vallaBAm ekatrE7va
   abhilikhya ' kā-cid evaṃ-bhūtā yuvatir īdṛśasya	aBiliKya a kA-cid evaM-BUtA yuvatiH IdRSasya
   pumsaḥ pārśva-śāyiny- araṇyānī-prasuptena	pumsaH pArSva-SAyiny araNyAnI--prasuptena
   mayo9palabdhā |	mayA-u9palabDA |
   kilai7ṣa svapnaḥ ' ity ālapaṃ ca |	kilE7za svapnaH a iti Alapam ca |
   hṛṣṭayā tu tayā vistarataḥ pṛṣṭaḥ sarvam eva	hRzwayA tu tayA vistarataH pRzwaH sarvam eva
   vṛttāntam akathayam |	vRttAntam akaTayam |
   asau ca sakhyā man-nimittāny avasthā2ntarāṇy	asO ca saKyAH man--nimittAni avasTA-a2ntarANi-
   avarṇayat |	avarNayat |
   tad ākarṇya ca ' yadi tava sakhyā	tat AkarNya ca a yadi tava saKyA
   mad-anugraho1nmukhaṃ mānasam gamaya kāni-cid ahāni |	mad--anugraho1nmuKam mAnasam gamaya kAni-cid ahAni |
   kam api kanyā-pure nir-āśaṅka-nivāsa-karaṇam upāyam	kam api kanyA--pure nir-ASaFka--nivAsa-karaNam upAyam
   āracayyā8gamiṣyāmi ' iti kathañ-cid enām	AracayyA8gamizyAmi a iti kaTaQ-cit enAm
   abhyupagamayya gatvā tad eva kharvaṭaṃ vṛddha-viṭena	aByupagamayya gatvA tat eva Karvawam vRdDa-viwena
   samagaṃsi |	sama-gaMsi |
   so 'pi sa-sambhramaṃ viśramayya tathai9va	saH api sa--samBramam viSramayya taTA-e9va
   snāna-bhojanā3di kārayitvā rahasy apṛcchat -- ' ārya	snAna-BojanA3di kArayitvA rahasi apRcCat -- a Arya
   kasya hetor a-cireṇai7va pratyāgato 'si | '	kasya hetoH a-cireNa-e7va pratyAgataH asi | a
   pratyavādiṣam enam - ' sthānae eva aham āryeṇa	pratyavAdizam enam  a sTAnae eva aham AryeNa
   asmi pṛṣṭaḥ |	asmi pRzwaH |
   śrūyatām |	SrUyatAm |
   asti hi śrāvastī nāma nagarī |	asti hi SrAvastI nAma nagarI |
   tasyāḥ patir apara iva dharma-putro dharma-vardhano	tasyAH patiH aparaH iva Darma-putraH Darma--varDanaH-
   nāma rājā |	nAma rAjA |
   tasya duhitā pratyādeśa iva śriyaḥ prāṇā iva	tasya duhitA pratyAdeSaH iva SriyaH prANAH iva
   kusuma-dhanvanaḥ saukumārya-viḍambita-nava-mālikā	kusuma-DanvanaH sOkumArya--vixambita-nava-mAlikA
   vana-mālikā nāma kanyā |	vana-mAlikA nAma kanyA |
   sā mayā samāpatti-dṛṣṭā kāma-nārāca-paṅktim iva	sA mayA samApatti-dRzwA kAma-nArAca--paFktim iva
   kaṭākṣa-mālāṃ mama marmaṇi vyakirat |	kawAkza--mAlAm mama marmaNi vyakirat |
   tac-chalyo1ddharaṇa-kṣamaś ca dhanvantari-sadṛśas	tac-Salyo1dDaraNa-kzamaH ca Danvantari--sadRSa-s
   tvad ṛte ne7taro 'sti vaidya iti pratyāgato 'smi |	tvat Rte ne7taraH asti vEdyaH iti pratyAgataH asmi |
   tat prasīda kañ-cid upāyam ācaritum |	tat prasIda kaQ-cid upAyam Acaritum |
   ayam ahaṃ parivartita-strī-veṣas te kanyā nāma	ayam aham parivartita--strI--vezaH te kanyA nAma
   bhaveyam |	Baveyam |
   anugataś ca mayā tvam upagamya dharmā3sana-gataṃ	anugataH ca mayA tvam upagamya DarmA3sana--gatam
   dharma-vardhanaṃ vakṣyasi -- ' mame7yam ekai9va duhitā |	Darma-varDanam vakzyasi -- a mama-i7yam ekE9va duhitA |
   jāta-mātrāyāṃ tv asyāṃ janany asyāḥ saṃsthitā |	jAta--mAtrAyAm tu asyAm janani asyAH saMsTitA |
   mātā ca pitā ca bhūtvā aham eva vyavardhayam |	mAtA ca pitA ca BUtvA aham eva vyavarDayam |
   etad-artham eva vidyā-mayaṃ śulkam arjituṃ gato	etat--arTam eva vidyA-mayam Sulkam arjitum gataH-
   abhūd avanti-nagarīm ujjayinīm asmad-vaivāhya-kulajaḥ	aBUt avanti-nagarIm ujjayinIm asmat--vEvAhya--kula-jaH
   ko 'pi vipra-dārakaḥ |	kaH api vipra-dArakaH |
   tasmai ce7yam anumatā dātum itarasmai na yogyā |	tasmE ca-I7yam anumatA dAtum itarasmE na yogyA |
   taruṇī bhūtā ce7yam |	taruNI BUtA ca-I7yam |
   sa ca vilambitaḥ |	sa ca vilambitaH |
   tena tam ānīya pāṇim asyā grāhayitvā tasmin	tena tam AnIya pANim asyAH grAhayitvA tasmin
   nyasta-bhāraḥ samnyasiṣye |	nyasta-BAraH samnyasizye |
   dur-abhirakṣatayā tu duhit-rṇāṃ mukta-śaiśavānāṃ	dur-aBi-rakzatayA tu duhit-RNAm mukta-SESavAnAm
   viśeṣataś ca a-mātṛkāṇām iha devaṃ	viSezataH ca a-mAtRkANAm iha devam
   mātṛ-pitṛ-sthānīyaṃ prajānām āpanna-śaraṇam	mAtR--pitR-sTAnIyam prajAnAm Apanna--SaraNam
   āgato 'smi |	AgataH asmi |
   yadi vṛddhaṃ brāhmaṇam adhītinam a-gatim atithiṃ ca	yadi vRdDam brAhmaNam aDItinam a-gatim atiTim ca
   mām anugrāhya-pakṣe gaṇayaty ādi-rāja-carita-dhuryo	mAm anugrAhya--pakze gaNayati Adi-rAja--carita--DuryaH-
   devaḥ sai9ṣā bhavad-bhuja-cchāyām	devaH sE9zA Bavat--Buja-=-CAyAm
   a-khaṇḍita-cāritrā tāvad adhyāstāṃ yāvad asyāḥ	a-KaNxita--cAritrA tAvat aDyAstAm yAvat asyAH
   pāṇi-grāhakam ānayeyam ' iti |	pANi--grAhakam Anayeyam a iti |
   sa evam ukto niyatam abhimanāyamānaḥ	saH evam uktaH niyatam aBimanAyamAnaH
   sva-duhitṛ-samnidhau māṃ vāsayiṣyati |	sva--duhitR--samniDO mAm vAsayizyati |
   gatas tu bhavān āgāmini māsi phālgune	gataH tu BavAn AgAmini mAsi PAlgune
   phalgunīṣū7ttarāsu bhāvini rājā1ntaḥ-pura-janasya	PalgunIzU7ttarAsu BAvini rAjA-a1ntaH--pura-janasya
   tīrtha-yātro2tsave tīrtha-snānāt prācyāṃ diśi	tIrTa--yAtrA-u2tsave tIrTa-snAnAt prAcyAm diSi
   go-rutā1ntaram atikramya vānīra-valaya-madhya-vartini	go-ruta-a1ntaram atikramya vAnIra--valaya--maDya-vartini
   kārttikeya-gṛhe kara-tala-gatena śuklā1mbara-yugalena	kArttikeya-gRhe kara-tala--gatena Sukla-a1mbara--yugalena
   sthāsyasi |	sTAsyasi |
   sa khalv aham an-abhiśaṅka evai7tāvantaṃ kālaṃ	sa Kalu aham an-aBiSaFkaH eva-E7tAvantam kAlam
   saha abhivihṛtya rāja-kanyayā bhūyas tasminn utsave	saha aBivihRtya rAja--kanyayA BUyas tasmin utsave
   gaṅgā2mbhasi viharan vihāra-vyākule kanyakā-samāje	gaFgA-a2mBasi viharan vihAra--vyAkule kanyakA--samAje
   magno1pasṛtas tvad-abhyāsae evo7nmaṅkṣyāmi |	magna-u1pasRtaH tvad--aByAsae evo7t-maFkzyAmi |
   punas tvad-upahṛte vāsasī paridhāya	punar tvad--upahRte vAsasI pariDAya
   apanīta-dārikā-veṣo jāmātā nāma bhūtvā tvām eva	apanIta--dArikA--vezaH jAmAtA nAma BUtvA tvAm eva
   anugaccheyam |	anugacCeyam |
   nṛpā3tmajā tu mām itas-tato 'nviṣya	nRpA3tmajA tu mAm itas-tataH anvizya
   an-āsādayantī ' tayā vinā na bhokṣye ' iti rudaty	an-A-AsAdayantI a tayA vinA na Bokzye a iti rudati-
   eva avarodhane sthāsyati |	eva avaroDane sTAsyati |
   tan-mūle ca mahati kolāhale krandatsu parijaneṣu rudatsu	tan--mUle ca mahati kolAhale krandatsu parijanezu rudatsu
   sakhī-janeṣu śocatsu paura-janeṣu	saKI--janezu Socatsu pOra-janezu
   kiṅkartavyatā-mūḍhe sā1mātye pārthive tvam	kiFkartavyatA--mUXe sa-a1mAtye pArTive tvam
   āsthānīm etya māṃ sthāpayitvā vakṣyasi - ' deva sa	AsTAnIm etya mAm sTApayitvA vakzyasi  a deva sa
   eṣa me jāmātā tava arhati śrī-bhujā3rādhanam |	eza me jAmAtA tava arhati SrI--Buja-A3rADanam |
   adhītī caturṣv āmnāyeṣu gṛhītī ṣaṭsv aṅgeṣu	aDItI caturzu AmnAyezu gRhItI zawsu aFgezu
   ānvīkṣikī-vicakṣaṇaḥ	AnvIkzikI--vicakzaNaH
   catuḥ-ṣaṣṭi-kalā4gama-prayoga-caturaḥ viśeṣeṇa	catur--zazwi-kalA4-gama--prayoga--caturaH viSezeNa
   gaja-ratha-turaṅga-tantra-vit iṣv-asanā1stra-karmaṇi	gaja-raTa-turaFga-tantra--vid izu--asanA1-stra-karmaNi
   gadā-yuddhe ca nir-upamaḥ purāṇe1tihāsa-kuśalaḥ	gadA--yudDe ca nir-upamaH purANa-i1tihAsa--kuSalaH
   kartā kāvya-nāṭakā3khyāyikānām vettā	kartA kAvya--nAwakA3KyAyikAnAm vettA
   so1paniṣado 'rtha-śāstrasya nir-matsaro guṇeṣu	so1panizadaH arTa-SAstrasya nir-matsaraH guNezu
   viśrambhī su-hṛtsu śakyaḥ samvibhāga-śīlaḥ	viSramBI su-hRtsu SakyaH samviBAga--SIlaH
   śruta-dharo gata-smayaś ca |	Sruta-DaraH gata--smayaH ca |
   na asya doṣam aṇīyāṃsam apy upalabhe |	na asya dozam aNIyAMsam api upalaBe |
   na ca guṇeṣv a-vidyamānam |	na ca guNezu a-vidyamAnam |
   tan mādṛśasya brāhmaṇa-mātrasya na labhya eṣa	tat mAdRSasya brAhmaNa--mAtrasya na laByaH eza
   sambandhī |	sambanDI |
   duhitaram asmai samarpya vārddhako1citam antyam	duhitaram asmE samarpya vArdDaka-u1citam antyam
   āśramaṃ saṅkrameyam yadi devaḥ sādhu manyate ' iti |	ASramam saFkrameyam yadi devaH sADu manyate a iti |
   sa idam ākarṇya vaivarṇyā3krānta-vaktraḥ param	saH idam AkarNya vEvarNya-a3krAnta--vaktraH param
   upeto vailakṣyam ārapsyate 'nunetum	upetaH vElakzyam Arapsyate anunetum
   a-nityatā4di-saṅkīrtanena atra-bhavantaṃ	a-nitya-tA-a4di-saFkIrtanena atra-Bavantam
   mantribhiḥ saha |	mantriBiH saha |
   tvaṃ tu teṣām a-datta-śrotro mukta-kaṇṭhaṃ	tvam tu tezAm a-dat-ta-SrotraH mukta--kaNWam
   ruditvā cirasya bāṣpa-kuṇṭha-kaṇṭhaḥ kāṣṭhāny	ruditvA cirasya bAzpa-kuNWa-kaNWaH kAzWAni-
   āhṛtya agniṃ sandhukṣya rāja-mandira-dvāre	AhRtya agnim sanDukzya rAja--mandira-dvAre
   citā2dhirohaṇāyo7pakramiṣyase |	citA-a2Di-rohaNAya-u7pakramizyase |
   sa tāvad eva tvat-pādayor nipatya sā1mātyo	sa tAvat eva tu-at-pAdayoH nipatya sa-a1mAtyaH-
   nara-patir a-nūnair arthais tvām upacchandya	nara-patiH a-nUnEH arTEH tvAm upacCandya
   duhitaraṃ mahyaṃ datvā mad-yogyatā-samārādhitaḥ	duhitaram mahyam datvA mad--yogya-tA--samArADitaH
   samastam eva rājya-bhāraṃ mayi samarpayiṣyati |	samastam eva rAjya--BAram mayi samarpayizyati |
   so 'yam abhyupāyo 'nuṣṭheyaḥ yadi tubhyaṃ rocate '	saH ayam aByupAyaH anuzWeyaH yadi tuByam rocate a
   iti |	iti |
   so 'pi paṭu-viṭānām agra-ṇīr	saH api pawu-viwAnAm agra-NIH-
   a-sakṛd-abhyasta-kapaṭa-prapañcaḥ pāñcāla-śarmā	a-sakRt--aByasta-kapawa--prapaQcaH pAQcAla-SarmA
   yatho2ktam abhyadhikaṃ ca nipuṇam upakrāntavān |	yaTo2ktam aByaDikam ca nipuNam upakrAntavAn |
   āsīc ca mama samīhitānām a-hīna-kāla-siddhiḥ |	AsIt ca mama samIhitAnAm a-hIna--kAla--sidDiH |
   anvabhavaṃ ca madhu-kara iva nava-mālikām	anvaBavam ca maDu-karaH iva nava-mAlikAm
   ārdra-sumanasam |	Ardra--sumanasam |
   asya rājñaḥ simha-varmaṇaḥ sāhāyya-dānaṃ	asya rAjQaH simha-varmaNaH sAhAyya--dAnam
   su-hṛt-saṅketa-bhūmi-gamanam ity ubhayam apekṣya	su-hRt--saFketa--BUmi--gamanam iti uBayam apekzya
   sarva-bala-sandohena campām imām upagato daivād	sarva-bala--sandohena campAm imAm upagataH dEvAt-
   deva-darśana-sukham anubhavāmi ' iti |	deva--darSana--suKam anuBavAmi a iti |
   śrutvai9tat-pramati-caritaṃ	SrutvE9-tat--pramati--caritam
   smita-mukulita-mukha-nalinaḥ ' vilāsa-prāyam ūrjitam	smita-mukulita-muKa-nalinaH a vilAsa--prAyam Urjitam
   mṛdu-prāyaṃ ceṣṭitam iṣṭa eṣa mārgaḥ	mRdu-prAyam cezwitam izwaH eza mArgaH
   prajñāvatām |	prajQAvatAm |
   athe7dānīm atra bhavān praviśatu iti mitra-guptam	aTa-i7dAnIm atra BavAn praviSatu iti mitra-guptam
   aikṣata kṣitī3śa-putraḥ |	Ekzata kzitI3Sa-putraH |
   / iti śrī daṇḍinaḥ kṛtau daśa-kumāra-carite	/ iti SrI daNxinaH kRtO daSa-kumAra--carite
   pramati-caritaṃ nāma pañcama ucchvāsaḥ |	pramati-caritam nAma paQcamaH ucCvAsaH |
   / ṣaṣṭha ucchvāsaḥ /	/ zazWaH ucCvAsaH /
   so 'py ācacakṣe -- ' deva so 'ham api	saH api Acacakze -- a deva saH aham api
   su-hṛt-sādhāraṇa-bhramaṇa-kāraṇaḥ suhmeṣu	su-hRt--sADAraNa--BramaNa-kAraNaH suhmezu
   dāma-liptā3hvayasya nagarasya bāhyo1dyāne mahāntam	dAma--liptA3-hvayasya nagarasya bAhya-u1dyAne mahAntam
   utsava-samājam ālokayam |	utsava--samAjam Alokayam |
   tatra kva-cid atimukta-latā-maṇḍape kam=api	tatra kva-cid atimukta--latA--maNxape kam=api
   vīṇā-vādenā8tmānaṃ vinodayantam utkaṇṭhitaṃ	vINA-vAdena-A8tmAnam vinodayantam utkaNWitam
   yuvānam adrākṣam |	yuvAnam adrAkzam |
   aprā kṣaṃ ca -- ' bhadra ko nāma ayam utsavaḥ kim	aprA kzam ca -- a Badra kaH nAma ayam utsavaH kim
   arthaṃ vā samārabdhaḥ kena vā nimitteno7tsavam	arTam vA samArabDaH kena vA nimittena-u7tsavam
   an-ādṛtyai7kānte bhavān utkaṇṭhita iva	an-AdRtyE7kAnte BavAn utkaNWitaH iva
   parivādinī-dvitīyas tiṣṭhati ' iti |	parivAdinI--dvitIyaH tizWati a iti |
   so 'bhyadhatta - ' saumya suhma-patis tuṅga-dhanvā	saH aByaDatta  a sOmya suhma-patiH tuFga-DanvA
   nāma an-apatyaḥ prārthitavān amuṣminn āyatane	nAma an-apatyaH prArTitavAn amuzmin Ayatane
   vismṛta-vindhya-vāsa-rāgaṃ vasantyā	vismRta-vinDya--vAsa--rAgam vasantyA
   vindhya-vāsinyāḥ pāda-mūlād apatya-dvayam |	vinDya-vAsinyAH pAda--mUlAt apatya--dvayam |
   anayā ca kila asmai pratiśayitāya svapne samādiṣṭam	anayA ca kila asmE pratiSayitAya svapne samAdizwam
   -- ' samutpatsyate tavai7kaḥ putraḥ janiṣyate cai7kā	-- a samutpatsyate tavE7kaH putraH janizyate cE7kA
   duhitā |	duhitA |
   sa tu tasyāḥ pāṇi-grāhakam anujīviṣyati |	sa tu tasyAH pANi--grAhakam anujIvizyati |
   sā tu saptamād varṣād ārabhyā8pariṇayanāt	sA tu saptamAt varzAt AraByA8-pariNayanAt-
   prati-māsaṃ kṛttikāsu kanduka-nṛtyena	prati-mAsam kRttikAsu kanduka-nRtyena
   guṇavad-bhartṛ-lābhāya māṃ samārādhayatu |	guNavat--BartR--lABAya mAm samArADayatu |
   yaṃ ca abhilaṣet sā amuṣmai deyā |	yam ca aBilazet sA amuzmE deyA |
   sa co7tsavaḥ kanduko1tsava-nāmā astu ' iti |	sa ca-u7tsavaH kandukaH-1-tsava--nAmA astu a iti |
   tato 'lpīyasā kālena rājñaḥ priya-mahiṣī medinī	tatas alpIyasA kAlena rAjQaH priya--mahizI medinI
   nāmai7kaṃ putram asūta |	na-amE7kam putram asUta |
   samutpannā cai7kā duhitā |	samutpannA cE7kA duhitA |
   sā adya kanyā kandukāvatī nāma somā3pīḍāṃ	sA adya kanyA kandukAvatI nAma somA3-pIxAm
   devīṃ kanduka-vihāreṇā3rādhayitum āgamiṣyati |	devIm kanduka--vihAreNa-A3rADayitum Agamizyati |
   tasyās tu sakhī candra-senā nāma dhātreyikā mama	tasyAH tu saKI candra-senA nAma DAtreyikA mama
   priyā0sīt |	priyA0-sIt |
   sā cai7ṣu divaseṣu rāja-putreṇa bhīma-dhanvanā	sA ca-e7zu divasezu rAja--putreNa BIma--DanvanA
   balavad anuruddhā |	balavat anurudDAH |
   tad aham utkaṇṭhito	tat aham utkaNWitaH-
   manmatha-śara-śalya-duḥkho1dvigna-cetāḥ kalena	manmaTa--Sara--Salya--duHKo1-dvigna--cetAH kalena
   vīṇā-raveṇā8tmānaṃ kiñ=cid āśvāsayan viviktam	vINA--raveNa-A8tmAnam kiQ=cid ASvAsayan viviktam
   adhyāse iti |	aDyAse iti |
   asminn eva kṣaṇe kim api nūpura-kvaṇitam upātiṣṭhat |	asmin eva kzaNe kim api nUpura--kvaNitam upAtizWat |
   āgatā ca kā-cid aṅganā |	AgatA ca kA-cid aFganA |
   dṛṣṭvai9va sa enām utphulla-dṛṣṭir	dRzwvA-e9va saH enAm utPulla-dRzwiH-
   utthāyo7pagūhya gāḍham upagūḍha-kaṇṭhaś ca tayā	utTAya-u7pagUhya gAXam upagUXa-kaNWaH ca tayA
   tatrai7vo7pāviśat |	tatra-e7vo7pAviSat |
   aśamsac ca -- ' sai9ṣā me prāṇa-samā yad-viraho	aSamsat ca -- a sE9zA me prANa--samA yat--virahaH-
   dahana iva dahati mām |	dahanaH iva dahati mAm |
   idaṃ ca me jīvitam apaharatā rāja-putreṇa	idam ca me jIvitam apaharatA rAja--putreNa
   mṛtyune9va nir-uṣmatāṃ nītaḥ |	mRtyunA-i9va nir-uzmatAm nItaH |
   na ca śakṣyāmi rāja-sūnur ity amuṣmin pāpam	na ca SakzyAmi rAja--sUnuH iti amuzmin pApam
   ācaritum |	Acaritum |
   ato 'nayā0tmānaṃ su-dṛṣṭaṃ kārayitvā	atas anayA0tmAnam su-dRzwam kArayitvA
   tyakṣyāmi niṣ-pratikriyān prāṇān ' iti |	tyakzyAmi niz-pratikriyAn prANAn a iti |
   sā tu paryaśru-mukhī samabhyadhāt -- ' mā sma nātha	sA tu paryaSru--muKI samaByaDAt -- a mA sma nATa
   mat-kṛte 'dhyavasyaḥ sāhasam |	mat--kRte aDyavasyaH sAhasam |
   yas tvam uttamāt sārtha-vāhād artha-dāsād utpadya	yaH tvam uttamAt sArTa-vAhAt arTa--dAsAt utpadya
   kośa-dāsa iti gurubhir abhihita-nāmadheyaḥ punar	koSa-dAsaH iti guruBiH aBihita--nAmaDeyaH punar-
   mad-atyāsaṅgād veśa-dāsa iti dviṣadbhiḥ	mad--ati-AsaFgAt veSa-dAsaH iti dvizadBiH
   prakhyāpito 'si tasmims tvayy uparate yady ahaṃ	praKyApitaH asi tasmimH tvayi uparate yadi aham
   jīveyaṃ nṛśamso veśa iti samarthayeyaṃ loka-vādam |	jIveyam nRSamsaH veSaH iti samarTayeyam loka-vAdam |
   ato 'dyai7va naya mām īpsitaṃ deśam ' iti |	atas adya-e7va naya mAm Ipsitam deSam a iti |
