   darpadalanam	darpa-dalanam
   ityukte muniputreṇa brāhmaṇastamabhāṣata /	iti-ukte muni-putreNa brAhmaNaH-tam-aBAzata /
   aho paropadeśeṣu sarvo bhavati paṇḍitaḥ // KDarp_3.59 //	aho para-upadeSezu sarvaH Bavati paNxitaH // KDarp_3.59 //
   anadhītāṃ balādvidyāṃ tapasā prāptumicchasi /	anaDItAm balAt-vidyAm tapasA prAptum-icCasi /
   yathā tvaṃ niṣphalārambhas tathāhamaparo jaḍaḥ // KDarp_3.60 //	yaTA tvam nizPala-AramBaH taTA-aham-aparaH jaxaH // KDarp_3.60 //
   etaddvijavacaḥ śrutvā yathārthaṃ sthagitottaraḥ /	etat-dvija-vacaH SrutvA yaTArTam sTagita-uttaraH /
   tathāpi dṛḍhasaṃkalpaḥ svakṛtyānna cacāla saḥ // KDarp_3.61 //	taTA-api dRXa-saMkalpaH sva-kRtyAn-na cacAla saH // KDarp_3.61 //
   athāsya tīvratapasā śakraḥ prādādvaraṃ varam /	aTa-asya tIvra-tapasA SakraH prAdAt-varam varam /
   sarvavidyānidhiryena sahasaiva babhūva saḥ // KDarp_3.62 //	sarva-vidyA-niDiH-yena sahasA-eva baBUva saH // KDarp_3.62 //
   prāptavidyaḥ sa sotsāhas tūrṇaṃ gatvā svamāśramam /	prApta-vidyaH sa sa-utsAhaH tUrNam gatvA svam-ASramam /
   nijāṃ tapaḥphalāvāpti- kathāṃ pitre nyavedayat // KDarp_3.63 //	nijAm tapaH-Pala-avApti kaTAm pitre nyavedayat // KDarp_3.63 //
   taṃ madākrāntamaśrānta- vṛttasaṃskṛtavādinam /	tam mad-AkrAntam-aSrAnta vRtta-saMskRta-vAdinam /
   bharadvājaḥ pramode 'pi svedākula ivāvadat // KDarp_3.64 //	BaradvAjaH pramode api sveda-AkulaH iva-avadat // KDarp_3.64 //
   putra prāptā tvayā vidyā tapastāpātkimucyate /	putra prAptA tvayA vidyA tapaH-tApAt-kim-ucyate /
   kiṃ tvāgāmibhayādetan na yuktaṃ pratibhāti me // KDarp_3.65 //	kim tu-AgAmi-BayAt-etat na yuktam pratiBAti me // KDarp_3.65 //
   itaḥ samīpe raibhyasya kopanasya tapovanam /	itas samIpe rEByasya kopanasya tapaH-vanam /
   vidyāmadāndhau tatputrāv- arvāvasuparāvasū // KDarp_3.66 //	vidyA-mada-anDO tad-putrAv arvAvasu-parAvasU // KDarp_3.66 //
   tāvaśrāntaśrutonmādau tvaṃ cābhinavapaṇḍitaḥ /	tO=-aSrAnta-Sruta-unmAdO tvam ca-aBinava-paNxitaH /
   tatsaṃgame dveṣamayaḥ sadā saṃnihitaḥ kaliḥ // KDarp_3.67 //	tad-saMgame dveza-mayaH sadA saMnihitaH kaliH // KDarp_3.67 //
   grīvāstambhabhṛtaḥ paronnatikathāmātre śiraḥśūlinaḥ	grIvA-stamBa-BRtaH para-unnati-kaTA-mAtre SiraH-SUlinaH
   sodvegabhramaṇapralāpavipulakṣobhābhibhūtasthiteḥ /	sa-udvega-BramaNa-pralApa-vipula-kzoBa-aBiBUta-sTiteH /
   antardveṣaviṣapraveśaviṣamakrodhoṣṇaniḥśvāsinaḥ kaṣṭā nūtanapaṇḍitasya	antar-dveza-viza-praveSa-vizama-kroDa-uzNa-niHSvAsinaH kazwA nUtana-paNxitasya
   vikṛtirbhīmajvarārambhabhūḥ // KDarp_3.68 //	vikRtiH-BIma-jvara-AramBa-BUH // KDarp_3.68 //
   tava tatra prayātasya yuktāyuktavivādinaḥ /	tava tatra prayAtasya yukta-ayukta-vivAdinaH /
   bhaviṣyati muneḥ śāpād avaśyaṃ madanigrahaḥ // KDarp_3.69 //	Bavizyati muneH SApAt avaSyam mada-nigrahaH // KDarp_3.69 //
   śuktikārajatajñāna- nīlapītādidarśanaiḥ /	SuktikA-rajata-jQAna nIla-pIta-Adi-darSanEH /
   unmādaṃ janayatyeva vidyādarpapiśācikā // KDarp_3.70 //	unmAdam janayati-eva vidyA-darpa-piSAcikA // KDarp_3.70 //
   eṣa vidyopadeśena vināśaḥ prārthitastvayā /	eza vidyA-upadeSena vinASaH prArTitaH-tvayA /
   raibhyāśramo na gantavyaḥ kartavyaṃ yadi madvacaḥ // KDarp_3.71 //	rEBya-ASramaH na gantavyaH kartavyam yadi mad-vacaH // KDarp_3.71 //
   ityukto 'pyasakṛtpitrā sa gatvā raibhyaputrayoḥ /	iti-uktaH api-asakRt-pitrA sa gatvA rEBya-putrayoH /
   vyadhādvivādanirvedaiḥ sadā vidyāmadakṣitim // KDarp_3.72 //	vyaDAt-vivAda-nirvedEH sadA vidyA-mada-kzitim // KDarp_3.72 //
   taṃ darpamattaṃ sākopa- bhīmabhrūbhaṅgadurmukhau /	tam darpa-mattam sA-kopa BIma-BrU-BaFga-durmuKO /
   tāvūcaturmanaḥsakta- vidyāvidveṣaśūlinau // KDarp_3.73 //	tO=-UcatuH-manaH-sakta vidyA-vidveza-SUlinO // KDarp_3.73 //
   kanīyānāvayoryasmād vayasā tvaṃ śrutena ca /	kanIyAn-AvayoH-yasmAt vayasA tvam Srutena ca /
   karoṣi vādairākṣepaṃ tasmādāyuḥkṣayo 'stu te // KDarp_3.74 //	karozi vAdEH-Akzepam tasmAt-AyuH-kzayaH astu te // KDarp_3.74 //
   ityukto 'pi krudhā tābhyāṃ na darpādvirarāma saḥ /	iti-uktaH api kruDA tAByAm na darpAt-virarAma saH /
   na prasannaṃ na ca kruddhaṃ gaṇayanti madoddhatāḥ // KDarp_3.75 //	na prasannam na ca krudDam gaNayanti mada-udDatAH // KDarp_3.75 //
   atrāntare bhramadbhṛṅga- mālābhrūbhaṅgavibhramaḥ /	atra-antare Bramat-BRFga mAlA-BrU-BaFga-viBramaH /
   kālaḥ proṣitakāntānāṃ puṣpakālaḥ samāyayau // KDarp_3.76 //	kAlaH prozita-kAntAnAm puzpakAlaH samAyayO // KDarp_3.76 //
   kṣiptapattrāḥ sumanasāṃ rajaḥkaluṣitekṣaṇāḥ /	kzipta-pattrAH sumanasAm rajaH-kaluzita-IkzaNAH /
   sadveṣā iva vidvāṃsaś cerurmalayamārutāḥ // KDarp_3.77 //	sa-dvezAH iva vidvAMsaH ceruH-malaya-mArutAH // KDarp_3.77 //
   mādhuryalalitodāra- vāṇīvilasitairmuhuḥ /	mADurya-lalita-udAra vANI-vilasitEH-muhur /
   kavīnāmiva saṃgharṣaḥ kokilānāmajāyata // KDarp_3.78 //	kavInAm-iva saMGarzaH kokilAnAm-ajAyata // KDarp_3.78 //
   raibhye prayāte putrābhyāṃ saha snātuṃ sarittaṭam /	rEBye prayAte putrAByAm saha snAtum sarit-tawam /
   bharadvājātmajo 'bhyetya praviveśa tadāśramam // KDarp_3.79 //	BaradvAja-AtmajaH aByetya praviveSa tad-ASramam // KDarp_3.79 //
   tatra puṣpoccayavyagrāṃ dharmapatnīṃ purāvasoḥ /	tatra puzpa-uccaya-vyagrAm DarmapatnIm purAvasoH /
   so 'paśyatsuprabhāṃ nāma rūpadarpāpahāṃ rateḥ // KDarp_3.80 //	saH apaSyat-supraBAm nAma rUpa-darpa-apahAm rateH // KDarp_3.80 //
   uṭajāṅganasaktānāṃ hariṇīnāṃ vilokane /	uwaja-aFgana-saktAnAm hariNInAm vilokane /
   vilāsadīkṣāṃ kurvāṇāṃ taralāpāṅgamaṅgibhiḥ // KDarp_3.81 //	vilAsa-dIkzAm kurvANAm tarala-apAFgam-aFgiBiH // KDarp_3.81 //
   tāṃ dṛṣṭvā candravadanāṃ madanānandadevatām /	tAm dRzwvA candra-vadanAm madana-Ananda-devatAm /
   babhūvotkrāntamaryādaḥ sahasaiva muneḥ sutaḥ // KDarp_3.82 //	baBUva-utkrAnta-maryAdaH sahasA-eva muneH sutaH // KDarp_3.82 //
   sa brahmacārī kāmena navena taralīkṛtaḥ /	sa brahmacArI kAmena navena taralIkRtaH /
   abhilāṣocitaṃ vaktum anabhijño 'pyuvāca tām // KDarp_3.83 //	aBilAza-ucitam vaktum anaBijQaH api-uvAca tAm // KDarp_3.83 //
   unmādanamidaṃ rūpam anurūpaṃ manobhuvaḥ /	unmAdanam-idam rUpam anurUpam manoBuvaH /
   samutsiktamivāsaktaṃ karoti mama mānasam // KDarp_3.84 //	samutsiktam-iva-Asaktam karoti mama mAnasam // KDarp_3.84 //
   vidyāvinayamutsṛjya saṃtyajya guruyantraṇām /	vidyA-vinayam-utsRjya saMtyajya guru-yantraNAm /
   tvayi pravṛttaṃ cittaṃ me prāgjanmapremabandhanam // KDarp_3.85 //	tvayi pravRttam cittam me prAc-janma-prema-banDanam // KDarp_3.85 //
   jānāmi yatkṛtasyāsya vipāke karmaṇaḥ phalam /	jAnAmi yat-kRtasya-asya vipAke karmaNaH Palam /
   tathāpyabhimataṃ dhartuṃ na śaknomi karomi kim // KDarp_3.86 //	taTA-api-aBimatam Dartum na Saknomi karomi kim // KDarp_3.86 //
   na śrutena na vittena na vṛttena na karmaṇā /	na Srutena na vittena na vRttena na karmaNA /
   pravṛttaṃ śakyate roddhuṃ manobhavapathe manaḥ // KDarp_3.87 //	pravRttam Sakyate rodDum manoBava-paTe manaH // KDarp_3.87 //
   ityuktvā tāṃ bhayodbhrānta- nayanāmāśramonmukhīm /	iti-uktvA tAm Baya-udBrAnta nayanAmASrama-unmuKIm /
   gantuṃ pravṛttāṃ so 'bhyetya jagrāhāṃśukapallave // KDarp_3.88 //	gantum pravRttAm saH aByetya jagrAha-aMSuka-pallave // KDarp_3.88 //
   kadalī kuñjareṇeva tarasā tena nirjane /	kadalI kuQjareNa-iva tarasA tena nirjane /
   kṛṣyamāṇā tamavadat sā niṣedhacalāṅguliḥ // KDarp_3.89 //	kRzyamANA tam-avadat sA nizeDa-cala-aFguliH // KDarp_3.89 //
   mā mā malinaya svacchaṃ śīlaṃ mama tathātmanaḥ /	mA mA malinaya svacCam SIlam mama taTA-AtmanaH /
   vidyāyā niravadyāyāḥ kimetaducitaṃ phalam // KDarp_3.90 //	vidyAyAH niravadyAyAH kim-etat-ucitam Palam // KDarp_3.90 //
   śīlaśuklāṃśukāṃ tyaktvā lajjāṃ nijavadhūmiva /	SIla-Sukla-aMSukAm tyaktvA lajjAm nija-vaDUm-iva /
   gṛhṇāsi paranārīṇāṃ pāṇinā paṭapallavam // KDarp_3.91 //	gRhNAsi para-nArINAm pANinA pawa-pallavam // KDarp_3.91 //
   kimetadityanucitaṃ dṛṣṭvā nūnaṃ kamaṇḍaluḥ /	kim-etat-iti-anucitam dRzwvA nUnam kamaNxaluH /
   udgrīvaḥ kautukeneva mukhaṃ tava nirīkṣate // KDarp_3.92 //	udgrIvaH kOtukena-iva muKam tava nirIkzate // KDarp_3.92 //
   bibhrato 'ntargatarasāṃ kusumeṣuruciṃ navām /	biBrataH antargata-rasAm kusumezu-rucim navAm /
   jaṭāvalkalabhāraste taroriva na śāntaye // KDarp_3.93 //	jawA-valkala-BAraH-te taroH-iva na SAntaye // KDarp_3.93 //
   pāpasaṃkalpamātreṇa trapayādhomukhī tava /	pApa-saMkalpa-mAtreNa trapayA-aDomuKI tava /
   patitā sparśabhītyeva kampalolākṣamālikā // KDarp_3.94 //	patitA sparSaBI-ityA-iva kampa-lola-akzamAlikA // KDarp_3.94 //
   āsanābje sarasvatyā japalolaradacchade /	Asana-abje sarasvatyAH japa-lola-rada=-Cade /
   durnayoktirna yukteyaṃ mukhe tava manīṣiṇaḥ // KDarp_3.95 //	durnaya-uktiH-na yuktA-iyam muKe tava manIziNaH // KDarp_3.95 //
   iyaṃ tapovanamahī vivekajananī katham /	iyam tapaH-vana-mahI viveka-jananI kaTam /
   janayatyabhilāṣaṃ te jananīvājitātmanaḥ // KDarp_3.96 //	janayati-aBilAzam te jananI-ivAjita-AtmanaH // KDarp_3.96 //
   durmado (durdamo) yauvanabharas turaṅga iva hārakaḥ /	durmadaH (duH-damo) yOvana-BaraH turaFgaH iva hArakaH /
   sarvathā śithilātmānam avaṭe kṣipati kṣaṇāt // KDarp_3.97 //	sarvaTA SiTila-AtmAnam avawe kzipati kzaNAt // KDarp_3.97 //
   dhigdhiyaṃ kiṃ vivekena dūre viśrāmyatu śrutam /	Dik-Diyam kim vivekena dUre viSrAmyatu Srutam /
   dhāryate yairna saṃsāra- vikāraskhalitaṃ manaḥ // KDarp_3.98 //	DAryate yEH-na saMsAra vikAra-sKalitam manaH // KDarp_3.98 //
   kva vidyā viditāśeṣa- kāryākāryavimarśadhīḥ /	kva vidyA vidita-aSeza kArya-akArya-vimarSa-DIH /
   mūḍhatā kva ca duṣkarma- mahāpāpakuṭumbinī // KDarp_3.99 //	mUXa-tA kva ca duzkarma mahA-pApa-kuwumbinI // KDarp_3.99 //
   ityucyamāno 'pi yadā na sa tatyāja durgraham /	iti-ucyamAnaH api yadA na sa tatyAja durgraham /
   śīlāpahārasaṃtrastā sā tadā samacintayat // KDarp_3.100 //	SIla-apahAra-saMtrastA sA tadA samacintayat // KDarp_3.100 //
   kiṃ karomyajane labdhā vivaśāhaṃ pramādinā /	kim karomi-ajane labDA vivaSa-aham pramAdinA /
   utsṛṣṭadharmanimayāḥ kiṃ na kurvantyavāritāḥ // KDarp_3.101 //	utsRzwa-Darma-nimayAH kim na kurvanti-avAritAH // KDarp_3.101 //
   ayaṃ smarāturastāvad vacasā na nivartate /	ayam smara-AturaH-tAvat vacasA na nivartate /
   vañcyante sāntvavādena kāmakrodhamadoddhatā // KDarp_3.102 //	vaQcyante sAntva-vAdena kAma-kroDa-mada-udDatA // KDarp_3.102 //
   iti dhyātvā tamavadat sā śanairmṛduvādinī /	iti DyAtvA tam-avadat sA SanEs-mRdu-vAdinI /
   gaccha tvaṃ svayameṣyāmi niśi śūnyalatāgṛhe // KDarp_3.103 //	gacCa tvam svayam-ezyAmi niSi SUnya-latA-gRhe // KDarp_3.103 //
   snātvā saputraḥ kāle 'smin nāyāti śvaśuro mama /	snAtvA sa-putraH kAle asmin na-AyAti SvaSuraH mama /
   jvalajjvalanatulyasya tasyāgre kiṃ kariṣyasi // KDarp_3.104 //	jvalat-jvalana-tulyasya tasya-agre kim karizyasi // KDarp_3.104 //
   ityuktaḥ sa tayā prāyāt satyaṃ vijñāya tadvacaḥ /	iti-uktaH sa tayA prAyAt satyam vijQAya tat-vacaH /
   duṣprāpamapi manyante sulabhaṃ kāmamohitāḥ // KDarp_3.105 //	duzprApam-api manyante sulaBam kAma-mohitAH // KDarp_3.105 //
   raibhyaṃ tataḥ samāyātam agnyāgārāgrataḥ sthitam /	rEByam tatas samAyAtam agni-AgAra-agratas sTitam /
   snuṣā provāca kopāgni- dhūmenevāśruvarṣiṇī // KDarp_3.106 //	snuzA provAca kopa-agni DUmena-iva-aSru-varziNI // KDarp_3.106 //
   bharadvājātmajastāta pāpastava suhṛtsutaḥ /	BaradvAja-AtmajaH-tAta pApaH-tava suhRd-sutaH /
   mamādya vijane śīla- viplave 'bhyarthitāṃ gataḥ // KDarp_3.107 //	mama-adya vijane SIla viplave aByarTitAm gataH // KDarp_3.107 //
   sa mayā durgrahagrastaḥ sameṣyāmīti vañcitaḥ /	sa mayA durgraha-grastaH samezyAmi-iti vaQcitaH /
   vimucye nānyathā hastāt tasya svastimatī satī // KDarp_3.108 //	vimucye na-anyaTA hastAt tasya svastimatI satI // KDarp_3.108 //
   etadākarṇya sahasā prajvalanmanyunā muniḥ /	etat-AkarNya sahasA prajvalat-manyunA muniH /
   babhūva durnimittolkā- pātakrūre ivāṃśumān // KDarp_3.109 //	baBUva durnimitta-ulkA pAtakrUre iva-aMSumAn // KDarp_3.109 //
   vidyāvatāṃ sphuratyantar- vivekaḥ svasthacetasām /	vidyAvatAm sPurati-antar vivekaH svasTa-cetasAm /
   vikārakāle saṃmohaś citte vidyā ca pustake // KDarp_3.110 //	vikAra-kAle saMmohaH citte vidyA ca pustake // KDarp_3.110 //
   sa niḥśvasannatha krodha- jvarārambhāruṇekṣaṇaḥ /	sa niHSvasan=-aTa kroDa jvara-AramBa-aruNa-IkzaNaH /
   abhicārajapeneva kampamānādharo 'bhyadhāt // KDarp_3.111 //	aBicAra-japena-iva kampamAna-aDaraH aByaDAt // KDarp_3.111 //
   aho bata bharadvājaḥ putrasyādhyayane vyadhāt /	aho bata BaradvAjaH putrasya-aDyayane vyaDAt /
   dharmopadeśaṃ yatnena nagnīkartuṃ parāṅganaḥ // KDarp_3.112 //	Darma-upadeSam yatnena nagnIkartum para-aFganaH // KDarp_3.112 //
   ityuktvāmarṣasaṃrambhād aparaṃ vaktumakṣamaḥ /	iti-uktvA-amarza-saMramBAt aparam vaktum-akzamaH /
   sa praviśyāgnisadanaṃ pratīkāraparo 'bhavat // KDarp_3.113 //	sa praviSya-agni-sadanam pratIkAra-paraH aBavat // KDarp_3.113 //
   utpāṭya vikaṭāṭopa- kopaḥ prauḍhāgnipiṅgalam /	utpAwya vikawa-Awopa kopaH prOXa-agni-piFgalam /
   sa juhāva jaṭāṃ vahnau krūrakrodhasaṭāmiva // KDarp_3.114 //	sa juhAva jawAm vahnO krUra-kroDa-sawAm-iva // KDarp_3.114 //
   dvitīyāyāṃ hutāyāṃ ca śūlabhṛdghorarākṣasaḥ /	dvitIyAyAm hutAyAm ca SUlaBRt-Gora-rAkzasaH /
   kṛtyāsakhaḥ samudbhūtaḥ provāca praṇato munim // KDarp_3.115 //	kRtyA-saKaH samudBUtaH provAca praNataH munim // KDarp_3.115 //
   kiṃ karomi mune kasya vināśāyāsmi nirmitaḥ /	kim karomi mune kasya vinASAya-asmi nirmitaH /
   trailokyamapi nirdagdhuṃ saṃnaddho 'haṃ tvadājñayā // KDarp_3.116 //	trElokyam-api nirdagDum saMnadDaH aham tvad-AjQayA // KDarp_3.116 //
   iti bruvāṇaṃ taṃ raibhyaḥ krūrākāramabhāṣata /	iti bruvANam tam rEByaH krUra-AkAram-aBAzata /
   bharadvājasutaṃ gaccha kavalīkurvapaṇḍitam // KDarp_3.117 //	BaradvAja-sutam gacCa kavalI-kurva-paNxitam // KDarp_3.117 //
   iti tena samādiṣṭaḥ sa vrajankampitāvaniḥ /	iti tena samAdizwaH sa vrajan-kampita-avaniH /
   ardhaśaucaṃ munisutaṃ dṛṣṭvā durātsamādravat // KDarp_3.118 //	arDa-SOcam muni-sutam dRzwvA durAtsamAdravat // KDarp_3.118 //
   tasminnabhidrute vegād dīptaśūle niśācare /	tasmin=-aBidrute vegAt dIpta-SUle niSAcare /
   bhayabhagnagatiḥ prāpa śaraṇaṃ na muneḥ sutaḥ // KDarp_3.119 //	Baya-Bagna-gatiH prApa SaraNam na muneH sutaH // KDarp_3.119 //
   palāyamānaḥ saṃprāptaḥ sa javātpiturāśramat /	palAyamAnaH saMprAptaH sa javAt-pituH-ASramat /
   agnyāgāraṃ viśanruddhaḥ śūdreṇāśaucadūṣitaḥ // KDarp_3.120 //	agni-AgAram viSanrudDaH SUdreNa-ASOca-dUzitaH // KDarp_3.120 //
   dāsaspṛṣṭaḥ sa niḥśaucaḥ patitaḥ saṃbhramātkṣitau /	dAsa-spRzwaH sa niHSOcaH patitaH saMBramAt-kzitO /
   rakṣaḥ śūlahataḥ paścāt sahasā bhasmasādabhūt // KDarp_3.121 //	rakzaH SUla-hataH paScAt sahasA BasmasAt-aBUt // KDarp_3.121 //
   atrāntare bharadvājaḥ praviśannijamāśramam /	atra-antare BaradvAjaH praviSat-nijam-ASramam /
   vidhvastacchāyamālokya sodvegaḥ samacintayat // KDarp_3.122 //	viDvasta=-CAyam-Alokya sa-udvegaH samacintayat // KDarp_3.122 //
   mama puṣpaphalādāna- pratyāvṛttasya vahnayaḥ /	mama puzpa-Pala-AdAna pratyAvRttasya vahnayaH /
   sadottiṣṭhanti puratas te 'dya kiṃ niścalā iva // KDarp_3.123 //	sadA-uttizWanti puratas te adya kim niScalAH iva // KDarp_3.123 //
   iti saṃcintya dṛṣṭvāgre bhasmabhītaṃ sutaṃ muniḥ /	iti saMcintya dRzwvA-agre Basma-BItam sutam muniH /
   śrutvā ca dāsakathitaṃ vṛttāntaṃ nyapatadbhuvi // KDarp_3.124 //	SrutvA ca dAsa-kaTitam vRttAntam nyapatat-Buvi // KDarp_3.124 //
   sa labdhasaṃjñaḥ śanakair avadadbāṣpagadgadam /	sa labDa-saMjQaH SanakEs avadat-bAzpa-gadgadam /
   raibhyo 'pi vidvānkālena prāpnotu svasutādvadham // KDarp_3.125 //	rEByaH api vidvAn-kAlena prApnotu sva-sutAt-vaDam // KDarp_3.125 //
   hā putra rakṣitenāpi kṣaṇakṣayanipātinā /	hA putra rakzitena-api kzaNa-kzaya-nipAtinA /
   na jīvāmi sadoṣeṇa kāyeneva tvayā vinā // KDarp_3.126 //	na jIvAmi sa-dozeNa kAyena-iva tvayA vinA // KDarp_3.126 //
   ityuktvā putraśokena citāgnimaviśanmuniḥ /	iti-uktvA putra-Sokena citA-agnim-aviSat-muniH /
   mahatsvapi navotsekād abhagnaprasarāḥ śucaḥ // KDarp_3.127 //	mahatsu-api nava-utsekAt aBagna-prasarAH SucaH // KDarp_3.127 //
   atha yāte śanaiḥ kāle bṛhadyumnasya bhūpateḥ /	aTa yAte SanEs kAle bRhadyumnasya BUpateH /
   yājakau jagmaturgeham arvāvasuparāvasū // KDarp_3.128 //	yAjakO jagmatuH-geham arvAvasu-parAvasU // KDarp_3.128 //
   pravṛtte vidhivattasya dīrghasattre pṛthuśriyaḥ /	pravRtte viDivat-tasya dIrGasattre pRTu-SriyaH /
   dānamānodayaḥ ko 'pi tayoryājakayorabhūt // KDarp_3.129 //	dAna-mAna-udayaH kaH api tayoH-yAjakayoH-aBUt // KDarp_3.129 //
   kadāciddinaparyanta- saṃdhyāyāṃ nijamāśramam /	kadAcid-dina-paryanta saMDyAyAm nijam-ASramam /
   parāvasuḥ samāgacchan dṛṣṭvā pitaramagrataḥ // KDarp_3.130 //	parAvasuH samAgacCan dRzwvA pitaram-agratas // KDarp_3.130 //
   kṛṣṇājinottarāsaṅgaṃ daṇḍena mṛgaśaṅkayā /	kRzNa-ajina-uttarAsaFgam daNxena mRga-SaFkayA /
   jaghāna śāpavivaśaḥ sa tenābhūdvicetanaḥ // KDarp_3.131 //	jaGAna SApa-vivaSaH sa tena-aBUt-vicetanaH // KDarp_3.131 //
   janakaṃ hatamālokya brahmahatyābhayākulaḥ /	janakam hatam-Alokya brahmahatyA-Baya-AkulaH /
   gatvā yajñabhuvaṃ bhrātre sa tamarthaṃ nyavedayat // KDarp_3.132 //	gatvA yajQa-Buvam BrAtre sa tam-arTam nyavedayat // KDarp_3.132 //
   arvāvasustamavadad bhrātaḥ kiṃ kriyate vidheḥ /	arvAvasuH-tam-avadat BrAtar kim kriyate viDeH /
   bhavanti yasya saṃkalpād evaṃrūpā viparyayāḥ // KDarp_3.133 //	Bavanti yasya saMkalpAt evaMrUpAH viparyayAH // KDarp_3.133 //
   dharmārthī pāpamāpnoti śīlārthī śīlaviplavam /	Darma-arTI pApam-Apnoti SIla-arTI SIla-viplavam /
   vidhau vidhuratāṃ yāte draviṇārthī daridratām // KDarp_3.134 //	viDO viDura-tAm yAte draviNa-arTI daridra-tAm // KDarp_3.134 //
   brahmahatyāvrataṃ tīvraṃ bhavato 'rthe carāmyaham /	brahmahatyA-vratam tIvram BavataH arTe carAmi-aham /
   tvamasya kuru bhūbhartuḥ saṃpūrṇāṃ yājanakriyām // KDarp_3.135 //	tvam-asya kuru BUBartuH saMpUrNAm yAjana-kriyAm // KDarp_3.135 //
   uktvetyarvāvasurbhrātuḥ pāpaśāntyai dhṛtavrataḥ /	uktvA-iti-arvAvasuH-BrAtuH pApa-SAntyE DRta-vrataH /
   cakāra sarvatīrtheṣu tīvraniṣkṛtipāraṇam // KDarp_3.136 //	cakAra sarva-tIrTezu tIvra-nizkRti-pAraNam // KDarp_3.136 //
   taṃ samāptavrataṃ prāptaṃ rājño yajñavasuṃdharām /	tam samApta-vratam prAptam rAjQaH yajQavasuMDarAm /
   dūrātparāvasurjñātvā pitṛghnaḥ samacintayat // KDarp_3.137 //	dUrAt-parAvasuH-jQAtvA pitR-GnaH samacintayat // KDarp_3.137 //
   ayaṃ me dakṣiṇākāle bhāgahartā samāgataḥ /	ayam me dakziNA-kAle BAga-hartA samAgataH /
   madabhāgyaiściraṃ tīvra- vratakliṣṭo 'pi jīvati // KDarp_3.138 //	mada-BAgyEH-ciram tIvra vrata-klizwaH api jIvati // KDarp_3.138 //
   iti saṃcintya so 'bhyetya provāca pṛthivīpatim /	iti saMcintya saH aByetya provAca pRTivIpatim /
   lobhamātsaryayoraṅke patitaḥ pātakecchayā // KDarp_3.139 //	loBa-mAtsaryayoH-aFke patitaH pAtaka-icCayA // KDarp_3.139 //
   rājanyajñamahīmeṣa kilbiṣī brahmahatyayā /	rAjan-yajQa-mahIm-eza kilbizI brahmahatyayA /
   praviśatyavikalpena madbhrātā vāryatāmitaḥ // KDarp_3.140 //	praviSati-avikalpena mad-BrAtA vAryatAmitaH // KDarp_3.140 //
   ityuktastena nṛpatiḥ kṛtaghnena viparyayāt /	iti-uktaH-tena nRpatiH kRtaGnena viparyayAt /
   tasya praveśamajñānān niṣpāpasya nyavārayat // KDarp_3.141 //	tasya praveSam-ajQAnAt nizpApasya nyavArayat // KDarp_3.141 //
   andhā iva na paśyanti yogyāyogyaṃ hitāhitam /	anDAH iva na paSyanti yogya-ayogyam hita-ahitam /
   pathā tenaiva gacchanti nīyante yena pārthivāḥ // KDarp_3.142 //	paTA tena-eva gacCanti nIyante yena pArTivAH // KDarp_3.142 //
   mithyāpavādadānena naiva bhrātre cukopa saḥ /	miTyA-pavAda-dAnena na-eva BrAtre cukopa saH /
   nikāre kāraṇaṃ daivaṃ manyante hi manīṣiṇaḥ // KDarp_3.143 //	nikAre kAraNam dEvam manyante hi manIziNaH // KDarp_3.143 //
   tena tasyānṛśaṃsyena nirvikāratayā tayā /	tena tasya-AnRSaMsyena nirvikAra-tayA tayA /
   tuṣṭāḥ kratusamāsīnās tamūcustridivaukasaḥ // KDarp_3.144 //	tuzwAH kratu-samAsInAH tam-UcuH-tridivOkasaH // KDarp_3.144 //
   praśamena tavānena prasannāste vayaṃ mune /	praSamena tava-anena prasannAH-te vayam mune /
   varārho 'pi varācāra gṛhyatāṃ pravaro varaḥ // KDarp_3.145 //	vara-arhaH api vara-AcAra gRhyatAm pravaraH varaH // KDarp_3.145 //
   ityuktaḥ sa suraiḥ prītyā tānuvāca kṛtāñjaliḥ /	iti-uktaH sa surEH prItyA tAn-uvAca kRtAQjaliH /
   yadi yuṣmadvarārho 'haṃ dīyatāṃ yanmamepsitam // KDarp_3.146 //	yadi yuzmad-vara-arhaH aham dIyatAm yat-mama-Ipsitam // KDarp_3.146 //
   matpitrā yo 'bhicāreṇa bharadvājātmajo hataḥ /	mad-pitrA yaH aBicAreNa BaradvAja-AtmajaH hataH /
   sa jīvatvasmṛtakrūra- nikāraḥ sa ca tatpitā // KDarp_3.147 //	sa jIva-tu-asmRta-krUra nikAraH sa ca tad-pitA // KDarp_3.147 //
   asmatpitā mṛgadhiyā yaḥ parāvasunā hataḥ /	asmad-pitA mRga-DiyA yaH parAvasunA hataH /
   so 'pi vismṛtatatkopaḥ svasthaḥ prāpnotu jīvitam // KDarp_3.148 //	saH api vismRta-tad-kopaH svasTaH prApnotu jIvitam // KDarp_3.148 //
   ityarthite vare tena tathetyākhyāyi taiḥ suraiḥ /	iti-arTite vare tena taTA-iti-AKyAyi tEH surEH /
   yavakrītabharadvāja- raibhyāḥ prāpuḥ svajīvitam // KDarp_3.149 //	yavakrIta-BaradvAja rEByAH prApuH sva-jIvitam // KDarp_3.149 //
