   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   pāriplavārthā iti cen na viśeṣitatvāt | BBs_3,4.23 |	pAriplava arTAH iti ced na viSezita tvAt | BBH _3,4.23 |
   pāriplavārthāḥ /	pAriplava arTAH /
   aśvamedhe putrādiparivṛtāya rājñe pāriplavamācakṣīteti	aSvameDe putra Adi parivRtAya rAjQe pAriplavam AcakzIta iti
   nānāvidhākhyānakathanātmakaḥ pāriplavaprayogo vihitaḥ /	nAnAviDa AKyAna kaTana AtmakaH pAriplava prayogaH vihitaH /
   tathāca vedāntasthakathānāmākhyānatvasāmānyādvidyāsaṃnidhānācca	taTA ca vedAntasTa kaTAnAm AKyAna tva sAmAnyAt vidyA saMniDAnAt ca
   saṃśayamāha kimiti /	saMSayamAha kim iti /
   pūrvaṃ stutyapekṣayā vijhirjyāyānanuṣṭhānalābhādityuktam /	pUrvam stuti apekzayA viJirjyAya ananuzWAna lABAt iti uktam /
   tathaiva kathānāṃ na vidyāstāvakatvaṃ pāriplavānuṣṭhānalābhāditi	taTA eva kaTAnAm na vidyAH tAvaka tvam pAriplava anuzWAna lABAt iti
   pūrvapakṣaḥ /	pUrva pakzaH /
   tatra phalamāha tataśceti /	tatra Palam Aha tataH ca iti /
   yathā devasya tvā saviturityādimantre kasyacitpadasya	yaTA devasya tvA savituH iti Adi mantre kasyacid padasya
   prayogasamavetārthatayā śeṣasya prayogāṅgatvaṃ tathā vedāntasthakathānāṃ	prayoga samaveta arTa tayA Sezasya prayoga aFga tvam taTA vedAntasTa kaTAnAm
   prayogaśeṣatvam /	prayoga Seza tvam /
   tadekavākyatayā sarvavedāntānāṃ karmaśeṣatvānna vidyāprādhānyamityarthaḥ /	tad eka vAkya tayA sarva vedAntAnAm karma Seza tvAt na vidyA prADAnyam iti arTaH /
   kathānāṃ guruśiṣyasamācārapradarśanena buddhisaukaryadvārā	kaTAnAm guru Sizya samAcAra pradarSanena budDi sOkarya dvArA
   saṃnihitavidyāśeṣatvaṃ sāmardhyaliṅgādato vidyāprādhānyamiti phalaṃ matvā	saMnihita vidyA Seza tvam sAmarDya liFgAt atas vidyA prADAnyam iti Palam matvA
   siddhāntayati tannetyādinā /	sidDAnta yati tanna ityAdinA /
   aśvamedhe prathama'hani manurvaivasvata iti kathāṃ brūyāddvitīye 'hani	aSvameDe praTama ahani manuH vEvasvataH iti kaTAm brUyAt dvitIye ahani
   yamo vaivasvata iti tṛtīye 'hani varuṇa āditya iti vākyaśeṣe kathānāṃ	yamaH vEvasvataH iti tRtIye ahani varuNaH AdityaH iti vAkya Seze kaTAnAm
   viśiṣyoktatvādupakramasya saṃkoco yukta iti bhāvaḥ //23//	viSizya ukta tvAt upakramasya saMkocaH yuktaH iti BAvaH //23//
   END BsRp_3,4.4.23	END BsRp _3,4.4.23
   START BsRp_3,4.5.24ḥ	START BsRp _3,4.5.24H
   tathā caikavākyatopabandhāt | BBs_3,4.24 |	taTA ca eka vAkyatA upabanDAt | BBH _3,4.24 |
   kva tarhi kathānāṃviniyoga ityāśaṅkya saṃnidhānādvidyāsvityāha tathāceti /	kva tarhi kaTAnAMviniyogaH iti ASaFkya saMniDAnAt vidyAsu iti Aha  taTA ca iti /
   prarocanaṃ prītijananaṃ sa prajāpatirvapāmudakhidat homāyoddhṛtavānityasya	prarocanam prIti jananam sa prajApatiH vapAm udaKidat homAya udDRta vAn iti asya
   prājāpatyamajaṃ tūparamālabheteti vidhiśeṣatve evamanyeṣāṃ	prAjApatyam ajam tu uparam AlaBeta iti viDi Seza tve evam anyezAm
   tattadvidhiśeṣatvaṃ draṣṭavyam //24//	tad tad viDi Seza tvam drazwavyam //24//
   END BsRp_3,4.5.24	END BsRp _3,4.5.24
   START BsRp_3,4.5.25ḥ	START BsRp _3,4.5.25H
   ata eva cāgnīndhanādyanapekṣā | BBs_3,4.25 |	atas eva ca agni inDana Adi anapekzA | BBH _3,4.25 |
   evamādyādhikaraṇaprameyaṃ vidyāsvātantryamadhikaraṇatrayeṇa	evamAdya aDikaraNa prameyam vidyA svAtantryam aDikaraNa trayeNa
   dṛḍhīkṛtyādyādhikaraṇasya phalamāha ata eva ceti /	dRXIkRtya adya aDikaraNasya Palam Aha ate eva ca iti /
   brahmavidyā svaphale mokṣe janayitavye sahakāritvena karmāṇyapekṣate na	brahma vidyA sva Pale mokze janayitavye sahakAri tvena karmANi apekzate na
   veti vādivivādātsaṃśaye tenaiti brahmavitpuṇyakṛttaijasa ityādiśrutyā	vA iti vAdi vivAdAt saMSaye tena eti brahma vid puNya kRt tEjasaH ityAdi SrutyA
   jñānakarmasamuccayena mokṣaprāptikathanādapekṣata iti prāpte vidyāyā	jQAna karma samuccayena mokza prApti kaTanAt apekzate iti prApte vidyAyA
   muktihetutvādavidyānivṛttyākhyamuktau na karmāpekṣeti	mukti hetu tvAt avidyA nivRtti AKya muktO na karma apekzA iti
   siddhāntayati puruṣārtha iti /	sidDAntayati puruza arTaH iti /
   agnīndhanapadena tatsādhyakarmāṇi lakṣyante /	agni inDana padena tad sADya karmANi lakzyante /
   puṇyakṛttaijasaḥ śuddhasatve brahmavidbhūtvā tena vedanenaiti brahma	puNya kRt tEjasaH SudDa satve brahma vid BUtvA tena vedanena eti brahma
   prāpnotīti śrutirvyākhyeyeti bhāvaḥ /	prApnoti iti SrutiH vyAKyeya iti BAvaH /
   muktāveva karmaṇāmasāmarthyādanapekṣā vidyāyāṃ tvasti cittaśuddhidvārā	muktO= eva karmaNA Am asAmarTyAt anapekzA vidyAyAm tu asti citta SudDi dvArA
   teṣāmapekṣetyadhikaṃ vaktumayamupasaṃhāra ityupasaṃhārasūtrasya	tezAm apekzA iti aDikam vaktum ayam upasaMhAraH iti upasaMhAra sUtrasya
   phalamāha adhiketi //25//	PalamAha aDika iti //25//
   END BsRp_3,4.5.25	END BsRp _3,4.5.25
   START BsRp_3,4.6.26ḥ	START BsRp _3,4.6.26H
   sarvāpekṣā ca yajñādiśruter aśvavat | BBs_3,4.26 |	sarva apekzA ca yajQa Adi SruteH aSva vat | BBH _3,4.26 |
   adhikamāha sarvāpekṣā /	aDika mAha  sarva apekzA /
   yathā pramāphalatvādavidyānivṛttau karmānapekṣā tathā pramātvādvidyāyāmapi	yaTA pramA Pala tvAt avidyA nivRttO karma anapekzA taTA pramAtvAt vidyAyAm api
   pramākaraṇamātrasādhyāyāṃ nāsti karmāpekṣeti pūrvapakṣaḥ /	pramAkaraNa mAtra sADyAyAm na asti karma apekzA iti pUrva pakzaH /
   tatra vidyārthaṃ karmānuṣṭhānāsiddhiḥ /	tatra vidyA arTam karma anuzWAna asidDiH /
   phalaṃ siddhānte tatsiddhiriti bhedaḥ /	Palam sidDAnte tad sidDiH iti BedaH /
   atra vividiṣāyāmiṣyamāṇajñāne vā yajñādīnāṃ karmaṇāṃ	atra vividizAyAmizyamANa jQAne vA yajQa AdInAm karmaNAm
   hetutvamapūrvatvādvidhīyate /	hetu tvam apUrva tvAt viDIyate /
   pramāyā apyutpattipratibandhakaduritakṣayākhyaśuddhidvārā	pramAyA api utpatti pratibanDaka durita kzaya AKya SudDi dvArA
   karmasādhyatvasaṃbhavāt /	karma sADya tva saMBavAt /
   naca pāraṃparye tṛtīyāśrutivirodhaḥ /	na ca pAraMparye tRtIyA Sruti viroDaH /
   jvālādvārā pāraṃparye 'pi kāṣṭhaiḥ pacatīti prayogāt,	jvAlA dvArA pAraMparye api kAzWEH pacati iti prayogAt,
   dvārasyāvyavadhāyakatvāt /	dvArasya avyavaDAyaka tvAt /
   naca śuddherdvāratve mānābhāvaḥ /	na ca SudDeH dvAra tve mAna aBAvaH /
   'jñānamutpadyate puṃsāṃ kṣayātpāpasya karmaṇaḥ /	ajQAnam utpadyate puMsAm kzayAt pApasya karmaNaH /
   kaṣāye karmabhiḥ pakve tato jñānaṃ pravartate'iti smṛteḥ /	kazAye karmaBiH pakve tatas jQAnam pravartate aiti smRteH /
   'avidyayā mṛtyuṃ tīrtvā vidyayāmṛtamaśnute'ityādiśrutyā karmaṇā	aavidyayA mRtyum tIrtvA vidyayA amRtam aSnute aitya Adi SrutyA karmaNA
   pāpanivṛttau jñānena muktyabhidhānācceti siddhāntayati idamiti /	pApa nivRttO jQAnena mukti aBiDAnAt ca iti sidDAntayati idam iti /
   nanvatra vividiṣantīti pañcamalakāreṇa vividiṣāṃ bhāvayeyuriti	nanu atra vividizanti iti paQca malakAreNa vividizAm BAvayeyuH iti
   sanarthecchaiva bhāvyatayā bhāti /	sanarTa icCA eva BAvya tayA BAti /
   tāṃ viṣayasaundaryalabhyatayollaṅghya vedanaṃ cedbhāvyamucyate tarhi	tAm vizaya sOndarI alaBya tayA ullaFGya vedanam ced BAvyam ucyate tarhi
   vedanamapyullaṅghya tatphalaṃ mokṣa eva karmabhirbhāvyaḥ kiṃ na syādityata	vedanam api ullaFGya tad Palam mokzaH eva karmaBiH BAvyaH kim na syAt iti ata
   āha vividiṣāsaṃyogācceti /	Aha vividizA saMyogAt ca iti /
   iṣyamāṇatayā vidyāyāḥ śabdataḥ phalatvabhānādaśrutamokṣo na phalamanyathā	izyamANa tayA vidyAyAH SabdataH Pala tva BAnAt aSruta mokzaH na Palam anyaTA
   kāṣṭhaiḥ pacatītyatrāpi kāṣṭhānāṃ pākaphalatṛptihetutvaprasaṅgāditi bhāvaḥ	kAzWEH pacati iti atra api kAzWAnAm pAka Pala tRpti hetu tva prasaFgAt iti BAvaH
   karmaṇāṃ jñānārthatve liṅgavākyānyāha athetyādinā /	karmaNAm jQAna arTa tve liFga vAkyAni Aha aTa ityAdinA /
   kaścidvedabhāgaḥ sākṣādbrahmākhyaṃ padaṃ brūte /	kaScid veda BAgaH sAkzAt brahma AKyam padam brUte /
   kaścittu jñānārthakarmadvāreti matvā sarve vedāntā ityuktam /	kaScid tu jQAna arTa karma dvAra iti matvA sarve vedAntAH iti uktam /
   spaṣṭamanyat //26//	spazwam anyat //26//
   END BsRp_3,4.6.26	END BsRp _3,4.6.26
   START BsRp_3,4.6.27ḥ	START BsRp _3,4.6.27H
   śamadamādyupetas syāt tathāpi tu tadvidhes tadaṅgatayā teṣām apy	Sama dama Adi upetaH syAt taTA api tu tadviDeH tad aFga tayA tezAm api 
   avaśyānuṣṭheyatvāt | BBs_3,4.27 |	avaSya anuzWeya tvAt | BBH _3,4.27 |
   evaṃ vidyotpattau bahiraṅgāni karmāṇyuktvāntaraṅgaṇyāha śameti /	evam vidyA utpattO bahis aFgAni karmANi uktvA antaraFgaNya aha Sama iti /
   vidyāstutyarthatvenaikavākyatvasaṃbhave vartamānoktibhaṅgena	vidyA stuti arTa tvena eka vAkya tva saMBave vartamAna ukti BaFgena
   vidhikalpanamayuktaṃ vidyāvākyādbhedaprasaṅgāt /	viDi kalpanam a yuktam vidyA vAkyAt Beda prasaFgAt /
   atastattvamasīti śabdamātralabhyā vidyeti	atas tat tvam asi iti Sabda mAtra laByA vidyA iti
   parābhiprāyamanūdyāṅgīkaroti tathāpi tviti /	para aBiprAya manUdya aFgIkaroti taTA api tu iti /
   śamāderāvaśyakatvānna śabdamātralabhyā vidyetyarthaḥ yasmādevaṃvinna	Sama AdeH AvaSyaka tvAt na Sabda mAtra laByA vidyA iti arTaH yasmAt evaMvid na
   lipyate karmaṇā pāpakena tasmādeva vidyārthī śamādyupeto bhūtvā	lipyate karmaNA pApakena tasmAt eva vidyA arTI Sama Adi upetaH BUtvA
   vicārayediti vidhirgamyata ityāha neti brūma iti /	vicArayet iti viDiH gamyate iti Aha nA iti brUmaH iti /
   atroparatapadena saṃnyāsa uktastasya śravaṇāṅgatvamate	atra uparata padena saMnyAse uktaH tasya SravaNa aFga tva mate
   śamādiviśiṣṭaśravaṇamatra vidhīyate /	Sama Adi viSizwa SravaNam atra viDIyate /
   yadi tu 'lokamicchantaḥ pravrajanti', 'jñānaṃ puraskṛtya saṃnyaset'ityādi	yadi tu alokam icCantaH pravrajanti a, ajQAnam puraskRtya saMnyaset aityAdi
   śrutismṛtiṣu phalavattvenotpannasaṃnyāsasyāṅgatvāyogāt, śrotavya iti	Sruti smRtizu Palavat tvena utpanna saMnyAsasya aFga tva ayoga at, SrotavyaH iti
   vihitaśravaṇānuvādenānekaśamādividhāne vākyabhedāpātāt, paśyediti ca	vihita SravaNa anuvAdena aneka Sama Adi viDAne vAkya Beda apAtAt, paSyet iti ca
   prakṛtyā śravaṇalakṣaṇādoṣācca saṃnyāso na śravaṇasyāṅgaṃ kintu tataḥ	prakRtyA SravaNa lakzaNA dozAt ca saMnyAsaH na SravaNasya aFgam kintu tatas 
   prāganuṣṭhoyatve 'pi śravaṇavajjñānārtha iti mataṃ tadā śamādisamuccayena	prAc anuzWoya tve api SravaNa vat jQAna arTaH iti matam tadA Sama Adi samuccayena
   jñānaṃ bhāvayediti jñānārthaṃ śamādisamuccayavidhirityanavadyam /	jQAnam BAvayet iti jQAna arTam Sama Adi samuccaya viDiH iti anavadyam /
   yaḥ pūrvaṃ yajñādiśruteḥ stutyarthatvāṅgīkāraḥ āpātato guḍajihvikānyāyena	yaH pUrvam yajQa Adi SruteH stuti arTa tva aFgIkAraH ApAtataH guxa jihvikA nyAyena
   śamādisvīkārārthaṃ kṛtastamidānīṃ tyajati yajñādīnyapīti /	Sama Adi svIkAra arTam kRtaH tam idAnIm tyajati yajQa AdIni api iti /
   yajñādīnāṃ vidyāsādhanatvarūpasaṃyogasyāpūrvatvādavāntaravākyabhedena	yajQa AdInAm vidyA sADana tva rUpa saMyogasya apUrva tvAt avAntara vAkya Bedena
   vidhiḥ svīkriyata /	viDiH svIkriyata /
   brahmavidyāvākyena mahāvākyaikavākyatā cetyarthaḥ /	brahma vidyA vAkyena mahA vAkya eka vAkya tA ca iti arTaH /
   paramaprakaraṇe 'pyavāntaravidhirityatra	parama prakaraNe api avAntara viDiH iti atra
   pūrvatantrasaṃmatimāha tasmātpūṣeti /	pUrva tantra saMmatim Aha tasmAt pUzA iti /
   darśapūrṇamāsaprakaraṇe śrutaṃ pūṣā prapiṣṭabhāga iti /	darSa pUrNamAsa prakaraNe Srutam pUzA prapizwa BAgaH iti /
   tatra pūṣā devatā piṣṭabhāgo vā darśapūrmamāsayornāsti /	tatra pUzA devatA pizwa BAgaH vA darSa pUrma mAsayoH na asti /
   ataḥ samāsātpratītasya kālatrayānavamṛṣṭasya	atas samAsAt pratItasya kAla trayAn avamRzwasya
   dravyadevatāsaṃbandhasyāvinābhāvena yāgavidhyupasthāpakatvāt	dravya devatA saMbanDasya avinA BAvena yAga viDi upasTApaka tvAt
   prayogajñānāya vidhipadamadhyāhṛtya prakaraṇādutkarṣeṇa pūṣoddeśena	prayoga jQAnAya viDi padam aDyAhRtya prakaraNAt utkarzeNa pUzA uddeSena
   piṣṭabhāgaḥ kartavya iti vikṛtau saṃbandhaḥ /	pizwa BAgaH kartavyaH iti vikRtO saMbanDaH /
   pauṣṇaṃ peṣaṇamiti sūtre vicāritamityarthaḥ /	pOzNam pezaNam iti sUtre vicAritam iti arTaH /
   'svakarmaṇā tamabhyarcya siddhiṃ vindati mānavaḥ'ityādyāḥ smṛtyaḥ /	asva karmaNA tam aByarcya sidDim vindati mAnavaH aitya AdyAH smRtyaH /
   karmaṇāṃ jñānahetutve śamādivadyāvajjñānodayamanuvṛttiḥ syāttathāca	karmaNAm jQAna hetu tve Sama Adi vat yAvat jQAna udayam anuvRttiH syAt taTA ca
   saṃnyāsābhāva ityata āha tatrāpīti /	saMnyAsa aBAvaH iti atas Aha tatra api iti /
   dṛṣṭavikṣepanivṛttidvārā śamādīnāṃ śānārthatvādanuvṛttirna	dRzwa vikzepa nivRtti dvArA Sama AdInAm SAna arTa tvAt anuvRttiH na
   karmaṇāmadṛṣṭadvārā jñānārthatvāditi bhāvaḥ //27//	karmaNA Am adRzwa dvArA jQAna arTa tvAt iti BAvaH //27//
   END BsRp_3,4.6.27	END BsRp _3,4.6.27
   START BsRp_3,4.7.28 29ḥ	START BsRp _3,4.7.28 29H
   sarvān nānumatiś ca prāṇātyaye taddarśanāt | BBs_3,4.28 |	sarvAn na anumatiH ca prANa atyaye tad darSanAt | BBH _3,4.28 |
   abādhāc ca | BBs_3,4.29 |	abADAt ca | BBH _3,4.29 |
   sarvānnānumatiḥevaṃvidi prāṇasyānnaṃ sarvamiti dhyānavatītyarthaḥ /	sarvAn na anumatiH evaMvidi prANasya annam sarvam iti DyAnavatI iti arTaH /
   jagdhaṃ bhakṣitam /	jagDam Bakzitam /
   apūrvatvādvidhyaśruteśca saṃśayaḥ /	apUrva tvAt viDi a SruteH ca saMSayaH /
   apūrvatvādyajñādivadvidhiḥ kalpya iti iti pūrvapakṣayati vidhiriti /	apUrva tvAt yajQa Adi vat viDiH kalpyaH iti iti pUrva pakzayati  viDiH iti /
   atra bhakṣyābhakṣyaniyamatyāgasya vidyāṅgatvasiddhiḥ phalaṃ siddhānte tu	atra Bakzya aBakzya niyama tyAgasya vidyA aFga tva sidDiH Palam sidDAnte tu
   vidyāstutiriti vivekaḥ /	vidyA stutiH iti vivekaH /
   na kalañjaṃ bhakṣyediti śāstraṃ prāṇavidvyatiriktaviṣayam /	na kalaQjam Bakzyet iti SAstram prANa vid vyatirikta vizayam /
   yathā grāmyakarmaṇi vāmadevyasāmopāsakavyatiriktaviṣayaṃ	yaTA grAmya karmaNi vAmadevya sAma upAsaka vyatirikta vizayam
   parastrīniṣedhaśāstraṃ tadvaditi prāpte siddhāntaṃ sūtrādbahireva	para strI nizeDa SAstram tadvat iti prApte sidDAntam sUtrAt bahis eva
   darśayati nedamiti /	darSayati nedam iti /
   prāṇavidyāvidhisaṃnidheraśakyatvācca stutireva na vidhiḥ kalpyaḥ	prANa vidyA viDi saMniDeH a Sakya tvAt ca stutiH eva na viDiH kalpyaH
   niṣedhaśāstravirodhāt kḷpto hi vidhiḥ sāmānyaśāstrabādhako natu kalpya iti	nizeDa SAstra viroDAt k?ptaH hi viDiH sAmAnya SAstra bADakaH na tu kalpyaH iti
   bhāvaḥ /	BAvaH /
   svasthasya prāṇavido na sarvānnānumatirityatra liṅgaṃ vadan sūtraṃ	svasTasya prANa vidaH na sarvAn na anumatiH iti atra liFgam vadan sUtram
   yojayati taddarśayatīti /	yojayati tat darSayati iti /
   maṭacyo raktakṣudrapakṣiṇastairhateṣu kurudeśasthasasyeṣu durbhikṣe jāte	mawacyaH rakta kzudra pakziNaH tEH hatezu kuru deSa sTa sasyezu durBikze jAte
   bālayā saha jāyayā munirdeśāntaraṃ gacchannibhyāgrāme sthitavānibhyo	bAlayA saha jAyayA muniH deSa antaram gacCan= iByA grAme sTita vAn iByaH 
   hastipālakastena sāmikhāditānardhabhakṣitān kutsitamāṣān yācayitvā	hastipAlakaH tena sAmiKAditAn arDa BakzitAn kutsita mAzAn yAcayitvA
   bhakṣitavān /	BakzitavAn /
   ibhvena jalaṃ gṛhāṇetyukte satyucchiṣṭaṃ vai me pītaṃ syāditi pratiṣidhya	iBvena jalam gRhANa iti ukte sati ucCizwam vE me pItam syAt iti pratiziDya
   māṣāḥ kiṃ nocchiṣṭā itībhyenokte sati māṣabhakṣaṇe jalatyāge ca	mAzAH kim na ucCizwAH iti iByena ukte sati mAza BakzaNe jala tyAge ca
   kāraṇamuvāca /	kAraNam uvAca /
   annāṃśe mama āpadasti /	anna aMSe mama Apad asti /
   jalapānaṃ tu svecchātastaḍāgādau labhyata iti māṣān	jala pAnam tu svecCAtaH taxAga AdO laByate iti mAzAn
   khāditvāvaśiṣṭāñjāyāyai dattavān /	KAditvA avaSizwAn jAyAyE dattavAn /
   sā cānāpadgatā patyurāpadaṃ jñātvā māṣānsaṃrakṣya prātastasmai dadau /	sA ca anApad gatA patyuH Apadam jQAtvA mAzAn saMrakzya prAtar tasmE dadO /
   sa ca tān khāditvā rājño yajñaṃ gatvā prastotrādīnākṣipya prāṇādikāṃ	sa ca tAn KAditvA rAjQaH yajQam gatvA prastotra AdIn Akzipya prANa AdikAm
   prāstāvādidevatāmupadīśya dhanaṃ prāpya sthita iti bhāvaḥ /	prAstO= Adi devatAm upadISya Danam prApya sTitaH iti BAvaH /
   atrocchiṣṭabhakṣaṇajalatyāgātmakaśiṣṭācāraliṅgācchrautādanāpadi	atra ucCizwa BakzaNa jala tyAga Atmaka Sizwa AcAra liFgAt SrOtAt ana Apadi
   viduṣāpyabhakṣyaṃ na bhakṣaṇīyamiti sūcyata iti bhāvaḥ //28 // //29//	viduzA api aBakzyam na BakzaNIyam iti sUcyate iti BAvaH //28 // //29//
   END BsRp_3,4.7.28 29	END BsRp _3,4.7.28 29
   START BsRp_3,4.7.30ḥ	START BsRp _3,4.7.30H
   api ca smaryate | BBs_3,4.30 |	api ca smaryate | BBH _3,4.30 |
   surāpānenāpi jīvanamāśaṅkya kadāpi tanna kāryamityāha tathā madyaṃ nityaṃ	surA pAnena api jIvanam ASaFkya kadApi tat na kAryam iti Aha  taTA madyam nityam
   brahmaṇa iti /	brahmaNaH iti /
   varjayoditi śeṣaḥ /	varjaya uditi SezaH /
   kuta ityāśaṅkya maraṇāntaprāyaścittavidhānādityāha surāpasyeti /	kutas iti ASaFkya maraNa anta prAyaH citta viDAna At iti a aha  surApasya iti /
   uṣṇāmatitaptāṃ surāmiti śeṣaḥ /	uzNAm ati taptAm surAm iti SezaH /
   itaśca sā na peyetyāha surāpā iti //30//	itas ca sA na peyA iti Aha  surApAH iti //30//
   END BsRp_3,4.7.30	END BsRp _3,4.7.30
   START BsRp_3,4.7.31ḥ	START BsRp _3,4.7.31H
   śabdaś cāto 'kāmakāre | BBs_3,4.31 |	SabdaH ca atas akAmakAre | BBH _3,4.31 |
   udāhṛtasmṛtīnāṃ mūlaśrutimāha śabdaśceti /	udAhRta smRtInAm mUla Sruti mAha  SabdaH ca iti /
   kāmakāro yatheṣṭapravṛttiḥ so 'pi niṣedho 'pi upapannataro bhavati /	kAmakAraH yaTezwa pravRttiH saH api nizeDaH api upapannataraH Bavati /
   na ha vā evaṃvidītyasyārthavādatvāt /	na ha vE evaMvidIti asya arTa vAda tvAt /
   yadyayamapi vidhiḥ syāttarhi	yadi ayam api viDiH syAt tarhi
   vihitapratiṣiddhatvātṣoḍaśigrahaṇāgrahaṇavatsurāpāne vikalpaḥ syātsa ca	vihita pratizidDa tvAt zoxa SigrahaNa agrahaNa vat surA pAne vikalpaH syAt sa ca
   sarvasmṛtibhiḥ śiṣṭācāreṇa ca viruddha iti tātparyārthaḥ //31//	sarva smRtiBiH Sizwa AcAreNa ca virudDaH iti tAtparya arTaH //31//
   END BsRp_3,4.7.31	END BsRp _3,4.7.31
   START BsRp_3,4.8.32ḥ	START BsRp _3,4.8.32H
   vihitatvāc cāśramakarmāpi | BBs_3,4.32 |	vihita tvAt ca ASrama karma api | BBH _3,4.32 |
   vihitatvāccāśramakarmāpi /	vihita tvAt ca ASrama karma api /
   nityāgnihotrādikarmasu vihitatvādviniyuktaviniyogavirodhācca saṃśaye	nitya agnihotra Adi karmasu vihita tvAt viniyukta viniyoga viroDAt ca saMSaye
   śāstrāntaravirodhātsarvānnatvokteḥ	SAstra antara viroDAt sarvAn natva ukteH
   stutitvavannityaviniyuktatvaśrutivirodhādvividiṣāyāṃ viniyogaśruteḥ	stuti tva vat nitya viniyukta tva Sruti viroDAt vividizAyAm viniyoga SruteH
   stutitvamiti pūrvapakṣamāha tatreti /	stutitvam iti pUrva pakzam Aha tatra iti /
   jñānakāmanayānuṣṭhāne karmaṇāmanityatvamanāvaśyakatvam /	jQAna kAmanaya anuzWAne karmaNAm anitya tvam anAvaSyaka tvam /
   tasyā anityatvādyāvajjīvādividhinā tu nityatvaṃ ceti	tasyAH anitya tvAt yAvat jIva Adi viDinA tu nitya tvam ca iti
   viruddhadharmadvayāpātādvividiṣāśruteḥ stutitvamiti phalaṃ pūrvapakṣe /	virudDa Darma dvaya ApAtAt vividizA SruteH stutitvam iti Palam pUrva pakze /
   siddhānte tūbhayathānuṣṭhānaṃ phalam //32//	sidDAnte tu uBa yaTa anuzWAnam Palam //32//
   END BsRp_3,4.8.32	END BsRp _3,4.8.32
   START BsRp_3,4.8.33ḥ	START BsRp _3,4.8.33H
   sahakāritvena ca | BBs_3,4.33 |	sahakAri tvena ca | BBH _3,4.33 |
   saha militvā śuddhidvārā vidyāṃ kurvantīti sahakārīṇi karmāṇi /	saha militvA SudDi dvArAH vidyAm kurvanti iti saha kArINi karmANi /
   teṣāṃ bhāvastatvaṃ tenetyarthaḥ /	tezAm BAvaH tatvam tena iti arTaH /
   vidyayā saha phalakāritvaṃ sahakāripadātprāptaṃ nirasyati nacedamiti /	vidyayA saha PalakAri tvam saha kAri padAt prAptam nirasyati naca idam iti /
   vidyāyā avihitatvānnāṅgapekṣāsti /	vidyAyAH avihita tvAt na aFga pekzA asti /
   ato vihitāni karmāṇi avihitāyā na sahakāryaṅgāni mokṣasyāsādhyatvācca na	atas vihitAni karmANi avihitAyAH na saha kAri aFgAni mokzasya asADya tvAt ca na
   karmāṇāṃ sahakāritvasaṃbhava ityarthaḥ /	karmANAm sahakAri tva saMBavaH iti arTaH /
   tulyabalaśrutidvayena viniyogapṛthaktvaṃ saṃyogabhedastato na virodhaḥ /	tulya bala Sruti dvayena viniyoga pRTaktvam saMyoga BedaH tatas na viroDaH /
   kāmanāyā anityatve 'pi karmaṇāṃ nānityatvaṃ nityavidhinā prayogasya	kAmanAyAH anitya tve api karmaNAm na anitya tvam nitya viDinA prayogasya
   nityatvāt /	nitya tvAt /
   satyāṃ kāmanāyāṃ kāmyaprayogenaiva nityatvasiddherna kaścidvirodhaḥ /	satyAm kAmanAyAm kAmya prayogena eva nitya tva sidDeH na kaScid viroDaH /
   idañca 'ekasya tūbhayatve saṃyogapṛthaktvam'iti sūtre cintitam /	idaQca aekasya tu uBaya tve saMyoga pRTaktvam aiti sUtre cintitam /
   yathā 'khādiro yūpo bhavati'iti śrutyā khādiratvasya kratvarthatā khādiraṃ	yaTA aKAdiraH yUpaH Bavati aiti SrutyA KAdira tvasya kratu arTa tA KAdiram
   vīryakāmasyeti śrutyā puruṣārthatā ceti /	vIrya kAmasya iti SrutyA puruza arTa tA ca iti /
   ataḥ sati vākyadvaye viniyuktaviniyogo na virudhyata ityarthaḥ //33//	atas sati vAkya dvaye viniyukta viniyogaH na viruDyate iti arTaH //33//
   END BsRp_3,4.8.33	END BsRp _3,4.8.33
   START BsRp_3,4.8.34ḥ	START BsRp _3,4.8.34H
   sarvathāpi ta evobhayaliṅgāt | BBs_3,4.34 |	sarvaTA api te eva uBaya liFgAt | BBH _3,4.34 |
   nanu nityāgnihotrādibhyo bhinnā evāpūyarvajñādayo vividiṣāyāṃ	nanu nitya agnihotra AdiByaH BinnAH eva apUyarva jQa AdayaH vividizAyAm
   viniyujyantāṃ tatra kuto viniyuktaviniyogastatrāha sarvathāpīti /	viniyujyantAm tatra kutas viniyukta viniyogaH tatra aha sarvaTA api iti /
   nityatve kāmyatve cetyarthaḥ /	nitya tve kAmya tve ca iti arTaH /
   kuṇḍapāyināmayane māsamagnihotraṃ juhvatītyākhyātasya	kuNxapAyinAm ayane mAsam agnihotram juhvati iti AKyAtasya
   sādhyahomavācitvāttadekārthakāgnihotrapadasya	sADya homa vAci tvAt tad eka arTaka agnihotra padasya
   vyavahitasiddhāgnihotraparāmarśakatvāyogānmāsaguṇaviśiṣṭaṃ karmāntaraṃ	vyavahita sidDa agnihotra parAmarSaka tva ayogAt mAsa guNa viSizwam karma antaram
   vidhīyata iti yuktamiha tu yajñenetyādi	viDIyate iti yuktam iha tu yajQena ityAdi
