   sāṅkhyakārikā gauḍapādabhāṣya	sAFKya-kArikAH gOxa-pAda-BAzya
   puruṣaḥ kartteva bhavati na karttā / atra dṛṣṭānto bhavati	puruzaH karttA-iva Bavati na karttA / atra dRzwAntaH Bavati
   yathācauraścauraiḥ saha gṛhītaścaura ityavagamyata evaṃ trayo guṇāḥ	yaTA-cOraH-cOrEH saha gRhItaH-cOraH iti-avagamyate evam trayaH guNAH
   karttārastaiḥ saṃyuktaḥ puruṣo 'karttāpi karttā bhavati karttṛsaṃyogāt /	karttAraH-tEH saMyuktaH puruzaH akarttA-api karttA Bavati karttR-saMyogAt /
   evaṃ vyaktāvyaktajñānāṃ vibhāgo vikhyāto yadvibhāgānmokṣaprāptiriti // 20	evam vyakta-avyakta-jQAnAm viBAgaH viKyAtaH yad-viBAgAt-mokza-prAptiH-iti // 20
   athaitayoḥ pradhānapuruṣayoḥ kiṃ hetuḥ saṃghāta ucyate /	aTa-etayoH praDAna-puruzayoH kim hetuH saMGAtaH ucyate /
   puruṣasya darśanārthaṃ kaivalyārthaṃ tathā pradhānasya /	puruzasya darSana-arTam kEvalya-arTam taTA praDAnasya /
   paṅgvandhavadubhayorapi saṃyogastatkṛtaḥ sargaḥ // ISk_21 //	paFgu-anDavat-uBayoH-api saMyogaH-tad-kRtaH sargaH // ISc-_21 //
   puruṣasya pradhānena saha saṃyogo darśanārthaṃ prakṛtiṃ	puruzasya praDAnena saha saMyogaH darSana-arTam prakRtim
   mahadādikāryabhūtaparyantaṃ puruṣaḥ paśyati etadarthaṃ pradhānasyāpi	mahat-Adi-kArya-BUta-paryantam puruzaH paSyati etad-arTam praDAnasya-api
   puruṣeṇa saṃyogaḥ / kaivalyārthaṃ sa ca saṃyogaḥ paṅgvandhavadubhayorapi	puruzeNa saMyogaH / kEvalya-arTam sa ca saMyogaH paFgu-anDavat-uBayoH-api
   draṣṭavyaḥ yathā ekaḥ paṅgurekaścāndha etau dvāvapi gacchantau mahatā	drazwavyaH yaTA ekaH paFguH-ekaH-ca-anDaH etO dvO=-api gacCantO mahatA
   sāmarthyenāṭavyāṃ sārthasya stenakṛtādupaplavāt svabandhuparityakto	sAmarTyena-awavyAm sArTasya stena-kRtAt-upaplavAt sva-banDu-parityaktaH-
   daivāditaśceruśca svagatyā ca tau saṃyogamupayātau punastayoḥ svavacaso	dEva-At-itas-ceruH-ca sva-gatyA ca tO saMyogam-upayAtO punar-tayoH sva-vacaso
   viśvastatvena saṃyogo gamanārthaṃ darśanārthaṃ ca bhavatyandhena paṃguḥ	viSvasta-tvena saMyogaH gamana-arTam darSana-arTam ca Bavati-anDena paMguH
   skandhamāropitaḥ evaṃ śarīrārūḍhapaṃgudarśitena mārgeṇāndho yāti	skanDam-AropitaH evam SarIra-ArUXa-paMgu-darSitena mArgeNa-anDaH yAti
   paṃguścāndhaskandhārūḍhaḥ / evaṃ puruṣe darśanaśaktirasti paṃguvannakriyā	paMguH-ca-anDa-skanDa-ArUXaH / evam puruze darSana-SaktiH-asti paMgu-vanna-kriyA
   pradhāne kriyāśaktirastyandhavannadarśanaśaktiḥ / yathā vānayoḥ	praDAne kriyASaktiH-asti-anDa-vanna-darSana-SaktiH / yaTA vA-anayoH
   paṃgvandhayoḥ kṛtārthayorvibhāgo bhaviṣyatīpsitasthānaprāptayorevaṃ	paMgu-anDayoH kRtArTayoH-viBAgaH Bavizyati-Ipsita-sTAna-prAptayoH-evam
   pradhānamapi puruṣasya mokṣaṃ kṛtvā nivarttate puruṣo 'pi pradhānaṃ dṛṣṭvā	praDAnam-api puruzasya mokzam kRtvA nivarttate puruzaH api praDAnam dRzwvA
   kaivalyaṃ gacchati tayoḥ kṛtārthayorvibhāgo bhaviṣyati / kiṃ cānyat	kEvalyam gacCati tayoH kRtArTayoH-viBAgaH Bavizyati / kim ca-anyat-
   tatkṛtaḥ sargastena saṃyogena kṛtastatkṛtaḥ sargaḥ sṛṣṭiḥ / yathā strī	tad-kRtaH sargaH-tena saMyogena kRtaH-tad-kRtaH sargaH sRzwiH / yaTA strI
   puruṣasaṃyogāt sutotpattistataḥ pradhānapuruṣasaṃyogāt sargasyotpattiḥ //	puruza-saMyogAt suta-utpattiH-tatas praDAna-puruza-saMyogAt sargasya-utpattiH //
   idānīṃ sarvavibhāgadarśanārthamāha /	idAnIm sarva-viBAga-darSana-arTam-Aha /
   prakṛtermahāṃstato 'haṅkārastasmādgaṇaśca ṣoḍaśakaḥ /	prakRteH-mahAn=-tatas ahaFkAraH-tasmAt-gaNaH-ca zoxaSakaH /
   tasmādapi ṣoḍaśakātpañcabhyaḥ pañca bhūtāni // ISk_22 //	tasmAt-api zoxaSakAt-paQcaByaH paQca BUtAni // ISc-_22 //
   prakṛtiḥ pradhānaṃ brahma avyaktaṃ bahudhānakaṃ māyeti paryāyāḥ /	prakRtiH praDAnam brahma avyaktam bahu-DAnakam mAyA-iti paryAyAH /
   aliṅgasyāḥ prakṛteḥ sakāśānmahānutpadyate mahān buddhirāsurī matiḥ	aliFgasyAH prakRteH sakASAt-mahAn-utpadyate mahAn budDiH-AsurI matiH
   khyātirjñānaṃ prajñāparyāyairutpadyate tasmācca mahato 'haṃkāra utpadyate	KyAtiH-jQAnam prajQA-paryAyEH-utpadyate tasmAt-ca mahataH ahaMkAraH utpadyate
   'haṃkāro bhūtādivaikṛtastaijaso 'bhimāna iti paryāyāḥ tasmādgaṇaśca	ahaMkAraH BUta-Adi-vEkRtaH-tEjasaH aBimAnaH iti paryAyAH tasmAt-gaNaH-ca
   ṣoḍaśakaḥ tasmādahaṃkārācchoḍaśakaḥ ṣoḍaśasvarūpeṇa guṇa utpadyate / sa	zoxaSakaH tasmAt-ahaMkArAt-SoxaSakaH zoxaSa-svarUpeNa guNaH utpadyate / sa
   yathā / pañcatanmātrāṇi śabdatanmātraṃ sparśatanmātraṃ rupatanmātraṃ	yaTA / paQca-tanmAtrANi Sabda-tanmAtram sparSa-tanmAtram rupa-tanmAtram
   rasatanmātraṃ gandhatanmātramiti / tanmātrasūkṣmaparyāyavācyāni / tata	rasa-tanmAtram ganDa-tanmAtram-iti / tanmAtra-sUkzma-paryAya-vAcyAni / tata
   ekādaśendriyāṇi śrotraṃ tvak cakṣuṣī jihvā ghrāṇamiti pañca buddhīndriyāṇi	ekAdaSa-indriyANi Srotram tvac cakzuzI jihvA GrANam-iti paQca budDIndriyANi
   / vākpāṇipādapāyūpasthāḥ pañcakarmendriyāṇyubhayātmakamekādaśaṃ mana eṣa	/ vAc-pANi-pAda-pAyu-upasTAH paQcakarmendriyANi-uBaya-Atmakam-ekAdaSam manaH eza
   ṣoḍaśako gaṇo 'haṃkārādutpadyate / kiṃca pañcabhyaḥ pañca bhūtāni	zoxaSakaH gaNaH ahaMkArAt-utpadyate / kiMca paQcaByaH paQca BUtAni
   tasmācchoḍaśakādgaṇāt pañcabhyastanmātrebhyaḥ sakāśāt pañca vai	tasmAt-SoxaSakAt-gaNAt paQcaByaH-tanmAtreByaH sakASAt paQca vE
   mahābhūtānyutpadyante / yaduktaṃ śabdatanmātrādākāśaṃ sparśatanmātrādvāyuḥ	mahABUtAni-utpadyante / yat-uktam Sabda-tanmAtrAt-AkASam sparSa-tanmAtrAt-vAyuH
   rūpatanmātrāttejaḥ rasatanmātrādāpaḥ gandhatanmātrāt pṛthivī evaṃ	rUpa-tanmAtrAt-tejaH rasa-tanmAtrAt-ApaH ganDa-tanmAtrAt pRTivI evam
   pañcabhyaḥ paramāṇubhyaḥ pañcamahābhūtānyutpadyante // 22 //	paQcaByaH paramANuByaH paQca-mahABUtAni-utpadyante // 22 //
   yaduktaṃ vyaktāvyaktajñavijñānānmokṣa iti tatra mahadādibhūtāntaṃ	yat-uktam vyakta-avyakta-jQa-vijQAnAt-mokzaH iti tatra mahat-Adi-BUta-antam
   trayoviṃśatibhedaṃ vyākhyātamavyaktamapi bhedānāṃ parimāṇādityādinā	trayoviMSati-Bedam vyAKyAtam-avyaktam-api BedAnAm parimANAt-itya-AdinA
   vyākhyātaṃ puruṣo 'pi saṃghātaparārthatvādityādibhirhetubhirvyākhyātaḥ /	vyAKyAtam puruzaH api saMGAta-para-arTa-tvAt-ityAdiBiH-hetuBiH-vyAKyAtaH /
   evametāni pañcaviṃśatitattvāni yastrailokyaṃ vyāptaṃ jānāti tasya bhāvo	evam-etAni paQcaviMSati-tattvAni yaH-trElokyam vyAptam jAnAti tasya BAvaH-
   'stitvaṃ tattvaṃ yathoktam /	astitvam tattvam yaToktam /
        pañcaviṃśatitattvajño yatra tatrāśrame rataḥ /	paQcaviMSati-tattva-jQaH yatra tatra-ASrame rataH /
        jaṭī muṇḍī śikhī vāpi mucyate nātra saṃśayaḥ /	jawI muNxI SiKI vA-api mucyate na-atra saMSayaH /
   tāni yathā prakṛtiḥ puruṣo buddhirahaṃkāraḥ pañcatanmātrā ekādaśendriyāṇi	tAni yaTA prakRtiH puruzaH budDiH-ahaMkAraH paQca-tanmAtrAH ekAdaSa-indriyANi
   pañcamahābhūtāni ityetāni pañcaviṃśatitattvāni / tatroktaṃ	paQca-mahABUtAni iti-etAni paQcaviMSati-tattvAni / tatra-uktam
   prakṛtermahānutpadyate tasya mahataḥ kiṃ lakṣaṇamityetadāha /	prakRteH-mahAn-utpadyate tasya mahataH kim lakzaNam-iti-etat-Aha /
   adhyavasāyo buddhirdharmo jñānaṃ virāga aiśvaryam /	aDyavasAyaH budDiH-DarmaH jQAnam virAga ESvaryam /
   sāttvikametadrūpaṃ tāmasamasmādviparyastam // ISk_23 //	sAttvikam-etat-rUpam tAmasam-asmAt-viparyastam // ISc-_23 //
   adhyavasāyo buddhilakṣaṇam / adhyavasanamadhyavasāyaḥ yathā bīje	aDyavasAyaH budDi-lakzaNam / aDyavasana-maDyavasAyaH yaTA bIje
   bhaviṣyadvṛttiko 'ṅkurastadvadadhyavasāyo 'yaṃ ghaṭo 'yaṃ paṭa ityevaṃ	Bavizyat-vRttikaH aFkuraH-tadvat-aDyavasAyaH ayam GawaH ayam pawaH iti-evam
   syati yā sā buddhiriti lakṣyate sā ca buddhiraṣṭāṅgikā	syati yA sA budDiH-iti lakzyate sA ca budDiH-azwa-aFgikA
   sāttvikatāmasarūpabhedāt tatra buddheḥ sāttvikaṃ rūpaṃ caturvidhaṃ bhavati	sAttvika-tAmasa-rUpa-BedAt tatra budDeH sAttvikam rUpam caturviDam Bavati
   dharmo jñānaṃ vairāgyamaiśvaryaṃ ceti tatra dharmo nāma	DarmaH jQAnam vErAgyam-ESvaryam ca-iti tatra DarmaH nAma
   dayādānayamaniyamalakṣaṇastatra yamā niyamāśca pātañjale 'bhihitā	dayA-dAna-yama-niyama-lakzaNaH-tatra yamAH niyamAH-ca pAtaQjale aBihitA
   ahiṃsāsatyāsteyabrahmacaryāparigrahā yamāḥ	ahiMsA-satya-asteya-brahmacarya-aparigrahAH yamAH
   śaucasaṃtoṣatapaḥsvādhyāyeśvarapraṇidhā niyamāḥ / jñānaṃ prakāśo 'vagamo	SOca-saMtoza-tapaH-svADyAya-ISvara-praNiDAH niyamAH / jQAnam prakASaH avagamaH-
   bhānamiti paryāyāstacca dvividhaṃ bāhyamābhyantaraṃ ceti tatra bāhyaṃ nāma	BAnam-iti paryAyAH-tat-ca dviviDam bAhyam-AByantaram ca-iti tatra bAhyam nAma
   vedāḥ śikṣā kalpo vyākaraṇaṃ niruktaṃ chandojyotiṣākhyaṣaḍaṅgasahitāḥ	vedAH SikzA kalpaH vyAkaraNam niruktam CandaH-jyotiza-AKya-zaxaFga-sahitAH
   purāṇāni nyāyamīmāṃsādharmaśāstrāṇi ceti / ābhyantaraṃ	purANAni nyAya-mImAMsA-Darma-SAstrANi ca-iti / AByantaram
   prakṛtipuruṣajñānamiyaṃ prakṛtiḥ sattvarajastamasāṃ sāmyāvasthāyaṃ puruṣaḥ	prakRti-puruza-jQAnam-iyam prakRtiH sattva-rajaH-tamasAm sAmya-avasTA-ayam puruzaH
   siddho nirguṇovyāpī cetana iti / tatra bāhyajñānena lokapaṃktirlokānurāga	sidDaH nirguNaH-vyApI cetanaH iti / tatra bAhya-jQAnena loka-paMktiH-loka-anurAga
   ityarthaḥ / ābhyantareṇa jñānena mokṣa ityarthaḥ vairāgyamapi dvividhaṃ	iti-arTaH / AByantareNa jQAnena mokzaH iti-arTaH vErAgyam-api dviviDam
   bāhyamābhyantaraṃ ca bāhyaṃ	bAhyam-AByantaram ca bAhyam
   dṛṣṭaviṣayavaitṛṣṇyamarjanarakṣaṇakṣayasaṃgahiṃsādoṣadarśanāt	dRzwa-vizaya-vEtRzNyam-arjana-rakzaNa-kzaya-saMga-hiMsA-doza-darSanAt
   viraktasyābhyantaraṃ pradhānamapyatra svapnendrajālasadṛśamiti viraktasya	viraktasya-aByantaram praDAnam-api-atra svapna-indrajAla-sadRSam-iti viraktasya
   gokṣepsoryadutpadyate tadābhyantaraṃ vairāgyam /	gokza-IpsoH-yat-utpadyate tadA-aByantaram vErAgyam /
   aiśvaryamīśvarabhāvastaccāṣṭaguṇamaṇimā mahimā garimā laghimā prāptiḥ	ESvaryam-ISvara-BAvaH-tat-ca-azwaguNa-maNimA mahimA garimA laGimA prAptiH
   prākāmyamīśitvaṃ vaśitvaṃ yatrakāmāvasāyitvaṃ ceti / aṇorbhāvo 'ṇimā	prAkAmyam-ISitvam vaSitvam yatra-kAma-avasAyi-tvam ca-iti / aNoH-BAvaH aNimA
   sūkṣmo bhūtvā jagati vicaratīti / mahimā mahān bhūtvā vicaratīti / laghimā	sUkzmaH BUtvA jagati vicarati-iti / mahimA mahAn BUtvA vicarati-iti / laGimA
   mṛṇālītūlāvayavādapi laghutayā puṣpakesarāgreṣvapi tiṣṭhati /	mRNAlI-tUla-avayavAt-api laGu-tayA puzpakesara-agrezu-api tizWati /
   prāptirabhimataṃ vastu yatra tatrāvasthitaḥ prāpnoti / prākāmyaṃ prakāmato	prAptiH-aBimatam vastu yatra tatra-avasTitaH prApnoti / prAkAmyam prakAmataH-
   yadeveṣyati tadeva vidadhāti / īśitvaṃ prabhutayā trailokyamapīṣṭe /	yat-eva-izyati tat-eva vidaDAti / ISitvam praBu-tayA trElokyam-api-Izwe /
   vaśitvaṃ sarvaṃ vaśībhavati / yatra kāmāvasāyitvaṃ brahmādistambaparyantaṃ	vaSitvam sarvam vaSIBavati / yatra kAmAvasAyi-tvam brahma-Adi-stamba-paryantam
   yatra kāmastatraivāsya svecchayā sthānāsanavihārānācaratīti / catvāra	yatra kAmaH-tatra-eva-asya sva-icCayA sTAna-Asana-vihArAn-Acarati-iti / catvAra
   etāni buddheḥ sāttvikāni rūpāṇi yadā sattvena rajastamasī abhibhūte tadā	etAni budDeH sAttvikAni rUpANi yadA sattvena rajaH-tamasI aBiBUte tadA
   pumān buddhiguṇān dharmādīnāpnoti / kiṃcānyat	pumAn budDi-guNAn Darma-AdIn-Apnoti / kiMca-anyat-
   tāmasamasmādviparyastamasmāddharmāderviparītaṃ tāmasaṃ buddhirūpaṃ	tAmasam-asmAt-viparyastam-asmAt-Darma-AdeH-viparItam tAmasam budDi-rUpam
   dharmādviparīto 'dharma evamajñānamavairāgyamānaiśvaryamiti / evaṃ	DarmAt-viparItaH aDarmaH evam-ajQAnam-avErAgyamAna-ESvaryam-iti / evam
   sāttvikaistāmasaiḥ svarūpairaṣṭāṃgā buddhistriguṇādavyaktādutpadyate // 23	sAttvikEH-tAmasEH svarUpEH-azwa-aMgA budDiH-triguNAt-avyaktAt-utpadyate // 23
   evaṃ buddhilakṣaṇamuktamahaṃkāralakṣaṇamucyate /	evam budDi-lakzaNam-uktam-ahaMkAra-lakzaNam-ucyate /
   abhimāno 'haṅkārastasmāddvividhaḥ pravartate sargaḥ /	aBimAnaH ahaFkAraH-tasmAt-dviviDaH pravartate sargaH /
   aindriya ekādaśakastanmātrapañcakaścaiva // ISk_24 //	EndriyaH ekAdaSakaH-tanmAtra-paQcakaH-ca-eva // ISc-_24 //
   ekādaśakaśca gaṇa ekādaśendriyāṇi tathā tanmātro gaṇaḥ pañcakaḥ	ekAdaSakaH-ca gaNaH ekAdaSa-indriyANi taTA tanmAtraH gaNaH paQcakaH
   pañcalakṣaṇopetaḥ	paQca-lakzaNa-upetaH
   śabdatanmātrasparśatanmātrarūpatanmātrarasatanmātragandhatanmātralakṣaṇopetaḥ	Sabda-tanmAtra-sparSa-tanmAtra-rUpa-tanmAtra-rasa-tanmAtra-ganDa-tanmAtra-lakzaNa-upetaH
   kiṃ lakṣaṇāt sarga ityetadāha /	kim lakzaNAt sargaH iti-etat-Aha /
   sāttvika ekādaśakaḥ pravartate vaikṛtādahaṅkārāt /	sAttvikaH ekAdaSakaH pravartate vEkRtAt-ahaFkArAt /
   bhūtādestanmātraḥ sa tāmasastaijasādubhayam // ISk_25 //	BUtAdeH-tanmAtraH sa tAmasaH-tEjasAt-uBayam // ISc-_25 //
   sattvenābhibhūte yadā rajastamasī ahaṃkāre bhavatastadā so 'haṃkāraḥ	sattvena-aBiBUte yadA rajaH-tamasI ahaMkAre BavataH-tadA saH ahaMkAraH
   sāttvikastasya ca pūrvācāryaiḥ saṃjñā kṛtā vaikṛta iti	sAttvikaH-tasya ca pUrva-AcAryEH saMjQA kRtA vEkRtaH iti
   tasmādvikṛtādahaṃkārādekādaśaka indriyagaṇa utpadyate / tasmāt sāttvikāni	tasmAt-vikRtAt-ahaMkArAt-ekAdaSakaH indriya-gaNaH utpadyate / tasmAt sAttvikAni
   viśuddhānīndriyāṇi svaviṣayasamarthāni tasmāducyate sāttvika ekādaśaka iti	viSudDAni-indriyANi sva-vizaya-samarTAni tasmAt-ucyate sAttvikaH ekAdaSakaH iti
   / kiṃcānyadbhūtādestanmātraḥ sa tāmasaḥ tamasābhibhūte sattvarajasī	/ kiMca-anyat-BUtAdeH-tanmAtraH sa tAmasaH tamasA-aBiBUte sattva-rajasI
   ahaṃkāre yadā bhavataḥ so 'haṃkārastāmasa ucyate tasya pūrvācāryakṛtā	ahaMkAre yadA BavataH saH ahaMkAraH-tAmasaH ucyate tasya pUrva-AcArya-kRtA
   saṃjñā bhūtādistasmādbhūtāderahaṃkārāttanmātraḥ pañcako gaṇa utpadyate	saMjQA BUtAdiH-tasmAt-BUta-AdeH-ahaMkArAt-tanmAtraH paQcakaH gaNaH utpadyate
   bhūtānāmādibhūtastamobahulastenoktaḥ sa tāmasa iti / tasmādbhūtādeḥ	BUtAnAm-Adi-BUtaH-tamaH-bahulaH-tena-uktaH sa tAmasaH iti / tasmAt-BUtAdeH
   pañcatanmātrako gaṇaḥ kiṃca taijasādubhayaṃ yadārajasābhibhūte	paQca-tanmAtrakaH gaNaH kiMca tEjasAt-uBayam yadA-rajasA-aBiBUte
   sattvatamasī bhavatastadā tasmāt so 'haṃkārastaijasa iti saṃjñāṃ labhate	sattva-tamasI BavataH-tadA tasmAt saH ahaMkAraH-tEjasaH iti saMjQAm laBate
   tasmāttaijasādubhayamutpadyate / ubhayamiti ekādaśo gaṇastanmātraḥ	tasmAt-tEjasAt-uBayam-utpadyate / uBayam-iti ekAdaSaH gaNaH-tanmAtraH
   pañcakaḥ / yo 'yaṃ sāttviko 'haṃkāro vaikṛtiko vaikṛto bhūtvā	paQcakaH / yaH ayam sAttvikaH ahaMkAraH vEkRtikaH vEkRtaH BUtvA
   ekādaśendriyāṇyutpādayati sa taijasamahaṃkāraṃ sahāyaṃ gṛhṇāti sāttviko	ekAdaSa-indriyANi-utpAdayati sa tEjasam-ahaMkAram sahAyam gRhNAti sAttvikaH-
   niṣkriyaḥ sa taijasayukta indriyotpattau samarthaḥ tathā tāmaso 'haṃkāro	nizkriyaH sa tEjasa-yuktaH indriya-utpattO samarTaH taTA tAmasaH ahaMkAraH-
   bhūtādiḥ saṃjñito niṣkriyatvāttaijasenāhaṃkāreṇa kriyāvatā	BUtAdiH saMjQitaH nizkriya-tvAt-tEjasena-ahaMkAreNa kriyAvatA
   yuktastanmātrāṇyutpādayati tenoktaṃ taijasādubhayamiti evaṃ	yuktaH-tanmAtrANi-utpAdayati tena-uktam tEjasAt-uBayam-iti evam
   taijasenāhaṃkāreṇaindriyāṇyekādaśa pañcatanmātrāṇi kṛtāni bhavanti // 25	tEjasena-ahaMkAreNa-EndriyANi-ekAdaSa paQca-tanmAtrANi kRtAni Bavanti // 25
   ekādaśaka ityuktaḥ yo vaikṛtāt sāttvikādahaṃkārādutpadyate tasya kā	ekAdaSakaH iti-uktaH yaH vEkRtAt sAttvikAt-ahaMkArAt-utpadyate tasya kA
   saṃjñetyāha /	saMjQA-iti-Aha /
   buddhīndriyāṇi cakṣuḥśrotraghrāṇarasanasparśanakāni /	budDIndriyANi cakzuH-Srotra-GrANa-rasana-sparSanakAni /
   vākpāṇipādapāyūpasthān karmendriyāṇyāhuḥ // ISk_26 //	vAc-pANi-pAda-pAyu-upasTAn karmendriyANi-AhuH // ISc-_26 //
   cakṣurādīni sparśanaparyantāni buddhīndriyāṇyucyante / spṛśyate aneneti	cakzuH-AdIni sparSana-paryantAni budDIndriyANi-ucyante / spRSyate anena-iti
   sparśanaṃ tvagindriyaṃ tadvācī siddhaḥ sparśanaśabdo 'sti tenedaṃ paṭhyate	sparSanam tvac-indriyam tad-vAcI sidDaH sparSana-SabdaH asti tena-idam paWyate
   sparśanakānīti śabdasparśarūparasagandhān pañcaviṣayān budhyante	sparSanakAni-iti Sabda-sparSa-rUpa-rasa-ganDAn paQca-vizayAn buDyante
   avagacchantīti pañca buddhīndriyāṇi / vākpāṇipādapāyūpasthān	avagacCanti-iti paQca budDIndriyANi / vAc-pANi-pAda-pAyu-upasTAn
   karmendriyāṇyāhuḥ karma kurvantīti karmendriyāṇi / tatra vāgvadati hastau	karmendriyANi-AhuH karma kurvanti-iti karmendriyANi / tatra vAc-vadati hastO
   nānāvyāpāraṃ kurutaḥ pādau gamanāgamanaṃ pāyurutsargaṃ karoti upastha	nAnA-vyApAram kurutaH pAdO gamana-Agamanam pAyuH-utsargam karoti upasTa
   ānaṃdaṃ prajotpattyā // 26 //	AnaMdam prajA-utpattyA // 26 //
   evaṃ buddhīndriyakarmendriyabhedena daśendriyāṇi vyākhyātāni mana	evam budDIndriya-karmendriya-Bedena daSa-indriyANi vyAKyAtAni mana
   ekādaśakaṃ kimātmakaṃ kiṃ svarūpaṃ ceti taducyate /	ekAdaSakam kimAtmakam kim svarUpam ca-iti tat-ucyate /
   ubhayātmakamatra manaḥ saṅkalpakamindriyaṃ ca sādharmyāt /	uBaya-Atmakam-atra manaH saFkalpakam-indriyam ca sADarmyAt /
   guṇapariṇāmaviśeṣānnānātvaṃ bāhyabhedācca // ISk_27 //	guNa-pariNAma-viSezAt-nAnAtvam bAhya-BedAt-ca // ISc-_27 //
   atrendriyavarge mana ubhayātmakaṃ buddhīndriyeṣu buddhīndriyavat	atra-indriya-varge manaH uBaya-Atmakam budDIndriyezu budDIndriya-vat-
   karmendriyeṣu karmendriyavat kasmādbuddhīndriyāṇāṃ pravṛttiṃ kalpayati	karmendriyezu karmendriya-vat kasmAt-budDIndriyANAm pravRttim kalpayati
   karmendriyāṇāṃ ca tasmādubhayātmakaṃ manaḥ saṃkalpayatīti saṃkalpakam /	karmendriyANAm ca tasmAt-uBaya-Atmakam manaH saMkalpayati-iti saMkalpakam /
   kiṃcānyadindriyaṃ ca sādharmyāt samānadharmabhāvāt	kiMca-anyat-indriyam ca sADarmyAt samAna-Darma-BAvAt-
   sāttvikāhaṃkārādbuddhīndriyāṇi karmendriyāṇi manasā sahotpadyamānāni	sAttvika-ahaMkArAt-budDIndriyANi karmendriyANi manasA saha-utpadyamAnAni
   manasaḥ sādharmyaṃ prati tasmātsādharmyānmano	manasaH sADarmyam prati tasmAt-sADarmyAn-manaH-
   'pīndriyamevametānyekādaśendriyāṇi sāttvikādvaikṛtādahaṃkārādutpannāni /	api-indriyam-evam-etAni-ekAdaSa-indriyANi sAttvikAt-vEkRtAt-ahaMkArAt-utpannAni /
   tatra manasaḥ kā vṛttiriti / saṃkalpo vṛttiḥ / buddhīndriyāṇāṃ śabdādayo	tatra manasaH kA vRttiH-iti / saMkalpaH vRttiH / budDIndriyANAm Sabda-At-ayaH-
   vṛttayaḥ karmendriyāṇāṃ vacanādayo 'thaitānīndriyāṇi bhinnāni	vRttayaH karmendriyANAm vacana-AdayaH aTa-etAni-indriyANi BinnAni
   bhinnārthagrāhakāṇi kimīśvareṇota svabhāvena kṛtāni yataḥ	Binna-arTa-grAhakANi kim-ISvareNa-uta svaBAvena kRtAni yatas-
   pradhānabuddhyahaṃkārā acetanāḥ puruṣo 'pyakarttetyatrāha / iha sāṃkhyānāṃ	praDAna-budDi-ahaMkArAH acetanAH puruzaH api-akarttA-iti-atra-Aha / iha sAMKyAnAm
   svabhāvo nāma kaścitkāraṇamasti / atrocyate guṇapariṇāmaviśeṣānnānātvaṃ	svaBAvaH nAma kaScid-kAraNam-asti / atra-ucyate guNa-pariNAma-viSezAt-nAnA-tvam
   bāhyabhedāśca / imānyekādaśendriyāṇi śabdasparśarūparasagandhāḥ pañcānāṃ	bAhya-BedAH-ca / imAni-ekAdaSa-indriyANi Sabda-sparSa-rUpa-rasa-ganDAH paQcAnAm
   vacanādānaviharaṇotsargānandāśca pañcānāṃ saṃkalpaśca manasa evamete	vacana-AdAna-viharaNa-utsarga-AnandAH-ca paQcAnAm saMkalpaH-ca manasaH evam-ete
   bhinnānāmevendriyāṇāmarthāḥ guṇapariṇāmaviśeṣāt guṇānāṃ pariṇāmo	BinnAnAm-eva-indriyANAm-arTAH guNa-pariNAma-viSezAt guNAnAm pariNAmaH-
   guṇapariṇāmastasya viśeṣādindriyāṇāṃ nānātvaṃ bāhyārthabhedāśca /	guNa-pariNAmaH-tasya viSezAt-indriyANAm nAnAtvam bAhya-arTa-BedAH-ca /
   athaitannānātvaṃ neśvareṇa nāhaṃkāreṇa na buddhyā na pradhānena na	aTa-etat-nAnA-tvam na-ISvareNa na-ahaMkAreNa na budDyA na praDAnena na
   puruṣeṇa svabhāvāt kṛtaguṇapariṇāmeneti / guṇānāmacetanatvānna pravarttate	puruzeNa svaBAvAt kRta-guNa-pariNAmena-iti / guNAnAm-acetana-tvAt-na pravarttate
   pravarttata eva kathaṃ vakṣyatīhaiva vatsavivṛddhinimittaṃ kṣīrasya yathā	pravarttate eva kaTam vakzyati-iha-eva vatsa-vivRdDi-nimittam kzIrasya yaTA
   pravṛttirajñasya puruṣasya vimokṣārthaṃ tathā pravṛttiḥ pradhānasya /	pravRttiH-ajQasya puruzasya vimokza-arTam taTA pravRttiH praDAnasya /
   evamacetanaguṇāḥ ekādaśendriyabhāvena pravarttante viśeṣā api tatkṛtā eva	evam-acetana-guNAH ekAdaSa-indriya-BAvena pravarttante viSezAH api tad-kRtAH eva
   yenoccaiḥ pradeśe cakṣuḥkhalokanāya sthitaṃ tathā ghrāṇaṃ tathā śrotraṃ	yena-uccEs pradeSe cakzuH-Ka-lokanAya sTitam taTA GrANam taTA Srotram
   tathā jihvā svadeśe svārthagrahaṇāya / evaṃ karmendriyāṇyapi yathāyathaṃ	taTA jihvA sva-deSe sva-arTa-grahaNAya / evam karmendriyANi-api yaTAyaTam
   svārthasamarthāni svadeśāvasthitāni svabhāvato guṇapariṇāmaviśeṣādeva na	sva-arTa-samarTAni sva-deSa-avasTitAni svaBAvataH guNa-pariNAma-viSezAt-eva na
   tadarthā api yata uktaṃ śāstrāntare / guṇā guṇeṣu varttante guṇānāṃ yā	tad-arTAH api yatas uktam SAstra-antare / guNAH guNezu varttante guNAnAm yA
