   brahmasūtraśāṅkarabhāṣyam	brahmasUtra SAFkara BAzyam
   'jñānasattvāt muktādvilakṣaṇaḥ prājña eṣa svacaitanyena kāraṇaśarīrasākṣī	ajQAna sattvAt muktAdvi lakzaNaH prAjQaH eza sva cEtanyena kAraNa SarIra sAkzI
   tasya sākṣyasya sattāsphūrtipradatvādātmetyarthaḥ /	tasya sAkzyasya sattA sPUrti prada tvAt AtmA iti arTaH /
   caturthaparyāye brahmoktestasyaivāpahatapāpmatvādiguṇā ityāśaṅkya tasyāpi	caturTa paryAye brahma ukteH tasya eva apahata pApma tva Adi guNAH iti ASaFkya tasya api
   paryāyasya jīvatvamāha nāheti /	paryAyasya jIva tvam Aha nAha iti /
   aheti nipātaḥ khedārthe /	ahA iti nipAtaH Keda arTe /
   khidyamāno hīndra uvāca, na khalu suptaḥ pumānayaṃ saṃprati	KidyamAnaH hi indraH uvAca, na Kalu suptaH pumAn ayam saMprati
   suṣuptyavasthāyāmayaṃ devadatto 'hamityevamātmānaṃ jānāti /	suzupti avasTAya Amayam devadattaH aham iti evam AtmAnam jAnAti /
   no eva naivemāni bhūtāni jānāti kintu vināśameva prāpto bhavati, nāhamatra	no eva na eva imAni BUtAni jAnAti kintu vinASam eva prAptaH Bavati, na aham atra
   bhogyaṃ paśyāmīti doṣamupalabhya punaḥ prajāpatimupasasāra /	Bogyam paSyAmi iti dozam upalaBya punar prajApatim upasasAraH /
   taṃ doṣaṃ śrutvā prajāpatirāha etamiti /	tam dozam SrutvA prajApatiH Aha  etam iti /
   etasmātprakṛtādātmano 'nyatrānyaṃ na vyākhyāsyāmītyupakramya	etasmAt prakRtAt AtmanaH anyatra anyam na vyAKyAsyAmi iti upakramya
   'maghavanmartyaṃ vā idaṃ śarīram'iti nindāpūrvakaṃ jīvameva	amaGavat martyam vA idam SarIram aiti nindA pUrvakam jIvam eva
   darśayatītyarthaḥ /	darSayati iti arTaH /
   tasmāt prajāpativākyāt /	tasmAt prajApati vAkyAt /
   ataḥ saṃbhavāsiddheḥ /	atas saMBava asidDeH /
   siddhāntayati taṃ pratīti /	sidDAntayati tam prati iti /
   avasthātrayaśodhanenāvirbhūtatvaṃ śodhitatvamarthasya	avasTA tra ya SoDanena AvirBUta tvam SoDita tvam arTasya
   vākyotthavṛttyābhivyaktatvamityarthaḥ /	vAkya utTa vRttyA aBivyakta tvam iti arTaH /
   tarhi sūtre puṃliṅgena jīvoktiḥ kathaṃ, jñānena jīvatvasya	tarhi sUtre puMliFgena jIvoktiH kaTaM, jQAnena jIvatu asya
   nivṛttatvādityata āha bhūtapūrveti /	nivRtta tvAt iti atas Aha BUta pUrvA iti /
   jñānātpūrvamavidyātatkāryapratibimbitatvarūpaṃ jīvatvamabhūditi kṛtvā	jQAnAt pUrvam avidyA tad kArya pratibimbita tva rUpam jIva tvam aBUt iti kRtvA
   jñānānantaraṃ brahmarūpo 'pi jīvanāmnocyata ityarthaḥ /	jQAna anantaram brahma rUpaH api jIva nAmnA ucyate iti arTaH /
   viśvataijasaprājñaturīyaparyāyacatuṣṭayātmakaprajāpativākyasya	viSva tEjasa prAjQa turIya paryAya catuzwaya Atmaka prajApati vAkyasya
   tātparyamāha etaditi /	tAtparyam Aha  etat iti /
   janmānāśavattvāt /	janma anASavat tvAt /
   pratibimbavadbimbadeho nātmeti jñāpanārthaṃ prajāpatirinindravirocanau	pratibimba vat bimba dehaH na AtmA iti jQApana arTam prajApatiH inindra virocanO
   pratyuvāca, udaśarāva ātmānamavekṣya yadātmano rūpaṃ na vijānīthastanme	pratyuvAca, udaSarAvaH AtmAnam avekzya yadA AtmanaH rUpam na vijAnITaH tat me
   brūtamityādi brāhmaṇenetyāha udaśarāveti /	brUtam ityAdi brAhmaNena iti Aha  udaSarAva iti /
   udakapūrṇe śarāve pratibimbātmānaṃ dehaṃ dṛṣṭvā svasyājñātaṃ yattanmahyaṃ	udaka pUrNe SarAve pratibimba AtmAnam deham dRzwvA svasya ajQAtam yat tat mahyam
   vācyamityuktaśrutyarthaḥ /	vAcyam iti ukta Sruti arTaH /
   vyutthāpya vicārya /	vyutTApya vicArya /
   abhiniṣpadyata ityatraitaduktaṃ bhavatīti saṃbandhaḥ /	aBinizpadyate iti atra etat uktam Bavati iti saMbanDaH /
   kimuktamityata āha yadasyeti /	kim uktam iti atas Aha yat asya iti /
   jīvatvarūpeṇa jīvaṃ na vyācaṣṭe lokasiddhatvāt kintu tamanūdya	jIva tva rUpeNa jIvam na vyAcazwe loka sidDa tvAt kintu tam anUdya
   parasparavyabhicāriṇībhyo 'vasthābhyo vivicya brahmasvarūpaṃ bodhayati,	paraspara vyaBicAriNIByaH avasTAByaH vivicya brahma svarUpam boDayati,
   ato yadbrahma tadevāpahatapāpmatvādidharmakaṃ na jīva ityuktaṃ bhavati,	atas yat brahma tat eva apahata pApma tva Adi Darmakam na jIvaH iti uktam Bavati,
   śodhitasya brahmabhedena taddharmokterityarthaḥ /	SoDitasya brahma Bedena tad Darma ukteH iti arTaH /
   evamavasthopanyāsasya vivekārthatvānna jīvaliṅgatvaṃ,	evam avasTA upanyAsasya viveka arTa tvAt na jIva liFga tvaM,
   'etadamṛtamabhayametabrahma'iti liṅgopetaśrutivirodhāditimantavyam /	aetat amRtam aBayam eta brahma aiti liFga upeta Sruti viroDAt iti mantavyam /
   nanu jīvatvabrahmatvaviruddhadharmavatoḥ kathamabhedaḥ, tatrāha tadeveti /	nanu jIvatu abrahmatva virudDa DarmavatoH kaTam aBedaH, tatra Aha tat eva iti /
   anvayavyatirekābhyāṃ jīvatvasyāvidyākalpitatvādavirodha iti matvā	anvaya vyatirekAByAm jIva tu asya avidyA kalpita tvAt aviroDaH iti matvA
   dṛṣṭāntenānvayamāha yāvaditi /	dRzwAntena anvayam Aha yAvat iti /
   vyatirekamāha yadeti /	vyatirekam Aha yadA iti /
   avidyāyāṃ satyāṃ jīvatvaṃ, vākyotthaprabhodhāttannivṛttau	avidyAyAm satyAm jIva tvan, vAkya utTa praBoDAt tad nivRttO
   tannivṛttirityāvidyakaṃ tadityarthaḥ /	tad nivRttiH iti Avidyakam tat iti arTaH /
   saṃsāritvasya kalpitatve siddhaṃ nigamayati tadeva cāsyeti /	saMsAri tvasya kalpita tve sidDam nigamayati tat eva ca asya iti /
   'samutthāya svena rūpeṇābhiniṣpadyate'iti śrutiṃ vyākhyātumākṣipati kathaṃ	asamutTAya svena rUpeNa aBinizpadyate aiti Srutim vyAKyAtu m Akzipati  kaTam
   punarityādinā /	punar ityAdinA /
   kūṭasthanityasya svarūpamityanvayaḥ /	kUwasTa nityasya svarUpam iti anvayaH /
   manaḥsaṅgino hi kriyayā malanāśādabhivyaktirna tu kūṭasthasyāsaṅgina	manaH saFginaH hi kriyayA mala nASAt aBivyaktiH na tu kUwasTasya asaFgina
   ityāha suvarṇeti /	iti Aha  suvarNA iti /
   dravyāntaraṃ pārthivo malaḥ /	dravya antaram pArTivaH malaH /
   abhibhūtetyasya vyākhyānamanabhivyakteti /	aBiBUta iti asya vyAKyAnam anaBivyakta iti /
   asādhāraṇo bhāsvaratvādiḥ /	asADAraNaH BAsvara tva AdiH /
   abhibhāvakaḥ saurālokaḥ /	aBiBAvakaH sOrAlokaH /
   jīvasvarūpasyābhibhave bādhakamāha dṛṣṭeti /	jIva svarUpasya aBiBave bADaka mAha dRzwA iti /
   'vijñānaghana eva'iti śrutyā cinmātrastāvadātmā /	avijQAna GanaH eva aiti SrutyA cit mAtraH tAvat AtmA /
   taccaitanyaṃ cakṣurādijanyavṛttivyaktaṃ dṛṣṭyādipadavācyaṃ sat	tat cEtanyam cakzuH Adi janya vRtti vyaktam dRzwi Adi pada vAcyam sat 
   vyavahārāṅgaṃ jīvasya svarūpaṃ bhavatīti tasyābhibhūtatve dṛṣṭo vyavahāro	vyavahAra aFgam jIvasya svarUpam Bavati iti tasya aBiBUta tve dRzwaH vyavahAraH 
   virudhyeta /	viruDyeta /
   hetvabhāvādvyavahāro na syādityartha /	hetu aBAvAt vyavahAraH na syAt iti arTa /
   ajñasyāpi svarūpaṃ vṛttiṣu vyaktamityaṅgīkāryaṃ,	ajQasya api svarUpam vRttizu vyaktam iti aFgIkAryaM,
   vyavahāradarśanādityāha tacceti /	vyavahAra darSanAt iti Aha tat ca iti /
   anyathetyuktaṃ sphuṭayati taccediti /	anyaTA iti uktam sPuwayati  tat ced iti /
   svarūpaṃ cejjñānina eva vyañjyeta jñānātpūrvaṃ vyavahārocchittirityarthaḥ	svarUpam ced jQAninaH eva vyaQjyeta jQAnAt pUrvam vyavahAra ucCittiH iti arTaH
   ataḥ sadaiva vyaktasvarūpatvādityarthaḥ /	atas sadA eva vyakta svarUpa tvAt iti arTaH /
   sadā vṛttiṣu vyaktasya vastuto 'saṅgasyātmana āvidyakadehādyavivekarūpasya	sadA vRttizu vyaktasya vastutas asaFgasya AtmanaH Avidyaka deha Adi a viveka rUpasya
   malasaṅgasya sattvāttadvivekāpekṣayā	mala saFgasya sattvAt tad viveka apekzayA
   samutthānādiśrutirityuttaramāha atreti /	samutTAna Adi SrutiH iti uttaram Aha atra iti /
   vedanā harṣaśokādiḥ /	vedanA harza Soka AdiH /
   aviviktamiveti tādātmyasya saṅgasya kalpitatvamuktam /	aviviktam iva iti tAdAtmyasya saFgasya kalpita tvam uktam /
   tatra kalpitasaṅge dṛṣṭāntaḥ yatheti /	tatra kalpita saFge dRzwAntaH yaTA iti /
   śrutikṛtamiti /	Sruti kRtam iti /
   tvaṃpadārthaśrutyā 'yo 'yaṃ vijñānamayaḥ prāṇeṣu'ityādyayā	tvaMpadArTa SrutyA ayaH ayam vijQAna mayaH prANa izu aitya AdyayA
   siddhamityarthaḥ /	sidDam iti arTaH /
   prāṇādibhinnaśuddhatvaṃpadārthajñānasya vākyārthasākṣātkāraḥ	prANa Adi Binna SudDa tvaMpadArTa jQAnasya vAkya arTa sAkzAtkAraH
   phalamityāha kevaleti /	Palam iti Aha  kevala iti /
   saśarīratvasya satyatvātsamutthānamutkrāntiriti vyākhyeyaṃ na viveka	sa SarIra tvasya satya tvAt samutTAnam utkrAntiH iti vyAKyeyam na viveka
   ityāśaṅkyāha tathā viveketi /	iti ASaFkya aha  taTA viveka iti /
   uktaśrutyanusāreṇetyarthaḥ /	ukta Sruti anusAreNa iti arTaH /
   śarīreṣvaśarīramavasthitamiti śruteravivekamātrakalpitaṃ saśarīratvam /	SarIrezu aSarIram avasTitam iti SruteH aviveka mAtra kalpitam sa SarIra tvam /
   ato viveka eva samutthānamityarthaḥ /	atas vivekaH eva samutTAnam iti arTaH /
   nanu svakarmārjite śarīre bhogasyāparihāryatvātkathaṃ jīvata eva	nanu sva karma arjite SarIre Bogasya aparihArya tvAt kaTam jIvate eva
   svarūpāvirbhāva ityata āha śarīrastho 'pīti /	svarUpa AvirBAvaH iti atas Aha  SarIra sTaH api iti /
   aśarīratvavaccharīrasthasyāpi bandhābhāvasmṛterjīvato muktiryuktetyarthaḥ	aSarIra tva vat SarIra sTasya api banDa aBAva smRteH jIvataH muktiH yuktA iti arTaH
   aviruddhe śrutyarthe sūtraśeṣo yukta ityāha tasmāditi /	avirudDe Sruti arTe sUtra SezaH yuktaH iti Aha tasmAt iti /
   anyādṛśau satyāvityarthaḥ /	anyAdRSO satyO= iti arTaH /
   jñānājñānakṛtāvāvirbhāvatirobhāvāviti sthite bhedo 'pyaṃśāṃśitvakṛto	jQAna ajQAna kRtO= AvirBAva tiroBAvO= iti sTite BedaH api aMSa aMSitva kRtaH 
   nirasta ityāha evamiti /	nirastaH iti Aha  evam iti /
   aṃśādiśūnyatvamasaṅgatvam /	aMSa Adi SUnya tvam asaFga tvam /
   ātmā dravyatvavyāpyajātiśūnyaḥ vibhutvāt, vyomavadityātmaikyasiddherbhedo	AtmA dravya tva vyApya jAti SUnyaH viBu tvAt, vyoma vat iti Atma Ekya sidDeH BedaH 
   mithyetyarthaḥ /	miTyA iti arTaH /
   prajāpativākyācca bhedo mithyetyākāṅkṣāpūrvakamāha  kutaścetyādinā /	prajApati vAkyAt ca BedaH miTyA iti AkAFkzA pUrvakam Aha   kutas ca ityAdinA /
   etadbhedasya satyatvameva nāstīti kuta ityanvayaḥ chāyāyāṃ	etat Bedasya satya tvam eva na asti iti kutas iti anvayaH CAyAyAm
   brahmadṛṣṭiparamidaṃ vākyaṃ nābhedaparamityata āha nāpīti /	brahma dRzwi param idam vAkyam nABeda param iti atas Aha nA api iti /
   yasya jñānātkṛtakṛtyatā sarvakāmaprāptistamātmānamanvicchāva iti	yasya jQAnAt kRtakRtya tA sarva kAma prAptiH tam AtmAnam anvicCAvaH iti
   pravṛttayorindravirocanayoryadyanātmacchāyāṃ prajāpatirbrūyāttadā mṛṣāvādi	pravRttayoH indra virocanayoH yadi ana Atma= CAyAm prajApatiH brUyAt tadA mRzAvAdi
   syādityarthaḥ /	syAt iti arTaH /
   prathamavat dvitīyādiparyāye vyāvṛttāsvavasthāsu unusyūtātmā	praTama vat dvitIya Adi paryAye vyAvRttAsu avasTAsu unusyUta AtmA
   brahmatvenokta ityāha tatheti /	brahma tvena uktaH iti Aha  taTA iti /
   avasthābhede 'payanusyūtau yuktimāha kiñceti /	avasTA Bede apayanu syUtO yuktim Aha kiQca iti /
   suṣuptau jñāturvyāvṛttimāśaṅkyāha tathā tṛtīya iti /	suzuptO jQAtuH vyAvRttim ASaFkyA aha taTA tRtIyaH iti /
   saṣuptau nirvikalpajñānarūpa ātmāstīyatra bṛhadāraṇyakaśrutimāha nahīti /	sazuptO nirvikalpa jQAna rUpaH AtmA aH tIyatra bRhadAraNyaka Srutim Aha nahi iti /
   buddheḥ sākṣiṇo nāśo nāsti, nāśakābhāvādityarthaḥ /	budDeH sAkziNaH nASaH nAsti, nASaka aBAvAt iti arTaH /
   etamavasthābhirasaṅgatvenokta ātmaiva turīye 'pi brahmatvenokta	etam avasTABiH asaFga tvena uktaH AtmA eva turIye api brahma tvena ukta
   ityāha tatheti /	iti Aha  taTA iti /
   śruterekadeśivyākhyāṃ dūṣayati kecittviti /	SruteH eka deSi vyAKyAm dUza yati kecittu iti /
   jīvaparayorbhadāditi bhāvaḥ /	jIva parayoH BadAt iti BAvaH /
   śrutibādhānmaivamityāha teṣāmiti /	Sruti bADAt mA evam iti Aha  tezAm iti /
   saṃnihito jīva eva sarvanāmārtha ityarthaḥ /	saMnihitaH jIvaH eva sarva nAma arTaH iti arTaH /
   uktasya punaruktau bhūya iti yujyate /	uktasya punaruktO BUyas iti yujyate /
   tava tu upakrāntaparamātmanaścaturtha evoktestadbāda ityāha bhūya iti /	tava tu upakrAnta paramAtmanaH caturTaH eva ukteH tad bAdaH iti Aha BUyaH iti /
   lokasiddhajīvānuvādena brahmatvaṃ bodhyata iti	loka sidDa jIva anuvAdena brahma tvam boDyate iti
   svamatamupasaṃharati tasmāditi /	sva matam upasaMharati  tasmAt iti /
   vyākhyānāntarasaṃbhavādityarthaḥ /	vyAKyAna antara saMBavAt iti arTaH /
   vilayanaṃ śodhanam /	vilayanam SoDanam /
   vidyayā mahāvākyeneti yāvat /	vidyayA mahA vAkyena iti yAvat /
   ye tu saṃsāraṃ satyamicchanti teṣāmidaṃ śārīrakamevottaramityāha apare	ye tu saMsAram satyam icCanti tezAm idam SArIrakam eva uttaram iti Aha apare
   tvityādinā /	tu ityAdinA /
   śārīrakasyārthaṃ saṃkṣepaṇopadiśati eka eveti /	SArIrakasya arTam saMkzepaNa upadiSati  ekaH eva iti /
   avidyāmāyayorbhedaṃ nirasituṃ sāmānādhikaraṇyaṃ,	avidyA mAyayoH Bedam nirasitum sAmAnADikaraNyaM,
   āvaraṇavikṣepaśaktirūpaśabdapravṛttinimittabhedāt sahaprayogaḥ /	AvaraNa vikzepa Sakti rUpa Sabda pravRtti nimitta BedAt saha prayogaH /
   brahmaivāvidyayā saṃsarati na tato 'nyo jīva iti śārīrakārtha ityarthaḥ /	brahma eva avidyayA saMsarati na tatas anyaH jIvaH iti SArIraka arTaH iti arTaH /
   tarhi sūtrakāraḥ kimiti bhedaṃ brūte, tatrāha yasttviti /	tarhi sUtrakAraH kim iti Bedam brUte, tatra aha yaH ttu iti /
   paramātmano 'saṃsāritvasidyarthaṃ jīvādbhedaṃ draḍhayati /	paramAtmanaH asaMsAri tva sidi arTam jIvAt Bedam draXayati /
   tasyāsaṃsāritvaniścayābhāve tadabhedoktāvapi jīvasya	tasya asaMsAri tva niScaya aBAve tad aBeda uktO= api jIvasya
   saṃsāritvānapāyādityarthaḥ /	saMsAri tvA anapAyAt iti arTaH /
   adhiṣṭhānasya kalpitādbhede 'pi kalpitasyādhiṣṭhānānna	aDizWAnasya kalpitAt Bede api kalpitasya aDizWAnAt na
   pṛthaksattvamityāha jīvasya tviti /	pRTak sattvam iti Aha  jIvasya tu iti /
   kalpitabhedānuvādasya phalamāha evaṃ hīti /	kalpita Beda anuvAdasya Pala mAha evam hi iti /
   sūtreṣvabhedo nokta iti bhrāntiṃ nirasyati pratipādyamiti /	sUtrezu aBedaH na uktaH iti BrAntim nirasyati  pratipAdyam iti /
   ātmeti tūpagacchantītyādisūtrāṇyādipadārthaḥ /	AtmA iti tu upagacCanti ityAdi sUtrANi Adi padArTaH /
   nanvadvaitasya śāstrārthatve dvaitāpekṣavidhivirodhaḥ tatrāha varṇitaśceti	nanu advEtasya SAstra arTa tve dvEta apekza viDi viroDaH tatra aha varNitaH ca iti
   advaitamajānataḥ kalpitadvaitāśrayā vidhayo na viduṣa iti	advEtam ajAnataH kalpita dvEta ASrayAH viDayaH na viduzaH iti
   sarvamupapannamityarthaḥ //19//	sarvam upapannam iti arTaH //19//
   END BsRp_1,3.5.19	END BsRp _1,3.5.19
   START BsRp_1,3.5.20	START BsRp _1,3.5.20
   anyārthaś ca parāmarśaḥ | BBs_1,3.20 |	anya arTaH ca parAmarSaH | BBH _1,3.20 |
   evaṃ prajāpativākye jīvānuvādena brahmaṇa evāpahatapāpmatvādyukterjīve	evam prajApati vAkye jIva anuvAdena brahmaNaH eva apahata pApma tvAt yukteH jIve
   tadasaṃbhavānna jīvo dahara ityuktam /	tat asaMBavAt na jIvaH daharaH iti uktam /
   tarhi jīvaparāmarśasya kā gatirityata āha anyārthaśceti /	tarhi jIva parAmarSasya kA gatiH iti atas Aha anya arTaH ca iti /
   sūtraṃ vyācaṣṭe athetyādinā /	sUtram vyAcazwe aTa ityAdinA /
   prakṛte dahare viśeṣo guṇastadupadeśo 'pi netyarthaḥ /	prakRte dahare viSezaH guNaH tad upadeSaH api na iti arTaH /
   tatra daharavākyaśeṣarūpaṃ saṃprasādavākyamāśaṅkāpūrvakaṃ	tatra dahara vAkya Seza rUpam saMprasAda vAkyam ASaFkA pUrvakam
   daharabrahmaparatvena vyācaṣṭe kathamityādinā //20//	dahara brahma paratvena vyAcazwe  kaTam ityAdinA //20//
   END BsRp_1,3.5.20	END BsRp _1,3.5.20
   START BsRp_1,3.5.21	START BsRp _1,3.5.21
   alpaśruter iti cet tad uktam | BBs_1,3.21 |	alpa SruteH iti ced tat uktam | BBH _1,3.21 |
   upāsyatvādalpatvamuktamiti vyākhyāya śrutyā	upAsya tvAt alpa tvam uktam iti vyAKyAya SrutyA
   nirastamityarthāntaramāha śrutyaiva cedamiti /	nirastam iti arTa antaram Aha  SrutyA eva ca idam iti /
   evaṃ daharavākyaṃ prajāpativākyaṃ ca saguṇe nirguṇe ca samanvitamiti	evam dahara vAkyam prajApati vAkyam ca saguNe nirguNe ca samanvitam iti
   siddham //21//	sidDam //21//
   END BsRp_1,3.5.21	END BsRp _1,3.5.21
   START BsRp_1,3.6.22	START BsRp _1,3.6.22
   anukṛtes tasya ca | BBs_1,3.22 |	anukRteH tasya ca | BBH _1,3.22 |
   anukṛtestasya ca /	anukRteH tasya ca /
   muṇḍakavākyamudāharati na tatreti /	muNxaka vAkyam udAharati na tatra iti /
   tasmin brahmaṇi viṣaye na bhāti, taṃ na bhāsayatīti yāvat /	tasmin brahmaNi vizaye na BAti, tam na BAsayati iti yAvat /
   yadā candrabhāskarādirna bhāsayati tadā alpadīpteragneḥ kā kathetyāha kuta	yadA candra BAskara AdiH na BAsayati tadA alpa dIpteH agneH kA kaTA iti Aha kuta
   iti /	iti /
   kiñca sarvasya sūryādestadbhāsyatvānna tadbhāsakatvamityāha tameveti /	kiQca sarvasya sUrya AdeH tad BAsya tvAt na tad BAsaka tvam iti Aha tam eva iti /
   anugamanavadanumānaṃ svagatamiti śaṅkāṃ nirasyati tasyeti /	anugamana vat anumAnam svagatam iti SaFkAm nirasyati tasya iti /
   tatreti saptamyāḥ sati viṣaye ca sādhāraṇyātsaṃśayamāha tatreti /	tatra iti saptamyAH sati vizaye ca sADAraNyAt saMSayam Aha tatra iti /
   pūrvatrātmaśrutyādibalādākāśaśabdasya rūḍhityāgādīśvare vṛttirāśritā /	pUrvatra Atma Sruti Adi balAt AkASa Sabdasya rUXi tyAgAt ISvare vRttiH ASritA /
   tathehāpi satisaptamībalādvartamānārthatyāgena yasminsati sūryādayo na	taTA iha api sati saptamI balAt vartamAna arTa tyAgena yasmin sati sUrya AdayaH na
   bhāsyanti sa tejoviśeṣa upāsya iti bhaviṣyadarthe vṛttirāśrayaṇīyā /	BAsyanti sa tejaH viSezaH upAsyaH iti Bavizyat arTe vRttiH ASrayaNIyAH /
   adhunā bhāsamāne sūryādau na bhātīti virodhāditi dṛṣṭāntena	aDunA BAsamAne sUrya AdO na BAti iti viroDAt iti dRzwAntena
   pūrvapakṣayati tejodhāturiti /	pUrva pakzayati  tejaH DAtuH iti /
   tejodhānaṃ, nirguṇasvayañjyotirātmajñānamityubhayatra phalam /	tejaH DAnaM, nirguNa svayan jyotiH Atma jQAnam iti uBayatra Palam /
   tejodhātutve liṅgamāha tejodhātūnāmiti /	tejaH DAtu tve liFgamAha  tejaH DAtUnAm iti /
   yattejaso 'bhibhāvakaṃ tatteja iti vyāptimāha tejaḥsvabhāvakamiti /	yat tejasaH aBiBAvakam tat tejaH iti vyApti mAha  tejaH svaBAvakam iti /
   yasminsati yanna bhāti tadanu tadbhātīti viruddhamityata āha anubhānamiti	yasmin sati yat na BAti tadanu tat BAti iti virudDam iti atas Aha anuBAnam iti
   tato nikṛṣṭabhānaṃ vivakṣitamiti bhāvaḥ /	tatas nikRzwa BAnam vivakzitam iti BAvaH /
   mukhyasaṃbhave vivakṣānupapatteḥ mukhyānubhānaliṅgātsarvabhāsakaḥ	muKya saMBave vivakzA anupapatteH muKya anuBAna liFgAt sarva BAsakaH
   paramātmā svaprakāśako 'tra grāhya iti siddhāntamāha prājña iti /	paramAtmA sva prakASakaH atra grAhyaH iti sidDAntam Aha  prAjQaH iti /
   prājñatvaṃ svaprakāśakatvaṃ bhāsakatvārthamuktam /	prAjQa tvam sva prakASaka tvam BAsaka tva arTam uktam /
   tatra śrutimāha bhārūpa iti /	tatra Srutim Aha BA rUpaH iti /
   mānābhāvācca tejodhāturnā grāhya ityāha na tviti /	mAna aBAvAt ca tejaH DAtuH nA grAhyaH iti Aha na tu iti /
   kiñca sūryādayastejontarabhānamanu na bhānti, tejastvāt,	kiQca sUrya AdayaH tejaH ntara BAnam anu na BAnti, tejaH tvAt,
   pradīpavadityāha samatvācceti /	pradIpa vaditi Aha  sama tvAt ca iti /
   yo 'yamanukaroti sa tajjātīya iti niyamo nāstītyāha nāyamekānta iti /	yaH ayam anukaroti sa tad jAtIyaH iti niyamaH na asti iti Aha na ayam ekAntaH iti /
   paunaruktyamāśaṅkyoktānuvādapūrvakaṃ sūtroktaṃ hetvantaraṃ	pOnaruktyam ASaFkya ukta anuvAda pUrvakam sUtra uktam hetu antaram
   vyācaṣṭe anukṛteriti /	vyAcazwe anukRteH iti /
   'tameva bhāntam'ityevakāroktaṃ tadbhānaṃ vinā sarvasya	atam eva BAntam aiti evakAra uktam tat BAnam vinA sarvasya
   pṛthagbhānābhāvarūpamanubhānamanukṛterityanenoktam tasya ceti /	pRTak BAnA BAva rUpam anuBAnam anukRteH iti anena uktam tasya ca iti /
   sarvabhāsakatvamuktamityapaunaruktyamityarthaḥ /	sarva BAsaka tvam uktam iti apOnaruktyam iti arTaH /
   ātmanaḥ sūryādibhāsakatvaṃ śrutyantaraprasiddhamaviruddhaṃ cetyāha taddevā	AtmanaH sUrya Adi BAsaka tvam Sruti antara prasidDam avirudDam ca iti Aha tat devA
   iti /	iti /
   sarvaśabdaḥ prakṛtasūryādivācakatvena vyākhyātaḥ /	sarva SabdaH prakRta sUrya Adi vAcaka tvena vyAKyAtaH /
   saṃprati tasyāsaṃkucadvṛttitāṃ matvārthāntaramāha athaveti /	saMprati tasya asaMkuca dvRtti tAm matvA arTa antaram Aha aTavA iti /
   tatreti sarvanāmaśrutyā prakṛtaṃ brahma grāhyamityāha na tatra sūrya iti /	tatra iti sarvanAma SrutyA prakRtam brahma grAhyam iti Aha na tatra sUryaH iti /
   kiñca spaṣṭabrahmaparapūrvamantrākāṅkṣāpūrakatvādayaṃ mantro brahmapara	kiQca spazwa brahma parapUrva mantra AkAFkzA pUraka tvAt ayam mantraH brahma para
   ityāha anantaraṃ ceti /	iti Aha anantaram ca iti /
   hiraṇmaye jyotirmaye annamayādyapekṣayā pare kośe ānandamayākhye	hiraNmaye jyotiH maye anna maya Adi apekzayA pare koSe Ananda maya AKye
   pucchaśabditaṃ brahma virajaṃ āgantukamalaśūnyaṃ, niṣkalaṃ niravayavaṃ,	pucCa Sabditam brahma virajam Agantu kamala SUnyan, nizkalam niravayavaM,
   śubhraṃ naisargikamalaśūnyaṃ, sūryādisākṣibhūtaṃ	SuBram nEsargi kamala SUnyan, sUrya Adi sAkzi BUtam
   brahmavitprasiddhamityarthaḥ /	brahma vid prasidDam iti arTaH /
   satisaptamīpakṣamanuvadati yadapīti /	sati saptam Ipakzam anuvat ati yat api iti /
   sūryādyabhibhāvakatejodhātau prāmāṇike tasyeha grahaṇaśaṅkā syāt, na tatra	sUrya Adi aBiBAvaka tejaH DAtO prAmANike tasya iha grahaNa SaFkA syAt, na tatra
   pramāṇamastītyāha tatreti /	pramANam asti iti Aha tatra iti /
   siddhānte tatreti vākyārthaḥ kathamityāśaṅkyāha brahmaṇyapīti /	sidDAnte tatra iti vAkya arTaH kaTam iti ASaFkya aha brahmaNi api iti /
   satisaptamīpakṣe na bhātīti śrutaṃ vartamānatvaṃ tyaktvā tasminsati na	sati saptam Ipakze na BAti iti Srutam vartamAna tvam tyaktvA tasmin sati na
   bhāsyantītyaśrutabhaviṣyattvaṃ kalpanīyaṃ pratyakṣavirodhanirāsāya /	BAsyanti iti aSruta Bavizyat tvam kalpanIyam pratyakza viroDa nirAsAya /
   viṣayasaptamīpakṣe tu na bhāsayatītyaśrutaṇijadhyāhāramātraṃ kalpyaṃ na	vizaya saptamI pakze tu na BAsayati iti aSru taNija DyAhAra mAtram kalpyam na
   śrutatyāga iti lāghavaṃ, ato brahmaṇi viṣaye sūryāderbhāsakatvaniṣedhena	Sruta tyAgaH iti lAGavan, atas brahmaNi vizaye sUrya AdeH BAsaka tva nizeDena
   brahmabhāsyatvamucyata ityarthaḥ /	brahma BAsya tvam ucyate iti arTaH /
   yenānyābhāsyatvena hetunā sūryādayastasminbrahmaṇi viṣaye bhāsakāḥ	yena anya ABAsya tvena hetunA sUrya AdayaH tasmin brahmaNi vizaye BAsakAH
   syustathā tu brahmānyena nopalabhyate svaprakāśatvāditi yojanā /	syuH taTA tu brahma anyena na upalaByate sva prakASa tvAt iti yojanAH /
   uktameva śrutyantareṇa draḍhayati brahmeti /	uktam eva Sruti antareNa draXayati  brahma iti /
   svaprakāśatve 'nyābhāsyatve ca śrutidvayam /	sva prakASa tve anya ABAsya tve ca Sruti dvayam /
