   Abhidharmakośabhāṣyam	ABiDarma-koSa-BAzyam
   yathābhyupagamaṃ lābhaḥ saṃvarasya na saṃtate // VAkK_4.33 //	yaTA-aByupagamam lABaH saMvarasya na saMtate // VAkK_4.33 //
   mṛṣāvādaprasaṅgācca sarvaśikṣāvyatikrame /	mRzAvAda-prasaFgAt-ca sarva-SikzA-vyatikrame /
   pratikṣepaṇasāvadyānmadyādeva anyuguptaye // VAkK_4.34 //	pratikzepaNasAvadyAt-madyAt-eva anyuguptaye // VAkK_4.34 //
   sarvobhayebhyaḥ kāmāpto vartamānebhya āpyate /	sarva-uBayeByaH kAma-AptaH vartamAneByaH Apyate /
   maulebhyaḥ sarvakālebhyo dhyānānāsrava saṃvarau // VAkK_4.35 //	mOleByaH sarva-kAleByaH DyAnAn-Asrava saMvarO // VAkK_4.35 //
   saṃvaraḥ sarvasattvebhyo vibhāṣā tvaṅgakāraṇaiḥ /	saMvaraH sarva-sattveByaH viBAzA tu-aFga-kAraNEH /
   asaṃvarastu sarvebhyaḥ sarvāṅgebhyo na kāraṇaiḥ // VAkK_4.36 //	asaMvaraH-tu sarveByaH sarva-aFgeByaH na kAraNEH // VAkK_4.36 //
   asaṃvarasya kriyayā lābho 'bhyupagamena vā /	asaMvarasya kriyayA lABaH aByupagamena vA /
   śeṣāvijñaptilābhastu kṣetrādānādarehanāt // VAkK_4.37 //	Seza-avijQapti-lABaH-tu kzetra-AdAnAt-arehanAt // VAkK_4.37 //
   prātimokṣadamatyāgaḥ śikṣānikṣepaṇāccyuteḥ /	prAtimokza-dama-tyAgaH SikzA-nikzepaNAt-cyuteH /
   ubhayavyañjanotpattermūlacchedānniśātyayāt // VAkK_4.38 //	uBaya-vyaQjana-utpatteH-mUla=-CedAt-niSA-atyayAt // VAkK_4.38 //
   patanīyena cetyeke saddharmāntadhito 'pare /	patanIyena ca-iti-eke sadDarma-antaDitaH apare /
   dhanarṇavattu kāśmīrairāpannasyeṣyate dvayam // VAkK_4.39 //	Dana-rNa-vat-tu kASmIrEH-Apannasya-izyate dvayam // VAkK_4.39 //
   bhūmisaṃcārahānibhyāṃ dhyānāptaṃ tyajyate śubham /	BUmi-saMcAra-hAniByAm DyAna-Aptam tyajyate SuBam /
   tathārūpyāptamāryaṃ tu phalāptyuttaptihānibhiḥ // VAkK_4.40 //	taTArUpya-Aptam-Aryam tu Pala-Apti-uttapti-hAniBiH // VAkK_4.40 //
   asaṃvaraḥ saṃvarāptimṛtyudvivyañjanodayaiḥ /	asaMvaraH saMvara-Apti-mRtyu-dvivyaQjana-udayEH /
   vegādānakriyārthāyurmūlacchedaistu madhyamā // VAkK_4.41 //	vega-AdAna-kriyA-arTa-AyuH-mUla=-CedEH-tu maDyamA // VAkK_4.41 //
   kāmāptaṃ kuśalārūpaṃ mūlacchedordhvajanmataḥ /	kAma-Aptam kuSala-arUpam mUla=-Ceda-UrDva-janmataH /
   pratipakṣodayāt kliṣṭamarūpaṃ tu vihīyate // VAkK_4.42 //	pratipakzodayAt klizwam-arUpam tu vihIyate // VAkK_4.42 //
   nṛṇāmasaṃvaro hitvā śaṇḍha paṇḍadvidhākṛtīn /	nRNAm-asaMvaraH hitvA SaNXa paNxa-dviDA-AkRtIn /
   kurūṃśca saṃvaro 'pyevaṃ devānāṃ ca nṛṇāṃ trayaḥ // VAkK_4.43 //	kurUn=-ca saMvaraH api-evam devAnAm ca nRNAm trayaH // VAkK_4.43 //
   kāmarūpajadevānāṃ dhyānajaḥ anāsravaḥ punaḥ /	kAmarUpa-ja-devAnAm DyAna-jaH anAsravaH punar /
   dhyānāntarāsaṃjñisattvavarjyānāmapyarūpiṇām // VAkK_4.44 //	DyAna-antarA-saMjQi-sattva-varjyAnAm-api-arUpiNAm // VAkK_4.44 //
   kṣemākṣemetaratkarma kuśalākuśaletarat /	kzemAkzema-itarat-karma kuSala-akuSala-itarat /
   puṇyāpuṇyamaniñjaṃ ca sukhevedyādi ca trayam // VAkK_4.45 //	puNya-apuNyam-aniQjam ca suKevedya-Adi ca trayam // VAkK_4.45 //
   kāmadhātau śubhaṃ karma puṇyamāneñjamūrdhvajam /	kAmaDAtO SuBam karma puNyamAna-iQjam-UrDvajam /
   tadbhūmiṣu yataḥ karmavipākaṃ prati neñjati // VAkK_4.46 //	tat-BUmizu yatas karma-vipAkam prati na-iQjati // VAkK_4.46 //
   sukhavedyaṃ śubhaṃ dhyānādātṛtīyāt ataḥ param /	suKa-vedyam SuBam DyAnAt-AtRtIyAt atas param /
   aduḥkhāsukhavedyaṃ tu duḥkhavedyamihāśubham // VAkK_4.47 //	aduHKa-asuKa-vedyam tu duHKa-vedyam-iha-aSuBam // VAkK_4.47 //
   adho 'pi madhyamastyeke dhyānāntaravipākataḥ /	aDas api maDyam-asti-eke DyAna-antara-vipAkataH /
   apūrvācaramaḥ pākastrayāṇāṃ ceṣyate yataḥ // VAkK_4.48 //	apUrvAcaramaH pAkaH-trayANAm ca-izyate yatas // VAkK_4.48 //
   svabhāvasaṃprayogābhyāmālambanavipākataḥ /	svaBAva-saMprayogAByAm-Alambana-vipAkataH /
   saṃmukhībhāvataśceti pañcadhā vedanīyatā // VAkK_4.49 //	saMmuKIBAvataH-ca-iti paQcaDA vedanIya-tA // VAkK_4.49 //
   niyatāniyataṃ tacca niyataṃ trividhaṃ punaḥ /	niyata-aniyatam tat-ca niyatam triviDam punar /
   dṛṣṭadharmādivedyatvāt pañcadhā karma kecana // VAkK_4.50 //	dRzwa-Darma-Adi-vedya-tvAt paQcaDA karma kecana // VAkK_4.50 //
   catuṣkoṭikamityanye nikāyākṣepaṇaṃ tribhiḥ /	catuzkowikam-iti-anye nikAya-AkzepaNam triBiH /
   sarvatra caturākṣepaḥ śubhasya narake tridhā // VAkK_4.51 //	sarvatra catur-AkzepaH SuBasya narake triDA // VAkK_4.51 //
   yadviraktaḥ sthiro bālastatra notpadyavedyakṛt /	yat-viraktaH sTiraH bAlaH-tatra na-utpadya-vedya-kRt /
   nānyavedyakṛdapyāryaḥ kāme 'gre vāsthiro 'pi na // VAkK_4.52 //	na-anya-vedya-kRt-api-AryaH kAme agre vA-asTiraH api na // VAkK_4.52 //
   dvāviṃśatividhaṃ kāmeṣvākṣipatyantarābhavaḥ /	dvAviMSativiDam kAmezu-Akzipati-antarABavaH /
   dṛṣṭadharmaphalaṃ tacca nikāyo hyeka eva saḥ // VAkK_4.53 //	dRzwa-Darma-Palam tat-ca nikAyaH hi-ekaH eva saH // VAkK_4.53 //
   tīvrakleśaprasādena sātatyena ca yatkṛtam /	tIvra-kleSa-prasAdena sAtatyena ca yat-kRtam /
   guṇakṣetre ca niyataṃ tatpitrorghātakaṃ ca yat // VAkK_4.54 //	guNa-kzetre ca niyatam tat-pitroH-GAtakam ca yat // VAkK_4.54 //
   dṛṣṭadharmaphalaṃ karma kṣetrāśayaviśeṣataḥ /	dRzwa-Darma-Palam karma kzetra-ASaya-viSezataH /
   tadbhūmyatyantavairāgyāt vipāke niyataṃ hi yat // VAkK_4.55 //	tat-BUmi-atyanta-vErAgyAt vipAke niyatam hi yat // VAkK_4.55 //
   ye nirodhāraṇāmaitrīdarśanārhatphalotthitāḥ /	ye niroDAraNA-mEtrI-darSana-arhat-Pala-utTitAH /
   teṣu kārāpakārāsya phalaṃ sadyo 'nubhūyate // VAkK_4.56 //	tezu kAra-apakAra-asya Palam sadyas anuBUyate // VAkK_4.56 //
   kuśalasyāvitarkasya karmaṇo vedanā matā /	kuSalasya-avitarkasya karmaNaH vedanA matA /
   vipākaścaitasikyeva kāyikyevāśubhasya tu // VAkK_4.57 //	vipAkaH-cEtasikI-A-iva kAyikI-A-iva-aSuBasya tu // VAkK_4.57 //
   cittakṣepo manaścitte sa ca karmavipākajaḥ /	citta-kzepaH manaH-citte sa ca karma-vipAka-jaH /
   bhayopaghātavaiṣamyaśokaiśca akurukāminām // VAkK_4.58 //	Baya-upaGAta-vEzamya-SokEH-ca akuru-kAminAm // VAkK_4.58 //
   vaṅkadoṣakaṣāyoktiḥ śāṭhyadveṣajarāgaje /	vaFka-doza-kazAya-uktiH SAWya-dveza-ja-rAgaje /
   kṛṣṇaśuklādibhedena punaḥ karma caturvidham // VAkK_4.59 //	kRzNa-Sukla-Adi-Bedena punar karma caturviDam // VAkK_4.59 //
   aśubhaṃ rūpakāmāptaṃ śubhaṃ caiva yathākramam /	aSuBam rUpa-kAma-Aptam SuBam ca-eva yaTAkramam /
   kṛṣṇaśuklobhayaṃ karma tatkṣayāya nirāsravam // VAkK_4.60 //	kRzNa-Sukla-uBayam karma tad-kzayAya nirAsravam // VAkK_4.60 //
   dharmakṣāntiṣu vairāgye cānantaryapathāṣṭake /	Darma-kzAntizu vErAgye ca-anantarya-paTa-azwake /
   yā cetanā dvādaśadhā karma kṛṣṇakṣayāya tat // VAkK_4.61 //	yA cetanA dvAdaSaDA karma kRzNa-kzayAya tat // VAkK_4.61 //
   navame cetanā yā sā kṛṣṇaśuklakṣayāya ca /	navame cetanA yA sA kRzNa-Sukla-kzayAya ca /
   śuklasya dhyānavairāgyeṣvantyānantaryamārgajā // VAkK_4.62 //	Suklasya DyAna-vErAgyezu-antya-Anantarya-mArga-jAH // VAkK_4.62 //
   anye narakavedyānyakāmavedyaṃ dvayaṃ viduḥ /	anye naraka-vedyA-anya-kAma-vedyam dvayam viduH /
   dṛgdheyaṃ kṛṣṇamanye anyatkṛṣṇaśuklaṃ tu kāmajam // VAkK_4.63 //	dRgDeyam kRzNam-anye anyat-kRzNa-Suklam tu kAma-jam // VAkK_4.63 //
   aśaikṣaṃ kāyavākkarma manaścaiva yathākramam /	aSEkzam kAya-vAc-karma manaH-ca-eva yaTAkramam /
   maunatrayam tridhā śaucaṃ sarva sucaritatrayam // VAkK_4.64 //	mOna-trayam triDA SOcam sarva su-carita-trayam // VAkK_4.64 //
   aśubhaṃ kāyakarmādi mataṃ duścarita trayam /	aSuBam kAya-karma-Adi matam duScarita trayam /
   akarmāpi tvabhidhyādimanoduścaritaṃ tridhā // VAkK_4.65 //	akarmA-api tu-aBiDi-Adi-manaH-duScaritam triDA // VAkK_4.65 //
   viparyayātsucaritam tadaudārikasaṃgrahāt /	viparyayAt-su-caritam tad-OdArika-saMgrahAt /
   daśa karmapathā uktā yathāyogaṃ śubhāśubhāḥ // VAkK_4.66 //	daSa karma-paTAH uktAH yaTAyogam SuBa-aSuBAH // VAkK_4.66 //
   aśubhāḥ ṣaḍavijñaptiḥ dvidhaikaḥ te 'pi kurvataḥ /	aSuBAH zaz-avijQaptiH dviDA-ekaH te api kurvataH /
   dvividhāḥ sapta kuśalāḥ avijñaptiḥ samādhijāḥ // VAkK_4.67 //	dviviDAH sapta kuSalAH avijQaptiH samADi-jAH // VAkK_4.67 //
   sāmantakāstu vijñaptiḥ avijñaptirbhavenna vā /	sAmantakAH-tu vijQaptiH avijQaptiH-Bavet-na vA /
   viparyayeṇa pṛṣṭhāni prayogastu trimūlajaḥ // VAkK_4.68 //	viparyayeNa pRzWAni prayogaH-tu trimUla-jaH // VAkK_4.68 //
   tadanantarasaṃbhūterabhidhyādyāstrimūlajāḥ /	tad-anantara-saMBUteH-aBiDi-AdyAH-tri-mUla-jAH /
   kuśalāḥ saprayogāntā alobhadveṣamohajāḥ // VAkK_4.69 //	kuSalAH sa-prayoga-antAH aloBa-dveza-moha-jAH // VAkK_4.69 //
   vadhavyāpādapāruṣyaniṣṭhā dveṣeṇa lobhataḥ /	vaDa-vyApAda-pAruzya-nizWAH dvezeNa loBataH /
   parastrīgamanābhidhyādattādānasamāpanam // VAkK_4.70 //	para-strI-gamana-aBiDyA-datta-AdAna-samApanam // VAkK_4.70 //
   mithyādṛṣṭestu mohena śeṣāṇāṃ tribhiriṣyate /	miTyA-dRzweH-tu mohena SezANAm triBiH-izyate /
   sattvabhogāvadhiṣṭhānaṃ nāmarūpaṃ ca nāma ca // VAkK_4.71 //	sattva-BogO=-aDizWAnam nAma-rUpam ca nAma ca // VAkK_4.71 //
   samaṃ prāk ca mṛtasyāsti na maulaḥ anyāśrayodayāt /	samam prAk ca mRtasya-asti na mOlaH anya-ASraya-udayAt /
   senādiṣvekakāryatvāt sarve karttṛvadanvitāḥ // VAkK_4.72 //	senAdizu-eka-kArya-tvAt sarve karttR-vat-anvitAH // VAkK_4.72 //
   prāṇātipātaḥ saṃcintya parasyābhrāntimāraṇam /	prANa-atipAtaH saMcintya parasya-aBrAnti-mAraNam /
   adattādānamanyasvasvīkriyā balacauryataḥ // VAkK_4.73 //	adatta-AdAnam-anya-sva-svIkriyAH bala-cOryataH // VAkK_4.73 //
   agamyagamanaṃ kāmamithyācāraścaturvidhaḥ /	agamya-gamanam kAma-miTyA-AcAraH-caturviDaH /
   anyathāsaṃjñino vākyamarthābhijñe mṛṣāvacaḥ // VAkK_4.74 //	anyaTA-saMjQinaH vAkyam-arTa-aBijQe mRzA-vacaH // VAkK_4.74 //
   cakṣuḥ śrotamanaścittairanubhūtaṃ tribhiśca yat /	cakzuH Srota-manaH-cittEH-anuBUtam triBiH-ca yat /
   taddaṣṭaśrutavijñātaṃ mataṃ coktaṃ yathākramam // VAkK_4.75 //	tat-dazwa-Sruta-vijQAtam matam ca-uktam yaTAkramam // VAkK_4.75 //
   paiśunyaṃ kliṣṭacittasya vacanaṃ parabhedane /	pESunyam klizwa-cittasya vacanam para-Bedane /
   pārūṣyamapriyaṃ sarva kliṣṭaṃ bhinna pralāpitā // VAkK_4.76 //	pArUzyam-apriyam sarve klizwam Binna pralApitAH // VAkK_4.76 //
   ato 'nyat kliṣṭamityanye lapanāgītanāṭyavat /	atas anyat klizwam-iti-anye lapana-agIta-nAwya-vat /
   kuśāstavacca abhidhyā tu parasvaviṣamaspṛhā // VAkK_4.77 //	kuSAH-tavat-ca aBiDyA tu para-sva-vizama-spRhA // VAkK_4.77 //
   vyāpādaḥ sattvavidveṣaḥ nāstidṛṣṭiḥ śubhāśubhe /	vyApAdaH sattva-vidvezaH nAsti-dRzwiH SuBa-aSuBe /
   mithyādṛṣṭiḥ trayo hyatra panthānaḥ sapta karma ca // VAkK_4.78 //	miTyAdRzwiH trayaH hi-atra panTAnaH sapta karma ca // VAkK_4.78 //
   mūlacchedastvasaddṛṣṭayā kāmāptotpattilābhinām /	mUla=-CedaH-tu-asat-dRzwayA kAma-Apta-utpatti-lABinAm /
   phalahetvapavādinyā sarvathā kramaśaḥ nṛṣu // VAkK_4.79 //	Pala-hetu-apavAdinyA sarvaTA kramaSas nRzu // VAkK_4.79 //
   chinatti strī pumān dṛṣṭicaritaḥ so 'samanvayaḥ /	Cinatti strI pumAn dRzwi-caritaH saH asamanvayaH /
   saṃdhiḥ kāṅkṣāstidṛṣṭibhyāṃ nehānantaryakāriṇaḥ // VAkK_4.80 //	saMDiH kAFkzAH-ti-dRzwiByAm na-iha-Anantarya-kAriNaH // VAkK_4.80 //
   yugapadyāvadaṣṭābhiraśubhaiḥ saha vartate /	yugapad-yAvat-azwABiH-aSuBEH saha vartate /
   cetanā daśabhiryāvacchubhaiḥ naikāṣṭapañcabhiḥ // VAkK_4.81 //	cetanA daSaBiH-yAvat-SuBEH na-eka-azwa-paQcaBiH // VAkK_4.81 //
   bhinnapralāpapārūṣyavyāpādā narake dvidhā /	Binna-pralApa-pArUzya-vyApAdA narake dviDA /
   samanvāgamato 'bhidhyāmithyādṛṣṭī kurau trayaḥ // VAkK_4.82 //	samanvAgamataH aBiDyAmiTyA-dRzwI kurO trayaH // VAkK_4.82 //
   saptamaḥ svayamapyatra kāme 'nyatra daśāśubhāḥ /	saptamaH svayam-api-atra kAme anyatra daSa-aSuBAH /
   śubhāstrayastu sarvatra saṃmukhībhāvalābhataḥ // VAkK_4.83 //	SuBAH-trayaH-tu sarvatra saMmuKIBAva-lABataH // VAkK_4.83 //
   ārūpyāsaṃjñisattveṣu lābhataḥ sapta śeṣite /	ArUpya-asaMjQi-sattvezu lABataH sapta Sezite /
   saṃmukhībhāvataścāpi hitvā sanarakān kurūn // VAkK_4.84 //	saMmuKIBAvataH-ca-api hitvA sa-narakAn kurUn // VAkK_4.84 //
   sarve 'dhipatiniṣyandavipākaphaladā matāḥ /	sarve aDipati-nizyanda-vipAka-Pala-dAH matAH /
   duḥkhanānmāraṇādojonāśanāttrividhaṃ phalam // VAkK_4.85 //	duHKanAt-mAraNAt-ojaH-nASanAt-triviDam Palam // VAkK_4.85 //
   lobhajaṃ kāyavākkarma mithyājīvaḥ pṛthak kṛtaḥ /	loBa-jam kAya-vAkkarma miTyAjIvaH pRTak kRtaH /
   duḥśodhatvāt pariṣkāralobhotthaṃ cet na sūtrataḥ // VAkK_4.86 //	duHSoDa-tvAt parizkAra-loBa-utTam ced na sUtrataH // VAkK_4.86 //
   prahāṇamārge samale saphalaṃ karma pañcabhiḥ /	prahANa-mArge sa-male saPalam karma paQcaBiH /
   caturbhiramale anyacca sāsravaṃ yacchubhāśubham // VAkK_4.87 //	caturBiH-amale anyat-ca sa-Asravam yat-SuBa-aSuBam // VAkK_4.87 //
   anāsravaṃ punaḥ śeṣaṃ tribhiravyākṛtaṃ ca yat /	anAsravam punar Sezam triBiH-avyAkRtam ca yat /
   catvāri dve tathā trīṇi kuśalasya śubhādayaḥ // VAkK_4.88 //	catvAri dve taTA trINi kuSalasya SuBa-AdayaH // VAkK_4.88 //
   aśubhasya śubhādyā dve trīṇi catvāryanukramam /	aSuBasya SuBa-AdyAH dve trINi catvAri-anukramam /
   avyākṛtasya dve trīṇi trīṇī caite śubhādayaḥ // VAkK_4.89 //	avyAkRtasya dve trINi trINI ca-ete SuBa-AdayaH // VAkK_4.89 //
   sarve 'tītasya catvāri madhyamasyāpyanāgatāḥ /	sarve atItasya catvAri maDyamasya-api-anAgatAH /
   madhyamā dve ajātasya phalāni trīṇyanāgatāḥ // VAkK_4.90 //	maDyamA dve ajAtasya PalAni trINi-anAgatAH // VAkK_4.90 //
   svabhūmidharmāścatvāri trīṇi dve vānyabhūmikāḥ /	sva-BUmi-DarmAH-catvAri trINi dve vA-anya-BUmikAH /
   śaikṣasya trīṇi śaikṣādyāḥ aśaikṣasya tu karmaṇaḥ // VAkK_4.91 //	SEkzasya trINi SEkza-AdyAH aSEkzasya tu karmaNaH // VAkK_4.91 //
   dharmāḥ śaikṣādikā ekaṃ phalaṃ trīṇyapi ca dvayam /	DarmAH SEkza-AdikAH ekam Palam trINi-api ca dvayam /
   tābhyāmanyasya śaikṣādyā dve dve pañca phalāni ca // VAkK_4.92 //	tAByAm-anyasya SEkza-AdyAH dve dve paQca PalAni ca // VAkK_4.92 //
   trīṇi catvāri caikaṃ ca dṛggheyasya tadādayaḥ /	trINi catvAri ca-ekam ca dRS-heyasya tad-AdayaH /
   te dve catvāryatha trīṇi bhāvanāheyakarmaṇaḥ // VAkK_4.93 //	te dve catvAri-aTa trINi BAvanA-heya-karmaNaH // VAkK_4.93 //
   apraheyasya te tvekaṃ dve catvāri yathākramam /	apraheyasya te tu-ekam dve catvAri yaTAkramam /
   ayogavihitaṃ kliṣṭaṃ vidhibhraṣṭaṃ ca kecana // VAkK_4.94 //	ayoga-vihitam klizwam viDi-Brazwam ca kecana // VAkK_4.94 //
   ekaṃ janmākṣipatyekam anekaṃ paripūrakam /	ekam janma-Akzipati-ekam anekam paripUrakam /
   nākṣepike samāpattī acitte prāptayo na ca // VAkK_4.95 //	na-Akzepike samApattI acitte prAptayaH na ca // VAkK_4.95 //
   ānantaryāṇi karmāṇi tīvrakleśo 'tha durgatiḥ /	AnantaryANi karmANi tIvra-kleSaH aTa durgatiH /
   kauravāsaṃjñittvāśca matamāvaraṇatrayam // VAkK_4.96 //	kOrava-asaMjQittvAH-ca matam-AvaraNa-trayam // VAkK_4.96 //
   triṣu dvipeṣvānantarya śaṇḍhā dīnāṃ tu neṣyate /	trizu dvipezu-Anantarya SaNXA dInAm tu na-izyate /
   alpopakārālajjitvāt śeṣe gatiṣu pañcasu // VAkK_4.97 //	alpa-upakAra-alajjitvAt Seze gatizu paQcasu // VAkK_4.97 //
   saṃghabhedastvasāmagrīsvabhāvo viprayuktakaḥ /	saMGa-BedaH-tu-asAmagrI-svaBAvaH viprayuktakaH /
   akliṣṭāvyākṛto dharmaḥ saṃghastena samanvitaḥ // VAkK_4.98 //	aklizwa-avyAkRtaH DarmaH saMGaH-tena samanvitaH // VAkK_4.98 //
   tadavadya mṛṣāvādastena bhettā samanvitaḥ /	tat-avadya mRzA=-AdaH-tena BettA samanvitaH /
   avīcau pacyate kalpam adhikairadhikā rujaḥ // VAkK_4.99 //	avIcO pacyate kalpam aDikEH-aDikAH rujaH // VAkK_4.99 //
   bhikṣurdṛk carito vṛttī bhinatti anyatra bāliśān /	BikzuH-dRS caritaH vRttI Binatti anyatra bAliSAn /
   śāstṛmārgāntarakṣāntau bhinnaḥ na vivasatyasau // VAkK_4.100 //	SAstR-mArga-antara-kzAntO BinnaH na vivasati-asO // VAkK_4.100 //
   cakrabhedaḥ sa ca mataḥ jambūdvīpe navādibhiḥ /	cakra-BedaH sa ca mataH jambUdvIpe nava-AdiBiH /
   karmabhedastriṣu dvipeṣu aṣṭabhiradhikaiśca saḥ // VAkK_4.101 //	karma-BedaH-trizu dvipezu azwaBiH-aDikEH-ca saH // VAkK_4.101 //
   ādāvante 'rbudāt pūrvaṃ yugāccoparate munau /	AdO=-ante arbudAt pUrvam yugAt-ca-uparate munO /
   sīmāyāṃ cāpyabaddhāyāṃ cakrabhedo na jāyate // VAkK_4.102 //	sImAyAm ca-api-abadDAyAm cakra-BedaH na jAyate // VAkK_4.102 //
   upakāriguṇakṣetranirākṛtivipādanāt /	upakAri-guNa-kzetra-nirAkRti-vipAdanAt /
   vyañjanāntarito 'pi syāt mātā yacchoṇitodbhavaḥ // VAkK_4.103 //	vyaQjana-antaritaH api syAt mAtA yat-SoNita-udBavaH // VAkK_4.103 //
   buddhe na tāḍanecchasya prahārānnordhvamarhati /	budDe na tAxana-icCasya prahArAn-na-UrDvam-arhati /
   nānantaryaprayuktasya vairāgyaphalasaṃbhavaḥ // VAkK_4.104 //	na-anantarya-prayuktasya vErAgya-Pala-saMBavaH // VAkK_4.104 //
   saṃghabhede mṛṣāvādo mahāvadyatamo mataḥ /	saMGaBede mRzAvAdaH mahAvat-yatamaH mataH /
   bhavāgracetanā loke mahāphalatamā śubhe // VAkK_4.105 //	Bava-agra-cetanAH loke mahA-PalatamA SuBe // VAkK_4.105 //
   dūṣaṇaṃ māturarhantyā niyatisthasya māraṇam /	dUzaNam mAtuH-arhantyA niyati-sTasya mAraNam /
   bodhisattvasya śaikṣasya saṃghāyadvārahārikā // VAkK_4.106 //	boDisattvasya SEkzasya saMGAya-dvAra-hArikA // VAkK_4.106 //
   ānantaryasabhāgāni pañcamaṃ stūpabhedanam /	AnantarI-a-sa-BAgAni paQcamam stu-upaBedanam /
   kṣāntyanāgāmitārhattvaprāptau karmātivighnakṛt // VAkK_4.107 //	kzAnti-anAga-amita-arhat-tva-prAptO karma-ati-viGna-kRt // VAkK_4.107 //
   bodhisattvaḥ kuto yāvat yato lakṣaṇa karmakṛt /	boDisattvaH kutas yAvat yatas lakzaNa karma-kRt /
   sugatiḥ kulajo 'vyakṣaḥ pumān jātismaro 'nivṛt // VAkK_4.108 //	sugatiH kula-jaH avyakzaH pumAn jAtismaraH anivRt // VAkK_4.108 //
   jambūdvīpe pumāneva saṃmukhaṃ buddhacetanaḥ /	jambUdvIpe pumAn-eva saMmuKam budDa-cetanaH /
   cintāmayaṃ kalpaśate śeṣa ākṣipate hi tat // VAkK_4.109 //	cintA-mayam kalpa-Sate SezaH Akzipate hi tat // VAkK_4.109 //
   ekaikaṃ puṇyaśatajam asaṃkhyeyatrayāntyajāḥ /	ekEkam puNya-Sata-jam asaMKyeya-traya-antya-jAH /
   vipaśyī dīpakṛdatnaśikhī śākyamuniḥ purā // VAkK_4.110 //	vipaSyI dIpa-kRt-atna-SiKI SAkya-muniH purA // VAkK_4.110 //
   sarvatra sarva dadataḥ kārūṇyāddānapūraṇam /	sarvatra sarva dadataH kArUNyAt-dAna-pUraNam /
   aṅgacchede 'pyakopāttu rāgiṇaḥ kṣāntiśīlayoḥ // VAkK_4.111 //	aFga=-Cede api-akopAt-tu rAgiNaH kzAnti-SIlayoH // VAkK_4.111 //
   tiṣyastotreṇa vīryasya dhīsamādhyoranantaram /	tizya-stotreNa vIryasya DI-samADyoH-anantaram /
   puṇyaṃ kriyātha tadvastu trayaṃ karmapathā yathā // VAkK_4.112 //	puNyam kriyA-aTa tat-vastu trayam karma-paTAH yaTA // VAkK_4.112 //
   dīyate yena taddānaṃ pūjānugrahakāmyayā /	dIyate yena tat-dAnam pUjA-anugraha-kAmyayA /
   kāyavākkarma sotthānaṃ mahābhogyaphalaṃ ca tat // VAkK_4.113 //	kAya-vAkkarma sa-utTAnam mahA-Bogya-Palam ca tat // VAkK_4.113 //
   svaparārthobhayārthāya nobhayārthāya dīyate /	sva-para-arTa-uBaya-arTAya na-uBaya-arTAya dIyate /
   tadviśeṣaḥ punardātṛvastukṣetraviśeṣataḥ // VAkK_4.114 //	tad-viSezaH punar-dAtR-vastu-kzetra-viSezataH // VAkK_4.114 //
   dātā viśiṣṭaḥ śraddhādyaiḥ satkṛtyādi dadāti ataḥ /	dAtA viSizwaH SradDA-AdyEH satkRtya-Adi dadAti atas /
   satkārodārarucitā kālānācchedyalābhitā // VAkK_4.115 //	satkAra-udAra-ruci-tA kAla-anAt-Cedya-lABitA // VAkK_4.115 //
   varṇādisampadā vastu surūpatvaṃ yaśasvi vā /	varNa-Adi-sampadA vastu surUpa-tvam yaSasvi vA /
   priyatā sukumārartusukhasparśāṅgatā tataḥ // VAkK_4.116 //	priya-tA sukumAra-Rtu-suKa-sparSa-aFga-tA tatas // VAkK_4.116 //
   gatiduḥkhopakāritvaguṇaiḥ kṣetraṃ viśiṣyate /	gati-duHKa-upakAri-tva-guNEH kzetram viSizyate /
   agraṃ muktasya muktāya bodhisattvasya ca aṣṭamam // VAkK_4.117 //	agram muktasya muktAya boDisattvasya ca azwamam // VAkK_4.117 //
   mātṛpitṛglānadhārmakathikebhyo 'ntyajanmane /	mAtR-pitR-glAna-DArma-kaTikeByaH antya-janmane /
   bodhisattvāya cāmeyā anāryebhyo 'pi dakṣiṇā // VAkK_4.118 //	boDisattvAya ca-AmeyAH anAryeByaH api dakziNA // VAkK_4.118 //
   pṛṣṭhaṃ kṣetramadhiṣṭhānaṃ prayogaścetanāśayaḥ /	pRzWam kzetram-aDizWAnam prayogaH-cetanA-ASayaH /
   eṣāṃ mṛdvadhimātratvāt karmamṛdvadhimātratā // VAkK_4.119 //	ezAm mRdu-aDimAtra-tvAt karma-mRd-vaDimAtra-tA // VAkK_4.119 //
   saṃcetanasamāptibhyāṃ niṣkraukṛtya vipakṣataḥ /	saMcetana-samAptiByAm nizkrOkRtya vipakzataH /
   parivārādvipākācca karmopacittamucyate // VAkK_4.120 //	parivArAt-vipAkAt-ca karma-upacittam-ucyate // VAkK_4.120 //
   caitye tyāgānvayaṃ puṇyaṃ maitryādivadagṛṇhati /	cEtye tyAga-anvayam puNyam mEtrI-Adi-vat-agRNhati /
   kukṣetre 'pīṣṭaphalatā phalabījāviparyayāt // VAkK_4.121 //	kukzetre api-izwa-Pala-tA Pala-bIja-aviparyayAt // VAkK_4.121 //
   dauḥśīlyamaśubhaṃ rūpaṃ śīlaṃ tadviratiḥ dvidhā /	dOHSIlyam-aSuBam rUpam SIlam tat-viratiH dviDA /
   pratikṣiptācca buddhena viśuddhaṃ tu caturguṇam // VAkK_4.122 //	pratikziptAt-ca budDena viSudDam tu caturguNam // VAkK_4.122 //
