   Pāramitāsamāsaḥ	PAra mita asamAsaH
   svapnavat pelavāsvādā vañcanārthamivoditāḥ // Ps_5.21 //	svapna vat pelava AsvAdAH vaQcanA arTam iva uditAH // Ps_5.21 //
   pitṛṇāmapi putreṣu putrāṇāṃ ca pitṛṣvapi /	pitRNAm api putrezu putrANAm ca pitRzu api /
   prītisarvasvabhūteṣu suhṛtsu suhṛdāmapi // Ps_5.22 //	prIti sarvasva BUtezu suhRtsu suhRdAm api // Ps_5.22 //
   guṇapracayabaddhasya vyūḍhesu samareṣvapi /	guNa pracaya badDasya vyUXesu samarezu api /
   darśitasthairyasārasya snehasetorvidāriṇaḥ // Ps_5.23 //	darSita sTErya sArasya sneha setoH vidAriNaH // Ps_5.23 //
   iha paryeṣṭiduḥkhasya paratra narakasya ca /	iha paryezwi duHKasya paratra narakasya ca /
   hetubhūtā yataḥ kāmāḥ kāmayeta na tān ataḥ // Ps_5.24 //	hetu BUtAH yatas kAmAH kAmayeta na tAn atas // Ps_5.24 //
   yadāśrayo vitarko 'pi prajñācakṣurnimīlanaḥ /	yad ASrayaH vitarkaH api prajQA cakzuH nimIlanaH /
   ātmano 'pi parasyāpi vighātāya pravartate // Ps_5.25 //	AtmanaH api parasya api viGAtAya pravartate // Ps_5.25 //
   ātmakāmairapi ca ye sarvathāpi vivarjitāḥ /	Atma kAmEH api ca ye sarvaTA api vivarjitAH /
   parārthakāmastān kāmāṃstyaktvā kathamanusmaret // Ps_5.26 //	para arTa kAmaH tAn kAmAn= tyaktvA kaTam anusmaret // Ps_5.26 //
   tṛptireṣāṃ na saṃprāptyā nāhanyahani sevayā /	tRptiH ezAm na saMprAptyA na ahani ahani sevayA /
   naiva saṃnicayenāpi ko 'nyo vyādhirataḥ paraḥ // Ps_5.27 //	na eva saMnicayena api kaH anyaH vyADiH atas paraH // Ps_5.27 //
   yadāsvādahato naiva svārthamapyavabudhyate /	yadAsvAda hataH na eva sva arTam api avabuDyate /
   unmattapānapratimān kastān sahṛdayaḥ smaret // Ps_5.28 //	unmatta pAna pratimAn kaH tAn sahRdayaH smaret // Ps_5.28 //
   ityevaṃ sarvato duṣṭān kāmāṃstasyānupaśyataḥ /	iti evam sarvatas duzwAn kAmAn= tasya anupaSyataH /
   tataḥ saṃkucitaṃ cittaṃ naiṣkramye 'bhiprasīdati // Ps_5.29 //	tatas saMkucitam cittam nEzkramye aBiprasIdati // Ps_5.29 //
   vivekajaṃ prītisukhaṃ tataḥ prasrabdhilabdhijam /	viveka jam prIti suKam tatas prasrabDi labDi jam /
   prāpnoti cittasyaikāgryaṃ prathamadhyānasaṃjñitam // Ps_5.30 //	prApnoti cittasya ekAgryam praTama DyAna saMjQitam // Ps_5.30 //
   sa vitarkavicārāṇāṃ kāmānāmiva duṣṭatām /	sa vitarka vicArANAm kAmAnAm iva duzwa tAm /
   puṣyāṃstatpraśamānveṣī samādhiprītijaṃ sukham // Ps_5.31 //	puzyAn= tad praSama anvezI samADi prIti jam suKam // Ps_5.31 //
   adhyātmasaṃprasādācca cittaikāgratayā ca tat /	aDyAtma saMprasAdAt ca citta ekAgra tayA ca tat /
   dvitīyaṃ dhyānamityāhuradvitīyā maharṣayaḥ // Ps_5.32 //	dvitIyam DyAnam iti AhuH advitIyAH mahA RzayaH // Ps_5.32 //
   utplavaṃ manaso dṛṣṭvā prīteratha virajya saḥ /	utplavam manasaH dRzwvA prIteH aTa virajya saH /
   tṛtīyaṃ dhyānamāpnoti smṛtyupekṣāsamanvitam // Ps_5.33 //	tRtIyam DyAnam Apnoti smRti upekzA samanvitam // Ps_5.33 //
   sukhabhogamapi tyaktvā sukhaduḥkhanirākṛtam /	suKa Bogam api tyaktvA suKa duHKa nirAkRtam /
   viśuddhaṃ smṛtyupekṣābhyāṃ caturthaṃ dhyānamaśnute // Ps_5.34 //	viSudDam smRti upekzAByAm caturTam DyAnam aSnute // Ps_5.34 //
   abhijñā labhate pañca sa ca tatrānugāminīḥ /	aBijQA laBate paQca sa ca tatra anugAminIH /
   rājyastha iva dharmātmā hrīkīrtiśrīmatidyutīḥ // Ps_5.35 //	rAjya sTaH iva Darma AtmA hrI kIrti SrImati dyutIH // Ps_5.35 //
   pratyekajinalabdhāśca śrāvakīyā vyatītya ca /	pratyeka jina labDAH ca SrAvakIyAH vyatItya ca /
   tā bhavantyadhikā dūraṃ parārthasamudāgamāt // Ps_5.36 //	tAH Bavanti aDikAH dUram para arTa samudAgamAt // Ps_5.36 //
   sa hi matsariṇastyāge śīle tadvikalānapi /	sa hi matsariNaH tyAge SIle tad vikalAn api /
   kopanān kṣāntisauratye kusīdān vīryasaṃpadi // Ps_5.37 //	kopanAn kzAnti sOratye kusIdAn vIrya saMpadi // Ps_5.37 //
   vikṣiptacetaso dhyāne prajñāyāṃ tannirākṛtān /	vikzipta cetasaH DyAne prajQAyAm tad nirAkRtAn /
   niyojayati kāruṇyādaśrāntācāravikramaḥ // Ps_5.38 //	niyojayati kAruNyAt aSrAnta AcAra vikramaH // Ps_5.38 //
   ato 'cyutābhirdīptābhirbhābhirlokāvabhāsanam /	atas acyutABiH dIptABiH BABiH loka avaBAsanam /
   marīcibhirivādityāḥ kurute 'nantagocaram // Ps_5.39 //	marIciBiH iva AdityAH kurute ananta gocaram // Ps_5.39 //
   atha pāpakṛtaḥ sattvān patato narakādiṣu /	aTa pApa kRtaH sattvAn patataH naraka Adizu /
   kṣīṇapuṇyāyuṣaścaiva devāñchāśvatamāninaḥ // Ps_5.40 //	kzINa puNya AyuzaH ca eva devAn SASvata mAninaH // Ps_5.40 //
   taistairduḥkhaviśeṣaiśca lokaṃ kāraṇayāhatam /	tEH tEH duHKa viSezEH ca lokam kAraNayA hatam /
   tatra divyaprabhāveṇa cakṣuṣā sā vilokayan // Ps_5.41 //	tatra divya praBAveNa cakzuzA sA vilokayan // Ps_5.41 //
   tīvramāyāti kāruṇyaṃ kāruṇyān na pramādyati /	tIvram AyAti kAruNyam kAruNyAt na pramAdyati /
   parārtheṣvapramattaśca yātyacintyaprabhāvatām // Ps_5.42 //	para arTezu apramattaH ca yAti acintya praBAva tAm // Ps_5.42 //
   athānyalokadhātusthān sampaśyati tathāgatān /	aTa anya loka DAtu sTAn sampaSyati taTAgatAn /
   buddhakṣetraguṇavyūhān saṃghasyaiva ca saṃpadaḥ // Ps_5.43 //	budDa kzetra guNa vyUhAn saMGasya eva ca saMpadaH // Ps_5.43 //
   bodhisattvarṣabhāṇāṃ ca viśuddhācāragocaram /	boDisattva RzaBANAm ca viSudDa AcAra gocaram /
   sarvalokahitodarkaṃ śrīmaccaritamīkṣate // Ps_5.44 //	sarva loka hita udarkam SrImat caritam Ikzate // Ps_5.44 //
   tatra ca praṇidhistasya sukhenaiva samṛdhyati /	tatra ca praNiDiH tasya suKena eva samRDyati /
   parārthapariṇāmācca śīlasyaiva ca saṃpadaḥ // Ps_5.45 //	para arTa pariNAmAt ca SIlasya eva ca saMpadaH // Ps_5.45 //
   atimānuṣayā śrutyā divyayārthaviśuddhayā /	atimAnuzayA SrutyA divyaya arTa viSudDayA /
   śṛṇvannuccāvacā vāco vidūre 'pyavidūravat // Ps_5.46 //	SRNvan= uccAvacAH vAcaH vidUre api avidUra vat // Ps_5.46 //
   kṛpādūracarairuktāḥ pāruṣyavirasākṣarāḥ /	kRpA dUra carEH uktAH pAruzya virasa akzarAH /
   antardīptasya kopāgnerniścarantīrivārciṣaḥ // Ps_5.47 //	antar dIptasya kopa agneH niScarantIH iva arcizaH // Ps_5.47 //
   apsarogītasacivān bhūṣaṇasvanaśībharān /	apsaraH gIta sacivAn BUzaNa sva naSIBarAn /
   divyatūryaninādāṃśca vināśaikarasānapi // Ps_5.48 //	divya tUrya ninAdAn= ca vinASa eka rasAn api // Ps_5.48 //
   niṣevyamāṇān rāgāndhairamitrānmitrārūpiṇaḥ /	nizevyamANAn rAga anDEH amitrAt mitrA rUpiNaH /
   vīkṣya vrajati kāruṇyaṃ teṣāṃ vāñcanayā tayā // Ps_5.49 //	vIkzya vrajati kAruNyam tezAm vA aQcanayA tayA // Ps_5.49 //
   bhayādduḥkhaviśeṣācca so 'vispaṣṭapadākṣaraiḥ /	BayAt duHKa viSezAt ca saH avispazwa pada akzarEH /
   nārakairārtarasitairhṛdīvābhihatastataḥ // Ps_5.50 //	nArakEH Artara sitEH hRdi iva aBihataH tatas // Ps_5.50 //
   paramālambate vīryaṃ majjāgatamahākṛpaḥ /	parama Alambate vIryam majjA gata mahA kRpaH /
   tīkṣṇāgreṇa pratodena sadaśva iva coditaḥ // Ps_5.51 //	tIkzNa agreNa pratodena sat aSvaH iva coditaH // Ps_5.51 //
   nānālokasthitebhyo 'tha jinebhyo dharmadeśanāḥ /	nAnA loka sTiteByaH aTa jineByaH Darma deSanAH /
   śṛṇoti sarvasattvānāṃ nirvāṇakāṅkṣayākṣayāḥ // Ps_5.52 //	SRNoti sarva sattvAnAm nirvANa kAFkzaya akzayAH // Ps_5.52 //
   tataḥ sa paracitteṣu vijñāyānuśayāśayān /	tatas sa para cittezu vijQAya anuSaya ASayAn /
   puṇyāṅkurān ropayati jñānasādhanavānnavān // Ps_5.53 //	puNya aFkurAn ropayati jQAna sADanavAn navAn // Ps_5.53 //
   smṛtvā pūrvanivāsaṃ ca kalpakoṭisahasraśaḥ /	smRtvA pUrva nivAsam ca kalpa kowi sahasraSas /
   paśyan puṇyāni lokānāṃ tathendriyabalābalam // Ps_5.54 //	paSyan puNyAni lokAnAm taTA indriya bala abalam // Ps_5.54 //
   tadāśrayavaśādṛddhyā so 'nekīkṛtavigrahaḥ /	tad ASraya vaSAt RdDyA saH anekIkRta vigrahaH /
   avandhyakathanaṃ yāti yathābhājanadeśanāt // Ps_5.55 //	avanDya kaTanam yAti yaTA BAjana deSanAt // Ps_5.55 //
   kva cid arkasahasradīptināpyavisaṃvāditakāntisaṃpadā /	kva cit arka sahasra dIptinA api avisaMvAdita kAnti saMpadA /
   vapuṣā munirājalakṣaṇaḥ sphuṭacitreṇa samantalakṣmaṇā // Ps_5.56 //	vapuzA muni rAja lakzaNaH sPuwa citreNa samanta lakzmaNA // Ps_5.56 //
   janayannayanotsavaṃ nṛṇāṃ vacasā hlādaviśeṣamācaran /	janayat nayana utsavam nRNAm vacasA hlAda viSezam Acaran /
   sa karotyamṛtaprakāśanaṃ jinabhāvāya jinādhimuktiṣu // Ps_5.57 //	sa karoti amRta prakASanam jina BAvAya jina aDimuktizu // Ps_5.57 //
   praśamottarayā muniśriyā kva cid atyārthaviśiṣṭaceṣṭayā /	praSama uttarayA muni SriyA kva cit atyArTa viSizwa cezwayA /
   kurute muniśiṣyarūpabhṛdvinayaṃ tadvinayārhacetasām // Ps_5.58 //	kurute muni Sizya rUpa BRt vinayam tad vinaya arha cetasAm // Ps_5.58 //
   abhisāritapādapaṅkajaḥ suracūḍāmaṇibhirmahendravat /	aBisArita pAda paFkajaH suracUxAmaNiBiH mahA indra vat /
   dhanado dhanado yathā kva cit kuha cidbrahmavadadbhutadyutiḥ // Ps_5.59 //	DanadaH DanadaH yaTA kva cit kuha cit brahma vat adButa dyutiH // Ps_5.59 //
   kva cid unmiṣitatrilocanaḥ śaśīlekhāmalamaulibhūṣaṇaḥ /	kva cit unmizita trilocanaH SaSI leKA amala mOli BUzaNaH /
   amarādhipabhāsuradyutirbujagendraśriyamudvahan kva cit // Ps_5.60 //	amara aDipa BAsura dyutiH bujaga indra Sriyam udvahan kva cit // Ps_5.60 //
   kuliśānalapiṅgalāṅguliḥ kuha cid guhyakarājarājavat /	kuliSa anala piFgala aFguliH kuha cit guhyaka rAja rAja vat /
   amitājinalakṣmavān kva cid guṇaraśmirmunicandramā iva // Ps_5.61 //	amita ajina lakzmavAn kva cit guNa raSmiH muni candramAH iva // Ps_5.61 //
   sphuṭakaustubharatnaraśmibhirvipuloraḥsthalabhāsuradyutiḥ /	sPuwa kOstuBa ratna raSmiBiH vipula uraH sTala BAsura dyutiH /
   garuḍadhvajarājadṛk kva cit kuha ciccaiva halāyudhadyutiḥ // Ps_5.62 //	garuxaDvaja rAja dRS kva cit kuha cit ca eva halAyuDa dyutiH // Ps_5.62 //
   sitaśaktiracintyaśaktimān kuha ciccāruśikhaṇḍivāhanaḥ /	sita SaktiH acintya SaktimAn kuha cit cAru SiKaNxivAhanaH /
   udayāstanagendrabhūṣaṇaḥ śaśisūryāmalarūpavān kva cit // Ps_5.63 //	udaya astanaga indra BUzaNaH SaSi sUrya amala rUpavAn kva cit // Ps_5.63 //
   kuha cid dhutabhuṅmarutvatāṃ vapuṣānyatra narāśrayāśinām /	kuha cit Duta Buj marutvatAm vapuzA anyatra nara ASraya ASinAm /
   vāruṇadyutim udvahan kva cit kuha cinmanmathacāruvigrahaḥ // Ps_5.64 //	vAruNa dyutim udvahan kva cit kuha cit manmaTa cAru vigrahaH // Ps_5.64 //
   lalitāṃ pramadānarākṛtiṃ naranārīratisaṃgalālasaḥ /	lalitAm pramadA nara AkRtim nara nArI rati saMga la alasaH /
   kva cid eva tapodhanaśriyaṃ vidadhat kāmaviraktamānasaḥ // Ps_5.65 //	kva cit eva tapoDana Sriyam vidaDat kAma virakta mAnasaH // Ps_5.65 //
   hṛdayāni harannṛṇāṃ kva cid guruśiṣyakṣitipālavṛttibhiḥ /	hRdayAni haran nRNAm kva cit guru Sizya kzitipAla vRttiBiH /
   narakeṣvapi ca parabhāvato vidadhadduḥkhavimokṣaṇakṣaṇam // Ps_5.66 //	narakezu api ca para BAvataH vidaDat duHKa vimokzaNa kzaNam // Ps_5.66 //
   jagatām adhimuktivistarairatha so 'nekavidhairviceṣṭitaiḥ /	jagatAm aDimukti vistarEH aTa saH anekaviDEH vicezwitEH /
   karuṇāguṇasaṃtatastataḥ kurute lokahitaṃ tatastataḥ // Ps_5.67 //	karuNA guNa saMtataH tatas kurute loka hitam tatas tatas // Ps_5.67 //
   samavāpya viśeṣasaṃpadaṃ vipulāṃ dhyānaguṇaśrayādimām /	samavApya viSeza saMpadam vipulAm DyAna guNa SrayAt imAm /
   prayateta viśeṣavattaraṃ nidhicihneṣvavisaṃvadatsviva // Ps_5.68 //	prayateta viSezavattaram niDi cihnezu avisaMvadatsu iva // Ps_5.68 //
   kuśale sthitirapyanūrjitā kim ahāniḥ śithilavratocitā /	kuSale sTitiH api anUrjitA kim ahAniH SiTila vrata ucitAH /
   prayateta vivṛddhaye tataḥ parihāṇistu viparyayādataḥ // Ps_5.69 //	prayateta vivRdDaye tatas parihANiH tu viparyayAt atas // Ps_5.69 //
   sulabhaśca samādhirudyamād anurakṣā punarasya duṣkarā /	sulaBaH ca samADiH udyamAt anurakzA punar asya duzkarAH /
   sahasā vijigīṣuṇā yathā vijitasya praśamapratikriyā // Ps_5.70 //	sahasA vijigIzuNA yaTA vijitasya praSama pratikriyA // Ps_5.70 //
   manasaḥ parivṛttilāghavaṃ paramaṃ tatra na viśvasedataḥ /	manasaH parivRtti lAGavam paramam tatra na viSva set atas /
   anavāpya mahīmivācalām acalāṃ bhūmimabhīradurgamām // Ps_5.71 //	anavApya mahIm iva acalAm acalAm BUmim aBIra durgamAm // Ps_5.71 //
   abhisaṃskṛta[mārgacāriṇaḥ] patanāntā hi samādhivistarāḥ /	aBisaMskRta[ mArga cAriNaH] patana antAH hi samADi vistarAH /
   ata uttamamārgabhāvanām avalambeta vikalpavarjanāt // Ps_5.72 //	atas uttama mArga BAvanAm avalambeta vikalpa varjanAt // Ps_5.72 //
   sucinityasukhātmakalpanaṃ kapaṭam saṃskṛtadambhasaṃbhavām /	suci nitya suKa Atma kalpanam kapawam saMskRta damBa saMBavAm /
   samavekṣya na bhāvakalpanāpraṇayavyāpṛtamānaso bhavet // Ps_5.73 //	samavekzya na BAva kalpanA praNaya vyApRta mAnasaH Bavet // Ps_5.73 //
   viśade 'pyupalambhasaṃbhave vrajati kleśaśaravyatām ataḥ /	viSade api upalamBa saMBave vrajati kleSa SaravyatAm atas /
   vyatiyāti tu māragocaraṃ tamanarthaṃ praśamayya sarvathā // Ps_5.74 //	vyatiyAti tu mAra gocaram tam anarTam praSamayya sarvaTA // Ps_5.74 //
   na hi niśrayadośaduṣito bhavati dhyānavidhirviśuddhaye /	na hi niSraya doSa duzitaH Bavati DyAna viDiH viSudDaye /
   calatānugato hi niśrayaḥ sakhaṭuṅkastata eva kathyate // Ps_5.75 //	calatA anugataH hi niSrayaH sa KawuFkaH tatas eva kaTyate // Ps_5.75 //
   vyavahāravidhiprasiddhaye pratipattadbhavatīti kathyate /	vyavahAra viDi prasidDaye pratipad tat Bavati iti kaTyate /
   na hi kiṃ cid udeti kutra cit sadasatsaṃbhavayuktyasaṃbhavāt // Ps_5.76 //	na hi kim cit udeti kutra cit sat asat saMBava yukti asaMBavAt // Ps_5.76 //
   gaganena samānamānasastribhavādapyu atha vītaniśrayaḥ /	gaganena samAna mAnasaH tri BavAt apyu aTa vIta niSrayaH /
   avikalpitadhīraceṣṭito vacanenāpratiyatnaśobhinā // Ps_5.77 //	avikalpita DIra cezwitaH vacanena apratiyatna SoBinA // Ps_5.77 //
   kurute sa ca laukikīṃ kriyāṃ jagadekāntahitānuvartinīm /	kurute sa ca lOkikIm kriyAm jagat ekAnta hita anuvartinIm /
   na samādhibalācca hīyate vaśavartitvamavāpya cetasaḥ // Ps_5.78 //	na samADi balAt ca hIyate vaSa varti tvam avApya cetasaH // Ps_5.78 //
   tataḥ paraṃ parahitatatparodyataiḥ samādhibhirvidhivihitaprayojanaiḥ /	tatas param para hita tad para udyatEH samADiBiH viDi vihita prayojanEH /
   vivardhate ghanasamaye yathodadhiḥ saridvadhūsamupahṛtairnavāmbubhiḥ //	vivarDate Gana samaye yaTA udaDiH sarit vaDU samupahRtEH nava ambuBiH //
   Ps_5.79 //	Ps_5.79 //
   // dhyānapāramitāsamāsaḥ //	// DyAna pAramitA samAsaH //
   6. prajñāpāramitāsamāsaḥ	6. prajQApAramitA samAsaH
   puṇyāni dānaprabhṛtīnyamūni prajñāsanāthānyadhikaṃ vibhānti /	puNyAni dAna praBRtIni amUni prajQA sanATAni aDikam viBAnti /
   hiraṇmayānīva vibhūṣaṇāni pratyuptaratnadyutibhāsvarāṇi // Ps_6.1 //	hiraNmayAni iva viBUzaNAni pratyupta ratna dyuti BAsvarANi // Ps_6.1 //
   kriyāsu sāmarthyaguṇaṃ hi teṣāṃ prajñaiva vistāriṇamādadhāti /	kriyAsu sAmarTya guNam hi tezAm prajQA eva vistAriNam AdaDAti /
   svārthapravṛttau viśadakramāṇāṃ yathā manaḥsaṃtatirindriyāṇāṃ // Ps_6.2 //	sva arTa pravRttO viSada kramANAm yaTA manaH saMtatiH indriyANAm // Ps_6.2 //
   kriyāsvayogyāni śarīrayantrāṇyāyurviyuktāni yathā na bhānti /	kriyAsu ayogyAni SarIra yantrANi AyuH viyuktAni yaTA na BAnti /
   tathaiva kāryāṇi na bhānti loke prajñāviyogena jadīkṛtāni // Ps_6.3 //	taTA eva kAryANi na BAnti loke prajQA viyogena jadIkRtAni // Ps_6.3 //
   śraddhādikānāmapi cendriyāṇāṃ prajñāgraṇī buddhirivendriyāṇām /	SradDA AdikAnAm api ca indriyANAm prajQA agraNI budDiH iva indriyANAm /
   guṇāguṇān vetti hi tatsanāthaḥ kleśakṣaye naipuṇametyataśca // Ps_6.4 //	guNa aguNAn vetti hi tad sanATaH kleSa kzaye nEpuNam etyataH ca // Ps_6.4 //
   prajñāviyogāt phalalālasānāṃ naiva svatodānaviśuddhirasti /	prajQA viyogAt Pala lAlasAnAm na eva sva tas dAna viSudDiH asti /
   tyāgaṃ parārthaṃ hi vadanti dānaṃ śeṣastu vṛddhyārthamiva prayogaḥ //	tyAgam para arTam hi vadanti dAnam SezaH tu vRdDyA arTam iva prayogaH //
   Ps_6.5 //	Ps_6.5 //
   prajñāsamunmīlitacakṣuṣastu dattvā svamāṃsānyapi bodhisattvāḥ /	prajQA samunmIlita cakzuzaH tu dattvA sva mAMsAni api boDisattvAH /
   naivonnatiṃ nāvanatiṃ prayānti bhaiṣajyavṛkṣā iva nirviklapāḥ // Ps_6.6 //	na eva unnatim na avanatim prayAnti BEzajya vRkzAH iva nirviklapAH // Ps_6.6 //
   evaṃ sa bhūmiṃ prathamāmupaiti lokottarasyārthavidhipratiṣṭhām /	evam sa BUmim praTamAm upEti loka uttarasya arTa viDi pratizWAm /
   akrodhanaḥ prītisamṛddhacetā dānairmahadbhirjagadarthacetāḥ // Ps_6.7 //	akroDanaH prIti samRdDa cetAH dAnEH mahadBiH jagat arTa cetAH // Ps_6.7 //
   prāyeṇa yasyāṃ balacakravartī bhavatyasaṃhāryamatiśca bodheḥ /	prAyeNa yasyAm bala cakravartI Bavati asaMhArya matiH ca boDeH /
   prajñāguṇādeśitasatpatho 'tha karmeṇa bhūmiṃ vimalāmupaiti // Ps_6.8 //	prajQA guNa AdeSita sat paTaH aTa karmeNa BUmim vimalAm upEti // Ps_6.8 //
   yasyāṃ prakṛtyaiva viśuddhaśīlaścaturmahādvīpapatiḥ sa bhūtvā /	yasyAm prakRtyA eva viSudDa SIlaH catur mahA dvIpa patiH sa BUtvA /
   narendracūḍāmaṇisatkṛtājñaḥ sūryārhatāmeti yathā munīndraḥ // Ps_6.9 //	narendra cUxAmaNi satkRta ajQaH sUrya arha tAm eti yaTA muni indraH // Ps_6.9 //
   tataḥ paraṃ kāmiṣu daivateṣu loke 'pi ca dvitrisahasrasaṃkhye /	tatas param kAmizu dEvatezu loke api ca dvi tri sahasra saMKye /
   aiśvaryamāpnoti tataḥ paraṃ ca bhūmiṃ viśodhya prabhavāṃ prabhāyāḥ //	ESvaryam Apnoti tatas param ca BUmim viSoDya praBavAm praBAyAH //
   Ps_6.10 //	Ps_6.10 //
   śīlasya śuddhiḥ kuta eva tasya yaḥ prajñayā nāpahṛtāndhakāraḥ /	SIlasya SudDiH kutas eva tasya yaH prajQayA na apahRta anDakAraH /
   prāyeṇa śīlāni hi tadviyogād āmarṣadoṣaiḥ kaluṣīkriyante // Ps_6.11 //	prAyeNa SIlAni hi tad viyogAt Amarza dozEH kaluzIkriyante // Ps_6.11 //
   nātmārthamapyasti tu yasya śīlaṃ prājñasya tasyāsti kathaṃ parārtham /	na Atma arTam api asti tu yasya SIlam prAjQasya tasya asti kaTam para arTam /
   yo dṛṣṭadoṣo bhavabandhanānāṃ lokān samastāṃstata ujjihīrṣuḥ // Ps_6.12 //	yaH dRzwa dozaH Bava banDanAnAm lokAn samastAn= tatas ujjihIrzuH // Ps_6.12 //
   prajñāvipakṣairhṛdi soparāge kṣamāguṇaḥ kena dhṛtiṃ labheta /	prajQA vipakzEH hRdi sa uparAge kzamA guNaH kena DRtim laBeta /
   guṇāguṇāavekṣaṇakātarākṣe khyāto guṇairvīrā iva kṣitīśe // Ps_6.13 //	guNa aguNa aavekzaNa kAtara akze KyAtaH guNEH vIrAH iva kzitISe // Ps_6.13 //
   prajñānvitānāṃ tu parāpakārāḥ kṣamāguṇāḥ sthairyakarā bhavanti /	prajQA anvitAnAm tu para apakArAH kzamA guNAH sTErya karAH Bavanti /
   bhadrātmakānāmiva vāraṇānāṃ karamāśrayā naikavidhā viṣeṣāḥ // Ps_6.14 //	Badra AtmakAnAm iva vAraNAnAm karam ASrayAH na ekaviDAH vizezAH // Ps_6.14 //
   niṣkevalaṃ vīryamapi śramāya prajñāsanāthasya tu tasya kārye /	nizkevalam vIryam api SramAya prajQAsanATasya tu tasya kArye /
   anuttaraḥ siddhiguṇo 'bhyudeti hartā tadutthasya pariśramasya // Ps_6.15	anuttaraH sidDi guNaH aByudeti hartA tad utTasya pariSramasya // Ps_6.15
   yasmāt paraṃ sūkṣamataraṃ na kiṃ cid yannaipuṇānāṃ paramaḥ prakarṣaḥ /	yasmAt param sUkzamataram na kim cit yat nEpuNAnAm paramaH prakarzaH /
   yatkāmadoṣādibhirāvṛtānāṃ manaḥpathaṃ naiva kadā cideti // Ps_6.16 //	yad kAma doza AdiBiH AvRtAnAm manaH paTam na eva kadA cit eti // Ps_6.16 //
   tad dhyānamekāntasukhābhirāmaṃ kathaṃ pravekṣyantyastāṃ manāṃsi /	tat DyAnam ekAnta suKa aBirAmam kaTam pravekzyantyastAm manAMsi /
   sthūlāni doṣopacayairmahadbhiḥ prajñotpathaṃ nyāyamivāśritānī // Ps_6.17	sTUlAni doza upacayEH mahadBiH prajQA utpaTam nyAyam iva ASritAnI // Ps_6.17
   prajñānirudyogamaterhi dṛṣṭirnāyāti śuddhiṃ tadṛte na śīlam /	prajQA nirudyogamateH hi dRzwiH na AyAti SudDim tat Rte na SIlam /
   samyakasmādhis tadṛte na labhyo duḥkhakṣayastadvirahāttathaiva // Ps_6.18	samyakasma ADiH tat Rte na laByaH duHKa kzayaH tad virahAt taTA eva // Ps_6.18
   prājñastu doṣādbhayamīkṣamāṇaḥ sukhānubaddhaṃ ca sukhaṃ guṇebhyaḥ /	prAjQaH tu dozAt Bayam IkzamANaH suKa anubadDam ca suKam guNeByaH /
   vihāya doṣāñjagadarthakāmo guṇābhirāmeṇa pathā prayāti // Ps_6.19 //	vihAya dozAn jagat arTa kAmaH guNa aBirAmeNa paTA prayAti // Ps_6.19 //
   samudyatastena samādhimetya prāpnoti vākkāyamanoviśuddhīḥ /	samudyataH tena samADim etya prApnoti vAc kAya manaH viSudDIH /
   ato 'navadyena balena yuktaḥ pravartate lokahitodayeṣu // Ps_6.20 //	atas anavadyena balena yuktaH pravartate loka hita udayezu // Ps_6.20 //
   dānena cābhīpsitabhūyasaiva priyairadīnairvacanāmṛtaiśca /	dAnena ca aBIpsita BUyasA eva priyEH adInEH vacana amRtEH ca /
   naiṣkāraṇorjasvalayā ca vṛttyā parārthacaryāsu samaṃ samantāt // Ps_6.21	nEzkAraNa Urja svalayA ca vRttyA para arTa caryAsu samam samantAt // Ps_6.21
   sāmānyamartheṣu ca darśayitvā premṇā vaśīkṛtya manāṃsi teṣām /	sAmAnyam arTezu ca darSayitvA premNA vaSIkRtya manAMsi tezAm /
   karoti nirvāṇasukhe pratiṣṭhāṃ prajñāguṇāvyāhatadharmacakraḥ // Ps_6.22 //	karoti nirvANa suKe pratizWAm prajQA guNa avyAhata Darma cakraH // Ps_6.22 //
   prajñādyarogaiśca balairamībhiradhyāsitaṃ nābhyupayātumīsā /	prajQA Adya rogEH ca balEH amIBiH aDyAsitam na aByupayAtum IsA /
   ajīvikādurgatimṛtyunindāśāradyadoṣāśrayaṇī bhayārtiḥ // Ps_6.23 //	ajIvikA durgati mRtyu nindA SAradya doza ASrayaNI Baya ArtiH // Ps_6.23 //
   bhayāni sarvāṇi hi doṣajāni prajñā na doṣaiḥ sahavāsameti /	BayAni sarvANi hi doza jAni prajQA na dozEH sahavAsam eti /
   śaradvyapoḍhābhragavākṣapakṣā bhā bhāskarasyeva tamaḥpratānaiḥ // Ps_6.24	Sarad vyapoXa aBra gavAkza pakzAH BAs BAskarasya iva tamaH pratAnEH // Ps_6.24
   sahasraraśmerudaye 'pi yāni tamāṃsi rundhanti jagadgatāni /	sahasraraSmeH udaye api yAni tamAMsi runDanti jagat gatAni /
   nāmaikaśeṣāṇi karoti tāni prajñāprabhāyāḥ prasaraprabhāvaḥ // Ps_6.25 //	nAma eka SezANi karoti tAni prajQA praBAyAH prasara praBAvaH // Ps_6.25 //
   na tatra bhūyaḥ karaṇīyam asti yatra prabhā sā balatāmupaiti /	na tatra BUyas karaNIyam asti yatra praBA sA bala tAm upEti /
   yugāntakālānalasaṃhṛte hi loke na dagdhavyakathāḥ prathante // Ps_6.26 //	yugAnta kAla anala saMhRte hi loke na dagDavya kaTAH praTante // Ps_6.26 //
