   akartṛbhāvādbhoktuśca MrgT_1,2.15c	akartR-BAvAt-BoktuH-ca MrgT_1,2.15c
   viprakṛṣṭaṃ ca yatsthitam MrgT_4.13b	viprakRzwam ca yat-sTitam MrgT_4.13b
   vibhajya keśānsampātya MrgT_3.5c	viBajya keSAn-sampAtya MrgT_3.5c
   vibhajyādyātkṣitau śuciḥ MrgT_3.85b	viBajya-adyAt-kzitO SuciH MrgT_3.85b
   vibhānti śaktayo viśvaṃ MrgT_4.10c	viBAnti SaktayaH viSvam MrgT_4.10c
   vibhvī ceśvaraśaktivat MrgT_1,10.3b	viBvI ca-ISvara-Sakti-vat MrgT_1,10.3b
   vimanyurabhavanmuniḥ MrgT_1,1.15b	vimanyuH-aBavat-muniH MrgT_1,1.15b
   virāgamadhigacchati MrgT_1,10.12d	virAgam-aDigacCati MrgT_1,10.12d
   vilayaḥ prātilomyena MrgT_1,13.179c	vilayaH prAtilomyena MrgT_1,13.179c
   vilayaḥ sa kathaṃ kiyān MrgT_1,13.180b	vilayaH sa kaTam kiyAt MrgT_1,13.180b
   vilayo vyutkrameṇaiṣa MrgT_1,13.183a	vilayaH vyutkrameNa-eza MrgT_1,13.183a
   vilāsānāmupekṣaṇam MrgT_3.19b	vilAsAnAm-upekzaNam MrgT_3.19b
   vivakṣāyatnapūrveṇa MrgT_1,11.26a	vivakzA-yatna-pUrveNa MrgT_1,11.26a
   vivartiṣu kṛtādiṣu MrgT_1,13.91b	vivartizu kRta-Adizu MrgT_1,13.91b
   vivṛtau vyaktirūpāṇi MrgT_1,9.13c	vivRtO vyakti-rUpANi MrgT_1,9.13c
   viveśa mūlamevāsya MrgT_1,13.74c	viveSa mUlam-eva-asya MrgT_1,13.74c
   viśatsvabhimataṃ padam MrgT_1,13.191b	viSatsu-aBimatam padam MrgT_1,13.191b
   viśantamanusaṃviśet MrgT_3.71b	viSantam-anusaMviSet MrgT_3.71b
   viśiṣṭadharmasaṃskāra- MrgT_1,10.27a	viSizwa-Darma-saMskAra MrgT_1,10.27a
   viśiṣṭamanumānataḥ MrgT_1,3.1d	viSizwam-anumAnataH MrgT_1,3.1d
   viśiṣṭenopahāreṇa MrgT_3.91c	viSizwena-upahAreNa MrgT_3.91c
   viśiṣṭaiśvaryasampannā MrgT_1,1.11c	viSizwa-ESvarya-sampannA MrgT_1,1.11c
   viśetāṃ dhāma śāṃkaram MrgT_3.52b	viSetAm DAma SAMkaram MrgT_3.52b
   viśeṣasaṃyamaḥ kāryaḥ MrgT_3.16c	viSeza-saMyamaH kAryaH MrgT_3.16c
   viśeṣeṇottarāyaṇe MrgT_3.97d	viSezeNa-uttarAyaNe MrgT_3.97d
   viśramāyāvatiṣṭhate MrgT_1,4.13d	viSramAya-avatizWate MrgT_1,4.13d
   viśvānarthānsvena viṣṭabhya dhāmnā MrgT_1,2.29c	viSvAn-arTAn-svena vizwaBya DAmnA MrgT_1,2.29c
   viṣajvālāvalīmucā MrgT_1,1.16b	viza-jvAlA-AvalI-mucA MrgT_1,1.16b
   viṣayāniyamādekaṃ MrgT_1,3.5a	vizaya-aniyamAt-ekam MrgT_1,3.5a
   viṣādyabhibhave vyoma MrgT_4.42a	viza-Adi-aBiBave vyoma MrgT_4.42a
   viṣuve cāṣṭakādiṣu MrgT_3.20d	vizuve ca-azwaka-Adizu MrgT_3.20d
   viṣṭabhadeho dantāgre MrgT_4.19c	vizwaBa-dehaH danta-agre MrgT_4.19c
   visargavihṛtikriyāḥ MrgT_1,12.8b	visarga-vihRti-kriyAH MrgT_1,12.8b
   vistareṇa suraśreṣṭha MrgT_4.13a	vistareNa suraSrezWa MrgT_4.13a
   vihitaḥ kālpiko vidhiḥ MrgT_1,1.6d	vihitaH kAlpikaH viDiH MrgT_1,1.6d
   vīkṣya prīto 'bhavaddhariḥ MrgT_1,1.17d	vIkzya prItaH aBavat-hariH MrgT_1,1.17d
   vītarāgastato hataḥ MrgT_1,11.15d	vIta-rAgaH-tatas hataH MrgT_1,11.15d
   vīrabhadrasya rucimad MrgT_1,13.145a	vIraBadrasya rucimat MrgT_1,13.145a
   vīrabhadraṃ ca rauravam MrgT_3.45d	vIraBadram ca rOravam MrgT_3.45d
   vīraikaśivasaṃjñitau MrgT_1,13.146d	vIra-eka-Siva-saMjQitO MrgT_1,13.146d
   vīryamakṣayamadbhutam MrgT_4.49b	vIryam-akzayam-adButam MrgT_4.49b
   vīryavadyogakāraṇam MrgT_1,11.19d	vIryavat-yoga-kAraNam MrgT_1,11.19d
   vīryasya sata edhate MrgT_1,7.21b	vIryasya sataH eDate MrgT_1,7.21b
   vṛtatvānmalaśaktibhiḥ MrgT_1,5.15b	vRta-tvAt-mala-SaktiBiH MrgT_1,5.15b
   vṛtā nānāyudhadharair MrgT_1,13.125a	vRtAH nAnA-AyuDa-DarEH MrgT_1,13.125a
   vṛttakoṭaralocanaḥ MrgT_1,13.24b	vRtta-kowara-locanaH MrgT_1,13.24b
   vṛttapadmākṛtīni tu MrgT_4.37b	vRtta-padma-AkRtIni tu MrgT_4.37b
   vṛttiṃ leśānnigadato MrgT_1,11.21c	vRttim leSAt-nigadataH MrgT_1,11.21c
   vṛttiḥ praṇayanaṃ nāma MrgT_1,11.22a	vRttiH praNayanam nAma MrgT_1,11.22a
   vṛttīnāmanilasya ca MrgT_4.33d	vRttInAm-anilasya ca MrgT_4.33d
   vṛttīnāṃ yogino bhavet MrgT_4.46b	vRttInAm yoginaH Bavet MrgT_4.46b
   vṛttyādhikyanibandhanā MrgT_1,10.21d	vRtti-ADikya-nibanDanAH MrgT_1,10.21d
   vṛthā yāyādgṛhādgṛham MrgT_3.64b	vRTA yAyAt-gRhAt-gRham MrgT_3.64b
   vṛddhoktābhiḥ prayatnavān MrgT_3.23d	vRdDa-uktABiH prayatnavAn MrgT_3.23d
   vṛṣo viṣadharo 'nanto MrgT_1,13.135a	vRzaH vizaDaraH anantaH MrgT_1,13.135a
   vedavijjyeṣṭhavedagāḥ MrgT_1,13.132d	veda-vid-jyezWa-veda-gAH MrgT_1,13.132d
   vedānasāṃkhyasadasat- MrgT_1,2.10a	vedAn-asAMKya-sat-asat MrgT_1,2.10a
   vedānteṣveka evātmā MrgT_1,2.12a	vedAntezu-ekaH eva-AtmA MrgT_1,2.12a
   vede 'sti saṃhitā raudrī MrgT_1,1.6a	vede asti saMhitA rOdrI MrgT_1,1.6a
   vedyardhamaṇḍalatryastra- MrgT_4.37a	vedyarDa-maNxala-tri-astra MrgT_4.37a
   vedhavikṣiptakarmasu MrgT_4.20d	veDa-vikzipta-karmasu MrgT_4.20d
   vedhasā nirmitā loka- MrgT_1,13.56a	veDasA nirmitA loka MrgT_1,13.56a
   vemādināpanīyātha MrgT_1,9.21a	vema-AdinA-apanIya-aTa MrgT_1,9.21a
   velānunno 'bdhineva saḥ MrgT_1,1.10b	velA-nunnaH abDinA-iva saH MrgT_1,1.10b
   vaikṛṣṭye 'pyupalabhyate MrgT_1,12.27b	vEkRzwye api-upalaByate MrgT_1,12.27b
   vaicitryātkalpitaṃ bhrāntyai MrgT_4.55a	vEcitryAt-kalpitam BrAntyE MrgT_4.55a
   vaicitryātkṣaṇikatvataḥ MrgT_1,8.2b	vEcitryAt-kzaNika-tvataH MrgT_1,8.2b
   vaibhrājaṃ vaipule mūle MrgT_1,13.79a	vEBrAjam vEpule mUle MrgT_1,13.79a
   vairāgyābhyāsaśālibhiḥ MrgT_4.58b	vErAgya-aByAsa-SAliBiH MrgT_4.58b
   vailakṣaṇyāttamobhavāḥ MrgT_1,12.6b	vElakzaNyAt-tamaH-BavAH MrgT_1,12.6b
   vailakṣaṇyādvilakṣaṇaḥ MrgT_1,12.10b	vElakzaNyAt-vilakzaNaH MrgT_1,12.10b
   vaiśiṣṭyaṃ kāryavaiśiṣṭyād MrgT_1,3.2a	vESizwyam kArya-vESizwyAt MrgT_1,3.2a
   vaiṣṇave samaye tataḥ MrgT_3.85d	vEzNave samaye tatas MrgT_3.85d
   vyaktaḥ svapnādibodhavat MrgT_1,10.29b	vyaktaH svapna-Adi-boDa-vat MrgT_1,10.29b
   vyaktādeḥ sattvabhāvajā MrgT_1,11.4b	vyakta-AdeH sattva-BAva-jA MrgT_1,11.4b
   vyaktibhūmitayā paśoḥ MrgT_1,11.8d	vyakti-BUmitayA paSoH MrgT_1,11.8d
   vyaktimetyanivāritā MrgT_4.23b	vyaktimetya-nivAritA MrgT_4.23b
   vyaktisthānaṃ śivasyaite MrgT_3.91a	vyakti-sTAnam Sivasya-ete MrgT_3.91a
   vyajyate jāyamānaiva MrgT_1,2.24c	vyajyate jAyamAnA-eva MrgT_1,2.24c
   vyañjakasyānurodhena MrgT_1,5.15c	vyaQjakasya-anuroDena MrgT_1,5.15c
   vyañjakaṃ yadyapārthakam MrgT_1,11.10b	vyaQjakam yadi-apArTakam MrgT_1,11.10b
   vyañjakāntarasadbhāve MrgT_1,11.10a	vyaQjaka-antara-sadBAve MrgT_1,11.10a
   vyatīte kṣetrapālāya MrgT_3.86a	vyatIte kzetrapAlAya MrgT_3.86a
   vyatīpātadinadhvaṃsa- MrgT_3.16a	vyatIpAta-dina-DvaMsa MrgT_3.16a
   vyanakti dṛkkriyānantyaṃ MrgT_1,5.1c	vyanakti dRkkriyA-Anantyam MrgT_1,5.1c
   vyapaitīti hataṃ jagat MrgT_1,9.14d	vyapEti-iti hatam jagat MrgT_1,9.14d
   vyapaitītyapi taddhatam MrgT_1,9.17d	vyapEti-iti-api tat-hatam MrgT_1,9.17d
   vyabhicāriṇi dīkṣite MrgT_3.25b	vyaBicAriNi dIkzite MrgT_3.25b
   vyarkalakṣatrikoṭikī MrgT_1,13.25d	vyarka-lakza-tri-kowikI MrgT_1,13.25d
   vyartho 'lamanayā dhiyā MrgT_1,7.4d	vyarTaH alam-anayA DiyA MrgT_1,7.4d
   vyastasyātha samastasya MrgT_1,13.180a	vyastasya-aTa samastasya MrgT_1,13.180a
   vyastasyāvāntaro layaḥ MrgT_1,13.181b	vyastasya-avAntaraH layaH MrgT_1,13.181b
   vyākuryācchivabhaktebhyas MrgT_3.29a	vyAkuryAt-Siva-BakteByaH MrgT_3.29a
   vyākuryātprathame 'hani MrgT_3.47d	vyAkuryAt-praTame ahani MrgT_3.47d
   vyākhyātaṃ leśatastava MrgT_1,13.175d	vyAKyAtam leSataH-tava MrgT_1,13.175d
   vyākhyātāni samāsataḥ MrgT_1,13.194b	vyAKyAtAni samAsatas MrgT_1,13.194b
   vyāno vinamanāttanoḥ MrgT_1,11.25d	vyAnaH vinamanAt-tanoH MrgT_1,11.25d
   vyāpārādyasya ceṣṭante MrgT_1,11.20c	vyApArAt-yasya cezwante MrgT_1,11.20c
   vyāpya bhānoriva tviṣaḥ MrgT_4.10d	vyApya BAnoH-iva tvizaH MrgT_4.10d
   vyāpriyante 'rthasiddhaye MrgT_1,9.13d	vyApriyante arTa-sidDaye MrgT_1,9.13d
   vyūho 'vakāśadānaṃ ca MrgT_1,12.21c	vyUhaH avakASa-dAnam ca MrgT_1,12.21c
   vyomaprabhañjanāgnyambu- MrgT_1,12.19c	vyoma-praBaQjana-agni-ambu MrgT_1,12.19c
   vratinaḥ kṣitiśāyitā MrgT_3.18b	vratinaH kziti-SAyitA MrgT_3.18b
   vratino jaṭilā muṇḍās MrgT_3.3a	vratinaH jawilAH muNxAH MrgT_3.3a
   vratino 'vratino 'pi vā MrgT_3.2d	vratinaH avratinaH api vA MrgT_3.2d
   vrateśāyārpitavrataḥ MrgT_3.9d	vrata-ISAya-arpita-vrataH MrgT_3.9d
   vrateśvarasya purato MrgT_3.6a	vrateSvarasya puratas MrgT_3.6a
   śakṛdādi jahāti na MrgT_4.47b	SakRt-Adi jahAti na MrgT_4.47b
   śaktāvapyevamityeṣa MrgT_1,13.176a	SaktO=-api-evam-iti-eza MrgT_1,13.176a
   śaktitattvadvayāvadhiḥ MrgT_1,13.179d	Sakti-tattva-dvaya-avaDiH MrgT_1,13.179d
   śaktibhirnaratejasaḥ MrgT_1,13.165d	SaktiBiH-nara-tejasaH MrgT_1,13.165d
   śaktimantreśasaṃkhyayā MrgT_3.5b	Sakti-mantreSa-saMKyayA MrgT_3.5b
   śaktimīṣṭe svayaṃ haraḥ MrgT_1,13.192b	Saktim-Izwe svayam haraH MrgT_1,13.192b
   śaktirūpāṇi saṃhṛtau MrgT_1,9.13b	Sakti-rUpANi saMhRtO MrgT_1,9.13b
   śaktiścetsiddhasādhyatā MrgT_1,9.16d	SaktiH-ced-sidDa-sADyatA MrgT_1,9.16d
   śaktisīmaprapūraṇam MrgT_4.21d	Sakti-sIma-prapUraNam MrgT_4.21d
   śaktiḥ karmanibandhanā MrgT_1,4.10d	SaktiH karma-nibanDanAH MrgT_1,4.10d
   śaktiḥ kāra[ṇa]vastunaḥ MrgT_1,9.19b	SaktiH kAra[Na]vastunaH MrgT_1,9.19b
   śaktyākramya jagatsūkṣmaṃ MrgT_1,13.184a	Sakti-Akramya jagat-sUkzmam MrgT_1,13.184a
   śakyate viṣayīkartuṃ MrgT_4.57c	Sakyate vizayIkartum MrgT_4.57c
   śakrādīn śaṅkuvigrahān MrgT_3.100b	Sakra-AdIn SaFku-vigrahAn MrgT_3.100b
   śakreṇa na cacālaiṣāṃ MrgT_1,1.10c	SakreNa na cacAla-ezAm MrgT_1,1.10c
   śatakoṭipravistīrṇa MrgT_1,13.120a	Sata-kowi-pravistIrNa MrgT_1,13.120a
   śataṃ vā saṃyataprāṇo MrgT_3.107c	Satam vA saMyata-prANaH MrgT_3.107c
   śaptaṃ kenāpi dasyunā MrgT_1,12.18b	Saptam kena-api dasyunA MrgT_1,12.18b
   śabdatvādindraśabdavat MrgT_1,1.12b	Sabda-tvAt-indra-Sabda-vat MrgT_1,1.12b
   śabdamātraṃ hi devatā MrgT_1,1.7d	Sabda-mAtram hi devatAH MrgT_1,1.7d
   śabdavargāvabhāsakam MrgT_1,12.16d	Sabda-varga-avaBAsakam MrgT_1,12.16d
   śabdaḥ khaguṇa eveti MrgT_1,12.22c	SabdaH KaguNaH eva-iti MrgT_1,12.22c
   śabdaḥ sparśaśca rūpaṃ ca MrgT_1,12.5a	SabdaH sparSaH-ca rUpam ca MrgT_1,12.5a
   śabdādyekottaraguṇam MrgT_1,12.20a	Sabda-Adi-eka-uttara-guNam MrgT_1,12.20a
   śabdā vāyvādiṣu vyomni MrgT_1,12.21a	SabdAH vAyu-Adizu vyomni MrgT_1,12.21a
   śabdetaratve yugapad- MrgT_1,1.8a	Sabda-itara-tve yugapad MrgT_1,1.8a
   śabdaikagrāhakaṃ śrotraṃ MrgT_1,12.13a	Sabda-eka-grAhakam Srotram MrgT_1,12.13a
   śambhurgaṇādhyakṣavibhu- MrgT_1,13.133c	SamBuH-gaNADyakza-viBu MrgT_1,13.133c
   śambhościdādyanugrāhyaṃ MrgT_1,7.13a	SamBoH-cit-Adi-anugrAhyam MrgT_1,7.13a
   śambhoḥ pavitramāpādya MrgT_3.130a	SamBoH pavitram-ApAdya MrgT_3.130a
   śayānaṃ na prabodhayet MrgT_3.71d	SayAnam na praboDayet MrgT_3.71d
   śayīta supta ityādi MrgT_3.72c	SayIta suptaH ityAdi MrgT_3.72c
   śarīrādeḥ śarīrādi MrgT_1,9.10a	SarIra-AdeH SarIra-Adi MrgT_1,9.10a
   śavagandhe kharānile MrgT_3.58b	Sava-ganDe Kara-anile MrgT_3.58b
   śākadvīpādiṣu tathā MrgT_1,13.107a	SAkadvIpa-Adizu taTA MrgT_1,13.107a
   śākasaṃjñānibandhanaḥ MrgT_1,13.98d	SAka-saMjQA-nibanDanaH MrgT_1,13.98d
   śāke śākadrumastvaṅgaḥ MrgT_1,13.98c	SAke SAka-drumaH-tu-aFgaH MrgT_1,13.98c
   śārīrāḥ pañca vāyavaḥ MrgT_1,11.20d	SArIrAH paQca vAyavaH MrgT_1,11.20d
   śālmagomedhapuṣkarāḥ MrgT_1,13.35d	SAlma-gomeDa-puzkarAH MrgT_1,13.35d
   śālmale śālmalīvṛkṣo MrgT_1,13.101c	SAlmale SAlmalI-vRkzaH MrgT_1,13.101c
   śāstrāṇi patayastataḥ MrgT_1,13.159b	SAstrANi patayaH-tatas MrgT_1,13.159b
   śikheda iti te smṛtāḥ MrgT_1,13.149d	SiKedaH iti te smRtAH MrgT_1,13.149d
   śivagarbhān samātiṣṭhan MrgT_4.53c	Siva-garBAn samAtizWan MrgT_4.53c
   śivatattvaṃ samabhyaset MrgT_4.53b	Siva-tattvam samaByaset MrgT_4.53b
   śivadhāmānyarakṣitam MrgT_3.95b	Siva-DAma-anyarakzitam MrgT_3.95b
   śivanindaiva sā yataḥ MrgT_3.91b	Siva-nindA-eva sA yatas MrgT_3.91b
   śivaśaktipracoditāḥ MrgT_1,4.6b	Siva-Sakti-pracoditAH MrgT_1,4.6b
   śivaṃ praṇavavigraham MrgT_3.31d	Sivam praNava-vigraham MrgT_3.31d
   śivaṃ viśati seśvaram MrgT_1,4.7d	Sivam viSati sa-ISvaram MrgT_1,4.7d
   śivāḥ sadyo bhavanti te MrgT_1,5.2b	SivAH sadyas Bavanti te MrgT_1,5.2b
   śiveṣṭamantrabhṛnnunna- MrgT_1,13.185a	Siva-izwa-mantra-BRt-nunna MrgT_1,13.185a
   śivaikādaśikāyutam MrgT_3.119d	Siva-ekAdaSika-ayutam MrgT_3.119d
   śivodgīrṇamidaṃ jñānaṃ MrgT_1,1.27a	Siva-udgIrNam-idam jQAnam MrgT_1,1.27a
   śītoṣṇau vāritejasoḥ MrgT_1,12.28b	SIta-uzNO vAri-tejasoH MrgT_1,12.28b
   śukrādau vāri saṃsthitam MrgT_1,12.30d	Sukra-AdO vAri saMsTitam MrgT_1,12.30d
   śuklapakṣe caturdaśyāṃ MrgT_3.97c	Sukla-pakze caturdaSyAm MrgT_3.97c
   śuddhavatyambunāthasya MrgT_1,13.51a	SudDavatI-ambu-nATasya MrgT_1,13.51a
   śuddhādhvanyapi māyāyāḥ MrgT_1,13.5a	SudDa-aDvani-api mAyAyAH MrgT_1,13.5a
   śuddhāśuddhādhvanorvipra MrgT_1,13.194a	SudDa-aSudDa-aDvanoH-vipra MrgT_1,13.194a
   śṛṅgamādityasannibham MrgT_1,13.60b	SRFgam-Aditya-sanniBam MrgT_1,13.60b
   śṛṇuyātsvābhiṣiktādvā MrgT_3.62a	SRNuyAt-sva-aBiziktAt-vA MrgT_3.62a
   śṛṇuśvaikāgramānasaḥ MrgT_1,13.40b	SRNuSva-ekAgra-mAnasaH MrgT_1,13.40b
   śaivasādhanayogataḥ MrgT_1,13.174b	SEva-sADana-yogataH MrgT_1,13.174b
   śaivaṃ prāktantranirmāṇam MrgT_3.38a	SEvam prAc-tantra-nirmANam MrgT_3.38a
   śaivaṃ māntreśvaraṃ gāṇaṃ MrgT_3.36c	SEvam mAntreSvaram gANam MrgT_3.36c
   śaivaṃ vadannihālpāyur MrgT_3.53a	SEvam vadan=-iha-alpa-AyuH MrgT_3.53a
   śaivaṃ vapuriti dhyāyed MrgT_4.33a	SEvam vapuH-iti DyAyet MrgT_4.33a
   śaivātsvāyambhuvādeśca MrgT_3.81c	SEvAt-svAyamBuva-AdeH-ca MrgT_3.81c
   śaivānāvasathaprāptān MrgT_3.89a	SEvAna-AvasaTa-prAptAn MrgT_3.89a
   śaivānāṃ kāmikaṃ pūrvaṃ MrgT_3.43c	SEvAnAm kAmikam pUrvam MrgT_3.43c
   śaivānāṃ ca pratarpaṇam MrgT_3.16d	SEvAnAm ca pratarpaNam MrgT_3.16d
   śaivā raudrā mahābhedā MrgT_3.42c	SEvAH rOdrAH mahA-BedAH MrgT_3.42c
   śaivāḥ syurvratavarjitāḥ MrgT_3.11d	SEvAH syuH-vrata-varjitAH MrgT_3.11d
   śaive rājani saptāhaṃ MrgT_3.59c	SEve rAjani sapta-aham MrgT_3.59c
   śaive siddho bhāti mūrdhnītareṣāṃ MrgT_1,2.29a	SEve sidDaH BAti mUrDni-itarezAm MrgT_1,2.29a
   śoṣaṇe bījanāśane MrgT_4.25d	SozaNe bIja-nASane MrgT_4.25d
   śyāmāpuṣpadyutirjanaḥ MrgT_1,13.84d	SyAmA-puzpa-dyutiH-janaH MrgT_1,13.84d
   śraddhā tacchāsake vidhau MrgT_1,5.5b	SradDA tad-SAsake viDO MrgT_1,5.5b
   śravaṇādavasīyate MrgT_1,13.4b	SravaNAt-avasIyate MrgT_1,13.4b
   śrāddhaṃ parvasu sarveṣu MrgT_3.20c	SrAdDam parvasu sarvezu MrgT_3.20c
   śrāvaṇe tadupānte vā MrgT_3.129c	SrAvaNe tad-upAnte vA MrgT_3.129c
   śrīkaṇṭhaśca śikhaṇḍī ca MrgT_1,4.4a	SrIkaNWaH-ca SiKaNxI ca MrgT_1,4.4a
   śrīkaṇṭhau ca pradhānapāḥ MrgT_1,13.183d	SrIkaNWO ca praDAnapAH MrgT_1,13.183d
   śrīśālajalpakedāra- MrgT_1,13.137c	SrI-SAla-jalpa-kedAra MrgT_1,13.137c
   śrutirādānamarthaśca MrgT_1,9.17c	SrutiH-AdAnam-arTaH-ca MrgT_1,9.17c
   śrutau dhāvati me manaḥ MrgT_1,13.39b	SrutO DAvati me manaH MrgT_1,13.39b
   śrūyatāmiti so 'bravīt MrgT_1,1.20b	SrUyatAm-iti saH abravIt MrgT_1,1.20b
   śrūyate sarvatomukham MrgT_1,2.5d	SrUyate sarvatomuKam MrgT_1,2.5d
   śrūyante gahanādhipāḥ MrgT_1,13.178b	SrUyante gahana-aDipAH MrgT_1,13.178b
   śrūyante yoginastayoḥ MrgT_4.56b	SrUyante yoginaH-tayoH MrgT_4.56b
   śrotumicchāmi vistarāt MrgT_1,13.38b	Srotum-icCAmi vistarAt MrgT_1,13.38b
   śrotradṛkpāṇipādādi MrgT_1,11.12c	Srotra-dRS-pANi-pAda-Adi MrgT_1,11.12c
   śrotravṛttivadasyāpi MrgT_1,12.25a	Srotra-vRtti-vat-asya-api MrgT_1,12.25a
   śrotraṃ tvakcakṣuṣī jihvā MrgT_1,12.3a	Srotram tvac-cakzuzI jihvA MrgT_1,12.3a
   śvetapītadhvajākulā MrgT_1,13.52b	Sveta-pIta-Dvaja-AkulAH MrgT_1,13.52b
   śvetabhūtajalāntakāḥ MrgT_1,13.129d	Sveta-BUta-jala-antakAH MrgT_1,13.129d
   śvetaḥ śṛṅgīti vāmataḥ MrgT_1,13.64d	SvetaH SRFgI-iti vAmatas MrgT_1,13.64d
   śvetā muktādinirmitā MrgT_1,13.53b	SvetA muktA-Adi-nirmitA MrgT_1,13.53b
   śveto haridrācūrṇābho MrgT_1,13.72a	SvetaH haridrA-cUrNa-ABaH MrgT_1,13.72a
   ṣaṭpadārthaparijñānān MrgT_1,2.22a	zawpadArTa-parijQAnAt MrgT_1,2.22a
   ṣaḍahopoṣito lakṣaṃ MrgT_3.110a	zaz-aha-upozitaH lakzam MrgT_3.110a
   sa itthaṃvigraho 'nena MrgT_1,4.1a	saH itTaMvigrahaH anena MrgT_1,4.1a
   sa udānaḥ śarīre 'smin MrgT_1,11.27a	saH udAnaH SarIre asmin MrgT_1,11.27a
   sakalaḥ kṛtyayogataḥ MrgT_1,13.176b	sakalaH kRtya-yogataH MrgT_1,13.176b
   sakalādiparicchadaḥ MrgT_1,13.160d	sakala-Adi-paricCadaH MrgT_1,13.160d
   sakhyā jātāṃhasāhṛtam MrgT_3.122b	saKyA jAta-aMhasa-AhRtam MrgT_3.122b
   sagarbhamimamācaret MrgT_4.31b	sa-garBam-imam-Acaret MrgT_4.31b
   sagarbhaṃ kumbhakaṃ vidvān MrgT_4.34a	sa-garBam kumBakam vidvAn MrgT_4.34a
   sagarbho 'nyastadujjhitaḥ MrgT_4.28d	sa-garBaH anyaH-tad-ujJitaH MrgT_4.28d
   saguṇaṃ kāraṇāntaram MrgT_1,12.13d	sa-guNam kAraNa-antaram MrgT_1,12.13d
   sajātyabhijanopetaṃ MrgT_3.124a	sajAti-aBijana-upetam MrgT_3.124a
   sa tatpuruṣavaktrakaḥ MrgT_1,3.11b	sa tatpuruza-vaktrakaH MrgT_1,3.11b
   sa tadākhyānibandhanaḥ MrgT_1,13.102b	sa tad-AKyAnibanDanaH MrgT_1,13.102b
   sa tadeveti susthitam MrgT_1,5.13d	sa tat-eva-iti susTitam MrgT_1,5.13d
   sa tasya sarvataḥ kena MrgT_1,9.11c	sa tasya sarvatas kena MrgT_1,9.11c
   sa tasyārthasya kāraṇam MrgT_1,12.15d	sa tasya-arTasya kAraNam MrgT_1,12.15d
   sa tālairdvādaśādibhiḥ MrgT_4.27d	sa tAlEH-dvAdaSa-AdiBiH MrgT_4.27d
   sati dhīrapyanarthikā MrgT_1,11.10d	sati DIH-api-anarTikAH MrgT_1,11.10d
   sa tena rañjito bhogyaṃ MrgT_1,10.12a	sa tena raQjitaH Bogyam MrgT_1,10.12a
   sa teṣu hariyajñāya MrgT_1,13.103c	sa tezu hari-yajQAya MrgT_1,13.103c
   sa taiḥ saṃpūjitaḥ pṛṣṭvā MrgT_1,1.4a	sa tEH saMpUjitaH pRzwvA MrgT_1,1.4a
   sattasvarūpakaraṇārthavidheyadṛgbhir MrgT_1,5.18a	satta-svarUpa-karaNa-arTa-viDeya-dRgBiH MrgT_1,5.18a
   sattvātmeti viniścitaḥ MrgT_1,11.7d	sattva-AtmA-iti viniScitaH MrgT_1,11.7d
   sattvāstasyāṃ kṛtāplavāḥ MrgT_1,13.75d	sattvAH-tasyAm kRta-AplavAH MrgT_1,13.75d
   sattve kārakaśabdo 'pi MrgT_1,9.14c	sattve kAraka-SabdaH api MrgT_1,9.14c
   satyalokaḥ svayambhuvaḥ MrgT_1,13.117d	satya-lokaH svayamBuvaH MrgT_1,13.117d
   satyaṃ buddhiguṇaḥ karma MrgT_1,13.187a	satyam budDi-guNaH karma MrgT_1,13.187a
   satyekamatiricyate MrgT_1,11.12b	sati-ekam-atiricyate MrgT_1,11.12b
   satsāntānika eva vā MrgT_3.10d	sat-sAntAnikaH eva vA MrgT_3.10d
   sadanyadasadanyacca MrgT_1,2.18a	sat-anyat-asat-anyat-ca MrgT_1,2.18a
   sadapyabhāsamānatvāt MrgT_1,2.6a	sat-api-aBAsamAna-tvAt MrgT_1,2.6a
   sadarthāprabhaviṣṇutā MrgT_1,11.3b	sat-arTa-apraBavizNu-tA MrgT_1,11.3b
   sadā paśupatipriyam MrgT_1,13.60d	sadA paSupati-priyam MrgT_1,13.60d
   sadāyuktataro mataḥ MrgT_1,2.19d	sadA-yuktataraH mataH MrgT_1,2.19d
   sadāśivaśivāntādhva- MrgT_1,13.162c	sadASiva-Siva-anta-aDva MrgT_1,13.162c
   sadyaḥ syādauṣadhādivat MrgT_1,5.11d	sadyas syAt-OzaDa-Adi-vat MrgT_1,5.11d
   sadyojātāyutaṃ japet MrgT_3.107b	sadyojAta-ayutam japet MrgT_3.107b
   sadyo 'ṇūnāṃ mūrtayaḥ sambhavanti MrgT_1,3.13a	sadyas aNUnAm mUrtayaH samBavanti MrgT_1,3.13a
   sadyomūrtiḥ kṛtyaśaighryānna mūrteḥ MrgT_1,3.13d	sadyomUrtiH kRtya-SEGryAt-na mUrteH MrgT_1,3.13d
   sadyo mūrtīryogināṃ vā vidhatte MrgT_1,3.13c	sadyas mUrtIH-yoginAm vA viDatte MrgT_1,3.13c
   sadyo yogāvabhāsakam MrgT_3.40d	sadyas yoga-avaBAsakam MrgT_3.40d
   sanakaśca mahātapāḥ MrgT_1,13.117b	sanakaH-ca mahA-tapAH MrgT_1,13.117b
   sanāpadottarāḥ sāṭṭa- MrgT_1,13.139a	sanApada-uttarAH sa-awwa MrgT_1,13.139a
   santatatvācca tadguṇam MrgT_1,8.2d	santata-tvAt-ca tad-guNam MrgT_1,8.2d
