   (Hbṭ 1)	(Hbj 1)
   paraḥ pṛcchati  "katham" iti kena prakāreṇa  yathā bādhāvinābhāvayoḥ	paraH pRcCati "kaTam" iti kena prakAreNa yaTA bADAvinA aBAvayoH
   sahānavasthānaṃ tathā pratihetvavinābhāvayorapi?, yenaikasaṃkhyāvivakṣā	saha anavasTAnam taTA pratihetu avinA BAvayoH api?, yena eka saMKyA vivakzA
   tadvadeva pratyākhyāyeta iti |	tadvat eva pratyAKyAyeta iti |
   siddhāntavādī sāmyaṃ darśayannāha  "eka" ityādi | eko hi	sidDAnta vAdI sAmyam darSayat = Aha "eka" ityAdi | ekaH hi
   heturlakṣaṇayuktaḥ | svasādhyāvyabhicārī kathaṃ bhavati? | yadi	hetuH lakzaNa yuktaH | sva sADya avyaBicArI kaTam Bavati? | yadi
   svasādhyabhāva eva bhavet, anyathā tallakṣaṇamavinābhāvo nāma hīyeta |	sva sADya BAvaH eva Bavet, anyaTA tat lakzaNam avinABAvaH nAma hIyeta |
   yatraiva dharmiṇi sa tallakṣaṇa eko bhavati tatraiva dharmiṇi tasmādanyo	yatra eva DarmiNi sa tad lakzaNaH ekaH Bavati tatra eva DarmiNi tasmAt anyaH 
   'pi pratiheturviruddhastena hetulakṣaṇayuktaḥ kathaṃ bhavati? | ekasya	api pratihetuH virudDaH tena hetu lakzaNa yuktaH kaTam Bavati? | ekasya
   hetoryat sādhyaṃ tabdādhakasya tadviruddhasyāparasya dharmasya bhāva eva	hetoH yat sADyam tabda aDakasya tat virudDasya aparasya Darmasya BAvaH eva
   nābhāve bhāvādavinābhāvāditi bādhayā samānaṃ bādhāsambhavena samānaḥ	na aBAve BAva AdavinA aBAvAt iti bADayA samAnam bADA samBavena samAnaH
   pratiheturiti tannirāsenaiva nirasta iti |	pratihetuH iti tad nirAsena eva nirastaH iti |
   atraiva dūṣaṇāntaramabhidhātuṃ vikalpayannāha  "api ca" ityādi |	atra eva dUzaNa antaram aBiDAtum vikalpayat = Aha "api ca" ityAdi |
   "vastutaḥ" paramārthato yasya pratiheturna sambhavati kimasau	"vastutaH" paramArTataH yasya pratihetuH na samBavati kim asO
   samyagjñānasya viparyasya vopanyastasādhyaviparītajñānasya vā heturiṣṭo	samyak jQAnasya viparyasya vA upanyasta sADya viparIta jQAnasya vA hetuH izwaH 
   yato vivakṣitaikasaṃkhyatvaṃ tallakṣaṇamucyate, āhosvid yasya	yatas vivakzita eka saMKya tvam tad lakzaNam ucyate, Ahosvit yasya
   pratihetustatsādhyaviparītasādhako na pradarśitaḥ paramārthataḥ sannapīti	pratihetuH tad sADya viparIta sADakaH na pradarSitaH paramArTataH san= api iti
   | paro doṣamapaśyannāha  "kiñcātaḥ" ityādi | yadi nāma purvo vikalpa	| paraH dozam apaSyat nAha "kiQcAtaH" ityAdi | yadi nAma purvaH vikalpa
   uttaro vā tataḥ ko doṣaḥ? iti |	uttaraH vA tatas kaH dozaH? iti |
   (Hbṭ 214)	(H bj 214)
   siddhāntavādyāha  yadyasambhavan pratiheturyasya sa	sidDAntavAdya aha yadi asamBavan pratihetuH yasya sa
   samyagjñānādiheturiṣyate, tadālakṣaṇametad vivakṣitaikasaṃkhyatvam |	samyak jQAna Adi hetuH izyate, tadA alakzaNam etat vivakzita eka saMKya tvam |
   kasmāt? | aśakyo niścayo yasya vastuto 'sambhavatpratihetutvasya sa	kasmAt? | aSakyaH niScayaH yasya vastutas asamBavat pratihetutvasya sa
   tathoktaḥ | paramatāpekṣayā caitaducyate | paro hi	taTA uktaH | parama tApekzayA ca etat ucyate | paraH hi
   darśanādarśanābhyāmasatyapi pratibandhe 'vinābhāvamicchati | tatastasya	darSana adarSanAByAm asati api pratibanDe avinA aBAvam icCati | tatas tasya
   pratihetorevaṃvidhasya sambhavo 'sti | sa cānupalabhyamāno 'pi kadācit	pratihetoH evaMviDasya samBavaH asti | sa ca anupalaByamAnaH api kadAcid 
   syāditi vastutastadabhāvo niścīyate |	syAt iti vastutas tad aBAvaH niScIyate |
   pratibandhanibandhanāvinābhāvavādināṃ tvasmākaṃ pratihetvasambhavaḥ	pratibanDa nibanDanAvinA aBAva vAdinAm tu asmAkam pratihetu asamBavaH
   suniścita eva | nahi tādātmyatadutpattilakṣaṇe pratibandhe pramāṇataḥ	su niScitaH eva | na hi tAdAtmya tad utpatti lakzaNe pratibanDe pramANataH
   siddhe tannimittāvinābhāvitayā ekena hetunā svasādhye sādhite	sidDe tad nimitta avinA BAvitayA ekena hetunA sva sADye sADite
   punastatraiva dharmiṇi tallakṣaṇasya tadviruddhārthasādhakasya pratihetoḥ	punar tatra eva DarmiNi tad lakzaNasya tad virudDa arTa sADakasya pratihetoH
   sambhavaḥ śaṅkayate, bhāvānāṃ viruddhasvabhāvadvayāyogād,	samBavaH SaFkayate, BAvAnAm virudDa svaBAva dvaya ayogAt ,
   viruddhadharmādhyāsasya bhedalakṣaṇatvāt | viruddhadharmasādhakasambhave	virudDa Darma aDyAsasya Beda lakzaNa tvAt | virudDa Darma sADaka samBave
   ca tasyaiva svasādhyāvinābhāvinaḥ prathamasya tatra pramāṇato	ca tasya eva sva sADya avinABAvinaH praTamasya tatra pramANataH 
   bhāvasiddhayayogāditi |	BAva sidDaya yogAt iti |
   syānmatam  yadi nāma prastutaḥ pratihetvasambhavo	syAt matam yadi nAma prastutaH pratihetu asamBavaH 
   'smābhirniścetumaśakyastathāpyasambhavatpratihetutvaṃ	asmABiH niScetum aSakyaH taTA api asamBavat pratihetu tvam
   vivakṣitaikasaṃkhyatvapratipāditaṃ hetulakṣaṇaṃ kasmānna bhavati? ityāha 	vivakzita eka saMKya tva pratipAditam hetu lakzaNam kasmAt na Bavati? iti Aha 
   "na hyaniścitātmanaḥ" ityādi | pratipādako yo dharmo	"na hi aniScita AtmanaH" ityAdi | pratipAdakaH yaH DarmaH 
   hetostasyāniścitasvabhāvasya yasmāt tallakṣaṇatvaṃ pratipādakadharmatā na	hetoH tasya aniScita svaBAvasya yasmAt tad lakzaNa tvam pratipAdaka Darma tA na
   bhavati | yathā saṃdigdhasya pakṣadharmatvasyeti pūrvakasya sādhanam |	Bavati | yaTA saMdigDasya pakza Darma tvasya iti pUrvakasya sADanam |
   nāpi sandhigdhaṃ lakṣaṇaṃ yasya sa heturbhavatīti na kaściddheturbhavediti	na api sanDigDam lakzaNam yasya sa hetuH Bavati iti na kaScid hetuH Bavet iti
   hetvabhāvo vā ityasya samarthanam | tataśca "hetvābhāsāstato 'pare"	hetu aBAvaH vE iti asya samarTanam | tatas ca "hetu ABAsAH tatas apare"
   ityatrāpi yojitamiti |	iti atra api yojitam iti |
   syānmatam  yasya pratiyogī dṛśyate tasyaiva pratihetubhāvāt ahetutvaṃ	syAt matam yasya pratiyogI dRSyate tasya eva pratihetu BAvAt ahetu tvam
   bhavatu, yasya tu pratiyogī heturna dṛśyate sa vastuta	Bavatu, yasya tu pratiyogI hetuH na dRSyate sa vastuta
   evāsambhavatpratihetuḥ | na hi tatra vastutaḥ pratihetusambhavaḥ	eva asamBavat pratihetuH | na hi tatra vastutas pratihetusamBavaH
   śaṅkayate, bādhakapratyayamantareṇa bādhāśaṅkāyā ayogāt | taduktam 	SaFkayate, bADaka pratyayam antareNa bADA SaFkAyAH ayogAt | tat uktam 
   "bādhājñāne tvanutpanne nāśaṅkā niṣpramāṇikā" iti |	"bADa ajQAne tu anutpanne na ASaFkAH nizpramANikA" iti |
   (Hbṭ 215)	(H bj 215)
   atra āha  "tulye lakṣaṇe hi" ityādi | śaṅkayamānapratihetunā tulyaṃ	atra Aha "tulye lakzaNe hi" ityAdi | SaFkayamAna pratihetunA tulyam
   lakṣaṇaṃ darśanādarśanamātranimittāvinābhāvarūpaṃ yasya tasmin dṛṣṭaḥ	lakzaNam darSana adarSana mAtra nimitta avinA BAva rUpam yasya tasmin dRzwaH
   pratiyoginaḥ pratihetorbbādhakasya sambhavaḥ sa yeṣāmapi	pratiyoginaH pratiheta urbbADakasya samBavaH sa yezAm api
   tattulyalakṣaṇānāṃ pratiyogī na dṛśyate teṣvapi śaṅkāṃ	tad tulya lakzaNAnAm pratiyogI na dRSyate tezu api SaFkAm
   pratihetusambhavaviṣayāmutpādayati | kiṃ kāraṇam? | adṛṣṭapratiyogino	pratihetu samBava vizayAm utpAdayati | kim kAraNam? | adRzwa pratiyoginaH 
   dṛṣṭapratiyogino viśeṣābhāvāt | nahi tasyetareṇa kaścidviśeṣo 'sti,	dRzwa pratiyoginaH viSeza aBAvAt | na hi tasya itareNa kaScid viSezaH asti,
   yatastatsambhavo na śaṅkayeta | pruṣaśaktivaikalyādinā tu tadadarśanaṃ	yatas tad samBavaH na SaFkayeta | pruza Sakti vEkalya AdinA tu tad adarSanam
   sambhāvyeteti kimucyate ‘nāśaṅkā niḥpra(ṣpra)māṇikā'; iti | atha viśeṣaḥ	samBAvyeta iti kim ucyate ‘nASaFkA niHpra(zpra)mANikA a; iti | aTa viSezaH
   pratibandhalakṣaṇo 'vinābhāvaniścāyako dṛṣṭapratihetoradṛṣṭapratiyogina	pratibanDa lakzaNaH avinA aBAva niScAyakaH dRzwa pratihetoH adRzwa pratiyogina
   iṣyate yataḥ pratiyogisambhavāśaṅkāstamupaiti | tadā sati vā viśeṣe sa	izyate yatas pratiyogi samBava ASaFkAH tam upEti | tadA sati vA viSeze sa
   viśeṣo hetorlakṣaṇam | kiṃ kāraṇam? | yatastato viśeṣāddheturekāntena	viSezaH hetoH lakzaNam | kim kAraNam? | yatas tatas viSezAt hetuH ekAntena
   niścayena nirastapratipakṣastathāvidhe dharmiṇi pratihetvasambhavāt	niScayena nirasta pratipakzaH taTAviDe DarmiNi pratihetu asamBavAt 
   svasādhyaṃ niścāyayatīti | yastathāvidho na bhavati tadviśeṣavirahāt	sva sADyam niScAyayati iti | yaH taTAviDaH na Bavati tad viSeza virahAt
   dṛṣṭapratihetuḥ so 'tallakṣaṇo na hetuḥ syāt | tathā ca yadi nāmāhetau	dRzwa pratihetuH saH atad lakzaNaH na hetuH syAt | taTA ca yadi nAma ahetO
   pratiheturdṛṣṭo, hetoḥ kimāyātam, yena tannivṛttaye tatraikasaṃkhyāvivakṣā	pratihetuH dRzwo, hetoH kim AyAtam, yena tad nivRttaye tatra eka saMKyA vivakzA
   kriyate, yathoktāvinābhāvavacanenaiva tannivṛtterityāha  "tathā ca hetau"	kriyate, yaTA ukta AvinA BAva vacanena eva tad nivRtta IH iti Aha "taTA ca hetO"
   tadviśeṣayogini "pratihetvasambhave" sati "vyarthā" niṣprayojanā	tad viSeza yogini "pratihetu asamBave" sati "vyarTA" nizprayojanA
   "ekasaṃkhyāvivakṣeti" | yathoktaviśeṣāṅgīkarane tallakṣaṇasya	"eka saMKyOvivakzA iti" | yaTA ukta viSeza aFgIkarane tad lakzaNasya
   pratihetorasambhavāt kasyaikasaṃkhyāvivakṣayā vyavacchedaḥ kriyate? yato	pratihetoH asamBavAt kasya eka saMKyA vivakzayA vyavacCedaH kriyate? yatas 
   'sya sārthakatvaṃ syāditi |	asya sArTaka tvam syAt iti |
   viruddhāvyabhicāriṇaśca hetvābhāsasya vyavacchedārthamekasaṃkhyāvivakṣā	virudDa avyaBicAriNaH ca hetvABAsasya vyavacCeda arTam eka saMKyA vivakzA
   hetulakṣaṇe kriyate | vastuto 'sambhavatpratihetutvasiddhaye ca	hetu lakzaNe kriyate | vastutas asamBavat pratihetu tva sidDaye ca
   pratibandhalakṣaṇe viśeṣe hetāviṣyamāṇe viruddhāvyabhicāryapi hetvābhāso	pratibanDa lakzaNe viSeze hetA vizyamANe virudDa avyaBicArI api hetvABAsaH 
   na bhavati | tato vyavacchedyābhāvāt kimekasaṃkhyāvivakṣayā? iti	na Bavati | tatas vyavacCedya aBAvAt kim eka saMKyO= ivakzayA? iti
   darśayannāha  "ataḥ" pratibandhalakṣaṇaviśeṣopagamāt "viruddhāvyabhicāriṇo	darSayat = Aha "ataH" pratibanDa lakzaNa viSeza upagamAt "virudDa avyaBicAriNaH 
   hetvābhāsasya yallakṣaṇaṃ taddhīyeta" na sambhavet | kiṃ	hetvABAsasya yat lakzaNam tat hIyeta" na samBavet | kim
   punastadviruddhāvyabhicāriṇo lakṣaṇam? ityāha  "svalakṣaṇa" ityādi |	punar tad virudDa avyaBicAriNaH lakzaNam? iti Aha "sva lakzaNa" ityAdi |
   hetoryadātmīyaṃ lakṣaṇaṃ tadyuktayorhetvorekatra (Hbṭ 216) dharmiṇi	hetoH yat AtmIyam lakzaNam tat yuktayoH hetvoH ekatra (Hbj 216) DarmiNi
   virodhena parasparaviruddhasādhyasādhakatvenopanipāte sati	viroDena paraspara virudDa sADya sADaka tvena upanipAte sati
   viruddhāvyabhicārīti viruddhāvyabhicāriṇo lakṣaṇam | na ca tat	virudDa avyaBicArI iti virudDa avyaBicAriNaH lakzaNam | na ca tat 
   pratibandhāṅgīkaraṇe sati sambhavati | nahi tādātmyatadutpattibhyāṃ	pratibanDa aFgIkaraNe sati samBavati | na hi tAdAtmya tad utpattiByAm
   svasādhyapratībandhavatyekatra hetau kvaciddharmiṇi saṃbhavati	sva sADya pratIbanDavati ekatra hetO kvacid DarmiNi saMBavati
   dvitīyastallakṣastatraiva hetuḥ sambhavet, bhāvānāṃ	dvitIyaH tad lakzaH tatra eva hetuH samBavet, BAvAnAm
   viruddhasvabhāvadvayāsambhavāt, viruddhadharmādhyāsasya bhedalakṣaṇatvāt |	virudDa svaBAva dvaya asamBavAt, virudDa Darma aDyAsasya Beda lakzaNa tvAt |
   tadavyabhicāriṇo hetordvitīyasya tatra kutaḥ sambhavāvakāśa iti |	tat avyaBicAriNaH hetoH dvitIyasya tatra kutas samBava avakASaH iti |
   nanu yadi tathavidhāviśeṣasambhave sati viruddhāvyabhicārilakṣaṇaṃ hīyate,	nanu yadi taTaviDA viSeza samBave sati virudDa avyaBicAri lakzaNam hIyate,
   ekasaṃkhyāvivakṣā vā vyarthā, tathāpi naiva hetvabhāvaparasaṅgaḥ, tat	eka saMKyA vivakzA vA vyarTA, taTA api na eva hetu aBAva para saFgaH, tat 
   kimuktaṃ hetvabhāvo vetyata āha  "na ca" naiva "tasya" viśeṣasya	kim uktam hetu aBAvaH vA iti atas Aha "na ca" na eva "tasya" viSezasya
   pratibandhalakṣaṇasya, yato vastuto 'sambhavatpratihetutvaṃ niścīyate |	pratibanDa lakzaNasya, yatas vastutas asamBavat pratihetu tvam niScIyate |
   "svarūpaṃ" tādātmyatadutpattilakṣaṇaṃ nirddiśyate bhavadbhiḥ	"svarUpaM" tAdAtmya tad utpatti lakzaNam nirddiSyate BavadBiH
   yathāsmābhirnirdiṣṭaṃ yadrūpaṃ "pratītya" pratipadya pratiyoginaḥ	yaTA asmABiH nirdizwam yat rUpam "pratItya" pratipadya pratiyoginaH
   ambhavāsambhavāvutpaśyāmaḥ | yatra sa viśeṣo nāsti tatra pratiyoginaḥ	amBavAsamBavO= utpaSyAmaH | yatra sa viSezaH na asti tatra pratiyoginaH
   sambhavaḥ kalpita āgamāśraye 'numāne | yatra tvasti sa viśeṣo	samBavaH kalpitaH Agama ASraye anumAne | yatra tu asti sa viSezaH 
   vastubalapravṛtte 'numāne tatra pratiyogino 'sambhava iti | yata evaṃ	vastu bala pravRtte anumAne tatra pratiyoginaH asamBavaH iti | yatas evam
   tasmānnāstyeva bhavatāṃ sa viśeṣaḥ  bhavadbhirna jñāyata eva sa viśeṣa iti	tasmAt na asti eva BavatAm sa viSezaH BavadBiH na jQAyate eva sa viSezaH iti
   | tasmāt sarvatra yatrāpi pratiyogī na dṛśyate tatrāpi śaṅkayā	| tasmAt sarvatra yatra api pratiyogI na dRSyate tatra api SaFkayA
   pratiyogiviṣayayā bhavitavyam | tāmeva śaṅkāṃ draḍhayannāha 	pratiyogi vizayayA Bavitavyam | tAm eva SaFkAm draXayan= Aha 
   "dṛṣṭapratihetorapi" ityādi | yasyāpi hi pratiheturdṛṣṭasyāpi prāk	"dRzwa pratihetoH api" ityAdi | yasya api hi pratihetuH dRzwasya api prAk 
   praityogidarśanāditareṇa sarvakālamadṛṣṭapratiyoginā na kaścid viśeṣo	prEti ogi darSanAditareNa sarva kAlam adRzwa pratiyoginA na kaScid viSezaH 
   lakṣyate yaddarśanājjñāyeta ‘atra pratiyogī sambhavati nyānyatra'; iti	lakzyate yad darSanAt jQAyeta ‘atra pratiyogI samBavati nyAnyatra a; iti
   darśanādarśanamātranibandhanayoranvayavyatirekayoḥ sarvatra samānatvāt |	darSana adarSana mAtra nibanDanayoH anvaya vyatirekayoH sarvatra samAna tvAt |
   tathāpi paścāttatra pratiyogī dṛṣṭa iti sarvatra tattulyalakṣaṇe	taTA api paScAt tatra pratiyogI dRzwaH iti sarvatra tad tulya lakzaNe
   pratiyogisadbhāvaśaṅkā na nivartata iti |	pratiyogi sadBAva SaFkA na nivartate iti |
   syānmatam  yeṣu pratiyogī sambhavati teṣvaśyameva kadācidasāvupalabhyate |	syAt matam yezu pratiyogI samBavati tezu aSyam eva kadAcid asO= upalaByate |
   yeṣu tu puruṣāyuṣeṇāpi nopalabhyate teṣvasau nāstyeva | (Hbṭ 217) tataḥ sa	yezu tu puruza AyuzeNa api na upalaByate tezu asO na asti eva | (H bj 217) tatas sa
   tathāvidho heturbhaviṣyati, tat kathaṃ hetvabhāvo 'smākam? ityata āha  "na	taTAviDaH hetuH Bavizyati, tat kaTam hetu aBAvaH asmAkam? iti atas Aha "na
   ca" ityādi | yeṣāmapi hi pratihetuḥ sambhavati teṣāmapi naiva sarvadā	ca" ityAdi | yezAm api hi pratihetuH samBavati tezAm api na eva sarvadA
   tasya pratihetorūpalabdhiḥ pratipattṝṇām | na hyasarvadarśināmupalabdhiḥ	tasya pratihetaH rUpa labDiH pratipattLNAm | na hi asarva darSinAm upalabDiH
   sarvabhāvasattāṃ vyāpnoti, pratibandhavaikalyasadbhāvāt | nanu ca yatra	sarva BAva sattAm vyApnoti, pratibanDa vEkalya sadBAvAt | nanu ca yatra
   sarvadaiva pratipatra(ttrā) pratiyogī na dṛśyate tatra tadāśaṅkākathaṃ	sarvadA eva pratipatra(ttrA) pratiyogI na dRSyate tatra tad ASaFkA kaTam
   kriyate? | tathā cāha 	kriyate? | taTA ca Aha 
   "bādha(dhā)jñāne tvanutpanne nāśaṅkā niṣpramāṇikā" iti |	"bADa( DA)jQAne tu anutpanne na ASaFkAH nizpramANikA" iti |
   tathāparam 	taTA aparam 
   "utprekṣeta hi yo mohādajātamapi bādhakam |	"utprekzeta hi yaH mohAt ajAtam api bADakam |
   sa sarvavyavahāreṣu saṃśayātmā kṣayaṃ vrajet ||" iti |	sa sarva vyavahArezu saMSaya AtmA kzayam vrajet ||" iti |
   ata āha  "atiśayavatī tu" ityādi | tathā hi kasyacideva pramātuḥ	atas Aha "atiSayavatI tu" ityAdi | taTA hi kasyacid eva pramAtuH
   kuśāgrīyamateratiśayavatī prajñā pratihetūtprekṣiṇī dṛṣṭāsmābhiḥ yathā	kuSa agrIya mateH atiSayavatI prajQA pratihetu utprekziNI dRzwA asmABiH yaTA
   vedaprāmāṇyanirākartṛṣu [hetuṣu] saugataiḥ śiṣyaparamparayā	veda prAmANya nirAkartRzu [hetuzu] sOgatEH Sizya paramparayA
   kumārilotpādātprāgadṛṣṭapratiyogiṣūpanyasteṣu, tenaiva prajñātiśayaśālinā	kumArila utpAdAt prAc adRzwa pratiyogizu upanyasta izu, tena eva prajQA atiSaya SAlinA
   pratihetava utprekṣitāḥ tatastaddarśanāt yāvajjīvaṃ adṛṣṭapratihetuṣvapi	pratihetavaH utprekzitAH tatas tad darSanAt yAvajjIvam adRzwa pratihetuzu api
   tadāśaṅkā na nivartate | tataḥ kathamāśaṅkā niṣpramāṇikocyate? |	tad ASaFkA na nivartate | tatas kaTam ASaFkA nizpramANikA ucyate? |
   "tulyalakṣaṇe hi" ityādikamapi pratiyogisambhavāśaṅkākāraṇamuktameva | na	"tulya lakzaNe hi" iti Adikam api pratiyogi samBava ASaFkA kAraNam uktam eva | na
   ca pratiyogisambhavamāśaṅkamānastannimittasaṃbhavāt ‘utprekṣeta hi';	ca pratiyogi samBavam ASaFkamAnaH tad nimitta saMBavAt ‘utprekzeta hi a;
   ityādyākrośamātreṇa nivartayituṃ śakyate | tenāsya	ityAdi AkroSa mAtreNa nivartayitum Sakyate | tena asya
   pratiyogyāśaṅkāpanodakṣamaṃ kiñcit kāraṇamabhidhānīyam	pratiyogi ASaFkA apanoda kzamam kiQcid kAraNam aBiDAnIyam
   yathāsmābhirabhihitaṃ ‘svabhāvahetorviparyeye	yaTA asmABiH aBihitam ‘svaBAva hetoH viparyeye
   bādhakapramāṇavaśāttādātmyaniścaye satyanvayavyatirekayostatra nirṇayaḥ;	bADaka pramANa vaSAt tAdAtmya niScaye satya nvaya vyatirekayoH tatra nirNayaH;
   kāryahetau ca yathoktapratyakṣānupalambhataḥ kāryakāraṇasiddhestaniścaya';	kArya hetO ca yaTA ukta pratyakza anupalamBataH kArya kAraNa sidDeH ta niScaya a;
   iti | yata evaṃ sarvatra pratiyogyāśaṅkā na nivartate bhavaddarśane tena	iti | yatas evam sarvatra pratiyogi ASaFkA na nivartate Bavat darSane tena
   kāraṇenāniścayaḥ pratiyoginaḥ sambhavāsambhavayoḥ ‘iha pratiyogī	kAraNena aniScayaH pratiyoginaH samBava asamBavayoH ‘iha pratiyogI
   sambhavati iha tu na sambhavati'; ityevaṃrūpa iti | tasmādvastuto	samBavati iha tu na samBavati a; iti evaMrUpaH iti | tasmAt vastuto
   'sambhavatpratihetutvaṃ yallakṣaṇaṃ (Hbṭ 218) hetoḥ	asamBavat pratihetu tvam yat lakzaNam (H bj 218) hetoH
   tasyāniścitatvādekasaṃkhyāvivakṣāvādināṃ na kaściddhetuḥ syāt | na	tasya aniScita tvAt eka saMKyA vivakzA = AdinAm na kaScid hetuH syAt | na
   hyaniścitalakṣaṇo heturbhavatītyupasaṃhāra iti |	hi aniScita lakzaNaH hetuH Bavati iti upasaMhAraH iti |
   tadevaṃ ‘kiṃ yo vastuto 'sambhavatpratihetuḥ sa	tat evam ‘kim yaH vastutas asamBavat pratihetuH sa
   samyagjñānaviparyayaheturiṣṭaḥ'; iti amuṃ vikalpaṃ nirākṛtya dvitīyaṃ	samyak jQAna viparyaya hetuH izwaH a; iti amum vikalpam nirAkRtya dvitIyam
   vikalpaṃ nirācikīrṣurāha  "athāpradarśitapratihetuḥ"	vikalpam nirAcikIrzuH Aha "aTA pradarSita pratihetuH"
   samyagjñānaviparyaheturiṣṭa iti sambandhaḥ | ayaṃ ca pakṣaḥ kila	samyak jQAna viparya hetuH izwaH iti sambanDaH | ayam ca pakzaH kila
   diṅnāgācāryasyāpyabhimata iti para upadarśayannāha  "yathāha	diS nAga AcAryasya api aBimataH iti paraH upadarSayat = Aha "yaTA Aha
   diṅnāgācāryaḥ" | kimāha?"yadā tarhi" ityādi | "śrāvaṇatvasya hi na	diS nAga AcAryaH" | kim Aha ?"yadA tarhi" ityAdi | "SrAvaNa tvasya hi na
   kathañcivdyavacchedahetutvam" iti diṅnāgācāryeṇokte pareṇābhihitam  "yadā	kaTaQci vdi avacCeda hetu tvam" iti diS nAga AcAryeNa ukte pareNa aBihitam "yadA
   tarhi vaiyākaraṇaḥ śabdatvaṃ sāmānyaviśeṣaṃ nityamabhyupagacchati tadāyaṃ	tarhi vEyAkaraNaH Sabda tvam sAmAnya viSezam nityam aByupagacCati tadA ayam
   śrāvaṇatvalakṣaṇaḥ pakṣadharmaḥ hetureva syāt | nityaḥ śabdaḥ śrāvaṇatvāt	SrAvaNa tva lakzaNaH pakza DarmaH hetuH eva syAt | nityaH SabdaH SrAvaNa tvAt 
   śabdatvavat" ityevaṃ pareṇokte satyācāryeṇoktam  "yadyatra śabdākhye	Sabda tvavat" iti evam pareNa ukte satya AcAryeNa uktam "yat yatra Sabda AKye
   dharmiṇyanityatvahetuṃ kṛtakatvaprayatnānatarīyakatvādilakṣaṇaṃ kaścid	DarmiNI anitya tva hetum kRtaka tva prayatna An atarIyaka tva Adi lakzaNam kaScid 
   vaiśeṣikādirna darśayet tadāyamapradarśitapratiheturhetureva bhavet" iti |	vESezika AdiH na darSayet tadA ayama pradarSita pratihetuH hetuH eva Bavet" iti |
   tadevāmācāryapādaiḥ sākṣitve datte bhujamutkṣipya śāstrakāraḥ	tat evAm AcArya pAdEH sAkzi tve datte Bujam utkzipya SAstra kAraH
   pūtkurvannāha  "idamidānīm" ityādi | yadā hyācāryasyāpyetadabhimatamiti	pUtkurvan nAha "idam idAnIm" ityAdi | yadA hi AcAryasya api etat aBimatam iti
   kaiścivdyākhyāyate tadidaṃ sumahavdyasanamāyātam 	kEScivdyAKyAyate tat idam su maha vdyasanam AyAtam 
   gurubhirabhihitatvādaprakāśyam, nahi gurūṇāṃ doṣaḥ prakāśayituṃ yuktaḥ,	guruBiH aBihita tvAt aprakASyam, na hi gurUNAm dozaH prakASayitum yuktaH,
   "nyāyamanupālayadbhiḥ asaṃvaraṇīyam" apracchādanīyam | tat kiṃ gurūn	"nyAyam anupAlayadBiH asaMvaraNIyam" apracCAdanIyam | tat kim gurUn
   dūṣayāma uta nyāyamapyupekṣāmahe ityubhayamapyaśakyamiti "kaṣṭataraṃ	dUzayAmaH uta nyAyam api upekzAmahe iti uBayam api aSakyam iti "kazwataram
   vyasanaṃ kathaṃ nirvoḍhuṃ śakyeta?" | na kathaṃciditi | kaḥ punaratra doṣo	vyasanam kaTam nirvoXum Sakyeta?" | na kaTaMcid iti | kaH punar atra dozaH 
   yenedaṃ kaṣṭataramityāha  "sa tāvadayaṃ" śrāvaṇatvalakṣaṇo "heturvastūni"	yena idam kazwataram iti Aha "sa tAvat ayaM" SrAvaNa tva lakzaNaH "hetuH vastUni"
   śabdādīni svasādhyaṃ tattvaṃ nityatvaṃ "tatprakṛtīni" tadātmakāni "kṛtvā"	Sabda AdIni sva sADyam tattvam nitya tvam "tad prakRtIni" tad AtmakAni "kRtvA"
   tacchrāvaṇatvaṃ pramāṇaṃ yeṣāṃ puruṣāṇāṃ mīmāṃsakavaiyākaraṇādīnāṃ tān	tat SrAvaNa tvam pramANam yezAm puruzANAm mImAMsaka vEyAkaraNa AdInAm tAn
   "abhyudayena" (Hbṭ 219) svargeṇa "niḥśreyasena" cāpavargeṇa "yojayitvā" |	"aByudayena" (Hbj 219) svargeNa "niHSreyasena" ca apavargeNa "yojayitvA" |
   tathā hi  vastutattvaṃ bhāvayan yāvat kleśānn prajahāti tāvat	taTA hi vastu tattvam BAvayan yAvat kleSAn prajahAti tAvat 
   svargamāsādayati, kleśāṃstu prajahannirvāṇaparāyaṇo bhavati | athāvā	svargam AsAt ayati, kleSAn= tu prajahat nirvANa parAyaNaH Bavati | aTa AvA
   śabdanityatvapratītau vedaprāmāṇyāt tadvihitāgnihotrānuṣṭhānāt svargo	Sabda nitya tva pratItO veda prAmANyAt tad vihita agnihotra anuzWAnAt svargaH 
   vedāntaniṣevaṇādaparvaggaḥ | punaruttarakālaṃ "pratibhāvatā"	vedAnta nizevaNAt aparvak gaH | punar uttara kAlam "pratiBAva tA"
   prajñājātīyena vaiśeṣikādinā puruṣeṇa "hetvantarasya" pratihetoḥ	prajQA jAtIyena vESezika AdinA puruzeNa "hetu antarasya" pratihetoH
   "nidarśanena" yadasya "nityatvasādhanasāmarthyaṃ" pratihetvanupadarśane	"nidarSanena" yat asya "nitya tva sADana sAmarTyan" pratihetu anupadarSane
   satyāsīt ttatadupadarśanena "utkīlitam" apanītamiti | tāni vastūni	satya AsIt ttatad upadarSanena "utkIlitam" apanItam iti | tAni vastUni
