   daśarūpakam /	daSa-rUpakam /
   vibhāvayati ratyādīn svadante rasikasya te // DhDaś_4.38 //	viBAvayati rati-AdIn svadante rasikasya te // DhDaH-_4.38 //
   krīḍatāṃ mṛnmayairyadvad bālānāṃ dviradādibhiḥ /	krIxatAm mRd-mayEH-yadvat bAlAnAm dvirada-AdiBiH /
   svotsāhaḥ svadate tadvacchrotṛṇāmarjunādibhiḥ // DhDaś_4.39 //	sva-utsAhaH svadate tadvat-SrotRNAm-arjuna-AdiBiH // DhDaH-_4.39 //
   kāvyārthabhāvanāsvādo nartakasya na vāryate /	kAvya-arTa-BAvanA-AsvAdaH nartakasya na vAryate /
   svādaḥ kāvyārthasambhedānātmānandasamudbhavaḥ // DhDaś_4.40 //	svAdaH kAvya-arTa-samBedAn-Atma-Ananda-samudBavaH // DhDas-_4.40 //
   vikāśavistarakṣobhavikṣepaiḥ sa caturbidhaḥ /	vikASa-vistara-kzoBa-vikzepEH sa caturbiDaH /
   śṛṅgāravīrabībhatsaraudreṣu manasaḥ kramāt // DhDaś_4.41 //	SRFgAra-vIra-bIBatsa-rOdrezu manasaH kramAt // DhDaH-_4.41 //
   hāsyādbhutabhayotkarṣakaruṇānāṃ ta eva hi /	hAsya-adButa-Baya-utkarza-karuNAnAm te eva hi /
   atastajjanyatā teṣāmata evāvadhāraṇam // DhDaś_4.42 //	atas-tat-janyatA tezAm-atas eva-avaDAraNam // DhDaH-_4.42 //
   śamaprakarṣo nirvācyo muditādestadātmatā /	Sama-prakarzaH nirvAcyaH mudita-AdeH-tad-Atma-tA /
   padārthairindunirvedaromāñcādisvarūpakaiḥ /	padArTEH-indu-nirveda-romAQca-Adi-svarUpakEH /
   kāvyād vibhāvasañcāryanubhāvaprakhyatāṃ gataiḥ // DhDaś_4.43 //	kAvyAt viBAva-saQcAri-anuBAva-praKya-tAm gatEH // DhDas-_4.43 //
   bhāvitaḥ svadate sthāyī rasaḥ sa parikīrtitaḥ /	BAvitaH svadate sTAyI rasaH sa parikIrtitaH /
   lakṣaṇaikyaṃ vibhāvaikyādabhedād rasabhāvayoḥ // DhDaś_4.44 //	lakzaNa-Ekyam viBAva-EkyAt-aBedAt rasa-BAvayoH // DhDas-_4.44 //
   ramyadeśakalākālaveṣabhogādisevanaiḥ /	ramya-deSa-kalA-kAla-veza-Boga-Adi-sevanEH /
   pramodātmā ratiḥ saiva yūnoranyonyaraktayoḥ /	pramoda-AtmA ratiH sA-eva yUnoH-anyonya-raktayoH /
   prahṛṣyamāṇā śṛṅgāro madhurāṅgaviceṣṭitaiḥ // DhDaś_4.45 //	prahRzyamANA SRFgAraH maDura-aFga-vicezwitEH // DhDas-_4.45 //
   ye sattvajāḥ sthāyin eva cāṣṭau	ye sattva-jAH sTAyin eva ca-azwO
   triṃśat trayo ye vyabhicāriṇaśca /	triMSat trayaH ye vyaBicAriNaH-ca /
   ekonapañcāśadamī hi bhāvāḥ	ekonapaQcASat-amI hi BAvAH
   yuktyā nibaddhāḥ paripoṣayanti /	yuktyA nibadDAH paripozayanti /
   ālasyamaugryaṃ maraṇaṃ jugupsā	Alasyam-Ogryam maraNam jugupsA
   tasyāśrayādvaitaviruddhamiṣṭam // DhDaś_4.46 //	tasya-ASraya-advEta-virudDam-izwam // DhDaH-_4.46 //
   tatrāyogo'nurāge'pi navayorekacittayoḥ /	tatra-ayogaH-anurAge-api navayoH-eka-cittayoH /
   pāratantryeṇa daivād vā viprakarṣādasaṅgamaḥ // DhDaś_4.47 //	pAratantryeNa dEvAt vA viprakarzAt-asaFgamaH // DhDas-_4.47 //
   daśāvasthaḥ sa tatrādāvabhilāṣo'tha cintanam /	daSa-avasTaH sa tatra-AdO=-aBilAzaH-aTa cintanam /
   smṛtirguṇakathodvegapralāponmādasañjvarāḥ /	smRtiH-guNa-kaTA-udvega-pralApa-unmAda-saQjvarAH /
   jaḍatā maraṇaṃ ceti duravasthaṃ yathottaram // DhDaś_4.48 //	jaxatA maraNam ca-iti duravasTam yaTottaram // DhDas-_4.48 //
   abhilāpaḥ spṛhā tatra kānte sarvāṅgasundare /	aBilApaH spRhA tatra kAnte sarva-aFga-sundare /
   dṛṣṭe śrute vā tatrāpi vismayānandasādhvasāḥ // DhDaś_4.49 //	dRzwe Srute vA tatra-api vismaya-Ananda-sADvasAH // DhDas-_4.49 //
   sākṣāt pratikṛtisvapnacchāyāmāyāsu darśanam /	sAkzAt pratikRti-svapna=-CAyA-mAyAsu darSanam /
   śrutirvyājāt sakhīgītamāgadhādiguṇastuteḥ // DhDaś_4.50 //	SrutiH-vyAjAt saKI-gIta-mAgaDa-Adi-guNa-stuteH // DhDaH-_4.50 //
   sānubhāvavibhāvāstu cintādyāḥ pūrvadarśitāḥ /	sa-anuBAva-viBAvAH-tu cintA-AdyAH pUrva-darSitAH /
   daśāvasthatvamācāryaiḥ prāyo vṛtyā nidarśitam /	daSa-avasTa-tvam-AcAryEH prAyas vRtyA nidarSitam /
   mahākaviprabandheṣu dṛśyate tadanantatā // DhDaś_4.51 //	mahAkavi-prabanDezu dRSyate tad-ananta-tA // DhDaH-_4.51 //
   dṛṣṭe śrute'bhilāṣāc ca kiṃ nautsukyaṃ prajāyate /	dRzwe Srute-aBilAzAt ca kim na-Otsukyam prajAyate /
   aprāptau kiṃ na nirvedo glāniḥ kiṃ nāticintanāt // DhDaś_4.52 //	aprAptO kim na nirvedaH glAniH kim na-ati-cintanAt // DhDaH-_4.52 //
   viprayogastu viśleṣo rūḍhavibhrambhayordvidhā /	viprayogaH-tu viSlezaH rUXa-viBramBayoH-dviDA /
   mānapravāsabhedena māno'pi praṇayerṣyayoḥ // DhDaś_4.53 //	mAna-pravAsa-Bedena mAnaH-api praNaya-IrzyayoH // DhDas-_4.53 //
   tatra praṇayamānaḥ syāt kopāvasitayordvayoḥ /	tatra praNayamAnaH syAt kopa-avasitayoH-dvayoH /
   strīṇāmīrṣyākṛto mānaḥ kopo'nyāsaṅgini priye /	strINAm-IrzyA-kRtaH mAnaH kopaH-anya-asaFgini priye /
   śrute vānumite dṛṣṭe śrutistatra sakhīmukhāt // DhDaś_4.54 //	Srute vA-anumite dRzwe SrutiH-tatra saKI-muKAt // DhDas-_4.54 //
   utsvapnāyitabhogāṅkagotraskhalanakalpitaḥ /	utsvapnAyita-Boga-aFka-gotra-sKalana-kalpitaH /
   tridhānumāniko dṛṣṭaḥ sākṣādindriyagocaraḥ // DhDaś_4.55 //	triDA-anumAnikaH dRzwaH sAkzAt-indriya-gocaraH // DhDas-_4.55 //
   yathottaraṃ guruḥ ṣaḍbhirupāyaistamupācaret /	yaTottaram guruH zaxBiH-upAyEH-tam-upAcaret /
   sāmnā bhedena dānena natyupekṣārasāntaraiḥ // DhDaś_4.56 //	sAmnA Bedena dAnena nati-upekzA-rasa-antarEH // DhDas-_4.56 //
   tatra oriyavacaḥ sāma bhedastatsakhyupārjanam /	tatra oriya-vacaH sAma BedaH-tad-saKyupArjanam /
   dānaṃ vyājena bhūṣādeḥ pādayoḥ patanaṃ natiḥ // DhDaś_4.57 //	dAnam vyAjena BUzA-AdeH pAdayoH patanam natiH // DhDaH-_4.57 //
   sāmādau tu parikṣīṇe syādupekṣāvadhīraṇam /	sAma-AdO tu parikzINe syAt-upekzA-avaDIraNam /
   rabhasatrāsaharṣādeḥ kopabhraṃśo rasāntaram /	raBasa-trAsa-harza-AdeH kopa-BraMSaH rasa-antaram /
   kopaceṣṭāśca nārīṇāṃ prāgeva pratipāditāḥ // DhDaś_4.58 //	kopa-cezwAH-ca nArINAm prAk-eva pratipAditAH // DhDas-_4.58 //
   kāryataḥ sambhramācchāpāt pravāso bhinnadeśatā /	kAryataH samBramAt-SApAt pravAsaH Binna-deSa-tA /
   dvayostatrāśruniḥśvāsakārśyalambālakāditā // DhDaś_4.59 //	dvayoH-tatra-aSru-niHSvAsa-kArSya-lamba-alaka-AditAH // DhDaH-_4.59 //
   dvitīyaḥ sahasotpanno divyamānupaviplavāt /	dvitIyaH sahasA-utpannaH divyamAnupaviplavAt /
   svarūpānyatvakaraṇācchāpajaḥ sannidhāvapi // DhDaś_4.60 //	svarUpa-anyatva-karaNAt-SApa-jaH sanniDO=-api // DhDaH-_4.60 //
   mṛte tvekatra yatrānyaḥ pralapecchoka eva saḥ /	mRte tu-ekatra yatra-anyaH pralapet-SokaH eva saH /
   vyāśrayatvān na śṛṅgāraḥ pratyāpanne tu netaraḥ // DhDaś_4.61 //	vyASraya-tvAt na SRFgAraH pratyApanne tu na-itaraH // DhDas-_4.61 //
   praṇayāyogayorutkā pravāse proṣitapriyā /	praNaya-ayogayoH-utkA pravAse prozita-priyA /
   kalahāntariterṣyāyāṃ vipralavdhā ca khaṇḍitā // DhDaś_4.62 //	kalaha-antarita-IrzyAyAm vipralavDA ca KaNxitAH // DhDas-_4.62 //
   anukūlau niṣevete yatrānyonyaṃ vilāsinau /	anukUlO nizevete yatra-anyonyam vilAsinO /
   darśanasparśanādīni sa sambhogo mudānvitaḥ // DhDaś_4.63 //	darSana-sparSana-AdIni sa samBogaH mudA-anvitaH // DhDas-_4.63 //
   ceṣṭāstatra pravartante līlādyā daśa yoṣitām /	cezwAH-tatra pravartante lIlA-AdyAH daSa yozitAm /
   dākṣiṇyamārdavapremṇāmanurūpāḥ priyaṃ prati // DhDaś_4.64 //	dAkziNya-mArdava-premNAm-anurUpAH priyam prati // DhDaH-_4.64 //
   ramayec cāṭukṛt kāntaḥ kalākrīḍādibhiśca tām /	ramayet cAwu-kRt kAntaH kalA-krIxA-AdiBiH-ca tAm /
   na grāmyamācaret kiñcin narmabhraṃśakaraṃ na ca // DhDaś_4.65 //	na grAmyam-Acaret kiQcid narma-BraMSa-karam na ca // DhDaH-_4.65 //
   vīraḥ pratāpavinayādhyavasāyasattva-	vIraH pratApa-vinaya-aDyavasAya-sattva-
   mohāviṣādanayavismayavikramādyaiḥ /	moha-avizAt-a-naya-vismaya-vikrama-AdyEH /
   utsāhabhūḥ sa ca dayāraṇadānayogāt	utsAha-BUH sa ca dayA-raNa-dAna-yogAt
   tredhā kilātra matigarvadhṛtipraharṣāḥ // DhDaś_4.66 //	treDA kila-atra mati-garva-DRti-praharzAH // DhDas-_4.66 //
   bībhatsaḥ kṛmipūtigandhivamathuprāyairjugupsaikabhūr	bIBatsaH kRmi-pUti-ganDi-vamaTu-prAyEH-jugupsa-eka-BUr
   udvego rudhirāntrakīkasavasāmāṃsādibhiḥ kṣobhaṇaḥ /	udvegaH ruDira-antrakIka-savasA-mAMsa-AdiBiH kzoBaNaH /
   vairāgyāj jaghanastanādiṣu ghṛṇāśuddho'nubhāvairvṛto	vErAgyAt jaGana-stana-Adizu GRNA-aSudDaH-anuBAvEH-vRtaH-
   nāsāvaktravikūṇanādibhirihāvegārtiśaṅkādayaḥ // DhDaś_4.67 //	nAsA-=-aktra-vikUNana-AdiBiH-iha-Avega-Arti-SaFkA-AdayaH // DhDas-_4.67 //
   krodho matsaravairivaikṛtamayaiḥ poṣo'sya raudro'nujaḥ	kroDaH mad-sara-vEri-vEkRta-mayEH pozaH-asya rOdraH-anujaH
   kṣobhaḥ khādharadaṃśakampabhrukuṭisvedāsyarāgairyutaḥ /	kzoBaH KADara-daMSa-kampa-Bru-kuwi-sveda-Asya-rAgEH-yutaH /
   śatrollāsavikatthamāṃsadharaṇīghātapratijñāgrahair	Satra-ullAsa-vikatTa-mAMsa-DaraNI-GAta-pratijQA-grahEH-
   atrāmarṣamadau smṛtiścapalatāsūyāgryavegādayaḥ // DhDaś_4.68 //	atra-amarza-madO smRtiH-capalatA-asUya-agrya-vega-AdayaH // DhDas-_4.68 //
   vikṛtākṛtivāgveṣairātmano'tha parasya vā /	vikRta-AkRti-vAc-vezEH-AtmanaH-aTa parasya vA /
   hāsaḥ syāt paripoṣo'sya hāsyastriprakṛtiḥ smṛtaḥ // DhDaś_4.69 //	hAsaH syAt paripozaH-asya hAsyaH-tri-prakRtiH smRtaH // DhDas-_4.69 //
   smitamiha vikāsinayanaṃ kiñcillakṣyadvijaṃ tu hasitaṃ syāt /	smitam-iha vikAsi-nayanam kiQcid-lakzya-dvijam tu hasitam syAt /
   madhurasvaraṃ vihasitaṃ saśiraḥkampamidamupahasitam // DhDaś_4.70 //	maDura-svaram vihasitam sa-SiraH-kampam-idam-upahasitam // DhDaH-_4.70 //
   apahasitaṃ sāsrākṣaṃ vikṣiptāṅgaṃ bhavatyatihasitam /	apahasitam sa-asrAkzam vikzipta-aFgam Bavati-ati-hasitam /
   dve dve hasite caiṣāṃ jyeṣṭhe madhye'dhame kramaśaḥ // DhDaś_4.71 //	dve dve hasite ca-ezAm jyezWe maDye-aDame kramaSas // DhDas-_4.71 //
   nidrālasyaśramaglānimūrchāśca sahacāriṇaḥ /	nidrA-Alasya-Srama-glAni-mUrCAH-ca sahacAriNaH /
   atilokaiḥ padārthaiḥ syād vismayātmā raso'dbhutaḥ // DhDaś_4.72 //	ati-lokEH padArTEH syAt vismaya-AtmA rasaH-adButaH // DhDas-_4.72 //
   karmāsya sādhuvādāśruvepathusvedagadgadāḥ /	karma-asya sADu-vAda-aSru-vepaTu-sveda-gadgadAH /
   harṣāvegadhṛtiprāyā bhavanti vyabhicāriṇaḥ // DhDaś_4.73 //	harza-Avega-DRti-prAyAH Bavanti vyaBicAriNaH // DhDas-_4.73 //
   vikṛtasvarasattvāderbhayabhāvo bhayānakaḥ /	vikRta-svara-sattva-AdeH-Baya-BAvaH BayAnakaH /
   sarvāṅgavepathusvedaśoṣavaicittyalakṣaṇaḥ /	sarva-aFga-vepaTu-sveda-Soza-vEcittya-lakzaNaH /
   dainyasambhramasammohatrāsādistatsahodaraḥ // DhDaś_4.74 //	dEnya-samBrama-sammoha-trAsa-AdiH-tad-sahodaraH // DhDas-_4.74 //
   iṣṭanāśādaniṣṭāptau śokātmā karuṇo'nu tam /	izwa-nASAt-anizwa-AptO Soka-AtmA karuNaH-anu tam /
   niḥśvāsocchvāsaruditastambhapralapitādayaḥ // DhDaś_4.75 //	niHSvAsa-ucCvAsa-rudita-stamBa-pralapita-AdayaH // DhDas-_4.75 //
   svāpāpasmāradainyādhimaraṇālasyasambhramāḥ /	svApa-apasmAra-dEnya-aDimaraNa-Alasya-samBramAH /
   viṣādajaḍayonmādacintādyā vyabhicāriṇaḥ // DhDaś_4.76 //	vizAda-jaxayA-unmAda-cintA-AdyAH vyaBicAriNaH // DhDas-_4.76 //
   prītibhaktyādayo bhāvā mṛgayākṣādayo rasāḥ /	prIti-Bakti-AdayaH BAvAH mRgayAkza-AdayaH rasAH /
   harṣotsāhādiṣu spaṣṭamantarbhāvān na kīrtitāḥ // DhDaś_4.77 //	harza-utsAha-Adizu spazwam-antarBAvAt na kIrtitAH // DhDas-_4.77 //
   ṣaṭtriṃśadbhūṣaṇādīni sāmādīnyekaviṃśatiḥ /	zawtriMSat-BUzaNa-AdIni sAma-AdIni-ekaviMSatiH /
   lakṣyasandhyantarāṅgāni sālaṅkāreṣu teṣu ca // DhDaś_4.78 //	lakzya-sanDi-antara-aFgAni sa-alaFkArezu tezu ca // DhDaH-_4.78 //
   ramyaṃ jugupsitamudāramathāpi nīcam	ramyam jugupsitam-udAram-aTa-api nIcam
   ugraṃ prasādi gahanaṃ vikṛtaṃ ca vastu /	ugram prasAdi gahanam vikRtam ca vastu /
   yadvāpyavastu kavibhāvakabhāvyamānaṃ	yat-vA-api-avastu kavi-BAvaka-BAvyamAnam
   tan nāsti yan na rasabhāvamupaiti loke // DhDaś_4.79 //	tat na-asti yat na rasa-BAvam-upEti loke // DhDaH-_4.79 //
   viṣṇoḥ sutenāpi dhanañjayena	vizNoH sutena-api DanaQjayena
   vidvanmanorāganibandhahetuḥ /	vidvan-manaH-rAga-nibanDa-hetuH /
   āviṣkṛṭaṃ muñjamahīśagoṣṭhī-	AvizkRwam muQja-mahISa-gozWI-
   vaidagdhyabhājā daśarūpametat // DhDaś_4.80 //	vEdagDya-BAjAH daSa-rUpam-etat // DhDaH-_4.80 //
