   The Adhikaraṇavastu	The ADikaraNa-vastu
   kārayati, dhārmikaṃ pratijñādānam; saṃghāvaśeṣāṃ pāyattikāṃ pratideśanikāṃ	kArayati, DArmikam pratijQA-dAnam; saMGa-avaSezAm pAyattikAm pratideSa-nikAm
   duṣkṛtām āpattim āpannaḥ āpanno 'smīti pratijānāti, tasya saṃghaḥ	duzkRtAm Apattim ApannaH ApannaH asmi-iti pratijAnAti, tasya saMGaH
   pratijñāṃ kārayati, dhārmikaṃ pratijñādānam; yathāpitad bhikṣuḥ pārajikām	pratijQAm kArayati, DArmikam pratijQA-dAnam; yaTApitat BikzuH pArajikAm
   āpattim anāpannaḥ anāpanno 'smīti pratijānāti tasya saṃghaḥ pratijñāṃ	Apattim anApannaH anApannaH asmi-iti pratijAnAti tasya saMGaH pratijQAm
   kārayati, dhārmikaṃ pratijñādānam; saṃghāvaśeṣāṃ pāyattikāṃ pratideśanikāṃ	kArayati, DArmikam pratijQA-dAnam; saMGa-avaSezAm pAyattikAm pratideSa-nikAm
   duṣkṛtām āpattim anāpano 'smīti pratijānāti tasya saṃghaḥ pratijñāṃ	duzkRtAm Apattim anApanaH asmi-iti pratijAnAti tasya saMGaH pratijQAm
   kārayati, dhārmikaṃ pratijñādānam; imāni dāśa dhārmikāṇi pratijñādānāni;	kArayati, DArmikam pratijQA-dAnam; imAni dASa DArmikANi pratijQA-dAnAni;
   (Adhik-v 102) evaṃ hi bhikṣavaḥ pratijñākāraka adhikaraṇaśamatho bhavati;	(a-aDik-u 102) evam hi BikzavaH pratijQA-kAraka aDikaraNa-SamaTaH Bavati;
   evam ihaikeṣām adhikaraṇānāṃ damaś ca bhavati śamaś ca vyupaśamaś ca	evam iha-ekezAm aDikaraNAnAm damaH ca Bavati SamaH ca vyupaSamaH ca
   yaduta pratijñākārakeṇa adhikaraṇaśamathena	yat-uta pratijQA-kArakeNa aDikaraNa-SamaTena
   The Buddha absolves the monk Kālo Mṛgāraputra from a false accusation	The BudDa ap-solveH Te monc KAlaH MRgAra-putra from aH false accu-sation
        buddho bhagavān śrāvastyāṃ viharati jetavane anāthapiṇḍadasyārāme;	budDaH BagavAn SrAvastyAm viharati jetavane anATapiNxadasya-ArAme;
   tena khalu samayenāyuṣmān kālo mṛgāraputro vaiśālyāṃ viharati	tena Kalu samayena-AyuzmAn kAlaH mRgAra-putraH vESAlyAm viharati
   markaṭahradatīre kūṭāgāraśālāyām; tam āgamya vaiśālikā licchavayo	markawa-hrada-tIre kUwAgAra-SAlAyAm; tam Agamya vESAlikAH licCavayaH-
   'tyarthaṃ buddhadharmasaṃgheṣu kārān kurvanti; vaiśālikā bhikṣavaḥ	atyarTam budDa-Darma-saMGezu kArAn kurvanti; vESAlikAH BikzavaH
   saṃlakṣayanti: āyuṣmān kālo mṛgāraputro 'nyatraiva jātaḥ, 'nyatraiva	saMlakzayanti: AyuzmAn kAlaH mRgAra-putraH anyatra-eva jAtaH, anyatra-eva
   vṛddhiṃ gataḥ, śrāvastyāṃ jātaḥ; vaiśālikāś ca licchavayo 'tyartham	vRdDim gataH, SrAvastyAm jAtaH; vESAlikAH ca licCavayaH atyarTam
   abhiprasannāḥ; tadāsyotkṣepaṇīyaṃ karma kartavyaṃ yenāsya vaiśālakā	aBiprasannAH; tadA-asya-utkzepaNIyam karma kartavyam yena-asya vESAlakA
   licchavayo ḥnaḥ prasādaṃ pravedayata iti tasyāvatāraprekṣiṇaḥ saṃvṛttāḥ;	licCavayaH HnaH prasAdam pravedayate iti tasya-avatAra-prekziNaH saMvRttAH;
   yāva anyatamena gṛhapatinā buddhapramukho bhikṣusaṃgho	yAva anyatamena gRhapatinA budDa-pramuKaH Bikzu-saMGaH-
   jentākasnātreṇopanimantritaḥ; bhikṣavaḥ kantārikāyāṃ cīvarāṇi sthāpayitvā	jentAka-snAtreNa-upanimantritaH; BikzavaH kantArikAyAm cIvarANi sTApayitvA
   snātum ārabdhāḥ; āyuṣmāṃs tu kālo mṛgāraputraḥ saṃprajānann ekānte	snAtum ArabDAH; AyuzmAn tu kAlaH mRgAra-putraH saMprajAnan ekAnte
   cīvarakāṇi sthāpayitā snātum ārabdhaḥ; apareṇāpi bhikṣuṇā tasminn eva	cIvarakANi sTApayitA snAtum ArabDaH; apareNa-api BikzuNA tasmin eva
   pradeśe cīvarakāṇī sthāpitāni; tataḥ āyuṣmān kālo mṛgāraputraḥ ḥsnātvāḥ	pradeSe cIvarakANI sTApitAni; tatas AyuzmAn kAlaH mRgAra-putraH HsnAtvAH
   tāny eva madīyāni cīvarāṇi ḥitiḥ kṛtvā tasya bhikṣoḥ santakāni cīvarāṇi	tAni eva madIyAni cIvarANi HitiH kRtvA tasya BikzoH santakAni cIvarANi
   prāvṛtya prakrāntaḥ; yāvad asau bhikṣuḥ samutthito na paśyati svakāni	prAvRtya prakrAntaH; yAvat asO BikzuH samutTitaH na paSyati svakAni
   cīvarāṇi; sa bhikṣūn praṣṭum ārabdhaḥ: āyuṣmantaḥ, kena madīyāni cīvarāṇi	cIvarANi; sa BikzUn prazwum ArabDaH: AyuzmantaH, kena madIyAni cIvarANi
   apahṛtāni? yāvat tasmin pradeśe āyuṣmataḥ kālasya mṛgāraputrasya	apahRtAni? yAvat tasmin pradeSe AyuzmataH kAlasya mRgAra-putrasya
   sārdhaṃvihārī sthitaḥ; tena śrutam; sa kathayati: āyuṣmatā (Adhik-v 103)	sArDaMvihArI sTitaH; tena Srutam; sa kaTayati: AyuzmatA (a-aDik-u 103)
   upādhyāyenāsmin pradeśe cīvarakāṇi sthāpitāni; tena vyatyāsena nītāni	upADyAyena-asmin pradeSe cIvarakANi sTApitAni; tena vyatyAsena nItAni
   bhaveyuh; gacchāmi tāvad upādhyāyaṃ paśyāmīti; sa upādhyāyasya sakāśaṃ	Baveyuh; gacCAmi tAvat upADyAyam paSyAmi-iti; saH upADyAyasya sakASam
   gataḥ; kathayati: upādhyāya santakāni (A 347ba) tvayā cīvarāṇy ānītāni? sa	gataH; kaTayati: upADyAya santakAni (A 347ba) tvayA cIvarANi AnIta-ani? sa
   kathayati, putra mama santakāni, kasyānyasya santakāni? upādhyāya amukena	kaTayati, putra mama santakAni, kasya-anyasya santakAni? upADyAya amukena
   bhikṣuṇā tasminn eva pradeśe cīvarakāṇi sthāpitāni; so 'vadhyāyati; putra	BikzuNA tasmin eva pradeSe cIvarakANi sTApitAni; saH avaDyAyati; putra
   yady evam ānaya, tāni cīvarāṇi paśyāmi iti; sa tāny ādāyāgataḥ; upādhyāya	yadi evam Anaya, tAni cIvarANi paSyAmi iti; sa tAni AdAya-AgataH; upADyAya
   imāni tāni cīvarāṇi pratyabhijānīhi? tena pratyabhijñātāni; putra	imAni tAni cIvarANi pratyaBijAnIhi? tena pratyaBijQAtAni; putra
   vyatyāsena mayānītāni, naya tasya bhikṣor imāmi tāni; sa tāny ādāya tasya	vyatyAsena mayA-AnItAni, naya tasya BikzoH imAmi tAni; sa tAni AdAya tasya
   bhikṣoḥ sakāśaṃ gataḥ kathayati: āyuṣmann imāni tāni cīvarāny upādhyāyena	BikzoH sakASam gataH kaTayati: Ayuzman imAni tAni cIvarAni upADyAyena
   vyatyāsena nītāni; sa kathayati: pārājikām evāpattim apannaḥ steyacittena	vyatyAsena nIta-ani; sa kaTayati: pArAjikAm eva-Apattim apannaH steya-cittena
   tena nītāni; tatas tair avatāraprekṣibhir bhikṣubhis tasyācodayitvā	tena nItAni; tatas tEH avatAra-prekziBiH BikzuBiH tasya-AcodayitvA
   asmārayitvā balād utkṣepaṇīyaṃ karma kṛtam; āyuṣmān kālo mṛgāraputraḥ	asmArayitvA balAt utkzepaNIyam karma kRtam; AyuzmAn kAlaH mRgAra-putraH
   saṃlakṣayati: duḥkhaṃ brāhmaṇagṛhapatayaḥ prasādyante, sukham	saMlakzayati: duHKam brAhmaNa-gRhapatayaH prasAdyante, suKam
   aprasādyante; yadi sthāsyāmi niyataṃ vaiśālakā licchavayo ḥnaḥ prasādaṃ	aprasAdyante; yadi sTAsyAmi niyatam vESAlakAH licCavayaH HnaH prasAdam
   pravedayiṣyante; sarvathā śrāvastīm eva gamiṣyāmi iti sa na vyavalokya	pravedayizyante; sarvaTA SrAvastIm eva gamizyAmi iti sa na vyavalokya
   vaiśalakān licchavīn samādāya pātracīvaraṃ yena śrāvastī tena cārikāṃ	vESalakAn licCavIn samAdAya pAtra-cIvaram yena SrAvastI tena cArikAm
   prakrāntaḥ; anupūrveṇa caran śrāvastīm anuprāptaḥ; sa bhikṣubhir dṛṣṭaḥ;	prakrAntaH; anupUrveNa caran SrAvastIm anuprAptaH; sa BikzuBiH dRzwaH;
   uktaḥ: svāgataṃ svāgatam āyuṣman kāla prītā vayaṃ tvaddarśanena no tv	uktaH: svAgatam svAgatam Ayuzman kAla prItAH vayam tvad-darSanena no tu-
   āgamanena; kiṃ kāraṇam? yasmāt tvām āgamya vaiśālakā licchavayaḥ buddhe	Agamanena; kim kAraNam? yasmAt tvAm Agamya vESAlakAH licCavayaH budDe
   'bhiprasannā ḥdharmeḥ saṃghe 'bhiprasannā atyarthaṃ buddhadharmasaṃgheṣu	aBiprasannAH HDarmeH saMGe aBiprasannAH atyarTam budDa-Darma-saMGezu
   kārān kurvanti iti; sa kathayati: asty etad evam, api tu vaiśālikair	kArAn kurvanti iti; sa kaTayati: asti etat evam, api tu vESAlikEH-
   bhikṣubhir acodayitvā asmārayitvā balād utkṣepaṇīyaṃ karma kṛtam iti; etat	BikzuBiH acodayitvA asmArayitvA balAt utkzepaNIyam karma kRtam iti; etat-
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti; bhagavān āha: tiṣṭha bhikṣu ahaṃ	prakaraNam BikzavaH BagavataH Arocayanti; BagavAn Aha: tizWa Bikzu aham
   tvāṃ dharmeṇa ḥosārayāmi; tato bhagavatā (Adhik-v 104) dharmeṇaḥ osāritaḥ;	tvAm DarmeNa HosArayAmi; tatas BagavatA (a-aDik-u 104) DarmeNaH osAritaH;
   vaiśālikānāṃ vipratisāro jātaḥ, na śobhanam asmābhiḥ kṛtaṃ yat kālasya	vESAlikAnAm vipratisAraH jAtaH, na SoBanam asmABiH kRtam yat kAlasya
   bhikṣor adūṣiṇo 'napakāriṇo balād utkṣepaṇīyaṃ karma kṛtam iti; te	BikzoH adUziNaH anapakAriNaH balAt utkzepaNIyam karma kRtam iti; te
   samādāya pātracīvaraṃ yena śrāvastī tena cārikāṃ prakrāntāḥ; tair	samAdAya pAtra-cIvaram yena SrAvastI tena cArikAm prakrAntAH; tEH-
   antarmārgair bhikṣur dṛṣṭa uktaś ca, kutas tvam āyuṣmann āgacchasi?	antar-mArgEH BikzuH dRzwaH uktaH ca, kutas tvam Ayuzman AgacCasi?
   śrāvastyāḥ; dṛṣṭas tvayā kālo mṛgāraputraḥ? dṛṣṭaḥ, kiṃ tasya? asmābhiḥ	SrAvastyAH; dRzwaH tvayA kAlaH mRgAra-putraH? dRzwaH, kim tasya? asmABiH
   tasyādūṣiṇo 'napakāriṇaḥ acodayitvāsmārayitvā balād utkṣepaṇīyaṃ karma	tasya-adUziNaH anapakAriNaH acodayitvA-asmArayitvA balAt utkzepaNIyam karma
   kṛtam; osāritam; kena? bhagavatā; tatra eka evam āhur anosāritaṃ	kRtam; osAritam; kena? BagavatA; tatra ekaH evam AhuH anosAritam
   dūrosāritam, yasmāt tasyāsmābhir utkṣepaṇīyaṃ karma kṛtam asmāsv	dUrosAritam, yasmAt tasya-asmABiH utkzepaNIyam karma kRtam asmAsu-
   asaṃmukhībhūteṣu tasyausāraṇaṃ na yuktam (A 348a) iti; apare tv evam āhuḥ:	asaMmuKIBUtezu tasyOsAraNam na yuktam (A 348a) iti; apare tu evam AhuH:
   dharmasvāmī bhagavān, dharmasvāmī sugataḥ, yasyausāritaḥ svosāritaḥ; te	Darma-svAmI BagavAn, Darma-svAmI sugataH, yasya-OsAritaH svosAritaH; te
   anupūrveṇa śrāvastīm anuprāptāḥ patracīvaraṃ pratiśamayya pādau prakṣālya	anupUrveNa SrAvastIm anuprAptAH patra-cIvaram pratiSamayya pAdO prakzAlya
   yena bhagavāṃs tenopasaṃkrāntāḥ; upasaṃkramya bhagavataḥ pādau śirasā	yena BagavAn tena-upasaMkrAntAH; upasaMkramya BagavataH pAdO SirasA
   vanditva ekānte niṣaṇṇāḥ; ekāntaniṣaṇṇā vaiśālikā bhikṣavo bhagavantam	vanditvaH ekAnte nizaNNAH; ekAnta-nizaNNA vESAlikAH BikzavaH Bagavantam
   idam avocan: asmābhir bhadanta bālair mūḍhair avyaktair akuśalaiḥ kālasya	idam avocan: asmABiH Badanta bAlEH mUXEH avyaktEH akuSalEH kAlasya
   mṛgāraputrasyādūṣiṇo 'napakāriṇaḥ acodayitvā asmārayitvā balād	mRgAra-putrasya-adUziNaH anapakAriNaH acodayitvA asmArayitvA balAt-
   utkṣepaṇīyaṃ karma kṛtam; te vayaṃ vipratisārajātaḥ kālaṃ mṛgāraputraṃ	utkzepaNIyam karma kRtam; te vayam vipratisAra-jAtaH kAlam mRgAra-putram
   kṣamayitum ihāgatāḥ iti; bhagavān āha: osāritaṃ bhikṣavas tad adhikaraṇaṃ	kzamayitum iha-AgatAH iti; BagavAn Aha: osAritam BikzavaH tat aDikaraNam
   tathāgatena yaduta dharmeṇa; śrutam asmābhir bhadanta bhikṣoḥ sakāśād	taTAgatena yat-uta DarmeNa; Srutam asmABiH Badanta BikzoH sakASAt-
   antarmārgeṇa osāritaṃ bhagavatā yaduta dharmeṇa iti; api tv ḥekeḥ asmākam	antar-mArgeNa osAritam BagavatA yat-uta DarmeNa iti; api tu HekeH asmAkam
   evam āhuḥ: anosāritaṃ dūrosāritam, yasmād vayaṃ tatra na saṃmukhībhūtā	evam AhuH: anosAritam dUrosAritam, yasmAt vayam tatra na saMmuKIBUtA
   iti; apare tv evam āhuḥ: dharmasvāmī bhagavān dharmasvāmī sugataḥ	iti; apare tu evam AhuH: Darma-svAmI BagavAn Darma-svAmI sugataH
   yasyausāritaṃ svosāritam iti	yasya-osAritam svosAritam iti
   Various forms of accusations	VariouH fA-Urms of accusatia-uns
        bhagavān saṃlakṣayati: ākāṃkṣanti bata me śrāvakāḥ utpannotpannāny	BagavAn saMlakzayati: AkAMkzanti bata me SrAvakAH utpanna-utpannAni-
   adhikaraṇāni vyupaśamayituṃ yaduta dharmeṇa vinayena śāstuḥ śāsanena; iti	aDikaraNAni vyupaSamayitum yat-uta DarmeNa vinayena SAstuH SAsanena; iti
   viditvā bhikṣūn āmantrayate sma: kathaṃ bhikṣavaḥ saṃmukhavinaya	viditvA BikzUn Amantrayate sma: kaTam BikzavaH saMmuKa-vinaya
   adhikaraṇaśamatho bhavati? kathaṃ ca punar ihaikeṣām adhikaraṇānāṃ damaś	aDikaraNa-SamaTaH Bavati? kaTam ca punar iha-ekezAm aDikaraNAnAm damaH-
   ca bhavati śamaś ca vyupaśamaś ca yaduta	ca Bavati SamaH ca vyupaSamaH ca yat-uta
   saṃmukhavinayenādhikaraṇaśamathena? iha bhikṣavaḥ 1) pudgalaḥ pudgalaṃ	saMmuKa-vinayena-aDikaraNa-SamaTena? iha BikzavaH 1) pudgalaH pudgalam
   codayati dharmeṇa vinayena saṃmukhaṃ (Adhik-v 104) caturakṣam; 2) dvau	codayati DarmeNa vinayena saMmuKam (a-aDik-u 104) catur-akzam; 2) dvO
   saṃbahulān saṃghaṃ codayataḥ dharmeṇa vinayena saṃmukhaṃ caturakṣaṃ; 3)	saMbahulAn saMGam codayataH DarmeNa vinayena saMmuKam catur-akzaM; 3)
   dvau pudgalau pudgalaṃ codayataḥ dharmeṇa vinayena saṃmukaṃ caturakṣaṃ; 4)	dvO pudgalO pudgalam codayataH DarmeNa vinayena saMmukam catur-akzaM; 4)
   dvau pudgalau codayataḥ ḥdvauḥ saṃbahulān saṃghaṃ dharmeṇa vinayena	dvO pudgalO codayataH HdvOH saMbahulAn saMGam DarmeNa vinayena
   ḥsaṃmukhaṃḥ caturakṣam; 5) saṃbahulāḥ pudgalāḥ pudgalaṃ codayanti dharmeṇa	HsaMmuKaMH catur-akzam; 5) saMbahulAH pudgalAH pudgalam codayanti DarmeNa
   vinayena saṃmukhaṃ caturakṣaṃ; 6) saṃbahulāḥ pudgalāḥ ḥdvau saṃbahulānḥ	vinayena saMmuKam catur-akzaM; 6) saMbahulAH pudgalAH HdvO saMbahulAnH
   saṃghaṃ codayanti dharmeṇa vinayena saṃmukhaṃ caturakṣam; 7) saṃghaḥ	saMGam codayanti DarmeNa vinayena saMmuKam catur-akzam; 7) saMGaH
   pudgalaṃ codayati dharmeṇa vinayena saṃmukhaṃ caturakṣam; 8) ḥsaṅghoḥ dvau	pudgalam codayati DarmeNa vinayena saMmuKam catur-akzam; 8) HsaFGoH dvO
   saṃbahulān saṃghaṃ codayati dharmeṇa vinayena caturakṣam	saMbahulAn saMGam codayati DarmeNa vinayena catur-akzam
   Sixteen and sixteen ways of applying saṃmukhavinaya respectively not	Sixteet and sixteet wayH of applying saMmuKa-vinaya respet-ti-velI na-ut
   legally valid and legally valid	legallI valit and legallI valid
        ṣoḍaśa adhārmikāṇi saṃmukhavinayadānāni; ṣoḍaśa dhārmikāṇi;	zoxaSa aDArmikANi saMmuKa-vinaya-dAnAni; zoxaSa DArmikANi;
   ṣoḍaśādhārmikāṇi katamāni? 1) adhārmikaḥ pudgalaḥ dhārmikaḥ pudgalaḥ; 2)	zoxaSa-aDArmikANi katamAni? 1) aDArmikaH pudgalaH DArmikaH pudgalaH; 2)
   pudgalaḥ adhārmikaḥ dvau pudgalau dhārmikau; 3) pudgalaḥ adhārmikaḥ	pudgalaH aDArmikaH dvO pudgalO DArmikO; 3) pudgalaH aDArmikaH
   saṃbahulāḥ pudgalāḥ dhārmikāḥ; 4) ḥsaṅghoḥ 'dhārmikaḥ pudgalo dhārmikaḥ;	saMbahulAH pudgalAH DArmikAH; 4) HsaFGoH aDArmikaH pudgalaH DArmikaH;
   5) dvau pudgalau adhārmikau dhārmikaḥ pudgalaḥ; 6) dvau pudgalau	5) dvO pudgalO aDArmikO DArmikaH pudgalaH; 6) dvO pudgalO
   adhārmikau dvau pudgalau dhārmikau; 7) dvau pudgalau adhārmikau saṃbahulāḥ	aDArmikO dvO pudgalO DArmikO; 7) dvO pudgalO aDArmikO saMbahulAH
   pudgalā adhārmikāḥ; 8) dvau pudgalau (A 348b) adhārmikau saṃghaḥ	pudgalAH aDArmikAH; 8) dvO pudgalO (A 348b) aDArmikO saMGaH
   dhārmikaḥ; 9) saṃbahulāḥ pudgalāḥ adhārmikāḥ pudgalaḥ dhārmikaḥ; 10)	DArmikaH; 9) saMbahulAH pudgalAH aDArmikAH pudgalaH DArmikaH; 10)
   saṃbahulāḥ pudgalā adhārmikāḥ dvau pudgalau dhārmikau; 11) sambahulāḥ	saMbahulAH pudgalAH aDArmikAH dvO pudgalO DArmikO; 11) sambahulAH
   pudgalāḥ adhārmikāḥ, saṃbahulāḥ pudgalā dhārmikā; 12) saṃbahulāḥ pudgalāḥ	pudgalAH aDArmikAH, saMbahulAH pudgalAH DArmikA; 12) saMbahulAH pudgalAH
   adhārmikāḥ saṃgho dhārmikaḥ; 13) saṃgho adhārmikaḥ pudgalaḥ dhārmikaḥ; 14)	aDArmikAH saMGaH DArmikaH; 13) saMGaH aDArmikaH pudgalaH DArmikaH; 14)
   saṃgho adhārmikaḥ dvau pudgalau dhārmikau; 15) saṃgha adhārmikaḥ	saMGaH aDArmikaH dvO pudgalO DArmikO; 15) saMGa aDArmikaH
   sambahulāḥ pudgalā dhārmikāḥ; 16) saṃgha adhārmikaḥ saṃgho dhārmikaḥ iti	sambahulAH pudgalAH DArmikAH; 16) saMGa aDArmikaH saMGaH DArmikaH iti
   imāmi ṣoḍaśa adhārmikāṇi saṃmukhavinayadānāni	imAmi zoxaSa aDArmikANi saMmuKa-vinaya-dAnAni
        ṣoḍaśa dhārmikāni saṃmukhavinayadānāni katamāni? 1) pudgalaḥ	zoxaSa DArmikAni saMmuKa-vinaya-dAnAni katamAni? 1) pudgalaH
   dhārmikaḥ pudgalaḥ adhārmikaḥ; 2) ḥpudgalaḥ dhārmikaḥḥ dvau pudgalau	DArmikaH pudgalaH aDArmikaH; 2) HpudgalaH DArmikaHH dvO pudgalO
   adhārmikau; 3) pudgalaḥ dhārmikaḥ, saṃbahulāḥ pudgalā adhārmikāḥ; 4)	aDArmikO; 3) pudgalaH DArmikaH, saMbahulAH pudgalAH aDArmikAH; 4)
   pudgalaḥ dhārmikaḥ saṃgha adhārmikaḥ; 5) dvau pudgalau dhārmikau, pudgalaḥ	pudgalaH DArmikaH saMGa aDArmikaH; 5) dvO pudgalO DArmikO, pudgalaH
   adhārmikaḥ; 6) dvau pudgalau dhārmikau, dvau adhārmikau; 7) dvau pudgalau	aDArmikaH; 6) dvO pudgalO DArmikO, dvO aDArmikO; 7) dvO pudgalO
   dhārmikau, saṃbahulāḥ (Adhik-v 106) pudgalā adhārmikāḥ; 8) dvau ḥpudgalauḥ	DArmikO, saMbahulAH (a-aDik-u 106) pudgalAH aDArmikAH; 8) dvO HpudgalOH
   dhārmikau, saṃgha adhārmikaḥ; 9) saṃbahulāḥ pudgalāḥ dhārmikāḥ pudgalaḥ	DArmikO, saMGa aDArmikaH; 9) saMbahulAH pudgalAH DArmikAH pudgalaH
   adhārmikaḥ; 10) sambahulāḥ pudgalā dhārmikā dvau pudgalu adhārmikau; 11)	aDArmikaH; 10) sambahulAH pudgalA DArmikA dvO pudgalu aDArmikO; 11)
   sambahulā pudgalā dhārmikāḥ sambahulāḥ pudgalā adhārmikāḥ; 12) saṃbahulā	sambahulA pudgalAH DArmikAH sambahulAH pudgalAH aDArmikAH; 12) saMbahulA
   pudgalā dhārmikāḥ saṃgha adhārmikaḥ; 13) saṃgho dhārmikaḥ pudgala	pudgalAH DArmikAH saMGa aDArmikaH; 13) saMGaH DArmikaH pudgala
   adhārmikaḥ; 14) ḥsaṅgho dhārmikaḥḥ dvau pudgalau adhārmikau; 15) saṃgho	aDArmikaH; 14) HsaFGaH DArmikaHH dvO pudgalO aDArmikO; 15) saMGaH-
   dhārmikaḥ pudgalā adhārmikāḥ; 16) saṃgho dhārmikaḥ saṃgha adhārmikaḥ iti	DArmikaH pudgalAH aDArmikAH; 16) saMGaH DArmikaH saMGa aDArmikaH iti
   imāni ṣoḍaśa dhārmikāṇi saṃmukhavinayadānāni; evaṃ hi bhikṣavaḥ	imAni zoxaSa DArmikANi saMmuKa-vinaya-dAnAni; evam hi BikzavaH
   saṃmukhavinaya adhikaraṇaśamatho bhavati; evaṃ ca punar ihaikeṣām	saMmuKa-vinaya aDikaraNa-SamaTaH Bavati; evam ca punar iha-ekezAm
   adhikaraṇānāṃ damaś ca bhavati śamaś ca vyupaśamaś ca yaduta	aDikaraNAnAm damaH ca Bavati SamaH ca vyupaSamaH ca yat-uta
   saṃmukhavinayenādhikaraṇaśamathena	saMmuKa-vinayena-aDikaraNa-SamaTena
   The settlement of legal question by the satsvabhāvaiṣīya method	The set-tlement of legan question bi Te sat-svaBAva-ezIya meTA-ud
        kathaṃ ca bhikṣavas tatsvabhāvaiṣīya adhikaraṇaśamatho bhavati?	kaTam ca BikzavaH tad-svaBAvEzIya aDikaraNa-SamaTaH Bavati?
   kathaṃ ca punar	kaTam ca punar-
   ihaikeṣām adhikaraṇānāṃ damaś ca bhavati śamaś ca vyupaśamaś ca yaduta	iha-ekezAm aDikaraNAnAm damaH ca Bavati SamaH ca vyupaSamaH ca yat-uta
   tatsvabhāvaiṣīyena adhikaraṇaśamathena? iha hastako bhikṣuḥ saṃghamadhye	tad-svaBAva-ezIyena aDikaraNa-SamaTena? iha hastakaH BikzuH saMGa-maDye
   āpattim avajānāti; avajñāya pratijānāti, pratijñāya punar apy ajānāti;	Apattim avajAnAti; avajQAya pratijAnAti, pratijQAya punar api ajAnAti;
   etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti; bhagavān āha: dadata yūyaṃ	etat prakaraNam BikzavaH BagavataH Arocayanti; BagavAn Aha: dadata yUyam
   bhikṣavo hastakasya bhikṣoḥ tatsvabhāviṣīyam iti yo vā punar anyo 'py	BikzavaH hastakasya BikzoH tad-svaBAvizIyam iti yaH vA punar anyaH api-
   evaṃjātīyaḥ evaṃ ca punar dātavyaḥ; śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm	evaMjAtIyaH evam ca punar dAtavyaH; Sayana-Asana-prajQaptim kRtvA gaNxIm
   ākoṭya pṛṣṭhavācikayā bhikṣūn samanuyujya sarvasaṃghe saṃniṣaṇṇe	Akowya pRzWa-vAcikayA BikzUn samanuyujya sarva-saMGe saMnizaNNe
   saṃnipatite ḥhastakena bhikṣuṇā ekāṃśam uttarāsaṅgaṃ kṛtvā yathāvṛddhikayā	saMnipatite Hhastakena BikzuNA eka-aMSam uttarAsaFgam kRtvA yaTAvRdDikayA
   sāmīcīṃ kṛtvā utkuṭukena sthitvā idaṃ syād vacanīyam: śṛṇotu bhadantāḥ	sAmIcIm kRtvA utkuwukena sTitvA idam syAt vacanIyam: SRNotu BadantAH
   saṃgho, mayā hastakena bhikṣuṇā saṃghamadhye āpattir avajñātaḥ, avajñāya	saMGo, mayA hastakena BikzuNA saMGa-maDye ApattiH avajQAtaH, avajQAya
   pratijñātaḥ, pratijñāya punar apy avajñātaḥ; so 'haṃ saṃghāt	pratijQAtaH, pratijQAya punar api avajQAtaH; saH aham saMGAt-
   tatsvabhāvaiṣīyaṃ yāce, dadatu bhadantāḥ saṃgho me hastakasya bhikṣos	tad-svaBAvEzIyam yAce, dadatu BadantAH saMGaH me hastakasya BikzoH-
   tatsvabhāvaiṣīyam anukampām upādāya; evaṃ dvir apy evaṃ trir api; tataḥ	tad-svaBAvEzIyam anukampAm upAdAya; evam dvis api evam tris api; tatas-
   paścād ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyam; śṛṇotu bhadantāḥ	paScAt ekena BikzuNA jQaptim kRtvA karma kartavyam; SRNotu BadantAH
   saṃghaḥ, ayaṃ hastako bhikṣuḥ saṃghamadhye āpattim avajānāti avajñāya	saMGaH, ayam hastakaH BikzuH saMGa-maDye Apattim avajAnAti avajQAya
   pratijānāti (Adhik-v 107) pratijñāya punar apy avajānāti; ḥayaṃ hastako	pratijAnAti (a-aDik-u 107) pratijQAya punar api avajAnAti; Hayam hasta-ko
   bhikṣuḥ saṃghāt tatsvabhāvaiṣīyaṃ yācate; sacet saṃghasya prāptakālaṃ	BikzuH saMGAt tad-svaBAvEzIyam yAcate; saced saMGasya prApta-kAlam
   kṣametānujānīyāt saṃgho yat saṃghaḥ hastakasya bhikṣoḥ tatsvabhāvaiṣīyaṃ	kzameta-anujAnIyAt saMGaH yat saMGaH hastakasya BikzoH tad-svaBAvEzIyam
   dadyād ity eṣā jñaptiḥ; karma kartavyam; śṛṇotu bhadantāḥ saṃghaḥ, so 'yaṃ	dadyAt iti ezA jQaptiH; karma kartavyam; SRNotu BadantAH saMGaH, saH ayam
   hastako bhikṣuḥ saṃghamadhye āpattim avajānāti, avajñāya pratijānāti,	hastakaH BikzuH saMGa-maDye Apattim avajAnAti, avajQAya pratijAnAti,
   pratijñāya punar apy avajānātiḥ; tat saṃgho hastakasya bhikṣos	pratijQAya punar api avajAnAtiH; tat saMGaH hastakasya BikzoH-
   tatsvabhavaiṣīyaṃ dadāti; yeṣām āyuṣmatāṃ kṣamate hastakasya bhikṣos	tad-svaBavEzIyam dadAti; yezAm AyuzmatAm kzamate hastakasya BikzoH-
