   āryaśālistambakamahāyānasūtraṭīkā	Arya-SAli-stambaka-mahAyAna-sUtrawIkA
   tadidaṃ jātipratyayaṃ jarāmaraṇamityucyate| pūrvapūrvāṅgānāmuttarottarāṇāṃ	tat-idam jAti-pratyayam jarA-maraNam-iti-ucyate| pUrva-pUrva-aFgAnAm-uttarottarANAm
   hetutvāt, tāni uttarodbhavāt pratyaya eva | evamayaṃ dvādaśāṅgaḥ	hetu-tvAt, tAni uttara-udBavAt pratyayaH eva | evam-ayam dvAdaSa-aFgaH
   pratītyasamutpādo-'nyonyahetukodbhūtaḥ |	pratItyasamutpAdo--anyonya-hetuka-udBUtaH |
   dvādaśāṅgastripravṛttirnityocchedo hyanādijaḥ|	dvAdaSa-aFgaH-tri-pravRttiH-nitya-ucCedaH hi-anAdi-jaH|
   pravṛtterjaladhārāvad vartate 'nādikālikaḥ |	pravRtteH-jala-DArA-vat vartate anAdi-kAlikaH |
   nānityaḥ sa tu satataṃ sthitatvāt | na saṃskṛta iti tu saṃskāraviyuktatvāt	na-anityaH sa tu satatam sTita-tvAt | na saMskRtaH iti tu saMskAra-viyukta-tvAt-
   | sa na cetanaḥ cittaviyuktatvāt | na pratyayasambhava iti	| sa na cetanaH citta-viyukta-tvAt | na pratyaya-samBavaH iti
   pratyayaviyuktatvāt | na kṣayadharmastūpacayaviyuktatvāt | na	pratyaya-viyukta-tvAt | na kzaya-Darmastu-upacaya-viyukta-tvAt | na
   nirodhadharmaḥ utpāda-sthiti-vināśa-viyuktatvāt |	niroDa-DarmaH utpAda--sTiti-vinASa--viyukta-tvAt |
   anādikālapravṛttastu sandhikāla-pariccheda-viyuktatvāt | nadīstrotavat	anAdi-kAla-pravRttaH-tu sanDi-kAla--paricCeda--viyukta-tvAt | nadIH-trotavat-
   strotodbhūta anucchinnapravāhaḥ |	strota-udBUta anucCinna-pravAhaH |
   atha āryaśālistambasūtra-ṭīkāyāṃ caturtho 'ntimaḥ paṭalaḥ |	aTa Arya-SAli-stamba-sUtra-wIkAyAm caturTaH antimaH pawalaH |
   pratītyasamutpādo 'yaṃ nadīstrotavat avicchinno 'nupravartate | atha	pratItyasamutpAdaH ayam nadIH-trotavat avicCinnaH anupravartate | aTa
   cemānyasya catvāryaṅgāni hetuḥ saṃghātakārakāṇi ca, dvādaśāṅgasya	ca-imAn-i-asya catvAri-aFgAni hetuH saMGAta-kArakANi ca, dvAdaSa-aFgasya
   pratītyasamutpādasya catvāryaṅgāni saṃghātakriyāyai hetutvena pravartante	pratItyasamutpAdasya catvAri-aFgAni saMGAta-kriyAyE hetu-tvena pravartante
   | tasmāt katamāni catvāri? ityuktam|	| tasmAt katamAni catvAri? iti-uktam|
   avidyā ca tṛṣā karma vijñānaṃ kramaśo matāḥ |	avidyA ca tRzA karma vijQAnam kramaSas matAH |
   avidyā, tṛṣṇā, karma, vijñānañceti yathākramam | heturvijñānabījaṃ hi |	avidyA, tRzNA, karma, vijQAnaQca-iti yaTAkramam | hetuH-vijQAna-bIjam hi |
   vijñānaṃ bīja-svabhāvatvena hetuḥ | karma kṣetramudīritam | karma	vijQAnam bIja--svaBAva-tvena hetuH | karma kzetram-udIritam | karma
   kṣetra-svabhāvatvena heturityuktam | avidyā tṛṣṇā ca kleśasvabhāvatvena	kzetra--svaBAva-tvena hetuH-iti-uktam | avidyA tRzNA ca kleSa-svaBAva-tvena
   hetuḥ |	hetuH |
   karmakleśā vijñānabījatvena vyavasthitāḥ |	karma-kleSAH vijQAna-bIja-tvena vyavasTitAH |
   karmakleśā vijñānabījaṃ janayanti | tatra	karma-kleSAH vijQAna-bIjam janayanti | tatra
   karma vijñānabījasya kṣetrakāryaṃ karoti ca |	karma vijQAna-bIjasya kzetra-kAryam karoti ca |
   vijñānanāmakaṃ bījaṃ tṛṣṇayā snihyate param |	vijQAna-nAmakam bIjam tRzNayA snihyate param |
   vijñānabījaṃ cāvidyā kirati snehanena vai |	vijQAna-bIjam ca-avidyA kirati snehanena vE |
   karma tṛṣṇā tathāvidyā kṣetraṃ sneho 'vakīrṇanam |	karma tRzNA taTA-avidyA kzetram snehaH avakIrNanam |
   vijñāne na karomīdaṃ na vijñānamito matam |	vijQAne na karomi-idam na vijQAnam-itas matam |
   tatra karmaṇo 'pi naivaṃ bhavati ityādi tu karmaṇo 'pi naivaṃ bhavati ahaṃ	tatra karmaNaH api na-evam Bavati ityAdi tu karmaNaH api na-evam Bavati aham
   vijñāna-bījasya kṣetrakāryaṃ karomi| tṛṣṇāyā api ityādi tu evaṃ tṛṣṇāyā	vijQAna-bIjasya kzetra-kAryam karomi| tRzNAyAH api ityAdi tu evam tRzNAyAH-
   api naivaṃ bhavati ahaṃ vijñānabījaṃ snehayāmīti | avidyāyā api ityādi tu	api na-evam Bavati aham vijQAna-bIjam snehayAmi-iti | avidyAyAH api ityAdi tu
   avidyāyā api naivaṃ bhavati ahaṃ vijñānabījamavakiromīti | vijñānasyāpi	avidyAyAH api na-evam Bavati aham vijQAna-bIjam-avakiromi-iti | vijQAnasya-api
   ityādi tu naivaṃ bhavati ahamebhiḥ pratyayairjanitamiti |	ityAdi tu na-evam Bavati aham-eBiH pratyayEH-janitam-iti |
   tathāpi bījavijñāne karmakleśapratiṣṭhite |	taTA-api bIja-vijQAne karma-kleSa-pratizWite |
   vijñānabījamityuktaṃ kīrṇe 'vidyāsvavaskare |	vijQAna-bIjam-iti-uktam kIrNe avidyA-su-avaskare |
   tṛṣṇājalena saṃsikte	tRzNA-jalena saMsikte
   avidyā-svavaskara iti svavaskareṇa ca sadṛśena svavaskaraṃ	avidyA--su-a-vaskaraH iti sva-vaskareNa ca sadRSena svavaskaram
   sarveṣvanugata-tvāt | kīrṇe svavaskare iti svavaskareṇa pracchādanam |	sarvezu-anugata-tvAt | kIrNe sva-vaskare iti sva-vaskareNa pracCAdanam |
   tṛṣṇājalena saṃsikte tṛṣṇaiva jalam | saṃsikte iti tu snehane |	tRzNA-jalena saMsikte tRzNA-eva jalam | saMsikte iti tu snehane |
   hetuto nāmarūpayoḥ | aṅkurotpādabhāso hi |	hetutaH nAma-rUpayoH | aFkura-utpAda-BAsaH hi |
   iti tu hetu pratyayasāmagyā utpādastu nāmarūpāṅkuramabhinirvartayati |	iti tu hetu pratyaya-sAmagyA utpAdaH-tu nAma-rUpa-aFkuram-aBinirvartayati |
   nāmarūpāṅkuram ityādestu |	nAma-rUpa-aFkuram iti-AdeH-tu |
   na svaparobhayāditāḥ | nāmarūpamidaṃ jātaṃ |	na sva-para-uBaya-AditAH | nAma-rUpam-idam jAtam |
   nāmarūpāṅkuramidaṃ tu svayaṃ parata ubhayādito notpannam | atha kīdṛśam	nAma-rUpa-aFkuram-idam tu svayam paratas uBayAditas na-utpannam | aTa kIdRSam
   iti cet |	iti ced |
   piturmātuḥ samāgamāt | avirodhādṛtoścāpi |	pituH-mAtuH samAgamAt | aviroDa-AdRtoH-ca-api |
   piturmātuḥ samāgamād ityādi tu pitṛmātṛsaṃyogo vā saktiḥ, samāgamaḥ,	pituH-mAtuH samAgamAt ityAdi tu pitR-mAtR-saMyogaH vA saktiH, samAgamaH,
   yuktatvam, putraprasūtisāmarthyam, ṛtumatvañca | 'tridivasātyaye	yukta-tvam, putra-prasUti-sAmarTyam, Rtum-atvaQca | atri-divasa-atyaye
   rajonivṛttistu' sa hi strīṇām ṛturucyate | tadā puruṣasamāgame	rajaH-nivRttiH-tu-a sa hi strINAm RtuH-ucyate | tadA puruza-samAgame
   śukraśoṇitasaṃyoge, svayaṃ gandharvasyāpi citta-viparyaye 'pi	Sukra-SoNita-saMyoge, svayam ganDarvasya-api citta--viparyaye api
   mātāpitṛkriyādhimuktau garbhotpādakrameṇa	mAtA-pitR-kriyA-aDimuktO garBa-utpAda-krameNa
   kalala-arbuda-peśī-ghana-praśākhāvasthāmatikramya prasūtasya,	kalala--arbuda--peSI--Gana--praSAKA-avasTAm-atikramya prasUtasya,
   śaiśava-kaumārya-madhyatā-yauvana-vṛddhattvādi-daśāvasthā bhavanti |	SESava-kOma-Arya--maDya-tA--yOvana--vRdDat-tva-Adi--daSa-avasTAH Bavanti |
   tasmādapyuktam-	tasmAt-api-uktam--
   kiñcidāsvādave dhitam |	kiQcid-AsvAdave Ditam |
   bījavijñānamityuktaṃ mātṛgarbhe kramāccayaḥ |	bIja-vijQAnam-iti-uktam mAtR-garBe kramAt-cayaH |
   nāmarūpāṅkurotpādaḥ |	nAma-rUpa-aFkura-utpAdaH |
   atha ca mātāpitṛsaṃyogād-ṛtusamavāyād anyeṣāṃ ca pratyayānāṃ	aTa ca mAtA-pitR-saMyogAt--Rtu-samavAyAt anyezAm ca pratyayAnAm
   samavāyāttatrāsvādaviddhaṃ vijñānabījaṃ mātuḥ kukṣau	samavAyAt-tatra-AsvAda-vidDam vijQAna-bIjam mAtuH kukzO
   nāmarūpāṅkuramabhinirvartayati |	nAma-rUpa-aFkuram-aBinirvartayati |
   na vaikalyācca pratyayaiḥ |	na vEkalyAt-ca pratyayEH |
   virodhatvācca hetūnāṃ māyānairātmyanigrahe |	viroDa-tvAt-ca hetUnAm mAyA-nErAtmya-nigrahe |
   utpādo 'pi na saṃbhavaḥ |	utpAdaH api na saMBavaH |
   tasmād asvāmikeṣu dharmeṣu amameṣu aparigraheṣu māyālakṣaṇasvabhāveṣu	tasmAt asvAmikezu Darmezu amamezu aparigrahezu mAyA-lakzaNa-svaBAvezu
   hetupratyayānāmavaikalyādityuktam |	hetu-pratyayAnAm-avEkalyAt-iti-uktam |
   asvāmikeṣu iti tu antaḥ karaṇaṃ puruṣādi anupalambhanasvabhāvamasti |	asvAmikezu iti tu antar karaNam puruza-Adi anupalamBana-svaBAvam-asti |
   tatrābhiniveśenotpanno ya āgrahaḥ | dharmastu	tatra-aBiniveSena-utpannaH yaH AgrahaH | DarmaH-tu
   skandhadhātu-āyatana-svabhāvaḥ | amama iti ātmātmīyarahitaḥ | aparigraha	skanDa-DAtu-Ayatana--svaBAvaH | amamaH iti Atma-AtmIya-rahitaH | aparigraha
   iti tu īśvarādi-parigrahānupalambhāt | māyālakṣaṇa-svabhāva iti yathā māyā	iti tu ISvara-Adi-parigrahAnupalamBAt | mAyA-lakzaNa--svaBAvaH iti yaTA mAyA
   tu abhūtāpi vividhavyavahāraṃ pratipādayati, tadvat māyāsvabhāvasya	tu aBUtA-api viviDa-vyavahAram pratipAdayati, tadvat mAyA-svaBAvasya
   sarvadharmeṣu kriyādirvividhopalabhyate |	sarva-Darmezu kriyA-AdiH-viviDa-upalaByate |
   hetupratyaya-saṃnipāta-vyatiriktaṃ hetupratyayādidharmaḥ kiñcidapi na	hetu-pratyaya--saMnipAta--vyatiriktam hetu-pratyaya-Adi-DarmaH kiQcid-api na
   utpadyate, vinaśyati vā | yathāpi hetupratyayavaikalyatvād bhāvānām	utpadyate, vinaSyati vA | yaTA-api hetu-pratyaya-vEkalya-tvAt BAvAnAm
   anutpādastadavabodhayituam upamā |	anutpAdaH-tad-avaboDayituam upamA |
   cakṣurvijñānamapyataḥ | pañcabhirhetubhirjātam | ityuktam |	cakzuH-vijQAnam-api-atas | paQcaBiH-hetuBiH-jAtam | iti-uktam |
   tadyathā pañcabhiḥ kāraṇaiścakṣurvijñānamutpadyate | katamaiḥ	tat-yaTA paQcaBiH kAraNEH-cakzuH-vijQAnam-utpadyate | katamEH
   pañcabhirityādistu -	paQcaBiH-ityAdiH-tu -
   cakṣūrūpāvabhāsanaiḥ | nabhastajja manaskāraiḥ | iti |	cakzU-rUpa-avaBAsanEH | naBaH-tad-ja manaskArEH | iti |
   tasmāt cakṣuḥ pratītya rūpañcālokañcākāśañca tajjamanasikārañca ityādi	tasmAt cakzuH pratItya rUpaQca-AlokaQcAkA-SaQca tad-jamanasikAraQcaH ityAdi
   uktam | tatra cakṣuriti rūpaṃ draṣṭuṃ cakṣurindriyaṃ vikalaṃ bhavati |	uktam | tatra cakzuH-iti rUpam drazwum cakzuH-indriyam vikalam Bavati |
   tasmādeva cakṣurvijñānasyāśrayakṛtyaṃ karoti ityuktam | āloka iti	tasmAt-eva cakzuH-vijQAnasya-ASraya-kRtyam karoti iti-uktam | AlokaH iti
   candra-nakṣatrāgni-auṣadhi-maṇi-prabhānām abhivyaktyai āloko 'pi	candra-nakzatra-agni--OzaDi--maNi--praBAnAm aBivyaktyE AlokaH api
   upasthitaḥ | ākāśo 'pi nānāvṛtti-vikalo bhavati | tajjamanasikāro 'pi	upasTitaH | AkASaH api nAnA-vRtti-vikalaH Bavati | tad-ja-manasikAraH api
   samanvāhāra-kārye 'vikalo bhavati |	samanvAhAra--kArye avikalaH Bavati |
   pañcāvaikalyatastathā | cakṣurvijñānamudbhūtam |	paQcOvEkalyataH-taTA | cakzuH-vijQAnam-udBUtam |
   cakṣurvijñānasya pratyayeṣu kasyacidapyabhāve na cakṣurvijñānasyotpādaḥ,	cakzuH-vijQAnasya pratyayezu kasyacid-api-aBAve na cakzuH-vijQAnasya-utpAdaH,
   sati cotpādo bhavati |	sati ca-utpAdaH Bavati |
   mayā te janitā iti | vikalpo na yathodeti	mayA te janitA iti | vikalpaH na yaTA-udeti
   iti tatra cakṣuṣo naivaṃ bhavati 'ahaṃ cakṣurvijñānasyāśraya-kṛtyaṃ	iti tatra cakzuzaH na-evam Bavati aaham cakzuH-vijQAnasya-ASraya--kRtyam
   karomīti | rūpasyāpi naivaṃ bhavati, ahaṃ cakṣurvijñānasyālambanakṛtyaṃ	karomi-iti | rUpasya-api na-evam Bavati, aham cakzuH-vijQAnasya-Alambana-kRtyam
   karomīti | ālokasyāpi naivaṃ bhavati ahaṃ cakṣurvijñānasyāvabhāsakṛtyaṃ	karomi-iti | Alokasya-api na-evam Bavati aham cakzuH-vijQAnasya-avaBAsa-kRtyam
   karomīti | ākāśasyāpi naivaṃ bhavati ahaṃ cakṣurvijñānasyāvaraṇakṛtyaṃ	karomi-iti | AkASasya-api na-evam Bavati aham cakzuH-vijQAnasya-AvaraNa-kRtyam
   karomīti | tajjamanasikārasyāpi naivaṃ bhavati ahaṃ cakṣurvijñānasya	karomi-iti | tad-ja-manasikArasya-api na-evam Bavati aham cakzuH-vijQAnasya
   samanvāhāra-kṛtyaṃ karomīti | cakṣurvijñānasyāpi naivaṃ bhavati ahamebhiḥ	samanvAhAra-kRtyam karomi-iti | cakzuH-vijQAnasya-api na-evam Bavati aham-eBiH
   pratyayairjanitamiti |	pratyayEH-janitam-iti |
   atha ca punaḥ satsveṣu pratyayeṣu cakṣurvijñānasyotpattirbhavati |	aTa ca punar satsvezu pratyayezu cakzuH-vijQAnasya-utpattiH-Bavati |
   asatsveṣu na bhavati | evaṃ	asatsvezu na Bavati | evam
   śrotrajñānādikā khilam | utpādasya kramaścaivaṃ	Srotra-jQAna-AdikA Kilam | utpAdasya kramaH-ca-evam
   tadvat śrotrendriyādīnāṃ pañcabhirhetubhirutpādakramo 'vagantavyaḥ |	tadvat Srotra-indriya-AdInAm paQcaBiH-hetuBiH-utpAda-kramaH avagantavyaH |
   hetupratyayasaṅgrahāt |	hetu-pratyaya-saFgrahAt |
   kartrādīnāṃ ca vaikalyād ahaṃkāraviyogataḥ |	kartR-AdInAm ca vEkalyAt ahaMkAra-viyogataH |
   utpādo 'pi yathāpūrvaṃ tathā cāpi pratītyajam |	utpAdaH api yaTApUrvam taTA ca-api pratItyajam |
   hetumatsaṃvijānīyāt	hetumat-saMvijAnIyAt
   tathā cāpi hetupratyayakramo 'nantarokta-kramaḥ | evaṃ sarvadharmāṇām	taTA ca-api hetu-pratyaya-kramaH anantara-ukta-kramaH | evam sarva-DarmANAm
   utpāda-sthiti-vināśā avagantavyāḥ |	utpAda--sTiti-vinASAH avagantavyAH |
   asmāllokāt paraṃnahi |	asmAt-lokAt paraMnahi |
   kaściddharmo kvacid gantā hetupratyayatastathā |	kaScid-DarmaH kvacid gantA hetu-pratyayataH-taTA |
   karmaṇaḥphalamabhyeti	karmaNaH-Palam-aByeti
   tatra dharmastu cakṣuḥ-śrotra-ghrāṇa-jihvā-kāya-mana-ādayo dharmāḥ |	tatra DarmaH-tu cakzuH-Srotra--GrANa--jihvA-kAya-mana-a-AdayaH DarmAH |
   rūpa-śabda-gandha-rasa-sparśādayo dharmāḥ,	rUpa--Sabda--ganDa--rasa--sparSa-AdayaH DarmAH,
   skandha-dhātvāyatana-pratītyasamutpādādayo dharmāḥ | asmāditi tu	skanDa-DAtu-Ayatana--pratItya-samutpAda-AdayaH DarmAH | asmAt-iti tu
   asmāllokāt paraṃ lokam athavā paralokād amuṃ lokaṃ kaściddharmo na	asmAt-lokAt param lokam aTavA para-lokAt amum lokam kaScid-DarmaH na
   saṃkrāmati | yadyevaṃ nityavādo vā ahetu-pratikūla-hetuvādo vā	saMkrAmati | yadi-evam nitya-vAdaH vA ahetu--pratikUla--hetuvAdaH vA
   bhaviṣyatīti cet | ucyate | hetupratyayavaikalyābhāvāt karmaṇaḥ	Bavizyati-iti ced | ucyate | hetu-pratyaya-vEkalya-aBAvAt karmaNaH
   phalamabhyeti iti |	Palam-aByeti iti |
   tatra saṅkrāntyabhāve 'pi karmaphalāvināśitvaṃ	tatra saFkrAnti-aBAve api karma-Pala-avinASi-tvam
   pratyakṣānumāna-viśvastāgama-prakhyātena anenodāharaṇena jñātavyam |	pratyakza-anumAna--viSvasta-Agama--praKyAtena anena-udAharaNena jQAtavyam |
   yathādarśe viśodhite |	yaTA-AdarSe viSoDite |
   dṛśyante mukhabimbāni darpaṇe 'pi ca bimbakam |	dRSyante muKa-bimbAni darpaNe api ca bimbakam |
   saṃkrāmitaṃ bhavennaiva	saMkrAmitam Bavet-na-eva
   tasmād uktam | tadyathā- supariśuddha ādarśamaṇḍale mukha-pratibimbakaṃ	tasmAt uktam | tat-yaTA su-pariSudDaH AdarSa-maNxale muKa--pratibimba-kam
   dṛśyate | na ca tatrādarśamaṇḍale mukhaṃ saṃkrāmati | asti ca mukha	dRSyate | na ca tatra-AdarSa-maNxale muKam saMkrAmati | asti ca muKa
   prativijñapti rhetupratyayānāmavaikalyāt | evamasmāllokānna kaściccyavate	prativijQapti rhetu-pratyayAnAm-avEkalyAt | evam-asmAt-lokAt-na kaScid-cyavate
   nāpyanyatrotpadyate | asti ca karmaphalavijñaptirhetupratyayānāmavaikalyāt	na-api-anyatra-utpadyate | asti ca karma-Pala-vijQaptiH-hetu-pratyayAnAm-avEkalyAt
   tadanyonyāvikalpanam |	tad-anyonya-avikalpanam |
   kartṛkriyāvihīnaṃ tat tathotpādāvabhāsanam |	kartR-kriyA-vihInam tat taTA-utpAda-avaBAsanam |
   pūrvavṛddhikramācca syāt	pUrva-vRdDi-kramAt-ca syAt-
   taditi tu mukham ādarśaśca | anyonyam iti parasparam anyonyam |	tat-iti tu muKam AdarSaH-ca | anyonyam iti parasparam anyonyam |
   avikalpanamiti vikalpanābhāvaḥ | kartṛkriyāvihīnaṃ tad iti tatra kartā	avikalpanam-iti vikalpana-aBAvaH | kartR-kriyA-vihInam tat iti tatra kartA
   kriyā ca na staḥ | kiṃ tannocchidyata iti cet- tathotpādāvabhāsanam	kriyA ca na staH | kim tat-na-ucCidyate iti cet taTA-utpAda-avaBAsanam
   ityuktam | kathaṃ kartṛvihīnaṃ kriyā karma ca bhaviṣyatīti ucyate-	iti-uktam | kaTam kartR-vihInam kriyA karma ca Bavizyati-iti ucyate-
   pūrvavṛddhikramācca syāt |	pUrva-vRdDi-kramAt-ca syAt |
   dūrasthaścandramā yathā |	dUra-sTaH-candramAH yaTA |
   parītto dakapātrānte dṛśyate na ca krāmati |	parIttaH daka-pAtra-ante dRSyate na ca krAmati |
   asti kriyā ca karmāpi |	asti kriyA ca karma-api |
   tadyathā - candramaṇḍalaṃ [dvi] catvāriṃśadyojana-śatamūrdhvaṃ sthitam |	tat-yaTA  candra-maNxalam [dvi] catvAriMSat-yojana--Satam-UrDvam sTitam |
   atha ca punaḥ parītte 'bhyudakabhājane candrasya pratibimbaṃ dṛśyate | na	aTa ca punar parItte aByudaka-BAjane candrasya pratibimbam dRSyate | na
   ca candramaṇḍalaṃ tasmātsthānāc cyutam | atha ca punaḥ parītte	ca candra-maNxalam tasmAt-sTAnAt cyutam | aTa ca punar parItte
   'bhyudakasthabhājane dṛśyate | asti ca candramaṇḍalaprativijñaptiḥ,	aByudaka-sTa-BAjane dRSyate | asti ca candra-maNxala-prativijQaptiH,
   hetupratyayānāmavaikalyāt | evamasmāllokānna kaścid cyavate nāpyutpadyate	hetu-pratyayAnAm-avEkalyAt | evam-asmAt-lokAt-na kaScid cyavate na-api-utpadyate
   | asti ca karmaphala-prativijñaptiḥ hetupratyayānāmavaikalyāt |	| asti ca karma-Pala--prativijQaptiH hetu-pratyayAnAm-avEkalyAt |
   api ca, tadyathāgnirupādāne pratyaye sati jvalati upādāna-vaikalyānna	api ca, tat-yaTA-agniH-upAdAne pratyaye sati jvalati upAdAna--vEkalyAt-na
   jvalati | evameva karmakleśajanitaṃ vijñānabījaṃ tatra	jvalati | evam-eva karma-kleSa-janitam vijQAna-bIjam tatra
   tatropapattyāyatana-pratisandhau mātuḥkukṣau	tatra-upapatti-Ayatana--pratisanDO mAtuH-kukzO
   nāmarūpāṅkuramabhinirvartayati | asvāmikeṣu dharmeṣu aparigraheṣu	nAma-rUpa-aFkuram-aBinirvartayati | asvAmikezu Darmezu aparigrahezu
   paraspara-pratyayamanmāyālakṣaṇasvabhāveṣu hetupratyayānāmavaikalyāt |	paraspara--pratyayamanmAya-alakzaNa-svaBAvezu hetu-pratyayAnAm-avEkalyAt |
   santi te kalpanātmakāḥ | bāhyakarmakriyā hetuḥ	santi te kalpana-AtmakAH | bAhya-karma-kriyAH hetuH
   tatra bāhyapratītyasamutpādasya kriyākarma-vyavasthā tu kalpanātmikā jñeyā	tatra bAhya-pratItyasamutpAdasya kriyA-karma--vyavasTA tu kalpanA-AtmikA jQeyA
   adhyātmaparatantrataḥ | pañcavijñānasaṃbhūtaḥ	aDyAtma-paratantrataH | paQca-vijQAna-saMBUtaH
   tatra paratantra-pratītyasamutpādasya	tatra paratantra--pratItyasamutpAdasya
   lakṣaṇamadhyātma-pañcendriya-viṣaya-vijñaptyavabhāsākāratvena veditavyam |	lakzaNam-aDyAtma--paQca-indriya--vizaya--vijQapti-avaBAsa-AkAra-tvena veditavyam |
   paramārtho 'vicāryataḥ | pariniṣpanna ākhyātaḥ	parama-arTaH avicAryataH | parinizpannaH AKyAtaH
   yo vikalpa-paratantrātmākāro vijñaptyavabhāsākārarahito nirvikalpaḥ	yaH vikalpa--paratantra-Atma-AkAraH vijQapti-avaBAsa-AkAra-rahitaH nirvikalpaH
   supariśuddhaśca, abdhātu-suvarṇa-ākāśavat pariśuddhaḥ |	su-pariSudDaH-ca, abDAtu--suvarNa-AkASa-vat pariSudDaH |
   kleśa-jñeyāvaraṇa-svarūpa-pariśuddhaḥ candrodayavad, acintyaguṇaḥ,	kleSa--jQeya-AvaraNa--svarUpa-pariSudDaH candra-udaya-vad, acintya-guNaH,
   aprameya-prabhāva-bhāsātmakaḥ, asaṃkrāntaḥ sarvasattvārtham	aprameya--praBAva--BAsa-AtmakaH, asaMkrAntaH sarva-sattva-arTam
   anābhogāvicchedakaḥ, ādimadhyāntarahitaḥ, tridhātu-samatīto nirmalo-'malo	anABoga-avicCedakaH, Adi-maDya-anta-rahitaH, triDAtu--samatItaH nirmalaH---amalaH-
   malaprahāṇa-svarūpaḥ |	mala-prahANa--svarUpaH |
   pratisvasaṃvid-gocarātmaka-kāya-vāk-cittakarma-samatītaḥ, svasaṃvedanaḥ,	pratisva-saMvid--gocara-Atma-ka-kAya--vAk--citta-karma--samatItaH, sva-saMvedanaH,
   aparādhīno viśvarūpamaṇiratnarāja iva anuttaro dharmakāya ityucyate |	apara-aDInaH viSva-rUpa-maNi-ratna-rAjaH iva anuttaraH Darma-kAyaH iti-ucyate |
   sahetupratyayodbhavaḥ |	sa-hetu-pratyaya-udBavaH |
   sarvadā dvividho jñeyaḥ kartrādirahitastathā |	sarvadA dviviDaH jQeyaH kartR-Adi-rahitaH-taTA |
   tucchaśūnyādiniḥ sāraḥ	tucCa-SUnyAdiniH sAraH
   tasmāt tatrādhyātmikaḥ pratītyasamutpādaḥ pañcabhirākārairdraṣṭavyaḥ |	tasmAt tatra-ADyAtmikaH pratItyasamutpAdaH paQcaBiH-AkArEH-drazwavyaH |
   ityuktam | katamaiḥ pañcabhiḥ? uktam | na śāśvatato | yasmādanye	iti-uktam | katamEH paQcaBiH? uktam | na SASvatataH | yasmAt-anye
   maraṇāntikāḥ skandhā anya aupapattyaṃśikāḥ skandhāḥ | na tu ya eva	maraNa-antikAH skanDAH anyaH Opapatti-aMSikAH skanDAH | na tu yaH eva
   maraṇāntikāḥ skandhāsta evaupapattyaṃśikāḥ | ya evopapatti-hetavasta eva	maraNa-antikAH skanDAH-te eva-Opapatti-aMSikAH | yaH eva-upapatti-hetavaH-te eva
   vināśakāḥ | ya eva vināśa-hetussa evāpi aupapattiko bhaviṣyati | ato	vinASakAH | yaH eva vinASa--hetuH-saH eva-api OpapattikaH Bavizyati | atas-
   maraṇāntikāḥ skandhā nirudhyante aupapattyaṃśikā skandhāḥ prādurbhavanti |	maraNa-antikAH skanDAH niruDyante Opapatti-aMSikAH skanDAH prAdurBavanti |
   ato na śāśvatataḥ | na ca pūrvaniruddheṣu maraṇāntikeṣu skandheṣu iti	atas na SASvatataH | na ca pUrva-nirudDezu maraNa-antikezu skanDezu iti
   niruddhaya na ciraṃ gatatvād aupapattyaṃśikā iti aupapattyaṃśe niśritatvād	nirudDaya na ciram gata-tvAt Opapatti-aMSikAH iti Opapatti-aMSe niSrita-tvAt-
   aupapattyaṃśikāḥ skandhāḥ prādurbhavanti | maraṇāntikā aniruddhā eva |	Opapatti-aMSikAH skanDAH prAdurBavanti | maraNa-antikAH anirudDAH eva |
   aupapattyaṃśikaḥ skandhaḥ prādurbhavet, tada-yuktatvāduktam- api tu	Opapatti-aMSikaH skanDaH prAdurBavet, tad-a-yukta-tvAt-uktam api tu
   maraṇāntikāḥ skandhā nirudhyante, tasminneva ca samaye aupapattyaṃśikā	maraNa-antikAH skanDAH niruDyante, tasmin=-eva ca samaye Opapatti-aMSikA
   skandhā prārdubhavanti, tulādaṇḍonnāmāvanāmavat | ato nocchedataḥ,	skanDA prArduBavanti, tulA-daNxa-unnAma-avanAma-vat | atas na-ucCedataH,
   visadṛśāḥ sattvanikāyāḥ sabhāgāyāṃ jātyāṃ jātimabhinirvartayanti | ato na	visadRSAH sattva-nikAyAH saBAgAyAm jAtyAm jAtim-aBinirvartayanti | atas na
   saṃkrāntitaḥ parīttakarma kriyate, vipulaḥ phalavipāko 'nubhūyate |	saMkrAntitaH parItta-karma kriyate, vipulaH Pala-vipAkaH anuBUyate |
   ataḥ parītta-hetuto vipulaphalamabhinirvartitam | yathāvedanīyaṃ karma	atas parItta--hetutaH vipula-Palam-aBinirvartitam | yaTAvedanIyam karma
   kriyate tadāvedanīyo vipāko 'nubhūyate | atastatsadṛśānuprabandhataśca |	kriyate tadAvedanIyaH vipAkaH anuBUyate | atas-tad-sadRSa-anuprabanDataH-ca |
   yaḥ kaścid imaṃ pratītyasamutpādaṃ samyakpraṇītamevaṃ yathābhūtaṃ	yaH kaScid imam pratItyasamutpAdam samyak-praNItam-evam yaTABUtam
   samyakprajñayā satatasamitamajīvaṃ	samyak-prajQayA satata-samitam-ajIvam
   yathāvadaviparītamajātamabhūtamakṛtamasaṃskṛtamapratighamanālambaṃ	yaTAvat-aviparItam-ajAtam-aBUtam-akRtam-asaMskRtam-apratiGam-anAlambam
