   bodhicittotpādasūtraśāstra	boDi-citta-utpAda-sUtra-SAstra
   8 | yo hi dhīmānsukhena kṣāntimācarati labhate sa ākāravaiśiṣṭyam |	8 | yaH hi DImAn-suKena kzAntim-Acarati laBate saH AkAra-vESizwyam |
   bahudhanau bhavati janāstamavalokya muditā bhavanti sukhitāśca bhavanti	bahu-DanO Bavati janAH-tam-avalokya muditAH Bavanti suKitAH-ca Bavanti
   sukhitāśca bhavanti mānayantyanu vartante ca | puruṣaṃ cedvikalāṅgaṃ	suKitAH-ca Bavanti mAnayanti-anu vartante ca | puruzam ced-vikala-aFgam
   paśyedvībhatsadarśanaṃ vikalendriyamakiñcanaṃ jāniyāttadidaṃ	paSyet-vIBatsa-darSanam vikala-indriyam-akiQcanam jAniyAt-tat-idam
   dvepapratyayaiḥ kāritam | ebhiḥ pratyayai dhīṃmānācaredgambhīrāṃ kṣāntim	dvepa-pratyayEH kAritam | eBiH pratyayE DIMmAn-a-Acaret-gamBIrAm kzAntim
   9 | kṣāntyutpādapratyayasya santīmāni daśa vastūni | ātmani nātmalakṣaṇaṃ	9 | kzAnti-utpAda-pratyayasya santi-imAni daSa vastUni | Atmani na-Atma-lakzaNam
   paśyatīti prathamam | na jātimedaṃ manasi karotīti dvitīyam |	paSyati-iti praTamam | na jAti-medam manasi karoti-iti dvitIyam |
   pratinivartate madamānāditi tṛtīyam | apakurvantaṃ na pratyayakarotīti	pratinivartate madamAnAt-iti tRtIyam | apakurvantam na pratyaya-karoti-iti
   caturtham | anityalakṣaṇaṃ paśyatīti paṃcamam | maitrī karuṇā cācaratīti	caturTam | anitya-lakzaNam paSyati-iti paMcamam | mEtrI karuNA ca-Acarati-iti
   ṣaṣṭham | na cittena pramādyatīti sanamam | upekṣate	zazWam | na cittena pramAdyati-iti sa-namam | upekzate
   kṣutpipāsāduḥkhaduḥkhādīnītyaṣṭamam | dvepaṃ prajahātīti navamam | prajñā	kzuD-pipAsA-duHKa-duHKa-AdIni-iti-azwamam | dvepam prajahAti-iti navamam | prajQA
   bhāvayatīti daśamam | puruṣaścedimāni pūrayati daśa vastṛmi jñātavyaṃ	BAvayati-iti daSamam | puruzaH-ced-imAni pUrayati daSa vastRmi jQAtavyam
   śaknoti sa puruṣaḥ kṣāntimācaritum ||	Saknoti sa puruzaH kzAntim-Acaritum ||
   10 | bodhisattvo mahāsattvaḥ pariśuddhāyāṃ yadācarati caramāyāṃ kṣāntau	10 | boDisattvaH mahAsattvaH pariSudDAyAm yat-Acarati caramAyAm kzAntO
   praviśate śūnyatāmalakṣaṇamapraṇihitamasaṃskṛtam | na ca	praviSate SUnyatAm-alakzaNam-apraNihitam-asaMskRtam | na ca
   dṭaṣṭijñānapraṇihitasaṃskṛtaiḥ saṃpariṣvakto bhavati nāpi ca	dwazwi-jQAna-praNihita-saMskRtEH saMparizvaktaH Bavati na-api ca
   śūnyatālakṣaṇāpraṇihitāsaṃskṛteṣu rajyati | dṛṣṭijñānapraṇihitasaṃskṛtaṃ	SUnyatA-lakzaNa-apraNihita-asaMskRtezu rajyati | dRzwi-jQAna-praNihita-saMskRtam
   sarvamevaśūnyamityevaṃvidhā kṣāntiradvayalakṣaṇā pariśuddhā caramā	sarvam-eva-SUnyam-iti-evaMviDA kzAntiH-advaya-lakzaNA pariSudDA caramA
   kṣāntirityucyate |	kzAntiH-iti-ucyate |
   yadi viśati saṃyojanaparikṣayaṃ yadi viśati śāntaṃ	yadi viSati saMyojana-parikzayam yadi viSati SAntam
   nirvāṇamasaṃpṛktajātimaraṇaṃ na cāsya rāgo bhavati saṃyojanakṣaye na ca	nirvANam-asaMpRkta-jAti-maraNam na ca-asya rAgaH Bavati saMyojana-kzaye na ca
   śānte na nirvāṇe | saṃyojanajātijarāmaraṇaṃ sarvaṃ śūnyamityevaṃvidhā	SAnte na nirvANe | saMyojana-jAti-jarA-maraNam sarvam SUnyam-iti-evaMviDA
   kṣāntiradvayalakṣaṇā pariśuddhā caramā kṣāntirityucyate |	kzAntiH-advaya-lakzaNA pariSudDA caramA kzAntiH-iti-ucyate |
   bhāvo na svato jāyate na parato jāyate na dvābhyāṃ jāyate | api ca	BAvaH na svatas jAyate na paratas jAyate na dvAByAm jAyate | api ca
   nāstyupādo na cocchedo na ca vināśo na cāvināśo na kṣaya ityevaṃvidhā	na-asti-upAdaH na ca-ucCedaH na ca vinASaH na ca-avinASaH na kzayaH iti-evaMviDA
   kṣāntiradvayalakṣaṇā pariśuddhā caramā kṣāntirityucyate |	kzAntiH-advaya-lakzaNA pariSudDA caramA kzAntiH-iti-ucyate |
   na kṛtākṛtaṃ nāsaṃgo na bhedo na niṣpattirna caryā notpādavīryaṃ na	na kRta-akRtam na-asaMgaH na BedaH na nizpattiH-na caryA na-utpAda-vIryam na
   karaṇotpāda ityevaṃvidhā kṣāntiranutpādakṣāntiḥ | bodhisattvo	karaNa-utpAdaH iti-evaMviDA kzAntiH-anutpAda-kza-antiH | boDisattvaH-
   yadācaratyevaṃvidhāṃ kṣānti labhate vyākaraṇakṣāntim | bodhisattva ācarati	yat-Acarati-evaMviDAm kzAnti laBate vyAkaraNa-kzAntim | boDisattvaH Acarati
   kṣāntiṃ bhāvalakṣaṇaśūnyatāṃ sattvābhāvahetaustataḥ pūrayāte	kzAntim BAva-lakzaNa-SUnyatAm sattva-aBAva-hetOH-tatas pUrayAte
   kṣāntipāramitām ||	kzAnti-pAramitAm ||
   (iti bodhicittotpādasūtraśāstre kṣāntipāramitā māna ṣaṣṭho vargaḥ ||)	(iti boDi-citta-utpAda-sUtra-SAstre kzAnti-pAramitA mAna zazWaH vargaH ||)
   saptamo vargaḥ	saptamaH vargaH
   vīryapāramitā	vIrya-pAramitA
   1 | bodhisattvaḥ kathamācarati vīryam |	1 | boDisattvaH kaTam-Acarati vIryam |
   vīryamātmaparobhayalābhāyacedevaṃvidhaṃ vīryaṃ niṣpādayati bodhimārgam |	vIryam-Atma-paroBaya-lABAyaced-evaMviDam vIryam nizpAdayati boDi-mArgam |
   bodhisattvaḥ kāmayate vinetuṃ sattvānāparhatuṃ duḥkhānyācarati	boDisattvaH kAmayate vinetum sattvAnAparhatum duHKAni-Acarati
   tasmādvīryam | vīryamācaransarvādhvasu sarvadotsāhacaryayā saṃgṛhṇāti	tasmAt-vIryam | vIryam-Acaran-sarva-aDvasu sarvadA-utsAha-caryayA saMgRhNAti
   pariśūddhaṃ brahmacaryaṃ pariharati kausīdyaṃ na ca cittena pramādyati |	pariSUdDam brahmacaryam pariharati kOsIdyam na ca cittena pramAdyati |
   kṛcchreṣvahitāpakṣavastuṣu sarvadāsya vīryavattayā cittaṃ nāntataḥ	kRcCrezu-ahitA-pakza-vastuzu sarvadA-asya vIryavat-tayA cittam na-antatas-
   pratyāvartata iti bodhisattvasyādi vīryacittam ||	pratyAvartate iti boDisattvasya-Adi vIrya-cittam ||
   2 | vīryācaraṇena labhate lokacaraṃ lokottaramanuttaraṃ	2 | vIrya-AcaraNena laBate loka-caram lokottaram-anuttaram
   saddharmamityasyātmalābhaḥ | śikṣayati sattvānyenācaraṃtyabhyutsāhena	sadDarmam-iti-asya-Atma-lABaH | Sikzayati sattvAnyena-AcaraMti-aByutsAhena
   kuśalamiti paralābhaḥ | caritvā bodheḥ samyaghetuṃ sattveṣu pariṇāmyātmanā	kuSalam-iti para-lABaH | caritvA boDeH samyak-etum sattvezu pariNAmi-AtmanA
   salābhinaḥ karotītyubhayalābhaḥ | vīryacaryāhetorlabhate paramapariśuddhaṃ	sa-lABinaH karoti-iti-uBaya-lABaH | vIrya-caryA-hetoH-laBate parama-pariSudDam
   satphalamatikramya ca bhūmī ryāvacchīghraṃ pūrayati sambodhimiti	sat-Palam-atikramya ca BUmiH ryAvat-SIGram pUrayati samboDim-iti
   niṣpādayati bodhimārgam ||	nizpAdayati boDi-mArgam ||
   3 | vīryaṃ dvividham | gavepayatyanuttaraṃ mārgamiti prathamam |	3 | vIryam dviviDam | gavepayati-anuttaram mArgam-iti praTamam |
   paritrātuṃ duḥkhādvipulābhilāpeṇa vīryaṃ janayatīti dvitīyam |	paritrAtum duHKAt-vipula-aBilApeNa vIryam janayati-iti dvitIyam |
   pūrayanbodhisattvo daśānusmṛtīrutpādayati bodhicittam | ācarati vīryam |	pUrayan-boDisattvaH daSa-anusmRtIH-utpAdayati boDi-cittam | Acarati vIryam |
   kā daśānusmṛtayaḥ | prathamā buddhānusmṛtiraprameyapuṇyā | dvitīyā	kA daSa-anusmRtayaH | praTamA budDa-anusmRtiH-aprameya-puNyA | dvitIyA
   dharmānusmṛtiracintyavimuktiḥ | tṛtīyā saṃghānusmṛtiḥ pariśuddhatayā	Darma-anusmRtiH-acintya-vimuktiH | tRtIyA saMGa-anusmRtiH pariSudDa-tayA
   niṣkalaṃkā | caturthī mahāmaitryanusmṛtiḥ sattvavyavasthāpanāya |	nizkalaMkA | caturTI mahA-mEtrI-anusmRtiH sattva-vyavasTApanAya |
   paṃcamīmahākaruṇānusmṛtirduḥkhataḥ paritrāṇāya | ṣaṣṭhī	paMcamI-mahA-karuNa-anusmRtiH-duHKataH paritrANAya | zazWI
   samyaksamādhiskandhānusmṛtiranurocayituṃ kuśalācaraṇāya | saptamī	samyak-samADi-skanDa-anusmRtiH-anurocayitum kuSala-AcaraNAya | saptamI
   mithyāsamādhiskandhānusmṛtiruddhartuṃ (sattvān kuśala-)mūlaṃ	miTyA-samADi-skanDa-anusmRtiH-udDartum (sattvAn kuSala-)mUlam
   pratyānayanaya | aṣṭamī pretānusmṛtiḥ kṣutpipāsoṣṇatākleśamayī | navamī	pratyAnayanayaH | azwamI preta-anusmRtiH kzuD-pipAsA-uzNa-tA-kleSa-mayI | navamI
   tiryaganusmṛti dīrghaduḥkhavedanātmikā | daśamī	tiryak-anusmRti dIrGa-duHKa-vedanA-AtmikA | daSamI
   narakānusmṛtirdāhanabharjanavedanātmikā | bodhisattva evaṃ bhāvayati	naraka-anusmRtiH-dAhana-Barjana-vedanA-AtmikA | boDisattvaH evam BAvayati
   daśānusmṛtīstriratnapuṇyāni | bhāvayeyamahaṃ samyaksamādhi maitrī karuṇāṃ	daSa-anusmRtIH-tri-ratna-puNyAni | BAvayeyam-aham samyak-samADi mEtrI karuNAm
   (tatra) sattvānārocayeyamahaṃ mṛṣā dhyāyatastridurgatiduḥkhāduddhareyaṃ	(tatra) sattvAnArocayeyam-aham mRzA DyAyataH-tridurgati-duHKAt-udDareyam
   nityamahaṃ parirakṣayeyamityevaṃ cintayati | saṃcintayannavikṣitaṃ	nityam-aham parirakzayeyam-iti-evam cintayati | saMcintayan=-avikzitam
   divānaktaṃ bhāvayati sotsāhaṃ na ca viśrāmyatīti samyaksmṛtitā vīryaṃ	divAnaktam BAvayati sa-utsAham na ca viSrAmyati-iti samyak-smRti-tA vIryam
   samudeti ||	samudeti ||
   4 | vīryaṃ puna rbodhisattvasya caturvidham | tathāhi |	4 | vIryam puna rboDisattvasya caturviDam | taTA-hi |
   catuḥsamyakpradhāna [prahāṇa]mārgamācarato 'nutpannānāmakuśalānāṃ	catur-samyak-praDAnaH [prahANa]-mArgam-AcarataH anutpannAnAm-akuSalAnAm
   dharmāṇāṃ punaranutpādaḥ | utpannānāṃ punarakuśalānāṃ dharmāṇāṃ śīghraṃ	DarmANAm punar-anutpAdaH | utpannAnAm punar-akuSalAnAm DarmANAm SIGram
   samprahāṇam | anutpannānāṃ kuśalānāṃ dharmāṇāmupāyena samutpādaḥ |	samprahANam | anutpannAnAm kuSalAnAm DarmANAm-upAyena samutpAdaH |
   utpannānāṃ kuśalānāṃ dharmāṇāṃ paripūraṇaṃ saṃvarddhanaṃ ca | evaṃ	utpannAnAm kuSalAnAm DarmANAm paripUraNam saMvardDanam ca | evam
   bodhisattva ācarati catvāri samyakpradhānāni na ca viśrāmyatītyucyate	boDisattvaH Acarati catvAri samyak-praDAnAni na ca viSrAmyati-iti-ucyate
   vīryam |	vIryam |
   5 | vīryaṃ kṣapayati sarvakleśadhātūnsampravardhayati bodheranuttarāyāḥ	5 | vIryam kzapayati sarva-kleSa-DAtUn-sampravarDayati boDeH-anuttarAyAH
   samyaghetum | kāyacittamahāduḥkhānyakhilānyapi sahamāno bodhisattvo	samyak-etum | kAya-citta-mahA-duHKAni-aKilAni-api sahamAnaH boDisattvaH-
   'vasthāpayitumamilapati sattvānna ca viśrāmyatītyucyate vīryam ||	avasTApayitum-amilapati sattvAt-na ca viSrAmyati-iti-ucyate vIryam ||
   6 | bodhisattvaḥ vigatakalmapo 'cāṭukuṭilaḥ paryavasitamithyāvīrya ācarati	6 | boDisattvaH vigata-kalmapaH acAwu-kuwilaH paryavasita-miTyA-vIryaH Acarati
   samyagvīryam | tathāhi | ācarati śraddhāṃ dānaṃ śīlaṃ kṣāntiṃ dhyānaṃ	samyak-vIryam | taTA-hi | Acarati SradDAm dAnam SIlam kzAntim DyAnam
   prajñāṃ maitrī karuṇāṃ muditāmupekṣām | sābhilāṣaṃ karogyakaravaṃ	prajQAm mEtrI karuNAm muditAm-upekzAm | sa-aBilAzam karogya-karavam
   kariṣyāmīti viśvastacittaḥ sarvadācarati vīryam | nānutāpo 'sya	karizyAmi-iti viSvasta-cittaH sarvadA-Acarati vIryam | na-anutApaH asya
   kuśaladharmeṣu | pradīptaśira iva paritrāyate sattvānna ca cittaṃ	kuSala-Darmezu | pradIpta-SiraH iva paritrAyate sattvAt-na ca cittam
   parāvartayatītyucyate vīryam ||	parAvartayati-iti-ucyate vIryam ||
   7 | kāyajīvitanirapekṣo 'pi bodhisattvaḥ paritrātuṃ (sattvān) duḥkhebhyaḥ	7 | kAya-jIvita-nirapekzaH api boDisattvaH paritrAtum (sattvAn) duHKeByaH
   paripālayatuṃ saddharmaṃ kāyamapekṣate nopekṣata īryāpathaṃ sarvadā	paripAlayatum sadDarmam kAyam-apekzate na-upekzate IryA-paTam sarvadA
   bhāvayituṃ kuśaladharmān | kuśaladharmācaraṇakāle na cittena kusīdo	BAvayitum kuSala-DarmAn | kuSala-Darma-AcaraNa-kAle na cittena kusIdaH-
   bhavati | kāyajīvitavidhāte 'pi dharmaṃ na parityajatīti bodhisattvo	Bavati | kAya-jIvita-viDAte api Darmam na parityajati-iti boDisattvaH-
   bodhimārgaṃ caransotsāhamācarati vīryam | kusīdaḥ puruṣo 'samartho	boDi-mArgam caran-sa-utsAham-Acarati vIryam | kusIdaH puruzaH asamarTaH-
   naikakālaṃ sarvaṃ dadāti na ca śīlamudgṛṇāyi na ca kṣamate duḥkhāni na	na-eka-kAlam sarvam dadAti na ca SIlam-udgRNAyi na ca kzamate duHKAni na
   cācaratyabhyutsāhena vīryam | na ca samādhau smṛtisaṃprajanyacitto bhavati	ca-Acarati-aByutsAhena vIryam | na ca samADO smRti-saMprajanya-cittaH Bavati
   na ca kuśalākuśalaṃ vivinakti | tenocyate dhīryamupādāya ṣaṭpāramitāḥ	na ca kuSala-akuSalam vivinakti | tena-ucyate DIryam-upAdAya zaz-pAramitAH
   saṃpravardhanta iti | bodhisattvo mahāsattvaḥ saṃpravardhayati ced vīryaṃ	saMpravarDante iti | boDisattvaH mahAsattvaH saMpravarDayati ced vIryam
   labhate 'cirāt samyaksaṃvodhim ||	laBate acirAt samyak-saMvoDim ||
   8 | bodhisattvo mahāniṣpattyutpādena punaścaturvidhaṃ vīryaṃ janayati |	8 | boDisattvaH mahA-nizpatti-utpAdena punar-caturviDam vIryam janayati |
   tanna prathamamutpādayati mahāniṣpattiṃ dvitīyaṃ saṃgṛhṇāti śūraṃgamaṃ	tat-na praTamam-utpAdayati mahAnizpattim dvitIyam saMgRhNAti SUraMgamam
   tṛtīyamācarati kuśalamūlaṃ caturthaṃ vinayati sattvān | kathaṃ	tRtIyam-Acarati kuSala-mUlam caturTam vinayati sattvAn | kaTam
   bodhisattvomahāniṣpattimutpādayati | jātimaraṇeṣu kṣamate 'sya cittaṃ na	boDisattvaH-mahA-nizpattim-utpAdayati | jAti-maraNezu kzamate asya cittam na
   ca gaṇayati kalpasaṃkhyāmaprameyeṣvaparyanteṣu	ca gaNayati kalpa-saMKyAm-aprameyezu-aparyantezu
   niyutakoṭiśatasahasragaṃgānadībālukāvadasaṃkhyeyeṣu kalpeṣu	niyuta-kowi-Sata-sahasra-gaMgA-nadI-bAlukA-vada-saMKyeyezu kalpezu
   buddhamārgamudgrahīṣyāmyaklāntacitta ityakusīdasya [mahā]niṣpattivīryam |	budDa-mArgam-udgrahIzyAmi-aklAnta-cittaH iti-akusIdasya [mahA]-nizpatti-vIryam |
   bodhisattvaḥ saṃgṛhṇañchūraṃgamaṃ janayati vīryam trisāhasramahāsāhasro	boDisattvaH saMgRhNan-SUraMgamam janayati vIryam tri-sAhasra-mahA-sAhasraH-
   'yaṃ lokadhātuḥ paripūrṇo 'nnineti draṣṭuṃ buddhaṃ śrotuṃ dharma	ayam lokaDAtuH paripUrNaH anninA-iti drazwum budDam Srotum Darma
   sthāpayituṃ sattvānkuśaladharmeṣvatikrāmatyetamagniṃ vinetuṃ sattvān	sTApayitum sattvAn-kuSala-Darmezu-atikrAmati-etam-agnim vinetum sattvAn
   saṃpratiṣṭhāpayati cittaṃ mahākaruṇāyāmiti śūraṃgamavīryam | bodhisattva	saMpratizWApayati cittam mahA-karuNAyAm-iti SUraMgama-vIryam | boDisattva
   ācarankuśalaṃmūlaṃ janayati vīryam | utpāditāni sarvāṇi kuśalamūlāni	Acaran-kuSalaMmUlam janayati vIryam | utpAditAni sarvANi kuSala-mUlAni
   pariṇāmayatyanuttarāyāṃ samyaksaṃbodhau paripūrayituṃ sarvajñatāmiti	pariNAmayati-anuttarAyAm samyaksaMboDO paripUrayitum sarvajQa-tAm-iti
   kuśalamūlācaraṇavīryam | bodhisattvaḥ vinayansattvāñjanayati vīryam |	kuSala-mUla-AcaraNa-vIryam | boDisattvaH vinayan-sattvAn-janayati vIryam |
   aprameyāḥ sattvabhāvā aparyantā ākāśadhātusamā aparisaṃkhyeyāḥ |	aprameyAH sattva-BAvAH aparyantAH AkASa-DAtu-samAH aparisaMKyeyAH |
   bodhisattvaḥ praṇidadhāti yannirvāpayitavyānte yathā na kaścanāvaśiṣyate |	boDisattvaH praNidaDAti yat-nirvApayitavyAnte yaTA na kaScana-avaSizyate |
   nirvāpayituṃ sotsāhamācarati vīryamiti [sattva-]vinayavīryam ||	nirvApayitum sa-utsAham-Acarati vIryam-iti [sattva--]vinaya-vIryam ||
   9 | saṃkṣepata ucyate | bodhisattvo bhāvayati mārgasahāyāṃ	9 | saMkzepataH ucyate | boDisattvaH BAvayati mArga-sahAyAm
   puṇyasahāyāmanuttarāṃ prajñām | saṃgṛhṇanbuddhadharmānutpādayati vīryam |	puNya-sahAyAm-anuttarAm prajQAm | saMgRhNan-budDa-DarmAn-utpAdayati vIryam |
   aparyantā buddhaguṇāaprameyāḥ | bodhisattvasya mahāsattvasya	aparyantAH budDa-guNAa-prameyAH | boDisattvasya mahAsattvasya
   mahāniṣpatyutpādena janitaṃ vīryamapyeṣamaparyantamaprameyam | bodhisattvo	mahAnizpati-utpAdena janitam vIryam-api-ezam-aparyantam-aprameyam | boDisattvaH-
   mahāsattvo vīryamācarannaviraktacittobhavatyuddhartuṃ duḥkhānīti pūrayati	mahAsattvaH vIryam-Acaran=-avirakta-cittoBavati-udDartum duHKAni-iti pUrayati
   vīryapāramitām ||	vIrya-pAramitAm ||
   (iti bodhicittotpādasūtraśāstre vīryapāramitā māna saptamo vargaḥ ||)	(iti boDi-citta-utpAda-sUtra-SAstre vIrya-pAramitA mAna saptamaH vargaH ||)
   aṣṭamo vargaḥ	azwamaH vargaH
   dhyāmapāramiatā	DyAma-pAramiatA
   1 | bodhisattvaḥ kathamāvarati dhyānam | dhyānamātmaparobhayalābhāya	1 | boDisattvaH kaTam-Avarati DyAnam | DyAnam-Atma-paroBaya-lABAya
   cedevaṃvidhaṃ dhyānaṃ niṣpādyati bodhimārgam | bodhisattvaḥ kāmayate	ced-evaMviDam DyAnam nizpAdyati boDi-mArgam | boDisattvaH kAmayate
   vinetuṃ sattvānaparhatuṃ duḥkhānyacarati tasmāddhyānam | yogāvacaraḥ	vinetum sattvAn-aparhatum duHKAni-acarati tasmAt-DyAnam | yoga-avacaraH
   svacittaṃ saṃgṛhṇan sarvavikṣepaikhyavahito gacchantiṣṭhanniṣīdañchayāno	sva-cittam saMgRhNan sarva-vikzepa-eKya-vahitaH gacCan-tizWat-nizIdan-SayAnaH-
   vā smṛtimabhimukhīmupasthāpayati | paśyatyanulobhaṃ pratilobhaṃ kapālaṃ	vA smRtim-aBimuKIm-upasTApayati | paSyati-anuloBam pratiloBam kapAlam
   śīrṣa kaśerukāṃ bāhkurparamuraḥ parśakāṃ śroṇi kaṭaṃ jānvadharaṃ guṇau |	SIrza kaSerukAm bAhkurparamuraH parSakAm SroNi kawam jAnu-aDaram guNO |
   anusmaratyānapānamiti bodhisattvasyādidhyānacittam ||	anusmaratyAnapAnam-iti boDisattvasya-Adi-DyAna-cittam ||
   2 | dhyānacaryāhetorna prāpnotyakuśalāni sadāsya nandati	2 | DyAna-caryA-hetoH-na prApnoti-akuSalAni sadA-asya nandati
   cittamityasyātmalābhaḥ | vinayansattvānācārayati samyaksmṛtimiti	cittam-iti-asya-Atma-lABaH | vinayan-sattvAn-AcArayati samyak-smRtim-iti
   paralābhaḥ | caritvā pariśuddhaṃ samādhiṃ vītākuśalavitarkavicāraḥ	para-lABaH | caritvA pariSudDam samADim vIta-akuSala-vitarka-vicAraH
   sattveṣu pariṇāmyātmanā salābhinaḥ karotītyubhayalābhaḥ | dhyānacaryā	sattvezu pariNAmi-AtmanA sa-lABinaH karoti-iti-uBaya-lABaH | DyAna-caryA
   hetorlabhate 'ṣṭau vimokṣānyāvacchraraṃgamavajasamādhimiti niṣpādayati	hetoH-laBate azwO vimokzAn-yAvat-SraraMgam-avaja-samADim-iti nizpAdayati
   bodhimārgam ||	boDi-mArgam ||
   3 | dhyānaṃ tribhirdharmairupajāyate | ke vayaḥ | prathamaḥ śrutamayī	3 | DyAnam triBiH-DarmEH-upajAyate | ke vayaH | praTamaH Sruta-mayI
   prajñā | dvitīyaścintāmayī prajñā | tṛtīyo bhāvanāmayī prajñā |	prajQA | dvitIyaH-cintA-mayI prajQA | tRtIyaH BAvanA-mayI prajQA |
   tribhirebhirdharmaiḥ krameṇopajāyante sarvasamādhayaḥ ||	triBiH-eBiH-DarmEH krameNa-upajAyante sarva-samADayaH ||
   4 | kā nāma śrutamayī prajñā | yathā yathā dharmāñcaṇoti tathā tathasya	4 | kA nAma Sruta-mayI prajQA | yaTA yaTA DarmAQcaNoti taTA taTasya
   cittṃ prītaṃ bhavati sukhitam | punarevamanusmarati	cittm prItam Bavati suKitam | punar-evam-anusmarati
   santyānantaryavimokṣādayo buddhadharmāḥ | ime dharmā bahuśratenāvāpyante |	santi-Anantarya-vimokza-AdayaH budDa-DarmAH | ime DarmAH bahu-Sratena-avApyante |
   evamanusmmṛtya sarvadā dharmagaveṣaṇākāle 'syottarottasmutsāhaḥ	evam-anusmmRtya sarvadA Darma-gavezaNA-kAle asya-uttara-utta-smutsAhaH
   saṃpravardhate 'horātraṃ dharmaśravaṇe 'syābhirucirbhavati na ca	saMpravarDate ahorAtram Darma-SravaNe asya-aBiruciH-Bavati na ca
   klāntirnāpyasyatuptiriti śrutamayī prajñā |	klAntiH-na-api-asi-atuptiH-iti Sruta-mayI prajQA |
   5 | kā nāma cintāmayī prajñā | cintayati sarve	5 | kA nAma cintA-mayI prajQA | cintayati sarve
   saṃskṛtadharmāstathatālakṣaṇāḥ | tathā hi | anityā duḥkhāḥ śūnyā anātmāno	saMskRta-DarmAH-taTatA-lakzaNAH | taTA hi | anityAH duHKAH SUnyAH anAtmAnaH-
   'śucayaḥ kṣaṇaṃ kṣaṇamutpadyante nirudhyante 'ciraṃ pamohāgninā jvalitāḥ	aSucayaH kzaNam kzaNam-utpadyante niruDyante aciram pamoha-agninA jvalitAH
   saṃvarddhayanti paścimaṃ duḥkhamahāskandham | māyāvanmṛṣeva bhāgha it	saMvardDayanti paScimam duHKa-mahA-skanDam | mAyAvat-mRzA-iva BAGaH it
   sarveṣu saṃskṛtadharmeṣu janayati saṃvegam | samadhikotsāhaṃ gacchati	sarvezu saMskRta-Darmezu janayati saMvegam | samaDika-utsAham gacCati
   buddhaprajñām | cinayati yattathāgatāprajñācintyāparimeyā mahābalāparājitā	budDa-prajQAm | cinayati yat-taTAgata-aprajQA-acintyA-parimeyA mahA-bala-aparAjitA
   prāptāpagatabhayasparśāṃ mahānagarī na ca punarāvartate duḥkhebhyo	prApta-apagata-Baya-sparSAm mahA-nagarI na ca punar-Avartate duHKeByaH-
   'prameyebhyaḥ sattvānaparitrāyate | evaṃ jānāti buddhasyāprameyāṃ praḥyāṃ	aprameyeByaH sattvAn-aparitrAyate | evam jAnAti budDasya-aprameyAm praHyAM
   paśyati saṃskṛtadharmāṇāmaparimeyadu| kāmayate gaveṣayitumanuttaraṃ	paSyati saMskRta-DarmANAm-aparimeya-du| kAmayate gavezayitum-anuttaram
   mahāyānamiti cintāmayī pajñā ||	mahAyAnam-iti cintA-mayI pajQAH ||
   6 | kā nāma bhāvanāmayī prajñetyucyate | tyajati rāgamakuśalāṃśca dharmān	6 | kA nAma BAvanA-mayI prajQA-iti-ucyate | tyajati rAgam-akuSalAn=-ca DarmAn
   | tenopajāyante 'sya vitarkavicāraprītisukhāni viśati prathamaṃ dhyānam |	| tena-upajAyante asya vitarka-vicAra-prIti-suKAni viSati praTamam DyAnam |
   kṣapayato vitarkavicāran prasannabhyantarastaikāgracittasyāvitarkavicāraḥ	kzapayataH vitarka-vicAran prasanna-ByantaraH-ta-ekAgra-cittasya-avitarka-vicAraH
   samādhirasyopajāyate saprīti śukhaṃ viśati dvitīyaṃ dhyānam | prīti	samADiH-asya-upajAyate sa-prIti SuKam viSati dvitIyam DyAnam | prIti
   parityajyopekṣāsaṃskāravān smṛtisaṃprajanyacittaḥ kāye śukhaṃ	parityajya-upekzA-saMskAravAn smRti-saMprajanya-cittaH kAye SuKam
   vedayakṣāryābhilāpepekṣārhāṃ nityamanusmaransukhāṃ vedanāṃ viśati tṛtīyaṃ	vedayakza-Arya-aBilApa-ipekzA-arhAm nityam-anusmaran-suKAm vedanAm viSati tRtIyam
   dhyānam prajahāti duḥkhaṃ prajahāti śukhaṃ niruṇaddhi śokaṃ prīti	DyAnam prajahAti duHKam prajahAti SuKam niruNadDi Sokam prIti
   viśatyaduḥkhamśukhamupekṣāsmṛtipariśūddhaṃ caturthaṃ dhyānam |	viSati-aduHKamSuKam-upekzA-smRti-pariSUdDam caturTam DyAnam |
   atyetisarvaṃ rūpalakṣaṇam | niruṇaddhi sarvaṃ pratighalakṣaṇaṃ nānusmarati	atyeti-sarvam rUpa-lakzaNam | niruNadDi sarvam pratiGa-lakzaNam na-anusmarati
   viṣabhāgalakṣaṇaṃ tena jānatyākāśamanantam | tataḥ	viza-BAga-lakzaNam tena jAnati-AkASam-anantam | tatas-
   praviśatyakāśamarūpadhyānāyatanam | atyeti sarvamākāśalakṣaṇaṃ tena jānāti	praviSati-akASam-arUpa-DyAna-Ayatanam | atyeti sarvam-AkASa-lakzaNam tena jAnAti
   vijñānamanantam | tatapraviśati vijñānamrūpadhyānāyatanam | atyeti sarvaṃ	vijQAnam-anantam | tata-praviSati vijQAnam-rUpa-DyAna-Ayatanam | atyeti sarvam
   vijñānalakṣaṇaṃ tena jānātyākiṃcanyam | tena jānan	vijQAna-lakzaNam tena jAnAti-AkiMcanyam | tena jAnan
