   akāmaḥ svayam arjitam Vi_18.43d	akAmaH svayam arjitam Vi_18.43d
   na cāpathyaṃ kathaṃcana Vi_68.48b	na ca-apaTyam kaTaMcana Vi_68.48b
   na cāpnoti gṛhī lokān Vi_67.44c	na ca-Apnoti gRhI lokAn Vi_67.44c
   na cehājāyate punaḥ Vi_28.47d	na ca-iha-AjAyate punar Vi_28.47d
   na cainaṃ kledayanty āpo Vi_20.51c	na ca-enam kledayanti ApaH Vi_20.51c
   na jātu tiṣṭhe puruṣottamena Vi_99.23b	na jAtu tizWe puruzottamena Vi_99.23b
   na jugupseta dharmavit Vi_54.31d	na jugupseta Darma-vid Vi_54.31d
   na tato 'nyo 'sty apuṇyakṛt Vi_51.75d	na tatas anyaH asti apuNya-kRt Vi_51.75d
   na tat putrair bhajet sārdham Vi_18.43c	na tat putrEH Bajet sArDam Vi_18.43c
   na tat phalam avāpnoti Vi_51.77c	na tat Palam avApnoti Vi_51.77c
   na tadbhūtaṃ prapaśyāmi Vi_20.22c	na tat-BUtam prapaSyAmi Vi_20.22c
   na taṃ druhyet kadācana Vi_30.43d	na tam druhyet kadAcana Vi_30.43d
   na taṃ bhajeran dāyādā Vi_17.22c	na tam Bajeran dAyAdAH Vi_17.22c
   na tādṛśaṃ bhavaty eno Vi_51.62a	na tAdRSam Bavati enaH Vi_51.62a
   na tu tṛpyet svayaṃ tataḥ Vi_57.13d	na tu tRpyet svayam tatas Vi_57.13d
   na tṛtīyam athāśnīta Vi_68.48a	na tRtIyam aTa-aSnIta Vi_68.48a
   na tair aprayato bhavet Vi_23.54d	na tEH aprayataH Bavet Vi_23.54d
   na dagdhaḥ sarvathā yas tu Vi_11.8c	na dagDaH sarvaTA yaH tu Vi_11.8c
   na dadyāl lobhataḥ paścāt Vi_6.40c	na dadyAt loBataH paScAt Vi_6.40c
   na dantāntaraveṣṭitam Vi_23.53d	na danta-antara-vezwitam Vi_23.53d
   na dānaṃ yaśase dadyān Vi_93.14a	na dAnam yaSase dadyAn Vi_93.14a
   nadī vegena śudhyati Vi_22.91b	nadI vegena SuDyati Vi_22.91b
   nadīṣu bahutoyāsu Vi_85.69c	nadIzu bahu-toyAsu Vi_85.69c
   nadīḥ śailavanaspatīn Vi_1.16b	nadIH SEla-vanaspatIn Vi_1.16b
   na dharmasyāpadeśena Vi_93.11a	na Darmasya-apadeSena Vi_93.11a
   na nirvapati pañcānām Vi_59.25c	na nirvapati paQcAnAm Vi_59.25c
   na nivārayituṃ śaktas Vi_20.46c	na nivArayitum SaktaH Vi_20.46c
   na nṛtyagītaśīlebhyo Vi_93.14c	na nRtya-gIta-SIleByaH Vi_93.14c
   nanv asāre nṛloke 'smin Vi_20.40c	nanu asAre nR-loke asmin Vi_20.40c
   na pātavyā dvijātibhiḥ Vi_22.82d	na pAtavyAH dvijAtiBiH Vi_22.82d
   na bakavratike pāpe Vi_93.7c	na bakavratike pApe Vi_93.7c
   na bhakṣayati yo māṃsaṃ Vi_51.73a	na Bakzayati yaH mAMsam Vi_51.73a
   na bhayān nopakāriṇe Vi_93.14b	na BayAt na-upakAriNe Vi_93.14b
   na bhāṇḍe bhāvadūṣite Vi_68.49b	na BANxe BAva-dUzite Vi_68.49b
   na bhāvaduṣṭam aśnīyān Vi_68.49a	na BAva-duzwam aSnIyAn Vi_68.49a
   namas te devadeveśa Vi_1.49c	namaH te devadeveSa Vi_1.49c
   na mithyā jāyate kvacit Vi_19.22d	na miTyA jAyate kvacid Vi_19.22d
   na mṛdvāriśuciḥ śuciḥ Vi_22.89d	na mRd-vAri-SuciH SuciH Vi_22.89d
   narakaṃ caiva gacchati Vi_25.16d	narakam ca-eva gacCati Vi_25.16d
   narakaṃ pratipadyate Vi_76.2d	narakam pratipadyate Vi_76.2d
   naraḥ saṃvatsaraṃ phalam Vi_5.184b	naraH saMvatsaram Palam Vi_5.184b
   navatoyasamudbhave Vi_23.45d	nava-toya-samudBave Vi_23.45d
   na vāry api prayaccheta Vi_93.7a	na vAri api prayacCeta Vi_93.7a
   na vidur yāni mānavāḥ Vi_11.11d	na viduH yAni mAnavAH Vi_11.11d
   na vidur yāni mānuṣāḥ Vi_10.10d	na viduH yAni mAnuzAH Vi_10.10d
   na vidur yāni mānuṣāḥ Vi_12.7d	na viduH yAni mAnuzAH Vi_12.7d
   na vidur yāni mānuṣāḥ Vi_13.6d	na viduH yAni mAnuzAH Vi_13.6d
   na vibhājyaṃ ca pustakam Vi_18.44d	na viBAjyam ca pustakam Vi_18.44d
   na vyatītāḥ pitāmahāḥ Vi_20.23d	na vyatItAH pitAmahAH Vi_20.23d
   na vrataṃ nāpy upoṣitam Vi_25.15b	na vratam na-api upozitam Vi_25.15b
   na vratena viyujyate Vi_22.86d	na vratena viyujyate Vi_22.86d
   na śoṣayati mārutaḥ Vi_20.51d	na Sozayati mArutaH Vi_20.51d
   na śmaśrūṇi gatāny āsyaṃ Vi_23.53c	na SmaSrUNi gatAni Asyam Vi_23.53c
   naśyanta iti dhāraṇā Vi_64.41d	naSyante iti DAraNA Vi_64.41d
   na sāyaṃ prātar āśitaḥ Vi_68.48d	na sAyam prAtar ASitaH Vi_68.48d
   na sāhasikadaṇḍaghnau Vi_5.197c	na sAhasika-daNxa-GnO Vi_5.197c
   na hi pratīkṣate mṛtyuḥ Vi_20.41c	na hi pratIkzate mRtyuH Vi_20.41c
   na hīnāṅgīṃ nādhikāṅgīṃ Vi_69.17a	na hIna-aFgIm na-aDika-aFgIm Vi_69.17a
   na homā na punar japāḥ Vi_20.45b	na homAH na punar japAH Vi_20.45b
   na hy anyā niṣkṛtis teṣāṃ Vi_34.2c	na hi anyA nizkRtiH tezAm Vi_34.2c
   nākalyāṇaṃ na kalyāṇaṃ Vi_96.23c	na-akalyANam na kalyANam Vi_96.23c
   nākāmo dātum arhati Vi_18.42d	na-akAmaH dAtum arhati Vi_18.42d
   nākāśe na tathotthitaḥ Vi_68.46b	na-AkASe na taTA-utTitaH Vi_68.46b
   nākṛtvā prāṇināṃ hiṃsāṃ Vi_51.71a	na-akRtvA prANinAm hiMsAm Vi_51.71a
   nātatāyivadhe doṣo Vi_5.191a	na-AtatAyi-vaDe dozaH Vi_5.191a
   nātiprage nātisāyaṃ Vi_68.48c	na-ati-prage na-atisAyam Vi_68.48c
   nātisauhityam ācaret Vi_68.47d	na-ati-sOhityam Acaret Vi_68.47d
   nādadyāt kulaṭāṣaṇḍha- Vi_57.14c	na-AdadyAt kulawA-zaNXa Vi_57.14c
   nādeyīś ca nadīṣu ca Vi_1.14b	nAdeyIH ca nadIzu ca Vi_1.14b
   nādyād vipraḥ kathaṃcana Vi_51.59b	na-adyAt vipraH kaTaMcana Vi_51.59b
   nānācchandogatipatho Vi_1.9a	nAnA=-CandaH-gati-paTaH Vi_1.9a
   nānādīkṣābhir anvitaḥ Vi_1.7d	nAnA-dIkzABiH anvitaH Vi_1.7d
   nānāvidhānāṃ dravyāṇāṃ Vi_22.93c	nAnAviDAnAm dravyANAm Vi_22.93c
   nānugantuṃ naraṃ mṛtam Vi_20.39b	na-anugantum naram mRtam Vi_20.39b
   nānuśocitum arhatha Vi_20.53d	na-anuSocitum arhaTa Vi_20.53d
   nānūcyeta yathāvidhi Vi_54.26b	na-anUcyeta yaTAviDi Vi_54.26b
   nānyatreti kathaṃcana Vi_51.64d	na-anyatra-iti kaTaMcana Vi_51.64d
   nānyastrīgo na duṣṭavāk Vi_5.197b	na-anya-strI-gaH na duzwa-vAc Vi_5.197b
   nāpahāryaṃ tu tat kvacit Vi_5.186d	na-apahAryam tu tat kvacid Vi_5.186d
   nāprāptakālo mriyate Vi_20.44a	na-aprApta-kAlaH mriyate Vi_20.44a
   nābhivādyeha pādayoḥ Vi_32.13b	na-aBivAdya-iha pAdayoH Vi_32.13b
   nārāyaṇa jagannātha Vi_1.50a	nArAyaNa jagannATa Vi_1.50a
   nārīṣu nityaṃ suvibhūṣitāsu Vi_99.21a	nArIzu nityam su-viBUzitAsu Vi_99.21a
   nārthaṃ kiṃcit samācaret Vi_54.31b	na-arTam kiMcid samAcaret Vi_54.31b
   nāvedavidi dharmavit Vi_93.7d	na-aveda-vidi Darma-vid Vi_93.7d
   nāvedavihitāṃ hiṃsām Vi_51.66c	na-aveda-vihitAm hiMsAm Vi_51.66c
   nāśayadhvaṃ yavā mama Vi_48.19d	nASayaDvam yavAH mama Vi_48.19d
   nāśnanti pitaras tasya Vi_57.12a	na-aSnanti pitaraH tasya Vi_57.12a
   nāśnanti pitṛdevās tu Vi_26.7c	na-aSnanti pitR-devAH tu Vi_26.7c
   nāśnīyād bhāryayā sārdhaṃ Vi_68.46a	na-aSnIyAt BAryayA sArDam Vi_68.46a
   nāsti loke sahāyatā Vi_20.29d	na-asti loke sahAya-tA Vi_20.29d
   nāsti strīṇāṃ pṛthagyajño Vi_25.15a	na-asti strINAm pRTak-yajQaH Vi_25.15a
   nityam āsyaṃ śuci strīṇāṃ Vi_23.49a	nityam Asyam Suci strINAm Vi_23.49a
   nityam eva mahāmuniḥ Vi_1.20d	nityam eva mahA-muniH Vi_1.20d
   nityasnānena pūyante Vi_64.42c	nitya-snAnena pUyante Vi_64.42c
   nityasnāyī jitendriyaḥ Vi_89.4b	nitya-snAyI jita-indriyaH Vi_89.4b
   nityasnāyī na paśyati Vi_64.42b	nitya-snAyI na paSyati Vi_64.42b
   nityaṃ triṣavaṇasnāyī Vi_46.24c	nityam trizavaNa-snAyI Vi_46.24c
   nityaṃ śuddhaḥ kāruhastaḥ Vi_23.48a	nityam SudDaH kAru-hastaH Vi_23.48a
   nityaḥ satatagaḥ sthāṇur Vi_20.52c	nityaH satata-gaH sTANuH Vi_20.52c
   nityān āha prajāpatiḥ Vi_76.2b	nityAn Aha prajApatiH Vi_76.2b
   nimeṣamātraṃ ca vinā kṛtāhaṃ Vi_99.23a	nimeza-mAtram ca vinA kRtA-aham Vi_99.23a
   nimloced vāpy+avijñānāj Vi_28.53c	nimlocet vA-api-+avijQAnAt Vi_28.53c
   niyatāsmiṃś carācare Vi_51.67b	niyatA-asmin carAcare Vi_51.67b
   niyuktaś cāpy adaṇḍyānāṃ Vi_5.196c	niyuktaH ca-api adaNxyAnAm Vi_5.196c
   nirguṇaṃ guṇabhoktṛ ca Vi_97.17d	nirguNam guNa-BoktR ca Vi_97.17d
   nirguṇaṃ pañcaviṃśakam Vi_97.16d	nirguNam paQcaviMSakam Vi_97.16d
   nirṇodaḥ sarvapāpānāṃ Vi_48.17c	nirNodaH sarva-pApAnAm Vi_48.17c
   nirmokam iva śeṣāher Vi_1.39a	nirmokam iva Seza-aheH Vi_1.39a
   nirhṛtya tu vratī pretān Vi_22.86c	nirhRtya tu vratI pretAn Vi_22.86c
   nivasann ātmavān dvijaḥ Vi_51.66b	nivasan AtmavAn dvijaH Vi_51.66b
   niṣaṇṇā bhava vāmoru Vi_1.64c	nizaNNA Bava vAma-Uru Vi_1.64c
   nihantā krayavikrayī Vi_51.74b	nihantA kraya-vikrayI Vi_51.74b
   nīyamānāś ca te yathā Vi_43.33d	nIyamAnAH ca te yaTA Vi_43.33d
   nīlapaṅkajapatrākṣīṃ Vi_1.22a	nIla-paFkaja-patra-akzIm Vi_1.22a
   nīlaṃ vā vṛṣam utsṛjet Vi_85.71d	nIlam vA vRzam utsRjet Vi_85.71d
   nīlābjanetre tapanīyavarṇe Vi_99.3a	nIla-abja-netre tapanIya-varNe Vi_99.3a
   nīlotpalayutā diśaḥ Vi_1.27d	nIlotpala-yutAH diSaH Vi_1.27d
   netā cet sādhu paśyati Vi_3.95d	netA ced sADu paSyati Vi_3.95d
   naikagrāmīṇam atithiṃ Vi_67.35a	na-eka-grAmINam atiTim Vi_67.35a
   naikasmin bahavas tathā Vi_68.46d	na-ekasmin bahavaH taTA Vi_68.46d
   nainaṃ chindanti śastrāṇi Vi_20.51a	na-enam Cindanti SastrANi Vi_20.51a
   nainaṃ dahati pāvakaḥ Vi_20.51b	na-enam dahati pAvakaH Vi_20.51b
   nocchiṣṭaṃ kurvate mukhyā Vi_23.53a	na-ucCizwam kurvate muKyAH Vi_23.53a
   nocchiṣṭo na divā supyāt Vi_70.17a	na-ucCizwaH na divA supyAt Vi_70.17a
   nopakuryān naraḥ śocan Vi_20.37c	na-upakuryAt naraH Socan Vi_20.37c
   nopeyād gurviṇīṃ nārīṃ Vi_69.17c	na-upeyAt gurviNIm nArIm Vi_69.17c
   nauśadhāni na mantrāś ca Vi_20.45a	na-OSaDAni na mantrAH ca Vi_20.45a
   pakveṣṭakacitāni ca Vi_23.41d	pakva-izwaka-citAni ca Vi_23.41d
   pakṣijagdhaṃ gavā ghrātam Vi_23.38a	pakzi-jagDam gavA GrAtam Vi_23.38a
   pañcagavyaṃ nyaset paścān Vi_23.45c	paQcagavyam nyaset paScAn Vi_23.45c
   pañcagavyaṃ pibec chūdro Vi_54.7a	paQcagavyam pibet SUdraH Vi_54.7a
   paṇānāṃ dve śate sārdhe Vi_4.14a	paNAnAm dve Sate sArDe Vi_4.14a
   paṇyaṃ yac ca prasāritam Vi_23.48b	paNyam yat ca prasAritam Vi_23.48b
   patitebhyas tathā dviṣaḥ Vi_57.14d	patiteByaH taTA dvizaH Vi_57.14d
   pativratāsu priyavādinīṣu Vi_99.21b	pativratAsu priya-vAdinIzu Vi_99.21b
   patiṃ śuśrūṣate yat tu Vi_25.15c	patim SuSrUzate yat tu Vi_25.15c
   patyau jīvati yaḥ strībhir Vi_17.22a	patyO jIvati yaH strIBiH Vi_17.22a
   patyau jīvati yā yoṣid Vi_25.16a	patyO jIvati yA yozit Vi_25.16a
   patrair eva ca yuktibhiḥ Vi_7.12b	patrEH eva ca yuktiBiH Vi_7.12b
   padanyāsair vasumatīṃ Vi_1.29a	pada-nyAsEH vasumatIm Vi_1.29a
   padmanābha hṛṣīkeśa Vi_1.50c	padmanABa hRzIkeSa Vi_1.50c
   panthā deyā nṛpas tv eṣāṃ Vi_63.50c	panTAH deyAH nRpaH tu ezAm Vi_63.50c
   panthānaś ca viśudhyanti Vi_23.40c	panTAnaH ca viSuDyanti Vi_23.40c
   papraccha devīṃ vasudhā prahṛṣṭā Vi_99.1d	papracCa devIm vasuDA prahRzwAH Vi_99.1d
   parapūrvāsu bhāryāsu Vi_22.43c	parapUrvAsu BAryAsu Vi_22.43c
   parameṣṭhī prajāpatiḥ Vi_55.11d	paramezWI prajApatiH Vi_55.11d
   paralokaṃ ca nīyate Vi_20.28b	para-lokam ca nIyate Vi_20.28b
   parasparam athāśnanti Vi_43.41c	parasparam aTa-aSnanti Vi_43.41c
   parākaṃ ca tathā kuryur Vi_37.36c	parAkam ca taTA kuryuH Vi_37.36c
   parānnapānaṃ lipsantas Vi_43.37a	para-anna-pAnam lipsantaH Vi_43.37a
   pareṣām antyakarma ca Vi_54.25b	parezAm antyakarma ca Vi_54.25b
   palvaleṣu ca pālvalyaḥ Vi_1.14c	palvalezu ca pAlvalyaH Vi_1.14c
   pavanakṣobhasaṃjāta- Vi_1.34c	pavana-kzoBa-saMjAta Vi_1.34c
   pavitram ṛṣibhir dhṛtam Vi_48.17d	pavitram RziBiH DRtam Vi_48.17d
   pavitrāṇāṃ tathā japye Vi_64.40c	pavitrANAm taTA japye Vi_64.40c
   pavitrāṇi japen nityaṃ Vi_46.25c	pavitrANi japet nityam Vi_46.25c
   paśujānur mahākṛtiḥ Vi_1.5d	paSu-jAnuH mahA-AkRtiH Vi_1.5d
   paśupakṣimṛgādyāṃś ca Vi_1.17c	paSu-pakzi-mRga-AdyAn ca Vi_1.17c
   paśyec cej jīvato mukham Vi_15.45d	paSyet ced jIvataH muKam Vi_15.45d
   pāṇinā śakalena vā Vi_94.13d	pANinA Sakalena vA Vi_94.13d
   pāṇḍuraṃ khagamāgamyam Vi_1.37c	pANxuram Kagam-a-agamyam Vi_1.37c
   pātālasaptakaṃ cakre Vi_1.15a	pAtAla-saptakam cakre Vi_1.15a
   pādaṃ pādam adūduhat Vi_55.11b	pAdam pAdam adUduhat Vi_55.11b
   pādābhyaṅgaṃ sadīpakam Vi_67.46b	pAda-aByaFgam sa-dIpakam Vi_67.46b
   pādāv atimanoramau Vi_1.26b	pAdO ati-manoramO Vi_1.26b
   pāpaṃ kṛtvā vrataṃ caret Vi_93.11b	pApam kRtvA vratam caret Vi_93.11b
   pāpānām apanuttaye Vi_54.34b	pApAnAm apanuttaye Vi_54.34b
   pāyasena samācaret Vi_78.53b	pAyasena samAcaret Vi_78.53b
   pārśvikadyūtacauryāpta- Vi_58.11a	pArSvika-dyUta-cOrya-Apta Vi_58.11a
   piṇḍatoyapradāyinaḥ Vi_20.32d	piNxa-toya-pradAyinaH Vi_20.32d
   pitaraṃ trāyate sutaḥ Vi_15.44b	pitaram trAyate sutaH Vi_15.44b
   pitaraṃ mātaraṃ gurum Vi_22.86b	pitaram mAtaram gurum Vi_22.86b
   pitā putrasya jātasya Vi_15.45c	pitA putrasya jAtasya Vi_15.45c
   pitāputrau vijānīyād Vi_32.17c	pitAputrO vijAnIyAt Vi_32.17c
   pitṛto 'ṃśaprakalpanā Vi_17.23b	pitRtaH aMSa-prakalpanA Vi_17.23b
   pitṛdaivatakarmaṇi Vi_51.64b	pitR-dEvata-karmaNi Vi_51.64b
   pitṛbhaktyā tu madhyamam Vi_31.10b	pitR-BaktyA tu maDyamam Vi_31.10b
   pitṛmātṛpradarśitāḥ Vi_16.17b	pitR-mAtR-pradarSitAH Vi_16.17b
   pitṛmedhaṃ samācaran Vi_22.85b	pitR-meDam samAcaran Vi_22.85b
   pitṛlokagataś cānnaṃ Vi_20.34a	pitR-loka-gataH ca-annam Vi_20.34a
   pitṛlokagatasyāsya Vi_20.34c	pitR-loka-gatasya-asya Vi_20.34c
   pitṛveśmani yā kanyā Vi_24.41a	pitR-veSmani yA kanyA Vi_24.41a
   pitṝṇām annapānaṃ tat Vi_86.20c	pitLNAm anna-pAnam tat Vi_86.20c
   pitṝṇām ātmanaś ca yaḥ Vi_59.25b	pitLNAm AtmanaH ca yaH Vi_59.25b
   pitṝṇām upatiṣṭhate Vi_77.9d	pitLNAm upatizWate Vi_77.9d
   pitṝṃs tasyopatisṭhati Vi_86.19d	pitLn tasya-upatisWati Vi_86.19d
   pitrā bhuktaṃ tu yad dravyaṃ Vi_5.187a	pitrA Buktam tu yat dravyam Vi_5.187a
   pibaty atha jalāśaye Vi_86.19b	pibati aTa jalASaye Vi_86.19b
   piben nāñjalinā toyaṃ Vi_68.47c	pibet na-aQjalinA toyam Vi_68.47c
   piśācoragagandharva- Vi_1.17a	piSAca-uraga-ganDarva Vi_1.17a
   piśunaṃ caiva rājasu Vi_5.192d	piSunam ca-eva rAjasu Vi_5.192d
   pīḍyamānāś ca tṛṣṇayā Vi_43.35d	pIxyamAnAH ca tRzNayA Vi_43.35d
   pīḍyamānās tathā yantraiḥ Vi_43.43c	pIxyamAnAH taTA yantrEH Vi_43.43c
   pītavāsasamakṣobhyaṃ Vi_1.42a	pIta-vAsasam-akzoByam Vi_1.42a
   pīnorujaghanasthalām Vi_1.23d	pIna-Uru-jaGana-sTalAm Vi_1.23d
   puṭenaiva palāśena Vi_94.13c	puwena-eva palASena Vi_94.13c
   puṇḍarīkākṣaṃ acyutam Vi_1.60b	puNxarIkAkzam acyutam Vi_1.60b
   putreṇa lokān jayati Vi_15.46a	putreNa lokAn jayati Vi_15.46a
   punar mām ity ṛcaṃ japet Vi_28.51d	punar mAm iti Rcam japet Vi_28.51d
   punas taṃ hārayel lohaṃ Vi_11.9c	punar tam hArayet loham Vi_11.9c
   punaḥ saṃskārakartā ca Vi_91.19c	punar saMskAra-kartA ca Vi_91.19c
   punīdhvaṃ ca yavā mama Vi_48.21d	punIDvam ca yavAH mama Vi_48.21d
   punīdhvaṃ ca yavā mama Vi_48.22f	punIDvam ca yavAH mama Vi_48.22f
   punnāmno narakād yasmāt Vi_15.44a	punnAmnaH narakAt yasmAt Vi_15.44a
   puram ākramya sakalaṃ Vi_97.15a	puram Akramya sakalam Vi_97.15a
   purastād anucoditām Vi_57.11b	purastAt anucoditAm Vi_57.11b
   purāṇa puruṣottama Vi_1.51d	purANa puruzottamaH Vi_1.51d
   purāṇapuruṣottama Vi_1.56d	purANa-puruzottamaH Vi_1.56d
   puruṣas tu niraṅkuśaḥ Vi_52.15b	puruzaH tu niraFkuSaH Vi_52.15b
   puruṣair bhūr yathāvidhi Vi_5.188b	puruzEH BUH yaTAviDi Vi_5.188b
   puṣṭis tathāsāṃ rajasi pravṛddhā Vi_23.61b	puzwiH taTA-AsAm rajasi pravRdDA Vi_23.61b
   puṣṭiḥ śrāddhe kṛte dhruvam Vi_20.36b	puzwiH SrAdDe kRte Druvam Vi_20.36b
   puṣpitānāṃ ca vīrudhām Vi_50.48d	puzpitAnAm ca vIruDAm Vi_50.48d
   puṣpeṣu śukleṣu ca parvateṣu Vi_99.16c	puzpezu Suklezu ca parvatezu Vi_99.16c
   pūjayitvā tataḥ paścād Vi_67.42c	pUjayitvA tatas paScAt Vi_67.42c
   pūjayitvātha kaśyapaḥ Vi_1.30b	pUjayitvA-aTa kaSyapaH Vi_1.30b
   pūjayitvā yathānyāyam Vi_73.32c	pUjayitvA yaTAnyAyam Vi_73.32c
   pūyagandhi sudāruṇam Vi_43.39d	pUya-ganDi su-dAruNam Vi_43.39d
   pūyaśoṇitagandhena Vi_43.36c	pUya-SoNita-ganDena Vi_43.36c
   pūrṇaviṃśativarṣeṇa Vi_32.13c	pUrNa-viMSati-varzeNa Vi_32.13c
   pūrṇe cānasy anasthnāṃ tu Vi_50.46c	pUrNe ca-anasi anasTnAm tu Vi_50.46c
   pūrṇodakumbheṣu sacāmareṣu Vi_99.13a	pUrNa-uda-kumBezu sa-cAmarezu Vi_99.13a
   pūrvaṃ bhuṅkte 'vicakṣaṇaḥ Vi_67.40b	pUrvam BuFkte avicakzaNaH Vi_67.40b
   pūrvāhṇe cāparāhṇikam Vi_20.41b	pUrvAhNe ca-aparAhNikam Vi_20.41b
   pṛcchāmi kaśyapaṃ gatvā Vi_1.20a	pRcCAmi kaSyapam gatvA Vi_1.20a
   pṛcchāmy ahaṃ te vasatiṃ vibhūteḥ Vi_99.6d	pRcCAmi aham te vasatim viBUteH Vi_99.6d
   pṛthivī nātra saṃśayaḥ Vi_87.9d	pRTivI na-atra saMSayaH Vi_87.9d
   pṛthivyāṃ sarvatīrthānāṃ Vi_35.6c	pRTivyAm sarva-tIrTAnAm Vi_35.6c
   pṛśnigarbhaṃ dhṛtārciṣam Vi_1.59d	pRSni-garBam DRta-arcizam Vi_1.59d
   paitṛkaṃ tu yadā dravyam Vi_18.43a	pEtRkam tu yadA dravyam Vi_18.43a
   pautradauhitrayor loke Vi_15.47a	pOtra-dOhitrayoH loke Vi_15.47a
   pautreṇānantyam aśnute Vi_15.46b	pOtreNa-Anantyam aSnute Vi_15.46b
   paurṇamāsī tu mahatī Vi_49.9c	pOrNamAsI tu mahatI Vi_49.9c
   paurṇamāsyāṃ tathaiva ca Vi_49.8b	pOrNamAsyAm taTA-eva ca Vi_49.8b
   prakāśaṃ vāprakāśaṃ vā Vi_5.191c	prakASam vA-aprakASam vA Vi_5.191c
   prakīrṇapātake jñātvā Vi_42.2a	prakIrNa-pAtake jQAtvA Vi_42.2a
   prakṛtānnaṃ yathāśakti Vi_67.38c	prakRta-annam yaTASakti Vi_67.38c
   prakṣālya bhaṅktvā taj jahyāc Vi_61.17a	prakzAlya BaFktvA tat jahyAt Vi_61.17a
   pracchannapāpā japyena Vi_22.90c	pracCanna-pApAH japyena Vi_22.90c
   pracchannā vā prakāśā vā Vi_16.17c	pracCannA vA prakASAH vA Vi_16.17c
   prajāsukhe sukhī rājā Vi_3.98a	prajA-suKe suKI rAjA Vi_3.98a
   prajās tatra vivardhante Vi_3.95c	prajAH tatra vivarDante Vi_3.95c
   pratijñāṃ sa jayī bhavet Vi_8.39b	pratijQAm sa jayI Bavet Vi_8.39b
   pratirūpakasāhasaiḥ Vi_58.11b	pratirUpaka-sAhasEH Vi_58.11b
   pratiśrayaṃ tathā śayyāṃ Vi_67.46a	pratiSrayam taTA SayyAm Vi_67.46a
   pratyakṣadeveṣu parokṣadevāḥ Vi_19.23d	pratyakza-devezu parokza-devAH Vi_19.23d
   pratyekadānenāpnoti Vi_67.46c	pratyeka-dAnena-Apnoti Vi_67.46c
   prathamaḥ sāhasaḥ smṛtaḥ Vi_4.14b	praTamaH sAhasaH smRtaH Vi_4.14b
   pradadāti gṛhasthaś ca Vi_59.27c	pradadAti gRhasTaH ca Vi_59.27c
   pradadyād āsanodake Vi_67.45b	pradadyAt Asana-udake Vi_67.45b
   prapannāsmi jagannātha Vi_1.58c	prapannA-asmi jagannATa Vi_1.58c
   prabuddhe padmasaṃbhave Vi_1.1b	prabudDe padma-saMBave Vi_1.1b
   prabhavaty ātmanaḥ sadā Vi_24.40d	praBavati AtmanaH sadA Vi_24.40d
   prabhāyutā nakhās tāmrā Vi_1.27a	praBA-yutAH naKAH tAmrAH Vi_1.27a
   prabhūtam upatiṣṭhati Vi_86.20d	praBUtam upatizWati Vi_86.20d
   prayataś ca śucir bhūtvā Vi_66.16a	prayataH ca SuciH BUtvA Vi_66.16a
   prayayau keśavaṃ draṣṭuṃ Vi_1.33c	prayayO keSavam drazwum Vi_1.33c
   pravadanti manīṣiṇaḥ Vi_51.78d	pravadanti manIziNaH Vi_51.78d
   pravargyāvartabhūṣaṇaḥ Vi_1.8d	pravargya-Avarta-BUzaNaH Vi_1.8d
   pravidhānaśatair api Vi_20.46b	praviDAna-SatEH api Vi_20.46b
   praviśeyur hutāśanam Vi_34.2b	praviSeyuH hutASanam Vi_34.2b
   prasamīkṣya nivarteta Vi_51.72c	prasamIkzya nivarteta Vi_51.72c
   prasahya harate janam Vi_20.43d	prasahya harate janam Vi_20.43d
   prasūtāsu mṛtāsu ca Vi_22.43d	prasUtAsu mRtAsu ca Vi_22.43d
   prasrave ca śucir vatsaḥ Vi_23.49c	prasrave ca SuciH vatsaH Vi_23.49c
   prākchāye kuñjarasya ca Vi_78.53d	prAc-CAye kuQjarasya ca Vi_78.53d
   prāgrātrāpararātreṣu Vi_97.16a	prAgrAtra-apararAtrezu Vi_97.16a
   prāgvaṃṣakāyo dyutimān Vi_1.7c	prAc-vaMza-kAyaH dyutimAn Vi_1.7c
   prājāpatyam anicchayā Vi_38.7d	prAjApatyam anicCayA Vi_38.7d
   prāṇatyāgād anantaram Vi_43.32b	prANatyAgAt anantaram Vi_43.32b
   prāṇāyāmaṃ dvijaḥ kuryāt Vi_55.8a	prANAyAmam dvijaH kuryAt Vi_55.8a
   prāṇāyāmaḥ sa ucyate Vi_55.9d	prANAyAmaH saH ucyate Vi_55.9d
   prāṇāyāmāḥ paraṃ tapaḥ Vi_55.17b	prANAyAmAH param tapaH Vi_55.17b
   prāṇāyāmena śudhyati Vi_50.47d	prANAyAmena SuDyati Vi_50.47d
   prāṇāyāmair dvijasya tu Vi_55.8d	prANAyAmEH dvijasya tu Vi_55.8d
   prāṇinām atha sarveṣāṃ Vi_23.42a	prANinAm aTa sarvezAm Vi_23.42a
   prāṇināṃ na cikīrṣati Vi_51.69b	prANinAm na cikIrzati Vi_51.69b
   prāṇihiṃsāparo yas tu Vi_52.17a	prANi-hiMsA-paraH yaH tu Vi_52.17a
   prātarbhūtvā ca yatavāg Vi_61.16c	prAtar-BUtvA ca yata-vAc Vi_61.16c
   prātaḥsnāyī bhaven nityaṃ Vi_90.29c	prAtar-snAyI Bavet nityam Vi_90.29c
   prātibhāvyaṃ vidhīyate Vi_6 41b	prAtiBAvyam viDIyate Vi_6 41b
   prāptakālo na jīvati Vi_20.44d	prApta-kAlaH na jIvati Vi_20.44d
