   oṃ atha pañcamo 'dhyāyaḥ	om aTa paQcamaH aDyAyaH
   ahimaṃ himavarjitaṃ śārīraduḥkhavarjitamityarthaḥ /	ahimam hima-varjitam SArIra-duHKa-varjitam-iti-arTaH /
   taṃ prāpya tasminvasati śāśvatīrnityāḥ samāḥ saṃvatsarānityarthaḥ /	tam prApya tasmin-vasati SASvatIH-nityAH samAH saMvatsarAn-iti-arTaH /
   brahmaṇo bahūnkalpānvasatītyetat //1//	brahmaNaH bahUn-kalpAn-vasati-iti-etat //1//
   iti śrīmadbṛhadāraṇyakopaniṣadbhāṣye pañcamādhyāyasya daśamaṃ brāhmaṇam	iti SrImat-bRhat-AraNyaka-upanizad-BAzye paQcama-aDyAyasya daSamam brAhmaNam
   START BrhUp 5,11.1	START BrhUp 5,11.1
   etad vai paramaṃ tapo yad vyāhitas tapyate |	etat vE paramam tapaH yat vyAhitaH tapyate |
   paramaṃ haiva lokaṃ jayati ya evaṃ veda |	paramam ha-eva lokam jayati yaH evam veda |
   etad vai paramaṃ tapo yaṃ pretam araṇyaṃ haranti |	etat vE paramam tapaH yam pretam araNyam haranti |
   paramaṃ haiva lokaṃ jayati ya evaṃ veda |	paramam ha-eva lokam jayati yaH evam veda |
   etad vai paramaṃ tapo yaṃ pretam agnāv abhyādadhati |	etat vE paramam tapaH yam pretam agnO aByAdaDati |
   paramaṃ haiva lokaṃ jayati ya evaṃ veda || BrhUp_5,11.1 ||	paramam ha-eva lokam jayati yaH evam vedaH || BrhUp_5,11.1 ||
   BrhUpBh_5,11.1 etadvai paramaṃ tapaḥ /	Brhu-upBh_5,11.1 etat-vE paramam tapaH /
   kiṃ tat /	kim tat /
   yadyāhito vyādhito jvarādiparigṛhītaḥ sanyattapyate tadetatparamaṃ tapa	yadi-AhitaH vyADitaH jvara-Adi-parigRhItaH sanyat-tapyate tat-etat-paramam tapa
   ityevaṃ cintayet /	iti-evam cintayet /
   duḥkhasāmānyāt /	duHKa-sAmAnyAt /
   tasyaivaṃ cintayato viduṣaḥ karmakṣayahetustadeva tapo bhavatyanindato	tasya-evam cintayataH viduzaH karma-kzaya-hetuH-tat-eva tapaH Bavati-anindataH-
   'viṣīdataḥ /	avizIdataH /
   sa eva ca tena vijñānatapasā dagdhakilbaṣaḥ paramaṃ haiva lokaṃ jayati ya	saH eva ca tena vijQAna-tapasA dagDa-kilbazaH paramam ha-eva lokam jayati ya
   evaṃ veda /	evam veda /
   tathaitadvai paramaṃ tapo yaṃ pretamagnāvabhyādadhati /	taTA-etat-vE paramam tapaH yam pretam-agnO=-aByAdaDati /
   agnipraveśasāmānyāt /	agnipraveSa-sAmAnyAt /
   paramaṃ haiva lokaṃ jayati ya evaṃ veda //1//	paramam ha-eva lokam jayati yaH evam vedaH //1//
   iti śrīmadbṛhadāraṇyakopaniṣadbhāṣye pañcamādhyāyasyaikādaśaṃ brāhmaṇam	iti SrImat-bRhat-AraNyaka-upanizad-BAzye paQcama-aDyAyasya-ekAdaSam brAhmaNam
   START BrhUp 5,12.1	START BrhUp 5,12.1
   annaṃ brahmety eka āhuḥ |	annam brahma-iti ekaH AhuH |
   tan na tathā |	tat na taTA |
   pūyati vā annam ṛte prāṇāt |	pUyati vE annam Rte prANAt |
   prāṇo brahmety eka āhuḥ |	prANaH brahma-iti ekaH AhuH |
   tan na tathā |	tat na taTA |
   śuṣyati vai praṇa ṛte 'nnāt |	Suzyati vE praNa Rte annAt |
   ete ha tv eva devate ekadhābhūyaṃ bhūtvā paramatāṃ gacchataḥ |	ete ha tu eva devate ekaDABUyam BUtvA parama-tAm gacCataH |
   tad dha smāha prātṛdaḥ pitaram |	tat Da sma-Aha prAtRdaH pitaram |
   kiṃ svid evaivaṃ viduṣe sādhu kuryāṃ kim evāsmā asādhu kuryām iti |	kim svid eva-evam viduze sADu kuryAm kim eva-asmE asADu kuryAm iti |
   sa ha smāha pāṇinā mā prātṛda |	sa ha sma-Aha pANinA mA prAtRda |
   kas tv enayor ekadhābhūyaṃ bhūtvā paramatāṃ gacchatīti |	kaH tu enayoH ekaDABUyam BUtvA parama-tAm gacCati-iti |
   tasmā u haitad uvāca vīti |	tasmE u ha-etat uvAca vi-iti |
   annaṃ vai vi |	annam vE vi |
   anne hīmāni sarvāṇi bhūtāni viṣṭāni |	anne hi-imAni sarvANi BUtAni vizwAni |
   ram iti |	ram iti |
   prāṇo vai ram |	prANaH vE ram |
   prāṇe hīmāni sarvāṇi bhūtāni ramante |	prANe hi-imAni sarvANi BUtAni ramante |
   sarvāṇi ha vā asmin bhūtāni viśanti |	sarvANi ha vE asmin BUtAni viSanti |
   sarvāṇi bhūtāni ramante ya evaṃ veda || BrhUp_5,12.1 ||	sarvANi BUtAni ramante yaH evam vedaH || BrhUp_5,12.1 ||
   BrhUpBh_5,12.1 annaṃ brahmeti /	Brhu-upBh_5,12.1 annam brahma-iti /
   tathaitadupāsanāntaraṃ vidhitsannāha-annaṃ brahmānnamadyate	taTA-etat-upAsana-antaram viDitsanna-aha-annam brahmAn-namadyate
   yattadbrahmetyeka ācāryā āhustanna tathā grahītavyamannaṃ brahmeti /	yat-tat-brahma-iti-ekaH AcAryAH AhuH-tat-na taTA grahItavyam-annam brahma-iti /
   anye cā'huḥ prāṇo brahmeti tacca tathā na grahītavyam /	anye cA-ahuH prANaH brahma-iti tat-ca taTA na grahItavyam /
   kimarthaṃ punarannaṃ brahmeti na grāhyam /	kimarTam punar-annam brahma-iti na grAhyam /
   yasmātpūyati klidyate pūtibhāvamāpadyata ṛte prāṇāttatkathaṃ brahma	yasmAt-pUyati klidyate pUtiBAvam-Apadyate Rte prANAt-tat-kaTam brahma
   bhavitumarhati /	Bavitum-arhati /
   brahma hi nāma tadyadavināśi /	brahma hi nAma tad-yat-avinASi /
   astu tarhi prāṇo brahma /	astu tarhi prANaH brahma /
   naiva /	na-eva /
   yasmācchuṣyati vai prāṇa ṛte 'nnāt /	yasmAt-Suzyati vE prANaH Rte annAt /
   attā hi prāṇaḥ /	attAH hi prANaH /
   ato 'nnenā'dyena vinā na śaknotyātmānaṃ dhārayitum /	atas annenA-adyena vinA na Saknoti-AtmAnam DArayitum /
   tasmācchruṣyati vai prāṇa ṛte 'nnāt /	tasmAt-Sruzyati vE prANaH Rte annAt /
   ata ekaikasya brahmatā nopapadyate yasmāttasmādete ha tvevānnaprāṇadevate	atas ekEkasya brahma-tA na-upapadyate yasmAt-tasmAt-ete ha tu-eva-anna-prANa-devate
   ekadhābhūyamekadhābāvaṃ bhūtvā gatvā paramatāṃ paramatvaṃ gacchato	ekaDABUyam-ekaDA-bAvam BUtvA gatvA parama-tAm parama-tvam gacCataH-
   brahmatvaṃ prāpnutaḥ /	brahma-tvam prApnutaH /
   tadetadevamadhyavasya ha smā'ha sma prātṛdo nāma pitarātmanaḥ	tat-etat-eva-maDyavasya ha smA-aha sma prAtRdaH nAma pitarAtmanaH
   kiṃsviditisviditi vitarke /	kiMsviditi-svid-iti vitarke /
   yathā mayā brahma parikalpitamevaṃ viduṣe kiṃsvitsādhu kuryāṃ sādhu	yaTA mayA brahma parikalpitam-evam viduze kiMsvid-sADu kuryAm sADu
   śobhanaṃ pūjāṃ kāṃ tvasmai kuryāmityabhiprāyaḥ /	SoBanam pUjAm kAm tu-asmE kuryAm-iti-aBiprAyaH /
   kinevāsmai viduṣe 'sādhu kuryāṃ kṛtakṛtyo 'sāvityabhiprāyaḥ /	kinA-iva-asmE viduze asADu kuryAm kRtakRtyaH asO=-iti-aBiprAyaH /
   annaprāṇau sahabhūto brahmeti vidvānnāsāvasādhukaramena khaṇḍito bhavati /	anna-prANO saha-BUtaH brahma-iti vidvAn-nAsO=-asADuka-ramena KaNxitaH Bavati /
   nāpi sādhukaraṇena mahīkṛtaḥ /	na-api sADu-karaNena mahIkRtaH /
   tadevaṃvādinaṃ sa pitā ha smā'ha pāṇinā hastena nivārayanmā prātṛda maivaṃ	tat-evaMvAdinam sa pitA ha smA-aha pANinA hastena nivArayat-mA prAtRda mA-evam
   vocaḥ /	vocaH /
   kastvenayorannaprāṇayorekadhābhūyaṃ bhūtvā paramatāṃ kastu gacchati na	kaH-tu-enayoH-anna-prANayoH-ekaDABUyam BUtvA parama-tAm kaH-tu gacCati na
   kaścidapi vidvānanena brahmadarśanena paramatāṃ gacchati /	kaScid-api vidvAn-anena brahma-darSanena parama-tAm gacCati /
   tasmānnaivaṃ vaktumarhasi kṛtakṛtyo 'sāviti /	tasmAt-na-evam vaktum-arhasi kRtakRtyaH asO=-iti /
   yadyevaṃ bravītu bhavānkathaṃ paramatāṃ gacchatīti /	yadi-evam bravItu BavAn-kaTam parama-tAm gacCati-iti /
   tasmā u haitadvakṣyamāṇaṃ vaca uvāca /	tasmE u ha-etat-vakzyamANam vacaH uvAca /
   kiṃ tat /	kim tat /
   vīti /	vi-iti /
   kiṃ tadvīti /	kim tat-vI-iti /
   ucyate-annaṃ vai vi /	ucyate-annam vE vi /
   anne hi yasmādimāni sarvāṇi bhūtāni viṣṭānyāśritānyato 'nnaṃ vītyucyate /	anne hi yasmAt-imAni sarvANi BUtAni vizwAni-ASritAni-atas annam vI-iti-ucyate /
   kiñca ramiti /	kiQca ram-iti /
   ramiti coktavānpitā /	ram-iti ca-uktavAn-pitA /
   kiṃ punastadram /	kim punar-tat-ram /
   prāṇo vai ram /	prANaH vE ram /
   kuta ityāha /	kutas iti-Aha /
   prāṇe hi kaścidanāyatano nirāśrayo ramate /	prANe hi kaScid-anAyatanaH nirASrayaH ramate /
   nāpi satyapyāyatane 'prāṇo durbalo ramate /	na-api sati-api-Ayatane aprANaH durbalaH ramate /
   yadā tvāyatanavānprāṇī balavāṃśca tadā kṛtārthamātmānaṃ manyamāno ramate	yadA tvAyatanavAn-prANI balavAn=-ca tadA kRtArTam-AtmAnam manyamAnaH ramate
   lokaḥ /	lokaH /
   "yuvā syātsādhuyuvādhyāyakaḥ"ityādiśruteḥ /	"yuvA syAt-sADu-yuva-aDyAyakaH"-iti-Adi-SruteH /
   idānīmevaṃvidaḥ phalamāha - sarvāṇi ha vā asminbhūtāni	idAnIm-evaMvidaH Palam-Aha  sarvANi ha vE asmin-BUtAni
   viśantyannaguṇajñānātsarvāṇi bhūtāni ramante prāṇaguṇajñānādya evaṃ veda	viSanti-anna-guNa-jQAnAt-sarvANi BUtAni ramante prANa-guNa-jQAna-Adya evam veda
   iti śrīmadbṛhadāraṇyakopaniṣadbhāṣye pañcamādhyāyasya dvādaśaṃ brāhmaṇam	iti SrImat-bRhat-AraNyaka-upanizad-BAzye paQcama-aDyAyasya dvAdaSam brAhmaNam
   START BrhUp 5,13.1	START BrhUp 5,13.1
   uktham |	ukTam |
   prāṇo vā uktham |	prANaH vE ukTam |
   prāṇo hīdaṃ sarvam utthāpayati |	prANaH hi-idam sarvam utTApayati |
   ud dhasmād ukthavid vīras tiṣṭhati |	ud DasmAt ukTa-vid vIraH tizWati |
   ukthasya sāyujyaṃ salokatāṃ jayati ya evaṃ veda || BrhUp_5,13.1 ||	ukTasya sAyujyam salokatAm jayati yaH evam vedaH || BrhUp_5,13.1 ||
   BrhUpBh_5,13.1 uktham /	Brhu-upBh_5,13.1 ukTam /
   tathopāsanāntaramukthaṃ śasram /	taTA-upAsana-antaram-ukTam Sasram /
   taddhi pradhānaṃ mahāvrate kratau /	tat-hi praDAnam mahA-vrate kratO /
   kiṃ punastaduktham /	kim punar-tad-ukTam /
   prāṇo vā uktham /	prANaH vE ukTam /
   prāṇaśca pradhāna indriyāṇāmukthaṃ ca śasrāṇāmata ukthamityupāsīta /	prANaH-ca praDAnaH indriyANAm-ukTam ca SasrANAm-atas ukTam-iti-upAsIta /
   kathaṃ prāṇa ukthamityāha-prāṇo hi yasmādidaṃ sarvamutthāpayati /	kaTam prANaH ukTam-iti-Aha--prANaH hi yasmAt-idam sarvam-utTApayati /
   utthāpanāduktha prāṇaḥ /	utTApanAt-ukTa prANaH /
   na hyaprāṇaḥ kaściduttiṣṭhati /	na hi-aprANaH kaScid-uttizWati /
   tadupāsanaphalamāha-uddhāsmādevaṃvida ukthavitprāṇavidvīraḥ putra	tad-upAsana-Pala-mAha--udDA-asmAt-evaMvidaH ukTa-vid-prANa-vid-vIraH putra
   uttiṣṭhati ha dṛṣṭametatphalam /	uttizWati ha dRzwam-etat-Palam /
   adṛṣṭaṃ tūkthasya sāyujyaṃ salokatāṃ jayati ya evaṃ veda //1//	adRzwam tu-ukTasya sAyujyam salokatAm jayati yaH evam vedaH //1//
   START BrhUp 5,13.2	START BrhUp 5,13.2
   yajuḥ |	yajuH |
   prāṇo vai yajuḥ |	prANaH vE yajuH |
   prāṇe hīmāni sarvāṇi bhūtāni yujyante |	prANe hi-imAni sarvANi BUtAni yujyante |
   yujyante hāsmai sarvāṇi bhūtāni śraiṣṭhyāya |	yujyante ha-asmE sarvANi BUtAni SrEzWyAya |
   yajuṣaḥ sāyujyaṃ salokatāṃ jayati ya evaṃ veda || BrhUp_5,13.2 ||	yajuzaH sAyujyam salokatAm jayati yaH evam vedaH || BrhUp_5,13.2 ||
   BrhUpBh_5,13.2 yajuriti copāsīta prāṇam /	Brhu-upBh_5,13.2 yajuH-iti ca-upAsIta prANam /
   prāṇau vai yajuḥ /	prANO vE yajuH /
   kathaṃ yujaḥ prāṇaḥ /	kaTam yujaH prANaH /
   prāṇe hi yasmātsarvāṇi bhūtāni yujyante /	prANe hi yasmAt-sarvANi BUtAni yujyante /
   na hyasati prāṇe kenacitkasyacidyogasāmarthyam /	na hi-asati prANe kenacid-kasyacid-yoga-sAmarTyam /
   ato yunaktīti prāṇo yajuḥ /	atas yunakti-iti prANaH yajuH /
   evaṃvidaḥ phalamāha-yujyanta udyacchanta ityarthaḥ /	evaMvidaH Palam-Aha-yujyante udyacCantaH iti-arTaH /
   hāsmā evaṃvide sarvāṇi bhūtāni śraiṣṭhyaṃ śreṣṭhabhāvastasmai śraiṣṭhyāya	ha-asmE evaMvide sarvANi BUtAni SrEzWyam SrezWa-BAvaH-tasmE SrEzWyAya
   śreṣṭhabhāvāya naḥ śreṣṭho bhavediti /	SrezWa-BAvAya naH SrezWaH Bavet-iti /
   yajuṣaḥ prāṇasya sāyujyamityādi sarva samānam //2 // //	yajuzaH prANasya sAyujyam-ityAdi sarve samAnam //2 // //
   START BrhUp 5,13.3	START BrhUp 5,13.3
   sāma |	sAma |
   prāṇo vai sāma |	prANaH vE sAma |
   prāṇe hīmāni sarvāṇi bhūtāni samyañci |	prANe hi-imAni sarvANi BUtAni samyaQci |
   samyañci hāsmai sarvāṇi bhūtāni śraiṣṭhyāya kalpante |	samyaQci ha-asmE sarvANi BUtAni SrEzWyAya kalpante |
   sāmnaḥ sāyujyaṃ salokatāṃ jayati ya evaṃ veda || BrhUp_5,13.3 ||	sAmnaH sAyujyam salokatAm jayati yaH evam vedaH || BrhUp_5,13.3 ||
   BrhUpBh_5,13.3 sāmeti copāsīta prāṇam /	Brhu-upBh_5,13.3 sAma-iti ca-upAsIta prANam /
   prāṇo vai sāma /	prANaH vE sAma /
   kathaṃ prāṇaḥ sāma /	kaTam prANaH sAma /
   prāṇe hi yasmātsarvāṇi bhūtāni samyañci saṃgacchante	prANe hi yasmAt-sarvANi BUtAni samyaQci saMgacCante
   saṃgamanātsāmyāpattihetutvātsāma prāṇaḥ /	saMgamanAt-sAmya-Apatti-hetutvAt-sAma prANaH /
   samyañci saṃgacchante hāsmai sarvāṇi bhūtāni /	samyaQci saMgacCante ha-asmE sarvANi BUtAni /
   na kevalaṃ saṃgacchanta eva śreṣṭhabhāvāya cāsmai kalpante samarthyante /	na kevalam saMgacCantaH eva SrezWa-BAvAya ca-asmE kalpante samarTyante /
   sāmnaḥ sāyujyamityādi purvavat //3//	sAmnaH sAyujyam-ityAdi purvavat //3//
   START BrhUp 5,13.4	START BrhUp 5,13.4
   kṣatram |	kzatram |
   prāṇo vai kṣatram |	prANaH vE kzatram |
   prāṇo hi vai kṣatram |	prANaH hi vE kzatram |
   trāyate hainaṃ prāṇaḥ kṣaṇitoḥ |	trAyate ha-enam prANaH kzaNitoH |
   pra kṣatram atram āpnoti |	pra kzatram atram Apnoti |
   kṣatrasya sāyujyaṃ salokatāṃ jayati ya evaṃ veda || BrhUp_5,13.4 ||	kzatrasya sAyujyam salokatAm jayati yaH evam vedaH || BrhUp_5,13.4 ||
   BrhUpBh_5,13.4 taṃ prāṇaṃ kṣattramityupāsīta /	Brhu-upBh_5,13.4 tam prANam kzattram-iti-upAsIta /
   prāṇau vai kṣattraṃ prasiddhametatprāṇo hi vai kṣattram /	prANO vE kzattram prasidDam-etat-prANaH hi vE kzattram /
   kathaṃ prasiddhametatprāṇo hi vai kṣattram /	kaTam prasidDam-etat-prANaH hi vE kzattram /
   kathaṃ prasiddhatetyāha-trāyate pālayatyenaṃ piṇḍaṃ dehaṃ prāṇaḥ kṣaṇitoḥ	kaTam prasidDa-tA-iti-Aha-trAyate pAlayati-enam piNxam deham prANaH kzaNitoH
   śasrādihiṃsitātpunarmāṃsenā'pūrayati yasmāttasmātkṣatatrāṇātprasiddhaṃ	Sasra-Adi-hiMsitAt-punar-mAMsenA-apUrayati yasmAt-tasmAt-kzata-trANAt-prasidDam
   kṣattratvaṃ prāṇasya /	kzattra-tvam prANasya /
   vidvatphalamāha-pra kṣattramatraṃ na trāyate 'nyena kenacidityatraṃ	vidvat-Palam-Aha-pra kzattram-atram na trAyate anyena kenacid-iti-atram
   kṣattraṃ prāṇaṃ prāpnotītyarthaḥ /	kzattram prANam prApnoti-iti-arTaH /
   śākhāntare vā pāṭhātkṣattramātraṃ prāṇo bhavatītyarthaḥ /	SAKA-antare vA pAWAt-kzattra-mAtram prANaH Bavati-iti-arTaH /
   kṣattrasya sāyujyaṃ salokatāṃ jayati ya evaṃ veda //4//	kzattrasya sAyujyam salokatAm jayati yaH evam vedaH //4//
   iti śrīmadbṛhadāraṇyakopaniṣadbhāṣye pañcamādhyāyasya trayodaśaṃ brāhmaṇam	iti SrImat-bRhat-AraNyaka-upanizad-BAzye paQcama-aDyAyasya trayodaSam brAhmaNam
   START BrhUp 5,14.1	START BrhUp 5,14.1
   bhūmir antarikṣaṃ dyaur ity aṣṭāv akṣarāṇi |	BUmiH antarikzam dyOH iti azwO akzarANi |
   aṣṭākṣaraṃ ha vā ekaṃ gāyatryai padam |	azwa-akzaram ha vE ekam gAyatryE padam |
   etad u haivāsyā etat |	etat u ha-eva-asyAH etat |
   sa yāvad eṣu triṣu lokeṣu tāvad dha jayati yo 'syā etad evaṃ padaṃ veda ||	sa yAvat ezu trizu lokezu tAvat Da jayati yaH asyAH etat evam padam veda ||
   BrhUp_5,14.1 ||	BrhUp_5,14.1 ||
   BrhUpBh_5,14.1 brahmaṇo hṛdayādyanekopādhiviśiṣṭasyopāsanamuktamathedānīṃ	BrhUpBh_5,14.1 brahmaNaH hRdaya-Adi-aneka-upADi-viSizwasya-upAsanam-uktam-aTa-idAnIm
   gāyatryupādhiviśiṣṭasyopāsanaṃ vaktavyamityārabhyate /	gAyatrI-upADi-viSizwasya-upAsanam vaktavyam-iti-AraByate /
   sarvacchandasāṃ hi gāyatrīcchandaḥ pradhānabhūtam /	sarva=-CandasAm hi gAyatri-icCandaH praDAna-BUtam /
   tatprayoktṛgayatrāṇādgāyatrīti vakṣyati /	tad-prayoktR-gaya-trANAt-gAyatrI-iti vakzyati /
   na cānyeṣāṃ chandasāṃ prayoktṛprāṇatrāṇasāmarthyam /	na ca-anyezAm CandasAm prayoktR-prANa-trANa-sAmarTyam /
   prāṇātmabhūtā ca sā sarvacchandasāṃ cā'tmā prāṇaḥ /	prANa-Atma-BUtA ca sA sarva=-CandasAm cA-atmA prANaH /
   prāṇaśca kṣatatrāṇātkṣattramityuktam /	prANaH-ca kzata-trANAt-kzattram-iti-uktam /
   prāṇaśca gāyatrī /	prANaH-ca gAyatrI /
   tasmāttadupāsanameva vidhitsyate /	tasmAt-tad-upAsanam-eva viDitsyate /
   dvijottamajanmahetutvācca /	dvijottama-janma-hetu-tvAt-ca /
   gāyatryā brāhmaṇamasṛjata triṣṭubhā rājanyaṃ jagatyā vaiśyamati	gAyatryA brAhmaNam-asRjata trizwuBAH rAjanyam jagatyA vESyamati
   dvijottamasya dvitīyaṃ janma gāyatrīnimittam /	dvijottamasya dvitIyam janma gAyatrI-nimittam /
   tasmātpradhānā gāyatrī brāhmaṇā vyutthāya brāhmaṇā abhivadanti sa brāhmaṇo	tasmAt-praDAnA gAyatrI brAhmaNAH vyutTAya brAhmaNAH aBivadanti sa brAhmaNaH-
   vipāpo virajo 'vicikitso brāhmaṇo bhavatītyuttamapuruṣārthasaṃbandhaṃ	vipApaH virajaH avicikitsaH brAhmaNaH Bavati-iti-uttama-puruza-arTa-saMbanDam
   brāhmaṇasya darśayati /	brAhmaNasya darSayati /
   tacca brāhmaṇatvaṃ gāyatrījanmamūlamato vaktavyaṃ gāyatryāḥ satattvam /	tat-ca brAhmaNa-tvam gAyatrI-janma-mUlam-atas vaktavyam gAyatryAH satattvam /
   gāyatryā hi yaḥ sṛṣṭo dvijottamo niraṅkuśa evottamapuruṣārthasādhane	gAyatryA hi yaH sRzwaH dvijottamaH niraFkuSaH eva-uttama-puruza-arTa-sADane
   'dhikriyate 'tastanmūlaḥ paramapuruṣārthasaṃbandhaḥ /	aDikriyate atas-tad-mUlaH parama-puruza-arTa-saMbanDaH /
   tasmāttadupāsanavidhānāyā'ha-bhūmirantarikṣaṃ dyaurityetānyaṣṭāvakṣarāṇi /	tasmAt-tad-upAsana-viDAnAyAH-aha--BUmiH-antarikzam dyOH-iti-etAni-azwO=-akzarANi /
   aṣṭākṣaramaṣṭāvakṣarāṇi yasya tadidamaṣṭākṣaram /	azwa-akzaram-azwO=-akzarANi yasya tat-idam-azwa-akzaram /
   ha vai prasiddhāvadyotakau /	ha vE prasidDa-avadyotakO /
   ekaṃ prathamaṃ gāyatryai gāyatryāḥ padam /	ekam praTamam gAyatryE gAyatryAH padam /
   yakāreṇaivāṣṭatvapūraṇam /	yakAreNa-eva-azwatva-pUraNam /
   etadu haivaitadevāsyā gāyatryāḥ padaṃ pādaḥ prathamo	etadu ha-eva-etat-eva-asyAH gAyatryAH padam pAdaH praTamaH-
   bhūmyādilakṣaṇasrailokyātmā /	BUmi-Adi-lakzaNa-srElokya-AtmA /
   aṣṭākṣaratvasāmānyāt /	azwa-akzara-tva-sAmAnyAt /
   evametattrailokyātmakaṃ gāyatryāḥ prathamaṃ padaṃ yo	evam-etat-trElokya-Atmakam gAyatryAH praTamam padam yaH-
   vedatasyaitatphalam-sa vidvānyāvatkiñcideṣu triṣu jetavyaṃ tāvatsarvaṃ ha	vedatasya-etat-Palam-sa vidvAn-yAvat-kiQci-dezu trizu jetavyam tAvat-sarvam ha
   jayati yo 'syā etadevaṃ padaṃ veda //1//	jayati yaH asyAH etat-evam padam vedaH //1//
   START BrhUp 5,14.2	START BrhUp 5,14.2
   ṛco yajūṣi sāmānīty aṣṭāv akṣarāṇi |	RcaH yajUzi sAmAni-iti azwO akzarANi |
   aṣṭākṣaraṃ ha vā ekaṃ gāyatryai padam |	azwa-akzaram ha vE ekam gAyatryE padam |
   etad u haivāsyā etat |	etat u ha-eva-asyAH etat |
   sa yāvatīyaṃ trayī vidyā tāvad dha jayati yo 'syā etad evaṃ padaṃ veda ||	sa yAvatI-iyam trayI vidyA tAvat Da jayati yaH asyAH etat evam padam veda ||
   BrhUp_5,14.2 ||	BrhUp_5,14.2 ||
   BrhUpBh_5,14.2 tadarco yajūṃsi sāmānīti	Brhu-upBh_5,14.2 tad-A-rcaH yajUMsi sAmAni-iti
   trayīvidyānāmākṣarāṇyetānyapyaṣṭāveva tathaivāṣṭākṣaraṃ ha vā ekaṃ	trayI-vidyA-nAma-akzarANi-etAni-api-azwO=-eva taTA-eva-azwa-akzaram ha vE ekam
   gāyatryai padaṃ dvitīyametadu haivāsyā	gAyatryE padam dvitIyam-etadu ha-eva-asyA
   etadṛgyajuḥsāmalakṣaṇamaṣṭākṣaratvasāmānyādeva /	etat-RgyajuH-sAma-lakzaNam-azwa-akzara-tva-sAmAnyAt-eva /
   sa yāvatīyaṃ trayī vidyā trayyā vidyayā yāvatphalajātamāpyate tāvaddha	sa yAvatI-iyam trayI vidyA trayyA vidyayA yAvat-Pala-jAtam-Apyate tAvat-Da
   jayati yo 'syā etadgāyatryāsraividyalakṣaṇaṃ padaṃ veda //2//	jayati yaH asyAH etat-gAyatryAsrEvidya-lakzaNam padam vedaH //2//
   START BrhUp 5,14.3	START BrhUp 5,14.3
   prāṇo 'pāno vyāna ity aṣṭāv akṣarāṇi |	prANaH apAnaH vyAnaH iti azwO akzarANi |
   aṣṭākṣaraṃ ha vā ekaṃ gāyatryai padam |	azwa-akzaram ha vE ekam gAyatryE padam |
   etad u haivāsyā etat |	etat u ha-eva-asyAH etat |
   sa yāvad idaṃ prāṇi tāvad dha jayati yo 'syā etad evaṃ padaṃ veda |	sa yAvat idam prANi tAvat Da jayati yaH asyAH etat evam padam veda |
   athāsyā etad eva turīyaṃ darśataṃ padaṃ parorajā ya eṣa tapati |	aTa-asyAH etat eva turIyam darSatam padam parorajAH yaH eza tapati |
   yad vai caturthaṃ tat turīyam |	yat vE caturTam tat turIyam |
   darśataṃ padam iti dadṛśa iva hy eṣaḥ |	darSatam padam iti dadRSaH iva hi ezaH |
   parorajā iti sarvam u hy evaiṣa raja upary upari tapati |	parorajAH iti sarvam u hi eva-eza rajaH upari upari tapati |
   evaṃ haiva śriyā yaśasā tapati yo 'syā etad evaṃ padaṃ veda ||	evam ha-eva SriyA yaSasA tapati yaH asyAH etat evam padam veda ||
   BrhUp_5,14.3 ||	BrhUp_5,14.3 ||
   BrhUpBh_5,14.3 tathā prāṇo 'pāno vyāna etānyapi	Brhu-upBh_5,14.3 taTA prANaH apAnaH vyAnaH etAni-api
   prāṇādyabhidhānākṣarāṇyaṣṭau /	prANa-Adi-aBiDAna-akzarANi-azwO /
   tacca gāyatryāstṛtīyaṃ padaṃ yāvadidaṃ prāṇijātaṃ tāvaddha jayati yo 'syā	tat-ca gAyatryAstRtIyam padam yAvat-idam prANi-jAtam tAvat-ha jayati yaH asyAH-
   etadevaṃ gāyatryāstṛtīyaṃ padaṃ veda /	etat-evam gAyatryAstRtIyam padam veda /
   athānantaraṃ gāyatryāsripadāyāḥ śabdātmikāyāsturīyaṃ padamucyate	aTa-anantaram gAyatryA-asripadAyAH Sabda-AtmikAyAH-turIyam padam-ucyate
   'bhidheyabhūtamasyāḥ prakṛtāyā gāyatryā etadeva vakṣyamāmaṃ turīyaṃ	aBiDeya-BUtam-asyAH prakRtAyAH gAyatryA etat-eva vakzyam-Amam turIyam
   darśataṃ padaṃ parorajā ya eṣa tapati /	darSatam padam parorajAH yaH eza tapati /
   turīyamityādivākyapadārthaṃ svameva vyācaṣṭe śrutiḥ-yadvai caturthaṃ	turIyam-ityAdi-vAkya-padArTam svam-eva vyAcazwe SrutiH-yat-vE caturTam
   prasiddhaṃ loke tadidaṃ turīyaśabdenābhidhīyate /	prasidDam loke tat-idam turIya-Sabdena-aBiDIyate /
   darśataṃ padamityasya kor'tha ityucyate-dadṛśa iva dṛśyata iva hyeṣa	darSatam padam-iti-asya kor-aTa iti-ucyate--dadRSaH iva dRSyate iva hi-eza
   maṇḍalasthaḥ puruṣo rajo rajojātaṃ samastaṃ lokamityarthaḥ /	maNxala-sTaH puruzaH rajaH rajaH-jAtam samastam lokam-iti-arTaH /
   uparyuparyādhipatyabhāvena sarvaṃ lokaṃ rajojātaṃ tapati /	upari-upari-ADipatya-BAvena sarvam lokam rajaH-jAtam tapati /
