   pañcakramaḥ	paQcakramaH
   tatastu gurave dadyād dakṣiṇāṃ tvanurūpataḥ |	tatas-tu gurave dadyAt dakziNAm tu-anurUpataH |
   ratnaṃ gṛhaṃ vā hastyaśvaṃ grāmaṃ vā śayanāsanam || Pk_4.36 ||	ratnam gRham vA hasti-aSvam grAmam vA Sayana-Asanam || Pk_4.36 ||
   dāsaṃ dāsīṃ priyāṃ bhāryāṃ putrīṃ cāpyativarṇabhām |	dAsam dAsIm priyAm BAryAm putrIm ca-api-ativarNa-BAm |
   ātmānaṃ cāpi yaddadyāt kimanyadavaśiṣyate || Pk_4.37 ||	AtmAnam ca-api yat-dadyAt kim-anyat-avaSizyate || Pk_4.37 ||
   prāptācāryaprasādo vimaladṛḍhamatiḥ sarvabhāvasvabhāvaḥ	prApta-AcArya-prasAdaH vimala-dRXa-matiH sarva-BAva-svaBAvaH
   svacchaṃ śuddhaṃ susūkṣmaṃ paramaśivamayaṃ buddhanirvāṇadhātum |	svacCam SudDam su-sUkzmam parama-Siva-mayam budDa-nirvANa-DAtum |
   nirdvandvaṃ nirvikalpaṃ satatasukhamayaṃ bhāvayet tattvayogī	nirdvandvam nirvikalpam satata-suKa-mayam BAvayet tattva-yogI
   puṇyāpuṇyād vimuktaḥ svayamiha bhagavān jāyate vajrasattvaḥ || Pk_4.38 ||	puNya-apuNyAt vimuktaH svayam-iha BagavAn jAyate vajra-sattvaH || Pk_4.38 ||
   | paramarahasyasukhābhisambodhikramaścaturthaḥ samāptaḥ ||	| parama-rahasya-suKa-aBisamboDi-kramaH-caturTaH samAptaH ||
   kṛtiriyam ācāryanāgārjunapādānām |	kRtiH-iyam AcArya-nAgArjuna-pAdAnAm |
   granthapramāṇamasya ślokāścatvāriṃśat |	granTa-pramANam-asya SlokAH-catvAriMSat |
   yuganaddhakramaḥ pañcamaḥ	yuga-nadDa-kramaH paQcamaH
   namaḥ śrīvajradharāya	namaH SrI-vajraDarAya
   phalahetvātmakaṃ nāthaṃ sarvadvandvavivarjitam |	Pala-hetu-Atmakam nATam sarva-dvandva-vivarjitam |
   praṇamya likhyate samyag yuganaddhakramottamaḥ || Pk_5.1 ||	praNamya liKyate samyak yuga-nadDa-krama-uttamaH || Pk_5.1 ||
   saṃsāro nirvṛtiśceti kalpanādvayavarjanāt |	saMsAraH nirvRtiH-ca-iti kalpanA-dvaya-varjanAt |
   ekībhāvo bhaved yatra yuganaddhaṃ taducyate || Pk_5.2 ||	ekIBAvaH Bavet yatra yuga-nadDam tat-ucyate || Pk_5.2 ||
   saṅkleśaṃ vyavadānaṃ ca jñātvā tu paramārthataḥ |	saFkleSam vyavadAnam ca jQAtvA tu paramArTataH |
   ekībhāvaṃ tu yo vettiṃ sa vetti yuganaddhakam || Pk_5.3 ||	ekIBAvam tu yaH vettim sa vetti yuganadDakam || Pk_5.3 ||
   sākārabhāvasaṅkalpaṃ nirākāratvakalpanām |	sa-AkAra-BAva-saFkalpam nirAkAra-tva-kalpanAm |
   ekīkṛtya cerad yogī sa vetti yuganaddhakam || Pk_5.4 ||	ekIkRtya cerat yogI sa vetti yuganadDakam || Pk_5.4 ||
   grāhyaṃ ca grāhakaṃ caiva dvidhā buddhirna vidyate |	grAhyam ca grAhakam ca-eva dviDA budDiH-na vidyate |
   abhinnatā bhaved yatra tadāha yuganaddhakam || Pk_5.5 ||	aBinnatA Bavet yatra tat-Aha yuganadDakam || Pk_5.5 ||
   śāśvatocchedabuddhī tu yaḥ prahāya pravartate |	SASvata-ucCeda-budDI tu yaH prahAya pravartate |
   yuganaddhakramākhyaṃ vai tattvaṃ vetti sa paṇḍitaḥ || Pk_5.6 ||	yuganadDakrama-AKyam vE tattvam vetti sa paNxitaH || Pk_5.6 ||
   prajñākaruṇayoraikyaṃ jñātvā yatra pravartate |	prajQA-karuNayoH-Ekyam jQAtvA yatra pravartate |
   yuganaddha iti khyātaḥ kramo 'yaṃ buddhagocaraḥ || Pk_5.7 ||	yuganadDaH iti KyAtaH kramaH ayam budDa-gocaraH || Pk_5.7 ||
   prajñopāyasamāpattyā jñātvā sarvaṃ samāsataḥ |	prajQA-upAya-samApattyA jQAtvA sarvam samAsatas |
   yatra sthito mahāyogī tad bhaved yuganaddhakam || Pk_5.8 ||	yatra sTitaH mahA-yogI tat Bavet yuganadDakam || Pk_5.8 ||
   yatra sopadhiśeṣaṃ ca tathānupadhiśeṣakam |	yatra sa-upaDi-Sezam ca taTA-anupaDi-Sezakam |
   ityevaṃ kalpanā nāsti tat taddhi yuganaddhakam || Pk_5.9 ||	iti-evam kalpanA na-asti tat tat-hi yuganadDakam || Pk_5.9 ||
   yatra pudgalanairātmyaṃ dharmanairātmyamityapi |	yatra pudgala-nErAtmyam Darma-nErAtmyam-iti-api |
   kalpanāyā viviktatvaṃ yuganaddhasya lakṣaṇam || Pk_5.10 ||	kalpanAyAH vivikta-tvam yuga-nadDasya lakzaNam || Pk_5.10 ||
   jñātvā krameṇa tattvajñaḥ svādhiṣṭhānaprabhāsvaram |	jQAtvA krameNa tattva-jQaH svADizWAna-praBAsvaram |
   tayoreva samājaṃ yad yuganaddhakramo hyayam || Pk_5.11 ||	tayoH-eva samAjam yat yuga-nadDa-kramaH hi-ayam || Pk_5.11 ||
   piṇḍagrāhanubhedābhyāṃ praveśastathatālaye |	piNxa-grAha-nuBedAByAm praveSaH-taTatA-Alaye |
   utthānaṃ ca tato yatra samantād yuganaddhakam || Pk_5.12 ||	utTAnam ca tatas yatra samantAt yuganadDakam || Pk_5.12 ||
   saṃvṛtiṃ paramārthaṃ ca pṛthag jñātvā vibhāgataḥ |	saMvRtim parama-arTam ca pRTak jQAtvA viBAgataH |
   saṃmīlanaṃ bhaved yatra yuganaddhaṃ taducyate || Pk_5.13 ||	saMmIlanam Bavet yatra yuga-nadDam tat-ucyate || Pk_5.13 ||
   tathātalambanaṃ naiva vyutthānaṃ yatra naiva hi |	taTA-Ata-lambanam na-eva vyutTAnam yatra na-eva hi |
   yuganaddhaṃ bhavet tacca yogināṃ padamavyayam || Pk_5.14 ||	yuga-nadDam Bavet tat-ca yoginAm padam-avyayam || Pk_5.14 ||
   suptaḥ prabuddha ityetadavasthādvayavarjitam |	suptaH prabudDaH iti-etad-avasTA-dvaya-varjitam |
   yuganaddhaṃ vadecchāstā svāpabodhavivarjitam || Pk_5.15 ||	yuga-nadDam vadet-SAstA svApa-boDa-vivarjitam || Pk_5.15 ||
   samādhānāsamādhānaṃ yasya nāstyeva sarvathā |	samADAna-asamADAnam yasya na-asti-eva sarvaTA |
   yuganaddhe sthito yogī bhāvābhāvavivarjitaḥ || Pk_5.16 ||	yuga-nadDe sTitaH yogI BAva-aBAva-vivarjitaH || Pk_5.16 ||
   asmṛtismṛtinirmuktaḥ satatodayalakṣaṇaḥ |	asmRti-smRti-nirmuktaH satata-udaya-lakzaNaH |
   vicaredicchayā yogī yuganaddhakrame sthitaḥ || Pk_5.17 ||	vicaret-icCayA yogI yuganadDa-krame sTitaH || Pk_5.17 ||
   rāgārāgavinirmuktaḥ paramānandamūrtimān |	rAga-arAga-vinirmuktaH parama-Ananda-mUrtimAn |
   āsaṃsāraṃ sthitiṃ kuryād yuganaddhavibhāvakaḥ || Pk_5.18 ||	AsaMsAram sTitim kuryAt yuga-nadDa-viBAvakaH || Pk_5.18 ||
   kāryaṃ ca kāraṇaṃ caiva kṛtvābhinnaṃsvabhāvataḥ |	kAryam ca kAraNam ca-eva kRtvA-aBinnaMsvaBAvataH |
   yā sthitiryogināṃ buddhā yuganaddhaṃ vadanti tat || Pk_5.19 ||	yA sTitiH-yoginAm budDAH yuga-nadDam vadanti tat || Pk_5.19 ||
   utpattikrama eko 'yam utpannakrama ityapi |	utpatti-kramaH ekaH ayam utpanna-kramaH iti-api |
   ekatvaṃ tu dvayoryatra yuganaddhastaducyate || Pk_5.20 ||	eka-tvam tu dvayoH-yatra yuganadDaH-tat-ucyate || Pk_5.20 ||
   devatā pariśuddheyam aśuddheyaṃ bhavediti |	devatA pariSudDA-iyam aSudDA-iyam Bavet-iti |
   iti yā kalpanābhinnā yatra tad yuganaddhakam || Pk_5.21 ||	iti yA kalpanA-BinnAH yatra tat yuganadDakam || Pk_5.21 ||
   rūpīti cāpyarūpīti kalpanādvayavarjanāt |	rUpI-iti ca-api-arUpI-iti kalpanA-dvaya-varjanAt |
   yaḥśāntiṃ vetti yogīndraḥ sa prāpto yuganaddhakam || Pk_5.22 ||	yaH-SAntim vetti yogi-indraH sa prAptaH yuganadDakam || Pk_5.22 ||
   evaṃ vai yaḥ sthito yogī yuganaddhakrame sthitaḥ |	evam vE yaH sTitaH yogI yuganadDa-krame sTitaH |
   ucyate sa hi sarvajñaḥ tattvadarśī ca viśvadhṛk || Pk_5.23 ||	ucyate sa hi sarvajQaH tattva-darSI ca viSvaDRk || Pk_5.23 ||
   māyājālābhisambuddhaḥ saṃsārārṇavapāragaḥ |	mAyA-jAlA-aBisambudDaH saMsAra-arNava-pAragaH |
   kṛtakṛtyo mahāyogī satyadvayanaye sthitaḥ || Pk_5.24 ||	kRtakRtyaH mahA-yogI satya-dvaya-naye sTitaH || Pk_5.24 ||
   etadevādvayaṃ jñānam apratiṣṭhitanirvṛtiḥ |	etat-eva-advayam jQAnam apratizWita-nirvRtiH |
   buddhatvaṃ vajrasattvatvaṃ sarvaiśvaryaṃ tathaiva ca || Pk_5.25 |	budDa-tvam vajra-sattva-tvam sarva-ESvaryam taTA-eva ca || Pk_5.25 |
   vajropamasamādhistu niṣpannakrama eva ca |	vajra-upama-samADiH-tu nizpanna-kramaH eva ca |
   vajropamasamādhiścāpyadvayaṃ tacca kathyate || Pk_5.26 ||	vajra-upama-samADiH-ca-api-advayam tat-ca kaTyate || Pk_5.26 ||
   anutpādādayaḥ śabdā advayajñānasūcakāḥ |	anutpAda-AdayaH SabdAH advaya-jQAna-sUcakAH |
   asyaiva vācakāḥ sarve nānyat tatrābhidhīyate || Pk_5.27 ||	asya-eva vAcakAH sarve na-anyat tatra-aBiDIyate || Pk_5.27 ||
   mahāmudrātmikāṃ siddhiṃ sadasatpakṣavarjitām |	mahAmudrA-AtmikAm sidDim sat-asat-pakza-varjitAm |
   anenaiva gatā buddhā gaṅgāyāḥ sikatopamāḥ || Pk_5.28 ||	anena-eva gatAH budDAH gaFgAyAH sikatA-upamAH || Pk_5.28 ||
   ghaṭamāno mahāyogī yuganaddhapade sthitaḥ |	GawamAnaH mahA-yogI yuga-nadDa-pade sTitaH |
   bhāvayed yuganaddhaṃ tu caryāṃ cāpi tadanvayām || Pk_5.29 ||	BAvayet yuga-nadDam tu caryAm ca-api tad-anvayAm || Pk_5.29 ||
   yathātmani tathā śatrau yathā bhāryā tathātmajā |	yaTA-Atmani taTA SatrO yaTA BAryA taTA-AtmajAH |
   yathā mātā tathā vaiśyā yathā ḍombī tathā dvijā || Pk_5.30 ||	yaTA mAtA taTA vESyA yaTA xombI taTA dvijAH || Pk_5.30 ||
   yathā vastraṃ tathā carma yathā ratnaṃ tathā tuṣam |	yaTA vastram taTA carma yaTA ratnam taTA tuzam |
   yathā mūtraṃ tathā madyaṃ yathā bhaktaṃ tathā śakṛt || Pk_5.31 ||	yaTA mUtram taTA madyam yaTA Baktam taTA SakRt || Pk_5.31 ||
   yathā sugandhi karpūraṃ tathā gandhamamedhyajam |	yaTA suganDi karpUram taTA ganDam-ameDya-jam |
   yathā stutikaraṃ vākyaṃ tathā vākyaṃ jugupsitam || Pk_5.32 ||	yaTA stuti-karam vAkyam taTA vAkyam jugupsitam || Pk_5.32 ||
   yathā rudrastathā vajrī yathā rātrīstathā divā |	yaTA rudraH-taTA vajrI yaTA rAtrIH-taTA divA |
   yathā svapnaṃ tathā dṛṣṭaṃ yathā naṣṭaṃ tathā sthitam || Pk_5.33 ||	yaTA svapnam taTA dRzwam yaTA nazwam taTA sTitam || Pk_5.33 ||
   yathā saukhyaṃ tathā duḥkhaṃ yathā duṣṭastathā sutaḥ |	yaTA sOKyam taTA duHKam yaTA duzwaH-taTA sutaH |
   yathāvīcistathā svargastathā puṇyaṃ tu pāpakam || Pk_5.34 ||	yaTAvIciH-taTA svargaH-taTA puNyam tu pApakam || Pk_5.34 ||
   evaṃ jñātvā cared jñānī nirviśaṅkastu sarvakṛt |	evam jQAtvA caret jQAnI nirviSaFkaH-tu sarva-kRt |
   pracchannavratamāsādya sidhyante sarvasampadaḥ || Pk_5.35 ||	pracCanna-vratam-AsAdya siDyante sarva-sampadaH || Pk_5.35 ||
   prakāśya puṇyaṃ yat prāptaṃ pañcakramamanuttaram |	prakASya puNyam yat prAptam paQcakramam-anuttaram |
   anena krīḍatāṃ loko yuganaddhasamādhinā || iti || Pk_5.36 ||	anena krIxatAm lokaH yuga-nadDa-samADinA || iti || Pk_5.36 ||
   yuganaddhakramaḥ pañcamaḥ samāptaḥ ||	yuga-nadDa-kramaH paQcamaH samAptaH ||
   kṛtiriyam ācāryanāgārjunapādānām | granthapramāṇamasya ślokāḥ pañcatriṃśat	kRtiH-iyam AcArya-nAgArjuna-pAdAnAm | granTa-pramANam-asya SlokAH paQcatriMSat-
   || pañcakramaḥ samāptaḥ ||	|| paQcakramaH samAptaH ||
   prajñākaruṇayoraikyaṃ jñātvā yatra pravartate |	prajQA-karuNayoH-Ekyam jQAtvA yatra pravartate |
   yuganaddha iti khyātaḥ kramo 'yaṃ buddhagocaraḥ ||	yuganadDaH iti KyAtaH kramaH ayam budDa-gocaraH ||
   (pañcakramaḥ, 5-7)	(paQcakramaH, 5-7)
   atyudgāḍharayasthirākṛtighanadhvānabhramanmandara-	ati-udgAXa-raya-sTira-AkRti-Gana-DvAna-Braman-mandara-
   kṣubdhadhīradhivīcisañcayagataprāleyapādopamaḥ |	kzubDa-DIraDi-vIci-saQcaya-gata-prAleya-pAda-upamaH |
   śrīmatpotalake gabhīravivṛtidhvānapratidhvānite	SrImat-potalake gaBIra-vivRti-DvAna-pratiDvAnite
   sāndrasvāṃśucayaśriyā valayito lokeśvaraḥ pātu vaḥ ||	sAndra-sva-aMSu-caya-SriyA valayitaH loka-ISvaraH pAtu vaH ||
   (subhāṣitaratnakośe vidyākaraḥ)	(suBAzita-ratna-koSe vidyAkaraH)
   na satyā nāsatyā na ca tadubhayī nāpyanubhayī	na satyA na-asatyA na ca tad-uBayI na-api-anuBayI
   nirullekhā sarvākṛtivaramayī madhyamakadhīḥ |	nirulleKA sarva-AkRti-vara-mayI maDyamakaDIH |
   jinaḥ śāstā saiva sthira-calajagattattvamapi sā	jinaH SAstA sA-eva sTira-cala-jagat-tattvam-api sA
   svasaṃvittirdevī jayati sukhavajrapraṇayinī ||	sva-saMvittiH-devI jayati suKa-vajra-praNayinI ||
   (amṛtakaṇikābhidhāyāṃ nāmasaṃgītiṭikāyām, raviśrīḥ)	(amRta-kaNikA-aBiDAyAm nAma-saMgItiwikAyAm, ravi-SrIH)
   ye dharmā hetuprabhavā hetusteṣāṃ tathāgato hyavadat |	ye DarmAH hetu-praBavAH hetuH-tezAm taTAgataH hi-avadat |
   teṣāṃ ca yo nirodha evaṃvādī mahāśramaṇaḥ ||	tezAm ca yaH niroDaH evaMvAdI mahA-ASramaNaH ||
   śubhamastu	SuBam-astu
