   akramaḥ kṛṣṇa pūjyante JCand_2.27c	akramaH kRzNa pUjyante JCand-_2.27c
   rūpyaṃ rūpakamadhyagam JCand_5.46b	rUpyam rUpaka-maDya-gam JCand-_5.46b
   rephākrāntā vargyayaṇāṣ JCand_6.24a	rePa-AkrAntAH vargyayaNAH JCand-_6.24a
   re re svairiṇi nirvicārakavite māsmat prakāśībhava JCand_1.2b	re re svEriNi nirvicAra-kavite mA-asmat prakASIBava JCand-_1.2b
   ropāt sopādhirūpakam JCand_5.19b	ropAt sa-upADirUpakam JCand-_5.19b
   romāñcādyanubhāvo 'yaṃ JCand_6.12c	romAQca-Adi-anuBAvaH ayam JCand-_6.12c
   lakāraś ca lasaṃyukto JCand_6.23c	lakAraH ca lasaMyuktaH JCand-_6.23c
   lakāro 'nyair asaṃyukto JCand_6.26a	lakAraH anyEH asaMyuktaH JCand-_6.26a
   lakṣakasthaṃ sphuṭaṃ yatra JCand_9.5a	lakzaka-sTam sPuwam yatra JCand-_9.5a
   lakṣaṇā sā tridhā siddha- JCand_9.2c	lakzaNA sA triDA sidDa JCand-_9.2c
   lakṣaṇīyasvaśabdasya JCand_9.2a	lakzaNIya-sva-Sabdasya JCand-_9.2a
   lakṣitāny udite candre JCand_5.35c	lakzitAni udite candre JCand-_5.35c
   lakṣmīr ullasati dvayoḥ JCand_5.11b	lakzmIH ullasati dvayoH JCand-_5.11b
   lakṣyalakṣakaniṣṭhatvād JCand_9.4c	lakzya-lakza-kanizWa-tvAt JCand-_9.4c
   lakṣyalakṣakavaiśiṣṭya- JCand_9.14a	lakzya-lakzaka-vESizwya JCand-_9.14a
   lakṣyasthatvam amuṣya ca JCand_9.5d	lakzya-sTa-tvam amuzya ca JCand-_9.5d
   lakṣyastham atihṛdyatā JCand_9.8b	lakzya-sTam ati-hRdyatA JCand-_9.8b
   lakṣyālakṣyakramātmakau JCand_7.4b	lakzya-alakzya-krama-AtmakO JCand-_7.4b
   laghavo ghabhadhā rasau JCand_6.26b	laGavaH GaBaDA rasO JCand-_6.26b
   lalanā rabhasaṃ dhatte JCand_6.28c	lalanAH raBasam Datte JCand-_6.28c
   lalitāyāṃ tathā śeṣā JCand_6.26c	lalitAyAm taTA SezAH JCand-_6.26c
   lasadghanarasātmanā JCand_4.5b	lasat-Gana-rasa-AtmanA JCand_4.5b
   lāṭānuprāsabhūr bhinnā- JCand_5.4a	lAwa-anuprAsa-BUH BinnA JCand-_5.4a
   liṅge ceyam alaṅkārā- JCand_9.16c	liFge ca-iyam alaFkArA JCand-_9.16c
   liptaṃ bhinnam uraḥ śaraiḥ JCand_8.4d	liptam Binnam uraH SarEH JCand-_8.4d
   līlā bālākucasthale JCand_5.45d	lIlA bAlAkuca-sTale JCand-_5.45d
   līlāṃ nīlāmbujanmanoḥ JCand_5.15d	lIlAm nIla-ambujan-manoH JCand-_5.15d
   lekhā cārukarālikā JCand_5.10b	leKA cAru-karAlikA JCand-_5.10b
   locanāntam udañcaya JCand_4.9d	locana-antam udaQcaya JCand-_4.9d
   vaktuḥ kavinibaddhasya JCand_7.8a	vaktuH kavi-nibadDasya JCand-_7.8a
   vaktṛsyūtaṃ caturvidham JCand_7.15b	vaktR-syUtam caturviDam JCand-_7.15b
   vaktṛsyūtaṃ bodhayituṃ JCand_7.13a	vaktR-syUtam boDayitum JCand-_7.13a
   vaktraṃ kenopamīyate JCand_2.31b	vaktram kena-upamIyate JCand_2.31b
   vaktreṇa bhrājate rātriḥ JCand_2.25c	vaktreNa BrAjate rAtriH JCand-_2.25c
   vakroktiḥ śleṣakākubhyāṃ JCand_5.110a	vakroktiH SlezakAkuByAm JCand-_5.110a
   vadantī lakṣaṇā matā JCand_9.1d	vadantI lakzaNA matA JCand-_9.1d
   vanitā mama cetasi JCand_2.36d	vanitA mama cetasi JCand-_2.36d
   vayasya paśya paśyāsyāś JCand_4.6c	vayasya paSya paSya-asyAH JCand-_4.6c
   vargasthāḥ pañcamair nijaiḥ JCand_6.23b	varga-sTAH paQcamEH nijEH JCand-_6.23b
   varṇavākyapadeṣv api JCand_7.9d	varNa-vAkya-padezu api JCand-_7.9d
   varṇādyais tulyatātha vā JCand_4.4b	varNa-AdyEH tulya-tA-aTa vA JCand-_4.4b
   varṇāvṛttir yadi dhruvā JCand_5.5b	varNa-AvRttiH yadi DruvA JCand-_5.5b
   valayo 'bhavad ūrmikā JCand_5.43d	valayaH aBavat UrmikA JCand-_5.43d
   vallabhādivibhāvitaḥ JCand_6.4b	vallaBa-Adi-viBAvitaH JCand_6.4b
   vastuyogena saṃjñayā JCand_10.2b	vastu-yogena saMjQayA JCand-_10.2b
   vastu vastu vyanakti tat JCand_7.7d	vastu vastu vyanakti tat JCand-_7.7d
   vastusambandhavarṇanam JCand_5.80b	vastu-sambanDa-varNanam JCand-_5.80b
   vastv anyakriyam ucyate JCand_5.85b	vastu anya-kriyam ucyate JCand-_5.85b
   vastvalaṅkārayor vyakter JCand_7.6a	vastu-alaFkArayoH vyakteH JCand-_7.6a
   -vahitthādyaiḥ samanvitaḥ JCand_6.6d	-vahitTa-AdyEH samanvitaH JCand-_6.6d
   vākyayor arthasāmānye JCand_5.54a	vAkyayoH arTa-sAmAnye JCand-_5.54a
   vākyaṃ ca khaṇḍavākyaṃ ca JCand_1.14c	vAkyam ca KaNxa-vAkyam ca JCand-_1.14c
   vākyāny ekārthaviśrāntāny JCand_1.15c	vAkyAni eka-arTa-viSrAntAni JCand-_1.15c
   vākyārthayoḥ sadṛśayor JCand_5.57a	vAkya-arTayoH sadRSayoH JCand-_5.57a
   vākyārthastabake tathā JCand_5.121b	vAkya-arTa-stabake taTA JCand-_5.121b
   vākye vākyakadambake JCand_2.39b	vAkye vAkya-kadambake JCand-_2.39b
   vāci mānti na te guṇāḥ JCand_5.82d	vAci mAnti na te guNAH JCand-_5.82d
   vācyavācakabhāvataḥ JCand_9.9b	vAcya-vAcaka-BAvataH JCand-_9.9b
   vācyārthāntarakalpanam JCand_5.110b	vAcya-arTa-antara-kalpanam JCand-_5.110b
   vāñchitād adhikaprāptir JCand_5.49a	vAQCitAt aDika-prAptiH JCand-_5.49a
   vikalpas tulyabalayor JCand_5.95a	vikalpaH tulya-balayoH JCand-_5.95a
   vikṛtaṃ dūravivṛtair JCand_2.19c	vikRtam dUra-vivRtEH JCand-_2.19c
   vikhyātasyopamānasya JCand_5.14a	viKyAtasya-upamAnasya JCand-_5.14a
   vicitralakṣaṇo nyāso JCand_4.12a	vicitra-lakzaNaH nyAsaH JCand-_4.12a
   vicitraṃ cet prayatnaḥ syād JCand_5.81a	vicitram ced prayatnaH syAt JCand-_5.81a
   vicitrārthāntarānvayāt JCand_3.9b	vicitra-arTa-antara-anvayAt JCand-_3.9b
   vijñeyā pūrvarūpatā JCand_5.102b	vijQeyA pUrva-rUpa-tA JCand-_5.102b
   vijñeyā vyabhicāriṇaḥ JCand_6.18b	vijQeyAH vyaBicAriNaH JCand-_6.18b
   vidagdhahṛdayaṅgamam JCand_4.11b	vidagDa-hRdayaFgamam JCand-_4.11b
   viduḥ sphuṭaṃ taṭasthatvād JCand_9.3c	viduH sPuwam tawasTa-tvAt JCand-_9.3c
   vidyā sthirataraṃ dhanam JCand_9.14d	vidyA sTirataram Danam JCand-_9.14d
   vidyā hṛdyāpi sāvadyā JCand_5.60c	vidyA hRdyA-api sAvadyA JCand-_5.60c
   vidvajjanamanoramam JCand_2.24d	vidvat-jana-manoramam JCand-_2.24d
   vidham ābhāsarūpakam JCand_5.21b	viDam ABAsa-rUpakam JCand-_5.21b
   vināpy ādheyavarṇanam JCand_5.84b	vinA-api ADeya-varNanam JCand-_5.84b
   vinā saṃcāribhir yutaḥ JCand_6.4d	vinA saMcAriBiH yutaH JCand-_6.4d
   vinoktiś ced vinā kiṃcit JCand_5.60a	vinA-uktiH ced vinA kiMcid JCand-_5.60a
   vipakṣanṛpasadmasu JCand_5.69d	vipakza-nRpa-sadmasu JCand-_5.69d
   viparītaphalapradaḥ JCand_5.81b	viparIta-Pala-pradaH JCand-_5.81b
   vibhaktyantaṃ padaṃ vākyaṃ JCand_1.13c	viBakti-antam padam vAkyam JCand-_1.13c
   vibhaktyutpattaye yogyaḥ JCand_1.9a	viBakti-utpattaye yogyaH JCand-_1.9a
   vibhāti vidhumaṇḍalam JCand_5.44d	viBAti viDu-maNxalam JCand-_5.44d
   vibhāvadyair yathākramam JCand_6.6b	viBAvadyEH yaTAkramam JCand-_6.6b
   vibhāvanā vināpi syāt JCand_5.76a	viBAvanA vinA-api syAt JCand-_5.76a
   vibhāvaḥ kāraṇaṃ dvidhā JCand_6.1b	viBAvaH kAraNam dviDA JCand-_6.1b
   vibhāvādyā yathākramam JCand_6.11b	viBAva-AdyAH yaTAkramam JCand-_6.11b
   vibhāvādyair yutaḥ śoka- JCand_6.7c	viBAva-AdyEH yutaH Soka JCand-_6.7c
   vibhāvādyair vibhāvitaḥ JCand_6.3b	viBAva-AdyEH viBAvitaH JCand-_6.3b
   vibhāvādyaiḥ samanvitaḥ JCand_6.8b	viBAva-AdyEH samanvitaH JCand-_6.8b
   viruddhamatikṛn matam JCand_2.14b	virudDam-ati-kRt matam JCand-_2.14b
   viruddhaṃ cyutasaṃskṛti JCand_2.2d	virudDam cyuta-saMskRti JCand-_2.2d
   viruddhaṃ dvividhaṃ matam JCand_2.34d	virudDam dviviDam matam JCand-_2.34d
   viruddhānyonyasaṃgatī JCand_2.37b	virudDa-anyonya-saMgatI JCand-_2.37b
   viruddho 'doṣatāṃ gataḥ JCand_2.43d	virudDaH adoza-tAm gataH JCand-_2.43d
   virodhaś cāturīyutaḥ JCand_5.95b	viroDaH cAturIyutaH JCand-_5.95b
   virodhābhāsatā matā JCand_5.74b	viroDa-ABAsa-tA matA JCand-_5.74b
   virodho 'nupapattiś ced JCand_5.73a	viroDaH anupapattiH ced JCand-_5.73a
   viveśa svarganimnagām JCand_5.30d	viveSa svarga-nimnagAm JCand-_5.30d
   viśanti viśikhaprāyāḥ JCand_2.13c	viSanti viSiKa-prAyAH JCand-_2.13c
   viśanti hṛdayaṃ kāntā- JCand_2.29c	viSanti hRdayam kAntA JCand-_2.29c
   viśann api raver madhyaṃ JCand_5.104c	viSan api raveH maDyam JCand-_5.104c
   viśālalocane! paśyā- JCand_2.17c	viSAla-locane! paSyA JCand-_2.17c
   viśeṣaparivartanāt JCand_1.12b	viSeza-parivartanAt JCand-_1.12b
   viśeṣaparivṛttiḥ syād JCand_2.36c	viSeza-parivRttiH syAt JCand-_2.36c
   viśeṣaḥ khyātam ādhāraṃ JCand_5.84a	viSezaH KyAtam ADAram JCand-_5.84a
   viśeṣāder asau matā JCand_5.65d	viSeza-AdeH asO matA JCand-_5.65d
   viśeṣāḥ sa vikasvaraḥ JCand_5.68b	viSezAH sa vikasvaraH JCand-_5.68b
   viśeṣoktir anutpattiḥ JCand_5.77a	viSeza-uktiH anutpattiH JCand-_5.77a
   viṣamaṃ yady anaucityād JCand_5.79a	vizamam yadi anOcityAt JCand-_5.79a
   visandhir nṛpatī imau JCand_2.16d	visanDiH nRpatI imO JCand-_2.16d
   visarga iha tat tathā JCand_2.16b	visargaH iha tat taTA JCand-_2.16b
   vismṛtaḥ kim apāṃnātha JCand_8.3c	vismRtaH kim apAMna-aTa JCand-_8.3c
   vīpsotsarpanmukhāgrārdraṃ JCand_6.28a	vIpsA-utsarpat-muKa-agra-Ardram JCand-_6.28a
   vīro 'nubhāvaiḥ sthairyādyair JCand_6.9c	vIraH anuBAvEH sTErya-AdyEH JCand-_6.9c
   vṛttibhedais tribhir yuktā JCand_7.1a	vRtti-BedEH triBiH yuktA JCand-_7.1a
   vṛttir vāk kāvyanāmabhāk JCand_1.7d	vRttiH vAc kAvya-nAma-BAj JCand-_1.7d
   vṛttyanuprāsavad vacaḥ JCand_5.3b	vRtti-anuprAsa-vat vacaH JCand-_5.3b
   vṛttyā nirdeśaśabdo 'yaṃ JCand_10.4c	vRttyA nirdeSa-SabdaH ayam JCand-_10.4c
   vedyamānā nigadyante JCand_6.14c	vedyamAnAH nigadyante JCand-_6.14c
   vepitādyanubhāvabhṛt JCand_6.10b	vepita-Adi-anuBAva-BRt JCand-_6.10b
   vaicitryaṃ cārutāvaham JCand_4.6b	vEcitryam cAru-ta-Avaham JCand-_4.6b
   vaidarbhī ca yathāsaṃkhyaṃ JCand_6.22c	vEdarBI ca yaTAsaMKyam JCand-_6.22c
   vaiparītyāt kriyānvayāt JCand_9.10b	vEparItyAt kriyA-anvayAt JCand-_9.10b
   vairūpyaphullagaṇḍatvā- JCand_6.6c	vErUpya-Pulla-gaNxa-tvA JCand-_6.6c
   vailakṣaṇyaṃ prativyakti JCand_5.123c	vElakzaNyam prativyakti JCand-_5.123c
   vaiśiṣṭyād dvividhā punaḥ JCand_9.14b	vESizwyAt dviviDA punar JCand-_9.14b
   vyaktir eva kvacid vyaṅgyaḥ JCand_8.2a	vyaktiH eva kvacid vyaFgyaH JCand-_8.2a
   vyaktivallī vijṛmbhate JCand_7.16d	vyaktivallI vijRmBate JCand-_7.16d
   vyaṅgyam aṅgīkṛtaṃ budhaiḥ JCand_8.10d	vyaFgyam aFgIkRtam buDEH JCand-_8.10d
   vyaṅgyam āpatitaṃ tridhā JCand_8.1d	vyaFgyam Apatitam triDA JCand-_8.1d
   vyaṅgyaṃ vaktur abhīpsitam JCand_7.13b	vyaFgyam vaktuH aBIpsitam JCand-_7.13b
   vyatiriktam alaṅkāraṃ JCand_4.11c	vyatiriktam alaFkAram JCand-_4.11c
   vyatireko viśeṣaś ced JCand_5.58a	vyatirekaH viSezaH ced JCand-_5.58a
   vyanakty anucitārthaṃ yat JCand_2.5a	vyanakti anucita-arTam yat JCand-_2.5a
   vyāghrādibhir vibhāvais tu JCand_6.10a	vyAGra-AdiBiH viBAvEH tu JCand-_6.10a
   vyājādyair nihnave padaiḥ JCand_5.28b	vyAja-AdyEH nihnave padEH JCand-_5.28b
   vyājoktiḥ śaṅkamānasya JCand_5.109a	vyAja-uktiH SaFkamAnasya JCand-_5.109a
   vyāpārād vastuto 'tha vā JCand_3.10b	vyApArAt vastutas aTa vA JCand-_3.10b
   vyāpāro vyañjanātmakaḥ JCand_7.2d	vyApAraH vyaQjana-AtmakaH JCand-_7.2d
   vyāhataś cedvirodhaḥ syān JCand_2.30c	vyAhataH ced-viroDaH syAt JCand-_2.30c
   vyūhāmandohadohadā JCand_5.2b	vyUhAmandoha-doha-dA JCand-_5.2b
   vyomagaṅgāsaroruham JCand_5.24d	vyomagaFgA-saroruham JCand-_5.24d
   vrīḍā capalatā harṣa JCand_6.16a	vrIxA capala-tA harza JCand-_6.16a
   śaktijanmā sphuṭakramāt JCand_7.5b	Sakti-janmA sPuwa-kramAt JCand-_7.5b
   śaktitaḥ sā caturvidhā JCand_9.6b	SaktitaH sA caturviDA JCand-_9.6b
   śaṅkayā tathyanirṇaye JCand_5.26b	SaFkayA taTya-nirNaye JCand-_5.26b
   śaṅkayā tathyanihnave JCand_5.27b	SaFkayA taTya-nihnave JCand-_5.27b
   śatrukaṇṭhāntikāśritā JCand_5.10d	Satru-kaNWa-antika-ASritA JCand-_5.10d
   śatruṃ mitraṃ dviṣatpakṣaṃ JCand_5.91c	Satrum mitram dvizat-pakzam JCand-_5.91c
   śatroḥ pakṣe parākramaḥ JCand_5.98b	SatroH pakze parAkramaH JCand-_5.98b
   śabalatvam iti trayaḥ JCand_5.117b	Sabala-tvam iti trayaH JCand-_5.117b
   śabdanirvāhahīnatā JCand_2.27b	Sabda-nirvAha-hIna-tA JCand-_2.27b
   śabdas tām abhidhāṃ viduḥ JCand_10.1d	SabdaH tAm aBiDAm viduH JCand-_10.1d
   śabdārthayoḥ prasiddhyā vā JCand_5.1a	Sabda-arTayoH prasidDyA vA JCand-_5.1a
   śabdārthāv analaṃkṛtī JCand_1.8b	Sabda-arTO analaMkRtI JCand-_1.8b
   śabdārthobhayabhūr ekaḥ JCand_7.9a	Sabda-arTa-uBaya-BUH ekaH JCand-_7.9a
   śabde padārthe vākyārthe JCand_5.121a	Sabde padArTe vAkya-arTe JCand-_5.121a
   śabde padārthe vākyārthe JCand_9.16a	Sabde padArTe vAkya-arTe JCand-_9.16a
   śabde puṃlliṅgatādikam JCand_2.3b	Sabde puMlliFga-tA-Adikam JCand-_2.3b
   śabde 'rthe ca kṛtonmeṣaṃ JCand_2.1c	Sabde arTe ca kRta-unmezam JCand-_2.1c
   śabdair bandhaḥ sukhāvahaḥ JCand_4.1d	SabdEH banDaH suKa-AvahaH JCand-_4.1d
   śaśī bhāti triyāmayā JCand_5.83d	SaSI BAti tri-yAmayA JCand-_5.83d
   śāstrāntararahasyoktiḥ JCand_4.12c	SAstra-antara-rahasya-uktiH JCand-_4.12c
   śāstrīyaḥ śabda iṣyate JCand_1.9b	SAstrIyaH SabdaH izyate JCand-_1.9b
   śithilaṃ śayane lilye JCand_2.10a	SiTilam Sayane lilye JCand-_2.10a
   śīta eva sadā śaśī JCand_5.104d	SItaH eva sadA SaSI JCand-_5.104d
   śuddhatanmūlasaṃbhinna- JCand_1.11a	SudDa-tad-mUla-saMBinna JCand-_1.11a
   śuddhaṃ sādhyavasānaṃ syād JCand_9.12c	SudDam sADyavasAnam syAt JCand-_9.12c
   śuddhaṃ sāropam uddiṣṭam JCand_9.12a	SudDam sAropam uddizwam JCand-_9.12a
   śuddhir ekapradhānatvaṃ JCand_5.118a	SudDiH eka-praDAna-tvam JCand-_5.118a
   śuśubhe vāhinīpatiḥ JCand_5.62d	SuSuBe vAhinIpatiH JCand-_5.62d
   śūraś cāpena rājate JCand_5.54d	SUraH cApena rAjate JCand-_5.54d
   śūraḥ śaurir ayaṃ punaḥ JCand_3.1d	SUraH SOriH ayam punar JCand-_3.1d
   śṛṅgāre ca prasāde ca JCand_4.10a	SRFgAre ca prasAde ca JCand-_4.10a
   śṛṅgāro dvividho mataḥ JCand_6.5d	SRFgAraH dviviDaH mataH JCand-_6.5d
   śeṣas tvadyaśasā sitaḥ JCand_5.102d	SezaH tvad-yaSasA sitaH JCand-_5.102d
   śailam utpāṭayiṣyati JCand_5.75d	SElam utpAwayizyati JCand-_5.75d
   śailā ivonnatāḥ santaḥ JCand_5.58c	SElAH iva-unnatAH santaH JCand-_5.58c
   śokenāliṅgitāṅganā JCand_2.28d	Sokena-AliFgita-aFganA JCand-_2.28d
   śoṇitādiprayogataḥ JCand_2.4d	SoNita-Adi-prayogataH JCand-_2.4d
   śobhā khyātāpi yaddoṣo JCand_3.2a	SoBA KyAtA-api yat-dozaH JCand-_3.2a
   śauryaudāryādivarṇanam JCand_5.115b	SOrya-OdArya-Adi-varNanam JCand-_5.115b
   śyāmalā komalā bālā JCand_4.4c	SyAmalA komalA bAlA JCand-_4.4c
   śyāmalāḥ saraladrumāḥ JCand_5.47d	SyAmalAH sarala-drumAH JCand-_5.47d
   śyāmābjaśyāmalocanā JCand_2.19b	SyAma-abja-SyAma-locanA JCand-_2.19b
   śrayadhvaṃ vibudhā mudam JCand_10.5d	SrayaDvam vibuDAH mudam JCand-_10.5d
   śravaṇottaṃsabhūmikām JCand_8.7d	SravaNa-uttaMsa-BUmikAm JCand-_8.7d
   śravaṇodvejane paṭuḥ JCand_2.2b	SravaNa-udvejane pawuH JCand-_2.2b
   śrito 'smi caraṇau viṣṇor JCand_5.16c	SritaH asmi caraNO vizNoH JCand-_5.16c
   śriyāśliṣṭaṃ hariṃ stumaḥ JCand_4.2d	SriyA-ASlizwam harim stumaH JCand-_4.2d
   śrīr asmād upadeśakauśalamayaṃ pīyūṣam asmājjagaj JCand_1.3c	SrIH asmAt upadeSa-kOSala-mayam pIyUzam asmAt-jagat JCand-_1.3c
   śreṇiniḥśreṇim ṛcchati JCand_2.12b	SreNi-niHSreNim RcCati JCand-_2.12b
   śreṇir ekāvalī matā JCand_5.87b	SreNiH ekAvalI matA JCand-_5.87b
   ślāghyaṃ cānyopalakṣaṇam JCand_5.114b	SlAGyam ca-anya-upalakzaNam JCand-_5.114b
   śleṣādibhūr virodhaś ced JCand_5.74a	Sleza-Adi-BUH viroDaH ced JCand-_5.74a
   śleṣo vighaṭamānārtha- JCand_4.1a	SlezaH viGawamAna-arTa JCand-_4.1a
   ślokasyārdhe tadardhe vā JCand_5.5a	Slokasya-arDe tad-arDe vA JCand-_5.5a
   śvetaśmaśrukarāṅkuraiḥ JCand_2.42b	Sveta-SmaSrukara-aFkurEH JCand-_2.42b
   ṣaḍvidhām abhidhāṃ budhāḥ JCand_10.2d	zaxviDAm aBiDAm buDAH JCand-_10.2d
   sa kathāśeṣatāṃ yātaḥ JCand_4.8c	sa kaTA-aSeza-tAm yAtaH JCand-_4.8c
   sakṣatā ramaṇīyatā JCand_2.1b	sakzatA ramaNIya-tA JCand-_2.1b
   sakhi paśya gṛhārāma- JCand_5.109c	saKi paSya gRha-ArAma JCand-_5.109c
   saṅkucanti sarojāni JCand_5.51c	saFkucanti sarojAni JCand-_5.51c
   saṅgatānyaguṇānaṅgī- JCand_5.104a	saFgatA-ani-a-guNa-anaFgI JCand-_5.104a
   saṅgrāmoddhāmahuṃkṛtiḥ JCand_5.55d	saFgrAma-udDAma-huMkRtiH JCand-_5.55d
   sa ca vākyaikasaṃśrayaḥ JCand_7.9b	sa ca vAkya-eka-saMSrayaH JCand-_7.9b
   sa jitas tvanmukhenenduḥ JCand_5.37c	sa jitaH tvad-muKena-induH JCand-_5.37c
   sa tu śābdaḥ sajātīyaiḥ JCand_4.1c	sa tu SAbdaH sajAtIyEH JCand-_4.1c
   satyaṃ doṣākaro bhavān JCand_3.6d	satyam doza-AkaraH BavAn JCand-_3.6d
   sa tvayā kumbhasaṃbhavaḥ JCand_8.3d	sa tvayA kumBasaMBavaH JCand-_8.3d
   satsaṅgādivibhāvabhūḥ JCand_6.13b	sat-saFga-Adi-viBAva-BUH JCand-_6.13b
   sa na jigye mahānto hi JCand_5.68c	sa na jigye mahAntaH hi JCand-_5.68c
   santi ca vyabhicāriṇaḥ JCand_6.14b	santi ca vyaBicAriNaH JCand-_6.14b
   sandhiḥ śabalatā tathā JCand_6.20b	sanDiH Sabala-tA taTA JCand-_6.20b
   sanniveśo manoharaḥ JCand_5.1d	sanniveSaH manoharaH JCand-_5.1d
   sa prasāda iti smṛtaḥ JCand_4.3d	sa prasAdaH iti smRtaH JCand-_4.3d
   samatālpasamāsatvaṃ JCand_4.4a	samatA-alpa-samAsa-tvam JCand-_4.4a
   samam aucityato 'neka- JCand_5.80a	samam OcityataH aneka JCand-_5.80a
   samākhyātās tu nāmataḥ JCand_6.18d	samAKyAtAH tu nAmataH JCand-_6.18d
   samādhir arthamahimā JCand_4.5a	samADiH arTa-mahimA JCand-_4.5a
   samādhiḥ kāryasaukaryaṃ JCand_5.97a	samADiH kArya-sOkaryam JCand-_5.97a
   samānadharmayuksādhyā- JCand_5.19a	samAna-Darma-yuj-sADyA JCand-_5.19a
   samāptapunarāttaṃ syād JCand_2.21a	samApta-punarAttam syAt JCand-_2.21a
   samāliṅgya marutsakham JCand_4.8d	samAliFgya marut-saKam JCand-_4.8d
   samāsapihite vidhau JCand_2.13b	samAsa-pihite viDO JCand-_2.13b
   samāsaḥ sarvathāpi ca JCand_6.21d	samAsaH sarvaTA-api ca JCand-_6.21d
   samāsaḥ syāt padair na syāt JCand_6.21c	samAsaH syAt padEH na syAt JCand-_6.21c
   samāsoktiḥ parisphūrtiḥ JCand_5.61a	samAsa-uktiH parisPUrtiH JCand-_5.61a
   samāhitamayābhidhāḥ JCand_5.116d	samAhita-maya-aBiDAH JCand-_5.116d
   samprāptis tu viṣādanam JCand_5.50b	samprAptiH tu vizAdanam JCand-_5.50b
   sambandhātiśayoktiḥ syāt JCand_5.44a	sambanDa-atiSaya-uktiH syAt JCand-_5.44a
   sambhāvanaṃ yadītthaṃ syād JCand_5.48a	samBAvanam yadi-itTam syAt JCand-_5.48a
   sambhogo vipralambhaś ca JCand_6.5c	samBogaH vipralamBaH ca JCand-_6.5c
   sarasaṃ kāvyam amṛtaṃ JCand_9.14c	sarasam kAvyam amRtam JCand-_9.14c
   sarasyāmīladambhoje JCand_8.9c	sarasyAmIlat-amBoje JCand-_8.9c
   sarītir guṇabhūṣaṇā JCand_1.7b	sarItiH guNa-BUzaNA JCand-_1.7b
   sarojanetra putrasya JCand_2.38a	saroja-netra putrasya JCand-_2.38a
   sarvathāpy uparajyate JCand_5.18b	sarvaTA-api uparajyate JCand-_5.18b
   sarvasaṃkalitadhvaneḥ JCand_7.12b	sarva-saMkalita-DvaneH JCand-_7.12b
   sarvasādhāraṇaprema- JCand_6.19a	sarva-sADAraNa-prema JCand-_6.19a
   sarveṣāṃ ca pratidvandva- JCand_5.119a	sarvezAm ca pratidvandva JCand-_5.119a
   sarvair ūrdhvaiḥ sakārasya JCand_6.25a	sarvEH UrDvEH sakArasya JCand-_6.25a
   sarvai rephasya sarvathā JCand_6.25b	sarvEH rePasya sarvaTA JCand-_6.25b
   salilasyeva sūktasya JCand_4.3c	salilasya-iva sUktasya JCand-_4.3c
   sa vimuñcati cārutām JCand_8.2d	sa vimuQcati cAru-tAm JCand-_8.2d
   sa hanti hanta kāntāre JCand_2.4a	sa hanti hanta kAntAre JCand-_2.4a
   sahasrapatramitraṃ te JCand_2.31a	sahasra-patra-mitram te JCand-_2.31a
   sahāyo vyabhicāry api JCand_6.1d	sahAyaH vyaBicAri api JCand-_6.1d
   sahitā kavitāṃ prati JCand_1.6b	sahitA kavi-tAm prati JCand-_1.6b
   sahoktiḥ sahabhāvaś ced JCand_5.59a	sahoktiH sahaBAvaH ced JCand-_5.59a
   saṃkīrṇaṃ yat tad eva tat JCand_2.25b	saMkIrNam yat tat eva tat JCand-_2.25b
   saṃkṣepo vātibhūyasaḥ JCand_4.7b	saMkzepaH vA-atiBUyasaH JCand_4.7b
   saṃkhyāyāṃ kārake tathā JCand_9.16b	saMKyAyAm kArake taTA JCand-_9.16b
   saṃgraho dik pradarśitā JCand_4.12d	saMgrahaH diS pradarSitA JCand-_4.12d
   saṃdigdhaṃ yadi saṃdeho JCand_8.7a	saMdigDam yadi saMdehaH JCand-_8.7a
   saṃprāpte nayane tasyāḥ JCand_8.7c	saMprApte nayane tasyAH JCand-_8.7c
   saṃbhinnās tu sahasraśaḥ JCand_7.12d	saMBinnAH tu sahasraSas JCand-_7.12d
   saṃmohādyair yathākramam JCand_6.8d	saMmoha-AdyEH yaTAkramam JCand-_6.8d
   saṃvidrate vyākaraṇa- JCand_2.2c	saMvid-rate vyAkaraNa JCand-_2.2c
   saṃśritya taraṇiṃ dhīrās JCand_8.5c	saMSritya taraNim DIrAH JCand-_8.5c
   sākṣāt pañceṣur īkṣyase JCand_5.113d	sAkzAt paQca-izuH Ikzyase JCand-_5.113d
   sākṣād darśanavarṇanam JCand_5.112b	sAkzAt darSana-varNanam JCand-_5.112b
   sāgarād utthito dahan JCand_3.4d	sAgarAt utTitaH dahan JCand-_3.4d
   sāgaro bhūruhaḥ śaśī JCand_1.12d	sAgaraH BUruhaH SaSI JCand-_1.12d
   sā ca mūrtimatī ratiḥ JCand_9.15d	sA ca mUrtimatI ratiH JCand-_9.15d
   sādṛśyaṃ stabakopamā JCand_5.16b	sAdRSyam stabaka-upamA JCand-_5.16b
   sādṛśyāt samavāyāt sā JCand_9.10a	sAdRSyAt samavAyAt sA JCand-_9.10a
   sādhyasādhyāṅgabhedataḥ JCand_9.2d	sADya-sADya-aFga-BedataH JCand-_9.2d
   sā netratritayīva khaṇḍaparaśor vāgdevatā dīvyatu JCand_1.1d	sA netra-tritayI-iva KaNxa-paraSoH vAgdevatA dIvyatu JCand-_1.1d
