   Mahāyānasūtrālaṃkāraḥ	MahAyAna sUtra alaMkAraH
   yathābodhānuvṛttiśca tadūrdhvamupajāyate /	yaTA boDa anuvRttiH ca tad UrDvam upajAyate /
   yathābodhavyavasthānaṃ praveśaśca vyavasthitau // MSA_18.64 //	yaTA boDa vyavasTAnam praveSaH ca vyavasTitO // MSAH _18.64 //
   karmatrayaviśuddhiśca pratipakṣasya bhāvanā /	karma traya viSudDiH ca pratipakzasya BAvanA /
   jñeyāvṛtteśca mārgasya vaiśeṣikaguṇasya ca // MSA_18.65 //	jQeyA vRtteH ca mArgasya vESezika guNasya ca // MSAH _18.65 //
   cittasya citte sthānācca dharmapravicayādapi /	cittasya citte sTAnAt ca Darma pravicayAt api /
   samyak sthitimupāśritya śamatho 'tha vipaśyanā // MSA_18.66 //	samyak sTitim upASritya SamaTaH aTa vipaSyanA // MSAH _18.66 //
   sarvatragā ca saikāśāṃ naikāṃśopaniṣanmatā /	sarvatragA ca sEkASAm na eka aMSa upanizad matA /
   prativedhe ca niryāṇe animitte hyasaṃskṛte // MSA_18.67 //	prativeDe ca niryANe animitte hi asaMskRte // MSAH _18.67 //
   pariśuddhau viśuddhau ca śamatho 'tha vipaśyanā /	pariSudDO viSudDO ca SamaTaH aTa vipaSyanA /
   sarvabhūmigatā dhīre sa yogaḥ sarvasādhakaḥ // MSA_18.68 //	sarva BUmi gatA DIre sa yogaH sarva sADakaH // MSAH _18.68 //
   pūraye buddhadharmāṇāṃ satvānāṃ paripācane /	pUraye budDa DarmANAm satvAnAm paripAcane /
   kṣipraprāptau kriyāśuddhau vartmācchede ca kauśalaṃ // MSA_18.69 //	kzipra prAptO kriyA SudDO vartma AcCede ca kOSalam // MSAH _18.69 //
   upāye bodhisattvānāmasamaṃ sarvabhūmiṣu /	upAye boDisattvAnAm asamam sarva BUmizu /
   yatkauśalyaṃ samāśritya sarvārthānsādhayanti te // MSA_18.70 //	yat kOSalyam samASritya sarva arTAn sADayanti te // MSAH _18.70 //
   vipākena śrutābhyāsāt dhāraṇyapi samādhinā /	vipAkena Sruta aByAsAt DAraNI api samADinA /
   parīttā mahatī sā ca mahatī trividhā punaḥ // MSA_18.71 //	parIttA mahatI sA ca mahatI triviDA punar // MSAH _18.71 //
   apraviṣṭapraviṣṭānāṃ dhīmatāṃ mṛdumadhyamā /	apravizwa pravizwAnAm DImatAm mRdu maDyamA /
   aśuddhabhūmikānāṃ hi mahatī śuddhabhūmikā // MSA_18.72 //	aSudDa BUmikAnAm hi mahatI SudDa BUmikA // MSAH _18.72 //
   dhāraṇī[ṇīṃ]tāṃ samāśritya bodhisatvā punaḥ punaḥ /	DAraNI[NIM]tAm samASritya boDisatvA punar punar /
   prakāśayanti saddharmaṃ nityaṃ saṃdhārayanti ca // MSA_18.73 //	prakASayanti sadDarmam nityam saMDArayanti ca // MSAH _18.73 //
   cetanā chandasahitā jñānena preritā ca tat /	cetanA Canda sahitAH jQAnena preritA ca tat /
   praṇidhānaṃ hi dhīrāṇāmasamaṃ sarvabhūmiṣu // MSA_18.74 //	praNiDAnam hi DIrANAm asamam sarva BUmizu // MSAH _18.74 //
   hetubhūtaṃ ca vijñeyaṃ cittātsadyaḥ phalaṃ ca tat /	hetu BUtam ca vijQeyam cittAt sadyas Palam ca tat /
   āyatyāmarthasiddhyarthaṃ cittamātrātsamṛddhitaḥ // MSA_18.75 //	AyatyAm arTa sidDi arTam cittamAtrAt samRdDitaH // MSAH _18.75 //
   citraṃ mahadviśuddhaṃ ca uttarottarabhūmiṣu /	citram mahat viSudDam ca uttarottara BUmizu /
   ābodherbodhisattvānāṃ svaparārthaprasādhakaṃ // MSA_18.76 //	AboDeH boDisattvAnAm sva para arTa prasADakam // MSAH _18.76 //
   nairātmyaṃ dvividhaṃ jñeyo hyātmagrāhasya cāśrayaḥ /	nErAtmyam dviviDam jQeyaH hi Atma grAhasya ca ASrayaH /
   tasya copaśamo nityaṃ samādhitrayagocaraḥ // MSA_18.77 //	tasya ca upaSamaH nityam samADi traya gocaraH // MSAH _18.77 //
   samādhistrividho jñeyo grāhyagrāhakabhāvataḥ /	samADiH triviDaH jQeyaH grAhya grAhaka BAvataH /
   nirvikalpo 'pi vimukho ratiyuktaśca sarvadā // MSA_18.78 //	nirvikalpaH api vimuKaH rati yuktaH ca sarvadA // MSAH _18.78 //
   parijñāyai prahāṇāya punaḥ sākṣātkriyāya ca /	parijQAyE prahANAya punar sAkzAt kriyAya ca /
   śūnyatādisamādhīnāṃ tridhārthaḥ parikīrtitaḥ // MSA_18.79 //	SUnyatA Adi samADInAm triDA arTaH parikIrtitaH // MSAH _18.79 //
   samādhyupaniṣattvena dharmoddānacatuṣṭayaṃ /	samADi upanizad tvena Darma uddAna catuzwayam /
   deśitaṃ bodhisattvebhyaḥ satvānāṃ hitakāmyayā // MSA_18.80 //	deSitam boDisattveByaH satvAnAm hita kAmyayA // MSAH _18.80 //
   asadartho 'vikalpārthaḥ parikalpārtha eva ca /	asat arTaH avikalpa arTaH parikalpa arTaH eva ca /
   vikalpopaśamārthaśca dhīmatāṃ taccatuṣṭayam // MSA_18.81 //	vikalpa upaSama arTaH ca DImatAm tat catuzwayam // MSAH _18.81 //
   ayogāddhetutotpattervirodhātsvayamasthiteḥ /	ayogAt hetuta utpatteH viroDAt svayama sTiteH /
   abhāvāllakṣaṇaikāntyādanuvṛtternirodhataḥ // MSA_18.82 //	aBAvAt lakzaNa EkAntyAt anuvRtteH niroDataH // MSAH _18.82 //
   pariṇāmopalabdheśca taddhetutvaphalatvataḥ /	pariNAma upalabDeH ca tad hetu tva PalatvataH /
   upāttatvādhipatvā[tyā]cca śuddhasatvānuvṛttitaḥ // MSA_18.83 //	upAttatva aDipatva a[tyA]t ca SudDa satva anuvRttitaH // MSAH _18.83 //
   ādyastaratamenāpi cayenāśrayabhāvataḥ /	AdyaH taratamena api cayena ASraya BAvataH /
   vikāraparipākābhyāṃ tathā hīnaviśiṣṭataḥ // MSA_18.84 //	vikAra paripAkAByAm taTA hIna viSizwataH // MSAH _18.84 //
   bhāsvarābhāsvaratvena deśāntaragamena ca /	BAsvara ABAsvara tvena deSa antara gamena ca /
   sabījābījabhāvena pratibimbena codayaḥ // MSA_18.85 //	sa bIjA bIja BAvena pratibimbena ca udayaH // MSAH _18.85 //
   caturdaśavidhotpattau hetumānaviśeṣataḥ /	caturdaSaviDa utpattO hetu mAna viSezataH /
   cayāyā[pā]rthādayogācca āśrayatva asaṃbhavāt // MSA_18.86 //	cayAya a[ pA]rTAt ayogAt ca ASraya tva asaMBavAt // MSAH _18.86 //
   sthitasyāsaṃbhavādante ādyanāśāvikārataḥ /	sTitasya asaMBavAt ante Adya nASa avikArataH /
   tathā hīnaviśiṣṭatve bhāsvarābhāsvare 'pi ca // MSA_18.87 //	taTA hIna viSizwa tve BAsvara ABAsvare api ca // MSAH _18.87 //
   gatyabhāvātsthitāyogāccaramatva asaṃbhavāt /	gati aBAvAt sTita ayogAt carama tva asaMBavAt /
   anuvṛtteśca cittasya kṣaṇikaṃ sarvasaṃskṛtam // MSA_18.88 //	anuvRtteH ca cittasya kzaNikam sarva saMskRtam // MSAH _18.88 //
   bhūtānāṃ ṣaḍvidhārthasya kṣaṇikatvaṃ vidhīyate /	BUtAnAm zaxviDa arTasya kzaNika tvam viDIyate /
   śoṣavṛddheḥ prakṛtyā ca calatvād vṛddhihānitaḥ // MSA_18.89 //	Soza vRdDeH prakRtyA ca cala tvAt vRdDi hAnitaH // MSAH _18.89 //
   tatsaṃbhavātpṛthivyāśca pariṇāmacatuṣṭayāt /	tad saMBavAt pRTivyAH ca pariNAma catuzwayAt /
   varṇagandharasasparśatulyatvācca tathaiva tat // MSA_18.90 //	varNa ganDa rasa sparSa tulya tvAt ca taTA eva tat // MSAH _18.90 //
   indhanādhīnavṛttitvāttāratamyopalabdhitaḥ /	inDana aDIna vRtti tvAt tAratamya upalabDitaH /
   cittānuvṛtteḥ pṛcchātaḥ kṣaṇikaṃ bāhyamapyataḥ // MSA_18.91 //	citta anuvRtteH pRcCAtaH kzaNikam bAhyam api atas // MSAH _18.91 //
   prajñaptyastitayā vācyaḥ pudgalo dravyato na tu /	prajQapti astitayA vAcyaH pudgalaH dravyataH na tu /
   nopalambhādviparyāsāt saṃkleśāt kliṣṭahetutaḥ // MSA_18.92 //	na upalamBAt viparyAsAt saMkleSAt klizwa hetutaH // MSAH _18.92 //
   ekatvānyatvatovācyastasmāddoṣadvayādasau /	ekatva anyatvatA uvAcyaH tasmAt doza dvayAt asO /
   skandhātmatvaprasaṅgācca taddravyatvaprasaṅgataḥ // MSA_18.93 //	skanDa Atma tva prasaFgAt ca tad dravya tva prasaFgataH // MSAH _18.93 //
   dravyasan yadyavācyaśca vacanīyaṃ prayojanaṃ /	dravya san yadi avAcyaH ca vacanIyam prayojanam /
   ekatvānyatvato 'vācyo na yukto niṣprayojanaḥ // MSA_18.94 //	ekatva anyatvataH avAcyaH na yuktaH nizprayojanaH // MSAH _18.94 //
   lakṣaṇāllokadṛṣṭācca śāstrato 'pi na yujyate /	lakzaNAt loka dRzwAt ca SAstrataH api na yujyate /
   indhanāgnyoravācyatvamupalabdherdvayena hi // MSA_18.95 //	inDana agnyoH avAcya tvam upalabDeH dvayena hi // MSAH _18.95 //
   dvaye sati ca vijñānasaṃbhavātpratyayo na saḥ /	dvaye sati ca vijQAna saMBavAt pratyayaH na saH /
   nairarthakyādato draṣṭā yāvanmoktā na yujyate // MSA_18.96 //	nErarTakyAdataH drazwA yAvat moktA na yujyate // MSAH _18.96 //
   svāmitve sati cānityamaniṣṭaṃ na pravartayet /	svAmi tve sati ca anityam anizwam na pravartayet /
   tatkarmalakṣaṇaṃ sādhyaṃ saṃbodho bādhyate tridhā // MSA_18.97 //	tad karma lakzaNam sADyam saMboDaH bADyate triDA // MSAH _18.97 //
   darśanādau ca tadyatnaḥ svayaṃbhūrna trayādapi /	darSana AdO ca tat yatnaH svayaMBUH na trayAt api /
   tadyatnapratyayatvaṃ ca niryatnaṃ darśanādikaṃ // MSA_18.98 //	tad yatna pratyaya tvam ca niryatnam darSana Adikam // MSAH _18.98 //
   akartṛtvādanityatvātsakṛtrityapravṛttitaḥ /	akartR tvAt anitya tvAt sa kRtriti apravRttitaH /
   darśanādiṣu yatnasya svayaṃbhūtvaṃ na yujyate // MSA_18.99 //	darSana Adizu yatnasya svayaMBU tvam na yujyate // MSAH _18.99 //
   tathā sthitasya naṣṭasya prāgabhāvādanityataḥ /	taTA sTitasya nazwasya prAc aBAvAt anityatas /
   tṛtīyapakṣābhāvācca pratyayatvaṃ na yujyate // MSA_18.100 //	tRtIya pakza aBAvAt ca pratyaya tvam na yujyate // MSAH _18.100 //
   sarvadharmā anātmānaḥ paramārthena śūnyatā /	sarva DarmAH anAtmAnaH parama arTena SUnyatA /
   ātmopalambhe doṣaśca deśito yata eva ca // MSA_18.101 //	Atma upalamBe dozaH ca deSitaH yatas eva ca // MSAH _18.101 //
   saṃkleśavyavadāne ca avasthācchedabhinnake /	saMkleSa vyavadAne ca avasTA AcCeda Binnake /
   vṛttisaṃtānabhedo hi pudgalenopadarśitaḥ // MSA_18.102 //	vRtti saMtAna BedaH hi pudgalena upadarSitaH // MSAH _18.102 //
   ātmadṛṣṭiranutpādyā abhyāso 'nādikālikaḥ /	Atma dRzwiH anutpAdyAH aByAsaH anAdi kAlikaH /
   ayatnamokṣaḥ sarveṣāṃ na mokṣaḥ pudgalo 'sti vā // MSA_18.103 //	ayatna mokzaH sarvezAm na mokzaH pudgalaH asti vA // MSAH _18.103 //
   prajñaptyastitayā vācyaḥ pudgalo dravyato na tu /	prajQapti astitayA vAcyaH pudgalaH dravyataH na tu /
   ekatvānyatvatovācyastasmādasau /	ekatva anyatvatA uvAcyaH tasmAt asO /
   skandhātmatvaprasaṅgācca taddravyatvaprasaṅgataḥ /	skanDa Atma tva prasaFgAt ca tad dravya tva prasaFgataH /
   dravyasanyadyavācyaśca vacanīyaṃ prayojanaṃ /	dravya sanyadI avAcyaH ca vacanIyam prayojanam /
   ekatvānyatvato 'vācyo na yukto niṣprayojanaḥ /	ekatva anyatvataH avAcyaH na yuktaH nizprayojanaH /
   lakṣaṇāllokadṛṣṭācca śāstrato 'pi na yujyate /	lakzaNAt loka dRzwAt ca SAstrataH api na yujyate /
   indhanāgnyoravācyatvamupalabdherdvayena hi /	inDana agnyoH avAcya tvam upalabDeH dvayena hi /
   dvayaṃ pratītya vijñānasaṃbhavātpratyayo na saḥ /	dvayam pratItya vijQAna saMBavAt pratyayaH na saH /
   svāmitve sati vānityamaniṣṭaṃ na pravartayet //	svAmi tve sati vA anityam anizwam na pravartayet //
   tadyatnapratyayatvaṃ ca niryatnaṃ darśanādikam /	tad yatna pratyaya tvam ca niryatnam darSana Adikam /
   akartṛtvādanityatvātsakṛnnityapravṛttitaḥ /	akartR tvAt anitya tvAt sakRt nitya pravRttitaH /
   darśanādiṣu yatnasya svayaṃbhūtvaṃ na yujyate //	darSana Adizu yatnasya svayaMBU tvam na yujyate //
   tathā sthitasya naṣṭasya prāgabhāvādanityataḥ /	taTA sTitasya nazwasya prAc aBAvAt anityatas /
   tṛtīyapakṣābhāvācca pratyayatvaṃ na yujyate //	tRtIya pakza aBAvAt ca pratyaya tvam na yujyate //
   sarve dharmā anātmānaḥ paramārthena śūnyatā /	sarve DarmAH anAtmAnaH parama arTena SUnyatA /
   ātmopalambhe doṣaśca deśito yata eva ca //	Atma upalamBe dozaH ca deSitaH yatas eva ca //
   saṃkleśe vyavadāne ca avasthācchedabhinnake /	saMkleSe vyavadAne ca avasTA AcCeda Binnake /
   vṛttisaṃtānabhedo hi pudgalenopadarśitaḥ //	vRtti saMtAna BedaH hi pudgalena upadarSitaH //
   ātmadṛṣṭiranūtpādyā pūrvamevotpannatvāt /	Atma dRzwiH anu utpAdyA pUrvam eva utpanna tvAt /
   nāpi tadabhyāsārthaṃ yasmādātmadṛṣṭer	na api tad aByAsa arTam yasmAt Atma dRzweH 
   abhyāso 'nādikālikaḥ /	aByAsaH anAdi kAlikaH /
   yadi cātmadarśanena mokṣa ityasau deśyeta /	yadi ca Atma darSanena mokzaH iti asO deSyeta /
   evaṃ sati syāt	evam sati syAt 
   ayatnamokṣaḥ sarveṣāṃ	ayatna mokzaH sarvezAm
   evamebhirguṇairnityaṃ bodhisatvāḥ samanvitāḥ /	evam eBiH guNEH nityam boDisatvAH samanvitAH /
   ātmārthaṃ ca na riñcanti parārthaṃ sādhayanti ca // MSA_18.104 //	Atma arTam ca na riQcanti para arTam sADayanti ca // MSAH _18.104 //
   mahāyānasūtrālaṃkāre bodhipakṣādhikāraḥ[aṣṭādaśaḥ] samāptaḥ	mahAyAna sUtra alaMkAre boDi pakza aDikAraH[azwAdaSaH] samAptaH
   ekonaviṃśatyadhikāraḥ	ekonaviMSati aDikAraH
   āścarya vibhāge trayaḥ ślokāḥ /	AScarya viBAge trayaH SlokAH /
   svadehasya parityāgaḥ saṃpatteścaiva saṃvṛttau /	sva dehasya parityAgaH saMpatteH ca eva saMvRttO /
   durbaleṣu kṣamā kāye jīvite nirapekṣiṇaḥ // MSA_19.1 //	durbalezu kzamA kAye jIvite nirapekziNaH // MSAH _19.1 //
   vīryārambho hyanāsvādo dhāneṣu sukha eva ca /	vIrya AramBaH hi anAsvAdaH DAnezu suKaH eva ca /
   niṣkalpanā na prajñāyāmāścaryaṃ dhīmatāṃ ga[ma]taṃ // MSA_19.2 //	nizkalpanA na prajQAyAm AScaryam DImatAm ga[ma]tam // MSAH _19.2 //
   tathāgatakule janmalābho vyākaraṇasya ca /	taTAgata kule janma lABaH vyAkaraNasya ca /
   abhiṣekasya ca prāptirbodheścāścaryamiṣyate // MSA_19.3 //	aBizekasya ca prAptiH boDeH ca AScaryam izyate // MSAH _19.3 //
   vairāgyaṃ karuṇāṃ caitya bhāvanāṃ paramāmapi /	vErAgyam karuNAm ca etya BAvanAm paramAm api /
   tathaiva samacittatvaṃ nāścaryaṃ tāsu yuktatā // MSA_19.4 //	taTA eva sama citta tvam na AScaryam tAsu yukta tA // MSAH _19.4 //
   na tathātmani dāreṣu sutamitreṣu bandhuṣu /	na taTA Atmani dArezu suta mitrezu banDuzu /
   satvānāṃ pragataḥ sneho yathā satveṣu dhīmatāṃ // MSA_19.5 //	satvAnAm pragataH snehaH yaTA satvezu DImatAm // MSAH _19.5 //
   arthiṣvapakṣapātaśca śīlasyākhaṇḍanā dhruvaṃ /	arTizu apakzapAtaH ca SIlasya aKaNxanAH Druvam /
   kṣāntiḥ sarvatra satvārthaṃ[sarvārthaṃ]vīryārambho mahānapi // MSA_19.6 //	kzAntiH sarvatra satva arTaM[sarva arTaM]vIrya AramBaH mahAn api // MSAH _19.6 //
   dhyānaṃ ca kuśalaṃ nityaṃ prajñā caivāvikalpikā /	DyAnam ca kuSalam nityam prajQA ca eva avikalpikA /
   vijñeyā bodhisatvānāṃ tāsveva samacittatā // MSA_19.7 //	vijQeyA boDisatvAnAm tAsu eva sama citta tA // MSAH _19.7 //
   sthāpanā bhājanatve ca śīleṣveva ca ropaṇaṃ /	sTApanAH BAjana tve ca SIlezu eva ca ropaNam /
   marṣaṇā cāpakārasya arthe vyāpāragāmitā // MSA_19.8 //	marzaNA ca apakArasya arTe vyApAra gAmitAH // MSAH _19.8 //
   āvarjanā śāsane 'smiṃśchedanā saṃśayasya ca /	AvarjanA SAsane asmin= CedanA saMSayasya ca /
   satveṣu upakāritvaṃ dhīmatāmetadiṣyate // MSA_19.9 //	satvezu upakAri tvam DImatAm etat izyate // MSAH _19.9 //
   samāśayena satvānāṃ dhārayanti sadaiva ye /	samASayena satvAnAm DArayanti sadA eva ye /
   janayantyāryabhūmau ca kuśalairvardhayanti ca // MSA_19.10 //	janayanti Arya BUmO ca kuSalEH varDayanti ca // MSAH _19.10 //
   duṣkṛtātparirakṣanti śrutaṃ vyutpādayanti ca /	duzkRtAt parirakzanti Srutam vyutpAdayanti ca /
   pañcabhiḥ karmabhiḥ satvamātṛkalpā jinātmajāḥ // MSA_19.11 //	paQcaBiH karmaBiH satva mAtR kalpAH jina AtmajAH // MSAH _19.11 //
   śraddhāyāḥ sarvasatveṣu sarvadā cāvaropaṇāt /	SradDAyAH sarva satvezu sarvadA ca avaropaNAt /
   adhiśīlādiśikṣāyāṃ vimuktau ca niyojanāt // MSA_19.12 //	aDiSIla Adi SikzAyAm vimuktO ca niyojanAt // MSAH _19.12 //
   buddhādhyeṣaṇataścaiṣāmāvṛteśca vivarjanāt /	budDa aDyezaNataH ca ezAm AvRteH ca vivarjanAt /
   pañcabhiḥ karmabhiḥ satvapitṛkalpā jinātmajāḥ // MSA_19.13 //	paQcaBiH karmaBiH satva pitR kalpAH jina AtmajAH // MSAH _19.13 //
   anarhadeśanāṃ ye ca satvānāṃ gūhayanti hi /	anarha deSanAm ye ca satvAnAm gUhayanti hi /
   śikṣāvipattiṃ nindanti śaṃsantyeva ca saṃpadam // MSA_19.14 //	SikzA vipattim nindanti SaMsanti eva ca saMpadam // MSAH _19.14 //
   avavādaṃ ca yacchanti mārānāvedayanti hi /	avavAdam ca yacCanti mArAn Avedayanti hi /
   pañcabhiḥ karmabhiḥ sattvabandhukalpā jinātmajāḥ // MSA_19.15 //	paQcaBiH karmaBiH sattva banDu kalpAH jina AtmajAH // MSAH _19.15 //
   saṃkleśe vyavadāne ca svayamaśrāntabuddhayaḥ /	saMkleSe vyavadAne ca svayam aSrAnta budDayaH /
   yacchanti laukikīṃ kṛtsnāṃ saṃpadaṃ cātilaukikīm // MSA_19.16 //	yacCanti lOkikIm kRtsnAm saMpadam ca ati lOkikIm // MSAH _19.16 //
   sukhe hite cābhinnā[akheditvādabhinnā] ye sadā sukhahitaiṣiṇaḥ /	suKe hite ca aBinnA[a Kedi tvAt aBinnA] ye sadA suKa hita eziNaH /
   pañcabhiḥ karmabhiḥ satvamitrakalpā jinātmajāḥ // MSA_19.17 //	paQcaBiH karmaBiH satva mitra kalpAH jina AtmajAH // MSAH _19.17 //
   sarvadodyamavanto ye satvānāṃ paripācane /	sarvadA udyamavantaH ye satvAnAm paripAcane /
   samyagniryāṇavaktāraḥ kṣamā vipratipattiṣu // MSA_19.18 //	samyak niH yANa vaktAraH kzamA vipratipattizu // MSAH _19.18 //
   dvayasaṃpattidātārastadupāye ca kovidāḥ /	dvaya saMpatti dAtAraH tad upAye ca kovidAH /
   pañcabhiḥ karmabhiḥ satvadāsakalpā jinātmajāḥ // MSA_19.19 //	paQcaBiH karmaBiH satva dAsa kalpAH jina AtmajAH // MSAH _19.19 //
   anutpattikadharmeṣu kṣāntiṃ prāptāśca ye matāḥ /	anutpattika Darmezu kzAntim prAptAH ca ye matAH /
   sarvayā[no]padeṣṭāraḥ sidvayogāniyojakāḥ // MSA_19.20 //	sarva yA[naH ] padezwAraH sidvayogA niyojakAH // MSAH _19.20 //
   sumukhāḥ pratikāre ca vipāke cānapekṣiṇaḥ /	sumuKAH pratikAre ca vipAke ca anapekziNaH /
   pañcabhiḥ karmabhiḥ satvācāryakalpā jinātmajāḥ // MSA_19.21 //	paQcaBiH karmaBiH satva AcArya kalpAH jina AtmajAH // MSAH _19.21 //
   satvakṛtyārthamudyuktāḥ saṃbhārānpūrayanti ye /	satva kRtya arTam udyuktAH saMBArAn pUrayanti ye /
   saṃbhṛtānmocayantyāśu vipakṣaṃ hāpayanti ca // MSA_19.22 //	saMBRtAn mocayanti ASu vipakzam hApayanti ca // MSAH _19.22 //
   lokasaṃpattibhiścitrairalokairyojayanti ca /	loka saMpattiBiH citrEH alokEH yojayanti ca /
   pañcabhiḥ karmabhiḥ satvopādhyāyakalpā jinātmajāḥ // MSA_19.23 //	paQcaBiH karmaBiH satva upADyAya kalpAH jina AtmajAH // MSAH _19.23 //
   asaktyā caiva bhogeṣu śīlasya ca na khaṇḍanaiḥ /	asaktyA ca eva Bogezu SIlasya ca na KaNxanEH /
   kṛtajñatānuyogācca pratipattau ca yogataḥ // MSA_19.24 //	kRtajQa tA anuyogAt ca pratipattO ca yogataH // MSAH _19.24 //
   ṣaṭsu pāramitāsveva vartamānā hi dehinaḥ /	zawsu pAramitAsu eva vartamAnAH hi dehinaH /
   bhavanti bodhisatvānāṃ tathā pratyupakāriṇaḥ // MSA_19.25 //	Bavanti boDisatvAnAm taTA pratyupakAriNaH // MSAH _19.25 //
   vṛddhiṃ hāniṃ ca kāṅkṣanti satvānāṃ ca prapācanaṃ /	vRdDim hAnim ca kAFkzanti satvAnAm ca prapAcanam /
   viśeṣagamanaṃ bhūmau bodhiṃ cānuttarāṃ sadā // MSA_19.26 //	viSeza gamanam BUmO boDim ca anuttarAm sadA // MSAH _19.26 //
   trāsahānau samutpāde saṃśayacchedane 'pi ca /	trAsa hAnO samutpAde saMSaya= Cedane api ca /
   pratipattyavavāde ca sadābandhyā jinātmajāḥ // MSA_19.27 //	pratipatti avavAde ca sadAbanDyAH jina AtmajAH // MSAH _19.27 //
   dānaṃ niṣpratikāṅkṣasya niḥspṛhasya punarbhave /	dAnam nizpratikAFkzasya niHspRhasya punarBave /
   śīlaṃ kṣāntiśca sarvatra vīryaṃ sarvaśubhodaye // MSA_19.28 //	SIlam kzAntiH ca sarvatra vIryam sarva SuBa udaye // MSAH _19.28 //
   vinā[ā?]rūpyaṃ tathā dhyānaṃ prajñā copāyasaṃhitā /	vinA a[A?]rUpyam taTA DyAnam prajQA ca upAya saMhitA /
   samyakprayogo dhīrāṇāṃ ṣaṭsu pāramitāsuhi // MSA_19.29 //	samyak prayogaH DIrANAm zawsu pAramitA asuhi // MSAH _19.29 //
   bhogasaktiḥ sacchidratvaṃ mānaścaiva sukhallikā /	Boga saktiH sa= Cidra tvam mAnaH ca eva suKallikA /
   āsvādanaṃ vikalpaśca dhīrāṇāṃ hānihetavaḥ // MSA_19.30 //	AsvAdanam vikalpaH ca DIrANAm hAni hetavaH // MSAH _19.30 //
   sthitānāṃ bodhisatvānāṃ pratipakṣeṣu teṣu ca /	sTitAnAm boDisatvAnAm pratipakzezu tezu ca /
   jñeyā viśeṣabhāgīyā dharmā etadviparyayāt // MSA_19.31 //	jQeyAH viSeza BAgIyAH DarmAH etad viparyayAt // MSAH _19.31 //
   pravā[tā]raṇāpi kuhanā saumukhyasya ca darśanā /	pravA[tA] raNA api kuhanA sOmuKyasya ca darSanAH /
   lobhatvena tatha vṛttiḥ śāntavākkāyatā tathā // MSA_19.32 //	loBa tvena taTa vRttiH SAnta vAc kAyatA taTA // MSAH _19.32 //
   suvākkaraṇasaṃpacca pratipattivivarjitā /	su vAkkaraNa saMpad ca pratipatti vivarjitA /
   ete hi bodhisatvānāmabhūtatvāya deśitāḥ /	ete hi boDisatvAnAm aBUta tvAya deSitAH /
   viparyayātprayuktānāṃ tadbhūtatvāya deśitāḥ // MSA_19.33 //	viparyayAt prayuktAnAm tad BUta tvAya deSitAH // MSAH _19.33 //
   te dānādyupaṃsahāraiḥ satvānāṃ vinayanti hi /	te dAna Adi upaMsa hArEH satvAnAm vinayanti hi /
   ṣaṭprakāraṃ vipakṣaṃ hi dhīmantaḥ sarvabhūmiṣu // MSA_19.34 //	zaz prakAram vipakzam hi DImantaH sarva BUmizu // MSAH _19.34 //
   dhīmadvyākaraṇaṃ dvedhā kālapudgalabhedataḥ /	DImat vyAkaraNam dveDA kAla pudgala BedataH /
   bodhau vyākaraṇe caiva mahāccānyadudāhṛtaṃ // MSA_19.35 //	boDO vyAkaraNe ca eva mahAt ca anyat udAhRtam // MSAH _19.35 //
   notpattikṣāntilābhena mānābhogavihānitaḥ /	na utpatti kzAnti lABena mAna ABoga vihAnitaH /
   ekībhāvagamatvācca sarvabuddhajinātmajaiḥ // MSA_19.36 //	ekIBAva gama tvAt ca sarva budDa jina AtmajEH // MSAH _19.36 //
   kṣetreṇaṃ nāmnā kālena kalpanāmnā ca tatpunaḥ /	kzetreNam nAmnA kAlena kalpa nAmnA ca tat punar /
   parivārānuvṛtyā ca saddharmasya tadiṣyate // MSA_19.37 //	parivAra anuvRtyA ca sadDarmasya tat izyate // MSAH _19.37 //
   saṃpatyutpattinaiyamyapāto 'khede ca dhīmatāṃ /	saMpati utpatti nEyamya pAtaH aKede ca DImatAm /
   bhāvanāyāśca sātatye samādhānācyutāvapi /	BAvanAyAH ca sAtatye samADAna acyutO= api /
   kṛtyasiddhāvanābhoge kṣāntilābhe ca sarvathā // MSA_19.38 //	kRtya sidDA= anABoge kzAnti lABe ca sarvaTA // MSAH _19.38 //
   pūjā śikṣāsamādānaṃ karuṇā śubhabhāvanā /	pUjA SikzA samAdAnam karuNA SuBa BAvanA /
   apramādastathāraṇye śrutārthātṛptireva ca /	apramAdaH taTA araNye Sruta arTa atRptiH eva ca /
   sarvabhūmiṣu dhīrāṇāmavaśyakaraṇīyatā // MSA_19.39 //	sarva BUmizu DIrANAm avaSya karaNIyatA // MSAH _19.39 //
   kāmeṣvādīnavajñānaṃ skhaliteṣu nirīkṣaṇā /	kAmezu AdIn avajQAnam sKalitezu nirIkzaNAH /
   duḥkhādhivāsanā caiva kuśalasya ca bhāvanā // MSA_19.40 //	duHKa aDivAsanA ca eva kuSalasya ca BAvanA // MSAH _19.40 //
   anāsvādaḥ sukhe caiva nimittānāmakalpanā /	anAsvAdaH suKe ca eva nimittAnAm akalpanA /
   sātatyakaraṇīyaṃ hi dhīmatāṃ sarvabhūmiṣu // MSA_19.41 //	sAtatya karaNIyam hi DImatAm sarva BUmizu // MSAH _19.41 //
   dharmadānaṃ śīlaśuddhirnotpattikṣāntireva ca /	Darma dAnam SIla SudDiH na utpatti kzAntiH eva ca /
