   śrīśivamahāpurāṇam	SrI-Siva-mahApurANam
   gṛhītvāpūjayedbilvaṃsacapāpaiḥ pramucyate // ŚivP_1,22.29cd/	gRhItvA-apUjayet-bilvaMsa-ca-pApEH pramucyate // Śivj-_1,22.29cd/
   bilvamūle śivarataṃ bhojayedyastu bhaktitaḥ // ŚivP_1,22.30ab/	bilva-mUle Siva-ratam Bojayet-yaH-tu BaktitaH // ŚivS-_1,22.30ab/
   ekaṃvākoṭiguṇitaṃtasyapuṇyaṃprajāyate // ŚivP_1,22.30cd/	ekaMvAkowi-guNitaMtasya-puNyaMprajAyate // ŚivS-_1,22.30cd/
   bilvamūle kṣīramuktamannamājyena saṃyutam // ŚivP_1,22.31ab/	bilva-mUle kzIram-uktam-annam-Ajyena saMyutam // ŚivS-_1,22.31ab/
   yo dadyācchivabhaktāya sa daridro na jāyate // ŚivP_1,22.31cd/	yaH dadyAt-Siva-BaktAya sa daridraH na jAyate // ŚivS-_1,22.31cd/
   sāṃgopāṃgamiti proktaṃ śivaliṃgaprapūjanam // ŚivP_1,22.32ab/	sAMga-upAMgam-iti proktam Siva-liMga-prapUjanam // ŚivS-_1,22.32ab/
   pravṛttānāṃ nivṛttānāṃ bhedato dvividhaṃ dvijāḥ // ŚivP_1,22.32cd/	pravRttAnAm nivRttAnAm BedataH dviviDam dvijAH // ŚivS-_1,22.32cd/
   pravṛttānāṃ pīṭhapūjāṃ sarvapūjāṃ samācaret // ŚivP_1,22.33ab/	pravRttAnAm pIWa-pUjAm sarva-pUjAm samAcaret // ŚivS-_1,22.33ab/
   abhiṣekānte naivedyaṃ śālyannena samācaret // ŚivP_1,22.34ab/	aBizeka-ante nEvedyam SAli-annena samAcaret // ŚivS-_1,22.34ab/
   pūjānte sthāpayelliṃgaṃ puṭe śuddhe pṛthaggṛhe // ŚivP_1,22.34cd/	pUjA-ante sTApayet-liMgam puwe SudDe pRTak-gRhe // ŚivS-_1,22.34cd/
   karapūjānivṛttānāṃ svabhojyaṃ tu nivedayet // ŚivP_1,22.35ab/	kara-pUjA-nivRttAnAm sva-Bojyam tu nivedayet // ŚivS-_1,22.35ab/
   nivṛttānāṃ paraṃsūkṣmaṃ liṃgameva viśiṣyate // ŚivP_1,22.35cd/	nivRttAnAm paraMsUkzmam liMgam-eva viSizyate // ŚivS-_1,22.35cd/
   vibhūtyabhyarcanaṃ kuryādvibhūtiṃ ca nivedayet // ŚivP_1,22.36ab/	viBUti-aByarcanam kuryAt-viBUtim ca nivedayet // ŚivS-_1,22.36ab/
   pūjāṃ kṛtvā tathā liṃgaṃśirasādhārayetsadā // ŚivP_1,22.36cd/	pUjAm kRtvA taTA liMgaMSiH-asA-DArayet-sadA // ŚivS-_1,22.36cd/
   iti śrīśivamahāpurāṇe vidyeśvarasaṃhitāyāṃ sādhyasādhanakhaṇḍe	iti SrI-Siva-mahApurANe vidyeSvara-saMhitAyAm sADya-sADana-KaNxe
   śivanaivedyavarṇanonāmadvāviṃśo 'dhyāyaḥ	SivanEvedyavarNanonAmadvAviMSaH aDyAyaH
   Chapter 23	ChapteH 23
   ṛṣaya ūcuḥ	RzayaH UcuH
   sūtasūtamahābhāgavyāsaśiṣyanamostute // ŚivP_1,23.1ab/	sUta-sUta-mahABAga-vyAsa-Sizya-nama-ustute // ŚivS-_1,23.1ab/
   tadevavyāsatobrūhibhasmamāhātmyamuttamam // ŚivP_1,23.1cd/	tat-eva-vyAsatobrUhi-Basma-mAhAtmyam-uttamam // Śivj-_1,23.1cd/
   tathā rudrākṣamāhātmyaṃ nāma māhātmyamuttamam // ŚivP_1,23.2ab/	taTA rudrAkza-mAhAtmyam nAma mAhAtmyam-uttamam // ŚivS-_1,23.2ab/
   tritayaṃ brūhisuprītyāmamānaṃdayacetasam // ŚivP_1,23.2cd/	tritayam brUhi-suprIti-Amam-AnaMdaya-cetasam // Śivj-_1,23.2cd/
   sūta uvāca	sUtaH uvAca
   sādhupṛṣṭaṃbhavadbhiścalokānāṃhitakārakam // ŚivP_1,23.3ab/	sADu-pRzwaMBavadBiH-ca-lokAna-aMhita-kArakam // ŚivS-_1,23.3ab/
   bhavaṃtovaimahādhanyāḥ pavitrāḥ kulabhūṣaṇāḥ // ŚivP_1,23.3cd/	BavaMtaH-vEmahA-DanyAH pavitrAH kula-BUzaNAH // Śivj-_1,23.3cd/
   yeṣāṃcaivaśivaḥsākṣāddaivataṃparamaṃśubham // ŚivP_1,23.4ab/	yezAMca-eva-SivaH-sAkzAt-dEvataMparam-aMSuBam // ŚivS-_1,23.4ab/
   sadāśivakathālokevallabhābhavatāṃ sadā // ŚivP_1,23.4cd/	sadASiva-kaTA-lokevallaBA-BavatAm sadA // Śivj-_1,23.4cd/
   tedhanyāścakṛtārthāścasaphalaṃdehadhāraṇam // ŚivP_1,23.5ab/	teDanyAH-ca-kRtArTAH-casa-PalaMdeha-DAraNam // ŚivS-_1,23.5ab/
   uddhṛtañcakulaṃteṣāṃyeśivaṃsamupāsate // ŚivP_1,23.5cd/	udDR-taQca-kulaMtezAMyeSi-vaMsam-upAsate // Śivj-_1,23.5cd/
   mukheyasyaśivanāmasadāśivaśivetica // ŚivP_1,23.6ab/	muKeyasya-Siva-nAma-sadASiva-Siveti-ca // ŚivS-_1,23.6ab/
   pāpāninaspṛśaṃtyevakhadirāṃgāraṃkayathā // ŚivP_1,23.6cd/	pApa-anina-spRSaMti-eva-Kadira-aMga-araMkayaTA // Śivj-_1,23.6cd/
   śrīśivāyanamastubhyaṃmukhaṃvyāharateyadā // ŚivP_1,23.7ab/	SrI-SivAyana-mastuByaMmuKaMvyAha-rateyadAH // ŚivS-_1,23.7ab/
   tanmukhaṃpāvanaṃtīrthaṃsarvapāpavināśanam // ŚivP_1,23.7cd/	tad-muKaMpa-avanaMtIrTaMsarva-pApa-vinASanam // Śivj-_1,23.7cd/
   tanmukhañcatathāyovaipaśyatiprītimānnaraḥ // ŚivP_1,23.8ab/	tad-muKaQca-taTAyaH-vEpaSyati-prItimAn-naraH // ŚivS-_1,23.8ab/
   tīrthajanyaṃphalaṃtasyabhavatītisuniścitam // ŚivP_1,23.8cd/	tIrTa-janyaMPalaMtasya-Bavati-iti-su-niScitam // Śivj-_1,23.8cd/
   yatratrayaṃsadātiṣṭhedetacchubhataraṃdvijā // ŚivP_1,23.9ab/	yatra-trayaMsadAtizWet-etat-SuBa-taraMdvijAH // ŚivS-_1,23.9ab/
   tasyadarśanamātreṇaveṇīsnānaphalaṃlabhet // ŚivP_1,23.9cd/	tasya-darSana-mAtreNa-veNI-snAna-PalaMlaBet // Śivj-_1,23.9cd/
   śivanāmavibhūtiścatathārudrākṣa eva ca // ŚivP_1,23.10ab/	Siva-nAma-viBUtiH-cataTA-rudrAkzaH eva ca // ŚivS-_1,23.10ab/
   etattrayaṃmahāpuṇyaṃtriveṇīsadṛśaṃsmṛtam // ŚivP_1,23.10cd/	etat-trayaMmahA-puNyaMtri-veNI-sadRSaMsmRtam // Śivj-_1,23.10cd/
   etattrayaṃśarīrecayasyatiṣṭhatinityaśaḥ // ŚivP_1,23.11ab/	etat-trayaMSarIrecayasi-atizWati-nityaSas // ŚivS-_1,23.11ab/
   tasyaivadarśanaṃlokedurlabhaṃpāpahārakam // ŚivP_1,23.11cd/	tasya-eva-darSanaMlokedurlaBaMpApa-hArakam // Śivj-_1,23.11cd/
   taddarśanaṃyathāveṇīnobhayoraṃtaraṃmanāk // ŚivP_1,23.12ab/	tad-darSanaMyaTA-veNInoBayoH-aMtaraMmanAk // ŚivS-_1,23.12ab/
   evaṃyonavijānātisapāpiṣṭhonasaṃśayaḥ // ŚivP_1,23.12cd/	evaMyona-vijAnAti-sapA-pizWa-Una-saMSayaH // Śivj-_1,23.12cd/
   vibhūtiryasyanobhālenāṃgerudrākṣadhāraṇam // ŚivP_1,23.13ab/	viBUtiH-yasyana-uBAlena-aMgeru-drAkza-DAraNam // ŚivS-_1,23.13ab/
   nāsye śivamayīvāṇītaṃtyajedadhamaṃyathā // ŚivP_1,23.13cd/	na-Asye Siva-mayI-vANItaMtyajet-aDamaMyaTAH // ŚivS-_1,23.13cd/
   śaivaṃnāmayathāgaṃgāvibhūtiryamunāmatā // ŚivP_1,23.14ab/	SEvaMnAma-yaTA-gaMgA-viBUtiryamunA-matA // ŚivS-_1,23.14ab/
   rudrākṣaṃ vidhijāproktāsarvapāpāvināśinī // ŚivP_1,23.14cd/	rudrAkzam viDi-jA-proktA-sarva-pApa-avinASinI // Śivj-_1,23.14cd/
   śarīrecatrayaṃyasyatatphalaṃcaikataḥsthitam // ŚivP_1,23.15ab/	SarIreca-trayaMyasya-tad-PalaMca-ekatas-sTitam // ŚivS-_1,23.15ab/
   ekatoveṇikāyāścasnānajaṃtuphalaṃbudhaiḥ // ŚivP_1,23.15cd/	ekatoveNikAyAH-ca-snAna-jaMtu-PalaMbuDEH // Śivj-_1,23.15cd/
   tadevaṃtulitaṃpūrvaṃbrahmaṇāhitakāriṇā // ŚivP_1,23.16ab/	tat-evaMtulitaMpUrvaMbrahmaNA-Ahita-kAriNA // ŚivS-_1,23.16ab/
   samānaṃ caivatajjātaṃtasmāddhāryaṃsadābudhaiḥ // ŚivP_1,23.16cd/	samAnam ca-eva-tajjAtaMtasmAt-DAri-aMsa-dA-buDEH // Śivj-_1,23.16cd/
   taddinaṃhisamārabhyabrahmaviṣṇvādibhiḥsaraiḥ // ŚivP_1,23.17ab/	tad-dinaMhi-samAraBya-brahma-vizNu-AdiBiH-sarEH // ŚivS-_1,23.17ab/
   dhāryate tritayaṃtaccadarśanātpāpahārakam // ŚivP_1,23.17cd/	DAryate tritayaMtat-ca-darSanAt-pApa-hArakam // Śivj-_1,23.17cd/
   ṛṣya ūcuḥ	RzyaH UcuH
   īdṛśaṃhiphalaṃproktaṃnāmāditritayodbhavam // ŚivP_1,23.18ab/	IdRSaMhi-PalaMproktaMnAma-Adi-tritaya-udBavam // ŚivS-_1,23.18ab/
   tanmāhātmyaṃviśeṣeṇavaktumarhasisuvrata // ŚivP_1,23.18cd/	tat-mAhAtmi-aMviSezeNa-vaktum-arhasi-suvrataH // Śivj-_1,23.18cd/
   sūta uvāca	sUtaH uvAca
   ṛṣayohimahāprājñāḥ sacchaivājñānināṃmarāḥ // ŚivP_1,23.19ab/	Rzayohi-mahA-prAjQAH sa=-SEva-ajQAni-nAMmarAH // ŚivS-_1,23.19ab/
   tanmāhātmyaṃhisadbhaktyāśṛṇutādaratodvijāḥ // ŚivP_1,23.19cd/	tad-mAhAtmi-aMhi-sad-BaktyA-aSRNu-tAda-ratA-udvijAH // Śivj-_1,23.19cd/
   sugūḍhamapi śāstreṣupurāṇeśrutiṣvapi // ŚivP_1,23.20ab/	su-gUXam-api SAstra-izu-purANeSrutizu-api // ŚivS-_1,23.20ab/
   bhavatsnehānmayā viprāḥprakāśaḥ kriyate 'dhunā // ŚivP_1,23.20cd/	Bavat-snehAt-mayA viprAH-prakASaH kriyate aDunA // ŚivS-_1,23.20cd/
   kastattritayamāhātmyaṃsaṃjānātidvijottamāḥ // ŚivP_1,23.21ab/	kaH-tad-tritaya-mAhAtmyaMsaMjAna-ati-dvijottamAH // ŚivS-_1,23.21ab/
   maheśvaraṃvināsarvaṃbrahmāṇḍesadasatparam // ŚivP_1,23.21cd/	maheSvaraMvinA-asarvaMbrahmANxesat-asat-param // ŚivS-_1,23.21cd/
   vacmyahaṃnāmamāhātmyaṃyathābhaktisamāsataḥ // ŚivP_1,23.22ab/	vacmi-ahaMnAmamAhAtmyaMyaTA-Bakti-samAsataH // ŚivS-_1,23.22ab/
   śṛṇutaprītitoviprāḥ sarvapāpaharaṃparam // ŚivP_1,23.22cd/	SRNuta-prItitaH-viprAH sarva-pApa-haraMparam // Śivj-_1,23.22cd/
   śivetināmadāvāgnermahāpātakaparvatāḥ // ŚivP_1,23.23ab/	Siva-iti-nAma-dAva-agneH-mahApAtaka-parvatAH // ŚivS-_1,23.23ab/
   bhasmībhavaṃtyanāyāsātsatyaṃsatyaṃnasaṃśayaḥ // ŚivP_1,23.23cd/	BasmIBavaMti-anAyAsAt-satyaMsati-aMna-saMSayaH // Śivj-_1,23.23cd/
   pāpamūlāni duḥkhānivividhānyapiśaunaka // ŚivP_1,23.24ab/	pApa-mUlAni duHKAni-viviDAni-apiSOnakaH // ŚivS-_1,23.24ab/
   śivanāmaikanaśyāninānyanaśyānisarvathā // ŚivP_1,23.24cd/	Siva-nAma-eka-naSyAninAni-ana-SyAni-sarvaTA // ŚivS-_1,23.24cd/
   savaidikaḥ sapuṇyātmāsadhanyassabudhomataḥ // ŚivP_1,23.25ab/	sa-vEdikaH sa-puNya-AtmAsa-Danyassa-buDomataH // ŚivS-_1,23.25ab/
   śivanāmajapāsaktoyonityaṃbhuvimānava // ŚivP_1,23.25cd/	Siva-nAma-japa-AsaktaH-yonityaMBuvimAnavaH // Śivj-_1,23.25cd/
   bhavaṃtivividhādharmāsteṣāṃsadyaḥphalonmukhāḥ // ŚivP_1,23.26ab/	BavaMti-viviDa-aDarmAH-tezAMsat-yaH-Pala-unmuKAH // ŚivS-_1,23.26ab/
   yeṣāṃbhavativiśvāsaḥśivanāmajapemune // ŚivP_1,23.26cd/	yeza-aMBavati-viSvAsaH-Siva-nAma-japemune // Śivj-_1,23.26cd/
   pātakānivinaśyaṃtiyāvaṃtiśivanāmataḥ // ŚivP_1,23.27ab/	pAtakAnivinaSyaMti-yAvaMti-Siva-nAmataH // ŚivS-_1,23.27ab/
   bhuvitāvaṃtipāpānikriyaṃtenanarairmune // ŚivP_1,23.27cd/	Buvita-avaMtipApa-anikriyaMtena-narEH-mune // Śivj-_1,23.27cd/
   brahmahatyādipāpānāṃrāśīnapramitānmune // ŚivP_1,23.28ab/	brahmahatyA-Adi-pApAnAMrASIna-pramitAn-mune // ŚivS-_1,23.28ab/
   śivanāmadrutaṃproktaṃnāśayatyakhilānnaraiḥ // ŚivP_1,23.28cd/	SivanAmadrutaMproktaMnASayati-aKilAt-narEH // Śivj-_1,23.28cd/
   śivanāmatarīṃprāpyasaṃsārābdhiṃtaraṃtiye // ŚivP_1,23.29ab/	Siva-nAma-tarIMprApya-saMsAra-abDiMtaraMtiye // ŚivS-_1,23.29ab/
   saṃsāramūlapāpānitāninaśyaṃtyasaṃśayam // ŚivP_1,23.29cd/	saMsAra-mUla-pApAnitA-ninaSyaMti-asaMSayam // Śivj-_1,23.29cd/
   saṃsāramūlabhūtānāṃpātakānāṃmahāmune // ŚivP_1,23.30ab/	saMsAra-mUla-BUtAnAMpAtakAnAMmahA-mune // ŚivS-_1,23.30ab/
   śivanāmakuṭhāreṇavināśojāyatedhruvam // ŚivP_1,23.30cd/	Siva-nAma-kuWAreNa-vinASaH-jAyata-iDruvam // Śivj-_1,23.30cd/
   śivanāmāmṛtaṃpeyaṃpāpadāvānalārditaiḥ // ŚivP_1,23.31ab/	Siva-nAma-amRtaMpeyaMpApa-dAva-anala-arditEH // ŚivS-_1,23.31ab/
   pāpadāvāgnitaptānāṃśāṃtistenavinānahi // ŚivP_1,23.31cd/	pApa-dAva-agni-taptAna-aMSa-aMtiH-tena-vinAnahi // Śivj-_1,23.31cd/
   śivetināmapīyūṣavarṣavarṣadhārāpariplutāḥ // ŚivP_1,23.32ab/	Siva-iti-nAma-pIyUza-varza-varza-DArA-pariplutAH // ŚivS-_1,23.32ab/
   saṃsāradavamadhyepinaśocaṃtikadācana // ŚivP_1,23.32cd/	saMsAra-davam-aDyepina-SocaMtika-dAcana // Śivj-_1,23.32cd/
   śivanāmnimahadbhaktirjātāyeṣāṃmahātmanām // ŚivP_1,23.33ab/	Siva-nAmni-mahat-BaktiH-jAtAya-izAM-mahAtmanAm // ŚivS-_1,23.33ab/
   tadvidhānāṃtusahasāmuktirbhavatisarvathā // ŚivP_1,23.33cd/	tad-viDAna-aMtu-sahasa-amuktiH-Bavati-sarvaTA // ŚivS-_1,23.33cd/
   anekajanmabhiryenatapastaptaṃmunīśvara // ŚivP_1,23.34ab/	aneka-janmaBiH-yena-tapaH-taptaMmuni-ISvaraH // ŚivS-_1,23.34ab/
   śivanāmnibhavedbhaktiḥsarvapāpāpahāriṇī // ŚivP_1,23.34cd/	Siva-nAmniBavet-BaktiH-sarva-pApa-apahAriNI // Śivj-_1,23.34cd/
   yasyā sādhāraṇaṃ śaṃbhunāmnibhaktirakhaṃḍitā // ŚivP_1,23.35ab/	yasyAH sADAraNam SaMBu-nAmniBaktiH-aKaMxitAH // ŚivS-_1,23.35ab/
   tasyaivamokṣaḥ sulabhonānyasyetimatirmama // ŚivP_1,23.35cd/	tasya-eva-m-okzaH sulaBa-UnA-anyasya-iti-matiH-mama // ŚivS-_1,23.35cd/
   kṛtvāpyanekapāpāniśivanāmajapādaraḥ // ŚivP_1,23.36ab/	kRtvA-api-aneka-pApa-aniSiva-nAma-japa-AdaraH // ŚivS-_1,23.36ab/
   sarvapāpavinirmuktobhavatyevanasaṃśayaḥ // ŚivP_1,23.36cd/	sarva-pApa-vinirmuktA-uBavati-evana-saMSayaH // Śivj-_1,23.36cd/
   bhavaṃtibhasmasādvṛkṣādavadagdhāyathāvane // ŚivP_1,23.37ab/	BavaMti-BasmasAt-vRkzAt-avadagDAyaTa-avane // ŚivS-_1,23.37ab/
   tathātāvaṃtidagdhānipāpāniśivanāmataḥ // ŚivP_1,23.37cd/	taTA-AtAvaMti-dagDa-anipApAniSiva-nAmataH // ŚivS-_1,23.37cd/
   yonityaṃbhasmapūtāṃgaḥ śivanāmajapādaraḥ // ŚivP_1,23.38ab/	yoniti-aMBasma-pUta-aMgaH Siva-nAma-japa-AdaraH // ŚivS-_1,23.38ab/
   saṃtaratyevasaṃsāraṃsaghoramapiśaunaka // ŚivP_1,23.38cd/	saMtarati-eva-saMsAraMsa-Goram-apiSOnakaH // ŚivS-_1,23.38cd/
   brahmasvaharaṇaṃkṛtvāhatvāpibrāhmaṇānbahūn // ŚivP_1,23.39ab/	brahma-sva-haraNaMkRtvA-aha-tva-api-brAhmaNAn-bahUn // ŚivS-_1,23.39ab/
   nalipyatenaraḥ pāpaiḥśivanāmajapādaraḥ // ŚivP_1,23.39cd/	na-lipyatenaraH pApEHSiva-nAma-japa-AdaraH // Śivj-_1,23.39cd/
   vilokyavedānakhilāñchivanāmajapaḥparam // ŚivP_1,23.40ab/	vilokya-vedAn-aKilAn-Siva-nAma-japaH-param // ŚivS-_1,23.40ab/
   saṃsāratāraṇopāya itipūrvairviniścitaḥ // ŚivP_1,23.40cd/	saMsAra-tAraNa-upAyaH iti-pUrvEH-viniScitaH // Śivj-_1,23.40cd/
   kiṃbahūktyāmuniśreṣṭhāḥ ślokenaikenavacmyaham // ŚivP_1,23.41ab/	kiMbahUktyAmuni-SrezWAH Slokena-ekena-vacmi-aham // ŚivS-_1,23.41ab/
   śivanāmnomahimānaṃsarvapāpāpahāriṇam // ŚivP_1,23.41cd/	Siva-nAmnaH-mahimAnaMsarva-pApa-apahAriNam // Śivj-_1,23.41cd/
   pāpānāṃharaṇeśaṃbhornāmaḥ śaktirhipāvanī // ŚivP_1,23.42ab/	pApAnAMha-raNa-ISaMBoH-nAmaH SaktiH-hipAvanI // ŚivS-_1,23.42ab/
   śaknotipātakaṃtāvatkartuṃnāpinaraḥ kvacit // ŚivP_1,23.42cd/	SaknotipAta-kaMtAvat-kartuMna-apinaraH kvacid // Śivj-_1,23.42cd/
   śivanāmaprabhāveṇalebhesadgatimuttamām // ŚivP_1,23.43ab/	Siva-nAma-praBAveNa-leBa-Isat-gatim-uttamAm // ŚivS-_1,23.43ab/
   indradyumnanṛpaḥpūrvaṃmahāpāpaḥ purāmune // ŚivP_1,23.43cd/	indradyumna-nRpaH-pUrvaMmahA-pApaH purA-mune // Śivj-_1,23.43cd/
   tathākāciddvijāyoṣāsaumunebahupāpinī // ŚivP_1,23.44ab/	taTA-akAcid-dvija-AyozA-sOmunebahupApinI // ŚivS-_1,23.44ab/
   śivanāmaprabhāveṇalebhesadgatimuttamām // ŚivP_1,23.44cd/	Siva-nAma-praBAveNa-leBa-Isat-gatim-uttamAm // Śivj-_1,23.44cd/
   ityuktaṃvodvijaśreṣṭhānāmamāhātmyamuttamam // ŚivP_1,23.45ab/	iti-uktaMvA-udvijaSrezWAnAm-amAhAtmyam-uttamam // ŚivS-_1,23.45ab/
   śṛṇudhvaṃbhasmamāhātmyaṃsarvapāvanapāvanam // ŚivP_1,23.45cd/	SRNuDvaMBasma-mAhAtmyaMsarva-pAvana-pAvanam // Śivj-_1,23.45cd/
   iti śrīśivamahāpurāṇe vidyeśvarasaṃhitāyāṃ	iti SrI-Siva-mahApurANe vidyeSvara-saMhitAyAm
   sādhyasādhanakhaṃḍeśivanamamāhātmyavarṇanonāmatrayoviṃśo 'dhyāyaḥ	sADyasADanaKaMxeSivanam-amAhAtmyavarNanonAma-trayoviMSaH aDyAyaH
   Chapter 24	ChapteH 24
   sūta uvāca	sUtaH uvAca
   dvividhaṃbhasmasaṃproktaṃsarvamaṃgaladaṃparam // ŚivP_1,24.1ab/	dviviDaMBasma-saMproktaMsarva-maMgala-daMparam // ŚivS-_1,24.1ab/
   tatprakāramahaṃvakṣyesāvadhānatayāśṛṇu // ŚivP_1,24.1cd/	tad-prakAram-ahaMvakzya-Isa-avaDAna-tayA-aSRNu // Śivj-_1,24.1cd/
   ekaṃjñeyaṃ mahābhasmadvitīyaṃsvalpasaṃjñakam // ŚivP_1,24.2ab/	ekaMjQA-iyam mahA-Basma-dvitIyaMsu-alpa-saMjQakam // ŚivS-_1,24.2ab/
   mahābhasma itiproktaṃbhasmanānāvidhaṃparam // ŚivP_1,24.2cd/	mahA-BasmaH iti-proktaMBasma-nAnA-viDaMparam // Śivj-_1,24.2cd/
   tadbhasmatrividhaṃproktaṃśrotaṃsmārtaṃcalaukikam // ŚivP_1,24.3ab/	tad-Basma-triviDaMproktaMSrotaMsmArtaMcalOkikam // ŚivS-_1,24.3ab/
   bhasmaiva svalpasajñāhibahudhāparikīrtitam // ŚivP_1,24.3cd/	Basma-eva svalpa-sajQa-ahi-ba-huDA-parikIrtitam // Śivj-_1,24.3cd/
   śrautaṃbhasmatathāsmārtaṃdvijānāmevakīrtitam // ŚivP_1,24.4ab/	SrOtaMBasma-taTA-asmArtaMdvijAnAm-eva-kIrtitam // ŚivS-_1,24.4ab/
   anyeṣāmapisarveṣāmaparaṃbhasmalaukikam // ŚivP_1,24.4cd/	anyezAm-apisarvezAm-aparaMBasma-lOkikam // Śivj-_1,24.4cd/
   dhāraṇaṃmaṃtrataḥ proktaṃdvijānāṃmunipuṃgavaiḥ // ŚivP_1,24.5ab/	DAraNaMmaMtrataH proktaMdvijAnAM-muni-puMgavEH // ŚivS-_1,24.5ab/
   kevalaṃdhāraṇaṃjñeyamanyeṣāṃmaṃtravarjitam // ŚivP_1,24.5cd/	kevalaMDAraNaMjQeyam-anyezAMmaMtra-varjitam // Śivj-_1,24.5cd/
   āgneyamucyatebhasmadagdhagomayasaṃbhavam // ŚivP_1,24.6ab/	Agneyam-ucyateBasma-dagDa-gomaya-saMBavam // ŚivS-_1,24.6ab/
   tadāpidravyamityuktaṃtripuṃḍrasyamahāmune // ŚivP_1,24.6cd/	tadA-apidravyam-iti-uktaMtri-puMxrasya-mahA-mune // Śivj-_1,24.6cd/
   agnihotrotthitaṃbhasmasaṃgrāhyaṃvāmanīṣibhiḥ // ŚivP_1,24.7ab/	agnihotra-utTitaMBasma-saMgrAhi-aMvAmanIziBiH // ŚivS-_1,24.7ab/
   anyayajñotthitaṃvāpitripuṇḍrasyacadhāraṇe // ŚivP_1,24.7cd/	anya-yajQa-utTitaMvA-pi-tripuNxrasya-ca-DAraNe // Śivj-_1,24.7cd/
   agnirityādibhirmaṃtrairjābālopaniṣadgateḥ // ŚivP_1,24.8ab/	agniH-ityAdiBiH-maMtrEH-jA-bAla-upanizad-gateH // ŚivS-_1,24.8ab/
   saptabhidhūlanaṃkāryaṃbhasmanāsajalenaca // ŚivP_1,24.8cd/	saptaBiDUla-naMkArI-aMBasma-nAsa-jalena-ca // Śivj-_1,24.8cd/
   varṇānāmāśramāṇāṃcamaṃtratomaṃtratopi ca // ŚivP_1,24.9ab/	varNAnAm-ASramANAMcamaMtratomaMtratopi ca // ŚivS-_1,24.9ab/
   tripuṃḍroddhūlanaṃproktajābālairādareṇaca // ŚivP_1,24.9cd/	tripuMxra-udDUla-naMprokta-jA-bAlEH-AdareNa-ca // Śivj-_1,24.9cd/
   bhasmanoddhūlanaṃcaivayathātiryaktripuṃḍrakam // ŚivP_1,24.10ab/	BasmanA-udDUla-naMcEvayaTA-tiryak-tripuMxrakam // ŚivS-_1,24.10ab/
   pramādādapimokṣārthīnatyajeditiviśrutiḥ // ŚivP_1,24.10cd/	pramAdAt-api-mokza-arTInatyajet-iti-viSrutiH // ŚivS-_1,24.10cd/
   śivenaviṣṇunācaivatathātiryaktripuṃḍrakam // ŚivP_1,24.11ab/	Sivena-vizNunA-acA-eva-taTA-atiryak-tripuMxrakam // ŚivS-_1,24.11ab/
   umādevīcalakṣmīṃścavācānyābhiścanityaśaḥ // ŚivP_1,24.11cd/	umA-devIcalakzmIn=-cavAca-ani-ABiH-ca-nityaSaH // ŚivS-_1,24.11cd/
   brāhmaṇaiḥ kṣatriyairvaiśyaiḥ śūdrairapicasaṃskaraiḥ // ŚivP_1,24.12ab/	brAhmaNEH kzatriyEH-vESyEH SUdrEH-apica-saMskarEH // ŚivS-_1,24.12ab/
   apabhraṃśairdhṛtaṃbhasmatripuṃḍroddhūlanātmanā // ŚivP_1,24.12cd/	apaBraMSEH-DRtaMBasma-tripuMxra-udDUlana-AtmanA // ŚivS-_1,24.12cd/
   uddhūlanaṃtripuṃḍraṃcaśraddhayānācaraṃtiye // ŚivP_1,24.13ab/	udDUla-naMtri-puMxraMca-SradDayA-anAcaraMtiye // ŚivS-_1,24.13ab/
   teṣāṃnāstisamācārovarṇāśramasamanvitaḥ // ŚivP_1,24.13cd/	tezAn=-Asti-samAcAraH-varNa-ASrama-samanvitaH // ŚivS-_1,24.13cd/
   uddhūlanaṃtripuṃḍraṃcaśraddhayānācaraṃtiye // ŚivP_1,24.14ab/	udDUla-naMtri-puMxraMca-SradDayA-anAcaraMtiye // ŚivS-_1,24.14ab/
   teṣāṃnāstivinimuṃktissaṃsārājjanmakoṭibhiḥ // ŚivP_1,24.14cd/	tezAMnAsti-vinimuMkti-ssaMsArAt-janma-kowiBiH // ŚivS-_1,24.14cd/
   uddhūlanaṃtripuṃḍraṃcaśraddhayānācarantiye // ŚivP_1,24.15ab/	udDUla-naMtri-puMxraMca-SradDayA-anAcarantiye // ŚivS-_1,24.15ab/
   teṣāṃnāstiśivajñānaṃkalpakoṭiśatairapi // ŚivP_1,24.15cd/	tezAMnAsti-Siva-jQAnaMkalpa-kowi-SatEH-api // Śivj-_1,24.15cd/
   uddhūlanaṃtripuṃḍraṃ ca śraddhayānācarantiye // ŚivP_1,24.16ab/	udDUla-naMtri-puMxram ca SradDayA-anAcarantiye // ŚivS-_1,24.16ab/
   temahāpātakairyuktā itiśāstrīyanirṇayaḥ // ŚivP_1,24.16cd/	temahApAtakEH-yuktAH iti-SAstrIya-nirNayaH // Śivj-_1,24.16cd/
   uddhūlanaṃtripuṃḍraṃcaśraddhayānācaranti ye // ŚivP_1,24.17ab/	udDUla-naMtri-puMz-raMca-SradDayA-anAcaranti ye // ŚivS-_1,24.17ab/
   teṣāmācaritaṃ sarvaṃviparītaphalāya hi // ŚivP_1,24.17cd/	tezAm-Acaritam sarvaMviparIta-PalAya hi // Śivj-_1,24.17cd/
