   Abhidharmadīpaḥ	ABiDarma-dIpaH
   daśeha duḥkhadṛggheyāḥ sapta hetvīkṣaṇakṣayāḥ /	daSa-iha duHKa-dRS-heyAH sapta hetvIkzaNa-kzayAH /
   saptāpavargadṛggheyāḥ aṣṭau mārgekṣaṇakṣayāḥ // [265] //	sapta-apavarga-dRS-heyAH azwO mArga-IkzaNa-kzayAH // [265] //
   dṛṣṭiheyāvalambitvātsadākāraparigrahāt /	dRzwi-heya-avalambi-tvAt-sat-AkAra-parigrahAt /
   rāgādayastu catvāro jñeyā mārgadvayakṣayāḥ // [266] //	rAga-AdayaH-tu catvAraH jQeyAH mArga-dvaya-kzayAH // [266] //
   pratikalpavaśotpatterdṛṣṭikāṅkṣetu dṛkkṣaye /	pratikalpa-vaSa-utpatteH-dRzwi-kAFkzetu dRkkzaye /
   rūpepyevaṃ tathārūpye pratighānuśayādṛte // [267] //	rUpepi-evam taTA-ArUpye pratiGa-anuSayAt-Rte // [267] //
   bhavāgre kṣāntiheyā ye dṛggheyā eva te matāḥ /	Bava-agre kzAnti-heyAH ye dRS-GeyAH eva te matAH /
   jñānavadhyāstu ye tasminnabhyāsenaiva tatkṣayaḥ // [268] //	jQAna-vaDyAH-tu ye tasmin=-aByAsena-eva tad-kzayaH // [268] //
   ahaṃ mameti yā dṛṣṭirasau satkāyadṛk smṛtā /	aham mama-iti yA dRzwiH-asO satkAya-dRS smRtA /
   taducchedadhruvagrāhau yau sāntargrāhadṛṅmatā // [269] //	tad-ucCeda-Druva-grAhO yO sa-antar-grAha-dRS-matA // [269] //
   phalahetvapavādo yaḥ sā mithyādṛṣṭirucyate /	Pala-hetu-apavAdaH yaH sA miTyAdRzwiH-ucyate /
   jñeyo dṛṣṭiparāmarśaḥ hīnavastūttamagrahaḥ // [270] //	jQeyaH dRzwi-parAmarSaH hIna-vastu-uttama-grahaH // [270] //
   ahetāvapathe caiva taddhi śīlavratāvhayaḥ /	ahetOvapaTe ca-eva tat-hi SIla-vratO=-hayaH /
   duḥkhabhrāntyapathādānāttaduṣṭyutsārya eva saṃ // [271] //	duHKa-BrAnti-apaTA-dAna-Atta-duzwi-utsAryaH eva sam // [271] //
   satkāyadṛṣṭyavacchedo dharmamātrekṣaṇādyataḥ /	sat-kAya-dRzwi-avacCedaH Darma-mAtra-IkzaNAt-yatas /
   duḥkhābhisamaye tacca taddṛggheyaiva so 'pyataḥ // [272] //	duHKa-aBisamaye tat-ca tad-dRS-heyA-eva saH api-atas // [272] //
   dvayaṃ dṛṣṭiparāmārśādekaḥ satkāyadṛṣṭitaḥ /	dvayam dRzwi-parAma-arSAt-ekaH satkAya-dRzwitaH /
   antargrāhārdhamanyastu viparyāsaḥ prakalpyate // [273] //	antar-grAha-arDam-anyaH-tu viparyAsaH prakalpyate // [273] //
   nitīraṇasamāropaviparītapravṛttitaḥ /	nitIraNa-samAropa-viparIta-pravRttitaH /
   viparyāsoktireṣveva dṛgvaṣā(śāt) cittasaṃjñayoḥ // [274] //	viparyAsa-uktiH-ezu-eva dRS-vazA(SAt) citta-saMjQayoH // [274] //
   sapta mānavidhāstribhyo nava mānavidhāstridhā /	sapta mAnaviDAH-triByaH nava mAnaviDAH-triDA /
   tridhātyunnamanādibhyaḥ svotkarṣādyasti nāstitā // [275] //	triDA-ati-unnamana-AdiByaH sva-utkarza-Adi-asti na-astitAH // [275] //
   va dhādiparyavasthānaṃ kaukṛtyamaśubhaṃ vidhāḥ /	va DAdi-paryavasTAnam kOkRtyam-aSuBam viDAH /
   vibhavecchā ca nāryasya jāyante hetvabhāvataḥ // [276] //	viBava-icCA ca nAryasya jAyante hetu-aBAvataH // [276] //
   duḥkhātsamudayāccaiva sarvagānāṃ vyavasthitiḥ /	duHKAt-samudayAt-ca-eva sarvagAnAm vyavasTitiH /
   taddṛṣṭiheyajātināṃ sarvāsāṃ dvipadasthiteḥ // [277] //	tad-dRzwi-heya-jAtinAm sarvAsAm dvipada-sTiteH // [277] //
   kāṅkṣā pañca dṛśo 'vidyā tadvyāmiśrātha kevalāḥ /	kAFkzA paQca dRSaH avidyA tad-vyAmiSrATa kevalAH /
   sapta sarvatragā duḥkhaddhenorebhyaścatuṣṭayam // [278] //	sapta sarvatragAH duHKadDena-ureByaH-catuzwayam // [278] //
   dravyato daśa caikaśca nāmnā sapta tu te matāḥ /	dravyataH daSa ca-ekaH-ca nAmnA sapta tu te matAH /
   rāgapratighamānāstu paricchedapravartiṇaḥ (naḥ) // [279] //	rAga-pratiGamAnAH-tu paricCeda-pravartiNaH (naH) // [279] //
   prakārāntaravartitvātsakṛtsarvasvabhūgatiḥ /	prakAra-antara-varti-tvAt-sakRt-sarva-sva-BU-gatiH /
   dhātvantarāvalambitvātpūrvoktā eva sarvagāḥ // [280] //	DAtu-antara-avalambi-tvAt-pUrva-uktAH eva sarvagAH // [280] //
   navordhvadhātukāsteṣāmādyā dṛṣṭidvayādṛte /	nava-UrDva-DAtukAH-tezAm-AdyAH dRzwi-dvayAt-Rte /
   teṣāṃ sahabhuvo dharmāḥ prāptivarjyāśca sarvagāḥ // [281] //	tezAm sahaBuvaH DarmAH prApti-varjyAH-ca sarvagAH // [281] //
   kāṅkṣāmithyādṛgābhyāṃ ca miśrāvidyātha kevalā /	kAFkzA-miTyAdRgAByAm ca miSrAvidyA-aTa kevalAH /
   nirodhamārgadṛggheyāḥ ṣaḍete nirmalekṣiṇaḥ // [282] //	niroDa-mArga-dRS-heyAH zaw-ete nirmala-IkziNaH // [282] //
   svabhūmereva nirvāṇaṃ mārgastha (rgaḥ ṣa)nna(ṇṇa)vabhūmikaḥ /	sva-BUmeH-eva nirvANam mArga-sTa (rgaH za)nna(NNa)vaBUmikaH /
   taddṛśyaviśa(ṣa)yo 'nyo 'nyo hetutvāddhetubhāvataḥ // [283] //	tad-dRSya-viSa(za)yaH anyaH anyaH hetu-tvAt-hetu-BAvataH // [283] //
   na rāgaḥ śaktyahetutvānna dveṣo[ ']naparādhataḥ /	na rAgaH Sakti-ahetu-tvAt-na dvezaH-[ a]na-parADataH /
   namāno 'tipraśāntatvānna bhāvatvād dṛśo 'parāḥ // [284] //	namAnaH ati-praSAnta-tvAt-na BAva-tvAt dRSaH aparAH // [284] //
   sarvago 'nuśayaḥ kṛtsnāmanuśete svadhātugaḥ /	sarvagaH anuSayaH kRtsnAm-anuSete sva-DAtu-gaH /
   svāmālambanato bhūmiṃ svanikāyaṃ tvasarvagaḥ // [285] //	svAm-a-AlambanataH BUmim sva-nikAyam tu-asarva-gaH // [285] //
   asvīkārādvipakṣatvānnordhvabhūmārgagocaraḥ /	asvIkArAt-vipakza-tvAt-na-UrDva-BU-mArga-gocaraH /
   saṃprayogini(ṇi) tu svasminnahīne saṃprayogataḥ // [286] //	saMprayogi-ni(Ni) tu svasmin=-ahIne saMprayogataH // [286] //
   dhātrīvastramalanyāyaiḥ khacarāmbucarakramaiḥ /	DAtrI-vastra-mala-nyAyEH Ka-cara-ambu-cara-kramEH /
   ete 'nuśerate yasmāttasmādanuśayāḥ smṛtāḥ // [287] //	ete anuSerate yasmAt-tasmAt-anuSayAH smRtAH // [287] //
   svairiṣṭādibhinā (rā)kāraiḥ paramāṇukṣaṇeṣvapi /	svEH-izwa-AdiBinA (rA)kArEH paramANu-kzaNezu-api /
   yato 'nuśerate caiti(te) tataścānuśayā matāḥ // [288] //	yatas anuSerate ca-eti(te) tatas-ca-anuSayAH matAH // [288] //
   abhidharmadīpe vibhāṣāprabhāyāṃ vṛttau pañcamasyādhyāyasya prathamaḥ pādaḥ	aBiDarma-dIpe viBAzA-praBAyAm vRttO paQcamasya-aDyAyasya praTamaH pAdaH
   pañcamādhyāye dvitīyapādaḥ /	paQcama-aDyAye dvitIya-pAdaH /
   ādyaṃ dṛṣṭidvayaṃ kāme nivṛtāvyākṛtaṃ matam /	Adyam dRzwi-dvayam kAme nivRta-avyAkRtam matam /
   dhātudvaye tu sarve 'pi nivṛtāvyākṛtā malāḥ // [289] //	DAtu-dvaye tu sarve api nivRta-avyAkRtAH malAH // [289] //
   kāmeṣvakuśalāḥ śeṣāḥ rāgadveṣatamāṃsyataḥ /	kAmezu-akuSalAH SezAH rAga-dveza-tamAMsi-atas /
   trīṇyevāśubhamūlāni pañcakāraṇayogataḥ // [290] //	trINi-eva-aSuBa-mUlAni paQca-kAraNa-yogataH // [290] //
   avyākṛtadvayasyāpi trīṇi mūlāni tatsamāḥ /	avyAkRta-dvayasya-api trINi mUlAni tad-samAH /
   avidyā dhīśca tṛṣṇā ca na kāṅkṣāmānadṛṣṭayaḥ // [291] //	avidyA DIH-ca tRzNA ca na kAFkzA-mAna-dRzwayaH // [291] //
   calatvādūrdhvavṛttitvādavyāpitvādyathākramam /	cala-tvAt-UrDva-vRtti-tvAt-avyApi-tvAt-yaTAkramam /
   sūtrasyārthāparijñānādaheturdhyāyivodanāt // [292] //	sUtrasya-arTa-aparijQAnAt-ahetuH-DyAyivodanAt // [292] //
   praśnavyākaraṇānyākhyaccatvāri vadatāṃ varaḥ /	praSna-vyAkaraNAni-AKyat-catvAri vadatAm varaH /
   śiṣyānāṃ(ṇāṃ) vādaśikṣārtha sthitīnāṃ ca catuṣṭayīm // [293] //	SizyAnAM(NAM) vAda-SikzA-arTa sTitInAm ca catuzwayIm // [293] //
   ekāṃśākhyaṃ vibhajyākhyaṃ pṛcchākhyaṃ sthāpyameva ca /	eka-aMSa-AKyam viBajya-AKyam pRcCA-AKyam sTApyam-eva ca /
   maraṇaprasavotkarṣajīvadravyānyatādivat // [294] //	maraNa-prasava-utkarza-jIva-dravya-anyata-Adi-vat // [294] //
   sthānavāditvasaṃjñaikā parikalpāvhayā parā /	sTAna-vAdi-tva-saMjQA-ekA parikalpa-avhayA parA /
   anyā pratipadākhyānyā jñānavāditvasaṃjñitā // [295] //	anyA pratipad-A-AKyAnyA jQAna-vAdi-tva-saMjQitAH // [295] //
   mānapratighasaṃrāgairvartamāno 'jjhitakriyaiḥ /	mAna-pratiGa-saMrAgEH-vartamAnaH ajJita-kriyEH /
   jātā yatrāprahīṇāśca saṃyuktastatra vastuni // [296] //	jAtAH yatra-aprahINAH-ca saMyuktaH-tatra vastuni // [296] //
   ajātairmāṇa(na)sairetaiḥ sarvatrānyaiḥ svakādhvikaiḥ /	ajAtEH-mANa(na)sEH-etEH sarvatra-anyEH svakADvikEH /
   sarvatrājaistathā śeṣaiḥ saṃyuktā skandhasantatiḥ // [297] //	sarvatra-AjEH-taTA SezEH saMyuktA skanDa-santatiH // [297] //
   dvayamevātra niṣpannaṃ tṛtīyaṃ tūpacārataḥ /	dvayam-eva-atra nizpannam tRtIyam tu-upacArataH /
   sadasaddhetuno(tā) yasmānmadhyasthaiśca parigrahāt // [298] //	sat-asat-hetuno(tA) yasmAt-maDya-sTEH-ca parigrahAt // [298] //
   sarvamasti pradeśo 'sti sarvaṃ nāstīti cāparaḥ /	sarvam-asti pradeSaH asti sarvam na-asti-iti ca-aparaH /
   avyākṛtāstivādīti catvāro vādinaḥ smṛtāḥ // [299] //	avyAkRtA-aH-tivAdI-iti catvAraH vAdinaH smRtAH // [299] //
   ebhyo yaḥ prathamo vādī bhajate sādhutāmalau /	eByaH yaH praTamaH vAdI Bajate sADu-ta-amalO /
   tarkābhimāninastvanye yuktyāgamabahiṣkṛtāḥ // [300] //	tarka-aBimAninaH-tu-anye yukti-Agama-bahizkRtAH // [300] //
   icchatyadhvatrayaṃ yasmā[t] kṛtyataśca dhruvatrayam /	icCati-aDva-trayam yasmA[t] kRtyataH-ca Druva-trayam /
   sarvāstivāda ityuktastasmādādyaścaturvidhaḥ // [301] //	sarva-astivAdaH iti-uktaH-tasmAt-AdyaH-caturviDaH // [301] //
   bhā[vāṅkā]nyathikākhyau dvāva[va]sthānyathiko paraḥ /	BA[vAFka-a]nyaTikA-AKyO dvO=-a[va]sTAni-aTikaH paraH /
   anyathānyathikaścānyaḥ tṛtīyo yuktivādyataḥ // [302] //	anyaTA-anyaTikaH-ca-anyaH tRtIyaH yukti-vAdyataH // [302] //
   kāritreṇādhvanāmepa vyavasthāmabhivāñchati /	kAritreNa-aDvanAm-epa vyavasTAm-aBivAQCati /
   tatkurvanvartamāno 'dhvā kṛte 'tīto 'kṛte paraḥ // [303] //	tat-kurvan-vartamAnaH aDvA kRte atItaH akRte paraH // [303] //
   buddhyā yasyekṣyate cinhaṃ tatsaṃjñeyaṃ caturvidham /	budDyA yasya-Ikzyate cinham tat-saMjQA-iyam caturviDam /
   paramārthena saṃvṛttyā dvayenāpekṣayāpi ca // [304] //	parama-arTena saMvRttyA dvayena-apekzayA-api ca // [304] //
   sadatītāsamutpannaṃ buddhoktervartamānavat /	sat-atIta-asamutpannam budDa-ukteH-vartamAna-vat /
   dhīnāmagocaratvacca tatsattvaṃ vartamānabat // [305] //	DInAm-agocara-tvat-ca tat-sattvam vartamAna-bat // [305] //
   nāsadālambanā buddhirāgamādupapattitaḥ /	nAsat-AlambanA budDiH-AgamAt-upapattitaH /
   anyāpekṣye 'tha saṃbandhapratiṣedho 'śvaśṛṅgayoḥ // [306] //	anya-apekzye aTa saMbanDa-pratizeDaH aSva-SRFgayoH // [306] //
   rūpādau vastuni kṣīṇe satyevotpadyate matiḥ /	rUpa-AdO vastuni kzINe sati-eva-utpadyate matiH /
   sā jñānasyāsanākārā śāstustathānyacittavat // [307] //	sA jQAnasya-Asana-AkArA SAstuH-taTA-anya-citta-vat // [307] //
   harṣotpādabhayodvegasmṛtyutpatya(ttya)ṅgabhāvataḥ /	harza-utpAda-Baya-udvega-smRti-utpatya(tti-a)Fga-BAvataH /
   sāṅgasya śaktyabhivyakteḥ sadīpaghaṭarūpavat // [308] //	sAFgasya Sakti-aBivyakteH sa-dIpa-Gawa-rUpa-vat // [308] //
   janīhākartu sādhvatvātpañcabhāvavikāravat /	janIhAkartu sADva-tvAt-paQca-BAva-vikAra-vat /
   sataḥ kṛ(kri)yāṅgatādṛṣṭervikārya prāpyakarmavat // [309] //	sataH kR(kri)yA-aFga-tA-dRzweH-vikArya prApya-karma-vat // [309] //
   dvitīyaṃ janma jātasya vastuno nopapadyate //	dvitIyam janma jAtasya vastunaH na-upapadyate //
   mukhyasattā guṇābhāvādgaunī(ṇī)sattā na vidyate // [310] //	muKya-sattA guNa-aBAvAt-gOnI(NI)-sattA na vidyate // [310] //
   sādharmye sati tadvṛttervyāhāraṃ madhuroktivat /	sADarmye sati tad-vRtteH-vyAhAram maDura-ukti-vat /
   āviṣṭaliṅgamukhyasya janmeṣṭaṃ dārakādivat / [311] //	Avizwa-liFga-muKyasya janma-izwam dAraka-Adi-vat / [311] //
   syātkhapuṣpaiḥ khamutphullaṃ syāñjaṭālaśca darduraḥ /	syAt-KapuzpEH Kam-utPullam syAn-jawAlaH-ca darduraH /
   svabhāvo yadi bhāvanāṃ prāgabhūtvā samudbhavet // [312] //	svaBAvaH yadi BAvanAm prAc-aBUtvA samudBavet // [312] //
   sthitiśaktiparityaktāndharmānnāśānvitodayān /	sTiti-Sakti-parityaktAn-DarmAn-nASa-anvitodayAn /
   vada somya kathaṃ yāti pratītyā vastu vastutām // [313] //	vada somya kaTam yAti pratItyA vastu vastu-tAm // [313] //
   loke dṛṣṭaḥ satoreva parasparamanugrahaḥ /	loke dRzwaH satoH-eva parasparam-anugrahaH /
   tadvadevopaghāto 'pi nāśvaśṛṅgāhivā(pā)dayoḥ // [314] //	tadvat-eva-upaGAtaH api na-aSva-SRFga-ahivA(-pA)dayoH // [314] //
   yatpratītyasamutpannaṃ tatsvabhāvānna vidyate /	yat-pratItyasamutpannam tad-svaBAvAt-na vidyate /
   na vidyate svabhāvādyadvidyate tattato 'nyathā // [315] //	na vidyate svaBAvAt-yat-vidyate tat-tatas anyaTA // [315] //
   prakurvanti daśāmātraṃ hetavo vastunaḥ sataḥ /	prakurvanti daSA-mAtram hetavaH vastunaH sataH /
   rājatvaṃ rājaputrasya sātmakasyaiva mantriṇaḥ // [316] //	rAja-tvam rAja-putrasya sa-Atmakasya-eva mantriNaH // [316] //
   dharmāṇāṃ sati sāmagrye sāmarthyamupajāyate /	DarmANAm sati sAmagrye sAmarTyam-upajAyate /
   citānāṃ paramānū(ṇū) nāṃ yadvadātmopalambhane // [317] //	citAnAm para-mAnU(NU) nAm yadvat-Atma-upalamBane // [317] //
   karmātītamasadyasya phalaṃ bhāvi karotyasat /	karma-atItam-asat-yasya Palam BAvi karoti-asat /
   vyaktaṃ vandhyāsutastasya jāyate vyantarātmajāt // [318] //	vyaktam vanDyA-sutaH-tasya jAyate vyantara-AtmajAt // [318] //
   nāmasallakṣaṇābhāvād dravyasatyāṅkasiddhitaḥ /	nAma-sat-lakzaNa-aBAvAt dravya-satya-aFka-sidDitaH /
   anāgatābhyatītasya nāsti prajñaptisatyatā // [319] //	anAgata-aByatItasya na-asti prajQapti-satya-tA // [319] //
   ko vighnaḥ aṅgavaikalyam na tatsarvāstitā sadā /	kaH viGnaH aFga-vEkalyam na tat-sarva-astitA sadA /
   tatkathaṃ śrūyatāṃ sadbhyaḥ durbodhā khalu dharmatā // [320] //	tat-kaTam SrUyatAm sadByaH durboDA Kalu DarmatA // [320] //
   vartamānādhvasaṃpātāt sāmagryāṅgaparigrahāt /	vartamAna-aDva-saMpAtAt sAmagrya-aFga-parigrahAt /
   labdhaśakteḥ phalākṣepaḥ kāritramabhidhīyate // [321] //	labDa-SakteH PalAkzepaH kAritram-aBiDIyate // [321] //
   na vartamānatā rūpamatītājāna(ta)tā na ca /	na vartamAna-tA rUpam-atIta-ajAna-(-ta)tA na ca /
   yato 'to nādhvasaṃcārād rūpātmānyathateṣyate // [322] //	yatas atas na-aDva-saMcArAt rUpa-AtmA-anyaTatA-izyate // [322] //
   avasthā jāyate kācidvidyamānasya vastunaḥ /	avasTA jAyate kAcid-vidyamAnasya vastunaH /
   tathā śaktistathā velā tathā sattā tathā kriyā // [323] //	taTA SaktiH-taTA velA taTA sattA taTA kriyA // [323] //
   parikalpairjagadvyāptaṃ mūrkhacittānurañjibhiḥ /	parikalpEH-jagat-vyAptam mUrKa-citta-anuraQjiBiH /
   yastu dvidvanmanogrāhī parikalpaḥ sa durlabhaḥ // [324] //	yaH-tu dvi-dvat-manaH-grAhI parikalpaH sa durlaBaH // [324] //
   anyasarvatragairbaddhaḥ prahīṇe duḥkhadṛkkṣaye /	anya-sarvatragEH-badDaH prahINe duHKa-dRS-kzaye /
   prahīṇe prākprakāre 'pi śeṣaistadavalambibhiḥ // [325] //	prahINe prAc-prakAre api SezEH-tad-avalambiBiH // [325] //
   ṣoḍāṣa(śa) vijñeyāḥ pratyekaṃ tribhavātmakāḥ /	zoxAza(-Sa) vijQeyAH pratyekam tri-Bava-AtmakAH /
   dharmāḥ pañcadhā nirmalāścaiva vijñānāni tathaiva ca // [326] //	DarmAH paQcaDA nirmalAH-ca-eva vijQAnAni taTA-eva ca // [326] //
   dhātvāyatanasatyeṣu prakāreṣu ca lakṣayet /	DAtu-Ayatana-satyezu prakArezu ca lakzayet /
   dharmasaṃgrahavijñānajñānānuśayacoditaḥ // [327] //	Darma-saMgraha-vijQAna-jQAna-anuSaya-coditaH // [327] //
   saduḥkhahetudṛggheyāḥ kāmāptā bhāvanākṣayāḥ /	sa-duHKa-hetu-dRS-heyAH kAma-AptAH BAvanA-kzayAH /
   svakatrayaikarūpāptivirajāścittagocarāḥ // [328] //	svakatraya-eka-rUpa-Apti-virajAH-citta-gocarAH // [328] //
   atmīyādhastrayaikordhvanirmalānāṃ tu rūpajāḥ /	atmIya-aDas-traya-eka-UrDva-nirmalAnAm tu rUpa-jAH /
   ārūpyāptāstridhātvāptatrikanirmalagocarāḥ // [329] //	ArUpya-AptAH-triDAtva-Apta-trika-nirmala-gocarAH // [329] //
   sarve svādhikavijñeyāḥ samaniryāṇadṛkkṣayāḥ /	sarve sva-aDika-vijQeyAH sama-niryANa-dRS-kzayAH /
   nikleśāstribhavāptāntyatrayanirmalagocarāḥ // [330] //	nikleSAH-tri-Bava-Apta-antya-traya-nirmala-gocarAH // [330] //
   kāmāpta(ptaṃ) pañcaviṣayo rūpāptaṃ tvaṣṭagocaraḥ /	kAma-Apta(ptaM) paQca-vizayaH rUpa-Aptam tu-azwa-gocaraH /
   ārupyāptaṃ daśānāṃ tu daśānāmeva cāmalam // [331] //	Arupya-Aptam daSAnAm tu daSAnAm-eva ca-amalam // [331] //
   kāmāptamūrdhvadharmārthe vijñāne svabhuvastrayaḥ /	kAma-Aptam-UrDva-Darma-arTe vijQAne svaBuvaH-trayaH /
   rūpāptā bhāvanāheyāḥ sarvagāścānuśerate // [332] //	rUpa-AptAH BAvanA-heyAH sarvagAH-ca-anuSerate // [332] //
   catvāraḥ parivṛtte sve rūpāptāḥ khalvapi trayaḥ /	catvAraH parivRtte sve rUpa-AptAH Kalu-api trayaH /
   ārūpyāvacarāḥ sārdhaṃ sarvagairbhāvanākṣayāḥ // [333] //	ArUpya-avacarAH sArDam sarva-gEH-BAvana-akzayAH // [333] //
   tadvadeva dvitīye 'pi pañcame 'pi tathaiva ca /	tadvat-eva dvitIye api paQcame api taTA-eva ca /
   sāsravālambanāḥ sve ca tṛtīye 'pyanuśerate // [334] //	sa-Asrava-AlambanAH sve ca tRtIye api-anuSerate // [334] //
   parivṛtte tu kāmāptāḥ saṃskṛtārthāvalambinaḥ /	parivRtte tu kAma-AptAH saMskRta-arTa-avalambinaH /
   śeṣaṃ pūrvavadākhyeyam caturthe 'pi tṛtīyavat // [335] //	Sezam pUrvavat-AKyeyam caturTe api tRtIya-vat // [335] //
   parivṛtte tu kāmāptāścatvāro 'nyatra pūrvavat /	parivRtte tu kAma-AptAH-catvAraH anyatra pUrvavat /
   rūpāpte prathame 'dhastāt trayaḥ sve khalvapi trayaḥ // [336] //	rUpa-Apte praTame aDastAt trayaH sve Kalu-api trayaH // [336] //
   ārūpyāḥ sarvagāḥ sārdhaṃ bhāvanāpathasaṃkṣayai[:]	ArUpyAH sarvagAH sArDam BAvanA-paTa-saMkzayE[:]
   parivṛtte trayo 'dhastāt catvāraśca svadhātutaḥ // [337] //	parivRtte trayaH aDastAt catvAraH-ca svaDAtutaH // [337] //
   ārūpyāptāśca catvāro ṇi(ni)kāyā anuśerate /	ArUpya-AptAH-ca catvAraH Ni(-ni)kAyAH anuSerate /
   tadvadeva dvitīye 'pi pañcame 'pi tathaiva ca // [338] //	tadvat-eva dvitIye api paQcame api taTA-eva ca // [338] //
   sāsravālambanāḥ sve ca tṛtīye 'pyanu[śera]te /	sa-Asrava-AlambanAH sve ca tRtIye api-anu[Sera]te /
   parivṛte tu rūpāptāḥ saṃskṛtārthāvalambinaḥ // [339] //	parivRte tu rUpa-AptAH saMskRta-arTa-avalambinaH // [339] //
   anyattu pūrvavajjñeyaṃ caturthe 'pi tṛtīyavat /	anyat-tu pUrvavat-jQeyam caturTe api tRtIya-vat /
   tṛtīyavatparāvṛtte ārūpyādye nibodhaye[t] // [340] //	tRtIya-vat-parAvRtte ArUpya-Adye niboDaye[t] // [340] //
   sve trayaḥ kāmadhātvāptā rūpāptāśca trayastrayaḥ /	sve trayaH kAmaDAtu-AptAH rUpa-AptAH-ca trayaH-trayaH /
   rūpāptavatparāvṛtte dvītīye pañcame tathā // [341] //	rUpa-Apta-vat-parAvRtte dvItIye paQcame taTA // [341] //
   tṛtīye khalvapi sve ca sāsravārthāvalambinaḥ /	tRtIye Kalu-api sve ca sa-Asrava-arTa-avalambinaH /
   parāvṛtte svadhātvāptāḥ saṃskṛtārthāvalambinaḥ // [342] //	parAvRtte sva-DAtu-AptAH saMskRta-arTa-avalambinaH // [342] //
   anyattvādyavadākhyeyaṃ caturthe 'pi tṛtīyavat /	anyat-tvAdya-vat-AKyeyam caturTe api tRtIya-vat /
   ādyavattu parāvṛtte vijñāne nirdiśed budhaḥ // [343] //	Adya-vat-tu parAvRtte vijQAne nirdiSet buDaH // [343] //
   bhāvanāpathahātavyo nikāyaḥ sarvagaiḥ saha /	BAvanA-paTa-hAtavyaH nikAyaH sarva-gEH saha /
   anuśete dvidhātvāpto vyārūpyāścakṣurindriye // [344] //	anuSete dvi-DA-tu-AptaH vyArUpyAH-cakzuH-indriye // [344] //
   nikāyāḥ kāmarūpāptāścakṣurindriyagocare /	nikAyAH kAmarUpa-AptAH-cakzuH-indriya-gocare /
   duḥkhahetudṛgabhyāsaprahātavyāstrayastrayaḥ // [345] //	duHKa-hetu-dRS-aByAsa-prahAtavyAH-trayaH-trayaH // [345] //
   ārūpyā bhāvanāheyāḥ sarvagāścānuśerate /	ArUpyAH BAvanA-heyAH sarvagAH-ca-anuSerate /
   parivṛtte tu catvāraḥ samadṛkkṣayavarjitāḥ // [346] //	parivRtte tu catvAraH samadRk-kzaya-varjitAH // [346] //
   duḥkhendriye tu kāmāptaḥ svaireva saha sarvagaiḥ /	duHKa-indriye tu kAma-AptaH svEH-eva saha sarva-gEH /
   tadgocare tu vijñāne nikāyā anuśerate // [347] //	tad-gocare tu vijQAne nikAyAH anuSerate // [347] //
   kāmāpannāstrayo rūpā[:] sarvagābhyāsasaṃkṣayāḥ /	kAma-ApannAH-trayaH rUpa-a[:] sarvagA-aByAsa-saMkzayAH /
   paravṛtte tu catvāraḥ kāmāptā anuśerate // [348] //	para-vRtte tu catvAraH kAma-AptAH anuSerate // [348] //
   trayo rūpabhavādantyādbhāvanāheyasarvagāḥ /	trayaH rUpa-BavAt-antyAt-BAvanA-heya-sarvagAH /
   sakalā dviṣparāvṛtteścatvāraścānuśerate // [349] //	sakalAH dvizparAvRtteH-catvAraH-ca-anuSerate // [349] //
   sukhendriye tadālambe citte tadgocare 'pi ca /	suKa-indriye tad-Alambe citte tad-gocare api ca /
   kāmādyāptāḥ yathāyogaṃ sarvagāścānuśerate // [350] //	kAma-Adi-AptAH yaTAyogam sarvagAH-ca-anuSerate // [350] //
   tridhātusaṃgṛhītāstu sakalā manaindriye /	tri-DAtu-saMgRhItAH-tu sakalAH manEndriye /
   tadālambini vijñāne sarvasaṃskṛtagocarāḥ // [351] //	tad-Alambini vijQAne sarva-saMskRta-gocarAH // [351] //
   saṃskṛtālambanā eva parivṛtte 'nuśerate /	saMskRta-AlambanAH eva parivRtte anuSerate /
   viśeṣo dviḥparāvṛttau vidyate 'tra na kaścana // [352] //	viSezaH dvis-parAvRttO vidyate atra na kaScana // [352] //
   duḥkhaṃ darśanaheyādeścittāccittāni kāminaḥ /	duHKam darSana-heya-AdeH-cittAt-cittAni kAminaH /
   bhavatyanantaraṃ ṣaḍ vā tasyodardhvaṃ pañca pañca vā // [353] //	Bavati-anantaram zaw vA tasya-udarDvam paQca paQca vA // [353] //
   rūpadhātūpapannasya cittāni tu vinirdiśet /	rUpa-DAtu-upapannasya cittAni tu vinirdiSet /
   ekaṃ vā pañca vā ṣaḍ vā sapta vā yadi vā daśa // [354] //	ekam vA paQca vA zaw vA sapta vA yadi vA daSa // [354] //
   ārūpyadhātujātasya cittānīmāni lakṣayet /	ArUpya-DAtu-jAtasya cittAni-imAni lakzayet /
   svadhātukāni pañcaiva cyutikāle daśānyataḥ // [355] //	sva-DAtukAni paQca-eva cyuti-kAle daSAnyatas // [355] //
   sācivyādanuśāyitvāccittaṃ sānuśayaṃ matam /	sAcivyAt-anuSAyi-tvAt-cittam sa-anuSayam matam /
   dvidhā vā kliṣṭamakliṣṭamekadhaivāpadiśyate // [356] //	dviDA vA klizwam-aklizwam-ekaDA-eva-apadiSyate // [356] //
   mohātsatkāyadṛktasyā antagrāhekṣaṇaṃ tataḥ /	mohAt-satkAya-dRktasyAH anta-grAha-IkzaNam tatas /
