   a-u-ma tryakṣaraṃ saṃkhyaṃ JñS_26.11c	a-u-ma tri-akzaram saMKyam JQH-_26.11c
   paraliṅgāni ye kuryur JñS_16.8a	para-liFgAni ye kuryuH JQH-_16.8a
   paraliṅgāni yo 'rccayed MJ_28a	para-liFgAni yaH arccayet M=-_28a
   parasvarga udīryate GNP_39d	para-svargaH udIryate GNP_39d
   paraṃ kaivalyam ucyate GNP_23d	param kEvalyam ucyate GNP_23d
   paraṃ kaivalyam ucyate JñS_16.14d	param kEvalyam ucyate JQH-_16.14d
   paraṃ kaivalyam ucyate MJ_62d	param kEvalyam ucyate M=-_62d
   paraṃ kaivalyaṃ śāntidam MJ_45d	param kEvalyam SAnti-dam M=-_45d
   paraṃ kaivalyaṃ śāntidam MJ_47d	param kEvalyam SAnti-dam M=-_47d
   paraṃ cittavirahitaṃ JñS_8.3c	param citta-virahitam JQH-_8.3c
   paraṃ tatkāryyam eteṣām MJ_29d	param tat-kAryyam etezAm Mu-_29d
   paraṃ niṣkalaśūnyaṃ ca JñS_3.3c	param nizkala-SUnyam ca JQH-_3.3c
   paraṃ niṣkalaṃ śūnyaṃ ca GNP_53c	param nizkalam SUnyam ca GNP_53c
   parāni rogāṇi mūrcchantaṃ GNP_58c	parAni rogANi mUrcCantam GNP_58c
   parāparo vibhāgena JñS_9.1c	parAparaH viBAgena JQH-_9.1c
   paribhogeṣu vā punaḥ Vṛh_28b	pariBogezu vA punar VRh_28b
   paścāt paramakaivalyaṃ GNP_50c	paScAt parama-kEvalyam GNP_50c
   paścāt paramakaivalyaṃ JñS_1.1c	paScAt parama-kEvalyam JQH-_1.1c
   pāṇideśe ca mūrdhni tu JñS_10.7c	pANi-deSe ca mUrDni tu JQH-_10.7c
   pāṇideśe sadāśarvo JñS_10.15a	pANi-deSe sadASarvaH JQH-_10.15a
   pāṇau rūpyābhaṃ vijñeyaṃ MJ_37c	pANO rUpya-ABam vijQeyam M=-_37c
   pāṇyādyupasthaparyantaṃ JñS_11.8c	pANi-Adi-upasTa-paryantam JQH-_11.8c
   pātālaṃ narakaṃ smṛtam JñS_24.9d	pAtAlam narakam smRtam JQH-_24.9d
   pātālaṃ saptadhā smṛtāḥ JñS_24.3d	pAtAlam saptaDA smRtAH JQH-_24.3d
   pādayor gagane yathā JñS_11.1d	pAdayoH gagane yaTA JQH-_11.1d
   pādādinābhiparyante JñS_11.6a	pAda-AdinA-aBiparyante JQH-_11.6a
   pādau vidyā tanuḥkarā JñS_9.8b	pAdO vidyA tanuHkarA JQH-_9.8b
   pāparāśiṃ susañcitam Vṛh_65b	pApa-rASim su-saQcitam VRh_65b
   pāyudvāraś ca patālaṃ JñS_24.9c	pAyu-dvAraH ca patAlam JQH-_24.9c
   piṇḍitaḥ pañcaviṃśati JñS_11.21d	piNxitaH paQcaviMSati JQH-_11.21d
   pitṛmārgānugā nāḍī JñS_11.16c	pitR-mArga-anugA nAxI JQH-_11.16c
   pidhāya sarvadvārāṇi GNP_6a	piDAya sarva-dvArANi GNP_6a
   pidhāya sarvadvārāṇi Vṛh_56a	piDAya sarva-dvArANi VRh_56a
   pidhitvā sarvadvāraṇī JñS_15.4a	piDitvA sarva-dvAraNI JQH-_15.4a
   pītavarṇo nirātmakaḥ JñS_10.13b	pIta-varNaH nirAtmakaH JQH-_10.13b
   pītaṃ ca sūryasannibhaṃ JñS_10.9b	pItam ca sUrya-sanniBam JQH-_10.9b
   pītaṃ bhakṣyaṃ dhṛtaṃ Vṛh_43a	pItam Bakzyam DRtam VRh_43a
   pītāvāruṇī eva ca JñS_11.9d	pItAvAruNI eva ca JQH-_11.9d
   puṇḍarīkaḥ suṣuptaṃ ca MJ_48c	puNxarIkaH suzuptam ca M=-_48c
   punarbhavar iti smṛtaḥ JñS_20.1b	punarBavar iti smRtaH JQH-_20.1b
   punarbhāva iti smṛtaḥ GNP_45b	punarBAvaH iti smRtaH GNP_45b
   punar vakṣyāmi he devi JñS_26.11a	punar vakzyAmi he devi JQH-_26.11a
   punaḥ pañcavidho vinduḥ JñS_9.2a	punar paQcaviDaH vinduH JQH-_9.2a
   puruṣam avyaktaṃ viduḥ MJ_80d	puruzam avyaktam viduH M=-_80d
   puruṣaś ca pradhānaṃ ca JñS_11.21a	puruzaH ca praDAnam ca JQH-_11.21a
   puruṣaś caiva sārathiḥ MJ_15b	puruzaH ca-eva sAraTiH M=-_15b
   puruṣasya tryavasthānaṃ JñS_19.7a	puruzasya tri-avasTAnam JQH-_19.7a
   puruṣaṃ ca pitaraṃ viduḥ MJ_7b	puruzam ca pitaram viduH M=-_7b
   puruṣaḥ sthito nāgavati MJ_64b	puruzaH sTitaH nAgavati M=-_64b
   puruṣo bhasmasaṃsthitaḥ JñS_25.15b	puruzaH Basma-saMsTitaH JQH-_25.15b
   puruṣo vṛṣabhopamaḥ TJ_27b	puruzaH vRzaBa-upamaH Tu-_27b
   puruṣo vṛṣabhopamaḥ Vṛh_34b	puruzaH vRzaBa-upamaH VRh_34b
   puruṣyapṛtenantasaṃ ? MJ_27a	puruzya-pRtenantasam ? M=-_27a
   puruṣyasyantaripuhaṃ ? MJ_27c	puruzyasyantaripuham ? M=-_27c
   pūrvam āsīd gurutvaṃ yat Vṛh_68a	pUrvam AsIt guru-tvam yat VRh_68a
   pūrvvāhhne jāgrad ityuktaṃ MJ_43a	pUrvvAhhne jAgrat iti-uktam M=-_43a
   pūṣā caiva yaśā tathā Vṛh_37d	pUzA ca-eva yaSA taTA VRh_37d
   pṛthivyambunī jīryyataḥ MJ_3d	pRTivI-ambunI jIryyataH Mu-_3d
   pṛthvītvaṃ raktavarṇam tu JñS_11.6c	pRTvI-tvam rakta-varNam tu JQH-_11.6c
   pṛthvyādigaganāntaṃ JñS_11.3a	pRTvI-Adi-gagana-antam JQH-_11.3a
   prakāśayati saṃsāre JñS_27.8c	prakASayati saMsAre JQH-_27.8c
   prakṛtir līyata ātmani GNP_30c	prakRtiH lIyate Atmani GNP_30c
   prakṛtiṃ cāśrayed ātmā GNP_29a	prakRtim ca-ASrayet AtmA GNP_29a
   prakṛtiṃ cāśrayed ātmā JñS_18.2a	prakRtim ca-ASrayet AtmA JQH-_18.2a
   prakṛtes tu ravir jāto GNP_28c	prakRteH tu raviH jAtaH GNP_28c
   prakṛtes tu ravir jāto JñS_18.1c	prakRteH tu raviH jAtaH JQH-_18.1c
   praṇavatryakṣaraṃ smṛtam JñS_26.10d	praNava-tri-akzaram smRtam JQH-_26.10d
   praṇavaṃ piṇḍitaṃ smṛtam JñS_26.17d	praNavam piNxitam smRtam JQH-_26.17d
   praṇavauṅkāraś ca śivaḥ JñS_26.12d	praNavOFkAraH ca SivaH JQH-_26.12d
   praṇālo brahmā viṣṇuś ca JñS_25.18a	praNAlaH brahmA vizNuH ca JQH-_25.18a
   pratyakṣam anumānañ ca Vṛh_26a	pratyakzam anumAnan ca VRh_26a
   pratyāhāras tathā dhyānaṃ GNP_3a	pratyAhAraH taTA DyAnam GNP_3a
   pratyāhāras tathā dhyānaṃ JñS_15.1a	pratyAhAraH taTA DyAnam JQH-_15.1a
   pratyāhāras tathā dhyānaṃ Vṛh_53a	pratyAhAraH taTA DyAnam VRh_53a
   pratyāhāro nigadyate GNP_4d	pratyAhAraH nigadyate GNP_4d
   pratyāhāro nigadyate JñS_15.2d	pratyAhAraH nigadyate JQH-_15.2d
   pratyāhāro nigadyate Vṛh_54d	pratyAhAraH nigadyate VRh_54d
   prathamaṃ ca na-ma lopyā JñS_18.7a	praTamam ca na-ma lopyAH JQH-_18.7a
   prathamaṃ ca namo lopo GNP_34a	praTamam ca namaH lopaH GNP_34a
   pradīpavatmṛtyoko 'sti JñS_12.18c	pradIpa-vat-mRtyokaH asti JQH-_12.18c
   pradhānaṃ prāsādetyuktaṃ Vṛh_35a	praDAnam prAsAda-iti-uktam VRh_35a
   pradhānā nāḍyaḥ saṃsmṛtāḥ Vṛh_39b	praDAnAH nAxyaH saMsmRtAH VRh_39b
   prabhuśakti gāyatrī syāt JñS_12.5c	praBu-Sakti gAyatrI syAt JQH-_12.5c
   pramāṇaṃ trividhaṃ proktaṃ Vṛh_26c	pramANam triviDam proktam VRh_26c
   prayoktam eva vāyena JñS_12.9c	prayoktam eva vAyena JQH-_12.9c
   prayoktā vikṛte vindau JñS_12.13a	prayoktA vikRte vindO JQH-_12.13a
   prayoktodānanāgayoḥ JñS_12.11b	prayoktaH-dAna-nAgayoH JQH-_12.11b
   pralīṇaṃ ca prakīrtitam JñS_26.16d	pralINam ca prakIrtitam JQH-_26.16d
   pralīnaṃ ca nigadyate JñS_26.16b	pralInam ca nigadyate JQH-_26.16b
   pravakṣyāmi adhunā vīra JñS_19.3a	pravakzyAmi aDunA vIra JQH-_19.3a
   pravakṣyāmy adhunā vīra Vṛh_38c	pravakzyAmi aDunA vIra VRh_38c
   pravartī syāt prakopano Vṛh_45c	pravartI syAt prakopanaH VRh_45c
   pravodhanī mohanī ca JñS_11.23d	pravoDanI mohanI ca JQH-_11.23d
   pravrajyā bhikṣā hy eva ca Vṛh_25b	pravrajyA BikzA hi eva ca VRh_25b
   praśāntaṃ dīpavac chuddaṃ JñS_21.2a	praSAntam dIpa-vat Cuddam JQH-_21.2a
   prākāmyañ ca hīśitvañ ca Vṛh_66c	prAkAmyan ca hi-ISitvan ca VRh_66c
   prākāmyaṃ samudāhṛtam Vṛh_71d	prAkAmyam samudAhRtam VRh_71d
   prāṇadā prānavardhanī JñS_11.17b	prANa-dA prAna-varDanI JQH-_11.17b
   prāṇas tu dvādaśavindau JñS_12.15a	prANaH tu dvAdaSa-vindO JQH-_12.15a
   prāṇāyāmaś ca dhāraṇam Vṛh_53b	prANAyAmaH ca DAraNam VRh_53b
   prāṇāyāmo 'tha dhāraṇaṃ GNP_3b	prANAyAmaH aTa DAraNam GNP_3b
   prāṇāyāmo 'tha dhāraṇaṃ JñS_15.1b	prANAyAmaH aTa DAraNam JQH-_15.1b
   prāṇāyāmo nigadyate GNP_6d	prANAyAmaH nigadyate GNP_6d
   prāṇāyāmo nigadyate JñS_15.4d	prANAyAmaH nigadyate JQH-_15.4d
   prāṇāyāmo nigadyate Vṛh_56d	prANAyAmaH nigadyate VRh_56d
   prāṇāṣṭau sarvvabhūtānāṃ MJ_14c	prANa-azwO sarvu-aBUtAnAm M=-_14c
   prāṇe ca devadatte ca JñS_12.10a	prANe ca devadatte ca JQH-_12.10a
   prāṇo 'pānaḥ samānaś ca Vṛh_39c	prANaH apAnaH samAnaH ca VRh_39c
   prānāpaṇaḥ samānaś ca JñS_13.1c	prAnApaNaH samAnaH ca JQH-_13.1c
   prānāpānaḥ samānaś ca JñS_12.7a	prAnApAnaH samAnaH ca JQH-_12.7a
   prāptaṃ syāt tu yadātmanā Vṛh_71b	prAptam syAt tu yadA-AtmanA VRh_71b
   prāptirnāmātra sarvataḥ Vṛh_70d	prAptiH-nAma-atra sarvatas VRh_70d
   prāpyate kāraṇatrayāt Vṛh_52d	prApyate kAraNa-trayAt VRh_52d
   protañ ca maṇisūtravat Vṛh_14d	protan ca maNi-sUtra-vat VRh_14d
   phaṭkārākāśasaṃyukto GNP_55a	PawkAra-AkASa-saMyuktaH GNP_55a
   phalaṃ kiñcit prāpnuyus te MJ_28d	Palam kiQcid prApnuyuH te M=-_28d
   bandhām abandhāṃ ca proktā JñS_11.18c	banDAm abanDAm ca proktA JQH-_11.18c
   balapramathanī smṛtāḥ JñS_12.4d	bala-pramaTanI smRtAH JQH-_12.4d
   balavikiraṇī caiva JñS_12.4c	bala-vikiraNI ca-eva JQH-_12.4c
   bāmī jyeṣṭhī tathā raudrī JñS_12.4a	bAmI jyezWI taTA rOdrI JQH-_12.4a
   bāyuṃ vāhyaṃ prayacchati JñS_15.4b	bAyum vAhyam prayacCati JQH-_15.4b
   bindur nāde pralīyate GNP_51d	binduH nAde pralIyate GNP_51d
   binduś ca līyate nāda GNP_27c	binduH ca lIyate nAda GNP_27c
   bindoś candrasamudbhavaś GNP_25c	bindoH candra-samudBavaH GNP_25c
   bindau ca vedyaṃ nanu cāṣṭayuktam MJ_18a	bindO ca vedyam nanu ca-azwa-yuktam M=-_18a
   buddhir ahaṅkāro manaḥ JñS_26.15c	budDiH ahaFkAraH manaH JQH-_26.15c
   buddhir brahmā prakīrtitaḥ MJ_72b	budDiH brahmA prakIrtitaH Mu-_72b
   buddhir mmanaś ca brāhmaṇau MJ_7d	budDiH mmanaH ca brAhmaNO Mt-_7d
   buddhir viṣṇus tathaiva ca JñS_26.13b	budDiH vizNuH taTA-eva ca JQH-_26.13b
   buddhiḥ sindhus tathaiva ca JñS_24.4b	budDiH sinDuH taTA-eva ca JQH-_24.4b
   byānas tu sarvasaṃdhiṣu JñS_12.23a	byAnaH tu sarva-saMDizu JQH-_12.23a
   bramaviṣṇvendrasūrya Vṛh_72a	brama-vizNva-indra-sUryaH VRh_72a
   brahmacārī ca paṇḍitaḥ MJ_49d	brahmacArI ca paNxitaH M=-_49d
   brahmadvāram udāhṛtam MJ_38b	brahmadvAram udAhRtam M=-_38b
   brahmanā bhasma saṃsthāpyaṃ JñS_25.15c	brahmanA Basma saMsTApyam JQH-_25.15c
   brahmaviṣṇvīśvaro jñeyo JñS_10.5a	brahma-vizNu-ISvaraH jQeyaH JQH-_10.5a
   brahmāṅgam iti kathyate JñS_12.5d	brahma-aFgam iti kaTyate JQH-_12.5d
   brahmāṅgaṃ sūkṣmatattvaṃ hi JñS_12.2a	brahma-aFgam sUkzma-tattvam hi JQH-_12.2a
   brahmādhidevaḥ saṃsthitaḥ JñS_11.6b	brahma-aDidevaH saMsTitaH JQH-_11.6b
   brahmā viṣṇuś ca tāv ubhau JñS_16.12d	brahmA vizNuH ca tO uBO JQH-_16.12d
   brahmā viṣṇuś ca dvāv ubhau MJ_59d	brahmA vizNuH ca dvO uBO M=-_59d
   brahmā viṣṇuḥ śivaś caiva JñS_26.14c	brahmA vizNuH SivaH ca-eva JQH-_26.14c
   bhaktaṃ tu jagati loke GNP_57c	Baktam tu jagati loke GNP_57c
   bhakṣyābhakṣyāṇi bhāminā JñS_25.8b	Bakzya-aBakzyANi BAminA JQH-_25.8b
   bhagavan deva devānām Vṛh_2a	Bagavan deva devAnAm VRh_2a
   bhagavan sarvatattvakam Vṛh_5d	Bagavan sarva-tattvakam VRh_5d
   bhagavan sarvatattvajña Vṛh_5a	Bagavan sarva-tattva-jQa VRh_5a
   bhagnibhajesthāna pado ca habhamadeśa ? MJ_17d	Bagni-BajesTAna padaH ca haBama-deSa ? M=-_17d
   bhavanta cārīti smṛtaḥ MJ_53d	Bavanta cArI-iti smRtaH M=-_53d
   bhavākṣepaṃ nirvyāpāraṃ JñS_10.9c	Bava-Akzepam nirvyApAram JQH-_10.9c
   bhavet puruṣavigrahaḥ JñS_9.3d	Bavet puruza-vigrahaH JQH-_9.3d
   bhavena kathitaṃ mama JñS_26.17b	Bavena kaTitam mama JQH-_26.17b
   bhasmakaṃ jñānatanmayam JñS_25.14b	Basmakam jQAna-tanmayam JQH-_25.14b
   bhasmakaṃ rūpatanmayam JñS_25.16b	Basmakam rUpa-tanmayam JQH-_25.16b
   bhasmakaṃ viṣṇutanmayam JñS_25.15d	Basmakam vizNu-tad-mayam JQH-_25.15d
   bhasmanā ekaṃ saṃbhūtaṃ JñS_25.16c	BasmanA ekam saMBUtam JQH-_25.16c
   bhasmanā ekaṃ saṃyuktaṃ JñS_25.14a	BasmanA ekam saMyuktam JQH-_25.14a
   bhasmanā prakṛtiyogaḥ JñS_25.15a	BasmanA prakRti-yogaH JQH-_25.15a
   bhasmano devasaṃbhavaḥ JñS_25.16d	BasmanaH deva-saMBavaH JQH-_25.16d
   bhasmabyam ? jaṭādharo MJ_49c	Basmabyam ? jawA-DaraH M=-_49c
   bhasma śūnyaṃ ca nirmalam JñS_25.14d	Basma SUnyam ca nirmalam JQH-_25.14d
   bhānuś ca candre pralīnaḥ JñS_18.3b	BAnuH ca candre pralInaH JQH-_18.3b
   bhānuś ca līyate prakṛtau GNP_30b	BAnuH ca lIyate prakRtO GNP_30b
   bhāryyā vyaktaṃ guṇāḥ putrā MJ_5a	BAryyAH vyaktam guNAH putrAH M=-_5a
   bhuktaṃ tu vaidhatarpaṇam GNP_57b	Buktam tu vA-eDa-tarpaNam GNP_57b
   bhuvanasya śarīrasya GNP_40c	Buvanasya SarIrasya GNP_40c
   bhuvanasya śarīrasya JñS_19.1c	Buvanasya SarIrasya JQH-_19.1c
   bhuvane yadyāti sadā Vṛh_72b	Buvane yat-yAti sadA VRh_72b
   bhuvarlokas tu vāmake JñS_26.6b	BuvarlokaH tu vAmake JQH-_26.6b
   bhūtānāṃ ca śarīreṣu JñS_26.17c	BUtAnAm ca SarIrezu JQH-_26.17c
   bhūrlokaś ca bhuvarlokaḥ JñS_26.5a	BUrlokaH ca BuvarlokaH JQH-_26.5a
   bhūrloko dakṣiṇapāde JñS_26.6a	BUrlokaH dakziNa-pAde JQH-_26.6a
   bhoktā tejodhiko 'paraḥ JñS_12.10b	BoktA tejoDikaH aparaH JQH-_12.10b
   bhogeṣu copabhogeṣu Vṛh_28a	Bogezu ca-upaBogezu VRh_28a
   bhrūmadhye bhagavān rudraḥ JñS_10.14a	BrU-maDye BagavAn rudraH JQH-_10.14a
   bhrūmadhye maṇīndranīlaṃ ? MJ_37a	BrU-maDye maNi-indranIlam ? M=-_37a
   makāraś ca jāyate JñS_18.8b	makAraH ca jAyate JQH-_18.8b
   makāraś ca tathaiva ca GNP_38b	makAraH ca taTA-eva ca GNP_38b
   makāraś ca tathaiva ca JñS_18.11b	makAraH ca taTA-eva ca JQH-_18.11b
   makāraś ca suṣuptaṃ bho MJ_70c	makAraH ca suzuptam Bo MJ_70c
   makāraś caiva jāyate GNP_35b	makAraH ca-eva jAyate GNP_35b
   makāras trimātro jñeyo JñS_11.13c	makAraH tri-mAtraH jQeyaH JQH-_11.13c
   makārasya vilopena GNP_36a	makArasya vilopena GNP_36a
   makāraṃ ca trayomātraṃ JñS_11.1c	makAram ca trayaH-mAtram JQH-_11.1c
   makāraṃ caiva lopyaṃ ca JñS_18.9a	makAram ca-eva lopyam ca JQH-_18.9a
   makārāukāra eva ca JñS_10.6b	makArAu-kAraH eva ca JQH-_10.6b
   makārākṣaro mūrtimān JñS_10.12d	makAra-akzaraH mUrtimAn JQH-_10.12d
   makārāj jāyate 'kāra GNP_37a	makArAt jAyate akAra GNP_37a
   makārāj jāyate' kāra JñS_18.10a	makArAt jAyate-a kAra JQH-_18.10a
   makāre pravartātmā ca JñS_12.12c	makAre pravarta-AtmA ca JQH-_12.12c
   makāraiva pralīyate JñS_18.12b	makArA-eva pralIyate JQH-_18.12b
   makāro īśvaro madhye JñS_26.12c	makAraH ISvaraH maDye JQH-_26.12c
   makāro pralīnam etat GNP_39c	makAraH pralInam etat GNP_39c
   makāro bindusaṃlīno GNP_51c	makAraH bindu-saMlInaH GNP_51c
   makāro rakāraś ca tu JñS_12.8c	makAraH rakAraH ca tu JQH-_12.8c
   makāro vindau saṃlīnaḥ JñS_3.1c	makAraH vindO saMlInaH JQH-_3.1c
   makāro vindau saṃlīno JñS_18.12c	makAraH vindO saMlInaH JQH-_18.12c
   madhuratvaṃ suveṣatā Vṛh_17d	maDura-tvam su-veza-tA VRh_17d
   madhyāhne svapna eva ca MJ_43b	maDyAhne svapnaH eva ca M=-_43b
   mananī dhāvanī śubhā JñS_11.15d	mananI DAvanI SuBA JQH-_11.15d
   manasaḥ pravimucyate MJ_65b	manasaH pravimucyate M=-_65b
   manasaḥ śuddhakarmaṇaḥ JñS_25.3b	manasaH SudDa-karmaNaH JQH-_25.3b
   manas tu narmadātīrthaṃ JñS_24.4a	manaH tu narmadA-tIrTam JQH-_24.4a
   manaḥ kaivalyaṃ vijñeyaṃ MJ_72a	manaH kEvalyam vijQeyam M=-_72a
   manuṣyānāṃ tathāpare JñS_26.2d	manuzyAnAm taTA-apare JQH-_26.2d
   mano gandhaṃ manaḥ puṣpaṃ JñS_10.3a	manaH ganDam manaH puzpam JQH-_10.3a
   manojñānaṃ tu vijñāya MJ_13c	manaH-jQAnam tu vijQAya M=-_13c
   mano daśadiśi gataṃ MJ_3c	manaH daSa-diSi gatam M=-_3c
   mano dhūpaṃ manaḥ kriyā JñS_10.3b	manaH DUpam manaH kriyA JQH-_10.3b
   manonmanī tathaiva ca JñS_12.5b	manonmanI taTA-eva ca JQH-_12.5b
   mano buddhir ahaṅkāraḥ JñS_26.14a	manaH budDiH ahaFkAraH JQH-_26.14a
   mano buddhir ahaṅkāro MJ_14a	manaH budDiH ahaFkAraH M=-_14a
   mano buddhiś ca dve hale MJ_5b	manaH budDiH ca dve hale M=-_5b
   mano brahmanāmākhyataṃ JñS_26.13a	manaH brahmanAm-AKyatam JQH-_26.13a
   mano līnaṃ paraṃ śuddhaṃ JñS_19.6c	manaH lInam param SudDam JQH-_19.6c
   mano līnaṃ pariśuddhaṃ GNP_44c	manaH lInam pariSudDam GNP_44c
   mantā boddhā tathā śṛṇu Vṛh_63c	mantA bodDA taTA SRNu VRh_63c
   mantraṃ vedanīyaṃ bhasma JñS_25.12c	mantram vedanIyam Basma JQH-_25.12c
   malinatvacittamokṣaḥ JñS_19.5a	malina-tva-citta-mokzaH JQH-_19.5a
   malinatvaṃ tamomayam JñS_23.2b	malina-tvam tamaH-mayam JQH-_23.2b
   malīnatvacittamokṣaḥ [ed. pralīnatvāc cittamokṣaḥ] GNP_43c	malIna-tva-citta-mokzaH [ed. pralIna-tvAt citta-mokzaH] GNP_43c
   mastake ca vido viduḥ MJ_71d	mastake ca vidaH viduH M=-_71d
   mahadahaṅkāramanas JñS_11.14e	mahat-ahaFkAra-manaH JQH-_11.14e
   maharloko janalokas JñS_26.5c	mahar-lokaH janalokaH JQH-_26.5c
   mahas tu dakṣiṇahaste JñS_26.7a	mahaH tu dakziNa-haste JQH-_26.7a
   mahājīvo maheśvaraḥ MJ_54b	mahAjIvaH maheSvaraH M=-_54b
   mahājñāne mahākathāṃ ? MJ_85a	mahA-jQAne mahA-kaTAm ? M=-_85a
   mahājñāne mahāguhyaṃ MJ_84a	mahA-jQAne mahA-guhyam M=-_84a
   mahājñāne mahātattvaṃ MJ_86a	mahA-jQAne mahAtattvam M=-_86a
   mahādevaś ca rudrakaḥ JñS_10.5b	mahAdevaH ca rudrakaH JQH-_10.5b
   mahādevādhidevas tu JñS_12.24c	mahAdeva-aDidevaH tu JQH-_12.24c
   mahāpātakanāśāya GNP_55b	mahApAtaka-nASAya GNP_55b
   mahāvinduḥ ṣaḍaṃśakaḥ JñS_9.4d	mahOvinduH zaz-aMSakaH JQH-_9.4d
   mahāsarvajñātā smṛtaḥ JñS_11.12b	mahA-sarva-jQAtA smRtaH JQH-_11.12b
   mahāsūkṣmaḥ śivo jñeyaḥ JñS_9.6c	mahA-sUkzmaH SivaH jQeyaH JQH-_9.6c
   mahimā tena procyate Vṛh_69d	mahimA tena procyate VRh_69d
   mahimā prāptir eva ca Vṛh_66b	mahimA prAptiH eva ca VRh_66b
   maheśvarasamudbhavau MJ_59c	maheSvara-samudBavO M=-_59c
   maheśvaras tu madhyastho GNP_21c	maheSvaraH tu maDya-sTaH GNP_21c
   maheśvaraḥ tayor madhye JñS_16.12c	maheSvaraH tayoH maDye JQH-_16.12c
   mātaraṃ pitaraṃ hatvā MJ_6a	mAtaram pitaram hatvA M=-_6a
   mātaraṃ prakṛtiṃ vidyāt MJ_7a	mAtaram prakRtim vidyAt M=-_7a
   mārgacalananāḍī GNP_45c	mArga-calana-nAxI GNP_45c
   mārgacalananāḍī GNP_47c	mArga-calana-nAxI GNP_47c
   mārgaś ca calananāḍī JñS_20.1c	mArgaH ca calana-nAxI JQH-_20.1c
   mārgaś ca calananāḍī JñS_20.3c	mArgaH ca calana-nAxI JQH-_20.3c
   māṃ māyāṃ vidadhe raviḥ MJ_33d	mAm mAyAm vidaDe raviH M=-_33d
   māṃse kurakura kukṣe JñS_12.28a	mAMse kurakura kukze JQH-_12.28a
   mukta eva prakīrtitaḥ GNP_44d	muktaH eva prakIrtitaH GNP_44d
   muktaḥ paramakevalaḥ JñS_20.1d	muktaH parama-kevalaH JQH-_20.1d
   muktāḥ paramakevalāḥ GNP_45d	muktAH parama-kevalAH GNP_45d
   mukto bhavati tatsamaḥ JñS_19.7b	muktaH Bavati tad-samaH JQH-_19.7b
   mukhaṃ śāntiḥ śiraḥ vinduḥ JñS_9.8c	muKam SAntiH SiraH vinduH JQH-_9.8c
   mukhe cāhavanīyāgniḥ JñS_25.10a	muKe ca-AhavanIya-agniH JQH-_25.10a
   mukhe prāṇo hy adho 'pānaḥ Vṛh_41a	muKe prANaH hi aDas apAnaH VRh_41a
   muṅkārākṣaravinduṣṭho JñS_12.24a	muFkAra-akzara-vinduzWaH JQH-_12.24a
   mucyate nātra saṃśayaḥ MJ_12d	mucyate na-atra saMSayaH M=-_12d
   mucyate nātra saṃśayaḥ MJ_63d	mucyate na-atra saMSayaH M=-_63d
   mucyate sarvvaduḥkhebhyaḥ MJ_77d	mucyate sarvu-aduHKeByaH M=-_77d
   munīnām ātmā devatā JñS_16.7d	munInAm AtmA devatAH JQH-_16.7d
   munīnām ātmaiva devatā GNP_16d	munInAm AtmA-eva devatA GNP_16d
   munīnām ātmaiva devatā MJ_26d	munInAm AtmA-eva devatAH M=-_26d
   mūrdhānaṃ bāyunodbhidya JñS_15.4c	mUrDAnam bAyunA-udBidya JQH-_15.4c
   mūrdhānaṃ vāyunodbhidya GNP_6c	mUrDAnam vAyunA-udBidya GNP_6c
   mūrdhānaṃ vāyunodbhidya Vṛh_56c	mUrDAnam vAyunA-udBidyaH VRh_56c
   mūrdhni caiva sthito devaḥ JñS_10.16a	mUrDni ca-eva sTitaH devaH JQH-_10.16a
   mṛtyuñjayasya devasya GNP_56a	mRtyuQjayasya devasya GNP_56a
   mṛdutā saṃvibhāvitvam Vṛh_17b	mRdu-tA saMviBAvi-tvam VRh_17b
   mṛdupṛṣṭhāni kūrmmāṇāṃ MJ_9c	mRdu-pRzWAni kUrmmANAm M=-_9c
   medaḥ kṣīrasamanvitaṃ JñS_24.6b	medaH kzIra-samanvitam JQH-_24.6b
   moktam eva prakīrtitam JñS_19.6d	moktam eva prakIrtitam JQH-_19.6d
   moktaṃ ca bhūtapiṇḍataḥ JñS_21.2d	moktam ca BUta-piNxataH JQH-_21.2d
   mokṣa eva prakīrtitaḥ MJ_75d	mokzaH eva prakIrtitaH Mu-_75d
   mokṣa eṣa prakīrtitaṃ MJ_67d	mokzaH eza prakIrtitam M=-_67d
   mokṣadaṃ tripadaṃ jñeyam MJ_61b	mokza-dam tri-padam jQeyam M=-_61b
   mokṣadāmarā eva tu JñS_11.11a	mokza-dA-amarAH eva tu JQH-_11.11a
   mokṣapadam atindriyam JñS_25.2b	mokza-padam atindriyam JQH-_25.2b
   mokṣapadaṃ samāsādya Vṛh_30c	mokza-padam samAsAdya VRh_30c
   mokṣaḥ svargaś ca narakaṃ Vṛh_16a	mokzaH svargaH ca narakam VRh_16a
   mohanī voḍhanī tathā JñS_11.4d	mohanI voXanI taTA JQH-_11.4d
   mohaṃ mātsaryyam eva ca MJ_76b	moham mAtsaryyam eva ca M=-_76b
   yajāmi satataṃ śivam GNP_24d	yajAmi satatam Sivam GNP_24d
   yajāmi satataṃ śivam JñS_16.15d	yajAmi satatam Sivam JQH-_16.15d
   yaj jñātvā śarīre 'smin MJ_63c	yat jQAtvA SarIre asmin M=-_63c
   yaj jñātvā śāntim āpnuyāt MJ_79d	yat jQAtvA SAntim ApnuyAt M=-_79d
   yajvātmā rakārākṣare JñS_12.12b	yajva-AtmA rakAra-akzare JQH-_12.12b
