   [I. dānapāramitā]	[I. dAna pAramitA]
   śūraś ca bhoti dṛḍha matir a pramatto na kāma bhoge * abhiratiṃ janeti |	SUraH ca Boti dRXa matiH a pramattaH na kAma  Boge * aBiratim jana iti |
   naiṣkramya prāptau ca a dīna cittaḥ choritva jālaṃ bhagavata cetikeṣu ||	nEzkramya  prAptO ca a dIna cittaH Coritva jAlam Bagavata cetikezu ||
   na bodhi cittaṃ pramuṣyati tasya jātu a khaṇḍa śīlo * asti su saṃvṛtaś ca	na boDi  cittam pramuzyati tasya jAtu a KaNxa  SIlaH * asti su  saMvRtaH ca
   | dharmaṃ vi rāgaṃ labhate viśuddhaṃ upanīya jālaṃ bhagavata cetikeṣu ||	| Darmam vi rAgam laBate viSudDam upanIya jAlam Bagavata cetikezu ||
   dur vācatāṃ vijahati sarva kālaṃ prajñā a bhāvaṃ ca jahāty a śeṣam	dur vAcatAm vijahati sarva kAlam prajQA  a BAvam ca jahAti a Sezam
   |viśāla prajño viharati cārikāyāṃ upanīya jālaṃ bhagavata cetikeṣu ||	|viSAla  prajQaH viharati cArikAyAm upanIya jAlam Bagavata cetikezu ||
   lābhī ca bhotī śuci bhojanānāṃ vastrān viśiṣṭān labhate suvarṇān |	lABI ca BotI Suci  BojanAnAm vastrAn viSizwAn laBate suvarNAn |
   sparśa abhyupetān ruci darśanīyān upanīya jālaṃ jina cetikebhyaḥ ||	sparSa  aByupetAn ruci  darSanIyAn upanIya jAlam jina  cetikeByaH ||
   abhyutkṣipitvā jina cetikebhyaḥ nir mālya śuṣkaṃ pramudita vega jātaḥ |	aByutkzipitvA jina  cetikeByaH nir mAlya  Suzkam pramudita  vega  jAtaH |
   vrajeta kāmān duḥkha da vaira ghorān ārāgayed daśa bala sa artha vāhān ||	vrajeta kAmAn duHKa da  vEra  GorAn ArAgayet daSa  bala  sa arTa vAhAn ||
   prāsādiko bhoti viśuddha kāyaḥ udvīkṣaṇīyo bahu jana pūjanīyaḥ | na tasya	prAsAdikaH Boti viSudDa kAyaH udvIkzaNIyaH bahu jana  pUjanIyaH | na tasya
   rājā + api praduṣṭa cittaḥ yo jīrṇa puṣpān apaneya caitye ||	rAjA + api praduzwa cittaH yaH jIrNa puzpAn apaneya cEtye ||
   ku mārga sarvaṃ pithita apāya bhūmiḥ sa śīla skandhe sthita bodhi satvaḥ |	ku mArga sarvam piTita apAya BUmiH sa SIla skanDe sTita boDi  satvaH |
   avatārayitvā jina cetikebhyaḥ puṣpaṃ ca prāg anya naraiḥ pradattaṃ ||	avatArayitvA jina  cetikeByaH puzpam ca prAk anya narEH pradattam ||
   śokāṃś ca doṣān vijahāty a matto rogān a śeṣān vijahāty an ekān |	SokAn ca dozAn vijahAti a mattaH rogAn a SezAn vijahAti an ekAn |
   āśvāsa prāptaś ca an anta kalpān yo jīrṇa puṣpān apaneti caitye ||	ASvAsa  prAptaH ca an anta  kalpAn yaH jIrNa puzpAn apana iti cEtye ||
   buddhaś ca bhoty a sadṛśa dakṣiṇīyo * a tulya prāpto nara maru pūjanīyaḥ |	budDaH ca Boti a sadRSa  dakziNIyaH * a tulya  prAptaH nara maru  pUjanIyaH |
   alaṃ kṛto bhavati viśuddha kāyaḥ yo jīrṇa puṣpān apaneti caitye ||	alaM kRtaH Bavati viSudDa kAyaH yaH jIrNa puzpAn apana iti cEtye ||
   dadyāc ca yaḥ su rucira divya puṣpaṃ māndāravān apy atha pāṭalaṃ vā |	dadyAt ca yaH su  rucira divya puzpam mAndAravAn api aTa pAwalam vA |
   nir mālyakaṃ yo * apanayeta caitye vipāka śreṣṭho * asya bhaved a tulyaḥ	nir mAlyakam yaH * apanayeta cEtye vipAka SrezWaH * asya Bavet a tulyaH
   yaḥ prāñjaliḥ praṇamati nātha stūpaṃ chandaṃ janitvā ca sa buddha loke |	yaH prAQjaliH praNamati nATa stUpam Candam janitvA ca sa budDa  loke |
   so bhoti loke guru kṛtu sat kṛtaś ca prāsādiko bhavati su darśanīyaḥ ||	saH Boti loke guru kRtu sat kRtaH ca prAsAdikaH Bavati su darSanIyaH ||
   tasya + iha rājyaṃ nipatati sarva loko deva asurā nāga manuṣyakāś ca |	tasya + iha rAjyam nipatati sarva lokaH deva  asurAH nAga  manuzyakAH ca |
   sarvāḥ sahasrāḥ kusumita loka dhātuḥ praśāsti rājño vaśa īśvarāṃś ca ||	sarvAH sahasrAH kusumita loka DAtuH praSAsti rAjQaH vaSaH ISvarAn ca ||
   ye tasya rājye sthita bhonti satvāḥ sthāpeya sarvān a kaluṣa buddha jñāne	ye tasya rAjye sTita Bonti satvAH sTApeya sarvAn a kaluza  budDa  jQAne
   | apāya bhūmyas tyaktā bhavanti karoti ca + eṣāṃ parama su śreṣṭham artham	| apAya BUmyaH tyaktAH Bavanti karoti ca + ezAm parama  su  SrezWam arTam
   paricāro * asya bhavati mano jña ghoṣaḥ puṇyair upetaḥ	paricAraH * asya Bavati mano jQa GozaH puNyEH upetaH
   smṛti mati pūjanīyaḥ | āśvāsa prāpto vicarati jīva loke sadā + abhiprāyaṃ	smRti mati  pUjanIyaH | ASvAsa  prAptaH vicarati jIva  loke sadA + aBiprAyam
   janayati śreṣṭha prītiṃ ||	janayati SrezWa  prItim ||
   paricāra bhoty asya svara aṅga śuddhaḥ jñāyeta satvair	paricAra Boti asya svara  aFga SudDaH jQAyeta satvEH 
   madhura praśānta vākyo | na tasya kaś cij janayati ca + īśvaratvaṃ	maDura  praSAnta  vAkyaH | na tasya kaS cid janayati ca + ISvara tvam
   vilokanīyo bhavati mahā janasya | dāna pramodaṃ priyatā artha caryāṃ	vilokanIyaH Bavati mahA janasya | dAna  pramodam priya tA  arTa  caryAm
   samāna arthatāṃ janayati mahā janasya | ākruṣṭaḥ san na + ājanayeta roṣaṃ	samAna  arTa tAm janayati mahA janasya | AkruzwaH san na + Ajanayeta rozam
   yaḥ prāñjaliḥ praṇamati buddha stūpaṃ ||	yaH prAQjaliH praNamati budDa stUpam ||
   deva indra bhoty upagata svarga loke manuṣyako bhavati narasya rājā | na	deva indra Boti upagata svarga  loke manuzyakaH Bavati narasya rAjA | na
   pārihāṇir bhavati kadā cid asya yo * añjalībhir namati + iha stūpaṃ ||	pArihANiH Bavati kadA cid asya yaH * aQjalIBiH namati + iha stUpam ||
   na + asāv apāye prapateta jātu hīnāṃś ca varjeta sa kāma loke | āḍhyo	na + asO apAye prapateta jAtu hInAn ca varjeta sa kAma loke | AXyaH 
   dhanī bhoti prabhūta koṣo yo * añjalībhir namati buddha stūpam ||	DanI Boti praBUta kozaH yaH * aQjalIBiH namati budDa stUpam ||
   sūtra anta caryā na kadā cid asya na + a sthāna kopaṃ kurute nṛ loke |	sUtra anta  caryA na kadA cid asya na + a sTAna kopam kurute nR  loke |
   satvāś ca tṛptā muditā + asya bhonti yaḥ saṃpramuñcī guṇavati eka vācaṃ ||	satvAH ca tRptAH muditAH + asya Bonti yaH saMpramuQcI guNavati eka vAcam ||
   yaḥ puṣpa muṣṭiṃ gṛhītvā + udagra cittaḥ prasādato * avakirati loka nāthe	yaH puzpa  muzwim gRhItvA + udagra  cittaH prasAdataH * avakirati loka nATe
   | sa puṇyavān bhavati manuṣya loke rākṣe ca sthitvā jina sat karoti ||	| sa puNyavAn Bavati manuzya loke rAkze ca sTitvA jina sat karoti ||
   śokā na doṣāḥ khila mala na + asya bhonti a tulyatā āptaś ca	SokAH na dozAH Kila  mala na + asya Bonti a tulya tA a AptaH ca
   su saṃsthita aṅgaḥ | ālokanīyaś ca mahā janasya vrajeta kāmāna	su  saMsTita  aFgaH | AlokanIyaH ca mahA janasya vrajeta kAmAna
   bhaya kara vaira ghorān | iti ||	Baya kara  vEra GorAn | iti ||
   ārya mahā karuṇā puṇḍarīka sūtre * apy uktaṃ |tiṣṭhatu tāvad ānanda yo māṃ	Arya mahA karuNA  puNxarIka  sUtre * api uktam |tizWatu tAvat Ananda yaH mAm
   saṃmukhaṃ sat kuryāt | tiṣṭhatu me śarīrasya pūjā sarṣapa phala ma treṣu	saMmuKam sat kuryAt | tizWatu me SarIrasya pUjA sarzapa  Pala  ma trezu
   dhātuṣu | tiṣṭhatu mām uddiśya kṛteṣu stūpeṣu sat kāraḥ | ye ke cid ānanda	DAtuzu | tizWatu mAm uddiSya kRtezu stu upezu sat kAraH | ye ke cid Ananda
   buddham ālambya + antaśa eka puṣpam apy ākāśe kṣepsyanti | tasya	budDam Alambya + antaSas eka puzpam api AkASe kzepsyanti | tasya
   puṇya skandhasya yo vipākaḥ saced yāvān an ādiḥ saṃsāro yasya pūrvā koṭir	puNya  skanDasya yaH vipAkaH saced yAvAn an AdiH saMsAraH yasya pUrvA kowiH 
   na prajñāyate | tāvataḥ kalpān saṃsaratāṃ teṣāṃ śakratvaṃ brahmatvaṃ	na prajQAyate | tAvataH kalpAn saMsaratAm tezAm Sakra tvam brahma tvam
   cakra vartitvaṃ | na śakyas tat paryanto * adhigantum | tiṣṭhatu	cakra varti tvam | na SakyaH tat  paryantaH * aDigantum | tizWatu
   buddha ālambatā + antaśa ākāśe * apy eka puṣpa nikṣepaḥ | saced antaśaḥ	budDa  Alamba tA + antaSas AkASe * api eka puzpa nikzepaH | saced antaSas 
   svapna antara gatā api satvā buddham ālambya + ākāśe eka puṣpam api	svapna  antara  gatAH api satvAH budDam Alambya + AkASe eka puzpam api
   kṣepsyanti tad apy ahaṃ kuśala mūlaṃ nirvāṇa paryavasānaṃ vadāmi + iti ||	kzepsyanti tat api aham kuSala mUlam nirvANa  paryavasAnam vadAmi + iti ||
   uktaṃ ca + ārya bṛhatsāgara nāga rāja paripṛcchāyāṃ | aṣṭābhir	uktam ca + Arya bRhat sAgara nAga   rAja  paripRcCAyAm | azwABiH 
   bhuja ga adhipate dharmaiḥ samanvāgatā bodhi satvāḥ satata samitaṃ	Buja ga aDipate DarmEH samanvAgatAH boDi  satvAH satata  samitam
   buddha samavadhānaṃ pratilabhante | katamair aṣṭābhiḥ |	budDa  samavaDAnam pratilaBante | katamEH azwABiH |
   buddha bimba darśana satva samādāpanatayā | tathā gatasya +	budDa  bimba  darSana  satva  samAdApana tayA | taTA a gatasya +
   upasthāna karaṇatayā | tathā gatasya + abhīkṣṇaṃ varṇa bhāṣaṇatayā |	upasTAna karaNa tayA | taTA a gatasya + aBIkzNam varNa BAzaNa tayA |
   tathā gata pratimā karaṇatayā |	taTA a gata pratimA karaNa tayA |
   tathā gata darśana sarva satva samādāpanatayā | yatra ca buddha kṣetre	taTA a gata darSana  sarva  satva  samAdApana tayA | yatra ca budDa kzetre
   tathā gata śravaṃ śṛṇvanti tatra praṇidhānam utpādayanti | na ca +	taTA a gata  Sravam SRNvanti tatra praNiDAnam utpAdayanti | na ca +
   avalīna saṃtatayo bhavanti | udāra saṃtatikāś ca buddha jñānam	avalIna  saMtatayaH Bavanti | udAra  saMtatikAH ca budDa  jQAnam
   abhilaṣantae iti ||	aBilazantae iti ||
   kiṃ punaḥ puṇya vṛddhy arthino buddha samavadhānena prayojana bhūtaṃ |	kim punar puNya  vRdDi  arTinaH budDa  samavaDAnena prayojana  BUtam |
   yasya guṇa paryantam a sarva jño na + adhigacchet ||	yasya guNa  paryantam a sarva jQaH na + aDigacCet ||
   yathā + ārya gaṇḍa vyūhe saṃvarṇitaṃ | su dur labho buddha śabdaḥ	yaTA + Arya gaNxa  vyUhe saMvarNitam | su duH  laBaH budDa  SabdaH
   kalpa koṭi śatair api | kiṃ punar darśanaṃ sarva kāṅkṣā cchedanam uttamam	kalpa  kowi  SatEH api | kim punar darSanam sarva kAFkza A = Cedanam uttamam
   su dṛṣṭo loka pradyotaḥ sarva dharma gatiṃ gataḥ | puṇya tīrthaṃ	su dRzwaH loka  pradyotaH sarva  Darma  gatim gataH | puNya tIrTam
   trailokasya sarva satva viśodhanam ||	trElokasya sarva  satva  viSoDanam ||
   mahat puṇyam ayaṃ kṣetraṃ muditaṃ jñāna maṇḍalaṃ | bhāsayaty abhitaṃ lokaṃ	mahat puNyam ayam kzetram muditam jQAna  maNxalam | BAsayati aBitam lokam
   puṇya skandha vivarddhanam ||	puNya skanDa  vivardDanam ||
   chedano duṣkha jālasya jñāna skandha viśodhanaḥ | na dur gati bhayaṃ teṣāṃ	CedanaH duzKa  jAlasya jQAna skanDa  viSoDanaH | na dur gati Bayam tezAm
   yair iha + ārāgito jinaḥ ||	yEH iha + ArAgitaH jinaH ||
   vipulaṃ jāyate cittaṃ paśyatāṃ dvi pada uttamaṃ | prajñā balam	vipulam jAyate cittam paSyatAm dvi pada  uttamam | prajQA balam
   a saṃkhyeyaṃ jāyate ca prabhāsvaraṃ ||	a  saMKyeyam jAyate ca praBAsvaram ||
   punar atra + eva + āha | arthāya sarva satvānām utpadyante tathā gatāḥ |	punar atra + eva + Aha | arTAya sarva satvAnAm utpadyante taTA a  gatAH |
   mahā kāruṇikā vīrā dharma cakra pravartakāḥ ||	mahA  kAruNikAH vIrAH Darma  cakra  pravartakAH ||
   pratikartuṃ kathaṃ śakyaṃ buddhānāṃ sarve dehibhiḥ | satva artheṣv	pratikartum kaTam Sakyam budDAnAm sarve  dehiBiH | satva  arTezu 
   abhiyuktānāṃ kalpa koṭi śatair api ||	aBiyuktAnAm kalpa  kowi  SatEH api ||
   kalpa koṭiṃ varaṃ paktuṃ try apāye bhṛśa dāruṇe | na tv eva + a darśanaṃ	kalpa  kowim varam paktum tri  apAye BRSa  dAruNe | na tu eva + a darSanam
   śāstuḥ sarva sarga nivartinaḥ ||	SAstuH sarva sarga  nivartinaH ||
   yāvantaḥ sarva lokasminn apāya gatayaḥ pṛthak | varaṃ tatra ciraṃ vāso	yAvantaH sarva lokasmin apAya  gatayaH pRTak | varam tatra ciram vAsaH 
   buddhānām a śrutir na ca ||	budDAnAm a SrutiH na ca ||
   kiṃ kāraṇam apāyeṣu nivāsaś ciram iṣyate | yat kāraṇaṃ jina indrasya	kim kAraNam apAyezu nivAsaH ciram izyate | yat kAraNam jina indrasya
   darśanaṃ jñāna vardhanam ||	darSanam jQAna varDanam ||
   chidyante sarva duṣkhāṇi dṛṣṭvā loka īśvaraṃ jinaṃ | saṃbhavaty avatāraś	Cidyante sarva  duzKANi dRzwvA loka ISvaram jinam | saMBavati avatAraH 
   ca jñāne saṃbuddha go care ||	ca jQAne saMbudDa go care ||
   kṣapayaty āvṛtīḥ sarvā dṛṣṭvā buddhaṃ nara uttamam | vardhayaty a mitaṃ	kzapayati AvRtIH sarvAH dRzwvA budDam nara  uttamam | varDayati a mitam
   puṇyaṃ yena bodhir avāpyatae | iti ||	puNyam yena boDiH avApyatae | iti ||
   tad evam asti puṇya vṛddhau buddha samavadhānena prayojanaṃ |api ca	tat evam asti puNya  vRdDO budDa  samavaDAnena prayojanam |api ca
   pratimā mātra darśanam api tāvad a parimita phalaṃ tathā gatānāṃ | kiṃ	pratimA  mAtra  darSanam api tAvat a parimita Palam taTA a  gatAnAm | kim
   punaḥ sva rūpeṇa ||	punar sva  rUpeNa ||
   uktaṃ hy ārya śraddhā bala ādhāna avatāra mudrā sūtre | yaḥ kaś cin	uktam hi Arya  SradDA  bala  ADAna  ava tAra  mudrA  sUtre | yaH kaS cin
   mañjuśrīḥ kula putraḥ kula duhitā vā sarva loka dhātu raja upamānāṃ	maQjuSrIH kula putraH kula  duhitA vA sarva loka  DAtu  raja  upamAnAm
   praty eka buddhānāṃ dine dine śata rasam āhāraṃ dadyāt divyāni ca vastrāṇi	praty eka   budDAnAm dine dine Sata rasam AhAram dadyAt divyAni ca vastrANi
   | evaṃ dadad gaṅgā nadī vālukā upamān kalpān dadyāt | yaś ca + anyo	| evam dadat gaFgA nadI  vAlukA upamAn kalpAn dadyAt | yaH ca + anyaH 
   mañjuśrīḥ kula putraḥ kula duhitā vā citra karma likhitaṃ vā	maQjuSrIH kula putraH kula  duhitA vA citra karma liKitam vA
   pustaka karma kṛtaṃ vā buddhaṃ paśyed | ayaṃ tato * a saṃkhyeyataraṃ	pustaka karma kRtam vA budDam paSyet | ayam tatas * a saMKyeyataram
   puṇyaṃ prasavati | kaḥ punar vādo yo * añjali pragrahaṃ vā kuryāt puṣpaṃ	puNyam prasavati | kaH punar vAdaH yaH * aQjali  pragraham vA kuryAt puzpam
   vā dadyāt dhūpaṃ vā gandhaṃ vā dīpaṃ vā dadyād | ayam eva tato *	vA dadyAt DUpam vA ganDam vA dIpam vA dadyAt | ayam eva tatas *
   a saṃkhyeyataraṃ puṇyaṃ prasavati + iti ||	a  saMKyeyataram puNyam prasavati + iti ||
   ārya bodhi satva piṭake * api puṇya vṛddhy upāya uktaḥ | yas	Arya  boDi  satva  piwake * api puNya  vRdDi  upAyaH uktaH | yaH 
   tathā gata caityaṃ śodhayati sa catasro * agrāḥ praṇidhāna viśuddhīr	taTA a gata  cEtyam SoDayati sa catasraH * agrAH praNiDAna  viSudDIH 
   anuprāpnoti | katamāś catasraḥ | agrāṃ rūpa praṇidhāna viśuddhiṃ | agrāṃ	anuprApnoti | katamAH catasraH | agrAm rUpa  praNiDAna  viSudDim | agrAm
   dṛḍha samādāna praṇidhāna viśuddhiṃ | agrāṃ	dRXa  samAdAna  praNiDAna  viSudDim | agrAm
   tathā gata darśana praṇidhāna viśuddhiṃ |agrāṃ	taTA a gata darSana  praNiDAna  viSudDim |agrAm
   lakṣaṇa saṃpat praṇidhāna viśuddhim iti ||	lakzaNa  saMpat  praNiDAna  viSudDim iti ||
   punar atra + eva + ākhyātaṃ | tathā gata caityeṣu puṣpa avaropaṇaṃ	punar atra + eva + AKyAtam | taTA gata  cEtyezu puzpa  ava ropaNam
   gandha anulepanaṃ kṛtvā + aṣṭāv a vi kalatā anuprāpnoti | katamā aṣṭau |	ganDa anulepanam kRtvA + azwO a vi ka latA anuprApnoti | katamAH azwO |
   na rūpa vi kalo bhavati | na bhoga vi kalaḥ | na parivāra vi kalaḥ | na	na rUpa  vi kalaH Bavati | na Boga  vi kalaH | na parivAra  vi kalaH | na
   śīla vi kalaḥ | na samādhi vi kalaḥ | na śruta vi kalo na prajñā vi kalo	SIla  vi kalaH | na samADi vi kalaH | na Sruta  vi kalaH na prajQA  vi kalo
   na praṇidhāna vi kala iti ||	na praNiDAna  vi kalaH iti ||
   uktaṃ ca + ārya ratna rāśi sūtre | ye tri bhava paryāpannāḥ satvās te	uktam ca + Arya  ratna rASi  sUtre | ye tri Bava  paryApannAH satvAH te
   sarve praty ekaṃ tathā gata stūpān kārayeyur evaṃ rūpān uccaistvena | tad	sarve praty ekam taTA gata stUpAn kArayeyuH evaM  rUpAn uccEstvena | tat 
   yathā sumeruḥ parvata rājaḥ | tāṃś ca gaṅgā nadī vālikā samān kalpān	yaTA sumeruH parvata rAjaH | tAn ca gaFgA nadI  vAlikA  samAn kalpAn
   praty ekaṃ sarva sat kāraiḥ sat kuryuḥ | yaś ca bodhi satvo *	praty ekam sarva sat kArEH sat kuryuH | yaH ca boDi  satvaH *
   a virahita sarva jñatā cittena + eka puṣpam apy āropayet | ayaṃ tasmāt	a virahita  sarva jQa tA  cittena + eka puzpam api Aropayet | ayam tasmAt 
   pūrvakāt puṇya skandhād bahutaraṃ puṇyaṃ prasavet ||	pUrvakAt puNya skanDAt bahutaram puNyam prasavet ||
   atra + eva + uktaṃ | ye khalu punas tri sāhasra mahā sāhasre loka dhātau	atra + eva + uktam | ye Kalu punar tri sAhasra  mahA  sAhasre loka DAtO
   satvās te sarve mahā yāna saṃprasthitā bhaveyuḥ | sarve ca	satvAH te sarve mahA yAna  saMprasTitAH BaveyuH | sarve ca
   cakra varti rājya samanvāgatā bhaveyur eka ekaś ca rājā cakra vartī	cakra varti  rAjya  samanvAgatA BaveyuH eka ekaH ca rAjA cakra vartI
   mahā samudra pramāṇa dīpa sthālīṃ kṛtvā | sumeru mātrāṃ vartīm ādīpya	mahA  samudra  pramANa  dIpa  sTAlIm kRtvA | sumeru  mAtrAm vartIm AdIpya
   praty ekam evaṃ rūpāṃ dīpa pūjāṃ tathā gata caityeṣu pravartayet | yaś ca	praty ekam evaM rUpAm dIpa  pUjAm taTA gata  cEtyezu pravartayet | yaH ca
   + abhiniṣkrānta gṛha āvāso bodhi satvas taila prakṣiptāṃ vartīṃ kṛtvā +	+ aBinizkrAnta  gRha AvAsaH boDi  satvaH tEla  prakziptAm vartIm kRtvA +
   ādīpya tathā gata caitye dhārayet | asyās taila prakṣiptāyā varter etat	AdIpya taTA gata  cEtye DArayet | asyAH tEla  prakziptAyAH varteH etat 
   pūrvakaṃ pradīpa dānaṃ śatatamīm api kalāṃ na + upaiti | yāvad upaniṣadam	pUrvakam pradIpa dAnam SatatamIm api kalAm na + upEti | yAvat upanizadam
   api na kṣamatae iti | peyālaṃ ||	api na kzamatae iti | peyAlam ||
   ye ca khalu punas te rājānaś cakra vartino buddha pramukhaṃ bhikṣu saṃghaṃ	ye ca Kalu punar te rAjAnaH cakra vartinaH budDa  pramuKam Bikzu  saMGam
   sarva sukha upadhānaiḥ sat kuryuḥ yaś ca + abhiniṣkrānta gṛha āvāso	sarva  suKa  upaDAnEH sat kuryuH yaH ca + aBinizkrAnta gRha AvAsaH 
   bodhi satvaḥ piṇḍa pātraṃ caritvā pātra paryāpannaṃ pareṣāṃ saṃvibhajya	boDi  satvaH piNxa  pAtram caritvA pAtra  paryApannam parezAm saMviBajya
   paribhuñjīta | idaṃ tato bahutaraṃ ca mahā arghataraṃ ca | yac ca te	pariBuQjIta | idam tatas bahutaram ca mahA  arGataram ca | yat ca te
   rājānaś cakra vartinaḥ sumeru mātraṃ cīvara rāśiṃ buddha pramukhāya	rAjAnaH cakra vartinaH sumeru  mAtram cIvara  rASim budDa  pramuKAya
   bhikṣu saṃghāya dadyuḥ | yac ca + abhiniṣkrānta gṛha āvāso bodhi satvas	Bikzu  saMGAya dadyuH | yat ca + aBinizkrAnta  gRha AvAsaH boDi  satva s
   tri cīvaraṃ bahir dhā mahā yāna saṃprasthitāya buddha pramukhāya	tri cIvaram bahir DA mahA yAna  saMprasTitAya budDa  pramuKAya
   bhikṣu saṃghāya vā tathā gata caitye vā dadyād | idaṃ bhikṣoś cīvara dānam	Bikzu  saMGAya vA taTA gata  cEtye vA dadyAt | idam BikzoH cIvara dAnam
   etat pūrvaka cīvara rāśim abhibhavati | yac ca te rājānaḥ praty ekaṃ	etat pUrvaka cIvara  rASim aBiBavati | yat ca te rAjAnaH praty ekam
   sarvaṃ jambū dvīpaṃ puṣpa saṃstṛtaṃ kṛtvā tathā gata caitye niryātayet |	sarvam jambU dvIpam puzpa  saMstRtam kRtvA taTA gata  cEtye niryAtayet |
   yac ca + abhiniṣkrānta gṛha āvāso bodhi satvaḥ antaśa eka puṣpam api	yat ca + aBinizkrAnta  gRha AvAsaH boDi  satvaH antaSas eka puzpam api
   tathā gata caitye āropayet | asya dānasya + etat pūrvakaṃ dānaṃ śatatamīm	taTA a gata  cEtye Aropayet | asya dAnasya + etat pUrvakam dAnam SatatamIm
   api kalāṃ na + upaiti | yāvad upaniṣadam api na + upaiti + iti ||	api kalAm na + upEti | yAvat upanizadam api na + upEti + iti ||
   ārya anupūrva samudgata parivarte * api deśitaṃ | catura imān	Arya  anupUrva  samudgata parivarte * api deSitam | caturaH imAn
   bhadra anuśaṃsān paśyan bodhi satvas tathā gata pūjāyām utsuko bhavati |	Badra anuSaMsAn paSyan boDi  satvaH taTA a gata pUjAyAm utsukaH Bavati |
   katamāṃś caturaḥ | agraś ca me dakṣiṇīyaḥ pūjito bhaviṣyati māṃ ca dṛṣṭvā	katamAn caturaH | agraH ca me dakziNIyaH pUjitaH Bavizyati mAm ca dRzwvA
   + anye * api tathā śikṣiṣyanti | tathā gataṃ ca pūjayitvā bodhi cittaṃ	+ anye * api taTA Sikzizyanti | taTA a  gatam ca pUjayitvA boDi  cittam
   dṛḍhaṃ bhaviṣyati | dvātriṃśatāṃ ca mahā puruṣa lakṣaṇānāṃ	dRXam Bavizyati | dvAtriMSatAm ca mahA  puruza  lakzaNAnAm
   saṃmukha darśanena kuśala mūlam upacitaṃ bhaviṣyati | imāś catvāraḥ iti ||	saMmuKa darSanena kuSala mUlam upacitam Bavizyati | imAH catvAraH iti ||
   idaṃ ca nir uttaraṃ tathā gata pūjā upasthānaṃ |yathā + udāhṛtam	idam ca nir uttaram taTA gata  pUjA  upasTAnam |yaTA + udAhRtam
   ārya sāgaramati paripṛcchā sūtre | trīṇi + imāni sāgaramate tathā gatasya	Arya  sAgara mati  paripRcCA  sUtre | trINi + imAni sAgara mate taTA gatasya
   nir uttarāṇi pūjā upasthānāni | katamāni trīṇi | yac ca bodhi cittam	nir uttarANi pUjA  upasTAnAni | katamAni trINi | yat ca boDi  cittam
   utpādayati | yac ca sad dharmaṃ parigṛhṇāti | yac ca satveṣu	utpAdayati | yat ca sad Darmam parigRhNAti | yat ca satvezu
   mahā karuṇā cittam utpādayati + iti ||	mahA karuNA  cittam utpAdayati + iti ||
   nirdiṣṭam apy ārya ratna meghe | daśabhiḥ kula putra dharmaiḥ samanvāgatā	nirdizwam api Arya  ratna  meGe | daSaBiH kula putra DarmEH samanvAgatA
   bodhi satvā an anuliptā garbha malena jāyante | katamair daśabhiḥ | yad	boDi  satvAH an anuliptAH garBa malena jAyante | katamEH daSaBiH | yat 
   uta | tathā gata pratimā karaṇatayā | jīrṇa caitya saṃskaraṇatayā |	uta | taTA a gata pratimA karaNa tayA | jIrNa  cEtya  saMskaraNa tayA |
   tathā gata caityeṣu gandha vilepana anupradānena | tathā gata pratimāsu	taTA a gata  cEtyezu ganDa  vilepana anupradAnena | taTA a gata  pratimAsu
   gandha udaka snāna anupradānena | tathā gata caityeṣu	ganDa udaka  snAna  anu pradAnena | taTA gata  cEtyezu
   saṃmārjana upalepana anupradānena | mātā pitṝṇāṃ kāya paricaryā ācaraṇena	saMmArjana upalepana  anupradAnena | mAtA  pitLNAm kAya  paricaryA AcaraNena
   ācārya upādhyāyānāṃ kāya paricaryā ācaraṇena | sa brahma cāriṇāṃ	AcArya upADyAyAnAm kAya  paricaryA AcaraNena | sa brahma cAriNAm
   kāya paricaryā ācaraṇena | tac ca nir āmiṣeṇa cittena na sa āmiṣeṇa | tac	kAya  paricaryA AcaraNena | tat ca nir AmizeNa cittena na sa a AmizeNa | tat 
   ca kuśalam evaṃ pariṇāmayanti | anena kuśala mūlena sarva satvā	ca kuSalam evam pariNAmayanti | anena kuSala mUlena sarva satvA
   nir upaliptā garbha malena jāyantām iti | tac ca tīvreṇa + āśayena	nir upaliptA garBa malena jAyantAm iti | tat ca tIvreNa + ASayena
   cintayanti | ebhiḥ kula putra daśabhir dharmair iti ||	cintayanti | eBiH kula putra daSaBiH DarmEH iti ||
   anumodana anuśaṃsās tv ārya prajñā pāramitāyām uktāḥ | yaḥ	anumodana  anuSaMsAH tu Arya  prajQA  pAramitAyAm uktAH | yaH
   prathama yāna saṃprasthitānāṃ bodhi satvānāṃ mahā satvānāṃ tāṃś	praTama yAna  saMprasTitAnAm boDi  satvAnAm mahA  satvAnAm tAnS
   citta utpādān anumodate |caratām api bodhi satva caryāṃ tāṃś citta utpādān	citta  utpAdAn anumodate |caratAm api boDi  satva  caryAm tAn citta  utpAdAn
   anumodate | a vinivartanīyām api a vinivartanīya dharmatām anumodate	anumodate | a vinivartanIyAm api a vinivartanIya  Darma tAm anumodate
   bodhi satvānāṃ mahā satvānāṃ | kiyantaṃ sa bhagavan kula putro vā	boDi  satvAnAm mahA  satvAnAm | kiyantam sa Bagavan kula putraH vA
   kula duhitā vā bahutaraṃ puṇya skandhaṃ prasavati ||	kula  duhitA vA bahutaram puNya skanDam prasavati ||
   evam ukte bhagavān śakraṃ devānām indram etad avocat | pe | syāt khalu	evam ukte BagavAn Sakram devAnAm indram etat avocat | pe | syAt Kalu
