   praśnopaniṣad	praSna-upanizad
   kutaḥ prāptiḥ suṣuptapuruṣāṇāṃ karaṇānāṃ kasmiṃścidekībhāvagamanāśaṅkāyāḥ	kutas prAptiH suzupta-puruzANAm karaNAnAm kasmiMScid-ekIBAva-gamana-ASaFkAyAH
   praṣṭuḥ /	prazwuH /
   yuktaiva tvāśaṅkā /	yuktA-eva tu-ASaFkA /
   yataḥ saṃhatāni karaṇāni svābhyarthāni paratantrāṇi ca jāgradviṣaye tasmāt	yatas saMhatAni karaNAni sva-aByarTAni paratantrANi ca jAgrat-vizaye tasmAt-
   svāpe 'pi saṃhatānāṃ pāratantryeṇaiva kasmiṃścitsaṃtirnyāyyeti tasmād	svApe api saMhatAnAm pAratantryeNa-eva kasmiMScid-saMtiH-nyAyya-iti tasmAt-
   āśaṅkānurūpa eva praśno 'yam /	ASaFka-anurUpaH eva praSnaH ayam /
   atra tu kāryakaraṇasaṃghāto yasmiṃśca pralīnaḥ	atra tu kArya-karaNa-saMGAtaH yasmin=-ca pralInaH
   suṣuptapralayakālayostadviśeṣaṃ bubhutsoḥ sa ko nu syāditi kasminsarve	suzupta-pralaya-kAlayoH-tad-viSezam buButsoH sa kaH nu syAt-iti kasmin-sarve
   saṃpratiṣṭhitā bhavantīti //1//	saMpratizWitAH Bavanti-iti //1//
   START PrUp 4.2	START PrUp 4.2
   tasmai sa hovāca |	tasmE sa ha-uvAca |
   yathā gārgya marīcayo'rkasyās taṃ gacchataḥ sarvā etasmiṃs tejomaṇḍala	yaTA gArgya marIcayaH-arkasyAH tam gacCataH sarvAH etasmin tejaH-maNxala
   ekībhavanti |	ekIBavanti |
   tāḥ punaḥ punar udayataḥ pracaranti |	tAH punar punar udayataH pracaranti |
   evaṃ ha vai tat sarvaṃ pare deve manasy ekībhavati |	evam ha vE tat sarvam pare deve manasi ekIBavati |
   tena tarhy eṣa puruṣo na śṛṇoti |	tena tarhi eza puruzaH na SRNoti |
   na paśyati |	na paSyati |
   na jighrati |	na jiGrati |
   na rasayate |	na rasayate |
   na spṛśate |	na spRSate |
   nābhivadate |	na-aBivadate |
   nādatte |	na-Adatte |
   nānandayate |	na-Anandayate |
   na visṛjate |	na visRjate |
   neyāyate |	na-iyAyate |
   svapatīty ācakṣate || PrUp_4.2 ||	svapati-iti Acakzate || PrUp_4.2 ||
   PrUpBh_4.2	PrUpB=-_4.2
   tasmai sa hovācācāryaḥ - śṛṇu he gārgya yattvayā pṛṣṭam /	tasmE sa ha-uvAca-AcAryaH  SRNu he gArgya yat-tvayA pRzwam /
   yathā marīcayo raśmayor'kasya ādityasyāstamadarśanaṃ gacchataḥ sarvā	yaTA marIcayoH raSmayoH-akasya Adityasya-astam-adarSanam gacCataH sarvA
   aśeṣata etasmiṃstejomaṇḍale tejorāśirūpa ekībhavanti	aSezatas etasmin=-tejaH-maNxale tejaH-rASi-rUpaH ekIBavanti
   vivekānarhatvamaviśeṣatāṃ gacchanti marīcayastasyaivārkasya tāḥ punaḥ	vivekAn-arha-tvam-aviSeza-tAm gacCanti marIcayaH-tasya-eva-arkasya tAH punar-
   punarudayata udgacchataḥ pracaranti vikīryante /	punar-udayataH udgacCataH pracaranti vikIryante /
   yathāyaṃ dṛṣṭāntaḥ, evaṃ ha vai tatsarvaṃ viṣayendriyādijātaṃ pare	yaTA-ayam dRzwAntaH, evam ha vE tat-sarvam vizaya-indriya-Adi-jAtam pare
   prakṛṣṭe deve dyotanavati manasi cakṣurādidevānāṃ manastantratvātparo devo	prakRzwe deve dyotanavati manasi cakzuH-Adi-devAnAm manaH-tantra-tvAt-paraH devaH-
   manaḥ tasminsvapnakāla ekībhavati /	manaH tasmin-svapna-kAle ekIBavati /
   maṇḍale marīcivadaviśeṣatāṃ gacchati /	maNxale marIci-vat-aviSeza-tAm gacCati /
   jijāgariṣośca raśmimavanmaṇḍalānmanasa eva pracaranti svavyāpārāya	jijAgarizoH-ca raSmima-vat-maNxalAn-manasaH eva pracaranti sva-vyApArAya
   pratiṣṭhante /	pratizWante /
   yasmātsvapnakāle śrotrādīni śabdādyupalabdhikaraṇāni manasi ekībhūtānīva	yasmAt-svapna-kAle Srotra-AdIni Sabda-Adi-upalabDi-karaNAni manasi ekIBUtAni-iva
   karaṇavyāpārād uparatāni tena tasmāttarhi tasmin svāpakāla eṣa	karaNa-vyApArAt uparatAni tena tasmAt-tarhi tasmin svApa-kAle eza
   devadattādilakṣaṇaḥ puruṣo na śṛṇoti na paśyati na jighrati na rasayate na	deva-datta-Adi-lakzaNaH puruzaH na SRNoti na paSyati na jiGrati na rasayate na
   spṛśate nābhivadate nādatte nānandayate na visṛjate neyāyate	spRSate na-aBivadate na-Adatte na-Anandayate na visRjate na-iyAyate
   svapitīyācakṣate laukikāḥ //2//	svapitIya-Acakzate lOkikAH //2//
   START PrUp 4.3	START PrUp 4.3
   prāṇāgnaya evaitasmin pure jāgrati |	prANa-agnayaH eva-etasmin pure jAgrati |
   gārhapatyo ha vā eṣo 'pānaḥ |	gArhapatyaH ha vE ezaH apAnaH |
   vyāno 'nvāhāryapacanaḥ |	vyAnaH anvAhArya-pacanaH |
   yad gārhapatyāt praṇīyate praṇayanāt |	yat gArhapatyAt praNIyate praNayanAt |
   āhavanīyaḥ prāṇaḥ || PrUp_4.3 ||	AhavanIyaH prANaH || PrUp_4.3 ||
   PrUpBh_4.3	PrUpB=-_4.3
   suptatsu śrotrādiṣu karaṇeṣu etasminpure navadvāre dehe prāṇāgnayaḥ prāṇā	suptatsu Srotra-Adizu karaNezu etasmin-pure nava-dvAre dehe prANa-agnayaH prANA
   eva pañca vāyavo 'gnaya ivāgnayo jāgrati /	eva paQca vAyavaH agnayaH iva-agnayaH jAgrati /
   agnisāmānyaṃ hi āha - gārhapatyo ha vā eṣo 'pānaḥ /	agni-sAmAnyam hi Aha  gArhapatyaH ha vE ezaH apAnaH /
   kathamityāha - yasmādgārhapatyādagneragnihotrakāla itaro 'gniḥ āhavanīyaḥ	kaTam-iti-Aha  yasmAt-gArhapatyAt-agneH-agnihotra-kAle itaraH agniH AhavanIyaH
   praṇīyate praṇayanāt praṇīyate 'smāditi praṇayano gārhapatyo 'gniḥ /	praNIyate praNayanAt praNIyate asmAt-iti praNayanaH gArhapatyaH agniH /
   tathā suptasyāpānavṛtteḥ praṇīyata iva prāṇo mukhanāsikābhyāṃ saṃcaratyata	taTA suptasya-apAna-vRtteH praNIyataH iva prANaH muKa-nAsikAByAm saMcaratyata
   āhavanīyasthānīyaḥ prāṇaḥ /	AhavanIya-sTAnIyaH prANaH /
   vyānastu hṛdayād dakṣiṇasuṣiradvāreṇa	vyAnaH-tu hRdayAt dakziNa-suzira-dvAreNa
   nirgamāddakṣiṇadiksambandhādanvāhāryapacano dakṣiṇāgniḥ //3//	nirgamAt-dakziNa-diS-sambanDAt-anvAhArya-pacanaH dakziNAgniH //3//
   atra ca hotāgnihotrasya -	atra ca hotA-agni-hotrasya -
   START PrUp 4.4	START PrUp 4.4
   yad ucchvāsaniḥśvāsāvetāvāhutī samaṃ nayatīti sa samānaḥ |	yat ucCvAsa-niHSvAsO=-etO=-AhutI samam nayati-iti sa samAnaH |
   mano ha vāvana yajamānaḥ |	manaH ha vA-avana yajamAnaH |
   iṣṭaphalam evodānaḥ |	izwa-Palam eva-udAnaH |
   sa enaṃ yajamānam aharaharbrahma gamayati || PrUp_4.4 ||	saH enam yajamAnam aharahar-brahma gamayati || PrUp_4.4 ||
   PrUpBh_4.4	PrUpB=-_4.4
   yadyasmāducchvāsaniḥśvāsau agnihotrāhutī iva nityaṃ dvitvasāmānyādeva	yadi-asmAt-ucCvAsa-niHSvAsO agni-hotra-AhutI iva nityam dvi-tva-sAmAnyAt-eva
   tvetāvāhutī samaṃ sāmyena śarīrasthitibhāvāya nayati yo vāyuragnisthānīyo	tu-etO=-AhutI samam sAmyena SarIra-sTiti-BAvAya nayati yaH vAyuH-agni-sTAnIyaH-
   'pi hotā cāhutyornetṛtvāt /	api hotA ca-AhutyoH-netR-tvAt /
   ko 'sau sa samānaḥ /	kaH asO sa samAnaH /
   ataśca viduṣaḥ svāpo 'pyagnihotrahavanameva /	atas-ca viduzaH svApaH api-agni-hotra-havanam-eva /
   tasmādvidvānnākarmītyevaṃ mantavya ityabhiprāyaḥ /	tasmAt-vidvAn-na-akarmi-iti-evam mantavyaH iti-aBiprAyaH /
   sarvadā sarvāṇi bhūtāni vicinvantyapi svapata iti hi vājasaneyake /	sarvadA sarvANi BUtAni vicinvanti-api svapataH iti hi vAjasaneyake /
   atra hi jāgrasu prāṇāgniṣu upasaṃhṛtya bāhyakaraṇāni viṣayāṃśca	atra hi jAgrasu prANa-agnizu upasaMhRtya bAhya-karaNAni vizayAn=-ca
   agnihotraphalamiva svarga brahma jigamiṣurmano ha vāva yajamāno jāgarti	agnihotra-Palam-iva svarga brahma jigamizuH-manaH ha vAva yajamAnaH jAgarti
   yajamānavatkāryakaraṇeṣu prādhānyena saṃvyavahārātsvargamiva brahma prati	yajamAna-vat-kArya-karaNezu prADAnyena saMvyavahArAt-svargam-iva brahma prati
   prasthitatvādyajamāno manaḥ kalpyate /	prasTita-tvAt-yajamAnaH manaH kalpyate /
   iṣṭaphalaṃ yāgaphalamevodāno vāyuḥ /	izwa-Palam yAga-Palam-eva-udAnaH vAyuH /
   udānanimittatvādiṣṭaphalaprāpteḥ /	udAna-nimitta-tva-At-izwa-Pala-prApteH /
   katham?sa udāno mana ākhyaṃ yajamānaṃ svapnavṛttirūpādapi pracyāvyāharahaḥ	kaTam?saH udAnaH manaH AKyam yajamAnam svapna-vRtti-rUpAt-api pracyAvya-aharahar-
   suṣuptikāle svargamiva brahmākṣaraṃ gamayati /	suzupti-kAle svargam-iva brahma-akzaram gamayati /
   ato yāgaphalasthānīya udānaḥ //4//	atas yAga-Pala-sTAnIyaH udAnaH //4//
   evaṃ viduṣaḥ śrotrādyuparamakālādārabhya yāvatsuptotthito bhavati	evam viduzaH Srotra-Adi-uparama-kAlAt-AraBya yAvat-supta-utTitaH Bavati
   tāvatsarvayāgaphalānubhava eva nāviduṣāmivānarthāyeti vidvattā stūyate /	tAvat-sarva-yAga-Pala-anuBavaH eva na-aviduzAm-iva-anarTAya-iti vidvattA stUyate /
   na hi viduṣa eva śrotrādīni svapante prāṇāgnayo vā jāgrati	na hi viduzaH eva Srotra-AdIni svapante prANa-agnayaH vA jAgrati
   jāgratsvapnayormanaḥ svātantryamanubhavadaharahaḥ suṣuptaṃ vā pratipadyate	jAgrat-svapnayoH-manaH svAtantryam-anuBavat-aharahar suzuptam vA pratipadyate
   samānaṃ hi sarvaprāṇināṃ paryāyeṇa jāgratsvapnasuṣuptigamanamato	samAnam hi sarva-prANinAm paryAyeNa jAgrat-svapna-suzupti-gamanam-atas-
   vidvattāstutireva iyamupapadyate /	vidvattA-stutiH-eva iyam-upapadyate /
   yatpṛṣṭaṃ katara eṣa devaḥ svapnānpaśyatīti tadāha -	yat-pRzwam kataraH eza devaH svapnAn-paSyati-iti tat-Aha -
   START PrUp 4.5	START PrUp 4.5
   atraiṣa devaḥ svapne mahimānam anubhavati |	atra-eza devaH svapne mahimAnam anuBavati |
   yad dṛṣṭaṃ iṣṭam anupaśyati |	yat dRzwam izwam anupaSyati |
   śrutaṃ śrutam evārtham anuśṛṇoti |	Srutam Srutam eva-arTam anuSRNoti |
   deśadigantaraiś ca pratyanubhūtaṃ punaḥ punaḥ pratyanubhavati |	deSa-diS-antarEH ca pratyanuBUtam punar punar pratyanuBavati |
   dṛṣṭaṃ cādṛṣṭaṃ ca śrutaṃ cāśrutaṃ cānubhūtaṃ cānanubhūtaṃ ca saccāsacca	dRzwam ca-adRzwam ca Srutam ca-aSrutam ca-anuBUtam ca-ananuBUtam ca sat-ca-asat-ca
   sarvaṃ paśyati |	sarvam paSyati |
   sarvaḥ paśyati || PrUp_4.5 ||	sarvaH paSyati || PrUp_4.5 ||
   PrUpBh_4.5	PrUpB=-_4.5
   atroparateṣu śrotrādiṣu deharakṣāyai jāgratsu prāṇādivāyuṣu	atra-uparatezu Srotra-Adizu deha-rakzAyE jAgratsu prANa-Adi-vAyuzu
   prāksuṣuptipratipatteḥ etasmin antarāla eṣa devor'karaśmivat svātmani	prAc-suzupti-pratipatteH etasmin antarAlaH eza devoH-aka-raSmi-vat sva-Atmani
   saṃhṛtaśrotrādikaraṇaḥ svapne mahimānaṃ vibhūtiṃ	saMhRta-Srotra-Adi-karaNaH svapne mahimAnam viBUtim
   viṣayaviṣayilakṣaṇamanekātmabhāvagamanam anubhavati pratipadyate /	vizaya-vizayi-lakzaNam-aneka-Atma-BAva-gamanam anuBavati pratipadyate /
   nanu mahimānubhavane karaṇaṃ mano 'nubhavitustatkathaṃ	nanu mahima-anuBavane karaNam manaH anuBavituH-tat-kaTam
   svātantryeṇānubhavati ityucyate svatantro hi kṣetrajñaḥ /	svAtantryeNa-anuBavati iti-ucyate svatantraH hi kzetrajQaH /
   naiṣa doṣaḥ kṣetrajñasya svātantrya mana upādhikṛtatvānna hi kṣetrajñaḥ	na-eza dozaH kzetrajQasya svAtantrya manaH upADi-kRta-tvAt-na hi kzetrajQaH
   paramārthataḥ svataḥ svapiti jāgarti vā /	paramArTataH svatas svapiti jAgarti vA /
   mana upādhikṛtameva tasya jāgaraṇaṃ svapnaścetyuktaṃ vājasaneyake"sa hi	manaH upADikRtam-eva tasya jAgaraNam svapnaH-ca-iti-uktam vAjasaneyake"-sa hi
   svapno bhūtvā dhyāyatīva lelāyatīva" (bṛ.u.4 / 3 / 7) ityādi /	svapnaH BUtvA DyAyati-iva lelAyati-iva" (bR.u.4 / 3 / 7) ityAdi /
   tasmānmanaso vibhūtyanubhave svātantryavacanaṃ nyāyyameva /	tasmAt-manasaH viBUti-anuBave svAtantrya-vacanam nyAyyam-eva /
   mana upādhisahitatve svapnakāle kṣetrajñasya svayaṃ jyotiṣṭvaṃ bādhyeteti	manaH upADi-sahita-tve svapna-kAle kzetrajQasya svayam jyotizwvam bADyeta-iti
   kecit tanna, śrutyarthāparijñānakṛtā bhrāntiḥ teṣām /	kecid tat-na, Sruti-arTa-aparijQAna-kRtA BrAntiH tezAm /
   yasmātsvayañjyotiṣṭvādivyavahāro 'pyāmokṣāntaḥ sarvo 'vidyāviṣaya eva mana	yasmAt-svayan-jyotizwvA-Adi-vyavahAraH api-Amokza-antar sarvaH avidyA-vizayaH eva mana
   ādyupādhijanitaḥ /	Adi-upADi-janitaH /
   "yatra vā anyadiva syāttatrānyo 'nyatpaśyet" (bṛ.u.4 / 3 / 32)	"yatra vA anyat-iva syAt-tatra-anyaH anyat-paSyet" (bR.u.4 / 3 / 32)
   "mātrāsaṃsargastvasya bhavati" "yatra tvasya sarvamātmaivābhūttatkena kaṃ	"mAtrA-saMsargaH-tu-asya Bavati" "yatra tu-asya sarvam-AtmA-eva-aBUt-tat-kena kam
   paśyet" (bṛ.u.2 / 4 / 14) ityādiśrutibhyaḥ /	paSyet" (bR.u.2 / 4 / 14) ityAdi-SrutiByaH /
   ato mandabrahmavidāmeveyamāśaṅkā na tu ekātmavidām /	atas manda-brahma-vidAm-eva-iyam-ASaFkA na tu eka-Atma-vidAm /
   nanvevaṃ sati"atrāyaṃ puruṣaḥ svayañjyotiḥ" (bṛ.u.3 / 3 / 14) iti	nanu-evam sati"atra-ayam puruzaH svayan-jyotiH" (bR.u.3 / 3 / 14) iti
   viśeṣaṇamanarthakaṃ bhavati /	viSezaNam-anarTakam Bavati /
   atrocyate atyalpamidamucyate"ya eṣa'ntarhṛdaya ākāśastasmiñśete" (bṛ.u.2 /	atra-ucyate ati-alpam-idam-ucyate"yaH eza-antar-hRdayaH AkASaH-tasmin-Sete" (bR.u.2 /
   1 / 17) ityantarhṛdayaparicchede sutarāṃ svayañjyotiṣṭvaṃ bādhyeta /	1 / 17) iti-antar-hRdaya-paricCede sutarAm svayan-jyotizwvam bADyeta /
   satyamevamayaṃ doṣo yadyapi syātsvapne kevalayā svayañjyotiṣṭvenārdhaṃ	satyam-evam-ayam dozaH yadi-api syAt-svapne kevalayA svayan-jyotizwvena-arDam
   tāvadapanītaṃ bhārasyeti cet /	tAvat-apanItam BArasya-iti ced /
   na;tatrāpi"purītati śete"(bṛ.u.2 / 1 / 19) iti śruteḥ	na;tatra-api"purItati Sete"(bR.u.2 / 1 / 19) iti SruteH
   purītannāḍīsambandhādatrāpi puruṣasya	purItan-nAxI-sambanDAt-atra-api puruzasya
   svayañjyotiṣṭvenārdhabhārāpanayābhiprāyo mṛṣaiva /	svayan-jyotizwvena-arDa-BAra-apanaya-aBiprAyaH mRzA-eva /
   kathaṃ tarhi"atrāyaṃ puruṣaḥ svayañjyotiḥ"(bṛ.u.4 / 3 / 14) iti /	kaTam tarhi-"atra-ayam puruzaH svayan-jyotiH"(bR.u.4 / 3 / 14) iti /
   anyaśākhātvādanapekṣā sā śrutiriti cet /	anya-SAKA-tvAt-anapekzA sA SrutiH-iti ced /
   na athaikatvasyeṣṭatvādeko hyātmā sarvavedāntānāmartho vijijñāpayiṣito	na aTa-ekatvasya-izwa-tvAt-ekaH hi-AtmA sarva-vedAntAnAm-arTaH vijijQApayizitaH-
   bubhutsitaśca /	buButsitaH-ca /
   tasmādyuktā svapna ātmanaḥ svayañjyotiṣṭvopapattirvaktum /	tasmAt-yuktA svapnaH AtmanaH svayan-jyotizwvA-upapattiH-vaktum /
   śruteryathārthatattvaprakāśakatvāt /	SruteH-yaTArTa-tattva-prakASaka-tvAt /
   evaṃ tarhi śṛṇu śrutyarthaṃ hitvā sarvamabhimānaṃ na tvabhimānena	evam tarhi SRNu Sruti-arTam hitvA sarvam-aBimAnam na tu-aBimAnena
   varṣaśatenāpi śrutyartho jñātuṃ śakyate sarvaiḥ paṇḍitammanyaiḥ /	varza-Satena-api Sruti-arTaH jQAtum Sakyate sarvEH paNxitam-manyEH /
   yathā - hṛdayākāśe purītati nāḍīṣu ca svapatastatsaṃbandhābhāvāttato	yaTA  hRdaya-AkASe purItati nAxIzu ca svapataH-tad-saMbanDa-aBAvAt-tatas-
   vivicya darśayituṃ śakyata ityātmanaḥ svayañjyotiṣṭvaṃ na bādhyate /	vivicya darSayitum Sakyate iti-AtmanaH svayan-jyotizwvam na bADyate /
   evaṃ manasyavidyākāmakarmanimittodbhūtavāsanāvati karmanimittā	evam manasi-avidyA-kAma-karma-nimitta-udBUta-vAsanAvati karma-nimittA
   vāsanāvidyayānyadvastvantaramiva paśyataḥ sarvakāryakaraṇebhyaḥ	vAsanA-vidyayA-anya-t-vastu-antaram-iva paSyataH sarva-kArya-karaNeByaH
   praviviktasya draṣṭurvāsanābhyo dṛśyarūpābhyo 'nyatvena svayañjyotiṣṭvaṃ	praviviktasya drazwuH-vAsanAByaH dRSya-rUpAByaH anya-tvena svayan-jyotizwvam
   sudarpitenāpi tārkikeṇa na vārayituṃ śakyate /	su-darpitena-api tArkikeNa na vArayitum Sakyate /
   tasmāt sādhūktaṃ manasi pralīneṣu karaṇeṣu apralīne ca manasi manomayaḥ	tasmAt sADu-uktam manasi pralInezu karaNezu apralIne ca manasi manaH-mayaH
   svapnānpaśyatīti /	svapnAn-paSyati-iti /
   kathaṃ mahimānamanubhavatītyucyate yanmitraṃ putrādapi vā pūrvaṃ dṛṣṭaṃ	kaTam mahimAnam-anuBavati-iti-ucyate yat-mitram putrAt-api vA pUrvam dRzwam
   tadvāsanāvāsitaḥ putramitrādivāsanāsamudbhūtaṃ putraṃ mitramiva vā vidyayā	tad-vAsanA-vAsitaH putra-mitra-Adi-vAsanA-samudBUtam putram mitram-iva vA vidyayA
   paśyatītyevaṃ manyate /	paSyati-iti-evam manyate /
   tathā śrutamarthaṃ tadvāsanayānuśṛṇotīva /	taTA Srutam-arTam tad-vAsanayA-anuSRNoti-iva /
   deśadigantaraiśca deśāntarairdigantaraiśca pratyanubhūtaṃ punaḥ	deSa-diS-antarEH-ca deSa-antarEH-digantarEH-ca pratyanuBUtam punar-
   punastatpratyanubhavatīvāvidyayā tathā dṛṣṭaṃ cāsmiñjanmanyadṛṣṭaṃ ca	punar-tad-pratyanuBavati-iva-avidyayA taTA dRzwam ca-asmin-janmani-adRzwam ca
   janmāntaradṛṣṭamityarthaḥ, atyantādṛṣṭe vāsanānupapatteḥ, evaṃ śrutaṃ	janma-antara-dRzwam-iti-arTaH, atyanta-adRzwe vAsanA-anupapatteH, evam Srutam
   cāśrutaṃ cānubhūtaṃ cāsmiñjanmani kevalena manasā ananubhūtaṃ ca manasaiva	ca-aSrutam ca-anuBUtam ca-asmin-janmani kevalena manasA ananuBUtam ca manasA-eva
   janmāntare 'nubhūtamityarthaḥ /	janma-antare anuBUtam-iti-arTaH /
   sacca paramārthodakādi, asacca marīcyudakādi /	sat-ca parama-arTa-udaka-Adi, asat-ca marIci-udaka-Adi /
   kiṃ bahunoktaṃ sarvaṃ paśyati sarvaḥ paśyati sarvamanovāsanopādhiḥ	kim bahunA-uktam sarvam paSyati sarvaH paSyati sarva-manaH-vAsana-upADiH
   sannevaṃ sarvakaraṇātmā manodevaḥ svapnānpaśyati //5//	san=-evam sarva-karaNa-AtmA manaH-devaH svapnAn-paSyati //5//
   START PrUp 4.6	START PrUp 4.6
   sa yadā tejasābhibhūto bhavati |	sa yadA tejasA-aBiBUtaH Bavati |
   atraiṣa devaḥ svapnānna paśyati |	atra-eza devaH svapnAt-na paSyati |
   atha tadaitasmiñ śarīra etat sukhaṃ bhavati || PrUp_4.6 ||	aTa tadA-etasmin SarIraH etat suKam Bavati || PrUp_4.6 ||
   PrUpBh_4.6	PrUpB=-_4.6
   sa yadā manorūpo devo yasminkāle saureṇa pittākhyena tejasā nāḍīśayena	sa yadA manaH-rUpaH devaH yasmin-kAle sOreNa pitta-AKyena tejasA nAxI-Sayena
   sarvatobhi'bhūto bhavati tiraskṛtavāsanādvāro bhavati tathā saha karaṇaiḥ	sarvatoBi-aBUtaH Bavati tiraskRta-vAsanA-dvAraH Bavati taTA saha karaNEH
   manaso raśmayo hṛdyupasaṃhṛtā bhavanti /	manasaH raSmayaH hRdi-upasaMhRtAH Bavanti /
   yadā mano dārvagnivadaviśeṣavijñānarūpeṇa kṛsnaṃ śarīraṃ vyāpyavatṣṭate	yadA manaH dAru-agni-vat-aviSeza-vijQAna-rUpeNa kRsnam SarIram vyApya-vatzwate
   tadā suṣupto bhavati /	tadA suzuptaH Bavati /
   atraitasminkāla eṣa mana ākhyo devaḥ svapnānna paśyati darśanadvārasya	atra-etasmin-kAle eza manaH AKyaH devaH svapnAt-na paSyati darSana-dvArasya
   tejasā /	tejasA /
   atha tadaitasmiñśarīra etatsukhaṃ bhavati yadvijñānaṃ nirābādhamaviśeṣeṇa	aTa tadA-etasmin-SarIraH etat-suKam Bavati yat-vijQAnam nirAbADam-aviSezeNa
   śarīravyāpakaṃ prasannaṃ bhavatītyarthaḥ // 6 // etasminkāle	SarIra-vyApakam prasannam Bavati-iti-arTaH // 6 // etasmin-kAle
   'vidyākāmakarmanibandhanāni kāryakaraṇāni śāntāni bhavanti /	avidyA-kAma-karma-nibanDanAni kArya-karaNAni SAntAni Bavanti /
   teṣu śānteṣu ātmasvarūpamupādhibhiranyathā vibhāvyamānamadvayamekaṃ śivaṃ	tezu SAntezu Atma-svarUpam-upADiBiH-anyaTA viBAvyamAnam-advayam-ekam Sivam
   śāntaṃ bhavatītyetāmevāvasthāṃ pṛthivyādyavidyākṛtamātrānupraveśena	SAntam Bavati-iti-etAm-eva-avasTAm pRTivI-Adi-avidyA-kRta-mAtra-anupraveSena
   darśayituṃ dṛṣṭāntamāha -	darSayitum dRzwAntam-Aha -
   START PrUp 4.7	START PrUp 4.7
   sa yathā somya vayāṃsi vāsovṛkṣaṃ saṃpratiṣṭhante |	sa yaTA somya vayAMsi vAsaH-vRkzam saMpratizWante |
   evaṃ ha vai tat sarvaṃ para ātmani saṃpratiṣṭhate || PrUp_4.7 ||	evam ha vE tat sarvam paraH Atmani saMpratizWate || PrUp_4.7 ||
   PrUpBh_4.7	PrUpB=-_4.7
   sa dṛṣṭānto yathā yena prakāreṇa somya priyadarśana vayāṃsi pakṣiṇo	sa dRzwAntaH yaTA yena prakAreNa somya priya-darSana vayAMsi pakziNaH-
   vāsārthaṃ vṛkṣaṃ vāsovṛkṣaṃ prati saṃpratiṣṭhante gacchanti /	vAsa-arTam vRkzam vAsaH-vRkzam prati saMpratizWante gacCanti /
   evaṃ yathā dṛṣṭānto ha vai tadvakṣyamāṇaṃ sarvaṃ para ātmanyakṣare	evam yaTA dRzwAntaH ha vE tat-vakzyamANam sarvam paraH Atmani-akzare
   saṃpratiṣṭhate //7//	saMpratizWate //7//
   kiṃ tatsarvam -	kim tat-sarvam -
   START PrUp 4.8	START PrUp 4.8
   pṛthivī ca pṛthivīmātrā ca |	pRTivI ca pRTivI-mAtrA ca |
   āpaś cāpomātrā ca |	ApaH ca-apomAtrA ca |
   tejaś ca tejomātrā ca |	tejaH ca tejaH-mAtrA ca |
   vāyuś ca vāyumātrā ca |	vAyuH ca vAyu-mAtrA ca |
   ākāśaś cākāśamātrā ca |	AkASaH ca-AkASa-mAtrA ca |
   cakṣuś ca draṣṭavyaṃ ca |	cakzuH ca drazwavyam ca |
   śrotraṃ ca śrotavyaṃ ca |	Srotram ca Srotavyam ca |
   ghrāṇaṃ ca ghrātavyaṃ ca |	GrANam ca GrAtavyam ca |
   rasaś ca rasayitavyaṃ ca |	rasaH ca rasayitavyam ca |
   tvak ca sparśayitavyaṃ ca |	tvac ca sparSayitavyam ca |
   vāk ca vaktavyaṃ ca |	vAc ca vaktavyam ca |
   hastau cādātavyaṃ ca |	hastO ca-AdAtavyam ca |
   upasthaś cānandayitavyaṃ ca |	upasTaH ca-Anandayitavyam ca |
   pāyuś ca visarjayitavyaṃ ca |	pAyuH ca visarjayitavyam ca |
   pādau ca gantavyaṃ ca |	pAdO ca gantavyam ca |
   manaś ca mantavyaṃ ca |	manaH ca mantavyam ca |
   buddhiś ca boddhavyaṃ ca |	budDiH ca bodDavyam ca |
   ahaṅkāraś cāhaṅkartavyaṃ ca |	ahaFkAraH ca-ahaFkartavyam ca |
   cittaṃ ca cetayitavyaṃ ca |	cittam ca cetayitavyam ca |
   tejaś ca vidyotayitavyaṃ ca |	tejaH ca vidyotayitavyam ca |
   prāṇaś ca vidhārayitavyaṃ ca || PrUp_4.8 ||	prANaH ca viDArayitavyam ca || PrUp_4.8 ||
   PrUpBh_4.8	PrUpB=-_4.8
   pṛthivī ca sthūlā pañcaguṇā tatkāraṇā ca pṛthivīmātrā ca gandhatanmātrā,	pRTivI ca sTUlA paQcaguNA tad-kAraNA ca pRTivI-mAtrA ca ganDa-tanmAtrA,
   tathāpaścāpomātrā ca, tejaśca tejomātrā ca, vāyuśca vāyumātrā ca,	taTA-apaH-cApaH-mAtrA ca, tejaH-ca tejaH-mAtrA ca, vAyuH-ca vAyu-mAtrA ca,
   ākāśaścākāśamātrā ca, sthūlāni ca sūkṣmāṇi ca bhūtānītyarthaḥ, tathā	AkASaH-ca-AkASa-mAtrA ca, sTUlAni ca sUkzmANi ca BUtAni-iti-arTaH, taTA
   cakṣuścendriyaṃ rūpaṃ ca draṣṭavyaṃ ca, śrautraṃ ca śrotavyaṃ ca, ghrāṇaṃ	cakzuH-ca-indriyam rUpam ca drazwavyam ca, SrOtram ca Srotavyam ca, GrANam
   ca ghrātavyaṃ ca, rasaśca rasayitavyaṃ ca, tvakca sparśayitavyaṃ ca, vākca	ca GrAtavyam ca, rasaH-ca rasayitavyam ca, tvac-ca sparSayitavyam ca, vAc-ca
