   (Vajraṭ_95)	(Vajraj-_95)
   pañcacakṣuṣāṃ deśanayoktaṃ viśuddhadarśanam |	paQca-cakzuzAm deSanayA-uktam viSudDa-darSanam |
   3. anuttarajñānapariśuddhisampad :	3. anuttara-jQAna-pariSudDi-sampad :
   viśuddhajñānābhidhānārtham- tatkiṃ manyase subhūte ityādyāha | traikālikāḥ	viSudDa-jQAna-aBiDAna-arTam tat-kim manyase suBUte iti-Adi-Aha | trEkAlikAH
   cittacaitasāstāvaccittasantatiḥ | tataḥ traikālyaviṣayatvena	citta-cEtasAH-tAvat-citta-santatiH | tatas trEkAlya-vizaya-tvena
   tadviṣayāvabodho jñānamityucyate, na tu darśanam | tadapi	tad-vizaya-avaboDaH jQAnam-iti-ucyate, na tu darSanam | tat-api
   sarāgacittavītarāgacittetyādinānāvidhasaṃkleśavyavadānabhāvena veditavyam	sa-rAga-citta-vIta-rAga-citta-ityAdi-nAnAviDa-saMkleSa-vyavadAna-BAvena veditavyam
   tāvanto lokadhātavaḥ ityupalakṣaṇam, anantalokadhātvantarnihitasattvānāṃ	tAvantaH lokaDAtavaH iti-upalakzaNam, ananta-loka-DAtu-antar-nihita-sattvAnAm
   cittadhārāyāḥ parijñānāt | tathāhi- saṃvṛtau tathāgatasya māṃsacakṣurādīni	citta-DArAyAH parijQAnAt | taTA-hi saMvRtO taTAgatasya mAMsa-cakzuH-AdIni
   bhavanti, atastanniṣpādanārthaṃ bodhisattvena chandapraṇidhānābhyāṃ	Bavanti, atas-tad-nizpAdana-arTam boDisattvena Canda-praNiDAnAByAm
   sthātavyam | anena tāvad vacanena sampaddvayaṃ paridīpitam |	sTAtavyam | anena tAvat vacanena sampad-dvayam paridIpitam |
   (Vajraṭ_194)	(Vajraj-_194)
   māṃsacakṣurādīnyapi ekānekasvabhāvābhyāṃ vicāraṇāyāmanupalabdhānyeva | na	mAMsa-cakzuH-AdIni-api eka-aneka-svaBAvAByAm vicAraNAyAm-anupalabDAni-eva | na
   hyarthāntarajñānena grahaṇaṃ yujyate, yathā pūrvaṃ vicāritam, evaṃ sati	hi-arTa-antara-jQAnena grahaNam yujyate, yaTA pUrvam vicAritam, evam sati
   kathaṃ prajñāsyete tathāgatasya māṃsacakṣurādividyamānatā cittadhārā ceti	kaTam prajQAsi-ete taTAgatasya mAMsa-cakzuH-Adi-vidyamAna-tA citta-DArA ca-iti
   cittāśayaṃ viditvā tatkasya hetoḥ? ityāha | bodhisattvena	citta-ASayam viditvA tat-kasya hetoH? iti-Aha | boDisattvena
   kathamanayordvayorviśuddhayoryogasamāpattyā pratipattavyam?	kaTam-anayoH-dvayoH-viSudDayoH-yoga-samApattyA pratipattavyam?
   ityetadabhidhātuṃ cittadhārā cittadhārā ityādyāha | paramārthataḥ adhārā	iti-etat-aBiDAtum citta-DArA citta-DArA iti-Adi-Aha | paramArTataH aDArA
   iti | svabhāvato 'sattve 'pi saṃvṛtimadhikṛtyāha- tenocyate cittadhāreti	iti | svaBAvataH asattve api saMvRtim-aDikRtya-aha tena-ucyate citta-DArA-iti
   iti | anyathā paramārthataḥ sarvavāggocarātītatvānna vaktuṃ śakṣyata	iti | anyaTA paramArTataH sarva-vAc-gocara-atIta-tvAt-na vaktum Sakzyata
   ityabhiprāyaḥ | cittadhāretyupalakṣaṇam | māṃsacakṣurādīnyapi	iti-aBiprAyaH | citta-DArA-iti-upalakzaNam | mAMsa-cakzuH-AdIni-api
   cakṣuḥsvabhāvarahitānyeva uktānīti kathanaṃ prakṛtaṃ sākṣānnoktam |	cakzuH-svaBAva-rahitAni-eva uktAni-iti kaTanam prakRtam sAkzAt-na-uktam |
   atra kathaṃ cittaṃ pragrahītavyamiti tadabhidhātumāha tatkasya hetoḥ? iti	atra kaTam cittam pragrahItavyam-iti tat-aBiDAtum-Aha tat-kasya hetoH? iti
   | adhāretyanena saha yojanīyam | atītādīnāṃ cittānāṃ paramārthato	| aDAra-iti-anena saha yojanIyam | atIta-AdInAm cittAnAm paramArTa-taH-
   'nutpannatvād anupalambhaḥ | sattve 'pi grahaṇānupapattyā nānupalambhaḥ |	anutpanna-tvAt anupalamBaH | sattve api grahaNa-anupapattyA na-anupalamBaH |
   tathā sati acittadhārādeśanamapi na bhavet, na cānupalambhamātreṇa	taTA sati acitta-DArAdeSanam-api na Bavet, na ca-anupalamBa-mAtreNa
   bhāvānāṃ niḥsvabhāvatvaṃ syāt | yathā traikālikacittasya paramārthato	BAvAnAm niHsvaBAva-tvam syAt | yaTA trEkAlika-cittasya paramArTa-taH-
   'bhāvastathā pūrvamuktaṃ vakṣyate ca | cittoktirūpalakṣaṇam, tato	aBAvaH-taTA pUrvam-uktam vakzyate ca | citta-ukti-rUpa-lakzaNam, tatas-
   'tītādimāṃsacakṣurādīnyapyanupalabdhānyeva | atra adhārā ityādibhiḥ	atIta-Adi-mAMsa-cakzuH-AdIni-api-anupalabDAni-eva | atra aDArAH ityAdiBiH
   padairgāmbhīryamuktam, śeṣairaudāryam |	padEH-gAmBIryam-uktam, SezEH-OdAryam |
   (Vajraṭ_195)	(Vajraj-_195)
   4. prāptapuṇyaskandhādhipatyasampad :	4. prApta-puNya-skanDa-ADipatya-sampad :
   yadi nāsti traikālikaṃ cittaṃ tadā puṇyaskandho 'pi na syāt,	yadi na-asti trEkAlikam cittam tadA puNya-skanDaH api na syAt-,
   cittāśritatvāttasya | tataḥ tathāgatasya puṇyaskandhādhipatyasampadaṃ	citta-ASrita-tvAt-tasya | tatas taTAgatasya puNya-skanDa-ADipatya-sampadam
   sampādayituṃ kathaṃ bodhisattvo yatnaṃ kūryāditi vicintya	sampAdayitum kaTam boDisattvaH yatnam kUryAt-iti vicintya
   puṇyaskandhādhipatyasampadamadhikṛtya- tatkiṃ manyase subhūte ityādyāha |	puNya-skanDa-ADipatya-sampadam-aDikRtya tat-kim manyase suBUte iti-Adi-Aha |
   anena kulaputro vā kuladuhitā vā yo 'ntaśo ratnādikaṃ bāhyavastu tyajati,	anena kula-putraH vA kula-duhitA vA yaH antaSas ratna-Adikam bAhya-vaH-tu tyajati,
   so 'pi (yadi) mahāpuṇyaskandhena yukto bhavati (tadā) kathaṃ na	saH api (yadi) mahA-puNya-skanDena yuktaH Bavati (tadA) kaTam na
   tathāgatasya asaṃkhyeyāprameyakalpeṣu duṣkarānekaśatānyabhyasyataḥ	taTAgatasya asaMKyeya-aprameya-kalpezu duzkara-aneka-SatAni-aByasyataH
   puṇyaskandhādhipatyaṃ syādityevaṃ deśitam |	puNya-skanDa-ADipatyam syAt-iti-evam deSitam |
   ata eva paramārthato 'satyapi puṇyaskandhe saṃvṛtau sattvād bodhisattvena	atas eva paramArTataH asati-api puNya-skanDe saMvRtO sattvAt boDisattvena
   tatra vaśībhāvaṃ niṣpādayituṃ chandapraṇidhānābhyāṃ sthātavyamityādarśitam	tatra vaSIBAvam nizpAdayitum Canda-praNiDAnAByAm sTAtavyam-iti-AdarSitam
   | anenaudāryamapyuktam | kathaṃ na paramārthataḥ puṇyaskandhasattvaṃ	| anena-OdAryam-api-uktam | kaTam na paramArTataH puNya-skanDa-sattvam
   vyavasthāpyata iti vicintya 'bodhisattvenātra kathaṃ pratipattavyam,	vyavasTApyate iti vicintya aboDisattvena-atra kaTam pratipattavyam,
   kathañca cittaṃ pragrahītavyam,'; ityubhayaṃ sandarśiyituṃ sacet subhūte	kaTaQca cittam pragrahItavyam,-a; iti-uBayam sandarSiyitum saced suBUte
   ityādyāha | sacet iti 'yadi'; ityarthaḥ | na tathāgato 'bhāṣiṣyat iti	iti-Adi-Aha | saced iti ayadi-a; iti-arTaH | na taTAgataH aBAzizyat iti
   paramārthato 'bhidhānaṃ nācariṣyat | anirdeśe 'pi tathā khyāyata	paramArTataH aBiDAnam na-Acarizyat | anirdeSe api taTA KyAyata
   ityabhiprāyaḥ | yathā paramārthataḥ puṇyaskandhasyābhāvastathā	iti-aBiprAyaH | yaTA paramArTataH puNya-skanDasya-aBAvaH-taTA
   prāgvarṇitaḥ | anena tathāgatasya puṇyaskandhādhipatyasampadaṃ	prAk-varNitaH | anena taTAgatasya puNya-skanDa-ADipatya-sampadam
   pariniṣpādayituṃ prasthitena bodhisattvena paramārthatastadanupalambhena	parinizpAdayitum prasTitena boDisattvena paramArTataH-tad-anupalamBena
   yogasamāpattyā pratipattavyam |	yoga-samApattyA pratipattavyam |
   paramārthatastadālambanābhiniveśaparihāreṇa (Vajraṭ_196) cittaṃ	paramArTataH-tad-Alambana-aBiniveSa-parihAreNa (Vajraz-_196) cittam
   pragrahītatavyam ityubhayaṃ deśitam, gāmbhīryamapyuktam |	pragrahItatavyam iti-uBayam deSitam, gAmBIryam-api-uktam |
   5. kāyasampad : (a) rūpakāyasampad	5. kAya-sampad : (a) rUpa-kAya-sampad-
   yadi puṇyaskandho naiva syāt tadā tathāgatānāṃ dvividhā	yadi puNya-skanDaH na-eva syAt tadA taTAgatAnAm dviviDA
   kāyalakṣaṇasampad-anuvyañjanakāyasampad, lakṣaṇakāyasampacca	kAya-lakzaNa-sampad--anu-vyaQjana-kAya-sampad, lakzaNa-kAya-sampad-ca
   yānuttarapuṇyenābhinirvartayitumiṣyate, sā naiva syāt, kāraṇābhāvāt |	yA-an-uttara-puNyena-aBinirvartayitum-izyate, sA na-eva syAt, kAraNa-aBAvAt |
   tasmāt tathāgatasya dvividhāṃ kāyasampadaṃ pariniṣpādayituṃ kathaṃ	tasmAt taTAgatasya dviviDAm kAya-sampadam parinizpAdayitum kaTam
   bodhisattvairyatno 'nuṣṭheya iti vicintayadbhyastathāgatasya	boDisattvEH-yatnaH anuzWeyaH iti vicintayadByaH-taTAgatasya
   rūpakāyasampadamadhikṛtya- tatkiṃ manyase subhūte ityādyāha |	rUpa-kAya-sampadam-aDikRtya tat-kim manyase suBUte iti-Adi-Aha |
   rūpakāyaḥ ityanuvyañjanakāyarūpeṇa draṣṭavyaḥ | lakṣaṇakāyaḥ paścād	rUpa-kAyaH iti-anuvyaQjana-kAya-rUpeNa drazwavyaH | lakzaNa-kAyaH paScAt-
   vakṣyate gobalivardanyāyena | tato 'yamatrāryasubhūterāśayaḥ- yathā	vakzyate go-bali-varda-nyAyena | tatas ayam-atra-Arya-suBUteH-ASayaH yaTA
   paramārthato 'skandha eva puṇyaskandhastathā rūpakāyo 'pyunutpanna eva |	paramArTataH askanDaH eva puNya-skanDaH-taTA rUpa-kAyaH api-unutpannaH eva |
   ataḥ paramārthataḥ na rūpakāyapariniṣpattyā tathāgato draṣṭavyaḥ ityucyate	atas paramArTataH na rUpa-kAya-parinizpattyA taTAgataH drazwavyaH iti-ucyate
   | saṃvṛtau māyānirmitabuddhavad vidyata eva rūpakāyaḥ, tata upapanna eva	| saMvRtO mAyA-nirmita-budDa-vat vidyate eva rUpa-kAyaH, tatas upapannaH eva
   (tasya) puṇyaskandhādudbhavaḥ |	(tasya) puNya-skanDAt-udBavaH |
   tasmād bodhisattvena māyānirmitabuddhasya tathāvidharūpādhimuktayā	tasmAt boDisattvena mAyA-nirmita-budDasya taTAviDa-rUpa-aDimuktayA
   tatpratipattaye chanda-praṇidhānābhyāṃ sthātavyamiti deśitam | nāpyatra	tad-pratipattaye Canda--praNiDAnAByAm sTAtavyam-iti deSitam | na-api-atra
   punaruktitā | pūrvamadhimukticaryābhūmau rūpakāyāptikāmatākāle	punaruktitA | pUrvam-aDimukti-caryA-BUmO rUpa-kAya-Apti-kAma-tA-kAle
   tathāgatapūjāsatkārakāle ca tathāvidho 'bhiniveśaḥ parivarjitaḥ, samprati	taTAgata-pUjA-satkAra-kAle ca taTAviDaH aBiniveSaH parivarjitaH, samprati
   śuddhādhyāśayabhūmau tathāgatarūpakāyasampadaṃ (Vajraṭ_197)	SudDa-aDyASaya-BUmO taTAgata-rUpa-kAya-sampadam (Vajraj-_197)
   pariniṣpādayituṃ samprasthitasya bodhisattvasya rūpe 'bhiniveśo bhavatīti	parinizpAdayitum samprasTitasya boDisattvasya rUpe aBiniveSaH Bavati-iti
   yāsāṃ prasiddhistāsāṃ pariṣadāṃ durvikalpo nirākṛta ityuktatvāt |	yAsAm prasidDiH-tAsAm parizadAm durvikalpaH nirAkRtaH iti-ukta-tvAt |
   evaṃ tarhi tathāgatānāṃ rūpakāyaḥ kasmād deśita iti vicintya tatkasya	evam tarhi taTAgatAnAm rUpa-kAyaH kasmAt deSitaH iti vicintya tat-kasya
   hetoḥ? ityapṛcchat | na rūpakāyapariniṣpattyā tathāgato draṣṭavyaḥ	hetoH? iti-apRcCat | na rUpa-kAya-parinizpattyA taTAgataH drazwavyaH
   ityanena yojanīyam | nāsau tāvat sidhyati, avapavirūpeṇa	iti-anena yojanIyam | na-asO tAvat siDyati, avapavirUpeNa
   paramāṇusañcayarūpeṇa vā rūpasyāsiddhatvād, yathā vicāritaṃ prāk | anena	paramANu-saQcaya-rUpeNa vA rUpasya-asidDa-tvAd, yaTA vicAritam prAk | anena
   bodhisattvena kathaṃ pratipattavyam, tannirdiṣṭam | tena iti ityaṃ	boDisattvena kaTam pratipattavyam, tat-nirdizwam | tena iti iti-am
   saṃvṛtau bhāvaḥ, na tu śaśaviṣāṇavat sarvathābhāvaḥ | anena cāpavādāntaṃ	saMvRtO BAvaH, na tu SaSa-vizANa-vat sarvaTABAvaH | anena ca-apavAda-antam
   parihṛtya kathaṃ cittaṃ pragrahītavyam, (iti) etannirdiṣṭam | anena	parihRtya kaTam cittam pragrahItavyam, (iti) etat-nirdizwam | anena
   sarvasthānena gāmbhīryaṃ pradarśitam | saṃvṛtau tathāgatasya	sarva-sTAnena gAmBIryam pradarSitam | saMvRtO taTAgatasya
   rūpakāyasampadaṃ niṣpādayituṃ bodhisattvaiḥ karaṇīyānāṃ yatnānāṃ	rUpa-kAya-sampadam nizpAdayitum boDisattvEH karaNIyAnAm yatnAnAm
   nidarśanena ādāryamapi dīpitam |	nidarSanena AdAryam-api dIpitam |
   (ba) lakṣaṇakāyasampad :	(ba) lakzaNa-kAya-sampad :
   lakṣaṇakāyasampadamadhikṛtya tatkiṃ manyase subhūte ityadyāha | atra	lakzaNa-kAya-sampadam-aDikRtya tat-kim manyase suBUte iti-adya-Aha | atra
   pūrvavat sarvamabhihiatam |	pUrvavat sarvam-aBihiatam |
   6. vākasampad :	6. vAka-sampad :
   yadi rūpakāyapariniṣpattyāa na tathāgato draṣṭavya iti cet, tadā deśanāpi	yadi rUpa-kAya-parinizpattyAa na taTAgataH drazwavyaH iti cet, tadA deSanA-api
   bhagavatā naiva bhavet, rūpakāyena saṃgṛhītvāt tasyāḥ? ato (Vajraṭ_198)	BagavatA na-eva Bavet, rUpa-kAyena saMgRhItvAt tasyAH? atas (Vajraj-_198)
   bodhisattavaistathāgatasya vāksampadaṃ niṣpādayituṃ kathaṃ yatnaḥ	boDisattavEH-taTAgatasya vAc-sampadam nizpAdayitum kaTam yatnaH
   karttavya iti vicintayadbhyo vāksampadamadhikṛtya tatkiṃ manyase subhūte	karttavyaH iti vicintayadByaH vAc-sampadam-aDikRtya tat-kim manyase suBUte
   ityādyāha | paramārthato vācya-vācaka-vacanānāmabhāvāt na tathāgatasyaivaṃ	iti-Adi-Aha | paramArTataH vAcya-vAcaka--vacanAnAm-aBAvAt na taTAgatasya-evam
   bhavati mayā dharmo deśita iti | anyathā viparyayānna bhavet sarvajñaḥ |	Bavati mayA DarmaH deSitaH iti | anyaTA viparyayAt-na Bavet sarvajQaH |
   yathā vācakāḥ ātmādayaḥ, vācyā bāhyādhyātmikā bhāvāḥ, vacanāni	yaTA vAcakAH Atma-AdayaH, vAcyAH bAhya-ADyAtmikAH BAvAH, vacanAni
   karaṇarūpāṇi śabdasvabhāvābhāvātmakāni vā tathā vistareṇa prāgevoktāni |	karaNa-rUpANi Sabda-svaBAva-aBAva-AtmakAni vA taTA vistareNa prAk-eva-uktAni |
   sarve bhāvāḥ śūnyatvavyāptāḥ prāgeva pratipāditāḥ | saṃvṛtau	sarve BAvAH SUnya-tva-vyAptAH prAk-eva pratipAditAH | saMvRtO
   vācya-vācaka-vacanānām avicāraramaṇīyatvena vyavahāramātra eva (te)	vAcya-vAcaka--vacanAnAm avicAra-ramaNIya-tvena vyavahAra-mAtraH eva (te)
   bhavanti, na tu paramārthe |	Bavanti, na tu parama-arTe |
   yadi vastutattvasyaivamabhidhāne 'pi vyāmohena kicit paramārthatastrayāṇāṃ	yadi vastu-tattvasya-evam-aBiDAne api vyAmohena kicid paramArTataH-trayANAm
   (teṣāṃ) parāmārthasattvaṃ kalpayeyastadā 'kiṃ nu syāt'; iti vicintya yaḥ	(tezAn) parAma-arTa-sattvam kalpayeyaH-tadA akim nu syAt-a; iti vicintya yaH
   subhūte ityādyāha | abhyācakṣīta ityabhyālapet | kathaṃ tadabhūtamālapituṃ	suBUte iti-Adi-Aha | aByAcakzIta iti-aByAlapet | kaTam tat-aBUta-m-Ala-pitum
   śakyata iti vicāraṇāyāmāha asatodgṛhītena iti | viparītābhiniveśato	Sakyate iti vicAraNAyAm-Aha asatA-udgRhItena iti | viparIta-aBiniveSa-to
   vitathagrahaṇāt tadabhūtamityarthaḥ | anena tathāgatasya vāksampadi	vitaTa-grahaNAt tat-aBUtam-iti-arTaH | anena taTAgatasya vAc-sampadi
   pravṛttena bodhisattvena pratiśrutkādivajjñātvā pravartitavyamiti,	pravRttena boDisattvena pratiSrutka-Adi-vat-jQAtvA pravartitavyam-iti,
   bodhisattvena kathaṃ sthātavyamiti deśitam |	boDisattvena kaTam sTAtavyam-iti deSitam |
   yadi vacanāditrayamasat (tadā) pudgaladharmanairātmyadeśakena bhagavatā	yadi vacana-Adi-trayam-asat (tadA) pudgala-Darma-nErAtmya-deSakena BagavatA
   nānāpadavākyātmikeyaṃ dharmadeśanā kathaṃ prasidhyati? tasyāṃ satyāṃ	nAnA-pada-vAkya-AtmikA-iyam Darma-deSanA kaTam prasiDyati? tasyAm satyAm
   tadabhidheyo vācyo 'pi syādeva, yaśca taddeśako vācakaḥ, so 'pi bhavedeva	tad-aBiDeyaH vAcyaH api syAt-eva, yaH-ca tad-deSakaH vAcakaH, saH api Bavet-eva
   | tadbalena trīṇyapi (vācya-vācaka-vacanāni) bhaveyuriti cintāyāṃ tatkasya	| tad-balena trINi-api (vAcya-vAcaka--vacanAni) BaveyuH-iti cintAyAm tat-kasya
   hetoḥ? iti pṛṣṭam | atra dharmadeśanā ityudatarat |	hetoH? iti pRzwam | atra Darma-deSanA iti-udatarat |
   ayamabhiprāyaḥ- paramārthataḥ dharmadeśanāyāṃ satyāṃ (sā)	ayam-aBiprAyaH paramArTataH Darma-deSanAyAm satyAm (sA)
   svalakṣaṇasvabhāvā vā syāt sāmānyalakṣanasvabhāvā vā | tatra na tāvat	sva-lakzaNa-svaBAvA vA syAt sAmAnya-lakzana-svaBAvAH vA | tatra na tAvat-
   prathamaḥ pakṣaḥ, sarvaṃ pāramārthikaṃ svalakṣaṇaṃ tāvat pūrvameva	praTamaH pakzaH, sarvam pAramArTikam sva-lakzaNam tAvat pUrvam-eva
   vistareṇa nirākṛtam | na ca dbitīyo 'pi (Vajraṭ_199) asati svalakṣaṇe	vistareNa nirAkRtam | na ca dbitIyaH api (Vajraj-_199) asati sva-lakzaNe
   ādhārasyābhāvena kasyacidapyasattvāt | sāmānyadravyatvābhyupagame	ADArasya-aBAvena kasyacid-api-asattvAt | sAmAnya-dravya-tva-aByupagame
   svalakṣaṇa eva saṅgṛhītaṃ syāditi tanniṣedhena tasyāpi niṣedha eva |	sva-lakzaNaH eva saFgRhItam syAt-iti tad-nizeDena tasya-api nizeDaH eva |
   anyavyāvṛttyā sāmānyalakṣaṇamadhyāropitasvabhāvamiti parikalpite sati	anya-vyAvRttyA sAmAnya-lakzaNam-aDyAropita-svaBAvam-iti parikalpite sati
   dharmadeśanāyā nairarthakyatvena siddhasādhanam |	Darma-deSanAyAH nErarTakyatvena sidDa-sADanam |
   tasyāḥ (śabdātmikāyā deśanāyāḥ) paramārthataḥ svalakṣaṇasattve 'pi na	tasyAH (Sabda-AtmikAyAH deSanAyAH) paramArTataH sva-lakzaNa-sattve api na
   yujyate tayā dharmadeśanā | sphoṭādiśabdasya nityasvabhāvasya paraiḥ	yujyate tayA Darma-deSanA | sPowa-Adi-Sabdasya nitya-svaBAvasya parEH
   padatvena parikalpitasya kramākramābhyāmarthakriyākāritvaṃ tāvad	padatvena parikalpitasya krama-AkramAByAm-arTa-kriyA-kAri-tvam tAvat-
   virudhyate, sarvasāamarthyāpagatatvāccaitanyādiṣu kutrāpi khalu naiva	viruDyate, sarva-sAam-arTya-apagata-tvAt-cEtanya-Adizu kutra-api Kalu na-eva
   yujyate, akiñcitkaratvena kathaṃ tad bhavet padam? anityasyāpi tāvat	yujyate, akiQcitkara-tvena kaTam tat Bavet padam? anityasya-api tAvat-
   svalakṣaṇasva na yujyate padatvam, saṅketakāle dṛṣṭasya vyavahārakāle	sva-lakzaNasva na yujyate pada-tvam, saFketa-kAle dRzwasya vyavahAra-kAle
   'nanvayāt | na hi yujyate anyasya saṅketo 'nyasya ca vyavahāraḥ,	ananvayAt | na hi yujyate anyasya saFketaH anyasya ca vyavahAraH,
   atiprasaṅgāt | ata eva svalakṣaṇamapyabhidhātuṃ na yujyate, ananvayāt |	atiprasaFgAt | atas eva sva-lakzaNam-api-aBiDAtum na yujyate, ananvayAt |
   sāmānyapadārthe 'bhidheyatvenābhyupagate sati abhidheyasvabhāvatvena tasya	sAmAnya-padArTe aBiDeya-tvena-aByupagate sati aBiDeya-svaBAva-tvena tasya
   svalakṣaṇasvarūpatvānna hi pradeśāntaragamanam |	sva-lakzaNa-svarUpa-tvAt-na hi pradeSa-antara-gamanam |
   ekatvaṃ tu deśakālādibhinnāsvanekavyaktiṣvanugatamapi na yujyate tathā hi-	eka-tvam tu deSa-kAla-Adi-BinnAsu-aneka-vyaktizu-anugatam-api na yujyate taTA hi-
   (atha) ekasyāṃ vyaktau sarvātmanā vyāptaṃ syāt tadā yena ekatvena	(aTa) ekasyAm vyaktO sarva-AtmanA vyAptam syAt tadA yena eka-tvena
   parikalpitaḥ sa svabhāvastena anyatrādhigatetaravyaktibhiḥ sambaddhaḥ	parikalpitaH sa svaBAvaH-tena anyatra-aDigata-itara-vyaktiBiH sambadDaH
   taditarasvabhāvastatra na bhavediti, ekatvahāniprasaṅgāt | (atha)	tad-itara-svaBAvaH-tatra na Bavet-iti, eka-tva-hA-ni-prasaFgAt | (aTa)
   ekadeśena vyāptaṃ syāt tadā sāvayatvāgrahaṇadoṣaḥ | evaṃ yāvatyo	eka-deSena vyAptam syAt tadA sAvayatvA-grahaNa-dozaH | evam yAvatyaH-
   bhinnavyaktayastāsāmekadeśena vyāptivyavasthayā tāvatīnāṃ grahaṇaṃ	Binna-vyaktayaH-ta-AsAm-eka-deSena vyApti-vyavasTayA tAvatInAm grahaNam
   syāttadā ekavyaktigrahaṇaṃ tāvadekadeśagrahaṇena yuktaṃ bhavet,	syAt-tadA eka-vyakti-grahaNam tAvat-eka-deSa-grahaNena yuktam Bavet-,
   bhinnavyaktiṣu deśakālaparimāṇādibhinnāsu tāsvekavyaktigrahaṇaṃ	Binna-vyaktizu deSa-kAla-parimANa-Adi-BinnAsu tAsu-eka-vyakti-grahaNam
   tāvadekadeśagrahaṇād yugapudgrahaṇābhāva eva | tasmād vācya-vācakatvaṃ	tAvat-eka-deSa-grahaNAt yuga-pudgrahaNa-aBAvaH eva | tasmAt vAcya-vAcaka-tvam
   tāvadaśyāropeṇaiva yujyate, na tattvataḥ | ata evoktaṃ bhagavatānyatra-	tAvat-aSya-AropeNa-eva yujyate, na tattvataH | atas eva-uktam BagavatA-anyatra-
   yena yena hi nāmnā vai yo yo dharmo 'bhilapyate |	yena yena hi nAmnA vE yaH yaH DarmaH aBilapyate |
   (Vajraṭ_200)	(Vajraj-_200)
   na sa saṃvidyate tatra dharmāṇāṃ sā hi dharmatā ||	na sa saMvidyate tatra DarmANAm sA hi DarmatA ||
   vacanaṃ mithyā, vācya-vācyakānāṃ yā deśanā taddvārā āgatā, sāpi spaṣṭaiva	vacanam miTyA, vAcya-vAcyakAnAm yA deSanA tad-dvArAH AgatA, sA-api spazwA-eva
   | ubhayorabhāvo bhagavatā pṛthakatvena noktaḥ | anena bodhisattvena kathaṃ	| uBayoH-aBAvaH BagavatA pRTaka-tvena na-uktaH | anena boDisattvena kaTam
   pratipattavyam, kathañca cittaṃ pragrahītavyamityetad darśitam | etena	pratipattavyam, kaTaQca cittam pragrahItavyam-iti-etat darSitam | etena
   sarveṇa gāmbhīryaṃ darśitam |	sarveNa gAmBIryam darSitam |
   7. saptadhā cittasampadaḥ-	7. saptaDA citta-sampadaH-
   1. smṛtyupasthānam	1. smRti-upasTAnam
   2. abhisambodhiḥ	2. aBisamboDiH
   3. mahādharmārthaprajñaptiḥ	3. mahA-Darma-arTa-prajQaptiH
   4. mahāvavādārthaprajñaptiḥ	4. mahAvavAda-arTa-prajQaptiH
   5. dharmakāyaparigrahaṇam	5. Darma-kAya-parigrahaNam
   6. saṃsāre nirvāṇe cāpratiṣṭhānam	6. saMsAre nirvANe ca-apratizWAnam
   7. prasthiti-pāriśuddhiḥ |	7. prasTiti-pAriSudDiH |
   1. smṛtyupasthānam :	1. smRti-upasTAnam :
   tatredānīmevaṃ gambhīradharmo 'yamanāgate kāle ghanībhūte kudṛṣṭijāle	tatra-idAnIm-evam gamBIra-DarmaH ayam-anAgate kAle GanIBUte kudRzwi-jAle
   kathaṃ saphalo bhaviṣyatīti nābhiśraddhadhanti parivārāḥ | ya evaṃ	kaTam saPalaH Bavizyati-iti na-aBiSradDaDanti parivArAH | yaH evam
   cintayanti teṣāmaviśrambhaṃ nivārayitum āryasubhūtiścittasampatsu	cintayanti tezAm-aviSramBam nivArayitum Arya-suBUtiH-citta-sampatsu
   smṛtyupasthānamadhikṛtya bhagavan ityādyāha | bhagavatāpyanāgate 'dhvani	smRti-upasTAnam-aDikRtya Bagavan iti-Adi-Aha | BagavatA-api-anAgate aDvani
   śīlavanto guṇavantaśca bhaviṣyantīti kiṃ noktapūrvam | samprati teṣāṃ	SIlavantaH guNavantaH-ca Bavizyanti-iti kim na-ukta-pUrvam | samprati tezAm
   sattve 'sattve vā ekāntenānabhiniveśaṃ deśayitum asti iti noktam,	sattve asattve vE ekAntena-anaBiniveSam deSayitum asti iti na-uktam,
   antadvayaniṣedhārthaṃ te subhūte ityādyāha |	anta-dvaya-nizeDa-arTam te suBUte iti-Adi-Aha |
   (Vajraṭ_201)	(Vajraj-_201)
   paramārthataḥ skandhapudgalādīnāṃ satsvabhāvānupalambhāt na sattvāḥ	paramArTataH skanDa-pudgala-AdInAm sat-svaBAva-anupalamBAt na sattvAH
   ityanenādhyāropāntaniṣedhaḥ, avicāraikaramaṇīyatvena sadaiva	iti-anena-aDyAra-upAnta-nizeDaH, avicAra-eka-ramaNIya-tvena sadA-eva
   vidyamānatvena nāsattvāḥ ityanenāpavādāntaniṣedhaḥ | bhaviṣyanti ityanayā	vidyamAna-tvena na-asattvAH iti-anena-apavAda-anta-nizeDaH | Bavizyanti iti-anayA
   deśanayā bhagavataḥ kīdṛgaviparītasmṛtyupasthānamiti sattvebhyo darśayitvā	deSanayA BagavataH kIdRS-aviparIta-smRti-upasTAnam-iti sattveByaH darSayitvA
   bhagavatastasyāṃ smṛtyupasthānasampadi bodhisattvena	BagavataH-tasyAm smRti-upasTAna-sampadi boDisattvena
   chanda-praṇidhānābhyāṃ sthātavyamiti nirdiṣṭam | na te sattvāḥ nāsattvāḥ?	Canda--praNiDAnAByAm sTAtavyam-iti nirdizwam | na te sattvAH na-asattvAH?
   ityanena yogasamāpattinirdiṣṭā |	iti-anena yoga-samApatti-nirdizwA |
