   śrīrāmajayam	SrI-rAma-jayam
   na cārthāśrayatvena hrasvasya bahiraṅgatayāsiddhatvam,	na ca-arTa-ASraya-tvena hrasvasya bahis-aFgatayA-asidDatvam,
   arthakṛtabahiraṅgatvānāśrayaṇasyoktatvāt/	arTa-kRta-bahis-aFga-tvAn-ASrayaNasya-ukta-tvAt/
   kiñca"ṣatvatukorasiddhaḥ"ityetadbalāt kṛtituggrahaṇācca tugvidhau	kiQca"zatvatu-kora-sidDaH"-iti-etat-balAt kRti-tuggrahaNAt-ca tugviDO
   bahiraṅgaparibhāṣāyā apravṛtteḥ/	bahis-aFga-pariBAzAyAH apravRtteH/
   sarvavidhasannipātagrahaṇādeva 'varṇāśrayaḥ pratyayo	sarva-viDa-sannipAta-grahaNAt-eva avarNa-ASrayaH pratyayo
   varṇavicālasyānimittaṃ syāt' ityetatparibhāṣā	varNa-vicAlasya-animittam syAt-a iti-etat-pariBAzA
   doṣanirūpaṇāvasare vārtikakṛtoktam, -- 'na hi pratyayaḥ pūrva para	doza-nirUpaNa-avasare vArtika-kRta-uktam, -- ana hi pratyayaH pUrva para
   sannipāta nimittakaḥ, sa eva ca sannipāta śabdena gṛhyata iti matvā na	sannipAta nimittakaH, saH eva ca sannipAta Sabdena gRhyate iti matvA na
   pratyayaḥ sannipātanimittakaḥ iti śaṅkāyāṃ tadabhyupetyaivāṅgasaṃjñā	pratyayaH sannipAta-nimittakaH iti SaFkAyAm tad-aByupetya-eva-aFga-saMjQA
   tarhyanimittaṃ syādityekadeśinoktam' iti na tadbhāṣyavirodhaḥ/	tarhi-animittam syAt-iti-eka-deSinA-uktam-a iti na tad-BAzya-viroDaH/
   kiñcaivaṃ 'śaivaḥ, gārgāyaḥ, vainateyaḥ' ityādāvapyaṅgasaṃjñāyā	kiQca-evam aSEvaH, gArgAyaH, vEnateyaH-a iti-AdO=-api-aFga-saMjQAyA
   lopanimittatvānāpatyā varṇāśraya ityasya vaiyarthayam/	lopa-nimitta-tvAnApatyA varNa-ASrayaH iti-asya vEyarTayam/
   'grāmaṇi kulam' 'grāmaṇiputraḥ' ityādāvuttarapadanimittake hrasvatve	agrAmaNi kulam-a agrAmaNi-putraH-a iti-AdO=-uttara-pada-nimittake hrasva-tve
   yathākathañcid bahiraṅgaparibhāṣayāpi vāraṇaṃ	yaTA-kaTaQcit bahis-aFga-pariBAzayA-api vAraNam
   sambhavatīti"kṛnmejantaḥ"ityatra"hrasvasya piti"iti sūtrecaikadeśinā tayā	samBavati-iti"kRt-mejantaH"iti-atra"hrasvasya piti"-iti sUtreca-eka-deSinA tayA
   paribhāṣāyā tug	pariBAzAyA tug
   vārito bhāṣye/	vAritaH BAzye/
   ata eva paribhāṣāphalatvenedamuktam"kṛnmejantaḥ"iti sūtre vārtikakṛteti	atas eva pariBAzA-Pala-tvena-idam-uktam-"kRt-mejantaH"iti sUtre vArtika-kRtA-iti
   kecit/	kecid-/
   sannipātalakṣaṇavidhitvamasyā liṅgam/ svapravṛtteḥ prāk svanimittabhūto	sannipAta-lakzaNa-viDi-tvam-asyAH liFgam/ sva-pravRtteH prAk sva-nimitta-BUtaH-
   yaḥ sannipātaḥ, tadvighātasya svātiriktaśāstrasya svayamanimittamiti	yaH sannipAtaH, tad-viGAtasya sva-atirikta-SAstrasya svayam-animittam-iti
   phalati/	Palati/
   nanvevam 'rāmāya' ityādau"supi ca"iti dīrghānāpattiḥ, adantāṅgasannipātena	nanu-evam arAmAya-a iti-AdO"supi ca"iti dIrGAnApattiH, adanta-aFga-sannipAtena
   jātasya yādeśasya tadvighātakatvāt/	jAtasya yAdeSasya tad-viGAtaka-tvAt/
   na ca yañāditvasāpekṣadīrghasya bahiraṅgatayāsiddhatvānnātra	na ca yaQA-Adi-tva-sApekza-dIrGasya bahis-aFga-tayA-sidDatvAt-na-atra
   sannipātavighāta iti vācyam, āropitāsiddhatve 'pi vastutastadvighātasya	sannipAta-viGAtaH iti vAcyam, Aropita-asidDa-tve api vastutas-tad-viGAtasya
   jāyamānatvenaitatpravṛtteḥ/	jAyamAna-tvena-etat-pravRtteH/
   kiñcāntaraṅge kartavye bahiraṅgasyāsiddhatve 'pi tatra kṛte tasyāsiddhatve	kiQca-antaraFge kartavye bahis-aFgasya-asidDa-tve api tatra kRte tasya-asidDa-tve
   mānābhāḥ/	mAna-ABAH/
   kiñcātideśikasannipātavighātābhāvamādāyaitadapravṛttau 'gauri' ityādau	kiQca-atideSika-sannipAta-viGAta-aBAvam-AdAya-etat-apravRttO agOri-a iti-AdO
   sambuddhilope 'pi sthānivatvena hrasvanimittasannipātavighātābhāvāt,	sambudDi-lope api sTAniva-tvena hrasva-nimitta-sannipAta-viGAta-aBAvAt,
   tatraitasyātivyāptipara"kṛnmejantaḥ"iti sūtrasthabhāṣyāsaṅgatiḥ/	tatra-etasya-ati-vyApti-para"kRt-mejantaH"iti sUtra-sTa-BAzyA-saFgatiH/
   sannipātasyāśāstrīyatvānnātra sthānivatvamiti cet, tarhyatrāsiddhatvamapi	sannipAtasya-ASAstrIya-tvAt-na-atra sTAniva-tvam-iti cet, tarhi-atra-asidDatvam-api
   kathamiti vibhāvya, 'aśāstrīye 'siddhatvāpravṛtteḥ'"īdūdet"iti sūtre	kaTam-iti viBAvya, aaSAstrIye asidDatva-apravRtteH-a"Idu-udet"-iti sUtre
   kaiyaṭena spaṣṭamuktatvāt/	kEyawena spazwa-mukta-tvAt/
   evañca pūrvatrāsiddhīye 'pi kārya etatparibhāṣāpravṛttirbhavatyeveti cet,	evaQca pUrvatra-asidDIye api kAryaH etad-pariBAzA-pravRttiH-Bavati-eva-iti ced-,
   na; 'kaṣṭāya' iti nirdeśenaitasyā anityatvāt/	na; akazwAya-a iti nirdeSena-etasyAH anitya-tva-at/
   yayoḥ sannipātasya vighātakaṃ śāstram, tayoḥ	yayoH sannipAtasya viGAtakam SAstram, tayoH
   sannipātanimittakavidhāvupādānamapekṣitamiti tu nāgrahaḥ/ ata eva 'dākṣiḥ'	sannipAta-nimittaka-viDO=-upAdAnam-apekzitam-iti tu na-agrahaH/ atas eva adAkziH-a
   ityatrākārāntaprakṛtīñsannipātanimittāṅgasaṃjñānayā paribhāṣayāllopasya	iti-atra-AkAra-anta-prakRtIn-sannipAta-nimitta-aFga-saMjQA-anayA pariBAzayAt-lopasya
   nimittaṃ na syādityāśaṅkyānityatvena samāhitam,"kṛnmejantaḥ"iti sūtre	nimittam na syAt-iti-ASaFkya-anitya-tvena samAhitam-,"kRt-mejantaH"iti sUtre
   bhāṣye; 'na hyaṅgasaṃjñāyāmadantasyāṅgasaṃjñā' ityuktamasti/	BAzye; ana hi-aFga-saMjQA-yAmadantasya-aFga-saMjQA-a iti-uktam-asti/
   na ca 'kumbhakārebhyaḥ, ādhaye' ityādāvavyayasaṃjñāyā anayā paribhāṣayā	na ca akumBakAreByaH, ADaye-a iti-AdO=-avyaya-saMjQAyAH anayA pariBAzayA
   vāraṇaparabhāṣyāsaṅga	vAraNa-para-BAzya-AsaFga
   tiḥ/ anayā paribhāṣayā lug mābhūt, avyayatvaṃ tu syādeva/ lukā hi	tiH/ anayA pariBAzayA luj mA-BUt, avyaya-tvam tu syAt-eva/ lukA hi
   tadīyasannipātasya vighātaḥ, nāvyayasaṃjñayā/ saṃjñāphalaṃ tvakac syāditi	tadIyasannipAtasya viGAtaH, na-avyaya-saMjQayA/ saMjQA-Palam tvakat syAt-iti
   vācyam, etadudāharaṇaparabhāṣyaprāmāṇyena sākṣātparamparayā vā	vAcyam, etad-udAharaNa-para-BAzya-prAmANyena sAkzAt-paramparayA vA
   svanimittasannipātavighātakasya svayamanimityamityarthenādoṣāt/	sva-nimitta-sannipAta-viGAtakasya svayam-animityam-iti-arTena-AdozAt/
   etenātrākac syādityapāstam/	etena-atrAka syAt-iti-apAstam/
   na ca kāryakālapakṣe lugekavākyatāpannasaṃjñābādhe	na ca kArya-kAla-pakze luc-eka-vAkyatA-Apanna-saMjQA-bADe
   'pyakajekavākyatāpannāsyāditi vācyam, antaraṅgāyāṃ	api-aka-jeka-vAkya-tApannAsyAt-iti vAcyam, antaraFgAyAm
   tadekavākyatāpannasaṃjñāyāṃ bahiraṅgaguṇāderasiddhatvāt,	tad-eka-vAkyatA-Apanna-saMjQAyAm bahis-aFga-guNa-Adera-sidDa-tvAt,
   lugekavākyatāpannā tu na guṇādito 'ntaraṅgā, ubhayorapi śabdataḥ	lugeka-vAkyatA-ApannA tu na guNa-AditaH antaraFgA, uBayoH-api SabdataH
   subāśrayatvāt/	subASraya-tvAt/
   "nayāsayoḥ"iti nirdeśāścaiṣānityā/ tena nātiprasaṅgaḥ/ spaṣṭā	"nayAsayoH"iti nirdeSAH-ca-ezA-anityA/ tena na-ati-prasaFgaH/ spazwA
   ceyaṃ"kṛnmejantaḥ"iti sūtre bhāṣye/ asyā anityatve phalāni bhāṣye	ca-iyan"kRt-mejantaH"iti sUtre BAzye/ asyAH anitya-tve PalAni BAzye
   parigaṇitāni - varṇāśrayaḥ, pratyayaḥ varṇavicālasyānimittam,	parigaNitAni  varNa-ASrayaH, pratyayaH varNa-vicAlasya-animittam,
   'dākṣiḥ'/ ātvaṃ pugvidheḥ - krāpayati/ pughrasvasya - adītapat/	adAkziH-a/ Atvam pugviDeH  krApayati/ puGra-svasya  adIta-pat/
   tyadādyakāraṣṭābvidheḥ - yā seti/ iḍvidhirākāralopasya -	tyad-AdyakArazwAbviDeH  yA seti/ ixviDiH-AkAra-lopasya -
   papivān/"hrasvanuḍbhyāṃ matup" "antodāttāduttarapadāt"iti	papiva-an/"-hrasvanuxByAm matup" "anta-udAt-tAt-uttara-padAt"iti
   matubvibhaktyudāttatvaṃ pūrvanighātasya - agnimān, paramavācā/	matu-bviBakti-udAtta-tvam pUrva-niGAtasya  agnimAn, parama-vAcA/
   nadīhrasvatvaṃ sambuddhilopasya - 'nadi, kumāri' ityādi/ yādeśo	nadI-hrasva-tvam sambudDi-lopasya  anadi, kumAri-a ityAdi/ yAdeSaH-
   dīrghatvasya -	dIrGa-tvasya -
   kaṣṭāya/ ito 'nyatra pravṛttireva, 'doṣāḥ khalvapi sākalyena parigaṇtāḥ'	kazwa-aya/ itas anyatra pravRttiH-eva, adozAH Kalu-api sAkalyena parigaNtAH-a
   iti bhāṣyokteranyatravistaraḥ//	iti BAzya-ukteH-anyatra-vistaraH//
   nanu 'pañcendrāṇyo devatā asya pañcendraḥ' ityādau"dvigorluk"ityaṇo	nanu apaQca-indrANyaH devatAH asya paQca-indraHa iti-AdO"dvigoH-luk"iti-aNaH-
   luki"lukstaddhita" iti strīpratyayalukyānukaḥ śravaṇāpattiḥ, ata āha -	luki"lukH-tat-hita" iti strI-pratyaya-lukya-anukaH SravaNa-ApattiH, atas Aha -
   sanniyogaśiṣṭānāmanyatarāpāya ubhayorapyapāyaḥ // Paribh_86 //	sanniyoga-SizwAnAm-anyatara-apAyaH uBayoH-api-apAyaH // PariB_86 //
   atra ca"bilvakādibhyaśchasya luk"iti sūtrasthaṃ chagrahaṇaṃ jñāpakam/	atra ca"bilvaka-AdiByaH-Casya luk"iti sUtra-sTam CagrahaNam jQApakam/
   taddhi chamātrasya lugbodhana dvārā kuko 'nivṛttiryathā syādityartham/	tat-hi CamAtrasya lugboDana dvArA kukaH anivRttiH-yaTA syAt-iti-arTam/
   kṛta kugāgamānaḍādyantargatā bilvādaya eva tatra nirdiṣṭā	kRta kuga-Agama-Anaxa-Adi-antargatA bilva-AdayaH eva tatra nirdizwA
   bilvakādiśabdena/	bilvaka-Adi-Sabdena/
   nacaivamapi chagrahaṇaṃ vyartham, kṛta kugāgamānuvādasāmarthyādeva	na-ca-evam-api CagrahaNam vyarTam, kRta kuga-Agama-anuvAda-sAmarTyAt-eva
   tadanivṛttisiddheḥ, anyathā"bilvādibhyaḥ"ityeva vadet/	tat-anivRtti-sidDeH, anyaTA-a"-bilva-AdiByaH"iti-eva vadet-/
   lakṣaṇapratipadoktaparibhāṣayā bilvādipuraskāreṇa vihitapratyayasyaiva	lakzaNa-pratipadA-ukta-pariBAzayA bilva-Adi-puraskAreNa vihita-pratyayasya-eva
   lugvidhānānnātiprasaṅga iti vācyam, tato 'pi	lugviDAnAt-na-atiprasaFgaH iti vAcyam, tatas api
   pratipadoktatvena"bilvādibhyoṇ"iti vikārādyarthasya lugāpattivāraṇārthaṃ	pratipadA-ukta-tvena"-bilva-AdiByoN"-iti vikAra-Adi-arTasya luga-Apatti-vAraNa-arTam
   kuganuvādacāritārthyāt/ samuccayārthakacaśabdayoge tu	kuganuvAda-cArita-arTyAt/ samuccaya-arTa-kaca-Sabda-yoge tu
   vidheyayorekakālikatvaikadeśatvaniyamānnyāyasiddhapīyam/	viDeyayoH-eka-kAlika-tva-eka-deSa-tva-niyamAn-nyAya-sidDapIyam/
   yattu"ṇāviṣṭavat"ityanena puṃvatvavidhānametadanityatvajñāpanārtham/	yat-tu"NO=-izwavat"iti-anena puMvatva-viDAnam-etat-anitya-tva-jQApana-arTam/
   anyathā 'etayati' ityādau	anyaTA aetayati-a ityAdO
   ṭilopenaiva ṅīpi nivṛtte 'sanniyogaśiṣṭa' paribhāṣayā tasyāpi nivṛtyā	wilopena-eva FIpi nivRtte asat-niyoga-Sizwa-a pariBAzayA tasya-api nivRtyA
   'etayati' ityādisiddhau puṃvatvavaiyarthyaṃ spaṣṭameveti"ṭeḥ"iti sūtre	aetayati-a ityAdi-sidDO puMvatva-vEyarTyam spazwam-eva-iti"weH"-iti sUtre
   kaiyaṭaḥ, tat, na; 'iḍabiḍamācaṣṭa aiḍabiḍayati' ityādau	kEyawaH, tat, na; aixa-bixam-Acazwa Exabixayati-a iti-AdO
   puṃvatvasyāvaśyakatvāt/ 'aineyaḥ śyaineyaḥ' ityādi tu sthānivatvena	puMvatvasya-AvaSyaka-tvAt/ aEneyaH SyEneyaH-a ityAdi tu sTAniva-tvena
   siddhamityanyatra vistaraḥ//	sidDam-iti-anyatra vistaraH//
   nanu 'curā śīlamasyāḥ sā caurī'ityādau śīlam"chatrādibhyo ṇaḥ"iti ṇe ṅīp	nanu acurA SIlam-asyAH sA cOrI-aityAdO SIlam"Catra-AdiByaH NaH"iti Ne FIp
   na prāpnotītyata	na prApnoti-iti-ata
   āha --	Aha --
   tācchīlike ṇe 'ṇkṛtāni bhavanti // Paribh_87 //	tAt-SIlike Ne aNkRtAni Bavanti // PariB_87 //
   "an"ityaṇi vihitaprakṛtibhāvabādhanārtham"kārmastācchīlye"iti	"an"iti-aNi vihita-prakRti-BAva-bADana-arTam-"kArmaH-tAt-SIlye"iti
   nipātanamasyā jñāpakam/	nipAtanam-asyAH jQApakam/
   tācchīlikaṇāntāt"aṇodvyacaḥ"iti phiñsiddhirapyasyāḥ prayojanamiti navyāḥ/	tAt-SIli-kaNA-antAt"aNa-udvyacaH"-iti Pin-sidDiH-api-asyAH prayojanam-iti navyAH/
   tācchīlika ityukteḥ"tadasyāṃ	tAt-SIlikaH iti-ukteH"tad-asyAm
   praharaṇam"iti ṇe 'dāṇḍā' ityeva/"kārmaḥ"iti sūtre bhāṣye spaṣṭā//	praharaNam-"iti Ne adANxAa iti-eva/"kArmaH"iti sUtre BAzye spazwA//
   nanu"kasaparimṛḍbhyām"ityādau"mṛjervṛddhiḥ"durivārā, ityata āha --	nanu"kasa-parimRxByAm-"itya-AdO"mRjeH-vRdDiH"duH-ivArA, iti-atas Aha --
   dhātoḥ kāryamucyamānaṃ tatpratyaye bhavati // Paribh_88 //	DAtoH kAryam-ucyamAnam tad-pratyaye Bavati // PariB_88 //
   bhrauṇahatye tatvanipātanamasyā jñāpakam/	BrONahatye tatva-nipAtanam-asyAH jQApakam/
   'dhātoḥ svarūpagrahaṇe tatpratyaye kāryavijñānam' iti pāṭhastu	aDAtoH svarUpa-grahaNe tad-pratyaye kArya-vijQAnam-a iti pAWaH-tu
   'prasṛḍbhiḥ' ityādau"anudāttasya cardupadhasya"ityāmāpādanena bhāṣye	aprasRxBiHa iti-AdO"anudAt-tasya cardupaDasya-"ityAm-ApAdanena BAzye
   dūṣitaḥ/	dUzitaH/
   yatkāryaṃ pratyayanimittaṃ tatreyaṃ vyavasthāpikā/ tena	yat-kAryam pratyaya-nimittam tatra-iyam vyavasTApikA/ tena
   padāntatvanibandhanam"naśervā"iti kutvam 'praṇagbhyām' ityādau bhavatyeva/	pada-anta-tva-nibanDana-m"naSeH-vA"-iti ku-tvam apraNagByAm-a ityAdO Bavati-eva/
   iyaṅādividhau tu naiṣā,"na bhūsudhiyoḥ"iti niṣedhenānityatvāt/	iyaFA-Adi-viDO tu nEzA,"na BU-suDiyoH"iti nizeDena-anitya-tva-at/
   "mṛjervṛddhiḥ"ityatra bhāṣye spaṣṭā//	"mRjeH-vRdDiH"iti-atra BAzye spazwA//
   nanu 'sarvake, iccakaiḥ' ityādau sarvanāvyayasaṃjñe na syātām, ata āha --	nanu asarvake, iccakEH-a ityAdO sarvanA-avyaya-saMjQe na syAtAm, atas Aha --
   tanmadhyapatitastadgrahaṇena gṛhyate // Paribh_89 //	tad-maDya-patitaH-tad-grahaNena gRhyate // PariB_89 //
   "nedamadasorakoḥ"iti sūtre 'akoḥ' iti niṣedho 'syā jñāpakaḥ/	"neda-madasorakoH"iti sUtre aakoH-a iti nizeDaH asyAH jQApakaH/
   'tadekadeśabhūtaṃ tadgrahaṇena gṛhyate' iti"yena vidhiḥ"iti sūtre bhāṣye	atat-eka-deSa-BUtam tad-grahaNena gRhyate-a iti"yena viDiH"iti sUtre BAzye
   pāṭhaḥ//	pAWaH//
   nanu"gātisthāghupābhūbhyaḥ"iti sico luk 'apāsīta' ityādau pāterapi syāt,	nanu"gAti-sTAGu-pABUByaH"iti sicaH luc aapAsIta-a ityAdO pAteH-api syAt-,
   ata āha --	atas Aha --
   lugvikaraṇālugvikaraṇayoralugvikaraṇasya // Paribh_90 //	lugvikaraNa-alugvikaraNayoH-alugvikaraNasya // PariB_90 //
   asyāñca jñāpakaḥ"svarati sūti"iti sūtre sūṅiti vaktavye sūtisūyatyoḥ	asya-aQca jQApakaH"svarati sUti"-iti sUtre sUFiti vaktavye sUtisUyatyoH
   pṛthaṅnirdeśa iti	pRTak-nirdeSaH iti
   kaiyaṭaḥ/ tanna, sāhacaryādalugvikaraṇasyaiva grahaṇe prāpte	kEyawaH/ tat-na, sAhacaryAt-alugvikaraNasya-eva grahaNe prApte
   pṛthaṅnirdeśasya tajjñāpakatvāsambhavāt/	pRTak-nirdeSasya tad-jQApakatva-asamBavAt/
   dhvanitā ceyaṃ paribhāṣā"yasya vibhāṣā"ityatra bhāṣye/ tatra hi 'viditaḥ'	DvanitA ca-iyam pariBAzA"yasya viBAzA"-iti-atra BAzye/ tatra hi aviditaH-a
   iti prayoge niṣedhamāśaṅkya 'yadupādervibhāṣā, tadupāderniṣedhaḥ"vibhāṣā	iti prayoge nizeDam-ASaFkya ayat-upAdeH-viBAzA, tad-upAdeH-nizeDaH"viBAzA
   gamahanavidaviśām"iti sūtre 'śavikaraṇasya gpahaṇaṃ lugvikaraṇaścāyam'	gamahana-vid-aviSAm"-iti sUtre aSavi-karaNasya gpahaNam lugvikaraNaH-ca-ayam-a
   ityuktam/ tatra co hetau, yato 'yaṃlugvikaraṇaḥ, ato	iti-uktam/ tatra caH hetO, yatas ayaMluj-vikaraNaH, atas-
   viśisāhacaryācchavikaraṇasya grahaṇam, na tu hanisāhacaryādasyāpi,	viSisAha-caryA-acCavi-karaNasya grahaNam, na tu hani-sAha-caryAdasya-api,
   etatparibhāṣāvirodhāditi tadāśayaḥ/	etad-pariBAzA-viroDAt-iti tad-ASayaH/
   ata eva paribhāṣāyāṃ lugvikaraṇasyaiveti noktam/ kaṇṭhatastu bhāṣye eṣā	atas eva pariBAzAyAm lugvikaraNasya-eva-iti na-uktam/ kaNWataH-tu BAzye ezA
   kvāpi na paṭhitā/ 'gātisthā' iti sūtre 'pibatergrahaṇam kartavyam' iti	kvApi na paWitA/ agAti-sTA-a iti sUtre apibateH-grahaNam kartavyam-a iti
   vārtikakṛtā 'sarvatraiva pāgrahaṇe 'lugvikaraṇasya gpahaṇam' iti	vArtika-kRtA asarvatra-eva pAgrahaNe alugvikaraNasya gpahaNam-a iti
   bhāṣyakṛtā coktam/ "svarati sūti"iti sūtre kaiyaṭena ca spaṣṭamuktā//	BAzya-kRtA ca-uktam/ "svarati sUti"-iti sUtre kEyawena ca spazwa-muktA//
   nanu 'prajighāyayiṣati' ityādau"heracaṅi"iti vidhīyamānaṃ kutvaṃ na syāt	nanu aprajiGAyayizati-a iti-AdO"heracaFi"iti viDIyamAnam ku-tvam na syAt-
   ata āha --	atas Aha --
   prakṛtigrahaṇe ṇyadhikasyāpi grahaṇam // Paribh_91 //	prakRti-grahaNe Ni-aDikasya-api grahaNam // PariB_91 //
   acaṅīti pratiṣedha evāsyā jñāpakaḥ/ iyaṃ ca kutva viṣayaiva/"heracaṅi"iti	acaFI-iti pratizeDaH eva-asyAH jQApakaH/ iyam ca kutva vizaya-eva/"hera-caFi"iti
   sūtre bhāṣye	sUtre BAzye
   spaṣṭeyam//	spazwA-iyam//
   nanu 'yuṣmabhyam' ityādau 'bhyasaḥ' ityatra bhyamiti cchede bhyaso bhyami	nanu ayuzmaByam-a ityAdO aByasaHa iti-atra Byam-iti cCede ByasaH Byami
   kṛte 'ntyalope etvaṃ syāt, ata āha --	kRte antyalope etvam syAt, atas Aha --
   aṅga vṛtte punarvṛttāvavidhiḥ // Paribh_92 //	aFga vRtte punar-vRttO=-aviDiH // PariB_92 //
   aṅge 'ṅgādhikāre vṛttamuniṣpannaṃ yatkāryam, tasmin sati	aFge aFga-aDikAre vRtta-munizpannam yat-kAryam, tasmin sati
   punaranyasyāṅgakāryasya vṛttau pravṛttāvavidhānaṃ bhavatītyarthaḥ/	punar-anyasya-aFga-kAryasya vRttO pravRttO=-aviDAnam Bavati-iti-arTaH/
   eṣā ca"jyādādīyasaḥ"ityādvidhānena jñāpitā/ anyathekāralopena"akṛsārva"iti	ezA ca"jyAt-AdIyasaH-"ityAt-viDAnena jQApitA/ anyaTekAra-lopena"a-kRsArva"iti
   dīrgheṇa ca siddhe tadvaiyarthyaṃ spaṣṭameva/ ata eva"jñājanorjā"	dIrGeNa ca sidDe tad-vEyarTyam spazwam-eva/ atas eva"-jQA-janoH-jA"
   "jyādādīyasaḥ"iti sūtrayorenāṃ jñāpayitvā kiṃ prayojanamiti praśne	"jyAdAdIyasaH"iti sUtrayoH-enAm jQApayitvA kim prayojanam-iti praSne
   pibaterguṇapratiṣedha uktaḥ, sa na vaktavyaḥ, ityeva prayojanamuktam, na	pibateH-guNa-pratizeDaH uktaH, sa na vaktavyaH, iti-eva prayojanam-uktam, na
   tu lakṣyasiddhirūpam/ taduktam"bhyaso bhyam"ityatra 'abhyam' iti	tu lakzya-sidDi-rUpam/ tat-uktam-"ByasaH Byam"iti-atra aaByama iti
   cchedaḥ,"śeṣe lopaḥ"cāntyalopa eva"ato guṇe"iti pararūpeṇa siddham	cCedaH,"Seze lopaH"ca-antya-lopaH eva"ataH guNe"-iti para-rUpeNa sidDam
   'yuṣmabhyam' ityanyatra nirūpitam/	ayuzmaByam-a iti-anyatra nirUpitam/
   evañca sūtradvayasthametajjñāpanaparaṃ bhāṣyam"bhyaso bhyam"iti sūtrasthaṃ	evaQca sUtra-dvaya-sTam-etat-jQApana-param BAzyam-"ByasaH Byam"iti sUtra-sTam
   ca bhāṣyamekadeśyuktirityāhuḥ//	ca BAzyam-eka-deSyuktiH-iti-AhuH//
   yattu 'orot' iti vācye"orguṇaḥ"iti guṇagrahaṇāt --	yat-tu aorota iti vAcye"oH-guNaH"iti guNa-grahaNAt --
   saṃjñāpūrvakavidheranityatvam // Paribh_93 //	saMjQA-pUrvaka-viDeH-a-nitya-tvam // PariB_93 //
   idañca vidheyakoṭau saṃjñāpūrvakatva eva/ 'tena svāyambhuvam' ityādi	idaQca viDeya-kowO saMjQA-pUrvaka-tvaH eva/ atena svAyamBuvam-a ityAdi
   siddham//	sidDam//
   tathā niloḍityeva siddhe ānigrahaṇāt --	taTA niloxitya-iva sidDe AnigrahaNAt --
   āgamaśāstramanityam // Paribh_94 //	Agama-SAstram-anityam // PariB_94 //
   tena sāgaraṃ tarttukāmasyetyādi siddham//	tena sAgaram tarttu-kAmasya-ityAdi sidDam//
   tathā tanādipāṭhādeva siddhe"tanādikṛñbhyaḥ"iti sūtre kṛñ grahaṇāt --	taTA tana-Adi-pAWAt-eva sidDe"tana-Adi-kRQByaH"iti sUtre kRn grahaNAt --
   gaṇakāryamanityam // Paribh_95 //	gaNa-kAryam-anityam // PariB_95 //
   tena 'na viśvasedaviśvastam' ityādi siddham//	tena ana viSvaset-aviSvastam-a ityAdi sidDam//
   tathā cakṣiṅo ṅitkaraṇāt --	taTA cakziFaH FitkaraNAt --
   anudāttettvalakṣaṇamātmanepadamanityam // Paribh_96 //	anudAttet-tu-alakzaNam-Atmanepadam-anityam // PariB_96 //
   tena 'sphāyannirmokaḥ' ityādi siddham//	tena asPAyat-nirmokaHa ityAdi sidDam//
   tathā vinārtha nañā samāsena"anudāttam padamanekam"ityeva siddhe	taTA vinA-arTa naQA samAsena-"anudAttam padam-anekam-"ityA-iva sidDe
   varjagrahaṇāt --	varja-grahaNAt --
   nañghaṭitamanityam // Paribh_97 //	naQGawitam-anityam // PariB_97 //
   tena"neyaṅuvaṅ"ityasyānityatvāt 'he subhru' iti siddhamiti, tat, na;	tena"neya-FuvaF"iti-asya-anitya-tvAt ahe suBru-a iti sidDam-iti, tat, na;
   bhāṣye 'darśanāt, bhāṣyānuktajñāpitārthasya sādhutāniyāmakatve mānābhāvāt,	BAzye adarSanAt, BAzya-anukta-jQApita-arTasya sADu-tA-niyAmaka-tve mAna-aBAvAt,
   bhāṣyāvicāritaprayojanānāṃ sautrākṣarāṇāṃ	BAzya-avicArita-prayojanAnAm sOtra-akzarANAm
   pārāyaṇādāvadṛṣṭamātrārthakatvakalpanāyā evaucityāt/	pArAyaNa-AdO=-adRzwa-mAtra-arTaka-tva-kalpanAyAH eva-OcityAt-/
   kiñca jñāpite 'pyānītyasya na sārthakyam,	kiQca jQApite api-AnIti-asya na sArTakyam,
   āḍāgamaśūnyaprayogasyāprasiddheḥ/	AxAgama-SUnya-prayogasya-aprasidDeH/
   āḍgrahaṇaṃ tu loḍgrahaṇavaditi bodhyam/ ata eva"ghorlopo liṭi vā"it sūtre	AxgrahaNam tu loxgrahaNa-vat-iti boDyam/ atas eva"GoH-lopaH liwi vA"it sUtre
   veti pratyākhyātam/ lope 'pyāṭpakṣe āṭaḥ śravaṇaṃ bhaviṣyati -- 'dadhāt'	vA-iti pratyAKyAtam/ lope api-Az-pakze AwaH SravaNam Bavizyati -- adaDAt-a
   iti, aṭi 'dadhat' iti/ āgamaśāstrasyānityatve tvāṭyasati 'dadhāt'	iti, awi adaData iti/ Agama-SAstrasya-anitya-tve tvAwyasati adaDAt-a
   ityasiddhyā vāgrahaṇasyāvaśyakatvena tatpratyākhyānāsaṅgatiḥ spaṣṭaiva/	iti-asidDyA vA-agrahaNasya-AvaSyaka-tvena tad-pratyAKyAna-asaFgatiH spazwA-eva/
   etena yatkaiyaṭena kecidityādināsyaiva vāgrahaṇasya	etena yat-kEyawena kecid-ityAdinA-asya-eva vAgrahaNasya
   tadanityatvatrāpakatoktā, sāpi cintyā,pratyākhyānaparabhāṣyavirodhāt,	tad-anitya-tva-trApaka-toktA, sA-api cintyA,-pratyAKyAna-para-BAzya-viroDAt,
