   // nyāyavārttikatātparyapariśuddhiḥ //	// nyAyavArttika tAtparya pariSudDiH //
   veti, dravyaṃ vā guṇo veti /	veti, dravyam vA guNaH vA iti /
   nāpyevaṃ sandigdhe ayamupalabhyamānaḥ padārthaḥ saptamo vā raso daśamaṃ vā	na api evam sandigDe ayam upalaByamAnaH padArTaH saptamaH vA rasaH daSamam vA
   dravyamiti? saptamo rasaḥ kimasti nāsti veti sandeho bhavatyeveti cet na,	dravyam iti? saptamaH rasaH kim asti na asti vA iti sandehaH Bavati eva iti ced na,
   ananubhūte smaraṇābhāvāt /	ananuBUte smaraNa aBAvAt /
   asmṛtasya ca saṃśayāviṣayatvāt /	asmRtasya ca saMSaya avizaya tvAt /
   naudoleti /	na Odola iti /
   sadṛśadarśane 'pyasmaraṇaṃ tu paṭvabhyāsādarapratyayābhāvāt /	sadRSa darSane api asmaraNam tu pawu aByAsa Adara pratyaya aBAvAt /
   yathā hi tathāvidhapratyayajanyaḥ saṃskāraḥ, tathā tadudbodhyo 'pīti /	yaTA hi taTAviDa pratyaya janyaH saMskAraH, taTA tad udboDyaH api iti /
   dve dvitveneti /	dve dvi tvena iti /
   samuditayorānantarya vivakṣitamityarthaḥ //	samuditayoH Anantarya vivakzitam iti arTaH //
   anekadharmapadaṃ lakṣaṇayā asādhāraṇaṃ	aneka Darma padam lakzaNayA asADAraNam
   dharmamāha   tatraikadeśivyākhyādūṣaṇavyājane mukhye bādhakamāha	DarmamAha    tatra eka deSi vyAKyA dUzaNa vyAjane muKye bADakam Aha
   vārttikakṛt ityata āha   aneketi na sarvatra dravyādau saṃyogajatvamato	vArttika kRt iti atas Aha   aneka iti na sarvatra dravya AdO saMyoga ja tvam atas 
   viśeṣayati   kāryadravya ityādi /	viSeza yati    kArya dravyaH ityAdi /
   ato mukhye	atas muKye
   bādhakaṃ dṛṣṭavā jaghanyāṃ vṛttim ālambya bhāṣyakṛtā sūtraṃ vyākhyātamiti	bADakam dRzwavA jaGanyAm vRttim Alambya BAzya kRtA sUtram vyAKyAtam iti
   darśayanniva vārttikam avatārayati   bhāṣyakṛdvyākhyayeti /	darSayan= iva vArttikam avatArayati    BAzya kRt vyAKyayA iti /
   punaḥ pṛcchati /	punar pRcCati /
   yadi lākṣaṇikamidaṃ padaṃ kaḥ saṃbandha ityāśayavāniti śeṣaḥ /	yadi lAkzaNikam idam padam kaH saMbanDaH iti ASayavAn iti SezaH /
   avadhyavadhimadbhāvaḥ saṃbandhaḥ iti saṃkalayya	avaDya vaDimadBAvaH saMbanDaH iti saMkalayya
   vārttikārthamāha   etaduktaṃ bhavatīti dharmapadasāmānādhikaraṇyena	vArttika arTam Aha   etat uktam Bavati iti Darma pada sAmAnADikaraNyena
   viśeṣaśabdasya bhāvasādhanatvaṃ nivartayatītyāha   etaduktaṃ bhavatīti	viSeza Sabdasya BAva sADana tvam nivartayati iti Aha   etat uktam Bavati iti
   dharmapadasāmānādhikaraṇyena viśeṣaśabdasya bhāvasādhanatvaṃ	Darma pada sAmAnADikaraNyena viSeza Sabdasya BAva sADana tvam
   nivartayatītyāha   adhyāhṛteti /	nivartayati iti Aha   aDyAhRtA iti /
   yadyevamalagnakaṃ tarhi bhāṣyaṃ tasyānekasyetyata āha   saṃbandhasāmānyeti	yadi evam alagnakam tarhi BAzyam tasya anekasya iti atas Aha    saMbanDa sAmAnyA iti
   bījāntaraṃ saṃbandhāntaram /	bIja antaram saMbanDa antaram /
   pūrvaṃ hi vibhāgajatvādinā svāśraya eva śabdastadviparītebhyo vyāvartata	pUrvam hi viBAga ja tu A AdinA sva ASrayaH eva SabdaH tad viparIteByaH vyAvartata
   ityuktam /	iti uktam /
   idānīṃ tu svāśrayācchabdāntara eveti na nivartyata ityabhisandhiḥ /	idAnIm tu sva ASrayAt Sabda antaraH eva iti na nivartyate iti aBisanDiH /
   ato nivartyanivartakabhāvaḥ saṃbandho bhavatīti bījāntaramiti /	atas nivartya nivartaka BAvaH saMbanDaH Bavati iti bIja antaram iti /
   tasyānekasya dharmo nivartakatayā yaḥ sa evāneka ityucyate iti	tasya anekasya DarmaH nivartaka tayA yaH saH eva anekaH iti ucyate iti
   vyākhyātamityarthaḥ //	vyAKyAtam iti arTaH //
   nanvevaṃ sati kiṃ lakṣaṇayā yāvatā mukhya evānekaśabdo 'stu /	nanu evam sati kim lakzaNayA yAvatA muKyaH eva aneka SabdaH astu /
   tathā hi pūrvam anekasya dharmo 'nekadharmaḥ sākṣāt samavāyādivṛttyā cet	taTA hi pUrvam anekasya DarmaH aneka DarmaH sAkzAt samavAya Adi vRttyA ced 
   samānapadenaiva gatārtha iti matvā dūṣitaḥ /	samAna padena eva gata arTaH iti matvA dUzitaH /
   nivartakatayā tvanekasya saṃbhavatyevetyata āha   na tvatreti /	nivartaka tayA tu anekasya saMBavati eva iti atas Aha   na tu atra iti /
   kutaḥ? darśayiṣyatīti /	kutas ? darSayizyati iti /
   yadi saṃbandhivacana evānekaśabdaḥ syānna dharmaśabdena samānādhikaraṇaḥ	yadi saMbanDi vacanaH eva aneka SabdaH syAt na Darma Sabdena samAna aDikaraNaH
   syāt /	syAt /
   tathā ca bahuvrīheralābhe dharmī na labhyetetyarthaḥ //	taTA ca bahu vrIheH alABe DarmI na laByeta iti arTaH //
   evaṃ bhāṣyānugataṃ vārttikamupasaṃhṛtya svatantraṃ vārttikamutthāpya	evam BAzya anugatam vArttikam upasaMhRtya svatantram vArttikam utTApya
   lakṣaṇānurodhena tāvad vyācaṣṭe   prakāreti /	lakzaNa anuroDena tAvat vyAcazwe    prakAra iti /
   ekamekajātīyam /	ekam eka jAtIyam /
   aneka naikajātīyaṃ, bhinnajātīyam ityarthaḥ /	aneka na eka jAtIyan, Binna jAtIyam iti arTaH /
   tena viśeṣaṇaviśeṣyayorviśiṣṭabuddhihetutvenābhedamupacarya viśaiṣyavacano	tena viSezaNa viSezyayoH viSizwa budDi hetu tvena aBedam upacarya viSEzya vacanaH 
   'yam anekaśabdo viśeṣaṇe dharme prayuktaḥ	ayam aneka SabdaH viSezaNe Darme prayuktaH
   ityāśayavānāha   bhedābhedapratyayaheturityartha iti /	iti ASa yavAn Aha   Beda aBeda pratyaya hetuH iti arTaH iti /
   ata evopasaṃhāre vakṣyati   tatpratyayaheturupacāreṇāneka iti /	atas eva upasaMhAre vakzyati     tad pratyaya hetuH upacAreNa anekaH iti /
   taditarebhya iti /	tad itareByaH iti /
   dravyaguṇakarmabhyo na tu śabdetarebhya eva, tadvyatirekasya saṃśayaṃ	dravya guNa karmaByaH na tu Sabda itareByaH eva, tad vyatirekasya saMSayam
   pratyanupayogāt /	pratyanupayogAt /
   imamevārtha vārttikena saṃvadati   tadidamāheti /	imam eva arTa vArttikena saMvadati    tat idam Aha iti /
   yadyapyasādhāraṇe dharme vivakṣite ekapratyayaheturiti mandaprayojanam,	yadi api asADAraNe Darme vivakzite eka pratyaya hetuH iti manda prayojanam,
   tathā pyasādhāraṇāt saṃśayo bhavan tajjātīyatāyāmeva paryavasyati /	taTA pyasADAraNAt saMSayaH Bavan tad jAtIya tAyAm eva paryavasyati /
   na tu tadvyaktitāyām tajjātoyā api hi vidharmāṇo dṛśyante /	na tu tad vyakti tAyAm tad jAtoyAH api hi viDarmANaH dRSyante /
   na tu ta evetyetat sūcayitumanekavyaktiniṣṭhatā darśitā /	na tu te eva iti etat sUcayitum aneka vyakti nizWatA darSitAH /
   ata ekavacanaṃ samarthayati   jātyeti //	atas eka vacanam samarTayati    jAtya iti //
   idānīmudāharaṇānurodhena vyācaṣṭe   sadādiriti /	idAnIm udAharaNa anuroDena vyAcazwe   sadAdiH iti /
   atreti vyākhyāne, anurūpam udāharaṇamāhetyarthaḥ /	atra iti vyAKyAne, anurUpam udAharaNam Aha iti arTaH /
   udāharaṇaparatāṃ sphuṭayitumasādhāraṇāvasare sādhāraṇamapi sadādi	udAharaNa para tAm sPuwayitum asADAraNa avasare sADAraNam api sadAdi
   kimityupanyastamiti śaṅkāṃ nivārayati   dravyatvādikoṭīti /	kim iti upanyastam iti SaFkAm nivArayati    dravya tva Adi kowI iti /
   sat sattāvat /	sat sattAvat /
   anityaṃ pradhvaṃsayoti /	anityam praDvaMsayoti /
   dravyavat samavāyikāraṇatayā dravyamasyāsti /	dravya vat samavAyi kAraNa tayA dravyam asya asti /
   kāryaṃ prāgabhāvavat /	kAryam prAgaBAva vat /
   kāraṇaṃ nimittetaratayāpi sāmānyāviśeṣavat avāntarasāmānyavaditi /	kAraNam nimittA itara tayA api sAmAnya aviSeza vat avAntara sAmAnya vat iti /
   yattadavocāma, parasparavidhimadubhayaniṣedhapradhānaḥ saṃśayo lakṣyo	yat tat avocAma, paraspara viDi mat uBaya nizeDa praDAnaH saMSayaH lakzyaH 
   dvitīyalakṣaṇa iti, tat siddhāntaprasaṅgena niṣedhamupakramya	dvitIya lakzaNaH iti, tat sidDAnta prasaFgena nizeDam upakramya
   vidhiparyavasānena darśayati   dravyakarmabhyāṃ vyāvartamānaḥ kiṃ guṇa	viDi paryavasAnena darSayati    dravya karmaByAm vyAvartamAnaH kim guNa
   ityādi //	ityAdi //
   nanu codyamevaitadanupapannam /	nanu codyam eva etat anupapannam /
   na hi vibhāgaje vibhāge pramāṇamasti /	na hi viBAga je viBAge pramANam asti /
   yaugapadyenaiva vibhāgasahasrasyāpi samānadeśasya jāyamānatvādityata	yOgapadyena eva viBAga sahasrasya api samAna deSasya jAyamAna tvAt ityata
   āha   ayamamisandhiriti /	Aha   ayamami sanDiH iti /
   yadyapi vaṃśadalayorvibhāgānantaraṃ saṃyoganāśaḥ, tato dravyanāśaḥ, tato	yadi api vaMSa dalayoH viBAga anantaram saMyoga nASaH, tatas dravya nASaH, tatas 
   dravyanāśaviśiṣṭaṃ kālaṃ svatantraṃ vā avayavamapekṣya dalayorvartamāno	dravya nASa viSizwam kAlam svatantram vA avayavam apekzya dalayoH vartamAnaH 
   vibhāga ākāśādideśād vibhāgaṃ karotīti vaiśeṣikāḥ, tathāpyaprakṛtatvāt	viBAgaH AkASa Adi deSAt viBAgam karoti iti vESezikAH, taTA api aprakRta tvAt 
   saṃyoganāśadravyanāśakramo nopanyastaḥ /	saMyoga nASa dravya nASa kramaH na upanyastaH /
   prakṛtasya hi karmaṇo vibhāgadvayajanakatvaṃ krameṇa vā syād, yaugapadyena	prakRtasya hi karmaNaH viBAga dvaya janaka tvam krameNa vA syAd, yOgapadyena
   vā /	vA /
   na tāvadādyaḥ, karmaṇo vibhāgārambhe 'napekṣayā avilambakāritvaniścayāt /	na tAvat AdyaH, karmaNaH viBAga AramBe anapekzayA avilamba kAri tva niScayAt /
   apekṣāyāṃ vā, ādyamapi vibhāgam anantarameva na kuryāt /	apekzAyAm vA, Adyam api viBAgam anantaram eva na kuryAt /
   uttarasaṃyoge kartavye pūrvasaṃyogapradhvaṃsāpekṣeti vilambaḥ /	uttara saMyoge kartavye pUrva saMyoga praDvaMsa apekzA iti vilambaH /
   āgantukabhāvamabhisandhāya tu nairapekṣyamuktam /	Agantuka BAvam aBisanDAya tu nErapekzyam uktam /
   na dvitīyaḥ, yadā ākāśādideśād vibhāgaṃ karoti karma ta	na dvitIyaH, yadA AkASa Adi deSAt viBAgam karoti karma ta
   tadāvayavāntarāditi sthitiriti vaiśeṣikāḥ /	tadA avayava antarAt iti sTitiH iti vESezikAH /
   tadetad yathāśrutamubhayamapyanupapannam /	tat etat yaTASrutam uBayam api anupapannam /
   ādye vibhāge hi kartavye karmaṇo nirapekṣatvāt sa eva kālaḥ /	Adye viBAge hi kartavye karmaNaH nirapekza tvAt saH eva kAlaH /
   dvitīye tu kartavye prathamānantarakāla eva nairapekṣyam /	dvitIye tu kartavye praTama anantara kAle eva nErapekzyam /
   ato na kālātipāta ityevamapyupapatteḥ /	atas na kAla atipAtaH iti evam api upapatteH /
   yadetyādisthitistu vikasatkamalakuḍmaleṣveva bhagnepyato	yadA ityAdi sTitiH tu vikasat kamala kuxmalezu eva Bagna ipyato
   'syārthamāha   avayavakriyā hīti /	asya arTamAha   avayavakriyA hi iti /
   kāryaikāryeti   pratyāsattisūcanam //	kAryA ekArya iti    pratyAsatti sUcanam //
   nanu bhavatvevaṃ tāvaduktavyāpteranavadhāraṇam, tathāpi yā kriyā	nanu Bavatu evam tAvat ukta vyApteH anavaDAraNam, taTA api yA kriyA
   dravyānārambhakasaṃyogapratidvandvinaṃ vibhāgamārabhate, nāsau	dravya anAramBaka saMyoga pratidvandvinam viBAgam AraBate, na asO
   dravyārambhakasaṃyogapratidvandvinamapi /	dravya AramBaka saMyoga pratidvandvinam api /
   tathātve vā yataḥ kutaścit karmaṇo yugapadubhayavibhāgopapattau	taTA tve vA yatas kutaScid karmaNaH yugapad u Baya viBAga upapattO
   calatyevāvayave sarvadravyanāśaprasaṅgaḥ, na caivam /	calati eva avayave sarva dravya nASa prasaFgaH, na ca evam /
   tasmād yadanārambhakasaṃyogapratidvandvijanakaṃ	tasmAt yat anAramBaka saMyoga pratidvandvi janakam
   tannārambhakasaṃyogapratidvandvijanakaṃ karmeti	tat na AramBaka saMyoga pratidvandvi janakam karma iti
   siddhe viparyayo 'pi siddha iti tatrāha   kriyāvailakṣaraṇyātviti /	sidDe viparyayaH api sidDaH iti tatra aha   kriyA vElakzaraNyAtu iti /
   ayamarthaḥ /	ayam arTaH /
   vibhāgasya tāvadvailakṣaraṇyamavaśyamabhyupetavyam, anyathā	viBAgasya tAvat vElakzaraNyam avaSyam aByupetavyam, anyaTA
   niyamānupapatteḥ /	niyama anupapatteH /
   tadanurodhāt karmaṇo 'pi jātikṛtaṃ sahakārikṛtaṃ vā vailakṣaṇyamavaśyaṃ	tad anuroDAt karmaNaH api jAti kRtam sahakAri kRtam vA vElakzaNyam avaSyam
   svīkartavyam /	svIkartavyam /
   tadetasya vailakṣaṇyam	tat etasya vElakzaNyam
   ārambhakānārambhakasaṃyogapratidvandvivibhāgadvayajanakatayā ekatra,	AramBaka an AramBaka saMyoga pratidvandvi viBAga dvaya janakatayA ekatra,
   anyatra tvanārambhakasaṃyogapratidvandvivibhāgamātrajanakatayā	anyatra tu anAramBaka saMyoga pratidvandvi viBAga mAtra janaka tayA
   paryavasyati,	paryavasyati,
   āhosvidārambhakasaṃyogapratidvandvivibhāgamātrajanakatayaikatra, anyatra	Ahosvit AramBaka saMyoga pratidvandvi viBAga mAtra janaka tayA ekatra, anyatra
   tvanārambhakasaṃyogamātrapratidvandvivibhāgajanakatayeti na niyantuṃ	tu anAramBaka saMyoga mAtra pratidvandvi viBAga janakatayA iti na niyantum
   śakyate /	Sakyate /
   anārambhakasaṃyogapratidvandvinamapi vibhāgaṃ	anAramBaka saMyoga pratidvandvinam api viBAgam
   kariṣyati, ko virodhaḥ? yathānārambhakottarasaṃyogajanakatve satyeva	karizyati, kaH viroDaH? yaTA anAramBaka uttara saMyoga janaka tve sati eva
   kutaścit viśeṣādārambhakottarasaṃyogajanakatvamapi karmaṇaḥ, anyathā	kutaScid viSezAt AramBaka uttara saMyoga janaka tvam api karmaNaH, anyaTA
   tatrāpyanayaiva diśā kāraṇamātrasaṃyogapūrvakāḥ kāraṇākāraṇasaṃyogāḥ	tatra api anayA eva diSA kAraNa mAtra saMyoga pUrvakAH kAraNa akAraNa saMyogAH
   kalpanīyāḥ syuḥ /	kalpanIyAH syuH /
   yathā ca tatra krame pramāṇaṃ nāsti tathehāpīti /	yaTA ca tatra krame pramANam na asti taTA iha api iti /
   yadekāntavibhāgamekamavayavadvayamātravartinam, anyā tu	yad ekAnta viBAgam ekam avayava dvaya mAtra varti nam, anyA tu
   vibhāgadvayamavayavadvayavartinamavayavānavayavavartinaṃ ceti /	viBAga dvayam avayava dvaya vartinam avayavAn avayava vartinam ca iti /
   yathā caitadvailakṣṇyaṃ tathā varamevamasatu	yaTA ca etat vElakzNyam taTA varam evam asatu
   yadekānārambhakasaṃyogapratidvandvinamanyā tu	yat eka anAramBaka saMyoga pratidvandvinam anyA tu
   ārambhakānārambhakapratidvandvinaṃ janayatītyarthaḥ //	AramBaka an AramBaka pratidvandvinam janayati iti arTaH //
   tasmāt kāraṇamātravibhāgapūrvake kāraṇākāraṇavibhāge pramāṇaṃ nāstīti	tasmAt kAraNa mAtra viBAga pUrvake kAraNa akAraNa viBAge pramANam na asti iti
   nābhyupagamyata ityetāvanmātravyaktīkaraṇaphalo 'yamanamyupagama	na aByupagamyate iti etAvat mAtra vyaktIkaraNa PalaH ayam anami upagama
   ityāha   tasmāditi /	iti Aha   tasmAt iti /
   kāraṇākāraṇavibhāgapūrvakastu kāryākāryavibhāgaḥ prāmāṇika	kAraNa akAraNa viBAga pUrvakaH tu kArya akArya viBAgaH prAmANika
   ityabhyupagamyata ityāha   yastviti /	iti aByupagamyate iti Aha   yaH tu iti /
   kāryaikārthasamavāyastarumadhikṛtya kvacit pāṭhaḥ /	kAryA eka arTa samavAyaH tarum aDikRtya kvacid pAWaH /
   kāryakāraṇaikārthasamavāyaḥ /	kArya kAraNa eka arTa samavAyaH /
   so 'ṅgulīmadhikṛtyeti /	saH aFgulIm aDikRtya iti /
   sa iti /	saH iti /
   asādhāraṇībhūtanimittajātīyāsamavāyikāraṇajanya iti pratijñārthaḥ	asADAraNIBUta nimitta jAtIya asamavAyi kAraNa janyaH iti pratijQA arTaH
   ādyaśabdatvāditi hetvarthaḥ /	Adya Sabda tvAt iti hetu arTaH /
   yadyapi vibhāgāpekṣavibhāgāsamavāyikāraṇam asādhāraṇaṃ śabde tadeva	yadi api viBAga apekza viBAga asamavAyi kAraNam asADAraNam Sabde tat eva
   vaktumucitam, tathāpi kāraṇamātravibhāgajavibhāgamabhyupetyoktaṃ	vaktum ucitam, taTA api kAraNa mAtra viBAga ja viBAgam aByupetya uktam
   vārttikakṛteti tathaivāha   tadevamiti, etadapi vyabhicārya	vArttika kRtA iti taTA eva aha   tadeva miti, etat api vyaBicArya
   samarthayati   tadapīti /	samarTayati   tat api iti /
   yadyapyevamapi vibhāgajatvāditi heturadoṣa eva, na hi vibhāgād dravyasya	yadi api evam api viBAga ja tvAt iti hetuH adozaH eva, na hi viBAgAt dravyasya
   janma saṃbhavati,	janma saMBavati,
   kamaṇo vā /	kamaNaH vA /
   sa hi dravyānārambhakasamaveto 'kāraṇameva, ārambhakasamavetastu	sa hi dravya anAramBaka samavetaH akAraNam eva, AramBaka samavetaH tu
   saṃyoganāśadvārā vināśaka eva, karmaṇo 'pi kāraṇaṃ vibhāgo bhavanna	saMyoga nASa dvArA vinASakaH eva, karmaNaH api kAraNam viBAgaH Bavat na
   tāvadādyasya tasminnasati vibhāgasyaivānupapatteḥ /	tAvat Adyasya tasmin= asati viBAgasya eva anupapatteH /
   taduttarasyāpi pūrvakarmanivṛttau janma /	tad uttarasya api pUrva karma nivRttO janma /
   yadā tu tannivṛttiruttarasaṃyogāt, tadā vibhāgasyāpīti	yadA tu tad nivRttiH uttara saMyoga at, tadA viBAgasya api iti
   kathamuttarakarmajanma vibhāgāt? tasmādasandigdhavyāptikaṃ vibhāgajatvaṃ	kaTam uttara karma janma viBAgAt? tasmAt asat digDa vyAptikam viBAga ja tvam
   śabdasya guṇatve pramāṇameva /	Sabdasya guNa tve pramANam eva /
   na ca tadavāntaraviśeṣamādāyāsādhāraṇyaṃ doṣaḥ /	na ca tat avAntara viSezam AdAya asADAraNyam dozaH /
   tathā sati dhūmo 'pyagamakaḥ syāt /	taTA sati DUmaH api agamakaH syAt /
   tathāpi bhāṣyoktodāharaṇavyutpādanamātramidamiti mantavyam //	taTA api BAzya ukta udAharaNa vyutpAdana mAtram idam iti mantavyam //
   nanu tulyajātīyeṣvityādivivakṣitaviparītāpādikeyaṃ yuktirityata	nanu tulya jAtIyezu ityAdi vivakzita viparIta ApAdikA iyam yuktiH iti ata
   āha   yadyapīti /	Aha   yat yapi iti /
   pūrvaiva yuktiriyaṃ bhāṣyakāragauravāduktetyarthaḥ /	pUrvA eva yuktiH iyam BAzya kAra gOravAt uktA iti arTaH /
   pūrvasmāraṇena prakārāntaratvaṃ sphuṭayan vārttikamavatārayati   pūrvamiti	pUrva smAraNena prakAra antara tvam sPuwayan vArttikam avatArayati    pUrvam iti
   samāno hi dharmaḥ pakṣe vartamānaḥ sapakṣavipakṣadharmābhyāmekajātīyaḥ,	samAnaH hi DarmaH pakze vartamAnaH sa pakza vipakza DarmAByAm eka jAtIyaH,
   tadrūpapratiṣedhaścāyamaneka iti /	tad rUpa pratizeDaH ca ayam anekaH iti /
   tathā ca pakṣe vartamānasya sapakṣavipakṣadharmābhyāṃ vijātīyatvamuktaṃ	taTA ca pakze vartamAnasya sa pakza vipakza DarmAByAm vijAtIya tvam uktam
   bhavati /	Bavati /
   yaśca pakṣagaḥ sapakṣavipakṣadharmābhyāṃ vijātīyo dharmaḥ, so 'sādhāraṇa	yaH ca pakza gaH sa pakza vipakza DarmAByAm vijAtIyaH DarmaH, saH asADAraNa
   eveti bhavatyabhidheyāvinābhūtatvāt lakṣaṇāviṣayaḥ /	eva iti Bavati aBiDeya avinABUta tvAt lakzaNa avizayaH /
   tadidamuktam   lakṣaṇayaiveti /	tat idam uktam    lakzaNayA eva iti /
   vārttikaṃ yojayati   samāneti /	vArttikam yojayati   samAna iti /
   samānaśabdena pratiyogitayā buddhāvasamāne 'pyusthāpite saṃśayakāraṇatve	samAna Sabdena pratiyogi tayA budDO= asamAne api usTApite saMSaya kAraNa tve
   ca tasya pramāṇasiddhe tasmin vaktavye yadanekapadamupādatte	ca tasya pramANa sidDe tasmin vaktavye yat aneka padam upAdatte
   sūtrakārastena jānīmo nūnamayamevārtho 'nayā vacobhaṅgyā anena darśita iti	sUtra kAraH tena jAnImaH nUnam ayam eva arTaH anayA vacA uBaFgyAH anena darSitaH iti
   yojanārthaḥ /	yojana arTaH /
   etena sarveṣūktaprakāreṣu sūtrakārasya saṃpratipattirdarśitā bhavati //	etena sarvezu ukta prakArezu sUtrakArasya saMpratipattiH darSitA Bavati //
   pṛtchatītyādinā lakṣaṇaprakārāṇāṃ prayojanaṃ darśitamityanugantavyam /	pRtCati ityAdinA lakzaNa prakArANAm prayojanam darSitam iti anugantavyam /
   pratyabhijñānaṃ tāvadvyaktiviṣayakaṃ nāstyeva gakārādāviti dvitīye	pratyaBijQAnam tAvat vyakti vizayakam na asti eva gakAra AdO= iti dvitIye
   vyutpādanīyam /	vyutpAdanIyam /
   yadāpyasti tadāpyasya viṣayaḥ kiṃ vyaktirutajātiriti viṣayataḥ sandihyate	yadA api asti tadA api asya vizayaH kim vyakti ruta jAtiH iti vizayataH sandihyate
   yadāpi vyaktirevāsya viṣayaḥ, tadāpi pramāṇamapramāṇaṃ veti sandeha	yadA api vyaktiH eva asya vizayaH, tadA api pramANam apramANam vA iti sandeha
   ityabhiprāyavān saṃmugdhamāha	iti aBiprAyavAn saMmugDam Aha
   sādṛśyenāpi saṃbhavati, svayaṃ sandigdhaṃ saditi /	sAdRSyena api saMBavati, svayam sandigDam sat iti /
   yadyapi gavādivyaktaya iva gotvādyupadhānā iti jātimātrapadārthavādī na	yadi api gavA Adi vyaktayaH iva go tva Adi upaDAnAH iti jAti mAtra padArTa vAdI na
   svīkarotyeva, tathāpi svasiddhāntadārḍhyena paro 'pyevamaṅgīkārayitavyaḥ /	svIkaroti eva, taTA api sva sidDAnta dArXyena paraH api evam aFgIkArayitavyaH /
   anyathābhidheyasyāvinābhāvapratītireva kathaṃ vyaktibhiḥ? tadabhāve ca	anyaTA aBiDeyasya avinA aBAva pratItiH eva kaTam vyaktiBiH? tad aBAve ca
   kathaṃ lakṣaṇāpīti? kathaṃ netyādi /	kaTam lakzaNa api iti? kaTam na ityAdi /
   na ca vācyaṃ śabdasya tathābhāvasandehe 'pi ghaṭādau niścitatvena	na ca vAcyam Sabdasya taTA aBAva sandehe api Gawa AdO niScita tvena
   vyāptigraho yadi syāt ko doṣa iti /	vyApti grahaH yadi syAt kaH dozaH iti /
   sarvopasaṃhāreṇa hi vyāptiniścaye yatkṛtakaṃ tadavaśyamanityamiti	sarva upasaMhAreNa hi vyApti niScaye yat kRtakam tat avaSyam anityam iti
   kṛtakatvaṃ śabde niścayameva kuryāt /	kRtaka tvam Sabde niScayam eva kuryAt /
   satpratipakṣatayā śabde sādhyasiddhiṃ na karoti /	sat pratipakza tayA Sabde sADya sidDim na karoti /
   apratihatatayā tu buddhyādau karotīti cet   na, pratipakṣasādhane	apratihata tayA tu budDi AdO karoti iti cet   na, pratipakza sADane
   vyāptisaddūṣayati satyapi sādhyasiddheravirodhāt /	vyApti sat dUzayati sati api sADya sidDeH aviroDAt /
   virodhe 'duṣṭādapi na sādhyasiddhiriti sarvānumānocchadaprasaṅgaḥ /	viroDe aduzwAt api na sADya sidDiH iti sarva anumAna ucCada prasaFgaH /
   imaṃ cārthamanantarameva vakṣyate /	imam ca arTam anantaram eva vakzyate /
   vyāptidoṣe tu sarvopasaṃhārābhāvāt kathaṃ tadbalena buddhyādau	vyApti doze tu sarva upasaMhAra aBAvAt kaTam tat balena budDi AdO
   sādhyasiddhiriti sandigdhatattvaṃ śabdaṃ vihāya vyāptiriti cet? evaṃ tarhi	sADya sidDiH iti sandigDa tattvam Sabdam vihAya vyAptiH iti cet? evam tarhi
   śabdādanyatve sati kṛtakatvāditi vācyam /	SabdAt anya tve sati kRtaka tvAt iti vAcyam /
   tathā ca yadi daivāt śabdo 'pyanitya eva vastutaḥ, tadā	taTA ca yadi dEvAt SabdaH api anityaH eva vastutaH, tadA
   asamarthaviśeṣaṇatvāpattiriti sandigdhāsamarthaviśeṣaṇatvamiti /	asamarTa viSezaNa tva ApattiH iti sandigDA samarTa viSezaNa tvam iti /
   tasmāt sūṣṭhūktaṃ sandigdhe nityānityabhāve śabde kṛtakatvaṃ gatamiti	tasmAt sUzWu uktam sandigDe nitya aniti aBAve Sabde kRtaka tvam gatam iti
   nānityatvena svabhāvataḥ pratibaddhamiti //	na anitya tvena svaBAvataH pratibadDam iti //
   pratyayabhedabheditvaṃ kāraṇatīvratvāditāratamyena tīvratīvratarāditvaṃ	pratyaya Beda Bedi tvam kAraNa tIvra tva Adi tAratamyena tIvra tIvratara Adi tvam
   pratyekaṃ satpratipakṣatvam ityekaikasyānvayato vyatirekato	pratyekam sat pratipakza tvam iti ekEkasya anvayataH vyatirekato
   vobhayakoṭyanupanāyakatayā na saṃśayahetutvam /	vA uBaya kowi anupanAyaka tayA na saMSaya hetu tvam /
   nāpi niścayahetutvamasatpratipakṣatvarūpavaikalyādityarthaḥ /	na api niScaya hetu tvam asat pratipakza tva rUpa vEkalyAt iti arTaH /
   militayostvasādhāraṇatvamiti /	militayoH tu asADAraNa tvam iti /
   tathā ca tenaiva rūpeṇa saṃśayakāraṇatvaṃ nānyathetyarthaḥ /	taTA ca tena eva rUpeNa saMSaya kAraNa tvam na anyaTA iti arTaH /
   anunāsikatvādayo hi sāmānyaviśeṣāḥ pratyakṣā bhavantaḥ	anunAsika tva AdayaH hi sAmAnya viSezAH pratyakzAH BavantaH
   pratyakṣavyaktivṛttaya eva bhavitumarhanti /	pratyakza vyakti vRttayaH eva Bavitum arhanti /
   na cānyendriyeṇa vyaktiranyena jātirupalabdhigocaraḥ /	na ca anya indriyeNa vyaktiH anyena jAtiH upalabDi gocaraH /
   tathā cānunāsikatvādisāmānyāśrayabhūtāyā eva vyakteḥ śrāvaṇatve	taTA ca anunAsika tva Adi sAmAnya ASraya BUtAyAH eva vyakteH SrAvaNa tve
   'pyanityatvamubhayavādisiddham /	api anitya tvam uBayava Adi sidDam /
   kevalaṃ sa vyaktirākāśāśrayā vā, anyāśrayā veti vipratipattiḥ /	kevalam sa vyaktiH AkASa ASrayA vA, anya ASrayA vA iti vipratipattiH /
