   Pañcaviṃśatisāhasrikā Prajñāpāramitā	PaQcaviMSati sAhasrikA PrajQApAramitA
   śāntā iti nāśāntā iti na śūnyā iti nāśūnyā iti na nimittā iti nānimittā	SAntAH iti nASAntAH iti na SUnyAH iti na aSUnyAH iti na nimittAH iti na animittA
   iti na praṇihitā iti nāpraṇihitā ity upaparīkṣate, na viviktā iti	iti na praNihitAH iti na apraNihitAH iti upaparIkzate, na viviktAH iti
   nāviviktāiti upaparīkṣate.	na aviviktA iti upaparIkzate.
   evaṃ cakṣurvijñānaṃ śrotravijñānaṃ ghrāṇavijñānaṃ jihvāvijñānaṃ	evam cakzuH vijQAnam Srotra vijQAnam GrANa vijQAnam jihvA vijQAnam
   kāyavijñānaṃ manovijñānaṃ na nityaṃ nānityam iti upaparīkṣate, na sukham	kAya vijQAnam manaH vijQAnam na nityam na anityam iti upaparIkzate, na suKam
   iti na duḥkham iti nātmeti nānātmeti na śāntam iti nāśāntam iti na śūnyam	iti na duHKam iti na AtmA iti na anA AtmA iti na SAntam iti nASAntam iti na SUnyam
   iti nāśūnyam iti na nimittam iti nānimittam iti na praṇihitam iti	iti na aSUnyam iti na nimittam iti na animittam iti na praNihitam iti
   nāpraṇihitam iti upaparīkṣate, na viviktam iti nāviviktam ity	na apraNihitam iti upaparIkzate, na viviktam iti na aviviktam iti 
   upaparīkṣate.	upaparIkzate.
   evaṃ cakṣuḥsaṃsparśaṃ śrotrasaṃsparśaṃ ghrāṇasaṃsparśaṃ jihvāsaṃsparśaṃ	evam cakzuH saMsparSam Srotra saMsparSam GrANa saMsparSam jihvA saMsparSam
   kāyasaṃsparśaṃ manaḥsaṃsparśaṃ na nitya iti nānitya ity upaparīkṣate, na	kAya saMsparSam manaH saMsparSam na nityaH iti na anityaH iti upaparIkzate, na
   sukha iti na duḥkha iti nātmeti nānātmeti na śānta iti (PvsP1 2: 159)	suKaH iti na duHKaH iti na AtmA iti na anA AtmA iti na SAntaH iti (PvsP1 2: 159)
   nāśānta iti na śūnya iti nāśūnya iti na nimitta iti nānimitta iti na	nASAntaH iti na SUnyaH iti na aSUnyaH iti na nimittaH iti na animittaH iti na
   praṇihita iti nāpraṇihita iti upaparīkṣate, na viviktam iti nāviviktam ity	praNihitaH iti na apraNihitaH iti upaparIkzate, na viviktam iti na aviviktam iti 
   upaparīkṣate.	upaparIkzate.
   evaṃ cakṣuḥsaṃsparśapratyayā vedanā śrotrasaṃsparśapratyayā vedanā	evam cakzuH saMsparSa pratyayA vedanA Srotra saMsparSa pratyayA vedanA
   ghrāṇasaṃsparśapratyayā vedanā jihvāsaṃsparśapratyayā vedanā	GrANa saMsparSa pratyayA vedanA jihvA saMsparSa pratyayA vedanA
   kāyasaṃsparśapratyayā vedanā manaḥsaṃsparśapṛtatyayā vedanā na nityā iti	kAya saMsparSa pratyayAH vedanA manaH saMsparSa pRtatyayA vedanA na nityAH iti
   nānityā ity upaparīkṣate, na sukhā iti na duḥkhā iti nātmā iti nānātmā iti	na anityAH iti upaparIkzate, na suKAH iti na duHKAH iti na AtmA iti nAnA AtmA iti
   na śāntā iti nāśāntā iti na śūnyā iti nāśūnyā iti na nimittā iti nānimittā	na SAntAH iti nASAntAH iti na SUnyAH iti na aSUnyAH iti na nimittAH iti na animittA
   iti na praṇihitā iti nāpraṇihitā iti upaparīkṣate, na viviktā iti	iti na praNihitAH iti na apraNihitAH iti upaparIkzate, na viviktAH iti
   nāviviktā ity upaparīkṣate.	na aviviktAH iti upaparIkzate.
   evaṃ dānapāramitā śīlapāramitā kṣāntipāramitā vīryapāramitā dhyānapāramitā	evam dAna pAramitA SIla pAramitA kzAnti pAramitA vIrya pAramitA DyAna pAramitA
   prajñāpāramitā na nityeti nānityety upaparīkṣate, na sukheti na duḥkheti	prajQApAramitA na nitya iti na anitya iti upaparIkzate, na suKa iti na duHKa iti
   na ātmeti nānātmeti na śāntā iti nāśāntā iti, na śūnyā iti nāśunyā iti na	na AtmA iti na anA AtmA iti na SAntAH iti nASa antAH iti, na SUnyAH iti na aSunyAH iti na
   nimittā iti nānimittā iti na praṇihitā iti nāpraṇihitā ity upaparīkṣate,	nimittAH iti na animittAH iti na praNihitAH iti na apraNihitAH iti upaparIkzate,
   na viviktā iti nāviviktā ity upaparīkṣate.	na viviktAH iti na aviviktAH iti upaparIkzate.
   evam adhyātmaśūnyatā bahirdhāśūnyatā adhyātmabahirdhāśūnyatā yāvad	evam aDyAtma SUnyatA bahirDA SUnyatA aDyAtma bahirDA SUnyatA yAvat 
   abhāvasvabhāvaśūnyatā na nityeti nānityety upaparīkṣate, na sukheti na	aBAva svaBAva SUnyatA na nitya iti na anitya iti upaparIkzate, na suKa iti na
   duḥkheti nātmeti nānātmeti na śānteti nāśānteti na śūnyeti nāśūnyeti na	duHKa iti na AtmA iti na anA AtmA iti na SAntA iti na aSa anta iti na SUnyA iti na aSUnyA iti na
   nimitteti nānimitteti na praṇihiteti nāpraṇihitety upaparikṣate, na	nimittA iti na animittA iti na praNihitA iti na apraNihitA iti upaparikzate, na
   vivikteti nāviviktety upaparīkṣate.	viviktA iti na aviviktA iti upaparIkzate.
   evaṃ smṛtyupasthānāni na nityānīti nānityānīty upaparīkṣate na sukhānīti	evam smRti upasTAnAni na nityAni iti na anityAni iti upaparIkzate na suKAni iti
   na duḥkhānīti nātmānīti nānātmānīti na śāntānīti nāśāntānīti na śūnyānīti	na duHKAni iti na AtmAni iti nAnA AtmAni iti na SAntAni iti nASa antAni iti na SUnyAni iti
   nāśūnyānīti na nimittānīti nānimittānīti na praṇihitānīti nāpraṇihitānīty	na aSUnyAni iti na nimittAni iti na animittAni iti na praNihitAni iti na apraNihitAni iti 
   upaparīkṣate, na viviktānīti nāviviktānīty upaparīkṣate,	upaparIkzate, na viviktAni iti na aviviktAni iti upaparIkzate,
   evaṃ samyakprahāṇāni ṛddhipādānīndriyāṇi balāni bodhyaṅgāni āryāṣṭāṅgo	evam samyak prahANAni RdDipAdAni indriyANi balAni boDi aFgAni Arya azwa aFgaH 
   mārgo 'pramāṇadhyānārūpyasamāpattayo 'bhijñā daśatathāgatabalāni	mArgaH apramANa DyAna ArUpya samApattayaH aBijQA daSa taTAgata balAni
   vaiśāradyāni pratisaṃvido 'ṣṭādaśāveṇikā buddhadharmāḥ samādhayaḥ	vESAradyAni pratisaMvidaH azwAdaSa AveNikAH budDa DarmAH samADayaH
   sarvadhāraṇīmukhāni sarvajñatā na nityeti nānityety upaparīkṣate, na	sarva DAraNI muKAni sarvajQa tA na nitya iti na anitya iti upaparIkzate, na
   sukheti na duḥkheti nātmeti nānātmeti na śānteti nāśānteti na śūnyeti	suKa iti na duHKa iti na AtmA iti na anA AtmA iti na SAntA iti na aSAnta iti na SUnya iti
   nāśūnyeti na nimitteti nānimitteti na praṇihiteti nāpraṇihitety	na aSUnyA iti na nimittA iti na animittA iti na praNihitA iti na apraNihitA iti 
   upaparīkṣate, na vivikteti nāviviktety upaparīkṣate.	upaparIkzate, na viviktA iti na aviviktA iti upaparIkzate.
   evaṃ hy āyuṣman śāriputra bodhisattvao mahāsattvaḥ prajñāpāramitāyāṃ	evam hi Ayuzman SAriputra boDisattvaaH mahAsattvaH prajQApAramitAyAm
   carann imān dharmān upaparīkṣate.	caran imAn DarmAn upaparIkzate.
   (PvsP1 2: 160)	(Pu sP1 2: 160)
   śāriputra āha: kena kāraṇenāyuṣman subhūte evaṃ vadasi, yo rūpasyānutpādo	SAriputraH Aha: kena kAraNena Ayuzman suBUte evam vadasi, yaH rUpasya anutpAdaH 
   na tad rūpaṃ, yo vedanāyāḥ saṃjñāyāḥ saṃskārāṇāṃ, yo vijñānasyānutpādo na	na tat rUpaM, yaH vedanAyAH saMjQAyAH saMskArANAn, yaH vijQAnasya anutpAdaH na
   tad vijñānam, evaṃ vyastasamasteṣu skandhadhātvāyatanapratītyasamutpādeṣu	tat vijQAnam, evam vyasta samastezu skanDa DAtu Ayatana pratItyasamutpAdezu
   pāramitāsu sarvaśūnyatāsu sarvabodhipakṣeṣu dharmeṣv	pAramitAsu sarva SUnyatAsu sarva boDi pakzezu Darmezu 
   apramāṇadhyānārūpyasamāpattiṣu baleṣu vaiśāradyeṣu pratisaṃvitsu	apramANa DyAna ArUpya samApattizu balezu vESAradyezu pratisaMvitsu
   samādhidhāraṇīmukheṣv abhijñāsv aṣṭādaśāveṇikeṣu buddhadharmeṣu, yaḥ	samADi DAraNI muKezu aBijQAsu azwAdaSa AveNikezu budDa Darma izu, yaH
   sarvākārajñatāyā anutpādo na sā sarvākārajñateti.	sarva AkAra jQa tAyAH anutpAdaH na sA sarva AkAra jQa tA iti.
   subhūtir āha: rūpam āyuṣman śāriputra śūnyaṃ rūpeṇa, yā cāyuṣman śāriputra	suBUtiH Aha: rUpam Ayuzman SAriputra SUnyam rUpeNa, yA ca Ayuzman SAriputra
   śūnyatā na tad rūpaṃ notpādaḥ, anenāyuṣman śāriputra paryāyeṇa yo	SUnyatA na tat rUpam na utpAdaH, anena Ayuzman SAriputra paryAyeNa yaH 
   rūpasyānutpādo na tad rūpaṃ, vedanā saṃjñā saṃskārā, vijñānaṃ śūnyaṃ	rUpasya anutpAdaH na tat rUpaM, vedanA saMjQA saMskArA, vijQAnam SUnyam
   vijñānena, yā cāyuṣman śāriputra śūnyatā na tad vijñānaṃ notpādaḥ,	vijQAnena, yA ca Ayuzman SAriputra SUnyatA na tat vijQAnam na utpAdaH,
   anenāyuṣman śāriputra paryāyeṇa yo vijñānasyānutpādona tad vijñānam.	anena Ayuzman SAriputra paryAyeNa yaH vijQAnasya anutpAda una tat vijQAnam.
   dānapāramitā āyuṣman śāriputra dānapāramitayā śūnyā, yā ca śūnyatā na sā	dAna pAramitA Ayuzman SAriputra dAna pAramitayA SUnyA, yA ca SUnyatA na sA
   dānapāramitā notpādaḥ, anenāyuṣman śāriputra paryāyeṇa yo dānapāramitāyā	dAna pAramitA na utpAdaH, anena Ayuzman SAriputra paryAyeNa yaH dAna pAramitAyAH 
   anutpādo na sā dānapāramitā, evaṃ śīlapāramitā kṣāntipāramitā	anutpAdaH na sA dAna pAramitA, evam SIla pAramitA kzAnti pAramitA
   vīryapāramitā dhyānapāramitā, prajñāpāramitā prajñāpāramitayā śūnyā, yā ca	vIrya pAramitA DyAna pAramitA, prajQApAramitA prajQApAramitayA SUnyA, yA ca
   śūnyatā na sā prajñāpāramitā notpādaḥ, anenāyuṣman śāriputra paryāyeṇa yaḥ	SUnyatA na sA prajQApAramitA na utpAdaH, anena Ayuzman SAriputra paryAyeNa yaH
   prajñāpāramitāyā anutpādo na sā prajñāpāramitā.	prajQApAramitAyAH anutpAdaH na sA prajQApAramitA.
   adhyātmaśūnyatā adhyātmaśūnyatayā śūnyā, yā ca śūnyatā na sā	aDyAtma SUnyatA aDyAtma SUnya tayA SUnyA, yA ca SUnyatA na sA
   adhyātmaśūnyatā notpādaḥ, anenāyuṣman śāriputra paryāyeṇa yaḥ	aDyAtma SUnyatA na utpAdaH, anena Ayuzman SAriputra paryAyeNa yaH
   prajñāpāramitāyā anutpādo na sā prajñāpāramitā, adhyātmaśūnyatā	prajQApAramitAyAH anutpAdaH na sA prajQApAramitA, aDyAtma SUnyatA
   adhyātmaśūnyatayā śūnyā, yā ca śūnyatā na sā adhyātmaśūnyatā notpādaḥ,	aDyAtma SUnya tayA SUnyA, yA ca SUnyatA na sA aDyAtma SUnyatA na utpAdaH,
   anenāyuṣman śāriputra paryāyeṇa yo 'dhyātmaśūnyatāyā anutpādo na sā	anena Ayuzman SAriputra paryAyeNa yaH aDyAtma SUnyatAyAH anutpAdaH na sA
   adhyātmaśūnyatā, evaṃ bahirdhāśūnyatā bahirdhāśūnyatayā śūnyā,	aDyAtma SUnyatA, evam bahirDA SUnyatA bahirDA SUnyatayA SUnyA,
   adhyātmabahirdhāśūnyatā adhyātmabahirdhāśūnyatayā śūnyā, yāvad	aDyAtma bahirDA SUnyatA aDyAtma bahirDA SUnyatayA SUnyA, yAvat 
   abhāvasvabhāvaśūnyatā abhāvasvabhāvaśūnyatayā śūnyā, yā ca śūnyatā na sā	aBAva svaBAva SUnyatA aBAva svaBAva SUnyatayA SUnyA, yA ca SUnyatA na sA
   abhāvasvabhāvaśūnyatā notpādaḥ, anenāyuṣman śāriputra paryāyeṇa yo	aBAva svaBAva SUnyatA na utpAdaH, anena Ayuzman SAriputra paryAyeNa yaH 
   'bhāvasvabhāvaśūnyatāyā anutpādo na sā abhāvasvabhāvaśūnyatā.	aBAva svaBAva SUnyatAyAH anutpAdaH na sA aBAva svaBAva SUnyatA.
   smṛtyupasthānāny āyuṣman śāriputra smṛtyupasthānaiḥ śūnyāni, yā ca śūnyatā	smRti upasTAnAni Ayuzman SAriputra smRti upasTAnEH SUnya ani, yA ca SUnyatA
   na tāni smṛtyupasthānāni notpādaḥ, anenāyuṣman śāriputra paryāyeṇa yaḥ	na tAni smRti upasTAnAni na utpAdaH, anena Ayuzman SAriputra paryAyeNa yaH
   smṛtyupasthānānām anutpādo na tāni smṛtyupasthānāni, evaṃ	smRti upasTAnAnAm anutpAdaH na tAni smRti upasTAnAni, evam
   samyakprahāṇarddhipādendriyabalabodhyaṅgamārgābhijñāpramāṇadhyānārūpyasamāpattayo	samyak prahANa RdDi pAda indriya bala boDi aFga mArga aBijQA pramANa DyAna ArUpya samApattayo
   (PvsP1 2: 161) daśabalavaiśāradyapratisaṃvidaḥ	(Pu sP1 2: 161) daSa bala vESAradya pratisaMvidaH
   samādhidhāraṇyaṣṭādaśāveṇikā buddhadharmā sarvākārajñatā āyuṣman śāriputra	samADi DA araNyazwAdaSa AveNikA budDa DarmA sarva AkAra jQa tA Ayuzman SAriputra
   sarvākārajñatayā śūnyā, yā ca śūnyatā na sā sarvākārajñatā notpādaḥ,	sarva AkAra jQa tayA SUnyA, yA ca SUnyatA na sA sarva AkAra jQa tA na utpAdaH,
   anenāyuṣman śāriputra prayāyeṇa yaḥ sarvākārajñatāyā anutpādo na sā	anena Ayuzman SAriputra prayAyeNa yaH sarva AkAra jQa tAyAH anutpAdaH na sA
   sarvākārajñatā.	sarva AkAra jQa tA.
   śāriputra āha: kiṃ kāraṇam āyuṣman subhūte evaṃ vadasi, yo rūpasya vyayo	SAriputraH Aha: kim kAraNam Ayuzman suBUte evam vadasi, yaH rUpasya vyayaH 
   na tad rūpaṃ, yo vedanāyāḥ saṃjñāyāḥ saṃskārāṇāṃ, yo vijñānasya vyayo na	na tat rUpaM, yaH vedanAyAH saMjQAyAH saMskArANAn, yaH vijQAnasya vyayaH na
   tad vijñānam iti, evaṃ vyastasamasteṣu	tat vijQAnam iti, evam vyasta samastezu
   skandhadhātvāyatanapratītyasamutpādaśūnyatābodhipakṣesu dharmeṣu	skanDa DAtu Ayatana pratItyasamutpAda SUnyatA boDi pakzesu Darmezu
   pāramitāsv apramāṇadhyānārūpyasamāpattiṣu baleṣu vaiśāradyeṣu	pAramitAsu apramANa DyAna ArUpya samApattizu balezu vESAradyezu
   pratisaṃvitsv aṣṭādaśasv āveṇikeṣu buddhadharmeṣu yaḥ sarvākārajñatāyā	pratisaMvitsu azwAdaSasu AveNikezu budDa Darmezu yaH sarva AkAra jQa tAyAH 
   vyayo na sāsarvākārajñatā.	vyayaH na sA sarva AkAra jQa tA.
   subhūtir āha: tathā hy āyuṣman śāriputra yaś ca vyayo yac ca rūpaṃ yac	suBUtiH Aha: taTA hi Ayuzman SAriputra yaH ca vyayaH yat ca rUpam yat 
   cādvaidhīkāraṃ yā ca vedanā yā ca saṃjñā ye ca saṃskārāḥ, yac ca vijñānaṃ	cAdvEDIkAram yA ca vedanA yA ca saMjQA ye ca saMskArAH, yat ca vijQAnam
   sarva ete dharmā na saṃyuktā na visaṃyuktā arūpiṇo 'nidarśanā apratighāḥ,	sarve ete DarmAH na saMyuktAH na visaMyuktAH arUpiNaH anidarSanAH apratiGAH,
   ekalakṣaṇā yad utālakṣaṇāḥ, evaṃ vyastasamasteṣu	eka lakzaNAH yat uta alakzaNAH, evam vyasta samastezu
   skandhadhātvāyatanapratītyasamutpādapāramitābhijñāśūnyatābodhipakṣesu	skanDa DAtu Ayatana pratItyasamutpAda pAramitA aBijQA SUnyatA boDi pakzesu
   dharmeṣv apramāṇadhyānārūpyasamāpattiṣu	Darmezu apramANa DyAna ArUpya samApattizu
   daśabalavaiśāradyāveṇikabuddhadharmasamādhidhāraṇīmukheṣu yaś ca vyayo	daSa bala vESAradyA veNika budDa Darma samADi DAraNI muKezu yaH ca vyayaH 
   yāvat sarvākārajñatāyac cādvaidhīkāraṃ sarva ete dharmā na saṃyuktā na	yAvat sarva AkAra jQa tAyat cAdvEDIkAram sarve ete DarmAH na saMyuktAH na
   visaṃyuktā arūpiṇo nidarśanā apratighāḥ, ekalakṣaṇā yad utālakṣaṇāḥ,	visaMyuktAH arUpiNaH nidarSanAH apratiGAH, eka lakzaNAH yat uta alakzaNAH,
   anenāyuṣman śāriputra paryāyeṇa yo rūpasya vyayo na tad rūpam, evaṃ	anena Ayuzman SAriputra paryAyeNa yaH rUpasya vyayaH na tat rUpam, evam
   vedanāyāḥ saṃjñāyāḥ saṃskārāṇāṃ, yo vijñānasya vyayo na tad vijñānam, evaṃ	vedanAyAH saMjQAyAH saMskArANAn, yaH vijQAnasya vyayaH na tat vijQAnam, evam
   vyastasamasteṣu skandhadhātvāyatanapratītyasamutpādaśūnyatāsu bodhipakṣesu	vyasta samastezu skanDa DAtu Ayatana pratItyasamutpAda SUnyatAsu boDi pakzesu
   dharmeṣv abhijñāpāramitāpramāṇadhyānārūpyasamāpattiṣu	Darmezu aBijQA pAramitA pramANa DyAna ArUpya samApattizu
   daśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmeṣu samādhidhāraṇīmukheṣu	daSa bala vESAradya pratisaMvid AveNika budDa Darmezu samADi DAraNI muKezu
   yāvad yaḥ sarvākārajñatāyā vyayo na sā sarvākārajñatā.	yAvat yaH sarva AkAra jQa tAyAH vyayaH na sA sarva AkAra jQa tA.
   śāriputra āha: kena kāraṇenāyuṣman subhūte evaṃ vadasi, yad idam ucyate	SAriputraH Aha: kena kAraNena Ayuzman suBUte evam vadasi, yat idam ucyate
   rūpam ity advayasyaiṣā gaṇanā kṛteti, vedanā saṃjñā saṃskārāḥ, yad idam	rUpam iti advayasya ezA gaNanA kRtA iti, vedanA saMjQA saMskArAH, yat idam
   ucyate vijñānam ity advayasyaiṣā gaṇanā kṛteti, yāvad yad idam ucyate	ucyate vijQAnam iti advayasya ezA gaNanA kRtA iti, yAvat yat idam ucyate
   sarvākārajñatety advayasyaiṣā gaṇanā kṛteti.	sarva AkAra jQa tA iti advayasya ezA gaNanA kRtA iti.
   subhūtir āha: tathā hy āyuṣman śāriputra nānyo 'nutpādo 'nyad rūpam,	suBUtiH Aha: taTA hi Ayuzman SAriputra na anyaH anutpAdaH anyat rUpam ,
   anutpāda eva rūpaṃ, rūpam evānutpādaḥ, vedanā saṃjñā (PvsP1 2: 162)	anutpAdaH eva rUpaM, rUpam eva anutpAdaH, vedanA saMjQA (Pu sP1 2: 162)
   saṃskārā, nānyo 'nutpādo 'nyad vijñānaṃ, vijñānam evānutpādo 'nutpāda eva	saMskArA, na anyaH anutpAdaH anyat vijQAnaM, vijQAnam eva anutpAdaH anutpAdaH eva
   vijñānam, anenāyuṣman śāriputra paryāyeṇa yad etad ucyate rūpam ity	vijQAnam, anena Ayuzman SAriputra paryAyeNa yat etat ucyate rUpam iti 
   advayasyaiṣā gaṇanā kṛtā, vedanā saṃjñā saṃskārā, yad etad ucyate vijñānam	advayasya ezA gaNanA kRtA, vedanA saMjQA saMskArA, yat etat ucyate vijQAnam
   ity advayasyaiṣā gaṇanā kṛtā.	iti advayasya ezA gaNanA kRtA.
   evaṃ vyastasamasteṣu skandhadhātvāyatanapratītyasamutpādeṣupāramitāsu	evam vyasta samastezu skanDa DAtu Ayatana pratItyasamutpAdezu pAramitAsu
   bodhipakṣesu dharmeṣu sarvaśūnyatāsv apramāṇadhyānārūpyasamāpattiṣu	boDi pakzesu Darmezu sarva SUnyatAsu apramANa DyAna ArUpya samApattizu
   abhijñāsu baleṣu vaiśāradyeṣu pratisaṃvitsu āveṇikeṣu buddhadharmeṣu	aBijQAsu balezu vESAradyezu pratisaMvitsu AveNikezu budDa Darmezu
   samādhidhāraṇīmukheṣu tathā hy āyuṣman śāriputra nānyo 'nutpādo 'nyā	samADi DAraNI muKezu taTA hi Ayuzman SAriputra na anyaH anutpAdaH anyA
   sarvākārajñatā anutpāda eva sarvākārajñatā, sarvākārajñataivānutpādaḥ,	sarva AkAra jQa tA anutpAdaH eva sarva AkAra jQa tA, sarva AkAra jQa tA eva anutpAdaH,
   anenāyuṣman śāriputra paryāyeṇa yad etad ucyate sarvākārajñatety	anena Ayuzman SAriputra paryAyeNa yat etat ucyate sarva AkAra jQa tA iti 
   advayasyaiṣā gaṇanā kṛtā.	advayasya ezA gaNanA kRtA.
   punar aparam āyuṣmān subhūtir bhagavantam etad avocat: yasmin samaye	punar aparam AyuzmAn suBUtiH Bagavantam etat avocat: yasmin samaye
   bhagavan bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ carann imān dharmān	Bagavan boDisattvaH mahAsattvaH prajQApAramitAyAm caran imAn DarmAn
   upaparīkṣate tasmin samaye rūpasyānutpādaṃ samanupaśyati,	upaparIkzate tasmin samaye rUpasya anutpAdam samanupaSyati,
   atyantaviśuddhitām upādāya, vedanāyāḥ saṃjñāyāḥ saṃskārāṇāṃ	atyanta viSudDi tAm upAdAya, vedanAyAH saMjQAyAH saMskArANAm
   vijñānasyānutpādaṃ samanupaśyati, atyantaviśuddhitām upādāya,	vijQAnasya anutpAdam samanupaSyati, atyanta viSudDi tAm upAdAya,
   ātmano 'nutpādaṃ samanupaśyati, atyantaviśuddhitām upādāya, evaṃ	AtmanaH anutpAdam samanupaSyati, atyanta viSudDi tAm upAdAya, evam
   sattvajīvapoṣapuruṣapudgalamanujamanavakārakavedakajānakapaśyakasyānutpādaṃ	sattva jIva poza puruza pudgala manujam anavakAraka vedaka jAnaka paSyakasya anutpAdam
   paśyati, atyantaviśuddhitām upādāya,	paSyati, atyanta viSudDi tAm upAdAya,
   evaṃ vyastasamastānāṃ skandhadhātvāyatanapratītyasamutpādābhijñānām	evam vyasta samastAnAm skanDa DAtu Ayatana pratItyasamutpAda aBijQAnAm
   anutpādaṃ paśyati, atyantaviśuddhitām upādāya,	anutpAdam paSyati, atyanta viSudDi tAm upAdAya,
   dānapāramitāyā anutpādaṃ paśyati, atyantaviśuddhitām upādāya, evaṃ	dAna pAramitAyAH anutpAdam paSyati, atyanta viSudDi tAm upAdAya, evam
   śīlapāramitāyāḥ kṣāntipāramitāyā vīryapāramitāyā dhyānapāramitāyāḥ	SIla pAramitAyAH kzAnti pAramitAyAH vIrya pAramitAyAH DyAna pAramitAyAH
   prajñāpāramitāyā anutpādaṃ paśyati, atyantaviśuddhitām upādāya,	prajQApAramitAyAH anutpAdam paSyati, atyanta viSudDi tAm upAdAya,
   adhyātmaśūnyatāyā anutpādaṃ paśyati, atyantaviśuddhitām upādāya, evaṃ	aDyAtma SUnyatAyAH anutpAdam paSyati, atyanta viSudDi tAm upAdAya, evam
   bahirdhāśūnyatāyā adhyātmabahirdhāśūnyatāyā yāvad abhāvasvabhāvaśūnyatāyā	bahirDA SUnyatAyAH aDyAtma bahirDA SUnyatAyAH yAvat aBAva svaBAva SUnyatAyA
   anutpādaṃ paśyati, atyantaviśuddhitām upādāya,	anutpAdam paSyati, atyanta viSudDi tAm upAdAya,
   smṛtyupasthānānām anutpādaṃ paśyati, atyantaviśuddhitām upādāya, evaṃ	smRti upasTAnAnAm anutpAdam paSyati, atyanta viSudDi tAm upAdAya, evam
   samyakprahāṇarddhipādendriyabalabodhyaṅgamārgābhijñāpramāṇadhyānārūpyasamāpattīnāṃ	samyak prahANa RdDi pAda indriya bala boDi aFga mArga aBijQA pramANa DyAna ArUpya samApattInAm
   daśabalavaiśāradyapratisaṃvitsamādhidhāraṇīmukhāṣṭādaśāveṇikabuddhadharmāṇāṃ	daSa bala vESAradya pratisaMvid samADi DAraNI muKa azwAdaSA veNika budDa DarmANAm
   sarvākārajñatāyā anutpādaṃ paśyati, atyantaviśuddhitām upādāya,	sarva AkAra jQa tAyAH anutpAdam paSyati, atyanta viSudDi tAm upAdAya,
   pṛthagjanasyānutpādaṃ paśyati, atyantaviśuddhitām upādāya,	pRTagjanasya anutpAdam paSyati, atyanta viSudDi tAm upAdAya,
   pṛthagjanadharmāṇām (PvsP1 2: 163) anutpādaṃ paśyati, atyantaviśuddhitām	pRTagjana DarmANAm (PvsP1 2: 163) anutpAdam paSyati, atyanta viSudDi tAm
   upādāya, evaṃ srotaāpannasya srotaāpannadharmāṇāṃ sakṛdāgāminaḥ	upAdAya, evam srotaApannasya srotaApanna DarmANAm sakRdAgAminaH
   sakṛdāgāmidharmāṇām anāgāmino 'nāgāmidharmāṇām arhato 'rhaddharmāṇāṃ	sakRdAgAmi DarmANAm anAgAminaH anAgAmi DarmANAm arhataH arhat DarmANAm
   pratyekabuddhasya pratyekabuddhadharmāṇāṃ bodhisattvasya	pratyekabudDasya pratyekabudDa DarmANAm boDisattvasya
   bodhisattvadharmāṇāṃ buddhasyānutpādaṃ samanupaśyati, atyantaviśuddhitām	boDisattva DarmANAm budDasya anutpAdam samanupaSyati, atyanta viSudDi tAm
   upādāya, buddhadharmāṇām anutpādaṃ samanupaśyati, atyantaviśuddhitām	upAdAya, budDa DarmANAm anutpAdam samanupaSyati, atyanta viSudDi tAm
   upādāya.	upAdAya.
   śāriputra āha: yathāham āyuṣmataḥ subhūter bhāṣitasyārtham ājānāmi tathā	SAriputraH Aha: yaTA aham AyuzmataH suBUteH BAzitasya arTam AjAnAmi taTA
   rūpam anutpādo vedanā saṃjñā saṃskārā vijñānam anutpādo yāvad vyastā	rUpam anutpAdaH vedanA saMjQA saMskArAH vijQAnam anutpAdaH yAvat vyastA
   samastā skandhā anutpādo dhātavo 'nutpāda āyatanāny anutpādaḥ	samastA skanDAH anutpAdaH DAtavaH anutpAdaH AyatanAni anutpAdaH
   pratītyasamutpādo 'py anutpādaḥ pāramitānutpādaḥ sarvaśūnyatānutpādaḥ	pratItyasamutpAdaH api anutpAdaH pAramitA anutpAdaH sarva SUnyatA anutpAdaH
   saptatriṃśad bodhipakṣā dharmā anutpādo 'pramāṇadhyānārūpyasamāpattayo	saptatriMSat boDi pakzAH DarmAH anutpAdaH apramANa DyAna ArUpya samApattayo
   'nutpādaḥ, samādhidhāraṇīmukhāni anutpādo daśabalavaiśāradyapratisaṃvido	anutpAdaH, samADi DAraNI muKAni anutpAdaH daSa bala vESAradya pratisaMvidaH 
   'nutpādaḥ, aṣṭādaśāveṇikā buddhadharmā anutpādaḥ sarvākārajñatā anutpādaḥ	anutpAdaH, azwAdaSa AveNikAH budDa DarmAH anutpAdaH sarva AkAra jQa tA anutpAdaH
   pṛthagjano 'nutpādaḥ pṛthagjanadharmā anutpādaḥ, evaṃ srotaāpannaḥ	pRTagjanaH anutpAdaH pRTagjana DarmAH anutpAdaH, evam srotaApannaH
   srotaāpannadharmāḥ sakṛdāgāmīsakṛdāgāmidharmāḥ anāgāmī anāgāmidharmā	srotaApanna DarmAH sakRdAgAmI sakRdAgAmi DarmAH anAgAmI anAgAmi DarmA
   arhann arhaddharmā pratyekabuddhaḥ pratyekabuddhadharmā bodhisattvo	arhan arhat DarmA pratyekabudDaH pratyekabudDa DarmAH boDisattvaH 
   bodhisattvadharmā buddho 'nutpādo buddhadharmā anutpādaḥ.	boDisattva DarmAH budDaH anutpAdaH budDa DarmAH anutpAdaH.
