   Abhinavagupta: Mālinīślokavārttika	ABinava-gupta: MAlinISloka-vArttika
   tadaṅgaṃ vā tadvipakṣe parapakṣe paraṃ ca vā // 2.282 //	tad-aFgam vA tad-vipakze para-pakze param ca vA // 2.282 //
   api tattadvipakṣāṃśasamudbhāvanabhājanam	api tad-tad-vipakza-aMSa-samudBAvana-BAjanam
   tathocitaśarīrādes tathā saṃskārabhāginaḥ // 2.283 //	taTA-ucita-SarIra-AdeH taTA saMskAra-BAginaH // 2.283 //
   guroḥ śiṣyasya cāpy uktas tādṛśo 'dhikriyākramaḥ	guroH Sizyasya ca-api uktaH tAdRSaH aDikriyA-kramaH
   tathā ca mṛtyuvidhvaṃsirasāyanavidhiṃ śritaḥ // 2.284 //	taTA ca mRtyu-viDvaMsi-rasAyana-viDim SritaH // 2.284 //
   pūrvaṃ saṃskāralābhāya kvāthavāntivirecanaiḥ	pUrvam saMskAra-lABAya kvATa-vAnti-virecanEH
   dīkṣayā yā ca vikṛtiḥ nottaratra kriyāvidhau // 2.285 //	dIkzayA yA ca vikRtiH na-uttaratra kriyA-viDO // 2.285 //
   tenādhikāriniyamas taddehavidaśādijaḥ	tena-aDikAri-niyamaH tad-deha-vidaSa-Adi-jaH
   tenocyate vaiṣṇavādyāḥ paśuśāsanasaṃśritāḥ // 2.286 //	tena-ucyate vEzNava-AdyAH paSu-SAsana-saMSritAH // 2.286 //
   na śaive 'dhikṛtās tantre na śaivā vāmagocare	na SEve aDikRtAH tantre na SEvAH vAma-gocare
   te 'pi no dakṣiṇe te 'pi na syuḥ kulamate trike // 2.287 //	te api naH dakziNe te api na syuH kula-mate trike // 2.287 //
   uktaṃ śrībhairavakule pañcadīkṣākriyocitaḥ	uktam SrI-BErava-kule paQca-dIkzA-kriyA-ucitaH
   gurur ullaṅghitādhastyasrotā vā trikaśāstragaḥ // 2.288 //	guruH ullaFGita-aDastya-srotAH vA trika-SAstra-gaH // 2.288 //
   ittham ekādhikāritvam ātmatattvasamāśrayāt	itTam eka-aDikAri-tvam Atma-tattva-samASrayAt-
   saṃskārāśraya .... bhedād bhinnādhikāritā // 2.289 //	saMskAra-ASrayaH .... BedAt Binna-aDikAritAH // 2.289 //
   svacchandatantre tenoktaṃ sarvaśāstre śivaḥ phalam	svacCanda-tantre tena-uktam sarva-SAstre SivaH Palam
   yataḥ śivodbhavāḥ sarve śivadhāmaphalā iti // 2.290 //	yatas Siva-udBavAH sarve Siva-DAma-PalAH iti // 2.290 //
   tatraiva ca punaḥ proktam ūrdhvatattvavivecane	tatra-eva ca punar proktam UrDva-tattva-vivecane
   yan na sāṃkhyair na yogīndrair na priye pāñcarātrikaiḥ // 2.291 //	yat na sAMKyEH na yogi-indrEH na priye pAQcarAtrikEH // 2.291 //
   iyādi yāvad ākṣiptaṃ vādināṃ tu śatatrayam	iyA-Adi yAvat Akziptam vAdinAm tu Sata-trayam
   triṣaṣṭyā cādhikaṃ te hi tāvanmātravivecakāḥ // 2.292 //	trizazwyA ca-aDikam te hi tAvat-mAtra-vivecakAH // 2.292 //
   kathaṃ syur aparicchinnaśivatattvavidātmakāḥ	kaTam syuH aparicCinna-Siva-tattva-vid-AtmakAH
   atha tatrāṃśamātre 'pi śivasadbhāvam eva te // 2.293 //	aTa tatra-aMSa-mAtre api Siva-sadBAvam eva te // 2.293 //
   āropayeyus tat tāvan naiva suspaṣṭasaṃgati	AropayeyuH tat tAvat na-eva su-spazwa-saMgati
   devadattādivākye hi sarvataḥ pūrṇavigrahe // 2.294 //	deva-datta-Adi-vAkye hi sarvatas pUrNa-vigrahe // 2.294 //
   devadattapadaśrotā tāvanmātrapade katham	deva-datta-pada-SrotA tAvat-mAtra-pade kaTam
   samagrapūrvavākyānāṃ samāropaṃ kariṣyati // 2.295 //	samagra-pUrva-vAkyAnAm samAropam karizyati // 2.295 //
   kathaṃ cādhigamas tasya tāvato 'rthasya vākyataḥ	kaTam ca-aDigamaH tasya tAvataH arTasya vAkyataH
   tasmād eveti cet tarhi na padaśrotṛtā na ca // 2.296 //	tasmAt eva-iti ced tarhi na pada-SrotRtA na ca // 2.296 //
   tāvanmātrasya so 'sty artha itthaṃ prakṛtigocare	tAvat-mAtrasya saH asti arTaH itTam prakRti-gocare
   samagraśivaśāstrārthajñaptyā saṃpūrṇarūpayā // 2.297 //	samagra-Siva-SAstra-arTa-jQaptyA saMpUrNa-rUpayA // 2.297 //
   yogasāṃkhyārhatanyāyapāñcarātraśrutismṛtīḥ	yoga-sAMKya-arhata-nyAya-pAQcarAtra-Sruti-smRtIH
   yady eva śivatattvena saṃpūrṇaṃ parikalpayet // 2.298 //	yadi eva Sivatattvena saMpUrNam parikalpayet // 2.298 //
   tāvad astu na tu sphāras tāvāṃs tatreti carcitam	tAvat astu na tu sPAraH tAvAn tatra-iti carcitam
   jñaptiś ca śivatattvasya tatsaṃskārapuraḥsarā // 2.299 //	jQaptiH ca Sivatattvasya tad-saMskAra-puraHsarAH // 2.299 //
   anyathā pratyavāyaḥ syād upadeṣṭrupadeśyayoḥ	anyaTA pratyavAyaH syAt upadezwR-upadeSyayoH
   tatsaṃskāragrahaś cet syāt kāmaṃ śāstrārtha īdṛśaḥ // 2.300 //	tad-saMskAra-grahaH ced syAt kAmam SAstra-arTaH IdRSaH // 2.300 //
   na tu vaiṣṇavatā tasya sāṃkhyatā śrautatāpi vā	na tu vEzNava-tA tasya sAMKya-tA SrOta-tA-api vA
   anyasaṃskāram ūrdhvordhaṃ gṛhītvāpy anutiṣṭhati // 2.301 //	anya-saMskAram UrDva-UrDam gRhItvA-api anutizWati // 2.301 //
   vaiṣṇavādy eva tarhy asya pratyavāyo mahattaraḥ	vEzNava-Adi eva tarhi asya pratyavAyaH mahattaraH
   nanv advayapade 'muṣmin keyaṃ mukhyā prakalpanā // 2.302 //	nanu advaya-pade amuzmin kA-iyam muKyA prakalpanA // 2.302 //
   kiṃ brūṣe svayam eva tvaṃ bhedopahatavṛttikaḥ	kim brUze svayam eva tvam Beda-upahata-vRttikaH
   etad eva paraṃ dvaitaṃ bhavān eva saṃśritaḥ // 2.303 //	etat eva param dvEtam BavAn eva saMSritaH // 2.303 //
   yad ahaṃ vaiṣṇavo bhūṣṇuḥ śaive kiṃ nādhikāravān	yat aham vEzNavaH BUzNuH SEve kim na-aDikAravAn
   tat svayaṃ bhedamūḍhas tvaṃ bhede ca niyater balāt // 2.304 //	tat svayam Beda-mUXaH tvam Bede ca niyateH balAt // 2.304 //
   tatas taiḥ pratyavāyaḥ syād yoga ity upapāditam	tatas tEH pratyavAyaH syAt yogaH iti upapAditam
   kiṃ ca tādātmyayogena devatā pūjyate tataḥ // 2.305 //	kim ca tAdAtmya-yogena devatA pUjyate tatas // 2.305 //
   viṣṇutādātmyam āpannaḥ kathaṃ rudraṃ prapūjayet	vizNu-tAdAtmyam ApannaH kaTam rudram prapUjayet-
   gītāsu ca tato gītaṃ yo yac chraddhaḥ sa eva saḥ // 2.306 //	gItAsu ca tatas gItam yaH yat SradDaH saH eva saH // 2.306 //
   tādātmyabhāvanā yogāḥ phalaṃ mantrāḥ sva }}	tAdAtmya-BAvanAH yogAH Palam mantrAH sve }}
   dadyus tadbhāvitātmātaḥ phalakāmasya siddhidaḥ // 2.307 //	dadyuH tad-BAvita-AtmAtaH Pala-kAmasya sidDi-daH // 2.307 //
   mokṣakāmasya tac chāstramokṣalipsor api sphuṭam	mokza-kAmasya tat SAstra-mokza-lipsoH api sPuwam
   taddoṣabhāvanākrāntaḥ kṣamas tāvati yojane // 2.308 //	tad-doza-BAvanA-AkrAntaH kzamaH tAvati yojane // 2.308 //
   mukhyas tāvad ayaṃ kalpo yo yatraiva pratiṣṭhitaḥ	muKyaH tAvat ayam kalpaH yaH yatra-eva pratizWitaH
   nityaṃ tādātmyam āpannaḥ sa tatrādhikṛtas tv iti // 2.309 //	nityam tAdAtmyam ApannaH sa tatra-aDikRtaH tu iti // 2.309 //
   ata eva tato grāhyaṃ jñānam ity abhidhīyate	atas eva tatas grAhyam jQAnam iti aBiDIyate
   sa hi tādātmyam āpannas tadbhāvanavidhikramāt // 2.310 //	sa hi tAdAtmyam ApannaH tad-BAvana-viDi-kramAt // 2.310 //
   śiṣyas tadaiva śāstraṃ tu gṛhṇan pūrvāparakramāt	SizyaH tadA-eva SAstram tu gRhNan pUrva-apara-kramAt-
   kathaṃ svabuddhyā saṃdhattāṃ tāvad yat tena saṃhitam // 2.311 //	kaTam sva-budDyA saMDattAm tAvat yat tena saMhitam // 2.311 //
   yas tu saṃdhātum īheta sa sākṣāt parameśvaraḥ	yaH tu saMDAtum Iheta sa sAkzAt parameSvaraH
   tasya kiṃ vā guruḥ kuryāt so 'nyeṣāṃ gurur ucyate // 2.312 //	tasya kim vA guruH kuryAt saH anyezAm guruH ucyate // 2.312 //
   nānyato vedavidbhyaś cetyata eva hi manvate	na-anyatas veda-vidByaH ca-iti-atas eva hi manvate
   tasmāt tādātmyam āpanno gurur ity abhidhīyate // 2.313 //	tasmAt tAdAtmyam ApannaH guruH iti aBiDIyate // 2.313 //
   sa ca yāvati yatraiva tatra tāvati nānyathā	sa ca yAvati yatra-eva tatra tAvati na-anyaTA
   nanu vaiṣṇavaśāstrārthas tatkālaṃ śivabhāvanāt // 2.314 //	nanu vEzNava-SAstra-arTaH tad-kAlam Siva-BAvanAt // 2.314 //
   tādātmyaṃ gurutāṃ hanti pūrṇadhīḥ pralapaty ayam	tAdAtmyam gurutAm hanti pUrNa-DIH pralapati ayam
   rāmarāvaṇanāṭyeṣu nahy etā naṭabhūmikāḥ // 2.315 //	rAma-rAvaNa-nAwyezu na-hi etAH nawa-BUmikAH // 2.315 //
   nepathyādiparāvṛttyā yenānyatvaṃ prapadyate	nepaTyAdi-parAvRttyA yena-anya-tvam prapadyate
   vaiṣṇavo viṣṇur evāhaṃ taddāso veti carcayan // 2.316 //	vEzNavaH vizNuH eva-aham tat-dAsaH vA-iti carcayan // 2.316 //
   idānīṃ na tathāsmīti kim etat susamañjasam	idAnIm na taTA-asmi-iti kim etat su-samaQjasam
   atra hy ekatamā saṃvin mithyājñānatvam aśnute // 2.317 //	atra hi ekatamA saMvid miTyAjQAna-tvam aSnute // 2.317 //
   yayā sa eva patitaḥ śiṣyo vā patito bhavet	yayA saH eva patitaH SizyaH vA patitaH Bavet-
   tasmān mukhyo hy ayaṃ kalpaḥ pratiśāstraṃ gurur guruḥ // 2.318 //	tasmAt muKyaH hi ayam kalpaH pratiSAstram guruH guruH // 2.318 //
   uktaṃ svatantraśāstreṣu nāsau siddhiphalapradaḥ	uktam svatantra-SAstrezu na-asO sidDi-Pala-pradaH
   anyaśāstrarato yaḥ syāt tacchāstranirato 'pi vā // 2.319 //	anya-SAstra-rataH yaH syAt tad-SAstra-nirataH api vA // 2.319 //
   loke 'pi yāvad īdṛkṣaḥ pravādo jyotirādike	loke api yAvat IdRkzaH pravAdaH jyotiH-Adike
   viṣṇor bhāgavatā magāś ca savituḥ śāṃbhor jaṭābhasmino	vizNoH BAgavatAH magAH ca savituH SAMBoH jawA-BasminaH-
   māt-ṛṇām atha mātṛmaṇḍalavido viprās tv atha brahmaṇaḥ	mAt-RNAm aTa mAtR-maNxala-vidaH viprAH tu aTa brahmaNaH
   śākyāḥ sattvahitasya buddhavapuṣo nagnās tathaivārhato	SAkyAH sattva-hitasya budDa-vapuzaH nagnAH taTA-eva-arhataH-
   yo yair deva upāsyate svavidhinā tais tasya kāryā kriyā // 2.320 //	yaH yEH devaH upAsyate sva-viDinA tEH tasya kAryA kriyA // 2.320 //
   ata evādhikajñānaśālī saṃnihito yadi	atas eva-aDika-jQAna-SAlI saMnihitaH yadi
   deśe tatra bhaven nānā nādhikārasya bhājanam // 2.321 //	deSe tatra Bavet nAnA na-aDikArasya BAjanam // 2.321 //
   yas tv asmin pūrṇasaṃbodhe rūḍho vāstavaśāsane	yaH tu asmin pUrNa-saMboDe rUXaH vAstava-SAsane
   uttarottararūḍhyarthaṃ śiśoḥ karaṇamānasam (?) // 2.322 //	uttarottara-rUXi-arTam SiSoH karaNa-mAnasam (?) // 2.322 //
   phalasaṃpattaye vāpi bhāvāṃśavaśaśālinaḥ	Pala-saMpattaye vA-api BAva-aMSa-vaSa-SAlinaH
   anugrahaṃ sa vai kuryāt pūrṇatvād ūrdhvavṛttitaḥ // 2.323 //	anugraham sa vE kuryAt pUrNa-tvAt UrDva-vRttitaH // 2.323 //
   nanv advaye kim ūrdhvaṃ syān na kiṃcid bhedamohitāḥ	nanu advaye kim UrDvam syAt na kiMcid Beda-mohitAH
   bhavatas tv adharāvasthā bheda evadharo yataḥ // 2.324 //	BavataH tu aDara-avasTAH BedaH eva-DaraH yatas // 2.324 //
   tasmād ye kecanānye syuḥ paśuśāsanavartinaḥ	tasmAt ye kecana-anye syuH paSu-SAsana-vartinaH
   vaiṣṇavāḥ saugatāḥ śrautās tathā śrutyantavādinaḥ // 2.325 //	vEzNavAH sOgatAH SrOtAH taTA Sruti-anta-vAdinaH // 2.325 //
   ityādayo nādhikṛtā jātucit patiśāsane	ityAdayaH na-aDikRtA jAtucit pati-SAsane
   uktavān yatra śāstreṣv apy adhikārivivecane // 2.326 //	uktavAn yatra SAstrezu api aDikAri-vivecane // 2.326 //
   yo vaiṣṇavo manuṃ dadyāc chaivaṃ mūḍhamatiḥ śiśoḥ	yaH vEzNavaH manum dadyAt SEvam mUXa-matiH SiSoH
   taṃ pāpaṃ vañcakaṃ tyaktvā śiśur nyāyyaṃ samācaret // 2.327 //	tam pApam vaQcakam tyaktvA SiSuH nyAyyam samAcaret // 2.327 //
   ihāpy uktaṃ mokṣadaḥ syāt svabhyastajñānavān iti	iha-api uktam mokza-daH syAt su-aByasta-jQAnavAn iti
   abhyastaṃ ca paraṃ jñānaṃ yato nāsty eva vicyutiḥ // 2.328 //	aByastam ca param jQAnam yatas na-asti eva vicyutiH // 2.328 //
   paramādvayavijñānān na khalv apy asti vicyutiḥ	parama-advaya-vijQAnAt na Kalu api asti vicyutiH
   svātmapakṣasthitāśeṣajñānanirbharavṛttikaḥ // 2.329 //	sva-Atma-pakza-sTita-aSeza-jQAna-nirBara-vRttikaH // 2.329 //
   kathaṃ ko vā kuto vāpi cyavatāṃ tiṣṭhatu kva vā	kaTam kaH vA kutas vA-api cyavatAm tizWatu kva vA
   itthaṃ ya eṣa śāstrārthaḥ sthitaḥ śaktiprabhāvataḥ // 2.330 //	itTam yaH eza SAstra-arTaH sTitaH Sakti-praBAvataH // 2.330 //
   antaḥkṛtāśeṣatattvavarṇādibharanirbharaḥ	antar-kRta-aSeza-tattva-varNa-Adi-Bara-nirBaraH
   sarvābhidho bhairavātmā so 'yam eva svarūpabhāk // 2.331 //	sarva-aBiDaH BErava-AtmA saH ayam eva sva-rUpa-BAj // 2.331 //
   śāstre 'smin parameśena jñānacandrākhyayā kṛtaḥ	SAstre asmin parameSena jQAnacandra-AKyayA kRtaH
   tadvyākhyātam idaṃ prasannagahanaṃ vākyaṃ mayā svāgama-	tat-vyAKyAtam idam prasanna-gahanam vAkyam mayA sva-Agama-
   prāmāṇyapratipādanakramavaśāt tattatprasaṅgād api	prAmANya-pratipAdana-krama-vaSAt tad-tad-prasaFgAt api
   atrārūḍhadhiyāṃ pramāṇamahimā viśvādvayoddāmito	atra-ArUXa-DiyAm pramANa-mahimA viSvA-dvaya-uddAmitaH-
   bhātīti svayam eva satyahṛdayā jñāsyanti kiṃ ślāghitaiḥ // 2.332 //	BAti-iti svayam eva satya-hRdayAH jQAsyanti kim SlAGitEH // 2.332 //
   ye samyak pravicāriṇo nanu śivāḥ kas tān prati prodyamaḥ	ye samyak pravicAriNaH nanu SivAH kaH tAn prati prodyamaH
   kiṃ tair ye pravimarśadūraśikharārohakrame paṅgavaḥ	kim tEH ye pravimarSa-dUra-SiKara-Aroha-krame paFgavaH
   pāṣāṇāyitavṛttayaḥ punar amī ye śāstravandhyā narāḥ	pAzANAyita-vRttayaH punar amI ye SAstra-vanDyAH narAH
   saṃrambhaḥ pralayambudher iva tataḥ svātmany ayaṃ ghūrṇate // 2.333 //	saMramBaH pralayambuDeH iva tatas sva-Atmani ayam GUrNate // 2.333 //
   saṃśāmya svayam ātmani tyaja javāj jvālājaṭāḍambarān	saMSAmya svayam Atmani tyaja javAt jvAlA-jawa-AxambarAn
   bhoḥ kalpānala dāhyam asti bhavato nādyāpi kiñcid yataḥ	BoH kalpa-anala dAhyam asti BavataH na-adya-api kiQcid yatas-
   tvatprollāsavighūrṇanāghanaghuradghorasphuliṅgaśatair	tvad-prollAsa-viGUrNanAGana-Gurat-Gora-sPuliFga-SatEH-
   viśvaṃ vyāpya vilīnatāṃ gatam idaṃ drāk tvatprakāśātmakam // 2.334 //	viSvam vyApya vilIna-tAm gatam idam drAk tvad-prakASa-Atmakam // 2.334 //
   pravarapuranāmadheye pure pūrve kāśmīriko 'bhinavaguptaḥ	pravara-pura-nAmaDeye pure pUrve kASmIrikaH aBinavaguptaH
   mālinyādimavākye vārttikam etad racayati sma // 2.335 //	mAlinya-Adima-vAkye vArttikam etat racayati sma // 2.335 //
