   dvitīya uddyotaḥ	dvitIyaH uddyotaH
   tathā ca sasandehādiṣūpamārūpakātiśayoktīnāṃ prakāśamānatvaṃ	taTA ca sa sandeha Adizu upamArUpaka atiSaya uktInAm prakASamAna tvam
   pradarśitāmityalaṅkārāntarasyālaṅkārāntare vyaṅgyatvaṃ na yatnapratipādyam	pradarSitAm iti alaFkAra antarasya alaFkAra antare vyaFgya tvam na yatna pratipAdyam
   locanam tu ko 'laṅkāro bhātītyāśaṅkābījam /	locanam tu kaH alaFkAraH BAti iti ASaFkA bIjam /
   sarva iti pradarśita iti ca padenāsambhāvanātra mithyaivetyāha /	sarve iti pradarSitaH iti ca padena asamBAvanA atra miTyA eva iti Aha /
   upamānena tattvaṃ ca bhedaṃ ca vadataḥ punaḥ /	upamAnena tattvam ca Bedam ca vadataH punar /
   sasandehaṃ vacaḥ stutyai samandehaṃ viduryathā //	sa sandeham vacaH stutyE samandeham viduH yaTA //
   iti /	iti /
   tasyāḥ pāṇirayaṃ nu mārutacalatpatrrāṅguliḥ pallavaḥ ityādāvṛpamā rūpakaṃ	tasyAH pANiH ayam nu mAruta calat patrra aFguliH pallavaH iti AdA= RpamA rUpakam
   vā dhvanyate /	vA Dvanyate /
   atiśayokteśca prāyaśaḥ sarvālaṅkāreṣu dhvanyamānatvam /	atiSaya ukteH ca prAyaSas sarva alaFkArezu DvanyamAna tvam /
   alaṅkārāntarasyeti /	alaFkAra antarasya iti /
   yatrālaṅkāro 'pyalaṅkārāntaraṃ dhvanati tatra vastumātreṇālaṅkāro	yatra alaFkAraH api alaFkAra antaram Dvanati tatra vastu mAtreNa alaFkAraH 
   dhvanyata iti kiyadidamasambhāvyamiti tātparyoṇālaṅkārāntaraśabdo	Dvanyate iti kiyat idama samBAvyam iti tAtparyoNa alaFkAra antara SabdaH 
   vṛttikṛtā prayukto na tu prakṛtopayogī; na hyalaṅkāreṇālaṅkāro dhvanyata	vRtti kRtA prayuktaH na tu prakRta upayogI; na hi alaFkAreNa alaFkAraH Dvanyata
   iti prakṛtabhadaḥ, arthaśaktyudbhave dhvanau vastvivālaṅkāro 'pi vyaṅgya	iti prakRta BadaH, arTa Sakti udBave DvanO vastu iva alaFkAraH api vyaFgya
   ityetāvataḥ prakṛtatvāt /	iti etAvataH prakRta tvAt /
   tathā copasaṃhāragranthe bālapriyā tathā ca	taTA ca upasaMhAra granTe bAlapriyA taTA ca
   sasandehādiṣvityādivṛttigrandhaṃ vivṛṇoti   upamānenetyādi /	sa sandeha Adizu ityAdi vRtti granDam vivRNoti   upamAnena ityAdi /
   lakṣaṇabhidamudbhaṭoktam /	lakzaNa Bidam udBawa uktam /
   tattvamiti /	tattvam iti /
   abhedamityarthaḥ /	aBedam iti arTaH /
   bhedaṃ vaidharmyamupameyasyeti śeṣaḥ /	Bedam vEDarmyam upameyasya iti SezaH /
   vadataḥ varṇayataḥ kaveḥ /	vadataH varNayataH kaveH /
   itīti /	iti iti /
   'alaṅkarāntaracchāyā'mityādikārikayā bhedānupanibandhanaghaṭitamapi	aalaFkara antara= CAyA amiti Adi kArikayA BedAn upanibanDana Gawitam api
   lakṣitaṃ tasyopalakṣaṇamidam /	lakzitam tasya upalakzaNam idam /
   tasyā iti /	tasyAH iti /
   ślokasyāsya sampūrṇasyānavagamādyathābhātaṃ vyākhyāyate   ayaṃ tasyāḥ	Slokasya asya sampUrNasya anavagamAt yaTABAtam vyAKyAyate   ayam tasyAH
   pāṇiḥ pallavaḥ nu itati yojanā /	pANiH pallavaH nu itati yojanA /
   nu iti saṃśaye /	nu iti saMSaye /
   ubhayasādhāraṇam  mārutetyādi /	uBaya sADAraNam   mAruta ityAdi /
   mārutacalatpatrāṇeyevāṅgulayo yasya saḥ /	mAruta calat patrANeya iva aFgulayaH yasya saH /
   aṅgulīnāṃ calatvamarthāt sidhyati /	aFgulInAm cala tvam arTAt siDyati /
   'upamārūpakātiśayoktīnāṃ' ityatretaretarayogo na vivakṣita	aupamArUpaka atiSayoktInAma iti atra itara itara yogaH na vivakzita
   ityāśayenāha   upamārūpakaṃ veti /	iti ASayena Aha   upamArUpakam vA iti /
   atiśayokteśceti /	atiSaya ukteH ca iti /
   etattṛtīyodyote vakṣyate /	etat tRtIya udyote vakzyate /
   'ityalaṅkārāntarasye'tyādigrantho yathāśrute prakṛtāsaṅgata	aiti alaFkAra antarasye atyAdi granTaH yaTASrute prakRta asaFgata
   ityatastadbhāvārthamāha   yatretyādi /	iti atas tad BAva arTam Aha   yatra ityAdi /
   yatra kāvye /	yatra kAvye /
   yadvā   yataḥ tatra tatkāvye /	yat vA   yataH tatra tad kAvye /
   yadvā   tataḥ itīdamityanvayaḥ /	yat vA   tatas iti idam iti anvayaH /
   kiyadityādi /	kiyat ityAdi /
   asambhāvyaṃ netyarthaḥ /	asamBAvyam na iti arTaH /
   alaṅkārāntaraśabdaḥ saptamyantālaṅkārāntaraśabdaḥ /	alaFkAra antara SabdaH saptamI anta alaFkAra antara SabdaH /
   'na tu prakṛtopayogī'tyatra hetumāha   na hītyādi /	ana tu prakRta upayogI atyatra hetum Aha   na hi ityAdi /
   tarhi kiṃ iyatpunarucyata eva   	tarhi kim iyat punar ucyate eva   
   alaṅkārāntarasyāpi pratītau yatra bhāsate /	alaFkAra antarasya api pratItO yatra BAsate /
   tat paratvaṃ na vācyasya nāsau mārgo dhvaner mataḥ // DhvK_2.27 //	tat  para tvam na vAcyasya na asO mArgaH DvaneH mataH // DhvK_2.27 //
   alaṅkārāntarasyāpi pratītau yatra bhāsate /	alaFkAra antarasya api pratItO yatra BAsate /
   tatparatvaṃ na vācyasya nāsau mārgo dhvanermataḥ // 27 //	tad paratvam na vAcyasya na asO mArgaH DvaneH mataH // 27 //
   alaṅkārāntareṣu tvanuraṇanarūpālaṅkārapratītau satyāmapi yatra vācyasya	alaFkAra antarezu tu anuraNana rUpa alaFkAra pratItO satyAm api yatra vAcyasya
   vyaṅgyapratipādanaunmukhyena cārutvaṃ na prakāśate nāsau dhvanermārgaḥ /	vyaFgya pratipAdana OnmuKyena cAru tvam na prakASate na asO DvaneH mArgaH /
   tathā ca dīpakādāvalaṅkāre upamāyā gamyamānatve 'pi tatparatvena	taTA ca dIpaka AdO= alaFkAre upamAyAH gamyamAna tve api tad paratvena
   cārutvasyāvyavasthānānna dhvanivyapadeśaḥ /	cAru tvasya avyavasTAnAt na Dvani vyapadeSaH /
   yathā     	yaTA     
   candamaūehi ṇisā ṇalini kamalehi kusumagucchehi laā /	candamaUehi NisA Nalini kamala ihi kusumagucCehi laAH /
   locanam 'te 'laṅkārāḥ parāṃ chāyāṃ yānti dhvanyaṅgatāṃ gatāḥ' ityatra	locanam ate alaFkArAH parAm CAyAm yAnti Dvani aFga tAm gatAH a iti atra
   śleke vṛttikṛt 'dhvanyaṅgatā cobhobhyāṃ prākarābhyāṃ' ityupakramya	Sleke vRtti kRt aDvani aFga tA ca uBoByAm prAkarAByAma iti upakramya
   'tatreha prakāraṇādvyaṅgyatvenetyavagantavyam' iti vakṣyati /	atatra iha prakAraNAt vyaFgya tvena iti avagantavyam a iti vakzyati /
   antaraśabdo vobhayatrāpi viśeṣaparyāyaḥ; vaiṣayikī saptamī, na tu	antara SabdaH vA uBayatra api viSeza paryAyaH; vEzayikI saptamI, na tu
   prāgvyākhyāyāmiva nimittasaptamī /	prAc vyAKyAyAm iva nimitta saptamI /
   tadayamarthaḥ   vācyālaṅkāraviśeṣaviṣaye vyaṅgyālaṅkāraviśeṣo	tat ayam arTaH   vAcya alaFkAra viSeza vizaye vyaFgya alaFkAra viSezaH 
   bhātītyudbhaṭādibhiruktamevetyarthaśaktyālaṅkāro vyajyata iti	BAti iti udBawa AdiBiH uktam eva iti arTa SaktyA alaFkAraH vyajyate iti
   tairupagatameva /	tEH upagatam eva /
   kevalaṃ te 'laṅkāralakṣaṇakāratvadvācyalaṅkāraviśeṣaviṣayatvenāhuriti	kevalam te alaFkAra lakzaNa kAra tvat vAcI alaFkAra viSeza vizaya tvena AhuH iti
   bhāvaḥ // 2.6 //	BAvaH // 2.6 //
   nanu pūrvaireva yadīdamuktaṃ kimarthaṃ tava yatna ityāśaṅkyāha   iyaditi /	nanu pUrvEH eva yadi idam uktam kim arTam tava yatnaH iti ASaFkya aha   iyat iti /
   asmābhiriti vākyaśeṣaḥ /	asmABiH iti vAkya SezaH /
   punaḥśabdastuduktādviśeṣadyotakaḥ /	punar SabdaH tuduktAt viSeza dyotakaH /
   candamaū iti /	candamaU iti /
   candramayūkhādīnāṃ na niśādinā vinā ko 'pi parabhāgalābhaḥ /	candra mayUKa AdInAm na niSA AdinA vinA kaH api para BAga lABaH /
   sajjanānāmapi kāvyakathāṃ vinā kīdṛśī bālapriyā	sat janAnAm api kAvya kaTAm vinA kIdRSI bAlapriyA
   prakṛtamityātrāha   arthetyādi /	prakRtam iti Atra Aha   arTa ityAdi /
   atropaṣṭambhakamāha   tathācetyādi /	atra upazwamBakam Aha    taTAca ityAdi /
   prakaraṇādvyaṅgyatveneti /	prakaraNAt vyaFgya tvena iti /
   dhvanyaṅgatetyanenāsya sambandhaḥ /	Dvani aFgatA iti anena asya sambanDaH /
   alaṅkārāntareṇa alaṅkārāntarasya vyahkyatvamityasya	alaFkAra antareNa alaFkAra antarasya vyahkya tvam iti asya
   ekālahkāranimittakamanyalaṅkārasya vyaṅgyatvamityarthamabhisandhāya	ekA lahkAra nimitta ka manyalaFkArasya vyaFgya tvam iti arTam aBisanDAya
   bhāvārthe vivṛtaḥ /	BAva arTe vivRtaH /
   atharathantarābhiprāyeṇa vivṛṇoti   antaraśabdo veti /	aTa raTantara aBiprAyeNa vivRNoti   antara SabdaH vA iti /
   viśeṣaparyāyaḥ viśeṣavācī /	viSeza paryAyaH viSeza vAcI /
   vaiṣayikī viṣayarūpārthavācikā /	vEzayikI vizaya rUpa arTa vAcikA /
   saptamīti /	saptamI iti /
   'alaṅkārāntara' ityatratyasaptamītyarthaḥ /	aalaFkAra antaraH a iti atratyasaptamI iti arTaH /
   phalitamāha   tadityādi /	Palitam Aha   tat ityAdi /
   vācyati /	vAcyati /
   vācyālaṅkāraviśeṣarūpo yo viṣayastasminnityarthaḥ /	vAcya alaFkAra viSeza rUpaH yaH vizayaH tasmin= iti arTaH /
   vācyālaṅkāraviśeṣaśālini kāvya iti yāvat /	vAcya alaFkAra viSeza SAlini kAvyaH iti yAvat /
   bhātīti /	BAti iti /
   yatā sasandehādāvupamādiḥ // 2.6 //	yatA sa sandeha AdO= upama AdiH // 2.6 //
   candretyādi /	candra ityAdi /
   atra gurvīkriyata ityasya candramayūkhairniśetyādibhiḥ pañcabhiḥ pratyekaṃ	atra gurvI kriyate iti asya candramayUKEH niSa ityAdiBiH paQcaBiH pratyekam
   sambandhaḥ /	sambanDaH /
   atra niśayā candramayūkhāḥ guravaḥ kriyante ityādivipariṇāmena padānāṃ	atra niSayA candra mayUKAH guravaH kriyante ityAdi vipariNAmena padAnAm
   sambandhādarthasāmarthyādvā pratīyamānamarthāntaraṃ	sambanDAt arTa sAmarTyAt vA pratIyamAnam arTa antaram
   darśayati   candretyādi /	darSayati   candra ityAdi /
   kīdṛśīti /	kIdRSI iti /
   haṃsehi sarasohā kavvakahā sajjanehi karai garuri //	haMsehi sa rasohA kavva kahA sajjana ihi karEH garuri //
   (candramayūkhairniśā nalinī kamalaiḥ kusumagucchairlatā /	(candra mayUKEH niSA nalinI kamalEH kusuma gucCEH latA /
   haṃsaiśśāradaśobā kāvyakathā sajjanaiḥ kriyate gurvī //	haMsEH SArada SobA kAvya kaTA sat janEH kriyate gurvI //
   iti chāyā) ityādiṣūpamāgarbhatve 'pi sati vācyālaṅkāramukhenaiva cārutvaṃ	iti CAyA) iti Adizu upamA garBa tve api sati vAcya alaFkAra muKena eva cAru tvam
   vyavatiṣṭhate na vyaṅgyālaṅkāratātparyeṇa /	vyavatizWate na vyaFgya alaFkAra tAtparyeNa /
   tasmāttatra vācyālaṅkāramukhenaiva kāvyavyapadeśo nyāyyaḥ /	tasmAt tatra vAcya alaFkAra muKena eva kAvya vyapadeSaH nyAyyaH /
   yatra tu vyaṅgyaparatvenaiva vācyasya vyavasthānaṃ tatra vyaṅgyamukhenaiva	yatra tu vyaFgya paratvena eva vAcyasya vyavasTAnam tatra vyaFgya muKena eva
   vyapadeśo yuktaḥ /	vyapadeSaH yuktaH /
   locanam sādhujanatā /	locanam sADu jana tA /
   candramayūkheśca niśāyā gurukīkaraṇaṃ bhāsvaratvasevyatvādi yatkriyate,	candra mayUKeH ca niSAyAH gurukIkaraNam BAsvara tva sevya tva Adi yat kriyate,
   kamalairnalinyāḥ śobhāparimalalakṣmyādi, kusumagucchairlatāyā	kamalEH nalinyAH SoBA parimala lakzmi Adi, kusuma gucCEH latAyAH 
   abhigamyatvamanoharatvādi, haṃsaiḥ śāradaśobhāyāḥ	aBigamya tva manohara tva Adi, haMsEH SArada SoBAyAH
   śrutisukhakaratvamanoharatvādi, tatsarvaṃ kāvyakathāyāḥ	Sruti suKa kara tva manohara tva Adi, tat sarvam kAvya kaTAyAH
   sajjanairityetāvānayamartho guruḥ kryita iti dīpakabalāccakāsti /	sat janEH iti etO= An ayam arTaH guruH kryitaH iti dIpaka balAt cakAsti /
   kathāśabda idamāha   āsatāṃ tāvatkāvyasya kecana sūkṣmā viśeṣāḥ,	kaTA SabdaH idam Aha   AsatAm tAvat kAvyasya kecana sUkzmAH viSezAH,
   sajjanairvinā kāvyamityeṣa śabdo 'pi dhvaṃsate /	sat janEH vinA kAvyam iti eza SabdaH api DvaMsate /
   teṣu tu satsvāste subhagaṃ kāvyaśabdavyapadeśabhāgapi	tezu tu satsu Aste suBagam kAvya Sabda vyapadeSa BAj api
   śabdasandarbhamātram; tathā taiḥ kriyate yathādaraṇīyatāṃ pratipadyata iti	Sabda sandarBa mAtram; taTA tEH kriyate yaTAdaraNIya tAm pratipadyate iti
   dīpakasyaiva vyavacchedyabalena yo 'rtho 'bhimato yatra tatparatvaṃ sa	dIpakasya eva vyavacCedya balena yaH arTaH aBimataH yatra tad paratvam sa
   dhvanemārga ityevaṃrūpastaṃ vyācaṣṭe   yatra tviti /	DvanemArgaH iti evaMrUpaH tam vyAcazwe   yatra tu iti /
   tatra ca vācyālaṅkāreṇa kadācidvyahgyamalaṅkārāntaraṃ, yadi vā	tatra ca vAcya alaFkAreNa kadAcid vyahgyam alaFkAra antaran, yadi vA
   vācyālaṅkārasya sadbhāvamātraṃ na vyañjakatā, vācyālaṅkārasyābhāva	vAcya alaFkArasya sadBAva mAtram na vyaQjaka tA, vAcya alaFkArasya aBAva
   bālapriyā na bhavatītyarthaḥ /	bAlapriyA na Bavati iti arTaH /
   gurukīkaraṇaṃ vivṛṇoti  candramayūkhaiścetyādi /	gurukIkaraNam vivRNoti  candramayUKEH ca ityAdi /
   yatkriyate iti /	yat kriyate iti /
   taditi śeṣaḥ /	tat iti SezaH /
   kamalairityādivākyeṣvapi yatkriyata ityasyānuṣaṅgaḥ /	kamalEH ityAdi vAkyezu api yat kriyate iti asya anuzaFgaH /
   tatsarvamiti /	tat sarvam iti /
   kāvyakathānvayayogyaṃ pūrvoktaṃ sevyatvamanoharatvādikamityarthaḥ /	kAvya kaTA anvaya yogyam pUrva uktam sevya tva manohara tva Adikam iti arTaH /
   sajjanairiti /	sat janEH iti /
   kriyata ityasyānuṣaṅgaḥ /	kriyate iti asya anuzaFgaH /
   cakāstīti /	cakAsti iti /
   vācyatayā pratīyata ityarthaḥ /	vAcya tayA pratIyate iti arTaH /
   kavitetyanuktvā kāvyakathetyukteḥ phalamāha   kathetyādi /	kavitA iti anuktvA kAvya kaTA iti ukteH Palam Aha    kaTA ityAdi /
   kāvyakathetyasya kathyamānaṃ kāvyamityarthaḥ /	kAvya kaTA iti asya kaTyamAnam kAvyam iti arTaH /
   tatra kathāśabdo vakṣyamāṇaṃ dyotayatītyarthaḥ /	tatra kaTA SabdaH vakzyamANam dyotayati iti arTaH /
   sūkṣmā viśeṣāḥ dhvanitvādayaḥ /	sUkzmAH viSezAH Dvani tva AdayaH /
   teṣviti /	tezu iti /
   sajjaneṣvityarthaḥ /	sat janezu iti arTaH /
   śabdasandarbhamātramapi kāvyaśabdavyapadeśabhāk sūbhagamāsta ityanvayaḥ /	Sabda sandarBa mAtram api kAvya Sabda vyapadeSa BAj sUBa gamAH te iti anvayaH /
   kuta ityatrāha   tathetyādi /	kutas iti atra Aha   taTA ityAdi /
   'iti dīpakasye'tyādinā 'vācyetyādivṛttigrantho vivṛtaḥ /	aiti dIpakasye atyAdinA avAcya ityAdi vRtti granTaH vivRtaH /
   nopamāyā iti /	na upamAyAH iti /
   sajjaneṣu haṃsādīnāṃ kāvyakathāyāṃ niśādīnāṃ ca gamyamānāyā upamāyā na	sat janezu haMsa AdInAm kAvya kaTAyAm niSA AdInAm ca gamyamAnAyAH upamAyAH na
   prādhānyamityarthaḥ /	prADAnyam iti arTaH /
   vyavacchedyabaleneti /	vyavacCedya balena iti /
   yatra bhāsate tatparatvaṃ netyādyuktisāmarthyenetyarthaḥ /	yatra BAsate tad paratvam na ityAt yukti sAmarTyena iti arTaH /
   abhimataḥ vivakṣitaḥ /	aBimataH vivakzitaH /
   yatretyādinā pradarśitasya vikalpena traividhyaṃ bhavatīti	yatra ityAdinA pradarSitasya vikalpena trEviDyam Bavati iti
   darśayati   tatra cetyādi /	darSayati   tatra ca ityAdi /
   kadācidityasyottaravākyayorapi sambandhaḥ /	kadAcid iti asya uttara vAkyayoH api sambanDaH /
   yathā    prāptaśrīreṣa kasmātpunarapi mayi taṃ manthakhedaṃ vidadhyā 	yaTA   prApta SrIH eza kasmAt punar api mayi tam manTa Kedam vidaDyA 
   nnidrāmapyasya pūrvāmanalasamanaso naiva sambhāvayāmi /	nnidrAm api asya pUrvAm anala samanasaH na eva samBAvayAmi /
   setuṃ badhnāti bhūyaḥ kimiti ca sakaladvīpanāthānuyāta  stvayyāyāte	setum baDnAti BUyas kim iti ca sakala dvIpa nATa anuyAta stvayi AyAte
   vitarkāniti dadhata ivābhāti kampaḥ payodheḥ //	vitarkAn iti daDataH iva ABAti kampaH payoDeH //
   yathā vā mamaiva    lāvaṇyakāntiparipūritadiṅmukhe 'smi  nsmere 'dhunā	yaTA vA mama eva   lAvaNya kAnti paripUrita diFmuKe asmi nsmere aDunA
   tava mukhe taralāyatākṣi /	tava muKe tarala Ayata akzi /
   kṣobhaṃ yadeti na manāgapi tena manye suvyaktameva jalarāśirayaṃ payodhiḥ	kzoBam yadA iti na manAk api tena manye su vyaktam eva jalarASiH ayam payoDiH
   locanam eva veti tridā vikalpaḥ /	locanam eva vA iti tri dA vikalpaH /
   etacca yathāyogamudāharaṇeṣu yojyam /	etat ca yaTAyogam udAharaNezu yojyam /
   udāharati   prāpteti /	udAharati    prAptA iti /
   kasmiṃścidanantabalasamudāyavati narapatau samudraparisaravartini	kasmiMScid ananta bala samudAyavati narapatO samudra parisara vartini
   pūrṇacandrodayatadīyabalāvagāhanādinā nimittena payodhestāvatkampo jātaḥ /	pUrNa candra udaya tadIya bala avagAhana AdinA nimittena payoDeH tAvat kampaH jAtaH /
   so 'nena sandehenotprekṣyata iti sasandehotprekṣayoḥ	saH anena sandehena utprekzyate iti sa sandeha utprekzayoH
   saṅkarātsaṅkarālaṅkāro vācyaḥ /	saFkarAt saFkara alaFkAraH vAcyaH /
   tena ca vāsudevarūpatā bālapriyā eṣāmudāharaṇāni sphuṭībhaviṣyanti /	tena ca vAsudeva rUpa tA bAla priyAH ezAm udAharaNAni sPuwIBavizyanti /
   prāptaśrīriti /	prApta SrIH iti /
   eṣaḥ rājā, prāptā śrīḥ sampadramā ca yena saḥ /	ezaH rAjA, prAptA SrIH sampadramA ca yena saH /
   ataḥ punarapi mayi tamanubhūtam /	atas punar api mayi tam anuBUtam /
   manthakhedaṃ mathanahetukaṃ duḥkham kasmāt kimiti vidadhyāt kuryāt /	manTa Kedam maTana hetukam duHKam kasmAt kim iti vidaDyAt kuryAt /
   atrādau punarapītyādi sandehaḥ, paścānmathanaphalabhūtalakṣmīprāptibuddhyā	atra AdO punar api ityAdi sandehaH, paScAt maTana Pala BUta lakzmI prApti budDyA
   kasmāditi phalāntarajijñāsā /	kasmAt iti Pala antara jijQAsA /
   evamuparyapi bodhyam /	evam upari api boDyam /
   analasamālasyarahitaṃ mano yasya tasyeti hetugarbham /	anala samAlasya rahitam manaH yasya tasya iti hetu garBam /
   asya rājñaḥ pūrvā nidrāmapyahaṃ naiva sambhāvayāmi naiva saṃśaye /	asya rAjQaH pUrvA nidrAm api aham na eva samBAvayAmi na eva saMSaye /
   setumiti /	setum iti /
   eṣamayītyanuṣaṅgaḥ /	ezamayI iti anuzaFgaH /
   eṣaḥ yataḥ sakaladvīpanāthairanuyātaḥ, ataḥ kimiti mayi bhūyaḥ setuṃ	ezaH yatas sakala dvIpa nATEH anuyAtaH, atas kim iti mayi BUyas setum
   badhnāti /	baDnAti /
   tvayi āyāte svasannidhimāgate sati iti vitarkān pūrvoktavākyairgamyān kiṃ	tvayi AyAte sva sanniDim Agate sati iti vitarkAn pUrva ukta vAkyEH gamyAn kim
   mathnīyādityādisandehān /	maTnIyAt ityAdi sandehAn /
   dadhata iva taddhāraṇādiva payodheḥ kampaḥ jalacāñcalyamatha ca vepathuḥ	daDataH iva tad DAraNAt iva payoDeH kampaH jala cAQcalyam aTa ca vepaTuH
   ābhātītyanvayaḥ /	ABAti iti anvayaH /
   atra vācyaṃ tadyvaṅgyaṃ cālaṅkāraṃ vivṛṇoti   kasmiṃścidityādi /	atra vAcyam tat i vaFgyam ca alaFkAram vivRNoti   kasmin= cit ityAdi /
   sa iti /	saH iti /
   kampa ityarthaḥ /	kampaH iti arTaH /
   atra jalacāñcalyasya vepathoścābhedādhyavasāyo bodhyaḥ /	atra jala cAQcalyasya vepaToH ca aBeda aDyavasAyaH boDyaH /
   anena sandeheneti /	anena sandehena iti /
   vitarkān dadhata iti vākyapratipāditena eṣaḥ kiṃ mathnīyāditi sandehena	vitarkAn daDate iti vAkya pratipAditena ezaH kim maTnIyAt iti sandehena
   hetunetyarthaḥ /	hetunA iti arTaH /
   utprekṣyata iti /	utprekzyate iti /
   kampena kāryeṇa nimittena uktasandeharūpo hetuḥ payodhāvutprekṣyate /	kampena kAryeNa nimittena ukta sandeha rUpaH hetuH payoDO= utprekzyate /
   yadvā   jalacāñcalyarūpaḥ kampaḥ uktasandehahetukavepathutvenotprekṣyata	yat vA    jala cAQcalya rUpaH kampaH ukta sandeha hetuka vepaTu tvena utprekzyata
   iti bhāvaḥ /	iti BAvaH /
   saṅkarāditi /	saFkarAt iti /
   ekavākyānupraveśasaṅkarādityarthaḥ /	eka vAkya anupraveSa saFkarAt iti arTaH /
   ityevaṃvidhe viṣaye 'nuraṇanarūparūpakāśrayeṇa	iti evaMviDe vizaye anuraNana rUpa rUpaka ASrayeNa
   kāvyacārutvavyavasthānādrūpakadhvaniriti vyapadeśo nyāyyaḥ /	kAvya cAru tva vyavasTAnAt rUpaka DvaniH iti vyapadeSaH nyAyyaH /
   drapakadhvaniriti vyapadeśo nyāyyaḥ /	drapaka DvaniH iti vyapadeSaH nyAyyaH /
   upamādhvaniryathā    	upamA aDvaniH yaTA    
   vīrāṇaṃ ramai ghusiṇaruṇammi ṇa tadā piāthaṇucchaṅge /	vIrANam ramEH GusiNa ruNammi Na tadA piATaNud SaFge /
   diṭhṭhī riugaakumbhatthalammi jaha bahalasindūre //	diWWI riugaa kumBatTa lammi jaha bahala sindUre //
   locanam tasya nṛpaterdhvanyate /	locanam tasya nRpateH Dvanyate /
   yadyapi cātra vyatireko bhāti, tathāpi sa pūrvavāsudevasvarūpāt,	yadi api ca atra vyatirekaH BAti, taTA api sa pUrva vAsudeva svarUpa at,
   nādyatanāt /	nAdyatanAt /
   adyatanatve bhagavato 'pi prāptaśrīkatvenānālasyena sakaladvīpādhipati	adyatana tve BagavataH api prApta SrIka tvena anAlasyena sakala dvIpa aDipati
   vijayitvena ca vartamānatvāt /	vijayitvena ca vartamAna tvAt /
   na ca sandehotprekṣānupapattibalādrūpakasyākṣepaḥ, yena	na ca sandeha utprekza anupapatti balAt rUpakasya AkzepaH, yena
   vācyālaṅkāropaskārakatvaṃ vyaṅgyasya bhavet /	vAcya alaFkAra upaskAraka tvam vyaFgyasya Bavet /
   yo yo 'samprāptalakṣmīko nirvyājavijigīṣākrāntaḥ sa sa māṃ	yaH yaH asamprApta lakzmIkaH nirvyAja vijigIza AkrAntaH sa sa mAm
   mathnīyādityādyarthasambhāvanāt /	maTnIyAt ityAdi arTa samBAvanAt /
   na ca punarapīti pūrvāmiti bhūya iti ca śabdairayamākṛṣṭo 'rthaḥ /	na ca punar api iti pUrvAm iti BUyaH iti ca SabdEH ayam AkRzwaH arTaH /
   punararthasya bhūyorthasya ca kartṛbhede 'pi samudraikyamātreṇāpyupapatteḥ	punar arTasya BUyorTasya ca kartR Bede api samudra Ekya mAtreNa api upapatteH
   yathā pṛthvī pūrvaṃ kārtavīryeṇa jitā punarapi jāmadagnyeneti /	yaTA pRTvI pUrvam kArtavIryeNa jitA punar api jAmadagnyena iti /
   pūrvā nidrā ca siddhā rājaputrādyavasthāyāmapīti siddhaṃ	pUrvA nidrA ca sidDAH rAja putra Adi avasTAyAm api iti sidDam
   rūpakadhvanirevāyamiti /	rUpaka DvaniH eva ayam iti /
   śabdavyāpāraṃ vinaivārthasaundarayabalādrūpaṇāpratipatteḥ /	Sabda vyApAram vinA eva arTa sOndaraya balAt rUpaNa apratipatteH /
   bālapriyā tene saṅkareṇa /	bAla priyA tene saFkareNa /
   vāsudevarūpateti /	vAsudeva rUpa tA iti /
   bhagavadvāsudevābheda ityarthaḥ /	Bagavat vAsudeva aBedaH iti arTaH /
   vyatireko bhātīti /	vyatirekaH BAti iti /
   prāptaśrīkatvādinā rājño vāsudevādvyatireko bhātītyarthaḥ /	prApta SrIka tva AdinA rAjQaH vAsudevAt vyatirekaH BAti iti arTaH /
   tathāca kathamabhedabhānaṃ bhavatīti bhāvaḥ /	taTA ca kaTam aBeda BAnam Bavati iti BAvaH /
   saḥ vyatirekaḥ /	saH vyatirekaH /
   vūrvavāsudevasvarūpāditi /	vUrva vAsudeva svarUpAt iti /
   pūrvaṃ mathanodyukto nidronmukhaḥ setubandhanodyuktaśca yo vāsudevaḥ	pUrvam maTana udyuktaH nidrA unmuKaH setu banDana udyuktaH ca yaH vAsudevaH
   tatsvarūpādityarthaḥ /	tad svarUpAt iti arTaH /
   nādyatanāditi /	nAdyatanAt iti /
   sa bhātītyanuṣaṅgaḥ /	sa BAti iti anuzaFgaH /
   atra hetumāha   adyatanatva ityādi /	atra hetumAha   adyatanatvaH ityAdi /
   vartamānatvāditi viśiṣṭatvādityarthaḥ /	vartamAna tvAt iti viSizwa tvAt iti arTaH /
   tathācaitadvacanakālīnatathāvidhavāsudevādvyatireko na bhātīti tadabhedo	taTA ca etat vacana kAlIna taTAviDa vAsudevAt vyatirekaH na BAti iti tad aBedaH 
   'tra dhvanyata iti bhāvaḥ /	atra Dvanyate iti BAvaH /
   nanvatra niśi vāsudevatvapratīti vinā payodheruktavitarkā na dhaṭanta	nanu atra niSi vAsudeva tva prati iti vinA payoDeH ukta vitarkA na Dawanta
   ityastadvyaṅgyaṃ tadupapādakatayā guṇībhūtamiti śaṅkāṃ pariharati   na	ityastat vyaFgyam tad upapAdaka tayA guNIBUtam iti SaFkAm pariharati   na
   cetyādi /	ca ityAdi /
   yeneti /	yena iti /
   anupapattimūlakākṣepeṇetyarthaḥ /	anupapatti mUlaka AkzepeNa iti arTaH /
   vācyālaṅkāreti /	vAcya alaFkAra iti /
