   (KpSū 1)	(KpSU 1)
   dikṣu buddhakṣetraparamāṇurajaḥsamā lokadhātavaścalitāḥ puṣpavarṣaṃ	dikzu budDa kzetra paramANu rajaH samAH loka DAtavaH calitAH puzpa varzam
   cābhipravarṣitaṃ / sarvatra ca teṣu buddhakṣetreṣu te bodhisattvā	ca aBipravarzitam / sarvatra ca tezu budDa kzetrezu te boDisattvA
   mahāsattvāḥ prabodhanārthaṃ	mahAsattvAH praboDana arTam
   mahākaruṇābodhisattvapraṇidhānacaryānidarśanārthaṃ bodhisattvānāṃ ca	mahA karuNA boDisattva praNiDAna caryA nidarSana arTam boDisattvAnAm ca
   mahāsattvānāṃ buddhakṣetraparamāṇurajaḥsamebhyo digbhyo buddhakṣetrebhyaḥ	mahAsattvAnAm budDa kzetra paramANu rajaH sameByaH digByaH budDa kzetreByaH
   sannipatanārthaṃ bodhisattvānāṃ ca mahāsattvānāṃ	sannipatana arTam boDisattvAnAm ca mahAsattvAnAm
   samādhānamukhanirdeśacaryāvaiśāradyadharmaparyāyāṃ bhāṣaṇārthaṃ tena	samADAna muKa nirdeSa caryA vESAradya Darma paryAyAm BAzaNa arTam tena
   tathāgatena evaṃrūpāṇi prātihāryāṇi darśitāni" /	taTAgatena evaMrUpANi prAtihAryANi darSita ani" /
   tau ca kulaputra dvau bodhisattvau taṃ ratnacandraṃ tathāgataṃ	tO ca kula putra dvO boDisattvO tam ratnacandram taTAgatam
   paripṛcchate sma / kiyaccirotpāditaṃ bhadanta bhagavāṃstena mahākāruṇikena	paripRcCate sma / kiyat cira utpAditam Badanta BagavAn= tena mahA kAruNikena
   bodhisattvena mahāsattvena bodhicittaṃ?; kiyacciraṃ bodhicārikāṃ cīrṇavān,	boDisattvena mahAsattvena boDi cittaM?; kiyat ciram boDi cArikAm cIrNavAn ,
   yena pañcakaṣāye loke tīvrakleśaraṇe kaliyuge vartamāne kālaḥ (KpSū 288)	yena paQca kazAye loke tIvra kleSa raNe kali yuge vartamAne kAlaH (KpSU 288)
   parigṛhīta ānantaryakārakā yāvadakuśalamūlasamavadhānagatā dagdhasantānāḥ	parigRhIta Anantarya kArakAH yAvat akuSala mUla samavaDAna gatAH dagDa santAnAH
   sattvā vaineyāḥ parigṛhītāḥ?" / ratnacandrastathāgata āha   "sāṃprataṃ	sattvAH vEneyAH parigRhItAH?" / ratnacandraH taTAgataH Aha  "sAMpratam
   kulaputra tena mahākāruṇikena prathamacittamutpāditaṃ anuttarāyāṃ	kula putra tena mahA kAruNikena praTama cittam utpAditam anuttarAyAm
   samyaksaṃbodhau / gacchata kulaputra yūyaṃ tat santīraṇaṃ buddhakṣetraṃ	samyaksaMboDO / gacCata kula putra yUyam tat santi IraNam budDa kzetram
   tasya ratnagarbhasya tathāgatasyārhataḥ samyaksaṃbuddhasya darśanāya	tasya ratna garBasya taTAgatasya arhataH samyaksaMbudDasya darSanAya
   vandanāya paryupāsanāya / taṃ ca samādhānamukhanirdeśaṃ	vandanAya paryupAsanAya / tam ca samADAna muKa nirdeSam
   caryāvaiśāradyadharmaparyāyaṃ śroṣyatha / taṃ ca mahākāruṇikaṃ	caryA vESAradyaDarma paryAyam SrozyaTa / tam ca mahA kAruNikam
   bodhisattvaṃ mahāsattvaṃ madvacanān pṛcchatha; evaṃ ca vadatha,	boDisattvam mahAsattvam mad vacanAn pRcCaTa; evam ca vadaTa,
   "ratnacandrastathāgatastvāṃ satpuruṣaṃ pṛcchati / idaṃ ca	"ratna candraH taTAgataH tvAm sat puruzam pRcCati / idam ca
   candrarocavimalaṃ puṣpaṃ preṣitavān, sādhukāraścānupradatta / evaṃ ca	candra roca vimalam puzpam prezitavAn, sADu kAraH ca anupradatta / evam ca
   prathamacittotpādena tvaṃ satpuruṣa mahākāruṇikavyāhāreṇa daśasu dikṣu	praTama citta utpAdena tvam sat puruza mahA kAruNika vyAhAreNa daSasu dikzu
   buddhakṣetraparamāṇurajaḥsamāsu lokadhātuṣu buddhakṣetrāṇi	budDa kzetra paramANu rajaH samAsu lokaDAtuzu budDa kzetrANi
   śabdenāpūritāni, tena tvayā sarvatra mahākāruṇika nāma pratilabdhaṃ / tena	Sabdena ApUrita ani, tena tvayA sarvatra mahAkAruNika nAma pratilabDam / tena
   tvaṃ satpuruṣa sādhu bhūyaḥ paścimakānāṃ mahākāruṇikānāṃ bodhisattvānāṃ	tvam sat puruza sADu BUyas paScimakAnAm mahA kAruNikAnAm boDisattvAnAm
   mahāsattvānāṃ mahākaruṇāvyāhāreṇa praṇidhānanetrīdhvajamucchrayaṇaṃ / tena	mahAsattvAnAm mahA karuNa avyAhAreNa praNiDAna netrI Dvajam ucCrayaNam / tena
   tvaṃ satpuruṣa (KpSū 289) bhūyo buddhakṣetraparamāṇurajaḥsamān	tvam sat puruzaH (KpSU 289) BUyas budDa kzetra paramANu rajaH samAn
   anāgatānasaṃkhyeyān kalpān buddhakṣetraparamāṇurajaḥsamān daśadiśi	anAgatAn asaMKyeyAn kalpAn budDa kzetra paramANu rajaH samAn daSa diSi
   lokadhātuṣu yaśaḥkīrtiśabdenāpūraya / yena tvayā	lokaDAtuzu yaSaH kIrti Sabdena ApUraya / yena tvayA
   bahvasaṃkhyeyasattvakoṭīnayutaśatasahasrāṇyanuttarāyāṃ samyaksaṃbodhau	bahu asaMKyeya sattva kowIn ayuta Sata sahasrANi anuttarAyAm samyaksaMboDO
   samādāpitāni niveśitāni pratiṣṭhāpitāni bhagavataḥ sakāśamupanītāni,	samAdApitAni niveSitAni pratizWApitAni BagavataH sakASam upanIta ani,
   avaivartikāni sthāpitānyanuttarāyāṃ samyaksaṃbodhau / bhaviṣyanti	avEvartikAni sTApitAni anuttarAyAm samyaksaMboDO / Bavizyanti
   kecittatra praṇidhānena buddhakṣetraguṇavyūhāṃ parigṛhīṣyanti, ye paścād	kecid tatra praNiDAnena budDa kzetra guNa vyUhAm parigRhIzyanti, ye paScAt 
   vyākaraṇaṃ lapsyante, ye tvayā bodhau samādāpitāḥ sarve te paścād yāvad	vyAkaraNam lapsyante, ye tvayA boDO samAdApitAH sarve te paScAt yAvat 
   buddhakṣetraparamāṇurajaḥsamāsaṃkhyeyakalpairdaśasu dikṣu	budDa kzetra paramANu rajaH samAsaMKyeya kalpEH daSasu dikzu
   buddhakṣetraparamāṇurajaḥsameṣu anyeṣu lokadhātuṣu buddhatvaṃ prāpya	budDa kzetra paramANu rajaH samezu anyezu lokaDAtuzu budDa tvam prApya
   dharmacakraṃ pravartayitvā tvāṃ ārabhya varṇaṃ bhāṣiṣyante / anena	Darma cakram pravartayitvA tvAm AraBya varNam BAzizyante / anena
   tṛtīyena kāraṇena te sādhu satpuruṣa" /	tRtIyena kAraNena te sADu sat puruza" /
   tena khalu punaḥ samayena dvānavatibodhisattvakoṭya ekakaṇṭhena vadanti /	tena Kalu punar samayena dvAnavati boDisattva kowyaH eka kaNWena vadanti /
   "vayamapi bhadanta bhagavan santīraṇaṃ buddhakṣetraṃ gacchemaḥ tasya	"vayam api Badanta Bagavan santi IraNam budDa kzetram gacCa imaH tasya
   ratnagarbhasya tathāgatasyārhataḥ samyaksaṃbuddhasyāntikaṃ darśanāya	ratna garBasya taTAgatasya arhataH samyaksaMbudDasya antikam darSanAya
   vandanāya paryupāsanāya, taṃ ca satpuruṣaṃ darśanāya (KpSū 290) vandanāya,	vandanAya paryupAsana aya, tam ca sat puruzam darSanAya (KpSU 290) vandanAya,
   yasya tathāgatena tribhiraṅgaiḥ sādhukāraḥ preṣita, imaṃ ca	yasya taTAgatena triBiH aFgEH sADu kAraH prezita, imam ca
   candrarocavimalaṃ puṣpaṃ preṣitaṃ" / sa ca kulaputra ratnacandrastathāgata	candra roca vimalam puzpam prezitaM" / sa ca kula putra ratnacandraH taTAgata
   āha   "gacchata kulaputrā yasyaitarhi kālaṃ manyadhve, tatra ca	Aha  "gacCata kula putrAH yasya etarhi kAlam manyaDve, tatra ca
   ratnagarbhasya tathāgatasya sakāśāt samādhānamukhanirdeśaṃ	ratna garBasya taTAgatasya sakASAt samADAna muKa nirdeSam
   caryāvaiśāradyadharmaparyāyaṃ śroṣyadhve" /	caryA vESAradyaDarma paryAyam SrozyaDve" /
   atha tau dvau kulaputrau ratnaketuścandraketuśca ratnacandrasya	aTa tO dvO kula putrO ratnaketuH candraketuH ca ratna candrasya
   tathāgatasya sakāśāccandrarocavimalaṃ puṣpaṃ gṛhītvā sārdhaṃ	taTAgatasya sakASAt candra roca vimalam puzpam gRhItvA sArDam
   dvānavatibhirbodhisattvakoṭībhī ratnavicayāyāṃ lokadhātau saṃprasthitau /	dvAnavatiBiH boDisattva kowIBiH ratna vicayAyAm lokaDAtO saMprasTitO /
   tadyathāpi nāma vidyutā evameva tato bodhisattvaparṣād ratnavicaye	tat yaTA api nAma vidyutAH evam eva tatas boDisattva parzAt ratna vicaye
   buddhakṣetre 'ntarhitau, iha saṃtīraṇe buddhakṣetre jambūvanodyāne ca	budDa kzetre antarhitO, iha saMtIraNe budDa kzetre jambU vana udyAne ca
   sthitau / yena ratnagarbhastathāgatastenopasaṃkrāme taṃ upetya	sTitO / yena ratnagarBaH taTAgataH tena upasaMkrAme tam upetya
   ratnagarbhasya tathāgatasya pādau śirasā vanditvā	ratnagarBasya taTAgatasya pAdO SirasA vanditvA
   vividhābhirbodhisattvavikurvaṇābhiḥ pūjāṃ kṛtvā ratnagarbhasya	viviDABiH boDisattva vikurvaNABiH pUjAm kRtvA ratna garBasya
   tathāgatasyāgrato brāhmaṇaṃ dṛṣṭvā sarvāvatīṃ ca bodhisattvaparṣāṃ	taTAgatasya agratas brAhmaNam dRzwvA sarvAvatIm ca boDisattva parzAm
   prāñjalībhūtāṃ varṇaṃ bhāṣamāṇāṃ tayorbodhisattvayoretadabhavad / "ayaṃ sa	prAQjalIBUtAm varNam BAzamANAm tayoH boDisattvayoH etat aBavat / "ayam sa
   mahākaruṇāsamanvāgato yasya ratnacandreṇa tathāgateneme (KpSū 291)	mahA karuNA samanvAgataH yasya ratnacandreNa taTAgatena ime (KpSU 291)
   candrarocavimalāḥ puṣpāḥ preṣitāḥ" / atha tau dvau bodhisattvau bhagavataḥ	candra roca vimalAH puzpAH prezitAH" / aTa tO dvO boDisattvO BagavataH
   sakāśāt parivartitvā brāhmaṇasya puṣpaṃ upanāmayitvā etadavocatāṃ   "imaṃ	sakASAt parivartitvA brAhmaNasya puzpam upanAmayitvA etat avocatAm  "imam
   te satpuruṣa ratnacandreṇa tathāgatena candrarocavimalaṃ puṣpaṃ preṣitaṃ,	te sat puruza ratnacandreNa taTAgatena candra roca vimalam puzpam prezitaM,
   sādhukāraśca te satpuruṣaḥ preṣitaḥ; yāvadyathoktaṃ pūrvaṃ / peyālaṃ,	sADu kAraH ca te sat puruzaH prezitaH; yAvat yaTA uktam pUrvam / peyA AlaM,
   aprameyāsaṃkhyeyebhyaḥ pūrvāyāṃ diśāyāṃ buddhakṣetrebhyo bodhisattvā	aprameya asaMKyeyeByaH pUrvAyAm diSAyAm budDa kzetreByaH boDisattvA
   mahāsattvāḥ santīraṇaṃ buddhakṣetraṃ saṃprāptāḥ, candrarocavimalapuṣpāṃ	mahAsattvAH santi IraNam budDa kzetram saMprAptAH, candra roca vimala puzpAm
   gṛhītvā brāhmaṇasya puṣpāḥ preṣitāḥ, tribhiścāṅgaiḥ sādhukāraḥ preṣito;	gRhItvA brAhmaNasya puzpAH prezitAH, triBiH ca aFgEH sADu kAraH prezitaH ;
   yathā pūrvoktaṃ /	yaTA pUrva uktam /
   evaṃ dakṣiṇāyāṃ diśāyāmito buddhakṣetrāt	evam dakziNAyAm diSAyAmitas budDa kzetrAt 
   saptanavatibuddhakṣetrakoṭīnayutaśatasahasrānatikramitvā tatra	saptanavati budDa kzetra kowIn ayuta Sata sahasra anatikramitvA tatra
   niryūhavijṛṃbhito nāma lokadhātustatra niryūhavijṛṃbhite buddhakṣetre	niryUhavijRMBitaH nAma lokaDAtuH tatra niryUha vijRMBite budDa kzetre
   siṃhavijṛṃbhiteśvararājā nāma tathāgato 'rhan samyaksaṃbuddhastiṣṭhati	siMha vijRMBiteSvara rAjA nAma taTAgataH arhan samyaksaMbudDaH tizWati
   yāpayati śuddhānāṃ bodhisattvānāṃ mahāsattvānāṃ śuddhāṃ mahāyānakathāṃ	yApayati SudDAnAm boDisattvAnAm mahAsattvAnAm SudDAm mahAyAna kaTAm
   dharmaṃ deśayati sma / tasmiṃśca parṣadi dvau bodhisattvau mahāsattvau,	Darmam deSayati sma / tasmin= ca parzadi dvO boDisattvO mahAsattvO,
   eko jñānavajraketurnāma dvitīyaḥ (KpSū 292) siṃhavajraketustau dvau	ekaH jQAnavajraketuH nAma dvitIyaH (KpSU 292) siMha vajraketuH tO dvO
   bodhisattvau siṃhavijṛṃbhiteśvararājaṃ tathāgataṃ paripṛcchataḥ sma   "ko	boDisattvO siMha vijRMBita ISvara rAjam taTAgatam paripRcCataH sma  "kaH 
   bhadanta bhagavan hetuḥ kaḥ pratyayo mahataḥ pṛthivīcālasya loke	Badanta Bagavan hetuH kaH pratyayaH mahataH pRTivI cAlasya loke
   prādurbhāvāya mahataśca puṣpavarṣasya?"; yāvad yathā pūrvoktaṃ / peyālaṃ,	prAdurBAvAya mahataH ca puzpa varzasya?"; yAvat yaTA pUrva uktam / peyA AlaM,
   yāvad aprameyāsaṃkhyeyā dakṣiṇasyāṃ diśyanyebhyo buddhakṣetrebhyo	yAvat aprameya asaMKyeyAH dakziNasyAm diSi anyeByaH budDa kzetreByaH 
   'prameyāsaṃkhyeyā bodhisattvakoṭīnayutaśatasahasrāḥ saṃtīraṇaṃ	aprameya asaMKyeyAH boDisattva kowIn ayuta Sata sahasrAH saMtIraNam
   buddhakṣetramanuprāptāḥ, yāvad yathā pūrvoktaṃ /	budDa kzetram anuprAptAH, yAvat yaTA pUrva uktam /
   tena khalu punaḥ samayena paścimāyāṃ diśīto	tena Kalu punar samayena paScimAyAm diSItaH 
   buddhakṣetrādekonanavatibuddhakṣetrakoṭīnayutaśatasahasrabuddhakṣetrānatikramitvā	budDa kzetrAt ekonanavati budDa kzetra kowIn ayuta Sata sahasra budDa kzetra anatikramitvA
   tatra jayāvatirnāma buddhakṣetraṃ, tatra jitendriyaviśālanetro nāma	tatra jayAvatiH nAma budDa kzetraM, tatra jita indriya viSAla netraH nAma
   tathāgatastiṣṭhati yāpayati, caturṇāṃ parṣadāṃ tribhiryānairdharmaṃ	taTAgataH tizWati yApayati, caturNAm parzadAm triBiH yAnEH Darmam
   deśayati sma / tatra bhadravairocano nāma bodhisattvo mahāsattvaḥ	deSayati sma / tatra BadravErocanaH nAma boDisattvaH mahAsattvaH
   siṃhavijṛṃbhitakāyaśca nāma dvitīyo bodhisattvo mahāsattvastau dvau	siMha vijRMBita kAyaH ca nAma dvitIyaH boDisattvaH mahAsattvaH tO dvO
   satpuruṣau jitendriyaviśālanetraṃ (KpSū 293) tathāgatametamarthaṃ	sat puruzO jita indriya viSAla netram (KpSU 293) taTAgatam etam arTam
   paripṛcchataḥ   "kuto 'yaṃ mahāpṛthivīcālaprādurbhāvo, mahātaśca	paripRcCataH  "kutaH ayam mahA pRTivI cAla prAdurBAvo, mahAtaH ca
   puṣpavṛṣṭipravarṣaṇasya?"; yāvad yathā pūrvoktaṃ /	puzpa vRzwi pravarzaNasya?"; yAvat yaTA pUrva uktam /
   tena khalu punaḥ samayenottarasyāṃ diśīto	tena Kalu punar samayena uttarasyAm diSItaH 
   buddhakṣetrādbuddhakṣetrakoṭīnayutaśatasahasrāṇyatikramya tatra jamburnāma	budDa kzetrAt budDa kzetra kowIn ayuta Sata sahasrANi atikramya tatra jambuH nAma
   lokadhātustatra lokeśvararāja nāma tathāgato yāvadbuddho bhagavān	lokaDAtuH tatra lokeSvara rAja nAma taTAgataH yAvat budDaH BagavAn
   śuddhānāṃ mahāyānasaṃprasthitānāṃ bodhisattvānāṃ śuddhāṃ mahāyānakathāṃ	SudDAnAm mahAyAna saMprasTitAnAm boDisattvAnAm SudDAm mahAyAna kaTAm
   dharmaṃ deśayati sma / tatra dvau bodhisattvau, eko 'calasthāvaro nāma	Darmam deSayati sma / tatra dvO boDisattvO, ekaH acala sTAvaraH nAma
   dvitīyaḥ prajñādharo nāma, tau lokeśvararājaṃ tathāgataṃ paripṛcchataḥ sma	dvitIyaH prajQADaraH nAma, tO loka ISvara rAjam taTAgatam paripRcCataH sma
     "ko bhadanta bhagavan hetuḥ kaḥ pratyayo mahataḥ pṛthivīcālasya loke	 "kaH Badanta Bagavan hetuH kaH pratyayaH mahataH pRTivI cAlasya loke
   prādurbhāvasya, mahatyāśca puspavṛṣṭer[?"];yāvad yathā pūrvoktaṃ /	prAdurBAvasya, mahatyAH ca puspa vRzweH [?"];yAvat yaTA pUrva uktam /
   tena khalu punaḥ samayenādho diśīto	tena Kalu punar samayena aDas diSItaH 
   buddhakṣetrādaṣṭānavatibuddhakṣetranayutānatikramya tatra vigatatamo	budDa kzetrAt azwAnavati budDa kzetrana yutAn atikramya tatra vigata tamaH 
   'ndhakārā nāma lokadhātustatra vigatabhayaparyutthānaghoṣo nāma	anDakArAH nAma lokaDAtuH tatra vigata Baya paryutTAna GozaH nAma
   tathāgatastiṣṭhati yāpayati, caturṇāṃ parṣadāṃ (KpSū 294)	taTAgataH tizWati yApayati, caturNAm parzadAm (KpSU 294)
   tribhiryānairdharmaṃ deśayati sma / tatra buddhakṣetre dvau bodhisattvau	triBiH yAnEH Darmam deSayati sma / tatra budDa kzetre dvO boDisattvO
   mahāsattvāveko 'rajavairocano nāma dvitīyaḥ svargavairocano nāma,	mahAsattvO= ekaH arajavErocanaH nAma dvitIyaH svargavErocanaH nAma,
   yāvadyathā pūrvoktaṃ /	yAvat yaTA pUrva uktam /
   tena khalu punaḥ samayenopariṣṭhāyāṃ diśīto buddhakṣetrāddve śatasahasre	tena Kalu punar samayena uparizWAyAm diSItaH budDa kzetrAt dve Sata sahasre
   buddhakṣetrāṇāmatikramitvā tatra saṃkusumitā nāma lokadhātustatra	budDakzetrANAm atikramitvA tatra saMkusumitA nAma lokaDAtuH tatra
   saṃkusumite buddhakṣetre prasphulitakusumavairocano nāma tathāgata yāvad	saMkusumite budDa kzetre prasPulita kusumavErocanaH nAma taTAgata yAvat 
   buddho bhagavāṃstiṣṭhati yāpayati, caturṇāṃ parṣadāṃ tribhiryānairdharmaṃ	budDaH BagavAn= tizWati yApayati, caturNAm parzadAm triBiH yAnEH Darmam
   deśayati sma / tatra buddhakṣetre dvau bodhisattvau mahāsattvau	deSayati sma / tatra budDa kzetre dvO boDisattvO mahAsattvO
   prativasata, ekaḥ svaviṣayasaṃkopitaviṣayo nāma dvitīyo	prativasata, ekaH sva vizaya saMkopita vizayaH nAma dvitIyaH 
   dhāraṇīsaṃpraharṣaṇavikopito nāma bodhisattvastau dvau satpuruṣau	DAraNI saMpraharzaNa vikopitaH nAma boDisattvaH tO dvO sat puruzO
   prasphulitakusumavairocanaṃ tathāgataṃ pṛṣṭavantau / "ko bhadanta bhagavan	prasPulita kusuma vErocanam taTAgatam pRzwavantO / "kaH Badanta Bagavan
   hetuḥ kaḥ pratyayo mahataḥ pṛthivīcālasya loke prādurbhāvāya (KpSū 295)	hetuH kaH pratyayaH mahataH pRTivI cAlasya loke prAdurBAvAya (KpSU 295)
   mahatyāśca puṣpavṛṣṭeḥ?" / prasphulitakusumavairocanastathāgata āha  	mahatyAH ca puzpa vRzweH?" / prasPulita kusuma vErocanaH taTAgataH Aha  
   "asti kulaputrādho diśīto buddhakṣetrāt dve śatasahasre	"asti kula putra aDas diSItaH budDa kzetrAt dve Sata sahasre
   buddhakṣetrāṇāmatikramya tatra saṃtīraṇo nāma lokadhātustatra ratnagarbho	budDa kzetrANAm atikramya tatra saMtIraNaH nAma lokaDAtuH tatra ratnagarBaH 
   nāma tathāgato yāvadbuddho bhagavāṃstiṣṭhati dharmaṃ ca deśayati sma /	nAma taTAgataH yAvat budDaH BagavAn= tizWati Darmam ca deSayati sma /
   bahusattvakoṭyo vyākarotyanuttarāyāṃ samyaksaṃbodhau	bahu sattva kowyaH vyAkaroti anuttarAyAm samyaksaMboDO
   bodhisattvaviṣayakṣetrasandarśanapraṇidhānaviṣayavyūhasamādhiviṣayadhāraṇīmukhaniryūhaṃ	boDisattva vizaya kzetra sandarSana praNiDAna vizaya vyUha samADi vizaya DAraNI muKa niryUham
   dharmaparyāyaṃ bhāṣamāṇa ; ekaśca tatra mahākāruṇiko bodhisattvo	Darma paryAyam BAzamANaH ; ekaH ca tatra mahA kAruNikaH boDisattvaH 
   mahāsattvaḥ sa evaṃrūpaṃ praṇidhānaṃ kṛtavān, mahākaruṇāparibhāvitā vācā	mahAsattvaH saH evaMrUpam praNiDAnam kRtavAn, mahA karuNA pariBAvitA vAcA
   bhāṣitā, anuttarāyāṃ samyaksaṃbodhau vyākaraṇanirdeśaṃ bodhisattvānāṃ	BAzitA, anuttarAyAm samyaksaMboDO vyAkaraNa nirdeSam boDisattvAnAm
   mahāsattvānāṃ, yathārūpā praṇidhānanetryudbhāvitā yathā	mahAsattvAnAn, yaTArUpA praNiDAna netrI udBAvitAH yaTA
   bahubodhisattvakoṭībhirbuddhakṣetrapraṇidhānaṃ kṛtaṃ,	bahu boDisattva kowIBiH budDa kzetra praNiDAnam kRtaM,
   buddhakṣetraguṇavyūhā vaineyasattvāśca parigṛhītāḥ; sa caiko	budDa kzetra guNa vyUhAH vEneya sattvAH ca parigRhItAH; sa ca ekaH 
   mahākaruṇāsamanvāgato bodhisattvaḥ sarvāvatiṃ parṣadamabhibhūya kliṣṭaṃ	mahA karuNA samanvAgataH boDisattvaH sarva avatim parzadam aBiBUya klizwam
   pañcakaṣāyaṃ kleśāraṇikaliyugaṃ buddhakṣetraṃ (KpSū 296) parigṛhītaṃ,	paQcakazAyam kleSa araNi kali yugam budDa kzetram (KpSU 296) parigRhItaM,
   sarve cānantaryakārakā yāvad akuśalamūlasamavadhānagatā dagdhasaṃtānā	sarve ca anantarya kArakAH yAvat akuSala mUla samavaDAna gatA dagDa saMtAnA
   vaineyāḥ parigṛhītāḥ / sarvāvatīrca sā parṣā sadevagandharvāsuramānuṣaśca	vEneyAH parigRhItAH / sarva avatIrca sA parzA sa deva ganDarva asura mAnuzaH ca
   loko ratnagarbhasya tathāgatasya pūjāmapahāya tasya mahākāruṇikasya	lokaH ratnagarBasya taTAgatasya pUjAm apahAya tasya mahA kAruNikasya
   pūjākarmaṇe udyuktāḥ pañcamaṇḍalena vanditvā prāñjalibhūtāḥ sthitvā varṇaṃ	pUjA karmaNe udyuktAH paQcamaNxalena vanditvA prAQjali BUtAH sTitvA varNam
   bhāṣante sma / sa ca mahāsattvo ratnagarbhasya tathāgatasya purato niṣaṇṇo	BAzante sma / sa ca mahAsattvaH ratna garBasya taTAgatasya puratas nizaNNaH 
   vyākaraṇaṃ śṛṇvānaḥ / yadā ca tena mahāsattvena tasya bhagavataḥ purato	vyAkaraNam SRNvAnaH / yadA ca tena mahAsattvena tasya BagavataH puratas 
   dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ nikṣiptaṃ tadā tena bhagavatā tathārūpaṃ	dakziNam jAnu maNxalam pRTivyAm nikziptam tadA tena BagavatA taTArUpam
   smitaṃ prāviṣkṛtaṃ, yadā daśasu dikṣu buddhakṣetraparamāṇurajaḥsameṣu	smitam prAvizkRtan, yadA daSasu dikzu budDa kzetra paramANu rajaH samezu
   lokadhātuṣu mahāpṛthivī ṣaḍvikāraṃ calitā pracalitā saṃpracalitā kaṃpitā	lokaDAtuzu mahA pRTivI zaz vikAram calitA pracalitA saMpracalitA kaMpitA
   yāvat puṣpavṛṣṭiḥ pravarṣitā / sarvebhyaśca tebhyo buddhakṣetrebhyo	yAvat puzpa vRzwiH pravarzitAH / sarveByaH ca teByaH budDa kzetreByaH 
   bodhisattvā mahāsattvāḥ prabodhanārthaṃ, mahākāruṇyā	boDisattvAH mahAsattvAH praboDana arTaM, mahA kAruNyA
   bodhisattvapraṇidhānacaryā nidarśanārthaṃ, bodhisattvā mahāsattvā	boDisattva praNiDAna caryA nidarSana arTaM, boDisattvAH mahAsattvA
   buddhakṣetraparamāṇurajaḥsamebhyo lokadhātubhyo daśabhyo digbhyastatra	budDa kzetra paramANu rajaH sameByaH lokaDAtuByaH daSaByaH digByaH tatra
   buddhakṣetre sannipatanārthaṃ, bodhisattvānāṃ ca mahāsattvānāṃ	budDa kzetre sannipatana arTaM, boDisattvAnAm ca mahAsattvAnAm
   samādhānamukhanirdeśacaryāvaiśāradyaṃ dharmaparyāyaṃ bhāṣaṇārthaṃ tena	samADAna muKa nirdeSa caryA vESAradyam Darma paryAyam BAzaNa arTam tena
   tathāgatenaivaṃrūpāṇi (KpSū 297) prātihāryāṇi darśitāni" /	taTAgatena evaMrUpANi (KpSU 297) prAtihAryANi darSita ani" /
   tau ca kulaputra dvau bodhisattvau mahāsattvau svaviṣayasaṃkopitaviṣayaśca	tO ca kula putra dvO boDisattvO mahAsattvO sva vizaya saMkopita vizayaH ca
   dhāraṇīsaṃpraharṣaṇavikopitaśca taṃ prasphulitakusumavairocanaṃ tathāgataṃ	DAraNI saMpraharzaNa vikopitaH ca tam prasPulita kusuma vErocanam taTAgatam
   paripṛcchataḥ sma / "kiyaccirotpāditaṃ bhadanta bhagavaṃstena	paripRcCataH sma / "kiyat cira utpAditam Badanta Bagavan= tena
   mahākāruṇikena bodhisattvena mahāsattvena bodhāya cittaṃ?; kiyacciraṃ vā	mahA kAruNikena boDisattvena mahAsattvena boDAya cittaM?; kiyat ciram vA
   sa mahākāruṇiko bodhisattvo mahāsattvo bodhicārikāṃ cīrṇaṃ, yena	sa mahA kAruNikaH boDisattvaH mahAsattvaH boDi cArikAm cIrNaM, yena
   pañcakaṣāye loke tīvrakleśaraṇike kaliyuge vartamāne kālaḥ parigṛhīta	paQca kazAye loke tIvra kleSa raNike kali yuge vartamAne kAlaH parigRhIta
   ānantaryakārakā yāvad akuśalamūlasamavadhānagatā dagdhasaṃtānā vaineyāḥ	Anantarya kArakAH yAvat akuSala mUla samavaDAna gatAH dagDa saMtAnAH vEneyAH
   parigṛhītāḥ?" / prasphulitakusumavairocanastathāgata āha   "saṃprati	parigRhItAH?" / prasPulita kusuma vErocanaH taTAgataH Aha  "saMprati
   kulaputra tena mahākāruṇikena prathamamanuttarāyāṃ samyaksaṃbodhau	kula putra tena mahA kAruNikena praTamam anuttarAyAm samyaksaMboDO
   cittamutpāditaṃ / gacchata kulaputrā yūyaṃ santīraṇaṃ lokadhātuṃ tasya	cittam utpAditam / gacCata kula putrAH yUyam santi IraNam lokaDAtum tasya
   ratnagarbhasya tathāgatasyārhataḥ samyaksaṃbuddhasya darśanāya vandanāya	ratna garBasya taTAgatasya arhataH samyaksaMbudDasya darSanAya vandanAya
   paryupāsanāya taṃ ca samādhānamukhanirdeśaṃ caryāvaiśāradyaṃ	paryupAsanAya tam ca samADAna muKa nirdeSam caryA vESAradyam
   dharmaparyāyaṃ śravaṇāya / taṃ ca mahākāruṇikaṃ bodhisattvaṃ mahāsattvaṃ	Darma paryAyam SravaNAya / tam ca mahA kAruNikam boDisattvam mahAsattvam
   mama vacanena pṛcchatha evaṃ ca vaktavyaḥ;	mama vacanena pRcCaTaH evam ca vaktavyaH;
   prasphulitakusumavairocanastathāgatastvāṃ (KpSū 298) satpuruṣa pṛcchate	prasPulita kusuma vErocanaH taTAgataH tvAm (KpSU 298) sat puruza pRcCate
   candrarocavimalaṃ puṣpaṃ preṣitaṃ sādhukāraścānupradattaḥ / evaṃ ca tvayā	candra roca vimalam puzpam prezitam sADu kAraH ca anupradattaH / evam ca tvayA
