   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   matiśca sumatiścaiva ṛtasatyau tathaidhanaḥ /	matiH ca sumatiH ca eva Rta satyO taTA eDanaH /
   adhṛtirvidhṛtiścaiva damo niyama eva ca // BndP_1,36.55 //	aDRtiH viDRtiH ca eva damaH niyamaH eva ca // Bndu _1,36.55 //
   vrato viṣṇuḥ sahaścaiva dyutimānsuśravāstathā /	vrataH vizNuH sahaH ca eva dyutimAn suSravAH taTA /
   ityetānīha nāmāni ābhūtayasāṃ viduḥ // BndP_1,36.56 //	iti etAni iha nAmAni ABUtayasAm viduH // Bndu _1,36.56 //
   vṛṣo bhettā jayo bhīmaḥ śucirdānto yaśo damaḥ /	vRzaH BettA jayaH BImaH SuciH dAntaH yaSaH damaH /
   nātho vidvānajeyaśca kṛśo gauro dhruvastathā // BndP_1,36.57 //	nATaH vidvAn ajeyaH ca kRSaH gOraH DruvaH taTA // Bndu _1,36.57 //
   kīrttitāstu vikuṇṭhā vai sumedhāṃstu nibodhata /	kIrttitAH tu vikuNWAH vE sumeDAn= tu niboData /
   medhā medhā tithiścaiva satyamedhāstathaiva ca // BndP_1,36.58 //	meDA meDA tiTiH ca eva satyameDAH taTA eva ca // Bndu _1,36.58 //
   pṛśnimedhālpamedhāśca bhūyomedhāśca yaḥ prabhuḥ /	pRSni meDA alpa meDAH ca BUyomeDAH ca yaH praBuH /
   dīptimedhā yaśomedhā sthiramedhāstathaiva ca // BndP_1,36.59 //	dIpti meDAH yaSaH meDA sTira meDAH taTA eva ca // Bndu _1,36.59 //
   sarvamedhā sumedhāśca pratimedhāśca yaḥ smṛtaḥ /	sarvameDA sumeDAH ca pratimeDAH ca yaH smRtaH /
   medhajā medhahantā ca kīrttitāste sumedhasaḥ // BndP_1,36.60 //	meDa jAH meDa hantA ca kIrttitAH te sumeDasaH // Bndu _1,36.60 //
   vibhurindrastathā teṣāmāsīdvi krāntapauruṣaḥ /	viBuH indraH taTA tezAm AsIt vi krAnta pOruzaH /
   paulastyo davabāhuśca sudhāmā nāma kāśyapaḥ // BndP_1,36.61 //	pOlastyaH davabAhuH ca suDAmA nAma kASyapaH // Bndu _1,36.61 //
   hiraṇyaromāṅgiraso vedaśrīścaiva bhārgavaḥ /	hiraNya roma AFgirasaH vedaSrIH ca eva BArgavaH /
   ūrdhvabāhuśca vāśiṣṭhaḥ parjanyaḥ paulahastathā // BndP_1,36.62 //	UrDvabAhuH ca vASizWaH parjanyaH pOlahaH taTA // Bndu _1,36.62 //
   satyanetrastathātreya ṛṣayo raivateṃ'tare /	satyanetraH taTA AtreyaH RzayaH rEvateM atare /
   mahāvīryaḥ susaṃbhāvyaḥ satyako harahā śuciḥ // BndP_1,36.63 //	mahA vIryaH su saMBAvyaH satyakaH hara hA SuciH // Bndu _1,36.63 //
   balabandhurnirāmitraḥ kaṃbuḥ śṛgo dhṛtavrataḥ /	balabanDuH nirAmitraH kaMbuH SRgaH DRta vrataH /
   raivatasya ca putrāste pañcamaṃ vai tadantaram // BndP_1,36.64 //	rEvatasya ca putrAH te paQcamam vE tad antaram // Bndu _1,36.64 //
   svārociṣaścottamo 'pi tāmaso raivatastathā /	svArocizaH ca uttamaH api tAmasaH rEvataH taTA /
   priyavratānvayā hyete catvāro manavaḥ smṛtāḥ // BndP_1,36.65 //	priyavrata anvayAH hi ete catvAraH manavaH smRtAH // Bndu _1,36.65 //
   ṣaṣṭhe khalvapi paryāye devā ye cākṣuṣeṃ'tare /	zazWe Kalu api paryAye devAH ye cAkzuzeM atare /
   ādyāḥ prasūtā bhāvyaśca pṛthukāśca divaukasaḥ // BndP_1,36.66 //	AdyAH prasUtAH BAvyaH ca pRTukAH ca divOkasaH // Bndu _1,36.66 //
   mahānubhāvā lekhāscha pañca devagaṇāḥ smṛtāḥ /	mahA anuBAvAH leKAsCa paQca deva gaNAH smRtAH /
   divaukasaḥ sarva eva procyante mātṛnāmabhiḥ // BndP_1,36.67 //	divOkasaH sarve eva procyante mAtR nAmaBiH // Bndu _1,36.67 //
   atreḥ putrasya naptāro hyāraṇyasya prajāpateḥ /	atreH putrasya naptAraH hi AraNyasya prajApateH /
   gaṇastu teṣāṃ devānāmekaiko hyaṣṭakaḥ smṛtaḥ // BndP_1,36.68 //	gaNaH tu tezAm devAnAm ekEkaH hi azwakaH smRtaH // Bndu _1,36.68 //
   antarikṣo vasurhavyo hyatithiśca priyavrataḥ /	antarikzaH vasurhavyaH hi atiTiH ca priyavrataH /
   śrotā mantānumantā ca tvādyā hyete prakīrttitāḥ // BndP_1,36.69 //	SrotA mantA anumantA ca tu AdyAH hi ete prakIrttitAH // Bndu _1,36.69 //
   śyenabhadrastathā caiva śvetacakṣurmahāyaśāḥ /	SyenaBadraH taTA ca eva Sveta cakzuH mahA yaSAH /
   sumanāśca pracetāśca vanenaḥ supracetsau // BndP_1,36.70 //	sumanAH ca pracetAH ca vanenaH supracetsO // Bndu _1,36.70 //
   muniścaiva mahāsattvaḥ prasūtāḥ parikīrttitāḥ /	muniH ca eva mahAsattvaH prasUtAH parikIrttitAH /
   vijayaḥ sujayaścaiva manasyodau tathaiva ca // BndP_1,36.71 //	vijayaH su jayaH ca eva manasyA udO taTA eva ca // Bndu _1,36.71 //
   matiḥ parimatiścaiva vicetāḥ priyaniścayaḥ /	matiH parimatiH ca eva vicetAH priya niScayaH /
   bhavyā hyete smṛtā devāḥ pṛthukāṃśca nibodhata // BndP_1,36.72 //	BavyAH hi ete smRtAH devAH pRTukAn= ca niboData // Bndu _1,36.72 //
   ojiṣṭhaḥ śakuno devo vānatdṛṣṭastathaiva ca /	ojizWaH SakunaH devaH vAnatdRzwaH taTA eva ca /
   satkṛtaḥ satyadṛṣṭiśca jigīṣurvijayastathā // BndP_1,36.73 //	satkRtaH satya dRzwiH ca jigIzuH vijayaH taTA // Bndu _1,36.73 //
   ajitaśca mahābhāgaḥ pṛthukāste divaukasaḥ /	ajitaH ca mahABAgaH pRTukAH te divOkasaH /
   leśāstathā pravakṣyāmi nāmatastānnibodhata // BndP_1,36.74 //	leSAH taTA pravakzyAmi nAmataH tAn niboData // Bndu _1,36.74 //
   manojavaḥ praghāsaśca pracetāśca mahāyaśāḥ /	manojavaH praGAsaH ca pracetAH ca mahA yaSAH /
   dhruvo dhruvakṣitiścaiva atyutaścaiva vīryavān // BndP_1,36.75 //	DruvaH DruvakzitiH ca eva atyutaH ca eva vIryavAn // Bndu _1,36.75 //
   yuvanā bṛhaspatiścaiva lekhāḥ saṃparikīrttitāḥ /	yuvanA bRhaspatiH ca eva leKAH saMparikIrttitAH /
   manojavo mahāvīryasteṣāmindrastadābhavat // BndP_1,36.76 //	manojavaH mahA vIryaH tezAm indraH tadA Bavat // Bndu _1,36.76 //
   uttamo bhārgavaścaiva haviṣmānaṅgiraḥsutaḥ /	uttamaH BArgavaH ca eva havizmAn aFgiraH sutaH /
   sudhāmā kāśyapaścaiva vaśiṣṭho virajāstathā // BndP_1,36.77 //	suDAmA kASyapaH ca eva vaSizWaH virajAH taTA // Bndu _1,36.77 //
   atināmā ca paulastyaḥ sahiṣṇuḥ paulahastathā /	atinAmA ca pOlastyaH sahizNuH pOlahaH taTA /
   madhurātreya ityete sapta vai cākṣuṣeṃ'tare // BndP_1,36.78 //	maDurAtreyaH iti ete sapta vE cAkzuzeM atare // Bndu _1,36.78 //
   ūruḥ puruḥ śatadyumnastapasvī satyavākkṛtiḥ /	UruH puruH SatadyumnaH tapasvI satya vAc kRtiH /
   agniṣṭudatirātraśca sudyumnaśaceti te nava // BndP_1,36.79 //	agnizwut atirAtraH ca sudyumna SacA iti te nava // Bndu _1,36.79 //
   abhimanyuśca daśamo nāḍvaleyā manoḥ sutāḥ /	aBimanyuH ca daSamaH nAxvaleyAH manoH sutAH /
   cākṣuṣasya sutāḥ hyete ṣaṣṭhaṃ caiva tadantaram // BndP_1,36.80 //	cAkzuzasya sutAH hi ete zazWam ca eva tad antaram // Bndu _1,36.80 //
   vaivasvatena saṃkhyātastatsargaḥ sāṃpratena tu /	vEvasvatena saMKyAtaH tad sargaH sAMpratena tu /
   vistareṇānupūrvyā ca cākṣuṣasyāntare manoḥ // BndP_1,36.81 //	vistareNa AnupUrvyA ca cAkzuzasya antare manoH // Bndu _1,36.81 //
   ṛṣaya ūcuḥ	RzayaH UcuH
   cākṣuṣaḥ kasya dāyādaḥ saṃbhūtaḥ sakya vānvaye /	cAkzuzaH kasya dAyAdaH saMBUtaH sakya vA anvaye /
   tasyānvavāye ye 'pyanyetānno brūhi yathātatham // BndP_1,36.82 //	tasya anvavAye ye api anyetAn naH brUhi yaTAtaTam // Bndu _1,36.82 //
   sūta uvāca	sUtaH uvAca
   cākṣuṣasya visargaṃ tu samāsācchṛṇuta dvijāḥ /	cAkzuzasya visargam tu samAsAt SRNuta dvijAH /
   yasyānvavāye saṃbhūtaḥ pṛthurvainyaḥ pratāpavān // BndP_1,36.83 //	yasya anvavAye saMBUtaH pRTuH vEnyaH pratApavAn // Bndu _1,36.83 //
   prajānāṃ patayaścānye dakṣaḥ prācetasastathā /	prajAnAm patayaH ca anye dakzaH prAcetasaH taTA /
   uttānapādaṃ jagrāha putramatriprajāpatiḥ // BndP_1,36.84 //	uttAnapAdam jagrAha putram atri prajApatiH // Bndu _1,36.84 //
   dattakaḥ sa tu putro 'sya rājā hyāsītprajāpatiḥ /	dattakaH sa tu putraH asya rAjA hi AsIt prajApatiH /
   svāyaṃbhuvena manunā datto 'treḥ kāraṇaṃ prati // BndP_1,36.85 //	svAyaMBuvena manunA dattaH atreH kAraNam prati // Bndu _1,36.85 //
   manvantaramathāsādya bhaviṣyaccākṣuṣasya ha /	manvantaram aTa AsAdya Bavizyat cAkzuzasya ha /
   ṣaṣṭhaṃ tadanu vakṣyāmi upoddhātena vai dvijāḥ // BndP_1,36.86 //	zazWam tadanu vakzyAmi upodDAtena vE dvijAH // Bndu _1,36.86 //
   uttānapādāccaturaḥ sūnṛtāsūta bhāminī /	uttAnapAdAt caturaH sUnRtA asUta BAminI /
   dharmasya kanyā suśroṇī sūnṛtā nāma viśrutā // BndP_1,36.87 //	Darmasya kanyA suSroNI sUnRtA nAma viSrutAH // Bndu _1,36.87 //
   utpannā jāpi dharmema dhruvasya jananī śubhā /	utpannA jApi Darma ima Druvasya jananI SuBA /
   dharmasya patnyāṃ lakṣmayāṃ vai utpannā sā śucismitā // BndP_1,36.88 //	Darmasya patnyAm lakzmayAm vE utpannA sA Suci smitAH // Bndu _1,36.88 //
   dhruvaṃ ca kīrttimantaṃ ca tvāyuṣmantaṃ vasuṃ tathā /	Druvam ca kIrttimantam ca tu Ayuzmantam vasum taTA /
   uttānapādo 'janayatkanye dve ca śucismite // BndP_1,36.89 //	uttAnapAdaH ajanayat kanye dve ca Suci smite // Bndu _1,36.89 //
   svarāmanasvinī caiva tayoḥ putrāḥ prakīrttitāḥ /	sva rAmanasvinI ca eva tayoH putrAH prakIrttitAH /
   dhruvo varṣasahasrāṇi daśa divyāni vīryavān // BndP_1,36.90 //	DruvaH varza sahasrANi daSa divyAni vIryavAn // Bndu _1,36.90 //
   tapastepe nirāhāraḥ prārthayanvipulaṃ yaśaḥ /	tapaH tepe nirAhAraH prArTayan vipulam yaSaH /
   tretāyuge tu prathame pautraḥ svāyaṃbhuvasya tu // BndP_1,36.91 //	tretA yuge tu praTame pOtraH svAyaMBuvasya tu // Bndu _1,36.91 //
   ātmānaṃ dhārayanyogānprārthayansumahadyaśaḥ /	AtmAnam DArayan yogAn prArTayan su mahat yaSaH /
   tasmai brahmā dadau prīto jyotiṣāṃ sthānamuttamam // BndP_1,36.92 //	tasmE brahmA dadO prItaH jyotizAm sTAnam uttamam // Bndu _1,36.92 //
   ābhūtasaṃplavāddivyamastodayavivārjitam /	ABUtasaMplavAt divyam astodaya vivArjitam /
   tasyātimātrāmṛddhiṃ ca mahimānaṃ nirīkṣya tu // BndP_1,36.93 //	tasya atimAtrAm RdDim ca mahimAnam nirIkzya tu // Bndu _1,36.93 //
   daityā surāṇāmācāryaḥ ślokamapyuśānā jagau /	dEtyA surANAm AcAryaH Slokam api uSAnAH jagO /
   aho 'sya tapaso vīryamaho śrutamaho vratam // BndP_1,36.94 //	aho asya tapasaH vIryam aho Srutam aho vratam // Bndu _1,36.94 //
   kṛtvā yadenamupari dhruvaṃ saptarṣayaḥ sthitāḥ /	kRtvA yat enam upari Druvam saptarzayaH sTitAH /
   druve tridivamāsaktamīśvaraḥ sa divaspatiḥ // BndP_1,36.95 //	druve tridivam Asaktam ISvaraH sa divaspatiH // Bndu _1,36.95 //
   dhruvātsṛṣṭiṃ ca bhavyaṃ ca bhūmistau suṣuve nṛpau /	DruvAt sRzwim ca Bavyam ca BUmiH tO suzuve nRpO /
   svāṃ chāyāmāha vai sṛṣṭirbhavanārīti tāṃ prabhuḥ // BndP_1,36.96 //	svAm CAyAm Aha vE sRzwiH Bava nArI iti tAm praBuH // Bndu _1,36.96 //
   satyābhivyahṛtestasya sadyaḥ strī sābhavattadā /	satya aBivyahRteH tasya sadyas strI sA Bavat tadA /
   divyasaṃhananā chāyā divyābharaṇabhūṣitā // BndP_1,36.97 //	divya saMhananA CAyA divya ABaraNa BUzitAH // Bndu _1,36.97 //
   chāyāyāṃ sṛṣṭirādhatta pañca putrānakalmaṣān /	CAyAyAm sRzwiH ADatta paQca putrAn akalmazAn /
   prājīnagarbhaṃ vṛṣabhaṃ vṛkañca vṛkalaṃ dhṛtim // BndP_1,36.98 //	prAjIna garBam vRzaBam vRkaQca vRkalam DRtim // Bndu _1,36.98 //
   patnī prācīnagarbhasya suvarcā suṣuve nupam /	patnI prAcInagarBasya suvarcA suzuve nupam /
   nāmnodāradhiyaṃ putramindro yaḥ pūrvajanmani // BndP_1,36.99 //	nAmnA udAra Diyam putram indraH yaH pUrva janmani // Bndu _1,36.99 //
   saṃvatsarasahasrānte sakṛdāhāramāharan /	saMvatsara sahasra ante sakRt AhAram Aharan /
   evaṃ manvantaraṃ yukta indratvaṃ prāptavānprabhuḥ // BndP_1,36.100 //	evam manvantaram yuktaH indra tvam prAptavAn praBuH // Bndu _1,36.100 //
   udāradheḥ sutaṃ bhadrājanayatsā divañjayam /	udAraDeH sutam BadrA ajanayat sA divaQjayam /
   ripuṃ ripuñjayājjajñe varāṅgī tu divañjayāt // BndP_1,36.101 //	ripum ripuQjayAt jajQe varAFgI tu divaQjayAt // Bndu _1,36.101 //
   riporādhatta bṛhatī vakṣuṣaṃ sarvatejasam /	ripoH ADatta bRhatI vakzuzam sarva tejasam /
   tasya putro manurvidvān brahmakṣattrapravattakaḥ /	tasya putraH manuH vidvAn brahma kzattra pravattakaH /
   vyajījanatpuṣkariṇī vāruṇī cākṣuṣaṃ manum // BndP_1,36.102 //	vyajIjanat puzkariNI vAruNI cAkzuzam manum // Bndu _1,36.102 //
   ṛṣaya ūcuḥ	RzayaH UcuH
   prajāpateḥ sutā kasmādvāruṇī procyate 'nagha /	prajApateH sutA kasmAt vAruNI procyate anaGa /
   etadācakṣva tatvena kuśalo hyasi vistare // BndP_1,36.103 //	etat Acakzva tatvena kuSalaH hi asi vistare // Bndu _1,36.103 //
   sūta uvāca	sUtaH uvAca
   araṇyasyodakaḥ putro varuṇatvamupāgataḥ /	araNyasya udakaH putraH varuNa tvam upAgataH /
   tena sā vāruṇī jñeyā bhrātrā khyātimupāgatā // BndP_1,36.104 //	tena sA vAruNI jQeyA BrAtrA KyAtim upAgatA // Bndu _1,36.104 //
   manorajāyanta daśa naḍvalāyāṃ sutāḥ śubhāḥ /	manoH ajAyanta daSa naxvalAyAm sutAH SuBAH /
   kanyāyāṃ sumahāvīryā virajasya prajāpateḥ // BndP_1,36.105 //	kanyAyAm su mahA vIryAH virajasya prajApateH // Bndu _1,36.105 //
   ūruḥ puruḥ śatadyumnastapasvī satyavākkṛtiḥ /	UruH puruH SatadyumnaH tapasvI satya vAc kRtiH /
   agniṣṭudatirātraśca sudyumnaśceti vai nava // BndP_1,36.106 //	agnizwut atirAtraH ca sudyumnaH ca iti vE nava // Bndu _1,36.106 //
   abhimanyuśca daśamo naḍvalāyāṃ manoḥ sutāḥ /	aBimanyuH ca daSamaH naxvalAyAm manoH sutAH /
   ūrorajanayatputrānṣaḍāgneyī mahāprabhān // BndP_1,36.107 //	UroH ajanayat putrAn zaz AgneyI mahA praBAn // Bndu _1,36.107 //
   aṅgaṃ sumanasaṃ khyātiṅgayaṃ śukraṃ vrajājinau /	aFgam sumanasam KyAtiFgayam Sukram vraja ajinO /
   aṅgātsunīthāpatyaṃvai venamekaṃ vyajāyata // BndP_1,36.108 //	aFgAt sunITApati aMvE venam ekam vyajAyata // Bndu _1,36.108 //
   tasyāparādhādvenasya prakopastu mahānabhūt /	tasya aparADAt venasya prakopaH tu mahAn aBUt /
   prajārthamṛṣayo yasyamamanthurdakṣiṇāṃ karam // BndP_1,36.109 //	prajA arTam RzayaH yasyam amanTuH dakziNAm karam // Bndu _1,36.109 //
   janitastasya pāṇau tu mathite rūpavānpṛthuḥ /	janitaH tasya pANO tu maTite rUpavAn pRTuH /
   janayitvā sutaṃ tasya pṛthuṃ prathitapauruṣam // BndP_1,36.110 //	janayitvA sutam tasya pRTum praTita pOruzam // Bndu _1,36.110 //
   abru vaṃstveṣa vo rājā ṛṣayo muditāḥ prajāḥ /	abru van= tu eza vaH rAjA RzayaH muditAH prajAH /
   sa dhanvī kavacī jajñe tejasā nirdahanniva // BndP_1,36.111 //	sa DanvI kavacI jajQe tejasA nirdahan= iva // Bndu _1,36.111 //
   vṛttīnāmeṣa vo dātā bhaviṣyati narādhipaḥ /	vRttInAm eza vaH dAtA Bavizyati narADipaH /
   pṛthurvainyastadā lokānrarakṣa kṣatrapūrvajaḥ // BndP_1,36.112 //	pRTuH vEnyaH tadA lokAn rarakza kzatra pUrvajaH // Bndu _1,36.112 //
   rājasūyābhiṣiktānāmādyassa vasudhādhipaḥ /	rAjasUya aBiziktAnAm AdyaH sa vasuDADipaH /
   tasya stavārthamutpannau nipuṇau sūtamāgadhau // BndP_1,36.113 //	tasya stava arTam utpannO nipuNO sUta mAgaDO // Bndu _1,36.113 //
   teneyaṃ gaurmahārājñā dugdhā sasyāni dhīmatā /	tena iyam gOH mahA rAjQA dugDA sasyAni DImatA /
   prajānāṃ vṛttikāmānāṃ devaiścarṣigaṇaiḥ saha // BndP_1,36.114 //	prajAnAm vRtti kAmAnAm devEH ca Rzi gaNEH saha // Bndu _1,36.114 //
   pitṛbhir dānavaiścaiva gandharvaiścāpsarogaṇaiḥ /	pitRBiH dAnavEH ca eva ganDarvEH ca apsaraH gaNEH /
   sarpaiḥ puṇyajanaiścaiva parvatairvṛkṣavīrudhaiḥ // BndP_1,36.115 //	sarpEH puNya janEH ca eva parvatEH vRkza vIruDEH // Bndu _1,36.115 //
   teṣu teṣu tu pātreṣu duhyamānā vasuṃdharā /	tezu tezu tu pAtrezu duhyamAnA vasuMDarA /
   prādādyathepsi taṃ kṣīraṃ tena prāṇānadhārayan // BndP_1,36.116 //	prAdAt yaTA Ipsi tam kzIram tena prANAn aDArayan // Bndu _1,36.116 //
   śāṃśapāyana uvāca	SAMSapAyanaH uvAca
   vistareṇa pṛthorjanma kīrttayasva mahāvrata /	vistareNa pRToH janma kIrttayasva mahAvrata /
   yathā mahātmanā tena pūrvaṃ dugdhā vasuṃdharā // BndP_1,36.117 //	yaTA mahAtmanA tena pUrvam dugDA vasuMDarAH // Bndu _1,36.117 //
   yathā devaiśca nāgaiśca yathā brahmarṣibhiḥ saha /	yaTA devEH ca nAgEH ca yaTA brahmarziBiH saha /
   yakṣai rākṣasagandharvairapsarobhiryathā purā // BndP_1,36.118 //	yakzEH rAkzasa ganDarvEH apsaroBiH yaTA purA // Bndu _1,36.118 //
   yathā yathā ca vai sūta vidhinā yena yena ca /	yaTA yaTA ca vE sUta viDinA yena yena ca /
   teṣāṃ pātraviśeṣāṃśca dogdhāraṃ kṣīrameva ca // BndP_1,36.119 //	tezAm pAtra viSezAn= ca dogDAram kzIram eva ca // Bndu _1,36.119 //
   tathā vatsaviśeṣāṃśca tvaṃnaḥ prabrūhi pṛcchatām /	taTA vatsa viSezAn= ca tvaMnaH prabrUhi pRcCatAm /
   yathā kṣīraviśeṣāṃśca sarvānevānupūrvaśaḥ // BndP_1,36.120 //	yaTA kzIra viSezAn= ca sarvAn eva anupUrvaSas // Bndu _1,36.120 //
   yasmiṃśca kāraṇe pāṇirvanasya mathitaḥ purā /	yasmin= ca kAraNe pANiH vanasya maTitaH purA /
   kuddhairmaharṣibhiḥ pūrvaiḥ kāraṇaṃ brūhi taddhi naḥ // BndP_1,36.121 //	kudDEH mahA RziBiH pUrvEH kAraNam brUhi tat hi naH // Bndu _1,36.121 //
   sūta uvāca	sUtaH uvAca
   kathayiṣyāmi vo viprāḥ pṛthorvainyasya saṃbhavam /	kaTayizyAmi vaH viprAH pRToH vEnyasya saMBavam /
   ekāgrāḥ prayatāścaiva śuśrūṣadhvaṃ dvijottamāḥ // BndP_1,36.122 //	ekAgrAH prayatAH ca eva SuSrUzaDvam dvijottamAH // Bndu _1,36.122 //
   nāśuddhāya na pāpāya nāśiṣyāyāhitāya ca /	na aSudDAya na pApAya na aSizyAya ahitAya ca /
   varttanīyamidaṃ brahma nāvratāya kathañcana // BndP_1,36.123 //	varttanIyam idam brahma na avratAya kaTaQcana // Bndu _1,36.123 //
   dhanyaṃ yaśasyamāyuṣyaṃ puṇyaṃ vedaiśca saṃmitam /	Danyam yaSasyam Ayuzyam puNyam vedEH ca saMmitam /
   rahasyamṛṣibhiḥ proktaṃ śṛṇuyādyo 'nasūyakaḥ // BndP_1,36.124 //	rahasyam RziBiH proktam SRNuyAt yaH anasUyakaH // Bndu _1,36.124 //
   yaścaivaṃ śrāvayenmartyaḥ pṛthorvainyasya saṃbhavam /	yaH ca evam SrAvayet martyaH pRToH vEnyasya saMBavam /
   brāhmaṇebhyo namaskṛtya na sa śocetkṛtākṛtam // BndP_1,36.125 //	brAhmaNeByaH namaskRtya na sa Socet kRta akRtam // Bndu _1,36.125 //
   goptā dharmasya rājāsau babhūvātrisamaḥ prabhuḥ /	goptA Darmasya rAjA asO baBUva atri samaH praBuH /
   atrivaṃśasamutpanno hyaṅgo nāma prajāpatiḥ // BndP_1,36.126 //	atri vaMSa samutpannaH hi aFgaH nAma prajApatiH // Bndu _1,36.126 //
   tasya putro 'bhavadveno nātyarthaṃ dhārmikastathā /	tasya putraH aBavat venaH na atyarTam DArmikaH taTA /
   jāto mṛtyusutāyāṃ vai sunīthāyāṃ prajāpatiḥ // BndP_1,36.127 //	jAtaH mRtyu sutAyAm vE sunITAyAm prajApatiH // Bndu _1,36.127 //
   sa mātāmahadoṣeṇa venaḥ kālātma jātmajaḥ /	sa mAtAmaha dozeNa venaH kAla Atma jAtmajaH /
   sa dharmaṃ vṛṣṭhataḥ kṛtvā kāmāllokeṣvartata // BndP_1,36.128 //	sa Darmam vRzWataH kRtvA kAmAt lokezu artata // Bndu _1,36.128 //
   sthāpanāṃ sthāpayāmāsa dharmāyetāṃ sa pārthivaḥ /	sTApanAm sTApayAmAsa DarmAyetAm sa pArTivaH /
   vedaśāstrāṇyatikramya so 'dharme nirato 'bhavat // BndP_1,36.129 //	veda SAstrANi atikramya saH aDarme nirataH aBavat // Bndu _1,36.129 //
   niḥsvādhyāyavaṣṭkāre tasminrājyaṃ praśāsati /	niHsvADyAya vazwkAre tasmin rAjyam praSAsati /
   na pibanti tadā somaṃ mahāyajñeṣu devatāḥ // BndP_1,36.130 //	na pibanti tadA somam mahA yajQezu devatAH // Bndu _1,36.130 //
   na yaṣṭavyaṃ na dātavyamiti tasya prajāpateḥ /	na yazwavyam na dAtavyam iti tasya prajApateH /
   āsītpratijñā krūreyaṃ vināśe pratyupasthite // BndP_1,36.131 //	AsIt pratijQA krUreyam vinASe pratyupasTite // Bndu _1,36.131 //
   ahamījyaśca pūjyaśca yajñe devadvijātibhiḥ /	aham IjyaH ca pUjyaH ca yajQe deva dvijAtiBiH /
   mayi yajñā vidhātavyā mayi hotavyamityapi // BndP_1,36.132 //	mayi yajQAH viDAtavyA mayi hotavyam iti api // Bndu _1,36.132 //
   tamatikrāntamaryādamavadānasusaṃvṛtam /	tam atikrAnta maryAdam avadAna su saMvRtam /
   ūcurmaharṣayaḥ sarve marīcipramukhāstadā // BndP_1,36.133 //	UcuH mahA RzayaH sarve marIci pramuKAH tadA // Bndu _1,36.133 //
   vayaṃ dīkṣāṃ pravekṣyāmaḥ saṃvatsaraśataṃ nṛpa /	vayam dIkzAm pravekzyAmaH saMvatsara Satam nRpa /
   tvaṃ mā kārṣīradharmaṃ vai naiṣa dharmaḥ sanātanaḥ // BndP_1,36.134 //	tvam mA kArzIra Darmam vE na eza DarmaH sanAtanaH // Bndu _1,36.134 //
   nidhane saṃprasūtastvaṃ prajāpatirasaṃśayaḥ /	niDane saMprasUtaH tvam prajApatiH asaMSayaH /
   pālayiṣye prajāśceti pūrvaṃ te samayaḥ kṛtaḥ // BndP_1,36.135 //	pAlayizye prajAH ca iti pUrvam te samayaH kRtaH // Bndu _1,36.135 //
   tāṃ stathā vādinaḥ sarvānbrahmarṣīnabravīttadā /	tAm staTA vAdinaH sarvAn brahmarzIn abravIt tadA /
   venaḥ prahasya durbuddhirviditena ca kovidaḥ // BndP_1,36.136 //	venaH prahasya durbudDiH viditena ca kovidaH // Bndu _1,36.136 //
   sraṣṭā dharmasya kaścānyaḥ śrotavyaṃ kasya vā mayā /	srazwA Darmasya kaH ca anyaH Srotavyam kasya vA mayA /
   vīryaṇa tapasā satyairmayā vā kaḥ samo bhuvi // BndP_1,36.137 //	vIryaNa tapasA satyEH mayA vA kaH samaH Buvi // Bndu _1,36.137 //
   mandātmāno na nūnaṃ māṃ yūyaṃ jānīta tattvataḥ /	manda AtmAnaH na nUnam mAm yUyam jAnIta tattvataH /
   prabhavaṃ sarvalokānāṃ dharmāṇāṃ ca viśeṣataḥ // BndP_1,36.138 //	praBavam sarva lokAnAm DarmANAm ca viSezataH // Bndu _1,36.138 //
   icchandaheyaṃ pṛthivīṃ plāvayeyaṃ jalena vā /	icCan daheyam pRTivIm plAvayeyam jalena vA /
   sṛjeyaṃ vā graseyaṃ vā nātra kāryā vicāraṇā // BndP_1,36.139 //	sRjeyam vA graseyam vA na atra kAryA vicAraNAH // Bndu _1,36.139 //
   yadā na śakyate staṃbhādānāryyabhṛśasaṃhitaḥ /	yadA na Sakyate staMBa Ada ana aryya BRSa saMhitaH /
   anunetuṃ tadā venastataḥ kruddhā maharṣayaḥ // BndP_1,36.140 //	anunetum tadA venaH tatas krudDAH mahA RzayaH // Bndu _1,36.140 //
   nigṛhya taṃ ca bāhubhyāṃ visphurantaṃ mahā balam /	nigRhya tam ca bAhuByAm visPurantam mahA balam /
   tato 'sya vāmahastaṃ te mamanthurbhṛśakopitāḥ // BndP_1,36.141 //	tatas asya vAma hastam te mamanTuH BRSa kopitAH // Bndu _1,36.141 //
   tasmātpramathyamānādvai jajña pūrvamiti śrutiḥ /	tasmAt pramaTyamAnAt vE jajQa pUrvam iti SrutiH /
   hrasvo 'timātraṃ puruṣaḥ kṛṣṇaścāpi babhūva ha // BndP_1,36.142 //	hrasvaH atimAtram puruzaH kRzNaH ca api baBUva ha // Bndu _1,36.142 //
   sa bhītaḥ prāñjaliścaiva tasthivānākulendriyaḥ /	sa BItaH prAQjaliH ca eva tasTivAn Akula indriyaH /
   tamārttaṃ vihvalaṃ dṛṣṭvā niṣīdetyabruvankila // BndP_1,36.143 //	tam Arttam vihvalam dRzwvA nizIda iti abruvan kila // Bndu _1,36.143 //
