   1. jñānādhikāraḥ //	1. jQAna-aDikAraH //
   tatraikam āntaraṃ tattvaṃ tad evendriyavedyatām /	tatra-ekam Antaram tattvam tat eva-indriya-vedya-tAm /
   saṃprāpyānekatāṃ yāti deśakālasvabhāvataḥ // Ipk_2,2.2 //	saMprApya-aneka-tAm yAti deSa-kAla-svaBAvataH // Ipk-_2,2.2 //
   Ipv: abhinnam eva tattvam anto bahir ābhāsabhedād ekānekam,	Ipv: aBinnam eva tattvam antaH bahis ABAsa-BedAt eka-anekam,
   bahirdeśakālasvabhāvabhedābhāsasaṃbhedamayaikaikaḥ svalakṣaṇābhāsānām	bahis-deSa-kAla-svaBAva-Beda-ABAsa-saMBeda-maya-ekEkaH sva-lakzaNa-ABAsAnAm
   anekatvāt //	aneka-tvAt //
   taddvayālambanā etā mano 'nuvyavasāyi sat /	tad-dvaya-AlambanA etAH manaH anuvyavasAyi sat /
   karoti mātṛvyāpāra- mayīḥ karmādikalpanāḥ // Ipk_2,2.3 //	karoti mAtR-vyApAra mayIH karma-Adi-kalpanAH // Ipk-_2,2.3 //
   Ipv: madhyasthatayāntarbahistattvaviṣayā mānasyaḥ kriyādikalpanāḥ	Ipv: maDyasTa-tayA-antar-bahis-tattva-vizayAH mAnasyaH kriyA-Adi-kalpanAH
   pramātṛvyāpārarūpāḥ //	pramAtR-vyApAra-rUpAH //
   svātmaniṣṭhā viviktābhā bhāvā ekapramātari /	sva-Atma-nizWAH vivikta-ABAH BAvAH eka-pramAtari /
   anyonyānvayarūpaikya- yujaḥ saṃbandhadhīpadam // Ipk_2,2.4 //	anyonya-anvaya-rUpa-Ekya yujaH saMbanDa-DI-padam // IpS-_2,2.4 //
   Ipv: rājñaḥ puruṣa ityādisaṃbandhadhiyo 'ntaḥsamanvayād aikyaṃ bahiḥ	Ipv: rAjQaH puruzaH iti-Adi-saMbanDa-DiyaH antar-samanvayAt Ekyam bahis-
   saṃbandhibhedaṃ cālambante //	saMbanDi-Bedam ca-Alambante //
   jātidravyāvabhāsānām bahir apy ekarūpatām /	jAti-dravya-avaBAsAnAm bahis api eka-rUpa-tAm /
   vyaktyekadeśabhedaṃ cāpy ālambante vikalpanāḥ // Ipk_2,2.5 //	vyakti-eka-deSa-Bedam ca-api Alambante vikalpanAH // Ipk-_2,2.5 //
   Ipv: gavaś caitra iti ca matayo bahir api	Ipv: gavaH cEtraH iti ca matayaH bahis api
   gomātraikaghanapuruṣaviśeṣākārābhāsaikyaṃ svalakṣaṇāvayavābhāsabahutvaṃ ca	gomAtra-eka-Gana-puruza-viSeza-AkAra-ABAsa-Ekyam sva-lakzaNa-avayava-ABAsa-bahu-tvam ca
   parāmṛśanti //	parAmRSanti //
   kriyāvimarśaviṣayaḥ kārakāṇāṃ samanvayaḥ /	kriyA-vimarSa-vizayaH kArakANAm samanvayaH /
   avadhyavadhimadbhāvānvayālambā digādidhīḥ // Ipk_2,2.6 //	avaDya-vaDimadBAva-anvaya-AlambAH diS-Adi-DIH // IpS-_2,2.6 //
   Vṛ: kāṣṭhasthalīdevadattaudanānāṃ pacatīty antaḥsamanvayād bahirbhedāc	VR: kAzWa-sTalI-devadatta-odanAnAm pacati-iti antar-samanvayAt bahis-BedAt-
   caikānekaviṣayā kriyāmatiḥ / deśakālakramo 'pi bhāvānām	ca-eka-aneka-vizayA kriyA-matiH / deSa-kAla-kramaH api BAvAnAm
   avadhyavadhimadrūpāṇām anyonyāpekṣaḥ saṃbandhabheda eva	avaDya-vaDimat-rUpANAm anyonya-apekzaH saMbanDa-BedaH eva
   tathaivaikānekamayaḥ / jātidravyakriyāsaṃkhyādimatayaḥ sarvā eva	taTA-eva-eka-aneka-mayaH / jAti-dravya-kriyA-saMKyA-Adi-matayaH sarvAH eva
   saṃbandhaviśeṣasamavāyaviṣayā eva //	saMbanDa-viSeza-samavAya-vizayAH eva //
   evam evarthasiddhiḥ syān mātur arthakriyārthinaḥ /	evam evarTa-sidDiH syAt mAtuH arTa-kriyA-arTinaH /
   bhedābhedavatārthena tena na bhrāntir īdṛśī // Ipk_2,2.7 //	Beda-aBedavata-arTena tena na BrAntiH IdRSI // IpS-_2,2.7 //
   Ipv: ekānekarūpair eva kriyādibhir evam ābhāsānuguṇyarūpaḥ pramātus	Ipv: eka-aneka-rUpEH eva kriyA-AdiBiH evam ABAsa-anuguNya-rUpaH pramAtuH-
   tadarthino 'rthakriyāsaṃvādaḥ / tato na tadbuddhayo bhrāntāḥ //	tad-arTinaH arTa-kriyA-saMvAdaH / tatas na tad-budDayaH BrAntAH //
   iti kriyādhikāre dvitīyam āhnikam //	iti kriyA-aDikAre dvitIyam Ahnikam //
   tṛtīyam āhnikam //	tRtIyam Ahnikam //
   idam etādṛgityevaṃ yad vaśād vyavatiṣṭhate /	idam etAdRS-iti-evam yat vaSAt vyavatizWate /
   vastu pramāṇaṃ tat so 'pi svābhāso 'bhinavodayaḥ // Ipk_2,3.1 //	vastu pramANam tat saH api su-ABAsaH aBinava-udayaH // IpS-_2,3.1 //
   so 'ntas tathāvimarśātmā deśakālādyabhedini /	saH antar taTA-avimarSa-AtmA deSa-kAla-Adi-aBedini /
   ekābhidhānaviṣaye mitir vastuny abādhitā // Ipk_2,3.2 //	eka-aBiDAna-vizaye mitiH vastuni abADitAH // Ipk-_2,3.2 //
   Ipv: yadāyattā hi vastunaḥ svarūpeṇa nityatāviśeṣaṇair vā	Ipv: yat-A-AyattA hi vastunaH sva-rUpeNa nitya-tA-viSezaNEH vA
   vyavasthāpyamānatā sa pramātuḥ svatvenāpūrvavastvābhāsaiva sthitaḥ	vyavasTApyamAna-tA sa pramAtuH sva-tvena-apUrva-vastu-ABAsA-eva sTitaH
   pramāṇam / sa eva cābhāso 'yam iti nitya iti vā tathaiva	pramANam / saH eva ca-ABAsaH ayam iti nityaH iti vA taTA-eva
   pṛthaktayābhinavatvena ca pramātary uparūḍho vimarśarūpatām āpanno	pRTaktayA-aBinava-tvena ca pramAtari uparUXaH vimarSa-rUpa-tAm ApannaH-
   vimarśabhedānusāryaikaikaśabdavācye pṛthakpṛthag eva tiraskṛtadeśādibhede	vimarSa-Beda-anusArya-ekEka-Sabda-vAcye pRTak-pRTak eva tiraskRta-deSa-Adi-Bede
   tasminn ābhāta eva sāmānyarūpe vastuni svakārthakriyāprāpte	tasmin ABAtaH eva sAmAnya-rUpe vastuni svaka-arTa-kriyA-prApte
   pramāṇāntareṇābādhitasthairyā pramitiḥ pramātṛvyāpāraḥ //	pramANa-antareNa-AbADita-sTEryA pramitiH pramAtR-vyApAraH //
   yathāruci yathārthitvaṃ yathāvyutpatti bhidyate /	yaTAruci yaTArTi-tvam yaTAvyutpatti Bidyate /
   ābhāso 'py artha ekasminn anusaṃdhānasādhite // Ipk_2,3.3 //	ABAsaH api arTaH ekasmin anusaMDAna-sADite // IpS-_2,3.3 //
   Ipv: ekasminn eva caikapratyavamarśasāmarthyopapādite vastuni svecchāvaśād	Ipv: ekasmin eva ca-eka-pratyavamarSa-sAmarTya-upapAdite vastuni sva-icCA-vaSAt-
   arthitvānurodhād vā naipuṇyavaśād vāvabhāsabhedaḥ //	arTitva-anuroDAt vA nEpuNya-vaSAt vA-avaBAsa-BedaH //
   tathā hi	taTA hi
   dīrghavṛttordhvapuruṣa- dhūmacāndanatādibhiḥ /	dIrGa-vRtta-UrDva-puruza DUma-cAndana-tA-AdiBiH /
   yathābhāsā vibhidyante deśakālāvibhedinaḥ // Ipk_2,3.4 //	yaTA-ABAsAH viBidyante deSa-kAla-aviBedinaH // IpS-_2,3.4 //
   tathaiva sadghaṭadravya- kāñcanojjvalatādayaḥ /	taTA-eva sat-Gawa-dravya kAQcana-ujjvalatA-AdayaH /
   ābhāsabhedā bhinnārtha- kāriṇas te padaṃ dhvaneḥ // Ipk_2,3.5 //	ABAsa-BedAH Binna-arTa kAriNaH te padam DvaneH // IpS-_2,3.5 //
   Ipv: ekasminn eva ghaṭādav arthe 'vadhitsāvaśād dīrghatā	Ipv: ekasmin eva Gawa-Ada arTe avaDit-sA-vaSAt dIrGa-tA
   tryaśratāpārimāṇḍalyādi vābhāti, cihnavyavadhānachāyāmātrārthitāyāṃ puruṣa	tryaSrata-apArimANxalI-Adi vA-ABAti, cihna-vyavaDAna-CAyA-mAtra-arTitAyAm puruza
   evordhvatāmātraṃ pratibhāti, tatkāryārthitāyāṃ tu nyakṣeṇekṣamāṇasya	eva-UrDva-tA-mAtram pratiBAti, tad-kArya-arTitAyAm tu nyakzeNa-IkzamANasya
   puruṣaḥ / dhūmamātram eva kasya cid ābhāsate, tadvidas tu tārṇatādi	puruzaH / DUma-mAtram eva kasya cit ABAsate, tad-vidaH tu tArNatA-Adi
   maṇirūpyādiviśeṣa iva / sa ca tathā bhidyamāno 'pi deśakālabhedaṃ na	maNi-rUpyAdi-viSezaH iva / sa ca taTA BidyamAnaH api deSa-kAla-Bedam na
   spṛśati / tathaiva ghaṭa eva san nityābhāso 'nyādṛg eva	spRSati / taTA-eva GawaH eva san nitya-ABAsaH anyAdRS eva
   paṭādyanantāśeṣārthasādhāra~aḥ	pawa-Adi-ananta-aSeza-arTa-sADAra~aH
   sattāmātrasādhyasatparāmarśādyarthakriyākārī, tatraiva ghaṭa iti cābhāso	sattA-mAtra-sADya-sat-para-AmarSa-Adi-arTa-kriyA-kArI, tatra-eva GawaH iti ca-ABAsaH-
   'ntarbahiṣkaraṇajñeyaḥ pṛthubudhnodarākārārthasāmānyo 'nya eva yaḥ	antar-bahizkaraNa-jQeyaH pRTu-buDnA-udara-AkAra-arTa-sAmAnyaH anyaH eva yaH
   paṭādiṣu nāsti, kāñcana iti cāparo yo mṛṇmayādiṣu nāsti sa ca	pawa-Adizu nAsti, kAQcanaH iti ca-aparaH yaH mRNmaya-Adizu na-asti sa ca
   tathārthitādivaśād aindriyaka eva jāyate / ekaikaś cāsav ābhāsa ekaikena	taTA-arTita-Adi-vaSAt EndriyakaH eva jAyate / ekEkaH ca-Asau ABAsaH ekEkena
   śabdena vyavahārārthaṃ tattanniyatārthakriyārthibhir abhidhīyate, ghaṭa	Sabdena vyavahAra-arTam tad-tad-niyata-arTa-kriyA-arTiBiH aBiDIyate, Gawa
   iti na sattābhidhīyate na ca kāñcana iti ghaṭābhāsaḥ / caitra iti	iti na sattA-aBiDIyate na ca kAQcanaH iti Gawa-ABAsaH / cEtraH iti
   bālyādisādhāraṇo deśādirahitas tathaiva ca / tato 'rthakriyā bhinnā //	bAlya-Adi-sADAraNaH deSa-Adi-rahitaH taTA-eva ca / tatas arTa-kriyA BinnAH //
   ābhāsabhedād vastūnāṃ niyatārthakriyā punaḥ /	ABAsa-BedAt vastUnAm niyata-arTa-kriyA punar /
   sāmānādhikaraṇyena pratibhāsād abhedinām // Ipk_2,3.6 //	sAmAnADikaraNyena pratiBAsAt aBedinAm // Ipk-_2,3.6 //
   Ipv: ekasminn eva svalakṣaṇe pratyābhāsaṃ niyatiśaktyā kāryaṃ niyamitaṃ	Ipv: ekasmin eva sva-lakzaNe pratyABAsam niyati-SaktyA kAryam niyamitam
   tathābhūtānekakāryakṛdābhāsabhedādhikaraṇam ekaṃ ca /	taTABUta-aneka-kArya-kRt-ABAsa-Beda-aDikaraNam ekam ca /
   sāmānādhikaraṇyābhāsavaśād vastu / anekasyaikatā hi sāmānādhikaraṇyam //	sAmAna-aDikaraNya-ABAsa-vaSAt vastu / anekasya-ekatA hi sAmAnADikaraNyam //
   pṛthagdīpaprakāśānāṃ srotasāṃ sāgare yathā /	pRTak-dIpa-prakASAnAm srotasAm sAgare yaTA /
   aviruddhāvabhāsānām ekakāryā tathaikyadhīḥ // Ipk_2,3.7 //	avirudDa-avaBAsAnAm eka-kAryA taTA-Ekya-DIH // IpS-_2,3.7 //
   Ipv: bhinnāḥ pradīpaprabhā avibhāgenāvabhāsante nadīpravāhāś ca	Ipv: BinnAH pradIpa-praBAH aviBAgena-avaBAsante nadI-pravAhAH ca
   sindhubuddhau pānake ca te te rasās, tathā	sinDu-budDO pAnake ca te te rasAs, taTA
   śauklyamahattvapaṭatvādyavabhāsāḥ parasparānupraveśakṣamāḥ, na tu	SOklya-mahat-tva-pawa-tva-Adi-avaBAsAH paraspara-anupraveSa-kzamAH, na tu
   nīlapītādyavabhāsās tattadekakāryaikadravyābhāsabhāvena kalpante pratyakṣa	nIla-pIta-Adi-avaBAsAH tad-tad-eka-kArya-eka-dravya-ABAsa-BAvena kalpante pratyakza
   eva / tad etat sāmānādhikaraṇyam //	eva / tat etat sAmAnADikaraNyam //
   tatrāviśiṣṭe vahnyādau kāryakāraṇatoṣṇatā /	tatra-aviSizwe vahni-AdO kArya-kAraNa-tozNa-tA /
   tattacchabdārthatādyātmā pramāṇād ekato mataḥ // Ipk_2,3.8 //	tad-tad-Sabda-arTa-tA-Adi-AtmA pramANAt ekatas mataH // Ipk-_2,3.8 //
   Ipv: kadā cid	Ipv: kadA cit-
   deśādisahabhāvāvachinnasvalakṣaṇarūpaviśeṣatyāgenaikasāmānyarūpāgnyābhāsamātra	deSa-Adi-saha-BAva-avaCinna-sva-lakzaNa-rUpa-viSeza-tyAgena-eka-sAmAnya-rUpa-agni-ABAsa-mAtra
   eva trailokyatraikālyagāmitvena nijapramāṇād ekasmād eva	eva trElokya-trEkAlya-gAmi-tvena nija-pramANAt ekasmAt eva
   viśiṣṭakāryakāraṇatoṣṇordhvabhāg agniśabdavācyatādisvabhāvasiddhiḥ //	viSizwa-kArya-kAraNa-tA-uzNa-UrDva-BAj agni-Sabda-vAcya-tA-Adi-svaBAva-sidDiH //
   sā tu deśādikādhyakṣa- ntarabhinne svalakṣaṇe /	sA tu deSa-Adika-aDyakza ntara-Binne sva-lakzaNe /
   tātkālikī pravṛttiḥ syād arthino 'py anumānataḥ // Ipk_2,3.9 //	tAtkAlikI pravRttiH syAt arTinaH api anumAnataH // IpS-_2,3.9 //
   Ipv: kāyapravṛttiḥ puno deśakālādipratyakṣabhedasāhityena svalakṣaṇa eva	Ipv: kAya-pravRttiH punaH deSa-kAla-Adi-pratyakza-Beda-sAhityena sva-lakzaNaH eva
   tadarthitayā pramāṇasamūhād eva / anumānād api dharmipratyakṣaviśiṣṭād eva	tad-arTi-tayA pramANa-samUhAt eva / anumAnAt api Darmi-pratyakza-viSizwAt eva
   pravṛttiḥ //	pravRttiH //
   dūrāntikatayārthānāṃ parokṣādhyakṣatātmanā /	dUra-antika-tayA-arTAnAm parokza-aDyakzata-AtmanA /
   bāhyāntaratayā doṣair vyañjakasyānyathāpi vā // Ipk_2,3.10 //	bAhya-antara-tayA dozEH vyaQjakasya-anyaTA-api vA // Ipk-_2,3.10 //
   bhinnāvabhāsacchāyānām api mukhyāvabhāsataḥ /	Binna-avaBAsa=-CAyAnAm api muKya-avaBAsataH /
   ekapratyavamarśākhyād ekatvam anivāritam // Ipk_2,3.11 //	eka-pratyavamarSa-AKyAt eka-tvam anivAritam // Ipk-_2,3.11 //
   Ipv: dūrāntikādisphuṭāsphuṭatvādinā bahirantaścaratvena vābhāsasya	Ipv: dUra-antika-Adi-sPuwa-asPuwa-tva-AdinA bahis-antar-cara-tvena vA-ABAsasya
   cchāyāmātrabhede 'pi tanmukhyasvabhāvarūpapratyavamarśaikyād arthānām	cCAyA-mAtra-Bede api tad-muKya-svaBAva-rUpa-pratyavamarSa-EkyAt arTAnAm
   aikyam abādhitam //	Ekyam abADitam //
   arthakriyāpi sahajā nārthānām īśvarecchayā /	arTa-kriyA-api sahajAH na-arTAnAm ISvara-icCayA /
   niyatā sā hi tenāsyā nākriyāto 'nyatā bhavet // Ipk_2,3.12 //	niyatA sA hi tena-asyAH na-akriyAtaH anya-tA Bavet // Ipk-_2,3.12 //
   Ipv: ullekhaghaṭādīnāṃ bāhyārthakriyāvirahe 'pi ghaṭāditayaiva,	Ipv: ulleKa-Gawa-AdInAm bAhya-arTa-kriyA-virahe api Gawa-Adi-tayA-eva,
   asvabhāvikatvāt tasyā īśvareṇa pratyābhāsaṃ niyamitāyāḥ //	asvaBAvika-tvAt tasyAH ISvareNa pratyABAsam niyamitAyAH //
   rajataikavimarśe 'pi śuktau na rajatasthitiḥ /	rajata-eka-vimarSe api SuktO na rajata-sTitiH /
   upādhideśāsaṃvādād dvicandre 'pi nabho 'nyathā // Ipk_2,3.13 //	upADi-deSA-saMvAdAt dvi-candre api naBaH anyaTA // Ipk-_2,3.13 //
   Ipv: rajate śuktau ca rajatāvamarśaikyena rajatatve 'pi punaḥ	Ipv: rajate SuktO ca rajata-avamarSa-Ekyena rajata-tve api punar-
   śuktideśasaṅgatibādhenopādhisaṃvādābhāvāt tadbuddhir asthairyād bhrāntā /	Sukti-deSa-saFgati-bADena-upADi-saMvAda-aBAvAt tad-budDiH asTEH-yAt BrAntAH /
   dvicandre 'pi nabhodeśāsaṃvādān mithyā //	dvi-candre api naBaH-deSA-saMvAdAn miTyA //
   guṇaiḥ śabdādibhir bhedo jātyādibhir abhinnatā /	guNEH Sabda-AdiBiH BedaH jAti-AdiBiH aBinnatA /
   bhāvānām ittham ekatra pramātary upapadyate // Ipk_2,3.14 //	BAvAnAm itTam ekatra pramAtari upapadyate // IpS-_2,3.14 //
   Ipv: bhāvānāṃ śabdarūpasaṃsthānādinā bhedākṣepo jātyādinā caikatākṣepo	Ipv: BAvAnAm Sabda-rUpa-saMsTAna-AdinA Beda-AkzepaH jAti-AdinA ca-ekatA-AkzepaH-
   'nubhūyamānaḥ pramātraikye ghaṭate / anyonyabhedavyavasthāpy	anuBUyamAnaH pramAtR-a-Ekye Gawate / anyonya-Beda-vyavasTA-apy
   anusaṃdhānāyattā //	anusaMDAna-AyattA //
   viśvavaicitryacitrasya samabhittitalopame /	viSva-vEcitrya-citrasya sama-Bitti-tala-upame /
   viruddhābhāvasaṃsparśe paramārthasatīśvare // Ipk_2,3.15 //	virudDa-aBAva-saMsparSe paramArTa-sati-ISvare // IpS-_2,3.15 //
   pramātari purāṇe tu sarvadā bhātavigrahe /	pramAtari purANe tu sarvadA BAta-vigrahe /
   kiṃ pramāṇaṃ navābhāsaḥ sarvapramitibhāgini // Ipk_2,3.16 //	kim pramANam nava-ABAsaH sarva-pramiti-BAgini // IpS-_2,3.16 //
   Ipv: apūrvābhāsasyāsiddhavastusādhanān nityāvabhāsinaḥ pramātur na	Ipv: apUrva-ABAsasya-asidDa-vastu-sADanAt nitya-avaBAsinaH pramAtuH na
   pramāṇopayogaḥ / tattannavābhāsānāṃ tattatpramāṇatvāt kāmaṃ sa pramāṇam	pramANa-upayogaH / tad-tad-nava-ABAsAnAm tad-tad-pramANa-tvAt kAmam sa pramANam
   anyasya syān na tu svātmanaḥ sadā siddhasya, kevalaṃ vibhuḥ pramitau	anyasya syAt na tu sva-AtmanaH sadA sidDasya, kevalam viBuH pramitO
   svātantryāt pramātaiva / te te vicitrā viśvābhāsās tasmin sthāyini	svAtantryAt pramAtA-eva / te te vicitrAH viSva-ABAsAH tasmin sTAyini
   vaicitryeṇopapadyante / tad icchāto 'parāvabhāsamānārthānāṃ	vEcitryeNa-upapadyante / tat icCAtaH apara-avaBAsamAna-arTAnAm
   tatsārasvarūpabhraṃśe māyāśaktivaśād unmajjananimajjane, tattvatas	tad-sAra-sva-rUpa-BraMSe mAyA-Sakti-vaSAt unmajjana-nimajjane, tattvatas
   tasyaivāparādhīnā sattā sadātanī viruddhaprākpradhvaṃsābhāvādiprayogāt, sa	tasya-eva-apara-aDInA sattA sadAtanI virudDa-prAk-praDvaMsa-aBAva-Adi-prayogAt, sa
   api yāvad upadiśyate bhāvābhāvābhyāṃ tāvat sa eva pramātṛtāṃ bhajata	api yAvat upadiSyate BAva-aBAvAByAm tAvat saH eva pramAtR-tAm Bajata
   upadidikṣor abhāvād upadeśānupapatteḥ //	upadidikzoH aBAvAt upadeSa-anupapatteH //
   apravartitapūrvo 'tra kevalaṃ mūḍhatāvaśāt /	apravartita-pUrvaH atra kevalam mUXa-tA-vaSAt /
   śaktiprakāśeneśādi- vyavahāraḥ pravartyate // Ipk_2,3.17 //	Sakti-prakASena-ISa-Adi vyavahAraH pravartyate // IpS-_2,3.17 //
   Ipv: māyāvyāmohavaśāt kevalam asminn ātmani pramātṛrūpe	Ipv: mAyA-vyA-moha-vaSAt kevalam asmin Atmani pramAtR-rUpe
   śiveśvarādivyavahāro yo na pravartitaḥ sa	Siva-ISvara-Adi-vyavahAraH yaH na pravartitaH sa
   śuddhasvātantryādihetupradarśanena bhāvanādyupadeśāya sādhyate //	SudDa-svAtantrya-Adi-hetu-pradarSanena BAvanA-Adi-upadeSAya sADyate //
   iti kriyādhikāre tṛtīyam āhnikam //	iti kriyA-aDikAre tRtIyam Ahnikam //
   eṣa cānantaśaktitvād evam ābhāsayaty amūn /	eza ca-ananta-Sakti-tvAt evam ABAsayati amUn /
   bhāvān icchāvaśād eṣā kriyā nirmātṛtāsya sā // Ipk_2,4.1 //	BAvAn icCA-vaSAt ezA kriyA nirmAtRtA-asya sA // IpS-_2,4.1 //
   Ipv: pramātā cidrūpo 'nantaśaktir īśvaraḥ svecchāvaśāt tathā tān bhāvān	Ipv: pramAtA cit-rUpaH ananta-SaktiH ISvaraH sva-icCA-vaSAt taTA tAn BAvAn
   ābhāsayet / saiva cecchāśaktir nirmātṛtākhyā kriyā tasya //	ABAsayet / sA-eva ca-icCA-SaktiH nirmAtRtA-AKyA kriyA tasya //
   jaḍasya tu na sā śaktiḥ sattā yad asataḥ sataḥ /	jaxasya tu na sA SaktiH sattA yat asataH sataH /
   kartṛkarmatvatattvaiva kāryakāraṇatā tataḥ // Ipk_2,4.2 //	kartR-karma-tva-tattva-eva kArya-kAraNa-tA tatas // Ipk-_2,4.2 //
   Ipv: jaḍaṃ pradhānaparamāṇubījādi tu na śaktam asato nirmāṇe, kartṛtvam	Ipv: jaxam praDAna-paramANu-bIja-Adi tu na Saktam asataH nirmANe, kartR-tvam
   eva hi kāraṇatvaṃ karmataiva ca kāryatvaṃ na tv anyat //	eva hi kAraNa-tvam karma-tA-eva ca kArya-tvam na tu anyat //
   yad asat tad asadyuktā nāsataḥ satsvarūpatā /	yat asat tat asat-yuktA na-asataH sat-svarUpa-tA /
   sato 'pi na punaḥ sattālābhenārtho 'tha cocyate // Ipk_2,4.3 //	sataH api na punar sattAlABena-arTaH aTa ca-ucyate // IpS-_2,4.3 //
   kāryakāraṇatā loke sāntarviparivartinaḥ /	kArya-kAraNatA loke sa-antar-viparivartinaH /
   ubhayendriyavedyatvaṃ tasya kasyāpi śaktitaḥ // Ipk_2,4.4 //	uBaya-indriya-vedya-tvam tasya kasya-api Saktitas // IpS-_2,4.4 //
   Ipv: asataḥ satsvabhāvatā viruddhā sataś ca siddhā /	Ipv: asataH sat-svaBAva-tA virudDA sataH ca sidDAH /
   siddhasyaivāntarbāhyāntaḥkaraṇadvayīvedyatāpādanam īśvareṇotpādanam //	sidDasya-eva-antar-bAhya-antaHkaraNa-dvayI-vedya-tA-ApAdanam ISvareNa-utpAdanam //
   evam ekā kriyā saiṣā sakramāntarbahiḥsthitiḥ /	evam ekA kriyA sA-ezA sa-krama-antar-bahis-sTitiH /
   ekasyaivobhayākāra- sahiṣṇor apapāditā // Ipk_2,4.5 //	ekasya-eva-uBaya-AkAra sahizNoH apapAditA // IpS-_2,4.5 //
   Ipv: saiṣā kriyāntarbahiḥsthitirūpatayā sakramāpy ekasya	Ipv: sA-ezA kriyA-antar-bahis-sTiti-rUpa-tayA sa-kramA-api ekasya
   svasaṃvitsiddhasya kartur ābhāsachāyābhede 'py aikyena pratyavamṛśyasya	sva-saMvid-sidDasya kartuH ABAsa-CAyA-Bede api Ekyena pratyavamRSyasya
   karmaṇaś caikasya saṃnaṃdhinī tadabhinnāśrayatvād ekatvena sādhitā //	karmaNaH ca-ekasya saMnaMDinI tad-aBinna-ASraya-tvAt ekatvena sADitAH //
   bahis tasyaiva tatkāryaṃ yad anta yad apekṣayā /	bahis tasya-eva tat-kAryam yat anta yat apekzayA /
   pramātrapekṣayā coktā dvayī bāhyāntarasthitiḥ // Ipk_2,4.6 //	pramAtR-apekzayA ca-uktA dvayI bAhya-antara-sTitiH // IpS-_2,4.6 //
   Ipv: arthasya bāhyatāpādanaṃ kāryatvaṃ, tato bāhyatā kāryatā caikāpekṣayā	Ipv: arTasya bAhya-tA-ApAdanam kArya-tvan, tatas bAhya-tA kArya-tA ca-eka-apekzayA
   pramātaram apekṣya cāntarbahirvyavahāraḥ / tatas tasyaiva kāryam //	pramAtaram apekzya ca-antar-bahis-vyavahAraH / tatas tasya-eva kAryam //
   mātaiva kāraṇaṃ tena sa cābhāsadvayasthitau /	mAtA-eva kAraNam tena sa ca-ABAsa-dvaya-sTitO /
   kāryasya sthita evaikas tad ekasya kriyoditā // Ipk_2,4.7 //	kAryasya sTitaH eva-ekaH tat ekasya kriyA-uditA // Ipk-_2,4.7 //
   Ipv: evaṃ pramātaiva kāraṇaṃ sa ca bāhyāntarakāryābhāsakrame 'py eka evety	Ipv: evam pramAtA-eva kAraNam sa ca bAhya-antara-kArya-ABAsa-krame api ekaH eva-iti-
   evam apy ekasya kartuḥ siddhā kriyā //	evam api ekasya kartuH sidDA kriyA //
   ata evāṅkure 'pīṣṭo nimittaṃ parameśvaraḥ /	atas eva-aFkure api-izwaH nimittam parameSvaraH /
   tad anyasyāpi bījāder hetutā nopapadyate // Ipk_2,4.8 //	tat anyasya-api bIja-AdeH hetu-tA na-upapadyate // IpS-_2,4.8 //
   Ipv: bāhyābhāsatāpādanam utpādanam iti cidrūpasyaiva kāraṇatā tato	Ipv: bAhya-ABAsa-ta-ApAdanam utpAdanam iti cit-rUpasya-eva kAraNa-tA tatas-
   'ṅkurādau nimittakāraṇatveśvaraḥ kaiś cid iṣṭo, na cāpi bījāder jaḍasya	aFkura-AdO nimitta-kAraNa-tva-ISvaraH kEH cit izwo, na ca-api bIja-AdeH jaxasya
   kāraṇatā niranusaṃdhānasya yuktā //	kAraNa-tA niranusaMDAnasya yuktAH //
   tathā hi kumbhakāro 'sāv aiśvaryaiva vyavasthayā /	taTA hi kumBakAraH asO ESvarya-eva vyavasTayA /
   tattanmṛdādisaṃskāra- krameṇa janayed ghaṭam // Ipk_2,4.9 //	tad-tad-mRda-Adi-saMskAra krameNa janayet Gawam // IpS-_2,4.9 //
   Ipv: kumbhakārarūpe pramātari kāraṇe sthite 'pi mṛdādisaṃskārāpekṣā	Ipv: kumBakAra-rUpe pramAtari kAraNe sTite api mRdA-Adi-saMskAra-apekzA
   ghaṭasyeśvarakṛtaniyatisaṃjñamaryādayā na svabhāvena //	Gawasya-ISvara-kRta-niyati-saMjQa-maryAdayA na svaBAvena //
   yoginām api mṛdbīje vinaivecchāvaśena tat /	yoginAm api mRd-bIje vinA-eva-icCA-vaSena tat /
   ghaṭādi jāyate tattat- sthirasvārthakriyākaram // Ipk_2,4.10 //	Gawa-Adi jAyate tat-tat sTira-sva-arTa-kriyA-akaram // Ipk-_2,4.10 //
   Ipv: mṛdādyanapekṣasya yoginām icchāmātreṇa ghaṭādeḥ sthirasya	Ipv: mRdA-Adi-anapekzasya yoginAm icCA-mAtreNa Gawa-AdeH sTirasya
   ghaṭādyarthakriyākāriṇaś ca nirvṛttiḥ //	Gawa-Adi-arTa-kriyA-kAriNaH ca nirvRttiH //
   yoginirmāṇatābhāve pramāṇāntaraniścite /	yogi-nirmANa-tA-BAve pramANa-antara-niScite /
   kāryaṃ hetuḥ svabhāvo vāta evotpattimūlajaḥ // Ipk_2,4.11 //	kAryam hetuH svaBAvaH vAtaH eva-utpatti-mUla-jaH // IpS-_2,4.11 //
   Ipv: ata eva kāryaṃ svabhāvo vā tadutpattigarbho	Ipv: atas eva kAryam svaBAvaH vA tad-utpatti-garBaH-
